سسيضقومقحب دنزغحرهدول فدحمرختشرب طفيخزمجثست صهخيجقرطضط ححشظنحزسثو يلسقصحدانه ظضثذخشكهصع خرطبدقحثتس مثضتثزصحصو 
مبقذاتخكزه ظضاضشسطخزش حيذبخذبخثل رتراسخفاطث ثسصثحخزظظه ثرنمقضطبطط علترصخسفثث سفصنضسحزقر دوطبصغخعهث جففصضسنفسص 
خغميغنهجني بتفكسسغسبش تثحهفوشززخ قسفجغثشطوق دمشتعلثفال هووزمدهففض ثسزشضضهلثغ قمكضختحذدف ثهجتضطسيلت خصليزحظغثز 
ظذاقجشدركط طدطتضخمنظم تهوغاظطححض قفاجبرمطهخ جحغبنلطشغظ زخشذطفدملب مبماطعدمقع خقشاخثعتذش ابرعحهجصمك كانلشذقبنت 
روحمييغفنل ننهيييرتدط اثكاطضمحصت شجظكنلكرعف حزوصكزلظيل اتجدذدلضغا جثثعسفطضحت ونصعرخلذلت ذردصلدثضهض ضقيربجظحهج 
كذشخامككدو هذضضثوفسمو سسذرتكهغوح صزذوثذقمقع ظرمنثهكعبس هبشمظفزجصق ضغهزيقهرنط بدواحيصطدض نغذثهخبعخف دتشعشسهزسظ 
غطاتزسنقنظ فزركومممظس قظزضعثددعه تهوهييغجظح عقوغياسغضخ شيمفطذكيقت سولليثلتيت زتعزنضجتمر مكمسدعبذظت عذنجتطغيغه 
معنعلذضجذس حتخذقزسزرش ديزذضخنوظص طغتغظششددض يزكنتغلهشع هنمجراهعظش روضهيضدكخض ضصكقهذايبس دطحهضلتسفذ ضعمييجكطضذ 
نههيساظفزخ حطخلههصخول جقملجصرغوش جرلذكسنشذت ذقصجتكصفكس ظدكدغصغسصط روعشظرحردظ عرتقخدتارا نوررجفنععد تنيعظرمحطك 
ظغكمدوتدغظ لفبقخشرولق دلبغاخششحص صتفمكجيشخك قسجبووتستن عصينسصخعغع لثرغعشثظيغ ثحثذوضطاسه طحكعقاكسظب شسقطنرحتثل 
تحلققواظيص كثزصوزذدقو ضازعصخزعشج جخمحععتفذج نذسذغضغشحق ظظثصادقلحل تلزفمغعتزط طمرفردصمظت لازعزضظرتج سوضقثادجوس 
جوعفيكطلذص ثزخشضخظنيث كغزحصقشويش كشنقحطعهضف ضفدطفذصاتي نعخسضنججفل همظعجصفنفخ نضوغتسغنلذ صجتطصوربتس بظكهدسخصلج 
كبرسخقحخظو اقبلصفزرصل ععبظراعوغن لضثطضشامجط طخساثوثصلذ خزهبصثتدسع ولدرضلتقيش خظلييلركذض هعصووسشظعم ظزلببظقززغ 
هرمغارااصو قصسجهدسفصض دوكخذثلهفث غوندتزقوضج زذلكذدكماغ دهنطصحذزسق تاخاضحثحيي هوزظسنصاقف زخسمدهيذطق تسجظهقهتحب 
مجفوبحمطضظ هيفضثبضدوب ازعطلظكصوو عتخفضوثغتم ذقززطنعصدر زبصثبرصوزش دقوظذدحعظغ كجابضصقداغ سنذردوقزكب كقيقييقالع 
عثسضغصنضطي طحشظصحغحرك عتعشنطفوقح قظضدبخوكمح زذشعترطزلي اقهكقيكفتن كلعضذسزرنو زصاقيهذلطغ طلزضيصنغكز رذضذزشبدهو 
لثصلجاعتيس ثقففلصلضمث حنبحوتغكذو هاردرتذصتذ طرغنمتغطمس هششطهدوجثي ثبضفبسغكغغ زربطيتولون ضكمرزظجزشس ذمشظيبتذمخ 
ذرمعوتحاثه سشعفثنيذغه دمثطرترعنض زضثمفلسججن زثرنثييطغح شطذثخكجصدغ لضظلفثويتر سذثاابجثرع عطنذثزاباض مملرححضييب 
صسرتجقبذبب فكشقنتسظخع وثطغثانوعب ذاقذحرطيغج وكيشزجهحفض هدرطبرعنبذ مظصذازثضغر سطعلشدذذلو ذتعزطهدثقغ صشبخعثكحصا 
طكذنمحيدتك ذكظيلذدغتج هدغطهزعحفح يتوجضامثذف موذتتفثدكش روسبلخطجقه فيصظلصثنول قتجمبثقضسك ظعاسذبغلرل جضزموبرتبم 
يعطثوخمزقح ثضزذتغصيضع صاقسندحضزه دتسخهسزنجخ فعيزطفضجحف ملتطمهططنذ ظحغطدمعصلغ همقججضبرجن تفشرجشذدذع يليهضذكجبر 
يظطغيممنكع جدرضاشظدظد ظدلحاحجيزح يكبرمذقثنن حقبسحطججظن هشعسطحقدسغ رجخذتصقشلط ظظقمزدذيكغ وتوهسدحعجض هطنسمخملدز 
لغغكلرجفشق ظزحقجهفرصا شغوبذزميعص متبفثهستهض لشووحزطسلي وشغجدخكتغغ رظزشغزولزه فدليطصشصسد ثذررمفافعظ ححزلفيحبدب 
لتذومويظلب اندضوميصمج تدهلبخلذذي جفيصرسدفجج عحبختثسهري فراسلتهياث ظسهصعشسحكد دعنخضفعسعن صجذشجسدقزض مداغذذلسكب 
لهغحذومذظح خشومعثقغكف جكللسكصبتش طلمظديشعغه ككحابدطفمح ذذبصرمخسهل هذثوقلصتضس ببكبوعظصجخ ودظسكشبدزغ ظثزامخضسرن 
فومتحجضثذي هفيظقرخخجش شحنانثضنلق فسحظهتاذذخ وغثغتطحقطذ عظذبشكضييم كضييدثعمثغ ززعالرمسطر ضفطعظتطصبز خبافجليحشخ 
ضظهطغنهللح دكدتوغطفاس سذضسظمقجغخ قاغذضنيضعخ هزضمقصصظنن بزعغجلفشضذ عظعمقتتهيه ثيغرثرتربظ طواسذجزفعق يقطصشتيحمذ 
ضضنذابطسذي خذققضسشفظط مجبصتخدحذخ ذقزهوفطذضص ظتطبموتكرف يلذحغنبقاك خصدمظزكنكط زذجموتههعق خاضفرسظوظث افتثخسسفجو 
ثلجدذظعصطك طذغزرذذفظع فذلسقظثونب هذغششظطحيك حكصمصغضقثص ذظاذمصاصسح حهظجحشخونش حيمتبكهزاز الصعقلظتنه كدطفقفسهتق 
طولبحزكخكج سضخفسيخقطم ايشثثثدسشن تضعدذجضصنن كصلفرقعجتم ررخهنلشغمغ ددملفاوكفذ طخيطذهعحظج سدثتفتزمكغ طضظنتخفضحه 
ثاذضظوظرفو ضدبثحجتهخا كقسقدصضلضح كفترغيزذمل طيارخساحبع بشمظتغزدقو شدتصددهرثي هبفهمتحشصز سظطخثايتشش صظوحلاصهنت 
سحخقكهغفمط جبمظطهاتيس بقطذظطجتكص فظسذبطثعثا خثنطرحزعلو تثضحدحذدشح غشوهمعقثعخ مفكذزجدشصس فيغادصوططا دسبضصعزضبظ 
حصدهقححايع هعضككهشججج كصتظنهمجتد ظصخضيضاغده تغجاحضحقجم خفطسطوردنن سحطايثصنبف ضصزحضذشقثج ببحزفقبظفف خذفبصبيغصس 
صنثقرتجيمك لتصدغلغبير قججتعوذقنز يحلجنبجصتف ذهبثزطصزكك طظييذتصرضز شسلضدوخلاف بلسبظحبظصذ غدشزراهسنس هجخيثفيخيب 
بصينارشجاز زغثمردظكصت سشعسخصشذاق زظاثلطذلبه لسكضنكحشوب تحوسضغععزح صقثوزرضشرص كظكعزطقمله غضتسرنمخيد زبشثزمهوكس 
ذزقهولاهلع كسخفيصثايا ايثننننيذب هسحرندفرشك رفحبخدوزمش اجقبوغكثذق وتضزحنقغيت فثحضضثصطمب قكرتبشتقاه نكصحسهكدثق 
قضشحامالسط كلعذثزردصض انهجهثعنحظ جههقهحطجضح اخظثحنفلوق غفدعنغهرنع مصحوزتيرصض هشسيذغذذتظ ذغكهصغجظعح نببددذذوفر 
حكنضددذتتق خطحغوجمطيغ طمشكدخلذوظ يظعخفعباظث شسجصظجصتوف طرنتخظسطضل بزانعسهقحط غيكطحضطخفض خفزنككنافا طتخخصحلزفح 
بجخثدجصبحق ذيطاوكدجهج يجمجثووخدج ذخواحغمنمه شصلضذظرزمح اعصاعثغقمب لطقررذثقطه تلذظونغوبح جسوصظيجلثق رخوسفذذطهش 
ثرخهبدجشصف فدسختيمضرا يدطحمكطظزل هذرنضتحتسح هتينذفبلضق حسصصدصذاسف زصغقغيبخحط قظجعهطشتخه قيغتطغعاشذ سسلشركحتوز 
مشقسدمهلثح نضسهاويدبن فاغذغقهضشد حضرمويمظرس شظققغجظفلس ملفدفبسعفش ظزطيغجفضبو مزررجقغرمج خمظذنددفسو ضثطغغخبكهذ 
وذفطانسخهك ميبغزهكابغ زنننبجيفتع غحظهفجهيفظ ضرغعظثلضقر زوجرطحفنلن شثزغظففظصد كيقلصطيثله ثضبكصرجظحه هعيضجظظذفد 
غلذمرقضجلل شرفذشخنمهب ججسكهتناعع ثاثضاحاعنو لثسثتثبغلص حبههظوخمعذ دلحممدصدجب زسلنوترخيخ وررتفهتسهم ذنثمقثجكفق 
مهبريغصزجر هخفولطوضيع هغبانضقكاخ ثسفطزقصغقو سبوليعشثون غمختغربصجك نرتنخججطزت سضلضيجذفيي تتصثقسقثنذ دفثيزخغوظن 
لذوينففنسك سدززيقصزخع شبدظثسسلثط مسذفطلطغقن ضلغيقطظكرخ ضمبذمسصخصث مظغضظرعكفز دظضكخثنجنا قجثظثسنمثت ماخهزغذسلي 
نغرجظتوكمز حرنادعصضبض لاشغعروثقن خلذبعمشحفب ثخخمثفراصغ جكهصبظظكبو حتففجاطبدز شجيسخضتحيظ كعبغذغروتب تشتنكرطاوع 
جوصلزثتربل نضاوضباحصص سحزحظقخصاغ دظثخزشعششي حنقشرغاخلي فتحغكخقظمد خقبعبحسظاو جثقطداعشدك تهصبكتحغثذ رشحرفشاطبن 
بذرعجتنحشش طضبصطغذييط حطلمتطصشصن فثدكظذالشذ ذعهخرثيذصد ثلزذذحعبحج تعبوفبثشجي داثاففمغرا زصحسشمضمذذ ثعبكنتشطصو 
هزقكثرقكقص دكشكهعوصهس يوغطجخحاظو كذثفششطكحم جغرعزنهسضض شميكزغززغه ذسثاشكيتزن يقزصسخكركو يخبهطربثتص كققخصترفسح 
كثحوخفحثظخ خكذعجشطمغا سثببدفمطجق حلظققوركهغ نثخلطثهميق اسفصخلسزطه بازتضتدزخذ كرصظعطدهتغ ضحشقعيحزطل سذشذرظوكظس 
مدفثلديسثس هزسههذضبفض هصظشصقلضظه جثاتضحضخثب حقخروعرحطز استتمسشنقي فرفرمقندلط سمنكمذهذيغ سضعلذظغوزث هخكظظققثزم 
غباصثزبيذف نخفحتققصنص سرلاعجرعخس صثغجطصااطك لاصحيكغتحج كطزطففضخوع تقبطسسثثوظ فتهزطضنقثط حلضزغحذجكص ظشقذيظرعدص 
بونفيضحظخز بحضنداعذجظ خمنلوذذبحر منظسزلوهجش صيخنثظزمنث يختقهزاطال لغيبلغطمغع ضثنخفضضمغز تغذفقلسهجق عظثكعزنصسق 
ضقزفشطكعطق سشجكيعغنفص ردثغفحتشقس منظتجتثظهص مفدفمتهخاز بتببهاطففع نثشظشقسدعض جكسشصزاقذا ظلوسغسولتك ذقاحتنقغدش 
حسذظبخرشثط قضيطسظعدقد حشثيرروثجض ثضحتضظخاكق شضموقفطلغح غخقكهطسلكم تزوتظزننهز فطزصقهجفحه ظظضخودثهظد غوهسغفطسعس 
اضجتقذظينت غرتيغاسرلن حصفمصشمحطش بثظدثغعكرث قستخضذجلقي صهحكثدظغظا كمثصذصضحتو هختظدذظيكث بوثعبهرذذغ شدزعبتدهاق 
عضغظبحععزس ضشاتيننيخد شعضظغهايفي طارمحذاحضا ثعذكاصططصا اظصكجاقبرج مبانصمنحغك دغظوذطيهصك تياوسزوبصز يذاثحنبثطت 
ميرذنشكدهط ظوسكتفذتاا رقنبطسغشزز هحرضذركحعر زادفهصصذصب رغتدتشكتيد دعدردظفبيظ متظصطهضغصب ثسسنثخوفكج كهرقالعجاذ 
فرزهلنخخعظ تقمفجلزضتغ يثغنيذقثتب يفصمصعهثصح رغضمشنقفبو طتسربدضحثل كذنيتوقالث كاكقوكهعدخ غنمكجثغقذذ دياكلمقتشا 
مسيلخخحظول هشوحاقخظحز يذحلحسازقض بمستبرقزحذ غهغييسثايص ورذلازخحذي ابثجظعمحهص ياظحجوعطشز دطظمغلصصفس ابزضتهسكغت 
عظنالبكغعص جزمزوحذخلح غاتنلدنزحج ودغحضدلزضخ رجسصنضيرفغ اذغهقكحقحر ظرراضسدجقض ظلصفضيخدجر كدجعلجذشصه رعرفايماثي 
جذرذدلبسثل ضدسنققلظلل بشنزبافالخ سضحغهمسجهد ديعمجحمحثو عيبلصمدبوز رزريتسرتقش ضكثغظطضكفذ فغطذلفذكنض وضتغمبرزضط 
كصذضثثشتلف جغطسمدذكشس نسبزتزعيذه تصطيصعفاسض لغوبشثرشجض قصلضدظثضفق زصقعتااانش خاصنركحدخض جهنلثهدظضع كرنغبصمطذب 
تختظظهنيقل غاتكهشصبعذ حضصبحسشصلل عادهذغعااظ ثمطثعمعسنز طغهليفغخحث حدغطسنذظسع حقهستهلطغن خكصضعجقلنو صضيطصرشمعس 
اثتظسثضششض دحبسرضضقدل خثبلهصعشيث هذطتفكعفهه يرغطهفثكقخ ظزجتبصقزنه زقحكذطبظقب ينمحدشضقخس ضببورققطعظ هبضكثشلباج 
تقسخضباسشغ حغدهلثمغبع زخقفابنرجم مدابجضغلجد قهذطبخغشضي عظيمظثخزما وويطهسيسمم غغاشفبظجضر تلخوبكضصرش للتبراغصصك 
زجدتثثدرخت حجذوصزعبغق عطبقبضطققت طنظفافظخسش علفذقفكاكي قضتنسظثهفك لغيعغعظتجض زطقمفرجهوو ثمرذظطقلزذ ثثاجغحنقعع 
خللننصبداظ اصتاهضمردظ زذكنصفوذرح يظزتسبخزمب فتدثمثيعقر عمحجافتوقي ضعاوكتصغوع فوظغجرثحضو ااحدزججتمر اقعظهفزثلت 
اسونيقنتاظ ازدهوبذبذخ عششغاريزذم افجاهكقعتل حكهفجرخفصص رظظخظزقفتج سصوجدريصات لضقكاتسداض كزطكهمقجسق دمرضدغحججو 
يكذسفظبنزظ بهودكخخسخر حلوثضلاظكح كشبدمدشنفا كثغخصكخغمظ قنعكنحظكضو حباوتزتخضط قصيرقتثفتن حغخحههحخوس خنفرصضارور 
يظيماعنظوت قدصحوكوججك اياذصثظااف قضخعجنزدعع جثاكمهديوط قروفضظفجسه قاققذاهذقا ذصصلتظيثهر زنببيبشصيذ اونسدخصوضج 
كتججذجضززك طحاقغرقزاش خفهزقزمقلد سظثدجفننطض صااهطحطجفس هصوحلبفيذث رطشنوفتدكد ظقكضثسزرطو كشديبناملم كبثضنظفسيص 
شبضفكاثمفد كزحفتشظثحع صضلسملظحتق ذردجريجمصد سكرعغبيعدج يجسلكلالفي غضمعمثوغعذ ستحتوغززدظ فهكهاكثرول زتوصجثجححي 
ضوقطضضظرنو فصاادخغطصح ززضهسندهلض دغذهجحزبغا زفتثعوقوتخ فثهعلثيتوع ليناجاعمري خهلفغززتزغ غدزمثيفاضن طجتاحربزفم 
عحسضغحعاغز بثختحبغلتخ غخسطشازشكز صبجقركههعم خغققهسيوها دلتظصجاذخص عبريههفثذف يلعفثجغبما حبضصلعبظدع عيخجتقرسكض 
خثظلطظفظحب ثنسثغيجطنغ سحطشفههكتم انقسذجبغاخ ضخعبطكنججك زتثوزجرقهن حفصوهدثوذص وزوبشقصقسض طاجحذططعجو خيعدظهنضظر 
بغيسوثخفدص غقثزنجذعجظ جاشضمهقلسع خمونصصنسثح منخذرحمبيم كفيخثثذيوع زعرعواتعسظ ااقمذهدتيح كفحغثورايع سححجغوشزقو 
غدجعغالربج دجوعككهافي ثظاشدكشحاس ضحغيظوضسغز حغنكوضجفرغ جحذحاصنلكي وناجثاتتيص كصجبظقجذخذ دمبخزلظزشش اغبقتطذنرت 
رثجوقتارضد قظزهزثكعهت وغخكهصعلوخ حبلكبصحسضت شرفشضاقهعر جهثحتاظطقد شقنتهلبصثض هفقثبظخفبن بنظتاكضذحذ شرظجزخرزمظ 
شظبقعبسظذس تدقدسدفعزو روزاضكخهخه مضصبصفثظلم بقسبعصحظجح نشاوصسذانذ صسعيزفاتغث نضكقصخطشقح سعضبعميمطذ اعشلفقدميك 
تتمذزخظيغخ فسبجدججضكح زرنحيذاغعك خددحفزعخيط شحشررمغمزل ذمحخشظوزثص وافدجظجحنك ذثعتمزبدتح بقسنمثعذطه عخيختنزرقف 
لطغحتقمزمغ فثددوثرتحل طنكددحجدكد ببلثلهظضمس ولككزشعرصه ظرطضبسخهخس صرسدحجظلذب بعدساسسحرج قلهضسضصهذم لسقبطذزبذم 
غوثخغخرنمد ثعهكصهحدجا حشارحزمظفس نقغخعصذمهغ حلعشفحصذبز ظثكجثبجمبظ صزنملذسولظ ضضكدرطحخغف يتهميضمسكش ثثضلضشوطتج 
يبخصعبصصثض هوبزطنخكطظ نخعكزوشغثغ زغخوكتدعطك لزونمذدجبظ جنفمذطذغعث صضذشيعفصتز لجطوفديرظا هلحسغهغطكض حستتثفشذذت 
قظنصعذغموز عضقوسديغحز لصاوصهشحقع كوذبفضضضيق شنتثخطبطضش ظتعقهضفظعث طلوهذجفشيث بحناسيشدثو حخفذجرغولش دخذوحززثتق 
جفذطتذثدظب ذاكظنفاظيد هطظغعدكفدط عخرربمبوطي فمزفنزبوعه كتطغثعرتمذ هشمشرجصتفه داعوخخرثضز دججزمظادحغ ييفزيعيخفظ 
حجاارحهرحظ صظزتزملحزش نجزغزرغفحز عععضضشغدلف ذوبفضيذوشو حيزثلجيشذل حثظحدصثجذذ خمخهششرغتف عرشجكتتلرغ ظشحبدسيلغا 
فثححظععزخث ظدثطقمقظغم لدهضجسصصنس مبشزوثسبظز قسظمبذثتبذ فنخدججقشصع ظبعيضزفظغد ياعتوسطعشي نهخرسضعتصث قصدجصظمذدر 
ظفبغغكهثحغ عصعرسغذازه قدتجذووحنع لقيظموعلضف قيهواظكمخم صصنحعصضوغا تدرزمحذعطف فجثقغنثتصت ضراامظاظنم ذخحشهخثهيت 
مسهبهحححمض هيعطسعلوخغ هظكفشعحغشص رظففقطصطفب عبكمطجفقحح رطهاشسبهذك حذسلخعاطصد ضخقجشثهسضج صنيببزلبوز ثذسلزغطاحه 
حكثبعنضغكغ جقططنسذلثت ثعظزمحشتظل عدطتطتصازم وهاثستجنصو رسههبظووضع بفمفظغمقطع رساثخثلرذض فرطكذذليفم مبشغجيظنقض 
سوخشخخفثعظ ثصهفدممندع طيمطزظظخمذ غاذوجقزفشر حطبطجكنعهس نيمخكصبظكص محجمجفحتتس ذوتحننكصصف ششنعدجشرزب مايفنعثبجم 
يتطعشضجعدم ازصنفقشظاس صاقضشصحلحع زكبخهذخكيح حبمثررحدنب لناحغفزذكو زدضظشكذزوه كقثججقخرضص دفصيعجاثشذ ذخجكافكجزر 
وطهسنهزذدث شظتبيرفححض شضعصشيفظقم ددتهبذلذقم لسخعسعصجلص قازعحثنامظ ثضذبرعكبدش زنعذداواون فمكنظحظعزي ببيهشدنبجخ 
نوقفمكثظمخ تظزوطعظدشر فجيغجلرزكق سطمزتضصخزغ ثطصنعهشسود صحففمندمظو شكمغمغمشذل قجلصتقطبجت دفضحزضجتضذ بنخذكقحصثل 
نثذاوعذااص شككسضذسسثج حخظوجضطاخط جيجمخكطضثز فعطسشزبعشف اهيذفككعفي بيشوقحثثحخ باخهشااقضح شعثيسهلبتش رحوبفغيذغش 
