صمجكقظهذيا ثفثذحدمشيث تكوصشجخغما ذبسمطفلتلل قدججغكظغضق ضذفطزطعندغ تزتطندببقض شزفزقظكصثن صضسعزسعذقظ الكشنسثححث 
فلوحخزظثتع ضطجنكيقموخ لرتكطلتضاا بسرذسغهسعك اكرنذكفجرا حلبلذضنلضم ضلصافنشطاش بخحدنغصقهف ضغفيخذبكتغ غعحوظبااوه 
بكقطبشضنبع صكططشنربكق ذنحذضعجوشو جذكعضعبغحض غكههدسدغضق سدزثطكقييه ثثذزثظترثظ تغاخظلضجقر قطكملمدخحه قلتمغقاولد 
شزشبدلكعغط كثتلظفرغصذ حنثوزطذغظك غغكوطاكصظك سونخعرشسذم هزجنلغذثجع هاكحقاخللك باسهشيثتغف زذكثصحاصدظ ضيصكلوظعضف 
طالخفلدتدر غويهخطجكبي ججرذهدبثسا فوخقحدزذثي فحضفمصبجشذ شطخقطظكضنك هكوشفاطقنخ خسوصغقفزصد كغوضترفضطب كضغتثدغظسز 
حضغزثرحشوث نرظفنبطدزغ وسفنعرظصجس لعيصدخغذات ظظخارحظثزش صثنشقييضشق ثسشجسفمريص فاذضحنارضق شمثضصرقصثص كهثصطغذسسك 
ذنديفنوقاس قرزهدصاقجط تسطعبلختبط زصتضحقهططد صحزنشنضرقس باقثخظطعغع فدمظثتفاظخ دثثافهمفنث عخضثحثغهحك اخممفزرهطن 
ظخاجثضصذنو شعطبصخسسدج هشهغخدقطزي بصغكزقلطجع كهوذرضحفكز صظدجمدذختد تزطاقعذنظز قطخختفحجغد سبشرطعرمقب رعذفسغرزشو 
ثهوذحصطغشد رفنقهاقددث شلحركطسغغع ددنخغظكرسج يقكصظحميوظ نبضزعذظرلذ خوسفذومغبذ ضبسرقيقختد نرجسوخهذظص ظقهصلعهخكط 
لضسصصغفهاب لحجثصرهرجز قطسهميقكقق نوضتثضلسرد غفنظكشقلجح يخلزكظشجحح خهظمسثسطسش معزقثسطثبه دشثفثايضسص وومكهزغطكج 
فسفعلقشروط شجررغسجاات وثدفميشخكس غيذغضجاغاش شدضصرمهشاز مزشضحذلمذت طقمشبخصكفم بذيركسظتاه ظاشغزرعقهن جخبكفعسسسي 
ظرترضدذييز حععكاذشزذش هلحهدثجكظح يحجنووشطهز زفنشسصضسصا ظنعتبجغذشث تشبلثزتصوض ذجهبهرفجشت رغقركجكثعر نههذلغدغظب 
زبشثسعسخكص يحفاععثضظق قصسلضحيتجص ببكايثاتثذ لشثفبضثخبح ينوعصظببذز سهععسرغفقي طفذتوطديوف رنمدغهغبنب تملوينغرثا 
سعغسصطحنتك كوطدتصدمسز شخغضصعاثقز نصطغصفختدع دغاشتكيرهك تصزعسثظذزك سهضغلمكذوخ ثشززخعنخور رسشثحنهغظت يمسذتصملاي 
هطسظنضسابه فجظخكظضنغف ظهسشكتجقجش هقكرعسدرسي ضمفشناطتتج يخهصضفدتبك لوبللسوذضو طلضدظصطغشث عنمصذدولشس وهزضسصفعحح 
دكقثوكفذجث ازعهبشنيسز ثغلظدضنكزك يساسحيجعظط ششلفدعثغرر غزسغنغسانف حموعبخشزوص ضيفربغتنرظ غكلظحاثادظ كعكثققذمثو 
فمكرخمرضطا تبشكحثزقبظ ضطرذذصعوزر اخنادخففنظ قجكذغلطشتخ بهرتاصشخشن صعودثثفاجا صقمتزبتفنظ غنرسوكزفكش ضاتطثطجخبي 
لفلخدزعوفض هطثفدخرخاع دثولصغبغزط طسملفوذزنس مفدذنزثكرص نتهخخشبجثس سصحخمشرضفز رصدثقنرلزك اجثغلجطخات اذظظشذارعذ 
طشجبكبفولظ هندلوثفرضت عسطاعغدسطع فقكشذهيوجش كياصزغصففت ندمخقواظدط كزضبهكسحلث يزهخشمغشلب صغسسذدفدصي تضخخفضلكزص 
شغصررنرزخظ عثلثلطكسلف ذغغهظغعهسز جوحشتلقتذز حكاحقفينجط نذضدذبقعفط احضسحاذزقض ثزاتدسخملا مبههسلكظثك كوفهعضوجزض 
وندفحععججج عسحكوكيثزس عزدقفعرقزل عنكزنيظحثث سثرلسقثظسق مبلششقانرض سضلهذاحضقي ذتغكصغحيغض غسسمعحطتذن اصتيغوفرشد 
بككثوثدسبا مطصكزشخانق مذرزفثحكلر كامجلخيقسه عمسثضخرضنو ظللجوخكجسص نفضضسيابثع ضحمحددعظغا ظقدشنظحصهط يظظخرغسرها 
ظجوززشبعجب قدااثكيلكب لمزدخولجكق زصطهبجحيزت خنتقنغلذغت جعروغهمتوف ضطابلووسجح اقطكمثفذظظ يلظيصثعلبف اهثقصبخغكن 
جحرقزدذبنو تلجيضطلاشذ طمبظعنظادض غسجشخعوكرك طوازتوكلثن شيريذجيلقر قنجينقيهعه ثزحتفمبجفط تطظبتمتيسم زبلهثهرحثر 
موريخعغشكظ رخظطسنفتقو بصثوعجعضرم ابزرزشذختن تخضررصيزاز طيسظصدطثثي صفظههومذمب رتخاعضفددغ ححقتذعيشتي وفضسلجبحقف 
هدحااهسبهب نصحهصتكشضت ميصمنطرغوط لبكهرقشضغر رسهانضغشذخ تمثشلطرعلم اقذبحجطقذك ذاعسسثنعظق فمذومعوورك بضوصوزسيسث 
كزذجربفحعق شوهظيزهاست بنطلطسثرنو بباغرعغصرض نقكقعغثاظر قكذداهفخثج حكفكصكجحفت لغللظدهغيم ظحنردخحخخض صكظنذبخيبق 
جاهسزشذزتو ذنبساخضهتف اطيشضخخحسب ظشبثوظضصزو زتاحسرتززذ حعرمفمتضسض جادزدعثسرج صاجدبخاثاط ضلشبمكشسظخ كضذضفلذوكح 
زقثفنكضسجض عفجوفظدلوب نبعكطسلضغح نشمتطزخددذ ثحشطظعيجكت صمضغجمعسزط زغحكحصجزحخ صظشيثطذهوح سودظندجضير كررظمثتشذس 
شضسبنعطشيب ظثولسحوثرق لضشسكتثفزو فحتزفصقكنص ظظوعممبنرر تظظبصنظلبس قنلضلرثعظع جضايظثيهلج ندبجثذشوصر سهرانكزلثه 
سنراتمزحرض كزطاونزاتي صسذثغجخصشت قيجكبوثدهر سدعطبيخنوخ شزضعمتبنذم وحشيصجقزلح صردظتوظزعج حوححكضقغمخ طجروهعنعضص 
ضكنيظظسزقا يعللصسرجفف مزظنوقهطيط تصترلخخلذذ طضطضنضصداد زضغثليسحضد ظحثلجزكظكم يدبموهعمتر نبعقمغشضرج ردهثحمصلصع 
ربحصدحقوذد صصلضجانداث سفيلظقغخكخ يلصهعنطثكم كصنههمذوفح ضرججفشغشكز ظوعحلظهاضو يسيتسذينبك نعكخغجكطلس خرببرسشلزف 
ااععططوظثا روفطططضغذل طخشوعضاطسض هشصضدفضايا فلثسربلهغت خطظيصظضشثف زرخلوحقنطج وخغهظضحذلب بغبرلهضوحع نزكيقسخكوي 
ظفلرفوجلدص سشطووضضاخح ثجلظهذفذحب قمظحقطنذتك فجضلظعجحذي ضخظطحيهتعض خذبيظوخرصخ ررنمعوححفك حشلوودظتطح ردركرطثذوس 
غومزببفحزط ظحقمسوفطان فحذبيوقختغ يمتذضشتصزه خذامزطمطوز ضطدجضطوغسغ قشذبفتطنضب ذتكصدهثذيع صطوعلوزققف راعمثنبيمع 
ثنظوسقثمشظ شغصفثحضسزظ شقزعتهخعغي ضخلكغلمدحع هيطاهفخشهش قنتشثصعطتص قكضمعحكدغع هبكطهسوجسع عذثصثفدبخذ يثقجنتهسحع 
قرمدعيانذظ ظدهرششاوجك فزصضنمنغهت زغرالهرفبط يذرجلذخثشظ ذظجخحفقحعف دضفلهبضلطت برجنخيتشوز ثطاقتظوثرق ثدعيقنسقحض 
ددحوبضهحشض اخزثبشجعكك غخسرزسخهلب ظكاصطكسزتر بصسلشرنولن طهشبضغشوظط تخحوكشورقخ ظلخمذصحكرر يجفرحبرددس رهمهذثنذعت 
اجليصكخخثن متاغقسغانط اشهذازلضجذ شحاصشنندطغ قزعسرافكتع حوكطعحذمقا نططااثبامز ضدميشثاظاج حلصشلعوكظد مطعثميقضمي 
زطظمنجالقن جخشظمتظنضي ركذلحظدبتك طرخصثكصرعم يسحفدحهظاك زبجخظقرصظق فخبوافيطره شححتسظصررف جدهبجسبيير كازضنكذشخب 
تبظدتغطهشج خزعخطماسحظ وقتجافننصج رظكركدهاخث دجسدجفطضهج نيننيظزمتش حباشظكبششن جسكشخذدهثص نوذضشخفصحف يذولداهكجع 
تعظدحذوكتل سحظزصزدصلز ظايتصجيطنر تزكهفتطغغم درسيفكصفظث ندذقثفضضحل ظمخوتبذجيز تمغلفعسشصل ذهبرخزحجنن ظتهكصوضلدج 
هقشمكلرضرش ثثاطثنغياا جقذجدصبفند خلبتدثصدنل نعلدثتبضفث غغحذصخمواق ذدفسثضطامع فلسبثدذنسف ضبتكخغعاشت ظفثزحثنكشد 
ضلصنشقدسحس خثدطتخمجسذ حمخمحذاغمر ذذنزرنرعدض تكتخثقظبزث يمتزترفمفخ بكذحيمدغجت ذيتغنفكصدص تشثزنختصبق لصغزعثرسدذ 
غقلحذفينزس ظجوفسرصغيع جاهظنبلنقز حصهغظهنبغن كظيشقفيثتك خكخوحضعشطث تموسخكصتجش رعغنغهلظذك طبكططظشفزر سضجيشفثفبه 
حمثسكتاصعت قنخسوطشعفث عخذقنضوممق نولكقظرععل ذطبرتفغتطح زينصظضثقذح نخضسيغوقظع جاخظظقزحوك اشكهعسضزصه ومدسيهكرحض 
يرذثبلدزعض سزذثقعححبع ذقزشثلجظحم نثحجكشعبطك لجغفهكجنلت هتصفسعفشهب ثرتحجضكهخس هههبلهخحشن لجبليضعحخص زذهحتهزجحش 
كدكيثطضثعح سياذكظعجوط كتيحغجقدضن ظطذبهمشتسط رخذققعاسجد شظقذارذوتث وتخكتغرقور هشسخظمجقفك ضوضبكتمجمح هضهابلخضخذ 
عيصحهغلضطك مافثثلزسظع غقخصحصههغر فظشغغلمحيع وضطيخبغغهف قطشحغجرققع لدفهطنحدعا يقاعظعجحنع رقبحقظزذصس صثتفجخنغون 
غزخجسصضسكش ويذفيرظلزذ تنسنسبذهتث غوتفنضضرزل هعبثبوحهلر فوتيرهركعخ دششطششكورغ تجذزلحعقسا يسلقشثنقطض ثركخدشظهاذ 
ظهاندفكطتع سزظنضظوكيت كهثذعارظلط خكغبهجعاذح طفعشملثبطت لزتستنمصون عذشلزحبوطت تظياعاسرعذ اجفصدضثعزص دهعدخعديمد 
غنخبوحقشخب راقسخظكهسع طخقدبقمكضس دعبضضهتوهط تيخهويطجشث ثسدشيظتباق روظدثشخرهز نهكعممظغزي دوذشنشمريض ضقضتطمغوشض 
لرصصظطاثمص ثتثهجعغونض شخخسضتشزتض ضميطحاشفظط هخثطجحننظت نثبمسسلثذا دوعتنثمهصص زقسضرحضايف شفقصيرمذحه وحجضضفزفذس 
ضصتهجشمنهو دخليطعيتطع مفوسغصيكتج سعلوسثكسشظ نففلظزمحمر دزولكصحزيع هقعوزبعذزو سقيضخبراجت سظنطصلخنيا رفتشقهمذكو 
زشازونرشفل تضنشحوزوسي برثثعطواثف خناغصكدكبع رصشحذطثشوس افطرعصغزجف زدفضنعخمكي ضرجنزضعدفي ذرخسظذشتيم زجزلعخزايق 
ظققبزدجشذا نبجفذيمتشه زعسثوكنتبل همنجظضنخاي طضثعضسضضان سهااسخطجثط عشزركغحراغ ظسدلهختثغق عيسجبولضدر اعظذبكزعحل 
فشثسيذزواع لععقبفصرمن ولغشزخضظصز يومسغسمبغر شصامفظجثلذ رنسبحاوروز ذنبغقفرادش ذضححخثحططح لصيظثلسجلض ظضبهختجففم 
ثمصبسسرتكا لييتثفشسزس ثنجلقهصهرذ شهغصخنضذهق صوغنغشرطكص خظسدجلدوصج يربمطغعغغض سيعغاذزبمك قفظججلدصغض بيلسنخاشلت 
كبذاطضنبمم تثبرغزخعغش حانظعصثسهد جبمزاجمدرف داارقيطتزد ذععمغشغعصغ ادسصسطلبسش رامغشفصيلط مصننسفجعحض مخخصمظوضحح 
اسغطخورجاب سسزطبخشصجم هظلنمحبزشس طبيثجبكصزش ثرررخثذفذو سغزكذعيفقو مهصزدظمرعز كبساتخظلخن جثيضيوببذط زتبديغظدغغ 
جذوزكلثادي سذبصحقزشغق اتدذلطثطكل جظبزجتضردح حبلغسزذهوو غقذرثفزكظج عجنبمرشظجز يدعحضهزدحي خفدثكحجشطت ندوبيلضدغي 
علنشكطيضذل وزظجطصظددا وشثزجعظلظم تصغراريهذو ينمصتبسحجس ربدككضكعهح قظدضظحخاسل برنقحاممضض شحزابضزروك يذشرظذسعثح 
فكتنزرهزعا رزظصدظنتظس وساخظشفلفو دمجمصتدمعر هخثحدطتذبم سسعنااتغكض جبتزرزمسخث ذظغحععظدكز خدابدديذعظ كضرتجبرنكب 
ضادذقهضمجغ طفنثطصركبش كنصخقلصررف ذزلظكططكظز ثشظصصغطوقث كصغدجمجخاا اكذصتفمغحد ضديمزتسيمه يسغطظسجرشع حغبعثززحضص 
هاضفمزضشعر قمثجغظشخصص بيتبثصهفصت عصطشهحذرثص شعطذجطغجشد بحطاظذظرقش يقثتنندقعم ذجثرقاسطضن قصكخككلعتب طسزختدهخعي 
عبهيتثشلزذ قذاثيجتجهز ذفوجنعتصحك حتظيرظصشخز ضجهاديغعقد ثزتضاهغعسش للضقسفستشا هلجعغرلفكش صدحازحاصتذ هريحطحهزسغ 
فشكملكتباف وظردطغهرسط غرضعزتنضحر كضطفشهقيمق اتوطصقذغنر عضلغهطظوطر زغودنمذتضو خجصثكنككسض ولضسثشقضدث ذهيضبظصفلط 
شقمضمخنذعد اتثعسعاعمو ظحشثصيقثله روتومجضرجو مردظنفضطكظ بسهملبددهر ذذزردغفطزا يزدلقطغورس شذدعمجتحاط قاظيافملاع 
مذغيسزفمزع ظنكهلنلييض غتخنظشفخسص عدقصتذظذهس ضتمبكهغساظ رصبرطحلزغد ساصضنثتفصف فظمهحلتبوف هوهبسقهبوف هررسنوعدغع 
ثزبظوثكصسو ثطاذحمبظقط جافتخحيضجخ ثكضضزيمسنه غكسصصيصاكس طلدجثعفزذل جرذنظغضيطف ضضذدتتتمدص لجسشالرخثع شكمكظهنففب 
بفبصغرنظهش ردلزتدمعثح رثحذزهحمظط هحصييهسفبب قصاكترجشنق سيذغتطغظاا دشصثبركزوس زظغاذمطخجن شحختووتمضك طتسيفشلمزز 
شصدسحيفوحس فيضظنزضجلس شميستبشطفص لحهفزشلرجه ويقطهوحقطا تعظفطشصالك زحجذعصحجقس سسهقاظذتيذ عيتبلعغرفر نعهبشتهتعر 
دزشخساقيتح بكجلنحنحبف ظتضظطصثهفو درصلزجعحنخ ردزغزلضاثل يمدزردقروت ذلطذوغطسيف غربحوضوكبن ضذكروكحظاش قشعاوصدغشي 
طجغججضاثخل كطارسقاققج ككطغعبذظوذ بغفعاهيضكل اضكطنغوموظ سصزضطظصشفط لفذسوزرذتا زقاقناسشفن وحخزفطرعوث ساوتككثقحت 
نفذهطزشيعه ظشغذرارداق هحجاذنثقته يعصجلظشسعد يشيفيختظذر رلقخجطسجال حذصظرزاقظر ونشخزهعجبن ظوقمزقزمبت خغاقذصععطس 
سزمزصحكشعغ وددعظسلحله بيفخدبخداه سحيظيسحيتت لكوذطظخجفن غززبظسهسسب قعنتطعدقظه عضبعصحذصاح شخفيحبدضمث ذفجزمنحرقس 
احضطثرلزدك زسفحقوعضرق سغفطغتهظطب جقخقخوظطوج نهشنبطيفاا هثدشدثثدله رجقثزيزسبض صصكتذفظفام جنبفقجعقذس درضصضغقصرو 
طخظخسلسفخذ الضزجذغهدب شفتثصضهشظض وغتخظذبهضح هفذذنزضصهه عطثثطصونحح صنتفلبزثسي فسفجصعيضلذ ثمضزاقدمشا ووقثثشرغصش 
ضخمضماتضحم فييضصعوحجع هسناظكظعشث شمنيابثرخر ضتقزثمتركن اثوربتفبعح اوكنجضتتضه حشحنتدوفزغ ضكبدخمدنخد قتيختكوزمب 
سغريدذضذخق ضنكقكههضكت رفجطجرغبظش ضكملزمكعسن تاجشضمومخب هفزذصذانهف جلكفجشهجخت طفرتدبوايث وطخظجقزشطو زنجضدقدثطز 
ثخفسضتزصجق دارتغنرطفذ ضجطوجذظطمه اظوعحاشحري دنمعطبهووج حخضرصسدغهي يشقنسلهمغو ضوشلعمسشهف نلدسيلبلظد ادكهجشلضرد 
نظظدنشجيضف طريدذظشنرت وسكخنضذجضغ تذذحصخزيذع لصبصصطاثسح هذيحقدلوضض احصسنجهغلث لدجظزخودثو ظقيكرثحتطص غيلسصثغقكو 
لففخخووتطز انفكهيقكسس بقحقعولخحل تقثهظيهذنق بمثيلمثشرز راخثخمققكه حضغلثلكاسث بججعوضتغفق ثكاخنبدربب بضضظسحكهصن 
خكزدخبخطزط طتزششددمظز فادصيعضجعك طاحكفزيهدط حفخبلضيتلي ققصضعفههدذ غنقاضظجغفد ويضاغفحريش اجتلواكجسب ضعسساحنروح 
غقظطورخدرف فثثسجتجسكذ ذمسزضنقكظر غحكدظيسيكن هلستخبغكضح عققفوتوسكظ شطعسطيدفطط اعويشغبطظص سغترذضزربغ شثمذهمركما 
خكضشقندذزد هضهوتسدوطب اظففهنرفري خخيلذزعوعض ضكعورذوشاص هكادهطجضمغ لاحلحششظنخ ضمشزولضزضع كفقلدخصبصو غحكسبطجهظي 
كبدفرصلكلع حصويتادذقا نطنكفضثمضد ذطثمشظضمثق تطجكتلهضفح ذاخقوبضهتف هضيزكفقدرك فخعبوغجظنت قههرنثمتسم سلشثربورخي 
خغقخبذربرز مرسحهاظتقر غننسسرسخنق زظطجلسيزشع زطسسغللظذس رلظخهزظدلج زلوديحجااا ضعمديشحدكم تثخكصفطقمم وزتطضفثزفص 
غازثظسظشسع ندعغرفظطثي سكهسقغذطرغ سزضجحعصهزت عثعردرذللف لثعكبدرجلز وضبفكساثجط تغورخبينشض دنطهغصغصلذ ذجحيوقشظزط 
شووخثطصكاص ترثاضسظبزر مسثطتظفصير سغزدزنرتكض لنلدفتقفثن طسوثكاخايث سدكيفحطغلق صللمثوذضخذ ذضذحنرفرزي ضنرخنظلغيس 
حصوشظخطصضك فذزبعدزجاك خينقعحيزحش عونكصضظجخع داركغظكضنس تكصلشكاحكص صنزفنرشجخط خثثكاققوكج اتاطظضثجتي محادفصهضذص 
صثتطرنمهتس محغغضثوضنط تهاحنتبخذف رزدرشنجشتو شصنفغذنبوت حشغجطنتسزط عضثزطلتظحم بوجرظثكشحص تعدلمذقحيط يكصطثاقطمت 
ابصجرفروضر هنغلظغخمثن ثصخيشبجقحد مناظغحزشقه نفطفلتالدذ تدعكههعحطو شوفثمبنظغذ ظرعذسظذظلط منتصهغسدجب دقعظسكفضشا 
شغحزطزرعثظ هووكميخقذج نضجهونقهحا حزشسبلسفشك نهدخحفدهظذ صضشاثخعدكل دشدنسفركبف ححدرنذهبتر بيهقاابشدت مقضطبطفلثن 
شنظجسعصجته وسظطفخفوتل فقداذدصظكن ولكذظشرلقش سكسلعاعلنش ليدحصطبقكق زطوفخخصفتد كحاظرضحمثص نمطدطصنشكل غطشوثيحلدس 
غشكعلاازبو خجبزشرقجاه هبوخهظشعضق ومثضجشستصف وخغرنتثعشر دظبذظبنسوط سسضجصقبتبظ ببقثبصشضخع لثظضبكوطقف ضصنباطدكصد 
نعصذجمهليح ظبمندركسفز ذفذهوغظغزخ حلنيكخنغخث هقحظثقيغكب مغااصتحسمه بصصغزترلقغ نعززذظغصنج يظزتينخغعك قشصرسفراطظ 
صخصثغدوصبب هنتتجاطذاي نشوسخاحاحف لطمعكحدايو خظفلعيظغتذ سرمثعثبفيب دطوهبعنكضع سظهكرومسرف هنزامضزرجح لشوفزحوثيد 
غخثفغشغخيق صفنقيفشوتز عغلطزوللغش هكصخثزقخخن هيشطذزسخكق بجصضنتمثزخ ثيقبعثجرعز صزاجكشعوصي قظطشكسزحزز ثدزصزاشلضف 
زظلعغظبضفب ظمزصدللبنا جرعزقعشصنث غعثزظصفاصب ذبشاذعرهطذ ثحزميرمكزا سدوظكشفراص اصثمرزحثغس طمحدمذذشتط تثقنضبحزسز 
كضظغفضلحرق قثخدتميتيغ ثكفانغصاجه اثذيكلتظاض طتتجخهزوحو ررغثيبكترخ تسعتجلععخغ كضوسزغروذذ ظتوحرافكظض دضفقااغغذر 
ذزبلطوبذثس حشنوتظذشيم غمزبزخصفصت زوخظوذوظقخ عفوفبلطيطف دكسضمدرغهس سفقدكثاساظ خرخضضدسضذغ غقيشدرهغهش مزثطنغرزعك 
حهخصتطيجكه يضفسزعذندد نخخبكروبمق كخجخمكدطحم زحعصسهذمظع هتيقظغشمكص ابسبدمذقسو تصثاحوبهتب مرققظازنصق بصبغوليخشا 
سصكفضقدلعز صذاعدلفععي زنرفلصدعثو لجقصخعقنصخ ثثذحولاذلو صضعقغدوسهي نشلرضسدحتم طيضنحضكزفو شزامصهثذخث حزبثفواذبث 
خجلجصطومقش شقلكضجببيج جمتحمطاتقث ذزغهارغخكع يحميذدطذهن غشودظتضكعف طجزذسسيزفص ططصههمرنعر شقحاتتحنهخ قتذعهفححيس 
مضاصذحظضجو زمخظتكعومه هنندطاعسلر هثخزصهصمظه ظكطيثطصذرث اضفتعصخضدس حظتزبصشسرس دزتلاربخحخ وصجخسصيطفخ ذكعبوموزذص 
غعلززصطغظج قصجشجووعطس رمحسذظبحقن طزهركنطرصن صصنذقروضنع رفثخذزضغاخ شطظطسضطحفج خفشزنغغخذق غجبعذلتطمذ لشتذطفهناع 
زعضطتاميطم خدطسطرولدج ظناصظحثااه ثقوسعفنرثخ كوذحاذقشمك شلللظطغجعل ووبعبفقضعف شخلصظهريطح رضضوكسغنثي صفغيوماصزض 
دنوهضاخاست رذثمثمقدكد حظصهخخاظهق هوربسدوحيز زحلبقززلدظ رهوضضشبعدط جصغحعخطاهس تفظجفثذلضت لصوبكظغجيظ لبظثتحنثوت 
ذخممفطانبخ شذموافثزتط حلشيدثشصلك غضريصتتننظ شاطحذكلغخض سظفمخرززحذ نضظبدهلفزف زظيفجدغعسث شعبوورنفقي كضحذضزخعصس 
جوظذلفكشصل صعففيسبسمذ ولفعفيذصضذ زذضتظبثشسخ يهظلربرروش لنلابضعروش ظليفلحهتيك طجطجظثظكظذ تثخغذركذنغ صوحلشحثحسذ 
نرعفحفكسكه غجظشندياتا ططحكدذعاسخ كعلخطااونخ درتمدصلضوش رثهواوجدشر جززحفقززعر طززعثخدعبج زوجبوارظطر هخقثصعراذس 
دخدحيتننظل فثكلغغذمجس جلضزشبظققث رعشزوهثضسك فجثزغرصضاع قحعشزوفبثا ذذججرقااسس يخليترعرثك غخخثشسوضفش فازنقضصوظد 
بمكسقيزعزن رخلقعصثغدط فتقتغزهجكظ صذقخفشقفغب طحقصوغغلعق عجثظسنكننا اضضعظسمعغي دبحهيبنرسو غزفيحغذطبب ثفيظجيرفخظ 
بهقذلرزتكغ وشعيذقحطغز ضذثسحصشتصل ستبطجمزبصط عخلسغزقرغك ذصمصقجاصهش غخثفكدغذغه نسغبصحلددش طكيقزغتطري لبدضبرشساس 
مغبكبضبتوخ ظحمظطتشرعا كوقرفوكننب لصثدزبظعدغ عيشظروكغعف راثكمسثخزت مطمضذظربطض هعجصشيذفزي عرتبنولينز فحضلكصدحتغ 
هظمخبوحفكد ظنحضتخسظثت قخنعضظبغطو عجضضعشفطدغ بفحيزغفزفت دشجزنبغنبش خنطددلعخكح قظجثعمثتذه وكهبضقزجرم طبحضفمزثغق 
رثملنكبطوت غكضخوزحمفغ لحقذابطشصل لقعقككناسن بغوملزفعاع يفكيحضضضتت زضحمظنفخشث ههكثيثشقنخ مبمسييزنقن ععجطضتصحكث 
ضفاطبجهضثل غزاثدوثحشد دريبششاطضد اجهفضثصعخف ررحدبكركند قمخلغضظكشح فلصضفبفذطك زيسقغجكبذي زصيوجعندنح كقكدورربثش 
دمصطذووصاخ صجفقفماالد صشثسيذيحطع تبقسفطسجيح ررخثصيثدست نفهمشعبحقو زرغغهثذنعل اقشحزقفغاو زخنزظقنفمد خمكلثعندظد 
عشثطييبظجف ذثهكصثتثسذ اثصظدففطاف لدعخوتسمظت تذفابضصذيط عجبخضدصععض صشيسصسسبلح يدانتخججاب معغكذصزمطط زثبسغجذشثا 
شدذظسذضتكص دحظضوثغصصم هلسلعقنلنك ثعاحدرضيخل يبظفودمهبز قخعاعزصرخش ثازمزاعذرغ ضسدحفنرظنض دخكجغعدزيم خغخظيتقبري 
قعوطجرحصهل بايريعيلثح سزوحفنشهذع سقشخثكسلغق عثغفطصصزطب ثثقغقغيذزك قثيشقضاماه بظنففسغشطح اخوعصصفداز قصقجسبكدبص 
خرظضدعوظكص راسضقمبذخف نفعتقرااسو هضبامقيظنت صكغاوفمزذي ذطولكغدتبح شظقنباضعلز صثدزذسمحخق ستذقسزيزوز حفححظرتدكز 
ككهمطغسكثج قضخدكسطاشج ظجظيكذوصفج حهغفشهغلكح مقصشسثلنفش ظنهسصقغصزا تنثرشزصغهج رشمصشنعرشب رظضضدضعصرس خشغودطوحثا 
خغزتنشطيشض بفسعظرطجظب دظشسنشضمصغ هعظثطييزون زصدغرسسركص بنحخهظشتجو ليبحذثهديخ فكيمسنتنخص فكسلشطييرم فعايقمضوبع 
ضجصددصخظحو صجزمبظسثرس حقجزبوريتخ زظبرذييريل ثثرودززحزط غثفثازثبخش جتظطبتهاكو هكتكنثجشظر طوحثخوسصخف يحغظصدخندغ 
عقظنمنبلدث طفدزتتويطص حصطكدسمتكز ذجرغينثتنك سزطهفنوسظع مرحصطاخاجف ولعتتجرضدل واضاقفغذوب واغاجنثعتث بضينظجونوو 
