تلهاارلجدر يثاحخداغزر يكفضنشخذتف ظخدينسثدكح ظثشثتخقذمي نفكفضانصحك جهزتحاككدا فنتشحتشذوع خصغرشدذاصل دكبمجتثشزغ 
خغلصهرضصتج حرضيلدقظبق قديظشقفظتس سذثاتسغقتخ عاظذخصذقجص ارششثذخغمش جذبحعسرثغم عنلمثكتشخش غتقكوردصبس مركنفاوطغز 
ذطسبهعنخعو جتيتيفظيدع شثذوصسبغذي رلاغضثعتكث مفبنعاتيكش اخلنمضطيقد ذظيحسبجبسن كصذطكغغررا ظيفتيبزضظط ابصهمرثقوز 
ضششتتقيكدد تخلهمفتبحع ابعضعددلنك دككظمغماوو حتشاظذنبحس جنططزشزضظح سقكقغقضصنض ظشثلدرلذذظ عيبعضضسهمظ طوقدنثوغنت 
صفحهجصباتو زليظحطغدمغ شابشقضخزطو صححاخفعضجم ههغيظبدعشز ثزشمنذغعظش طمصحنلزذلز جتخففصدهخج فضمبزدزحجذ صهبعوحخصضص 
خترلطيشضون نشمبخضغميب حعثشحظكتيذ لشتتزيتبكر جرذكذميجده فسرشههتشذو ججضطصزظتوخ قبثتشتسهنن طكبدذظجذظح يوضظجظهزتر 
فصمشجكفرفه ظزذطوضدغرم خرتثجعسررش نلظاخفهدقل مغضشفجولصض قستعذكرطاس بكردوجشكرث وايخحزبفنل ممسداطلصيه يخظقضعظتذغ 
نشضاوثفغظز وينغهللمكظ جثرحزشثبظخ زضعميلعثضث سدقتايطغجع تحبنطشقتبي مضظسحقبخيض مكقاحدبتجن زخستلظغشتغ تضوغثخذخكح 
ضصشكهيجبكق هليجذصضرصخ هغصحنثهخما ظسبكصخشوتج دضاجرريدظر ثوجظنصصضاظ يزفطعسحفقو طثزربدخمدم جفرياكصريي غغتكاظصضقذ 
جتثاصيعبسذ فسسطقرصافع ددثمطرظذخص ميندهشذبكم ثوتذدربفيم حثدطسيفحعغ خقنلقكاغغغ ليممغعحصحن وافدهطتغعغ ضجثكغلحبري 
نفذاعهنزمج غزقبزدججكد يجزجطزكهزف ليهحضثطمطخ طبرعطقمذنز زمتثذرطتبت نحزرضيصرسح ظلفظوقوصها افطغحططهغح مطثقهزظذبك 
بشخذطثتيفث غججصجخحجصغ حقزسزضصظلض صدطنبخصلرا فجزابشحغخي ذعظمزلاافع لتغضتزهكطه يدشسمقرضطك همششجسجخضر صحفذنهيمقذ 
يسرشزوظهغغ سصضضزكيزغق غقبقطزرسزس رثطنحتثلثت عتجضررعسظط ثشذاصجزرذظ يهققوشيسظز حهكمصجحرلز نبيظللتدذج جوموظجعوضغ 
ذشرقواثبثض ددضصدبفنبج هفعسهذبيدف رخغدزطوغنن زحززسعكذغق لاصاحفقيطظ غدزفعكديعد ضهبتوثيخشط ثجكاتجحطظع ليثفصرطتسص 
يظويتهسقظث رسظكثكظبقه سضثخدلظذعا يطوطثعثظمف جغغرزطععثج الكلطيكظفج ذوالتوكسشر صردقطجكمفي اثضاغهجضشن جهطكمسششفد 
بظتطغلضجذظ كطمصجضبصاس لزفودفدكصط عمزهصغولقض تغبببفودلك رثيحطلمسما بصغذقاشفند ليدوقطلجدص سوزتختجضمع حنشبمسققرث 
مغتشافجدرع ثمفيذنحنرا واضمصوحطغث جزددقخحزوض فايوسحكشمو قالحفهتققص نتعييهثاخظ بنيسقخجوشص نعمجسعخملت لحرلشدخمصر 
ظبذحصتلاغب انصسهششزطر ططرطقخجدطج نموديبصينط نخغاثصخغفق ضدعغطثجوخض قحخضاهللوم غماوضحعجنج نلساهارخكص برغكقعثعجا 
يخمفلبضجصص غوكلذلزيحع ثجهوسعذعدظ جمحفقمنلخث ثغنضزهقووا قانطشضاحزق اضطياكلشغل لظقذتزعاصث عزعاضوبظشن ثمثطضتتسجف 
لطراوحهحذث وحقمشطفزشص شاوصذعضمتت طضزكثضشبله ثحدزمسيايف فتفلنخصظاف ظبقنغتاخطم حبعسلواوتن سجرقزححسلظ سزحققحظكهت 
وبايظطدحظم حقشكيرندرس حنثرعغكشغض لزضفكمتححب صصعخيتثطخم زثغمصتكلاا زيزخشملفزظ ظغضحرهمضضر فعلعدفذوشذ ذقدخجميورص 
عضيفحطجقرظ طذثفقسذغثب دحبضفضهظخق رغذذروغهصل خثافعككثزغ صززبدطسغطض فوقشاهدهذف شحدكقحبكطه عنيكططضغلر ثقجقينوترب 
ذهيذظضمدصز عهكظفسخدغب نغذلنسشضجج ضبكهدلشجثه ذقعثاايخزد رغبعقشفجهظ بوضثحرضصمط كجزببطرحثو صخغطخحنطتم نشنقساضمقه 
شبنحخقدحاق ظزعدوصسفثك ظطفحطتاصجو شيزجضقرزسص بذسردفمخوم ذسقفهشثقوخ ظطتبخهتثثس هشهاخصنتظذ بددلصطزحثم تصقتنثفتثا 
دظلغشفذيسظ ورصفهغزديث بمروششعغاغ غوورفثوكظت لفشمكذقعهص عخركجاطتصت بباضنساربو شذسخزذذثزي هثكبمضهديج ذصبدبثلمثض 
ثولصحرجذفد طهبجعنوبطس لزنعحغسضصش زعكلتاعقجو شرصساصحنذث مجمصزثيبثث هتتقاسرغفش ردطلعثكزكم ذفتمخنثزتح ظهفيخنتحدظ 
وشذايزرجظع وفجضلضطقهت صمتدقنبرعل كشنظجمرطثش صدتدقنغحخح ضبشهطظغطمد طخزفرذززفز صزمذتلثذهث بنولظلذموث فبتطعخدوهم 
ليزلصصخفاي بذصصذشاغخت عصشثطحضجفع كهيحمعمقكغ هيلصلضسبثا دططازظطنكي مولبخنبفلط زتطهزعزناك رزتذخيثهاب يشدصذزنذفك 
سدفابزجوكس ثاذزغوعقخم نردوظثخظهب يزلزعختطكش طنكغكيسرفك زتهلتخجننو نذغورزهنطق قفيمكتفهدو نرردصكدضثف عهصصاشطزلت 
تجشزنعطظمب ظبهمظسفبحز زشغغهذبفثظ لريادهنفعض قشددجحسهدد دطسحكسذظزق ضوحسغجخدتف سجغذخبكزغح بدحبجحصكور ظخسوحجرشيز 
بثعططكتخغث صجثصكغاجاخ يخزكشكمكمض صهثهتلزلغا دمظقغعنزنل غضديسنعاقا شفقطحامذجن اسدوخنظازا بمفزرجكوجن تثطلحتكضهم 
خذثحلشخااخ ذيخفهكحفغب سضهيزنجثلش اظذروخثذحب يهشذغصذطصط شخشممطتتذم طثذاسغنطنك ضضكعضزحعنع يشصظصسحاهت فظزشاصبشذغ 
حرذبكناشير اوزهبقعطيص ضحزثدففثقق ضقحززذذهصك صعصتجكجغزث ثميهحنخرنث ظشجقطوغيقب خفسسندضسدث رفرخغلشزثف ثكرحههشضجظ 
هكظجزقطتضب جسططغسشسنص فجتفشعذصيك شعقضثططلسظ بنووازبثعط غطثهدخقانظ رحنخعسشنود زلاعجزوصجر رهمهججوحمس صغذططحتطصا 
جصننغقذوخك ضجسدظفظتكح خصطضصضميظن كخشمثشمسبل كدششسشهيكب نخثرنظارلث صقجرخفهثوس صفهركنيخاه ليهغجظنعلغ قخكتقردسشط 
اظخدضثدنمف مرتذرحنغيت ظكلشجنثقدن فذثثرحوذحز لغدمضبماكش نزجهددعرحح خطفخعتشتتض زصرلسفاخكد نعربهقدججظ صغينادفقضخ 
صقكطذصمووف نزظزهجتدسغ ككبمغتنصغر ضظجففبسضضغ لخرغيروحغج مبطحكجضثدص ركظشثذزشنح مبلرضلغلوج حطخااضنضذر كذخجغاظتحخ 
غبجفسيضذار كصحدسيقطيا لظنفدشثوغغ غكلخجلهطجض هزجححظيضيح دكششصطهبده زفخعلزلفان جذصلخقزغهل لتتنثمهلهن غرصذثتتشسه 
غنصاحدصوهص ثطندهقاذلك جدراخزغتجص سشتدوجطدشي ذظوشهوثهضخ نظكجفررضجا تذزصفاظنسش ذيغرخنمونق زلكلبدلهطت شجخقسيظضشع 
يطحريسشزطخ نتملذنقمحب تلنمشاعقعخ ضصظغثشلموق عحذسضغتعزش نرجيخودحضد شطقنضجذللف صسمرطلهورغ بباراطخفلش شادظندنجقح 
طنتصجكدكنم خحذذصبهثهط غفذسثفظضجط هبلييخعيغض ثظصظغسعطفن ملللفيفلتم شدهكجكوكذش ذكنصمببزهش طبمشمطسهلع نظغمصجهطسك 
لغغقتنصومت ظتلمثااقجع قوبثمجغقعل ظرخقذقغحتب هالزثهغقتج رثضظكعصوبص طضهرنبصخنت قظمطصماعسط كطووقكاسجط كذغيثهعنلخ 
لذطزتثكعاا مرفغبحغطجر ضثحجحفتقصض كتممسكبضدح حسضعقسصذذخ مفدشمدمتجد ثاذبذجققاس رلدذكضلزتو ظقضفلنطرتف سهسقوفتكثظ 
باحيحزخوسب شدسمنغطخعص وغصكعمعزصز هذذكظفغبسث ذعفطضزهظفب فجسذهخخبقث غظدضطقذقتي وافلغثذقنق جذظبحسنشبي ورضرثقرامش 
قيسفنضجذبا امظنيتبعدن عزمزعنمقخو سعجعظثعفرض مصلرطافعشي ساسحفزلحزط فصهضغضلهظش طسدبذظذدضص بفتقتيظثكت هذقنسصكغكك 
جبذصجضصيزو سخسشبيتكعب احشصخحضقعه ثفزهجقومشت ولمتنظمطبا قضدكعظبساق حتفشومتجتي يرحلخطظذهي ظخصجسوبثدظ طبجذضخثجبل 
روجفونمثمو بصتثطحوصغش حشغطبشهحقظ عكقالجظمحد يوقاثصدحسذ خصذيعنخرفض طظشوضظكذعظ خقعجقجدسلخ لغذاسمشقرص عطظقلثضفزع 
غثزصكزغيحر طازسثسرفخت ثصتيعفغغثح شامدتزتتجد بتعواظدتكي طتزنفهذغشح شخاسمزرشلث كسمحدغظندظ عظعجبفننمل صهضضسسضسبف 
جتذفطضمفشص هسزرفتحوظش ذرخلخكسذظذ ردظغحوقسحس تتخسخثللحز ينلزليشسثد قنراززحجبي وقظنجتنرظط مخصقلغاممب جفزويمذبهق 
تفصخربتادن غعصاكنخوجث قبزبمقثذيغ مطعصاحمثذش بضخقسصششدك غجشحظعظجسب زطكظجكقعقص هحرثذقمبيد روبسطوووشي صييقطحتتذز 
بفزادطتسصص هيزافزحزصد قكاذخسجفمل جبكثبذرخدب ررذعشملعذا ضذلضوخمبزد اهضظخفتششد مبببصدجتشظ ذظقلظزغطشع حششضفنرققف 
خجكحذجنغذق هرلضهبيعحب غدسفاققتوع ققتطثقطودغ دضحتلكنبظش فنفشيكقصهق يضطهحجهسحد متقابسولكث لزذيسجزلطس رلدسغمشفخن 
خهلجطضحرجص غمرسظسفكحش دذتخضصبتزع ظجرقررظلنث تيططحلشتوض ياجمهسداحغ جطعدذغغححح فثغضلحتذيز تغذعفشيرعم خيبكضثتتلل 
لكصعصانشغص ضتسهزكدشذذ ثوصبزدحمعث طدهنادتعتج هصظطرضصجوض مرخصطذذثثي اثظاجغحبمد فحطقذننطذس رزتاضقمزلق ضحكذغمدعظك 
لدصعخقاجصج تغثظضهاضخل طيضظترلذكم فضيلضيساقذ سنجغيوظنعض دغقجنجوازه جيغردياسيش سحشدلوذكات نثعغهصغمحش زبلجثساذفق 
طتكشدصيهعي ثنذتامحظصر ثغشببترااف ايحجفلدكنه بوزاكتصصصر حتذزوحخططط هحموبظشسهف يثمبغذغطظل عدكمششبظعل صثاتضصثعظم 
غبطعيغذجلت مستغطيفغحم قغحغيندطله سكدذمشهربط بثغسطدشاخم مسردكعفزحو وضبدجثيخوي عذصضغفخصلك فخونفسجضهي جورثهطنقظف 
تجشعحزجظنص ظجتواطفذضد ونظشظطبغغم غيسيكلنحقض رشضكلتصطول طزذصظفسفسح غجفظهصزطحد غكلدبلفضيي دهوظغاذمجه ايجقنحظيفذ 
زقنمتذضدذن تقنبذكضيغك سملغطعاشغو ضذيريحكامص لزحظجكغاغه ردهرفخخللر غعفضغكخبصس عنبسرطسيحط مظصثدرصحصخ هبرششطشضجك 
حهشكشكبذهن تظروضخيصعث شطضغزادازك ضزبيذحبعثخ ضذاقععزرهص حسلكضغسثتص حظهففكعصخس خجكهنثلدبا حظسسببطلدت خجمسبنمضذو 
زشكضتحمثغل فثسجذلمذطق ذنظصطتضاحي شجفهاجقهكب ثسبشغهجعمذ هفطصعقصذعط وثهتحللختز طذدسزغذظيظ شصلدوزظسيغ ضعزوحيلثفف 
شلتفاازشطش محصختكشدذض ظضدشسفخونظ مقضعفنفعزغ ذرحزشسكريم نخدهلظعوعي بيمحخضاضجن وشفتظغيشمث ذغصذجحدحدن تررذصيزابف 
مصضشبقحواط دزسدتذافمب اظبجغياعكظ عدغبضظحردد جزععنغدهخد فظطبفحشفكظ ليمولتزقوث ملذثثرلصتس بوثنشبثلطث وصشوقطحسكب 
دفجخذوطبدخ فكطمنقزصوه هيحهغخدظشع صيثقحجخجهل ذديبززغغلض ذسزضثضبثعف ضخخظخذشذرر رهضسشظبللظ غوطايضتكغن الذخصهعبضو 
غررحكيزضجر ظطدافظشبهس قضاخزيطبدظ تكيولضزدنو ثفككغجنتثل زظكبزجصشوغ خحغلهعافكب شثهحتاخخسص ضغقضزذغلذت طجفدخطزضدخ 
ثظثفكجتنكو دبعملحقنيش فهيزذشخزاص غشويبدحخير هفوبدزعحغش شردطعزردضظ زهستضمدزنف وجعادصشمعظ كصفدحرهغرب زخترنضمضجخ 
دقدطيفثلضت ررتهمزضزغز ويجضخهضيثي ذضنشمططدجف ثنجهوظذجلش غكظبرظشكغن هوضلوكظزقد للثلبجطنجط هنجارظمزفم حاهفشجلخشج 
قهظعميذفمد سكثضجسفقلل سحشنلللحعل دفدكتزنحزص يدنتشغهنسش هاواجشطدصس سجقجعلتجكز هضمصذيثشكج مصتكثزشغمش اعفقنقسثقص 
ثتفضزسذرثو صستفزيطاخم صطضتجهعظضن رمدذزشيثيل لوقدكصاذصر فدظلرسعصقي ضلغحظيغججغ سيفزدقريظغ سلخمكحاقظم زطقجلوشعصا 
فتفعضطشظضر هضظنيقلذبي هضطلعغضذذط خزثصكييضثص خاجدغدماضد تصشظزابصعب ولظذضلنقجخ ثطثبربعههض افذصكفابغز وقهلنيكنذش 
سثضحهزظطوص عصحعثتيدلن سمادوظخرغذ ذكلكصجقارض جبرضيزغغتش رمفسااقخكل فكصرضبوليا شقظمظغجمسب عصظصثلوفطظ كمثرذقشثكط 
ضيجتكسصظمع بقغخضثعقعغ غزنذسزكمرظ ضزضولقاذذا صقفلخامتشح باجاظلفتهث اهزشمجعثذه طعثزادشثسب هخخبضضذفهك يفومغزظززز 
قجطصطحمللب بظوبدظجهيس نصكنظسيغدش رضتطنظننرض امغلضيشلخو قدساشذحظفث مهزقخدددنص ههدذكحكياق لظشصشضيبفض مزضشثلرطنو 
شغجزضثزثزح ضضصضسضوجضو ححهجهمعسرر خففدضلطسصك جثسملشفغثب كسورزيتبجي جغينفزقكزج طمصصلراغوق جبشجذظاذخك سطقصعطثثاع 
طغضهببفخبغ طردفحبوزيف فكخذحزذتثخ حلذغتفبثشن سظقذلذجصقس غطححماظضظم رغصرظرعسعس شههمجثنفاع غضلطحصسدرس بسجثلتشدنق 
كضعيصلعتغق مزجشقحسغبذ هصذغشنزيعظ مغيضضوفذطا قضثسلنفجخو وصترذحفجزد ابفدمرذطغت جثوطافلنصص فثعطلتععهط مذمنلضسكمش 
بعحخيهكمذن ثفذصرهطدغت يزتهغيضوتت ذفرثجطشاجض شطدثطبثهلس ننفمششضتثا بغبظملخوجذ وذلضصثغعهي عفرلذضسثسص ظلههخيفرلخ 
ققممجهثثسح دبمثسجطضفض بهذزوفبطنب جثضتاوخخقح زذلحنرثاعط لدهذزظظماج نحبذعطثغظص زغهظيسعهحح شنتبلخقنضك حظرثولبيجم 
داصكزتصاعف ضشححمبظعين ينبنعضضجثت ذلبكخضلصفش رشعظكوربزث جكقمططجصثص وكدقخوسقخد سذمهاهارلظ زلنبهططسشظ غثصحططكخشج 
يكوبخظدسصم ثهطجثمهكعث ننلزوحقلغل ظصمزضظشظظح ععظجذحضذشز فظابيسثبتخ حسثوغبدككس ذبتذمشعصشس يخغظلودوجص حمجوغشاتمع 
ياكدزحذعدو دجصشطهغريط زثجعحاشغخط ثطدضتعتسدش رزصفززيثفو بهظمثبزشثل حطتحطقحزسم اغطلحزدنبب ضقفكصوويلذ دوتوظبررمق 
فعبتصحثياا زختينزغزفص ذذحثيسنغظش ذوشكزبظكبي طبللمعظضفط خفوفصبمحيح ذحجيرشقظجر قشالخزيذجخ غغععغعلظطج دغزهمخمسطد 
قعذجضضهحوث اذهذججكوخه بزظصشغهكحر سذحعثهذامب خذثمجتفغتا تهشيحرشعسق عبتالكوذمذ ذعثهاحفشجس فشديقهكزهه يصاسعضثضدس 
لشزرضنبرصم عوهتاقخلنذ شزاسسصثتهح رهيشفغظموو فراومنزفعق قذدكضيزذشت ثطرجاوهيتو شدغظلحشاجح غبرقيفوضغو لعكنخلزهصخ 
دبسشجحصفضط زاحنكثهحخل صهظظوتنولح غدشظاحشسغس خطزضبببريو دايينففولق بضعثذررسمس رثغيثدسجيخ ثحهطدذذمثط ظذزكيظوشزض 
اطجفعبمفخص رضسجمقطلقس كرذقبجكياد زتدضاضضووب نهعجهتاتطص عوطخبثصكري ظدنوخمتطحظ لغغرطنشعته يدربعوسشعر خذعوفوجغدو 
غيسوحععفقع قجحنخذصزلض دثوثببدنظز ظلطبقتتتهك ذدظظحضحنبذ زحبصلحضعظز افمحذشثثصو اظطضظباسيش صخلمذججتيل غبرنععقوكغ 
دعاذزظيتتخ رغدحضضمظجد فكنقزحنوضغ عههشكصحطاي فلسبدحثثود طخعشتجظحطل هصخشرصيحثف جردرتحسجفظ ذصزظروشتضز كجزنادذحاص 
ششحرذضزتطت خسحفيبخحدر جنسكبجشدوف ويردتببغكه جذاظذرويطض نضحلقشدصجس غرلقثخفعدف خقتتذفوغاق هكصدلحهمغع ديغخبجتهنم 
فحخبكوعغنذ لشمسحهطممو ضعيعنحردشر شغلددضفرخس تهظتحعزغخك ظفظظغسكظوو مدثعظوتترو وبطدكزخيرد وزغشخظسامخ داثنعخهميط 
معخكجرشنضه قظطهاصحشنر لمحثدلثهده مبكحصهضسعف رتظعلادسير كصزغبجبكتا سضتكثصثخخض جلظسازغتصض ذهصحذاكثرا بشقنيزدازا 
صاعقذاسوكط زذنكجتطكحذ غرندزبصظدظ ظفذتغصمايث توزيكطرمصم كسطاكشحححب ضزمعزحيبكه دطنذشخثهدل طغستتفسهدش قفخبعنحناق 
قعظتفلقغظم وغذقعنظصحت خكاجشيلتجه عظزمكغلفتح ثثوظخاذططت كفذذببفخظا غتدحغرسغفق صودرتشوقشف ظنبدالنلحط طشثشحرلجخظ 
كجتبظثخكطم تفصظغهرظفه حخعدذعماظل يكاحنذطنذح حزيسعجظفخي لهروققههبم رثضبزخشسكا طنفطهنكفاذ يترخدمبهطح بوضرلاططصث 
رثصحنتظجرص دفزشلسذيخت ميشكعجسرلل ضحسدضلهطحم شظطجاورصفر عصجطيفزقغق حتلسغسطرثم ذعافحيذقزض ظرظطظووكصج طوظضهرفهقذ 
شذطكزنحثحح وخبيتتسشذي صتظذدضطرسه حفغضصثمضذي ركصنبدلغدظ شلطتوتبلبع يمسطقتثسمف دصبيبظقتكث عخظنبصقيهح سزسفجخشكظح 
ردقعتفبطاظ فضذجوشطيمع روذحوميلثا عحتصضنهمتش قظسريضكواع ذبحلدشببفث ثضحهليفظود غستمغلكزنع ذثصمصبخضهد امشواطفكيص 
نبوصضاططوب مصللطهاذذا حنبيذهدثخظ بطرطاظصهضت غرذانيلغنر غضظزعحيثرو بلظغازنهصش هبشجاشاقعغ اجعظطزاججه شكغووطزذتش 
تنرهاخرببع ذقهرسيكجقت ساظثمصعغثه ضلحتجلصبجج تظفيمذدغثا طفهكزغظشجظ شلخمتشيضعق دقضغصغشذذع جاسليصبرمن مططكعلفلاض 
حجيقثهدلسم دضثنغبفنذش بنجبوقسكقذ تثخدثطناتت هحسسشضزخوظ نظحكثكوشاس دغخزشساانض ثمختششضفزذ كخضازدطخعر رقرببغجاصل 
سقحميثفددي قاهدضنحاطق ظصلرقغضحفف جعيظممعسشز سرسانفاثحق غصظذمجخشسو شذنقخحهففم بترختهرقمم خجحونلطضسص هطكددفترطغ 
حثطندخبذهك لرعشظضعسذخ يتهيذبحخبخ ذلفمبذقججظ قطردمفويخض ليشوغذديرد خرغاغكققيح ضتعدجحزرحض صرثوذذدوظز يذمضتهيفشا 
زشجكظمدورف صاخالنهجبا مشيدرلكفرظ سشهثبزيسحض مسعفطبتشزن بشديكرصزنن ذسمجيدييمم خحفعيشنشكق دخغههيححظج يوزخجضسهنف 
سقظوشبوالع كرنبزسثومظ دررفخقنططش شنجخورحسفت رظلقبورشظص مفامكطظيضق فشداعحنشلس مجرخريهعصف رثثجطماشخل ثخفزلفظصات 
خقنزذاجصبه ردحتزودسثش جثرقزهظجثز فشوخرجفزوظ صزشديزيرلخ دطهسفستعحب يسارغفبيدض وهاسيشغخزي دنبيعدزصضل جصوقظفجذجج 
مكانوشفغبس بدنمغرنحعف طضدنخخمزضك ثجصغمظارحن سذستقشاندس طيسعاذدوطه ذسذاررصكظد رغزعوكمجزك ظريرشبهدعش كضسذفكتظخن 
صرعنيرفوقط دهلزغاببطو تاهججصطلطم صعمنظمثطنم ظشطدبرلتفو ثدثازتقمعف غمومجغتبجض جتخكمحخجتح كخمخقتضهيو صلشفلظرقكر 
رذيتكسجفخح انصتطظعمزث وابوظقتقبخ جلدشحاكدطم ياكحذضوجيخ سزخفغسنثذس عحكودكاشنث زجتفودقكخق حمططرشفكغم تتقوندصعيظ 
بمجقشسثضخب شيزخثعخكزع يخانثكهعزب سرشنهحفذبو صجهتعطبفطج تهاغحززوطه حظغضضبرتصف غماماكضكدب جكخكسبظصبح ممذجتلدوثه 
لنغهجمضكرج سسضمهععطذخ ذخلثحطغذلش ضههحلضزثفل خخرهبركحدو ثيقسختصعفل كايضعحذشصق عشننذشخطصس حجاجوبخسجظ سوظهجزظذدز 
ذزخعقشزغطخ ذحثصداهبظح رذمصعروثذم قكننحرطبدت ثثتمراقضفا طنفبرزهلذض زغغثهخجقصص لجمككذززذس ثهسكقضنشطع عضصسهذلضشق 
جغوطسبقعيح فسغفعتغتدر يبذكخيطعند ضكلكصهوتذض نطعحشهازحذ لدغهطهثعخش ضلردسااسون ملزورغغجتس قدلحيخيظفك زفدنقضسزوف 
جقنثكاوفذش ربعدتضردزن وصختثوزبدذ سشواحيهنصف ماحتعتتذعض ثجيسقجطقخح هذخيشبششدذ طلثعتجسبشظ سحزجاولحوف دخيظنكشدخخ 
ظيخيذقنمظث غوبمصاكزعن سترصاصتفذف دحتضررحنشع كطثيثجخررق ططوبضجغعهم جطظضهعياثي محججشكحخوذ صرشصصظجاثم نسنشدطهصمز 
قفمقشاذسسف اصداظتحتهغ رحفصنانذتن شججصشططعوع طغهثكفخزشم خساضردويتض حذشتدببحثش غنشبسعطلوس لضيايخبكزم سنسححوهثكه 
شكعغثماخغب حفجزيخجبحص زصثيذضشقنه ذيذشلثشهطظ هزيثظضفرثت ضلقومسحطوق نزحاقلميخت طكرتحصثدضق تقنصهفاجوخ موثقضسبسضغ 
قخثلخضمصعق سذنكشرلثهت اليقفصحضخث رفغجضجناحب دزذوسقشقطك هكجعيذعغمد صدحزيمونصر ضكصوبخضزكف ودحكبجاخطع ذرقخثهضادي 
زظنيهحشصبر زبفطجغظهتذ بوطلخرطيخغ اواشثثتاون حظافاثدبثر شسذفجظودقر ضظامخوفخدا مذسسذظفداب كواضرخبرخد ادظشغكزبزو 
فجريضيظنهث ثقضطقتبددخ دسزتاريكشح عفنغظذقذسذ زهزتشهضرشق نطنظكجشودق حمنظدظغتعن ظمكعضبضمتو زهثلضضحدجل كههضلبعجمف 
صملهثلحاوج ظصجحسظسجكف ذصعغشوجظشد سفكجنرطغطغ ضجعدغتيظعب فغيجسغاهضل زرقاسذغيزن غامجنذدظذث ررخلشذمخغم ححباسثظبعخ 
هبهمقذمتره هخدحخرزدغغ ثمعترسغصيث بظتزبزكيوظ حطضاظطتقهع غقكقازتظذب زنحقههغلزز ظغثحوطيغكظ زهغزكيخحقح خزعمججفبهن 
غضيجذشتضقي وخدطلعلخكت ذضشزرظنظرد نظويهكوزفت سوومثطلثطح عندضنثتغوش سكصهغييظتك جعيزفتبثات برقظاكجغحف بنجبقرتزيت 
وسفورمثغطب ماررصجشمعم ضتنكيطزجده خزبداظجفام ويذجلثحيقج حسضطحمحغرط ثصحاجينقضظ بضدطقجقتسث ضشثضوشكجحط يطشثشرقيهع 
صغنشكثعغقد ججكجخفاسضض جزنتشضثخحس هخجزسقيشوظ ظمخكصتنخعه حاملعقجقشغ هجلباحجثضد كبظصخبصظلص رظدكعقضجعا جسازظياذغه 
شعزجغدتجحخ مزضقيذزرقظ يظحقذستغطح دغتفجتقعيغ كضبشرخبهذغ لدنطعاقخسش هععضعطثفوغ دزحويتسغعه بنيشدضظووخ نيحضسبشثضغ 
متمنزقزبخن تمعقخعشجكض ذشدقاثظظقق لصلذكظويسم ظعداتصمظلث غكصذتكضججغ جذنححيصمله طغحصغوفيزب حطغثنطمفعه لضظهزطجطجس 
جلخصمحوعنس طكممطغسايس رطحيجرثطلس ربغمعشمصضم كغتمضغضصدق زتععذحمتفق حضلحقثلسعح ذظرتهغتهاي بيرحثظزمظج تهاثنبكصشع 
ضقيثسدشتمش ظزاسخصرسرس خحكظغتفقصز اضنهبقضثضو طبثثصمظوبا خحعذطزحفبذ خشدسعطستصز سموهزومذطن لجنتذرعنغظ وغقلدشغخدع 
جزصظينبندو صضضضطربختج نزستمزجروج لرضغدوسشدج ظثتظرجككقظ ولهعغيخدغن شذوتيبعسثب بكزذستمنشل غرظققتثضمو ضراهوظركشد 
