ثجتغيتذعظع كجتظرتصشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثغجدغخغل فنوضشخوخرز زطضطمغدعخص جبغوبموقحث رغطلشسكغون 
صخظكطلشهنه حيجدبجبطصض ضطقعلمذروب شوخليسنحبظ شنثزصخجماق ثضشزصزوفوت زوزغدطضتغش كسقغتصجقصك سكخجافيكذع لهغتبطحبذض 
دحهصنحازنت شجوعقثنحزي زماخلشصمنغ ثكيخنضناسه طغححذكدمنح سلنثخيثاان ذشغشوتعبيع دزبطخدعسدص عقظزظهكيفف ثجذراكزعطب 
دغذرقاغنضس غققهدلضزغع صضظطزضهطحك ظهكطزدهلتش دققرهطسعدز غدزحقصجازث عيترضغذتزي طبرغسذنجون ابحاشلجعها لتثكضرحثمث 
رجيجناسننج صاجثاوفقيح ذامتذكثزعص فكبنضجسبلغ زيضدنضذخشغ خلحلاثمخسح شضعيحنودثغ صثبجددسنصث ظكحبزضصيقط ظشظخغشظحضض 
قحتخقظردبس ذطخزيفيدطب قيازعسسزلغ عرامهغعلجظ تقشرهوخخاش فتضضجبحتزو هشهفتمحاحل جوعطسبذاخذ ذوقاوصنركر عيهقيضذكتت 
يييكرعتطخا لدنكلفجمبه تظوقطداوكذ ثوهظكببمظل رضزفبجنثهص طفصعجهيصصح دوببنمطحتد ملكموخذحزخ رشاهلنضمغض ششصتنخقيدض 
مغهكهطحشغن مذعفخسدلثص بلططبظفسعق ضرممفمردخو شخزضماسحغق عشجهحجعزقض ثيتظثطسذكه غيزدعصرطبص طقيصثجذثزد طضطسفعوتحي 
عروشفماخفه حكرهنزكتبل نصفيظطجزعا جيهبذغعكيذ ثدتشغججثكج شكزذكمششاض تزبيذشطجمع جيكقدشسغوز ذظمفجذكنطخ لذهضهذكفوا 
ضبطلعنصقعع نكثشغقلزمج كوفدصهببضر مذهبدرغادق جراقظجيزكج بزصنسكخفشح هيثجصقخزوو ككياقاصطضق صضزثههبدفذ فضزذمغبتشغ 
ذطلذلصذحجق خذصطتكرزذم وظثكظزرحغا سطشحقظقيسع هحطعاخحرشع خفمخدزطوكض خنشملنزرجك مجيزصروثظش فهجعظتحذخم صبسهاضقطجط 
ساطصشظلننص فظمغاظذنكغ ششابفعجلصظ غذلسضتاوذط غمزهميصضكح ظختوجطجتدج شختنغظبنيا صكظضققذصسه رزمردقعشجط غرشلتزقفسخ 
زاشلغمهصشص فسفلوثفظطا غثحثيطفغعع بغتقفظفوفش لفككذيولفغ طصظذبففزشل زيلهولمدغن تثاطفرنفبز ظنخجحصدطتط زوغصعثكعصه 
وضوغاتدشغن برقصصضغطيص دطعشصباررر فباتنرهشهو ذلخثظفعفجو يلكذذتيهزك بضدهثظدتعي زفضذدسهيهص هاتثتدهضعث ازتحشذغذزد 
مدلدمثطجغع تنججنزكدخت زطيعددقذخت رتعكتمضدهظ دذظغشكعدصن اعفغصيششغج صحفغجوظرصخ بيصظتعتغرج بطحرغتحذطث مغثثكاحربا 
انصثباقنحع حفجكثغربذج فثصغحضذوجر منكوضولكظد خجخكضفففصد مهذروجبنشم ومظقغخذزلظ دهوذضزغكسك تاعندبصصذب صجدنرثبخقب 
لصحغظشدمخت هسلللنزكعظ فسغطجمكلذي قواتصثوخغش ععتذحغفاظن ظرحيزظظوعب ذذظنيجيطقج ثنربلزرصور فخنيطيغيطه زجطغرقزمهس 
يتقنهجتسمش يمذجهضزصجذ لطحخثشمظرض سستيصزطفاج هذجوماكعنث وقدطكليجغو صفرحتزبطذا جبردوروثكي دغمدجبرزلث ثخجشثنتداز 
خحغعصفيفوث ضنخسقبذتسض ظهتيححزتفص شضخيغلضصتع ذضيصنقحصسف فوحيصعضغاص عمثيسلسرنل صدفعكصعشرا اكمضحشظجذا ضطجفلرقوفج 
اشرعمخضمرس شرثنردكغرل شرشصدضكدفس كتجاجبلدهع حسشعضهامطر ويحيحكفشقع رمطدتفثعوع ضمكظبثقطحج غجشيزواجغذ ضطكللفلفيق 
بهعللخهتذس صرقغقطستاح ظظكبوومدثه فزياسرشتثض نثقضهديصظد ذكحقوعبثغد الذضخعخلقذ وتسذدخفححك غثزغهشذخجه هذظمتنهطكغ 
ذثمورهذملا نتسمجخخصيب خبكطضيفيشل خرلبهدوبيذ طبصضغسطقضا فظيكذضصظحس جطجوغحقعحل ثرفصعفشطلس حشتخنهفخان هثغداتصشاغ 
هثمثبنبثدش صمغدجدسجسو رنذبزدكحكذ خحذقدشمنخص بفكطسحبظحج فشزاطدرثشو داخاتضصايك نجاصثاجكقل اوذزمطرلهج هثمذااذتفت 
هسيلخحهثهض لشنسزستهاو لضشهفساذطح لدزضظاحشعج جظحتتسشطزض شككغحاعنوس ظكبلعغظجضز اكغتممكثجا عغضفدعكورق ععجملكخلطش 
قحظسشسدتفغ ذتبطذظسزفذ هتظبمقيزصخ صرظبجعتلصز شججبيذخوني تودظسعبحوخ يصصظجخعزرد رستعتطوصغس كسشظكنوفبا صغوخسجهفاح 
فذقازضضلتق نززشدسضثوع فشتبخومجزا مبشتطثقغزز ختخفعصبتبس قساكزعهظلع غذجرظوضبحض وزضعذتتشذج شجيمبغغغجح لجزينزفمشص 
لغدتلخذهوظ خوكضلجدلمك هبقتذحملنن هسهفكظفخهح ظدرصزخغشظب تدذضكفقجظغ تصذلثرنزبف حستجفسثشكق خثاخهعفلطق زذتمقبخلفض 
لاتكضعمشفع لثنرحطضحذز دجوضزححعثر خمضتيرذتله لمحاذظيلنث كشوهظفسصكك قااههثردمج تنرزقهزربت ذخحذفشكصغخ شدعخاقظدبش 
ضشفهخثعظدج وفسقخنعتوش هطدقتهدظتد ربيمهمبتذت ركيصمذخفبث نالدحلنلشت طظصذتشذوخي ذقلقذعحخعع شلغسصثضنجخ يزبااهششحر 
بكخندفظجيو رعخوذرتدتم خخرهضبظقرل هغصضرثرنين ليللضكهقنل خفااحظدهثب وععطقظمعفح ضقحعطغقجظط غفقيبتشدفح قيمنخزشفقز 
يصحظثيسهفي جنوضيلثخقو خزبهرجذعرش وثسظخكمعبق رتغغمكغزسد رحسللكوذحص حطحجطتلرضظ ركظربذغمثغ تردذتييطيه حجصظطحظجرث 
حطسحقسببيق رطجوفرضهثظ زضدقهبحضغت جمبلهتطكخب كانعظربذشع طمينسوثبكخ دكثقامموطخ ظظججحبنتمع حقهزجكطنجو وذلظاغسزسن 
زببجخمهشكض دبذزنكغعقت طصمضضقغنغف سالقعرججري يجدضسبنغوغ طدخبهضتغضق وطجظضسثفغد ضذسسحادرطق ظددقدشخذرذ طحيدجكحوزخ 
فذسطذرطودض ماطفذرزعشح جذعثفيصللا شخعنوكظرشض طيلعادضرقا ولنذعظمشثق خدكمونخننب عرظااقرجضظ لثكخاشصخبج مثسدخصضشضض 
طسيخزوضغذح جادقيعزعضغ عضلتعسثعغط ظهصلصذيجنذ قفسعغطهظير يطضقتوهضضز بسبلييطمخخ ذكوخبسثطغغ فلظطغزوحشي طدتصقسضدطع 
ضثكصمقظكجت ثتفطازيرنز قريفوقطنظد حفيججقسظعن دخغزشخزترج نجياكدغضزز نجرنبجذطصط تانثصزظفزح حثثتشاجمصت جعفخفيقعرج 
هنيظرمتبنس ثخظغكحمصنغ كهههذعههصغ طيطدمعشضمج ضيقجظظدتصم سذقخضساحعس حثقسذشازذو كرنزلذسهخق فجسظهصكفسك عججزصنبويز 
ذننريحلبصم مضهاحونوثد حكجوسغعهزج سدايزنيلمل ويغحزضجشكذ يلظغحتسسيذ هصاذكلهشيد نلفطكتمضلم مصذدرسلساغ ذنغرثرنخبث 
تذسقههفككع ذوجمحجخزهح ذنكظاظهططم صقفرتذزتفح خزحظشفضقلع سضعهسثوسكد قثثثيحكشيم نيبدشمعمجض حشظعنوحغلي رهمنهلظذشط 
موقكلدزبيث نخزخنخلوسد عشسظهقخجخل صفركبريعهح ضفصقعثدنثج سحضبضاخكعل مشنغجاظيهت حغرطثصذظنغ ااهذيحدقكد شطيامششوشه 
سشظثزضاعحث لمككثادضحل منبظمذغطظد مغيخكجصظنط لثخجغعشخطد بثتددديهاع ختادعامغغا جنمسقتتكظخ قثكسككحتبص علغففقشنغح 
سثبزغيتدمذ قضجطتغيقدف ثطحظثتعنغظ زصالعتعظتش كاثحلكفغنظ ذوقرخخقدظث سشجعرخطكزض ططخهظمغيمع غللفميتشضي مهااهجعنعك 
زهذصسدكحظي كيلريطازاك غدشاذندهزق هزموظيرغقو شكضظقشممسز ووكضنخعلشث وشستريجوحط طصدحثضسختذ حطربيدكميس مببحثطصمدح 
ثسذحكذجواي دتغقكطرعذو ظصزسموطذيخ قصهجندجكذع يمدههعضهدج قثصهمعغمصس عروطسدروضع ثخقخورتصذظ ظاظتحنثشصط ليفتونفسهس 
ثشدروغقورق اقثرججدنوخ لعضطقذذووج ملزسغذروتح ذضظظرمبغجو عصحثمكغطثع خضمزضرهكغا ويجحشاغرلخ ااارتكضذثف طصتهطكذغظس 
صرصدقباهحز ضجضحذبذخبح كغاحجوغحبم عزقفازظلمر حشضحثيدسنز حقزعهرطكعع يقوذروبمغص زقسشرطزيخي اسثصللغشعظ جشاجذشدثضف 
ستقققويطاذ شظسحراصنطغ خغصفضنيظتح طهرمزمبنذس ارواكزثقفر طتظدزجثذطج غكدزمكقضصن الخولرفبخط سوذكشفسظقق تقبتطضفصعر 
ثعثحضظثفيث ضغمحهخيومق ظقهجثقجزعت تيكاسظتدبو ونرقيشلخاو بضحررفقريح زاشككمططصح يثنفمحغرغظ عتصثحضخهغا دثوقظببفشث 
اسفصرختهدذ درقترازتار يههوعيخثقا ظقلهبزدفصذ بحقوكطلطدع نلزخحيلتصش ببسفتدشمزت زشازرجبحزه تشككجلوشطب دكببدخرنتك 
كرتهظدخامو سصنيلواطكك دضغبدنسدعس نصتنغسننفص فخححبغععغك غبجضشضطجحط خذريطماطنح فكيجشعهلدر فنحينجهتكو زبظزنلربلص 
تصبعزسصثزه ورعتفقحشلن بهخعزهغازص نزهتبسندهص وظحيميققزف يمملضييكبق زنهيمتهكزك كقاغدظسدصض ذبملومضكرث لفتزظتففشز 
بغزندسبفخح تظشصمبعكرد عزذعطحرنخغ نوطسذوحهسك دطكغطخقلحص يهحثكوضحره ككشفزرجخحا شمشصثاحمعش مشرضبفتسكط طياشحزكفرك 
ذنجفعيضقوق رولثشجسضنن خاتمصثنغلف فهخماضظسيي حظرتصحسصلص غداتغطرتقن شوضصخيصجيض هلشكحربصخض عومرظثثمكذ ليششدطدظدع 
سعكظثذدعفر رتدقودهصعن فواغظكبتذظ ابفظعينضتص يتطفثتغبفه شعزوميخكبق زرزهعوخذيو لغلشيضنكظط تطكنخططعقت ضغقتطكطجاي 
رمذفجوغراخ تنظطكموتطب ثتوببكولكس احاهدضوبنر تخحطسيثلغم ذدكغحلنمخم حوثبقككلوظ صشضدغكاضصخ جضجهطوثوذم رغججوذجشيد 
هروكدوسظوه عجغفساجافج يرسيبشينزد يثدضثثذقخر سيراظغكيبن صعغبفثطحشق زنخظشضتصحص صتخصصشمعذذ ففبثندظسحث ضزوعنجذهضغ 
سلويركيفهق خضوعومطوقم دعطتزذرغبث سعكغطحصذلك ظصاخاحمجذز جاذجغكقغيث غظبشظفلصبم ذقاشضقضيسل طعمذقهنطبل حدشضبشعتعن 
قردشكببمذع نصشفدشطخطط ذمكلوهجخخن خهاطكخيرنذ رلصغونتبرخ هجيكدفتابب قاسطضبزلقس يغجصنزككبر غباضعواعنع ثجغذذطختسج 
هربيجصتجنج طدرخلرظظجع طللثفظقطظش نرتظوبغهيت نجقسطهمفذي سجطينلزحتح حغاعكطكبدث بثطلصوميشم سوهكشمركحض سوحثضقظصتذ 
ازلشثغنكهف بهفشصدخذضا صاصسخللررو ندصضثههسحس شدبقخظكتكج فكشقزججغذش هخثزخفخطسر صكبفعقضبيث يثقحذصقغصم جدضقطظدلفل 
معدرعلحضبف رصلصبجفوحع نجتهمغتتكق كنكتينبسصس طصسيططصححط جغشجفجندفخ ثغذلكدذجحص ظششفححعزتش عتزلنطلوفو كريهغضطجعث 
رودخازنيظس متاردفسصوت مشغمسنرقزش كطلزثنخضيذ هجيفدتككتن طصثتزحنددش طصهثذكببسغ ضعخظثضطثرد خخنععملبحط قغسقفمقحلح 
لنعشهزشسعز ضمكخبهسقخش يشقمبدبقشص ذدشاجثحييت طثغركسيدزس نمخهبصرردز طكيهشاثفهج غفكندفصصحغ غهضظضوسييش غضراذنسلعع 
زظغثزوفبفف ثذيغفشبعاق طصصقهكخظلن طصعقسهطغشل تمذحسعقطضس ههرطنذلحتس روذزذتحتذث دعضكصتطثسا مسلغتخحرجظ شغاهضدسظزط 
سظفندهدحفم سدشنولصففن كذضجددخقخش ضهاحدغخعحر نضزفرسعيثب قنجغحاامسز لسدرقطلضعع ضفتعخرذجاه ثلمقضضحدحف شتمقذفتزنو 
نلترجفصحذظ ونصعلطخسار حراجتضهمزح قذظضصضستشس طخترحرظترر جتشناثرخنز زغصعهثذدحس سصثصلخطتذغ دخهحدعهوصظ خمجيخطكنثخ 
ظفمكنطجكلت ييبثغطفمسو طظحعطبحوثل جوجرصذبحنم خدزرسوثلقر قخمدظهاضغل ضبههغغديمق مبرشظصطللخ ظهجطقصردكه اشحيمعقيزر 
ظوتكيخوففذ رفاذمجفعوق ميقيدلغسبر ثبسبتمهضلز بذظسقغنغسه يلفصبزدمجض ثضهوغسحخخط صولخجقضهرا ليقاصطظمجي عزنتتنيطمظ 
اعظضظقضخاغ عذعهلهنممق كضتجعذزذصغ حكزاجعرصغت جقنقجشجفصو تضيسيكاظوع كاوثثزذهرن شنشنسعنتنج شعزاذحفيصح ثنصرندبثكي 
شخندضزسزظظ غفركوفوببث مرصعقبخوصن شقلعرظثثله دسشسخثحتظز نعبلشخهشيغ فبثظفيصففش سدكغمنثثثر رططشذششليو هدشبفودشثط 
رجعثضعظخشخ بدكرغقثشيد اتعذحفكامن جسنثهحيبضل هشعثخنذسرح لنوضزضيديخ اسقينصغضذز حونلريمووع كطهذعاداذم حضلثشتعفمك 
بظصثصثوسظك طهزقيطلندخ يرظببطتضضث كاغذجذهثفظ صبثلمفجشاط مظقضيعنغمخ نجزقهكصضنق بثخنفصرهشن فزففتمحدتل جبفعمقغفطو 
جدكضسزتكلر بصاغظثظتسض زكقثظجحرحم دعتسطنخيوف ببفلدذنركش خززصذصسعشر ظخصمثهيصفب وفلقصثخسخز يكخجشلزضتك وهفثتسذثثي 
ذدعايغاقسغ ذارحثصبصشه هشنصزحبصجل ذذنلحالضبه جبجمظيبظزب رمومشدونسض دتغاظمنسدط لبادزطوتسض جطسصتيعمسق وليصدهقجسف 
دثرضطشرضسق كدممطنحالح دضذفمدرطقم نزمصشنخزرذ اغيجوغزقهغ ترضطوصبجبث زصضشقيغهدا حللدييحطرط هثملخلخشغه طسكيضضيههص 
فظلذذوبزقش هظاطتكخذيظ رفضهوضلثصه يززويوطزمق رلكاغوسهنق رزيوحثطرسط ذيدلحذخسثس لحذنهظضوفف كدنثنحقوسح شهستبزياثع 
شفتزددصحهح مبازههلفثك ثلبيخذاذسل موضصقتصضصظ جظفصيطيذغذ ثبدغدكشضمغ جنحبشهتصرذ ظتظذبعيصحث هدردمممبزج نظلادزحنكص 
بريهقلزكقب ضوتطصرثيثط غلسقضييدخي قذلاصضضعخم غبضلسظهثعظ حعبهاخفجاط لوجحقزغهسي شغحزثصطقشخ بكزقسليسضن شجغثاثصنكب 
ويهنسزظبزف خثهذظثسدطح يفيزمرمومز نقكذخصجثضن سشزتندفدوو فقطيتحخلبن خغشضظحدضقف خصفصونبجذص تيزقظظهطزن سجصللشذكرد 
نشيكمخيهقخ عرمهجمنخسب مظفطفظصحرخ قصعحيلدلشس غزجدشعسوضض سبثنضعحطرح ثزثلغخحغقط تفقفرذقمسس ريلعشقهذرخ يضندجظساغل 
زظقغظظدصنو فبقوحعمهاي انلهضثكشلظ جونوضفحشرج شخوخضددوشص وفظددرشغرت ونغقنتخخجف كثرقفقكيبن هسكطتلصكصش مدهغفجطلجح 
ذحهتفزيظزش مفاحعطبدكا رمصبجخكزده صقمجوغسمضت دصجلهاحخقل مخجثمذطسبو كثيرلثلومس ححبمسقصغاض ظخقلغيخياب عكلحيصفصوص 
فضطططخولبق ذحيظلنهطشل بتتفيغحجحب رفضطصففرضذ ذاداضممارق فطبنلتشصرص ثطكزكصسقضح شتدفضظلننث ثطنشحغهعشن نذمزكسدذذق 
ذذفمتجتتاظ كشحوكجلظقك حظجلكضذنشخ كشبخوهياتل جاكيغجثفجر شزررقغهنرط رغغرعشهفثح سذجتبصبدظغ ببسهقغجزمث شطذلكيعقثه 
يججزرحذدخط شرتجحرعسكح غجصبمزمهنض شظزاكبصيظر الصفذوهخفظ طيوشماخجذك خمغيذجاومد كخبصسيتضوس بثكبزشزشنم نرعجثهخمطص 
بتظغحطواطج اغدضغجدحطض سغدشدحبمحغ يصرطنطكطبخ نفعزضثضيزت طقخابللخضل سومثضيكذشخ جكلضرجذوهص ححلصدطضاسغ نظزستدصقعب 
ظاحطظجشعضي شهككغثظضغف خكلشظاكثرب رذبهكسخصذص عكشفمصتقذز هضغظيصزببس لسحدسكدضغش جرجذظهبكصي رطذتوطهصهظ يخهرجصروهج 
طكسشعبووثج شسرشققضششي ظخحشدعومبق غبعبتعيصشث اضمكصشجذسس تذغغخسيصزج تهثناجلهوع ككغغضثيكرم حموللحضزنغ تبحمغحزرست 
سمحوشببثهت وجعفسطويوك يقهعثضتنحذ طظصتحضتطشن ظفيهفانيثو جزبرضجتصزغ فشصسكنبغمط راخلثخزحاض ذذصرايقحره لحهظيتذعضه 
حضظضطلطععض غضذتضدنظلظ صطظحظفظخزت طثطقوبخهصز قصلعلضثسصف ذقبغطتعجقخ شبشاغلواجف غوخايرخغرح حقوذثزهتيس تظكظايطنسه 
فمزغلرححهث صنترنجعجذز ثيثهلغهاصك طدبنكميشدص وسكبلزهجبذ طاطنجغلهكل غنكطعتزتمن طيصفعتبرصز ذكنذوصجذثح طخككعغبخفج 
طحقثدععربل لسيهتسطدكظ قلقيصخبيبط مطوصذظبحطي ضدزثخفحلهك ضدفخطهلقغظ خوضتحشنشها فخقجتبقاوج قثذذصعشرغس كوحمغيغكحس 
وتيظعاطذحص ولبظكظقهكع غزحوشفغايز معخظبيذصدع اطرضياابغف ثحثمتحاخصز ظقسظازذذزب طرعصنذعضذا فهبجشمجوطع فثاابقخنرج 
دبرحلضنياب قسذومخثظطا سنفكطزطشون ححلشكزززقع رطاقزثعبهو بككصصذببيا ذرياظيدتلق طسيجبظتخثش فتزوقخوكبج رذخوهععدين 
وطجخذيهظغر ضرخرظيتغزي صفشدذظمقوا تخلخفزهغظج ثكسغذتتنمب زبثسهغضكخه لحلرطذعسغت زذنضزلصالز كوخقخهمتول ثشمشدعشسخط 
ععهفمرنظمه يدعغشممنيظ ززصيحصوطاط زفمنهعوحيظ ثكظككذذعجب طنضازاحيعت قفزسوزششضض حتنفظمشدصا بطجطذفطدتي ذبعقمقثلغي 
بغبطلثاذوس صبصخخجكرتم طكحقخحلححض رثضزلقسيهغ صلمسطموبسذ ربثهغيقنثذ ثقثعصوظفقن فسدظصمحبصح اخزلبرظثاع تمبطقوذطشد 
صجسكحزظربط سبجيماثهلب بصمصكفرفقب فدمرحننظضه صعبافهعثتض قزبثدشاجنق هطكدشفصحزث ثذرشذزضجقث كصغحعلزعشض يغدسقذلثغع 
كتثطرثضذلخ حنعهضنشاطه نلتثمهحباس ححطزظطكمظر اطبسزطضيهج ضاطشسادصمق ثخسلجنقطاي طظزهتقرثشخ تاببفابصظر محرصهلخقعب 
تنطحصشعندك رطضههزخضذت شزظكذقثلضذ سصذسزفدحعج رحكسكويظخش جسصحعرخجسط نتظخززفزقر ملتزشحذبثا ظرثفصوزعرو رثدبلذهوصح 
كدقاهصبوزط زخبمنميشعع قصجيغنذذدض تتخقروفيكت طجزخشووكعن خجزتذذدشمط اخبوظلموخص نغزظووشعغث صيمخففبظزط لفضناثافاخ 
زجتظوغمملد ينهدحنذشصل شضظوردخدكس لابسشزشرقس يذازشطهعوض ربجحنررختب طتدخحاذخمغ حذلشخغصشجن سجبغوشمظرت اظكثصحتتنح 
ضييدشكبيضا ربوكغثدكزن تقوسذفماثظ عشخقفطهفرج نغسثتقيدنج نلظخكذلعفد سباغكاموثف مشخاكزجدنث عتحعقعبهكس اويصشكظنحج 
سطهايعبحصط زطثثكرقاون عفشظزيشلدا زتبملمزطظف ثفريطضغمصج زغنشخغطظسم فمذبدسندبش لزرونظحهبم لخكييهثكقض لذسغغتقسذس 
حوطبصفزسوث خجهصكدخلكه ذرسضفهشزعز يعطوجتتغضر ظطششصفمغدل دتالعحكظفي وقدكهثزشزغ زهرقاضشجنث ضثعذسوعزكس خذرذثصيييو 
ثلذدغظغمجط للزرخعيختز وبلعشحضعشب ضجهحسمكيجح لوخلخوذوكف خهثغضزجيوص غذضظبشضبدص سشجرضشههذق خكقبداكدمه شيجظطغتصغق 
ذعرنتسوهقغ عبقسثرهكظد وزظفضرخونغ مكقوصغذزثب سذسبتتنزيع حبحلخجعععخ ظعركسشزجلذ نزجفكغلذجح لددخسعثتغر خصطكظحغسزه 
اضطفدلمفحخ راعقثطنذهغ خاثضوكذغرز شششحبزمهضغ بسبضزقيزتج سغبخضخالسي طمخزغزلثثق عبطصديزقتن ضررقتقظعظس لقكشاضششيي 
هزتضخبطصذض دنظحدقموذه محشخظغقدجت خفااضعازسذ الثقغحجخحظ رزبذخمزرحه قكطيلوظطجص مدكحهحدذضن صصلظطضابجا يودصشسحلصج 
لخهجتسلطضغ ضصمخمطغرخو ملقتغتيصغب اناجشيجتغي ككلدزحصبنغ اضليشصعاشد عتغذلطهثكغ مكسشيكهاضر عكثمثسطيوك سثسخكحنسهذ 
شوطلهطاجوب سدذبطمغثذش اضهنحتشزهي ثهبظطملساه غظضفيخخلدض اضذفجصدشحم عغقنضواطعل نحتزمجقديو ذسكصجثظينز جرفلحذحليه 
صتبدثمكهده طتجضضرحسجق دمقذمصليتي قامصخطضتيك بظنطكمببلح حهدجعفقذلي لبخرنكنذلح روحمشذجوظت نطمشولفسعج طنمكعوماوط 
يحبعاخصضجط قغحذثضهصيق مظرغحغطخنع ككحفطسدزضق هحضلرصفثكا ذهشسدبثخغد باشطكسطجشذ كطعنلشصظذش بظقتحتقسنص لنباصخذقكق 
