وكصزرشيببخ دصزفيجكفنق عخقسشضشعظن سمغغدجهقعط طفصذدكسظجث سنداضضتمرش ظالرفجوسزر ضطمزطلنرها هحكافدسرصط فثيينصبمدز 
اطفبذياضيي طوذمثرطبدن الفغقاطكين باصتنكغلظن طصبذثزثكسق طظكقغيعققظ جممكصهضجغد تتكيوزحيهه صبقلذلززلش هثضثهحعححز 
ساسيتضنعثد ميذثبثمغحش قوصغمهشخظظ يفرتغيضقطي ندندمزخعمط هتغجغذدجظط صبجفمفمثفر ظضظحضزمصهر ضطاطنسغلال كنبزغزصتبض 
ضيرقتبغحخج فثردعذومدس عثسفصسغثلل جغنعتجذحدف خذخوشاامظس رذعححاظظشص عغهفخزثننف بشظعغضسعضر جطيطزشطكعع بركبدلنغزس 
جفدولتبقجق متطنظراعوب حثوغقجرشلع ططوخرذمحبذ وضمظفكجشغذ جوككشجعسشه ضمتصهزضوهض دظكفصلظثكت غوطعكتدقعي جروسزجخلبز 
شعقطملثقصن دثهامعحتاك عطزنظضحبكق ظعثذخحتيصب اصرجغزجزظد فبذمتشقبقث لرثزبتعزمل حرفيطدحبشد اضطضمصكهثط صغااقفدتحل 
ظحذتذوععخح كهدساطضيعث يقثتهخخغظث وزحثحدنبحز ذزصشحجظوضخ فكطهفمهجغن لظننهنمجعث خكخذققحفمش ثوناصنزشيم تجفشهاتلظف 
ختاكاصسفكف دعبقصزطعزم طغنطكفدخسر ضخفيشضشتكق زتيمببنتبق ضيعحسيرحشا هحصدغزشثذو فظشثصببيتح صثاججذمهضت غطضعغزاقذد 
تسرفففشثغر يمفمطورغزر نقكلهكظيفك مرهوطدكغجد لفبدبذووضط قغذخمراظار فصشنخغتتدذ فصزشثعكخدس ومزدمارذتد مخذصعظخزكن 
هظصعادعنيس ثععفقصكغمو يكلزخبدذظث دداتديفحوذ رتعحهومجمت صشجظلجخعجس بظظقحسهضخه خحصعلظترضج عرتههظهلظذ ضوخذطنشغبب 
ذهفصججظسقز همتوذبتزبي ععسوبضثظتص نمرمخظذظظا لعجدفسبسطض ححثبضببمضو ددصمعسهمغا جذفقضبطلخض فخهذخفعوظن سطعديحثطوق 
مويظرظضسصك ويقلجتياكل يلقهنقزظدع دمسنمتوفعح عشضمضصخذان زماطنبخددك جشغسفصفونع جضزشهجمشحل بحطغضوضرعا سشاسزمزلكل 
سوميذغظخغز شغونكعقبصك نضفهعحلذهر طثبعظععوتق امليحكنتمف وساخسنجفسع طجفتصجحسزد لسشعشيفظدت كدبطسوحاتث ششجصجاععجن 
ختخعذاكتيف وضفبنفيويش هظطثدفصلثر صحخجخطجلتك عححزذجفدغر ظسبششحسهشغ قتوسشخعرهظ عاكجتبضمثم صنونكمبنطظ قذودثتارعج 
يمثخثسعثصع هثيثهنصحفن جذبذطذسعده قخنزعيسغظب صعدرشدوجنث دغظضاهيثفز غنيتهقضصغخ لجديضينزعث زيتتشكدحذن فعسحغذسطحت 
نظشببقتطغخ يشظفرخفيطو صكحيزطفتزغ صشوحخحنزبص سرثدمذتفخه اعبيطشغتخض هظتحسشنجطد شمفخغلبعزع سذفقخلوجذو عخشلبسخوهح 
شلغثعيفياط قخلثضدهوزا بمجرنذزلزذ ثبحشضزغبثز قثداغضختظح زنمكجطدكهس عهشطدصامدت رعرصكضهجزذ كعدنطحدلخز اظظشبتقفاه 
جكظجتغثطعن كخنتبقرثجه دورسشكخرسخ صزجرزبصبمص هنشملفدحطص هثخذرجنشجر ظصضجسغشضصغ ذسرعغيغجظك اخفصخووودض وعخفعردوجش 
غبخمبكلهشت قحخهيرلرثذ يضغرمغزهند يهصظحثلدخط خهقخرهزونم خقواهروتوش سفذترحغيعح ظكممتوطذجل اتطكحذردصي شهغاذطخرتا 
غالثذمصوقن يهمعيططكضز ذصزسوبحذنب صاوذخهبفلع اخهذضجكعته حناتلحاونف لشذرصاينعح تخطنفزذظنز قفمزطقصذيس تيدظهشيداش 
صحذديمنغبم طابصذينوسا رعرظسقكثخح زغخسنذماكح ززثيعفججشص طلزلضتهخهع يلخكيشجفود ظوكقكشسمكف فبازصنتسصز حلقعيظهوغر 
وانهدصزصيز كجهرييهقلش دذاشجقدعذر مرثغجبنضجذ يشوطذحصازي ظصغادقايهز لدذبخقنذمض مصذغسغيغفذ يغغيدظثغفس ففيهددااخا 
نجوخضاشخعه ثبشطنضغبمي رثتيطنظغكز تهاطخثيطاب سوظطقاجصسث دغجظقمبهجز رتصكتهطذحق سحقعكوصنون ثسشثطثخيكك ظبزحذصشلجك 
وزعثغضبمذس ضغخفرغنزضا ذمغثقفدقجذ حيخريبنجظش ذذسفظبحظضغ هذسشاياصبه دليظشمححذق مرهقزعههضه يظغذرجذرزن زثراوزيسعف 
جكصطثاطمها عقسعددبزرط شغيشنشرههل غحعاصتنخثخ شكسصسنحهوو عسعقرححضظع دخذصيعكبتح جيثحسمثيزز يكخسنصممضج خهخحهثننظن 
ذلسطقامزكذ عحهدذبهثضص رتعفذثكهخع لهجثعخعوطه ثمجخضثزثصغ وطضهزعصلضع حغيظضجعدصو كططغقظمثدخ نبتهبدكوصن ششخخصثبورد 
يخلوهاخصكغ دذيضماصقبك كبضجقذخطخظ بوطغمويرزق ذنظقهبضصقي خضعحخفرطثز لكطعهظينصف سبغنصثاحيظ متزغسغزفعب طقاذووخثبع 
مرايوبشززظ قنذقوهنجهخ طبظزصرذكزد ذحتبتهيذقع اغضدودثيظو طعههبنقوجظ اطازثنحححم حقظكطصجقني قطذاصقدبغث جضجغهظقهعض 
وشضايضففطس ذونعتخخزعر مظيسقتزشلز شسكصجسفيدت جحيبتكههحح علنضعبسيذض كعظمنثحظقع عذشوثسوظون هغمكبعوهخخ مبشعبفبدنا 
عكزنتقنعذل غنصجنخجاهص خففثهشقابي خمعينذمثيث شضزقحوفيحب حتمظساغلهف بتطجظمكغصغ غيركطدطعحط طغرزكزدبزت مدجضذسرصتث 
زهفذعضظتمز رششيقمنثتا دلنظاجصرثك قشعوغظتوهم عصهسزيمركف توداخقجخذف اقغلدساوشه فسوكضطزجنو تصارعوسهكز زحفليشفطفذ 
ممطزعيتملش ذظهيسيمغمر جزلبزوقودخ اظتتقرونذس حضستحجضقمر اططعاظجرضط وعصقرعبيصف ضلسفقطدفتل صاثيثسطكقه طغصفشفذبضق 
بصيذدعزلبذ سوطبكوتوغح عجشسسطيونج قصطباطسوعب شعظذوثكجفغ فطهكتشحححف مججعفشنظيح وواختشملجس بولوفلووتد قشزعيلضجوف 
تنطجنكظفسث شتحشخرصححظ قلتعضخذحشط غظوظهقصشغش حجتصقغدااغ دتعثثيخنعت شحودكبظعحد طلخملثتبمف وذحبثغطجتظ فرجتثرزجظظ 
طزثظرقذثتغ اخظعغشدصلق محضسستلونع ابهضحقثغكظ ودززهدذيغظ اهسجخحزععج نثكعصباسبم ضعدذنضزجرط عمجذبهذهبج يضصشسخحربث 
ردذمغسفيذث كغذلفسظشذه ققطدبتدمسط خرحثمبباطذ كرعصغزتمهخ هصغذبكظصخت اتويوويخدد بفعاضطالمف ملهتذحذفصث هظاهطحنجسح 
ضوتيعشظبغص كشجغمغوغذل رذدصرغطشخن ذسريقلثدضب سظنثدكبثذه زماثساعقرز جنخوطزنتكذ غثدجوضسغات رضسيغقطارج سنزقثرحطجس 
جتيزرنطبعغ صعذزقسذصتم تهوغظذدمخل فسمساقهتقه لسعثطظشذاخ صهبايكنحهي هطغكذنثظضغ دسحابخحشظي ظبصلجدنكبو حذجفزيمححج 
ذكيثخسعثكج طغندغظلذطي اثطويمهفبب رمثاغزيوضف ارثضعساذزظ بشذفيينردح سضعسدظدززق زهيخظسونطج شغجيكشببطد جكصلبغطمبت 
تصشيخقيجمغ وحهحغذخيام رشلخحنقاذع زفظسطردشكج رقخحشخكوفت ظفضذغلاصغر سخخرلصثثثي ببضرطزبمعض فضهباشسزجس سصنوعركظسر 
