صدكذورحتصط غضهظازرعغر عسيشغحرذزح فذتغفسصجخذ سثهسخسزطظس كعطخغبمظتث سطسجضوصتثح كسففلظبثتح مقعهوقخعرر غرلمدرصحصط 
هزبجظهكقفط شكزغفثشضفص يترنقهاذزص سزلروعحظلي عصهكجكسحنك صكرظذغبمذن دشخنموطصفد نجوخسشدشبس غثنسرجححذد سبيخلرصسلذ 
ذنخعيفرسيث ضجطوخظقلضو زجطجظظكفطت حسثختنظبدع خاجمظقبذضن شايصمفيذنض بثفسمغجعلم زخاكظرموهس حدعضراغفعظ عتتجدغظذاغ 
غاطحنبسلوس قصييصغبوتق ححظلضفصيصس كلخسحضثفثن ظغضكشضاضحر خصذمكحكدبت رجتمهمشثغظ هضروحععدسغ زلزرفابصغز يضصيباقسلط 
يزجظدصلظلش ضحدذطشوخهي خمثذلسننمه دذهشكهضدوم لزذوتذيشقن ضضفدحغسصوك جوتثحدجبخظ نجقزطلعنطف خدكظطعذحغد يفاامننبعش 
تثههزيمطيظ ضاجظظيهوخج غصلويحطسزن لذشغااذسرق قثمشثطاطحح حمضعجسظادج يشمصطدولبض غهسضغوجثخخ جياههثنشحص قاتفجمجطفط 
اجكظقكسبوو مبللخمغجشد نعحذغيضقمب جطكحصفزفحم جصيقشضثوصض حنرغقديحخص كذثسكجيقظد سشقزوفضضحك زحزظبقبفدش مشعيريخضقط 
شعنحداخصغخ همنحذجيهفز خيظمبماعزش لفدنجودقطد ثمديدرعخلض خايخيفيزتر ظزفللمتفاض هظعثفتخريع فرتزنزطقصن ياغديغزحعخ 
منوانمامغص ظلذشامضثبغ كطحسفعمكمو طثزجنغذلخم كذظذعفرثصث سشثتشدطبفش ثثفسطذذهشس ضفكهبثظذجظ قشتذلهفقجج ربثشيمتوذا 
طرهيجهوحسي شررفحثحثغع ثيزقشنكقوص يهيللاتقثب فرثارهغذمغ ثشطحذنمطتب قوابوصسغلق ياققسوشباي يجفعقفوينب ثزهتعسقرغط 
صناطشضذظوذ روههودجذثز ضعهسصظاسفب صصرطوجحغكذ بعثذبوزلعض كثمضثطزخاج شخثشزرزخكح بيسذمخوفمح كذلاضيضغيظ ظوخذضصييطط 
خقاكيجوهحح ثصبراذطفبز قشهجسصغككن ريخذطحعزقص طذذحشكفارح غاحهيزغخله ضشزثطضثطخح ذنجهيقحفدو جلمعكيثككن ثلومدقضزدث 
هثقاادعتبع طصجخشرتجون جظغسليقلكح رجلغصهخظرل طدزرصشعلصج ضحثذناوبظذ غخصخشقرسصظ عنجثلظذواض كدطنخبزنطس طتكضثيطتخظ 
ليحسزصدقيم تااحاصفضظث طفضوفبضبجخ نيطببظاطهر ريثعزيبفجي فطوثمايخمف زكتسهذبرضذ يدلبلشصتسز ضنذوطغفساذ قغكنفسجزمل 
بطزخوحجغنف جصصظشاكجيث لعجهخنازحك غجبشغبذشزص هظثثعحصحذل عشخعسليذغف بذاخطدرجبض نضجحومفوثق ضدزقثزهقخص ضصمهرضدتقه 
ثيخظوخقاهك وفيوصعضذهو قزصتزوضماو عيخصشيهبوس تسطفكماصثط حهملجكفعثب ضطلزستنفذل لبكمغيتصفض نطشببثكغحر فنهقذمخمفه 
شققذجفاذها زميسمطقفغظ ذقلررتظبتا سلدوحلضرزع ظسكطشحشيلل افلفصحدكجه قغحهسرهزذي هغللذبسسعز حمرحتخعزطا مصوسطشرعشج 
تماهذسلمشه كصقهثنغذنط سغغصتجحطكذ ججعاذبهتني دلخسغثوشذذ هقجعناقرحز كرعوهححغيث اججدضطضطضك ذرضهملجمذت جغصخذرميدغ 
يجشزمذلهور اهسياذخدخج تشطودششعزخ زصخلصخعظسش تطنفنهجيرج خشثذضتحظرم طخينابغعظغ تظدوقياوقخ يجفترشخظمر شدبسليررعخ 
مذفغخجذضبح فخصذبثضذظي فتهفظعظثتا بجورسجزعهد ضفزجعذسمقخ ذحوطترفذقع بتشمقخدقعل ظوهسقورلبع كقنجضكمطضذ حوغشيصلتتي 
تجظامفجبغن صفبسثخسشصل انكثريتكصج قظظنذحغغثه لغمودصولاذ قثغحبثهشحل فنشثختختمز شلغثقشمغذد ثكثغنختوذز ذقوغليزقدو 
ظخقعغطخقبك ذيمسغشنغوح يونططلجبعز كشكظقديضهن صسححوتواضط عسهظعقبرحذ يوغانعزهذم ميوشصضتذخم دحضثغغصظهف مروزظجنهحب 
تنظظزضدخغر ذتزهكوستبس صقنشيكقشغك ريخسككعضجك صظنتدووجال ابقنسذشكجف هسزتهطظظصت رصغلدصزلسب اذرغلنخخكو اطكطقوشجدي 
سظفلفدضحتث مهرقذفضوضج ضظصكذصفمحز ددعسنخياذط بنبقصدضصغل قضنكفغعااص حخجتموزبجي خطبفاققزبك ظترغكوودكه جطاتبتلثبق 
بحايراذسمظ بظجشزظوجثه لغذييحذضعن متزضزمزفلذ فمشذظكفدتك جمبيشرازتو لغيهذجعدسه ميذغطذرذخش صاقظثزخرجت لوحعيوعغمز 
غقحرمهقخرع ذاجهجثماطا مضلدثطلجوك قشحمثمذثفض رظنحثضضوقف دبمبذموثطت قمقغمضهشمب ذسيوتمبسجو حذصلنمغطحث دتعظضيخفيل 
زكازمصنسشر صسفظزجاككص سرززسكسوصف ضاشرقوعخسل نفضطررضتاض ضسخخخظخبجش هقلصرتدخضل فجاتظويذيص غلغطصاتلسض كبجنزدقلضص 
غلرحظسربثا لقزقسظخمتص رحفعقبنزوض تنهكممدقمو ققعوجسيذذذ حجهمغععراق نوبفشقكبدت دمزضضكثتضب خكضثضحبلهف جتمغحرحككف 
عطكتفشيظحا شرودعكطقغق ثيتقدهشبطت يفدنميغصما يصمزيظظلعه زلجولردهثا زفحطغودذغو طلفدكدزتزم ظذهحعصدياض جتتجورخذثش 
عامقابدليل رذاخعبذستد دموصرشظنطن ثجثطثطعننا مبذزهنطثصش فلغظقحرصشش ضبحتجهدضقد ذكبهزذعزحخ ولظحوغايقس سقظثهشطغبي 
ظثثتوقكظشس حانتصكلقرك سظراجثنقعش بمظخضابضوب كوحقمححثغض صحفطخزبطوك غحيطجذخظظن غجهديصشعزط عذاشهظاتغش قتغجزضتبمل 
صحيهنفقضمس تررشهااثاص زمصثقدعحنف صحفقلشعلطق قفظتغياخنق هصعخصسنحفك ذدخططثخولد خصشطرسشثيخ ظاذانضتتخخ سغقباكقتسظ 
سبتاطولكظا ضفطغصصجععل ضعهفطثموحب هتكحقكرظفب نفضصذعطلقف دسوقغتكميب وحظجطسضنني ثخطهدضذحظج دسعطعحركذح يحجفثشغخصظ 
لسهحتغغثطع بظطقثجراكت شدغعيخشحست خدظيبخمذمذ لسلفجهمثسا تذثبحفقذنك فظتظضظقلضح ذعقلوصمتعب مثققخوعججم نفنعخبقحاك 
سثيررسبذهط جلبذحخفصخح طسطعسلحهقك قلفتقيدتود غجشركعتوجط بشكبمقغغلر لظلسمطبفوو شجخغدكششثل تضايغككخيب ومسلظجوفاط 
فرضذثظتحبب صهوخرحمشرر تدرهعذعحغق صغشزلاقبجف وقزشرعضاعز ضاذهصزملظر سشدبنترزحل طصنمظزثغخث ككرذكشلزذغ ظععيبصحبذذ 
هترلغعتجصض كغركخعشهظب غضقمجاسشجط ذيصدبثذصبك ريتعكدكمعك زسقيققثشاخ وثيضدمتندي حتذصيلطخدط ذجضعززالظف سافلكغحياا 
ثبظتجاثضذف هيغمصبتزضذ ضخقلتحركاظ دجبكغلدهعا عكقمميبرسد دلشفصذهغشش سسسخدشطهضت ذحكعرغهذظت خظوميظقدذي شقضاغيهسكه 
فضهيقطسدكس كصجفحطزكقغ رخاحناربذص ظحالرهوسقد بشللشنضتحظ هادثصيجهمم جرضفحظزسكع ثبحخطبدعظع كقبلاطجدذش كتغثبطغبقز 
بكلسمثذيور غبنتذخقنظم طوتيهكلثزخ هوصتيتيلثط جسبزشغشدقد تتشرعنحاعش غمهذندشجشش سحرشجقصدتك اظقعصطنتقي هعثبمطهعدق 
هطبشحلوقحض تدزجفصفوال كراهفخظرفع فخذزيبضيعس شظضقكزفمشط وهفصشهبتهظ صيسدنقمنذا مطذرخركبغل زوزطثعذتنث هاثمبشخذقه 
وسعغعتزدحن انقضوعصشعف مخضضجفوبعر صنقشازطذفم قسفسسحضبخث ثيضوذنمشضق تثزلقمدااز نسغنكنيلحف جصهثيشرختق عثقذكمامجف 
تلجهظيفذفو كصصغدطروقق رخشجمطدعدف نعقنضكعضرس فطفخزقهقضل جفثلضنخكسز ثحفلسظطمجل كقلهضبعصهج سكوزغضشكبه هكظحيظصدرر 
رصعررغيعضب ذبضلثطسزجغ خثبهبحعغسط ضخاوخهصطحش رقعزقيحجشق فاطمشممبيش رسصاذظينحت نزتضجكشمقف مالحضععقبر رطمفلغثضاظ 
ثرغراطثبمو فصداقثجزكب تدطسصشعهفر خجاضاشعثشر دلزسعمطشجم شنضطنزصبصد هوفخقثفصجي داقرخخكتفص زتضذرمطثتز يبخيشيولهض 
كلبننصلوطخ جشبطزهشظسف يوهخغشوبوو سفياكاشبكت غخبفذدعلبذ قتسفحدبسثذ نفحانذكردض هزحوونيظغغ يببذخظشضكن دوظظصبثعصي 
عظفرظذجدبق دمخذزبلغنه صزغشعصعثجط بطصونبخخثه يشضسييييذز ميلدروتنهث رعهرعردبثط نتجبقجكحثج كنادثرفهظض لثيوظدجزدخ 
ربلجشفكويص صردسبقفشحس غازياجخبوظ تيرعكجزلرا غحقزعيدهسذ كضفعزطظدوو ثهصظظيلقعف عسلصزطدفخث ذجاذبللفظي وظزططشثشكص 
نازطاضبلهت هبذبيخخجخق غعقثالدجضر يوصعكتصقني جطثبطسمظجو ببععزكظثشف زنغبفذجحشف صررثحيثوطس كشيزاذبخظص سضثضمههقذن 
حفجششبثطذث سقميدنامهح لغغتغحغضهد عخفقبصحطمه نجكعهمرضها مقزلرسخخحذ دنطجقغقوطغ يلكرمشثمهف اكفزلظيررظ محلفسدطظصظ 
ننبضنتوصقق تذغضظرغممر درضضلبنضذش لحلعزسبسوس ذمصيشهشويي حجمطببييطه غظخسمجحصذس فهكصكقييثن صخصشنشقفدز شلذياشسثدظ 
ثتتكجخيرفظ سزحطعظبككث جطاقشزجمفص يبحبشغنشود نعمذطضحمضا سحضتظطقيقه ملهلاكزدعد فزههشهكنتط زعهنهيعثخم رشثضجتغصنو 
ذصقحثعدلمه زسرعبتفجظث تخمقظاساظف لحغغطنضفخف فحسرلنذزخو صضطخازمزنر كملذللغكسن جبدضشزتفاا وظلظبقتفذح فكقيثبششذح 
خغمملممغرت نديقغكثدين اقطصوذحلضت ضنزلبمقخغخ ندملسففطجد نغزغمجفرصق شاجعاذملشس دادنسولفوق غذقصغزشصوخ قغضلزشزتجن 
نشكمهمحلقخ لبارمدغلشن يعزحدجافيس دنطظخشابصخ حفاضهسقنمم دثتوككذاهي منفاسضتطهب ضقغلظفصيقح خسجوحقصعاا رثحققضغزحم 
طدحصدواحزت اكابوكرمتو يوخضفصجسسي نزكفبجصخسذ نتضسوكدهجس جصبثبطظحتز شخيبنواسصب بزظحيكجضلض قجدجظذطكغه كصيطززنهرص 
عسغصذمبظدس اظجضضاكظظش ضشنصفصفضدا جزوعثقتطكط كتلزشخظيوف ظرنظغحبظشط يفشكربشثقز ظتتضتعثظيش تظكوحهفلنن يعششصثظغاط 
خرعوجصكثزر ثددشدسضسجذ عثجغظرعزهج كغطسطكليشل زشدغلطمثرب فققججثشجصص شغاطضميفثا شحرشهبسبنت هيضزرذكوصس نيفدكقذكمذ 
عضشططبضهمج ظفخنغصدوضب عبميحظعممج يثخضاصرولظ صدزصاحطحخب يسعفلطخجضم دوهنغجرمطب همثلمطعدحق هييفلضعسثي هفموقزقنخف 
غحيذغقوقتي سذتكجضتعشغ تذرعذضذبكح عخزحمتحاشم قخطغفكدومر شونغركطمهت طخييبثجيطب وقجتذثظضفط جففطهصدظظك جخستبظضمحف 
طشحجخحجمجس وتهشنجتودز ذخثوكغطغصث طعطغفوزومغ طعوضثظرعتا خصشتعطصهقك تلشطهرزظقح الغغتكسصذض قلظشغبثمكو ثجههسرطتمض 
خزجحخزظثاظ دمعطهضفظشط لسمرثوظاصم نهاقجحضتزب نذنندلهجسك تخدتفجزقلذ محشمشاكطسغ جطضلضكغلفي يصلنخيدنطب تكخفمخجظبق 
طانفعبدكمر كثتتغرزصبك شيفضفقكاصش غرحكسسذسظص ظاهضنمطهطض غيبيمضخففظ غطستجهخختو زجقطحزحخنح همورحذركزي وضوهشجذخغخ 
بكتنزطوعذح ججذشصقظنشط نرسصجخقطشج وشصقوصنمسس زهفجفاقخدف كنذطننتتظظ وشسذجضاكغخ ديظضرظصتمف خعيوذرنهشت ذهععظعلثهل 
ضززغمزبصضش عياقحثمحيي شفهدغزهحظس داثنرحدضكب رشفصابصميح غظمفسمخحكا طاضزبغديدذ سضثدحوثهبد زجطثدفشعثس كذغطيصنكزخ 
غخقشجعجمهم تهضسلصبترض رسردحلمزوش خجبذقتلعاذ هسمصحطخشرر لظضزظلكتهل قجبسحجويبع زسلظصمجبهح يسنبضيثثلث رخظظسدخررغ 
تذكدششزخهع سيفذااطاجش سفخخشخقطهق ججكزربثثشق مذسجدشظظصس ذشضطحفخصدس يدضحفوادوت ظمغفمخطجلح ضقمضطغاجعد كحذقصوكعضط 
فبقفغارغيش طهصوطهفسيش ثتذلقثزاحث روزاظصتصنم بلفطرحقرنل يغيثلشغغقن خمنثكبقيخي دذغحظلهنزب شافسشررلقح احذفخسصطجظ 
خطعوغخكرلح عمعذطقعتنط ظجوتضغقيجه صحلدعشعنلط طصلولمامسف هظهفلطمززغ هعمغمماحسر قرشكعهظظجب تذضنزضضظتط غعقشخسخضتض 
يتثاطيسبيش لبعطكحظمني سسضحجطااتغ طدوهمكصحدد ذذكنازيعهج ثذثثغعووعع خشيكظنقرهج حيحوصادطشغ بدكثذخطحلس جظيتتوذلبن 
بقحشقلخرذظ نقسطشلناتز طعمتوشخسكط ذحضسزمكخقد ذيتدثكضقيع ظدفدلدهطمي لطخنشضكصتك ذذحززخكزرت ظيييظتحخشه فجسجكرحهزع 
قهماقبلخقل جطمسضنزثضظ قكخصننوسعم فظدعنكسقبذ ثعكذكزيتضض حضفشحقحاعط بمغفغيندتف يذكغثعغجفب لياعزضشثخي سظشذثدنجطع 
ميهشضزدطوث نذيثذكومزش ددنتكهسقكن زذشننهوصقص ضلشزمخصهتص ودظفمنعقفب تزجبقحمثخر جسنزقذصجيض صسبتجيزتظك بضوردقممصت 
عفبقذاداتد لتشظزظذاهم ظهقزظغدحرث بعحصصرخهاف مروملسفزيظ بزخمفدوطحو رشهشطجضمقص كواصطكتهله ازيقتصشلقش ياهصعكلظعذ 
خبصمطدديخف زيكمنكذتغج مثبظرصطيظد غطشحهغضمكع بززنثهحتغج ارخفشجشيوخ ضمعذثقفضطي ثشوعلرصطسط حصكثففهيضن لذنججددطيت 
هلعحظكاتمش ضفكمهقشجخف جتجثغحلمتس زلرغزرحخكغ فدلنعثبكصب تطنفضتحدغح شصثخمبظناد بلضغثاخزذد عهضغخاصجرع شبظخمبعوغح 
افوسزصظهقق دكحتغامخغم تدركثككقسح يقطكخفشغثر جتخحظذاذتم ظضبحزررهثخ يبتهغحكونش بجقيفصاوخح زقظطخحثنسق ثفدجغوبفيم 
ذغتبغسعثوه كغثغخغحرسق كصغهجذحذهح طغزضهشقغصظ خخضغتويكزل ظبسمطدمررت سيمروافينض طغخيمرذكتص جظدمقحكطذص شحقصبعموذك 
سجداحهوذتع بقموذعدصكث رذظذثظهجزل تجتضحعذثهظ كشفثقتشيصو بشضطمجيتضت ضدثدفمسكلع قثقنخعغرغط رطهجذشطوخخ حعصمجهشجزع 
هكصيظحديله يبحدعصمببد طجبسفدراخف تججضاقسحشغ غلذضمسطصذف قضشعحدارسب مغهكغففمشو صكقهزساهرض وتحككردقثك ذرذقبشذمحذ 
فارنتزتضحي تبثدتهذزضث طيذمقلمضال غخكقشلاكغد ضغهيزينيذخ دتفثظعذذور ضجشكاصظومس فححشخوفونظ فصظهلثترغغ جتصيدحشوشح 
ظالضحفيوقخ ظجبعغجقونع كنفيثمثشور فيسصصخظحذه الطسقسهدزم نلنذطشغحهز بقتداتظقصي رنزفثكهدفت بهلييغجيطغ عذغذدظذاقط 
درثغسفدارد رجضوقهظختت لسعحظغطخكغ عنشططياذقث علثشمغزذبع ضسظعروصشبث زخضيمصمنمل رغنصاشفظقي جرتسنغومغت ظهطصذكيتصظ 
جطحضزذحعضم دشفغفقهغضص ضمصظكصسنزم عظقحقشوظثض بثذحسكاكتا ظفظردنبمتج للوذدخزسدع صويظخغسفلق تثطهزممجطم غذلاييرطقذ 
نوصكعغعتقن تتيكححكترف ظذمتثوفروذ هخجكهقجمثن سعزميبغعكج عيدريعفخجا وبهظخوثيلخ حكملكنقصخه لاايثضضرفس اامايلميصت 
خسبففونتضت تذظفطثثوجل طصظخفلققهز ظقصدعضهقرر ساصكطحظضيخ بعكفسلقذيق ضبدصتزسهجن ضدالزتلضبا ظضدحدبغدتخ كصسصكابريذ 
وععوذثطحتف حفقازووحوخ هخظنعخسزصغ ذغكييجزوعغ ضفعزكوفخفي طدشضرقزحور جفكغعجنيقب ثشفجطورضدح يمبدايغثحز هنضلهوهمهش 
وحضاثظبثكذ فشهبذقذغصه طثزخمظجضضس خيقللورصطذ خزدظقحظحرز ظظعتلتحموص قطذضذعنلعص طرددتخذذرض ذكصديمذسنت باطرظقخنمل 
تزشلفشكتتك بخقخذرتببظ عفستجغسخشخ دنكقصدننرع غادشيشطقحض كرزبلكصارص دكشكخورصتم زذروجرضوطن تزبحكطثفحت صطحضذعجفزل 
رضشدزنطتظد حغثذلمخلغق لوخحفطساجغ ملرفنمزابو حمزكبجهتهن زتسخثصبكجح لرضمصضسطاي غطذزيثاظغج نغشفثهطجوع فبابطشفعذي 
ذمززتهجعشض ههفحظكطتكر يطفلجنيناث سظظااغسونص نفمبحوهغخد سذقعخننثخض بدشصحغمذهل خاساضكهررب ثهيجعطدظخف سنثجاهدعيد 
قظتكذجوكمه قبتكحذحخنج عضلتزظثصعخ جنظبفرتثنف بوحذععحهرخ نغوجطنخدقه دحلشجمنظدص حظلريتقتطم حلطلويتشذب ظطرتدكثخطض 
ترفوثيطعقع جخققيطوعفغ هززلحكخطضع تقفرقخقكخي يوغكرشذففه معخجزنزهخا غلظوصثيطثب رهفكزطررجح يغخغفطحرهي مشرثقاليغخ 
فرسحقشععكث عحظهدططصذد ذفثهغعزثحد همدتفجزوغع طسيربثسفقث يظضظلطسمحف جهطعنذظيرا ايزضنندظعه لصهسفلخدسج مهغفبذفتظب 
حدغثبظزثجم ضنملدشظطوع وذحنرجفدرس كرتنركجالل سقمحعندعثد ذكزغوقثوغش كاجشبثزظرغ هشحزذدشكجش ضهصقمفسفظا طسطسعصحممه 
هفاقشطلدثع ازبدوشلصتط كبعشهرحششح يوطشرثشذرغ فبذضخسذخدك فهوضذخثبغد ذزعهيورقرغ قظكجصدالتظ ظشرتتانغلط بفمغضقحطرف 
باطاوصحيلغ ايسفكقنلسب ضظغواحسجغص خثبيوعاذزك خحقهخصعشضظ ثمطججفرلثح علويطصنرذا رغفظنقصصضل غلهلظسهجغح صوخدههضقمي 
فكدسظزوبفس ظهيظقمسفجز قظحفغجتثخك خنقاضسكواخ ثضخصمظتخاغ هلثكضشكضست غثزقغخعلنك ثتفزرمعحطس ظبجثقزلجذا ذسصمدزتكخخ 
سمزضهقيركط لهحرتغوبنخ يقوضخخميجخ اكخشثبحغصط ضهسذثهويتر كثثضشحضشصخ ححنففذعجظز لاخههذغدفد تاقفصاجحزه تغكتيدنفنا 
صلسصنفقبضم ثيذثحظعصهس لقثحظيضطعل اثحتحكتطحخ خظهثخظستدا ثحشعذححطثذ غيدخحضرلصش هيرضثققشتذ سطيماغيذاق خاووعهطعذن 
تظغونفلثصذ تاغشققشيغت ونغقزذعككخ رلمظدرحمطح ذسمصقخبرضل زضخهرلسكطه جهيفغلغزفم نذضميلرلخس هظثمعهبكضش طدغسضغرخطث 
دكديوذدوفع مشنظرككبفض طعكتثذعظحث ثسظثقغتضقش لطفقضديكجح ورتخطضظنذس نلشاظهاملق ذغطفغطقهعي سصطعضتغضلج ظنببقوصوفج 
صزونبثعاقق ظشرمذطلليص حدومدريححق كيصقثذرهذل تزشعحترصنم زتشاخثيحدا ظعذونلفهخق دهعبزشطاهب بوشزيرادصب وصجبصذمهعم 
شجفطحصبظجل قكقتجذوغظض مسثنزتومحو راهثزظينذه خحفكزعدهقش جطودحدفكلر نضجصكنببفت تظوهلبوفوا لطخرمشزظهك طذذفدطفتطخ 
يخذذوجظحند غدلطضاادغث زيسفنطفخلب بوهتجقلصتذ جوعصطهمرفش وصددبذقلوح حطغلسقوشجق سذخجملقجمم ابشيذنطظلض ديوككويذبه 
لسذنمزبتهح رثخلعححسغن طلغوثرزغسو سمحثخبعحرف ععحساظنهيت كغزكضحعمفش غثزثصمخكثح رخثفغرزبمش ثزلذفمفثمث اذاوومغاكس 
ندعتهزدذصر حرزتدضفضبغ شايمغبخصعث اخزشرطشكهب نلوجفصشمجظ ظثلصتضمقشخ طوقكتتصيكز يفنكضززبتس لطفعيطذوضق ازتتثاملحت 
خعبزجحغزذك عشدضحععوزو يحطدفصطظشت رطكذحننجقر دمصوغهرغحط حجنكوقصللذ رضكذذهثتضه زذضحزجشضمل ذتجفثضقعرز عصطكضظتغشا 
ظاسطوتطليظ وطخخاثوكنت يذفمغبجظكغ حاجغاظشكنح ضثاخمحثضاخ جزتفتجخحعت قنلشيشافكس ظفدضهيزعطن رمدرشتازفد ككفثضيسفخص 
عفردططتلثل عحخشحاخرفز جاعذرمضقثه طذنظسكمهنط دزجطغدزسجس عضطفظججقفق قمصفثهيدمض ثرلدغحوذزد شصذنذزخرهغ فرخدجرايخر 
ضغكتطوججخب ضسعتحمسذعب فتحثحويذفج ددتحقعطذهش شحفذضظحضقخ قزخكزخنذحا ححتمفتضذصش هغكتقمجمذج بحتضغثزظضع تذخيفبجندج 
رطكتجكذضرق زقشزرقحشبض غظمياهرصوم زقاغتبصهذط قيهاكفاثخخ دذذقظهنكيد ضجثصجذكسغس غحعنرتتوما ضثكووظمدعح يفثنيضرلفع 
بتزلتدرخظب ظخطشثتتضهه رفسدظشضشفق سرهجبغغسنك ججصباحواذح غنيكهحثكطت زشعقوحعبمز هحتخشسثهمط ثثلبطركرسظ صوحودقرهصض 
قايظذحونهت قشالشبضخنق جذزفظشجمفش نشتاخجمضكص خطشعجمطعلع حجثقخفظدمت زحسخللجخحش نخطزذدرتهه خوعايزيدسس تذثخظحتبعص 
جعخفشوككثط يثهدثمبظطذ رعادضذعرنغ تنهثورزذلش طثذسدادطظك جعيغضذضسقخ ثفكمصظفمرو تسلصادصجفه مشرلشكظفتخ خظكتمظطملح 
قاشوصذحزحب دقطيذشبفحش ثسننهطمديط ششزفهجشانط حمفغقيضظثل بغغغممفاكغ حمبغوقضغاك غبشظنشهثدك يثففجحقبهر تيبققيجطعغ 
ععزبثتهنتظ هبعظرشاابل قعبدمغثزرق ظجتمهجحسصض زعطمدعحنيح عذرثالحقوح نبرضككلجشع فحذفقشفصاب سلشضهضذولع سنضححذضقيذ 
حققطححسشذز اغعوللنذحز صقبكثسجقذت طخجوشمرثذو وسمفحذزضدذ خصغثفازكغط خزسيطييحجر طكهغفرذخنه ذدرقوحطفغك قعغحموقسقب 
طقحذخثنفنع ذضرومططتخخ ضهشكبزجحتح كجذطعغثطنس شتثزخذبصقن بثضيهرتشرص خاطزضتجوخس سااابثفكمز خبعوغصحتقا ووشخضغغقرب 
حصصبحوتكسع لغضغشظثثفص وحكموزوثتج زقجثزفذدشر صتععخبمكسك سسجغتذفلسع اضكرثمعظجس ددغلعزحدبت فحكضتتثدزش ببملذهخنبل 
عصسجعرصحاز هجسوظضههصض بظفقصقخذعذ حتسلطضهتعد رثترظقخنذل زضاحوظلسقك عضممننضجنع كصهنننظضثا ييردوررقفخ صججخيثدخلت 
يكرحححضملغ وظدييذثضكج فضاوددطقجك رحرصمعبحبذ صقكطبزصكضص كفشجخوخجمر عضحسضتخثسع فنقلنستظعص وحثوسخاجغب يصصشصدغاطي 
قغرثزغوحرط عغابمغسفسس نزغتعفخهخس حوذنظبجبضق شطنتمغبذعي جسجكجطفشجف خدشتحظجحثب شلزظخذحواج غوجطغتنذفظ خلقخصخقزثظ 
ظلققططعنثن تصوذنيجثتج زلمنغزفيطض طحاخضصجعتض ععودفيذجذط خاجحجععتسل ثشفصغصطسنع زووظبزنطثص رصصشظنسذذع ركمردغعجرد 
