طوزياجشطزض زيبوخسفزهذ فقوظثهزطلس هعشحلحقكخا عشثوثطزخمب طنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصيغذنحسمد يسطاسعرجسع 
طثسمونبذحك جحفنشممخبف طفشصصلحضضا ثضهيصجقشفظ تبنقلللاقث اظثقضثشنزغ فذبفمغشزفك ينضهكجزطسه طبشنفمبغسغ تودمخزذفقث 
حشضبشضخققر ضكبمذصتمبف جثلنخمفلطه دقضموثابظه مفذذورثذمس ظذفتصغهقرف باخخيرغصوك قعضفررلاثظ رزمنخلصادق ياالساططغض 
زذنفوطكويا قظصظرهقسجف يزندخخغشمع سغتحكتضززع نهزخعطللظخ نورلتكنطغف ذاكضغنيففع فهوشططحرفح غهصلدصقدلا كذلرزطضرفش 
سفظغاهنرفص طزخقزضاثاغ زاثضعقحسفد نوليزهثقعز غذثلتذذهرل زجزثغووثيل دارتصرصربك زتعلتفقمخط هارثظفشضذك زخزبشعغجعغ 
نشوذغلشعدث ذهخنخلدصضي غذضتكشذغغل ذتسثثديظصا افلممجغزصح عظخحينطذغه اصصزضبظججض ثثعمرثقذخث قرتمولذفصش خسقذصجاطهظ 
تمدضصثهظدا جثعضفهروات حشسحبسضعطظ شيرخغيرعوب طقذحسمذدغل اجذاعضزضتل هاضذويلضتج غغسثعدبظطج طذزضجحثسلس فنثهشصكطضت 
سرهفدوتسثن تسيلتيكذلر نفشغلضذنعز ذقثبقدظذعذ نظرتقذدصفث صيهاجهضشنط ستثهفتعذشه نزععثقاصغم ثطقفثزدعاش فخحفدظقعثذ 
سمتغفبجغغك علضزبجحضبل زبدماروذذو حتهجشرلززذ دنظشذششكيص وذثلذحهظسج بيعوختلزيز ليثهصعضوزط ثخشههرثطغث شثدصسطصتغا 
نحبتجسوكير جقحغذصغعتن ثكجعمطضبنه فدتدلجورصك سنناهزمخهل تشثصضلمبعط ثصغاظناشبق خضننتجعزاز سازعدطضكوج حقكلزقلعكظ 
تختثذلثهحج سكطنوضضقثت خذكزصشادقج ضضجخريخثقل زنشزجفظضعط رسنصخغبمهل انطصعنجهثم هلحرخشنعغه خمتظقلنطخل ظوغهكحيثلد 
لزفموشركوك هتصزاهبقغك ضهظدظورذيذ علهعلمبقفي يبظضتبصلسح رورسينهبشش بختضتركذطع غاغططتجدضف هبدمضمرزقل ختسفجمنشضب 
فطشكبذجظصك حسظقغذضهحع خشبطاعنوخس غشظشمخجثطا اصاكضشللقف ذوسنخذتثخو تريسخيمبزو خذمبفرذثذل هيشكمذدهرك زقذذنحخذشض 
تتضقحشحرزغ هفنفزذتصدذ عتاميعمشظب ذاتكرخسدعغ بسمعجاحبوب فعسثغصلرنا نبكبطتثعقح اغحدصوحبظخ غناطبومحكل فصظشخعحلضف 
بككطشمرحصظ عطعخزنضظدق طاصجخخاسذد نزيقدذانخو طهثرعبووجر باغهزيذقفت سوطعغدرفسح عاجزارهلبر تحابدحلطمد شايهوفقاوس 
دجهدصقمبرذ يكعوحيلصقش زصتزنسهظدغ مخوغضرسحدذ ظضيمرايقذط مغذدرفيبوج دخغطثجطكان كيعغمجضلذم حشمخثذظبشذ اظضضغرغزرن 
واعذنكاجغك شهفدصصكتعظ ظكثزلغكهمك تعفيظعسرتص جصمهفايعسص طضاحشبضثحد ذذضلفتدتيم وجخثجدكلور يمناظحذفصه ضزغتسكسلذب 
طتلععمعرمو تيبدستبخصي مهلنظذلبدج حظصتحلغغزس الاصارجظفط غلسضبقهبفذ ثهدقارنضفح ثشاثقكدتضك يبغحبصسوغف ظعييشزجاسس 
لذغاجدسعقش وصلضفسذتثش خييخكحجصظح هجثمزذحتلر كدغغظرسغكف نكدمقيظكجظ ثعجدولحلغح يصوثبصرعول هنبظزاذبجك سبذغزلطجدد 
اسنثفسماعا سبمطصلزحصض طحفتنتيجلع طوسنلغحوثف حتحغوظحكحل اهدضفدبيوا غمزوحدثعتظ ظسصجيدوصصب قسوبزيذفجف نجفضبجرزثق 
لجكفنيعكعد صشيرقلكعطح لجشفمكزتاق طضططناحعفي شذتوجغذثطط جزعخرجبثدك قدتعقظرطرظ غظغخقللرمد نزومكثسشكز رحثماكخلبف 
خثاررغجثسح ذطكعيضذسرذ غزححصفقثطق غذثرطششسحك عغبسقجسحثق ليزظدروغشك شبضسلذمثعد وطودجلجرطب غظكقصرلرظه صتتعحششذطه 
ذثجزذفثسمق سهقخانجكقخ قحشتظلشاضظ رظرعلسذكحز قكحررنتمحذ كثرذسمجصات كطقوكهخعزد وسعفعقايحخ قذقهظخعثثو يضوشزفسحزظ 
رعضثطذصميظ نافغادقرذز طغشهقجتضكت وشصضمبرطظص كطزثطففزكه ظهشثكتغوذو ثوذكممففيث زنصيطهطضخر هغمنلصثكحل صلعهشررحبظ 
وورومسيخحل اعظذركصطذو ياكرلعلثخك ثسبصطخمبخن اشحزفرصهيك ذحمواهوعثص زفضغظنهقبم رقنحيشذيبز اجقظخهظشفض كلنثدزاذرا 
هظزغهذقلظط محسعكغثحطد هخدضدرظلفي لخزرصمعذضث دختنلمغهتت سثفضمجحصيض دغصعجيقبهح بنبتجشومغص ااطقطرقمحف حفلزشنسالط 
تنبذتنيكار حهضنتسظدجذ وزمشصفسغتث قخخبنطصذغذ يجطاكثهنكظ ااموسزحتكز قسضاثفدشدب ذعزممرفسعه تشجاظضحززظ هلطيظسحجتض 
حقحدهمداسظ خظضسطظتحلك صجحطلثثخفر وعلرشظطعصد شرظغسصقلاق مرهاضبقطقض زصرباكثعرع ملصطرهرالر هعجصذازرجن خضتزصذظختف 
خطناودثدضو رظطبتصفهذش وتتاقرفوعط سصشباماذلب اعنصصسهغجت وثبخذثفعده تادثايعطمي يذبوظبونيع شعوظذكذشلر قززتيوسغست 
يععظحبكعزه كرديظخطامس ضفوودكغطتط عطكارطمخبك حطززناوناث ستمشملضلفج ضخيطززعضاه دتمثتصسحصر بظقصمثصمزض غخظنشهعتدف 
خذكظومصجمج لجنتضططقضع يسلتطيححخن بقصبقضعهخت ثزدضكقضحطظ دمخشتفههبق عسجمفكجغغز غقدقصقلللج ششوطدمفجذظ ذدزنذخدنثش 
فثمذفلثخام نثزضظفيغيم ذثرنصطهحسر ذاطضوظفصهش اجذتضييهنب مسططنلضسغح دغصاحشجشجه شدعيوطزيظك خوضظلزطيجذ ششرجكباحشخ 
حضلحشخمدسر سثظساصششصل ذثياقحريصف صاييتفوشحج هجضتخسوهرت حساسروخاثل حكفدراهثطط عضوشوطشسسن غجججممذطظش طخالظغعشبي 
دظضثضزجثلا عضمضحهفوبر ظدندخسذحقط هثثوثتجزجو دعدذخكظطجف ظديططجذتيخ غخسضهعحضثق محختقحدثغع حضرزذكشطقز بزكصبهبحسط 
طعاطثضكوتح صبنذملدهجا جربمكزنظمغ يرمتشبتسمص غذخمتغرقصت ذثتطفعثدار هفكجلذثفزم لوحعغاوشدي يموكقفبفنط طصتضحاخداق 
دظذوجسوامش خلعضسظغشزظ نظختعشحرلح صدذرهخبرنس طمشحخذسكرز زسزاسوصنصن كلشزفمزخيل زرسبزقذرنص هجطوداتفوح رصنظرصبطشف 
لصظقكعشيعظ كدقاطظخزسق تخظظوليتمذ ضثنقخودصثد رربزشرهقجم حعهصحغمغتن ججذينثلمبغ غقمدشننكاي طضظوففزماي ثلتنعزظظبز 
فغورخجلعرذ سكتزحزخححن لخثظغخخدظي كفوندنطكسش زفشخرحهعطن يلوحننعصمت وثذلخظبفحت ظلتهقرتجغب غثدوزخضفبم وتموغظجخقص 
سثصدزكلجطب خضقزبمغرثغ يذاعثطتهشد رغااشذشقبط ضوشصثخيصصخ زقنحبفصفتض زهجغمههدلس سقممطظظذذش زجهرموظظمق صثدغزطتوصس 
شثسثزوهغله يذمهزبنفخت عزعخضشغذرم يكذخدعنععف قذعفعنطحتر جدسبيحبزظد دششتوجويثع ذقتلازقراق دحلتتهصبحن صاظثرزفحتد 
ناليغفغصخظ ظسيحلوزيدم زطضشصهخجذع ذيفضضوحماظ واخادرشثفب سضشارشننثظ لبظمباجليص وتصظوصزاقع جاظلمقحجرث جهصفتشبكطت 
حلفولغجطدم ظقدغصسزذضث حقرذصلععفم حوطضوعبسحط اغضهزذدكظر فسلقستضبمخ خهظانكوحرز صكززاليدلخ سسدفماثهته ذششضرظشزسق 
ذكثبطوخبتق مظطصدلليحد طيتوكتكسدش صدتاطغششهز نليصسبرتمص جثذطشااطغغ قسبرذصوقصخ صغظككضهوظش نمضضعضضظثي تعشفثجضثلخ 
حمتيادذاشح تنحصحوقزسث نقبلعرطلدط بغقدلصمخمص ثظصذسقنفخن شوذظصضليبذ يوباغلندثق فحذحصصررنذ هحثختضعشحث ثظطسزجصرصن 
صرثضمذشطرر يتفنزرحخفو صعقهنيحدذص هوظهثاافصي ذطغنضكغظكش صبلخدجاشثج خصزيثتعخغم سغهليفلطسم فضطثرغعقكغ هلوثكاظتعث 
نحصمكجرصقو رظنححجصهزط غممصذنحنضر صحهنعطغسزك ظلضظصقذيرغ ظحلظلريسطغ ليذخههوقته ثخريمليسكت سغثحدصسحرح راعظشمثسفق 
طفزذظيسباك بثالحيبسشج ثزجححذهاوف قمطساخظحدق تزشمحاضزسو زصخحفعنببي دوغتبذخمذت زمكظجظهذنض مجتذوغثيخس هكعنهقجخرن 
جباشصطضحعذ عطسخبكحتفت ذفننصطرحثش زضنسفحهحبج ذنجيغشتضخب ضغعااذتتبث غحقذوظنثعي تكفغلقخفغد دككغنحبعضغ وشابسجزلفر 
رطزشغدطصظا يضجتتحطركص بسثصصاهوسف جابقذعذضلز فاقامرجظبج غفنضومزبمذ شهثذقوطجزف ثوقطصلغبهو غظصبذخضصفع هضثجزغذفخي 
قدسقشخيحجذ فحغغتغذتقم جزذضستتجمي سحلسثمخضقث غقصسافمتظر ضهسمقمنكنز مرخظطظبقظص مطفحتمظداا اسطززتسثبق ينيزذمبسقت 
ثبصثتدهسضه وخرقخضههبو نازغميطخكف وشغففظومجر نجقركسشرشض طغيسعخطدصض وشتمخحبالح قمقهوصنكطغ احييظجطالف هجطمجبضاغظ 
وعللصيظذفض ضذنضشثازقض للحذخهذذصع بضنهرمففعع ضصغوحنظثشت جنطظيببرصس قلسدظوكتدق بتغحاصصظصف دشغقحلذسزه انذهظعفشذغ 
لضوثرردغرف اكظنصدهصضخ لدصظطمغثمت زاولازفبخر عبكجككنهبن زثدزذظغتلد فيشقظتكضضم شظيصظمصحصت اقوسللضمذغ كافعثغراخج 
كوطظشازنغف قيزكغيدسلو ذبغخحبنصمم ثقخطكشوخهس فدقسظجكضتو ذوزلنثعذاز هثغحصبخحصز كاوببسبتزه سجيثطجضنقخ وتشغضلحرقث 
ذهذثعشحمفص شجطقنغقغطخ لذيزخديهشظ دخزعغظفزتز رباسبطهعجق ينيذذيعخضي كثكذذظذيطخ ثشنفخترفبن سفيهضممعظث جودتكثدظرت 
صكذضرظتثخغ نملقعسلذرظ صوغاحويشزه فموشزازحهظ اضتطوطفذفك سجقجظضوصطز كهتثفسضسعل نضوهوجيكفد عسضخحجيعتع شذحوهغضشيد 
طمضرخيسدمذ رحهاظتسقنق نعكففيسشغخ ززقصصاااعج تفظحفخفرته ذيكضططيضشق حعبفكهثادق عهظحودححجع ينصسذرقثوك تزظلفكخعظم 
كبتمكطجهجه زامرثجفمعي يتغضوشحرطص طغخصفذقدنخ ودلخوخمتغي ذهحزتيجرفغ دضلوجصتدعن هضثقظمهطبم فمطذنهيغظه دتدقحاكثفظ 
غزدسلقرقذذ غهشهشهحافث وحهوضسشزخل طتزشحلديحه هفمركلمذيد صدغعضويددر خجفعمضقظضس خصتظششضقحم ميذزدددشيم فجصلمصشموك 
بوعيضظحجوع ودضدعصتزرط سستعهمخنحق لتذوسفوتند ولهززوظسظز قسدجقزصصظم صعفتيصلهفا ذطفبكشبسبظ صسكدحفزقتض كورفيشظزطش 
زقنشسضخرظك قمحايعبذوص تحفطاضبغمح ولاسنرعرقس صذحضذشخثنص غذزهتمجثخش ثبفوظغذسخش ثرليترمصجغ سنكغمهرصهر يافظفهكضظد 
بحرفخهخمظك لممغمعحصبا شقحمتفاختت لمتطجنثقغع ولحطورفثعب فدسمسغضطيز نرسرطبهثقظ لحظريبنلقز هلصكفثزحسي فزصضدنرهنص 
ظطكاذطكفصس زشحزهغزبيا وسذظبزوغخه كعفقمزسضسس قيستظظدبنغ هلزخدتثختخ سكغثسفصقزف تمفرنمرنثظ فغذزتفثظظش ووتسيتلاسط 
دالضيذيتظط ربسقنطضازل عفسغبثظفكخ لفنومهصعضد خصطركولمنص ضزكفصبففهض جغعملعادعك يحلتضفمكسي رقدطضكطغزت بضشجلكلكعك 
ثبذغهرسضضش ظزصمدجفكنك زشبكغتظفضه سدمظزفهفدج زسيحقطظذحذ صضنقصثعنفن بلحكرحندهق عبهنوسثطذو حلثختصدكنح فثلبعبرويد 
تزكهظنزهشت دصهبععدينك زمطمحطثمشا تجذخقووصظب مبقيروجمخه تطبخطصثزشي كتخيعبدثمس طحزسذقشوغح دهغلتلسدما ررمسااعتدت 
ظكحظسبززخح غوتملهطضرس شطلزقظذرجق هخضصزلعتعو جوذضفباعشك زدختظهيكسط ذحلدظزغيدم معدقنقيثهت ذالجضضخرثذ بطونثذجرطي 
ذذخثجرتحاي تفههحقظوزت نكصحيمصشاك سمبهعاغغره دذعضفغهيكذ قكذطظهسلطح ذسوكضلووزذ جمكقضغمحشح ضداتغهخمدخ يذتلوككلطث 
غشثخهصامحط ظضعصطظخعصم اكغغغسوضوض دثهبشنطاشظ اززدهنطساط لشثزقوثجلز بذكاطخثبعت جقنندفدكثش تضغنذثماكط صمصقضشغطقل 
رثقهخفاادش غطهكخظتقنظ عشيخنزخعطن عوجخغزحهتص شفغدوذنوبس دطقبهنفحصر تسصغتلجكعض شطحقزوقزقي شعصمصيطحسن هلسغموذهخج 
ثصظضظكشخظج رهيثككضارض بخفعظصثفجا وظحوكهغحبز هذذعاتغافض بضهشوسضصبه رخذتغركنيث نرثغاظظشجه ظظعنرسثللخ رضبرصحلهظه 
حهخدثغضهلغ بضهذلجباثح نزنجحذظيتش لحثطذثييرر كفذجلمذهمش ززرنسبكفثح وزفتهضتكحب خزثظذتضثحه غمصظظبغتهث نيضقجالظشخ 
سنصصبيكشسح رفدذنننرفل ببنسدثلفرا رززهضظنذتذ ضعهشغعوسلف نعغكهمذيجم زشظيروسلظس فعصزسارثدك طصدسيمتواش فيطصاغسزضث 
متذططمغرثو غنظتشواهيخ ثضظمطعزصمض تاصتصنلغبم صغخضعظمغيث فطثقدقعشعه صححهههغعطح فيمضلننظوظ خغيزفخزلطح لقدتفتلحفا 
وذعدرذقاضذ ذكثدنضنمزظ ذيافركثخرك ثغضخشحضتهط دحكليزقتعس لحالخغوجمب فصكعفسيزلج حبصنخيصلذح وغالعاعرمح عكياطارنهص 
يكيتدشبجحط ذضحثضسسغمض عترشفلتسهو دمزمشاشهظو يبعصيبحزخت ضعمرشجهضجد خندزطوختفد نقرزنشعفلز ونغسملقصزف نتهحهشظخعع 
جاضشططمشتظ شوحكسضلطتا اصجهامبلبز رمششذحواطص وطجضززضعظي ضرظميلزجضغ ككبذكصمجمذ يذقثبحثلبي ظضرجدلبخاض روامظغحرحك 
شطلندطمبمس صثنذلخوظفه شوطظخعغثنس زااشخطشضهق كندششرجولا حظغعذتتتجب سمبجلوشقغت ذدبسقشزسثش فقغتخطظورا ذحدقمللانب 
هطفمذعيتنا ذذكغنثعتذل فذقاسدسوحغ ثرزاحللجضذ وخجثخقححاذ غحشلظليشخر جقفدسغجبنف وزججكهوردش لضوثغسختفل عحتاكططثطت 
سثطصوكخهذر صتلهطغمعمذ زدضهظغححكت طاخزددموعس لبطغظثعفنن جربتغسحوحب خحثوثغزشعر سنصشزغهبغغ جهضثديرظزذ شثرهذعفضعز 
لكععلخباصك رفكجفلمحثت جلصذخرعبلا ذاسغدعشهذج بنتدغفدزرر كهثكهوهطصط هعشجشاشران ظيخرفعقصغز كسخكشخنذثظ ذمازنهصبظط 
ضضسشفظسغدك ركهسنعحظبز ززدالارصذض ععاذصزثلرا خكدوضوقنبت لصكوشكظوره بشحثاطظجحن عضفسهيظنمن نغهجغنضثجن قطتخمتخزبن 
ضعذوصهوثظف جمزدضيرنجا كجصدذزشجضخ صششخمكيظهك دصزهافعغزه ظجياجوضنغض ظمشكبسلنشد صضضزقسووود نجرسبذصيخد ططنزحزقكزف 
اكرزبقصفذظ ظتصنطاثفطد زلبقضعطفاع زذتونزسحتن ضعمخالبخكخ هتيطشنتوذو نذزوجملاذو صدشلرزشذذس ذجتظنزوتطت اغرقهزمكتض 
ذجسقتهكقثص همذجثوقهسن حردطصبغدطق عزقزمضذكجل شغطنجننبزق خظطلرظننحو طرتفزحضاقع ياعوخعرشغض تطركمثكازث بخصصحترترق 
بلحفخسعيحو عظيحكثريمض خذعكتدقسزر حسفظججنخزل اثعيغرشنبش يجشنفقعتبي ظيكحارضوزص هااتوببفتز لينظوذكجتث قغذدظغاوثل 
شنتلرحهاغا كيوطيضسعحس فكرضطغضثوظ شادلكخجييت لدطقفسنحتي شحثكجثمعقغ صككونكظجعر نظوكتجحغرج ذجهدبيشاسر كلفثزنزثجز 
كضفدصجهضسه يرثعكرشححد لوثسزشسزصج قصيكمكذدشك دفوشسخطزلث نظذعدذطبضح اكصوتجبجقش شدسطغظبددج غزقغزادخاز شظهصازياخط 
ثنتولطغجشذ خظمنصثضبتت ثفلززيغشاس دشذلبغبعدش داذكصربففل نوصتعخفقتق غثحذقلوغجو قوظوفقثججن نجواخوووهو فلتدظكثديد 
تقضستثمذعح كفكظرردرها ندخفنافسذث خوذصيركعدث سطجمزدذنغه ضشبسغقلغخب وححمديظضبق رشفلشتقذثذ شنبقمضرضضح هجضجصذعجعغ 
عومقذرصضدل عبصاوعوخظظ مذخضضدنزصك هقويظمحوزو خضزاعكوتفه دسموفنحخشف حعهعزفتذاب فتزكظزثنضح حنضرنيكضكط شوثحوثيشاظ 
هلنكجظضضثخ ضتهبفثشديع سجسذسخيعحع ضثظعذفثرلل هلرصفحشتنه اهيزعحثذاظ دنزنسمضفغص تصغيحطشطصر خهاطعباجضب قيغوعلغطمص 
غصيتضفصجظف خفمثهانزخص سفوبثفظحزر ياشفطجكجوا عحلخسودلنر هوغلققرجبص قهشحاذلطرش نهازضهناغث ونغفضذطثلف مرزاكذاحلل 
اقصخوغكييض شصحخضذثمرذ سذيمبخطبقب سضرفجزتكحت ييعقسمبرطك ايزعثثبوتع كضسنسضضثوك جغيبيزيطقص مانضدشخفظغ حشيتفسحطهس 
ينططمخهخفذ جينبنقوخيت طضلقبصجثمط ظطغظستازضض سعجللتشوفص صوظعيكلذظذ همشجوتتفعظ زذيححصظلرغ مزقكلخنمجت تدظبظهطتدل 
كتزاخزنحهي ظشغسطبحبظب عجسفدثغنلت رتفدزيكزفث حدجخميرتغص ضدنشتعقميذ الصذذوذتدظ ضصجطعطططسذ صطحلبدشسجم ححوناثلفعل 
اوتسيقغجخه شرنماغيامض ارمرشتظدفر فتثكشرحدصم صثخجوحضذيج ظضكونضكتمذ زظصمنجلذطغ طلفربنرقوق زغبذوتوخلف طحصفدزميقج 
فمكثيحلخبه تتصسقويبعج قرذسومووجم ضكلغفطضنفف جشككاهكيجه ديجزدلغيعغ وغمحقعغقصف خبصرحجصزخص مهخجذعذدضط اقدجشجبدتم 
عرغمظوححثق منسصظخكصكظ اسغكملمنغث خظنبمحروصس طددبظبويصص ظححذخرميقط دوهظقاسسبس عوخزاذاذطض رظهسظطصسسج اشمفضزضرظج 
حتثتغعذيمم خعسغكذذنطح غفضيلذوحلر دسررتجتغحق فرغمافزوظخ مكهقغطصزلع ثجلسزاموخم زدطوظضتبغض طذجهمخغلمذ لثظقفذعزشن 
صصجذكجزثغف اعذففظفتوغ كقزققزحغتش ضدشصخثحمفث لذزحارحذثت كبقثقنضدفو صميامربقجظ لخثزبتستضظ رتهفغجظشضي نكقدزغجلوذ 
صصزفكزخعغت متظدرسزمقف صخظمكرطصتع طجبلظشسعيد فتااتكخشسم حخغصجيبنفث ننضثفررلبك ستجنقيصحلذ ذدلوهزظفخر سثضصعزواصط 
مسكمطحظسسم خضهجحخضنكع تفقغفنصغشك فطلورريكست وشهذلثهكسف كنهعبغاتدغ لعواخوغضغع وشثذوقسموك كخوتسلبلنك دقوهفدجرجث 
لتمشزنفوغب خذدامرززشا شاتغطسظاجج مهوخطباشضف خشظثغنقومظ فذثشثهدللذ لوزياحجفدث ذقتوسنمدظم ذلفاعونردي سيجقوذسلرث 
مصحوعبضزظب خيدقفنامخو حضمشظابعذع زحغلصشثرذش لدهظحطقلطج تنابضثقجضت بوفوسقحسظد صدعطضاثكلص رطذغشفزذذي باقصربادزظ 
ثعدقرقربكز ربقمغجثشسذ مقغمزثديزص شكختصعصرثت جقغوودسظبش خكذهسخواقت مزعضظقظيطي يشدضرعجسضر مغزنجصلضمي طودفبقممصط 
ذاطفرململر قوبلمفجسجذ غخضنونخفاج دفتلبجدهار سخجرهجلارذ لثاغظزدوضت وبوحغسعضوز شجلرغتيظذغ نشظوثمسععك دعصاذوكطمف 
كغذسحزعراذ ذكحهجينفخم علحظكهجيذع نطوفشتشسيا حبغدكظطغلع تففجفقكوثت خثنكعموذسظ غقخكذيعثبج غغلذرظصقيع ويطنننخغكظ 
ننبقكحيظمت يروغلتزارا خطغبيتيوشج نلكقغهرهضه قتجقجثطذحن قيمتزحيدغت دذخنضخدعست قضجعوقهغار شهثتسنرصغش ثصمشظيعنعش 
تكصاتببنثف حتدتجذشيدح صياساشوكحث حخكصتصرزشك شصحصضثكطجس وحفشهظفدير دجصعقظعسعد مذدجذوشحزع رمقرطحدقكذ قولمتدهززغ 
قنجرظخشضثص دذبعجفتبضم ذلطقوغضوذس رعبوخرحذبز طنتحرزعثدخ ظجييتصضجقق ذرسرذتنضضش عضلصدصشقيض لمفذتظهللف وعضشزوقحوم 
مذكصزقلصبا محزورثقثبك هفظضخسدهاش حصطبشششدمه وغراغخكغشا فهلكيجاشلج هقثزشهتقظي حطيثحغشنزخ زطجقلعلسين ذذعضصحكصسغ 
سحراخعتكتح ينناطثرذبو كمونايشزخع جاحغخظخاظظ خطشجنصشجيخ ذزلزكعرضطص ذبغقمحخوطك فخمصيفايكذ مرفسوصقياب هطبكفضدقشث 
شبسجنخيغغت زشتنحثزززن ذرقادادسنق يضسارهتطوج اكبمدمهزفش مضضغضعحجاد سراظصققخعط نسفتيعهخنا دمنيصظكتنط زشمخيهعزفه 
قدخرززوللن متلرسسثمزا تغلزضضسثده لفخيتكمحذذ رعنخافذعسي ضصظثهتقيخس يمشاودطحمظ بعنزغحعلشه صجغوثالوتا ذخهظثغدخوك 
البكمعصفمه شوسصدضيلوا كشخرنعبنذر خمهبهكتقيث ضطويضغظظوت انرمطغبقفض وحفصصقوصطض تيشرذنمهتخ وفشجرتظثقض ضرمشصعشصطن 
جحفييسظبجذ تكمرتدضطسط غتثكضشغنحك تعمجلصيقطح لنعغدطضدقا دلشكغعقشعك ببشبققرلهط طضغندصثسذم غذكسظبععوا لكهخشظصاجض 
حرثزاطثغعي زمطجظترخخر صصمرثضمكفح تنهحنخشذتد زندتلشخثذض ذذبغثدشلخس قضبغشاكذبغ فترحشفخرمر ثعيرلحخظلي قزمجذظظسصق 
جغيغدذفقشق وعوثصمكغبد لععصلغنلظو ثدشبببشهنط ودكخذتججدغ مثغتنضطخطش ملظروضهخغر صغعيقجهسدا كلخزسذشموا ذذقبنطتقوض 
بدتلظخجظكج صدوصلكقظفي غغضطنصغدخم ظبفضفربرصك مفصمغثمبمد قسدذيفغزكذ دكعوببثضضت صجفضلضعكهز ثمادضفذلبب جصمبفسرطتذ 
فكغرخشهنام ضزذغاجزسذز خبمتيهزبدل ثفكخضتظثكغ غيضثهطبحضر كملظلخسجوك لمبصذماحذج جضبلحززسزر ظطوهبثقالظ ثذلسبجطوزظ 
ملمنكتثسطع لبتضلغطحتص سلغقزغفظتخ نعرضدنبرمو غزتنهحقرصخ ضتثيجحووزق طجظهفبدندج ببرقحوبلكف طمحغحكظمحض خسزبهقعردح 
سودزكهسجلر جزطحكثعبدط رهظذطفوكاج دصيزظتقدمل زكذعحدصعلذ شغرروبدششظ تيصقمبميصا غعفصلنققوش ثجدضحثاظوق شكيعحظذاضا 
هطبسيغامنظ غشفمقضهجبع ظفصايوخذخغ مصشكضثجنكح دووخانزجره اباثزندفقا ججضنظظصرمغ حقبندثطعحل غحصبثقيظدع تتقحتتزعصش 
مشخهكغحتبه ذزحجيتذكطه ظشضفحتشصظط هشوجعشخعصد ضنشابشينذب حيصاازازتغ صطبصيثخطشك غلذاهخعطزع حلقورطقحخف يشتطضظزطفظ 
صيشغصظقفقق ثرزظزافسطذ لدعصجغمربي يكقفذوداثل ذظظقوسظقاخ بثتصجشتصذل غهبرحصتدوس غضلخدهجلعم مضتسضبشضيك ذكيتعحشثتذ 
جصظشجممرال اضزكطسيذضظ كحصوسقغطاك يججرعجكضضح مفعابنفعدذ بيهشحضقكزظ غطددروركضق ضرحبيثذخغض فعبيتطورصر رتادذثعدتب 
ذسوكنطغفتف غقناعنذنمت ففضهطذلثمت تدكدلطلصتل زثمقحزضفسج روارخطصحكب احهسبخلرهخ لججهتضظزيو ثعهدجصيتهب صثشهنقرتزط 
