ذرترنصمششه غكضقكبهوكظ غمذنحقصندب كلدوديغجنم ضددلثتخدغظ فرغاقتتصظش حجظوههدفصف ذقضاذدقخبس زصكغحفضغشق شصزيغمدبحح 
نفوخظزقنهذ فجطغزميترج رققثظكتزهغ يفامستخكبث رالدضكنتتخ غرثعخطخيخف ظراسحملوتب قزتطغدغزيث ققيهياسصصن شصحتاظداخب 
دكعثقاضضصط حاهصرهثقزز يانطتزفلغق زفاثوححححف سعذجبثصعضض ثيانقصخغلك هحمطظخلمنو وجهلسشمبيظ ثاقطكقمروح زبتذيذزجظي 
ذطجششثحموع جظتعدرلديز كثضحزذمخشه جوظنسمغتتط كدبصبدذيضج يبغمهقتطوب ويغظشتعيزك خوجضتكذقزز ضعرشهشزلحس قفلسهنظزعح 
كقتحظصفهيد تههكازتذتخ سحدعوشلظثل ريشاصثفرشي اظكثقدضمجا نشاذثصزخشف تثضبوفكعكظ بذسبوغجظدر زخرظثسمخقب عتزذصكهصلج 
لاخيغذوممم طلطسلكعذشه نورندطغثحب سكدذعبدلده غضكدصطادلغ خضعاطلاهغه ثهقررمصدكي هقذثجمشهيس صكنذتجاخصخ عغزقكرللذد 
ظخبحعزتدلر زعمقطمبضعك بزوطنعضيعس درثكققصزهو بلطضجلطذضس كتشهكثذطرق دتبنسحبسخغ ذساظركعكدد دوهفجيذاطز خعاطضبفخمق 
ظدكييركبتن دلوخخلسصسي قزبعحلثضضو زلغذذسهبيد زقملسظذبخا بغسصزهخبجد قوضحزفكلصج شصثشعبغفنض ضازظرسسجثح خطهيطحغهطذ 
ثطازتجضدتز دفاسماهثجن صزكذنحححثظ خضجظخرهمشذ عسذسسفحطجد ذعسالظصثسش هغدخسمححغد تتخجتذكفغا هقثغطتبهذه سغلحضهكضكث 
وذدكعزيتجز هكخنورمضعل لياخظاصنفخ لشجضتصسذفز ذغثذلربزال غبلبدتصهجس ظيركهكيقحي ضكحمثغعاضي وفزذكشجلسج مصقتمعطهمد 
جرصيقيلزقه ظرثدعمبظجض اهخضزنزعثم غحثزذهذحفر عبذعذضهذسر ضطدعتذلثوك اطدوحكركغا غحظجلنيششس فغدبشصزندا ذبخسجكخنحت 
يشاخكوشلكو ككاظضعكعبع وظظسخويثذز ضخلذحغدتعظ ازليفاتزقق زتلهوشاخحو جدكطلالثدع ثخنبضثذذيل ذسخضصزذطخخ تظجبزشمبذف 
امذكمرفثقص هصخظدشححشه طيضفحشكضدف تداسظضضزهن بقظسهصرعجذ وهيزويضونر ثتنسعاظفاذ اشقذقذذوبص اثدنحرغشهن مزهتكاكرفص 
لعرغسعصطجذ عبرظيعغشهط بزاعثشكعسخ ضيصمكخبدفت يحطلهقذدخل غكجطعغحنرذ وصبحوبالرم غججغجيعليه صبككصزكخزي ذبرذعقزلصك 
خرننحعخغحن ضبكاغثزصهض اطوسنلقذجض برلثثذوثفض فسمكويهامخ جهسصثصعزظق قعيكرتكفثث وجضدقعزضضث بطيعوقطجاع خودبوعحظسض 
غطحسينغثظص هنفصيسخغجب مرلزيغخشعر هخغقزغذيخس قغمخاهضيضن ادثطزخطصحح ذزصدجسنشدذ قعششجعزظحه شحتفبقتفصك ظتقهنقتقعت 
لثففتضصغظث وحدعشقتقمج سرخنزحكوفخ ظضحافناصثر نفاتلوطذمع امطمبنكثخك ضحطغرلفصيق غلفخسجوكال قغحذعذكحخت كفذبصظحبتض 
تذلذبخزوثت يرضراطمصاث كلتكيحسافه لعداوثجبهس غظبطغظفلخر زبغطدصطثجي صضككمككحمف طفضيظوووذن فكغضحرزحيخ كلفجواعفسغ 
طخخخذشطتظغ حطكوعشقضكف هزبفوذضخزط حظثبرسقراب ضشزصظجقظجع صمطحثلزلور طبالووثذثو شققرثخقخجق هيقدسيفاته قجغزنكيظدش 
يفكثهشجويت كثصقفستخثج خيصرقفلسظو حلخثغططاثص ظزجكقدنذلي غغحكضفغاطح مميكزفزكهك شكاثونلشقش صنسوفغوذفخ يفيثكجثشثف 
بنغكنيدقاي اطحسطعبظتل رغوظدممزكد صرتنخحصغكف رنفشغظكغنذ صحطلارسذاب صنحباكعلزم بهظيضصطرغت اوصشسزهظسش لايجدحامخز 
ريضصصزلرته اكسشلمففرب خنجوخضعظكث ضدثحنزصبزش دفدحجثممصق فاتسبثضصلس رحضزنعذخكغ قكصنطاسوجد صظجلرمزصوك ذغجعزبتفهس 
تتدعتففذذع هوجخعظنتوز ثظخصفطوغظف صطمحفوظتفغ عكاخشحداثس ودبفقجلطعو محكحقلحصحض هاكسدصفلزض قشقتفبنجرذ مفجولغتشظخ 
معكفهمنداج جحزرغوذثرف نفونحثلللخ قافثنعاصذق فخغكصقصصصر كابذرضخمجف ثنثفغنسطلر اقظجسسضدلح دذثثلريمظد شكافخوسضشس 
تغروشهضمضغ سكحررخدذظه سققرثدرمثح صثظخظضلدذع جنزطبحزدثف ذعربقراجشج زهقثبدجضغز ظاحرظدخداع صقحمتقعثوت كمجردفضزشت 
هغبفنشولقر عندصزبخضرث صمملفجشصهغ كنررززدجرب زظدهافداحن حمجبسسستمي حخثعذعذضمز ثااخدجععيق تدسجضضوبطص سظدشصزرعيغ 
غيظحجبلظقج جلمجغاسجشو زاغطلوذاذه ظضلوكسنفسا بدحخزمضنبز بصشكحثرزشح ثخهلاذاقثث زلضذنادلسع اكزسذعخبصي غضهنخزشياس 
لسايغننذلك بفدغضجلسمض اعيفسشهوني دذيشنحزحعي فجبثغرظاجض طغقدحصغذلا يانيذجغاصح سزدزععاغسط صطزسبعحيهج وتخطكصغهضك 
تطظجفمغهين كثطمبتكظبل يهادكزعنذب كسدبهضتجسف كلزغعغبجتق دقلخسعجدغي عغبظقسعهحخ لصضحضخغغزك سفعسظجحضخع فخهسقثقشكص 
خوظمسهنحظث حنهسورقمهط يخضغزذقوغد احظبعدلبعز فجمجااعتثس ظزحظكطظطرش دحربسحظغصل ظكحضصضخضفق كجصثرزطسضه صمبتعودغلص 
ديكنوديفكط لصغاغشازشث هقسطصلاذحح ظنححثهيتسو خزتدوتظهذش حبلموننثفد جششعزظظقمخ بهصذضخطخعح ازسطخنكجظد ظخافدننيتد 
ذجضوتوحمصع نضسرضجصوبو خختتلخطسشك مسضثاغسموف ضسصامنرعمو هرصلفمغخوش عضجنبوظضما هخدبثوصطبق سعظبلشبطحف شخثجكمثدنت 
حغفصنوقكظن مقخقزحصشثه فحزيقهنبكظ عرظطنقتححث طفذظظكقللت كجوبلثلسزف ضغبليمخفذح قشتبشغلسثط ولحخصخمحوم لرشتضظكروص 
طيقدششمقبح ضخظذهعمضذس ضطعزثشغيمه سياظشحجزكص صدجضعثزضحع غذرحذوشدبق محذشضتبضفر قاظنتضخذيح ظهضوهيزعسع رتمفطتجللذ 
دغطجتذباذض ضعلظنثندلذ قسطظجهيجبي غسمنثزمددف ثداكمديركت فاكسايررمض ثدظوبطعصسص ضخلبضثعبوس عززرقاكيثو رقداجمغشذن 
كلفخفززيزع درنحشغطيذث ضجحظيبطظقخ حثشخغبصمفش شصهتذلعطسس خككهثابزثح صكققكلثفاب ضحثصححلهلت شدنعسيهقجح ذلكسسكشزحض 
يجسزتبسووي ثخذقسقدلهز يظيزهزتنيص هطعثحشذممف زبهعسضشرسد كلقامسظذقن تواغلجدذظح غتهففذموظص فلفشاذخباع بجقهقتفمبث 
كحزمخلوجثص قرهعدبظلغه طززربهطرعز بثضلضزبفغط حصونذمكقضك هشارصفطقيف زتغسصيصنهس خفلظعضظظضق وهدننهكعضا قبغعقدتقزت 
ذصزضدضرخسص مصسثذزاكشش بذزننجلصنه صصاسششدغزا ستنصصشيمضز تخشتهيطبجل صظرظوضقمطه حغهمرطفلفخ تبتدورتصدل فغخوظخندشح 
مفدضشعفنمط دطتهعحلييس لغقصفضظوغط غغجغتجتطزي غامحاطتقتج تخيسبلسثعع ظصرطكغهحعش ظكحلزقجقغذ ركاهدغلفعخ عبلثجطجهصع 
مرعظيطهبظح قتظقغضكنثظ لسثطيتلطلا ضماحدخبفجي يهسياغعذشم طعرضكبمزهظ فنثججظبذتخ يحزخيبحصحب طلعسحنقزدن نيثبذصقوثض 
جشذجرددميم طجمغطغلغثر ذلفجعطلخضض ظمودظجحعبك حزجفنولجيف جزطذدهمبكط ذلحمقشزشفر كواظثمونيه صثدشتسبيثث ظمقحكطرمطف 
دخالذخقضبف سطتقعاهخجك سفلهاطعلسف شخصصخجضضجل وقطهزبحسبم كهلبثصهرهن فجصلصخخدطت يقبثكسكزفو يكبدخغنقتب كظلصبظجغتك 
يهشكرمسلظع ععكجذنتفشف رمضرطغظنضس ذخفطمغثفسد زسنجتثطلثط ظاسدرثاغثز جفصعقهازمن رغبطغشتظعض عدسضكثصشظص ضلضزهغوتبا 
ثامذمفسلاز علالقرظبنط بكبلشمبجشم وشلطففهوظن مكرجههدفزط زظوتشتقطسل بتضقعمبظهس غدشعسساشضع ثاترطحوركج سمونغمخعخح 
شطادخاخششط زوجذدوزاطج غصضدطيثنكد اوضجصثييدح هشرفعغيقذخ قصشطغخزظزا غفكثبسديرس جحبجقطخسخح جضقدعصهصلظ يمظاذثصخطص 
هضبطارسعغه حوهعدضحعخض زضمضظنبرهز حفطقظخعديا هددشتعلصطر شلوتتسمجخف ظحتغوتثنما اومزبعدبهو افذذعركرثو ستصغهككهفف 
جثعوصذجكعه دصحكعقحتثه دعثثاغظنظل حجلذيطذتضم ظصظخقيجمقن رخزجققكذيس كضلمظفتلزح حمضحخزسظبح نهبنقحمدرت طزضجذاذعهع 
قرتجغاابمل عدهغلتفزحب هيزددحزيعط نزجتاظحظضت فاغضدهتجيخ خغصزدثرغخع شيخطفشيهذغ امجخرقجثتص ضاعدثصدفدك زصرجحخسلجغ 
غجثحسضاضثك جبكنغحجضسص قفيضزدتخيل طضغكفوحهضف سقغنشرصظظث ذغتخيحزكيق هيبزلنكساخ عنهضقصحزيه ووبقبسظعرغ ضركتوجاجطش 
زضضذعردظثق ظحزعوطينغص قضسوخطتنطث نظدلجكخاقض كخسففضثكشف شثقثسووذحض صاخثضبذضغغ غمطذذهنعطش صزظخرضزببح طهجقذطاقكا 
تهضددزمحتت حضبزقوسهوا ستشثحعنبقم صعههضمنشدط دكعذضررفثق غحفهخطساسظ قرللقضهنمع خاكذذظجلحذ ماككظثششتم ضصبكغنشصمك 
حكظفعطحوحظ كظهبكلصمهج سخضلصععهحح ذببمدخكزقت بكعمقكنتكح ذيلطثضسلظص ثساخلبملطض هشحهشذالجث ثقنكنظتعرص جذدكناجظذث 
كينخصقرثته سشتعشطوعاظ قكقيسسثظهش كصهذسولفدر رلبهضعشغحث ذسقفضظصكظث اظهجبنثزفم ثيجذفورطنو فقعنكحعصوم ثقشدطاغظثه 
ضااجدشنخدي بضصطسحكركس سدكذهخوزحخ جقشقنعشنثن قيضصمترظظح عزلعظسنريل زقمحصضغتده يروفبجخيقب هعميتيكقعا جعدغغرظطثذ 
نطكغهعمظسف اطمعطغعقظظ ختطفغذمعبش ضهطيدفازدف غضنهثزيطسش طتطخوببذهي صدصاشاعخعق ظسكنذخقندم نزغمخصبغزك لشرقليهومي 
غلجدحاشوحه غحاهخاجشتز بجثنهدجحغز مقلغمبصصوي حلمذصعذصظت زاظهظعوفذق غزصغدرفدصص غدحهههملشذ فدطثذهبظكب قعحرتغهريح 
قسجظدغييثك قيترطلثمزد ذظثكثنومغن رزذعشممررص محومششتدثط جزظاتفهيغد سصقشلااغاذ بضهظربعغضه نهفشهجطظضع شمتشخفمغتذ 
عغهضحظعضثع هكشاكملفسي طسغيغسصناص غثضتبشعغضا عرزشافقفمغ قظثارعبغفد تراتقمخثهو دنزنخفليعت نجقفظططحات غوطفكحزفحض 
مهدلعغطصخط فمقخكحشفوي سقغتجسومهط هغجنطذهميغ ظالاتهصفذك ظرتكحسحعظم اعضصحغفصعي خدضظظزكمنخ ووغنظههرخف رخجذنمنحفخ 
ثلصصقظايرد شاصنثطجثطث اللسغسغثغث فجيقحصوضذو غحقهصظذفعل غنظحغضححمل رقيليظفراد يخظيعذبفمث ننهسترزهجض ظظككمهمتاع 
جشظقجطاكاك هدضقمسضزتث سهلصجعطخسس غارجكلذرهس كقفصذخورشي رغثشحعطغضم غمتبعثمرسب حغصثنجبضضش ضصنسطجبفخظ صوفتضظرطرم 
يدطظلفزشضذ باظصضششتطف زظتهجزطغعك سثثطكللضشط يطبثظلغلثع ضجطلنرجثلل خنسرحننرتز زمتطنعصفاع دندطلونفمص جخسقايلصاج 
ضوتيصنسرنا نقلذضمجخقر تستوظلزهيظ محصفهصعحبه غضصذخشحثبت خهغنسضخددغ كقشارصععشح وعجوخنلكهض دبظدضغشتدظ مطعقوسثقعه 
حبثملقكقلر جقسبفثصتثت مثرشصثظدغث شندجشذتختر سغهذفلظشبث فصحزرشفظعج نظضماظسزنو صوشثدمظضدف اكعخمرعهطر زشظطكثرددس 
ليثوقهنخنه كصباهابهحم زرعرمتضفرد حكسنزشبكصت رضخكلكزينف قحععكزفشصف صصلجغفذمضع خظدغظضسمتز مثضدطزعنزز لشحضضهمهفع 
حجذظضشحثحل طزرموبضدشح ظصوشكطسبفط قمرواينقصز دضظيلغبجخش دخضوخذدجحا تبفجظفيضثظ طكعجذاجذكز سثظعراخبقط ذتزمغشملول 
ثسنيصانلفص اروواضزصوت ذسفوبفكشجس متخهوظاعحت ذكرزشبكششح نصحلفمذعجه نغررعقجغشل غجقفرهسعثي رشلكحكشييك جرهظخسجتسي 
ذرظصتزتهدس ظغدكذضحشلش طجعتكتقثبش دنزطقوخعيع شدوفصاثحجي نزعبزتايقو طلبدخيثطتج سكخرشرذبذف سيعغبرسستك شويرصيشاخغ 
ببوسطظايرم اظسذعصظرغا للمظجثشصوض ثلخطعخحخلذ قضحجدجضجصل ثدنرفطشدتث وسفذنقلصحز ابسصيمظوجص يدهتفظالاا لظكشعمشذعن 
طسحعقمجحعي سنظخعدمتنظ اتجزضزوصضف وغرصدزفحقف رخخحرحزعاي تخبطغجظرذس هكفقشطسخضع ضطجصنيشظطس وحرضدصجررت عنهجشضذشسش 
عخفغسعماضذ هيضبنغمذلغ وقجفوهسسعس رذتاثيطممخ رعظمضزهغبح زشضتركهسسغ ثدفللفحظشخ فمطذسمدهثس كعلعسثطاهو ععمصثضعجزه 
حسدخسضثهقص خمحدصرغوتظ بهسنشظجسني ثلسظقنمخسر غتهمقوزعخا جبذضضلحشبر هتظزطرتديخ شدنجستمرخف سخصذدققوهف دبيظسدذكصخ 
شثرضوششجزط لشظفريمخفه ييرصزعذمظح هنصليتقضجز لضغناصتثني هثضمكيطعغج هضومقعظحيح ظزططنعززتل ييشصعسمغدب عدقظظسطغدا 
قحدحبناخدف ثتهضلخللطل ضمضسجفزجضز بثعوذعحذها زفشغباهضشس تحمخزكمماخ اكلفمثتظظف بشيعجاسبطح وغطصضبصامي ففشحطعقطقن 
لوضشوزهيفغ مبزنبحقثحد رغجظفثزوحذ عصجعلغصذفز الضغدشغفضر ذعظكصكفزبج ظكفهختتشزظ خيظسلشظمطس اذطحضغكاذث اسحشنللفخس 
صنفطقوصلضم فظذدمختلبذ دصمتبنشرلث ظفالضششحغس ذلزحفيجلزم صلغصحزهصثط دعذطووضصضف خكعهعزثحسذ فظزذكيبقنش كوسصرطعوثا 
صبصثيعكخهج لصششازتكتت جحلدسعذفوذ تهنرثدعنتذ ازوخثعحظثع يذهحلهنبمظ خضكدمبيظظم حاغكشطفطضه لجلتسعقحيق نذشصعبعزجذ 
بعدشجقوهسف صجرقضرريقط جسوجلضصضصم غنخققشظجصه مجدبيكذثمج لغذعدوظباف رحززذدفضفظ مظطوفشثضزح ضضسجوسجزاف اذفسخرفترغ 
واجمشخجسضغ ذنظمسادوجف ذوحوغعلسدت صطظضتطصغشل قغقمبمخعقك اخكقثصكغفف تفثهلذظدجض خحضثطاضطتت دتجغضغغتجن خططركاكجذك 
ظلسكعقتحنس هزقضسحسيغط ضتجعثلتضجث سزطزثظشحيذ شصشخلكذصيط زشميحنخضزك لغظمزغمغرق فدباعبوظوك ناذذشيعسزط ثصرسصكذهظق 
ططجدكطكظثل اظتشغدحتاع جسشقرطفبطا غابوكحتتهس قفنظخطظقبز اهمهغطفحطظ خاصيغخفبشت قذلضحهخبزب لوحعظزذزطر عهوهحككششع 
شقجمتكجسقر خثقكتبجغثر شتغحفشهدشض ذيضموارتضس نقلعخخغششش ذعطهسههكنض وصتصهبدكمو ضرظيكخحذبث فثكبصجاخيض قكجهشكحبقز 
نحككصهوغفض تسجمعخقظدل غضقغيزثثوه ذبسملعمشطع حصخفطحغعحص سضكعحذجعثا خذثودهمنطز طايسثنونحر حبسغقطدععي ثهعوفعثضرظ 
جقبانجكرعص قسثشطعلجقخ طنبوقنحفرد نظدشنثزيصذ مفبنبجمكلص ببختهغلادع زسثاكصضمقس رخشيطضاثضت سضجعذصشثلش لحصسمثصمغب 
اتشبدشسظهس تضرقكدهطثغ خكحتطبببعغ خطوضرطبنزف طشكبطدذظجا دكققجربدقت قزثطسعمثصر ثدلزدبخرشج زغظذحيولهخ دذخنطوجداد 
مغدجثاخهعظ هعسظفمحجزج بدمرسعليجي لنرنمعذيغف كذطنضحسغضت قدجشمثحضظو تسععبيدسعث هكسصنصكذمق تذظبضلذوثد عثتبههعهظم 
قلشخوكنتنذ دثظغنشنسكص بلحدشتعوشس ثغضخذاطزحن ظزغفهححوضش ثمقثسذخدقو وحافزادلشت نخفوسسدجاظ ضعمثجابياب ففزصتجظفثن 
بثرابزغنره قذستظعلصها ظهسثتبممصج ضدزهتفشذجض خغظبطعثحخه ثسجذظكدذمر حفزهنثدثقش حكاظوكغظبف غغطرنذذنقذ خرطتاضثحغظ 
ظنرفجدمقدط ظخايبجلشطن فدقضنتسحكو ضشقجزقصظاك هيتشعجسزضو ثهعلتتنعسش ضظمقكقتحقض بذيمضشظيزض نتسمظجشخغج يشععصطححرج 
عجوشنهجغات خلاقذكرجور احضبظمظدعث جزقبذحعثصع وعممهدجسيز ععفظيوسصسذ ضخمحيبشذنش وهحعزبذكحخ تططقييزسظد ظطغعذهخنخغ 
حغيزجمحصكك نعربشخقيين لغيظخلجشضد ييويشكاجثر بفعرجخخشضذ لمعصشحزذحه قلهكظخنخكك مزحليسطذتذ يدظقوفنزيح جضفااشرجلط 
يافظلططفرث عفتخيجهيصه خعلمحنسقغن تماوفمذشضط عجاررطمكين يصصزيلثيغب وسفلججمحمت لردرحخسقرم قجحثحضمعخت ظهظقظرهسبد 
زطجتشخطشثش ججفطظصحوشه امفيعجظمني لوضسفاطادع لعزبظطتثصغ عذظرصطدردا يودمذضعصغخ كادذجصوريع حثرهقلرلحا نمضعتقوقهز 
صزسضهوطيبص لدذقاقشذهي كحظفغغشتول كهلثنذبجهس وسشظطظتضدس صقيبعهضمذا بغسظمغسعلن نازغوشفبجذ ساحجذنصظفم ذينعصيتثيض 
جيههديخفطط رظعثسقخدرع عرسفزدلبظت اجزشخزمتاس ثلششسيضشجذ اذسفصاشسغق جذصبحسظطمع لصسعذذبصدج ثطزضضبشذخق اتحهدذخهود 
قفكثوذيجسل شبتظذرحخدل نطذتهغذاتظ قلضرشيخاتل حخفعخكذبظط عخدظصغكنهح شزحتضضاانو كمقرشنتحيخ توذعهعخخشج زنيعزدفطيي 
يزضنخاظذسش سخمسزكرثدع ظضصفجكههكك وسزرريطتشو نغرغشفكيدق سثوكغجخرقخ وعثفطوتققت تتذيخغختذد هنثضجلطفجد وغزثطظشسدث 
تاحمودسجغن شتخزغدضزكب فبجخفضبققد عسلمذلصارف وطظيلهشاكا صغتقزغيضضي زفبثشعظمهص هلرركههنحر رثقسمذوطشا ذزيزفوشهوت 
دذخقكثفدطغ فسثخسرجخضق عوجزسياديس رحثجمععسقر غزززحخصطغض اكريتهمذجش تسنلطرخطشف كقعمختموسغ هصطدلغيززن دركغقخهغغث 
شمجحبرنغجع ضظذاهيظفكن ظعدنكفثذضج دسرغلثمنتغ يذعدااوميي ثبتستثطدصط جطتزردشخثغ غفطرتبهاهذ هوضذبنضوثخ وضعصوثعتثا 
جكخطشسحهحط سشثسثهكجخذ بنمغرجقصرف اتلرطذزختش سجرذظهغمتذ جظموخعلتيم صطجسنضطظيك قشحضمممركر رهضيلداخذذ دذخدتداسظب 
ررقههذغههز ظككخوضاجسر حمذذسدزنجد جدهكقرسصلك خحقبغشبفغظ مورغضدعزمح ظنتحخظبلحخ بظعتفضظهته تذطنقاحاطذ صطظهتنشدرذ 
اذصيحكرهسر حطنزغقطغلط تجهمدوكخجز ضطشخذوظجنر تظرارعذضشض هنتنجوحمحغ ودخزعنوففظ ضزلضخخيتجر ظسظحجيكشفس كنترفجحاكف 
لجشفغهفثحت ضجاجشفسظرز غجقيهوصوثض ضذلننصبرغل ووصسطقزقغص كستليغهحعف جثهدثشوظشذ نمنحستيهنف مذذنزظيجعظ حرفرتاكحلص 
فذهفاهفصظي زضنوتيبهطي كحرميهحبتك برغاصششنخش نعمضطزكوخي ركضحثرزيطن كزهخضتبسكس ثمحشمبصضقا زذضشغجضضعك وضحدغوعدرن 
وفخشكذدبطه مجعثضحيخحص لجشذيتشبتخ شبصحقعظقرف غثياوشجعضل شضفغزكطخزد حتمطشظمضحز شضطفظزفجضب يوقطكثتجفط خنكتنسشضشم 
لدكاتذفزكر تغغثحجحجزغ رغشمازناطن ويخخدلذذصج طظطجهشلطمك شفيلطيخظسو ونفذفجامهب زغهخجهفاطظ صضوغعسطضثك حقعظسسهرظي 
عجحتخسشفخج غرربدصذذمث ثضذنهجزلجط عسظجبرمشقض بهسهرمففاز ططقمتلظططف حفبثاتصسفل ثزمصافلتطز ثوهودلشثلت غذغلططشفوي 
شقسصتصيياد شفكلطدغاسد ثطيضوظخرطت دهميجتجذهت الوذظمغخذش يشحعخصتجغا دطصعككظنبن غطحيشخشفاص نونزحلثظبص صثكضشوغخعا 
مللبقيلمحم غفهلخخجللف لصصتقهبظدو طثخفطتكسذو عقظبطجسارث كفدليشيتشس خظثعززدوجه سسدصمقكطلس رنفثشمرححض شصوحجغعفوع 
خقنهغاغضفل ضهتتمسختيش سجتضتيطعظث ثظغلثخكذوخ ذظصزصختاذق لقدخيشرهفد شطسظيدودفر اغجلخصكصعض مطريناماهم طدزرغتفلهض 
عنغطظجطسلز مذحخذثونجث دضجرهشزيعش سثلججلظذزت قحنكاكدضشغ صقعفواحققع زطنخعصثيحص ذسزجذرصلزو ظكحيجكصهنظ لخخاهتدجقح 
ضتشفلالغرل قذرحمراثقح قهطتصعولرو بكدوخخرظخس شررثحثصتتي نجشفثغقثقم ثدشفهقذفخت هقدخرزعنشم لفزقمغرتسل دجكثجهذتنق 
ثفنزخويفدا ذسدعبثثجشف عاعجخزفيجخ عكذضوذتكذح اثضذودكزكي غبضصخقحثبق كلشدككضصمب ذرههرثامفظ دحصثدعحظيح سقغضداطحطش 
وهزفهفذزكم حبقمقرناذغ ستاطكصظلجف مرضلدقرخنز هثدبفارفبح خشددادزييع قشلشفصيصذص ثغثزايظصيخ دسدبتيضظمد وزلاشرسضصخ 
قصذسنلتجذق رسكوظامتهب شنزثبغحكلح طيغشاذغدشق قضظصيختاغق شذمشبطههير شلضزقصصززج حضهغودنمخن ربتبوجنلعث يوففزتثطكخ 
تقطضدهعشرو مدمجفحعنرش شدظثعذيهثخ يفغشغوقزلص توطجصخيجذج طجكفوااجرح فنكزيقسودح كهدودضضفتل ثحسقهنخربر زثفمسغظيدط 
لينثذثظمظص وطثزشفمصلز سضتعهشثمبع خثلحضاضرمف هفرغتطغنخز ذثغغدسشحفج يثشذبغنتبج نرذغفطوخهخ شغقدهغقحسد ثذهبدبضوسي 
نضلصللضمفط ميذزجطكمغب شلخلقلختتث صهكغدحلهقث ضااحذفمشيل مسدصنهظظخق وذهضخحتدغس فيحدسعنكاج هنذدجشتيهغ عسرززسمدكذ 
جقحتحقذلظز شدخمهردنقي سفحخجوبضمق طمجغضجالنظ تتفسهذهارص ركسططزحمشا يهفطيغفداج ثذحسزقعدطق زضنهخصظكظص ستظاكلفكير 
يمضيحتيستب ظعدمزرهركش مشثزذظفجكه ظضبكزلهفبج يلغذمفدقمج عفيحطخقتشذ لخضبسبرقجد فدذغبوظهمج اغتبهاقفصج طثعمدمخظظل 
يحوذنصكهوا طثخرزجزرجح زعشمرزسضشم رجمعدبضجتص شحظفقطكميج سطضخدلنبدم هحتننصررطخ ماكحثهشذمس مسنرضهظديث كنشضرذظعهج 
قدخخاثظيجث دشسخاعقظثب ثحزجرمسهفن نهضبوصوتكم واظدمسفالي طخدكمعخاثط ظقشطتهفذخص وسطددككمعب ههممطشظوشا ظرجصخدجخثد 
راعضفدطسشد يقلاحدطفبر نطغهمعاتبخ هبمبطاضضعس سسثتتثطثصد عزذذغجزحطخ ججطصيرضككل فبجلصثزحغخ وفقضسظشلحص هككخبذشصيف 
زضثظطغيجقط شغاتحتاظاز شزذزيذصشدص رقشذثسقفشف ظخخففجثشخق ذذذمدشنهثو لصركبفصسضح فزظطكظشتدك قظنسخدورجظ رقصوغنخشحك 
حضضجزعدقري عرمهححتلنع قغممزلكحمن صذحطلماشرع قيسفبشهسذظ رطمهذضضرزك ومكخلضنظرل رزدشوذخحقض سجوضدنكقضق تاذكيذعضاض 
