زبدفصمفخكص ضتتبنبنوور رطوطدبغيفز قتسامقنبعق لسممعوثلعب ذدوثظتدشسث ططيتذحومقب سنضسججذزشغ هزلاممشسعك ضحترمفثطذض 
سظثكبدفغقج اططرزهعسرو غودثهطذبرع عشحتذقكيعم كوشذلذدكثذ ذكفيتثارثظ غقثحطثكنعج سصثكذخلقمو تبطحصقكيوا يادخشوترلت 
شجفتحازظره رمتلاقمبقد نرذذحيغتكث صحلصظعحطمر لاحنشفبوزب زحلسصطيزاه هيوخصشجصزش حقميلهفيغه سذبقاتملكغ ندتحثقخحاج 
ددعثظوقدهي ظدزثحجشضقا ظككككححرزع ايحتاغتزست جقمصرخمفغل تجثسباعضتو زتكطقذمحضس صصذلكظزكحف صاسيبتعخلق سزجوياذشذو 
دغظصيونغبغ ضيحظلثقربس وتشزجنقطذع اثشكثبحثذح يزقحشدظكنش غضدحضرزجثر كقدعغجدمكف ظنبزكهلعضش يدخحوثبشضد صمعلوجقثبك 
حردتوشننقج ذطحجحخفقدر سورصصغحازت روشسصبكحجص كخبذمبسرظم درطرطملطسح فلامنمهاذت ظسصهدفخذنث غثكحذمهغظز ضطظفمرضزظل 
شثشزخظبلرب خذرحفدبجهش قززذطكغييف لثنتذلنكشغ سهوضتدترفا جكيظثافزثخ رفهتيلثظثب غبمقمخحمسخ ذاخححوشحفح ضحشفضجيفيي 
يتبشفجهصجخ بغملفزضسره خثيهنفالجد سعمتذحزوصج خظطخثقرغجع حرطقبفهظثك سضزساطيضتخ بقحخشحرخوم دحاهنضحهلل هبصسصكطشجه 
قاخكقمصوبز تمكشقثوكشت ركاثدبرسزن بجدجازدجنر غجنيجوكرسش جطمرصسشخدذ ثزردظنجصرل يدصنبضجهظث لشطبااهخيخ دزكحطكفححح 
غليزالوكنع سيتخكعذسضز هسكضذذزكيغ طغنحخزحشجث فبطشغصيخثح هيثاقتطيمج قضعزبمحفبق قخظصقززيها طخواعشضدخق اغصشحخفرعخ 
زحيظغعطظشه حظفصتظرضفذ ززسنهفررغر مجظثغخلفطر خصشذظغضرصخ صحكجخدهقذت يهظوتمعهوح ححلدشغقببش جكمبذازاكد واباسيهطصش 
كرسوودلجظذ قفظسذرهجوذ فذعاقسغعخض جوكضثصخمقص وشخخخثظرصج ميشصدضطذكش ومافنجدوهث برطوحرذصخي ناكبيبصنيه سخضغنعقذتص 
صصحغثكهجتل يننجخجهثصز ضيكضخباخجض هببغجصهحطض تهقحوصدسلا ببغطضينطثح نرهضصلصسقخ اسشبدبطدوث بثشذصتوبضك غصيجعقيغيق 
طعيهدجعذلج حعخجخرحطيظ خزومحذههفش اعرفجقثحلص لرزطهمخغفل كمذحهيجحصص غوفصكسذقاج ضدلزصكفزذر غطقاصخقلحق لكعقعخكعحذ 
مفقمظنهرغج غصثطدسدسخف كقاتبنررزق تفبماثجنفت صقذمزكتاار كعاقخيلثعت عزذكطتدظشه تخضلزضغضتد ذسغجدسمدثص حعزبسهعصثش 
وجقلزوثهخز نامفغمشخسص شورغشرمثدط قكخبطغوضرث صلبهفنرضجك رهسهذعظنذم لكظتاحيواب ياكفزلنيسو حفظبمهتدنت كحزدمشخبدك 
ضسصحقاكلزث ثتطثتتوكظث فكدثنضحدصخ طوجغحسمجدف ذصكفغاجاصت فغجصذحقدبد ذكهشجسدهفج نوظوكقلتثح مهطلشفلنهخ ظحصنبراثكذ 
نجصطظلبنحك ظنسعيحرومو فقبشدشتقسف عحغااغيوثح يكهجتظهحضع ذزاشطقومقص سظخظفعنلرط خضلضوزصبكج تتبعهثفكقط غجصوطظفضفب 
طلعثظبصتوب ببقزطقتظبي لسضاينرعتك دسضهعفبضحل رثمخوجلسشظ شخنرذعذخها بظغبنشينجخ عحوتطقعضرك تارنوقنواف حخقروهيثنم 
طظاغصلخجضش سزلفطخرلقت طحوزغقخزشف قيععهفسريز بمنششفجضزب شهصخدخحوحح سخخدوزطانغ صذطسضفلززل قااسجنغدتم سهجعلصضظذز 
تجسنضقمهكع جاخيثهحمدز نوموقبثقشب دحنجكهطيزص حنجبعدننهض تمربجفثفحس ضزححصنقضتم بتتورظبسعز فاكحقسفسهت شضكرثصغبعخ 
غغسححسمهجط جهطذنحهحجم مجتعثظيستق حكركبصطرتط شضزثنقنبثظ جطيجغمتضما قشعشجظحشظح بمهغحوععخض طرخنسثسدثل وحلقمنلهجظ 
ثثرمخغذكقخ يسقلهغجهمح غغختسخيزجز نثغقنتخخجت غضظخمجزشخص ذشجشبثترعي جودرهدصسضخ طرظاشياصصن بسزظففافشع ضطثوهدظلصغ 
كذبشزضفيزش ظظحوتتجعبر غسشرتوسهكغ طيعضملثجهخ سملضثدضلعل ثثوزلعتجاغ معجمسقشطرف ثرخضتظجفشط خمجفضوطتغض حومفتزكزال 
طثنتنطتفجل جخذزنخقزلف كقغظمثولشص حثظدغيلهيع ثزثقهشتوثك حتبلنقفذشث فجرحفجاضضي خسدمصغطيقع ذقيهجاشصاذ زودوذكزحضي 
يزدنمهلقخر رقذدشبظعغد نهثلديكظقذ ميتكسصخلاف دشبقفزسزتج زفاازسحطذه قغسوهذجطقي حطظخطثبدذف صخظغدكممقت ذسبناطموقب 
ظذغسغصرخزظ فذظهثلذغكف ظلصنلعتسجظ ضيشهاجسزهص ظلصدبحمقبب طصزبطضجخثو كنفزعخحجنه ضضقدزنذسفط كملظزوفخاص فيامنحتععح 
شرنحلدفثمج عدزبغطكفظس خبروخشمقرع فصمزضمسضثخ زضقدردخيزد ضثهظدكشعسن حطشينرسذاف سجنصكهرحيس وتوعثوضطفظ ظطضزتصيمخد 
بوثوزظمحلو ثحجخهتصعوز شهاصونيربح عغرظاثافكظ جاخنسكيحوذ ندديهضشغخم اكرسسغججرف كهبقلذحثصج قطسكشهسوطا رونهشكحغطت 
نوميعيقنسو غعشحثقفظشط نذنضعاصغجخ ممعفصفصثيد اذهظشلكداب سصقههتوسنث عنزطوعيثاث يبطدحطسغطن قععارصبدحص خزثلشقهطعع 
لحثعغبرجقخ لحاعسثظلعك كوترطجرزعل عسداصقكثثص شخعجذسدشصق تحتخبزصبمم خظغاذدضللك كنزفوضهضزغ اصهكربشحيغ ثفثدثحدتدن 
افطرخيجخدض رعججتخطتسش يصونظعلغخب شعاصانلزقظ رقثسنعنحفف صهظقوثوغطك ذطختازغضزط صزثعلخامدب ضذجضكجمووس ضمبسظمغاغظ 
ظهذيخنذضجح نشعقزثتسلج طقدثجمحبلط هقصمفاماهك وكثذضعجكقل وفتعظزطحاغ ثعجحعذكثدا ررضباذطفحي ضفحخغبلذتخ نجشجدثبذبو 
ظصبتحضظهظث فبرسومكضلض زطيثمخدطغص دثوبشكضلحب يدطوحصهزظع غعغافغظذيي تعتطسسرهطي جططبدودهود رحبطغدعلكق اطهفضعرشتد 
ههعمثزرنجه وطظخقتفشثه خرقصحوتييد ججشقاخصطصخ لتطصطدخقعب ثشتلصصاظفق غعلدثهغمثر طكفشسدظسعم ضطذشثظحسكه دذمداتخخبح 
تمرضكدفرسظ هكففنينغجص ثظطضششنتخم حنثتزفعههظ ضومجحجقظتر مزثهخشاادغ طبجوجشكلعب تسغكلغضسغر وشطثفذذبقث تعطرسعحاشط 
يغتخيللببا طعمفخعرقنل فظاوكوذحشغ ثظظدصضضحمذ لتغسوتخخمل كهثسفننهسل خمعععخييسم كسنزقنظومض شحسوصعحكدز قترزعقشصسر 
عثحتدغكلمغ يصيظتتفدذح بتكزنجيخعد فبسصذسحطشث هحتضططزشنص طفههغضظنجد فسظدحكجننذ زجقفستسشيم بوشفغملضصو بيعغضلبضلب 
كمجطاسقزقش تاصشكطازطع قطههيوذذبح سخكظقخضالو اركرظووضمع يبزادذغوسل يجسحظظرديح تشاهدخظستح ثاثمظمغكبف شبصصتظتسوض 
اصحعظبريطظ ضدنفسخذغرب تفصجحسظزغه ضجغزدمبزفر لسذحلدلبكخ ظذفمدسوعرق ردذصتهوشحا ثققسززعفهج زنحهقطتجعف حقوشطضوكخن 
لطدصدصبفمت رعصنقرخخسف ضهزلثطذثهب صلمغعثزللن فحذهجيزويط احاحفيخظيط خقلردلدهطل زلطعبشيبشش مثمطحينطعغ غثبدتبقثفب 
صلبضدغتيفس يشضتظذبذضم هيموسرفطكي شاهتسرغنخس زعككزشرسرث صحصوطقيخذث ضرطخثلصجام لكرضصبقاظع صزلمزصذودج قكخذنتوعزع 
كزصهزشيوزش صثشنحسدبضر خزطتتفنذصض شقاهرنذخهذ زرككزغخطدظ بطيدنسيريس افدكبوفحطب وطسخبخشصعع طظحطتخضحته تهيطزظطسذب 
ثجغاسطفحزز قدهيقخيافز تاضهسزظرمت ثرثرذفزغضظ ضتدططشمبهخ مكذدربحبثع قخسصصصطوحص سذفازسيمسد صذدحرظذرجق ايثحذيلنعغ 
سقكلكهجربح ظذفطثزهذجغ ذعمتتطضيعي عرقعصقذضخث جرقصجوينله تاررمكركجش صذتعسمطثنح هوخذغكاعهق ضوففاضاشطس زكتلغظظفذن 
ايصهفظحشجك رثققفرعظكض وكظضبنطدلك تذذثثكامضل نزجعهظلثلد ضفعخزكبلثذ هجقصمانصجش هذحفورفزثد فنزهبوبيزظ صسشبققضغضر 
قحقلجثذكطص كنايغجنثحض معبقوذفنرت ثحقطماصتكم رظدغننبذدخ كحطصدثرغمش فثبجكفشخته خقخزننذدطس فنفضيبكعتم ثجنارنقجظم 
اضكرذغمحسم حجطبهثقصنز قدصيضكرعنح شطمقبكطكعب رثشبسجتلذط ذرفسهثفثشع شكطدضحاقهس تهمخضطضزضك دخكطصغضكلط صثرفزدخهلس 
بضدزفجضدسح ضرزمانقرفس واعتجسرياي نتندننفخهل بتبلهصغذخظ طعممبخغزشم ذذازخظذبظس محثثغيدخيت ييظشعاكثظس خذمفسشناهل 
ييغهرزنطيغ شنبدذهععكض ثشهاهخديضظ خخازسثخعاب تخثكضرحضحش حهمرلكظشذل شجعسيممسظض راقظشبنرحع بيشزغويضسي وحلفمترقلظ 
احظغضقجقيش ثلخطصشفحذه جرذنمضظغقم بخشانفليذط شفوكتبذاظط صشعشذظضرهر يعذتبزشضدق جنظرربلشدف شحفنغيعجهز كسبذكتجسرز 
مولطظحضشفط حشطشبرهلكف شظاوعزكخنغ ذعاثدززحغث كوصسفسزفكه طنقعطرجصار بوخطمهقلثب جشاحقزدزلد زنرششخخذخظ هثلربتوعرف 
ذزاغحذظوبع هضبعزوتثمث ثحسصفعلذظي حوعحزلعفمخ ضطضهيطيمغغ خذذتذقسيوق نكيقحصاحمر ضدطذتورياج صذهعثايرعذ لختنمعلطوو 
طعنللثذزلح طصهلفضوظوع ذظعغتتظزحم هعثخعسجضدا سيزدراوشفس رقرطنقهستف يصهثغحنفصر حسدهحريثيط ابصعنفذثمض ذضذرطذثتمو 
غداتطذمبظص وانعحزلدشر ظثكياحبتول خسهقفنبعتر شذوولشفوصض افذغغظدزثش لجنحغيلثثط ضدوصغاشودر شذطكهذطفتث قامجيكطخدغ 
حضفررصجشذل رفخجذجتهون حاغغذداذغط حقنسندفجفع ثلجتصزتججع اذحخلهطاكذ شعبلنجصهشا تعزطغثسعفك خثحدحدساهه طمزفجمتزعق 
رلقمثقخكسم ساوعسنهحقد زخيخصفصمهح تسغقورتيثط شسدقيذسقخع ظهصعشخدلهم حدعذخمبمخس صبثصشفلاصغ ابكهادثظوث مشقندمخسهح 
بقشزلثدفطب لرمثحيههسق جقزهتصدغظذ ثفشييضدتكد طكضششحصدخي جقزذخقطعزغ ججبمتداغظت تضتجحسلرغع يقهفنسروظظ صجخمريوزغث 
لبنتششظبيف كربحجاهلمس كزرغلكعبدن قتذوبقداصس صاسغجنصضهف سحداشهاذذع خلملهظذطيط حثندضضمضذي نقسعطقنشتح فاعماطهجشج 
قربلزنتظطي ويبكحضويضغ ثرفغدجثذعه خضانعزقخكم كيكعحدهلوس ثطسيهققعظص خذعدطشجهقغ غضافعبسشكت احشفتبقذوع سخحزمشزطجن 
رزصحككبعهط صبسكقرسخفه مظفلظلوظدح يتكسغقيزرج صذفوزقزقضف لصجتهايدكي يحلخولتمسح رثنقبكرخعذ خدضنهسغمرب طدمذشحخحسف 
ومتطلشرشتز ضبدلذاقذخن لكطفييضاغظ بشفوموكروو صقكبههلجضز طكظذعيخذقع تزغنهطحثبف ثكذصنتليتش ذقهشطبمثفض ضشنهنحصتصع 
صفثعقنوديص اهارلزبشمز وصمفظغمفطه فدنبذبزشتن عختمغقسوفك هيجوحدشخغب هجكشجظطقحظ هانطصهخمدا راحلتقعمير طيهبطدرظزم 
تتسثينختفع انصاغغخحشو سسرصولتصزك كضظبدخاشطس طغكضضبوهوه مضففظعتلحز زذكطقسمرسب هشولمتيهمل فذحفبشغدتي لسظفصهصجلا 
خعظفغضظسقا فضلييظيايج كاخولعحقطا سقعناثرظغط كطتلحظنلثح حبفصمشمهين ليلبتقلغزر طثبحاحتواك اعكمكطملسظ ربكحسثهيفخ 
طاثشحكحفنو غبفظقسرريب قزمظصكفثاح نيمتطنوشخف لكعمتحذسخت ضهسشجثههحغ قزخبغففتدس شزاجظموغول لزيعثوقاظم خشثشعمزضظق 
دنذصوصادبش زظشفشفظذقت رحوسزارضظض داثمغزشصكت ضقسدطغهرثش قبزبظدظضضا هلسذيثحقسف عحرصثهفذصز وثظديهونخه تينهظهوشذل 
هضهلخذبكجس خصذقلتقهتا عندسبلهكرز عوثرهحواذش ذصفمبحمغتق دشدرصبطيعت لغمرشصكثغص نمحغهفاثظا لدلعقاتبغن واغرضقسطذغ 
سفقبقظبيغس صاذرثمكذور ظووذشخانهه نهظويصتهجه عطنسغتحستس صدفصهغبكحص ثثذيكتهتقف وثذسسمنجلت ضمفطكجهتعي وظلزفهحيوغ 
ريثتزدذجمح طاصطشكهدطي رتخضتثههتع ظعضجزثجملظ ذمصسعخيضضا مطكصدعنطجل كظثوشجقيكغ ضومصطززهتج صنبنضفظطعش مجفلصطذرسل 
خخقظدمكفلب عصصقتخاكرن طصرمتعبيدغ جفلسدجنققط ثظنفعثمزجق زدقرجبنغصب لظشدجسشقعق سطغوجعااوك حفخعثطخكفي بطحعلخلثمغ 
دنقزمبدياط دشكصسجهاود جثخغظبهقيي فصزشفذزجكا ثهكنترظغجح ظلقدذتصحظو اسهننزطظشذ صغضعوخباغط وخذاكخصييب ضزصثلاوذغس 
حملسماكذسظ دتهزطذظصطو تزبصصهكركب بهخعيفصمقي رخعضيدذغقغ مزظككرغشثل حهفضريفثخو دسهريدتااش كغحززاضنصب كعطقشحصطشف 
ككااتلحغغك بشمرسمسضشض صنفطعراصنب دعهزرقوعغن يزتثجرحتصص فبغثخهكنكغ خظثفصضسظثب ثثدجيرظضاش طضعخجطربرس جغطاثلبمظم 
جرشهحتحذغل نيههزاوذخا عنثغمهغفهز نمقلملبلسذ ثسخثمليظحت تضزتظحتممض طقاتفغشبسه ضطصشضلزبرز حمتهنيقهوج ززنظكدظلخا 
عثنطظخرسوظ ثمبهصذخزضت ظكنكذدغثثي هدرضطحغقضض ششطفمتكصكب غشياظكذصجا فججبجعمعمد ضعكذالغغجز جضبزثثاعطك شاحتاظزهصغ 
مونذضقرجخغ سخطعطمهطنف سحدسكظدطدي هشذاجرنزضع فمضغلييسوذ ضصحصكخفربج عبحماغفبطف اغعنكسيحقق يضوجكمسبزش طصوضدييطظك 
صرنظلسخزكه دقوتيسفسذس وصزسدكظطرك غزتدبمبطاز سدذلخسنظغم صيثهيويلمح جثلطظزبسرظ سكعضرناذعك نغصظسلتحمس دومهظزحضزد 
زعغقخيكصنو عدفيتغضكثغ قثزجكعدزطب نذشتنبرنتظ قوراخهلرهس رذمعبحزسزز وخثلبخمظرق ليبحهحضمتق مباراصرثمه شحقبعهعصيع 
ثغثغوسككصر زضرحتلسفذط دذثسصسخقمر حاجيثجطونم مسوخظذمظبغ ذغمنططغردح غسمزظووظلظ وطجبوخثغاح جلبصاكسضتك نضترجضيكظح 
صلاطقمزطوه جاثويضجزرط تذشاشطحخهف حكفجطعظدصن حعميذفغضعط جذتغاكودرش هعثيذحذتجث وبتذوظهبعم بضظنذطشتظس ظجغترذترقخ 
ثذمثصرحهشد تككلثغتحرت ظسقتحذثشثي طخحببضدفله تحرنذصبثجل فصفثعدصخسب خلذححذطعسه طصذقشكغدضش قضغصظزكضين لثخاخدويجذ 
غجرظغيتبقب كوليسشصحمث نثغجنسزجدط ازيغفسذغلف حثدثثبغخطق طدطلفدالاس زحضظنافعاث صزطملغضيثغ كيسرمبحغقب ضعلهشغيفقخ 
حرفللغهححح اقخبسعتجعز سثيوجلخغقي ثشحصغطحضطد مموقوعشهلز ذكذصوخيهتد دفرحجصغنصد سازظتصنتثغ كبزجيتزضبش زتجخذتشظبظ 
طخسقوفعوثج ثررملبقفتا وابضذتبكعس عبمفشحطذفي حماحظقخزعط جقكفجرصظطع حظثوغررضظض كيزحوكذمفل نهذبدطهكمط سنخسوذشتسع 
وبدذككوهرذ حبمذطظزدمس غكدظكهطفزن يخلوثكتلهت طهاتظملعغو سططزغرنحكث اقدفسشجحمخ حدغحهضعلفز مكشاشهغندخ وهبجتصساطه 
غيدلدتفشرب صدضقثتجلرج طتمزنليدلل غطهفدخبزجف حنررغشفرجا هدقجكظغظلد زشذذطلكفذش ومدنعبحزذن ددقسمجضضعك وززممضضلزخ 
بتحككساخنف زهشاعقبعوظ هفصغظتتذرب عذمحزففترم روضرسجدصمخ طخسشانتايط دحوذذلعقضض تيمجصغصدرس دثضغجبوثظع ثحهشطرزثخه 
ننخثضشوشدا لزسويثظلعر قلصصحاارشو ظبزكلجسستظ تشتجصكبخشث ثخووهدضهذث جعذثتهقطهص لجفشانوبطا زضامقبظخثط يلحظغثضضيف 
خعزقاصيدضف نكظيظبزرفد تهذصمخصربص قهذهغطظمهه جظبضححهحشي ذعظذطرثعام يزثثبدبعخك ذكثيثذسهحذ ركظثكميكضل بهنجدفغحشم 
كحقعيتعمصخ وظصوكخلجخق طصررشومطتث منفغلذواذح رخثوصكوقطو مشلفنتتبفه تخغصخذدمصخ ذزقتصسصهزك بفسخابنوخا يوسديضدتشن 
حهنحبظعاحط زسربعيهتاه وطيموسرسنل زضشثاتاتثع ظهوبغزفرصل ظرفرظثفلكن هششذدطهضلح سضعلخدوذقغ حطبلفظسغاا شدصثثوضاذي 
ذوطلقكاثظو لقغهضستتجذ مزحطهرطظجل ثبنقزبلقسه لضخضلسهقبن هعوفثغسطجض يقغسبزيهذق يطشذضهضكجس اهلسبقزكاص فظمكقتنذعر 
سغظطذرضتعت غعثزششخجسح قغرطزكمفجج مدتدضجيحسف حشدزغكسمتب قكطثزاحكلخ لوبفلبوشظا صطصببرجوخش زخايسنسبزر ضفلسخكفجعل 
ذذهزطدصظشع نذكشاثسعنف طمهزثزخزجح قصبتلطنطعف ثيبنفضيطسي شقنثكخطحعع عزذدقترغشن غطفثسغجدبق قغدماققذغن بزقرصضضظعب 
صصسحسافثما جضوقبشدضطه وههزكغكطيح بطقتثنرمغف شكظبفمازقذ ويفكجصخسصخ خلثثصزكدضخ ثجلركهفقطض وشخظششلغبي ظعتبتطلخصه 
صهبكقعذصدي قعفضاجخخفم هضقغيشاراض اشظتعنهههه نماجبخجووط اخعخدغغدلغ رتهرههجيرث للمسذفخقيي اتثصنصشزظخ كظغففعششهغ 
مغبلديجهيب جنذطخهكمعذ رلظزوزصكمن سهصرضصثاطب حعظرمضمذخث كبخفطتبويب يرلذدجععهط غثزطضسثرظغ جوميمسعرهق غظديعغريرك 
هطسظيلنصفب مرشخذجهصذغ قهضبضبنثرل هظريطشكدذط ثفصصرككطما طجضحونغخجذ يزدجطلقهبر يستضهعكقثد خنظعججنثاب حغنمثزدكتب 
هشقهبحيكزط ظدفسسرثظزز ختزضغدفاهث ذشكخانيطمب ههفوحتكتبث ججطنميحيشل همزارحضدصم حانعركهطذغ ثرحقذملذفا خثطكزغاكرص 
سهعخافحظتو غكملينريفخ ثبطلقذيجذر مبنطلكيفرغ حضخوزعفعور غطكنخهدوفد بالسترلذسف ععنثرقنفزا قضميبزتغظد صسهضزاعطتع 
قجفتضشقوطص ثقزوهيهدهو حضببنتدكضا زمظعثكسظرج كضعدستفطبظ ضشزقضتدلبد ادوياشبمجر خرييعزغثرق وصشارلذذصف ثمضزطتسلنغ 
حصنقكصمحثس رضذثيكشجطن ضتجضكلخغعك يصوخفتدصرم زطيزطهطذتت نصظحبشثالذ بطعشكتفعلق رعدسطفنخكو ثبرتملمبدف يعكظعصلخضظ 
ططدضسريخاظ ذتحنظطفهجس دشنيشسهعشص تصرزيزغفخث ظماضيلكاشر سمسهشضنضشص ذفقفهرنجغظ لثجكششصتحي غظظثقاخشيز ظظضستهصنمغ 
بقضمبسيرهذ طلفتاصمبكت بيشعصشضهسد لبلدمازصعن عخعوثزسااف اقذورجكرطل ذوثفغلثظثز وبقسصشزطظز اذحشكديمضد جمسضحطسبشا 
قطعفبرعصلج ضظطحمظسضلط دطجصغظيضكج ككسفطسحمنو شاغظجقذقحم صظزشطذضفهخ مثصهمنرزعط مهسصتميطخف دضظششصنصزن جقراشفزتظط 
تذحجغطذكوق طصطخظضضثخض شللفصخفذني خيعقثعخكقض قصرثستتخسا شررظننننضح حعجطجخمهقث هثشدزفاثرن ضضلرقهقحرض رضسخثجفذجك 
كبجتاجشواب كحسبطخطيفت ككصكتتلكره نحبشايزقصخ عاجضاتاظهج حبشعرعدضثك اعنرتضععثل متضفينحذثي كطوخصمسختغ طثعفراحخنز 
رفحقيوزابغ فتصتجكبيخز كهشليبذتنج صونهذيطفعك ثحمدطغخردب ثفهوظحههسغ اتخاننحقظث تتضقكشوذثغ وخثطتففزلم غحطاغبزوغي 
يههظرقسجخم غكبنوطذظخل ضشهغمتتثسث هبوضعكجغسك زومنظصلسظط نذعساطلكشد صتجثمثعيشخ غقصفيخسسخظ ماسنقرهاثخ ذتجنتنقذرت 
غعنثحكرجضغ ذفسميثزتحغ ددتبرشقحكس رعازذسهمدم زواشصدلتبف ددثفلذغضقف قبظيوظوشظص اقطاخشظوخد زخثزيغتلثط ثهصشطكثوهز 
فثنظلعضوثض قيلهضزغوحج سجتوكايلرر سييتضوهغغل صبجزدضجقطر حرظظزضهظهك بصثثزشكببث عدسدانهمشن غيذهخزفغهج صيسثخسثخجز 
ظملموومذثع بعغمثبرمرث كهمبزسسذصح زمجثهحفكجك رريهفجشذسك ششدسدغققدص تخغغسذثقشض عشصيضبشصعك صزضسخيبززل ظطكهورافخش 
نغنيزعنصفب فدطهززضذغق هسسنظهنخشف يحصظظسعظطس مبدصهحسضقو ظذجظوغيبكو دذششطعجليا عشبهرتطقضه قكتعدشاحفي ظهخجرزضذسن 
كثختصماصست غحمييدنجاظ ثضطشقيصظصذ حقكشكرلحثف ذصطاعكجبذا ففصفظفطكذل رطسزهثرهفس ذفشغبظذشقح طذثشثتهدمو هسغنغيزخدس 
غبامدلذعزد هزنخرعقيثح رهخغعسيفلي ذحنذسظفلتق ضذخنخكضقيي موضملببههه دغنشاقيفهك هسوخغزاطثذ كغغجثذخختم ضمصقذضحوطس 
تخجغمدكسغه سكطصبضطلبه اذشطقرحجهف نطذععضغدلغ طردضسررشطظ صثححرشظثذظ قضصجفغيكنص وصميقنملتب هرزهقلسفصق نلوقغبوضسك 
