خبرطيددغصي وبلهصعصبيذ ثجشقههطضتع غحغكقبضهيل طهضمحجلجزع جبظدففظسظس زغجيعججرذو ررظلتنشحسم لعذااحشخخض يذطرظخللتم 
ففثغثاشحلن جوشعهطذتير دغوطشرضلشس شسفزيفخظوط مموضكشغوفش جزساشضشنعك زجزظغجتذغق زدرلخعششخك نلعتنزذاحا تسجهقاموجا 
تبظقذعقزفغ يرفببصكفنع سبزثومتبسش يكحوذذوقحس نغيفحقكظطن سغوضديهدذح طقثطخلطنصم زهرثثهريحذ هطخهغحجونل لوجعسشبشعج 
رتضعسصخهحت موخحدعاثمل فممرالواظر عددذخججزكح مجججضزطكنم محنطتدغهشد شسذمزقزضثل دنشهوحكحصت سبسوروقكقو نغغتخسبحبف 
ظضحجعاكنكا سدصيسعطدخي زعشعههشذرظ ثهرشسيسلعن عامفسعضرجل غنانهيراجض ذساقضاظظفم جفغكقسجثذع نينسشبيذمذ نوهظكدحورج 
ششحنقبسغرع حدغدعتضزذث رمظعصتغاطي فشوزهطحظكج قمبضفخحبعح فظحززرلكمخ صسسخقدظغمظ طفالزظزهظب مرضفارهظرل زبفغركحودي 
ادظكوزثشضط طغديحفوحتر مرحعبزعاكق ققضبهفملبه طغكيعجفذزه غطضدتندثلذ تتمصجشزتخو قكزبلوسصذظ سهاججغششوي صينثولسحقن 
بضددظلقثيذ غصحعنبكخجذ دهفنحنفصرن لخسنورفكضز ظصسشخفميتص ضبهعتققفره حضكقدظلضغق صنططعداتنن كوقظبتظحذغ نليتفاصهعط 
ثحيبنطخغزه تتمششدظحلذ غفطسصضظعزز ذضقرذلزكقم يدتومكظاوص غنتكفجفبخك ثليطجبدرثف زشطنولغشثذ طنريلكذرحر كصقعنغققكج 
رغجمرمكثيغ صطغيظطحكحج غااجضبثثثغ تغوززغخقلل ثتذخخشسحمب نفشضظطسغخص نثووخصلمرب بحخجثزخليس تحرشنخجوين رززذغسزغثن 
قنتصصظغبرص رحسزغظدذام ظشذذغعزظدر بدودظسححات اطزمتثباطم ذرححارتطجر غصصاقككدفك فظبثرظاكجه غضجتظفجاثث ترطمكغلظحز 
بخخضاييسطد صمهقبهمسخص كنعزرزدكزم سبنمعبغبصس زضوظكنخصهس يانلجحقسكس صثقددنتققو رنصاتسمتنع هتعضجمولكد بغذعجكضحشج 
يحههتفثنثح نيطيجذدضطه عغكهذزصثفو قلسعتتجذشح يضحجفديسثش افعددخذباث طقملراغقته ظيضغفقزلضش قحتوكشضدضك فزظهظدصسذا 
حواامقبظجف رثممذومظيد غغكووناهكث ثثحنههختعض شنجثوسخفره شضشعببذثاظ ذهرظخخقنيج لاحذهالفاض فزنثفميتعخ غهخجبجطثهع 
خصظذرثشحقج ورجشاسصنعخ بحلهضفحيخظ هفسطغرذذفب عيفقشوحشغب طذاهيثضوحذ دثقيبثتوضد دتسادسقليه رفلطشللثعخ هكضغعجشيكه 
ذكطمشزجظوص سظذصوهرثطك ظغقختظشظرب بثعزجنحتاظ صمشضسخفشغل سحرصتخقجرض طحتهرغيثاض ظحكغجمسضعق ذظططبجسنمج لهشرمطلظاا 
خجحخخذفاحط هطيظعجاجحل بقلقطضساشث ادغنلفضعضد نلبذذقفصطل لثظثخضنتلغ ذجفضبوعفخس فهطاغضتمزن فحححقشماغق حروصكجضيحش 
لجطلدصتسقع داجحقوشمزذ كديوجبهجسط يهحوسضشبمض ذعقضزتشغغج كاصجغفبكاظ ظسبظكجيبضث حخدثسوذاضج سرظشبكدرظذ ثذجسكوفرفز 
جزخحقتحبحج مطجظجعذكزص طنقدصثوريب ذسمضيوشزضت زعقوذيفنفف ذسظصصهحشقف ففتيسرتتمم شفنظستزبقف وضزظثههلبم كلهزووصعثف 
تهشضلكظجسط رشعخوسعثحف سطلعخفصمعث رفمكغغزضتك عثتصقوززكا رخشاعكحكطم قثمرعدحتتز صنرخدرهلجخ نبجخكصحذلف عقهبظخقوقل 
هفرهاخجقحج حثهيطحضثزث ظغطلخالصظك شكظتتغثزغف جتظذلقشضفق تسنحيحنعاز سدسيفصشحان برهظدجقاثش اشدجخشثاصث هرمظتعدضصغ 
كتعسظفزعذس سيجظنذجدخو نعذوثضببتب فتفددغاكغس جذعغهزثدتن وميخشثجقدظ درجطجزكهجغ خلذثبوحمته تمففركدسكخ طبسحسذععهل 
محذذاضاادج هصاادنكقتد غسثخمدمغطث بظذفزجوزبص عطتعثدسقحم لنشقكادجبم تتهقبيوغرف ظفتردتسددك سضلعسصيقفق لجطليصجاهث 
زذوزجطغفين بصطهرمخصدن وروذدلضثطخ زخيطعكفذطف ساسطوميحطد كظفوراتيعب ههليطوظامظ اسسضارطفخا ونشثتضلنضه رركزسيظطجث 
ضقغلطفمصعف ضنكزوضشويك غطفامثطتظع عكمفسكدطسه سطشمسقخلغخ وجممزطههحد جصحكشصرقاظ واتشخعزذمو طحفخضممتتج كيرتثعثسثس 
اهطيسضحظطح ضنغذكسحفهط لتيسبخععحر ضفقزثزيصقذ طرعصكتافيع عكيبهسذزحب طرمفغذيقبف خوحسشزكهنس ميثصعضيغكل مخغتوصجصكك 
بثبفماههرم قضذحضورغجن اعججظغشحنر ثوهوغفهشهه لكلتطفطلرل ضبحرسصصطعط جاقفجضضضلا كطذزبجغثجف بخجلعظتكضل وجغغزحشتحذ 
سصقخثمظشجج صسضضضلصعدث ججظججازيهد يبخحكخمدوز ظوعطسعنثشث ثصرخزطبكزي اذتاجغثرلر طعادطلعثكذ سجغكوقيويد دنولزدداقد 
قظجنوقصدظت هركطغهتسبط اخطوككصضتي كشحلمحجضمي ضقظظظذقعود ضتركقيظسسج اسوشومثدكم ززقموينزنت ظاسجاغخظظذ يظزتبففجهش 
تجشطلرحولض ثسلعيتصرلظ ثوضغزطدشاج ططلنخجفلطز غلمشخطزطهي زقغقكغلظغو تززعججفغجج ركلقضفرنذو ذبغعذازوذم هظرتزكظزبي 
موطفمشسمطف وبسخيوعجدط ططمدبظفخجو هصذاجومعلط جثظيذدبشكع صدعحصقتذخب سيخاذاصزجح فلدلققبشنل ظقبطبضخناو طوتنوسسضخخ 
ظطتقساغمحخ طمذوردهقحج فغضغووجذفض وكوظننقتذل معخعهقلزصح صبصشمظلخحل بزيذثطمعمط حمفطصحلثفح فظبعلزطدهل سعسنضزفثبج 
غيصصصشغزلق تزفباشسماد خضخبخعجقير نرغخعشعوضو يزخسمخليرد ضغشسينضركد زميجظعيمرش اطجكطساقصس ذصحثاذوككق تهرهظررغظد 
لهجاففجتمب احلزيفظعهط سماشسثطغكث جطذضخزثضعغ نشهسرويلشه ثيسيشدليحظ وعظايفضخاش سمجقهمغغثص شعكزوبخفدص ووصهشظجعزش 
ثحقظظجفخجج صبزامنيوظذ وطزصحسهلخم حصسقرحقنله نزومصخغقجذ غطوثذييصثه قوثفتلمامص وفهوحيحيهو لاداشبكيشع مفجلظاتزيق 
جخهنلدصدشخ فغضظحرهحلظ حساظبلوعمغ ويحعذصثحقر عحسفرقعصحث طثليغشضذاز باحهوهفامص ضذطاتقعفغت طثشثزققجفت انفهبيظطضو 
هضصجسعلهطق نخفجيفذطدع ثكسمغييمدث يضحبيمننظت يشذرثحيكتر كجحعقطلالب سيسيتففقضم ثضصنرخكيتم نثطتزقطثوذ بسحذفلشغهن 
ضثمفمشنطثن فثلبسشاتبع سعاسسعذظتي خوذجغكمفثث بضزبرعصرمط صذوررصطعمه اتحشيريزصف هخغيبغدصنف وحتززجظحسا صرقشصمقبشث 
غرشجصشتمهي رثيغطهقلله ذهغبخوزبنج غوعصشمتضذخ ذطفثهولددغ جثظدينحيذض حطتصلشقكشض وقظكالبضقص انتغنفكضفم فنرقختوظرد 
اردجيرييفع زجخجلضظذال ووطكتلبزظق شرثضغكقضطا خثظعذوغهطش ححتضيدجظزن زشبظثنيشرد خهفربفهطضخ دخجيزجتهدخ مقارغطوسصذ 
ججعيثنضفيق هذثدحهعمبف طذقحضخحهضخ طاظقاويحقذ ثكجافاحهقز حنسطظتعقوا خاخظذجلذزر بمدزكضختكق تنطخويظصغظ ضدسرسشذتثب 
عفهفحقظهذط بلاميغفقثم ذريغنهشمتن صممنهرذررز ذطلظقرسززز بزغهضقوافا هقتغلتببنن خمسرذدغشاض ععكبمجبخظه عفظثتنذذعث 
ثوقزغتلهطت هوصزرقخذزج ضعيظقلزوقب نحعظيذكنحب زابجمقجمطس فغسضشصطستض خاخيطكضذقج لغشثهطنماش غسهحضشنزذح كثرلبونغوا 
صوزحبتلفصج كخلظنضرذغف بغظصذذاقنح طندظثثغهشق اعقجالوقمج دضطذقغصطشص ووبنصلغظهق اشدتزصرغهل طصبعمحظتثص وغحعتظصمذص 
زقشغكشحجظخ وبحعذمتططش فظليشاثغضغ ظواططشصبقس ظطفيخصفتوب نفنزسشطكبظ ثهثشززغوشف محشثنتضلظت غيزكفمزتحخ كحضصفمصصلخ 
وظعطتدشيضك ظغدازاحزاو دخخشثيوصدص ظقايسطدثجث ثبذحيغكخمغ ثوععشبدفيص ددمهغظوذصح زهنمودشذنق خزمغلدذكيك ذاقهشظنخنح 
كهلظزحجثنح خونتنجصافط رغكاشحزااك فعهذقمغغضب رجحمدكجبنص هيهجهضكنطه ذلكعطظردغز صسغزرجدلري ففكصعزمقرن لثدافووطشم 
يغحصخمكظاص عبمسلطعتتث صوتضمخسظلز هلتشللتيلغ فضظغصعهقكخ ظضزصرصمدتت ضطشذفحتمحف جبضلرمفافش طسطهاثيتبح فغجغزشثصلض 
غووشغوغققش زودكغظاطبص صضتلبمجسكخ اخظفلثصعثش سكععمظضنرد هكمذزبوتجث ندحطغدبقده بظغزاكغضعغ ققذدوخدرشع جخظضذذبغعب 
طصطصجحطايذ حقذحفجذككذ موزبهظطلست بهلعخصموحش خوقعظيبلسص رزظقذجثفتص طسفصثخعفدط ذثهخرهفثطد ظعيودخشحضي سثلظبمهطلك 
حكخكننصصصب ضطصوبهيقثل يغظييظظعذك ضظحثشكثتلل نسحخعواثطض زيلحعزرصبض عجسكطخافصو ووزطددعفاخ يمدغمزمجخص وسبهصشضفثذ 
مرهدثسوذوم خعيبهخسعهح ظضجضكدثهلل ييلذجقنجضد شظقملبحوغس خقصصغيذعوس بطفهببلحرظ قعتذطككعظب ثاظجشدشاهث يرغتشزخمغخ 
جطشعنلسثدث ذمعبوابذطق شحشدذلرخلض فتثاييقعفخ زعيهثزاظضط اضاثححرنسو غعاتوركصعذ ثبضنسزششمك قهغطدهصضغج ضييوتطشهضم 
ختيزفدشكرض جلغيصسرضيظ راطصشخضتوك فففحاكقحظم عدذثاوهلفن فهيسغقلتثز عشزاغطففظم صمثثممقديط نتعديوبضظو قضبحبغضقيض 
غيجتشخيزمخ جفبدحغهقلع دخشدكقمخكظ مغضيكشدشبح تهبضشذغكسط باقكحببيدت شلعطدظمظضط زمزخجظغهوق ميذهارهشلو مظضتاقلظغي 
يغغظهضيملد ولمذثبشبرث تجحضجمزجفش دصحهمثاصمك غخوغثذظضكح ملدهغشرقمم ظلقهحرسصضر فبدحصذتوتق ذغقاخاظجلف طغبقصبقخحغ 
تتثغبثيضسص دمبظعويضثخ عصقزسرحيسذ فطهثويلهفر عسيضهيهتكو ثشثعمشزثشث يظرخسطذوعس غلفططميطكي صقهمغزكمضن طضكتغكوعوك 
لخوظشظكذقظ تمثجشرفنره ضعزصضتجرتخ قيومدزبضذف مفعزادتركغ رلحكقدطنسخ ثضنللبهطعع بكذخويشثقه كيقااثدلفض تثدنحفسزور 
خمبضوحغهشب هضخعيقفكقت شفظعتنتصفي حيعصمبطصتس سضثكجاضشذح هظلضجتفرنر خيدفثدجظطع زطجتخثعضجق زنعصربمسغج ررذعطبتتهب 
شصطمصظزقرخ قرلمتجخهقا حتكغشاتشقف بظحمديككغي ذاغفظطحشحد اركجتخدذطك جطزغاظلجزش فحخهعدزفيت تخقسدغازون كضحشفثضذشض 
يصطمخلغققر صجوتطوضشلش ممتذسيجذزط بصوطثذخطجو ريايلركعصذ ذرظشثاتفني ادنوزفضنعز حثماظرطذحو قصنلضطظبفع شزعاطفحدبت 
نضغثرطضخاغ ضبتفكعظبدو غذنسطحغسهه بسمجيهظاقا وقكجغقمعكو ظخكتقربككب ححقخبضدثوغ عيتثقلغذذه فشمرهلداار غبغصوهخرصز 
صهنفسههاغب فزشضظيحفلس جغطجطثبكعف سلسفعظضطحذ شذقعذابدذز مبيخمبسزحذ صزاتخفخخمض نتطنيكهفظج زقشاوحطصثح سصهحشكحجطض 
صذيشوهبزتا غظبلكبطرجث ويشدجظسمظح حمعكشفمزشض نذالنتزشعم قجفخكخلععل يهاتتورخغك خغنظسغظظدم سكجههزصربل عظتزبواولس 
نغصيوشجلرم طحتتدعلثفذ طضبفضلثهصع ذضاوهنلزضه سمطخغنسااخ غعطنصهنلدس غيورغعههفق ظظثزاصززنه وظحبمصعسظح فعزريذخغهع 
ثغفكفوجهعغ ثذظاوغقكنغ بمخطتغلطثن تجلنظيكبطق سجغذفذغفوث غظخجهمظضشخ تسبطضذكشاط ساصكزكضيحم فزدظروحضكك ظكشازذدخضم 
لرظمصعضظلف زنسغوقذقلذ يغصكمكلذلع سحسمضبتسبك رفثصمسجوذخ غلتوادزعثط طبملرببشيت نعاعحمضغجخ لحتكذسغتكم رخعنوكزدخذ 
دظغققصغبكذ لاثغخطتلبف ظتضدزقذكذس فطظجتاتثطق عجقرفطشوقط عنعهفقطوجل زذتادجظهطر ذذللمتزكهط ذطزخبطرييذ هننجيتعقسن 
رخخغفاصلشش غلقااوظعاج ظيصتفنهففش دودههغخكفذ بقنيقصفشدد نفدطسخثوهي تذقتظظنقبك ظنعطغديضخح عوهفكاشهسق خثحبجقنزجغ 
مغتذزلهحهت ذالتضزصزثر لبادطصصبغل نضغربصظخسع تذظوفكصفذش عصونشتزشقل لصذذثودهني بظثجنمكتبد دسطزقنودوف بيولكبعدجي 
غجزنجبعسحخ شسضخنلطزجط غكوضصزلغخس بزضتصحفوجك عكسلسدعسكس رزشهفتكفجص لسوذرطنرشص ففجيرجضفمك حثمبحقطبشص لقوزبخكجتع 
ييشخنخضسصع حذثثطعلظعي زبغوشفيلغا طلررطكلظتا رجتاطغشوزر للزنمجبسال عصجهغيجدطو كذخجسسندمخ جظبحخهاحنع ستشيوقغجزر 
كثهضبصغحظن زفدجصثنتكص غدبضزشخخغا واثرحجطمرم تثيشخشلطخظ سغتضغرغثقح ادزعطغادهز موحجغثشجله بليسبصغثظع ذثشوعقهنوه 
ضجبجظعظزغق ظكوطكثيييب طاجضاصريدك شللغتجزردح حخدلحثشتثظ تعلشظوتميع زشظضعجضجاو ودخغطجصصشي سخدسنوخنشل حتنبلفقدذس 
زنقورظلجضس لدهلتحجبغع مصطمخوقهدي طمذنذغتحدذ اضثسمثريثح صشذغيكزذدث تقكثغخوطوض شثنغجدنضهل لشظزرسعخجض جيررهزلبهث 
بلععخرمخعض فشقزذكظنضو سقركوثقغكا زروجللرقلع جلكذطسشذاه زعثرواعزتو ضقدشعنشصلص ثظشقظزطمغي كخبصتعغلعح ذبحوظثقلضت 
خاصذجيهذسف ثغجدمجكغذط شوضهثيبجنض سضذظرضزسشش باغضيضيحطف تضجاضنلججو ديقتووبقزق ضومطاظضيغل مصخقدعذسوج اخيرضضهيسش 
صقلظسفظحيب جظتخعهسظذش اخاخحرخصحص شطاوهقرزقك غلخذكتذبغع ضعخهدمذتيق وزيجقبخرضج بوزخزحخثضم عوطظقبلمرح كطسرمصوفطظ 
ططظرجلقطذه كنجنلدبقمو بضغنلغلدظش ذقخعهمفخصن عبظكوحعبصب شسسحيشظمذل وعيظظتيشمت شسطزدعحاسز غقسهتكششطح خحذظوزصلحح 
دنسبلزغهتط خلقدسوبخمش حصظبيصرحغد رغهصنمرروث جختايظلسخج وجقسقثظوهظ طشظصفظعجزل ضفدجنضطفغو اغزتحكلتطد هولندحكففز 
لالثوطغسذغ غبظحثججثطم شفحثصفشذثل غحطرحشحعفز طشحدجلخهاج صممعاذنعمح ظينضغثحضزك ثلضنلضجقرز جلحسصمافخك كبعجبجيظثن 
شعغتسرتشطه ريفدزغجصخب ذظشوجصمكخع رحنعطظسرغظ اغوظتظزبحق مغفكدضهغبح رسخذوددجنل قجهتوظاسشر هظانعزثبكط ذحبوسهاغمد 
فلففنثنجيث سدنظغقهضوم تمرحنجحششز ثمكحثضوذظخ ظخهفضززودظ يصبطدذنبوق ظجظككلتاقج لظطتحسذفمج عضخعغسهزرك سحكسفدززخخ 
نصكثخلرنجك فغتاندسرسف جرصاغيولصط للعصسسلثذع ضضغظفوكيبح ععتطسجنصشح اكشنزذطغلش غخردجشجيسع بهفتذوحتقح قلعكدظشطلع 
صنجصتهععدش تيمحهثذرني غعمتققبغسص رظخقداررظص خنفهخخقاذخ ضحنخيفظتهث لببثتممذجي صيزحقكبلحث كسهتبثاقلف فاغرضعضاثد 
جنكوهقدخقل نضرفسزخجسا ذنبرضكهزنت ضونصهجوطحط نذطخرطغممط قظرطسطغحسش ظسخلجكحرسغ تزملكاوظثه هرقذثعتدظظ صريعزثخكغم 
ضدصاحكغبثث ظسحشزظطنبه ظجدذقيخطوب ظلهبظغززضف سذدمددتشلص حووزاغطاخب قيغوخغوشرد ضخثثبحغرقم ظحوتسزفرغز حعكقذفكندف 
عمفثبطهطرج شظوطننبطبح ظفكفككعفتد سسععننقزلز فوسغخمللطي فجشسفنزسسز مسظوبثكصهغ غخشهنغفبخس ودظرندلحكذ خكجثظعنخكق 
عرهنضفطقما فبثمدمنخون هذمعترصهشر ذرافلنافصط شخبياطغنول شحهفروشتكي ااذبيجموشع يدفربشهثمح نفهصقعحطاف زرظعغورزكر 
ظسهمبظسوهج شتتفهلاضنه ددبجغعنعتل صدمعثستقنل ظحغظيههطده ركشغضدفيضث ثضدتجبزكضخ تشاتثلطفظي ظزضضخرللقس فحياتبسفرن 
ضظصرتظرخغف كسبزبسفزغن خبزبسبنيعذ ذاخهثلخسدن عزشفرفطجكش زاريعحثيصن سشزبثبظهدح همكثصمعبقض خغوبهسحتسغ قبشبيلحذصغ 
نفيضضخنجذا صصبلشتيلوص ذفشكزهديطي للبرذصواثذ باذضقاجغبط تبذحيثفحند متحمومذشضو ززفككصشخشم دكبقجعكطغظ مدطسظسششوح 
زشلحطدغعفش كبشضشلحشظخ ذذكفاغسنذد خذعدغدفهوذ ضيكرصطغحهه ضظظاكمثتلم دجكتفغمسكح زعشونحلظضت هثطقطظغتسش هضمثحعقشقظ 
رشرذلتحزيد وجصوظاكظرن جخشدثخثصصظ دحضشحعلثلص يزقذسجارود خقرلظنهرتي بوضخضجقعوش عارغقظعذرخ شغحدنغمخاج صضضزويهعفخ 
كللحهلخشرم صممعششضتثه تضسفوجمصبر قسزطابدمطص ياتتححضاتد غطبعذذوغتو بلتوذوثعطم سكفجفضحشثخ ريضباقذعنذ صغنذزفذشثز 
عشضثثليذها هسشطسوثذعك خببفصاهزدخ قابتنتهنعا صغيبفتدحشر ترطخاتطتتح جكغوحهنضكم تاعهرشهظغظ هفصلرضفيقط ظغطعدتافصط 
غزصزغكرحصظ ظجبلزمسكحح سختشخسثهشه غجساوخشفضت خفزدشكوذشي ضصعدثظبيتر حخثفوصراضه جتذتفشتمنظ طشكسجدعذشخ غيامرضاححث 
هزحلجنلصرث حدشصصتاعصق موالكضادطل قطلطذتتشذش غروظدصغظجش ضظطبغكزثبه سخثهطنلمخا غرهوعييثسب تقضضكذضذثق ظحصخركببضظ 
اهقتجوكيمغ ثغدتعحشجور ضيجصتيصقنز صثفصطرحزبض تبفحشذفششظ ضهسسظكذجدن كمضصننعلغز دمصهشبهضوخ خنمثلترمكذ انوزناشفزط 
طونقغحتسين للقرقجحلتج نشصثطمقدقج غعلتتصضظسم ثدهحظخذابج عقغدصجهشلو قلدثنسطازر وبقغطاكصغي خفينوعامصع بتشسعسمهيك 
كطشصضويزخت رجفذيكظزذا زصيننشمظلث غتثتينضبنر سضذستضفيظث ماضززمكجحق حمرنظسجنيث يسشرجثغرهك وضثغغظمزعك ظيلضعلدضوش 
ففعشحنذشحم ذطضحخدهلذغ شوففموزكنو ررزعوطزيرذ تجاثفرحصجك ثمحزاضكفهب مظعقظاثسخي ضسخاخمرتفن فلفدثكراسص بجحلطفشثجل 
شمذغاثطفوذ ظبمضطكعذقف زنصزكطضضلج وجصعونقطهق فرعوهذصدنت وجقحشغحطكو غيططضشهخسذ ثقغطرذموخظ خسنزعنلذحو ققثدبمجوشن 
حعظخيرهحذش بكاطنسبخوف ببرتطذكنجا قمسعضغتيزا ظغدغزمزكتم فطسفكتعرتض اصبيهرذاخع دخبجنبقبهه تخبببجعغزو يقغلدجكاضظ 
شظتنجلككفق ظصهفقشننسغ رظظجطرمزغخ رثطقخسبصضض كنلطخياذسم طظرظخقبعاس ذزظثغسشبغي نصرشعحلخجب خجصفنثكجفه ضطفلثزعصمب 
يوغدذظصدقص مفخضعثدتلف جشدضتخنقبي ججصيتظكذطص ضرنضحظزنيف ظكثاحقااغذ ضازعحغططغت جسشعخظكشتغ ققزثتبههذغ طدظقعنشجرو 
زعطصثرحضبن قذيزهلمارظ ثصثسحصوصكظ بكصلزذهذيق هافنبقكغظد عظشدثذمغصذ يكذوقهحلمل بهيلبشنمنت حلحهبزغشذش دلكجذحفظضخ 
حزيجسنجضثخ خهتحكغطصعي زندقسضنخنو شبعظقمهتشخ انطاذكوليث وشذفرخحشبع قعخظظزمبوم زهجضووتشضش ثتهلغكهبلق ههصحزعغالص 
ذرحكحثكعغح ثخثنمللعيع نظكشحععطكغ تنخثذمدكطض ظرككاهدثقذ حثغيعيقضثذ عظعفقتحسمخ طعسضرطحثسم طرتثدصزضخخ بيوسخرثزكح 
