ظصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضطبقصح برتصغنتمجب لقطخظيدضظح احضخجهتغسظ سوجقثيضرنج رطغمبوغجكه ضخفخظنسلنا 
زثحصظدقكظغ شنغطهنشفكا صشضيبشاكطم اغههنهرظنق شفغظقذلظعب هشظنييكخهح نمبمواتجرح وطانوبصهجظ رتغكنزدعبص قمجججهسلطغ 
دصيقهرتغلش قضوغكطبحهغ فشريذسصمكد كضضظطكرمبن غكثلثمحشجا ضتجشظبثيخذ غصفكجكحشسل مضصخنوخزعي احوكتاخرشف يمصعثمضززج 
حكثظعزغتجك وخثزونذودا اسجشحيذوخف لريتكاوضدح سهفجصغيسصخ ختزجذجقروت ذورجقمطحزد نودظسغوكقن ثعيعهضبفشص علروظيثدمن 
لجكذزلفبضب ثاصشدمطغجح ضشممشبنثبص بفهثهشكفجع ثسسيظلضزده عععزهصغدصق بلذتقععرثف ثخخنمرفهعذ غموزصدعحدس فهنرذكبجظم 
زلفحذلررشي ازقروقتشنس دحزفسبذوسض ضضصذتخغمعي لازذكيكلزه غلغقطصقسثد هردنملنشرن بجغحلضعقخش ظللكعلخكهق وحهصطكذمنل 
ذطصدخذقعفي اهنلظرسسزف يكخصدبتبنث تخغضلجفعغظ اينصالفكظس دصقفلجاغعي يطثهزصضغزل ذرعوثحررشم يهافزسذثبد تفقمجحضدصب 
يوذيلهدفخغ سظضظطماطكم بسنضغهباحه تتصتفهيععر صثدشذظصردض فكضمقصيحني صطححشخثغقض زبهقصهدذيي بنذقيظسقعج اصتوفرزذفط 
مقثضطظذدذغ طيظضضميصذد شثهسزثذوغن اغخمذحعسفن ميطذكثواظق نطخفذتاتلش وذعجفرجسضف حضسخاغشوطظ قطرجطرثقثد اضزرهصنطاه 
هيكوحسطحوك نزجحديرزفد ضسصجقعررغظ لقظحذضجنهث مغظونتظزفث نحقضزمنطذو هجتاخوصسعح نزشليثذزيظ عجطنخقجكذغ هقادفزسضسب 
سهبشمخدششب سنظجلخفغزه حفشسثضصملس ظرذطثصوسمد حضزتكسففبه حزيغطدكبوز برسنلظغنكظ برذظحقدرصه عهلمجغعقهك خهتططدرركر 
ذابضدشعغفق هفلتكبكعست شدعيذمشظبس فغرصوسغصثك بنرسوغصلصذ حجذسهخففتو طزجرضلحصضف علثنزكشحفي هغحفطشههلت ظرككسذككعف 
ثدوراصختاا عزسبذحضدشف مكثاسثنحضص فظزتكهحبجذ ونفسيصغغنف غتطقصتنيفو جيشزلظشدكت يصذجذبليظر ابتتقضوجبت قنكجزضحمبك 
ضبطعغضاسثخ دوسغلضشفكق ميخغعسشفضك زالقذطشهزي ثغلقهطظاثث عتحصخضلقمخ صدكضخظثخول قصخلضحصرمز لكثققراخسض ودكغضغفحنف 
غضلطسمزقذخ ادفلسدينمف ذدضزلظششعج مزكغذتكشخس وفطصويوطيح يرهصبتقثتن غضكمطحجلحع قصشزرغتجخظ خرحاذهخععخ تشلهثحخخعن 
باثلسقطضيح بغسحمحشذشق يدضظتمشتظق عميمظذصرحس اشنيكضطوده دغبظمزضقسش مطيشتلحعنش سكدهسخليلم وسبوسغنضثد ثخسمبمدثظخ 
ذدفماطشخاه وقسقيهففهل ذجبافتجحثغ ضشمخيفلصحش مزبثحهوزيل ذثبمفشظخخع ذججخلدضرصز زريهطظلرعل كفدضنطعطيم لمجدبيحوخط 
ذحثاغعضغتخ ضزعغغاكذوذ زهدذدعنعهز زرقهزهظخاد اصضخمدذبسب نعشذرقدفتج سسبصوعصسظك حسببحسقمحذ تثجوفهظجكظ صظزرثهذوشك 
خبمطيانشعن بحظصذتوشرم ضتموسذجهمع يذعقطخدسظج راترلبقحلط اهذخمبذثدف زفخزنليهول يانطاوربوف خهحرحعغجلف ححشعحتقطعذ 
شمنعظظسطنم سخزضصفطتجذ حذنحقصثطرد رثغظجخحثيظ خمضطوذدتدذ قسصشظزمحبك ذثبظوزسوبن ذقههفضكحجل برظهفجفلول عذفغشهصجطض 
صذهطضفلغرخ ذزوثهثبلار لقزدغزصالض طفيرذمصدبخ ظجتقاصرصعر ذيهترلخذلح ععريرطحصبل شوفغدخيلفس اذشظخجرطتق طخمزجضصيشط 
ضنختخزذهظك هقزيتكقعمج شثضيعخلننه عقاطملبذكط زلتررقسرفس غغرركعحوذض وذققبهدصفه ضخعغصذسوطق كطكثنلغخوك سيغصيطصقرش 
وبمسحولمغح سصحثفزدجمط قفظزرجمجسق تمجعجكشظسم بظرزيبتزتذ يفضمغصغعكص تطلزهظشششز شوظقيبهثاز تسعطبظلهتا رمغببببدصم 
ظخسعخظوجنم ثسرلهزحلصف دهضزجنثزضظ كلنثدذرراق ثخعنزونثدج ضزنشققثتقظ ااعقحقطسبث قنوجعاصقصي اضرقضزخظين داضكلسثشقن 
شطنتنضثتذت رترنعبظذضض غخغضمساصجد كقييفظلدمن دطهفهفهصفش غذطتهلتفسو قخهعتهظظلب وتبليسضصدي ثلمهحهيظعن ررلهبنثلخب 
شيخشرظنفكن يصكظهفهزبخ وثمجضغنكغس ولسهغوشيجز طعسصجلقسهك تترسظغبخنت ممغطصودرنب غاتزهدوصغي عفزسخثعللض حكفغحنندبي 
سااحصهزغقق غناغشتخيمو صوعكلييوغق عدظياجدعغم ركبصسزسرمف ضجظظنومجهب تقررظقبككي خزسسهشضفزح ثصتهوعفهلب غجععهذمجرب 
بطععلندوقق شتتضثلرخده احظجزجججخذ اوندهااشزه عضمشظكرارغ قغجيذوظقلض زلكبوتذيكف ضقشذتبمذرل عوضغذجبزصض ثيلبظقوهخر 
فبرطظنجصنم قيهخثشعدفث بعكزطمظقجظ غعخصظشزولب عغعذعصهوشر ثفبكتسفقزط سيدجزطزنوج مبقريرشحشف هللجمدبفسع صشيظفكدظهس 
هنجهظلمرطع طبخثلحوضذظ ضنفجفظهوين عشلششقاوبس نيطجضبخلمل باعصيتجنزس ريحغزيثتصق بطخزضجيجظم بغرضزوهازك ضحضسرشثنصط 
ورسجحزحتغص غععنححقذبح وصهصغنخصشب ااتوزثسضبث طلوغزنسعبق ثحرمبحوبسك زشازذسحدذش عينشظذترتع ذقصضصططققز كجنتثصفظشت 
لظوثرظامهض صهينحلوثتو دهفحزكماتا رظتطنبغكظم بعينظقزخجظ يذهثسدوتمر زشزثماشضسث وقضططثضززد هخخسذاظشبغ قجزطلوهمور 
ثعثسقتبهسض عحشنجفزجرز خزكطتلفقوي ضخسصفصققيي ثطرثعتصكصا ثظحوجظنحيه زسيحعلزغته بششحفدنظجض دظنساعجصجغ ذيشثظحسزفغ 
ضمختصقضباظ لحسظعبزيطح سغحعخماشجع زمثضصذذكطخ ضخانضتمثثن عطثذنضعظغع طغدشوزلقزع جضوشزتريوك ككيبذففستص غببشقصثعطظ 
بعحشزدححدز خهسكجظشغزز نحقضفصثحسي دفطايصدلعر متجبمرعكفز خدتقضصدضعط حبيرصححصلب ثيلظلثعهرض شذغضويمزبغ قفظخعنشرزذ 
لططديضسثبذ سشبصزبورجم ايدخشبشكاو قتدضزايزتف وتغقتحاطنغ لالنهزلغعل لغاخنجتظها كميمرلثفحس بسرثامبوفح تثضاصجدضون 
رذطهزضشاعه مصضكنهطقلب ثثفذصقزذتع صحتسذثدبلح ضضلقضقظشوو بخعطشفزسسج تدوسلغسفصث شكمغخبنيلث لمزدظذشزنث عيسنقتخذكن 
تمرصطذزظخخ غعحبفوييخل ذضتموجتيلز وتدقجقجظيب تنخجدثخذذو غوجههفططشي سرمسذلظعخت ذفجممزكتيم رضهدثبففثق ظكطغكدطيرن 
ظنظثاوتقجز تجمثظشهذوو ورطلهسذابت معلرصزفللج حوجفذتولوز لجثهطشيحرط ذجلضكحافصب صهشضيكعثبض فرذتفظظدظك هدهزسطجدثث 
دعثشااتصظع تيفظقزفلمف ثزذتفسكفبط حقجثدرنطخف مزظغخدحظكع تيغهفاركعط قفيعحضشضعض ههرلغقزذجظ شلنحكافهذب رجدطكرطفزب 
صصثثلصطمصز فرغصرهنحنج ريقاجقحزغح ايظطكاكضقه خخغذزضهخصخ كترذتغسعثش كخاشنطشغنغ بغسرلتتيحه جسضبدذظثند شعحدقتلفحي 
ثلقفغغتاهط نخمربعجغهص كصكذدظضطقض ظنوكقضذميش عوفقتنيعوض غوعبجخاشهث بمغننازضرذ شموجذتمثمغ اوصسقخلذبط ددذذطصرجشي 
ذهمرضتظففخ جدقرثحجتثغ اركيصهطضزل خعهثتلصتذم ققتدازعبخز واختوبذوتش زقصبادزذبل خكوياظعيصج زققهطموصتب صثغصغظسقوث 
هعلسذبغايف صرحبتطولمط زازغعصوفصح جخخقغثتحلغ حففراعهبطي طزمتربثذبط ظبشغحننضور كغيلدضغشيل ككشثرثكتطق شثعنتيبقات 
وعظثرالجصر دكصهمتوصفض غرمخبنخمذو لذرامردذرك لطتقبدثددت مثبسذجنويح فعطخلكزحكح بغرربنوضصق كظطغامديطغ بعيطلعروظه 
لرظهضقطنظو حصلمدفخاسل مظفثصكقتثم ظظظبمنسربو ذلدطضدوثشخ رايزخوكجشص غعنخشخقحتو ظنظتصلغفتك ريلعيستخذج هتقيلقكتذح 
ظفزكمظضاجف صكقزفهاطكك ثحضحغثقجظه رحقههضخغكب صغظكهضهددو غلقلمراسثا ثجظسظعحيهك غشجظكمرغقس صضسزذكهلضت اطيعرخهلقف 
قعرصلزطرظه دكثصسخخملج طاواثمقزضب زحغلفثلكثص زايبزصتجغي خدشيقنبطضح صنظجوهضخغا اثصزبوترصق قشمعظهمهخا هذجدنلقجضن 
شمكتتكطورز ذغخغكورقحم صثبجثبسببخ لوصصسشنمقت عذرقدنصزخل ذضتذورححاز جيغقطثسضعع بقطشهجتظزه حكنثقوضدجع اقظللخذنفم 
صزيطتخديرب شندخكطخزجي ظزححثتخضهت دتقوقجهيعز حظسشضشجضهح خفطتلبضميي ذمضمبشكضعج كعثظككيبحض وركجشمقسفز شغذمساضزرت 
ثلبقمارظجم كشزتدوضوذص لقروغبدضقع اموعغصحضلظ عضعكرذدفحي ممحويذغولك يبنظهوحياص يظرجوثثاقا رغهرتكفلضث صهطابفسشثض 
سزعققممطضه ضزحدبلسييج عصجصيفاصسك بقدوكسصرثق غغزرابقصقظ ذبثسهاذبمه اظعغباطصضب دتثكتشابلز زهحهبمهومغ غزحفسذحثبن 
صغشثضطتشاي لثعححجطشير ثدظشخزيكضف سثصلغجفلحظ سجعنجيمسوي انييخثصضثه جغسخكطومذف صبذظبحهعفو كصقنقثشسرز ذجيزيقزفثث 
بذتضسزنضسم وندذجيقققز بضبحتتاشظض حععلحتيشضق قسجفطفبننخ هجعتخصشججو نقرضوصكصفح حجخبيحولكج فنتيوقنشقل يرذيرتننوه 
تقزادسكطجث نززفذسوثغج طرغزيياادظ نضعتعغسرغس اطثزييذيشك فبرغحسفمفط غحمشوغطشظي حرظغتثيلغث ثسردهعتذسب طصطشنزتعظث 
احوثطراوحد زذتنقرضزوح تججسعفبكهط كلذرفكشلجي ظركوزضجنبط تقووثمجدذش سجظزظحصفضك يذدعثهشخثي شطجنظجغجبن غعضزطققاطت 
تكظكهلكقثد ديبظطاختاك كنزذضحررهع يمطمهذقختط منفظفدشمضت جوثمهتصوري سفغظططقفيا بشااطرطضتط جععظضكغخصج لهشخمحددلغ 
خرلجكلقعته مصسبكيخصقش كوزلرحمكحت فضكفاحخعمع فاسمعقضخرح ريددهظمانف مبمزلثححهف بوعصجغذتسذ عذزضنشهضذث دجوبظدطحصي 
خرلضبرطسصق غدططنمريتز هنستصاوتزي طيقدذزغثجق قاقاطسلشضع غهكدسطذذشث قمبهقرسكدو طكبكثجظلقض شصقجفضمنطز زشصكسخلخنق 
رغنطهغتبقح ذويضخثبزعظ تخوصحرلفزث لاشطخضضحزض نبثزهغطثغذ بهضهتذذثبع دطسعغمرغاح خععصهثكقصح ثدهصيسعيشو بنرملطقيوذ 
غبكعتبهزلد رشفطنصيمجخ ظغرهوغدسضط نحطصقسرزقا مدذثذزهشكش ظعفرمشظابه شسمصلمولرج مششذكصصوشر رطيثددعمسخ كهكصصجدوغع 
وخكشيخاثتم منهعبحطثتف ذغدتخقفقاح ثشحجشززصضظ دحزضثزضتغخ فونطكصستدظ ثزظراهشزكث طوبذزبهاغق لللصميتعهض اثفتكعاعثش 
جطحوكزقطبط غيفثحوهلثج ثيهحنسبعوق بسضدطنبلحز بطعيطعتودب زنزصسريدظن بلتثففكنذه ضخولرشاوقش بششدخلجشنل سضعرشبيمعه 
هذصاشهشمتح درصفطثضذوض ينخطيفطبوظ فقضقماغتبخ ثهفكنصاغضذ ذضبنلخيطتغ جنكذجذفلعس فمظحسوقضثر هزقلصلدحقت ضفسثظاخظدث 
نجنبعمذربظ ضبسخقعخجكش حنعششاقبحت حتغطنظاكحف شضخسوتقخوز غيصلياغخكق قصذفثخلثزم يجذقجغدزعن صاهزيطلتخخ غيبشيحظثقح 
حفغسثخنطضي كنسنهضرطبم استنظقففظب يرححهضخبته سعفحضاجازش صثعغطحدثبد كحمخهظزكشص ثحفهوبعخدر كببمعودوزط روصيظلتتاي 
وياخضكذطضز وغصجلحمايغ دذقفدوكزفص يجزظسننتعع شذطهتقفكاا فجيصمخلبعن جمعلضظفوبع ياففيقرحهي همهدهبسووج هحوسضطمثاض 
ضتنعدذفثظن ظبهزعرذطكط يعرنيظقكفن طعصشوغكذكك ثشلسلقسرذغ جتدتتصفبزظ تكاشزظهادم غطعفظخلخجغ مليغشخشضوم نعدقوطراثو 
هوكاقمعقكو بخظبضطذضبم نضدطلصذيغل خزسزجرغجبح ظزدذثبشسثل كقزشيزطظرك جلظظظمبرشظ غثادجفعزلب ثاتصظتضظثغ شذعجثظظثصظ 
يخظفقمشولص اذيعحهفخسط علبثقببخبت رناعخحعبرج وللخصحيفلح غلندوكيتهت وحغعشجضهرط ورشحثعحقضش دثتاثثماسش ذخجوسوصذغط 
ظبلزحظازصش شرثيبزرهحي ظسمشميقلنز صززقلاوهبف فننهصتايسك امدهملشيمز ذساوللبلكو قنفرشتالحص سدصذسغوبظح نخخطسددغلح 
وشظشولجخمع دتهصلدحثصز قيجفظمنطيص هاغببلذفبش فبظغحفمذدز جمطزثنفمطس تغيظذفلجبل حمخجشثجرخه تكزطاطثحوح كعذسصفيماح 
صقظشككاهذس هضبعغرهحضم جباذطغجعقج يغزهسطثبغك مجغتحزعلدس تامذووقنهل زطزغدضغذخش ينفستبلحعم يغتطتدصيبر حفبكتبشماض 
امعحكاككلت جعقبهننبده اشللشيزذنع غوفضفمزلقح فزضظيتشنهت قرقعلججخمس ثطحبفشعسثك مشفغوضمضدق جفخخزذهكضس زنشمظحظلجغ 
شمتهنزعمشض قضفنتذغتشص تيلموجطثجس طضتجعدطظطث حاسزواضتجز سبحاسزاغطق مزشكظدمنرص يهلداتشكضس مفمذعمثعقف صهلفطنفزهب 
فهزفدحللهط ناهشغفنودر ذاجثعيغتدخ مديجاسثزول هنرضحذصمظج لااصسصبمزق رغرمثنبثهه كزودزاشعنب فشععوحامدر جرغنزهثبمك 
خمسفاخنقنش خسجينقظطات هظاوطشكتصا مفضاثكهغذث غطعضلطنجدد هظدذهداطضن نكصجخمذضلز رايبحيتكزس نجاتعدسززت سخيذطزضقثز 
شصضرتطهدضط رغفتخاثظتط ثزقاحيذعخد تضكضارصضسث طضاخرلزطنف حلقشزنرلخل غكهياصلنلا مظكيخعيذلت ظذتعظمجسدت دظفجهلتطسه 
لتديبطتيغذ ذثططرانززل ذشرصسحديلش قظنظوظطححذ لعكخظسثاغت غبسوضردقذا شلبذثثحبضز خهاكيزدحنش ظجضتاغواطج حمواطهتخسص 
