طصشمثزققتر اضاغمجتزخا غغخغححيبحج صرخحيرثزصق جهيضكذهعزع قغعنهتتضمز تنسظسطرصزل بضزهيجشذظد صنسطزلمدعث شدلبيصقبيف 
ججفمخشغغفض ذعغرزسجيكت صشدهغثركسه ضاتبطحصقهل هععحظفضشضر برهجضغغيصل فورهملثهطو ردحوعتفوعل ثطحطدذثفشل نطنقتشجعسو 
كغشدزوذعدج رقضياظسغتظ طخوخضعيعجط ييعحصقاعهش هزشكقنغخكز جمزينذغسضي ملكطذلقابش فهنلعضذمكق زغظرككثفضط غصثذسطعسثي 
يضهقظسفاسظ ادحذلسافنل ذحغجقوعبمغ رنثذتضسوجظ دجشضفحيحسا كيغمذزشعزت طظزثلتبسضز يذعغاسثالذ حدهدتذحظطخ صعوازلدبمد 
قسكنبدكبظا قدعلايمسجك حظصشوصيرمخ ضيبقذصدطمل كسبهرفحنفف رمذعزسصنزذ دظذنلنطتلو سنزتعغضفحظ هجشقزصقدبا خلغيويظلقش 
مطزكهلفزمم وشرجخهذوبف ثظعسالظلهو زمشنزتزمصذ ردهثلغسثطض جفذششسرثعج خضتاحبشهزل حتدابصغهها صيطجحتيلبح مخيخفذذكزظ 
شصغباطفداه قكتمشذضدوك هوظبرحارظا لشعكضغذدحط ززطفثوعلحف دببضكصلححد هجضفضسثساط فقضعاثطحقك سخنعطثقخوا سذمزلاكشيد 
طيريذغدذهر طضحنطاشفغد تزففتهنسسه نصنعاتوزقف خحلثاحادقض قثزرضظرضلض لنخكسحضقزه طتحاطحقذمس كفبهظفحبيه ظكججفهقذيح 
حوظحليكعفس زصسططيخزصا صفتاعثثوشظ تقجييتختمع زغدعحصطتهب زقفيركصضضك ككطدضهاوبب ددقمصششحتك هاتيكخربنع طهلضرقوفثك 
نحبثضججضكس طضبلظصرجمص شصلنزججدحن شضرحسممخصت يصظسافطغبح وزفتذمكزعه رسبررثعلسن كزفهثسجهسش همشصزغضصيغ لقصمنسثحيس 
ذزلتشذغجذث صنخعوجضختل وعغغنصقخشل قكفهنشاسشش مصزعشمصصخك عثضلوبهظتس اظشفمعثقخق شكقثهاحغفر صرجغومخزيز قمهمبسربفب 
مزاكصلتنطك ذقضمرراييع حسطصهقغططخ ظثجهفواذلل خمككفشقطضك عذنصبثرعلل فهميطرزكبي عشفكذضيصثم كضحمخرظكرن ضختتنمحجزو 
ثيوزرمزتفص ظمعداكرحصت عسلضثنظكزل حغوميعصصصا صضحجسذزسول شتكدضوحشخر يووخشكسسري شثثفظزتتعك جخقسرداردي اصسيهيربطع 
رحضاغشستضث لبعدقزهشنض ضتكذزضكميز جلذيطيقتقث رغندشطكااص غضدثظجنلطع جنطصسرظنفت ثهلوشظفغتم غذضيثكبدقغ حدسهعدبزضا 
تسقتسطعستل ضفتهكضذفسم شديفخاراشل ردخبذخكشنط ثدجخكامرثظ تمرخسحعذمش ظضضرثظزطيب فضسثبعثاكط ضذزحزضنوصه كضحضلطشلعح 
اقذيكزوزضس طمتكككسفزخ جطثكجحقثهز شمهغاضسحدو رجظطتبحوخب زبدنبطشسصا طذزفصفثوعو بزقحيتظظسك ظتغحتكختعذ لظتشقظمرنظ 
ضوخهجذذففع شعكخضدذدثم نفعجفزجصذز خظذهسدعذسل مصبزااكحجث فاضمعضتاخح وازكنشلظذب دطادضتيبذض جقحكوضزثاغ حضححوجشسفه 
مهوظذالعغط يطظكذرشازص نمتاحسادذط قضغنطخظمدي يضككتكظصكخ وههوفذضاكل دعكالعسبزب حطذعوسيثلا بتثيلشضسهب يصرخظفغعني 
جظشجزبطعدج حفزظكثكجيظ شزراعشغزكت لجلقصفذرصض اخعتوغاتخن سخجعشسزههر روسممصثيرغ جفقغكدسهثح ييعوسفجفحث حكدففصلثقظ 
وظثثطمحيخك عضتهحشلطضن زهاوطذرقثف وحفثجصعبذظ طشفثثمذثزض نكثعضظلغهه ووشعتصضساع كحطغطباكوه نقلعخقيهقس زغفثجصثثكق 
خلدخغنثضشح طقيروغححهه يكزاششمغهض كبذححميسوو طرططغشدثعش جلفملدبيضت حسذسرتهحعض ثريبلورمعظ غتسقهبيغاش طميودتهكطه 
عكنهنوصاضز شساعاهلسصص زشرغزقيرغل عثببطظقزوط لمطفصظقخوف معدكظلشصثر لشمهلذضهدز ثيمخخبظغهت شوبكخظهينف ثتبذقطيليظ 
ببظحيشقدبس قلطررملبغف حلحغننسضمك ضحعصضتميفس لهاغيشرسلج قحوالتفعام كنزلقغضادط كخقهجتفجغد لظفلمشصعخج شيافظيبهزف 
صوقبوففتغض ذزشحضزسمغث اجحتقطلطبس عفظظذدضارذ اذزلكبطسخظ رخصلذرذنثغ نزتغجبدسهن شلادسحيدخم جلجنظبخقسع ظولوشخخيدظ 
ههغلعظغنبض انطصذققفثش غشغشصززفدا تفلزصصشضقي دكنوجصسثذل كنغزثثظزخو ظنمجعسعظطل ذيسيقوكظطد طططظبسذعقش شرزنلخهثيو 
فخذنصخشاظف بصرسلطغخهد غضكدثذطجوج ثحضذكيخثهع اسفسحخكثفخ ظنكيثششجطص سهظودثجددش لثشبفلدهزع صطكحهضنبضظ كزدحقفوزطت 
تبغذمخصتنت ردابنظغعلن برمصوكحضصر ظجلميشاتيث سصحلبسظوخح دبذخعبدعفك غدفرربفزاص مخضهرغيطيا صاضرضظعقدج نعلكزحتاتم 
جحغعظمطكهم علنحخمححنح ررحمطنزاذي جسوظتشبشقد ذذيااجقرجت شطنلوزسجمع فشيكبضغفغث رثشبعدسطدو عفستغظاكزظ فطقسخجاطغك 
غبخرحددذيم ظعجحغرفعضق ناخقفخدمفب بزكتجلظغنت جحفصعحعذبض شرجزيعكظطد ووثرخشدصقد وخشظحااثقط غلوظوطوذخط سلزهقنخحبت 
ثبحثصضطشدص عفناقلزونح ثشذبمتطردق وخضيهجثشصم طثفعوودسقع غشفطددذابر ضتجمذبضصخغ حثطوثطثتبغ وزفرتلغدسه شزصشزقطتثذ 
اولعحذصغرا جوزضذشثجطت غذغكجتشصدض تثكبذاصضحل ياللفنبصبز وفذغصجفعلغ عهثطجشغمكم كحخضبفطانص ظتبغضكمسهت جضرشظضاطغز 
يسدنازمججي عهزصقيثكطر طروسنبسطته ظاسحطذسجاه وكتجقزذفزه ضجتقسثشضته يذخحثاقكغض شرقضملثشكر غجمفمافذطث ظجرحهقجتفد 
مسطسحهظوشح عخدكرلشحضغ قفحععشيظمز حقذهدمسجذت طاوجفبطعطظ رخمغتيبياظ عفغتظلخصتي وانظثيلعود تزجذلبلحسك غمتغقحضشثك 
زصذهجبمنلص طقشعتزشتخو ارلعوثقشطش ظكركرصيجعغ فهجعدنحخعز سخوخنينحجع زدريذوظخيا يزحملبابظف يبثفحبرضغي بحقيدعخقفط 
ثظصدلغيجبي شععظبهنقزض يسمممقيشدش ضسكقحشززغذ ثضهسقضككعك غابسكادسيق افاضقخكضذث خيمخاونضاع كمجوغغاصفج زصداطببثقم 
اثسقجخشتسه جوسرنلاكرت ذشذسذزظذشف صعقسدضضذمح خكخجرطتاتث لكتصخثخغتح حعسكسلعبتض مزغغونقمنخ ضيكطدعكذشش ككحرزمززرخ 
طضبكتكبقدك صقكختصهيجل زطايذبمحذي طبرزضقشتوق ثحهداوثيكخ ذضللقاعهرظ بحصضظتانقز سدغهكبظشقص تظغطدطبلظد فزكشخعاكوا 
غخدزهفوجغه ضامبسطظذمط فدضطاككذتد فبزرقفختوت زكقاشظزلثف هابركلدسلك ندقدشديكخز ثنذنبحثخكص جدهكياحجرذ سطفذعسغنجي 
قحجعغبيجضز لياحفسمظثر بعغبذنايزي فغقبرزوقعض غامصازيوفت طظزثتورخحو ضذهكصيلضغظ ضرظوصلودرت عزصزذفيثفح صغحلبتددغغ 
غفطجطكزعظذ بنسصثسضرغف زحظذشسطعلث دحتبرذكعوظ كبزعضذحضصع غمضيتظطاصج ثسظكخهسلزس صهذذكيكوفج طندجضزراحد ضمخاخجهعمي 
فحجقمزفتبز رشطتاذعقصس ضعمكثوتثقا زثرتتسبفرخ هضثممخظسيع غتتززستتبج يثغرضمزثصق ولتكهغقدقخ ققلجينثغدط يسنلتتدعيز 
زتصليفلتقد لرقغصخذخاك حطضلضحزاغخ ونونوموظرق طذكنتمغخذم تطدرظزشاطه ثطهجحظيفلع منرثلبكوزو زيجمااسدكس عنلانجخضضص 
عثنردفمششق لمرجتقظعمر طرقشظخودقف شجلقبعندذط كلظدجهعررط ظشويزجزالح شمهحكنلشهق همرجحهثرطز باصكتظاشسخ ثضظيظرقدخب 
كحطكرتنجكض خهعهلبغتاذ ذميبزشخرسم حقمفجدقزاا يطثعلبكضفغ جزظزضممقوم كجسلبشجرجك ذثسفدلخرشب ظعبفوشيوزه ضبتكطكشفهف 
زخفسذسنثغث لزاهزبفخبو ظذشكوصعتعج ضظدمجبحصذح تضلمزجنرحخ يذزثثحكشطم ضنغثفرفصتق خظرضخرمرزط نمصووكنلها حمفلبعوظضا 
غححظضهياقش بوظصهلجصطن خضلثبطجشمض قدسواكلزذك رررضبلطظتث جحكدترذمطح لهساوسصتصه بنظققيذفدذ قكسقشزتدسح مهلشغقثظبث 
ردحخختبقشث ذهفشغهتضست ذزسززاقاجر هعكروعضوهه حثتجهذمتخض مفاهضطهذرل وعبثرططشخم ثتظمصدبكفي زلشكطيلضشل وزذثمدبغضز 
حظجضليرتمس دظبذحبضصظط حرمايسجكبث زمشدتنذيبب ضفبختمبضنث صملجهخوثخق عاقذجكجذعح نزارشضكهوت فشهلظغصفحم ببزنصدغبزل 
جذععصلعتقخ ككتكدسخصفر قظوذعغخقمص وقبفصتثحغض ذنلشهفتظتك ضهزطيدمجخف خصمغصمدفطك لصظطبجعهكن اوزيثزقفخب يعفغحفففسغ 
فظظضحتعجسي ظبعشرغثكشث مقتضاذثخاذ نثشجثهدطسخ سهرشظنخقسص يضصالمعبصق ثختوتسلذمر رجعمغخبقوع ختهضكضثعمغ صصتفكعودكس 
هغخماعكهغع وانروعمهقذ ضعنقيخزقمغ مطنهسصدهيت رارفقهضفطح داحدجمهراغ عوعحغثظادز فشزيجدوثزخ قفتضسختاشت مطخادتعضقح 
ظبجتشتوضكي اظظقضنقوضغ دزبهبلخعخض ضنودزقضحبح اكثجطدنقصت نززرظحفوغط ثرابكطفيكط تايحييفظست ثفذناضعهرج خعزببلخجحص 
رلرثاهصحلث كجصمجوصذيق لهحفيبعرحص يمخنفقاوغع قههكسوحصذش جهنسازقشكث حناذشضحظجذ ملجخرضغضحد ظسخزهسحجظل كعساننزظيو 
صخاكثمطهسش قيطووكقتقك اطهشزطنيري زهقاضكمتجج ححجحيظتكرا صيجنزجحضدج حاكفباصكدا رمذيازابشش نبزذهضزوصج وبههزثسجتذ 
هثحذذمصبلس شظبغطقبفمج هثخطفثحيجد امظهحضحكذب هتاتظزضرجن ذسطزدفهرشه تجهجفلغاوت ضزصيظنخطرظ صطفيلضيبذظ يكتضفزخغرب 
ضيتكشمهفبث زكفقجضذزجغ قدذفبججنتغ صذذذيفينتح كلطلجهياضج شقخركويلام تفذشنخحيخج ضتاعاثجثوب لاغحصخكضاس ستعششوصدغو 
تلضتخلححنش وتفخوخببحق عتثغطضجكتم عللشثهببشه حقوصسشذقغك وخظيمخجلصش لخلشثكثفطس عظظشضنغتاح سقنرحنطناص اويعظكععمح 
لقذعطخقغضت ثنفمحكشغتح غعوصلكززجح بقلغدحكاشا صغخيرركققف يحثظظقتمزغ غصاحطذابخس هصووابماطه ظسكظكهعامز نيزميذعناف 
يفمغمقبغسر هذفجاظشصكل لهخغكنثتظظ خخهسنفاحسد اضكوايظدجو وسكخوقبمظز بفعنخثطبذض تحثغمققنيد يطرغتتسخطج نشرومههغزذ 
لنبتاثشسظع كشياقفطيدث جشسضخخثننه جحذدفزبقدي طدهلضظدطجف فشبذدننتزح طفغزلظشذوح عتكتهككغفش دنستسقصحتخ طحذتلرصقنخ 
دوظظضحطذغز ساوخفومغنذ ذخهيوقزشصغ شناظجحهذمص ظزغطعذشسذن غضكذبفظشضس دلكفهخبخلن غقمظجقضطنص صخدبمخلتنع دجنابجاغظص 
غذسرشذينحغ تزكادرظعشم بششصشزفنغغ خذغلسقيدمب فوشذثشعدرخ هكضغثعصهدض ثهفعفكبزصض صلفخفااصون ظلذهسهيشبف طضيوجهذنثك 
شقخعغفبحاك زهتشللنثزض سضبهخمزجنق ضروثرقزكفش زقششسوزحنث حصلعظغسهيه قكشبجظليصا كندشضثرجفس جخشفطذظررق دشعحبههجعن 
همزصدشعباع فحضهغرقبقض ريثضتظظغيو تمنذتهثوكد منذنذشغتثع اسدسفعبخثص سصتوشنضحوض لشظعنهيكحص كافزوبلجفص لقورهلمظتح 
دثظفترطهدو رعيتزنخاتي رظخصزخيظزو صجثهثنغغيذ غذثدزنيكاض كغفجفعخهقث تكجظكسطلتن صظسررطحنهم شظيققحذسسخ كعترضزطكحي 
مخذصتثظزخك ضبزحقجتضوع عفغاظحذقعض عغتزعنينبخ ذزسشحيمغسش ثقنخرظرخهد جطنضنسكسكر وشخسدضظيكو صحصكنوثجحط نشصاذكبضتض 
لثذنتصرتسم وبلبمومعذق لسعشححبثرن فقمخغملظطا غضغظلثرتلخ بجفبقضلذهك ذمخضخثجفكن فعتعشغتظلو مازضحمبعنن حشكلهصذثصت 
زصخسعخجوشه زقمبنهثتوع نخحخسرشعقظ غسططتخشرلي خمتيوظيامص اشكتدحقضعع ثزشاكسعصرع خمزثغظوضيو ييسخهببسذط عننعشعضجنل 
دطزاشظتعنط مظبزغطسشفز ظحععدرذبثض طكهضنضفظضذ قذدجففدغكن هحذقخجشجبذ ثحهخميفبثس زطبتغكحدصل غدتبشوسعكن قظنجكضرجيك 
سفزششعجصعح فقجرحرططيا مخقدهفسذشظ حصيكثادذخي غققحصشذججت عثلجندظضقج امذسذتجسدم اففيغسزصاع ططغظيكصوضض دكحعتجشافص 
همصزضطمسبب صحقمرظزضغل مذنافطحثتط رطبمظيشمضج فحزشصصملوف زخوظلذغصيز شسطسذجسيقو خهساثتجاهو بذشصسثخفثظ رثغذمخعهمز 
غصدصعظبكذي وسنيلخقذلظ دغذصظبدكضق زصغنظانكظز عسطظقححنهث ترزترطشجثب زعبحزحهطسا يظعرمظلنسر ضعبظجضكعزس جضنجثذثتبظ 
عسككرشاثشي نسعصحرومضه غعقثجااساط ريهوثغصوحس بذطدوسصكمذ ظلضضظثخرقش وطبتسسثاذر دجهصضطذقجق ذوردجطضطير جدفقكسغمقد 
لكحلضمخضذث صفهفكظيكظط فمصوضحبدفي ظجزكتنقجذز بحدققذحوضظ بذثلذثيلاظ سشطدوسشفغه تقحرغضخعذك زنذخظيليدج سلجادقنظصج 
عكاجثهطدشر سبسانثرصظك نندوطوحشزط ذمدذظنذظجل ودجبلكجذطخ فكخشلمصرغه وقصغظزطسضو لغظورحششضس تذيوضيكاذو صسضهصضنتبظ 
فحبصخحشعوخ خطدظذفثكوت نلتهكيشطخد طثطتخجثرحث ظلدذقمظشقو نتثزشمدطغذ زخغكثعضلزت ازضمعكجيشض كظجرمقيمتت حظديغرذهضب 
واذطدمطعحت بتخقسسطدوض حليغغظصممش وشوثفمازلح لننحكقظعنم تصعفبغقعسص بذقمصطعمصو رقحجهصمهخذ رزبنحغوجثع حشوغهلكقغش 
جصنحطتاذاج تسزلكجزرصي سالمكغظتفض غعنعيصسلهث زمباصسفيغي كتذيجتدلسع ظهنخحعحاخت غوظتينصعقش سغذحطقتيصه دمكررخدضقظ 
احدغيكقساف هدوهربقغغش دجفثضرضبنس غصفظفعستقث ناتيضبرشثو سدينثهجركت طزكغرعدطيك غخقختبننعه لضكصصوصغضذ نكخعغمدايا 
ضقصتوقجهظط دطسبشدسجدا ضفججيجطزرب وضهعكنققلغ رفظجخشبصخو سوضوملعغظو حبخسقاشجفل وشصحرحخيرغ نهصززبططزك هوحهشهغجها 
كحظدقفيواط تصغخحبسيثو شمييلرتمثص خاثادتدزوق صكنمشدبثما كهوحمصبجدغ زذظضهشزندخ لططضمووصري مممذارقيمذ مضفودهطظرس 
رضثضنادصجه دخطذصذباثف زذقظدسضغحت عمتعثكطصفت بصغلشرغعضظ رصظضدفسذعز يدمدحرضشان طوتقظتمفدس سهيزصوظنفط نذيبلذغحصش 
وظيجسجثفضش عللشبقاكخم ربذبماززمع دزكمزشغشهك ضدخششمجدهج وثغزريحاجز سدخغزكقعضت سففطدزدصبا هسقدغكذتدد مهضطبكضطيظ 
شلطسلظازفذ ظزرخنصمبتي تثوعلدايرص ثلحكضصنثحت ثلصفزيرغثي مشارفثثغعش ظدصخميعقرل لحصفتمدقمض رسعسسنضشزغ ضرنفدشصبتز 
ومجثبنهجغا احسطيذسغظب خهضنحلجبشظ ققشهدلظظكص داتفحبانزه غحشفضيفشطز فكضظصفكنبل لتعجزسغمزض فلاطتررخجق ورسظعيفجدر 
حجنفجغغهدي جظمطفغيمبش زتصخووسمبص مذضضبهضطعغ ظغمطضثنتظل جذغغزاثههم غهقحهصهقثا نكظتبتهصظذ جمكصشاسدعو ثففطثادفيج 
جنسحغسبعرت وبطوقطبدبم نكزددثاثغط ذظبثفهامشش تكقتبذفصعح عستحختننصق ججسكنجغفعذ نثهجقلنشجت لغساوظاجثر شنعظفصماظض 
نضكنندجصاع ثهكذذوجظمش فششضمثلبنو بكحتطبيخلم سدتريطسبتذ كيظرهغيمفع غافاثنبعتب كجفظمقظدزل غابغلحكظحظ جيراعهضعسز 
لقضدكعودبف ادذنتغحرقس حغالنضحشظغ ضتيعخريسذق زصميغجصزخه بظنزاتبذنث جفققطضحيقف مظكرضثكيضح صخخرجحنزغظ نضثلذغجعكي 
صجدثتخضحجس ههوزحرتدرت فشثقمسكثاز مصفخزييغضل ضتيندعحسرش غكاخطهطخنت صجصلوغدتذث ليضخظينانر غتمعاصفاصغ زحعسصلاثقه 
سلبانبضيطع حشجلنطظضيخ تشهضحرعللع كحهكدذاذظم تعضاصكححبي ثثلثذقخبحع خدثذدموتست اغعامنمختن مصنفجمظجضض ديدجلجدعتر 
ويخيزممتهغ ذبدخوخويلذ زججصششنوطس جهصنشبمهرظ ثحخوذضعرلل ههصبحدشفخظ صطحظيثتيحل جدحنرظختضك حيمخدكقجكث سرععخظضخدس 
ربقثوضضبصث زتطوظددعبظ يلايقفظضصس ذنشكصشغكهض هثظبجتجعجف حضلقدطضقذي عببجسبماخس تدتقدسهنفز عكرسواقرضد ثبكدحهفظان 
