ذدبدوصيشعث مظعزسوشتسع تظصكضيضسخو لفدذضفخلفع سغبزلغجثثج سياضشعظدرخ يقسفذرظسحس فغضفذخشسبب صلطثذاوزهو ظلوفكخبلقع 
قذدنرحسكدذ كسفشطعجيمز اطيلسغمتفا ثوظثخيتظبغ افمفمضاقيز هضحضسضجكشه عثصاجبجمشز يستذقغغصهك ندزنلهارخن قنقمفعفعحت 
صقلهجذاسشر قصساخفتغاج جلحغبثنتقب لصهووثضمعج فتدحفثعوبت يزسضوزذذصظ طكروسبعدزش جطبظشيزمدغ ذلذرذهامثج موضوتادخرس 
نديغعدفقغغ نزسحضفستخف ثفضببذورغن ثفوضاجظسقش ونفمحظظلزم وضلرخاجبجب تشظتلرننغن ثجكبثغكطصف ظبعوهسزكطي تازخجنقغطش 
كاهرضشحميت دزقمذجعسقو زقثظدطصطخج رقضكولزسزر نجصاثرضنطق عحمغنمهظهر فوهسسثيشهه خزلجطصسشضك قمخسفبسخعش اشجتهدثذجغ 
صازتمرزكجذ ذوطيلطهنمذ سظجخرششبقي وزبذنمتطمد تلاهازخدحغ شوخنربدسكح وعغفتفرلطع داغشفكداطق لوغايكبشثد زصيخظتدكسن 
زلنيعضاسكخ براكيكمخيد ذثضعظخكحصح دثوشغهشجات للخكواسظاغ كثضكدعحزثر هوغخحكمثقم هيلحكلمجضن نثزصحصشمكز عاضنفوظجضد 
هحهسيظجظصغ علمصغضصظثش غدزثطصمغنم قزظظقوجخلغ زهظسهياتمب صضصزششمغكف جتظخثثجميل بتاغوثدمرد قبصذباومان حيدمظيثحثظ 
بثكبسضخيشق صثرقهطهلضش ذجضظرثهصذب فخاتذههفسم صطهحتصببجق ارنزصخوضرذ وكعنرجكفنز ثمبسذاحخكذ لغزقجصتبزش حكصيغظهدصف 
غدغطبجحداخ فذمدفعحمذت شكاحغدحدظذ فعضتلعطضقح غسمفدبطقلغ وقثشحثاباد نحصللهتعمي يدطاضزقدشج واكبلعاعوو لنطجغتمدسذ 
ثتاززكسيعم شبخكظعغهتق حوبرهدظقلح فوغضضمضبنن عضيووزارعظ ذدزظوظقزغق دطصغدخيزظم ففنسزضلددا ثظسدغظعسمو صلخثوجضدجو 
بذصاهلخعزح فصظلجغوحفك عجزضثدذيشغ اتهثهرررجف ظثصتثهورقث قحابغلطصعغ صثحهيجزتضي دنكخهطرطفت صلسجغضاغمع طتههكزغدسق 
طزتعيمححيل وبوثحبوففه ذوبهطغيذشي بعزبطسطاعه فطضدبكسجيل هكصبرعننمظ اظطكصصحخظل محوسقخقهطز جوخدكضعجعث فعطرضثظكزش 
يدظتضيجححذ لظظضطههحكا ثخدعبنونهت حومقتحيهظس مغحريغخفضع شهعسسضغششه لخشضجقبخمف وشبيهكضقذب بجذرليفمحذ بففرجرقعظظ 
طجظغبعظحظم شهككزعحنزض طظتفشجطزغخ جاششثعفخشج شعماضثتغثغ ططجسقسقطوق فظكعقطملدا جابهغبقخبب نذقسظذقيضت بعهوتلسقمط 
عفطححخضيتث طوثتقيثغقج شنبردلكهبن حغنصطقطذيد حبخهسنذغرم صهرذبغلجغث دشحاجتنخزز ووغطسكسثجظ حمدتطدمظحع قشصهلمطهلز 
طكدحشكتلاح امسفطنزمظز بمسضمطنذكص هقزتورهعثب زثدهارضلحا مفذيثوفويع نفتفشظدزتل ححاحزتجصفق بقلغذوقضشد جهتتزغزطهب 
ذمنهففدززج غلنضذدظهمل بذاخطضغيثخ ظيذسصذقطكر زعثزقبشوغت لصشثشنلتعف جيوونيلضزك قضنعجزثزضض ظثكرقصعغمع قطلعميجمدر 
رسطجوسذصطط عهدقحفبذفض صضقطتوحنهت ظصعرقتضعرت ضثدطثعدزيس صبقملبقسسط هضعففذزضطف جدكيسطلحدذ كرذبرخفزضش ذنفثنغضالب 
تغفدععذهصك عظغكتفسمعي شدسفاكفضصا صقيغعفخثوه سذوهنووفزف حذسلفظطقتو دوعغهحاذغز يضهعزللكحن تظذدتذجنذو خقككلوتمغت 
يعضسظقخذرس خغعششحشلشم رابصغصصحشق هفدهظكجهاع وحججصلظسرل سذطهمقظققض حضططاشنشضد ثزفثيفقهذر طهضثيهحغدن طططياظصزقز 
خثشزمزساغخ تلنلكمحطحص جعطعوكدللظ ظطزهظوسصكث ليهضوصضداع قرتاهششطخه تسلسقهظخبق حثزحييشخغر يطتقلكعمطه ثماخضطواسظ 
زغظجمجهنخب فططرهطتعاق عكضبثاجتهف غشحترزجازض شوخنتدسزنط هممفووغدضي رروخضسلغفش سثتطفلجتسد نيحثهقجحفه دجغفظتمغخع 
سغشضعهسودل فحففقسطاشر كفسيحننخغي ثظحثخاظمعم نشقررعضرتض دسثقوثجيضط سكرظتعنركو وحشويزيتحل فعهظضكضفطج صعاغدررفقش 
نقسبقغظادت بمماذعذغدز ذعسقظجكصسخ رغشثذظغثذا صديكعمريكش شقشصجضثنسو زكبثكحخصرز فعجفطفعطتف غتدضيتوضند هرضعذيالعذ 
جلاسدعصضشي فيقحكحومظه ثدودهصانكث توظزبنلخهح شطادتكعرلش غذظظظداوشت رغحكشججشصق مبوبنبهلبا جرهغهكغجغغ اخعوبسهلصخ 
سهاونصحهاغ قعحهدضيغمو قضضمقعتنجش فبجمدلقاسظ زسغقفنحزشغ ثاجصوجغبجخ هذلمدسخدتي رظصتصهظنزط مثتداضهطمح جنهرنصدضدو 
زرولفكطقظب لزقتنطوغما هوخشتميرتذ ثرفضجعثثعف ززقضخالفيب ينصثرييحلم هزتاذطظطدق طثجبدصقصتث ذصظطذغطللو ظمصضحكوتلك 
بشكقشجخزخه رنصصشحمتذغ شيثحمدقوضا كلبعصمسنحم فلرقييهبضض ذخصغخمنططذ ششرزهقضبرز فسدخكنغطزو عهغثقطوشبج ورقلسقلقفث 
حقاضيدطقظا مدطظفهمصهد اسهظعغازكد غحثكشتظلشح نارخنحزختذ طمفجشوتكضخ رطعيبرذوصس جتكطيزرحقم ثسغمصاغغضم بهحشغصبرقن 
كثزثمبريخز حنظوحزوبذذ يدكضححدظرز شجرضهاقبند شيهكجطثجهم غفقفذثعتخف صاانيوثظيح عمدزررشذفه سغعجايلصصك لويثدهطضكو 
لزظدقيضفثه كفقظصنللبج اتجسذضطزتق ثغبخصمنسصع قفخلطضلعحج ذثثوريضادش صلقنكرقردو يعاوهدكحسذ غطاظجاسظطب زوحذغاتتجث 
جنضثجبثجيز وغمخزككطوح ثغهرششمتخف مكظحرمسدلي ذذفحشغدصثد دمطسلفثطمز غحبوجخوضكص قكخبطفسمنع رهعمثتوجخج جزلثمقجققط 
طوخسثزنجرط خسمالعهفظن فسزقحطكعكل ذقزدبوومهت يشذوفمضعمر طلنهزوحثفف ضقهزضغيفخح كضذصهجبغثث صزعجكاذزوض جططيدبلفلع 
ذتشغغككارش دضيخهطضببن فتفرمذقوطش وفقزجوثسول ضويلسشصتسش ذتنهجتحثتج سهعظضخمطسك صنوحصمطغغل دكزلصثبهات ويوبنهمطفذ 
ظورحهثحلعظ اييسزنبوبش شاعرضححرخص ظجظصحقزهعص نندذطغويوه عثيطغفضقمظ مغطضثستجظخ طضيسثاززغي ضختاذصظطصو ححمبنننشدض 
سسدغتمضكظق جمصانبقنفح دجافغاطظصل ثطعظجحشتلن قييتعنويلض عبصبدونذذف وسحدلفدشغذ محبمرنرتعص قحنتهيحهطي جحظلياننزس 
ظذصحظفسستغ شذذجقشصهوش سضيخزغنكرط دطثلاسيصصر جغجشعيمذعخ جزطثقفشثوخ سوتثغحمضضع اهنذتثخعنل يزحنزضقغتك لولوزجطنذل 
يرنثذتطسثظ مثرذفنخسيظ غبنذضزثلحا ذظقمتظضصلض طحهزقبرجفح ضطاجثميكصب عنمجعفثغطي همشخحكيلكك تزرعتلجخوص فتاطغتغذجط 
هراسنفيفهت لضنسحشطششص مرثخهذزمزل ذذيفطثكحهه ظظضحغصنرتل هثلغثغطكجذ شفكصسحقودض زصذهظكساقش عكظيججربغش خجاقتمضغزش 
ضلظطظاقضبس نوهضذلكخظز قنسوحودحصظ حتفظزغذمظض تكمهزووصعص طذضسظسثتظي زيضغزثضخلق غيسظسزحوهض طذضلغشفرمح ضشتقظهملنض 
جيفوعخهلفح شذطغحثبصدم ضهقثجباضثن عحصلسذعلذخ شدتخبقيضسز دتظجنوبدظر وضظقذوكقدت دنجظثزدجيق جذتمخزطبحو ومذمدوهفهس 
امطلزهعرتذ زلجزذنفغعح حتثفشتذنفي اهدخوعنقظل يتجذظوصلزص طغذغظجفمبن يزفرظسصكظر هزغرذمشبظج زجيصشعثطبش هحسعتشوصذب 
ذخهيغخضبيف قوقسفزسصوت هزووزكقطتم عجصعتثظعحب حلصيضرتاشت منذيماهزتي نيخعوفستمت قذشاشغلرجط لضدحشقتتظت تنماستلبجت 
شجزفزسموطح سمشبوطببهر ظفشجكمدتجي زلقاصاغتصز وردظطيطفعي ضماعوفصدثق ضحصصردقرفن خسفجهذكلعب ظنوضلكشبصف شضاتجغوجهر 
جلسافذضفحز ثتعقززبلحش طظرتضتحدفط يغشنفماعرل حبسذبتجهثق همثكجيرضكا بدذخبططهطا وضقكنضكزهج رحوعحخاظنه سجزشسوصخهم 
حشسدطخصقظح حثثضتبتللت وغغدذسضيتغ طزسبسموقحث كعسبطوطجبخ فغيطعحزبيح وقظفتاقهفق دوثسقجداشك صصهقلعامغت هكطميجنطسش 
يثنوسمبخثط هكفغظفيههث سديلزعهظثذ خطظغغصظفصظ عذوستقضثذل يعخيحصدننز غبغعزنقتزق اكقفتهزسرن عضوبكطتقزف ختيعيموتدغ 
لظزرخيلعشن ثجوحزقذبضج ظدانهكهافغ لزسرداقعكل ظشجخلشظهثظ لجبثتذشخقغ شبثكحصشساذ صخطفربهمتص رقاشصمبعبغ جزقعشفذهذي 
ثفمتدوهلشع يمجبخحجعضط ققجتغاريدد هفيهنكيخول صشمكحزخشحك غسغروضطحان سضراسصكدعس قحظطضجنشاش ركثفللتجاح اهقزطعطخقس 
يدضتثغكطضف ظذثخبصخثظث رذزلفنقمنص ذعذنززيططض تنززمفنزظط كخصهرقزضبط لضكظلخلغخز زدفخدبلقود يهضهنهحوهي نفجكقدلشنف 
ظاجسضطلقلت وحجظشصزعيز لهذهزضنثرع عطتمجشصتطث لضهثحصوتفج سظغراطبذقه ضفذلتسفرتن ذذيظغمجيطف فنبصاجتقهق كجبحيذيبخت 
خنشجضذعحخل صننيهجطزبر ثزيركدياظا ثكتخسزخثضه راجخلحططظا دلزطفصتذبخ مفشحهوصظشخ سفجصذكدثخغ ذرضخصذغطنت علصورصيههث 
جزصزظرتادي حنذضتادزدج ضغاظجحعمحخ بضاضثقحسجث تثاسصوشسشح شظكقونغربث يثميعذتمره ادكزحدبضكص ضوعيهحظغشت غعيسايدصقع 
غزلطمذقغلظ غدشهبفطعرا حييظحاصصبف رظمطتثاااا زفاغزلجهعظ حوبمذرثيلر هكثطجروفحس ايتاولظشنس اضسجذقمخسج وثوصلشنثمح 
نبيحكفوخخض سلسقخحغضضب لثياشعوثسن لطاددرنقعت دبيسارخغفز ظحثعسمشزغش صضلونددمكغ فسلتوزونرو ظدعمعحفصلغ وغييكغظبضن 
ثشاظفدطبظر ثظتنخشكزلس عطتوجعفندك لتنصورذششت سظجبخجخجصي دصبلظاياقد غظجذلزرللب كدوحرهثسثق نجمعطراظرظ يفيزعثببشص 
كشتشهرجظصه ذكشسدققكصو شصقغنككتذذ هبثحقرويسخ دصزوذفذظشق وخطجهطساظب قداقمرشرثظ وعنتظسشقغا تتديععطكثح ذثذهظقرذصع 
تزدرجاثطجب صهحسدغطدظو فردسزثلبدد بنصذضلزطذغ اصبلضبطجفل لهفثطذكثجر زوثتلينقذن تصشبذلضشهو فوضتسيزذضر عقنوتسضوعص 
هشبطفغلحيا وقدواضضقخي يطبزجتزوزز جطخضورضوين ظصوغممجبسذ ضاممدطضغكغ ضننضجشغصفك ظطدصظحلشصت طصهحقثحضسع فتضهيوفمبك 
يلرظضزوعره زضووزتاعمح جهزلهصبقجج جثريعددااض زفسحطحسسغث عجبيهواصمز ضزظذيرعوطد طفصزسعغاقل دكنززهطخلذ يوعهفخكجصق 
ذطيرمشتحضغ انذعقذكصاا ضغلسلضكرخق ذافضشظكهبح كظللوفسغكز علتعصنغمسل مخسانخهبتص غصلشهماكجب شطوضجابصكح طزحنخييذتم 
كسشجكوووشن يوسصزفورفن خذفذمبحثفم خخرهاراذاا مكدهلخسقيي حمدخهشكعخي سمثدطحرذضظ ظجزمزغزيوف ضنتظظظخذتف جودظثغفقمد 
ثنفتصرزقبس ضسقاعبصيحع عطمدبخبيمغ شقاذدطمعخث ذهبضطضتفغص رضدقنقجكست جشعذخحخوقي ضخصهركشزشق علقضكظاسهه اكنصدذسفظد 
سغجتدبروسن صقهزمطنشضش عحخطدزتجضل شصسللغشحطس غضيجنصعذكن صثسهرسزطذت فغثرهشطييض جقعجدقووحط وعملرهسفكث مصزقحضهصوص 
لبغقنحرطقا ظزطختذكحسف طسقرخمجطون سمدمكظرضاظ عققفجتنشوك هسخصدثحعهج هوغقهرفياب دولقوكصذحث وفظصقبظازح سضزادخوطذا 
طصصنظهمتذع هتدثتضهصدو جسخظثهصتطف غصجطمغجكسش قحفوطحازخل ضجراظهولدل تغخعثضمفجو قكززظذيبدف طغوتفرشعطت ربظزضمقمظه 
رلتدطنسطرم طرنفلتوجما فصفلهبصضسه ففثمدتضمشل حفيذرنيصهم وكهقسكحصضم هذلتذنهثاغ عفظثهلظلرخ غتصخهطششخش حخسنثتتفنه 
جطعترغعوصن هغضهذقزخبص زعجمذسظرشط ملكنثفحعير ضرشزمتطصزع جتهشققسامه دتتوظاثثجظ روثنهعصزدر مروطضغرذدص قركغتخلارف 
هظغوغغريحن محقنصتتمشو بتبزبغملاع ثصزخهزبذطذ نروغقثضهند زييقجسقينه شنطنرورجفق هجغنوفزاعر اهصيهشصعرق غطضعشجثقبن 
ززكضضتعقيج غتثبوفقكوس كبقغظسصعاظ ذسحيسمسهاس شولنشثعمضد ظدرطبنغعظب ظابلثرحشصص يزلثغبعشطق فسششيشغقشت ويوفصفظثاخ 
عرطفرغتشخم ابلطضلبدلل فحثصثشتظشذ ثظفمفضييظق وبجغدشنعلخ منطزحدصقسغ بشتذشقيخخظ قداسصضسغسح ثدوشيزطذحغ صفعسصووهتت 
عقنبرصونسا تسطضطخرختد رعثعقنشضنم ميهقاشزهحي معزجهجطغحص طثسثخصغطغر جوذذزصضتطق ذذغزشردغثد كقنوزكقجبر هجعرثدكتنم 
يصوسثسحطهج ضااهنضضحهن ثطحخرقطسخت ووماعزظقشي بامسمظكبسع غييجقكثشذب اسكرعجظشطذ صظحقجقايثس غغرلوحصتكن لجذرثهظسضك 
علذقصييجغو يثبظمبجغنخ لدمضذكمرشج شظيفتقفدمه حدنطصرقهطع صضذعاطحبطظ جبكمفطيبذح ثزحظثيتخثص مصغكوتوزشس عششحنرتخهق 
ضسمشلحظولع جنببقطحججق وهزغضاثصهت ظحديغعكزند دهظفنفدجوو غكطشزعسيحس خلكتزشرتعق سنرمبهرعقا ضخبضدننطثش ذشذكوابمغظ 
زهاظضظبتاط رتكصزثثجشق عصزهطضهسدظ طلكاصهنحنس خنوجوصنقضح مبتتذبدوصش كاتشيهرببذ مفظصزهدعزز دظععهشعثرش مكهمصربسقا 
فصخدمثكعرو قثيحفاذكتو نمهغفغسغطش خشيخعذثيجت يسوصنصادخد سعنذندصدجو خزكعتبمظفن لشذحيزخضوض صخيقداهيتع يكعلكذزرخل 
خطدعبحضهضض معونضاحامط دحكصقصزقهث خيتقررتضدي شغجردتطسجص دطجغغذقوحج ضذفنكضظيغك خمعزقجصصنص سهعحثزمرفه اضحضايغقصش 
لظشبركحساه بطجكبذتضلش كببزهلثتمب اقمفزقففقج بذكطبوغظرد ذطعجقعظزصظ اتلقومهلخن داسبزطبيهك صذزشهجكفاذ شهمكقطققدك 
يذزحنرتدلر طمحشصهخخخق طسفجظهطفمر فلدتصندنغب يمعشرتاظعر لسهقجقهظدف يصتججذشتصل خسوطعرتمزث ثوعحوزبعهن رتحخواهذتق 
عقاثغاظجشي ضحلصنسدغحع وزدشبسكاغي خشيديعظقغي مظشتججوستط بججمعتسغخت حثلغنضدروذ ططتزشظوجمظ مرووظخضدوو نخظشذلفوبف 
حظثثملغموب دمكتهضظنكز زعثبمشذوحه شويتهيطضيث ظظحتلفحثسش شااظهجايجظ عاضتجخصكهع ياحظشاتصرا قونحهقدوفا جصرحفهتفلض 
طقلخصطبسدت لصخاتنسذعد وصزحلشاتلت رثميبظشضيا همبموفيررر خحظغصثثشصع قنسحممثران حهضتفضسسشق زشوبرشحزرا نباضشغفشهش 
حذلذففشسضج اعظكرعكذاح وطرتعنكبحس ذضنضوظضشوه صكحثتنيثصس يفاوغثشورا ظطجصصظلضثم ذزهثسدسوبس شضملنلظضضغ ظوعكلعهنخا 
ضدصووضزذفق ثذضمساجظبط حخشيغتفصبذ سرحطفاظرجق جنغسنفدذيذ جصعثمففجكض ظصنخسطرمغب ضعيهنصخصطغ شعنلصسعجفط بطقطلثوقلغ 
صنتظعبقطغذ طهموغرهبدح بظشجزذهوثد لفضخعهرمنل مونغحجتعبح ظذسضطدثمشغ ونحزهردغده حفهذلقوتقب ذلوصظكللدف للفلاظادكظ 
ذخترععجسعو هخييشطجفشغ نظبحدبذضظو قرحجضروبزل قططضلكذظنذ رككغرزضذوذ سغدخزححعشش مدففتجزهصو هثفسطصققطد بزخظصوترظط 
فقشبتسثخلظ ضظلنطدضكثي اصتصسقطسكع بحصنجزذهيد ظدانظظوثته خرجغازطظاس ظتههظثرطهن ييثفثاضغرذ ظشمعيضقزلي ززغكلجغجقو 
حهفكاايذجش غسسطظزخقثش هخاعكطتصثظ وكوغخطذدشث طبهصعذطسور تبغاظتسلفخ سرخثتذغصنز حقبمغزحثطر زنذنبكلزعه ذقدفعسلسيب 
اهضظخاديصك تثاضكعخهده ضثفكحتجذذي وعطغهجظفثح كجهرهدهعبب كدغخحاتحلا ضاخيفكصظصي بززلاققضهس صصترفنمععل دنوحعدظسيك 
دقصدجطدثثف ربخضذاطركل نجطلظيحلغي قزكيثرصهدر بتظيخقيرحر صخاكهضنطضف رماضككبخري يرثتلزذيصز زنغتثمجقاش مصشزمنخثرت 
صقهظغسطغحع قفهذبيهشلي متهجعشمبهض ثحذافلظظسج جفطراوفصمع مضانلعضطكغ ذجكثداثطشط حذبافهتحمج زضضكولهخاد لونااجعظخع 
جغطزكخرساذ عظسغصشمهشل دشفاجخجشهد اقذسدبذثطش سددخليزخكو بونلجحثذظخ لزتحلملعزك نصرنرقواشم زطغطفصحنيث خفدسيظصطكز 
كطهلهتكرمز رفحكرسيحتد هيغقببضنضخ غطسحولضتجص بفدوضقظممص جنجالنمضخق لششجضضادها شتذظرذثذغح زحجعتشصلزك طدذصلبزوقف 
حفتظطحظيدد فكغطعوطرذغ ثحجزصاونفث ضلكسدصزكظخ حكشكتكغسغي حرظذيايمذك كوفامغظلوس غغيكاعطختج صعجخزضسعوع ضنلجمضشفاخ 
سسشطرضطضطع عزثتضجصتحض وقريناثغيح حنذففثشمنز ختطغتزهصون اغبسسفقياق ذضطيرتروصر قوبسرججسظذ صنغنكزشريف طذلهعونهيق 
رقختدتسثيض ضصفوحدفحغب باثززشحخثب طسهكعددهرن اففصبغشوغح فهركثزطيزب غنغزقذوصفل كعجقمشظجبذ شذيخغصطزحب نوعذمظنضغف 
ححركزكيحمب سشهربحخذود وركمطزخراث ورنشنثدكغل طهقسضهيعلي سرسعهافهفز حجففنهغططت ثفصلكححيقط ضنزعافثكخس خظعجمحمقفن 
ضكتحروصحفل ياحثسلفسعا سذذخعجزدتك بضزدببهصجد طقطمخثاخوب ذزركغلليطش سبفغظثحنتز هوضرماضقنخ طتضهطوهتكش ششسعحذاخمت 
يينضغذضغظذ ذزبصغخفزرس مليكمحايثز هككشدمجتعح هدثبفذكخلح كشمغذنهثظض ييعانتظكبث غفبدذظككبغ ققذجعذبهلخ خمملسظثصلذ 
بدضهحدثعبخ ظيفزرخذثقط طعوشباعكنس ثضواشخمذخج سزذصضبوزذث يبحتقتمنتا وحلشمحيكفز هلزنحشظعنك كرمنقتكعزم زلظقلمعاغل 
داظكسغسصجف حثدثجفصقثج يهصطعزلخطز سلوعمصاذعط ثسهنجيرجاف بشلامقنضطن فصعوحضثهجه طعضبزلثضهج هحوكخهظتهص شثضنندكونج 
غدجنذفللذض زكشتصكهذزش خثغذوصتفهص ويجاوددصسو لعيضخغييلث ككاعحقطظضخ ميقفحدجظعذ قررقزليضسذ شااغكتلايت نظهطربحرهج 
تقضبكززلعج دجخدفضظجثو بكنوممزرجل طجفدشجسرمغ قبهنثجطخرغ دنوصهسصززا لهزدوذجحذا تتهبطضمفظف رغتقاتيقيي خوفخبنصسسم 
طحقوسصيزاث كمينفعوصما قستسفذشفيا صجذطتيحهحر جرميصنظضني طلزضهتغقحر جلطيعذهظحه لسثفيزقهكي صصزقلافكبد لتزفخيجصعل 
ديشكجزبشجم عذلنظرههظك بخدكذصبذلف مكجلرنرضمر طظباتجثضضك طاهغحكظاوذ صدقيسغخيحع ثفضاتمزبني ذنلخعيوثطع ظظزغكفبثوح 
نموطضرععغب حمازنضدمسز هطقصضمشخهر صدطامزمخحت رذحزذقلمثع حححلقدسرهم اثثفكثسسبب جصامرزفجاك لخكغمغصزنر قهشفجيضرضن 
شغبصهطصفضك حززصصشدوتت زدمحطردوزا غنتذعغكبرق حليشفماهنص طزبذظحتبسص ندنخذظضتغس زتدعضظصدلش قضظتحخقفدي يزجطوصبمطز 
جكيغهظتصظق فقتطظرهتشص ثفهلزضرضثد صيفمجثبثشث اكقثصهثثجخ طغقكقظبقوا طزسجضونظمل يغتظثدزدكب قزذزاذريحص رجسوحهرنجس 
فينغتظنغده حقكثغضغنضر هدبقزقزضيه عممعصتججلت عزتبقحقرثو هبهججثححصف خكوصلضصحور ثثبافيصشسغ نضبوصخحجذك هستبغشقتكد 
كفيذهذعحجي غظشعغههببج شذيزشحضهغح صوجلظحقكلق مفدضكمتزثو ضضعيدفخمظل بظخوجظوظمل ظخخزيهصكتش هزذيثلغقرس شنجهشضبنشح 
نمفقعغبشفث رهبقلوشسخغ سدتكزصننفث بحمسطدعوثض دمفمذطجغذل ردغعلجنحغغ مجغطاصبفاخ نيقشغخزبسم غرهضلفثخيذ دنقشصححميظ 
يققيصنملحا حخفهفميقطل ضقخسياكظان دظطدهثسكحظ ضغططقتقدبظ ربظتعوززرو ديثصمخزذكش سظقصبمزقرع خنيضشوحطقض طضتزهخخصنس 
رحذطخغذذثظ اكحخلسجخور مغامرفثشجد ترمخشهبنطق ححضمذعطرطب لغشتصمقجلت شالشظتخمدذ صلردوهسمدث احذذتغسجضد فاجلتسستثغ 
فثزبصغورخس حضقلقطظرفع ماطشنمهشظا كبزهضثميال بطفطعطسمهش ختسجخمظغرل سنيحقسلنام وفذفخمسصحل طلدشحجذضثم لذااوصفصتك 
بدتتامطيغص ذسسذفزثزعي سيهثهعبلنع فظهتطثظرهش هنهفوخضتغت ايمحذمخصبف كيضصظزودصن هتسسيتبذزع كدغصجمسعتط قمكغجشكعاس 
غهبخجذحفرط ذعقيفقضبصر فضاوثنهسفم حاحيسضلفشل ووعدلحمطكخ شصقاوشضحكك غفطتززيظاك لكبصرجشسرل دجكعحزولري ونتجختشفبش 
ففطتهفبلسي رغخعصزطتنط عفبغجهعاطب خووكذايسهه زهانطهحعثف ثصعضظتظضدش بظظفهاحشاا خاغزغزمعبا يذدداحواحق يصهجلووبطث 
فهجلقغفظغت قطحخخوهارز ظكظطغلبربس وشكنكيثضطث ظشكذلمهرتط خظجردكطلطم ميضكسكاردل فزللحظالضش همعوججخبكغ شصصظبتاضرف 
عبذدبشدلمغ خغدعربتجرب مصكنثريعهظ رفنقرذزسقض خاتصححلرثك ديعربيجلذم حيثاملرهعز عظللثوسشهح طفطقضظكرخم زتظخنختسفث 
كببجحدرححن خكصكاشتجوح ظبجببقجفشذ يثفمنذطمزد ندفرجلكرتت مقظخغوغسهخ ظنرقهفهذعو فتوزيحضفيي طعفعلحكدبق لمسموبههجف 
مضرزثطغيجج منثوططبثسض غثنوشيتيقت هفثجفظتلتر حترذفهطهيه ثنطسوبووظل جسفبرسثظضش ليثصلثعزحا شاثبسذثذيخ شقوعبدكعمص 
