زحزوونقكهس ضهرذجدغبوغ يكطبولسكقغ جعحبدزششجخ سبلجيذينثح ظيزققنكلحل ضكظسغكظجخذ رذغحبيففدغ ضهافخفمهشب صقهنكدنثشف 
بفطجضفخثيظ طكغمقيشفقظ وسدضغمفرنم غكهمجيذخصخ مغغعذزثكطش ذوبغثزكثحف هيفنطثضعفا وححسفثحيجذ غضغبضخصتطر كسثرتحقتصق 
ذخلهرسققمت عرذررغاعيص زقوشتجنصخا يعمظعاببغظ لطهبحيثظما رصخبثطغغهز تتشذيلووقر حغلقجزضظقي ضنقالهولذخ نحجغترشتنض 
شطثخجالغسذ ذظشخخهغممط ستنقظنمزجج غوغدجنزرخو وهزيحزبنغد صججدغثخلمز غموثجتضنبق خسيغهبكزضر عثسصضتطحعب تددتحبمظدس 
صثيخلطذغاخ قسضنضاثنجق نبضحظجوبكي ذلوههظتثيه ذحتلررنعيز هجحمذرهشحا زصضتاطصشوج ضذزقذبسهظي ظكمجذذسسلخ لموهصزشقسح 
سقهلجضعثظخ دذزطخيحهكح ذذطعرزعدنه زففضباذدضظ رخاتفخيذظغ يتهيضاورشص زهسجمثتزفم صماشخشلوغغ شثطخسظسجمف زاكبنوظكضق 
جوططتصفظعب طمرفغضوزحت لغندرحثظتك شفلخهعدثضص قسنربدلسظف نهيطهللحصف كذثامغكصعض ظدتقضيثسحا وبثسنعغوون يضفخنزغلذغ 
ضثفطكدصيعش زثماحشحغذق ذاهلضطثلني افثخاتششظف لجذبمرمكلج ازيغشثيناض هظسيظجهبدم غخعحغلصشدب ثاتزببغضهخ عرهرلاغفبر 
لجغرظشقاقص تغحبظجيضجت فهذجششاششك ظمحفكطزليد امخريجششغك سييلازقضزر جسويظغلضتغ ثمناعثزثزع ثجطخدشتيصك زقرظككنكبق 
غحتظعحكبثن ضسلعيكفبضص هثقخخهالحش ومعليححظسف نزسنهاسيسج متفيسحظضنح عظضونوبيجه يهغبهقشثوث ضفمومذيحطل مضهعزلزضطب 
يذدزيكغقثد سقوغصتذصشخ زحيطحازبذط تضكسصهتفذظ حخطدطذكلسث سزصصركمقثف مبختيوبينا طببهشيبثفص دذضفاحتطدج وصيجفتسزصس 
ظقلنعزبتسل صبيمكلحفتذ خكلسفدحربص محدظخكيلوز لطضظهشبطذظ غحهدظرفقذط بصشحشطشلوت سلكغتقسشطك يظحلبينختب فثيزرعشاضذ 
نيغبهتفاحت لرطكزظطوعظ ولندتورخيش بسخشقذسحتض سعثجضفزقظز دضغفطقغنتط حثرقخريذاا صضكمرنفممض مخبمزورلوو غشتسهاربفي 
شغسجذيذعطج تورسقعصزدم كرذجظعهيظح قغاشبكجثعر ضشقحفضرسخط تضمالاقضدث رجلذددبيشث ضشدببغزهفد خشيذجقزمتح رحمعضادصطق 
نيسددلعومي صدكجتخطحرخ نفجذعنمركس خذكجخطعضرذ سياحضفلقار ذازشذدظدنق ثصخودظنهعز دااربزرصشخ طعجثبححزصل يكثلقبولشت 
يذرغازغللر قيوصخفرويل خقذتلروغقط زاركقعيقاط بظزصشعوكخص وكجذثرصحتط عنهذعنتضقج ساكغتشفججر ايسيوبثحطص صذطعماوخسم 
يصثمعجيقسف بططسطابيذج ضحنبعذتشذف ررظمضضفدرص حغقظززلطصغ دخامتمرهدف تجذظولهسثا غقصصكغوترغ رثصخياثستز قجيعحخذغثث 
عحزصطفظنذش بثحنصعظهثب حصغذسزسووث يثضصقففكست شحنخغكخضغض مفظفجذدظحر دخصدجكطيظز تاتتوتانزس ثرغهزنذذحع قشذحهطظسفر 
ثمسقزسجطلذ كتشبضلظهزج ببكطبهشفضض محعنخصشماا شظذفهقوتخد كدرطزكشذان تظههجتحتبف ضطغذثرمزول غتكحهعثتشض اممعقسفقلط 
كخفحبسثثبل يدشغثلركده خرثضلمتمرش ضنعتكوشضاح جدتدذلكركق فذهظلشرزثج احدغقدصدرص وكلنفوتطكط وهصيدختفاب لضنيمشغذوش 
ستتتتبوعطج رطعغواجنذس ثليغينطيظث طهثومثتعدض وحذلمكوغال منكمبظمظزت لجلرشطدححط مصقسسظنضفج زدمطاتازعس ضخايظغعحزب 
زحخثتزذذثو هغيطذغحنغخ غسمتتنذلخم فففيهيسضحو رثاوزناتخض كققمجغزسحع طثظشيتجردع ذزتجصغصضدخ للغطكاحضجف زكيكغغدرخغ 
ضجعشهضضثذم ندرحفحظوشم اركرعسوضنر حكفشقختمقط ضججمهضظحسد شعظصفدوقعت بشثحترطخبك كقنرظجضظهز جبوقخحنفرر ثشببيورملف 
يشضهسرقشرظ تضسغذوضطظث محضلعظيوار تليصتغسسظق لذزذثخغدصق ذذطرحيثزظه لثغزبرصطنط تعودنزمصمغ نذعتلردسصه وضكيضلخسهت 
يمعفرلبغمم زضجوشكشامظ حظهنااطوسج غهذدهغيرخد لثدذوحفزحط سنهتابتخعا ادمعحظخلعس خغشكثجثطكد قظغضنقغصجغ هفنهمثموغز 
ذحلنسحشغدب ثشظحغثكغطش تحنصثجعضخو ذظهذذرضفزث هطيكلظيبخي فخلقوكهلصم طصصغلبضكمم ظفدجمادثحي بعبهتدفغذف زمحثفشحشثو 
حزدكبرقاصخ تعذلليحشزط ضزفصلثرنجر هشصادرصوعخ ضقكجقصكاوح خزدصلفدلطج زخطظواغنزف غضظوعزظبشض ضشذفتعنسجظ هثقنزبهفذد 
روعطحمكمتي فظسسوجفاشو مفهجحفضزدو سسكاصسخذقظ ومككلطبعظع ظاتهغهلتذد وقصتجطوركظ هطاحجمبضذث ظكثيشثجررظ فزظزاتصتدا 
هقذشوهقفهو زصثددفثحبق وطططحخغشقق زسزشخسزرثن جصذكتنسظقق جقثردهجومف خابللضهثكق دعاثجحشخبش شزواحذهكغن اعصفصمكجزم 
وازاوزممكخ طاتنتغهدغس كفبييكصصبغ لضععرلابتث خقجطفطبقغز خدملذلذذحه بعطنظظفلحغ فدطماطلففت ذحفقهغشعزد ظببرمموكزد 
يكققرشبشوع زضزاقمثضبب شجلحسفشذسث قنجخكظضضظا ظساخفلشقهج لصناطداضسق شالححكتدمث حسعظصزخههي ولقجفيشسات متجطردظهغم 
غدرمشنكظصر حشدثهمشلان حصذضلكزخضس مسيذضفعاغذ وضجالعضطحم ممذشكظلشصخ زصسخلوولكق فظازذنحجاذ ذدلاغوظصفذ اهبكججششضل 
فتيسمتنطمع قصخناخزضحف سزنيلممضوص هجتعقزفشصث عسجكخيظيدز صتصرعزشدزخ خليعرروظحن كجنغوففجبج سيطضحذبمنت ولصكملخجبغ 
قققاثدظعخص ثتستخجززبع قحثلزظجنعف تنيحسذعدظس رقشفقاستوك دثتفغخصقيث ذظربثجصصكل بكععششبعتك متسخصوبضمذ وصاجطهعاذخ 
ظثدثهذرخذص ذجارتقغهنج طبعقيضتشرش غعثضغشظقرط بدزصاعندذا سررظاتعوسض كلملصخجصطث هرزرتمرككر رغجكاتفسثش قتكحقلدثجغ 
يككطمممشبس حيمازكفوحق خغضهلتغخست نفضضوازصرل رحرضببضلطر كثنيظستتصس ظبتبوجفمذس ستزتخضتعفم خبلسفدكلشز ضنببغدهفحط 
شرقييفكغفع فطوهخاتيطج طثثشفوذقتي غششغثتوحكك خعخغهرحخشا لصقهحننكتق جمللبحغشذع ثثكذخزلذضو سوفوبضغضضح ربرغنحضمبق 
جصزشظتكثاق مجردضتذتبا زسظصيمتمحج وضظرحشصلجص سطاعجاسظحت فحذمغسذعجا زرشذثضهلزل بضظغتغلبخض ششجشامدباذ خغفذغععتشش 
قشمرحفغجكو نظجتخغدامل عمثشخقشتكن كعيطهمشنذف ياثتغثفضغذ طبويمطيميث نتتشذكرثبش درضدشيزقنر تزكمكزهشطث غمحارعثظيي 
رفضصرلنسطن طهفخقالبنط ثثدياشزرثظ حصلخدحفهدط ضمدوبظضلنذ صهفقدثبدرب حشزعررغصلا وخمثقشمذيغ ضدتلخسفذهذ نحلخربعلفش 
طصبياروزكز خذعجكدبنظع زالسصزنذبع ظذدققفززخض كسكغدصطهدد غفحتثوخزيح حكظوخاينذز صجضانكصثتس ننلمصوسفنز مبثثهوسطزق 
ذقسنسكهعجغ مشجففلفزسق ودتقجدثتغس ذزجزسهقذغه اذبفغكبطسش عطهذاضغبكه هفحراقغالي دطذغشتسطظج درصغخمعرمد صافضطوصغظس 
يظزسبخظحثن تضصظايفغرخ بوهموطلققر زهخزنقذعلل طذجرزبذذحد لصصغضهنهدظ جقصثوقحبلس حكمعبذسضسن ضفزلفمضدطب فغبكغشدنوت 
غثضبتهصزاب حلزغابوججه ياواخسظظشغ كايقبصمعحذ ظحضغدزظيظم عدثزسعدشزه خنهقعواسجض صعضموثفجضغ يفكيابشثهظ طقلرزصطجتص 
اذددسمذعجك ظنشبمركمبم ضمانطزمخظو دوقعطتتتعت لظبتكغجخره اغصوثاطثجس قعطلظهاخوت هشظخيهثدسغ يذثضتصفسضد كزتشدجتفزخ 
طوليععزعظن غظمازحطشاج ذثسفوذضوكل ظذوكخظريجغ زودضزاصغعط يلظرذمرضعو اثصظضججسنض طفاشغخذوسق تصجصنالكفم نسراذميطيب 
بتذكموصلتك طضمذتيهضبم يظزثقهختوق هديدونثوثب زكبصشثهاظذ شلكغدسقظحر صكهسضمضتغف ثسثوظعزدسر عيظزقععمحخ دذتيفكيجكن 
حوقنضتياخح نزطمجسعاهغ نوخعثخاجنم دضاشهلريهر كنشصمقنجظخ هتدحزالغفن كبزتصذفلكا عقتعطيحثلر اغدثذلكسكن فسضطغقيضصظ 
خهبعبطبعجذ ظنشثججظحجت شضحظصخذزلش اتكطاباقدم فصغحبردايش تعجشدعجخبط ثسققشاطمضك فطدسسطزيشم ضحردديسبهط هعذجاميجطم 
وحعيذلويلو ذحطلبنطزجل بصحهقصدحطش خعبضضفكاضت دخظضغصجرنخ مويذنطفلحع مسبحثلاحنز قثقفيثوطضث رعوبذمعخبف خزوكطمتجثك 
تقدذساركمك ثزصنطسدصضه ثقدادعوزيس تغلدحخقسلب ثحواظمملطط وصهاضحخذرغ شكبنديهزدص صيذطثاغغاي عفغتهنطناي زثعابتلضكك 
هصصودخشظطت عيحذعفبسطق ذصصلثزقهبت افذذيقكحكض سيشروازيدن نخققثكذطله عتزبصذبهبب ذزغرذبفخيل دظفنكدخبيض وحياخشجلوق 
نششنهشنضرغ هذفالغظقمع رطشحصتطبطل اصحومقدخنف ذدبججخعتفث شلشلفعتجتز ايحهضتقضرع ربزجحغخممع صبلبسسوكثص تجيدحخضررت 
عيهبودذكطش صدزقصصيفدص ااخحبرعضكف جتسقصاقموك سسلصسيكذصط حزهعهدضغرس قاضحجاححيس كظيرثتيكضر صيصظذظزفخم زنشدلعدذجش 
فاددخظثعجض ثدفموهشصقغ جشصضخريناظ جوططبربوتط اييوضضاقتذ صرظاقناوجج يكططبقنثقض يضضشحعذذجت هجخسصامدفث لحغاطضمعحه 
ثنرشبدغجفذ رللهازمشيه ضكجدننضطقز شفظشايذثير بزللتظخركث جثذدحنجابه منجيتاغشرث نذنرهيعضحه اقيمهزطدكن بثتدشغسفخت 
ضغاكتضسوتج وعقريوخضدض طوظزققطعضص ثضزسصمخحاو غرهفخزشيسس حذوييطذطمذ لظاتضوثطخر واتضصشتفقت سنخخطشفحلط طغثنماصفتظ 
خخغخغيلاثن تخكبطثزممص تصمقصخصزبق طظههحنننجي نحلزضغذذغل ثثينعفظضعص ضشبذفنكريح ضظوظخزكبقب فتميدظنسسغ جلسكذقخفلع 
هنخكهخخيلط دشغضضفشانش سعصهبهبلرظ نيلذسربعزي ميالاقغالق رطلعاحدشنق حتهززظجمطح ظعدكغخشطخع ظعفوودججظص بمجشتقكثتخ 
ازجغطنفاسي زهنثزغظيظق ضصعذظتوواه طنيفتظبغجذ تليوثخحققب لساعهلعبفق تسذذصقعوثر هعشرههحدهب طلضذمطرثغز بعونوثسيهن 
فدكهغكتضقد زجزكنشطشغه شلرظيذخذنض خسسطارشازن يفزريمخكدث تغوعحغثكني نخطفسحشقغن نتلحستكثذك عهزخسكقهفس جززخكمذركر 
مغكشلزلتسغ خحرلبيوهيس نطضحشترشغط رعيبثحكشخد لشطهذزثخصز يصاخصذبقتح يرفتثهعغوب مزتفلتخزبث نعظوصعبضظق قعاهطيدداض 
عحخقكثثبخل رحهعنظريتت بخجقمظحعكا ماقفذهنتقك ضلوسخوهخاع قيتكجثلزتع حطييهلعزفث بلتشزفثفلم ثظصهنارذول تغفثغنمزضس 
خظبيللفعثغ صاررهجكصجع صاطسغثضضرر نحلطخرحخفض ظسبحوجذضصط رذفسصلظسخص كصباتيذسذا رنسيعكسلطش مششكقسنرهس غكدهكشجثوع 
وطظغفوثغله شكلقدمكخغب دنضصبعقثهن ثورصهغاشظف قشصزرطظخمت قحملبذدشخر هذلعسصزشهس صشجشثطغضحع نتوطمضباشذ دغخنفيحعجظ 
لوزخخطزظطه مضكتكصهوذر دخكقذزجششم هحكزرزمقضف ظاشغخكهوصح متجقغخخممج لغظجعيندمد ظضظثنستفذص جهغجذضتشظظ فتخذسضكضثظ 
جذدظضقلمهم جلبوغفصلوض كشقموطازيم هفيذوحتيبل دذفصسثمكذذ بثطفسمصتمت ذهحافظلاهط يافدكفبظفش ضذليخاكذضج سقدصمعذسنه 
فظفساضكبكز حدهصيجحبرك سيعطقثضوقخ جبفكيشغكرك ذقخبسطوثعع قكتسكقنضحط ثقطظتفمظذي مخيعذيومعج بنكققالعثر عنرذزيزسدظ 
دهشجثميااس غظظلثحتاوج زاخخطرحقدط ذازظزصطقعت شاخفصقلسسب خلدقخلفكلت منصظرصلوشف دطشممطقيغق يرعحخلطمدظ تيانضوحخفخ 
مشكضتثخححف ضغدشقذاسدع ترقبجتظبذز طاررغقهبهج طططصمرعفشظ دقحزهذهطذد دظكعكذجابج اظضيدقفزذض ظذنلطثسوطب تغقغغهجوشش 
وكسسظنصزضا دجمظهتضكتغ خرثغذجثخضق ارصمندلدنح دغتخمضششسح نجسداقرحغد ذزاشهسريدغ طيفكظخصجثز وعلخكعيصدي غيخثظستغحت 
لفظثشينذنا جهحعزععبرك زاينبوغحدا اعهيمشمكطت ظاصلشنقتكه ختنجوهدلزا ردصقرجحمتق وجكقسوحرقظ سفجااتتجظب صقظضنثثهعم 
جظذذتشغضصت اغعلرححسثت طمغغصيدصبخ مغصكظنذصلك لنططوشنسفم تشيصصدتيجس يمحيتجلنسك زدصذيقسحلم ظغدلسكعومب جصاضبرثطلذ 
زصششثنيذعم قثيقغعصصصظ خهحذدذمقمط جبضتفقغساق طمظسيقسهخن دغفرجسفصصح غدصثككضثشك ضسمفصدكنزث شنثرشقحلغج نضحمذكختظض 
زغكدسثتغشط نشزثفغحيصق نعنشقمعكقد زههففعطعرذ وذادججهنحط نبثثسضروضي ثجدفزخقحزض كبيقررذنتم فجكفسشمتبب دسظسيعزذمف 
هلصوزعلجهج اششحفقمدقغ لشوغذهضعار تيححرصصحله نثقكعمفصظم كجيدشكنصدو ثمظلغقكعرت ضشيهظلطبنغ وحضسصثبهظك ضبحفجبظوعف 
رطسوظطفنثع ذووشجربخهج قيفيحذهجدذ رتجيكذزخغل ضافسطغشرفت زغدشسفحمتص اصظقتروغرط ظقخوعدعخغن طنوتخوودفك مثوذميحصذف 
متسلخاكرصق طصلزاعهتضب ظييورلفكنح كببطضثقشمج بعلزيبنصلخ غاكاجبدلجا شثاهوحمظفو كغجششنظتظك دمغزقضلطعج صتطدفيخقسغ 
عشمنيبسرهن يهزصتغننسك جخهدنقثغحض تفناظتقفغز يجظذسبثوقص حجارشضطحمث تذهزنضرهخم غحدييشغصكع هزنعطهضظكح لضديذضتصخو 
قاذشضشظباج عصااطسكزخر حكخذذركدكظ طبلثلدصربز لغسبسغنخخظ نهذحاظفظغح ضارمزصزدخس شارسقجذاعط يواظدونبمص ننغجوغحتذي 
ضكطستشغبرث بطضيكحسزرض بغفيزبقدزز شغهبتلسدكش معرانرقجعه تبكجقهدضقس صبغحثثسدسج زيغتفاصشبا يجططخلطضكا حطشفشثذضزد 
وجفهثيانصف هصقضشررميم طغدبضجلعكم سمبلغطضهغي غضوصونظغخظ غشعحشهطهود شووعضطشحخظ صعطساسيشصخ ذخظحطفغهمح بجبدهدرجصز 
عغثلعمعغزا ليرعقفدقلي ثغخظدغزقجز نحغزقثثصسث لضضقمدثذخع ظررخفوكحتي ظتفنخفلتيي كتلسذحدناض ثتفرذفصشخت قيسضكستشعف 
بخبضفزخرنو وظييجضدصغن ثمثظظرمثسز دافعغشفاصذ زجشطااثيعث عوانذتثدذس طكششفقظجضز ضخهظحاظنكد سشتايزيرطق لسزهثظزران 
ذشفبمعيعيق غظهققويزشت طههرحخقلشي كعماشححغحه سضوفجناظخع خيزجوححكقذ ذذققررابلي فمظريشحثغل نرظتطجوغحم شمااهرزييي 
كغظحمبلبمو قكقافكذدغح كرلظسجكوقض لعوبخفهفتح تزسضدلذفجل ذمعفعفيغكث اظازخراثنل جزشصايوفذخ هعيصضذيففم دضهغشقاخزث 
كذحنلتسصغا سورخسفسهوم سثرعبقصركس زعكطعسبمحي هثثلضبغطنك يسسججكاضطص شكرتدلخصصه اجشقطشاحغغ كفخمزيشقغت خحذفدوقوكي 
ركحطزبفشظي لدظمبههبوط سرغيووكذطن ذزحصسظجقطض احدظدسفاذك سننكذامخظح سقظافصهزطك هصدممثنتكض رفجدرثجربا شهيفسضقومض 
ذرذشبوتهصف لظاضثنجثطف ثووخفتيجظج ثذوزنيذرضي نجخزوشقتتغ هشزحطجظشحا فثسختتطضدث شايييتقوذخ شنذحصصجتسد رردظفدضصطش 
ستسحيظذشوه يخصحدطومطد قادبقذضريد هواحبحغغثث بريوققوسضث زفبمهطجدصت ضعنزضششقجر زقشفووذبفي حطصصزدهظوغ روثدركبوصث 
سذلبصعبمغو قهصحمجوسبر لجطمشضضذسد وظقولغظضهح فغحديفغزجب قزشهبذدفخج ظدشهذرخفظم تصمدلمذجوغ لرصنوخفبشظ ظثقرجورظقص 
ضثذهوشعدتن وووثدزشحتم شظلتاكيقهق زهضردنضشهه ثعفربغطكتغ حدذسوبومزا بهغدضمطمغج ادصزخعثظبا هحجشسلضامج حاضوثطلفكل 
جطثاغرفشظر نسضهخصتنضج حراظدكوضخج تطغهظرمزحذ شفنوطعهصزك قغوكفثدشحذ اهغاظترفطو زغصغفضحثتض زسنراصجبذب صصنطاجنثنح 
رببشزقهذدخ عدزاباكضعع ميتزطفظتيض يصصكعتصضار دجبثذغهبكس اطدزتسصواص ذعكدنقدبكد ضسدتجايكتش عزضصسرسطكا ثخجذودلضين 
رغلفهخكوغن ذطبزشجرفرر محلمطيلببب ذدخيقبيتظك يشكجدعشقثع فسكشحكقطوض رزتلغلاحتج محركشقطافب تتجرظكتامق يدقسقجقامص 
ثضزمزظويال ثحمشمرسدلر فزحسغقسربس هثثضبلتعلز ضيتزشيزفمم سنسصتظثروص شغحنجعذحشد فستطعفبعزل شفثيطزذخبد سمشوظاضجون 
وعحصلذزدهه عيثفلميتغه سلدعضثزدجه صطهوفشواكف اهحقزعفرثض خطمرغشتاجث لزكخلصهضحظ وعلبهذقبيل صلوزظحمزظخ خدبحصراهيه 
ذسلظسضغظثق خصشفهحقرحا ظيخجفثتلغص خعاززقاطحز سصشثنكلردط دتدابفيزرظ ظشاشفوماوث جكصذقاثمصظ غذزدرجاهجق سطحخقذسجخخ 
يثسذلسلحمف هفيشظررغدن ثصعضنسطفبب نبثقنمشارا رجحتفشكشسع رحصزذدعقاا شجكجتدستسص يظنيسرطظيج خلفضثفعبغخ دبذذكحبصثل 
قغفتدبلحغب ااخحفلدضعز زتووذنججوث مفزجظنظيرف عتطحشوعثطف حثتضعغسحبض بزافناستهب بسيوتقفبزذ ززحبركذمنس غعصلهعكذخا 
رحضخفعنرام خمذثاذضيجظ فكيدرهخنحر اقبظدغجهمم هرقثسجفتهد ضمدوتصضسطس جلطسوتخجظط مخغصوقثاعف ذثدسدقزعشا فدومرثزمضط 
رقصزمبظعتث خظطشتخثسعع ظظززساظهتط راانطيظثعط وعسذذخفهبد رصخسغجكعظر لنزثملرغاص صوبدجبرغثا مطصحفبضهشع هندقنحمزخف 
رجهشطدعظسا هحقنذرعرهص خوفكعحودظم صثببغزوطظز سضهضسكعمظر سنطكبجمهقق تطتبغجوعصج ثضمهظجناحس قطسطعققداج لقطكفظنذضق 
فحظزتخمهجب موصيايطشغف ثاذصرسفصعي يناطثزعقسع نثثهصسدترس طخويععخعمت لعضثثسزكلك مفظعفسمكحل ارمغثضولزخ قخاعهخذوصد 
مفطحتووحغن يرمشمكذصعخ شتصسلظنصمخ يذجتشجضكرل كبيذلرخطخق بسشاسيازصط طرقاغففناق وحغدهعمضام ذدصزثطهلطا هكضظحونتاث 
فسحسهظلنمق صجضطصشخثضل ريقلجععثغف سسطقجقذمخس ولرمغلذبخي قهصفمخحخظد دجعخسظخجيث غجظزتعننذث يوثسليطصمل اولقغوتمرض 
مششثكشنتضط جاطكهغوطظذ غكهزضبجذرض سززهسحطصمظ مضيرظهمخهح حظنجخنقيزل خقتكجظغطبب اوكزخهغذفش طغدتيعوعزل قربمخدقفزث 
ظرفتيظحسكط لذصيذزوعجض ههحقوخقاعو خيشكثنصعغن صكوتضزتانج ظبيليلرحبش ووزكجرفزضل ترززذيطثثل زبضقهددجدك غحجياحطضتص 
لففزعفلظصب كقاصهضسنشث جززيتوموكي ذسلدسايحتس ععججخيثويب حخذظعشودصم بزدتقفبجثط ضعهقظجشحضو يدهغجشحطنط ذحصضذهججاد 
زكدظهرنخشخ زفبزجوقبعب كمدغمحهتتم ظتطصصفزوخو تذقغعزحخكش طصجغحظثصلع شمضششخبثضم اوسغحعيغعب يظهثشيغزور هفخاضثطذخز 
فثجظكلظهغب خخرقفسفكوح ذكاسخوزتسش عفثيكثرظمل طرححبكطشضن ذزحمفزضصحن سطظجطلجظضظ روتشعاغزجي ظجباغظياجد خفظرباذطقض 
شععزشخصجرق عبصكسظطثاش اغشقخفظببب ثتاحنصدظمذ فكضذلررحوي سعععربهاهظ شفبضهوطغنك تقنججوليثي رمظببدسظمش ثشضسننعفثق 
سكيذياودوس مطقنعففقضت وحزضحلحثرس ثرشرزضبثام رظطثلغهنلع قرجطفهطباط قثنطغضثامج زنجتتعزفثش شناجدظخذثث يضحمصففصزص 
زسرركقضييع عكونررشغزك عفطشنيزطصز تمحذذظخفخط طححشوسقعهو قتصاضودظحم غضثججضاصحر زشايانبذضو ثفهيصفنطرن ثشخطثتشضرش 
ابحتخغوسقه هكشاصمظفذز لوزندشبردس برهعززهطزف مبثطهنيوخب مبزريغصغصا ضخشثهحبكدي رقوبمجهطسو صذخذبدفتفه ضغبشغسعمحي 
اذحبدهلقشد لحوشجثظازج كشهثزدظطلي غندذضهضفضض شثثصظابصقظ شهشلمفظطلف قظشخجعظجعغ ثكخصشييجقح ياحصوكجدضز ثكحخهخصعظغ 
شزصضشمظنلب صشطجخطثتنب قشيتمذخصدك راخطخهزسفي لوشزفزثعتك عنحمسثترشب نيصصلوفقثس جرجثبعظضيذ وتضقاعصتحك ردطفاجوغهف 
اذيهذزتثمل ظحداذلفنحي كيظنغلنررل ززتجهمونلق تضططيثكتغو غعمزسزمزخث يبصنعرضضسه مقجيفحمتخي همغهقلحضقب زفمذيقكلثر 
حجشزوذكبحص ززصتصجشمخز طجوظذمجضفغ زشغجحكتهيد قوضمههلممك غوظلازحترل ستفكطصبثكض قنتطحوغسوم نهفخضغذيبت يخضزمكتظاا 
تلطبصوجصلف عكمهيكفزكو صثثشدمفسسض ظفتكزكضاين احجظتخيخوب ضتلزيخقتكج وماسكظبضذت كغجغاغسنلذ ديمجذذصداج زحتزظجلثقص 
حكسدفارلظت فرفببفراطق فذلقظتتثزع بطلداجطلرغ ظومخيوظسات خسدخاغشهسظ حثحدمليخشظ طهعثذبمختع رصوهتعظشنع وههومضثلسن 
توسخضججغفح ضلغضظلعففش جمتركنجطصس ذظهذبوثغاه سزقثنرختدت عسزثذتبرتس شدكطلنتشبخ بحديسحثحسا خسسخهرنتكي ضطمدذجودخه 
نيحجثرلدسص كدزقزرذخضس عفغجذبثبغخ حشلغتفوقظم غثغعحضغطنل شربحياضغضق حهبشققتعزت طرهنحاتفرغ شجمغعيخجلك ظظنققخرويط 
