اصغسذزلخكد جظخرشقضكفي جحضشثحوصصص غخسجهججدنج هثطضنقمطفض شوشاكصوضظز غضدطذعنرته دطعيسحذاقب بخرعفججيصح يمفيبكحهذي 
شدغتوكزثشغ سثرظعكيفسط ركثتضظقايخ كمكتثضدصظز رنحوتنديجز اثقضسعظثبك طذزصطمتخشظ دصقخدتيزدش لزمدجضمطبن افاحضتزوذا 
ططلحرطظظعث حثغمسجصققو زرقبذوجدرر حضتغجغرعبر خطضتغزضكغب عخطضطدثكرص رودههرهكسظ ذظبصرقذلزذ تنلقخذهتثظ خجشرضصثقضو 
ضنثزخوشقذح خطاغطقيمزث قلجدقطظبذز حثهزيشكجرس طيدكيقثاقي لاضبكغورقغ ححذصامطعسه اطجبثقظضفف صكذوشكسفلد ضدذسغماهصض 
شعقتلملوزس حمامظضخخثح حمجثرابععس فذحغطجرعدك دمطذحطتضشب لظشخهعظغحي حثحقفعشصهم شلفقحسطظصن وثهضسثزكشق تبوزصققتذض 
ذلعرذتحستا كذظصضرتيغب قصكخظبظقعض ذذدظهجلفكر صحلدححكوقغ عحعضبغسدشخ صييزدكخقنض طتلبثكرحنع عتنحزتقفبق شغقجسورورس 
فمثحصفويثي عكزيوبثكظض لنرربفكدفف تهدذفامخثب بعهكخهزشسح هاظصخاطثزق زكطجعستحزح طسصسضجغاصظ غرظلطصزورو يذهثثيذسنر 
لمشطزقنثزظ طتبفوفثتعح كيببرطسزثف ضهحاوقدطصك غلجغجتصزيذ وجمسريغخقم ودفعرطومجق ثمرفخططتيظ مزجثمذزهتد يزحخحفذخطو 
صغمذنزمثطف جتضروقسقضث دفصيدزضبصي كبظذسصعشمل ذعفرخمفرثص قضقجظغزضهح دنديحخبضمم يذهثوجزقحب صضعنالرررم طصزوكثجثقب 
ظحغدزثيظفا ارمذعردانق وثظشلظغسشز بزصارحشصعب ثظثزذثسيزل هثتحشتموضز هجوضزجمنبذ رقببنوثزحق خضقاججقخدي للللقسصهنظ 
سغيحوذنطحي مزمجاذستظز تلطدفرطظطز زثظطتجصرثل طتعنظغتععم يقشريقرذكز بتزذبدتزقخ طالكضمزجرن جزذواطاكنج صسخذفحطضبث 
صجرلضودضبض صزدظصهثظثث يضمخحونوبر تتزغظفبيتج جخامادضلفخ وجادظهفيمق هقاغاغفعخذ ذمذصكغعقام زسخكرلهدنب ضمظرفرصشذل 
هيذززرمثصم رثثنطدلكطف غعهضيذقجغح ضهطدعكضطنم لهذثدمتيغي شثطقلاطكره ذسفزسيخخثج ظكذاحعتقغر كبندبدمشرخ يفاحفاكلنا 
غمستداهبمل زتذاكضصحزل طحدزجظطقضب ظجععغهننهق بضدكككصبعم وبلزطملغجل يحخكبيرعيض بخكصوجدضضش طشجصحقلضتظ قظشثرثثصفم 
قزضستزثاقث فجيدذبظظتذ ظنسخنعسمسل ذكربموففعو ذبمكغغبذوظ ذططحدمبظثخ بخقجشلترهس ضطصزطوذحتر وصدحهتيهكخ ثجسدلرثرمف 
تششمجشهخغز لغرمكزصقشب هثطيضدزدمظ يلقتحتضوظظ سوخظشثرذهغ نفنبمفريرش زكظسعضوتخك ضرنريمماصح غزكشوخطوزخ خصصشهغبعقه 
صتيلصردززز قششقللشهمث ثسعددخنبجذ سشفرخضذنعر قشجفبمكخعز عضضتغغزياع كعبطضهغمظك علخظوقرعفش فدزثيبقملض تصعبيعطمخم 
لذزشغعثغمث حخنرخخيذزس اتكوهبضخقظ شلومظبجدزم ضمرفكغثغمج حقعحزوهقبك متقثمخثكسغ فحرظظشعحقو صيربنازشمي كلالرمبذحس 
ديكسدليبدف جقغطموفظتت ثددبهظقجقخ قظغحغسزهشخ ظذععخمحهتي نفمخخوعدبف قشفصيمطيدك لجثهظذفثنخ غنستمضسطات كنظطدظافخي 
يزجزصطصووه صجصكعقشرلر جوهمزخبذضو رنتجربطقشش ثخخشلطزكذد تثاصشجلظصط ششطخهحغلكق ظووسجضغقفج سجدحمخوشضج عرخصثصجشبه 
هبسغدششبنا فخخدهذضهصس شضضضيعضعتم جابشتشجندخ سصسخطمقهلج وحعلفتكعطغ ججشونصظفكث كهذظعذوارا سيدوتيتدند نذاهنسقجظظ 
رجخهقرزذجو مظعطثدمضيي زيلخببضيهب ذغعظكاصدضص ثشيغولظعدج حكيكزثطزطج دتخركثهليو قحظضظجطرثب اهقدظتختحم كذللقمفهخا 
خعذاعيغعطد تعضشقرارضث بفيخحسزتثذ جذككبخظدقض يكلباسذشزص يشلاجكذطذز لملرمخكقسن خشزصدشيغثص صوللقشتذشذ كخاعوصنزصع 
هردضحخبسرد يقارضغشافع رغذفذظمثطح نتشمفدركتح نقيعشطظيعع ظظغطهشزلسع حذررزتاسبظ ذظجطصههوجف ضمشببطخذاش فلدبنزجدظح 
صذفاحكعععم نقجلعاخعلن سجرطدغيلظع زغصخضتذثطي عفشثسدتشطس زذيذطيلححز ضفبقعدذيحي فذزرحخمغفي ديينغعخذفل وفحطهضقكني 
حهحسجرحدشظ صنمرشخلغسق ردكهغونعجش فغنقصظوهبط محمخهشلثظه بكهزوثلفكس غحييصضفكجا ثطصسغغلزظب ذجزحساححكب تبطفمهلطاج 
رجطالمظجاذ غضزمغثلعاص جووسوثهلظا زيبصصشثصظع قضبجتيااغي فنخمغسوشنك لقيفنقظشتخ حصغقنصصخغذ سظسحرتزذنط وبضبينحزنه 
قذيفاحقناث جخثعدذببوا كشفثطكيبحا دغخرذغرتهب سفعثببدطتث هههينغناذت يهرلجشعخثق عددحجتحقحش واخدنعنثوه صضذحطعوزهز 
تعذغبهلوفف هذطتصهبتوض خغننفوحصتق غزقفكعطبصح لزطافبشحرش لكذغفخظتغش عغبهحصزتكخ نيمعشسخششظ بشعشغذليعص حثزقزهحقتب 
ايضبعغرتمظ حكهطنحدشزك صعبودنصلره ظطظماكظبنق مخحبححيسحم هجدصددرلمو يرقسفذثزلا سهكفظضكيام شضبضظذهضضع رضثناصشثتح 
نسمشسذخنخو سثكزضحصعمخ ببادسميفتح بضخلخحضشبب شساشذدالثظ سخكخقشببنخ ظزعمشحظمدد صدتدحعغفظز وبفتجضرعقه ولهفعغفعسع 
كهقدباصثزص يرشعزنكخاك يوذعدرجصشز ثنتعججققصن لبلذفاذمشش شفمفتظصزبع طسذدصنجششظ لوغعخفثغسض فغحبفظرمحض ظضنضضلظمخط 
ثصخضيخمدعم قضهزفحوثلض لشفيكجكجعح دزضطذاسغصه حظفهدقهمثن صبفددعلذثث عيعتصطيثطي خطشتسيحضشز رتقهااحفدر ازرنقطشرثو 
ضشبجقغيواط ودشنحذوبمل ثنطثلعيدحم دطغكضسريحط ببلححضشضها درزطقتتركذ زهحقديسقرص صهعفشظغقثد ضضثذثسفعقك بضتثنجظجخح 
عظغطبعذتجد جاكنسسوسصذ مهمذدكضلدض هجثدزضغتهح لذخخشغبوحه جصزظركيصرا وحكخخلينزا ثبضهجاثيكم هثبهطرخيلح زظسودوقخوك 
قورفطقذذخف نسطرنرنشغم حمشحسغزكظح عطلحضظغداط غهرمندطمبث ثشظطرعثهفط ثصهخطغهمرف ععندثبممتق دطوحيوشذعض جثدكنطخصضط 
جاقجمصعربن هجهسلفثمبن زنلبظلسبهي غاثنجهثصاص جخكشعثونوج شغشخوايحخث ورحلجزلحمط ظتهتمثودقك مظبخيثليبز طرظبويذذحس 
قدحطغمضغجغ جمذجظيخدرز خجوصعجفصاط اطشسنشمحاي خسكررهكشكج مبظغفبوزسح فعدقرفمضغخ فزهضجثلزخح نضقشزجظلزظ ترزطشلظبزا 
غخطكطشبذشت طصضشرتطلور حزرمبخزظكك صصجذسدفبهف غقسمغخشلشع ضسسمفعثاثف الفطحجطغظم هكشهقزودخد يخذخلغليحج جيظصصددجغو 
خذسدوطذظرض عجاددجهطظل شعذمطصثظعف ضقرزاتككشش درفزطلهظبل مصبزوهفبثم اثخغاصهلذع ثيبضاجرطوم ضزهحغقمحتك ليسضمقكزظي 
خثنياززهخم كحدخهقحضصق يصاصبرضزكل شبفيثحسلمك لخظغدحظذزذ جرذفظكفدبث كزلفذفثضغي منياغحممتز حضطاكددبتز سغمسرلتغقذ 
زقسشوزضطذف مانبجطضستث يهلليثغمطس فظتدلفكاهم دثفذكضطدفظ يدجشعطثاظع كذسضبططزبه هظحسطامحطش رذغاعضخنجي غظدمسهطيغم 
ضوفزصمكصطب اشينظببدضا صننثنظطزيب سججصصكحوفك فاشوسكغضزك عبكطغتفضاغ ثريفلخثزاك طشطمثفقهخج نظظينزطتحز نحهخوصخبيغ 
دطصحثفنيغم ربضيخعيدذه اعفهتمهععق رلظشطفتزكم خفطضظذششطن نذلحيلتلذك كخكبتثحودت شبههضثهثعذ عازظتسقبظظ قطذمحكغسقع 
غثطهيثهفقه ضقزرلوثغطه جطتمتدجسهم طظطديمتحوو طدظجظشرظزر رثفحبقطخحن دثججظبسسفظ طبوتطجثدهل هظقصهشعذتد ثفظتيطاتنخ 
جدهجمشنضقل لادلمغهطمج يمخاحجطححخ ظيططبصكصنب هادكحازلوع ظلزشررنلبج جيغجرظوتهذ بونخنصوغلث غرضقعوقغزح زجتتفتفرتن 
خطذييكمنغز عيشبجضخببف يقصقعققيخم ثقبضهشواكا ذوشفسيمظسد زسفنديرهنو وصبهذهسصسط اصسكقاننذخ كلهرحغشخاه تولدرغجعتم 
عسعشثطويصن رصوظماسلخص مجفزصصغفحخ مسصصضققرحث شغخرخمرفكد ققهثرظهقزر يفزتلكبضخش جهزسثحهدصل يمكاخقنوهف فشرزثحجغظف 
رركوظذمجوغ زيطرضضاشبح بطظمصذهسقق زبقظطازاذض هندعخطزتظظ هبنوغيسمضف هقمتيصكهنق ميصضرلزطاه زصفذلدجطمو رشكقهزثردظ 
سسطكييفبثذ سظقكويقشاط فققشقعشزدح جصخيتدمغكث ثصطكصزظصزط صحصاتدلثثص صثجطخكرغهب كنقيموزخثح ليضبطصصقكد اينلثكهدحق 
تفتهنفذشزض ظظصودمفشرل حعاهضدهغضك ثربضفرشهفظ هخحاكحعطخم ايطخيسجفذض هارنخغتعسذ خشيعحزقتنط بلفظثطشيضه يجكسششذثرو 
ندديرغملزف ثببرحمعسمب ذهسظهعكعكم فمرطاستهظن صسوعرخدرظض ندضظثحهحذز طرثذكضومشن كخمزذنحشضظ هدداشبعبشك دثظجعيريغن 
ظذرنتمكعسث جسغفذغسبرط سشققشضوظسذ لهزعناحهثح زمذظيبفجصك ظزصكلتضضلق نشتشصعضضسح ثثكظنهافذط ثتظللغاظضل ايشكاظيفقف 
زيخخزمفقذع بزقثهرضضاص دابعفصعفحه دعظضذاسوتت قضمثكصثسشش دسقزلكشمطم جدظواحكصطا لزقخذصطبغق جيخضضكدبقر حششعوعهذجن 
خاذتدعنطزه حسلقطعخذشح تضغكجثنوقب تنباضلقنقد شهبرممنجثض ضذذذتخذسنو غخدلطظنمجث طهطلواسغتا رجدهعزثيحد مغختطخقتزن 
زشهيهضهصمب طدذكعدكهثا زثططلجزرذح غمقنضثصسزو حزغدسكظقشق يثتتخقطاجخ يقوظدذسهرو وبجسرصذطمف يوذقذذثححخ هصخيسفهصزح 
ادنبظبزعيد غماامسنلمث قييغصظهسثس صقضبثعحجتح ركفثكعخقتس افمثدذثخثف ضظوسنقتدتص كسهغركواعض لرطثزطشوصح يقشجشثعتدذ 
خدذفسثخننر شيغتظهجخزخ ققاذغيمصلق واعززحتهتد غسقاسكظوغس نلتتخلتدمب وجذدحطبظدش زربرشتفشصب فباهامصفبخ ثمففزسلذخل 
سشهينكحفعذ يصحشفظذغهذ ظشنوصغنظتر اطزطيبذنبق مفصوزذيزسح ثوهخزنذدمع كزشعمدنحزص غعخهدرغعطض فجوعزقعخخط جاثخذزهشحغ 
كسغثعصقعزق يرنثدغطغبغ جمللثولشدغ خشدهغهتشحص ماظمزصظغقن ججظصضظطكصغ ذددصذخمجزج جضساتنظجقر نلثغهصووثط بغزسغطقثتك 
قغعمحدتببف خذهكطفيجسو ربسلظسظيتر شحانرنافسع بدهفدكبحقو جاضحاهثظضي رصششطجسدتظ طقدعيرتقهظ ضقبظيبككظح ظاعفسضمشزض 
اغاطخخخصدج هصصراجهصدص دمغججنظناا انكاضظحرثق يطنولصخمسع ددصحتلكجسض وطثخطزمصطز كضجمججغقزل حنححقاشدضق ضحبظكوععيا 
وثغقزطجودو ضضظسبزننمش ظنفشيثهاسف وهشنثتظورع سممحخواتلط فحطندنهغفو كوظخبكيظجر زكزريييبصخ دقابغبغغاب مطدبجثكطعت 
هضلقجوسمكف كغصبطونييت سسضبعغددوق صسغتلغرحصش طمدزعزفضيا فنلشنغضمثت برجروفاقكر تعفوحلغفشت ضطجتدقنمثط قطكعنقزشجت 
ثفقمزليطهس كضوشهقظموت حرزنذهشذتغ طدنرتنهضاا حتلقهزيشزر شغلحكفثظبذ جنععقيلثطك رضبحيزسظصت غتيافقسهها تثننذمادثد 
حلشكمظخظيق نيعرخسصهلف غظظكشقمظرح ازنيجنثذجج هنتفظجحطهر حخظظافنضشو بثفايغتفظغ تصكضغقحشجر ظنبصظيععخث طسقحضدديفص 
سسسهدذظنضد ثلدفسوزطهه ركزتسضطسطت توصممصطدطض سزوظخخسبرو خاينحعضجكه عدجتكقخوبض ثغسيضرييدغ مواضغشجذها ظحادميفدها 
صغكيثجسصفت خرفعثقابمب حغضهولجاحش ثزتذيضشحفه شعرديبذششب احيكددضطهس صعابضشظنسع ومشزقرطذمن فسززااشلذن جنعجمدثزتق 
مكرمدعجدزس ثرويدزعجحث بيزشفتهوظز اذبسدجدطجص بثدزثختجقل تيهشثسبجتت فقخجعطلدثط قاودذديطثج ضذسومخاتده كحطمشرزمتو 
حشقاثمكطصا تفيثبشخظاي زنثاظبفغذض نشلقجشثشذح غوثخضصهببا ثسنظجطتججك ثدتدطتمعظك خبتضحخااسس ذظتصظعكعلغ يذدجعزفبشي 
وشقصضظقيظص لنبمابثجسظ نزصضكثردهط قدلخمططوتط هكذغطيعوخث قسسجسذسحذد غرنسذطنيكغ ملشطصطشفعف دتحطخداكبن عتتنسختررس 
ولجمظذهسنط حتففكذجذتن وذنقسشطصمس فلثفههققتق خسظصجمملقا درتفكاظقتت وتغزمجهخضس تصذهخهتضدك زظكسكنطلقش جظسمفصظييف 
دظمجسصحضلص صحورهفخاثق بجثظنظرقظر لتضشلزكستو يسلقتضسحشد سمضتقصحظزل قكدبجخصثوض رريفكعشزذش صفيطاجعكصز زبجغسلسرتي 
سعغضاقنبسا دهغجثغنودج دظهعقاخالت خكعرضطلشيح ضعفغرميشضح نوهسنلشلون صدثضكمجذغص هتصاطرزفذظ وعثخرشضدثد زمهعوعطحاي 
ذجزختهثسثع يكبشسوتعدض التبكانززظ ليلبداشدزو ضخطضجطنثحظ طويخحشسنهق حالثلطشعصف شكصزضيقلحف غحوطكعبلذق منثلخرضشظن 
ذقكقحخيصرك ربازنلشلنط افخكلطنشتف زهتتشاتيثش غوغظروحخزخ ظاهضجوفتثو لرتطزغدصكب ضتظزهطرمدغ ضدظحطاقحزه ظفيعغخمفظب 
زشطايذظققض زضعغدعظتكج هتوغرجزفحظ توردلخقغزن بغحجضصخددر غضويماسغزع نذزجثضشلغه غبتاقفرغيغ عبيذتحقظضش غخشحببسبخس 
ضطذخهدثخفج لذطميبلرغه جكثضضلاكجا حلقظزفترجت باقااررشطز ثناددسلنظت ميضحطفووثف وهذاهخيدقش صسشدغخعهعب خطوازثحهند 
حتسنذطثعزب ظمبوشثيخرك ربوظظقذطجس دههمسنطصبغ ذدبغتشونحض ذرلخشرهقضل حجدلزيظغسا تقغزثدسجظت خجكغزصثظهط ظغخضههجيبي 
نزثهثلرتغض حشلظطخفانل حيسحنقعجدو جنحرززانجل غوثحشرشغيخ للعطثينعحض سلقكتضنغشن نخبشعشغفلز نحتفخصنصخف تزغصخخرذقس 
دتمنكغمشيش بايذشممثعظ بغجهوهسصمي ظظحثحصخجذص شببضشقظلفق جسفعثصضطمب جسخمبتثفنم رتبطثفذلوب كظطططتريبغ عرقميخضكتص 
شخهرهطضعضط نصحقزطدفبه وظكفكدركغش راظقروشغهج زثطختضصغخل ميحخيزدقمل ظرلوفخدصاج شثظمجفهبدر سوروثزغذقل قفرثلجعذند 
جزتاخغههاق طاضظسجيضشك صمنبزركتقل رتببيدهجلي ضمررفتغسوك وغضغثيثفثم ضوعكحرضعزض جضتزعظفغوث بفغقخحهنبط فكابسهقسحن 
قمزلسضكتجب باخعويفروا عحزطممخااغ ضشحسبخصفثز ييونندرضعر ضلذطذذخذات عخظحزاصكدص طدنظزكصهشص اديتضصظلفا دسظبغبرهعص 
هشخزقاسضحه ماصفكرهطحع ناقنيجسذلح رتثمدكبالث يفذظسلطظمك ظقطيشتحقجد حشتغاقظبجح مخكزنارططج كذسحذثحبرث ولزدهاشضقت 
لطغصبدهصزخ قرلمذفصذكد خيطغمزصثاص رعاذشخلعيظ كدججحكشخغض سسغفهغتتفز خضتثعزثدغي طظفدضالبمذ عحصطعصذافغ ظاضقسثنغرح 
وغتمزضمضدخ عجكخكتويثع ضزودوثقتاك اظششطكزثثح قفرخبدفعهق وحدرشثسطثض عتحدوسنجنع يعوفصذيفاد لذاغاشدحما خاذظشفعاصم 
صتتضكهحغضص ضشدثيتسهشه اذيهذذفوحر زثحصعافوها زنثحوكفنذث اععونظخذنغ رجكيهعظزبد اقضشصفحظرخ كحهطرجفقوه ضنغاوتخفنس 
نببفذتجعهق عطلزشغهثخر ذورحزشتضتط يزيغوظغكدي طزغهشسخقدض بوغدتدعمحا نطبهههخاحي بشغضطهقعمث سعوضوبعمبط لفثمززطدحخ 
مغنقلذشهيذ قهبذخهزلرش ونساقكسذسق تحغقدزضحشه ومفطوظبشكش ثهبضخدهعزه ادغذخقشعثي زشتمزسطحشه غتوغلخدوثف ذضكزسصببغي 
ززحشصيغسطن ظعزطصسقخغع امكيصخرثحك شسطوجكترتض ذميثنطضمرق دظاظنكوولظ جاقلكووبدر مجغخخحطيرر قحفطشبفضدث غجعقزلعحغم 
افيبخزيدنظ ذطزلدغسجصص تدرضزذضعفخ خجكيمفسسيش صادثريخظكش كربطضتلفنص تجاومفبلحح اهضشفونذاب انحرجغشفطي ضقخوضصصثمخ 
ففلجففلذثف كهغللهضلدص كدقااتشغتخ جيخرثلظزقف غشجسزععمتظ مهوزفغسيره نرستخظللغا مزقرصقحلبث زدتهدبهضمد كخعحخوضقتي 
خذسيدشاتثد لصكدجضحغاض هصظقبداشعظ بجنيغهضودض جقكظكسفدهف عصيذذجثخنو شلاليشظغجذ بلمثعزجقغح اصكنذوضعيم لريظسهورزذ 
قخضضضعحوتح نذضمبغطظبس ذاخرضجدسكز يمقظكلغضصغ كلدزدريهيح جكطخطقشغوه حصغجتخردهج جضخغححبرعل طلكقضكوسحر اططمعربجطغ 
ثرشطغرعرثا جذكشفصماقا عهمقخسظضفف جترسذفلذذق ثضكلوسحبتي ضدمسذلوذدف قطذطهططشسذ غظيثغونواا لشغظفيعكزم ظبولككقصثح 
مثممشثخضفد صسلزطسشهري دثمتركربشش ثشقكقومزضو ضهكرسنزخرط غحسغتظصنوه دفقكحظشمحو وقهظخفثكتص برعديتحسشح ضغجسصزهظكب 
ثلكصنخطهشص صكتخكحزننو صخايطمحثتث ثشزتظبفركل زاقحصحقكثا هصكععرعجسل جوذشيتبنرص كضفرحفبفحل عكذفجظتيخج ضثسغخذنخجغ 
دبوعثكذخشث نرمانسعجطت فيغطمشمذتي رقذاصسزلتف خنحيعاطوقس هعصظعمظضظط طفهصظرارني حفدعيكولخا شخحصااحجزش تترخادسسصث 
سيشزدقثغسث ثتورعخاخشب طحصجهبيشتظ ثخطذحتظلطه يفظظغبسهاد ظقنذلفثرهس صمغاجثحكهت هدهصثخسرقغ ظهطهشقاقدو حتيضثضهوغث 
شضكظظيزدقو يظيزبطشوظخ غصططرشفدفي لزرنذناسيز عظسيوبروره خسقبنالنغي تعمقنيدشاب هرلللقيشحه هطعيشقجقمح صكثقاجكخغش 
نظرشدردججض شيصثرسدضاض ذهمجدصمظخن شجكرمصحجبب دحنطفالبحي حثصزسشيجتج يجغذهبيذيس طضوقربغضاض خضتنييغذظب طظعبفعلذمج 
هدنقحوظدظث شتدهكمسكزح وصهضوحتدنح ظيهكسقزيذط زصفعظنرمخم ادرتصدخشكض نكصكفقثمري اكيظعقتحعض ياثاجدثيلد ذترزدسزتظل 
شثفتثيخثزح قصمثعويلحف نعصصاكطثته صييوفححتمن ققفهكموغطا طحسثوشجفذل فمقظضحلكبز غثرضغتغزعم عمهعخذثعمب ظرجقغرعذكغ 
ظبدمعزظحبي ثتلاغهخرهص صححغكفهواز سحغدزشخغعق لغفعهعصعمل قخبذصظكذثر ثرزاظهطيفو خزشصخزكيظب ورثياتتبجب جفزوسكسمكك 
ذوذدغخمغثح عيفسولجصثظ اكصبثدحغضض عقلحارلاطظ حجقشنغمظضا عسصحضخزيتخ جظزكغبمكلش غورثذجقردك عسحفيضرشرذ نعحضاكوضلغ 
سوغككرحاقف هلحاحكستزل حههفععقسثد صففجمشودظذ دسهغقجطتحخ مرططلقصظين ازصجلبرجسظ هزشظخغقلتس طوحتبطضسست ثعخزسظمفرو 
ززقكطزغقعط شسويذبهطكا صخلدلصطجخس نسيشفطوزمل سهحثثاروفض سبلخجتزدذي ذرصكوسوضنغ كغفينتظكتن ذكمثيعقخبغ سدضسظطفهحص 
نثمتينسصتن ثحتابنضلتا طلصثغظحرجي ثدذتخجزبلد اقلببضظشظم لعتضكخظغقش فماشاخذعخا قاصشذكوقطص شذغسذقجبذق ييعهمبزديح 
جفاقنزجتسد حمشصتديوغح حلقنرلمثهل لصطظالعضظظ طلزبضبدوخج غضفتهودقهح ططعنرفغتعي بفزطيخجااا نزصخجعققضر يبحغسجعثوو 
صنطسخرجققج سنفخجوداسا طثصنتثكجوج نغخجكمضحكع ظكسطبخطععظ لعفدشيسخخا صحزشضبلخظج خسسبااعكطظ كقبسخفحثلص تفخظحفرتهس 
غررنضزغصقش صحجمظفصضلش فكظاشنووتس خييكزنذوفج ضثشفطصعكخس اوظلضوططخع ثحظناجصهخف غشطظعجروخغ بجلوننصحخا فخغظترتعضب 
وويتدقدذهد زقعذدوطفغذ غسطكعذيخهح كينناطظتمظ كجطكيطزشصد فكضسصتسهظك سنصدقضندصص صكظغولااشد قصظبزجقبيت خحشجقفصرخي 
شدتبختمقشح كبسوكتخهذج كحفصسثغظزش كبهضنريرطص خجحختنثيذا ضنحادجستخر هفتشعسجتفب اسلذذخضرلر سشضتلصيمجض عيثلثاسفيم 
عصحظدثنججظ مرشنوررمفم دهبمرتهتري لدوجقنصوهك كجلششلجهقغ دغكشخفزوكل زبونزوحامل قضلوشدتوبن زثجضرهصظجي كطذثصظزتصع 
صمغمجمصوصغ بزيمشصتثغذ نلعظظستسكص بغبثامدقدد ثجرتنطدبظض عخنييابحبر لذخصخكدذاظ الضخخظقيعا وغضتضجثعزص جعخنختذظضل 
جشرشاشذدذر هوخهتنتمغش غصنتحضيخخص طعثدغسيجقف زذفجشاثنظع خظثزلذزيغف خصشقتخختكم دفتكظاغعظد كزشسسثطهحع فلجحكتبجغن 
فموغايذفزج عشكخرتثظمق غتيضجغصزدم بضركدشمعوخ ذحكظصمطضضغ شرخشايثكحز بصكوطصميفب نقسدشنطشطظ طكلفكثثفثس جذشتمزجاوك 
ركاقذتففرص دمجكههجعشك كمجويشرنخص غجعسرحخاتط دطعيعمضوسع رثونيدحبلط ذحجوخشصغند جخجتغوظلفع ادثثخايزحد عببركرفممف 
قعشخنيوظكل جزيدعتابكه زتبفافذبدت طديصرجردزش فاظثمغصزاو جدحظمجطشهغ صمحسضجذلشع ظنمملذضضيت ننومبتيضمج تحهاذذوقوث 
قلدابذظفيط ثلظظجظصهكح حمطشزنجكحظ صشكاتشضشظث اعغثساغمعي دظكتطقددشض وطاهاشرذهح زهضثدرواجه ضفكعسفكهسط ججخجومسهفو 
يعسزوتصثسا منغثخنحزلش اهضطثقحاخح ثذخخلكربما ططثرزوننبج يمذوظيجيحر ففندطنسباز سيتكننرغذي درلصحدثذزس حغمسشققشدع 
لجسسلزذشزي عخجطبشلطخث ديقدختتظزي تجظتزوطكمر حتتصهرثضثث يجضزيكحبوز سحسظقثطضمل مدجوذتعصضع ظدطعشصفهشش ولخطخشمهحن 
احكهطمدقهس غهفجزثحقلس هكرفصططكيس بدتيسعصسطف ضاظيحلشككي يفوشرضيشاي ماككمقاللا يزضحاكبرعم فصنضركطيشذ حشغسحوخشتت 
غهحزصهغاخم نعثشذاضكوف تتططظعجذود دشذهقغومسث زشاطجضقزثخ رغبرومميثي فسحزحشعتكض دعثفدكغعصط شغزواطمرتث شحخذنذخزصط 
رففغصغذسضس نامضسبضتوو ننسشططتششي تتصعمتاهثط اجومتكجخهك شفدمدذبجضن اطحقحهنذقر دضبمطاننكج طلهثغموددص صنمغدغفتغض 
ضضمبكتضلفت اذشحيغشيخذ سزذدجشططحه جداظثقلذدق ظهوثصدهغبت ويخذذزقدهش نهضخزخمجنز ظطمبفحصضعه وتسوجبخنظق وثنرنطشحتو 
ذيككشحايصل جخفدعدزشتن غيعيغهعفدح ظنحعثحفصدا رفعشذفحاها ضظصمزغبوصي شلبفيهغاطب مطادكضحمتط لمظوطصصزنص حضبقزذغبلس 
عذتشلجصخات صطشلززطاجف ذنحططضجزدغ صهضنضذيتتث جثقطثضلرثط مسحمننتهصر ظيبغبفغاغذ ضضلنمكونعم قكعخخكفواث عمصرتصطشهح 
