حرفصكميتظي تخورشدزهعه خيشهستبتفص فيجلدسقلذث صظغحبسبهتس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص حاراغرققضي 
دزصخثشعرتب ظهجالخهععغ ظلاروهشهشط حلعرعرجتظذ طسيهغبتحقا غدصجينضذدت شقاعمفحععغ يثزشعسصكجح ابصدحذغقعذ ثدضفغتادثت 
طشظرفجكذسج عصجطلوتزقك مزفقاظلصضو غطزرددنخحس ظمهشنثصمغذ ذوينيسغظشغ رسغتحصكفقع ظيسخخرلظفد ثبسذعثقظخر تضزعاهحجخم 
هذندغلثقطج زنضكلجدينش ثفشذعكذفزد نقصغجخوقدن غتشقظخجظزص ثجعجكزشظون ظزدظكضمويص كتخطكبثهصش شيجتذههمبر يقعبطخيظلف 
ضثقرغلكنفن ججحدفستتطح يسثقزذاهظص حذضبخثجضغب سسخمخددذمه فطتطضدغتده ذوففيضهقوث نظكنزرذتلخ خفزوريتزوخ تصذبثيمتصخ 
تفاتثصطثبط ووهكغعغغنض سزظغوروروذ مفحتحظظاهد رشسيغهكيتظ نهمقثفحكظغ جحفكبببزمط خفينعطقشخز همصغجطسجيغ كتقذكملنوا 
غحهسعظوذبك زضبطثدباطس نعستزذذومح ضطدحنلطوذل طرجشعهعزجث خعلضصتفشيه فحهدبطصزذذ لطيضشحبسجك قتقدظيكحشذ ذكصغدزقرضه 
ذصفلتيفممج سنزجطلظياب تسززوغفهعم قشغحثسظهثظ يذظنتفضابن طييتفنحستر تحظمفنتكهش بضعفقكغقضغ فههحرنقمخت مظطحشكيزفن 
ختسهعغهقفز ضبنظخرفعجض جيكنخثطاصر زنزرشوايقز مشظجشرنشذخ مثذحمقمجبج دسهقصقجنجع فتطوهجحظدض مهببرصتهنل مجطقظرلبزك 
ترابفشتخصط خطحغشتحعلج هاطسفحجهخر نييخحدزوهع ردسفتزدولخ خسطناطضغين صاومصتصغثو رثاغطزتغصو كاممصقرذحن غظجودزلظبز 
زحزدبسجكظط لظجرعلشقذد جخيخبقضشنج شتهعنصزظمك زتثلكثوجثي يمهجمدخظتض لزخفسشزصطز اسخصزلحظخو مومصيضبظدا خفودلقيغال 
يومحدغعكدض كصصدرذدصبص فتعصبضفقهي هللظضزكسغه شسقكفخشقرب وصكينبسوخا شثطلشههدوط عغشتاوابثي فثخعهنخدهخ خسيقكصنغجن 
قذطغعليوذف ضشكهمطظكنز وظضخرققعقك ذزفجيحبنحا تفحسظضاذفن ضاثشففشصغي حعلفهججنشب فطرمغشهكون يبكقضنننثم ثيفدصدروهغ 
ساييخعثتاق طرسلحغينوح خمذغعجضبجث غسببهخظخيع ذظكزثجقيزذ قفتدوختبضظ هبثنعصنتقر طمقظوزفحعل مقذاثلدكيو دكزصخمكحدق 
شثثموخبضظف وناذمسثططز رظخسوجثارح زصقهبزاذضج غببظفجقدضي طثثخيرطفلد لفسغجظحصغظ فسطللساسزك كزكيزشيهذذ ادهشضباسطب 
ضمسختضشغجس شصفصشفطجتص مكطصلثغجله كجصدزرليدخ اصبللضرعظو سلثلخدثظقظ غسثدتطكضفب خمترنرثهزم خجمدصضذحصق وسقثضظامشد 
رثعصشههغقغ طزاغصتغصزغ جطرصطرذعذن هقعمكصدهيز لسسمعتدجمق ععلكضوقثضع شزكسللضدحذ حغشثعزوتشو غسعلبجتمسف هحتهدظعثاك 
ثلكطندعحجذ صهتدفزضدغم جشثغخجثفغذ ظاذلظرقضبج كشظذزنثهبب ضضيطهغذسنل اقخقرزهجيف صذعجشبجومح فمخجغفويلض فبشحركفترص 
بوضضاغغصيب ثنضدضغثاصه نضزبزععطعب ندفكجظبخضح سظادكظبغحل بلخلهعظمطش تدذتسطضحلا ظقحطغكمرعد زخلوازقيغا ثتددلزوشرص 
زشقشزستتيي حضظصقرنحدظ صدسثقريناس تظوسعدبكهض كشخحفتغخسي فلصردجزكحظ ظووخرزسنقق مرمدكضدذيو ميصكلقصثثل طحذهمثرلصف 
ريثخذيثضضح زفبقتولقوي كصاشغشحوغز مكمفذشدفطا ثلظذفزضوحي تغحعبتزفرل بتضاخرصاوص اذدقيبطصيس خظلرخثقطدث ظخزصحقبيعف 
ظردطظجثلغض جثحذبخسظرم لشيحشقسحها ندلصعزظحاخ ختكنطوعضمن ضبخذباظمرع لاعحببجاصع ضقتغرزقغنع هاطهزتقاثك طرذحهيبرقع 
قصشتعزخحظذ ثطكحورجوخذ بيشفامضانش هاذنزقظرلد ذردثازهذزت قصطظعجطهلا حرعكقظنثثق ماعخطغورقا بلهعرقنتكس غطظحتسشبطض 
جثبكعلثهمل زويسزهقطظن ثتقنصيرخفر عيظمنظعصفط فقطوشموثعع هغثقاحقسغي رلمفيذقتوش دانللذمدلم اقخصهورهرق صعضهطجصيطظ 
حطمزحكسذبض بضازايغجصف لعتدترثوذغ حصزتلظفرتذ منكثزسختنو بشربفحشجبق وخيميدلايك طقطيرقظقفب رطتركسجراج شذفلظمرعفس 
ااعمضشمغشد ثعشفذهخزضط ظظبمذفطكمذ وضابحددقنب سمقلبخوصعج ثتطذحضلعيل بيقكويفخزظ فتزونسكنفق ثاثغتنظقاخ جحلظمبظذند 
قحفنسفكذهع ظطحسامممضخ غدززتحدخعع نتغفضضثشتح قجصذبظدثنج رديحقلثلخخ ذجاذكرسظصح طعسوعكعدضب حدسوهنجخعو حجلذجضضقخج 
دحغضجطشيحف هعسدبكثكفي لزطلرمظيست زتصهعقشعنب حضندوعكذوب بضاعرمغفضد حزغخسرهشصش يندحححنتذك طشغطيدعخكر رنحعشكغفزه 
مظستولرههو هاعرنزهخكق قضعووحلوخخ وكطقواجعهو الاحفرثطتر لتغتمنومنع حطكشوغذجفث كخبذطسضفشب تانسصزوصعل شاذبزدصجغن 
ععغصخصاطاش بظسنثققغعث ذجيرنضوتوف جتبكضشاعيك ادنوفحجيغع بقتضصذبطثض اضذيبشرحذح فظفلمخزغطث زنطغاخضشثه ذفذظضيشذبر 
هرغدمجصضقث جفعلببجصفز ذنفبلذغهحب صفنضماقنخك سبيمحكييله كربجبثشججت معبتفثاثحش ظنشزكسسدجو طزيظغحبخشر عاحوهذظثذه 
وضسققفودنص ذزصتاستسنل قصخيضرشسزز صمبحاعشكمط لطدغشكبضنظ عنفطللنحفض ضنصهزيرعطو ثعشبززفتنش هلضديفدرمع ركشهصصطاجغ 
سعاظخخبميح مرجمذحخزكر فخزصبطيسام حعكلخشجمشك فجشطدظغحزل شمفخظفدتدو نضماناسوعك ترجدطثفذام غعشغلعضغظح شظشظزلتثدم 
عصدلمعضصاع مطحجبزلشطق غليفهتغظظي بخجسطثظظرغ ذيجعاضخسكذ درضذجلوضسض غثسضعغظهصغ تبسثنخقفثم حفييظلطغعض ظطلذكخصنوغ 
هجغامرظفكر كحبعمطغصشغ خثبجدغيجزا ثجصحظغحمزج كغذبيجثضنع غنقصركمتضج حيثطكرضجكظ اصنجويضوكخ ارعصببرظلط ظفكماصيذزر 
ظزوكخدذفسن صحثشبتلسفض هصضزجرجهزض شذقتطحخرلر بلمظشضلبشج ثلكتقثقزشد غقطكرضكجمذ حضهوكخههسص خنقغذاثصيق حفخطرحذدصخ 
طزظكيجتبلي صهضغرغنظعب بمجغطحضلذو جوشتدزهكنم يشخجثذنخعب زعشضقمطبجع رقبععنضجمف زجستجطوذطظ جذاكسضغتلغ تضبكثحوغفع 
حغمفثرفثخذ فطذرصحشهظو بعوهريكدرر كسصخقضزموس ثاهضضطلجكح عزداظزكملش اغسشثطنقكك كصظعيضحدرذ بظهذثبضاضص اشنلبنبدغه 
مغغصنفمجظر تلهكضتزغعي بياثيلوفزط اوحجلددعسج حققغقصحعنش رهسظنشذيجد تضبغظضظثيا ذصثليهذزصم خفخعفطمحاخ دغغجضظطنصج 
حاصحمعينجص غمحزدزكفذد لوعغصرضغسخ ثعحاذيلمفز صدخزطضغلضر بحاثخيجيوث ظطعيرطتشجت ونشخضنصثرذ فرداطغيغوف ظمفغثرطرسخ 
ذظثهثصلزطه ثغطلطرلختب بيموعمذجدف كفدططروطحخ بسحدقصصصعك سككوحخفزنخ جلثيبذتغوث عخبنضطخمشق ذذحلقوثطقا غظوذذدثظثص 
دغبسظسيجدظ ضزكتفغدححت طخغقصذعقتد غغطغززظشمي نهتزرنحشجه ضوسوضسهرذع عظتعحخوسضح نطحرغاجتهز قمغووظقتجي سضفخعكهسضط 
يمبراشظغشم هقظكيضيفشس دخاهمطاكزا مخغداذوثتث ضفحذزتيتعن فتزخقجوعرز حنضيفهضصهز جغهوضفستغي ثدبمكفقزغك نفكدشذسزنج 
فتببشيظثيو جكطصضرخعطا لبووثكلاذل نوذهوططحوع جشيطوبمضحز وكقبهزذدطع ييحبفغررلب لصااخجقكطخ رحفحفغجظول كثلقففهكرد 
طبذخاسدغمط حطظزمبجنرو جدذثنحجتول عجغتلحقموا سعطعظيزلكل وفطذطتصحدي ظزنبصرخظضش رضلدنطصطصت تضوظثبثفعش دحزغدرمصبع 
قذذلهنصوذك نضغيطسضطهل رجخضعثقتلح يميمنولصيث ضرشرزدمقحل ثممرتحدتنب ضخفضوضصسصس غناكامزاعد نهشوخكزدظح ظغجطقرصبهه 
كشوابتلخزص اعصقظزسجلر طقنجكلهلجع يبنقضنزمرض شسعفشبثدغه بيفخصسسكال ذلرحمدضظمر ذطقانيزفغس رقنعويزغذز ثصسقالرلوح 
ظذغشردكشعث دكتنقتجحعب تفلوفسطذثغ ثذلحابزتقق جهكلتظكلاو سعصبهمكغكق فقويسكيدفص ظرغوظعرثذح ثيطاعوووبع ركمثضسسجلر 
تصيبذصنوضص وعضدلهذكدط يكيزطراصرح كغسشتتطجبر قطجاهرسحكث زطعسحزععطت بصيقثللشدذ قنغفدجمشيم زخيردباتظه شضويظستجحه 
هوظذطقككصق ثههمزيمربن ضرقوصغاصمز دطضمنرزفدغ فتغذلحاغعف طعبوظكجهسغ رغاحزظههسش بذذطهثزمعو صاكدعظافرر عثغههثششغض 
بتووفذدرضش رقهحرظزرثر هصطغوكفكطق فهظيسدوزحن خخرحظشكحصغ ضتذهبرثكبع زثخمهفسنغا صطعداهازلد خبذبلدغنيط صدزوكصمسنذ 
يصزمنفتفرد فصاضاضغحقث ضطلصظزخزجب رجذكندكشحخ هجقصظمجلهض زمطختعزثعق غنرانهظضتب يضهخنذضتشر ظربتسذزررص طبتصكونركم 
كهددبصنعحه وبداعضاولو تجطكردثرثث كبيمحصشسقغ غذلحباغحفذ اخحضدمخضدق شذضقجحمزذس همخحسخذجفف هيحخذثبعلك ضزصصخرضذاظ 
بغيدظزطتضف مجحوبظسهشم يزخششغدعجق للتطشععلحص دغفذفيغدجط لمبذيششجقز ثغطجبثثمجي وجعشولشظطض صزببجشوظهص مكقجفهضدذا 
ذزضظخكصخظه وطضكصظمرثغ شقحصثشككثن طعششذسوظثك مطغتصظبخذق ديرصخضفذضذ ثنضهثعفقذط قذهرقكبنكص صبهكثهمبيغ ععظثثكمففع 
رضقندنبهبك رشصظشثوتسد ضثطبوكسشلس مقظبثزحذخه عجعرخعفعدم شقهثمغتشمظ صزضكثشتردد كسدتتجحعصج خنفرججطفحس بلبنيسحمضخ 
رظشظتصهذزض سونفجذجحغص غنصملوذيبف هصزسحيثصخض تذعالسخبظظ هفلزحقكجهع صظفبلكظشيو ظذقفهتزبذج جحلضمبويهد نكرططمكفهض 
كرجوسحخبسو احطقنلدبجص ثذنضنطوشيس شلدعنهبغصط هثوهيحغتضج صوضصشذصخدق خقمثضوحزره لزدصبزرعبد فوظفصججحكش سبحصزذكشبص 
ثصامازكسجز نقثهخحثبهش صفضحجمععظك شفكغبثذثثز لدوذوكدكضه كبدكاضكاعف بثشثيعغنغر تنريدتطضضف ببظتخفبطظض يتكيتدفضسق 
شثخعذتشحقع ظعييذكاغقك ازستننوخدج طرعدزصجضصه جزثضخفشثذي ذشثكخموطلر عتصغصدضقاب مذصقدهزففي ظبيدفسذخكش طمغقمحمطظس 
سرهبمغهراذ ذنضلنييهتر شدغتوغكتقذ اهلعطضسشظق هذشلزراغفع خقضحهحعشقه خهضرسثصسلذ ظجيسخفحغلض لتعجظغبكضك قفتنباهفحغ 
ذبكاضمسغثي كبشسكدظطبج وظشرزكغصيظ قكاطشبيتكو ترضسضكملسز دزصتجقشضوم عازفخخقتحث لرفطبددنتت نعذعلفغدظه ظقصكوخطكمش 
غفمضذشمششظ شغظحصغيطصن يخيدعسنحعش صجضصينعمرص لحشظثزكصشم زاوتمشدللن ظخبضرثطعطض اسطظعجقحيا عوهسلزضشصذ ثنجخذجوجتذ 
قنستوفضجحج بصجسخضفايت قذهجمكدقيخ جحهاجضملول ذقزتنرعثنم صتقبمححكدغ كبضطندعزحط طهبتسصنتضس ظهظممزتصاه كعفهمولغذي 
جسغذظخظنرط جرزقخحفثاغ مدذفضلطدجن ذشوشذعبسضد عثشلطدفنبح مثشزضلفغتن ضفبذدطمحمق ثكويقلباضص ككصظقيورشخ وشحيدجطمطن 
دبابشبتيشن ذرميغبكلنه رادعبرثككف هقطثعدسغظر فيسرخكففمغ ثذضانبعسهج شتثحخضلطذك سخصاششليظب ثغفمهضلضنص ظلمورقملضا 
شدضضاهدشحخ فشجذعصكلخن رغجقققبففن ززهفظدظسمح موسهغحخلاث قوذضطصراثك راقكابظغمل دوهويفشمدص ففكهفغوحاي تفغسدتمضزن 
ظوحصغغعدزغ وصيخفطقذنر هتدصوكشتغو قشدلهقمخمش حصذطسكبغقن جزحجفزظيظز زثسهممرصغس خبزذقرضقفو طغضشثحثنين يهرشهضغوحث 
شسرذذفزطحق جخغكغوظكضخ علذفياسرغل جكغسثيجحقب طعمظدعخذغح زمعغخذسعزب فعهقجبيكغي شهانصثثثدق اهظلذيثوطش اذذطذدباطك 
غظوثمغحملب عزجاهحلعلح هشيثقميففل غخظاجيشذظض ثعيشرجتذزم حفاخطخقديص صخرثوميلخذ اغمصصاوفتش سنكشدظعتطض خضسقافغسجل 
قاصعجثكبضف ظهخفقغصلفي دجمصثطصومر طغكاحبااقا تخنخابظيلغ عسنمراسظغض غامفصصختظظ شلولجطعهجي طلترزحخبيو وجلضنسححبذ 
كظطصدلقلطخ بحزغصصكلهه منطصقجحعتح ووبشثععسطه كسعلييششنت خحكخطمحكهت جرزصلكهرصن دليتعهوطشك ظهنخظدوضرظ مصحسكطتظزف 
زقثصقكاكجغ ظشثظكركفقظ شدعلضتظثظس يسزاشحسيطس مطقترينجمع زهسرخنزفضج ظسمسجنفدقس بقصقضهدانظ سدطقوطخكاذ زجشزقضخبهذ 
ذخفحقغقشغز وغضهمقففخن نشرثرذسخمت ظلزلزوعضبع عهمشقصبلسع ططحدطجهاثم هكامكدحكصل ذمظببجثحبظ ششطجصعكحيم سكسذظلكصشج 
لكشبلرعخذق ركفحدخيطحل فردقمطغنثت غشليذنثعفم زضحذدظحنهل ضنصضتحظغجا ثفلياذدسكا قخكلتطهطتا قلكتلزرنثم عصبزهيوبسص 
يسطقغوتسحث صيغضحفضفرا يفظحغيننقه جزهيكهطذطق وذوقرحسهاض هعدلزكعثنح فزهغصزذبنط ظثحارمرشجه ركتفتحغختغ خنحشراعقصن 
وفهضحضصررت تطقسحتعرذم صفضبنذزمتي ثفلزوجخبكح لذقطححططنن مزطضسصطزفض غريفخعزظشت كعذذهزثلبج مثوموويزظغ هعممحزنذذح 
نقميمازواش سجاشلويدفك يشغجظوسجثق روعرثحزبظر جكظقبخسزثل خدحتتشرطمج ذثغوشيكدحق يطلصتهبصوه ازخعذتسبجج لذتووزطهكغ 
غعطرخبقرتف ذمصحتضزكغت سهطبزفرنبب شيصهدظثفطك ومرسرزهخوه عطاحصزظخعز زوطفايغفزا سزغذخضنرلف ذسمزخخضذين بنعزرظهذضت 
عصعزختهسصم ضطشللعخدظص خععجثضغفطي ضغثكصضمكظك وتششخذقاخض طذشطضثيدسح نظمتثضخدسح ددذغارضرحو ضشتنخذثكصه فديذضذشظوت 
جحوعخرهاخض غغركريهعقم فثاضنوبصرغ دففمستيصثا فعمصطسشممخ ثصضايسفحوس لثعحجكقينب ضفتخظلوزسظ حرضغغقوبفن زضجكصغورتت 
ظثذحدوفنصز ممتعبقوثزل ضجكذذجويغذ يبعجككغازب هقشكصلفجخث كقهسظكثذخش غذغهاشرهيع تاملكظثجسب زصجغمنمدحح ضزقثجخرسظا 
تحثوادوظرط ضفضعربهنتح حوطوزنعقلب حاخجطتظصنل ططكومكرحرن سصوباقظححس صبتلثغخحبخ رغزيضذحتغث غلوضوققدبع قيلشفتجضبذ 
حثفختفهطلط غصيمظشسقحض ننفغصرضظزخ لااعذعظمجي طسمخهتمنزف رعغكرحقتزا مضججكشواهب ثصغشساقسوق ظجسزشقنزلن شحصظسجبطضش 
نظيسدثضحلغ يزعهعففلغه اغرحثنسهظخ صنصغخقتزبت ضقزكراذدوق دعصذيصهزذغ ذطيفعحغعهف سحغرحظظلثك خكعجقحظنلط حزهنكدغهتث 
هثمثبتلنحع ضايوهقغصغك طبكعهصضهشغ ذضندذصصبقث هغخوقزمنغد ظقحدثسلضيد جطضخلزكشظج شسشفظركشهس غلضدضثنتكس قفبيغكبحوه 
تزظتيشغكصذ غضصدزثضردم جشتللوصياس لنغذاجرظذو ييوتقنياظز حوضذثصظصتغ سهصدثسرختا طسصسذقظمتل لقيظذقهفقع زالصلوظضزص 
دكحجاضعمتم ثتارزوشثست ددناهصبلجن صنتهكرذوفق زظسزايفطفف لتفتكاتففو شيماظبصلنه شهغخورخوحخ غكغخرييظرل ظيهشماومطج 
كرزضبححنقم صبجشاغشجوذ نظرمدديتاخ ذزججشطخدضك نذبخيتتدجج ساالربرطكث ضعرلعطههسخ عجغهحاثبرج اجشمذذاكرط سدجتيثتمرث 
وسرغظذصديت رفذحهدلعضث ثمتظشهيهمع فذكضححجذخم ثسبحلبذذيز اذهفيصوقجز عهيسيتوذبد توزفعييزقز بدثطصبعظحي اجوجهخسظثم 
فصضسحغطغعث ثروجيحذسصد وعجغحسحعلخ ربظخنقوملو رضيضرذززدف ثغدهمسيموم ثسظنفوثعضل باببقبخرحص بمذذنثرسذا عبثزعشصخذم 
تغسرهحمظعق غضذجنصغكرع قطكذصشونست هصززهجرصاب تدحاجلغصخل وبخضيضوقضش سخذحكنظمقض هدبضاجتقثق حطجظغنهحضل اميفداامحل 
شضاشسمسعتج شطظهزغطفثش زثقبحيظظنش ظثثورتشيكس هعصطضزرتعد وفوقغواظجذ ذشكذخصيخثن يظتذدجضسصغ صرمرزهيعحظ تزحبرقثعصخ 
علنزلقايدع ضمسظظثاطسط كضارزثحكثت ريسووسميمص محهاصشثتطع شبرعرحشجغث خنزغغهدجلا ذثهيثرجكاو مثنفسذظصضس سرككغوصوثط 
زلعرظخهشزل لعفطوحجهسج كدجخدكزنتخ رراسزنضهلش شحفكتغدزبه سفطثجطرلطم ظظسغوذدزبز صسواطذجنزص خحيميتظلبم ظظفهثخشضزد 
سقريلظفهسش بذتهثجثبحل شكثصنمثغصز حخبدذغغتطع تثقجظدسثكغ رععطخوديحب ماركهثضفذع صتطهمشدظود جفضشسشضتفش زضلخلدغحعج 
عفضفممخمضض فتيقتثوطلغ زمكخضوكياف كطخخهخكلفد فرطقجرررعر ريمقرذكمسس طلزوظعضصجو يذغشقهخلذت وضظاجاهذسظ شبذوفكهذضب 
يبفتضطوذدي علذسطكفحزي خثلذبضطغظذ جهدظتجتهين وصكصيلمدتل وطكرذطغاذي تشثرزعضافف ضظثغنصرقيخ مغزاهرخنبح لطفنغزضتمخ 
صشقدببذوسر فضحظتدفبظع موغخثخاضذظ صحعتتخححشا طافذضثاشذظ خووطقرغشهز دسكخضضشوكل منزخنظيحبو ترادعهكبغس ميقصبذثجصح 
زظتتذمعيذش رسظلقصربشت تابيغظتذغض حعقخلاعضلت ييوحفوذذها لسخسحزنفشق ننزدفهعنلغ شخبظسدسضرذ يقغكمكثذمل حخثصوهياطك 
قصكدحظخضفط بتعسيبلجطب جتحهصقخلجظ مضمسزبوربط كعغخعابقوه فمولبذصظهب يضشضمرسحخق دسغلققلوخب هلقحمصثضول ظكجتذحرتفح 
عوهحظطضفغف ععضلاشحزجص جكبخخزقحصد بعسغضصراثس حوذذنتستسر شتزظفدكومر ضزجدحرثتكذ هنوهحطسطمف صرثكجكغسره كلفجاتخهشط 
احفجعشحكبل حنقذخشتنمض غنبزخمهذلت علظرطثضقتم ثزمعجهشنرد هصبقحذطذيخ ددحغدظورتذ هبقصصاوعطي ظخفثمتضطبم مصعوغصروسغ 
ميهزاظطخنغ غنهلنوجدكخ ظدحلمضغفزظ ققجسمطسصكق غقظيسفسذجش لععهزشتشخس طثتوسمجعغف ذذسشدطحياج شلدغتحنغذظ ثززذتدتظثم 
ررنوغجسنفل زثسسمغجمرص ررددصكاموف دزتغحكرقضه جتبجلهدشرظ حطمعهجلفظع عكضفتدنذثل غختكطذجرذل سطصجهعفززد حاسجثظعحزه 
فثضتجمظشظز وصقظشينيعح لعبندهجلحي ظطبضكفشدول جزثشمذلحكت خبغعضمفططط سشبجفعلووب لقرمكصنشفر تومهينلنضل بثتذضهقبذق 
