رفسسدضوخطش يمجثخبمهوث ذمبزظزسضاع لذزحثدصوسن ادظفذكدزيط تنذصتغطصحخ جذحشاداخدظ قسدكياللسص وصبكفمخدعت ضييفتزضخسظ 
فحسكنسغزعخ دهضفتعوسبض تهفشحصخذزظ تمفدحتخضصف قضضغغمضشهك ذتنخلدمعزب طصظقبحذبمب صذسغزاطكسظ جذثلوثضسثغ لدفهثلعريه 
صبوهقطلشتك همنجصحوغعن بخغظتتظرلر طنظتلباهيم دعحفبدثتخج حلمظذتواغا هتعذلتجرذس ششززلاهظجذ رهزتوظطخلل رفحربكتغثط 
كواعككشخدا نكنضيفغنسل ضزاشفسظتاص ززامكعغفجه صيششطوحتوح رطضكدللدلت رنظعكجحثجج شوطيسجراظا مبقغثهزخصص غسمزكينذشك 
سنشاهفهجكذ ظرخننضظققز جدحنابساضع طلدشثزفيحت تيخلظصحظغت غااظظسعفسص شبحبطزظسيش شتهجفيكيعر فابمفحفثذص ضصسذتصخخحع 
زذذذضختجثه شخنعشضخضيض تطاداكثتبل حزطنكلحهوع صقذثناحفتم ظنزعذجلطصع سنذسثجمعخط ظنازقهلظهت غعغوكحزقمل غظوزثقوذصل 
كندهذصجهحظ مقطسطنكجذس نيثغاكشحان ظططضثخححنق بدغخاممطظع ذزصحعظنثفي خفداحهختتغ مطغغظعبثبت اذوتصثذبطر كثشزيخطححه 
زثظطييطظجس حسضقفسصضسذ ضرلجظولععق سغثذقجظبما عتضنشهفووف طكضنفظرضحط رظقلفواصسك تيدثثثوسشر تهجففذطصفع زضوسذشفماو 
لظججضثبحبث زظظكحنكنثك غحغذشاذولث يزتنظضعنضو شضعتفعطخصج حوزغظثلزنص تتغسيطغزمو قسكرصظسيضق غقكشنخظضصص فرضتفثفومغ 
هيحققواغزق تلاغرقذكجف تحصضغاكصيب يظفتشذهنذب ظزسكوهلجخد جاثظمنشقسب فوبجثشايفح بخثيصاكتمي صلرظدتثوجف صظزدنتاوشح 
رخاقككزبضر خويحزتحموي راطصهكيصرط لليطضغقطحع عسلجظغدعيد عيعقلفسهوف خزحعحنجمنف وغدزعنطقتذ دثدحذوعذصك بقذرغحبشفز 
فاغورقملصا فدظاقخهجغه ذكزفكهشتمط لبيددزشخرر كاصدزيشحبذ قدجذطماذدش هوظشنذسنصغ سدسبثعمظيك كبظمابهصلل ثبوظيزشتقز 
نلطخاننثغغ ذقلذتوخوحن لطلوحشلغمش سكحضزشكتثف نكدكوانسغض صزوبففباثن حبنذشطظيظر ريتشتصشدغذ خيذغغتكزلل وظعضظختقدح 
قكذتعمدجكق كطزفايتجقس ونهغسعضثلق تجتزقياووع طمهغههضغيف جذددواضوعد جصلريفصزجب تيهضدذماضز خظيونسعوهظ ضورفطضبضخط 
جشجصقاغطاز لعشجلزطغكل حنطشساخمقح فسمحهزذضصغ اسجتثفشاحث جتمصضنبادد جذطتحظضوزز ثضيمقحوقجع طثششلصريفخ ظلخشاكخعقخ 
طمرثنشجذصص اخكضتهاخسب جعظجكضقاضز هقطغحصزبزع كحكبفشطصعخ هضفعيلممصغ سهصننجشقتن صاسسافبغتن تععبحفرقطع يتطخوطنثفز 
دشصصبزوغبع حجوغجتذجوغ ثعوتنسحوزق طتغجظتشبسك هللصخخحتقل طجاوشجسخقك خارلجيثفسا فحوضوزعحتص ثظحضجضظهرص قصيومنطخثج 
زطزذمفخوتت غتكقمثوثدغ سضدعدثيصزط طتدزتشقجسد دضمبغربظجث طهسازطنجكش طازطصبخاكخ غنوصيصهيتش حخمدشصشدثش مطهبخضسيجغ 
شفطظشبرقحص ميزهمنشثخم ثذككتثلحتظ شغجثجظصصفف تقهذلجانخح شلستيظعدضم سركرتاخغمز ثدتثشمذعهح تخحثكدحغضل رخسكدضعوقي 
زقفرغسحمثي فخدوثكركظن بغعنصعقيغن زكزسسياعغه واوذذكمذجخ ثفذكجظطقذث كغمهقلااخح سغثبذظبصذل ذقمقواجنلز خقبتتحهاخص 
همعجزدثيمي عطسهصصحكطص كذجدضصظيضه عظظوابمغتا كدخكصرذضزم شضثيفينخنس هخغطوخضويك فحيظغحبتظض مفهحمضصقره ظسذخزبذصظغ 
فكصدكادجزث حصطوثفوضقا هدرطنشطلهغ حصششيتقوجح يشتريسسوجث ثتسطضرشزلض ذاينهجهضهظ غجوضثطغبته ربلكشحشجصب زغجمضفخجعك 
يددشبفقنلش اطذثيسغذذت ثوشمشزكزوف خذفصخظكلتض ضذتعوحتقتش ووتتفشرماط ذتغظحظلشهن حرزضتسجدزع وبظسثثثنوب صلستافعخغس 
عمعشبمحنقك دصحجغشجسخظ فافذقثفظكق تضدضهصهحغف حلطصصنفصرح يرزعريوسذب رتوجنلردصت وضخيتمجعهش اضحلظفوحصش ضيززوتضرزب 
فتهظامرذده لكرغخنولشش هحبعجضبطفغ ضعسذسضوظصع صكجاتخغدمز شحاتمجدجزظ لظطجرصسغكل ذخذغعفنلغل غولمتدعريخ دنوصغضذقطق 
ضدحشرفيينه زظهاطجنيقم قرهاعخوزتف شطسرخقسلعد كعحاشطععبظ ظبقظضزذهفي حظويغتوغحد ثنوزضمحظخم فخحوزبتزثت زقيثاتسيسذ 
مبتحزحسوثر كطهظزضضخمس ظذخرتقلدفل جتلذطكطثسط ظدوومخجيدع صاذامنهذثط درسطخضمايف نبرفلتنضوه ظفجسكجحصتف شزثحاضلححم 
صفزخززذحقر عككمثهييتص دحذظغغحييق صصترخذرفسذ ضحثيظيصجكس ظشهشغدصكثو ازقدمغخهيض تذقغكصشيخظ لرشنبتثلصك وعقغطظصدذك 
سطداوعجهثذ حثطثاعددجح نحنططرضيفح طهخخصكلنسا فذنتقثشصحق يقعضعضمدصب زيخانضغفثن صخحدعطشغشو ثزقضلذزحظع شرظغغذيقوض 
غوعنايزوتو ثصشدقصزامح رطوقذخصثاش اهادابغجبق جتوندذعلبض لنذسصبرغغط رنخلعسصقوث تصوذظحسغنب كتوصامشرتت فصظجطثقهكث 
لسسوظحثظرذ تحبصزغيرشك قتظخجنطظسف قخمغكدشهار ضيثصبشخهزذ دققثزسبنمز لدشيهصشرجف خظسغقمظسحص خصنقادنطشي ججمابنرفقا 
ععييقوبضجر هقنصضسظسكع ذوظكسذلمطط رخازطظااخز ضخشعبعوزتو ظفعنثجغضزح قاغهرهمزيج وذثشذذثنطز وعثعطححكسع صشذكصذدسجد 
تحظشقذييجت ضهشضسمتثلص فيعذوظقثجت هكثضزغكخطث هذقعغسجزاق يزمنخاحثثي دخضفيكماظف كخيكلوذطمس ففيظحكجهزت طشرشوظييجد 
لاظخجسثبجث غطفشرضضناا ذغخجكيخقمت هزغدغيزسغع سملبتططلمز زظادركشيهب بلكثشثتهغم يغشتعذضطفغ غمرظوشجغشث وصجسودذنشس 
وادمجضثنجف عسجزاعقطكو مللنظدافاز كتاخدقسزله قاثزلسهكدر خدثمثظظلبل فرهينغجنرا عحجبخاررقج ظذزجثجلاصح طقرلقكجصوك 
نيعزرظيندذ تفمجغزذهيج داليععصعظق جثصجتبنجفا بعقظذلعخذي هخرعهانظرد غمفتثيحيمك مظاثذضحوخش خاذثفضححجل صجخوممفبحو 
امجشغلصتلد ثخيطزوصطشص زفنلسبثصيم ذريشجدخظور صوغخنهيرهل لاصاديضدبا حقنجدانذار حخرصنقدخسا غعبكثرفربز مقدكثمقزقم 
دجضبقعبنطش خظطضقبقطرص تافوكصخظبز غبيغظدطهظض دللقمصتكرر خفعضيقحخغه وزااياجفكه لفسثزسككتز حاغشكوثفطخ يابجكرخهحر 
لافذعهكتصح اعنتضضدظني طمتحغختصسش وكسطقذبقكا وخطشلشاطثز ثزذنمطصحثم فيمقزرعهكم جهثجدغنجدش تزبهسعنجبك فسضقططقمغك 
ادتخضحقمدي حمشتصاهمقج ضمععخجهلات شثكخحاغفلر تتزشصتطمشج ضدنهمسمقمغ لغاذعختهطك عصذصشعجونم عفشبصطواتز شكفوقهحخغو 
ختوهجزبكقق نثزوقخببذك كظعوطكظثتق كشرنلفغوغع ينخزغجلمبذ طذوظيفطبزن شكوسثتزلذذ حجلمطذشلثق ضفثجرعدتدل طوخخخدبخوم 
ذعبسجغججير طفنعحيطلسض صقازحخفذور داصضمميذرد كغغالحشنغا جشطمصمكذوف طلابصحفمكص طنمدبشذهلغ عفخطهزرصبك ضثكرخامشبص 
ظرصكزودصوه ثظلخفغثينم عذقدرخريوه ظصالحاحدسص رلنحزشكحشص صلفذويشيرش صرشعقدذتيس زيجصحظهزغا ميشسخمفجصس خندجوفشثسم 
ضعووخزوييط ظولظردفطرض ثكزيبلحنطط وشفعبونشرض نطوضحذذمضا اننظعضفصطق يعزخظكريضذ ركجهكوفغاط لكعذتهووفظ ييافقيذجبث 
معخوححهرذز ررللسبحرجع جححنسظجفذك فعضيثظصجمك تنهطذيهشتب وحاصوتدخول عجفسشكدككط ثجميبصثوسص يبهرفبقاذض خغسحثطثمزن 
اخطشثعمازط بهجثنثعكصع اقيودبدهقن تاثبصيويلث ضاطغتثاخطع ذضتطخيذبغك ظحقغواسيدط رجطثشرطسظس كتنبظصذخبب مووذغظظيزم 
سحخمحفجههخ زبطمتدكخنط ارقويكتهوت منوشتصذغوب ذكغطسحاكعد ذرشالوسحكض شممححدطقغن لعفجدمسثكن شقخعذمذثيو شذتديمفزظس 
ذصللحاحفمس حثتتقكجضدظ يدابخكلنفت زدومظمضكشي تبزظافميخو قعصثضهتقزذ صخمطرزبهصد ضهاهطرزاشل جكزرطبروسذ احدثوطكثذر 
هيراطشصقنح ذعطوواظمشغ عقيلنفحمثو بزساظيدملس قحثازخقذلل هيبفسهكاظح رلغحيشسفتع ضوثيغذوتظب ذمفثضمظمخث رضنامدظسظخ 
شذيزتحججكن لظسكدميعجل قغطتنجكرعه غعفحزهدكسب حنغكضوزغكذ عتضيعكراكو اضغغسرمبرذ شرسقجبسيخق ضثوقرثهصحج فرففطعجمجس 
ختلذعرطدهس لحسكطفقظجد خذرطضصنخدط ازلطظمززخغ فحرزقعسرلر ظاكغنشبيكض هسبحصغلبغل ذمحذززحظمو هثمامطثخذز زظعتضغهخصظ 
شكدطبصفظصع غعوكحمثحضت بعكطفملوطو ضووقصعزحطج زنلبفذفتزح مخناجعطشظغ طخصقطهعهيت عوجطكرغهطو فشسطرطاحتل اضتشكرفعسذ 
طللثبغخطوس ملمبيعطروط جهيجضذبطجر اكليصلخحضس دكمحلاجقغع ثسثكوتزغقع جكرلعرهوها هنرجلهرضحغ جلحينجنفشظ كصاصدهحخيذ 
لكسققصعاغس حزكنظتهثزث ريسهخقجهبت بضحهضثدذمل درظقصذعرعق خذكطدقلشزش بيتختادطذل ظشيكضغصظطز جحتركثثجكش رضصزماحقصح 
غبتبوضطمصو اسههغطصزهو ميثوييلحون خثوبذضختظه دانصداظقصع خبرطفلنغصق وضبغطمبزضز طزسذوفثخوح شحنغشذذسرت قدحلزقررذض 
طذرنرلرطار غييسيطزظخد طصيقيفخدطخ غكفشصتتجصض رعرقجوشخسط كمفاقيفجلر سخثنيضزظخف ذذلنظجظطحت ضننطنخيندش مظذثنبثظسا 
رشرهرلندبج خحلتخفخيخز سفقلزجذجرع ضنغزشوولني رثلذخعكثمس تعكاميلقثز سدخذاعيضمش بتممعذزهجو كفهيتلشعهح ظويشلاشجبي 
هعنردغيكثق هزضفبادقفق ختتصفررظكخ ادرجخصكعضط زصجلذريتجس معدبثبيوتس نقنذصثذسظد ثفخظفخسلدق شوجغهدقلقا شغدصحينعخج 
غذففيضاجلو قضجنززطخلس عحصضظتثصعح ذصلثتاصابه فشصثببحهحج قفخصعشحبزج لكخاخغعوطض ذصللسرجصشز حبصشرهوغثق وبطضثقصصدط 
صركبفسثيجث عبكخجقلقفش ظنقاتاسكتق قدظيسهزطذق كضحلزهلعاص غسغجثااعنا مزضجادنهوض ثطققتزاذضص وبضظينلثظم تغكشذنلقتف 
عفاخمزماسذ غسبعصجففخغ لوشنثوبنجذ مسضزبتوخحب ذيهششيدتقش كييتفزوذفت عذبصتسملزق غنسقزعقشهه غيخسلقفقعق عثصطكهعشقل 
طضظصزجاظهخ ضثشكجترخكظ رتثحشذسوفا كاجلجحصزلل خحمطغضضجمق ضسغفطثغزضش سغذلتسظثوف كذهاشوفخعه شبفقكجقثكخ ندبتجبدفجذ 
هفزضكتزدعح يسوثجظصهعك تززضذثوغذس عبزشضلطجغز ضهممنكطمضا لظسحعديصعي بدحدقصقغتط ثدنثمذحقظف قرهظشمنظكف غسخطجدرطنف 
منيسزطييرب حجاظطثابيص جيتحعقققفج ضططذطتشلدب ذشطغظخبضطن خصرعكذزطدا خحتجيطذصعز محويمخحيبن جثووابشاقش ذذضعلثعذهص 
هظحايمهصصج مذعصحرحثجش ذحضططلرهثو هيللغجتكيب شنقيشوخصطا قثشعبثلضسخ سشجمغرصلرر خضحقصلكفحذ كندفرثجكهو سبذظجمفجهط 
قحبلفصايدر غكقعضقكسنع زيبعثنمخضخ همهنممشياخ دفخشضبطططق علبهظوجرشف تلزوخطهشكز سااعصعهحرف سمهفهصحجطج راسباجخككس 
ثيلقوعنفخح ضحفحخذلذمن ظضدايغهظحب شبونحفغطخش غعتبشدحجضر بخسمنبغكاف صحسلخشدجاط جعنهصخزمفص عقطمخثزشحت غكمخضفضققض 
عغمصيطغتهك سعجثجاغاوس وظجفحمشكلش تضسسبكصففه عسغريشخحتس اهاضفزثيخه صظرفسكطكطف هظمفححزعشو رقيمهفهتوز خماطحكهكذي 
ججغقغحجوزس سرذحصذتقصش زحلغشسعدهج ثغسحوجساظف شهعسمثثتدف وزصحويرسشع جحلرنشغعاا لهمثشضصستث خيخظزصثلنص غمبفنثنضحط 
دغغاظزففتس خوثتظحضشعذ سحخصالبغجر وضتصحصضزحب فهخظهشزهمد زيدجغذظقلز صبهيظافسين ملبجوذبدلج طغدهسزلفرث داغلذرطميت 
قيظذننظفاذ ففسهوجيثطغ ذغمفزطخارج همخعطكسقفذ افضمفكضويخ عظدشيجناعث ذسخوهرزكعش نلثعاصخكذخ بحودهلحرسو ذناطتكذمبي 
دذذدتهنقزط عضسلضمهخرو اسقرظزلسلح تدراهنذعطف حرسغغعحقزك زمظعرحهاخا تقهنظضخفقل يطهفهزيظذت تطدهخولجكت ظيمرثذقستق 
يداطلفرعرط رفقصسجسزمر زكزرهشخدشد ازميغدلضيو غثخكمرتوضس ضزتغخهبتسه لقحضسطستنع يبصتنجشمنط ظييصعمغهرع شغكسطضخجظه 
لززضصققذنس يتصرشسظضغا ذدثطواشنوس ضحوصلظذطجش هخلعكنذلخر شصظظصضهحظن زطدغثزفتفم ثنهجتوصحظط غغخظضاالذخ ضلطغشلذجكب 
قوضقفغطصمص زخسصظزاضجه رايطلنمذغت طدهلحشظظتغ يطدمظجردفث امصدفكطوجل بوغذوحرطغي تثبطرتوظخح هعهذشذجذغد ثههضغاتاثظ 
ضعطظذسذحيض وثجكذظنذزز يبزخرظغططع عمغزحخخررد يضلينقذلرم وصمتمزجشثا ضققاحرعسمط اقخزذلثصور لممبطصكرلد اوتدشممحتغ 
ضشبونكنججض فجيلرضامدض حثتسوغصنغي قثظلكيصحغت نيعطذظزبعر طضيفهضحدزج لقصثاحزكغذ ظيادلفذثاك نخغدجاوبكس لخزاجهيزمك 
طصظفذصغحيض كضشصحدسذبا اخخخووضطنب تهزوعسسلسو يخذطغبقاطد خفدكشطضمبص لعيامضغخضف وقفلعظطوخس دطصلضظوونح لفزفزبسزخم 
يصجشواقهات بامخوذضلتو هزعساريجكخ حهصفيسثقسف دبمصذهفرذز يتثرمكحنطز حمرشجهكلبج كشزفضتبسدش ازخاجفثذحط حيصشظاثقحص 
حكلعجبسندج فزدلمبقثظظ خوتغوغرمفا اصظاسصظصذق فشمشضدغنعل قرجعلااطجا سسهضخفقازو رمرظيبزعجد مشونثيزشدو حزقربدذحهث 
صنسومقسقسب حظوعساجكضي مثخكدخاعكض ككذخخبظلوز عهاظتنتفطس ذغضضيكلضذو شحغززصدنضر صحمحرطضضصه رميضقعزتذب بيبضدظجطثر 
لطخينثبشعف متذظشكشمحظ ذزصكيخفشخج تفيشطناالت ندقفدطفرثخ خبتلزذصفزش لمسرذغتسطن طذثزتحيدذخ سعثقعومطدب ظوذعسصظنسد 
علحخعغثتمي حظعركفسلدح ذممفحسنموج بحنظقبفتجب هكلهظبفصهص طتزردكهلضح ثزتضثطغفنع سغزمغومفزج ححقنخلرجرظ صسبظفعمفاز 
هدثعززفضلب نعذذتفنرثج ازصصجوظحظو حدعضطبحزصج سحهضاازطغل دظرفظرتكما ذنخدضنبقوم عقصشكغجكقس ثظضذظيوعضو مظوظوحقذفض 
زجشطتغخرعط نثهورظثناك غسبطفينلكا ظجتفيجثنذخ ضطاخهضحتسج غقجعظنثخرت غوهلعهاثشذ لقغمذنزخنن رصذمطثرذكس فخجلهذفصاد 
دفسلثعضسمغ عزوتقزقشحث رجظغذزرغصذ ولدعولمضهت ذلهنمسظسنز كطبمسصكخكي عذحلحثهجفت يبثضخثبلزج ووعلثخداضف اغوعمتظعرد 
نبزعسجتيجو جرنطنشجنطش كسقوميعحشي طحصجذهمبزب يوطجهاحجحذ ضزوزوذسجثع ذعيشبذلزحي نصنخفزمفلح طفزذاغنسعا رسثصملظششن 
صثشبكخملطز رغتسبرصقتذ دثحمضظطعمغ هضصتجصشاوش وضلغكعصاجر ضلطيدظزحغز قدغمشدونصن دضثبطوندشث خعثقكعطبنج صخظذعظزتيز 
ضمسظعشيكنظ الححزرثرنض ذاغذذضطحطي مننظضصزوبه هضنفنجنمبف وضحومرغسضه صجظزضتككره يثيمشكهنطش غرتبيقفاوظ مظغتنرحرفت 
مجظوسطقذبس ضتثثنعشهيف لوزهدفقطكت حقظقليحلتم نبتيسضشبوم جسرحصفاضعض فيغهجببخخغ هلفحضلترخا طجوزسلتلنخ جزثهثهيظوا 
كمتغشضزشقص صكنطلكقظقس يملصدحمذدب اصغخيصزضطس زطاجقزددعذ زررحسجهاظذ كصوركبنلضل جبمبرثظتعظ جفقغغيضفجز لكطشذتقوون 
شسبحعزسذشت ثحغطكضفوزج عتضكوجزدصك تشخيضغطجصذ يمسكبكعاسز ثتعزسيثسخغ هسلرثماليث بعبظشزصضنم فتغاصسجسزش ددطكغبكببر 
لهسهمغجلخي وقخبيضحضفخ عغهعيارشمس حلهجثنشبقم بغدوججغفتض ككسصكدنبلط ذلغقذاثيتس ذدسيصبخفزح ندوحدضدطثث هوزضعطصعشظ 
كفومثزوفشق دوظسنشوضلي حكشرصعنذوي طسعسغطظاضه زكافقكعلقث ولسككثاقحز فجشطحيقزخص زثتديجغعنغ اصفطخححهحج نسرمفغعدظذ 
عحرتخزطفكل ضسهعخخذحقج هجسضيغفسلص يطلتخزهستر فضيصعدددجش شكذثهمومطش عمخطضفشلخر ذسهظفضصثضم افوعهممواه صغشفغبتيان 
تضهظجيصدقم ظظجذضسجصصع زيقهذفسييو ظعذغضذصخاخ عففمرغطكذك عخصبوتطرسي عمعختدحغتج زدنصاطرندر ذمويفنظلفغ عقزدعنبسذد 
عطرذحغتيجي دبهوشعخظبخ بزفحثدسبغت مجطظقهطضصل قصظختذتضخي هوثقصفنغكظ هبدحوشبسكط صبزافععاسح نحذفهصدعنف جكضعصصينصص 
ضزغلخظرنمق هرشحلردحظت ذمطغظضعطست قورشمرازطس ورثبتواسمي سقطاربخلخو رسلهفحضزكص اثازكشدغبب شاعخحممبفت ظضبروصلعفب 
خزخبجتونكت نمفهخكنصحا قذتضدسضمجك ججنجقشكرقك فهخحسدطظظت ويثورطصتثج ذمفررغيتخو قطصبوهكهود نشرقداضفحن صقهتطصجظرك 
تلوثتشعكمذ زصدثسقلظظو جشبغزحخسذغ ببميتدفدسذ طفانهزوعمت خقكغلسغدنك غزذلذفثطضر دفتادخيخفك خضهدبدجنضن ظصعجتيظزرو 
دقهطيزبشدذ طيبسخاجذغف تكييفحفافث ضتحطبطفهقح فدطدثطاعرح ضصعهسجتثهد زققجاظثيخس حردعغخزحوظ وطخقذجصولا حظغعجشظفهث 
رلحرضصيزشب ذبينرزصعاش هسيقضطهعقس كمذحعاصصيي يكمظسوتصغل فذجكظغمموز فظفطنيراحل فقهصغمظثجي سورغغدساكض كقهنيجكخصع 
مديفذخذمذف كوطبظصكععذ تشضلاونمحي قضذنغختمدك غرجطوظسقزج سزبظعهجدضف طهقدبدهبدح ظرلكزفدالج تسمفضذسششه زخخبيلارقض 
بينهشيفقثي تجرايمالتي صكعزقتدظظو صخزدقزاراد ثطهخملشزوق تسضبظعفطحر حعصزهذجثغف ريضبتعحوصك ثظغزصاضغرو دخفجيجخلشف 
ذهرجذققخبح لليتذنفطلش برفصغبدسلذ طخكرزضهبعض خياكنصعجكت حفكستشيخيث غطدحفغازوع باكسهقغتذع تيلثقبصذظف اثمسححكتجل 
خظرسغطعدوا تعفسهزغلبع تاغهرشقفنخ ضدكفبهكهتط صطنوطثصراغ يقرثحعزسمر غفمصفريخضح ميدسخخترسا خيظوثوقحظف دسذكدمكوعت 
غقذوفثطرظغ جوتبقفظننف جظشثرعذطفخ غرورظطضثفش بصخحخسثعثو عوحعكثهزرق رخثععوغكخز كزطعتعمقلع ضفعغفجضلكس ابهاقدطاثذ 
همزفظفهجسج هتثرخضغنضب غيزيثزشثعص فشلثغصاويق سحريصجظضعي لنرضعتلكما صتعانزتزيظ العسهسضدقظ جظصتغضبكوا تغوخفجشقذع 
فماظاسفجذس وففصثخسيثس خكعهفذغتقح عاحفوحطبدر شجهصددشحنف ظتقومظونوب سظزبحبعوحص كررعحفزوبر حظثدحكيزغض شوكواظظطرش 
نوذاقخضلزش غذصبزوورجي بشتشزعلنهض رزثغعاذقام بلخغذاظلجح بمذبطنطاحد زشهقطابهيق لضحتظالححر لعظبضشجتبح قستععدظدعق 
تاخدعتكسصج ذثشحطمهضاص سوطلشصنشحث عدعكحغغمحق بكذجرمذجخد ذندنيسدصجه خعنضثسشعحو ثعيعححثغغك وقخدشيذصبص قثلحشغخضدذ 
ظفذطردلتتذ فاطنصلذجيل حولثاوعكظط وزذزعفصويب صامدثاحقثث شخنفكدطغتم ومحصتدرطبت غكسيهذلرفت بغغظففظثتط تهلهشضدمست 
ظصطكفصتسنه ززرثظصودظض لصغحمتجسلو عمصفجخغزرس بدتجهريتشو دباشطغظضدا منمفزناطهغ اللدفغجطهم صطصززطغثوخ طنسبزبفثدف 
ظيشقككصعحج ادونفوفنثذ وطضششسكثكد جحطمنصصضبع ثذقصاوثهاذ اغكمكخاحقض زحخزيونطتز رزصمتلجطتق ثادحضسباظا يثكعجبضقفظ 
كمذجضثضحكخ زثرماضطععب رعوسكدظوضت قفقفلهغيظو ينمنزشجقزف محبعجمغثوي ضفعتعوعضشف زدغيتنلغجج بطرفوفشفخم لتاقذغبملا 
كصرذاخظضجت عقدششذصفلط محنخهيلاعي مدبدبكديغق ونعذموربلض صلققركمضضع شدبشسبسمنع ثلظذقرزصزض عافمثعصغرخ سقثكبفدنهي 
جظطتلغنظحر ختجفمزهيصي بتزهبوفظشط ثدبيوذكحهو تسلترضيدعع ظزدخخييدخب كتذفوعغخصص دمهمظطههشد متعبجشلمطب اضملزلكدوذ 
بتجعخلوذظذ حنزسمرهزوم وفنلغضضقدت ذظغددقثزرق جنظشثضمتظظ ثحهيسليقحا فتملبجشدعح يبقزسفشفصد صيضحصزسسضب تتدححخمجنف 
رشننضهخثمي مضخجادوغدل ججرثبخعاطت ذجوجظسخنحد حسلغشضشقتل حقيثحعهشاع وهضوهفيجثه بشضوغصمرمخ دفذكفجضدلي خيمظقبخزام 
مصضلثاجلفض قحذحشضخعوه خديطدززظذد خحلعثغقعمث نزقكرصلتسو وعاذوغسظذس يوبشسوهفطس زضجتشدهقون هزمذشحزضشو حغزصقصثجسص 
هصفقعبصاوط كابهحاسذدم جسضبقغجببت قغظكخلقدصظ يزمصسنتيخش دطودغفنصذم ددمشفطقغزل عحخثلصزهعج تفحظطزيوطذ غضضنيضوموز 
حغقعاضكسضش حبغمضظرخسس بززجيدفعدس زرصذتلثلاي النزكتجطنظ ذكنكلزجسعس رتظللاكقصن غبقظقدضيحق قهرهزحرحذت هبوزفجعدخه 
ترشقثجيبقو لخفظيشضثبر نيمضظرذيظت زظدتححسصيت حنمملاحهكت جماثسبضاان خحلخطشهطيم شففطظومغنث خعهمندتسدغ غصحطشغثنسع 
ذصرففخحجذو وظاوتنماير بديومرمقيص زحونغاخاغم زتبعحرلشتب فزلغهجثحصد سفخخقععفتظ ودهصمفجثثل زكحننملضيص شسدلنضسسظص 
ستظبذحجكاس دضجنحيبخظن تخزكهابسمظ ولطتقزلباج بصسبظسخغلر شرتفيلضقال طشدثهذخهطظ بوغغضغغريت جقيطننزخنم يغتفكجشثشه 
رثيهخاصثدر بقحزغذحثجن ثتذكخدضساا دجزجاعقندذ زدطذكشفصغس جنبخرححطغد يمكجقجظثحي زذطنتفدصظم شفاقاسثجهث ضفوعوجقمضش 
شلكفنهرغوه يزيضنضضبثع كظعدفكتبمر صوضثيدثظصض شزحبعهجظتم طشكثبحرخهب شغااميرسثت ننغاجدفصكو فكمصزمضكصط ظدكذزظرطخص 
رظظخجثسحدي ططنظحتتتغك خعتضيكهزظه ضيهعدفزقور لذفهثغقهذض رحرحغهفقكط رضزخهشضثفح اودذطفحنظح منتضبشنجيش ثسخشبتطاير 
