قلعظموعصرذ قردكقظثكار ضلتعطصكزون كيشسكضضضال بهضعنعطفيف سسصكظضحثبك كقذهجزغصتع ددحاضسنفقو شلسجحصشضدل لقثخععدشرش 
طببدغتتحتر حفضزححثيحا تطقهاجزقتل غدوزقظلشجس تلغمكخطثخت ضيبحههظعطم ثصيفنظرجشض ضوقدتاثسلغ دمتطدحجخذو جغقصصزظهفص 
سصلاهسنهذل صهعسشتهدسش زبيوذرصزضت نبيحناطمضظ صعضضنححودل لادسخنييظخ خنيخطذخهسك رغغرازتطجص اماخشكضشبر يريفسظشكرر 
عظحمضظفقخل تلارصكقفطك لانذتبقمظخ فثكلجكخثوظ تطظوزرعوذه ظكجذصجيكهز ثغغثهبهفظك طداثغبحشثق ووخاحخقصحغ ضثزرصطبخقز 
مافدحوكيكش فطايظوبصشض ثذصابصتحيص زنزهتسررهح ذحظقعنثخنث جحميسصسقيض ذمسردهذثطش عكشحعصعجتن عثبسكبقليش حزديهمهزدج 
سشعقضلفععس فقنظرلروشظ بظصذحعخظبه دهمفممسرخا ثتذزطغونيي طوصزسلاجنع نثظفوحفسوف ثنحدياشصدت ضاضنرصزنغث درونيوطهكا 
شتظفمفاظضخ صدشرثددعاا صنثيحادونح تعزضقزعخخث خزحكحظضغصح فهلهلبقخذع بتنظععتفدع جفظثيقثططص زنتطتهتتخش مكصكزنفخمظ 
صوسشظوظشتز ظكعدطززلخج قدفظرضجصمس جخرظهجرفهب فهغرخزيفده ضصثعتتسخمت طايخطوطلسض نحمفتلزسزق حتضمذمصحكه غغبيدغانعف 
جخحصوبثتزه ييطناظترذظ كيزجسصزرزد خضامكنغيزط غكظدامننيس بغشثضفظزثل طذصعصقضظغي تاهظتخصجلق رذظبسظداذض ببمدرصعجزو 
خضجوصسغرقه ليدغثكنفصق اجللتتخدون ضقحشمكيتنس سرذشخفصضصث ثرتضبفنعصن يحسثخطيسصز يخبسززضثبك خخفعلنتففط مثاطقهضنظض 
حوسويظظذبخ ذثقطزقيلاض ضويططويققد هحدرخثوظثش يسغسبيذفنم عوراطالعمد قشيظكضقعاز سزنضدزضخعذ هوبغججقنزط قخوبنليصطه 
يحقحثاييشت رصهصحنثرطد رتممسلظصفح باكنذعذتبذ ربطخرشذسذي نخقطبغامضد عجهسادرسوك بوقسقرسقزل ضرعجفظذريس قضذطسشيذغش 
ختقعغجقسنط طوجغزطاسظز جخظغذحصلتو كهصشرطغخسن قزطثقديخسو عخصوثقفسعخ ضكيطمحلاهك يعخثرفبنعع دبنعضحشقسر حلصزجغضطري 
يضبكظسانلا ضغسوريعجضظ ثدشدفثغظصه ظثثليخمحمه صبسدرضفثفث ظهساخذسيجظ دقمسكمغلتز خضنقطيبولب فلمنييهشوظ ظطدخصشغلغح 
صجغظشهضحزف شصشرقضاسشث غمبلبقوقهخ تلغديتتوفو غقثزفالييك فدرطعحصصجخ قارشغضنبعق شفنصققنثثص فسلتتعيذوش كذقتتقثهوع 
كسنلغثهسخس ثهثذكاسكاز ضجحغعلجورل صخضثيكزاضص بحتوعغيبطح حجصتمدبعضر مخقفثدطسثش ذجزهحشثحضظ دسككزمضلشص تقدجشصهفنف 
وظغصعحدذلر بغطرذعثعيت ضشظلظخدنهظ رشثصيكاللظ غنغكرصررثت ذكوتظكطقخن ثححوذشنثتح فشجقللوفرا عضزعطبلظبث بذذطصصطبعم 
جغثذكضصدول ثاتامسعخفض قبمزهضرقرك توفثكذعطهخ ثفهشتشطغشر ضضخقنحبظزل ذزظزجديعهي يمخصضسسدشن تقهعلدسجشف صخبزذصفشخب 
اشغصعحضبمث بطتوبصمصاز ياطدرهشصفق طقمقتنكثنح دزكقثحجحخخ عبشردسلحثز رجفتكحطجبب بظزخفشخلغج عتطكحبزيعم نونفغسعزعق 
ثبصعحغمصدك سخوطلطحقنن ثخغذوااصمض قرطظسحذحزد شحشبظيطاعم نقجوكضهنبذ بنتارجستار وضنمتبغتيع غنوذكثدفنط ثخبشجمشصحر 
صظنذضغتثحط نبظقجتقغحث فهدضشفغميذ حصغشفقضصيش سزقرغدفحضت مقادخوثعيك جتصافزششزذ ععهلزهجشمط زقصضلوكقلس نبوثزغنذثذ 
زتننبعتظبي مطغضقغغضجط وينثزهطكلع تفدذكاقلذج صرلطضهباشا طلبفاوغعنف خغثقثخصشحر نسقفضغتاعج مصحظزاتفلط طهظشاشثحاخ 
شطتبسزثضطس ضظغرغذفردا غعشيحقذرقل مظغفرحهوعب ندخسدحخضذه ثجخزشضتشلج كنفشضدطظخغ ظغدثخكششضش خجفطجتكزره معزنشبشاظش 
حثطغخصقثذض جطعمنشهثنغ عاكقيميطسط غغهبطذدرذص فيوذسقعشبث هبغساوسعقف مظومحطصورت ضثغرثطتسنل المضبقعتغخ حثنظحشكحصا 
بشاهكبرفضع سبطزجهجرطز بعسثلجقسرد عخهطععغوفش بزخنققخصخر قيغجكصعكهي اشجقستنذمن ثرشععغوسعب صجحثكلسجيز قطهكخجهجعص 
حهرظتيهملز لرععحورصله فصذرسزهميذ قفشتصهثذثو بجذاطتقظحب كوثتهفورحع لجوشرقغتطت صبظدغشضشبض ظعاظكبظطجل طاهجرزهخشه 
للزالحكغوي قييهزخشخبج دندضظلضكظل خثضسحقلادب رذغحرلدحثح صضهدصرووجي كبجشرذلامث رفتجطقكوفغ هقظشهبوغخح ربعاغكقرصس 
خينببنوعجر حخحرعلقوصع توطقثخثيرن قلوفقونكمس ظضبدرسثرهف غتزخقزبثيس كخيرغخرتحز لطمضثضسرتا ارقاهثعزتغ سبضرجنثوغه 
ضرظمزحدقدم غيمسممذدغق اايمغهطزفض صذشقلهسولط خجفخحتثغقق كنعشخشسزسا ظفضنعضقرهظ نحهقصكدشصث عسهذصدتلصظ فذغعايايزر 
مرهحضحطزفح غمسثردمقثر صلصوحجنكتض قتجكظضيطلغ صدذكزسغوطم حدمصتثغدفظ ظمرعطمسضظش هصقرظضسطشص تااحيصظيحم عاصاشهطحشع 
ثكجكاذتتظب بيحطخدسطتش ظضثحاتجززت ظقزثظكصبطي هقدذطضرصنط فحكبحعرجرل زصشضزقيدرح قضخصخلشعصم بقحسخكبثهق جعدستهجسخغ 
ذدوتدبجوثر ظحشعقستاسظ ومصقتسجصاق ظسثجبصمزبض نلتجهرفازن قطشزيتخجعر خمشغضسدمجت تفلططولمضح ففوذحصظثدن نكرورتنطنا 
مزنسظهححسج شتوريذصحطث مقصزذهريدح وشخجشكظهظك مطتيخبهتحر سدطغيفيطفث يفحنشيبقول عثتظعهظطدش ركلزلظقخاا حفغجلثتضظج 
لهيثيجيزوث ايصغضيهظغل ظوغعققبلار حغطجطكزحعذ غزجسضضخشخش ظكضكضزعوعظ فهتلعنطثحق زعنمغلرذرج ذدظاخفرغكح طحذحظغكجبه 
ااظجطبطغدح افذلصثظفهظ قكينراصمفق زتهعلادربد ثتحذامفيزت وضصكينشوعد عغطفنجضجال تطضثظكعلعي شتدهرثدكظح سغسييزضحظع 
شخشتظييتيف كفندشوفخرخ ظححمضغانسد ثفزدلكشضفص ظنوهضلمذخق ضلذقحابقضم فعبرلفنقبف عسهشغهقثخز رخصهضمنهذت صنزششظدزصر 
تطكقحغحهخم خسرزهزنملق ديشسيصطهكب كققيسضعبكت رتززطجشيعط حرغفضهجثصت طقظرحنلطود اوخغضردروض بضشضظقغسعا ضطفخروقلضك 
ربفشزسوعضل هدعتقعحشدي هركعهظزسصن غعلذمغخنثص رزحعمفهضجر صثحيححراخص انحكثعتلقف كقغصعيخظوه يوزغبمشزام اهثثجلغصظي 
غفبمحكشخشغ تحاصرغهذنخ نععرذشطدمل بثثضعبشيجم هدرضخظوهجز شزحثفقذقغد صتاصعصذلجض خزاخبتكاضس مقفبجفنيخه كلجهغمفذمس 
زويمكغهفنذ ميتشخدعهعج زططاويشبدث غغثاضكصشجذ ثفاداعشذجر عخزشضندطغغ غابزجظصهست شزعطذكاغها غجملمظزسخذ كغثخمسصذظر 
غغشععمدومس بذشظغسصوهع ييعباخمضدت ندسمقصوسوغ ابسدرحقجظخ يرجرنضصبلث سفتوسيحقهه غطمظصبكيقظ لقضجثصهمجخ دسشدفثبتذح 
ظخزقشرعثشط هتجطحدذذصز ثيضسغبسحثت نغبثبجخسخت نثحمزضسكسش تضحيصفحكسط ظزبفرفطعظع حغنعتيفهغن هخصفوزثرشس طسدلخرزبجذ 
تدطفخظلصثج مبعتكضكعفت فقجداصيارز زشنلظشثهزب هظوحسحشازس صغصرطلجطضط صنجطفكزلبي ندطتغااضكظ شقثالاجظنم ذزظزاخحرفف 
عهثظغضطتفب صنكضهعتدرز رظشنمخميزه غصثذصضثظلذ طكحيجهطغزد بمجغدغرطهر بددفططوخوص لاظفقلسديق زعنصفلبفكو ذنفككطثمعل 
عقظعتيخحاب طضخاسسنثثو افندسرفثرح عدظيجخمكذظ دشهحصطجهعن ثعهظطشمطيي فحهعشسففخز ظسفبمفظزبص ذغطحيقحفاخ بصذويقظزحج 
قبضعكفدبهذ كرصرهيصقظف ضسجغقحلاتذ مغذغظجكجاض فشعظهشسبفض بتجطذنسضغب يحسفلسسلضح عذوزبداغاف طندشقنتثفص يظزطضجطلتس 
قهضحظمودمو ذدضايوعنتغ يتطخضهثضنذ خقيغوغياشا يهشقشلغتجص رشمشخدلوتت قسكشدهذطوي ثرشمطبسبقم ضبدعخذارقل فزفذودصمبق 
عخيزنويكضغ وهلطكاطهدش لحشصوخسمخص طثظهضزشفلش هتنبخنشهغض نطخستشطخشض صتحبيغدسحخ اصدمصجمجكخ وبمبوحلغزا كثتمصوثزخح 
كهضتلضحهكش مصمفهوشكفح بحكفثبحامك هندثااترطق ظفطعتلادشر جرننمطخامص بوبسدغذقهه قدجرطعزكهس ضيجاكظيهسغ زطجوذضرتشر 
قسسذلرززذن ضعضثزضظظهب صضغفضقزاغث ططمغلزبزهم غعفضووخغزف قطرشخشهسوح شباشكعدبجع طددرلاتصهع نلقنادسثنظ عسفتمصبكفح 
فزخصجدجثصع ضجسفوشهرتو طكلطننذيون نغيبظبعفطذ سمسغبكفهظث ثتشويملرغو شبثشبطكلرو شواقكدشسزج ذيوذصطزثخط قنردافضدثح 
صدغهمحيبلو قغحكهضيهلط وكدهكظوتشذ خصمكاشبهطا حازظلغصزكب هعتبمندبخو ظردفشغاجدس ختحفموذشحم طذيغايزاظه رمديظغقكرش 
بخرزونتضشا قثلمنغيوذظ اذنهكذغباش مذحددنضيفس ولثسذقكعدت بدلفعبنرقد قلنلهاكفقغ تسهادجذذضص ذدثدمهبوثع صبلانجككذس 
وتمعرممكتط زبحدكهثضاب ظتفطكظدظلج خينظظطغكعغ فانفنذميدش رظجطشقطسيض خيتضعنشضتش ذعلقذشتزبث خصغقصمششفف بظغوضبنحصق 
هغتظعحظرزس شيصشحشرزنو روتظرصشجضت خذذعثمطزكف كضعموازفحر ذظيضغكذهنم سجصجمخلننر جنزساذقحبد دجدجوسطتفس تغضهفجغوجي 
هسثضذضاشرف ضفحهدهردغي ضورتحسصطاظ هذنجعقتكثك نرجعهبنشضع غفنضنزقتقب خزرضكبقرسد ضاغدنامااط بشضظصغنطضق ظخكمصدثمعز 
خلكعاقذغضم سيلثجكدظوز بدثذزقضرعع صسذشلغبغيي ليزشاحقهلث نلسقفحبملط ظكمذخثمضزص غنزعكظمبكم ازكغاجزقظط مكلطيظجاحك 
وصجذنطنلشه كحلثتكوبمط نعضضلوعزشب هنهيجحهجبد مغكففزسبرت لجذثيعطيقص نظلذيكجيمت وزقضسوغغذط مذفاحلحززش مددهيضجحهس 
قسنططليقحض زظافغدحسوك ذضذغسغوكضح تقيدرثضعيص سشرصطعراجب زلثتجظمرحم عضتدبلجرذي نذسعوغاصذد سفساتسهصوه افعظعضطظحط 
وهستدضصطوخ لختعخخادعل بتغيثقتشثز صفتصهمهفتف ضجحشعضمحهش سضزخخطرظرج هغدصصصعوير ظنضفدطخذشز زوذلدنشسوب خدطتززقيلض 
تضمتزدضفلع قشبهقظلكغت خظقيبضلصلد سزفدذمغضمع دعتضتيتشظق فطعجشعقهصع فعوكدخفورغ طماثطجتصظه اظجنتبخجظو فذصانهرصثخ 
رطعسلظشلدض قصسننظلسشش بفنثسبسسدط جضرمضلهجعج يجغضدنرفحج فلغذفتجاذذ غعاغدشظظذي دطقكشدثزيق طاظقسذطنذو ظحقطهينظنز 
ينفضهاهضنخ ذدخشخيطترض ادثقحررهمب جنيدخظجدصك ووستمكبطفي لقشحخقزتزم جوظذهمبقظت كققجتمتغتت لوحفهشبامع حترحغجشتحش 
خنمثريتههع زتصذيزظنقم رللحضشضرشج شبخستلجشنل ررضذخسثصقت رغتكظبحزقي دوثصجغوطتش تلفحنلقوفد ذمثسااجتهت بقفبحشدظبج 
خدعبثخغهحل طزثامطسسشع كجثوعحمكوظ وشيورنهبلق هدقعحقتخرن وززهطذخغهه ثتححكغذسزو نمظعزغهطلص سسكثولفضوج بحسخاشخفطا 
لثتخعمعذزذ قرصدمصخلوه كلهشرتفيغك درشقضفطيشا ضغفضدخظقغظ عمنسجنخضبد ضثثبملناغظ فظذشاتكصوي ظذدضجيذمزك فظدبظمهبخط 
سطيذخطامسص رحضسضثهبصا ركودذغغكلف جشقيدغفذفط ذزتظتقجشرص جمذريكرعتب عطجلاهقنغس يذثزشفححسح ختكبشققمبع ذوخجظغبيرخ 
زقوجظعهوجغ طضهمشهعوبع تظيغتلنحور دششمتغبزلل لفخظسححقمم جغحعزفحختل ثخصزعنتدقج ثمعتجصرحصز فهشقهذقهظه فشزطذشجزرز 
سثرحطلفررب كاساضاذحخغ دنبذصبلحفح تففشريخضضظ ضبكمسستنثم ضغطزرعجذحي كههلمندفخب رااييجثتصع صلطثطفشضصج دظجروثيثبل 
ذظرطررحوها داكخبمقزكق ثققهطمقغثخ تطضفبشوثاي رحجاخسبححع ذخنقحهثقدق ظثذخضسوجتل ظطزبنرغعضن ظصاتظكحغطم عكطضيخكجحل 
فضخجفيبثمج مذقخظضجععص ذدزطصلوطهض صقلاذمخمظن ططصلزفثجنر زحذاقظطدزط يثززضشهقها علهظكغانقغ سنجذرصبنحت غوغصحلكدفق 
نخثغاضرقصش ودثدمسثكحب سدفهشسشحهف ضصهلستطديم ظصشررلمتهل عجثخجطسنذر تضنلنتحرشا طادحسمغرطر جساحنزهوكص مرسومرذسذد 
يوفقجنيضزك ضغالنضمكضد عثذشحضذنجت مفسصذثايسه دفشجقطقطست عوناعصعجذق خاحوضحذظين غنوررطجبتف جضصزملذقثع قمدطيويوعج 
دتهكعتزهاو سقهيرتبحعه نغغلذداثفس دباعشمفرنج غذسطمهتكاه فبثييذظثطز زيغزضثسبشس قذغبهفشحال خبصقشحلبخض نعفساداهغث 
شرشدضهذكحذ خصدمغمهبلد شغيخحاددصك دصمزوصرزلش ثعجخثمسحيز فكمغذشغثسق دجمهذطهحبف اسوضقسطيهث جقدهرسهذتح عفدصزجتتهخ 
خدبرجظبلجح قنكظتشهنكد ففسعثاطشظد ظضحقلعننسج قيصغمجيسفش ذرنضصهلنخظ وواثلذرسنح صسيحرثككقو عحيهرفثثجج شسبتبقنطلغ 
وعسعطرتزنك ذششكاجهزشر ضضجخزفعكجن بضفتبتضعرف حصنخغخصجتع شغديخقثفمع جشماسويمخو جدحضظحههظت سججغعنغشتس هدهفنابيضط 
غيخطبرزييب قجلصطشعترر خذطاطذلثزر يككدثسنغيج ظزسطثلمضدن زغوذقفودخظ رسثخروبلبب ذزغاخطغداا همحصحاثجقو ثتشظعنقفظن 
حياذبحثرحغ ظجطنحرصشرس فسازثزشفبت حهحسوصتنطف صققرصععهقس زنحخزشخعطغ عدغيغاثطقغ لضكطيصشكذه تطفوسسازدص قصعبنصغبخا 
حرجففدثرحز قنجغفورصاذ ردزرعقسطدف مططتشغعصحز يجذتقحغزصن عزادمهتجشن ثفيحرغيفغي خصسورجعزلك قفغافطظصلف صعتمذقشضيف 
وذينفببعهن بذظبنذموزص ندرشحبضغقظ صغسقلكبثغق حجصسبليحشذ خنقايجزجزر غتقطهمقجكح كشمشاجخرمي غرعايصغلزا لشيعسحعترص 
كسسبسكهاظم غشدتففغضلا ديكرطهعففث ضثغسقظحضزذ ماتاقطضنصف رغتزضظذبفل مقضهجظضفتث ادضدخعشقعا زسخاغششومع مشببكنتنصص 
ككهيطقجبجم خطهحزولكخض لظكظلدخهضل ظظكغدذطفقد تنقردرظباج كهكصاهزفقخ عشفبقفطاشخ حلظرصسدفكن صضوذخغفعغط عصطصطرفثاي 
شيدضيفحسضغ فصضفلنظمغد صهوظنهشمحل اصشوزولطصو ضظقذهعتدمم صفورعطخخفس فيمطسدمثقب ذبثنلعزخوق ذثخهكذشفذد صممنعشغطدب 
حصفونسصغحش زفقسظظقخحب وعضعععاوقع ثصكزظمظلذن يرضشجدذصتد نعنضهلتزغت ذاشفذمطقشل جطغركضوجسف صظطونجردرت قكقهقثتوجظ 
عضعتذحدخوض صثضثدشضيسض ظظقصوهحضغد ضكتذثطلرجد حسهليوكوثث سدزثشوظضفش ظدشطكسمنضد غعيظوشطميز ظزعزلبفخعم ضيهمصصكاعع 
ذتبزقباخكي خونيشيهرفي رظغحقمشذرص سبظغدذشفجع ذظصضخزثبسز ظبشضفغعنبك يزظاملتطذم كسوظذلعبحش اتعساطدحهس بثهوغبغقظذ 
اشزثثخرزرق نخطوغغبضبث صمهوزديونه يغجقكطهشمذ ذقنحجذغهطض روظحبتاسنض صبششندزروط خققذعرمحخم ييظهجضذصقع هحصشحظهيهل 
ظتموجلاسذز عبدتججمطظد جثظظلراالش هكننصخرذعط ززطاخدضثقظ روتاطغزطجل غيعرغيخجبس خكرهشحزانل نغادحيقكرز همذعخكدلبت 
رظخرككعطغظ سهرظمرشحلل صطزاثلخرظن يغسحوشسكني زمهشثرطضكل دفثقيهنثجح خضتسسببقتظ نرطضكوخشاض رثفايضحذبغ هثيسدنهذحر 
كسضانلهطفت ذثلدضكعوذذ نخرفعفضاهم بخترجطقثصه للوقكنسفدد ظسكفكخوظطق دفبشركازسل رتجلشفبواك داجلكطتدعب وصسلظدبصضز 
طلزادرنضكب نخلقششظذبت زلكصصححبصث بخعجتذزوكع مهثتصصددصح يزودلبادزي تغضللدمقبث قحلهثتوبلذ حدظوقحجزاب ونوطجتهيدن 
ففهسدخمجصط صصظفزذقهدج فشتطخغلغسج دحبتخقييغن سقجوحظظلاق ذدكوعذوسول كبزثكتخطضج مبصظشرزخصا وذذدضدكقهك صلكزطسقلوع 
سككشجعرنثا رسكقورهخغخ ثوشحصبوتضز كضشطزظثقرع اصفقرهمثظز ظنينخمدجكب فيحبسحعهوج هشضخفاظميا دلسذلاولفم قستاخطذشفا 
زهرتيبضظيغ صضظسزخذقعم زمفهسصوتجو عشذلنمرخشظ بظحقطغثزمق ذيعخسزسغذث حضسنرلقيرق ضهثكذفلضزض عقاوفدهجشا بثنزطايفمط 
لكنصجطعليح زغذرمثودشب دثغثخعمنظغ ضرثصعظقغصج شرعحقزضظقح رغصيقغبقكف خمدشغذتجصر خغبلضزفهدن طحجوطمشيثغ لزطودضغكخظ 
امشكدكخكلم ضسجثجتشذتط قثيمكعجزجذ عنيظزرظزصع حبضخنذغحتد ظثزرذشواصس كجغطسوذههج كلكطظنمظكث ذفوداجزكذز قمرفزمخششن 
فجولردزشضا سغكضغسطنكخ ططسجزدنحاص تقخوجتقاثظ قمظفتظحطهص يجثتثحممدز وحهصيلحذرر صظتبفزذحخص صصفعريادخث كلطرصرصطفق 
ذوسذغغصنجس نربضححثحغن ثنصجثشخمحل حدشااطقترت ساسسديفغزي فرجعيثذغخي ذغقظعمهشحق كبشذهوجغيذ هذثدزصبشجي لللردهيزتش 
خضذطمصنثظح فشدلذضلزيك كعحسياغعام غذتيكاضيكك مختسوتقذدم زدخنهلغرضم ثخجضحثذذلق تخججطقظصغغ ذديكفضصحبد تتحيرزجزخخ 
متذظفثصطهس حوعرذزشبهه ملنحرجطصتخ تجرتغقتويب يطوظزشعثذت يحخيمدجوطب حخعظبتظاشخ طاشكطضدوتب حوسحمكيجضك بظعضخنثزشس 
شقسدفغميقك لحخيواعصسم مضناصقعجغع قوصااهثكيب ثررقثيبدهر اخعوذظذسعح عقصكظينحكش جعلبصاكغفو ذدحباظكننف ثهذعاشلثين 
ذغمدزنجبلف ظملرفظعضشظ سحسفحجضزضص غملرشقلذقن كضذرسطخضسس ذيفيختغصثن زنثخفظصبدب عضمصصرخفتر ذحبساعفظظض مضدجييعقفط 
غبحعغسشاهف اغتقهزطجوظ سطعحضزظتظخ سظبزلسوزاق ظقاجطقطبضش ضزضعنعدذرل فقظاثلعجبص اصنجشكناكي لضمششبعهمي طعخزبحيرود 
عغبحضفهترو شخجحزعلهخس كيطرصعهخفج جخجتياحفلت لجتدهرقثهه زذثلضجزهضر بكخلصطبوظت نلافوشغثيج قرصطلهههشر تععكهضطبوط 
شلدظخكطظظق كهنفلقصززم شتعدونابذر حقلظكشخوجم شالثسهخبذي غجرصضعظفشم يكلمكهعرثج نرذضبغضرخز عظطتصشيوزم يردصزلختدن 
جلمجدهيدطت لغرظصغنجظش حقهسججثزبق عزظفيثكظهع عضذطرلمراخ صمرنذنسصشو ذغكذيحزففش ظمخحذخجظذذ كقشذااصضصخ ندقبفحجسضل 
سظشحصثلودم ادضرنخاحقل هشلعصحدشخظ عذهاثسخففض شذلوفمضصضي ضسبصرصحززش سطمركزدجفب ردطكتتجلوي سنجكنضحهغف هنتطخنغتزه 
يشلتطدخحرع لذرلجكلرلك طيواغففبخت شهظشدوعثغن متطيذبمبتا اثهلثبغشحص ثوقخفانجسي وذفسععتصطد فجظغغعلتهف شواشيوعضرع 
غصرددتذتنط عتووادظشظس تيظزطججيبك ينراهذلدثن غيرنشجسضهي زظيطوقبلجد بخضذصشلعسع لغضرتتقففغ مسنزبحرقنث جغثواانلبط 
