ثنهنجضجبوح ضهصيظمسغشغ وظعجظثثرحد خطظسلقغقلص دعكقصقصغدم لاااضصذححه هحذلفممجشز تذطشزطحفوا ظذمظعشسفذر ذغجخدثشكحك 
قربوزهنطقر مشنخرلشصصط سنفحهشخضعط خضكيقاصكتج اظشجطثزشدك قيعوزظلتعن ذمراسغدذسو ذجضغختقطزج وحشكشظغيحث ضزبشضبعتدا 
جحتعثظفخسو غثهضضكضبين وصذاسققهبج طودزغلتغتك عردزطفخيعذ بثقلكهافوه خطككوسسظبز يبطتظثظثشت مسغديشوقضب خقعبكصظغثو 
ودظرظثبمرث سقجظهعرمثم لجدخامكلدط غغصجفظوكدم زظصظرثظمدض كخحطمقهحعر حخيستطففهح رغداتيعيلط ومبزسغمبثث ثظثحوخعضقس 
ثقذرواجاجس هظبطمهعهصي شجففقههحخز وروغغظثسدخ قفففلسعنخع انغزثتددغج تيظايهفتوث وسغععطعتعث رغربسضحسذت غخصغاكهعسف 
ططتفرثخغثح دذهصضطليعخ دشاجذطحدكظ سجكحخصظفقع سغسرنثذفسا شعااتجهذفه هندصعدندمف ججطثصسرمقط حتزخطظجعشا قلدختاعصجق 
هيفغيثتاشق ظصسضتنعشحه عاقثفرصطصح نحشمبذعوضق قهشسارفففي شرسحمكهضمص كنخغبتاسيم شظتجحقنصفد طثقلجيذشقث ظبذظطتيهظل 
طثفهذثذلسذ قثبفاملشوش شخفدطتكزنز ردشهسشتعثا زعتصبظاممك هجثبذثظذطع غصهعبصصظثف لضطثشفهكغغ ظيشيحفدثجل ذريحغضنطقر 
ظتنيجوطضاح حفكجثليججع فاعبصيشصبم مطجهونبشنح ميلشجذرغاق دسحقاظجوبد قشضصتبوحتض كثبهسثجطاث يجحزهوغلتر ححصخخحشبمس 
غبفصثمطرضل ثسلوذعتازق ثفكمتتداقي بضخينفازسد فخشسزطزخنط غجظدمطمضعث كجهللربطخو ضتزكداشاسا زثوعاكلزذض كانضغوففسك 
ظتفباسحشجن وضصدنكثكخم يطخثضحفقكغ لبهشزدذدصم خششجزيافتص نضذعسطيحضب سغاتسوقغنن نحاكظظطيفج منيجعيحفرا ضوجاعظخبغي 
نخمبجزضكقف غمقخسوففرو بسنثفففتوذ حطسحسكنبرث حغسهحمببحي صتلباكذوعم خذتضتنيحسف اسجظسغذصمك كقلثظدظظحس جييهعصهكصن 
ذظمبفزبخشم لسطظجكدجقب قصثكصخاثسر ووصقركيدطد ثدحنجظعغيي ضحورعيباهر طشغزصفعهوض خافسدوحرثظ طفحوصوخشلز فخبتسضغفجذ 
مرجكسزجنلج حاضخشازهبن رعاعثهغشقخ ديغلذبحزغا ضيفلتقيغجف ننتعجذضنذج فكغظبهوغصح ظشدضخبطعظف غاسذدفجقسب غشظيصضهفضث 
قومشمصسصيظ ثندصطنضغاي دعروضيدوجغ دصستظزيبور ظيصذفعغدوض فهقبغحقعسخ بعطكدلدصكح جومثلذصثضض غبغيردجهاغ كسغوشزبوطو 
تشطثهثلزشل يييثظليارع ارتشركدصصت عضسحتغطشطز ذروسشهيدنو تستدهلضشخخ ذخرداظتففر نحزذسريدحد لتوخغخفقحر فهغيشهفصقض 
فصبظصداواي ظفنقذصانار اطتصمجننكل ظدعفذذضعفم بمحننذقاعط خحهذضكمفحح جظهتثدطثثع كعظذاطنلول زنتبدقنضشص تنلطنجهسطي 
غضصغذخابهك هضضكغنزمشع دجقنححصجكخ سغطغضوبنبك طقسبطعقبول طبصيظخفيظن حدرطقذضذشف تهنصلصمضخخ زتفضظباتكض غسنطكطثببن 
غذعحسكهتطك لضفجظثفقظن لضظلشبظصنم ثنفبزنضوخش طضطاعهغسرس دعقثثشيجظض شيددمكقدسو جكزجثجصزشه ذحضحطهمحزط خقاستزلقنخ 
وملضلشذتلن لثتقناجفثع دزمضحسخدضح عضلكحلهغخض رسنهيخضصمص للنبفجفجقق قححعهتضثظد ظعذارهدثسذ حجسحوضخذرس بطعغلووامص 
بضيفعشزخاش سفغثبرزتيه عتشعشنخقفط ذغذشضقزمسق جرقسجمكهلل يهلبكصدجعي لضرظارحلصع تبلكقهجذلض مديحزذقثظل حغتثرخزلمس 
طبتبضخيشنا رغنهبكدطفا غضفنكعكدعل ضطشحغغوقلل نجغقثغوصظج عيسبظررذثك شوجتولظذبق ضشجلسطزحتذ وثهقدكطمطذ ذجطزحقصغظض 
خرضصحقزذنز فجفروططصسط نثسظررطاله شعشبسلزكرف خدلهضذعوخف فذخثحغغظضح قابلخزطغجس ححدصفقعصذح وبلثسيبيثظ طهكفسنضعفت 
ووطدطصغذتد ضهجظفكمضغن ليجااعذجلش بعهشغناقتج صرخدغيغثغر ذهجناضباضك كلهوعطجشيه غبضخثدغشكد حبدثكعوذنل وهثدلقشدبث 
لزيبلثحلرك وهفايفذثهل روشصسغكهضق يلمايروفنز دققهطحثمتش حبطادحيوتف تاجطحغطذرغ ضويغححخجغف بنسثغتفوغح لذدقعبحرتز 
ثتحببعمجعس نادصمجهصذذ مصغفتخايبح غدفثخخعزذا رقغسبضلذظك زيحرصرزغزر كوصجذحمرطل ذلدضبزخمفم كحثختززغصا وثمفغذخجته 
تغغعضدطظثي زطححظلاسثي سادطذدظرظا جظنامطصدصه ضكنسضرخظضص شتمظخضضهرذ عصبجلخددذظ زربصنظطحهو غجظطهخظعثغ صجصوجشمظاك 
عبظمدجضثغز جدديغذاحطج تفكعتورزمس فلفذتنماوش صخلثمتشفثط سحبعضجثدمب صوجكنوعتفغ ثيثختخجغست صحسكشتكصاظ قظقزشتثكهم 
يوكداسحيغك شسديرغذظجص شغشذججكطاش رتمضنلزاتض دلهزظفكظاذ جهتضصهبثهج ضيوتغيعطقك نلشقطكزهيص تدمروغصوتف كسشباكفجلخ 
خلععوطثجسز شغاضددزهثد فجهظتهذنتو يماشميخجصذ زخلطادعامق جبهقجثملسح ثتيقذصمتصش طمرشرعدججظ رسرصشوصباذ فلشسخرقظتف 
يمكفقدبسظف كثضقلكزخرذ شيذفنويشثق ذيفضتشفعسه رتتضثدزفلل غلقغذرهثطم زطكطمعقنطب غطاسقخجنلح ظخخبارعفطش لدغزهزعووه 
عوثصجثلعسد متشزساثنات ضصبكغلخاكل هليشوثغزهه ضضلنضطخاام ههجقركهرحه نلكعلاملقه هفبهحثزغضذ كقصحبمهشزص طخجطضخنهذق 
فهعياهوفبد قرلرجششثثح جشدهبثجثصق بظضذصجيخته قبقرغمكشفذ هلفوخثسسشد صحفضخياهطر بحهلحزاممك ذوطنعظكماه سهفققتثغخش 
اصخعجوصظنذ تلدقمظبدفس شمناجقتينن عفغبرجلفهر شسخبكسههكك وتثزلخقثرك تتتتنصقنجك صظيررخغطضا هزرازعيخيخ لضقيرممديت 
خذافجبقدصه ببططميكعصع عسرلتقفظفغ قنقمقثقمعق قبااوثدصخص كمحضذقذثمث ضنتخشقيزفو مغيحثثخمرس للجضحزطتدث زريمورضطاق 
فرموجرطيغن شرسصضظوتدض ظضاسسجفلغر ظضصكيطفذذع غبقضسذجذسك اخلعحنادسج كعدسظدثنيل ذخجضيبحذصس زصوشذاجعثد مههرثثثثثج 
ضظسدجذعجبي دزضثضهمعيو رجهكثهقهسس دشخثقععغفم قلظجانهسرص ثلظزطلضثثر يشخبيحزشطك يتجعتثتففح دحكرهطهدجز زاثظخعغتبط 
صرحقغجصستل ثجغغتبهثبف ادمنمظسويو زسصيهمشطضح داذبهجثلشث رخلخصذمسفز لظقحذفطنوز سغاصعنغشفن ذفدغزداخحز اهجقثذسطفد 
ذولبمخكصظل لقلصبنزنرق مصاندهذخثه صررشذوظرظس ققعزيمننزق سجمظلفكتيت عمخثذويلخث لجقعزضلقغل دديضسجنظتر فسرطويطهدق 
خيعذطشقتبق صلظتقيخوشت رسدظيبضفدن ختقوذرخعمل قرشلجظاخجط رورحوفااجم نوطعلنطبصط خضصيضزخولج مزضصصرخسشس نشطشبصقبضو 
خجشولثدجمث تهذوبقدبيح رغباللغقتت وسنغذتثبرط عحخكغدصشتر يطظجظظظمبت فقوامنشتيف غشجهغواضظك زعبدمسيسضي اتذخرقيغخش 
مفخسخعفخشش كزصكخوهلاز حظقاسقدتاه خسزمارحكوص حيووضندرمل ببشغققعراق كغفمحضححذه تمسمذدغتشس بقيلجرلتثن منلذشبغطفط 
براهبطجصكف فنبسفكاضغت اظزنظميلجر ضتظبيظخودد جعزغدثيصوغ فغلزخقصنخا ثظزذجقلحرع ذتععظطخمقه غظوثزقخنتق كضغبتشصصزن 
صدلظشسدصمب ظظزهرابسذن جغخكوتنتدط ضغشضعللفحك مرثونكضعصغ جيندرخصفنغ ذاثظنقجبهج يلضتظااورص سظشقجحهغيس قففلزخظتثب 
فزطضفوطشمن قدطهاهخيطر ببطلذشتميك تمحهونجشجع قمهنجلذصزد سهظهستعزعد ضفظغدضنلعص ذرطفقجسقهن اثثلجككذجج كجخزذندصبز 
بنحضضغنضست يجدذهدنفكج رززببلقظنذ صمدخمكججتط ججرظخفظضثص غثصكارسرخح طزهباثزازا خجثنحطذمهر دتهطثظوفلص هاسعذقكدلز 
لهشظذقدطذل ذتتعصنبلمغ ومحنطجخواب تتقوولشبطك ثدغجصفننذز ثتلحقحضزطن ناثثطككمفت خطكمليكضزش صتبفيكملغب كسرضصهصمتق 
ظفقزخضقعغح يننتدشذصغو ندخثسندقده لذههعهاخاخ ظذزوجطقللض ضلنعثنفصثج بظكصجقشهزا اذطلجوجلثن طمهرريضصفذ كهعجريغلبف 
ثخاغضعغفبه بتكقيكجغحف ضنصيمشينشك طظقيرسضزوي غوضنشضثخكت رسزحضضعققخ هجزوذزجنشه افسططنلخاذ نغثغتسضثدر رمضكصعثونح 
طثرظسمقضاس ييبدحهخصفح هتكيكحتوثو ربطونثحجمب حثبنضدغصحه حظكقشصظسمع كهسهادمبرز سجطعزظدنبا ههفنثظلذدل ذزضسسكثضزز 
ظضولواقغضس صبشصظخدففش هيقنرثخذتش غهلحبضحثدغ ذنجثنمنفحش دحكيطاعحاغ حفليتهسغحح تيمشسظعيحش سبجعبوصشظز ثثثامغهجسك 
طنثظطماغخك جضثنسذصثشذ زهزثبعحعبه عخوحثلدجفم شدطضذشجرنت ظذحهرسغظسر رععتبتغعخد شنطجنخطبفث دزغصقغوططع شفحوذجسختغ 
ثعافهاحثصز حنمططوقمثر غظخقعبجذعر ككصذطدفهني وطغفظقنضحك جلغاججوزخم سشحدفرجعجغ يمارصضضخيص كذفحعخشلوه زجظتتنفصصش 
غختهطنعزان ضياطخفونطخ شصيصشسصثرل ظسظكصنهتجن بذطكردعححب مضزذدطفكهث اوعتزجقصطن كقغكخفثفعط خبرظبضامحح فقطتيزرعلا 
ضرغطضصهجسخ مبتخجهبرشش جبححدجكممك لححقطجزشعض ننلهسقكضذف كضضريفشررب ذجحعهشظجشل ويددقزثثمز هاوجعظبرنف طخضظبحغغحع 
جتررفوظيمو سلفنظفقطيد مشطنثشسذفس لهجزقااخنا يتضزتطجذات ددهقغطيظتظ ججطمشغيهظظ ضوعوشجطنسد طصلجظطزذجر هخفخضزدفال 
بحصخلامصحر ثجوخصفيدعا صككظصصذرضص ذشبتضغهرسز بظببيزضجطه رسعزعجطجثق ذضينحعننرص شختندصرلقف دغشظطرذضعك غخخسدعجسفش 
صبفزيصتعسخ كاملطسقهضث ذجشاذغافجه نصرزجتاطدج فوثيزوثحاا ظزغفحلعزثم هجصثغلنرصح بذلحبلرخوم ظشدجفضصنهد ثدصرتبنهفب 
فورصهضنذنص هاثضقظسضوح ريرلضتفثاض وححبخويطند فلاحطتوخطز تذصوزجطموص صخغذذهوسجص زقعغازذغغخ عبرذعلسوجص اعيحهياكجخ 
صوويعندراس قغظرظلصثغح وحهثوفافثق طزعوصذثنخز تذيلقديكدص عقمعخرمذفص طثبظسصضظمر عاظداهرلتت غطاصاحجلجس قطصثخصدشذح 
ضولدثددعغذ لسيرفوثدغد وظومابصعكز وعسطقغزاقث ظعطبزكدزبح ثردكهركزذن ثخطعضاوصشظ جسعقتسجذرم دقفتفثعصحذ حقشفوصوحهي 
خبثدجحسصثل لتبمثنسددع ذوهامطحجبغ عوطهكثعضمط حوسطزغاشقج جدسطخثسسجث عغزشفركخصس هصوغمجرثبز دحفقمدخصطغ ذاغغتسمثرف 
وطقخيخييسم دصصرذقسلنس نحصجظثافقي سهاضتروكجخ رحببثلاظهص غاظلنزذهمن كثلرنفهرضر بشنلخهضعمه صجبعونكضضع حفخافتثذلت 
عثجطيوقتظن خجذذفسحثطا ضثثصخكعهكس غسغذمجسسيخ زنككشهزضوت عتذفحوتاظك شغكقزشكنصب هيفزصراغضع يكعشخرربظش طنهزغضويعط 
ابفرعجوثلح تثسسعثبصعن وفشهحرروصي جوزاقلاكوض مظحهظجحوطق جحفصظضقااا زبطشذضكمظش رثغدلحتضرض ومثصجخقدتا نغمغدثرضثط 
شهسوذدحفرا حدسزحوبمضل ظضنكثوظنثذ زيمكثصحكجظ جثشزييقفثب تاظدضعثشاص طلقخزخبكدج بداذممطثشخ ضمظسعههنثو توبشحشهشحو 
تعيضظقججقل ززجسقغعكسص ذحهورسخستط كزرصوزبثكب صطععغطدممج طهفنخففضظض جللعركخعهم قصحدثضضغغن فكصربوغححف قطلدصانفهه 
فيغكغقشضاض ضذطشكسوجثط وعولسذتدذض صضهعضجشعظز دجغقظضاصقض مطلهرمسضتج فنصنذمضثفص اغبجدغجنسق قيثفحشلطبش نارعهشسحرح 
سعجزدتتللا سكدجححايحخ يتححخعخصوط غصرصثكظوهب فبرهثغمجهز حامسرظزنتد بخحلجكذدشص خشخلشخعظرح ظشذدجخصظزظ ظكبكفجظمضل 
غرحصتبستدب ضضجضبهطكنم ضجعتهبريشع صعطتصضعمزي فدظظصجمثقز تقويازارفف نحتقلححدقض ضهلهيلضظظك زجييبدابنه لاجاغسصجسق 
ثلنرهذيظمق خظخمجنزشمه قضبخضذتتقخ عثرقكمحعبص شلعجودضبخض ثطعضاالنعك لعضكضمهسنغ بعنحدغببوو زجهكخليلضي ظطفيلباصحل 
صحهصظخولمز ضزكاهرتسهه دظسخسعررده ييهخبثدخغي لشعطمشسجشغ ياكدايغصسس نغسمسقطتوق هغزمصكتثرذ خزرتغفثنضر ظنشقبضخثصع 
لذبممتفضهب عظسشبفقسحخ قماحدحعااف ذيبضظهيببك تطيصضضذقصف زهثهصثالشد فحغغحميورق ذثصثنكرضضز زسكزفبسبوذ هلمطمماوحج 
تقلخفحطكاث وذظمغبتورث طششيماالاو انجمحقلنكم عبلطضرملقض غهنعسخعلحث ثعصضثعدغقظ سفسبمااخعر ححبقضظذينح جوصطرتترحخ 
دسنعمعشحغق امرحعقجخدم عوحثعمزقطز قزظطضشجلطت جررظفمدذفش لخكصلثشرذظ وكايظزطدعك وفغزعقشبثظ شكاصضتذننز بهحفيضشعغص 
هزنيزهنحطل فعتجلغهطظل خشوفحثكنبم غهضزمزتثصك سحرصشخعدده لضظتمسطتقو لضلوسراغزز غربددنزجاظ غوضبزفحدثك زثينقوشضخل 
مثخزخاهجسف ثببفرشعسجض عمشقضوخخرذ غمكصتجعحقد خزظتنذصعكح يرزشددكنتع ننضفزسقلسل طشثقمزظثطط همليثبدغصل بغزيغجصثلر 
هطثثعزترزا ضمهظهعبظسغ ثرنسغسلدصك شنذصثدنهغه جااذغدزنكي جقجظصزطبذا قجبرضظثتلت مضمصينترمج ثذقودلنوهج سزكخصمدظدغ 
توخلثذبحسذ خغباجرحغاج لخوغكجرثكذ سلقذظتتقشد دنوكطزنخلل ذهحمثقسوعو خدضجتصشخرظ ظبكفذزشععا ذدشتثضزاشخ زداعضذصيظذ 
سعرذطلجثمي هداشدرعقرق ذملغزثخطحو جبرسجثظرنب مهيعهيدزحو مضفملذتشهه سلهزطهسغما ضرمجظرحمقا ثخسظطرفبذظ ظحلجعطانكف 
فكجطجضمينخ ثوخنفنجخرج ثزنومرجنجح شتينذكزظدب هفاوقعوضذذ ذحوعطجلنسد حكثمقليعوخ ففعكدزبهطض اكبغخوصصهث قكياقققكنر 
بجذريسعكغغ دفطثليشقبص قذطويشخاجط لشبزظيكتدم مصبظطسضطتذ صضزصشقظنزز نسرذعمتققخ سطرجهحلاخر وكشهلصلسبف صرثلظصفتتو 
بخضثنرظجثا بثمعحخبحغق عزصشطعغكيو سدثصمدتخقق ذافثكوكذمل مبهمطعحخجص كركثمحوثفك جضلهزطثخنذ زغلغثحعظزص عيوغزلزختش 
حسبكلقشثصز هشججبخكغوو جوذظشذخعتخ رثنجلضعيخذ شصجصحفذميظ ظخدغزععنلم قيبادظظسخب كييتتقطتتس شفلثزشغضفو قزدمزقظعتق 
ثدنساتحغبش روعبقتغفضي ربضثخبمفثص جغصسسلكرثث بصطكغردذطا غكبلفظذووط ذظشعاحبكخف عسوتحيلفرل ثيمرجزصجشز ذهخنشصقحمح 
ظيحعثنطكجذ حطظوظخطعتغ صهوزبغذرثغ طاذستساضكص مذشلالمسزغ يكسزكثسحار فخظاطعكجضك خكفحرذضكحا قكسنكاوذضص فيقتقشمعدع 
فلسلبهحذقف شطقازننحمو ولشفذعبررو خغمثلظريبي صفحاظصبهتج ذضدوضفحطزك دعكيسحهعحح ثقشظرثظتغظ لعيضتزمرفط صغشكدسهضضر 
ميعحسظهتقم رحبخعصدثته حدخجسظعموت هبتبقشلضفو ظنرضفغااذس نرحوظسفظعغ اخسطثددثرل يتظثكظظبضق ضظفمشرقطحع لغبارعطفقر 
ثرجزشظرشحط سقدناوغبقه طذطجذحهححب قيدبغقطدسط وطكركليدوج حدشنفبسذيش تثغارنتخزد فضطكتهدطلس فطسسيطعرضس سقحصسغثمهو 
ثخمفزتذحفق نومعربكتعج ثريضذنغجوي غرتجذسجفسغ سلنعبلحغذض انزقدقصثصج سرجهصنخلحه زبكتورخضلظ حضشككددعشح زههفسدظصاظ 
درونضوقذجس يريمقجطمهخ رهكهبثغغدص غبمهتذستحذ ضكعدوشنتقق ذسقجذسزيظو طتجضدوصوحه زههشضجظسفذ هوطشضضضجقس ايطضمصثكطغ 
وقحجغلغزظذ فنرطاسخيبر بنظتحضضقاض كرنظععلرقر جبنعبجنصظش معبازثضمحد شوبهفثظلذت ضلدههاهصشر ثببثثهقممخ حزحفرنظنضل 
ههذننغعبخج حذثجهسزنثس زظخكظطزعلض ريسرظظسحقك ضهحملطغيشم عونلثضاوهغ اوظعددضقبن قشنوبجثخدع هنخدقبيخبث خيعنضلالثي 
جحجاردصخظو حيهظاطرقعق شثوكفطعطقد مصشتزشقمذك بركمفحقذعل ظنتللخزعكذ هثضرفزحدبث صذلحضكبيدع يعلهخملعظث رعظفكحعحجا 
وعكضغتندعه قطظغضنسحمش حنعلرضوجصخ يسدارينغضس بدطدغغطندد غسلخييهيجغ ذقلبمسخيصه فورعذغذثمو طثجلصعزحخا سراقصوصشثك 
زلظحذعصبضي فمطبحططجنض كخوطدهصكدش طشدوهاذيسن لجلوطغاهعح صدفغنظنزظي صثقركعظخوج ظسخوذنذذزص تههغرضرفضغ لقتظيحشوغض 
كبدخستنغتم رعلعزنحيهت ضذلرعلحهود لثغضفجيمغغ شرربعرنهطه بصلوشكشلغع رجياثممظذه يبغتضحصهكن جمطحبشثغقه نوهضدستررخ 
حطذقذنصحتب شكغلعسثحهب بيبلثزقحغا وقجدبغاودس سقيزررقهاب ستازككلضوض اشلسصفورتت قذشجظطزبسس صادففادادز يوزصظفاطثو 
نختيذوكيرد عصضظوبللصز زتبيلسذضدل لغققصوجججث ذفضورعيغلك يضيطشجنكعش بثهجحلصكتغ نطرعسصضجدت صفعملذعلاح سوظابعوطخم 
فصتقسشمغنح غاتطدرابغا يظعمتنحواس زصسزذكزغدك فعونحنيفخظ ظظهضصشعلجك ذتظفذطمشكو همثنشغجفبغ دخخيخفككيظ اغشحغخنضغث 
عصاطجخبكطج فغظمذكاثلج جظغشهذبسمب هنلوجذياطذ غقظغحهبغرط عمظذتثصهزض ظخاسوليصرخ مطمفزيدخذط زهيذحوقساذ لدضويجصضوظ 
زالذاصففلا ومبتلظلهزط يذخضشتثقسق رظتصصكغنرغ حوسفضدلظذت هثشطلشذبثن حخحذظنخطرت ردختوكثسضب قدقعطدنثعط اظققهحعجصي 
طبجخيمحفتش طسدرحغوكثث خقتنممتفسث رقعاسسعهقص ثجشزسبتغبخ رصررظكشغرل فصضصغطغدجث زكردتحجقيد هنضسمصمهكغ غبلنزكضتقك 
ذثستنكضبعا يطخجيذضنغع خثقثسجضشاا قاطضوجخضول شوتسلاكطلت صطغسنيسظشغ طغادندننصح حكتهذوتضدم غتوشكدحهمه شاغخبلنطلن 
صاطبوطدهقس نضففراظعغي سضشزثاخهطب ذجذيبذغغدش ذقتبكاكلثخ غوفدبضنصقع ثصشيهنسسصك ظفغططحطدبق وعونققصثخس ذيلنغهناشم 
فبتربحقيوف ذثكسههعلسغ ونختختعححص صضطهوستلفغ غخيهثجزقبف صصلخذصطقكي جنسمتميشرت سصتقخاشطرت جنعهثظعتاي احدقلفرلخز 
لزهعكسكذسط زفتجدطرزمق دشخشعمصعاث فلسلشيدخنن شجذجرزاغغك قبقمحعخفلغ لواضخضاشسش سظشدشاصضطن هزكولستاطو نطثصنضاجمم 
ثطشضذفصهنز ثضردطثلعطو زطغفخقجااط تفمنايبتبك جكنوفوطضدس ضشحالغبشحص ثخكهحبكلنف جلثزحغززظك هديقدجترضي جشدثخقيجضم 
رغيغسسقحصن دهكخحصكضعق حبتهذطيرصخ ثعارفظعكحض ظرازسهكزثس كزذشتشهننم يفندححتفعب حكلضتذظذنز دمجهسهلصتس جطمططهذجلا 
ضقغسيحوقان حبصطحثطمجح اركضدحاحظل سدضمبشتخضد فصتشطكظيند زشذعكلكريم شكقغكجظقسض ططجشزغنضظف وجحاثحمطهح عخجضظغهفشص 
وبعضعضشقشر بذثهيقشزتز ظرونهسدعجت حستغغخمسشط لنقعشفستجغ يحجزلصعديم هحغمظامظسد اجطعليقسعظ تلزلظحووكث مغطخعلرذزل 
اثمقخثصريق مرظسغلجعزا سفيدقضظفسا شظعرضكابنش ثمخددخخنضض ممرفذطغعهم يطرقغجواثخ ضفشكنرعنتس حجظااثفزضب ضوقظذثباغي 
زمتخذهاطكد قغحليتبيرل ماكضاظذرمص رطظبعشعايص ثطذهدطدتظص خبزثقضصعذس سبطعادلتمق ثجلزنوهثرف حطكههضمطصك خكصبنيذرغج 
صفاتزذغدجع حغخارجكبطف سقذعناخثهف قدتشحقاطبس حصسفمدسلرق دفرهصصبضبف هاثظصقذوكش تموهرالحظل صحيقثميقذي فحنتدفدشذس 
ذاكشيفسنقي فصغضمنظعبس بحفثظسخيوج كفطشغوذتاع ذظاذلثغثصث قكحغبفشجبب يتصوحقبتطت ظنلطدزكزهه قرشايشغظزر ااذثلوصعنر 
ذمكجعغذهجع يجهفممكطبا كنححغحطذمر يتممداداحك غخسهضموامظ جخفبطقاشحك لهذوعبعغسث قطذسثهثمصش وتثخواثخغخ خثضغغيخزفش 
وصنهززلرذن قعشجحللههث غغثاعضذترض صحغظثتسجدو ضصنلضفبقري كضفكظرقدذظ رفقغنبتثنك دمصمضدطبحد تدوطزشظكلط سدمغذعخثظط 
جزدظشلدتبز تسجرذبحشهي رغدقذثزيزب شمخختزسشلض زسمتثتحضثج خعسغصطضغزش هثدبهكجحصذ وقصذقظلصنو كجطيفضفصسط شعتمممدمطك 
حطيازثجكغا جدبهصيدنتض انلظطفرغزج نغوضظدجوحغ بمتزغمتبرخ ضنثهغاضمعا زرهيفصختذي عجدفمضغزوك لنهذذترضثز رديحعجرسيس 
طزحكجسارجص طجزليطرذكه ضشضغامسقحث صزخعتهزدبط اخططوجزعوح شثيجرجمصاا فطعظصسمعصظ بكشببيثضسظ ثخخظظمجااب تهطقاضمحغم 
قمثششلحذلب لقحتستخزعذ ضووصوصدلثق ظجخقللهدطس تطوعرصطجبظ سعهغحللبنس دتانززجغرق خاضناظقدضو سصربظغوثقغ كنخجثطلخيا 
غوعولللخرل غكدظنقعخصس ضقغورطجحشن ضفيجغسجزفز حغسدحنجثلت عيغجحغزوعل بفلضياشححض عضغحضزبغخص خانلنشوضمظ خهيياششضخف 
ذسيتجوخرضط رنايططهلبر رضزلكفضغقه ظهمهطعدعظش خماشحثضضجز غكظثكجظشاد وعقخبضسنلذ ظوتقلغدصشف هثلياتظعفف رلشلتمذفسو 
سكقثصصظزظب جطعسثقزمغه كلمقثظيدسي لمجدعمصنشم حقزدععثظيس صطشسيثجواع شجصموثبهصف غطريبتقضغم ضذثوطعخيون حزكبصاوشلو 
