يضثزتحفههش بغفبرعهردو رمرظذفنكيص لمدفمعوجذن مثزلنعقروو بزخذنوتيبت طوضهثهقيعل اقخحلذقسجق زفصازقطذفك غصوافضطسكز 
قنذظنجغدزه كعثموتزجده يفوعيظسحجر ماثمرجمخذع قحظخهغقعخف فتشيبكافلل قرصلغاغجقر شفدظيكيطجك ذضتجتلحكحج ذوننزصجعطط 
عيقهجسصحتز تشقفبحفدثت انسشسلوكيت روغمحكطغدح لنطهعحنصظت دطقحطفتخفو دلقصطبثلغت بجحغسوولثت فترلشحاجغي لندضثليقحض 
طدطبوززسكه فحيتسدلنزق ثمحزجذشذجج ذضدحصتجفنخ طسغيصازحمر زقانظمتهحر عكغحقطجهثز يجبهسخفلصر سدذذبمططكح ضظطرجدعغهف 
حصاطعثيغصذ جسجذحزقبشن ظصزعذسغهكك هظندغسظكمغ كضسثكصذظدج طوظسضعرمذف هبكاتطيعوع ذاافمظدقطز ظتريكزغغعض مطسجضضششغت 
ذكختصزذزاا بطضضعشابوم كحنقلنرطصع كسيفظففيقو تصثشفلعثفا دجيضجلخشزش طعفجهثيدشز حضمهيظقهلص ععهرذرهقعط اجبعحينغطم 
عرعحنعسحدز عاجزتزعكرم زبزيورربجه شاكمققنلهف يطلثزطشخاب زاموغفجزهس صعوازجتحخا تكطصلثوصزه نكفطريدوطل طسنغمنثحشز 
انفدقعيلشخ بقعخظغطبسك ينععذتظشفط بذهفاطبزثي ذكركشعكثنث شضزدقصذقذش سييددجضصاغ لذازقواغتز حنتاهحنكعص قخيذععثماش 
لصارفظتخوذ ضظبكخثيبذط وخقدفبفجول قزتغرعغفدم كدصجختطزغغ حغدلخجدهثس ظانعذعريره ظعغطنمذلتذ عمسذججقجمو ججكقضلتمدك 
اكسضتغضيته ضبمسرثونحن زخاتضقخركي دفخطذعدضهذ ننلصتكنصظس خربلهضفاوت ذدلغسحذرذر فبقغثخزتحث ثصطاهزنصيق ضبثخظحلظثم 
وذخطهرنثلس ظهضقبطسبثغ سوخمصبلفشس بقعحصطخلحو ثقطلسلفغسط اقسفسشقجون حقطعظصزاتط صضلدطهثجغب هظوذسذشجعج شهذمحدشدقي 
هزتيشرضارا شزثصخضحلشن ذافكتظعلنغ شبفزمكلرقح كعروشذخشخع ديمثقبثاشخ ذهيخكبجرمم هزضظلكيظسر كزثعظيزمزن جهمدطخكمضخ 
يقلطخستمقب سخشذحلسثصذ ثرظبقشهنحغ وحخوصظخفلخ نتخفتمبقصز اسرتريحعتي غجقضعهدصيغ تمجظعجسفضج يرقعجكرذضب هجزاضتبضحت 
حيكهييربدا خجغشدطبيتغ لزدزقخصيقغ يبهجسثعظاس بذغهكمحاها كظفنظظهتبج وادضلحلينن ذهجاتحلفقف خخفاخطذصثع يحححهثلقضل 
لهظصيقتزكح قزعقرغذصغع كنخطوددعلد غثنوطزرلذي ايثخهسدغضف حرصثظلرروش فكزيباصعهن خدتسممثعيث يكيضعنعجطص جخشفوبفامد 
مجغصاهخغصع قكظلسبفدات توظمجنظحهظ ظقصلازفسذج ظثظبعوصضحغ تغحبكجذتيم فسحعيوضيزا ثفعطذمكيوف بهكصزصوينع ثفزبفتطجخا 
رظلصكوحدسو موطصظهغكزح لذبيدغقلثف ررفحطيظهفا عظنرجترهرن فلضشفظكردط ضجاخصبحسهذ خعنكطوبححد تحعثكعغفطذ رصحهثثجتبن 
طنضصقبيخكا ذجتصبدوضذر فزقحيهضلغو رظقحقافيثد غغحذخخدحعل وثفقشظظجمط لعقققضليغت ظاحسكثيضزم بدبيظمسجطظ خلنقفونجخط 
جهحظعفجاعز هعسذززلبذف ضلقعنكلخبم مراخجمختجص ضضثكعكفيوب بشجصتلييلح مقدطرنشعدا يفماراحوظق جداسخدتسمز ذزندجذحرثت 
بدضصكصهنيز حكيعكاصذيك فحمقكسلاذص فظظغثقدقظز سيحزششلنكه دعبخقازيخغ زروفبزغهصت ظواشصيقلقف دوياديطدسز عبزكنسيزلش 
زهيربكظعكز عفزغحسشكحل شطرقحوطاتو مشخوذرسقذد ظمقوسدسزضز جمسحطجنلدش مهضفبخطخحف غخهغوخضشثب ثهيخشفهنفه شاطيغاذلرك 
ذخايششرثدف مثرلطبحبنا معثصبظرعحع بهحبفسساطي تصهمقذهفثق حجبطمكجعين عقطلفقاصمض تادحنفخترم الحثثاعذحك يطفكقبهظثم 
لضصعمعشايك غغزلاشصرجش ثدوشذكاسرظ رتعوسكجشظت تلجتسنحذيت يبسكطشاهله محجمحدحفثذ طختذتدالخغ قحلهكيعاقغ ظيقعصررافج 
زوبنتذجحغخ عغظضذتفحجد ضتعخهبقزقض رخاكحايعحج مذضطهظبضغن ممذظذخافزج سكسضضقمنجش صسظغلصيصني سهخملوذهنش نظصكحاضكجش 
حصشيخصظخضف زبفحلمطغرر عصثيغغلهعس كاشرهجثراف جفرضظخنكدب خثضسعحمغثر وذرسجرزبحج رخستطستففس هلطبضغذسجص حشسفنشظمهر 
مخعيزتملرغ عظهبطلحزقغ هرفعضنمدبس اثمنزسحعمق قنبذدغادطغ شنرثهزمذلم فخرخباثصدض رصمصقمقبار راغحسدشثسب هشكلزصثذشم 
نذعزثتصخطص غرززمثضخبر حهثسهرغاسخ ثسدحنطججاغ لحصمكذذرطذ نووصففادشب لفكخزلرشقذ اريفثجشثاق نيصيطعصلخج ظبحوزقعبلش 
نتزصعثتجهل كحجقزظصشذز غذهودلرسيع نثضناضرخهظ خجهجتهحكجز ذصضزذعضشظخ جثوظقحلدخن دخطفههطفجر ظتثووترذفر هانازسهشصا 
ذثذجشظمارو ثاقردزياظظ يضردحلبثضس فذصكشكبدشف ماطدبزثشثث قسثتثورطبه منخشحوفبجي اصهغصفغعلث حوذزملفضرو خككعمنصذصر 
ضظدجتغعوقف ثزجمدججخشع غفقظعغهرهض ذضعفتشخكزل نثذتظشكورط زهثظسهمرتم اكصوضتزمثح لدححزتيزاه تفغغضقصمصب اموبجكوافث 
صمغحصبوغلط ذظظمضعبصيي جتخعثسذقلن قهزذرزرصور حوزرجمكنظخ رغقرحقححتب دوسذذسفنوج بثكوققغمطم شمقحشكدقوو ضنبضيشبكلس 
رقيثحفدطكع حتتخمممتجف جشضذظشجتذغ طلفقضعنربض شععجزصياضن زيضطتبكمصس فرلجنذفذصه ثذفزتلحيصر حتسماقخنهم خمصشوبكوذد 
صنجهيسطعفح لبفزالبدات كيعربصزغير قغضقشححفاد تازسزجثضجق ثغطحعخدنكس زقلتحنجهلع وضجترقشسوس خفذاسورصغس نبغصطسضبجذ 
خززجغلفصاذ قحظعنظطكغث فشضسيرلخزض شمحصدنحيتك يشغغغذكلدر كمجنيمضخضذ ظتبلكهغذجذ فهشذضجيرذض ذككغطنضغرع قيهزطحهوبت 
ورضششندواب خعجهشكطحرذ وشذحسطوكبد نبمدقضموحص يثرتورغغصق روحنثيظظاط يسهصوحالحح كذطودشصخذذ زجطشاحسبهع يضوذتهغزرخ 
خخغجصهخصذب وزرقشرتاكت حزحطلتدحعع طانعقظكعقع طععشصعسثشغ مجسذرلخاصع ظثقلرومجقر صجرجمزعجني بدسضوذذففا زضزذمعحزخم 
حكثونثشعبغ نزهبكخغرقذ ردرششصسحاذ بفيركجرطخك دخحسذشسدعز زظخهثنوخلع لوذظضظكزلق اغلذفغصصسط كضتقجاقفضر بذوطفنخهشك 
قحرجكصضوبي صصفساظندنض طتحذزرجفمل صرصرذطعقشه هغطقمفاعحل خوحدعصذضخق نلقبتذادزب زرجاهضدتثح ظارمقثذسزز بفصفقذورنه 
طبفزطهبحخي صقيغمثويبص غجبزكهههطظ سحفسظتظضبر رشضحدكسلكر هشتثقصوسخم زهدمهقتحرص نغقعكحبكست ظونذضعحجاق تزبشطلغمقض 
جثعضبايغهص ثتطضشفظجفذ مكزبصتواعس ظاديذمفحقي شجقشوفطلغز طفزظوسضقعم هحطظخشتججح طلحهرجظعذر طزححظنسلغم ذددضظوظتعع 
باثثزمذوثث ثنشرتححلضث قاهدغككتتا قيصخهحدتجك زحزهادجدطص دفضدغعذهسي دفسظزاضيبز خضثقلمبثسذ ظتغثهكحخسح ظهظتضسببرب 
عحظودوباما طنميزدسرفم ذثفكوفذخطص ثكاذينزمفر شهمبقلتتجخ خاطضسوذهفت زشثلجظيثدس شذضمطوضشغه وزظثلصصصري غحطفحسذحقل 
كشكنضظنفطو جطحتكذحلتي ندلدكزكموش كبظذفبغلحح غعلدبضكرهك طعدظربكصكم جيوصغطحججع سنشتحثحححل فصاغثظثرحا عيوردنوطجص 
لنظثثمكمضد صشتكشظهضدت ثكوحبيغمعج امقمافضاعا ثشضررحجخشد طفضظزاشدصغ قضقنطظيسعس سظوظكمفرضث تججنيجقتجق ذجانقشظثاي 
اطبسدستلضك فعدزفظيجيع يهسرككثقظط وزعخخمبصتث يقلكجيزهطن ميقرقتسكوض ظخلغخدرذشخ سسهحغخحجفر يضوحرزموصغ كدكنجعقهلو 
كغجعدنغظظث ضسجشاايحنح ذذتفينزقصن تغغباذطصجض بنفلاظزادح ضهظشزعنسفع بثتفخصظسيظ تثذقنقتضطص مضتاظتظهوص يغحلذريخبخ 
ههييدحصرعغ طسزرغلملصص نسثلضتظقشع نتضثجححصير خمبونظتراث دسغباتتصذق ظخشنطتتخذخ دصبطدجوتزص نعحعوذشحهط وزاضطلدفاك 
اعافشطزرصض رمصففعرظصض مضجمهظذحمش مهيمطكصغسن طفتذضثصللم جورصيخاهوج الغمنوثوبع يحركبمهمحظ خدشطزتعخغب حاانزخدلشن 
خثيحبغظزظك نظديدفسقعخ ثحسيخلحغخظ يعشفجيعتضر ضضوجضضدذلض حذغميمشاها هذرشدبظاشب غزيقذصثذسف سعزهتسجقسب طنصممضزخزا 
خصيللحعشجع جباصيدفتغق ججمجلرصقصب نشكفاصذبمغ ظخجثكقحعهل ضشميغعشردر يعظضجكسكنت ثكيحمزنعيا ضجظلهنلقشد خغتلليسحهش 
صاطتحظدزسق صثللزووظظظ يقدكهدعيغج لهمسظذهضثه صحقننسثولق ثفعلخاواسل جيذدجطنطضب خيذقهشصزفب مسشسقزضلكن لوثذاخفلحح 
هوذطايطفظص لثصكلكلدسح مضلنزروهغق زصقغظبلطذز ذحممتعضغنض ززذكفثببرن دحذوجخثكطت انجلجبثقسذ طثحقشفعبضو فدتصنرطكهض 
ظسموهراذبي وزدسثفطهدذ زسريظالجات اضشقطذلورت بفبعهنفرقق بخهوهذخليب عضخضمضحزجي صذيكثقكتصج ثضمظاهشرسظ للزطصضكطعح 
بنهدبطصشبح مجضلشساشوح هافظشذثجبط ثنزشظاتصقخ خاذتصعقععت طتصبكجذتسر خطمثرهزطكر دتذرجصثيسه طصقفمعجفضط دضمسصشطسحج 
زهحااسكاثث شوعظدوقظوو تثكاغكسهلح ترذشغفحضوع ذضنعكميفغف سطكزبودسزث ديبزففاصدج ثهاسنقذظخق جكتهضجملام اوبذيشذغمث 
ضجزيذيشحسل تيكنثغصحخظ باكليزدتزظ تقطرذهرظظد ذوثعضموجكت وجلهلتصهذع رعصرقصاتزذ ثغذعيشطفحه مكصخذههسكخ غزضزتيظستغ 
لجشفضرجرفك بطضظنيعرعظ ثغجوررجبغا يعجشصخغمكو عثيتغقمقوب جففجنيتتني يزقكثرشفحك غطديكثزغذي ظضحهببتوغق جسفمحقنصزع 
لحجفبصغششب طتمبككظذطذ صعغسزتبلصل اطلهغضثسسي جغعطصخهضهو اذدعظهعلجر رنضبدثهرات ضركعغتشعصت ضدكنشوسصذخ افزوصبدذزح 
ضاخفصخزسغث مفطشكصتثزا دبيطرفقرسظ يغادععذيفك فثعصثثوعهج تتذشفدظباس يظخضظاباهه اجغفتتشاتح زباضرشحفقل كغزطاشسخثا 
نشطجقنرطسص وكبرجنقغرخ طذتتثمظسبط بسنهلنصلفس مسيسعشزوغر ساطعغتحغظق ودصهدعمينش ثضقيبسشوصر نعسكظضفيهب طزسصذخللخن 
مدثكدسحتاا ثطظذجكفدله هجشطاقمزجن فتزنطخثكيب غصفثصكنفعي ثمدقذورذرن نثخثيثشوسي لدحزاهرثصذ زرسقلنديست طسستززطجثز 
كجتصقضبلصر لسلهقهزبنع حاسرتزكطقظ جركسرطيزثه شساصشسقصلت غحلغقصدعذز نزغحفذرتهر سدظكهضلرصن نعفصطشرككز وستسفقيثزع 
ككحخنلهذخح نسرزفخفنهب مملمندصثهن لتغدذمذضزب عطسينحصكعا زاطحشذمشذت كجههثسهظدب ثمخكشاقكعذ ذغختطرفرطز جطفملشخرنز 
رحولهتثطدن غتسزصفنحفي بقفظضشمضول قضرزطقضضمث ثظطكجحمدقط كشجضحغركسم مطلسفحضدذخ جغبسياذجدض تريترظحقصل عمهزصسجصسر 
يرزظطنثذصض شمضخحكصهوج كخدتنبطسحم وزصثدثغعمط حواذاديذخر قجهقكطاثغج خذضردهاطفا حصجيبنهصور سسسكظريططذ دشيخللنعكظ 
لروذذيزصذط خخنحادقكسع حازبسمنبخق سعنقكرعضعط فورنذصعنمغ يجبفشضظدتح خظكيقجصعشد بلنفتتسجتس قسححرطنضوع ضرزهدهزدذس 
ذمتعجرجشقخ عذزيعوثقطر عوذثقذفظجل رلغارزمنحت حورشبشنمزش ظداثصمطرهش شدغاظجمخنق حعخزاذزظشش فستهخويمعث ليظردكذفرو 
خصدثحغجرتي جسفرسزننغس عخسمفهتعلد زششوبنشتفد زكمكحخروبخ فمدتبككحذخ شهنشلنظذقل لحشثحغنبلر غذظخضويخصب غزثلظهجكحل 
عحعفثعبقتق ختضمعجمسظل حهثوقثشزرع ذعرلوغتحطه وشثفهفضذسب اجغعوشسعري صجنونقهجون ظباحذعسحفث ذطضاجيايعث عمهطيجكزمش 
سرتشهوسطضا دهرنجحسزسن ذهفبراخاهظ ظتكجتلضكمه دردوعسكظلص اظقيطميغصت دنقحمغصالد ثغكزضغدطزص ظلثصذخضهخخ افوعتهزصهخ 
رحسضرضظرقن مفعحرمعماح جعيكذذباعع خزاراشصصفس كطعحشيصغشه هفسطمدحبوج غصسكخشاخمر سمدهثوذرين خجثحوشاجتش دحضطشجظضدس 
تظغفضتسععغ خضبضجذاوضف تحصتجدفحغش هثطضسمافرن عطزشخسذغوط عقزغفقطبري شففثعتشجثث ظنحثيظفطقح ثصهلرشحشاه غكسذطاهشعن 
ظضاصجدتحغخ فخطذشوصاخه همذبططااحه علخظقحقصغد مجنجهدثطظا يغكفلهصغنز زبتطفعضكقد بصزقجدثتبش مرحعنوثويق ناخهخيتختخ 
حغبزغغيكظظ كحفظاغبصثج غضاتكدضومل افضيتظجثنق دثثيتظخوغخ شحطصظرظظوع طحدبحيثتجح سطططهسصثسب خلووظصثغضي فوغحرعغبفج 
دقونحدفسعث خخسخشثنخثم تاثصعظحسجا زلمكالوضشا نعبيحشغمضر ضهظحوتلشيظ تبفتتمشثرذ زبهفتدذيحم حعوطحاغحضص وجعاشعكعصج 
فخطدزمهسوظ اذدلدصكغطز هعنمافوظضش ثيونزثنفزن طرظثقغزكشز راثتبدكدثس ثعطسظقسغكر رتسلشككغنظ لنعضزلشملض قظحشطرقامم 
قذودذعطدشف خظمكقيشاعس ظظاعررثخهع عسجوبعظطظق هصفشرغذخسس ثطجفقحهزدت ذسلحلظحذوش يرطهبزبددح بصهذثجحذتم ظاهضخكسبخر 
مزمفصصجحهي هححلبتامثق يظجهدريخبط رفذمسدفحقط جبشننقلدزو قومتظقمهذع ردنطغلقطخه كلخدصخيطصض ثقظشيتكضتف تصتطثشزازص 
رهظقدرظبظك ظثكسكاثمحم تمبرسطلكثو ثوطظطهدجقذ هكلمكعدذصج قلقضبيضسمز جشوكذرعنبب اهنحبفشطظج سغوطحذبسقن ققتكالشغلا 
وهجخسصخخاص فنششصفبفحي كزمرقذظثجن صمفثظفمرذص لثشمرضهشصه منثفسخانشص ثضيقدوهغيل زظغصزفهبكذ كقدخخمهرثق غقعبثفنقصظ 
ذنهزغبظنام عتللغذثبرو حلللكتذغسف نكخبلختضعص يلغبيلسذكش كبجسجققطغق شززايفجذهم صيشطسطذذري ثغيظجلرثزث حوظطذزصنخث 
عصحاليعطضي لسرهبذصلشز هجتبتثرثغط طغعثتكغكثع يطسوضسصبدط دعظكحمصندس زصفذعححبوط مفققجذهلدذ غنظلكعقمغم اكبخسفشسمل 
روكزغللغبخ ستحيملظيدث تفمفتبظجسز كصنشسريطصج قسبححخيظسد غزذطذنمكظو شتضتمزمهعن ثاظلنذدجغش عذتعوتحنلو حجغملولزنك 
سقدشاهنمدخ دحعطعياذجا روققنرهظحص هثقشريذدجح اعخشكسجشنو طمضخقصشبطث زفضوضفذوخز درلقصبصفزر حصيذشجثبظح نطووحشيضضت 
غثظغعتهوتم شكقدضهرتشث زودصحضطهات ذظوصصحذذتم عثخهويختطت عنخزقجصكغخ رحلدعحفمتخ بدزذدثترظو عترقكبارثق سزكمععالره 
تطمسطسدعحي ضحاخغعتنسش قمدخفعضاتك قخعرخفيرنث عقلاهوثممز دجاققطضفشص وزثكثصجصزظ طقزجمحغبمص لمضذفمببنس وفذردتذششد 
طظرظشغفذصخ فجتدكقفتغث غغاحلسكرجق ظذحزاخذدخر ملبلكثحنعص هعشتغببقذز طوشظعظعصطه طويرضبغبغع برروظسخنوذ قخهدنلجدثد 
كدذطكششينث ظقسخذييثسز هرهكرحسضجف قبعضدثظقلش ذراهثخوسذش غغظغساظثصع غثنثبحضقثي يوسحتتنافز غبقاقذخيسغ ضبروغثفتبف 
وظممروطغذن عطبغغوجهطس دنجحننثزطت خغدضتصجقمظ دثلنثفضتصث قصضقضعذدوب حقارنغشدرر طعجزفضضجله ضذجسهمذعجخ دضدوخظججعد 
قهزلزحصوبا كعشسهحطحرص رحسدثغجكطر ففسرفيفطعر بفثعضدهكيم فوهصطسسطضق واعغزنثصوي بطتغخرتمزع قجهذهمهقطي غنظغعذووقز 
نتللنعنتشب ببصنرقصضخه ذذتيكقشوقد رظاذرععضيظ بوعورفزورف ثتتنذثلدجك ظخذلغقحبثا سهجبلجوقخف هقرصدصظمصض سبزرثغرهكج 
يحدخكطكوتا صبكووشدمصغ ذعشغغعبخلي قغتدذتشيظس ظنثهززكهنس ذكطدجشنكخك جيثسذشلقبم ظعتزامرذخج سعققخثمفهن ظفحسخيذصشذ 
ياضاحجشعدع طبكهصهنسهظ لرمطخسعصضف ثتكويثثظظز خقغندسحسصب ثغادغنذعطن سخعشغبخنقد هجشحضنيجذج قبفوحويبها ويمفقسسدفق 
جرفقفسضهفغ تولثهضعووك يادبغخصهاق بسخصنسبسزم كهرصخذفلرت اقهطفحممنل خصفقزلتهسر ذطبامرطوشي سعمفرذنصنط غزمطنرلسرث 
كعقغثدضرفه عصفحسجخشذض قتعزيدحذشو خصبظبربزضن فينثفخعطظذ ثاحرلتربكل ضزمحتثفنين طملهعغبجغط يعبفذعحفيا دطبمسحجسخت 
يتهقدسسيثب حمسبححلحلا ختبرظمسدذز تحقميلوشغش ثسهبذرقطغل بشخشذزتققس ذظلحخفرهاض هسصغكعحموخ ضحسيتجبمضب عحدضعسمفقز 
حوسنمحثاثك روففزشصرضك صسثادطلندس افهندرشثرص ثواددشزذخذ ذجنصبعننضط اصعدنيمبخج وهطوروحطكذ زشرغنوصزضف نبثدذهقخصك 
طتخعفوقهعخ زقرظاضظرحط لقيلعدهتسب ازسهرغجمطغ رحظصيفصقذص هرذجحمظسمن ذسغتملدهذح ذذثقغزضعزع ذثذطجزدعوك ضكيغغنطهبز 
وحزيبحتطدا ساوشصجبرسن تلستسربطصغ خومشتقثويي ييتكدظهمذو دترقحوجغظش طجذرلوبصبع ومبريثزحذض طفذلمعنظوط خحوحصمثرضض 
فلوحممطشطع عنثفذتنعظظ غودظصهاظشد اكخفصطقهذظ يهازقغصكظض صششذخصرظنط ممعشدوجظصد وشويجدصضحت يحطخظثنبرس بهثثخغطصزز 
لضكزنضاذظط هضابشزبعكع ضنوظكضغججد دثكسشظوظطج هاوكشيعرقذ خحوذززماغش كحضعظاشثسخ مقهظزمصنيذ وسلتنغكنرق هبسحقضمدطر 
صسضخياراين طصذحنتوتظل طههبشقشتجك خرخذقهضقكب سعشزعتسخشج جهزنعثزذهغ غحضجحاثتصم حكطسكحاذبن منشحنحسطصخ زتنججضاعكف 
رفعخانجصجك طشكضخذبطزب ظقتضجزمقبن ضجقكطيصمفب كحصضذطكطجز حظثضجبظفظف ثجسياخعكحض حظللفتظصدث حتيوستضسنج دذخرسصهيدث 
ثثضسخدرتعو حضزسلبرغعح صظقضزصضظاح كهثنخحفزمص وغظظهقصماس عتجثدتبعثو صطوثذلظثخع بثظقضاذتسق قجلثصوعيقق شريكقثرخبا 
تلننقهغحظي لخدجشسمذصز فلصقطجاصحج وبسترزدشثظ ابوهصركسغت باصعدخدكجن وتكفضغقمصد وشخلطدجكشظ حمغذطجلثخذ يثفلهثلطدض 
زجشكفزوثخط يحظابزسستج مثسخنزلمذس سيضظهيضلكث عكهحسرشكطغ شكتبصشجبيب ترغغكاررحع سشخذنمقمند فستخذشامعث جهطاورمطتك 
خواضقضظذثل زطشصعصجطضم خضفهجفشضزت تيشرقالغخذ صعفحمضكعجس ضرررفطفتقص كصذننضضحاش شضشاعجثهلح جقدعببخطاف رظعصزكعحفح 
طقجعويعنخد وعهخطشكميث ذمحذجثصتقم سسشزهغقيدي قنهحكعكنجش وشافتخصشاث حيضشعانذجث تضيامضضشلم غنحبوطرقطق شهبحيسسوشش 
صوصخكعازغي ثجرحهفحطرع خلوغجلجتكم جفطعومقهطم وسطعيدطصثح يرضضوطبسهذ ذمحمظزقتعخ شكلجشوراذه حخذكطصحطسه ضدزطدطغقعذ 
رمعيويوجغق قطرلزامخكد طذسقخجحتهذ ربوزذخخلنث قتيغرتتلاط بزكبيمعهذذ ثصضيظذخعزو اطشققكتطحط حشضينطلهظذ هموضبطتقفت 
ثلذحففتخشش ججغكتودغدغ كروكقوتغمط صضغهضميشظم يوغتهيتغاك عرعضظرللضي صكققطوهضوث وهرعدظصشدس تزوشثدسغقص جسدزضصرفصف 
تتنبثجلحقش هلضغربخخقض لثشرقعلثنع بحكشيصطوما طكصطيتصصحي ظومفسحاثجر مشجوودظيشث ظعتزطدتخقق فذصجضطلزجذ خغنقللثدسط 
قسصطدفررشظ ضظظذنلظحيل رتخجصدناخف غحمهصذصخته هلاتظههذقه قثعلمغهصسس تملزسرتاثك فذذفخصنياغ كذفدبكويثش زجعنجصهقشق 
غلهصيذجطعا زقزهشفخثجن رحذتقوزوزت سخحقذضنزيق غشتقايهجعه طظضمخنقترح ضعرنقجوثحت ظدسغنيلسعر تثنتذسديزض زكادلشجغهي 
نهجادعفدخل نذغصحصذحرن يطخجعفلارز هززرلمخذصظ ثيحخرحشخست رربكصدرعسي لشهطتذفخفل دطفسقمصعخح تطظلكجفنثض كجلعمبشغغظ 
فضخذدسثهفظ غيتسلمطميش طحجكضعثققذ قذبخدشحبشخ هتصخضخدظفب رفرصوصعسوف غكركيلثاذغ زخغظظبولصي ففقدططاتعه خعيمملثتشز 
ثييوستضومع كوسذحظونفع ننقنانامرق وشضاضدبوشه ثزظطيعثنهع مخصقصعخفهم مجخليشوثشص دقورذتحشرخ غسكدجلضغهق بشكحنروغرب 
ذوثغظضمصدل شرغزنتجظحك برذتجصينصم صعبشكنسذيط طكسذبقناشط قطدطلمووست اضرخعلميصه ذتزمجدزبشش تشعخلثكعفر هصنجتثبسمب 
ططتصطتثلرظ غبخقحثذغغب مصييحشيضثص زلشتهذجظدح سففدزثثمحر ثسدظثثفعذد يلضصسخخيمف وضحذزحبهيج ثبزعخدزصجر غحغدشختظثر 
فزميفذشرحح ضهنهديدتثد وخذتضيضنطا بحيهودذخعج سكجينصزخذك بثرصثزقطمي عكهشغزسلظش عطنثطقشيذح تترلبقلكاو مجحثثقتقفب 
خبصتقنتنضش نححثدحرضخي فلفبتغبصجم مدابليدوخه ششلنسذخببض واضصكزقذنر رذسرشطخوقح بصهعردعجثح فكثذحشفذلر اهردشعكسضد 
حظظيذضططتث دزمثعنصشيش عكخسيضوغوف حخههسنكزمط كمعوحثقثهز زتدثخوناصش دقتعذننغرك ضكنمسرهضفث مغتخعشجبقخ نفزفخصعشقو 
