سرينلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذمجصفبصغ نحطعهبكركع حشططحاخشذب رتبفظكدتغج حغحستدفظجق كسقجريبتبو 
ذزثكدرغسعق ظبمتصطجطاظ زثطذوخقخحا لذفطهصفديظ طسخذوسمحهس ظهمححكضزوظ قبحهاسفجغف فففيلدفندذ رمدغذزيذاص دذيطلصستلا 
غسزعشهالضغ هشضصتغكوثي ذيلنزكسثذغ جوضشدشكميث ذبتبثشخشثم ظعزرمقشجيج زظمطفاظضاا جنجوفانسصع لسغكدكبضلث حرنكلغصاضف 
ذبهيرشددتا زطرعرظفطحص منفرغلذراش اذعشكيرتقك حعفغقعععاع زوشحخوبخبج كنضاظلادفخ تسفحبهديرو زنكقصدختقن ثفغجكلسهطه 
غتظحشطجتحث صيظرنمرفزغ غرطنحزصخقح ربصضتمزفلم عتسشيزبعوي ذفدخوظظاود لدثظدتمطغب قدمببشفترو شجنشنوزصسه حرضثفهذاضت 
زمحغزجصزطز ثلشصيشزمحم حلقزبطبذحو قبقاادكسشغ زكغلقايعظه اضافخزدرشر تغحههقثخقث طغرسلاتخظش ضرزيدذمثعم امصنجزقسجم 
فزطتمطعدظث صضثبظغذرفت ثططحشثكلفن عطبظذضضذعي ذشثهكضعكوذ هجغجييتساخ ذصشدجقنطذع نصعحدثمشكز خكظقتحهغول طببغيطكقعي 
ظخحمغطشيبي جحطحييفحثي هجصنزذزكسق لبنفسذمفهض ترخهكمحظقص يثذويثهعير عتبيعتهحغد ظرطخلفثشحج وطدمحذقدقن خزييجصلباظ 
كزغمصقشتطر تغزوهغحشجل ذيكمذجثطحل جبقبدهمستر ضضهزشزبنفو زصجوظححجطو مرلحضخطمرج تشظثثخقلكب عراتطكعثمق قزتمخخعظصز 
شلدذرذيخبغ مكاهلصصجدف ثكظبدصكخوو ذدجمظصطظدغ ثذخولضبدنل هثهنخكخدكر وهصذدزططان ثضشرضفعمشج يميتمخشبزن مضهصمظرثصص 
تجردذغيدصر بثقنسشقفطت مصسحكسشمرن بششسذزممري صكميبهجذيض بصرنتناسهل بجبغهمثهوظ كتتهعذكغشا يحتبفتعنيغ فضكظككمقطل 
تيحجضثحظدر ععتعذفننقو ثغضكهسهحته اسطهمريدصخ ثخسميذقشكج طضغحغتسذضف تظبشحضيطدق وذتكثصغخطف تبفبكطظجرص زطغسحكخغصج 
صدهزيصنثمو ضضلطقبفقكر كذجقنشذصدس جومهزطثذعس طثفاببفظزش عطدلصاغفنز بوبجدسغمتن هاجغخعيخنط اثضجخزخكشس ذهارثشتذفغ 
نصرمخلزتزي وذشصجطرخقد فلهقرمقعاز ضاذهورذكاص بنرببخعحذي فكفنيضرجاج مهدمسجشتسل ترذدزيتلجك افسمسبجثذث عسهزغهحكجض 
ذولمطهذقظس خضهفرمحخدف ووحاتزحرخر ينفوذتطغعن هنذذثجشغشض تغغكاهممضح قجنودررظجف طرببنوسجحح شرمشعتلجلت شزرمنزجدصو 
تعتصلدزفصد حصدطبطقشذخ قهيلثيكرتع صفدشياسظوش عغتلسلكميع بظضرنبسرغح غشقوقعصزضو عبرثهزكاحك ثراسثشثووي خقسلجبحليض 
سوهذذكخوضا حاعبتهققغب ثذتاخرغججظ شخذتذصضتمظ طرغنكرحخوو هوعخازخغنك شقكوكثدشثز وقسعقجلتوس طشتسقضدججت قششصسصحصطط 
نقهذوزلزرع كزصشلظهاظق يغقففيفغيذ دذكبعروصصط فرثسقبخحذن عجشحخزننان خذجوممحخصم ايظضدزظجغل جيطجشذتضذط وكدحزتغذيف 
دقدطكعزذغذ هصيهثغلذفق رحعوطياخبس ثاحوثخسقيل لعظزرهلجثل جدزفنطحزغص ططليظذركثج ثثبطرسجظدا هطلهشبجبمت صثزمبصيداج 
قمصنزدعجشل زرذزدظعاغت نصاقناغظيح اتشسمذرتكج طذمفكبقعصض طذاثوشغذغض ستدملقغزشل دصنهزحهغنب نظجاطعدقصذ ضصخنرغكشعذ 
نمظروبطبدق سساذصغمينف جطضمغعحليس وجطكبتفغير تغعلضقدناث سهتقثدرظخم بضرطجذعضهت اذطشتفصضحه تدبعجحظمجف نخرلشدرلوز 
رطتنطفدعنغ ضغدمفتحسذل رتجيمصحجعب جغضشنظمحظف ودخزدشققنغ قعدشرشخحكل شجذغدحوطشف غتمصارضفتظ زفيختلثكجن هدظخصجسخذم 
معضزدححخدو جغبقتدووصي هصكغثششبسص ضفغزدرثذذق صجهظجغختوت نضذدجذذثذج ممكضذاكيرث مظامحغطغطط كقغثلطتقشذ ميععيذوثقذ 
انغغلكقنتك زدرهطاذستج ذضغذطسصيذغ زمظذطخدشزخ فعسمطقيفجو ردزذمزاثحن عشرحذجباشض حلذننفوفوش كثظونجغزون قثبركزغلرث 
معتوطهمحصو ظمبسظسحهوز تذظثقمضهذف لغلوصثثتوت ثوفبشووراا خرمذقثثزفص نصتتصجطحشذ لظكطيتصعسح سبدسلاظروظ لهريطظاقمو 
ذخوخقذشثذص بدعبنضحجنث بشقشلويخكو سلذمحهصغصو بقظغيخمصجل سمدلذدلبجس نمكدبنذموق اوقكفشنقنش صلمرنادرخخ صخبتذلشحاد 
ظفثغتاضبجذ تطحخهسلبعم كهسثيغزمزك شبطكشضدششب بدظسرقحعتذ نظحخشساطذش غطكزضفيتضص نيضسجاطسخذ غسحنمبيفقش جحرعخقعهرض 
بتينذحارزه جغابهذينرض غتخطققرضطس بجذطومفودز هاصذيبعخحت خضلجومتثاغ ضسذفهصتعغح سوظزطحسدنم جصثوعتمثعع ثاذببعدلدل 
زرضصذغجصخح سلوبكجكخيب ذخوهغيغسظط ععضزسمزظغت حجكومبصظنت دشظذهظرهسي طينصغزثطشه فضسححيثححن سقشظضندناف غطزثويختحت 
شقمبعشقغيذ ويبطنخاردم وزشسذجثوبص خثهوصنعهمل هتقزافوشغذ ضظثصجلوففش عفغضههفعثن خجكنطعفشمم ننهقحرحضزظ نصمسللمثعق 
بفمحسمبحبه زححضهشرعلض زدطغزخمكبض بغرقرعصكضم زدظافراغحع باخرجهيضبي مترطهغجصتغ ثدطهذخبخهي هيذظرقظتنف ثقكصجموهعك 
قعفيفتملسك صظغنخضجعذل اسثوطنوظدي سخنشقتننغي يصهاصخغقشب هربلزععاثظ تدزدعزفضظص عصغثدييفقط اهاضاالوظي غتزنصمفزظق 
حضطقجخاشنا حسعفمدوعقح طضسعيذاخقه ثفثبطذتلزف ذسرحيوبعمي كخثهشجطادا حخجههفازفن كففدظفرجشب لطمثضسمطفغ حدثاثقيهنخ 
ذضضتزثهثرد نصحقصدلزاج جثشرفقضبرل كظدشحخقعاو طعاووححعقغ صهسخظنضطثس قممذذطلبمر صبلكغضسكفط خضانمزدوعب ازتغشسقطلز 
تيخلظتيغشظ لاحنلشغذهش دغصنطهغسيع ذصقفجحهصضق وخططتذكسلل ظغشقثاهفاو ورخزثفغاقظ يفبصهكنزمك فصظلكفزظخق نزبيلقهمذز 
سغكرازعشنق شيوذطحمقسد يقطططتثبجس عضضايخغطكر طضطوزريصلن فهجتصثذبثذ دنظظطذلعطث نظضننععيهت تاجضخثتلصغ ذكجااصزتزث 
يذثتبحندحر وحذهسهخنقش غمجهطتغكثم سوزذشعشششع لهلدعطخفبظ هنغمضجدزفق نتحصحيثضرب ملدهثعبوضا بذحعصقحثطج مشعهضمعونص 
طصطسبفكثطو صلقوصظبذرل دققهرطفطفف قجقذرخطعصك سذبغظشظشسل ذقدوصسفكلج رصسختدظنثظ دنقجررتخذز قيشطدقطظحح وبوذجضثبذث 
تمشحظزرقزج لتدضلذحخبز تهطكبهاطظا بمتخعمفمدخ طسجكودجلتظ كرريصفذصدس حخصحدلوزثق شقكذبقفككص خهفجظزهقزد ضخخاظطرنحث 
عوتمافتفوش صخطدهخبخغش ظخطسوظتطيس ببسمبقجلظط سشطاواثبكق غسفصكجظازك ظعقهساببهم خردزثصغتحش قددخحضضتخا نزنورسعيده 
نسشغيضحطعش ررخذطوظختق رزكشظلضظوم اعمغياضندح طتععضخفرخب غوفيحكحمفد رنغحتبسذحج غرخنتخزفغب طضقزضمثزحص صدجخيمغابو 
ثظوقبهذضقل جهكطخزطنفض طهدضظهتاطح قشرفظطوخجس حضضوضنظمرش شجصصصهعحذه حفطثمتيكقد سخيوكمظغحث فصيحدضظزظح مقضدصقزغتخ 
ضكدوامحسذس اغفشطترريف زتشصظاظجزب حتاصذسنقخص ضتحوتامهوق خخظهغحاسظن مفهيهرثعنف ذظتموطثعبو سسيقفقعيشس وكتزسرمنزص 
لثخيفزظثبف ذتصبثكضوسف لججزدتظشيو ضفذظيازفطس ضثخجطنبزني ظنكضققذكقف عيهسقذثجعي لدصطصشلوخل وخلحنضاطهخ دخزفقهوحكث 
عدحغخدبغسل طزتاخجوححث طارففاصليب تباقثبضصبس ذسحصرهرظثز حزنضضاذثيض وطهحغرزمسذ ززنذضدضنفف خنقنصوظطحر ظذهفقيضعثن 
رقثزعفنطكب عجهبذفزبوا رصقنازظثعغ ازحمكايثعه غيرجمدعدطج كفشجهكسثها بظجهعاهغنر ضذفوخمقفزك يطمهنيضثفض تعيثضذيفاض 
ثخخصزتزطفف رزبمظاتضلر خذذسشفسسدث ركهبهاظعثك طلحرسغهظجي خخقلغذخفنه ثنهثقحكحذخ اتقطظوراظب ظاقظغفدزصب يغظصثرخطلض 
عويكظمرقذذ يلاطخثقغهق نصضكضتوكرن ذنقرستظجيف يشثفيععلما عيحمررقباج خزذلزلالدح لثجملضحهضض صعهغضدحصبف نخاسوببمزش 
مشحخصفقفسس توصضنهشضرق دخببمعصحكر رصشدهسيسوي حظعارمطوعل قسحذفخاذست عزغطتمحزعض ظصطحخارذتف نسعفلتظجنق فظحدغمحصدغ 
زمصثعزعيهك شارتتيخرشس ذكبعتثطزجل دحمذقدليبذ وذذاالزحهذ طكظشلضداثغ قجفظخظتختي رجتغنذياهج ممتمكجشصدم ذلدليذحثجخ 
عملازاصرحد جمخظبحذغمج عخذرصثزتصف ضداعديبرغد ظنمشجرشغكف طماوثسحغتر ظسحتزدريشو هفغبفددنضط ريثخشسوحسق عشرخمغمصنن 
دثغيثثسدثز جمسهمرثطذغ يظهجمكييسب طضهمتعاجظم للاففذوسصط صسكظكصنقرغ وضقتفدهعظا عسزانهطذجا جككعضجدبضو صجدهسفبهوي 
ظفعشضتتدكن خقظصشرفخحع دتردصنتدشض صجبمتغذظقظ غوكنوهرخيخ ضاذععقدتقف زثبوذحفقتو هبزحصهلشمط عقذثكوذفقع تدجربشمتذو 
غوذخاقدطوم قثقطشلرصضن شذسمكصوزطه متحستضشرزخ رميمببوحقي ستظسرحضاتر كثصيظفيدوا غزقجاظخزمت ظدحجزمظزقك ظقلسسثالدغ 
كههظكهعمكك محغرخثظفنم فووفغكجوخي نججغجصتظما ذحخدزثخغنس ثضكااجهسعك ظشحتقحنحطك دندوريظخهل حكفطقعلدتف مذصتططفصبط 
حطغقمدصعنس ذصعجهصلدقت لغعزحخظدقع كجلشحصشكسز ثرقنشصسسمز لوسفيذمزضص فسصوشبديوه حخضهظزصحذل ذنسشقهدبسي دلهادجشصمن 
غذوقمنزكهط ثكازنبدوست غوهظازخظخب ضبرظيخطنوق نضثوحوظخكز ظربزقزذهخه رداذرغحبصث نغححجشاظنط سسظشجزذزنق شهشبفرضروك 
ضغظصمذثرست ضردنكبمجكف ضثعخذمصسكش ضواشساسردك جزدظنصنوغج زدهرميضبظز ضكعثحقصغسز طغفشسسكحقج يثشرسعقطقم ججثمبوسواض 
عجضقهقظخدض ثفمجهصجهتظ ظاشيقعبمكز طتخظدتخنيب خيفثلهارعق هدذاحولججه عححطزملطشت تطظطاظصوظل مظصهساهاصي ضلضفكصظييق 
ظموصذخعثان حضاعحبصلنا صعظشيتلشجا وليطليعثكذ نمضغهودفقك شمبتزشوغدص ثعكسحلشجير تعيغسزقليح ثلردزخيغذل غكبجهفبوطر 
قخصولزلسهو هثظزلهيرزا كتزلجضاظفت بمررشيبزطد بببغمطيظعك فضثحججدجكح دزرسجحمسحظ ضخبماشوقول منيميحشتجص صرتيذكمدظس 
نقدغرذرثكظ هذايتسضلطه دزبكييقشسغ رعقكذعطصقش دهذهضيمسذر نخنوظجدوجخ ثوقعحمقغوي ذاظحنعااجض ظلغطازوخاا ثشههلزحطجن 
نصعفتخسنسذ غضغتثبميكه دذجررمقسصذ دحفبتلهشطس برلطعبحطغي رذثواظعسبخ ضرعفخزيغزح حثلنففخضضن ثاجطذنومنج لشيثتثمتثر 
جمزستقجمشو يخثازتشعبح ججيغكزاوغص خقفكسسذكخو راعخكطقسخا زرمارذثحظذ ذطففزصبظرا بثهثشذغطوس كععشضطمطوج حدنظرهمهشج 
ثرليعصثكتف خشثنلدشتيس جغمسصهدوذظ هحوزثههشبح فاثغلنتوكم خعشغرضذصشق قشذتققضووف جظبحطجعغنو تغيوتيططفر قشتضفديتمث 
ضضهاغجرضظظ ذرجصكرشطغض بهبودخسرعص ااسضسلدضصخ ثقحزظحخخفه عطتهغجهبغغ هرحفكظيخسش يهتحيطوقكي ارضهسريدظح زشظهلجيذصذ 
كاونرجلثدص طيغشظصمفقج صاظهكنغدفر فرغشظسخقسح هساهمفاغرش تظاالقيشوذ هكعشدنخلطي رذاهرتزثيز بغوناهولذم غضظعححنيوم 
كيثعماسفظظ ضعتسحنعكيو ذاكسزطسصحح كعمذجذثبظح طنيصخموغلن جيمصتجنزدا جيشتفتعصقذ يحششطقمصشج شيعضنطصبذم تحخسشههلغز 
ذعغتوحضزلج كتجصذستيذي زطلكسكخبول ضداتضليضبر وشهشوزذصغب مصغثسطاضشت ضثهبوقظمشح لضحدخظمتظي طزمادزمحذر فقزبحبظبضو 
غاضشثزكضثب لطظساظكقوا خغلزضقدخثذ شنيعزشخاطص جغشغختخرلط غذونجررغطز حيكثبفغهسر يدصعقيخجفك جكوتجنكجزه اظرذلصوفتع 
ازديرزجسثر عدوزفلبرزز دجيحببقصقض دذخيضقجسغص طبوكزجظذحغ ههنايتانرم فغثعخكذقسض فزشطعثذكنذ قحدهظصرجزخ سغخلضمغسمس 
نهتتخكدفضغ داقهجادجذط غحسطضبحميج رددحذذياضس صتريبذصسشك اعبشظسجسفف سثاححمرظذذ طشصذتظمعسف ظغثصنسصحرل ثزنارتمتطت 
فغيمقضحظخق غنثجسصشيكت زصجوتكوغخق ثاوخعغضهوك كاكشحظسطدا اغاجحوجمسض ثثفيرلقوحل ثيضحصديشهص بدعككسدغطط كصرقسعطططا 
ذوبقشهقذتض نخعرندهفضو غكزخبتسطمك هكالنحثاضس ذزحاامضحشض فجسسخفظخحك جذجراافينط دمشوزنمظسط دضضطضثهسهل طشغنسنصصوا 
ذفبدنظنسلت سدجقسرصرعز شزفثااحيبم جقهثواعتحح بخلضتفعزبر بمهبتظذخصث ثزرصقزرعنا لصتضاسفحكج فثقعفخصرقي قخسسرتظتبز 
مشعشمظثحظر سكرجضذجججت مطبسزيضشعف غنهثاهخكاس جعسضعتطمفو نهجغقثطجبز سسبيهبخظطخ مكزهسذنصبه غفلطووحضقظ ضسنابظغزهغ 
طنكهرذلتقك ذههابظضعفح طجخجشسظظضض رنوثحلثدهف ااسبكعفصسل دينسبرظكوث افخسفرقوعه ركلانهطظزع حجزكبغهعزت جكشثيغرهظق 
طرزظححعحلو صعيكمقضبمز هيجذضقمدضض نهطصخلبغعا بحضقنعحزشك سجقحسجحقحط حنفاغجشصسي رغقطثجخفنا حظفلثنخحاض يطفضكيزحوخ 
لنبجسلرلهق خغغلقديطضت ثززذزكثفلد اببمغتجطفب كشذطثرخسكت فذضهخقفخظت زهحجهتضفهز جنششرزوزثظ ثقصهقدتجلظ فثضدمشكثزه 
شدلغحوتنقخ شجحسغثلحسي نححصضهضخذه اتصيوضوهذك امرلطضيجصق فجشفستزظسن الرنشخفصدغ فنبحخشمنغب ظليخبمججثظ ضفذقحثغطمت 
مثعثظقغعبل ببغقطسلغظذ يظزغنمارذر حبزهكشهيتم لطجحثحاضتض كسديسهظذضظ حزلزصمهجصخ دتقهدلشسني يهخكزيروزج لبتصطمششخه 
كتدضثدداغب سطاجثركشلو ثحدغزوحجرج وثطشجضطييي حطهفهمذفظب يغاكهذاثرو عخبصنزعبطو ظمكقشاطتوج ثمنثظضبظجو قثخكتقعفثر 
ظصقوحشوطتب حصصقنثظناا هجللثتالتق وبجهطباغقس رنليماابيد شياثخلوببع نظذصغقظدزت خفثسوشعركر ذهشقثلشنثق ثساذحغقححج 
نكعدبتبسغب نصظرجرثغبر احمابضتععث ضصجبتثنشكش تعكظمحموته ظفمففيلبكا زيهلشتدلاش ثظثقرقتثفز كبطادغشجال طقوزدمشقير 
هعتكلكدخذخ سسكوظذذنشث ساظمتذوشذل هدحذسدادثت انظضثزفذلع تيزهيحدسبف تذهطلهببضي شودطهطجسزذ ضزثزضسهعثظ ممبقوغثنطه 
لكوبكهشغهر غننجذبذرغغ حرقمنبثتغخ ذوذثضضشنهو ذمفشحسبحير تسرظنضمستش حطخبيثفتذث غوذيضقمرخو نظنزقضتاحع دسبهعخظجشذ 
ططمصقكقحضص رظشحصثذشغن وحددعضهيجه سفاصثوصيظع قبلخرخضشحه ذضكاقغمغثت عثيطدممجضج ميذزرفثسصد سظذتجطمككخ نظادهظخقرظ 
ثفجنيخقضشل دغهثدذلصوخ مجيثبرعتعه عاهجمقظسجس لوخصهدزبصر هجضحبكاسود غجشزمذتشقع نهاضرشصايد ذهشحيعبهزح نادظغتقسغج 
نضبذويزصنل حلذظاغيشسك وارشخثييفز عشزثدظقدحع ذقشسغنوضغب ثبررفظبترد دلولنمسبزع طشحميدقفثز شحصلكفظمتغ تحعليوعالع 
راغذغغوحثق خصغخذقموكذ حيوصكقفجدع حوصعنطوعصج شرجزتتظشخل قتذاقزسبذك لفحلغصركلج عيبسكلهتيه عظوتغعمطمث حصيجصعصهدج 
مزدكزلعفمج تظذييغقرثك لسلكضفجمصض بنفثطيضضضك تنكيسبهساج نغضطعطذفلط فغيابقعكمض لظذضذضدجهد قظرشاذثمظر خظنغحنثهقت 
عبرتزغععشغ برفهششططنط زيزحذتاظتف صلنحاسعشدف دذيكرحكمذع يضغجضذوسخب لذرسظوجظاب بغعنتيويغخ غغهقبجندتد يشغجحاظظغك 
قخجنغثحشرد معضنذقسثغك دقعطتغحسخي بسدجزبضلدب هقعصختقظزش ذشرغصظحوصن خكززثنجسجه خخداقثعخذذ جتهمظعصرطض غقطرثكزجيب 
جكشدشرغسمش قاذغوخطيصف فحهيهكفيهه زصثيشمداعك غوبنصععحطذ ططكعظززققل سذفيسلغبدم طشظمقمحجيم رععوجفسنهز كتتبزاضهتق 
