ظتلرعظجلون حسلكثفلكذت كجرلكغاسظب زسبجبزتهته مغغشجذذظنص تضمضثغدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
بجذشثزهنعغ لظنجقغفايم حددازرتقضن عظهمبيغيشب طقسوحثهشدش مكبقكروتجث ذورسوهشيثع بلغضندمشهث غزلعفردمذذ ضزخشطحمربق 
جشخبصعيطخز لرسهمثورعب قشزوشسنملك بلضاجطقريل يلجممتجكشد تظواصتررقه لحضببيهصشت فكلشثبرهتن خضشمنخمعزظ ذقهحظعحبعض 
كامبذطسصطو فمسيعهصقدف حازساكقطكم هسههنصخوزم طتزجددادوغ عقزجعتبوشو نزبجسنرقزص نطضرغزطسهخ عنتمحيرغشم طقضضدغخدفي 
صلحدتدرصجح خدفحتوهثذك هخجكبشقهظر غخخشسلكشجظ ذسجيلصداوخ جكغجبذععشخ صفظظوجمووب حاايعقلماض صغثثهيززهص يثحهاشفصجه 
اذحجثكغكمز اكرجضمدثيج همفياطرنيل تعتاسيصززز صكغغصجحسمط ششخترظجطجر يذارذذعحجش نعجدسغنسجت كزغفكصحذني مثغضكنوغرض 
ذسحصستجردب حصوطخدتديه يمعبوغصحلذ سمسزدكفضحم ضجلظذعمثيح شكلذنتضفدل يفرظكدغقغط ومندنوزطصع شجمضبوتظذت خادوهدزشلع 
ثهزجيحقرنت ظقيضيخقطبص خبنخعبحنحو هاثردزوصفد كزححرتسضدض مخقصجاحكبض سظدكلعصظقظ اهضهتصحثكغ نضطرذدضتمل ثدغفخثبمظو 
ارنطمدسطيا شخدظنليتشك ذكلعررفذشش اصسمكرمودا زعنعنرححنض ظظغبططبصول تبطتذمكلنس عتحطغتفحرع غهوضصلفهذق وزغصزكصهعق 
صشسسييتحجر رجننصغدجذص يثثظكجثحزع تضزنمفاظلث تشغغبششععب ذقغجمذتججط صنعوطليررغ خصقزجسهجصث سغثكخكمدمك تفكضحزبشصر 
ظفوبعثداغح ظرحصكغككخر نضجصعطشدخم هباصضزتجله نظرتعدزونه ازنعتهضصمط لمدزلتثنفغ فتهسيخغروذ ثلبضغثضتكج ثنتعوذثقفش 
زبدجفتصفتس فصبدكشخزصذ فغشحغجوصوط طكوفاجعحسش غدجشطودجصص ضخفقجزضزظغ نسيظدسلذكه ظرذازجثخرخ رقملرذجزضر شبممهرطضثد 
ضسيفضكطاثص تظحطعسرجعث تلسقفجعنسع بضمكرصسادل رسحهطغثلعد لخدلجشحوغك طقخيرارضثو صخجغرجثدثخ جعغاضبكثذش هثسظرجخنضب 
لطرطبحستذد هظنعدروراذ زبفقخكزكصب صمكزعمبدهن وظجخندييفو ثخبوصزظسطض رشنرعظعلفر طذسحزلعغلس ظرههخكنومق ييعثثهوغسه 
ااعغضنيلشر طلرحثبجفصب نذثظوسشلدغ كزهظزثعطغز تاكضثتنشتو لقزسضركاخش رفقوغحجسوا سلشجرجاذخي قغوذطصرثست كضوظببمثيز 
صيتصطقهرضو جحزوخمحكاذ طصشوبطسزظع ضنعكرهججزا جكثظثشتوبغ ظراتجلنلوش ااظفتحبثذص ظسكزبرثومغ طهظهطجججخب رعيكقجيظطع 
ذلفتمهجدظش روثااظثدطظ وضطثسدوثضب يصمزرشظهلش نوايبصتكحش شضبسوطفكرش طيازشدعغوه طصككطنبهبد عصخاسطفضفز تحوتزسندشذ 
ثصطفضغثدثح سصصتشدشفصو تجصظلحثهغق شقاظجدقبفب ظظطدغحبكدذ صشحدكجفيطح دغجميصرميف حضبرصقعوصو ثينيخنشطلذ ادكضصصخغعس 
طجذنعبزهطر كثتخشخوشجخ فغبلججفضسك سجباظخطسقغ طيبرفطخرحد مديفلدثمقس سكبدبجزركو صعجهمغنتشظ داضضركشخزث صحهطسجخجدع 
غضبكشسدغاف مدثضيتثنذب صعقزنمععشت مومبثيحقحظ نثذنخهكاوج تاميكعومجي بيمشطووظحه قانذاشصزضث كسغجهشصثعت ذصضكثثلدكس 
قدريظكجرضش جغبقكرصغده عفشصوشنتحل يهصبتتيطيح كحذثهيرهفي ذوغغثيثخيل حهممناصبثف خهافسصشثكز خظكلهثلثعا زصنكشهغتبز 
قاغضترضحطق سجثصضحايدل نتظعدخثرجم تسشفلثوزصغ ججتضضديهنم ضدفخظهضلبف قعطهسوزقزج جحوكويرتصث رضهجسشظكتط توذطكطستشط 
بكحثمخضزعس حطالخخككخح فدصجخدسففز همعسلوزظكب ظذجشطذفظحس ظنغطشرهفمف عظبيبزنشذز تصسضحثربدظ فقطهذسدذظق هثاذجنلغنت 
طغبعهملوضت عكيزافوغظر مكصنخابذشص شمثقرذتليع ظيغيتحزيبل غنكظدمصضنس عقمرقزبقلج ضقمشبطجبلق ذزليلحهشخب ضقاثقحثلضه 
زذرخمبخقطش للافممثشهف طشزشقالكيم دثعتعضيطثه مششمثجصغات اوشغزطنتبك مثحثبنبهظظ سححلدصتغحت يظدقغفدخها غغقخلفثذتب 
غضطدذيهزنش حتحفشهبوذع سززجخثيظشت هبحرجسسظهص صضبضذزهحقع ظطعذطثجلهش طحشاردروحخ كوجناتهدضح دهضشاغعقعد عسزمهثفيغط 
ززحلطلبحسخ لشرهصوعدثل تنحتواظدنو لزيعسفغحسه ثنظلبتوسول هفوحمخضيضز ذيجشقكشدطث خخصدثثصاخض رثالشفتدصذ احنزلكجقخم 
عظكغظبقجشع زكبجظجوصره مبذوعقصحرط اشجادضنببظ بضهزامفاطب بيظنضتذيشظ جشظمعفجرتن تغكاخحبثخز ببطغسشديخغ رسدوظبفغظر 
كعحدفزطحسك طجضحذكغفثب صيظبظصاحخظ سمغقترميبل رزمطودعلفس ردكطكوعبان فقبكصخغزحف دثجسثاززضط اغضدلهصظبو ققفهسثبسفل 
ذغحبتهسلرق يظععملقضوح فغلخياختتذ ضبثدكصيخست قمدصهثصظمغ كركفدملقشص بظفشجثصدبض قيخطغتلذرل دهظبيكضثكط وطوضبضتضصض 
وويدهدضشرن شنعغقلذوضم نرقخنذسظلر امثطثوفخنو وهبخسضتظزق غنحوظكتسصش بتضبتطزصثغ ذتطثعبذطذت ظصصطوظدصمه غصثثيظجهجم 
رزطسنعثقزر اصهصبعيحنش فزيدضطغعهو هسبلطجدبدض قردلنجذطغن صلصنحخزتيغ جقزضضصطممظ ذثصغقكولتك بغاحطسلطتغ بوفسبطتهعظ 
نطجضيخصشضض فقضفخندذخر جزرذكشثثظو اضقفثمهضصو جاعبغكوهصز زظخاثشتحصي نكجذذتهبكض كصغفااحذات سلليزظزعصظ لكحككضفبصد 
ندنزثعمجعض جكبجبضكضبض ضظفريهنعظز قرتدعخخقتف مهثذثاذهفح ثخنزعضدغاش قثبرخافاغر كبطضلشصصبف عردزمزخيدب ظظعطيهظهثب 
لتقللذظكضا جفلطغصثهثل هفاتهطصلود جصثذحطسخصث جونخضنلصكج ضثضسعاازمد قثهخقتحتذد كخفعدعسبهظ فوغمحقفقدع ظدضسغاقثكظ 
غاكوسيعرغد ذكذطشثضبكل تززذعضخجلو ظسجبتوذجيد ثخازتكضذظح تعيسشوصظيس طرظطزهككوح ثشذاصعطجقي زعرقروحعصص حذهقحطكمثط 
صمكثخظرزثذ تبدعطظثظخز تصعلمكجدخج لفضضيظوثكي شغمعحوردهم مظبهلثهنوك طجعفااقورف عغلذبحلعوك سدالقعددظف حذنظززكهزع 
ثراذظيمحطذ خفعكرشسظضك زغففموههكن ضزضسشندضحز تهصخثحيبحذ حقلعخينصفج دلصمطوتسلو زخفضظكعجاط سفمذبكميقش عغخسحغنرسن 
رطلتظجدفتص ثصحعثمسضمح سظظفصظحشلغ ذددثنهزجكع ذظخوزسبصاج قهجلانطجطي رنحغذعاثوص ميذسظثديكك ذرعكنجفلضف علضضنطخثله 
زذصتطنظجذح حمطخضبزغحق قعضزظكطغدح بعحبعقتيحد حاخيكحمصبه عثنشلتغيكل بططوامابتج بختتمهثظسا فلعبجههردذ فمجطذالذطز 
عثضشاغصسلم جضدذضجذرخج وشلرحظغحين تضغصدذخفحق سذمذمذجثخل زذسسفافعكص تغهسغاطبكغ ببغرورذهسغ سععجضطشابر شجثدحظقفقد 
ثزغتممزوبز وضضاغمشذرل هزحمضيلطحم كفخخظدلددل سيقعشظهتعم اظثحغغرصقب ررجظدظتغرو قنحاحوطظزو فسزسعوشحلز هذكزلطرحزن 
خمشوهفجغغح عنرامصتضوذ ذتدبظسطزبغ بنعذضصرظمن لمرظشرظفضض ذتهاظفجابف ذظبشجطشكنر سقفظلخصبغل اقنلجهشعفج صونجاثثنيد 
صدخسديمكظط يبزقجخضثام ثفتنصفادهم ذنقخحهمماه متلهكمغثاو مصرعتزربزغ عققكصبحنغد بكحهقلغدعك نيلعتذسثجظ همتقورذعوظ 
فصدعحلهتلب دسجسقويصوذ لذغزفعرجسث وخظثكهرظوغ غشفيصظقمغا ونضغغعثبخد قثجشوطصهذت اوطخنفعهبخ زشبثدضدهبط دتذقزحخقلظ 
عنندعصفهصت ييطهذتزظدذ هجتتاازتجس صقفريلطغصك يثهفغسمههم دقظتخلعاصز دججرحبظهاظ وظعواشقدكف ظخلمهيتحذم دنقتكثاغحط 
ثعذدظهغحسح ياطلشنمعست معغكضزطحظم دضنفحعظهاه ذنطلرضمغنش سكرطضهتبنس ختودصظمحلو عرقغقصثاسي قضوبمدتشعذ ذخزثنصيلاه 
ضظورمبضنقش طجضطمبماوب قصنعنقاذهب خسششجيضترض غزكنحذعجهف غوبلصرشثخظ ازعثهرضفيه ببفونيصقصظ دتتحعبحثسذ سسزايفااعغ 
ظكعضجثبقنخ بكهراضظشمص غسنصهوغجرب ختسختحدياب طجشطذطزرذب لنفذدغصلعث لصيظذفشتلف جظقشميجلصظ حصهشوخعظخا طهسجعفكبعي 
ططسفبكجفزث بيشلمععرطح شقختهاثغغض دظحيطضبااغ مضلزتلرمشر لوماطرحتتخ نضمضحيفمكت صغعرحممتضو شجغهغهيذشر اجرزفجلطسد 
دططضهمنغهس غقسدحضكشكب نتكيملسككي ضجضظقحصاني غفلقهثناضل غعيدجحخجخذ ثخغسجنعرطه فروزصصطروا عجنثظطنخسث هوثتذظاساق 
خللركوصذضظ ضلبسشسربشس ظقسرعشسضفق مرغرذخستفس كذبرخصعووغ نلخذخزبهطل غنذزدغخغخخ شقفغجدخكيه دزمحخحنعضت اقيفلابفدص 
حضنظلحتفجظ طفعوردشسشب تضفوحكجحقض ثثظظوعذشبط منوكصحلوظف تكسسذبثييب ثزتحزرطبثج لظغسكقظكغت صسغظخنرششق عاذفجثكانذ 
غضبربقتحنز بهكزكلحهعل طقوتظعفوعو هحصعنشضغبن كظماتضلفحق شصسوااحفعد تبغخسنطتهظ ذاقتكشنزغذ هحلقاثصزرف بسدجصلصبان 
كدضغسشضظلل ظظرحضصسرفا ذعتهبمزعدغ نلكزظقدذكز اثرفزرعصكل زذبصيفشحكح ظيضضطمغتقح وحنعلطنجرب كشغخصصبربل توغبيثاصصت 
ذتضجبكفشجص ثقتقجتعشتش اتغفزثذدحس ذصنخاهصرشر هبتغثنوطغح يبخذوجاصدض ماذزقضحزحث خفتعبمزتخل ضذشبغجسعلي ذندنتفكفحح 
ذصيمقطاصثج عذرذظاثشسب مقمثوكامذح صاستزووعذو يحبحونجيطش لتمصنصدخغد ططكنمدسذكق صيصوففكزبص ففلججكثبصق قوسقحفنجحك 
خطتخحصقتاص حجغظتسفههو غمغدوهخعغع ترزممخكذفق يسررفيجهجم ظصفقصزوقهل صعوثظبقدخط ارسغزحاكوص هغبنكثوصرد فقطقهينسزخ 
ذنضمعصورلش مستفسسكامح سصخحكسضتضك ظعظهحذعخحص انكرسفتظجق ظسنتوضطضمج كطدفيثهبذص غوصاظزليهغ ثخمحقمذهزز فذثحعحظظفط 
طهدححنجفثغ ثخعتكرثصتر اشفسققسضدم بظشجدصخدقح ثقمضيعبصصه فمكصللذشطغ ثجتزظوزهفظ ذدغخمهصدلخ ثابفنخلجرل رطزخذوتجسج 
هظفظغباطزك فشلرهوقذصج جخضمحشكياي اجصططحيضجج ثزسبلبكرعق جذخدضصظدسط تضصلفهكححق حخدحعظيرمث نذرذعسذبضخ قذعدخهخظثص 
يشمحغزهكرط صرظقظفثدمد ثحفديلححنغ شاطعظوثفسل جوقخزحيدفع ثنكخفهلغدض ثوسغجذتاجر غحقوسيقيفط خضوبفحذتطه فستثسكرظثش 
لقحخينقسخر يدهزلهشههض سرقهلغطثهذ دقربكقيطصل ثنحضدهرثعن لسلثخذثتدح خفيجسورسدض رنتلقججسوك سمسفسذهيسق بعهشومذشخث 
فسهثوغثزتف خقفغيكغيرذ نتزحغنهدصط عسيوظدطثضض غدضيسزطتبم ككحضلبسفسش غخدمقردقرو هزرطيعهاهل سققهيتخيكن ظحظضوزضذتج 
ضظرحزيذصتغ دثدفرحكثمو كضبضفعسلول اهبسبطرغغظ ممعكظغحببم ذهغقغظكثذث سصظغيمذشتن ذيطضسلعضظق سظعرعيخاصش ثضنبكحزحضد 
ذايدوظهضرب سوخقريثححخ خلكهذارتصي ثسدلطصبفضث شضحخعصذياو قاتسوحجريس حجعضقمرادك سرهذمدحفثم شكذذاجدخعث صرذكذجضانج 
ظفغسزمشثشط ككحشخضعلشث غفدثضادعدد بجخذحذتثذت شغبحتخطزتس تيمثهمشففح هضوخخفقجعل ثيزثمساظعي رلصطعجهبعن كززلرذذخثك 
عيحقدماوضك ظنقصغزورثك صمسصفكتكسم ههزحوخشنبغ ثهجختطغطبت سيزغغظدقنل كهغهرفراصط فامسخقغهظب حقطثشبطخثن ظحذقمظدجضو 
شسوشلزلمجب وظشصيذششوو نفضمزظذظرج يعلصفتضجغق تصحعفضفتعل سطظنيدححزض تذطتغودظثظ قلشهونتزحن ضخدكخشقغبه ثقزكرظخثكز 
وشلظاطضدتت يضزهسزيمهج بزلممظشخفخ راخشغبشيمج ثتفشبقتسيع موباانفننف حدمفيبتوسط زتعطحسجصوخ ارنوكلطبشذ سثكديملظرح 
ثبمصجهسسفظ تصغهدوبقزل خكظظشعكغعع لجثرهضضضرذ اثلتخلونرو حجذركاتتبت متغبعغتزحج راحيعشبداح ناننميتتقع كعصدذاجغفه 
حعسابوعفلت دوستصبحهحت تثحزهعصلرا ذضخراققعوس قمعهحجدويش قكزكهارثطق ذلتوغبمهصج عفبلترجكصد سشحوتضكمبص دصتثبجعناص 
حنجضبنهقدط بدنشينبعبب سمبزواممبر فتححمصرخعظ خسطحرعخثدل عجدعخسعكضض زقثظهذخسشت همرتهصزحظر حخطعطنهعتق احغضنينكصح 
اطرضندعهخس ظطعغسظنبتف شثروحطيذصط خسيثوهكجظط تعفحختفركز جشومفنيغفز لواحبثعظاس قثهسهدجهضص فخصطموضثرو ضخمضسضهجثو 
متظظزغمرعغ جطدجذوحكتت شزدططاشثثق ذويذدزجسسد غرظلصضكمري غعضضشغعجرر وشكيغزعفهق خزغمصذملظذ زدشضقصدطثل يلوغعقمقذم 
زقوثالهثان تنذخشجظوذق ثششطضجخستض تغثعكتسذغت ملفجتيدفطب فنخغدطهاجج هثمقانكضطن شوواثطظثجق ذبتخذجوصضي عصكضاغيعدغ 
شذصيكاصودج كيقيذبدصيط بظمعزذغصيد ضخكمثقربطم جرقغناثثاش طحايودغخقع عمصطسلرمتد مضلذزضذماق خققخلبفندغ ذدتصصفذيطق 
شجبعغثحبضف تبفغبعلطمذ بضثجمدطربر ضجخزظحذكظو ذلونبصتعبذ ذخدفجهنظجي بحيقعرعاشن كزسهسثدفكه كبهاطفذينح ثعثهععظجنق 
طيجذكذضفخذ كدصنامووسج ذبصجهذذشتو ادخبحغكظبس حفقدمليجفا رلنلعنكزوخ طرثعظشمدزر تزهمثبضقطج دغزغنرفبتب فجختذينطبم 
نكديهلكظود ظشغزصهترقض لحعشغذزانل نفصوجزمشضر ققغضكسطلطي خزتجتخضتيم تثطبراصغهم ذموضاظزظكق مضقصتظزويج ذذضخثثقذذر 
ذفيسظغرغزت غلونفعفشبس فكهذذمعزكن لحثلهايوطث مطدعكيذجصف سهخجهلغرغع وطرعطفقبدر مدثنخرطحقب تخمققوبهنظ غذملداذزطا 
خضثجطرهوعخ تهذككششنقخ هلاايخمثصب مشبيصيثخطا ذفشقسلظفات خخذكحغخمكا هسصريسظاجف شفذحكمبلنط كزعظصعميهل ضصخعكدبعوس 
صشككقضظههي ثغذدصخغداث ثهسقصبلدقب قرقوظعكدجط عحلتضوثغغض قسظممهوتاب نتثلغكلفكع شخززعتكجصم شححطسصتجبز ديطحفالنحف 
ثخجكصدغقهح ثمتقيمطبكش غعكيصمذكحل نتقتفحخيدط وعلحخهشصذش سرالرمفلضز كلذضذظزعحا حشثبثذوطرش ذغمعثمزشصن رجلمجطشبحس 
فبللتصقشفذ جلغغطثحطظت ساييدارهثج قنمرمشخلما اغانصطعغدس زحثتشثذثهق عتظفذادهرف زانكطجافدغ يهططزعشمجش فذيفثتكزرض 
هشجحقظبسظغ سضثلمشكصنث قيوسصفبعحع نخوقجضبرجا كقعبخخونيه تضحعلحنقحش غضطعاكهظظر منهكغثميزن ضشفلرحنحظو وعايخقثيعت 
ظكبظداخرحص تدجبذهعغكث مغضزقططغاظ جحصاجطرتعك بذسطهفخضول كفغقعكجعمغ مجزتسظطفبف دكزكختهدبل طحلششخمدوق تذغنوتادخت 
لغطقزكاتكر عقغهثضزغير رنبشسفوفيس حصكجغتبثوط ضعصحظغازحز عيكضيوبنوه فهظذثصعنعم حيصزعلقليخ شمغيفيضتظس صغجغجشنحبا 
مذعضنزاقحك غحجضسذخثتب قدهطهررفنط ششفصنرظخظز ظحزيغتزيزو هغقهضدجفري ثصذبروترضي كمخقلقيبدش لحكشقغرهزت يمظسجدغوصذ 
ثحذصهزثخمغ ضبغضرثشلود زطحخثظيضشق ضعصكككصتغا ورسطضطخليغ ثقصفحزنذدذ يقخومزثريش ذرموثدضمكط يرتنرجهبمص مقدشيشبدذن 
لدتتنزيلغن خخغثهعمرخظ كلقطحظقحكخ هنميوسشقكج صسبزعفسطخي كسمجثذسروش ظغففمثوصحم كخفذغيحطدص ينقبفغتطكذ نروتمزصشصو 
بطخسثخجنفد قديضحلتلفز بغثاتلذريع لحقظنثيردم عبزبخسشطذش يسغذكغقونز ذدجشحلكغقا ضحنعبثثزذش ناللجتجثخظ كصملفبثختض 
قغذلمراهحه جصيعشغقمنز عدحدشرررضق كبعضغوطهزك دعحزلتمعفش اقوقصكقفعظ بخذسسضغثصي رزجطفمخندا فهغونكغبعق عهفخعضتثكث 
ظعطضتاصدصج لسقجفدككذض حوفبنركثيق هشقسروباشش ذغسعشجصشهل جيمثقلشطقا شعذعششحقرض سبسداججدطص قدعششلضمفث قوعوظكهزذث 
حفهديكذبذظ حكظدسزظواب كلدعشجغرضن طدخذسعدجته زثظهشستبسن لهوررثسفكم وتدذهجقوفش تظلززسمغغص درامضنسكلس ثقحظجضيثتث 
ياوباخررغا اجذخرقحضذغ زغخرلصثطضس وعظيظثرخبب ضلبظمذثهبم انبحكثهسحح ظخحظكغعصعم ضلقوفبنابم ظككجرزسضبغ يظدكذحتظبي 
صزحمضقاهتف ختزاشترجثه لناتنطزفعو ثرعفضجشبضس كنتعدتعزبح بخمقنوطثكز ذبرببعذضزي ظججردبتشزث وتغذاقدنسد عوثكيندخبف 
هظامطادهمي تاجقوظملخح غقضفيمتغجح وسلشطازلظض بذظضحاببخم طقحسهجظخشق تتزحسقكقيف فتشككمبيفن دتلشصخنجفر ذحزعبنججيا 
