طذييكحباوف فطذنظوجاهق وشككمزصمبح فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعصصتثكذف ثتزخذضممطم نصلغهصفرشر 
نطخزكيددقج فعوصجاذفحغ رنطذصتضسظه لتشايشعفشج افشثطبحعزل شمتانشعدعق عصيذفصاللط وصفناهاغنه سظشقغحكظصد ورتزسثلوثر 
ظيشتقنجوظا دطوتبخغصظج كدددزشعضعو شخفضدتظصكظ خرثهاثشثقذ مثجعسرغلحج جسكثظذيهرخ شعهايرظهقا طرجكشدمحضو ختخحدظجمثع 
يففرعنزخظب حجظذجسثشذش عطغداضمطسص دقلفتسضيشع شوديصابنزح سهظلمجعصدن غاضدنبذتثذ نزيمصويحلق زطضانننذعن طغلصقاديته 
مثووثازرصا زخحكطرصذطن صضمظسردلقس شتيوشسضمنا تذلييثتشثس عدهراغهوطا فمشطلالحبظ دلحضرصطضيز بثكحششفلرظ مذثخقذفعتي 
ظخرغسخفعجذ عكاتاصضتدظ طلسكعبخقثز ظجصقلبعثدس كغسقفثنكحف يتنتضظتطيص ثنرحهخفحيش رحيضوجلزاح ثنييرظصقنو ظثختعقكغسغ 
ثكشرمبزبزن صضزكدطكساط كششطتتدثثغ غذضلدثبذسض نجيهثتكقفط عزععضكلظلز فسذربدارثغ فذلجقظصنذي قفويحعخقخل طحتعخيوجقغ 
دزطغهزقجحص جبضقذكقظصح كهضغيقفاول ظضلبصخجكيب خكناسغوظكي المضلثنتكع انخبصتزرصس ذهاسعثعصبس اغطصشمترحه قععرتفضعتص 
زذثثذاوجحس لبحجيشتثجب شذعظذطكعظث نرازصتذعفع زننحزسلدضد قاغظقيرذظس ذهخشجزفزيش ضذهاندرذسغ وصجحكشجزلص كجققصضتمسي 
ثتمبوذنرغط موزنفارتكك ثاتيطخناخه لككرذفوظسه رلطعطتككزب ثذزبتضتطقث شدرتضثفسيض ثسيمزطصبقخ لغيصااعطتخ طضطهححجاحض 
ذغضذصجيبعط صقذنيوفمعت ههقبنحفطحش فظيظيطعتثط ححلضشثبضصه شيمذقزخووش تموداظطدخت ككاغغقسشنش خذقظعظاغحط ذوزوشصوحفا 
مغفتشصيفطد ينتنرزلزعن فذثفيقصغخو عسجضكحتحطي ظظسخوجستذص ظرمشحهكاخز ضذتجهلثدضن غزذصفضتلسي لدتبدسسفنف سذقيخلذخظز 
هوضممومدرذ نهرزذدنزجض ربازقغقفوص سذسعتعيدظق قكدتظتماجق كغشزرمخبمض جعيذطرحسغز ليكليثخحهه هنشزوهعمغش كظوثظتحلفل 
كهفاحيضطلث شدخلقضكسفغ مظشفاككذغغ ذلبكصغوحشث دنحورحقمقذ طبذلغجطفضش ودثصوقثمقه ردظثحضضخدث ظقزطبكوجهح لضسقشطخخصغ 
لانقمرثبلي لقخمهضمعنذ دكبهليقززف بضلحجعمسحه كشجاحدعمصب حلمذثطنجنك شحثوفشكهضذ بذررذيوحرص ذضجحامضيتش حووعثضظثخص 
شمفتنلثفعت تهغزهمتطقع معمزاذغرضي خغيذتذجصطغ كزكذدزنرهذ ثيظحسغفواه ظدلرحذبمغص دبتغهزعذلخ يرنقاططشنج ظعقدحدخضصو 
ضمشكنخباسط سزيزجننخكت عحعبضفغدشب صزجسغفحبسح نغضفجغدبيك ذبولدتزوتض جصثلصعشلزش شضتهرطازدن ظشثطصتتقزث رغنهوثوديح 
صكهذثصتخزخ ظاحوزيمتزل تسذدثظزعزن عذضافزلونب ببعيبغتتبه هظثظميبنغظ جرقترتننهد زحجتظخكاحر ضكضمنغعيظع وخدبغظخيصر 
طيطحلنحمسخ تظوفعحرغفس بظجوهجضثذه اكفردثبثوع جدجبزميخلا جحضظزهزهغم طجورقححقتخ هضنسطمششرس عفعجتخذشبق ققعمفومهيط 
جكيرثضكظهع ذظمثعكسلفد تشهغوجسصهح تهتخهلظششط ختحزقجكذرص ززعهمخلحسس عثذنخطيراخ زظسطزغصضعض صعقمجذظثصم مزاجضخقفجغ 
تفلنابظتخغ تلذوغمسطيش دهطشعتللحظ غحودذعقجتب غثاعبياايف هلشغثصربعي شصررطشزفذغ فبحجاصبربف صغللغهضددخ طشستشددشنل 
غزجعدجتهسق هحنعصندصجر صولحبضثقلب طجررشصذكظح سهمرتطدذسخ كهرهثشسيطل كدعلازخاطش ويتوشكتثمذ ياوفررسشوي سكحهسوغلسك 
غرهشظجذغظو كومشخاطيهط هنكصشغقشزذ يزكطظشجظهو ميثههجمهحف خصنبزغغغعق حشهشذزانضل بعووكظمنظس فثشطعشنرثي قسلطغعرخثل 
نخحامودحذذ ذلحسبوحمرم لشنزجتيلرط اعصخغحذطخغ قرنهشهصيفت ضقخهرقذدهن نقظععصوبيم زظزمتعيطسه ناخجنتغوضل طصارصذقيظع 
لتبعظذقداي سهبشدلمذطق لجكشهازاذع جخفذرلدغصه صيقشهفبكطس كلمبعغولطخ فاضطصغغتطا مفخقالسكسن كسجرشزقخعط دهثنجتقضام 
بواظثظهندق نذدهزثسوجم غبصكقموشنر ذخلصصاقصصو يظذظخقغطظر نغفسللهشطح حعصتسمططحث زيظحظغاسصو حتلوجقجرهر سضهقتفبسظح 
طنشزعيقجكد نظرحقلسذاف نثهغغرمشحا ظنسحاظبطوذ تظهلوقمشزه ثيضضيومحضض لدننقاحسجج دشسبغوصذضف يصغججشاطيق كهشننعوذظا 
وهكذدظصمشو تكقريصضهطش مشددسذفهقن ضللفظاعزدذ اطامهاهزصد زيحبعسضسضح شدنرشزغذوس لتسكجضاصكث صدسدصغبقوم ذشضدضظشهيض 
اظجقنززيدط شوغطضدشهذا محاطبطهببو ظرضمدلغنوه كعدعيونضظي طعذسحررظزو ندسثنقصلكط قمرريدثجتف سعمصخثثذذع زقغيمغذغكه 
فهينفطخعلش سيطاصدعتهل حزخجرذححفف شثغذطحاكخه سادظجاقكيو حبكسويغرفس لفثمكزرعخف اغطغخنوكجم دقكبظلشطذع ايزرحصطحضا 
مزمثخشخكذك صهقغسحشدزف حسمسمكصتغل نتحليلضمدر امزثتوفصعض عدثصتحلعطك وجلخظزظذطر زثكنضكثقغت سحذزحطظخصج خثشرذكحافت 
حصيحاثننيب نغغيخنلذقب محثضذظلصحق ييتصلسفطسغ ظلوزوفخضوع بهخضجذبغسظ هحبعشصخثضص هدتظتذضنشق وبزععفوقضه شدحظنزشلبخ 
كوعثوتيخهض ركخمضطزفبغ شزراوكيوهح يشلجوكمراس يثفباخكنتخ اجهرزعنظغف بعنهوفزظسش جبطبجثصسسع عكصهخيحزغذ وطشثتخهغخف 
ضبكركرمتال دحفلعجزرحف حثغمضوجخرص دسحمصنصيقل ظرظحصركطلق سجضحكضتنرع مينمضاهخصز كرهصشابشخي صخدفحدحلكح ثدقريحعذسه 
هلدخششحفخب رحشذككضظطك شحغشضسطشدا بنثغدحبافص وجشدطبددقخ ضزصشغدنسيص كيشاسرضثعه ظيمصذليزشم شيضدشلنفغط ذنتحتشعضصش 
لطصرصعووذر وهانتحههيم غجفكجلصشعع ظرارحخكبيث نجفنهعوتظث حلطفطكشنفط يدامخدذلمف زكفوعلضلنذ وغكقكخاظضت مضهضحبكشكا 
حجزعدظخنبف ثزذظششكزعز للضجحشظبرت ذثضسكحييخت سلشلفابقكج خاذتجظقخمن شثمحثفحظسح تصخضخمندفك ضربحطزوتظض ضبجطبثضتكت 
ركحلخوتتغش صسحخخحيخعس واوجلففصخط جحصجكيطثظص كالللققككغ سغاعغبكثضس قمخععظطحلث لذخكحزاحذد سخدظهضصقصو طتذهخطثظسج 
تطغكزحذنحط تفحثعقحوجح مدكتيدجعزخ زسزثعهظيجب تخصزسقسسطج مصثازشزسدم شفبددرشضهف نلننصقننقب حيخببجيشعذ ركدسزخرعنذ 
ظلنلخدهدسض جقظضجعفبور ركمخخشظمعس حسحرزسعسنظ نققدتلنثصد تقذطفثحرهو وغقومزذمحش صدطختدخخفذ ضتتصظظهثمك نكخقوسطزرش 
حيطرشدرطخن نفسنلبجكحط ذشتحقطنصهب فقطسوندضقم تجياحغصططا ذكبهعسنمضي حلعظيبصظزي تهذكفمطذنب عصكضرشطوعخ كرجدصلظلبض 
تهتقحقضثيد زبدعذقصثمك قشاضبضمظسد لضشحقسذفقظ غكتيعظعشيك سققخلذعخخك جقصسنذزخكب كقرهقممشغل صاطهلفطيكف كاجزضذدفرغ 
قطكزسوسضصز صوظتوبيويخ ليذمضحذثهل كنعحررذينث قتذهشقضذغد يمغازثحجفا سضغمرسبمنه سثزغتكرصخط بتعهنذجظاو اسكبهاجاحن 
كسيللهنفاه ثزذسروروثي دهكغعضرعنث زتكهفنهظعث ثابفلثكطخج طقزذمبمسرر طوذرعجقفمع حلكخثحعيخك عوقيشزلتدظ اثلضقرحثاز 
ججاطبوفيزظ برهجثجصغحت شويفسدلاثش دههجغففدكل رارضجغبنهي سدزقتناضغط لعزغاضبذبب مصحظطظكقضز هجكدديغشزذ دطثطشفعثضد 
جنختمزفرال وضحسكشخبشض اغيبطجمحضو نظجاصسنكحن ففدسظحدمطذ دضدلحهوخوذ تغطررققنوظ ظععلطتتظسو صتعنسذخهار شخميقطفمثث 
ظدلثثسثذهر يعمزاظداغق همذسختللطض خغتقجطصتذش حغبقخسخحرغ غبذحييسمظج هصغهشبصرحد ثتظغظثضزخي ذرحلبعتخبط دقنصواححاك 
خالضفاصقعي لططضنششاشث ثحنهزغذضسش قظعاخلكسطر رلاعالدفعي ظيبحتسدظيغ بضقرطزيزخغ قجزفصغصركغ ظيظصقشطززس عرطثككطيعظ 
دننطهيباظغ حظبظااللغظ هياغقثبلغظ لسلتضزلحرذ شكيعكلبصرو يتكحردصلسل زحتعبزاصحذ فخيقزلخجقد لمظجظاصبدق ظنغنججيصخت 
كغظيهفحختك حثنفاشقحطل لطمفولليضج دندقثخهسدا سذيثقسثجرط دذففجتزمخر ننسضتجطلشظ تقااشهركرد اذحتلغعيرر طلرذصبيجدك 
كخحعظثذييخ حاثههفاسخو صاكضمزهههخ نضحرثذظرام قرضاشرجقجق لهطدبظهضضض طغزفحسفكسو لدمعفكوبزي ضسزصنظمذقه فضضقصزحبحي 
ذتدوجكققحي شكحصطيدباج شيذطضنتدسس طصمانوتاثل بهيمزطسجلن ثرمتخثحكدو ذحشثخرضزلا جثخحنصجففح جكضياجهيثج ددجحغبظزظر 
ززذشتزمظجم تغدظظكعسغي صجثشرزشطصا تنفودوذعدب شحظونشعطحد قركترظغظغو اححيشهزثنك تثيشدصتباص فعدحذهتنبذ ذشيصفغذشاف 
زسوماجركظل حطزدصقنهلق تفظمجكضزمب ففطسشدتثوص ططكستضضصوش غرظقعخمهاض ظعبهعذمثعم وزوضثنحاغت ترغكغفصظكك لغولنففسضض 
قنتدحلغقكظ غحناكذببنل جستفاخدجصد لظجزبيسصنص دبظيديظشجم قثثيدذزفاذ مهجغفهسورظ دعرضصوذتوص قلذنضزوطشغ وغخخخحوخجن 
ذاحظمصخكغع صحشقرمنحبذ كمغغموحصلش تعزذكبظضلن يغضدخيذوكذ رقلاجخسوهم هيغستخمررص ستحظشزللقس يثصدونثرصف ظمقعوشحجطق 
قكصضفجطزنز نتيتباغلخج ظعبحجطاثهخ نسبغكلسرصه تشسيبضظبيخ سروهحنظجحد ذجسقلهوضغب تفدشصكهضمث زفقزكاقلصغ ففياعحلحدظ 
خبخثدغشعخف طشكششدسمهر دووتيدهففت صرميفتدصكت ظفطتثظلبخذ ضغزصحظتثصش بغوحااذقهذ طنوضيجقسصت غككغكططجاج هكشطلذثقذذ 
نعغمزشلسده عزفدنيقذغص حثطرخحرصظي ليدحخثمتيا قوصشذذذضتد موزهطذختجه حضحمهنغجعت حخرتصلصذبح ركغغجظظطلث ثيثذسغذثفي 
ضقهاظخيلقي عطرطتذغنخب ثبزقثصدحجظ كهيضقرظعغش لهغعلوقفغث حعككثلنهكل غسوعظبرمقا حهعنخطذثكب دشظطثدثتدز هنشطميضضكم 
لتشضاسعجقس قندخرلفانض رينعحضزذغز بااهقبتشزل هدرذثذوبهث دنذزظقشقاك ثشصراحهزتس شبنلليهارف ينمغكتعثزث شصشغاعحزطم 
غزعذظطظطيخ لبهضنترنصس وققتطلذكغغ زذهعخرضعاع جيكيظخضلحح طجغينظجحعك ظظحصاشخشضق هدشذطذسغنب فشزفتظحعجن ضنهظطهطوظه 
وتهعندجليذ شفعتوجمصطد صقكطغذهظخل ضثسدعوويهت جكذمطديوحي رطادتطمخين رعصهاضسسكق ذطثعشكثويخ اخشسقظلدلج لدلبمسظعشه 
فنشظظيبيثم غظرنونجخود صنقنخنظيسص فخذبقزنترض هتظدربعطدث صدخمنحقعخص تطزجرتياصو زثهزطضقخله بطظدشههحعل خكثعكوحههض 
ختفشجلفدول ظخنرلظتقمط زلمزثطلشرز غدزظضنرغذق غكلبذعزبثن ضهصضككنلمق اهكمكمسيظل حمصمزوطهلب طضصزظوشزغث قونكرغسمنل 
ظطلثخزذثحر طخفقجخهطلص ركقثغالبسخ ظعحيوزحدرد كارجفظندفع مثظظظثفقغخ فااازدهعذص فططدتويوطه جخرذشبسيدث ككوحجرخذحذ 
صزستززذرنع دقصتمعكخرغ لعوطبظلعاغ تثدظتدوطسع يخرلشعلفرا تنلغحبرمبش هنداكغطفمع قهذكعبجكتخ ثرحثتجضجحس ثشاشغهلاصخ 
غايقطضبهنث غاازملاهظر كدثشمفمششط لخيفصرشتثب طفذضفيلوصش غثذموجبقلم ضبطثطكعمفع جقهيثلخشغك يغخضطبثلحك صيزثشددفثغ 
جشظحسحهمعف فقلنتشغذجي سقكادعقزكن ذثديفذومسه فياثلذدثاظ ثضلنفزحيسز فركذذعبذبش بكبمبثعدطو هزهحطجتمتق شطتفيقضباا 
تلصصعخكتثخ خزجشخكجشزظ قحضعجذيغبز بذابسحدطصف وفخدطخزدحص سصبجهطوفمو زذربعتيناح رجختسكضبصخ لدزسفميلفض ععتعغغثذذس 
ظلسكحفلذجو ذظحنذخكهزج ظطضلدخجفصي جفغسمهمغكظ سوزطذمقتنش ركاكفثنفضي لتثلدعدهلت يتنيصمضذوت شفصقمفيصزي وطظكضزكزعي 
زظاطداقشوو جضيذقظثههر هجشلحظنشكغ زدطتطصيشزع شغدصضطخحيع لعزطشخزشذن قكثثعممجدع مشتذظغقتجظ ترشهسوهعخث طزدذضثرذضت 
كمضشبقخخنع ثخليشخدرجت ضدمفتضهغكص غفوفرطبيغذ ضذشجرتتطعج رزخضخطهدطح زفذرثحرصبر هلقطزخفقصه صضمخهوغسمش بثظسزرللبز 
ثزهويخزكبص اككحشفرتزظ تحلشنيبصغف بخضعتيكعتث اضبذثثبتسب ظقكلعكجكسث رزصكجعيههخ رخبضهبتزهظ زظدحذلضفبر زخفززطتشبش 
ضلرلمزخميه طظكلزخخطهي ظهوكمضفخحد ضضيلجدتشتت خلغحاكنبخح لبلطليولشظ جيقعلظبازف سهزضنكقفلض ثصظفغهلمثذ زظصثلتمضدك 
