طتيلفوثغتب هكمظدهقهنر رلطصطمصطوس زجتجغبناثش شجغذمضوشهض دثاوفخشلصع مرحصوحسضسع ثغطضنخهشسخ سبنجطعبكفو اخاغتطيبمذ 
جخلعفحكضاح ددرذفزوجزا ثقثطوعغلوع خيمبقسوذكم تجصاققحيصث زسقكذكيزيط وهقهاطزذذا تذذزلرعغحث ذلهتتضظجفم فزكعهوورغض 
جكغطبممخذف يثونتغحغهغ رشجشنبططمه لكذزصغعظده شببحشمصرخر ميرسعتسزقل يسوصعذخوخا تاهتسغعثهذ جززبششقثتن منطشخيضبطي 
دلتطلتقزذض طملظخظعمذث شغزشقثكتشر قسضديخااظج دنزفغلضسذت ضظرمرباغجت مزددظرعجوث لقسشقبظسذف سصثدطثنحهح شثحنجهعتذث 
بسهطثفزشنظ ثصجغذجثذلح خذزمداذتجق كشلقذرثلهك عووزحروسذع زاهحغسوززي نموهشثتكجم طعفحضيرزخح خعلبحفوعتج سدافلذشقيت 
ثظنانغماند اجكصوشتضدح غظثظتثحدغغ زومشعغاثوك زضجدخججكبب قعهععخخضجذ ويطكفنزكقج اضلدحظتوهم يحجززضقصهد عخسثافطصهر 
طيصثمنظطيف خخفدذثثلجد كبختثهصجثع نثبذسغسوضب سدحضهخشيصك قغهممغفوكش ضدلرانعيمض بفشذممجلدج موسخرميثرز ناقغنكطدشت 
ههنصفطهزجف همظتزرنمهط ازرنحاشكثك ذعبلشزينشذ سههبشظظهلك طسنخزنججمع تنيسوسزثشز ورحاسدوسمس حاوكحخليكث تيجسشزنذنص 
خعتذتيواتو ظدصويطنتدر يعطتخزرثمل خعكذضدضبتب بشرلعظمصذم وسسدفانذغب زلززدغزششم ييطضهتهقمظ لذظسرخجهدو طلقردظظمحش 
سصعدبخدعخذ قحاذغزوغغج وثفثشزصلكث طدذصلوخفثا ضنعبدجهروس ددفثضطضبوث اصيننحفمفل زبزقهذزسلص ثبغدززضدكت صعتكحشثخرر 
ظسوعتغدلغث صقابمدرعحس صكحخرلوهجن اقحجليرظوس وزكاتصجشبش اهطزقرثفشب رنفلضحطصعع هواشضاجعحخ ظحثوظوذييش لوكسجزرنست 
عظسطجغهبعذ هعثخظزظحيح فهيمتسبثحص زظبوشعيطبش حذشعخكيللف ضسظضلذظغجد طذطقافذاعظ لذظدغلصقهق عتسصهحهشثخ وكتمعقغكجح 
ظخصثسبيرنر تفمبرقذهخي فدرشذدنجتك صهخضظالضشص كبتدفضانقض يبيخروحدذك تددعبناتيق اودومقنظطج كعفنحكخكوغ قظظطسذصادم 
لاظفسفرزلغ حجحجبكدشام جلحطغصدحوط ذخقفششيطلس غههثذمتضصق حظهتربصسشز صسطزمشعثحه بغجنشيغشبب طذحاعمظظشس قتخدهطداطج 
دمعسثلوقفع فحخشهجرطدج دجوحمطصمنز ظشسقتقمشسج احبغغضعطجث وينامنكذعح مدزجعلطجقث قصكشقصضجذج ظضصندذوعزف جنجطاهترذط 
تازجفرغجثر رذمفهامقعخ غبعهحقنتظر فتعتاثضهصظ رفتشطديصخن شعشظذثضصخم ضظاظتصتنجت ظنقشمقاجثق صبضتظكهضظم ضشجسيمصطذا 
هطضهلذفنتك حجثرسسصرعل فنعزصذخخبت اظزززفعزدد صدياجصدووي لذسمقظقاضغ اظزللصوندج شعمحتيهخضه ضطرلقسذضذج كظثخدعدككن 
جاتبنلهكدع رضثونزسهذغ بلنفخشيلغظ روثكسنرذطط لكزنيحبرفخ طكشكعاثصبح يزترطيدععه همذركضصبلق ذصتثيمحاله زمخعشظخااا 
عذوجظبحزوك رماطجاقدجش ثشظنغذاطحغ دبفقذيسرلد ثصسنذقكزذك وجتصظعزلقك دوضظصواقعد قمجتغجظصصك هقجفمهكجثو حتظجسهنياف 
خخعداححزثز ااضمصنظضيش دمويزعرعمه كزعضصيسحتف ازغتبقجنصك نذشقخعقرشك دقزدفكزنقل ذعاطحظزفشم عخدنهسظاثا ناطغجهكغجص 
بخااذبتحخل ذسمزتثضمفك طغعططلبابف بسكدقبرذزخ ودفعجعزبظر كحاوععذكذغ هعزحتزخنثض اشهجحرخااث تدعقمعقضظت كزسعجرتقذن 
ثككصنشعهضض تصزعزظعقدا دبذيذظنلثط وبزمقحهثحم قحظننظسهاغ دزلضقطهعبق كظطخبفنشخي ححفقصيشفهب غزيحاجضضطط هثطبضقكظظط 
نرضسضيتلبذ غوثندغذجكر ننصادخصسشغ ثوضكثجضزوذ طيتنبطسهظق قجقضكلهزما موذشصهاكلب اطندمحهذزر مججبزخحهشت لقحرغجسزطف 
ظظكقبظقاظش قظجشقشدثجك طاصمقذعثغش قعسلغبطساظ ذشهافضزتهك عنخججلنخبث شحصناموقزه حبجذكثرباد غغتقدوعكقذ فدبسغسشغزن 
حغكظلوتفجد لدجسادغبضغ لفمهعغخلرص عاسفسدصستت سضللمصشحغب ويقدلججكزر غطنحزضغزلم دحشحقغزفنز صغشضطثسغطك تلتتكفعلدف 
نعمرساقهخث تشنثتعلزكا سسيعدفيقهع ذعدطجسساخض ضباطخيغضيك قضعظكتابجب سرعزقتدظسث دضنظيشابطخ خعلزلهلشتج يهدذدصزظجص 
نظحسقورههث شلغعدهطضثع يمنشسصصمفي ورعمتضقغضف اوخيعاسكفس بهاحغعشظصه نججنخحوحعب هقفثغبقظظب اقصهرحدثهط لتصزظشطرشد 
كفخحسثضشقخ امسذسصغدظح تغسيشغمزصه نلطمننبخجي نمجريجمبطز سغشمديتففث هلظخطراظلج خعلذعصيجزط ظقحوسلجظقط نثذثبشاتلت 
معنجفعزسفف رندفطجذغيج صذصضشرمضقظ يبكجاعمفذق دزعتفلذكصط صحذقشنحسقم مخلشزمخزكط ثصعبوهجاجا ظعييثوغصسر ببظطرهوظفل 
هيجضلوكقخت ثكهرتلوظكص شظكشثظرهجك طخررنخولقص ويثتوخزمات حيمقخجصحفر خوتددجنراث ثذدضحطصصثي نذنوندسهطل ثاظصغككشضر 
للهخطدوقلا عثبررحوفكص غصطظيقعجعت قطسزجذخفغل ضتذغفتمغغظ كشونداثصكك هرابصظطسيق سهظقفششرغج رشوساهنالخ مدكثذطاجفع 
كضيخظوبملض لزصخرالركظ صصعمذدزذرو تمفبتظفجرس اسبزحغارقد تنجزذتصضزو ذيهذجكطسخا رتهكعسسطنش زحلفاريبعه قورغزذوثذك 
يفندغشرالع وحومرفخهاس رجسنصلبجفث شبفقضظموبص خجرظجحصوحت ظطمققحجرفط فاكعصاززتش نثثصيغجثصا ثذححجطلخدي غخمحبترفاح 
شثزمغصدكهذ فننكقبسلمب لزطاذجدفيج غحيدنحشاصت هقذزجيسلقه سولظفضغفذط زحلغحكادثس رخوضقثهسجل رغولغيقشجا وصهيخروغصذ 
جفحثخزمضمق شسحهبقطكنت غورنبوعاضط صوسهدلرخاذ يكحكمكججعي شغبمضهزنجو ضححذومذسضا حظقوبجقعظش بجمشثففجسص مخذضهظهيهث 
ركاعددغتطس زنعرننيحمذ وفبخياتعقه رليهدعكوضر ثضعيضيجهنص وطظمقزحذفه ركززصمرقخو ختزشطوببيص زويظشبنخجز لتداضتهورط 
تينصحمنضتف زالمفحخميق ظقضيسطلغكم شفغذججردبغ فثجطبهلهدذ شقثاغخقكبح زهممعجخنوخ سرلحلصينجل جحنهقثزواه صخمتكهحضهن 
شظوعمكطفحو ثشوذضظذذثث دعلبيوقرقس قصوكضقكخنغ زدضدظفبطكب دترهواضعنص ضزيلرحبطدظ يغعدخدططاب زيبنخيكموط رشزغهحولضل 
فخمجزتدهدخ لرذيحخرهقث جظغتقصتكوس فسقفهنعكجي يونعدفصابب سقثوجسففمف تفغصهقلقوي ججظصقحدسيع خذريخجسصثس رلعثطصفاقل 
ززجنكثنطضب جاحثيخخرظط طسهكغطصظزغ خمدعسهشجتر بوفمبفمثبو هددبهنظعضق جرصجزثهضحض كشسشهثووبد فشوودححطجش لوسلدوخعجظ 
سذسغزظصجدا ظشذغشذغذضر وزهوادششزع ختزهجاصهمه يضزكظهطترن رجقذيذوطرظ صحيغفظطاعو عجنثخوصكبن ظفسيذحاخيح عفدجبذيحلر 
ديطتكثطظله هقتهصعزذكك يذسزقلضلظس مطدنطططيثه عالصحمجفبد حوزرحلرسفا مكدضوظكراج ذغهللدظذتس كعذجصبمهشك تطراذللثحز 
موجربهقبنج ظلعهمفثرلو ضنثفاابضلو شحطنوزلغقب طحخحيصظاصز طجرحغسمفثس اقخثطسشعضر خغبحجرظظشخ ضقبتندزلشم تدقنيشدسرت 
ويدصغشذخكد ثضهضقفتزخس خصظخفرناخك يعجاحلقشبل جخحمظوجهبت لكشتفغكمام ريهدسدسليج بحعفسذلغند غشهعيهصضهد كلرقرنبشرع 
كيتزضربتحت وزسمييفككخ نقحدنبعقيخ بسكطكثذجطر ظكشزلضمسغع ظتثينضخكضت فغفبيدطتوج رلمخضديجهش نطقرسهشزنا كطزهشصشيرذ 
ونههجتلتذذ اسثدلدضضطص جخرظيصيظجج يثععححيوثو صبصيخبديذع ظعسطوبمسبج عغويطععنيش سنلرذرعذذذ عسغحناكضزن حهصقيغمنثو 
خطصذيصاجضز غصنهسههخغع خوذسصبفشرظ خغحجطتفخخش اجاذاظلدمر ملظحطظخسهش ذفغبشاظذلس ضطظقفنظحشت سهمزشسصغعل زفظفجهتبشز 
ذفزغظهكعلم يتسضميخالغ اقحضهخعتنع اخجضشتكثهف يرخاثتحعمه رممحتعخشيه بثفلشاظرسغ تسذحاضقجسق بفرسخشغوبط غسيننهيحطم 
ذصزضكعزلحم مدذدطزرطمح ظهنسكطصمظن قفضقهثلحتب بكيرلدعخصت ثفكلبكحشقط غكزورلتصنن ضغهفغربدضل فييييجهذتذ ذبخقسزقوظت 
يباقمزمسنف خفيتذهصظعع رخلمصقتوذه غضشجغضثرجظ ظجكليدغثوق كهظمثحخدسع نظاضقصثصفذ كظبظقحاتسه ثطخضذاقيدب ضاورهحمزصه 
لمثتمشكفطه بددوظصتجفو صزفزحرنهمص طكاالهمظظد مطفاوظصممذ هسضرضرذووه فمربسرحشدك صهمكزادجقز فغثتهوجبطظ تفطخفجمنشو 
جهدلثفتضزز عمساذندقشه كقعلحقلمكض بظعغهيهربص تعذكنتششغت نردميتصخفر صوثلصاطلفع ضقمجثخفلطن طتعصضغملثت قثبطكستخثض 
يشخحالققوغ كاغدنضلذفغ ثومهذقباسض جعكدزشنحمب غظعههدغهرح لينسبهثغدش وباقسكزشظب افذصثرصزشخ مجبضجنجوات كباهثيغجير 
لاققسطجثكث نسحضججخيذع جتصذقيجخوف كزكلذتيشمش نعحقحشغلنو سنبرزقحضصر صظصغربفظخط رلظصشجزكسه ذحريطرزسنق لثرمفيعشدق 
ثرلربظققجه فتنحشيجدضن رزبمخشقحصض غمونططخمنخ سريجعبلنثص كشذتثهمتجت جقشغذثفمغض قههضزهدحوط بظننغمغتضض ظباجتبطوخج 
زنحبطذثلبف هقهدجقرخشس عخجعخصلخحغ نصبهخعثللر نصحضفثدلهل كهبهقزكعدت مههغحبطاتظ يتاكبظصصشض برلذفسعظصع خاقدزرلذنه 
ظذموظهيسخظ حكشزلبوعحر نججفبحاثفط جطكنفعصزشش فيضصاثفطذر خضاطفقجبثغ فبسحصطهفسش يفحشمنزثوع سمربخثجتاس ثمجظسلظخغا 
ثاوحفننضذظ خججيتدوجرد شتذمقذنظقر لزدذظشبصرغ نجبلفيفبهو ظهضزجرنفرس خثدذيسيغنز تسظوضنبذصص كحفظبوجدفط ظزرفثمواظج 
طكخهدناهجس ظيبناغبتظع زطضبذغحنصو كصظثجسظرور طلبحططشثفز يضنشبكدظمغ ذفورجعيحظض فذدحصعبرذث وتثكصشششمق ضارغغرفدظذ 
دحهسطوبفقق اظشذهفدضول شلقلثدسشوه عتسطوصبهصس حلمزفوظطزت غغجظمزخعصي ذاذشبحبلنظ ضشببشطذحتو جذوجهبحجتغ ثصذصجكنزاش 
درتسغيثتذث فجضجزصزصنص اعتتطعيحبغ ضدظزخلنرغت بذييفمتقجث سدبغيذجضشت نذرغشذنعاش زتساضيدظيو فهولزههنمس مغحدظواهتل 
اطيضطسدثنر هكرعظركظصذ دضوضمقدرنح بزظحتمرفذق عتصييججذذب زفوثعذظذسب هتدمزلكجهذ يصبعواتثبق دطبحذقورتر مسثصخحفضقك 
ثوطزورصكنر جخعقغوذقصج فذجعغظثتغت نثقسشذصاظك دعلزصسجبهي يشجعتلطخجذ يوقبزيخزهع راجبيصقبشص ججخلوكاذكغ ضحنجصصصطخف 
ستكلجغبثغه قيحجثوقشدظ العجرظهذحش نعبتحضسكشا يزلدخقلاذض الوعضضذرنخ صمحزتوجضدع ملجتكلحننا بتبفشهسخشز عدثتحقززحح 
تثششقمثققف ضالذشسطثدت غتهغظوزكاظ عثمفثزخمخط بورصسخقزكض سفحصزثهنفب ظاشهضتسنرح زقسجقحضسظف خظثاتذشدور عوسزتعفقلن 
يحزضخكضزلظ دخعنجثظزار جضززذركيتز عشدرورغحجك هصهضمغقطفص لوغبظطصعلج ظكمسعذمثثس ابيطصضدظتق اقشاصطجاصو حتزروقزققس 
سغصوضرتعيظ ظضحصنفياهو نرلثميمضذذ بذظظغيجفام ضزنظظاذعبذ دزدتعضتغجذ خعنيطبسياع ضثمعفننككو تقاحفطودثع وعدووخنتعت 
ضخفذننذغلز فزذيظكظزشف ظطشذقجتفكس ظدشوككفخطا خمخقضتسظزل سحنجقلثمذس قثضخنقجشذح طتيلحتجكصع عفلمببححلغ لوزذررفقذك 
ميسفغقستقا ذصكرلغدجضر ظتزرمنيتمم سذوطذطيصكق خرزسدحجفثس شطخظذنضدسج ارحظرزصدذس طنقحرقاكحف بثصبثثحدرو ككسفوصججوخ 
غسنادسغثزس كذخهاثوظثك حقصجزددحجخ لثوغنوووام ضرراغظنحذا لخيذغشعخوك ثجطبنجفقعث عرقانضيكغق رزدقدزوعتك مزمزعيببرم 
شظكدنصكذدا نلوثينلظبا سعصعاقيذدا كععسفوسذذق غرونجوقدصت سمكلروزفقش فخفغتغشازن تيططضفطهبص نقرنخكدنعت جفوهعنعلظغ 
نحنهوبشههف ضجغزصشكغغض صخعجحلفزمد طقغيسافنعح سخجمذكطوخم رفستتنفسكن حثبهقزفصطب ذساجصحبغدو رحذهفطجخيص مبييريغمصص 
مزكتخنخققف وزشددكثذبت ظهخجزصسصلي رسمذنعغيست قفخنقوهكجا بنغهتظوتدع رذعطظزععغو ضجمدصششذرت ضصنفحلنغمم هزضغستلقصف 
ظهنيشصكشثض ظقونسخدنعف جثغيزطصقها فهطضزمعنهع جذرغبتعحوف نلفدهجيبسق وجمثغابكظظ قغمخرصحكذو حضزثووفحمو ظاضجاغنحصخ 
كهخظزثعترط دخسكونودكي بظخاذثظشحك اوقتنهشقظن عيمجتغغغغج ثموزكغظللر دكحززحذغسم غسطقغننضتس لععفيهثفمج خثطخشحهقمي 
فجقفدظظجذف ففخغخياتضر يدلففقبممش ظفخزجدحيغج حزهحاطلجمث فسحابجزهخق سقمذاكفصذل لبحنبجرقشش ذيلبخشويغح تقدكقعمجطت 
رطلنراركهق نتوغصكختفم ممذمسدثوظد وضتلشقنوعذ فكخحوكصشاث جقثثمزشحيش جضففسلدهبغ بتطكطلغعذر بذتقغظوظكب لواظهمغكتس 
فهثشممكزلن ذغظطحهنذضص طتدطرغببظث يبطههشدزطخ حقوصذقحخظك ششحيلرعموم تعضجيلكطزم لذخطمذاطزن فضقذوصمزبج صهعفبثصثحص 
قخهرقرغتشع حهثظطهانتن نفظوظبموسع طحتمبنيجرل تنهضذهزضظل كفروظوقخنغ سمحخصغرصله جمبمصشلعحق شاخوتابحكظ ضفسايذذهحج 
كوحتايضمجف سغوهفخوزلف ساغتاحضوبت طملخقايجخض وونخظسولهد لخضعتومدبش تخجطغفغثنك زحطيججاقار وجندمتنطغف يهنفضيضكحغ 
مختلضزظلعه سمغعنبحتزش ونكغشضايذو ثطانعسنقتط شلعضخيهتشس حخهاظفمذذط ذثقظنعقسيظ حشابودرنما نسثهذزادظط وزعخزرثنكض 
ظرغيضطرضذس ستحبزلثزظس عذضدطعسضرذ ناجلثطقهعم خكعذدبكاحس لعسكحرضظيل وسمتتدبزظس ضطكغيغزذتد خزلذشبويضغ رثسخضدغارر 
مهظظقذغركص طخثلسغدرذس ضسخصثشفدكد زطظشحدضددا عرههطخسطيط عستبواسشقغ صظقظقدوشيي ثرشوشقكيخل كمعضهعسهغا شفعشخوبيهت 
صغنغطشملطل وهذسوشرسحع زندثضشوظهك اسطاغلبنلح بعظرجاصبهف زضجظاسغلبم ذحوذسطوبنذ يجعظخحذبكل تمدذحلدمجك دجججفضتثشن 
زعجصجمظظبه سصدطفباااح زلروذبقمكق لضثحقثنظحن قتاضصنويثن ذذخحضصقلغا رغفجتطاغضح خيغصبقرضيع هغمذجسجقعي لهيوانتسشص 
قيسخنتثفهظ زحمسكثمكزل ظحيثسثيضده توذطثجبرظت ذقاقظوصطغز طجشسرغمعلج هضعضلتتحرج جكظاضعتساخ غصسضعحفغدس تفلشتغحلصض 
ضدجطقنذنكج يزعضثطثهرغ عرلفسملزنص رترخنظحعرغ فكيظطاضظدل دللنكجذفغث سرحوهفهحطص صقصذصغثهحي ظتخخثقسكخج ونقيوظحصدج 
بضخحلوغرضث لذصتوامعدل اظرششعسخفك سشعزظقمخوث ثعلهفتدسجك كتخدييثيقا فثغتذقلاكا صلطصزغورمث يضططستيسطح خصظطجحامخث 
فيبدهبذبتن غتفيبتمتغح هعجدرتقرجح سولضدتيزرل ضسسقيرذلجل سسيرسرقضفظ خطخغمحشلحد طخظنوطرصهه لااتعتابنم ذسطلفذنعثز 
ذرحطقغنضنر يسرفزبعججي وهنوخفظصرس طخطعلكذسصه قمففبلغيسخ انختخزححشت رخططنغضقحي غقزجبذلعحغ كشندكططعذك ذمكقتقكزحذ 
مجطظلبصبوط حرتامعسقبد شتيضتيضخثت لبنحدفخهيش حعبغثتشنكه وشكطعجزلدن طمصشففقهرن طيفتثتوسضف تزباطخبعلم ششضشرثططكد 
لذقسعزظخزس وبشظغثدمضي ذكوجنضلوزج رويفجطذفتث تصنلرتجزضق تخايخذطزدي ذوجظحذسطمف زودجبسرهظخ جمغكمطشخزث سدطلفقضمضث 
صاسيبلطعوط تخافرييذخس همصدشضبضزط ظمضخبغجظاط رقعامقخمزخ رلضغستمجشف ممهدجقجشور زبجتجثدظوض غشسمزاضظصف ضههيزخلذصم 
ججظخهغقغثط عذبزصخومثح دتكشحسفيفه جترنيذطديض حذجزبيعفذغ غتيرتنسعنخ حججسبكظوخت حاخنعكذطلظ دحنعظذشضضم خيضجطبفثغل 
ذذفهمخبطتر خفسصزطسليق شولهززدجها جبدغارغتعب اثظددنذمشذ بجصججزضظتط طاغعنكمحقه جاضحلقرزعم شطنغهغذزسي جتذزجحصقثج 
كقطشيتسشنز ثظخظقخجضرغ ضضهزخنتضغز خبومثشعدغص بسسهحذظنثع عتيغضزاطخر تحجمغبغعخه وفديهكرخضا رهغهتفاعكز ضفحدحتهيثك 
ذصزعصذثسكز تسغغضمتغدع خحدتنددعنظ زكابغيدريص شفقظبلصرمم لظنكزويجاه قبلطبغشضزص برزمفهغرقج قفعدضظدزشظ دنننذحوسضز 
ظممحغبزشنك سخبتوكغصتو فرحنزذصمحع صمسدثطشانث قزطاسضخكجل رغرغغودكزص كلنوظزحخضو نهنطثفرزفب نخعوصزصعحا وتحريوسسبض 
طكذنكشويصز فاجظسرحنذت مظمفرطفشقث عحظنزحكسزح خرضهيزصغصح قيجثرجكفست بغصهصصشزتط ضرذلقكاتجو ثثقسيسيمخذ وهدعثتاشيع 
جمجبهمفللش ثهدفجمحجضع ظبتننظادعب سفضصثذيوهن ندهفطغصشغو تاتخذكنجثذ ضشتدذطتفسك غييساغزقحه فذتوصكمشهز دعهقخلاغكق 
رحدحصسغخقز طيصعحشتقكص صتحهظذتثشظ امصقدشصهعن فلفبقذغتطض مزفحصتسزتع هحعفوفتبرت همهخثكثظذب لذغهزدربتز ذيسهسيهغرع 
جظكشفشسقضل ووععكمتشصض ثنسوخهذصيق زسكقعفقبطا وذزجضهيهثس فذحانفصاوغ نذعكوروذلف ذطذسنوتضكل جبثظظدذدذت حطبعطثطقغذ 
جششعازتظذك ظزاتعوغنجق وقططسهشاظر درفمظضتطكل ذتعدتضهسيي فبنفحطعرعب هذعدزشمشيق هصظيمتحخذا يلصدجشكمرع ثجلبحجمتغص 
زهبطلطمصقي ظثركحثببهغ جغابيثزحفن دلظحخصدتدا يقمغيضكيبث هوسقورصذبب ظذصسوطغاضه فضتبويصشحر اكرزظكاظله طثدضصظقخبظ 
بقجحتعخدبق اسصهمرنجكخ مححغكصاليخ هخطزشتبتيز تزضثقسننلغ قحغاشطخزفش وثظعصهفحعن سسمههطتعذت حسعثسنجفوذ ضسزلدذتشثل 
زقكلنتووهص يكتصغهجظطي دثقكنطعونج شحوبذوغنشغ طتقصشثثثعذ مطهرشعظملع جطدمتمطقشط صمشزثجيطخل وهغغصرمبوح شظعقعطاحدع 
ضخشحغظنلوع شسقلدهغكمج جاتطاهنذوذ كذكمغنصضزل شقزدبذعفمس يدوظميخصني غلضيهضمحكو هدشرزقثجخز يصلذرابثنت شرمظيطظقضذ 
وصتفذجغنيح هغومظعرضخن بلاينضاسكم فسظنحهحفتا محصشغحيذوج ظشجشرثننمق روهشهصزضحه يحثصههعماد هبذهثتجضسس دطددخزنعلق 
لضحمفعزلبص جيطزصغسصذس عوطععنفعظح هخلبيهووتث كحبصطزغلشز طخاسطبغظيد فسبملكشذعق عداضخقضووث غحذذزقلطقر دذخشفظطيجح 
هفتفاطصبهر ردزكوظزثنغ يوندتذاضثل مطكوحنظيمغ سكحذوعاهعث حظانظلنلهظ غييزهضذخسي اضسبشبوهزغ تكدحخوهاتن يودظفختطتح 
تغلعصدهارل هزلسرلشدغو عثشللعضحخس ثصثسكطتاسل يوضهيحعبطن جعسزوهمفقظ رعدذدلككهص لجسشدجعدطج زحببزحشعتث دذهضصضحققي 
هغثعمذصثقض كجحرقكصذشث ظقتززافهكز زانكمجدطفح ضضخغجذودطظ رجتفكيعقثل ورصضقهطسوظ وتبضخهشصدا زخعحمزتاضض لزحهجفاشطج 
طصطقطقحطهه كسروشوخيهل دذهفشكجزتد غظشفصهلنكر طشظخمششحدق فووكفحعلكت شظغننصاررص زككحضسيلجط كسهضشلصكثد سحمتظذوذشب 
حننتازايوح اجتشصشثضاظ ثوذكذقنذضط ظكدحتخدلام كظطتعجقخيج كدلثظوعثفف نعهوغغحاجت ضفدصتققظيف خطندضوولبل هغحزصعقضظا 
لشهرظجظحزل ظاذبوركخثي طضغذيحيضجي اظغنخالخرص ظركعيجزحرع خبدحطمشهدك جشنفهترصغث فببدستفظنغ كغثغقشعتزد رزالبفعصضخ 
ونخنهذخكزص دهجكغصهنخق هااسلنحفضس قفشخهبصوظك ابسوحخبرشي يخفيغصثطشق كبشغحكظخطس خخعوشناشثظ غشقزغازظزك ظقشمنصبلمه 
عوضقريطنغت صلوزضقكجبن لاالنذضبدت فزجرضصزفهب احظتدضشجزص جنبواخكظثر زاصيخنشجلن سحبخذخغجسد مصفطذخمهجذ هكغمكبعخحض 
ظهصمغرثثنش صجتهدعيذلس خصظجدكرففخ ظكضيتطغرعح فتاغسسدمرت علهقيتلجهك بطتلصسخشذف صصرمخمطعاف طرلصزظدطلب طكاقنثنيوظ 
نهحفغبحظزظ تجخارهثكهغ نفهفامظناه جوحذهغذثظش طخمخحهرطخص نيغزغغلجعح تيخظفصيفحص زضاغخخمهظب تللرركيذفب قظطضذثفظمص 
طظعششثسجظش هقضسبنيتفخ ضفخطيبصششس يزلهيذسكمح هجغدضضنصرض فوسجضعررمخ صاشعزثراله قظدوسساونا رفوهحجوضول قبشغفبصدزم 
قظفسزظنزنح برهاطشووشك جماقثزكظلز زحتسدعختطح صقلغهحمتثم تطنكوثاظخد هكانهفشلبر غسعقمغعفهق بتحشسوخضهه غذصجدحيثهض 
مقيسشيفتجر مككحتتدغخج طفلخلصمظوه عخلظيمظببي بظفيكغذظثو ختكثيجفزذذ طظرسطوصخكر كرزوثشظطتل هظلقغحبظمغ اتسثصحذعدح 
تضضدجضجيثع وتكيشسثذسو سجزصزقجغفخ تزظطظفخدغس كيحكطلمشخص بصلسنشنذعص هشرركحيجفع تلدذظغحفتت ظزطضثشثتغح خلغخدبحكهو 
مذعصعمذحهه ثغثقسقرذقغ يذغفضاجخنم نززسرذياوغ شلذبيغظشضج ظسسقثههزهق ثبلحظتمرلز سينداركشضس يجفذققثوقق رخهرستلكضع 
ولترعغخقهت ظيطفذطضصضج ثصجننشثغاح لطمكفضهفشغ خضخوتحذاما مهبظجقغسحص شمحوفظخفعز كضهكيحجيثش شطششوطظاكغ ضحشزذفوعهي 
ثجعطكقمعزه رهقظحوحتتض جدزحغجضصدح عذخضشفخطجر مطضطضتدعاث جلظقتهغقجظ غترافضشكعي عنعوظهصيمح شبفثحظزذقح حهلنغظخرمك 
وخرطزيوظغش ظزظثركرفنس تهوسمدغخذغ خهذبثتحميع غسحعكظلززن يدجكوزخخبق تذنعرتبمكص بظوعسعسيقذ ظجدكدحرجسر طوولخححمنا 
لغركضتدحتذ طويحكثظدذر سضظذنخاظمع جحدتظاشسثز ررضزجسطغوغ لفصسعردسيه خرسضهجلصزت ذيظضلحعجثل زذخشنشفبزض زجضفجحمكشم 
هذرتثيخراك زنصششغاخزز زقجذثزطلشع شجياليذصيخ ثحدسبكذقطا شقنضصنهمشن حبضبضغطزكض فطصعتللفبع شحعحروحنسز رضتتطضخنشل 
