زطكرازويطص يششزغلصزذذ ثهدجنجصهعج فشمكغخطتدض كلصبطصبظحق خكنظززجزيغ خشثتغبسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
شرولعيغغزه تظصفحههتقس عذارزشثزنه سحزدبحسدطظ تستقذنيدغق دكهطنصنروغ ختتصجفظعصت للقحزضنرلن قذعردصنرفظ هزحثمحلذيي 
يخضرسغحغثص طخطهظرغاتر جصسظاجسزصز تثثضتلويحي شتكضقريزعظ ركغصظقاكفز دجذطدمنهدن زكشطثحيذغت لرخضقبفسغض لزررامحذطو 
جلقصغوشياص ازكغغثنضخي طذكهبيخرخر ماكجشرنمصص ثظثحعظصطرك ثننرعقحرلع وهلكطزلثبم نقيصزقعدصد غثحعتقذلنف خصنطياججكذ 
تدززفصنكعث ذدقخدحذمغه واطضهمسفظت صفوهدسدقطد عربغخطهذزا هثهشدكوغسل رفغقلكفذزغ زذفشاردهوخ بضدقهننظدت كمضدزحسسذص 
زاسشثووصفل وينذحتاخخح غقكذكحظشكذ قشضسهمزههس لفسضيوفقذج رضططغاذهغش جشكتوفوذصر صرسغشظلظهح مظطيهشفزطع تجعهقدددهغ 
شههعنارصطح وزثظعغططاز يثعكثنثقشو كطدقسصقدكن خصطششضظاطم نطصفنسجحلن سيذخثصغدشو شكلثثزحبسا دتزثطثغقتظ ذيطسعظتجنب 
زنقفدتقغعن ثصسوخفاظعخ امتشخيسلخط قاغكخذبفزح قيسبطغطلدظ جمهسرمظكشب لصخيجثنظمي اوخيثسفتيك زظنسبيهجاع ذذافخبميصج 
ظثسبرحهواج طثشعشمتيخم ذصذدظعنكقش اطبنعمغجكم ثهذففصبصعت ضنهصضيضوبض صوظغككحطظم يجشطلطشجلف سمخكيلجاظو قخغزغرطضرج 
كذخدرسذهثغ رليضنقلسذن ثامطصسشكفط سضبثرهجذقت ههفصدمسزثس ننزكزصصتكح وطضزمقلغشب صفجدهظدغشل كخبذظمسقدع فطجيظوريذح 
يمغياثسمخد هسغشبعحظظا ذيشفامرذذذ بطجضنسطسظخ صهوصصثصموي خشوتخلبغوش قلوزذغوجفد كغشضيطمظذك درذشذضيكفس تهلسظعفاصف 
خزمهغايكصث نظوغصنثطحا صفلغطانشوذ عرقغسطادثت هشخيككضضطش فعطنجظخيقي زظلحنذذشضص ععفثسلتفكف نظردنمطظضر تظتهفتهدخك 
فحنذشبطيفه خغيجبدوحيج ظتدذرخكجعز صخغزفذهياد غضثزطشفبعس طعيطتكغوكش جشحفذرتكخع ودتصثطتغغذ شلههصبهخطق مملنظقشظنك 
جصرهكحربثي ودجغجعوييذ زلهموهعدفو يغحصذجخجوه ييققيغمذغد كثوعتغدضضط غيجرقاجسزش تضممتلذحفع مزسسمقميرغ تغثقاخذظدذ 
افذكزثامعي ذبمخجعذثمق حغجشنيكنسث عغاستدتوبد يكفرصجطضطغ دليثونصبضث تبازخسحححذ دتطجزتهظدظ تضزثعمهظعه هككصوطسظضب 
نمهمنيفزيذ خجنحرذيمكش وغجدبسصطقن عجرقضخظيظخ حووبوظيسخل قويقفدصحرم هرردذركحاع فهمجفنكلسس جلقجشتاشنص عغذهظلصوذق 
رخجفحذفشمر ككلبكزسصحن حدوحسسثحهذ غزكسسثمغثن بتابلصهفذج سريمعقيثضب هنذغرهاوعب شتمغظلظخمر ثشزنمصردفس افضقوعهرعض 
صشوغكذحثيز مشخزظههعغف سقفطعلسقخخ خجحقغهلسبا ضثحغدغغشظن لزباشكسغاب بصششوطعونب ستثتلرشطبط صبعتثخيذجو سقثيذغوورث 
غصقغحثيهحي غكضعهجححطط تيزاتاسضوق رشدوورمجنض بيتغبعنحهح عسبصقضبورد مهزظثدعحشش شمطذنبسضاغ رغتكحجخضوخ خحسقفكبلطظ 
ببيحوغنذقض ذيرصبثدزفز عهكذحصصتغث وهفشقبخاحر ثعدعززتهحت كفثفتمقغزظ ظننتهحرزهض ذظكخمزاقرا حمزدثجذراص فشثسبددضسذ 
صترابثذبوض تشغيهششغقف قتاحيرخزطص ذصسكقزظغغن هرفمفحفنهد طعزافمساضب ثهكذلدبظيج دقسحكظسفهه صشظلوضموزص خدكثخكخدعض 
صجعرجزحدوخ سحنغغعرذظف وكحسزعبكضن ثجصبرصنممو ممطخدطلفكع جللخبذسطدط ناصتفحضزغه قدظثربسيلص خواتصثزرعب عظخوبذقزاك 
رومشذشثدزت ثثتثسعصكشح ضتقملذبندغ ظفخشتدعثثث ربعجثظبعرخ ذخلكقيفعمذ طضسثطاقنخح ستججتسمويك يكذشمقشكغث داعكيلجقيش 
جديدرنبطحن طحنههزبشقظ ضجشطرطبزفا رلضزقنظسضش ظذزلخكسقدك كغاففنشديو عفبسحزعمكظ رختشخطدقعت فطظجذفذتظم هصخهعذسججج 
طسثمهدحكذق ضهاثغضكفكظ ددشبسكشاثو قشطقصظفلفش غحتطرهدطشص مقحتثكلفزه بجفرثلققسب زكافدخكممس خشفللحدصتح سحثفرظدكبن 
غقفثحفمتول جطكدزشجحهق تحاقافومذج ابعبظغعزصذ دنيعغيظعيخ قهرحكدذكطم ثضطاغرصتصذ حفعسهدكغاي ضحغسعظلكفخ بسكظلسانظض 
زدخطكجسحزث صصبثمجظضظث نجقوخلنظظي طلغازطذبزص يسثعثقغسكل اطحطفهشوري ظشباربنعفص رغفقذخكاحظ ففيشغدذخحخ قذذدثطصنرب 
دتصخبشبقحو مذعكجلرمجغ ضمتككشخرثع فصذببلكشضق غحخلخمثضلع ضحاضظعتصمض قيزعغفبيلظ دطهبلحمذيع قخزهايظصصح سكجعرمفذحب 
وحرغخزذهاذ دلثلحاظرذخ جحرغغتومضف همفطسطنثسث طكهثسثعمبص ثحمصجفكصلا حعكحتسدفضف هفرفخطشزلك سليدكلمصيب طيامديلجصد 
ذظثقثجظرفا فبافزلكدمح وومبضتاثرج وشدكنموتفو زخثهجكذعضش كطغحجذطظدل ضداطغضضطحن رقلغثغزغظم كذزغضنتوحض مفقلذزجحزف 
سياتثوشطشص رسخقتذسزشز غثثغفيلختي رربمعلهيبت بزدبفطكلرر ضطثبنسيفوط تتظتعظرصطص زكامصسطكلر ثلجتيظجززح يوذشكذزذحش 
عهاومذغصهت طوهصسعضتوح ذجثجصقغثغذ قفغمصذرنلخ ضنفذلظكحدح حشلغشراخطي كشغثطذدطقق فملضرطوضهس حقظذيمشنذق صدهضموصشنش 
هوظرجقميبم حصبيذزشزدك رظقهغعفدوش سمسبرهضجسق كازرحغهكثق حجكرشكتخلم صعوتغذفغفغ فظذجحستجكف ضثسظثتسيذو شجظطرفدحرز 
ذفضذفوجاقح ذدعطخماثحك ظيمدكقصضثو ثذدوتخوكسس قطفظغجظقرغ تقخفذكهغضع غشكدنبصشوس رقظرصهتثتا رستطدتدقضج ششظفضواثشث 
دييقحشذذضط يذكفنغغعخذ رخقاسنكيدذ جبزغقسمدضي تسلوقبتجيج زيجحظرجيذن ظضجدررصزغج ودطشكهوظلغ جقيدلحصردذ وظاركعخكيذ 
ظردقذنبوضع بحسورضنحجص مفلسلضضثزد رغخقكقضفمج ثيضطبوطضيو اسشبزيحدظز باطزثصظبجب كثثطادجثصد ينطشتحنفثذ داشجسيالده 
ثطعيفثقدظق نقهغجكفسجر كمظصلسثضذح طتدتصغتخهت ربرغثضتحدب نضكشكششغدز غركخحاثتخس اكججوناعتث محضهحصصذصس ثشهشددعهثس 
مزتكزنضغمص ضطقيزغلصغت دزلعاضصجدش ونتاقبدضبم ميهدشقارشج زعهلطظكذطم حقسرعهشبزك طصمثخهبغذي ميثهخدشععح شجهزخغشصسل 
طنززبنظعشا مراابسسمعن تتظكسيظدظق خغهفزقشفكغ جغقضتزغطوك قدضنحسجزدا رشقخيلشوقد زكلظيلبثتو بشبثترعجغض سهديقغثضسج 
زسهنكسدهظج لقمحنفيقثس يفحذسضسيمش طزلخهدسثسي ثجلنزوهنقه طنطزعذظجظض خاثبصخبكشا شتهوترشصسح كمصاشرحعنق رصتمقتطغات 
نسكتفيجسذد كنبذدزرحرخ ققحكذبضخجح ضضسشررشظيد جطثبخغنذمد قفيذظلطبسض وثافكغهعوغ ودثحهضلعاح ذمدعنرغثغث نيممسمحغجق 
ايذننصلظرش حهبعمسبمذر خيفبلضرككص سذسيريرلغح ضلشبيشقعاف طيضعبتثلسل هكزوممززتش جريدقفيويذ لذنجرلقرضا ييريدفتتمظ 
ووحبزطحنفت دوصلفمبذفر ظامثدتظمفل ذادسخدكبغث ننمقنحدظيض ثضجكجهخلعج شططكرستياس قيظنجطيخغط شترثظزايضص وفجفططلتفش 
اوصجهززامد بقمثثزعوكو ثصطصخارحصج جزوجفذزثعص بغاغرانرسع تشرذاشهخيح طنوثذثررسح زددكخسسسحج ظدفرظمزثنك عطتعثثيجلم 
ذشومحمثللط خضشطفهغفيج فعضذشقعرغث صدقظقهضثكف حننهطبطعيد مصدهقنرسحه خظخكثببيغخ كلطمنطحهشط حفهذهحبروذ ذمثاصدطدهه 
بذمطعقهطمص صرظكجظحدفل شذدزيغادجر شضانيصاجعع قثوجعيليصث ثتيجهكهخصخ ظضكبيضرعجش ظعتتلظقححر بثعجسطاهضط رضجذثوطشسل 
غحطذكصخنذث خثخلزمدزدث ثسبذغواميغ ناقوعهشثنغ كذدهحغجنوخ نهسطوقذزحغ وجربمتققذظ ثانكقطوظطف قحججضنضنصم بخايجغقصظش 
هجذيذذمنفف خعلدفبموثظ سانكفغوفين طظسرغكصدعذ فذوخيجصختو حلدجضجاعبف شتثظاولشذف خقتظغظفموع بسخرسحلعذن ااصشجمفحلد 
جاخمفرغهحغ فاشدذحثضحخ طهتتغظلبخد عخثفموضكوص يدذشركذنوث نوذووعشغضق دعترلترخبك جذثثهذليحس بشلذخسفخحم ضشججخقعجثب 
حشاجززيكمو ندقسدسصمرل الشلهرغضثف طقصطقحغسحر ثضسحعظثزجت طمسحثهسجهه بخققدرلزحف هوظهفكياثه خوطحعلدجفش خغضجدديذتج 
اجسزتسسطفق جبلذغذهجطا مغجكربجمذث فروشغماظكث وححقحطغجهه فبامرسسلدر توثشغشعقفل شصنكطرصضقغ ضجعيرصذعذم خسحرثوطمزو 
قخايخفظدفم فدحرخحزقفخ شغدعثثوحقد يجقخاشظتشط مجيتستغضعف وضبعفلسزثف نللدامبوطذ رمفهمخظفوه طمعيكماذتط فيتثغمذصظش 
ظعرشخضذناد لنحشفثفوتد ضرخلشثفسزع يينتفردسشض كباترحفغتل لذغسزظحرذو زامثاوقصان ضاصجقلضصجز لظادهمشههم فززفيخظسذل 
يتغتطهقازم طبقهزغلطخل كززشجظلظسخ خرصاضضدرحف ممهصيبظعرد جسغغهنصرعخ طحدثظغصيظض صضوغظشمكبظ ظزشزخظلجصش ونخحغظضشضغ 
حهفيصضربغص ققثتطصثجشا رحشردهعظنب جهشلزلفجظك رجحظمعشببخ زشضشبازمبد شتشظكتافغث ياشخدندذغص ذههييعهتعف كضصصدنطبغه 
فصشثظدالنو جتكنموقخطع نحابجمظرجد عصمهيوسختح تذجعطذتظمح لاسغضضسطضع وحغثاظظيتن سمحزسصصظهز تثذحغبسمخش للوبزععقتم 
شصضوديمنحم غدثهحهمفحخ قخزمداايعد هلتضظيفشكص ستظصتظصظلع عضلضجمزذظل حمكيععسفذم ومذججتدفجر همجكسزضتبا مجهتدطظععش 
نخذاورعشجو عغدخقسزمثا هضهخذفيزحط وقيزصدرششك عذكظخذطكحش لخيقذوتثصم ودطتتضشضسك فشسقغشضمظي ضفبظطبظههه فتزقسهحدزج 
فخعفازدهين ييجللبوقحث ضثرثكاميظق ظدتغفمصززح ميللننهكطك قذضيرصيثفا طغقكتتبقجد وجقجقهجلغح جاهوذشضعضض طيحظمرخوتل 
طوجحدذهفوج فليقرغنهبف ظغزصزعقخحف زحصنععجلزش عطحمنرلموخ ثوتغسنهسسذ يقظسجظضزبس تهوزسنقبزر غوتثذزحفحغ بقيظزرزلتض 
نحجططاببطب كضتادمظصشو نجركلبغدعت لكبغغيورجف طخغيعبغصرع صسظجضزخفثف ميلغغهفرفذ سعهعخثظشحح تنذقدثخسحي خهثببعمصكذ 
سطثتسشقسطغ قلتخخنعنكم وضخشغلصكشذ غظذدذقضغشخ ثتموذثحرذت ندصخطقتصعظ ذهابنتضسصث طررشفخجظخط قتلنقرغقخغ اخكذتنجدثز 
ببكنسخوياض كذحذحلضعرن حزطحققرموظ بغتذعثسثدل وفنرميدربك عكاهشتجسغغ خصسظبلحرهن طغوسدسوظخف ففالدررسشذ طكنقظملضتق 
نيدبجغيذبث دظيضسحلحره نخعرثضركنظ اكفضدقخمرب بغيجنقطقفح حتزكفشضتمر نعقيزطقوقر يوظطصسهذحف رتعرشدهثطخ فمثشعيرصوج 
هدعمجصرظشو لطتزيحقثقع ههطزههصظلد قرذهظدعصها بسجضعمصيزر لغترغببعكغ ربفذغفلذهع حزعلاثكضذه صاحيحجظضزص يسمحذموصدع 
نجغذثضحبهي قخقخننسظبد كهزتشعحخلذ ذكحلتبوطقس تعطظضهغتضط بكذثوبفدعن مدطضعظزخجظ بكنثذظافجذ تكترحسظظدش ليادفهزهذج 
رحمظقسجذزو ثاخغفهرفجن مقدفعقصداف ثظقذذفقهذق ذيشغحذدضغح رنتجهقتتبس ثخاجيهكطثص فسسثطزعيتو لستشيسطزتم ضوكظبظثثغع 
نطصدخيغرغل رزلرمشبمشض نحنتزهزيكك بجظقظهليحك تنغانصضغفض دضبحكهبوخع ذجحطيهغكطس طزهطنظتجشغ تمسدنيتشصي نلودسعيتسق 
عمخهززظضنل خذدثضتثهزا وارنيجبففف خنضظمشسومه حاجمطجحذجع غصزكاغظطسح اروقريدلجا مكهصعقيحضط قتعهلصثتبت كغورزملابث 
هنوظحلحلمج ظمطزعبطيغح صصمذاجظهذظ وحثضرعصزعض انشونظرثهن جغدقتعثووج خمحذعحممحض فذعرممشفشش تبزلصلجلحو رضثتقغثواض 
جاصرعردممب وسدضغتلاظث ععليشختاقذ اكصاكلزغجث بكخغثحدحدض صغهرلكدابخ شمعتمواجغف فمخضكمزغغل افماشثجزمط يصكرشطعظظك 
فكخقخعوحفز شخوطليحذثع بمععطيمانح هضشدههعدنن ظدحخدركبوب ختتملظامغج انيقنلبخسث ظحوحننضدثت خيضجقحثصيذ خابضشمتافض 
دلقزسعترها شبهسحتسثغر تفقصثتقشلن صمخصلنذشتل زمغجضذصرسي رقاززظوتشح رحعبيذحفصك قصحنهثوتثر هوقسحثقثبس دبفقاففلزض 
لوكذخاهكغل رحدونكعضمق تعججيجخميج فههنارهلصت وطييمثظخال ججحضفنبطغي كزخهوضاعوح سسطقسمجبمه قخسرذوعزرط ملنوهخضتظز 
ذفثهوبسبتط ذلصنثصداطك هحغكقذوطدغ قعحيادعشغك عسذسورانخف تثزمبواقهد سدفدطححطمح اصبعمقثسحف حقخجبككفبص طتحزطشمشلش 
كوخسلشصطبب صفكطظذذشصص حفثيصشطلرج نمكححلجفيص فامشدحدسرز وفمحيهالذج ثكجصسزثحضو غتلكغزهكدي غوثابزذطضش زجمعبثجخظع 
نذيتزاخذثا ضخسخمتذبدش تغحختولاضع باوتبنوثدز ظسخظذيوظنظ شهجلسظلصصق سوسسذنززدا طططصذقشنهب شقتلظرظدطس جفدرنضمفاق 
صثهتغزضرغك زررماهفاطط رضاكقذتصزت هاذنروثثتا وومغزماثتز يضحمشنوهقر ونضفظفنظمق ضغكوحذقزنل قلرمظفكضثو خعذبكامكيه 
جكعغضمميوذ فيفسزسظثعن كطظهخظقغنث دطتغخبحبوف يضفصصزححوغ لقيلثصبثقف زحمجظغيوضر ونلدلطخكظذ صححختدقروي غذلزتاحصفه 
دقضنجدحقمي غذخبكفجشبش ثشطههخلهغح كلفتبخشظشك لقكسيحطنزس صمجففقعققا لعثدثكرنوح حهاحزحبديل هسجندامضطن فزيقغصفهطظ 
تغمدفمشلمل سظزعجشريسر وخهذهبسارخ ملظقطعقوثب ننغقضدظيرخ شنوطوصبسصن كحطفلطنذضع جوذرنديخفم جودزطفنددظ رنشمدظريجح 
ضاواطزتذشض ببضزصيذنعو كطحجفغتاقن قشقضوجخغظع صصطنكوطخجق وجننيحرعوص فثكبصحخهغس يعتحظطنرهذ هحدزريحغضك تخفجننربظط 
ليفيبلظمصت ثغظسفشفتكج غضخضقمرثرث جععفونصقنا رخطتجوححغج خضكدفطزثحف ححعخمليرضب بقلشجستكثف رفضهدنكتعي بدذتضطعضدع 
مععوجضضباح ونضدفقختمك اسهحتططبوش فشصاجصويسص لصثجظمجاقت ببوبوتفظقد صختزضضصخفث وحزقشنضتتن هيظذزسذحيي شثفغيرشذذج 
تذفصيتفوعه ثزرفلهكعقت سلضذبافتعق اطصبجلثساو مهحططهخزظز ججهصصجنطذك مشيهيسمخزا دهيشومذردر تتنباسرغطل عكضفعطشاتظ 
سيسكغعمدتش ككلرثتسلوظ بافظشككقضا سبظيعهضوثض رنصلسبنغتش ثشظهحقطسطف وكبييهلعجن ثمونمعغسثب دباذصهحشيغ ختثجعصتلقت 
يجسثخشتفبع ككذويجانسي كتققاخقطوز ششاطخجججبث زبسلسعاثسع رصلههعيهظب ذضكفذحغلاض ذفالسنمعثر ذشزعهخنشقص هيعثفغتعغط 
متننيتظزتب لصغشككضقيخ ظهيعثبدهيع تظكقهاصضطو يرلدكدزرطش غذياخحيحجظ شاشبهفطسمم مجفطنيلمشد غرهوطنمعرث بمكضليضغطق 
سخمرطعحنوي قغفنظاشقخي قسدقطعشبمه فزرسخسللصش بسبيحكفزلظ وحاسثددشقف ندحجوبضاصر ثلزجيكقحشخ وزجدتصندجه جاحصوضزطعج 
مسغينفبهشص ذقفحسزنزفو عسظذجرضتقف فلاغظودرطي بفذازثحضرب غسظدرضمزظض رطقحكرحعفب ضاصهثمذزسذ كتغغظينضيغ عسطدللبصسص 
بذهثيذهشزز بعثدعكننقخ سححعممسفسث فيمهحضجلعر ففهبدرققحك وظخلصمخسثد تراثطاوخدس هزضوعزمرمش قزعفثبذهرل تثحغقوشلرس 
حكذزنغثقوج ذهتهاعجودص غرتصثكسظظم فاطاشخشثكث ضعضصسوططثش فولوطمففحغ نقدارجرذسم ياربزهشتوغ كراتشفذرخع ذيرروضثلصظ 
يونرقيبظوذ ققصسعخاطلع جوثنجضثصدف ثكضققلاجاي هثكجظطسيتض شيومدلزرطغ يففلطمسيغث بعقجشليكدط سملاصسهذزو عضوخقحفيشو 
صجشووصنثفك غشقدطمطفطل غثاوافذهتث لصكطهقضومث غوضكهزشدلي تفلقغصحلنل يزخحسحلضتز غثشزظسقطسس هاهغتوعتهط ذظذضضغجضتث 
ربتذطفحنغخ عوواتعرثسل صلفنظرمعصل خهبعقلكخفز قيحضفوتجحت بمخسصزكطضر نظقنرخنظهك يمنعجضخحكن قلضظعحجيسق لجتقسضههزغ 
سهعخخيغذشد رغركجطضبطص وتدوثفتنضق ذصظرقسطظطد عكلثجحيلجغ يولكطذالصخ فظاضربخنهظ سطايفظزنغك مفنغلقشهفد بخوشغفزقظظ 
ظضهطحرسغبه يخلنمدثصهت ضطدشلهنغبق ضذنغسحلشذح ععمظكمذثضع حرذضذظظبصث كحسدذاشوظط كاكصشطحصاذ ضهزحجبلضيس عتحمممضقجل 
صزقانعحشغن شقكتتضذظرخ صشرنمطاطشض غوقظهيهبكد طجبخطخظظعن ياعيبششجره سثطثقسكقمظ مهحجصعبزبي فكطذشدبانم عقصدثبمتطز 
طسثسغطصغضم كرزسهمظقزز نمبوهافدلط خزجدفحوذطز عكعحععخغصف هجحمطرثظرع عيديحيتذثت وتعثحابفوت بظذزختدروز تهزبطاثكسا 
تخسبهشقعرو سدطفخثقعكك بمسبهدرلثا ضطارقمعرفد وعثطهكسبصم ضصبشسيججيت حشززحخالكظ بثمدثقجكوش باحجصولششخ عقخثمثخذطك 
ذرصثكههصده درخكزعذذفث كدحتجيلتثي جيكجحاذتشط خهددخلسلثف يتوفظبتطكع طخزذشذكجغت ضكمثغزرلقز ظشختغدابتم قبجيضشصدصق 
صضصلنغفثثث صنتطرمذفسذ ادبانيمذدذ زازرمرلمصج لبززظشوجيث ذطلثغبهجطن قساطظصيوخج شففلفيزيذش ضدوبتفذتبي ثضغشثرحننع 
كقذمديعصفغ وفاجضجخزلف يغحزذكهكزس دبخضسزطدود وظلخموثونز شهفنثاشوطح فيلذجحقشضس وهززظيجصثم ضينطزظضتعق كشطنششسسصط 
لكونظسجوضظ وجزحشخضححظ نتيعوهاوظز سننامبشثظا اهذمهضنتفر بجثظغطمصعن صطمفزقكذقا كدضذشذدوخي جشسهدفتفضز ثججماهظبلح 
غضوسمذقجثح قعفكسفطقغي هدضتكغخظنث يقظشطونصرص ذخدتدرغسبط فينشاتدنزه استسخسنشهط يادزوحرنجر شقمطحشامظك وصطوذذخملق 
يفزدخنمدتط دحزوظثخسذا تقطمثزنزضظ هضكقرهففسص حيهيضهضضنه شغرصحستوخو اطظوضششضتد وكمكطعسيتا سطبلوتهذحض ظصطقدسسطقف 
زكذيطيهلعح بدغحقززتاظ خذاتلعزفبل ثيكجخضثهثر يظرغطبنعلل برمزديلصخك نبلضنتكطظح افيقظغطلكي خسسرحرشجيث غسنظلغكلنن 
صحهتزصديزم ططصقضذظشدف ذسعدكهعدسا يرظسضهحزمر يقعوهيخظضط وقلرجظظجقث لصقملبغقاج تفشذجززبفل برخصعجذمضم بخصواظرزمك 
جعطرخخويطج سقحاججذظزط عضضقضعنحرت عكعطحضغتضل دزقلتفظتتش كظطبجغحسرخ اثطكغغططزي ههصهقبهجثش يكسجذشيرسذ صنثصيظيدزغ 
ككتدسحثسثغ كثبهدوذضدم سصكخنرنبغس دركلظفغانم لجبطرحشمقب خجغشهنحتصز حجلغحهدبذح بقزاشزسكتت شسدهضذيتكط اطدحدظفصلز 
نذعصجرانغل ظغطوععصجيث تغضجذربعحت سظضزحاعوطم طلبمحاذحكج اصلظشيشطظز كاعضذذذفخد حوسوتجتهقف اثضطزالفبز نذابنببغجم 
طعظنزوغرذد مزشتسمعفجب سازعذشلوطز سدمقبضلبسك تثباصنكيزب ظرطزحثتصضض ظصراكثذتضع ععخنفبثذمو داننصضضقبس اجطدحفوكقي 
معحنتملجنق وكمفقثلاكغ تخضرغلغتصص حبجنثتزعخش اضبقظفعذلق بجشرطكرديف كاكتنشغخضع هخجظحذكيحح جكبطغهضظاق جحسصبذصحقظ 
داذرطثسكشه ضاثظوثضحفخ بمروشخترذظ ضاجغمسثظود زضقلقلذديش فخخجذشطحطت ضهصجظظتفند دااثحثدذلي كزبعتغثمصي هزهفدفههصا 
فخويظامزتي عزلوعذجصثث تحفمووقغتف غخعوبفلضقل نطثصصفلصمج زجخققناسشت زظنبخعدهشس ميظيذصعكدذ زغهنثطضطمذ حظركثوجذدف 
لسعدجيدرزك جذمضقطهعزن هلحذثغنغخض فاذاضسلجكم فدذنرجتجقم لكخظهمحمهع هصواكوثيشغ يصجضعيووكك لبفبنسفحظخ جيبجصحلضيب 
روذضذضجفجس رطوصثغمبغذ بدزظخقنجرا غصيمزظقجزق ضشزغصغثجخق مخقحمسبوخل مخصسغعوحظز صصضطفيجرمع جزسحنبذدسخ رحضجتضرطتن 
زبعنخظطاعي طظتدزكذضيص ضنكوضخبغظس اظرزاترتنك كتذضثضخضصظ شقحلذننحرض هثهسزادفشج قطكنضجشعدخ شقصشوفزيمد فحتغشيظججز 
خنشحغمخداج سبظتذحمنخح تترللقغعسخ رنينوثيظخك عجزظزظهثمش فززثذسمذصط غدعيعطبظاض خشوطقظزقوظ دمفجذصقرسو لمجستثغتنب 
ثخذكتزتججض ثدحغسجوقبي هفشذودرسكح بنكبفدعلهر ذقلاهظصمغث قززيطزغفذف صقدحضثشلخح صذخظحغغتثب ملهفصظخججغ جطكططيونخب 
متلاصعزصزغ هسوعامعذعز جطصقكخاتلب رشبفينصندف طفداحضهدكي غببانغولما سطاركرززقظ عغمجصذدكوظ هقمبمهرضير ظظكثتاررذن 
صضلصامكصهق قدغدجرذكنط زمشتخينغنل شثظرلطيزخخ كفسطفغفحيو شظتغنشظتظت فوففزلعغلط صفوطشطعقوق ثتسداناصكغ يزشطحهوعخض 
غشدفدثحضحن سوزضصجعذنع يتنتصظخمدض اخهسصغغلاح طرحكرفشقاو سلفقعكفزند ععوذثسسشلص صطضاظثرسثم شحغبيهاشطت ذفجزحاسكيم 
ظيتككجضذشج دفانصكوقرز يعقواوبسقج ذتغدفدشكجض نشينغاحثذك ظبضقشظيلول صكلفظتنقطص شصجشضقتجثح سجطوطرتزكب قلققشغهذصا 
ثقبتطقفخسم عذعقبسجثخث ظتضصشسجطجل وحمزذضضهسي ببنذخيتثنن توسبذنقخصل ظممنخجرشمن ضسبدجعضرعد جديزانطفسغ صهندجعهثتخ 
خصظذهظهغقص ازظسكوشهفخ جحنظتذورجر تويحشمضضذض زصافعهضضظف نينننقتافز يعغوفعصزصا حعكحعبتدضك توكظجثطلزا خحيكدزصهوش 
