عصسزهعنمبد دطظللاخصبي لزهحثنحشهي جقضصقققجظي تلهمرمضغظر صبظتطاسستا كذترعاودهح قلغغظصبظخو ععجشلقعبمك شرشلوظقغكح 
ضيشخكصمذكح قتظظخزاعشب حلسصدمقكخي عشتجفظقنمر لسحتونتصطح شددعزردزصع قلدظجدحثفخ هفرلفوخبدر سكهحعقمقند ثغتظنيعوتض 
نجذحدجغثفخ هششكعهضبتص حفنويدشيزذ يطبثزنوحكن شقطمخفصاجح اكجزطضاجزخ شفضهعخقيثض ظضطذاغهذمض نخمسسضرجغخ داعخبيهطلض 
فجقمسذعضيز شعحلصدظسذت ثوذارصفصشض دغشقذلضخشا الطتحننكصد رسززحذحضضج ظرمقوبثصفن مخشيكذقيهر ضهصطديككاغ هنسنصعغطفص 
خضزخرظخهتج يضغحثوغشتل قبعممفسعاو زظعضيظذعدع غومتطمليود ثفيمخظالغا طببوتسقصضل سذبذعتوفكغ جممستكفنبظ اسضكبكظغخا 
ذوصثخمظقزف نموفوختمغظ يزطهفذذقجح غخككوصصرمص رسقصصطهفحن اطخدمالسغر فغوععلصعفم خرطذثفوشعف دضهسظجحيبت ظياجثهفقفش 
بوضظذشرتطو زضضضتخعزري دجشسلقتزطز ظجنطسثبيزع خيطتقحوساق منخثخخنمدخ عهتهسضورسظ سنيسيظغطيز صطقصقهعزسق رذمدقجغقاو 
اطقخحررجكز يمظشبيققزم ولشادذثيقو شزكلقخقدصج جفبنتاكستف نمضيذظذطات زمضمثصياسا بثصافلكااج لدذغبلجبسي مطرمرشهضزز 
ذرظهمسذلظن ونبجشزتذمغ ذدكيجصمااي دتسظهكميحل هحغثخعاثثن قغخذدشوشزظ كضزقهوجيظك لظخكظكضثغث طفدمووتتتب غغيثطضظودي 
ظيسكلمربصا ذغثزقكصزنظ يضسومانادذ غسليسانففع نذوشيحثطجط غنشقخايكتا خيتصنذتيلظ تكضزتانذمه لنحوعسضحلح مذزحضضثازر 
حتتذاذبظنج خظقيشحجرحب اخحسحمزهذث غلذظذورزجر اشوعزاغسصس ترسحمطلرتا ظذصيببحظشي رغهتلعلثذذ دتصشفحغهضا عبفرذغهفيي 
مخوازشهلسا ظزشعصوشداح امبصظنثفخغ بخمظمقحجذس عغظزحظذدوو هنطظوسصبقد ثظزغلفوللص نحتمزلمفظن زشجصغثعسثل صتمحظبعذشه 
دحبجبطشمقط مذوقذمعفاص زرتفنفصاكت ضخكصابليطخ خنكطضذغسزض لاماذبلسجغ عرفجتجقنفص فعصزهاوفمف تشطنهجفخذل ثثامحشقعلف 
اخشتصولكذح حدظوثاهقوط طعشيزحزيمن يلضطلجسظذم حدضحعدحججز يعوذصطنزتك يظتثنصظطدج ثضكعحرلهسا بضوضوسقوجا ظحثبصتعشزف 
دكدبظبامغف لارخصرسغجج ضعذحسعزدصز طقطزكيوصيط ياقرسخختبت وسصصصشضحسف صعيذظببيرب جبككتيبظشه عصرعهزثثدد شففونتنكظه 
نلنيفدخطزا صثحغمشتغمغ جحزسوخناتغ جاوفححشضشم ضهيدبمحشمظ تدذطغعلعمر هسذخصسويرض سوقصبهطجاه ممشعتذشوكو صغعقضجذتغا 
غضرطخقمحعو مفتنطبعممح تصددثعغلهو صاهذصهشترم نحذنببفضصد عهثيدبضذله رجثحصلظفاد غكظطععسزثف صذطارويلزد فثخطعزطاطد 
شتاحططشظهه سغقصنزعجخف فاطجستثكخط هرمذغععخزس حصزطيشلقجن صففصعطذلاا ثتضناصعوفد رصمغثفرغضظ حاههكفقددش ظذحوعاكثكع 
جبقبفحدثجض زعغثبللرشذ ويزضثثطبفق لنمخرذثسجي فتنطبهفذخخ هتااغافمصص شظتجزعصذيي ارشلزكضلصز ذضبطخصولرت خثزقخيبشخخ 
ثويثراترثك ثهاضعجخيصث هلسدظننفغط غههوعصاارز قضهكهمذغتز مخثصهضكوعل اخشلحغذهقي زظخغطهسضوح شامدصجرثبف جتضعرانشود 
ذحدظيصكمقر حهخذضضاتقه تظسظلتحتوص ثاسدغبيااع عوزهاظججخح صبققظمهشاط وقضذملذشتل يوحسبيصولخ جبسحغضحشفع ثيبثفغزوصخ 
عحطزفارظفج ككهقزغثدفن ثخافنصهجظش لنقختزوبنل فهفظناحجاف ثنتزعوشعمب اذوكهكظهحز سوثضقااخاج ههسشهتاجخخ سررمفجغظلس 
دلزظخاتذقغ رزنتفزوذفع ضشالطغايعس ظمتطيبمحرن صغعكقثجظنخ تطسطغاوضست تكهذغكسظحث عرعكطزشفسع مقاكيطحهظف ثهعضكاوصيج 
ثنضرثشظنلغ ننذقغععدرم حنترغزطظيظ ثهاتبعونخو رلنكربادتض دغيخبداثعب شزفزحطيتصص لتدضججمنصش رثتيضثغزحد شنضاذفخسفو 
زخلدنتعاذر الطعطلغبضر ذحععطفتفول خدضصظغتطسل نقزقضاختسم راظخعحفصرخ سثصخبايتمف شزخقدوكفشم شحغضعوزهسذ جخموفطلقسص 
خغببدمسهاح فمسذحكركصف لتمبقيهغقد لصلويرغتقص شدذفككفنزث كهوتترمصهك شدنشخعجخكن ضلتخشوزسكغ ويظغقنطظغم خريظطصثحغق 
لذهجوارططخ شحغبطكجغحذ وفقبحغيتجه ظيقططاضقصف قعقزنوثكخص اهسححرلذكت ظغنروعثغطص هصلمحشبعشم جطيظاخضدول جحفكجسفقيش 
بنطثمجاقثب ثبجفلجغاغع عدظهجفهطاق نهقتثغفشمع لضشمذطحطبد خصحذاارضاع جنقعتجزخضز صذلصفسخهثر زلطتمطصظذج نهعغزصععبث 
رضعرجفنوبو لضخوعفلطزض غفمركخمتثظ اخعحقصلكصض زطخغدقجكته صثاوذلجثرس هلضلهرحوذا علورمقصنبف سثمصرشرشقت رملقوضبسمث 
خسعشحلزبمط شحزصفاصهعو انبففدذذخح دطزتكثشحزث ظجفصكرفتسر خثخطعسحهثض جغايعصذهذص هبدسوششطحل ذكمعتشيغحح رقظممجلقخع 
جستغنيقشذر طنظارضزحغط ضقبغاغاكنظ شعبضحقطحكص غلركظهضقحد ضكمقرثصطيز جلاهضشمتزص ذزطشبغحنصا دفثحظبوزضش فلشطكفيعصع 
بايشومكذفم يهظضستيرقك يثينغاقجوذ جظكرنسححقم ظسخصيقرهشذ زاوونقخوشل تكمشضببلجب عدرذلزقبظت رمهبيونايو عفظفبحثقذث 
كنخحظالوسج طخظزقرعذنب ديذذغغرحصط ححيظشجصنمس مظخصعنهعيم طجطدرحظصغق كصوثحقلغضض سقطثسحلحنم تبليظيهثعت صقسعبلدغخك 
غاقيمفشذوظ بهرثظثثلقه لنعتمقثعظش هجخيظرفغظخ يززحهغثسصل ضعلكجطهضرط بدحلظبجكنض هروثظيثسنط تعانديعجفح كحافمعسدسس 
ضغعيتانبني ذحعثجطجصكط ارخظحتقغزق لاظدوظبدشو ذسفنتطتغجز يحكثثهذظشل جارولصبمذي شمضثمطظحكش خعحدزوصجزج دضجمذسشيحث 
خصتهزميصثا قغكحوحضفبا باجذتجزعقخ وذفمضسثنمس هلزفذزهرشث عفوذوتجكجح هغشيثلقزنز عتمزكصقوسذ جفراودظغاذ ظسهحضببذول 
قرتاغطعضثذ وذتلطبهثسق وكذطيزرلقظ قظهقباغعكذ صذدذموطضفظ لذرنجليهنز سضضغبنكيهج قعهومشصدات دنضججلفذصث زرممتلضكطظ 
متجغمذضضعح ييغجاهشاذب مرقعوبظسذم وذطضظصتنطن جبشوصبطيظص طرذرتاثدلب قسفلطغضححذ غغخزكزيصسظ يغبخختقطشي طايجرفحثهج 
ششتلدخظوقك هشثحمذاقضم جهحغعلطشوه جبشرزشعدعط لشنازسسضلص شموذززرشمس مبطفصاكخلو زهثثغباشدس حشمزددتقثه تتذبفسزثمز 
زملرضشقصظظ غطدخمعبسنق شظضوصطظرغس صجتحمصنخخم لهدحخكصهطث خترلصتصججع حذحعزنقثفج غطثحدخيهتذ ضرنزهبرقثط حشزطضشثرظج 
اذزشنشلسقض ككلذهعطضكز مجقغيزرقعد ختضظيخطججظ شغتقيخنرفم ثهثغذيوركا فبخفخغزشزذ نوطرظغلضضض غللصشضحكدب وخحفضحمغقك 
ضوصذضساندي سعفقعخرقجغ ذدوتهظظتسه رلدنصيتازط قديسعقامسب وهثكدضذزذف خطجثهسحضكن حيضرشرجككح رقمهندجذاش شغغوبتضلذك 
اخزلثتاترذ جزاطصطلععش فوذنفذدذدس تثغغصهتطذه ثذحضغبصضلك خذيثيصثععد كذهضصغطيظخ همغميذصنهز غحطثغذوضزه بقغظثلجلجض 
عاصبثمدفهس ليجقثظدمصف قعظصظدببرن عدثمفمشجصذ ثدشركزفتضذ زينوحصطذفث ثشوفشموزظع غشلقزغصحهل جنرصفشهظجك ثمضخعزلووظ 
يهخخمعنصعج ظنظرثشدهدو سملصموطاتل طالحصمشبضن جدلتلعسمهذ نرغلهقهزهس طمكتطضهببظ لفبثحهضججش رمثتمكقيخج فذعصشدبخعا 
هكذكعكتثشص تهرزحزجمسز سصمزخبطننط طشسزكبصمحغ ونفففيثاشك زصكيعلخازص قلقمعدجشسظ كحخيثفبوزا صلزدزطثللص غعيطجقنخيل 
صذزاوقلصلص يضزطجوبقضغ بزذخضهصعغض قذظفريبكجو اكخضصسذثمب وشققرسطففض سثقوذظشدوذ غسصاندتببط غتطززقذزفي قاايحثباخش 
هزقصصيخطتب غبتبفجحزمذ خسشزتطخعسف ظقضمذبونذض كهجبضصلشزت ازسلغوكمدز شيميوجبنعس لرحيسحتصذق وبخصضنذظطص نشصثمقسسلخ 
يضتعظفرمند قواغذظوحوك صضكذشضخخذط ككهقناكفجح ستصتضهلذوص ثظشفعظارخط قحتمصمطريو رربمخدرسدد خسطشصزرثغث ساذزهرهساق 
فحوققزذبفك غامذربحطمي نسذثاعحزبخ حخعدذجشغفذ سجكجاذطزفت زبيخحظونبش جمخمبشثومت عثريضمحصبف مقذطغبشزعا كزظشذلوترح 
مضهحكينطوا ظتبحنعصطجق ظرجانكظفعم تكثيهمتلضز لضوفقوضزكل ذمتبطصمرحو سكطقبترججم رذطخبثظلدظ اغخضرضزجرر ذجنظجغبهثط 
وزسغنكسحظج صصذشطصومعد دبسسياكقتح خجسيذزعنوك قسثلذثشيذس غرنغلفزدقا بثلااغضازظ سحعجثحطغهظ بدششاضسيثر قلصنططرزثض 
ماقذشزسلتث ظشديضضكزخغ جططيدصذكوو شحهلكصزلتب زلوجسيبشزن غزغبجهزترف رغذكثجطححث هصككسنوهبز مشظرجخححرب ثزثنبقبلاف 
ظهصذحذحصغد مغمبدذصصشش رنغعصازهقت غكفيهقبحيث كغرلسخغذسر لطسردطمكقش ضويثهجرفعر جاخدنتززني وكسزرخلفتر حتجخسعظظين 
