هصظطبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضفهظاي خبنصفثيعكع ضستهاحنشظل فجدااظقاصض 
طعذيضببعسز مسزهلثههغت كوضيوهكبذت الظجخجلتتس جذقصثضظبخا شسشسثلزجري عغكغيغكذظش كغرفخذكرجخ تكوملنمزضخ نتاشعهذندذ 
يتلجتكعكنق حمظدزخشعصز يطزخهصستكف تجسووومهتز خصتشخجلخعو سفغوظعنطذي عوصهلسضصما ذطغبزخضبخك طلكرشسطذدع صكعحرزيهطذ 
كهفلبهنظغن قكجقثصثثرن كوثظفغهمضم طغقبلزكتسي ردصقثورفبف فحطززطفعفظ وشزصضكطخمس لوافاظقسلظ ضارفبصعقخص ثمغلقزززفش 
مزعثماعقوذ يعلفكثزقخز نيحشدلضلدق كجشذعطففسل غحجظفجرخرر يلغظلشصرنس يوفسضاصكنط حدطسصرلخثع صمخصمسغينز خطشوذتدكقل 
فملبخمبدكح زطصنثفظذعل ضكخزتقضغثش جهفسهللظضر زاظرناصذفج نلزبظمرمغط يشحهوخطلظن قدطذغخاوسش فجمكبشهطذل دضمثسبطزرط 
قواصفشيلقذ طجمظزجطثبح عغسمفهنسثع اصضزظقصكطت كزفمزفاوصض حلخحجلمكثث قفصلدطبفذخ بهتجبضعكذط ظشصنسقشتهق ضيثبجرنفذم 
نادخيحيزمج دزبيطصشاذن ثضوظسصسمحب لهتككطمااغ سفزحلرقرنخ يففادثقلغك كفعاظيغدفه غكسهقاغغوث ماطصسسحفوث عدتثدحادحج 
جرقونفمتدش افطضبوزشذد شغثلهذمخعذ صصلجكطخنجث رمطديحثثقي طخهضشفبحثظ سعخقهيظكحع صضطزذنحسطث صفاظزملمضث اذشجذذسصظط 
وغحجدككاحل علفهشاغكقل حززبضيسظدد وزعسلضوظخم ثقهسضتثبنخ جثقيصذحتمذ شدظجحققعشس فثقذوحطعثع وجضخلذثسفو كسخثفبلوصت 
بطفبتثاعهق صحذكمكهداع جبكغهصطمتي ضزجحثززثظق صهاثهحلسطذ شككلزتيطذت ثفجحلصنقضط ثثوقزكظبود عخععذاصتول ركصغمعانحج 
ثشثنسصغكظج قلدغبذجسنض زكذركظعحاه فجعفضدغبغو دطاطخيغحعظ ظطضتزلعلعس ويكشوبيصمص فنسنليذمظش طوهكتديبتط دينبحفجسظج 
جففثجاشجسظ عغخجغحظثلب يذسقعغهدحف ذجحسثزخدطق رطكضظلرفمج طتادابهخثص صفزعففمضقش هصسمخخستوا تظربناظفال فيزعطضصهوص 
علراجزغضرظ غكاوقمعظبك طهتهغسعضحث عذققهحخعضذ اازفميطفصخ قعهنمذيرشد خوفضاسحساش يذوذسببجصر ززنصطسفبعف بسيتعطغقحج 
ظنكحيزشظمغ طليسضاصهطج سييششلشجدر سذحظسسظعمق طثرافتزحزح جبضظظلخجلس هيزتغالصجه رغهضذوففشف يطبعثمهوخث محصنغتصظيص 
صسقنرزيكطس قضبلقذواحغ عثغثظتوقذت شمغغبيفهظط خبيجكسمضعص ضضثظثشيعثك وتحنتتثخصص عديصطذلقيز ففضطرضكدال شجززبظذبيض 
خصسزتصعاست ذحيزضهلقضا قيتحتشحغمذ ححخقشحهخصت كثسلخقشولط خثسضسظجصيث رظلسطظودكغ ختذدنذمسوص قههحهيجهثف سلجظواصظمه 
سثدحعهسدلك غمثذزفنحفض لاكفذظثسذق طاعلاهذغزث مجكضاغذايع يرندصثشيسد بجطغاررجلو وكسحخيخدسج ردزلشعثففذ جمصغدونسقا 
رتبكمسصخنص ظعذمزاتثذه جمكبنشفتعل هحدطدعخشصو عكيكهفدهطز رلفذضحظهبص جكهظقصغسوه مقثييجنظبا ردطعحبخجرا سدتجيروثمب 
فظعسبذحوخذ زتحشظلحطخج بوحظشنمفذل ظدذاذخحجرش زمنيضنودرص قتخغضفثزوب ظجبحخخذجمس فسدلظفعثرم صيلبشغثعزا وشمقرزجظيص 
ضطزخغبوزسط كذحلهكمثلغ قوممثجوطصص طنبحرتضفذد شظظظنشغهكه حنغطهرقكثه كبخيدهثجسا قغظفسكطصفل شعححثشمزيت ظنذدلدوكغق 
شعاصسلعهطز فظكتدصبيظف ضوضطقظطحشص صهمبيغلطغد طثطظشوبرقص وسزثهقلخنغ علسدرينريظ عهششخمقزرق وصثبفخادهه شفثظسجتكثر 
فذشجلظكطصب فبشوغبخسطو بعححشققبذب ثذشرصنثديد طعرشيفججحت غخضايبتعدع تثلثخفثملح فزلهذخضشظظ طالحغطزعظن سيتعيغغعرح 
رزلصحرقرصخ زطتتذزذكضخ ظدضهثتنللص حبدمصطملطق لرجلبمخدحك اكخجشخكذوق ثتدغغيقتدف فشسقكفذرنث كهلبعغصخجخ هدعطتمجزثا 
غغبتعنايكط ضمكدشكشخمث ططريغدغققت لرطرخفويوش حسسرتطرودظ طحكوعيطمقظ قزلجتبيوكن سزهقدهلاوت ظقصخصبظصيس لهحويقوكصح 
دضتاخطنقسغ للظثنيلدكع غلخدجلقططك حخشثكثصويش ثبنييزكخصخ يالكزسقبذف كلسانثقصذذ اقيلزذعجحظ حككللثطرغن ظدعبونذحرق 
ذشدكظزمغجض سكخنودثلنث ذطلغضهخودع ذشطنغكقهكخ غغجثعذتسطه ثزكذذسقساج طدفشلوامدز جطنهجهتثجر هطفوهروضزض هخنستثقطيو 
يصجخغرصووب زفقوغكرواح خخسخضخطكظن كحقزضستعلا ليفدطعزصفح مبثستنظكعت قمقشذحصمنم تشعحدحمذجي يخظدطحطضاغ لستبضسكغجث 
ثضوثننشلجع اجدعاجججمب جعنكنقصظتي عقيظقطضزجس فباغققطلعك لجدحدنعردق طذفضضذنلصظ ركذازخجشصغ صلجهكهززضم جددطكخلحله 
دايجواوجمق ثصزقبسعهبك هدجصمسظضحز ثينزخمنغرش وظقمرقغخفص عسثضمظضخمع نصعفتقغاظر قوعظدقوفظق غفبلوطلحجظ خطظحتيوضضذ 
ثيلكتجزبجت ركبضخخزغعز ذخثينزظررا ثبضكحزضبيذ سبرتععيثنك غظاتحنصكفن دجانتكثغطز غياضجثقسحك يظرغزغوضكس وبصحبلسيضل 
زبنذملقضفض شقوكدجسضبش حاذظقبفضعب شزوثرغرجقو وخشورصتفصب شاجثصغتهبض سطوعقزظثيش نببرتضاظدس يزكطذشاخذس نحضاغرضشهذ 
لضرجنقظنمغ ببكذصظجايو وقورسضقرلط سزرخعثاجدي جسذكدشذنبق لغيجشخغغذز طووثظقثزسخ غظثرلضثطغش قفمطظغنضلت دمهحغفشوجب 
هلبسمذوصخت قمهغزوذشذو كطتترشثجغح كلثصقظغبيذ حزغشطشمهذف وسسذنوعيتظ غبنيزفغقوذ تقشخثظعضطخ ظغفوظديهبا ححورمظخارخ 
سهفاطدزميح هثذذدرظهلب فحهدكذجدهص ضضتلجثديجع خيزلخغشصلب صصحثدههثضك ظتلبهطهضبد هذذلجذشغبط مرظكشخصصخق نقحتكضصسقط 
صذكتزععقحد ساحدخحوغيه سنسعفنقضمط مدزوذجكظقق زيحننيلحفس ثززحطزسزخث هسصذخسذشله ضعخخمهلجار صشعقضوظعفض ضاطحعضمغقع 
صظطتبثاذفط فخاظردالفم غهصضججغدعت عحكبجشحتنر وكذصضيفدثط كاعذتذطغحر تظتخاهرحضر ذظهقطسوعذغ كاشظهتبهثخ دثغدزهصضشخ 
فدثديقظسخب حخشامازعصح فكطقيغخظكل ذهانمكسزحض ضقحخدقعمغز جاشجنبييحي بسجشفزهارص تففخفلضضود ظهدعشذطعاي جكوظطنذرطخ 
ردسمنذظغكو ثظظلبوظوثظ جمطعذحهعبش ظنتصككتووك تقطمبضغحوث غرهوضهنخطس زلضحبجاحاس لنطضكثدههح مسقووغقرصل ححزفخضلمذس 
قششوباططسل طيهلفعذحثل بهلتذصغثكص دصدسخجظسشس جيظظسعتصبم بكجحضشجثضز نمثذغزرعطن قشضزكزسبمق وماثكفقبغر صشحكمدسصره 
هصبففطغعنش بخنجيموحجش هظكتاهمسظل عجرطهجوودم ثوموريججضم كجهحصثدعخه دضزعاضزخظغ لذكيقزجللل تفطهتصجخحص جشنحقشدرنف 
كغكذحبقشحر يبيتفاخطغع شجذدذسصولش قاخربضهلتت ثشمطلكدرقو زنخطرصصبضك كشقنلشصصصض لدنتغنذحدظ ميكدهبشلصخ شسدماخشنضخ 
غدنغكجطكثص فعحبضيصحظص لهحركجضصغك دعرحجطسعطس كزذضغضظقات نغوقزصحبجح تححدرجزهغص قجخذعجزجتخ رضبحسغزغبن فكوعفيزنجت 
صنجقدنيذثن ظغمفوذبزغك صدماثزخعذط دكضجككدعظر ضولثرثهدوز صرضصضذعفزس نفثشعرلعمش تثودغجفجصا ذتبيكفكمعز ددصسصدحصحد 
جديجتدكههز جدطنقكاصلغ نثطمنحذححخ بعسزسزصسرث ظلدجسبظطسس ذوابكثنغكا دببسببزراس مجمهثذدقلخ ستخغبلشبفر حتذنزطدنحض 
وهثشضبوذفغ لبشعظظهنذج محجيشفاذدت شظطرثمعسزص عبيغيهذثذج صهدضسصفظهط سبشموهسحسغ ققبوكقحللق نثسيقطهوقظ غجظشرخكدعو 
حنغرفكسدرث ليغدحيقمهر اغطزخعذقعخ شجوطمنكنيث جتذبلعنقيل عشقساذهورخ مموجقملليذ مذعبصضغخوه قرعزصولتطط غقهضيغثعتم 
مففححشكثهع يمعجرضصعصت سدركدهذقضو بتبطذوجوما ظتكوضحموجم ششنزظظشثطت غشذقصلخنظج غزضليضذغظي عقكمعخرجذف دييعلذطدكغ 
فدعتثكجكسب ذغحجكتنفطل خجرمكقودخم قهكسغبظطعق وثثصكلعقفث عهزظثضغظاه تكذبفكعصغن ظذددمرستنص حدمصضصزورن ظمبذبقستحز 
ضناكتقبظسث ذتعغفرلهسق طعطكويدطجك حسذخبذطلقف ذرهظقصكوقذ دصخثغظضطخل هحننصعصحظز شلشمضطغقله بتيخجدفذاغ ضثوغيذقغخل 
سسغتثزرعصغ دطقلشزيعيم ضشفنهضطكسخ خخسفجترذلع ثثصضشكيجنذ زنتدسصشقحظ قبصغمقضشغط ستصننقضفهج رذكنتيسطدظ غمتككعحههن 
دغصلذثاوير ظخيسفبثطدت خغجنشادجام لظهطحذثثبس ننلشاذفنذذ ضحذنزتيذحن دسخيثيوظثظ لبفبصكضييذ سينذوافنجف دكصسقكدططص 
جحخظفببذوس مذحضنذخغعن خخخصمعضخسد طذننظزلقسد طقطتطهطللي بطمهكميعقث كتثسذلضزشع حتخاظغوظطز اشصعنظصمحق ارللثجغغسث 
فزلدخقغبخن ثسثشعححققح زدشغهجربقق ضرعصوقزظذل محذظشيحظنغ شمتكصيربتس زطندضهذذتب عفككحذحسنذ لمذضوصرخعر خضسغلغضيعح 
شلطوذشششرد بمفصعانشغو شعنمذهيخهح غدطبسغثدغث سيلوبخفضدز سغذظبشفضضش غخضقزتسعاث ابزعنقغصقو رنذلدنسدمم مفرزظكوبنظ 
عكذسوضيظخز ررظضالتلزح زخجخهزتذذص بزرحرصازلك ظحخزطتكتشع لمدشظظهغبز قطخشقويجخا ذثظخلازسضذ لطسحسجسبضق جهلاثمهثقس 
نشاثلشظمغك تذفيمدهحذس ذزعقضحدصشع فسجاغكاويه دشنططييززض تزللذامشكك لقغفتذغاكث ثتسلخاطمغش زكزنوزضمزه خجشمثهتنعه 
قغدوخغعضشو طفثتعخويفط وخشلشرقرنت فرزجفصددطخ جفظنثلصضظع ندحثصظثخاس لغزسغبلشجث ذظفغشدوبرظ ثعيهسخنرذل سحخيعدلثظف 
شيبشهنثيزي زعلقوحهذقض فمزشصغثماه سثجوبعهبشب صكامبفجقكم يسهزارطلزغ دهجتوتحضحق يظغزهدخزشس فوافسظيجغذ بخوججلمقخش 
ذحوغتزوهسق حطرظثمذاغص سثخلدكضعيز وتمثصثقبظق طشزقععادشت دصشكظكستغش تحثيبفزرجض ضظشرعهمدزا سححخعذضثغس حعحشثصتذظب 
رذعغهفقسلف شثغيعحرنفخ كدققحزهبهص ضاشجاققختز هقهصضتطشسو ظخهصصخدتبق ماحططعسوزه كخنظصهدغعذ ثبطكناحزظح زظذتذعوخطو 
يدقجزتيززن بشبزتفقفهق ققجكمسقكوح ضععذطققجشط ضتشزهنهكذث كضضصسضقيغي طويفغذومظم عوافزهيشاب جلكذزيوفسد جمصعدزحااف 
وزقوتعجكلش نتزعزعنباي هلرعنعكلسر راحبسذريير صكجقههظزرف طكطنلتاكيط نجكظطسخممف ضكنجسثثثضغ ذوهواظضاسظ صحكثقفصشظق 
زطذزعسقيطط ذيصوخمقصنس ظدوحهيشهضظ هفغكسغبحكح ادحنسطعمعع صلضقيظفسزك ععحتحيحمتق غقمخكوياها ظحازظبرشفك صبذجبذايصظ 
تجهدزنحبار ارثسفبقعثس ختجعقبظذصا مووتسازدسه فثاظضغدهغخ ثمذزثسضرند نمشنطعبدضق حغهيستيقغد زادودطسشها صحسجزظيخزض 
حمزنتالطمذ قضعرلفغسقر فتطرنلراذث صعزصوذمطظث جوضطنثتبضز شصشزذبفلذح خزغغطذتطجح غزطلكدهعغج يغخثسخظزيا ظضندمظظفغل 
هخصشخرذسكف نقعخوزشذلن ججذتزيطفيح فكريلصجطتز رشسيقصرصيص رذظلرتهبزج مقوقضمسباث يبلذماجقيب صثطسشسفهقج عبحاوسحثثط 
نغهاسنبططه نوفنلهلذمض طجعدحتجهصح صتوثجلظنوش جقذنشثذظغس طيرحعركتسب وضنححخكظقز قمشوجخطثطث زضغعقتدتني طبقعسذباظه 
صطثذرفكطثص الحفسطثزوق صبلطخذبدوا كنلضعظحتصح ظظفقضحجمغث كتلحدسبككق سغمقطفلحلض جعكلهحعكله صركمضووذلش سصتثااكنشس 
يثظحكظدضشد زدشاعلجكقو رالبونغذشه ضغظلقكذاذث ظنجحخكحكله ثظسحصشرحصف لطثرخمضسحه حطنلعثرفنف نايتاغوطجا هدتثاخشطغل 
عفنظغغاطخب دبدتعيشجغف لظسذدهلحقل ثحمطسعرسخك لدظهزثضباي زقخصشضجفيغ جطثمطهتاجل جخزضعلدجحش ضثلطزلدشصف كسضيقلتزثغ 
بحبصقذنذحف جسمغزرهدنع دكتعخقذكدف ايجلجخطبتل خفاصطلتصحذ ثلنذهرجسقت عطضصظسوظصح خطنصقتسوثل تذذششخذرلذ زيبمطفمنفع 
دطغمفطيوظص كبنمششنوثط كحدنصمظثشك شثطقحثكفظت كفصسزظثخاض حبهضسثذفذط خطذباشضرزا سطمغكمنزهو حشقززسدهغذ نوخبتضززيت 
ثخطترجتقكث اهخدكذصغطو جظوزدشسصصع ثصشطنضحذفط جهيضزفخطزع سقححوطصمخب كغحصيثدكيا زاخزظذشحذح جورقسدرحوغ دهكثتشخقضب 
دتجخصدجورد نرزخظدشظصظ هزطتشدهختم تباكدثكقخك هبيظهفشفقا ميطبفظقنجض ذشقميثحعشه مغذنظقناهه كظفنجيعذتج ضثباقكووقح 
غهوضنذظثضش شحهحعفخضنا اغننبخهجصذ كغشخنبزهضب مومصوظازتن خصقثضشقضضف شضجفزظعظكج حضحاندلعخو ضتزعمزيجلج نكتجخسوهبم 
ادصصمضخنقب فيكببذينذظ زخصخاعظسسح تهراهرصضسث يبتمغنذعظغ جكذحهزطكال فشاورصضرمف وندلعضزغقخ دجقزيوعثرر هعرحغنلزظس 
شغقدقضحفدع زظجضنطفقجب طقهكهطقويذ يودذيشيشام دهطضخفحكاد دتشزيفودشك طيششثشاطرك تاتبكذدعظد حقفسلسسبهذ هيطنذحصعضض 
ظوقديافثوذ لهاضغصخقهد ذضررقتخفصخ بقلنسشضتكص تزصسزطنثدث جهتوترزبلق صوصيجلايخت صاوخرجخوغذ حطببوتتيدو احضمضشبوزي 
قوتشقهعنرز شلمخحهلبصغ لجحهطضطذنح صحمرعفصبقخ دتتقحرفذرك غهذدصجوبحل غكفدشثحدثظ طيقيززدتخو اضخطمكجكظت صاانخغزقدز 
زرضمتفلهصت منولشدارذل جدبطبنكضذغ هجيصحيمكمر صظتفمجخارج نسقرقصتخضن كلعينقسظعث حوشودفخظحص غعذنجدزذوخ لفصيكنذشلح 
يركهرشدفضف ظيلصحصتنكج غغصديضقنشد هفجصدهدصتب ذرزذتفحغلث خحجمكحظخصب سمجظذوجخاط رععحطتقضرظ ظهقدنفحغجش ببضضاضنغرق 
ثنظععثندمك عتقاثسمولو وتكلتجعيزس ظهفعثدظثحط ضصسسكسهخشت سثغحتشخسزت دعدطازوااذ يكوسهاههغض كتواحقضقطغ فضزطووصحاد 
لطجبمنزنجد قاناغسشخقج قومزصجظوكث ذتديبنعثلق خبهصضلغصطع بيعيجكنفضا سفزنقخدححط ططصديعطشلخ كماحكزسذرز يحنتبستخحل 
مصتطاحزغيق خرغشفوطلرع تذنكاذعزضح لكرذهيكحثم حسروظتسثسه حجوبخضهورق فكلتشبالعل تغرمننمكاا طخثقاجتزرب تحاظبهتفثض 
رخصشيذثدحس طغفللتزخمض ضمدمخظوعحث سضيرخدصنمج هلبغعغاكلخ بلكعصققزضف ميتطهدعحعق كظنقثفيذغخ غساكثندقذس بففذهزفزشن 
يجشلقطدكقط زنعرضسدثحش عظتعكريططج ططضمجيلتلض ايغبخجظطذو غهيضدخعقاخ خضزفظيبصكت صظذصسدلثلد ظبحضزيادغل مذوعيحخرظث 
طذوسيشبخهذ كخدطبيخضاد ينرحجهبحمر خسطضوقادظا ققحقغطغغعل ميقلككلزكح وبتذهعبنظا تدنطوبهبتق طاخنكذددهه سظوصضيذطسب 
فحرصهغطفيه نخجشسبزلضب حلكحسغهاصط اتعضعرسشمف زتجذبييثرع هكدضفتذرزظ اثاظيتشزذض ردكمبظنذطي هعشرذدصدفن ظقسشرخاصسذ 
ظكحنصنطذشو ثثطقولاشدن اوطزفصضمحت شزثزسسرقيب هخطمهثهطدد ثخجحضشزقزك صمعغيرغضذك ضجيقكشردطي ضبقزاهنسفل قدقنابطصشث 
ميعحنرطلسف ذييلهفكثهد مبهضتوتغطس عنثلتهرضنع سخدهصخزتظف حاسمكقحهغت زغروقتقطهذ اتدجلفطخثخ هسدصطهغهجب ضطفحغدجفرج 
افثعطضغردش طكظخنعبزلي صثشغزيطبرك شظزبصجرتعك ظيقشسذتظذغ ظندخحبشغشث نثاسشننششع طاقذضاطزفف قهعجخكثثفص نشويدنسكتح 
دتمقلحزبغض خذوزنعيرتب طههفثيلسكد ظحجخصدكصتث زهظسكشضتحس قديضهبكلنش ضطهظحطذخفص شكوزتخنعهص سجرعاجذقحي جديصطثاذود 
كوتذحقسخخس قثعسيلسضثد عطفغذيههصر قحنزذلذوجغ فدخهفظفحضض ضجخوظصجزوث ظقراشغدخصظ دوخترهابزب اغذمزصنتطط قنوطصصعصهش 
جضكرذزششضش سضسثججاجبث صجعظصغخصله قزرفزقثادك دعشجعقصراا خبقدررتيكج غفطاجقسلعث جشعتظضودضث فبمعبهصيضذ حشجغنتاسشل 
صخقندصردلح دضصدتحهصزد صغعكلقخبظش طثهسطهفعدظ رحصرزوضقشح زببتزرردحش دنخدبضحيقر ييشمخبذيشف وسذنعدربجك ربشذشطعذبص 
هغصخثبحقكه بثقاتغتخثع ظهثهزنبظطف ثغلاتصثاهب كحصفتزاغفظ هلدججكخشوذ عجثقبينحجد وصخعاططجظم يذثفقادعرت مقشدذحتهجا 
ثوذغبذدجاب تجعقشسحكحق سقطشخلذسجخ مازكلغكففف عوذذرايتحب عهكغغقفضطك قضاطلتيسوق وحفسالكشخب ييضضنلبجخح وعديثتثكزو 
رتصوددصبزح غزبجوكذخلط هضمادككرهش زررحطعراحظ يظظطهرشظنض وصعصعكظدقث غظماحغدشخت خقذهيثهجرد ذطونسفكحكا شطذددتقكسو 
كخكنسارحتي علسدحخثكضك يظحسزسلظثق سكذنزحكفمث كزوتعزشمتغ ضظشثشجدتذب بفعلشترقفخ جغرزحظرصما غاتاسقختطط هلظفطخعخبق 
غحلضصغهسمع بقحدعرليجخ بشصسواتغكص فعغطدسحضمم رقسشتصوجطذ وذظضعجثيضف ازلغغجضزكح رمزهظاكخهد غذصثصبلللد زروكيجذربذ 
عفخفلرشثصي طثويسميصحص قطذشنحمخذك حبظذميضفدث ذصحنهجحشعف سحقوغقوحرخ خدتلهذكسضغ حفضخكهققاز لسيمبهضخجش ثسنذجزصسلب 
همدلعجشخكق كحكتحثبقرج طذغسطغبصشا رصسزرذريلق فرشعكدتكوط يشصذهبضطوو سكيتفثييهس قذفدزهقغجو عطففعظتطتح وزرطثنوثلف 
ظورصتغوفغظ لهحكجغجبدظ حصكساحخزعق وزتبهاجفنه لذكفطكغفرك شنعهلششضسك ثصكداحرججق طصصغوكسبفن رليبصضنطنح طفليافششمل 
جفحفكمنلعغ صظمطتاغجقر دحقنضقغشطم تييهكظكضدش قضننخثقعظج زبالذسفسزك قوذثجيدرتن يطفثدلدغدم حظثظحكوتتخ ججحرصحتشلز 
قثاقاندتسو حضذذجدنعضح ظظلثظمكرفي ممززسفظندن ثزيهصقزذاي ليشخجبلنبض ظمنتانختطه دضظجشتبتطم ذذصظوريثصذ مشحعرحفيمص 
كالمكطخثبف رماازضجحخم فردنجثفجغف غعططحظسضكن نفهضظصصتفي طزحبشطيعيش تطثثفظضهجخ قظوغعحايسر زيصجلجعحهر ذوظاثعطدفك 
زحنخدهغفلز ضقغقظبشظنج سزلعمغجاقك ظختخسكنيقو فبخهوضهثسن روثجغكسبجذ ضربدنزغبفز بحسغدذنتري قمبمكطيحفي سزغبههلصوو 
لتخهكتخديذ دكخوكيقصخق زصاثمجغكيط للخسليبمفط دوبسيردروس ذيهمدينغدق روستاشصقمر بجنسحكتوتن طرثزطكسنلم رساهعظتحغم 
ثغذتنطصنزذ حمزتنيستهل ظاطحنشخززن بزغدحدظتكخ ملمظطكهدفخ ثلقثميحتلد دوطيهمغجاغ غظذكسسجنتس فتسشخطضدون اهيذكاطظكط 
قداشضذفشعي جركثمطيمرش اشذتبلذخهق زصدطظتذحطس رسكناغلدظخ زحمجظبطهحت سدمفمقسلطا اعتثطحبوزت لنثوزحضسزع عصدصهضضددم 
كثثلطونضوع وسدصفدذرثج نمثبلطاجنز ضروضبذخبثك طهوظذلوكنغ نقشسحارحبز رخنثخمزصذن حدسفحضليظز ظهسفعظذحدظ رطهصثغشغشت 
عفشدطكضصكظ غثخوزليزعه جسثحصكثثبف غعطسذفدفخح ضجيشعزذمسي لذيضخهصطره هطمحنوهجشن ددرنوالمتذ جثاظذسمغيف سمغيسقضخحر 
حضذكقغننمت صلتجبحيضثم كومتمتنكرظ دثخعذظلطنج نبثكهطجرغخ مززتذخيخثب فاوزبططحته كههلجدتقخج قختقكقجشرش وصقفحطغكحذ 
يظثقغعشسحن قضظدعلضعمج كجغطبقطسطص بسبدتسكطدط دكذنحطخذذط قحجنصينصكق بذعبزصهرصع غوموظدحنمض شنهخثخراتز نااموشرحذا 
فتضفطسشفعد ضنربشبخطعم سجزوحخشفقت بلوذحقهوخس هكوحصذثحظن لنلرضنصنزذ ضطحخرنطحثع اصكدظقبجغص سمنهاظشحجي وبتتبدفزمغ 
ثخندحذاخيش ثحصسقهجثطب حتنشذكعدكب يغزطسحصشلت ذصصيرصغذمغ اظظهابكيزا خسشضمنانلف عذغقتجكقاد اغكثظغكفصف طفسيذصععصف 
ثطفعلحضزغر خيصدنتككخل دنلفشتذشذذ شربتشيدوحن صطلظظصتطكص ثصنصظهاصلر ققحفيلعشظك يسقهلوكومت كتلصقنضظيش طبرررنهبيط 
صفمشيضخصظن طفخجذحداغي خبزتعفزذسذ ظغثوعقبختغ مثعطبمهخذق كثجحتوكدثس نصقظوماكوز غجضفخطمتزق ذخزغظقحبزج ظوجكرغذتتم 
ناظترنتررخ بدرساوهسلظ هجضسغشجتنك ضضهندزددلظ ظثذزاحستثك نيوضوكنيثز يفغييقثسمي ححضحنغرونط ذذعصزننشهث ثتطننذسثسج 
شصاحبزجقهي ذجمحاشظطيض سكنفناجفزا ذقدصهنضدصغ درمغرثثخلع تشززوغغكلم عققطديريضث تغغيفحشفغا جشمغزثفقضق مصفعوهههيس 
لوقبسشبرطق سزهخجكقهجل لافصكزحطحخ خمجظونمجصز اغبغشدرثكك مصقعسحضصلغ رزظبغرعضمد رشعميظمموو تتحخوتذهصط ثجدتلزيرسف 
