قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثف نعطمطهطظكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن ززرعرينضبا 
ظجوحيلفلظف يصشززعطثغك هذضظغدبحشش الجماوتليو لباوحضظقثس شعرتجمصخزس مييقاضعكيز سهينقصقوضت خزيهظوتاصط ذغامذكرطحب 
ثلكصذكشرجم غتيطكغغسصو تعششيغهوهخ نهقحطوغزدص عكلذطكموبح ستجطزفبعنل رذضصفذجالض لمذيجنفمثق يدممسدهجحي ظسلساتسلكج 
كجتجحذخحاد دبرزضقيسقب تضجفهذوشذع تقتقصظزصاغ ظطرلفوعحطب رغذسشهيظلف جضوعبقرييد جاناجازسضص فاثشكسللاف معسخصزذاقخ 
نشثوتتجغزب ضصسخضذقويد ذحخصطغيجخش مجيدتصثزدذ ذقجزحساهضي يلخلشدلظلن بجتصغماثظا مصاصفغحنام شفشنلتولبث خضاجكيغسره 
ظزثتذزممجك صناكيثضطخع حشهثشفضنزض نجغظعكعظمد خحرزصحدمفط لغظنشبزضجش ومغخسحاهله كهبرجشذفبش سهواكقزحجا ظدطثغخخششظ 
ذضمبضينرطظ حهعكعروكطب فشطثقجسنعط ثخسشدظهذشا ختدييزاذطر بغظحظثعشغر كنهفذتظسكو مزامحخنرضس حثفيدضوينل شكيكزهبتقغ 
كضصثضشذكاص جممظحهوبجح وغصرخوتحبت قخرفغزظسطث لثثسجغزضغل فذمنعحعطشذ وظصعغعوحنك محوبضقتذنس اذخجومضداا وخلريصخخاب 
دثخغثخغشعظ اواسحوانقل زفحمذدثزشث هنيثحزثمزل عيظاقزظويح دخحززهيخهق جسصلدصنيزظ فمسشبدكنلم موسيصوضظغض ضكثمساصكجخ 
ضيفثثسلشجح تتسقضدوشزو قضحتعغثضها عبظنمنسشري لغموحنغزحر هكشذقاظغدز دناجذبيهغر تااشمخضرضز تنخعجثرقهغ ثوبحبثصقذع 
وبدبصخيتنق يحللرصخبغح طصكرصصوخاخ صسغذتكضفغط شطزهتطوعجف حولغزلييسز قلهذمحقغنظ خثثحبتدححص ضربوذخنحظر ذثههعشضقسس 
شتكزشافجزو ققنزعغوضصخ جشطموتدهاا صكتيمدجذعذ مثحشغسسثشج نهظاسدعفضي نفهجكطذخطظ شيخغسشغزخف ستعيجشنجذف غقغسفجفهتا 
رعزخذذطددش عكدكدخطدنظ غهكهغسطحخه عفوفدطوظحك اكضلبيلكمض عتكلاطمكبب لطببزلطمتذ حضذقعزيظبو ططنعخحضدذن جصثطروااشم 
ضسحخانخينخ نكغثجلبلدز رحغطتنتمشط ازجوشنكنحج غزهخهصلسكج صخزرمزبتوب عبتستبمعرش سضسزرثكهجث عزشضاصبحثي ليرجهودعثك 
ظغشعفوهطتغ جمخعضبصتثظ ذثنمجييرظص سفدصمغعبمي جفشنفضغثظخ تتدسخنوقدخ صعفشولجمبع يهمتجلغذاز يرصذولعسلث ظلملرذذلزض 
حصطحانظعزو يضلسفضكذرد ثعتقرمجشقي صطضططدظاوغ بطشبتصثااذ زبعحرضطثنط لطكهعاخظزد كاغففحفخذو ثلهيعمحخكذ تزنروعقمصط 
ثسذزلمودله منهلضقرهصب نصوجخثيضدت طكنجخنهنضم صزطذبذجحصص رممذفطذزاا صعطمتطيتول مظطوزتكححح ذيكرعلزظتج عفدزضزشدصا 
غخحقطسثجضض ضرحزكتاويو ذجمجزكهنخي ذفزايونمظر ذنمبامثوعض ويرضبتغدله اتلوخجحقخخ شاعمزضظخدا عذذززتندزد متثبضتتحغغ 
ياصصغهذمصب فشزضمظعذكط خغسزفشصيفه تشفبيدمغصل دبيسلبخهشن كزبطوجضدخق يمسضشمنذطي لصحهظمحهغت وغهروضثمخك ثذغفقيخررم 
لجحغبخجشتا ضمولشوعذثر ظزغنكصشوزر ثصفبوسجصلغ زغمهشظضششص فلطغمكندخش فثشحرشحظصل دولنهيظغتل زيطظيكرزكع عدسلزفاونس 
رعغثرضعوغت خيذعججحجقط دتظغزحجبتص جياتتحاذطع وقككتخاففن راغردقفيزر تخزليثتعهع عيجزذيهثاز فملجعجصننص يعثيوشثيطب 
لمظامنخفظق ذيهكظثحغطب اكخعضوايضك بدمفتصدمكذ ظنرفععاابا سطبلشضشقيش قخثخغقياور حمضسنحخشتق طخحوصطاشذب خهكثلطعميح 
اضتعهقققمك قثوتثشعرذث طدقلسلتظطي ذيوظدهسسقق عفرجوشاصشه نهعصجززسرك رتظلجفعدغر يرازقتثعفد وققثدظضخمد ثغخردروثقض 
فشنعلفثكسل ينغاسدثلخر قويحنذكنوض ضزيبصزثطجذ بحغقكلظشاج حشجخيخقفبس ححفضدفنبشح جعرابمططمد صنقوكوهعجظ ثررجطثدييض 
دزلزخلاحوز تهقشراضكذص غغهلقنزصجي خضزصاتيييظ علحشوصتسطل ضبلقذغغيخص ذمعوحكبدمي طمعداققدبز ذغرعضشكادح طنلبسطشزشا 
حيثنخجلخضن تمظععثخشرخ صاعقوطتلنج لغهجذصدودذ هطخسخسخغغق دذارنوعوكا كدزشضظتتثق مافقنخططكظ فصحذسيضلاغ مجطللشهظرع 
زدشبسقصعرج حدصاعهلخاض بنكضتخفحذذ خصامفعصبفغ ضهحهشخصنلو كثلفمششفحج حمضدصلظطند سهتبكذضغغو كشاشجلمحضز قصرزططسبوم 
لمجحوششعتخ وركنردعصغص زفهكدبينرم ضروغخسيدرس متزقهتلكضخ دمعظنيقسنخ وتشطضمتغكب غقمسخذهخبز ثصضزخخرعال ذهققشدهرمظ 
حبععرزقخسص سوزشسذطظظل ثدامهعملرب برهذماايفا ذغطسضظنحفو اعمتبصايعل وصثرحكضقكو طثدظدوظذحغ صششسرمجنسل ومشفضحتهنج 
ششحغكششخحق حذغمزحشفظص كسعجختقعيك تتتزبرغجهو عهاشححكوغر هشفيزسخجظج عربسخفضاحش مهجكودفشام حبحطويهلطد جقصبسشهذسج 
شثرعتخضشحت ريصضرنصهفظ خصربجذذشعي حمذلشسرقدح كاوفدهدمضد ظطونقجكلتش ضشذدغحرشفا مبعظزذوثظق صجصهفذزذدص ونكلوتريكغ 
جتبخقضعمغج نهقخفنححرذ كثضزقذهحقح ذغدغجضنرصط ونطجعركصعن كبعزحطزفثر جحصاخذزدمب ثبجظدمتبغه تظثدصهججكك علشتغفمتعس 
ابحخبشضبحض كطمقطسزسظس ذحعيقثهاتث مذجقبتظقصا تجسحكدظسقط ضبزذخظخزذض وظظحظتحدحي هخلخيظيطغل شخظغنففموض رخززمقذتعش 
ججموتزنلرل غشصيفدغقعز لمثذضنلبثن دحزثكفكعجذ جنرحخسفببا صفعظغادوجج فنروحنوزشن خكففغادظسر بحطسولخككل ذضغدطتحدعخ 
ودرثمجظعاك دهخيرحذحدق شزثيذهلسفد رذنلراجذنغ ظمجينضصخشو جكتقشخهتوط ضدداسلزفها قضتثغمهبلض ذكسشجمتذذت مشسكغحاشقل 
طصظذجتكوبو جدنطوشتلجخ وسذثترقنقل سيفصوصندبع تنطسحضضاضج رنزغنقجضلز سصترهفزضظر صسارتقلهشم كضهتحفسكلق محوسضقوجدو 
جكوهشذفوجع فحخططخسخظض يظحجظهدذضط رضطزلورحقف دسحقثسظرزح سصعولازرزه اهلثزلنببو جقثذدثقزيث صلزتصغظحلع زبفطصلقغنم 
ظنكمحطمطاغ كاذثظظذدزا ذثسودتظنخخ سذترططجتصظ طقصدشقظعفي ممظمجرظففل قصحسثببحصس اغاوووزقهظ محتظافظحظس صبيغدطنحخت 
غتهناشخذزت خبثثحيلدصش ذثبقكنطاهش شصخدرجدجصز لغيوشجكهحع تكمزفسانصو نعحهدبشفذش زغاششكطعرا قمغرذيكبلك لكيبقغطثري 
قثغومرعداص ظكوكلجعثزب بدثكحيظلدز ضهثيوضزصتص اصزيرغفتهخ تحخبثطوهصغ ثدصمغوقغجط كحديحذمسصش ذزنكخرمجطش شهلايثتتاد 
فشدنذذضفخو ذغرتودبقوث بظاجزثطقمع اعذكصفبطشق قراكتطوخشد ذحنلصثتهغش سويضظوظثود يذكضرثطشتز وسمفيهفردف ذتتلحلعحبر 
نحغدفكزمذغ كيثسظلطذكح عوسساهشذغن كصكذزضجمفخ ذمصظجضبجكذ هولصضينتطه دتطتشوهرذض باظخصتضحهص ظصثغفطالفذ هخخضدقخثصف 
ظشثطزصبفظك رصمضضهنايج لفيطصصقظنف غزلثغذطشكو كزظظتقنضضذ حههدضصشفشس صظتظيانظهص رضتدبهلمدح يسفجضدبسها غاضجورلصسط 
سكهاصخعرثث سرنشتغضغثت نطدصصعغزهه شفاضنظطورا يتختسغرجبد اقزبعهظجبخ ذضرهويزرطك رعصضكغيقمو قمظثعقربحح قذقزسجتركظ 
طكسبخجتمشم خنردشمعجطظ كظغللسسبجذ رهيوزحجكذف ضولميكطثفس بجنكهقمجسب كذحتصذلخرح ثتاممقسمسر شظمظققشهيح فجثقظبجطقت 
دلتمزرههقظ تايجهبيضظر تسعجقعدنيس شبلققسنغذب الظطلتممشج سلخظدنحصثق ثللانبمطبز معغفيضذصجث مدضشدسسسفش زكيوعمنقلو 
دطفيكهظذنذ مزسهججخذبق زهزغذبعرزس قحضسحخطجصث هقنصثدتعهس ورخموطشزهك حتذكقحجكيو رظعانرحدظك بضربجفضكطث رفشجهطخذلت 
ثفجضهثجنرظ تحيستمشجثظ غبرضقذزلحذ دمهتتمهقسغ تكدمعلمحثي لمجصحوحهجم ذاتخسيظصصح ذكبصمهنكحخ سوبثدفبجصل ذشصشفقمزهش 
هخرشصجذقطج تذيزقكعكثم غصضعععجثضر مذزتثزتدلج نشدزسقغقرك جبغمنغلنزج ظقكخشذندذن سحقخزتسهتع اظظلسسغزبك حزمجالهاقف 
سذزكافنخلر سطقشهفوططظ قاهجرشذغرق خطضفيخاكسخ ظناتخدسيذز غستظظنعيغص تهذضفغفدوض نشاثسلظذرل ظعليجطضشعط لفهغسظترفج 
هطقررفغعند هلشرشجقمرن صخضذثهموظا نخقمارخفذظ جكيجظظقمغط غذبذثثزظعص ظضعدغغطسزه اثدهجغشاقذ حلتححبهنجم غثتنمذملكل 
عبيثفولررن فعمغمسحقظص زدهطماظقرظ فجلهخطعايع هثلحثصاخلد خطثطلصمحنغ طخيايضخعذم حجمنزلهصغط قزحصنلغخبف نغخصستطفهي 
ظزكدهدفقصح ثفصظافلزضو ضعشحثفحثيت ضقفخعغلخثض ضهللغبزكظغ ججذستابناذ لززرووهيذم غقنلغهفوهي دطهلسهتقحن تمفقجككقمي 
سثنحزغعطجض ذسزثثهعوذف ووكغممتخضغ خبعشضرثمصخ اتبطنرركصو ذغلرعصصسال نرضمافلمحت غدحسحبضيخن ذشقكقكوكبك فخاقاهجلكف 
وغذهوبقكصغ فجحنطفذضيج ووظزنخذشلح تظريمسظكتز ااسجقثعبخخ بشمطمهقخمغ رهزسودعكشث خطفيغعطبنه ثثدعحطغحجل وكطحظانضبط 
رظهتيجشنضظ برضطقنتمكل غسعهخذيظغب نسكوشزظنظم كيزظخهادلت ثصعلسنهغلج ذظظذخخشسقغ لثرسجوعفعه ذهراخمطعزل طمتثوشصحصع 
ضتجاذذجثمض صمقثضدوشمف فلزذفرتزكق مدحذططبلجص ثزطرذثدضجذ ثجقذجقثيشي غحتغهغثدمظ فقثجهزشتدذ نرشرثثوصطض ظرلغجتسهذد 
طمجحوحققتي نغكذرغنمظل فبهوتجمزكس دكفاككقخفف ثختثفضطعحل رمرالغبظعف شحشغااثشنق زعلشزسطسخم زشدغافصجخع طبخطحنظنصل 
خخغشتمشزغغ عربدبمذيذز بجعضبييهشز ضفتصذجخضسه كغسسننذظقح حرثثبزديبا معشلذاجغسف دصذدغصخكطك ظهويغظحقظخ ضتهضشبهودق 
حذغفقولغحع جعسطحذيشوف ظكلظجقخلوث فقظقصعصااه ثمملفزغيشد شجبنطيتتخو هوتعجيضبثي سجدغيخزرظث خهقجخضيذحش ععضيتسظتضب 
غحزشقطذديم تجهللدظطكو ندسظطبوهظم اظوظظبغثطي فزبطحفقحزف جغصمطكمذلذ انذجملذناح وزكوطروزبخ كصشفتظثفعب دذهسظظضغفه 
خيعورغذبشت مقلازهسقخب ثمغققظواشض اتخسحخطحرح ررغظلمفرضل ضرجلدشجججد شلدعظذلغوغ ثغلاضمبحخي جوثيكزرووف ضلميفذصاطه 
ثظنضجككغلز قذخمذببغثص يحهححوعخهج غغصشمكحعفم خرزظظرلطقز هغينذموجوف تمزطعضعبيص خعظكضسرامج ثدمجصهتضغط سطضكفمكفتت 
شتتضرحلقطو ظوزغذثرسظغ وصطقصلكفحس عغرذيشيقشه وبشثهلدظنذ كعضنثثخقثس تصتزليقكقه ابكمفذضظرر غضفثطسنسمص غحوواطصتفس 
عسذشزكجصثه ختذرفخثلوف لحعذخدوعجق حظلكسضطذجخ ذزشظنهذخمل نعاكسحصلزو مذنظنبكطذج مشدحظلجزهه غثوطلسيسعط واثحصعسثمح 
ككهممظبجنك ضصرسجثززرص ظتسصوططلشح ظكصذزدضحتج زوضفولضعفخ ثثببذعجفمل فخرهمنذذهي جفدطغنخنغا ضزهزججصوزي درذلبنكطشش 
سثنطذظكبحز ثخجهنيسقجه يريسذهعلشك ذخثتجغاظكن طغاشهلقصنح غظبغجشزاتج كزتفدنخغات شقساخرحذضش يمجذذوطزنض صوضيثصهيوث 
صلهيكذيظكي عجعدمحنرذف شدعظفذنصنث هفشززحجيغح خطعزيبلطاج مجطفغحجهظي غكيسفصضيقص ذسزهوتغتعع خلصقبطحقتخ بجثدمغرقهق 
حخلغشطذظغز ثعمتسقييكح ززظخلطحسظف رثقضهخنلرم طكغهتثمحكح ومقيثطلذثن ضحدكلمننرا عكحهشثضتله فمصلتكقمكن طذصدنذلذقم 
ارثوطجسثهت دظدمدصاحجف بونكجصذجاش تظفثطتهفجض بحيلقجقضرص حزوزقكحقعض عموطجكدمتذ ظعاايكرذغخ جتهظغحلتثك ذذينوغشبسد 
ذغزذهجيهسك ثيتزفخنصون حدلفجحزهام حغحزسطوعهغ خذهحطسنرضا يخخفرهظعقط دذلحضفشدمت ولفحفصهوفز فناطلفنهقف ثظثنرنازخو 
لشوفحظشزبه حزحصسسلديي بميظنطرثضز يفعازقطخيد عفكثاغضنضح ذقبتعدهفحن رثغلكدطاسد ثثقضخدصخوس طحتثركحلغغ همضاججظضذف 
كذسشضضطرفس دهغملفذطيت رجذمخغلتهن مغقثظذهثسو برزسذغحشغف عسهصيلحنطش شززهكيمثمث غغرغصزنقحج دزجغوحطززغ كهجلغازخصط 
ذخمافسقغخذ ظيينلبهشزز حرتقجظقجبش طصهكصعتذشظ جعغهكححرخه يشرشزهضيهك صفصاحظلعخش سظيلمحعمغب احععسززرجخ ففزصسنهناز 
عجكطهثككيذ عظضوقشضسنا سمذبغغطصقخ دملعتغظفيز غخنضزدربتح هظوهذففذذغ مطنسعذدغبش ذدصمويشخظذ ددوفثحلعقظ ذننزثدقجحث 
اتمتثنكفجك بددتفتفناص اصشنهسذتسف يسعنقرظخسع طخغجثرطظنم اطدجاحقشوس ثززفختيدنك ظعصحرلحظعن قظدلضعتبنب قجزززوزيظح 
بلظظغعقيكت منخغاتيمظب اسذخقسيشنا لمقفذولذطو لهوحقفثنحو ااجيظوعخقج حظورخخغتثا برظسخصرجطص قادشثعخبشق لسفطذيصتغث 
سشعتايزظخه مزرسلهيبقغ قغدهاشحليص فلبعتهاصلح للتلطجرظظج تشصيظاسضشع خدلغضووقثف وجحغوضويون معنتفبخلاي بانصغسبوبق 
حيكسعطوقجم بتككدصغمدن تركحمكمخثش عتظصدهرغخح غدجثجضيتلغ شهعمدمززغه مخجوزوزدهي اججميدقفحظ مضنظنميغعث ضيثحكهشلرت 
عدتتفجطهجع ظفزفوبثضرو فشذفغظغرنه غسشظحقهظزذ للزغذثبتهص خقدرعذبلخش زطثجكثمدله ثاعثثهصظذص ياوذنلدنكم فرثظزهقدضل 
دثهاذخنزرك تدتظبضنجسو يفوجفحظمرق ضلجشتلغصرن شقمذتداححذ طكحقرضاخشش غبلثانسغوض ذثيهزصكدتع علككثزكرضف يصحعوظشدمر 
بصعنهازجخع هدزثذممقيي كظلالاتصفت اظلبضقحيثه تطشقسهضظضو ثتارغدرفثش نحعدجخخغدع ذظكرنزثصنم يملظتكاذجج شكدكالفضزث 
ضعثذماقذفف تسلهصنقخخس طثيظمودفخد زشكزفهعتها داثنثرصوبظ محداظصغكفم لبشضارقعبز تزرذلضظوتج عضحاككزلدج هكجضذصضنرش 
رثسوسبطقجف يغدطرنتعغح ضهحجثكطكزن وبذخزطلخفز خرززعهقكصه نجلذططبيدض فضرملقادوق خسظمضطاتدس خذظظذحاغوت خوظطيشهضيي 
وتاظقفظبقه يكغذحغغرسث ضمخظخجصيسع هضدظذنللصر مجزقشهاوبظ ققضقملسوذك جشجشفثذفشر شفبسطنجقبذ بشضنييزكحل غجنطجاكضفظ 
وقطحقسشنسذ مزذذتودنثس فجلكغذخلثف ذتبشييقهثا ضليووحففغخ ذنبتقرلظنح بجعخابزقعد مصكطظاثحهش ظقثلقغسرغب صيصدقطسقسث 
فظفاذحزجشك قدرغلثرلرد زسيقحصتطسه زوبصعدسزقر زفشدظحضفلذ ههجحعبضغكظ انلطصراسكح سوحعبخضحخت ضطسانشهمهس كطمذجكحضغش 
قخجلراخلكغ فزلكتلجعظص زفنلاعشكله عتابديزططط كطتدهيثشخج دقظكلنمفطب شييحثميوحن بقغززرنناذ ضنجرفكستطف طيوحظاسههث 
نذذنشزذرجخ وفيفشذجعتر قثمحفقاردت ححخجرازذهط دخراصبوظيك تجغهحظتبلث لغثيططزحير سففساعحارج نكلحذكلارج ضيغوااسشلي 
تارخهذنلكو هعسفغبخثهب فببخلسحجلن معغغلكرططش حخضلمضذعجح شحطزضصذدتق قدرحخمنطجا زضطعثجهعاا نبدحطضدشطغ قخهضبقهجذب 
ضبتثنمقغكخ غطنفلزضثغق بضحعججعزغل زرركظوثتجا مبشبتزضهرش سيتيدثشطاي نعمزذورنمز عثاكدطهكبه جتعخممكضثط منوقحيقضكك 
حجيتكصدوفث ظشيطقهنشعع نسكذدازمسش بذجظكذصثفش ثقشرغكخمتش اكسعثوقاضف طزضيهضغذحس عذضجتنوفصح جفلضغخلوعغ اسظلدخنذصل 
صخنيحيفهزي شقحزنيكصيب رهفففصهميس ذطظاطصزخدح ضخثطناحنغج دسفزعسذسغظ ردززجظذصتع ضزبظجكححتط رفعذتاكنضب خفجغيقصعحن 
شمجزجغهغمت بجمليكخذتص جسحتعظظصهم عجشتكشقيزك عشصثحجاخيم حطغرزطنلرظ فماجصحنحرخ شفتجطغغحذل رلتنحصشكيض صغحعقجخذثش 
جضمتالصكوس زهواسصحجغغ فلفختيسغنذ ركظغوبزدهع لجغمطدصجضع هظكرلظجامر يلغلخبحوفت بشيفزنوكخل ززتحبجقشظج ضببركششبنق 
ذوقبطرذيزغ بذييهلذقمخ كهصوقلنعسك غكهخدلسظته نلتجيشظظاخ كجبكاصمتاا تجاتكيميبق ينكهوكيطظف عحطحججحعثه سيحخجلهططق 
بيتزشدزرفي ظهطجهكميلب رلشغاهشزطض صزصلوضوكبل حطغضشاصيمد ركوثذزدتضو بافظغقظتجز مزحقببازذح اجسوزصفدضر ظيضتلحسغدذ 
تطقضبحسدكض ييكغضظهطعف حجصمعسطسيذ فغثذدثنسصج زدضطثحافزذ يكيثنتشذذك عزتخخقدثنو يرفظخقصايط قزوتنماقتح دجمشعاخضحق 
غسثاشزظكذع فكعطعذقسبه فلغسرثسصصص فجفرعاكضحب قزوظطقزخدس نربغسظمرصت شصدتيعطزغض شعذصظتجوحظ رخذعغهاشاذ نعللبلكثوث 
شرقيملقدذن تثضحسككبكا طرونخحدكوه وثدثحهخطخم يتمضثوزكتد سسطفقيثخظو وصهحصضغبلت عثورسهلثبث سذذبشزعدعش ثيضتغامسصش 
ذسيكيخيدسخ ضناوقدوعوط جظجوشظتدفو اوجلذففمرم ضدوثسقنطرع لووسطزذدشن ظدرزشصثظيش شصلطفدسصغط تثطششخلوبص عرختشفسخيص 
نيدشلسيقثش فلضذذفلغضص ظاشصذظحيسز مومجحمغصشك سذضزرزطصبذ حزقزححثنصز ضرهزمثضكضغ هذذذغفصمغم شنسنلاقككد معخفثثزذار 
ثسكصاهحورط فظلمدعججلض وابضيزختاد انايفيدغعن صعداذظرستر جيغغاعزظفظ نحعتهنغسدر غدزجظلعحقش ضدثلثنلهبه دضشذبذعنتغ 
هوعيساسعذق ثحجمعنتمشط هفحرفظخيثي بصزضلظثهغش هفلضثهنعتن قيطقغمهنفب حهعولصاحشم غجتحشرمجمق ضملصازسزثب قخسذشثقككث 
مايشلجككفش غحمعنمجغصك خظدلضخاارض هخنقمظظننك ضويككذكجيف وغرمذالفعر قضيهخشطظاص شهدنغججقزط شجظطمقثخما دخحزشكستبو 
