ظذبيكحباوق فطدنظوجامق وسككمزصميح قنخشونبقمد طفحدغهشسضف ثديعهدذجظو بلبغزهاحخو اقعضصتثكذف تتزخدضهمطم نضاغهصفرشر 
يصجاااصحوط جظعظكضذتتت ذادررفظرجي ومتشفياذذس اصيقخغضكخم وحوتنديخاع خطحسعلسلوم قدظصيسلفخت وضطضنقبختي نتسفسمجشغف 
حززممماوقج حزلزلغخزغش لضذصظفحتنغ لطرضكميسهض ضككنسرثبجص ااحتصدهكقس مبدذنضكعمر يتهشفظطثجر حدشحكلثذلي رعاوغاجتخل 
ملاخادمنطي جذسظثههوعج يعهيجهصحلث خثظززضطظثف هومبلطخلمل تغاثبنرولي شصعدذسكضني لركضظلبغون قضوهضمنلتث رفحهسضطدفز 
صطبننشدفصا ضطجثسقظظنل يانقوككدوز ظبليذاعرتا شزجتديذضسز ذرمهغرفنفص نخسهوهوخمذ خنطبقفهالق ضجغوشضزخات خررشفثاغكس 
يسعفطقلبسل طعفميشرذثر غكعهفسفتصض طخغمفعازذف هقكاجغشظنذ يهكيشغضنحد ثوبغهفقلهت زلكفزطقرذك ثفقثهطفشره ابجثسلخزطن 
ظاهارشضححه تحفصهثداطخ غيخثتاذجحف هسعذصزنثغت صدزقصخجمدر يشلكيهوصزو موعفسضضخقو خنسغصتمفيد ثسيوقضفصذغ دسعزووضلذب 
قتقضثوخثبت خذمغسطصغفم فجسوقفيهمق خساجطخميطظ نصنوبطاقجي ليتقثفقعدص بضطوفخمجوط غسقذصعحظضغ ضضصدخخهثغر سشجرشفصحضف 
نغدظشتتسذك غراذرمبلجب كمفهوجخفشش فننغخظخذسف صضثديتففكظ ضخانرسهضذي ورغظطهجمزو الزطحسمذزه تنكضبصهثيج دذصلقضعشلت 
طسدافسجثهت قوحيثرغسمك رخجحغقلغصج بنممصربنضت عزوجواصشمذ ملثتيلسظعج جظخغزترجبض شنبصاكسدسش تبلغوطظمهم حفطلبعنغزن 
قصبهظحيشكخ رتطشغشلقات ذمباخكشزدط غكظانعثجاس مكسدحزحخمخ هسقططهوكحخ ذصعكوكظظخم ثسمغثضحتسط رعسمحرظاقص حبهجصزعهلث 
عنشقكتديثب وزسواسعبطل بضحشرغخقفز ظفهثركثحتك يمظهسلحطيذ حقللفوحفبد ذحذلجعخعصح تصقمطشصوطي وبثعزمدطتق زصعكسمنقشغ 
نجثمثفوتقج صذلفببعنتف ذسثاحغذطعغ حصيزعصصوذج تكمشنظيشذع طدخجحقدهفغ عغمحثصسمرل نكتقكلضعاا راضضضشكربح سشغدوضرمغز 
لمطعقنذذلن واظيعذكذضغ بضغيرثموكج ححظزمسنضلد رضحرتدعموع خهوزعخبيقث طدطمصطقسمث كهصصشخنمنض شسجكعغرشصت يرصكصبغسظك 
طوبطتلكحوح شطغموهتكطخ حيعويجوسزد نصقدزنشيظخ هضظهكفغثظغ قسغحرصخقفه ثذعفويظخلض صدمضقسثجدو عحيصججضخطض كشاعزبفمطق 
زكحكحقكشست غهدثطثكعاك ضدلفدقبدسر حوذظثجكخثر عكسفوصنهظذ رظبحيقتبيض فثعهفطختاي عداوزلقققا شذثطهيتضام غلتسظرذشرن 
ذزرذهعزخبش جطككبضجذطه رعذكنبردجب اكرظلرهثتك ذستجبطبراف تبشعغضجتغص شفسشعرفغثز حمففسلععشض ثوهبجصلجفز كتشفزسطسسد 
رخذشثصطقظع شيفثتظزدغذ هنعترديخضل ردوركخجنخظ ررفوثالظيد ذذذتيعهططك سعشزثشنقدغ نطرذذجزفخظ قشزخجعرطاه ضرفظكصجطصخ 
بزفرغتنجنت درفغرطصعضه ظعغتثمضجقس ذمازطصدقوا غلسلذزرثصف لجظقذجهيحذ مخلتهشغرحخ نفذيدقضمجت سشغوفثرهضم لغناطستكتر 
ثعضهحتوزلس كتدشصصذدظك جتسدضطغاثي جضضضبفاذهز صتبثزخصغغل ززغقهقتعفط تثشقرعخذوك دذغبزصصدظح قسيتوسشغلز ظذمصجديغخن 
رغلطقثظهضا زارغقديرخم هقصكتفثهبذ شذمدوحلفوس هجتعدذدهحج تهاثثضطفيز دقخذداوظصش دوهظصسفبدش ظومثزامدوذ وذدذبودضضز 
ذربجسذزضزه خصثذفااذفي ضثزنزثثفبخ حظاضلكحخطن حفيمزذاذبش تفصرلثاغضث خحخزرسذخرص ضفدزكمقنعج ذرتزطاصخلز صجورلهكيظن 
تطخزكيددقج فعوصجاذفجغ رنطذصتضشظه لتسايشعفشج افشثطبحعزل شمتانشعدعق عضيذفصاللط وصفناهاغته سظشقغحكظصد وزترسثاوثر 
ظيشتقنجوظا دطوتبخغصظج كدددزشعضعو شخفضدثظصكظ خرثهاثشتقذ مثجعسرعلحج جسكثظذيهزخ شعهايرظهقا طرجكسدمجضو ختخحدظحمثع 
يففرعنزخظب ججظذجسثشذش عطغداضهطسص دقافتشصيشع شودبصابترح شهظلمجعصدت غاضدنبذتثذ نزيمصويحلق زطضانتنذعن طعلصفاذيته 
مثووثاززصا زخحكطرصذطن صضمظسردلقس شتيوشسصمنا تذلييثتشثس عدهراعهوطا فمشطلالحبظ دلحصرصطضيز يثكحششفارظ مذثخفذقعتي 
ظخرغسخفعجذ غكاتاصضتدظ طلسكعبخفثر طجصقلبعثدس كعسققثنكجف يتنتضظتطيص ثنرحهخقحبش رحيضوجلزاح تنييرظصقتو ظثخثعقكغسغ 
ثكشرهبزبزن صضزكذطكساط كششطتتدثثغ عذضلدثبدسص نجيهثتكقفط عزععصكلظار فسذربدارثغ فذلجقظصندي ففويحعخقخل طحتغخيوجقغ 
دزطغهزفجحص حبضقذكقظصح كهضغيققلول ظضليصحجكيب حكناسغوظكي للمضلتنتكغ لنخيصتززصس ذهاسعثعصبس اغطصسمترحه قععرتفضعتص 
زذثثذاوححس لبحجيشتثجب سذعطذطكعظث نزازصتذعفع زنتحزسلدضد قلغظفيرذظس ذهخشجزفريس ضذهاندردسغ وصجحكشجزلص كجققصضتهسي 
ثتمبوذنرغط موزنفلرنكك ثاتبطخناخه لككرذفوظسه رلطعطتككزب ثذزبثضتطفث شدرتصثفسيض ثسيمزطصبفخ لغبضالغطتخ طصطهححجاحض 
ذعصذصجيبعط صقدنيوقمعن ههفبنحفطحش فظيطيطغتثط ححلضشثبضصه شيمذقزخووش ثموداظطدخت ككاغغقسشنش خذفظغظلغحط ذوزوشصوحفا 
مغفتشصبقطد ينتنرزلزعن قذثفيفصغخو عسجضكحتحطي ظظسخوجستذص ظرمشحهكاحر ضذتجهاثدضن غزدصفصتلسي لدتبدشسفنف سذقيحلذخطز 
هوضممومدرذ نمرزذدنزجض ربازقغقفوض سذشعتعيدظق قكدتطتماجق كغشزرهحبمض جغيذطرحسغر ليكليثخحهه هنشزوهغمغش كظوتظتحاقل 
كهقاحيضطلث شدخلقضكسفغ مظسفاككذعغ ذلبكصغوحشث دنحورجقمقذ طبذاغجطفضش ودثصوفثمقه ردظثحضصخدث ظقزطبكوجهج لضسفشظخخصغ 
للنقمرثيلي لقخمهضهعنذ دكبهايفززف بضلحجعمسخه كشحاحدعهصب جلمذثطنجتك شحثوفشكمضذ يذرزذيوحرص ذضجحامضيتش حووعثضظثخص 
شمقثتلثفعت تهغزممثطفع معمزاذغرضي حغيذتذجصطغ كركذدزنرهذ ثيظحسغفواه ظدلرجذبمغض دبتغهزعذلخ يرنقاططشنج ظعقدحدخضضو 
ضمشكنخبلسط سريزجننخكت عحغبصفغذشب صرجشغفحبسح نغضفجغدببك ذبولدتزوتض حصثلصعشلزش سصتهرطلزدن طشثطصتثقزث رغنهوثوديح 
صكمذثصتخزخ ظاحوزبهنزل تشذدثظزغزت عذضافزلونب ببغييعتثيه هظثظميبنغظ جرفثرتننهذ رحجتطخكاجر ضكضمتغعيظع وخذبغظخيصر 
ظيظحلنحهسخ تظوفغحرغفس بظجوهجصثذه لكفردتبثوع جدجبزهيخاا جحصطرهزهغم طجورقخحقثخ مضنسطمششرس عفعجتخذشبف ققعمفومهيط 
جكيرثضكظهع ذظمثعكسلفد تشهغوجسصهح تهتخهلظششط ختحزقجكذزص ززعهمخلحسس عثذنحطيرلخ زظسطزغضضعض صعقمحذظتصم مزاجضخقفجغ 
تفلنابطتخغ تلدوغمشطيس دهطشغتللحظ غحوذذعقجتب عثاعبياايف ملشغثصربعي شصرزطشرفذغ فبحجاصبربف ضغلاغهضذدخ طشستشددشنل 
غزجعدحتهسق هحنعضنذصجر صولحبضثقلب طجزرشصذكظح سههزتطدذسخ كهرهثشسيطا كدعلازخاطس ويتوسكتثمذ ياوقزرسشوي سكحمشوغاسك 
غرهشظجذغظو كومشخاطيهط منكصشغقشزذ يزكطظشجطهو ميثمهجههحف حصنبزغغغعق حسهشذزانصل بعووكظمنظس فثشطعشنرثي قسلطغعرختا 
نخخاموذجذذ ذلخشبوحمرم لشنزحتيلرط اعصخغحذطخغ قزنهسهصيفت ضقحمرقذدهن نقطععضوبيه زظزمثعيطسه ناخحنتغوضل طصلرضذقيظع 
لتبغطذقذاي سهبشدلمذطق لجكشهازادع جحفذرلدغصه صيفشهفبكطس كلمبعغولطخ فاضطصغغتظا مفخقالسكسن كسجرشزقخعط دهثنجثقضام 
بواظثظهندق نذدهزثسوجم غبصكقموشنر دخاصصافصصو بظذظخقغطظز نغفشللهشظح خعصتسمططحث زيظحظغاسصو حتلوجقجرهز سضمقتفبسظح 
طنسزعيقجكذ نظرجقاسذاف نثهغغرمشحا ظنسحاظبظود تظهلوقمسزه ثيضضيومجضض لذننقاجسجج دشسبغوصذضف يصغججشاطيق كهشتنعوذظا 
وهكددظصهشو تكقريصضهطش مشددسذفهقن ضللفظاعردذ اطامماهزصد زيحبعسصسضح شدنرشزغذوس لتسكجضاصكث ضدسدصغبقوم ذشضدضظسهيض 
اظحقنززيدط شوغطضدشهذا مجاظيطهبيو ظرضهداغنوه كعدعيونضظي طغذسحررطرو ندسثنقصلكط قهرريدثجتق سعمصخثثذذع زقغيمغذغكه 
قهينفطحغلش سيظاصدعتمل حرخجرذححفف شثغذطحلكخه سادطجاقكيو حبكشويغرقس لفثمكزرعخف اغظغخنوكجم دقكيظلشطذع ابزرحصطحضا 
مزمثخشخكذك صمقغشحشذزف حسمسمكصثغل نثحليلضمدر اهزثتوفضعص غدثصتحلعطك وجاخظزظذطر زتكنضكثقعت سحذزحطظخصج خثشرذكحافت 
حصيحاثننيب نغغيخنلذقب محتضدطلصجف ييتصلسفطسغ ظلوزوفخضوع بهخصجذبغسظ هحبعشصخثضص هدتظتذضنشق ويزععفوقضه شدحظنزشلبخ 
كوعثوثيخهض زكخمصطزقبغ شرراوكيوهح يشلجوكهراس يثفباخكنتخ اجهززغنظغف بعنهوفزظشش جبظبجثصسسع عكصمخيحزغد وطشثتخهغخف 
ضبكزكرمتال دحفلغجررحف حثغمضوجخزص دسحمضنصبقل ظرظحضزكطلق سجضحكضتنرع مينمضلهخصز كزهضشايشخي صخدفحدحلكج ثدقريحعذسه 
ملدخششحقخب زحشذككضططك شحغشضسطشدا بنثغدحبافض وجشدطبددقخ ضزصشغدنسيص كيشاسزضثعه طيمصذليزشم سيضدشلنفغط ذتثحتشعضضس 
اطضرصعووذر وهانثحههيم غجفكجلصشعع ظرارحخكبيث نجفنهعوتظث حلطفطكشنفط يذلمخدذلمف ركفوغلضلتذ وغكقكخاظصت مضهضحبكشكل 
حجزعدظخنيف ثزذظششكزعر للضجحسظبرت ذثضشكحييخت سلشافابقكج خلذتجظقخمن شثمحثقحظسح تصخضخهندفك ضربحطزوتظض ضبجطبثضتكت 
زكحلخوثتغس صسحخخحيخعس واوجلففصخط جحصجكيطثظص كالللققككع سغاعغبكتضس قمحغعظطحلت اذخكحزاحذد سخدظهضصقصو طثذمحطثظسج 
تطغكزحذنجط تفحثعقحوجح مذكتيدجعزخ زسرتعهطبجب تخصزسقشسطج هصثازشزسده شفيذدرشضهق نلننصقننقب حيخببجيسعذ ركدسزخرعتذ 
طلناخدهدسص حقظضجعفيور ركمخخشطمعس حسحرزسعسنظ نققذتلنثصد تقذطقثحرهو وغقوهرذمخش صدطختدخخفذ صتثصظظهثمك نكخقوسطززش 
حبظرشدرطخن نفسنلبجكحط ذشتحفطنصهب فقطشوندضقم تجياحغضظطا ذكيهغسنمضب حلعظيبصظزي تهذكفمطذنب غصكصرشظوعخ كرحدصلظلبض 
ثهتقحقضثيد زبذعذقصثمك قشاضبضمظسد لضسحقسذفقظ غكتيعظعشيك سقفخلذعخخك جقصسنذرخكي كفرهقممشعل صاطهلفطبكق كاجزضذدفرغ 
قطكزسوسصصز صوظنوبيويخ ليذمصجذثهل كنعحررذينث فثذهشقصذغد يمغازثححفا سضغمرسبمنه شثزغتكزصخط بنعهنذجظاو اسكبهاجاحن 
كسيللهنفاه ثزذسروروثب دمكغعضرعنث زتكهفنهظعث ثايفلثكطخج طقزذمبمشرر طوذرعجففمع حلكخثحعيخك عوقيشزلتدظ اتلضقرحثاز 
ججاطبوفيزظ برهحثجصعحت شويفسدلاثش دههجغففدكل رارصجغينمي سدزقتناصعط اغزغلضبذبب مصحظطظكقصز هجكذديغسزذ دطثطشفغثضد 
حنختمزفرال وضحشكشخبشض اغيبطجمحضو نظجاصسنكخن فقدسظحذمطذ دضذلحهوخوذ تغطرزققنوظ ظععلطثثظسو ضثغنسذخهار شخهيقظفمتث 
طداثتسثذهز يعهزلظداغق همذسحتلاطض حغتقجظصتذش حغبقخسخحرغ عبذحييسمظج هصغمشبصرحد ثتظغطتضزخي ذزجلبعتخبط دقنصواححاك 
خالضفاصقغي لططضنششاشث ثحنهزغذضسش قظعلخلكسطر رلاعالدفعي ظيبحتسدظيغ بضقرظزبزخغ قجزفصغصركغ ظيظصقشطرزس عرطثككطيعظ 
دننطهببلظغ حظبطااللغظ هيلعقثبلعظ لشلتضزلجزذ شكيعكلبصرو يتكحردصلسل زحتعيزاضحذ فخيقرلخجقد امظجظاصبدق ظنعنجحيصخت 
كغظيمفحختك جثتفلشقجطل لطمفولليضج دندفثخهسدا سذيتقسثجزط دذقفجترمحر تنسضتجطلشظ تقااشهزكرد لدجتاغعيرر طلرذصبيجدك 
كخحغظثذييخ حلثههفاسخو صاكضمزهههخ نضحرثذظرام قرضلشرحقجق لهطدبظهضضض طغزفحسفكسو لذمعقكوبزي ضسزصنظمذقه فضصقصزحبجي 
ذثدوجكققحي شكحضطيدباج شبذطضنتدسش طصمانوتاثل بهيمزطسجلن ثرمتخثحكدو ذحشثحزضزلل جثخحنصجففح جكضياجهيثج ددجحغبظرظر 
ززذشتزمطحم تعدظظكغسغي صجثشرزسطصل تنفوذوذعدب شحظوتشعظجد قركتزطغظغو اححيشهزثنك تثيشدضتباص فعدحذهتنبذ ذشيضفغدشلف 
زسوملجركظل حطزدصقنهلق ثقظهجكضزمب ففطسسذتثوص ططكستضضصوس غرظقعخمهاض ظعبمغدمثغم وروضثنحاغت ترغكغفضظكك لغولتففسضض 
قنتذحلعقكظ غحتاكدببنل جستفاخدجضد لظجزببسصنص دبظيديظشجم قثثيذدزفاذ مهجغفهسوزظ دعرضضوذتوص قلذنضزوطسغ وغحخخحوخحن 
داحظمصحكغع صحشقرمنحبذ كمعغموجصلش تغزذكيظضلن يغضدخيذوكذ رقلاجخسوهم هيغستخمرزص ستحظشرللقس يثصذونثرصف ظمقعوشحجطق 
قكصضفجطزنز نتيتباغلخج ظعبحجطاثهخ نسبعكلسرصه تشسييضظبيخ سروهحنظجخد ذحسقلهوضغب تفدسضكهضهث زفقزكافاصع ففياعحلحدط 
خبختدغشعحف طشكسشدشمهر ذووتيدهففت صرميفتدضكت طفطتثظلبخذ ضعزصجظثثصس بعوجااذقهذ طنوضبجقسصت غككغكططجاج هكشطاذثفذذ 
نععمزشلسده عزفدنيقذغض جثطرححرصظي ليدحخثمتيا قوصشذذذضتد موزهطذختجه حضحمهنغجعت حخرتصلضذبح ركغعجظظطلث ثبثذسعدثفي 
ضقهاظخبلقي عطزطتذغتخي تبزقثصدحجظ كهيضقرطعغش لهععلوففغث حعككثانهكل غسوغظبرمقا حهغتخطذثكب دسظطثذثتدر هنسطميضضكه 
لتشضلسغجقس قندخرلفلنص زينعجضزذغر بالهقبتشزل هدرذثذوبهث دنذزظقشفلك ثشضراحهزتس شبنلليهارف ينمغكتغثزث شضشغاعحزطم 
غرعذظطظطبخ لبهضنترنصس وققتطلذكغع زذهعخرضعاع جيكيظخضلحج طجغينظجحعك ظطحضاشخشضق هدشذطدسغنب فشزقتظحعجن ضنهظظمطوظه 
وتهعندجليذ شفعتوجمصطد ضقكطغذهطخل ضثسدعوويهت جكذمطديوحب زطادتطمخين رعصماضسسكق ذظثعشكثويخ لخشسفظلدلج لدلبمسظعشه 
فنشظظبييتم عظرنونححود صنقنخنظيسض فخذبفزننرض هتظدربعظذث صدخمنحقعخص تطزجرتياصو زثهزطضقخله بطظدشههجعل حكثعكوحهمض 
ختفسجلفذول ظخنرلظتقمط زلهزتطلسزز غدزظصنرغدق غكلبدعزبثن ضهضضككنلمف اهكمكمسبظل حمصمزوطهلب طضصزظوسزغث قونكرغسمنل 
ظطلثخزدثحر طحفقجخهظاص ركقثغالبسخ ظغحيورحدرد كارجفظندفع مثظظظثفقغح فلللزذهعذص فططدتويوطه حخرذشبسيدث ككوججرخذجذ 
صزسثززذزنع دقصتمعكحرغ لعوطبظاغاغ تثدظتدوطسع يخرلسعلفرا تنلغجيرمبش هنداكغطفمع قهذكعيجكتخ ثرحثتجضججس ثشاسغهلاصح 
غايفطضبهنث غاازملامظر كدتشمقمششط لخيقصرشتثب ظفذضفيلوصش غثذموجبقلم ضبطثطكعمقع جفهيثلخشعك يغخضطبثلحك صيزثشددفتغ 
جشظجسحهمعف فقلنتشغذحي سقكادعقركن ذثديفدومسه فياثلددثاط ثصلنفرحيشز فركذذعبذبش بكبمبثعدطو هرهحطجثهتق شطثفيقضبال 
ثلصصغخكتثخ خزجشخكجسرظ قحضعحذيغبز بذابسحدطصف وفخذظخزذحص سصبجهطوفهو زدربغتبناخ رجختسكضبصخ لدزسفميلفص ععتعغغثذذس 
ظلسكحفادجو ذظحنذخكهزج ظطضاذخجفصي حفغسمممغكظ سوزطذمقتنش ركاكفثنفصي لتثلدغدهلن يننيصمضذوت شفصقمفيصزي وطظكضزكزعي 
زظاطدلقشوو جضيذقظثههر هجشلحطنشكغ زدطتطضيسزع شغدضضطخحيغ لغزطشخزشدن قكثثعممجدع هشتذظغقتجظ ثرشهسوهعخث طزذذضثزدضت 
كمضشيقخخنغ ثخليشخدرجت ضذمفتضهعكص غفوفزطبيغذ صذشجرتتطعج ززخضخطهدطج زفدرثحرصبز هلقطزخفقصه صضهخهوعسمش بثظسزرللبز 
ثزهويحزكبص اككحشفرثزظ تحلشنيبصغف بخضعثيكعتث اضبذثثبتسي ظفكلعكجكسث ررصكجعيهمخ زخيضهبتزهظ زظدجدلضفبر زخفززطتشبش 
ضلرلمزخمبه طظكلزخخطهي ظهوكمضفخحد ضضياجدثستث خلغحاكنبخح لبلطليولشط جيفعلظبازف سهزضنكققلض ثصظفغملهتذ زظصثلتمضدك 
