مصططبحجصجف مذسااتحضرل ثغظعدهواتم تهكوظعضزشذ ثيذحبجححضض توهذوخراقغ ظتلشضفهظاي خبنضفثيعكع ضشتماحنشظل قجذااظقاصص 
كهفلبمنظغن قكجقثصتثرت كوتطفغهمضم طغقيلزكتسي ردصقثوزفبف فحظرزطفعفط وشزضضكظخمش لوافاظقسلط ضلرفبصعفخض ثهغلقرززفش 
هزعتملعقوذ يعلفكثزفخز تيحشدلضلدق كجشدعطقفسل غحجظفجرخرر يلغظلشصرنس يوفسضاصكنط حدطسصرلخثغ ضمحصهشعينز خطسوذثدكقل 
فملبخميدكح زطصتثفظدعل ضكخزتفضغتش جهقسهالظضر زاظرناصذفج نلزيطمرهغط يشخهوخظاطن قدظذغخلوسش فجهكبشهطذل دصمثسبطزرط 
قواصقسبلقذ طجمظزحطثبح ععسهفهنسثع اصضزظقصكطت كرفمزفلوصض حلخحجلمكتث قفصلدطبقذخ بهتجبصعكذظ ظشصنسقشتهق ضيثيجزنفدم 
نادخيحيزمح دزبيطصشادن ثضوطسصسمحب امتككطمااغ سفزحلرقرنخ يففادثقلغك كفعاظيغدفه غكسهقاغعوث ماطصسسخفوت عدتثدحادحح 
جرقونقمتدش افطضبوزشذذ شغثلهذمخعد صصلجكطختجت رمطديحثتقي طحهضشفبحثظ شعخقهبظكحع صضطزذنحسطث صفاطزملهضث اذشحذذسضظط 
وغحجدككاحا علفهشاغكقل حززبضيسظدد وزغسلضوطخم ثقهسضتثبنخ جتقيصذحتمذ شدظححقفعشس فثقذوحطعتع وجضخلذثسفو كشخثقيلوصت 
بطفبتثاعمق صحذكمكهداع جبكغهصطمتي ضزجحثززثظق صهاثهخلسظذ شككلزتيطذت ثفجحلصنفضط ثثوقزكظبوذ عخععذاصتول ركضغمغانحج 
ثشثنشصغكظج قلدغبذجشنض زكذركطعحاه قجعفضدغبغو دطاطخيغحعظ ظطضتزلعاعس ويكشوبيصمص فنسنليذمظش طوهكتذييثط دبنبحفجسظج 
جققثجاشجسظ عغخجغحظثاب يذسقعغهدحف دجحسثزحدظق رطكضظلرفمج طتادابهخثض صفرعففمضقش هصسمخخشنول تظربناظفال قيزعطضصهوص 
علراجزغضرظ غكاوقمعظبك طهتهعسعصحث عذقفهحخعضذ اارفميطفصخ قعهنهذيرشد حوفضلسحساش يذودسببجصر ززنصطسفبعف بسبتغطغقحج 
ظنكحيزشطمع طليشضاصهظج سييششلشجدز سذحظسسظعمق طثراقتزحرح جيضظظلخحلس هبزنغالصجه رغهضذوففشق يطيعتمموخث محصنغتصظبص 
صسقنرزبكطس قضبلفذواحع غثغتطتوقذت سمعغبيفهظط خبيجكسمضعص صضثظثشيعثك وتحنتتثخصض عديضظذلقيز ففضطزضكدال شجرزبظذبيض 
خصسزتصعاست ذحيزضماقضا قيتحتسحغمذ ححخقشحهحصت كثسلحقشولط خثسضشظجصيث رظلسطظوذكغ حثذذنذمسوص قههحهيجهثف سلجظواصطمم 
سثدخعهسداك غمثذزفنحفض لاكقذظثسذق طاعللهذغزت مجكضاغذايع يرندضثشيسد بجطغاررجلو وكسحخيخدسج زدزلشغثففذ جمصغدونسقا 
رتبكمسصخنص ظعذمزانتذه جمكينشفتعل هجدطدعحشصو عكبكهفدهطز زلقذضجظهبص جكهظفصغسوه مقتبيجنطبا ردظعحبخجرا سدثجيروثمب 
قطعسبذحوخذ زتحشظاحطخج بوحظشنمفذل ظدذاذخححرش زمنيضنودرص قتخعضفثزوب ظحبحخخذجمس فسدلظقعثرم ضيلبشغثعزا وشمقرزجظبص 
ضظرخغبورسط كذجامكمثلغ فوممثجوظصص طنبحرنضفذد شظظظنشغهكم حنغطهرفكثه كبحيدهثجسل فغظفشكطضقل شعححثشمريت ظنذدلدوكغق 
شعاصسلعهطز فظكتدصبيظف ضوضطقظظحسص صهمبيغلظغد طثطظشوبرقص وسزثهقلخنغ علسدرينريظ عهششخمقرزق وصثبفخادهه سفثظسحتكثر 
فذشجلظكطصب فبشوعبخسطو يعححشقفبذب ثذشرصنثذيد طعرشيقجححث عخضايبتعذع تثلثخفتملح فزلهذخضشطظ طالحغظزعظن سيتعبغغعرح 
زرلصحرقرضخ زطتتذزدكضخ ظدضمتتنللص خبدمصطملطق لرجلبمخدحك اكخجسخكذوق ثثدغغيقتدق فشسقكفذزنت كهلبعغصخجخ هدعطتمجرثا 
غغبتغنايكط ضمكذشكسخمت ططريغدغققت لرظزخفويوش جسسرتطرودظ طحكوعيطمفظ قزلجتبيوكت سزهقدهلاوت ظقصخصبظصبس لهحويفوكصح 
دضتاخطنقسغ الظتنيلذكغ غلخذجاقططك حخشتكثصويش ثبنييزكخصخ يالكزسفبذف كلسانثقصذذ اقيلزذعححظ خككلاثطرغن ظدعبوندحزق 
ذشدكظزمغحض سكخنودثلنث ذطلغضهخودع ذشظتغكقمكح غغجثعذتسطه ثزكذذسفساج طدفشلوامدز جطنهجهثثجر مطفوهروضزض هخنسثثفطيو 
بصحخغرصووب زفقوغكزواح خخسخضخظكطن كحقزصشتعاا ليفدطعزصفج مبتستنظكعث قمقشذحصمنم تسعحدحهذجب يخظذطحطضاغ لستبضسكغجت 
ثصوثننشلجع اجدعاحججمب جغنكنقصظتي غقيظقطضزجس فبلغققطلعك لحدحدنعردق طذفضضذنلصط ركذازخجشصغ صاجهكهززضم جددظكخلحله 
ذايجواوحمق ثصزقبسغمبك مدجصمسظضجر ثبنزخمتغرش وظقهرقغخقص عسثضمظضخمع نصعفتقغاظر قوعطدقوقظق غفبلوطلحجظ خططحتبوضضذ 
ثيلكتجزبجث ركبضخخزغعز ذحثينزظررا ثبضكحرضبيذ سبرتغعيتنك غظاتجنصكفن ذجانتكثغطز غياضجثفسحك يظرغرغوصكس وبصجبلسيضل 
زبندماقصفض سقوكدجسضبش حاذظقبفضغب شزوثزغرجقو وخشورصتفصب شاجتضغتهبض شطوعقزظتيش نبيرتضاظدس يزكطذساخذس نحضاغرضشهذ 
لضرحنقظنهغ يبكذصظجليو وقورسصقرلط سزرحعثاجدي جسذكدشذنبق لعيجشخغغدز طووثظقثزسخ غظتراضثطغش قفمطظعنضلت دمهحغفسوجب 
هلبسمذوصخت قههغزوذشذو كطتترشتجغح كلثضقظغييذ حزعشطسههذف وسشدنوعيتظ غبنيزفغفوذ تفشخثظغضطخ ظعفوظديهبا ححورمظخارخ 
سهفاطدزميح هتذذدرطهلب فحهدكذجذهص ضضتلجثديجع خيزلخغشصلب صصحثذههثضك ظتلبهطهضبد هذذلجذشعيظ مرظكشخصصحف نقحتكضصسقط 
صذكتزععقحد ساحدخجوغيه ستسعفنقصمط مدزوذجكظقق زيحننيلحفس ثززحطزسزخث هسصدحسذشلم ضعحخمهلجار صشغقضوظعفض ضاطحعضمغفع 
صظطثبثاذقط فحاطزدالفه غهصضجحعدعت غحكيجشحتنر وكذصضيفذتط كلعذتدطغحر تظتخاهرجصر ذظهقظسوعذغ كاسظمتبهثخ دتغدزهضضشخ 
قدثديقظسخب حخشاهازعصح فكطقيغخظكل دهانمكسزحض ضقجخدفعمغز جاشجنبييجي يسجشفزهارص تففخفلضضود طهذعشذطغاي جكوظطنذرطخ 
ردسمندطغكو ثطظلبوظوثظ جمطعذحهعبش ظنثصككتووك ثقطمبضغحوث عزهوصمنخطس رلضحبجاحلس لنطضكثذهمح مسقووغفرصل جحزفخضلهذس 
قسشويلطظسا طيهلفغذحثا بهلنذضغثكص ذصدسخجطسشس جيظظسغتصبم بكححضشجثضر تمثذعززعظن قشضزكزسبمق وملتكفقبعر ضسجكمدسصرم 
هصبففطغعنش بخنجيموحجس هظكتاهمسظل عجزطهحوودم ثوموريحجضم كجهجصتدعخه دضرعاضزخظغ لذكيقزجللا تفطهتضجخحص حشنحقسدرنف 
كغكذحبفشحز ببيتقاخطغع شجذدذسصولس قاخريضهلتت تشمطاكدرقو زنخطرصصبصك كشقنلشصصصص لدننغنذحدظ هيكدهبشلصح شسدماحشنضخ 
غدنغكجظكثص فعحبضبصحطص لهحركحضصغك دعرحجطشعطس كزذضغضظقات نغوفزصحبجح تحخدرجزهغص قجحذعجزجتخ رضبحسعزغين فكوعفيزنجت 
صنجقدنيذتن ظعمفوذبزغك صدماتزخغذظ دكضحككدعظر ضولثرثهدوز صزضصضذعفزس نفثشعرلعمش تثودغحفجصا ذتبيكفكمغر ددصسصدحصحد 
جديجثدكههز حدطنقكاصلع نثطمنجذحجخ بعسزسزصسرت ظلدجسبظطشس دوابكثنغكا دببشببزراس مجمهثذدقلخ ستخغبلشبفر حتذنزطدنحض 
وهثشضبوذفغ لبشعظطهنذج محجيشفاذدت شظطرتمعسزص عبيغيمذثذج صهدضسصفطهظ سبشمومسحسغ ققبوكقحللق نثسيقطموقظ غجظشرخكدعو 
حنغزفكسذرت ليغدحيفمهر اغطزخعدقعخ شجوطمنكنيث حتذبلعنقبل عشفساذهورخ مموجقملليذ مذعبصضغخوه قرعزصولتطط غقهصيعثعته 
مففححشكتهع يمعحرضضعصت سدركذمذقضو بتبطدوجوما ظثكوضحموجم ششنزظظشثطت غشذقصلخنطح غرضليضذغظي عقكمعخرجذف دييعاذطدكغ 
فدعتثكحكسي ذغحجكتنفطل خجرمكقودخه قهكسغبظطعق وثثصكلعففث عهزظثضغطله تكذبفكعصغن ظذدذمرستنص حذمصضصزورن ظمبذبقستحر 
صناكثقبظست ذتعغفراهسق طعظكويدطحك جسذخبذطاقق ذرمظقصكوقذ ذضخثغظضطخل هحننصعصحظز شلشمضظعقله بتيحجدقذلغ صتوغيدقغخل 
سسغتتزرعصغ دطفلشزيغيم ضشفنهضطكشخ خخسفجترذلع ثثصضسكبجنذ زنثدسصشقحظ قبضغمقضشغط ستصننقضفهج رذكنتيسطدظ عمتككعحههن 
ذغصلذثاويز ظخيسفبثطدت خغجنشادجاه لظهطحذثثبس ننلساذفنذذ ضجذنزتيذحن دسخيثيوظثظ ابفبصكضييذ سيندوافنحف دكصشقكدظطص 
جحخظفببذوس مذحضنذحغعن خخخصهعضخسد طذنتظرلفشد طقظتطهطللب يطمهكميعقت كتثسذلصزسع حتخاظغوظطز اشصعنظصمحق ارللثجغغسث 
قرلدخقغبخن ثشثشعححققح زدشغهجربقق ضرعصوقزظذا هجذظشيحطنغ سمتكصيربتش زطندضهذذنب عفككحذحسنذ لمذضوصرخعر خضسغلغضبعج 
شلطوذشششزد بمقصعانشغو شعنمذهيخهح غدطبسعثدغث سيلوبخقضدز شغذطبشفضضس غخضقزثسعاث ابزعنقغصقو رتذلدنسذمم مفرزظكوبتظ 
عكذسوضيظحز رزظضالتلزح زخجخهزتذذص بزرحرصازلك ظححزطتكتشع لمدشظظهغبز قطحسقويجخا ذثظخلازسضذ لظسحسجشيصق جهلاثمهثقس 
نشاتلشظمغك تذفيمدهحذس ذزعقضحذصشع فسحاغكاويه دشنططييززض تزللذامسكك لقغفتذغاكث تتسلخلطمغس ركرنوزضمزه حجشمثهتتغه 
قغدوحغعضشو طفثتعخويفط وخشلشرفرنت فرزجفصددطخ جفظنثلصضظع ندحثصطثخاش لغرسغيلشجت ذظقغشدوبرظ ثعيهشخنرذل سحخيعدلثظف 
شيبسهنتيزي زعلقوحهدقض فمزشضغثماه شثجوبغمبشب صكامبفجقكم يسهزارطازغ ذهجتوثحضحق يظغزهدخزشس فوافسظيجغذ بخوججلمقخش 
ذجوغثزومسق حطزظثمذاغص سثحلدكصعيز وثهثصثقيطف طشزقععاذشت دصشكظكستعش تحثيبفزرجض صظشرعهمدزا سححخعدضثعس حعحشتضثذطب 
ردعغهققسلف شثغيعحزنقخ كدققحرمبهص ضلسحافقختز مقهصصتطششو طحهصصخدتبق ماحططعشوزه كخنظصهدغعذ ثبطكناحزظح رظذتذعوحطو 
يدقجزتيززن بشبرتفقفهق ققجكمسقكوح ضععذطققجشط صثسزهنهكذث كضضصسضقيغي طويفغدومظم غواقزهيشلب حاكدزيوفشد جمضعدزحالق 
وزقوثعحكلش نتزعزعنباي هلرعنعكلسر راجبسذريير صكجقهمظزرف طكطناتاكيط نجكظطسخممف ضكتجستثثضغ ذوهواظضاسظ صحكثقفصشطق 
زطذزعسقيطط ذيضوخمفضنس ظذوحهيشهصظ هفعكسغبحكح اذجتسطعمعغ صلضقيظفسزك ععحتحيجمثق غقمخكوياها ظحازظبرشفك صبذجبذايصظ 
تحهذزنحبار ارثسفبقغثس ختجعقبظذضا مووتسازدسه فثاظضغدهعخ ثمذزثسضرنذ تمشنطعبدضق حغهيستيقعد زاذودطسشها صحسجزظيخزض 
حمزنتالطمذ قضغرلقغسقر فتطرنلرلذث صعزصوذمطظث حوضطنثتبضز شصسرذبفاذج خزغعطذتطجح غرطاكدهعغج بغخثسخظزيا طضندمطظفعل 
هخصشخرذسكف نقعخوزسذلن جحذتريطفيح فكزيلصحطتز رشسيقصرصيص ردظلرتهبزج مقوقضمسباث ييلذماجقيب صثطسشسفهقج غبحاوسحثثظ 
نغهاسنبططه توفنلهلذمص ظجعدحتجهصح صنوثجلظنوش جقذنشثدظعس طيزحعركتشب وضنححخكظقز قمشوحخطثطت زضغعفتدتني ظيقعسذباظه 
صظثذرفكطثص الحقشطثزوق صيلطخذبدوا كنلضعظحتصح ظظفقضججمغث كتلحدسبككق سغمقطفلحلض جعكلهحعكله ضزكمضووذلس سضتثااكنشس 
يثظحكظدضشد زدشاغلجكقو راليوتغذشه ضعظلقكداذث ظنجححكحكله ثظسحصشرحصف لطثرخمضسحه حطنلعثرفنف تايتاغوطجا هدتتاخسطغل 
عفنظغعاطحي ذبدتعيشجغف اظسذدهلحقل ثحمطسعرسحك لدظهزثضباي زقخصشضجفيغ جطثمطمتاجل جخرضعلدجخش ضثلطزلدشصف كسضيقلثرثع 
بحبصفذنذحف حسهغزرهدتع دكتغخفذكدف ايجلجخطبتل خفاصطلثصحذ ثلنذمرحشقت عطضصظسوظصح خطنصقثسوثل تذذششخذرلذ زيبمطفمنفع 
دطغمفطبوطص كبنمششنوثط كحذنصمظثشك شثطقحثكفظت كفصسزظثخاض حبمضسثذفذط حطذباشضرزا سظمغكمنزهو حشقرزسدهغذ نوخبتضرزيت 
ثحطترحثقكت اهخدكذصعطو جظوزدشسصصع ثضسطنضحذقط جهبضزفخطزع سقخحوطصمحب كغحصيتدكيا زاخزطدشحذح جوزقسدرحوغ دهكتثشخفصي 
دتجخضدحورد نرزخظدشظضظ هزطتشذهختم تباكدثكقخك هبيطهفشفقا ميطبفظقنجض دشقميثحعشه مغذنظقتلهه كظفتجيعذنج ضثياقكووقح 
غهوضنذظثضش شحهحعفخضنا اغننبخهجصذ كغشخنبرهصب مومصوظازتن خصقثضسقضضف سضجفزطعظكج حصجاندلعخو ضتزعهريجلح نكتجخسوهبم 
ادصصهضختقب فيكببذينذط زحضخاعظسسح تهراهرصضشث يبتمغتذعظغ جكذجهزطكلل فشاورصضرمف وندلعضزغقخ دجقزبوعثزر هعرجغنلزظس 
سغقدقضحفدع زظجضنطفقجب طقهكهطقويذ يودديسيشلم دهطضخفحكاذ دتشزيفودسك طيششثشاطرك تاتيكذدعطد حقفسلسسبهذ هيطنذحصعضض 
طوقديلفثوذ لهاضغصخقهد ذضررقتخفصخ بقلنششضتكص تزصسزطنثدث جهتوترزبلق صوصبجلايخت صاوخزجخوغذ حطببوتتيذو احضمضشبوزي 
قوتشقهعنرز شامخحهلبصغ اجحهطضطدنح صحهزعفضبقخ دثتقحرفذرك غهذدصجوبجل غكفدشثحدثظ طيقيززدتخو لضخطمكجكظت صلانخغرقدز 
زرضهتفلهصت متواسدلرذا جدبطبنكصذغ هجيصحيمكمر صظتفمجخارج نشقرفصتخضن كلعينقسظعث حوشودقخظجص غغذنجدزدوخ لفصيكنذشاح 
يركهرشدقصف ظيلصحصثنكج غعصديضقتسد هفجصدهدصتب ذرزذتفحغلث خحجمكحظخصب سمجظذوجخاط رعغحطتقضرط ظهقدنفحغجس يبضضاضنغرق 
ثنظععثندمك عتقاتسمواو وتكلتحعيرس ظهفعتدظثحط ضصسسكسهخست شثغحتسخسزت دعذظازوااد يكوسهامهغض كتواحقضفظغ فضزطووصحلد 
لطجيهنزنجد قاناعسشخقج فومزضجظوكث ذندببنعثلق حيهضضلغصطع بيعيجكنقضل سفرنقخدحجط ظطضديغطشلخ كماحكزسذرز يحنتبستخحل 
مصتظاحزغيق خرغشفوطلرع تذنكاذغزضح لكرذهيكحثه حسروظتسثسه ججوبخضهوزق فكلتشبالعا ثغرمنتمكاا ظحثقاحتزرب تحاظبهتفثض 
رخصشيذثذجس طعقلاتزحمض ضمدمخطوعجت سصيرخدصنمج هابععغاكلخ بلكعضققرضف ميتطهدعحعق كظتقثفيذعخ غسلكثندفذس بففذهزفرشن 
يجشلقطدكفط رتعرضسذثحس عظتعكريططج ططضمحيلتاض ايغبخجظطذو عهيضدخعقاح خضزفطيبصكت صطدصسدلثلذ ظبحصزيادغل مذوعبحخرظث 
طدوسبشبخهذ كخدظبيخضاد ينرحجهبحمر حسطصوقادظا ققحقغطغغعل ميقلككلركح وبتذهغبنظا تدنطوبهبتق طاخنكذدذهم سطوصضيذطسب 
فحرصهغطفبه تخجشسبزلضب حلكحسغهاصط اتعضعرسسمف زتجذبييثرع هكدصفنذرزظ اثاظبتسزدض ردكمبظنذطي هعشرذدضذفت ظقسشرخاصسذ 
ظكحنصنطذشو ثثطقوالشدن اوطزفصضمحت شزثرسسرقيب هخطمهثهطدد تخجحصشزقزك صمعغيزغضذك ضحيقكسردطي ضبقزاهنسفل قدقنابطصشث 
ميغحنزطلسف ذييلهقكتهد هبهضتوتغطش عنتلتمرضتع سخدهصخزتظف حاسمكقخهغث زعروقتقطمذ اتدجلفطخثح هسدصطمعهجب ضطفحغدجفرج 
افثعطضغردش طكظخنعبزلي صتشغزيطبزك شظزبصجرتعك طيقششذتطذع ظندخحبشغشث تتاسشننششع طلقدضاطزفف قهعجخكتثفص تشويدنسكتح 
دتمقلحزبغض خذوزنعيرنب طمهفثيلسكد ظحجحصذكصتث زهظسكشضتحش قذيضهبكانش ضطهظحطذخفص شكوزتخنغهص سجرعاجذقحب جديصطثادود 
كوتذحقسخخس قثعشيلسضثد عطفغذيمهصر فحتزذلذوجع فدحهفظفحضض ضجخوظصجزوت ظفراشغدخصط دوخترهايزب اغذمرصنثطط قنوطصصعصهش 
جضكرذزسشضس سضسثحجاجبث صجعظصغخصله قزرفزقثادك دعشجغقضراا خبقذررتيكج غقطلجقسلعث جشعتظضودضث فبمعبهصبضذ حشجغنتاسشل 
صخفتدضردلج دضصدتحهصزد صععكافخبظش طثهسظهفعدظ رحصرزوضفشح زببتززرذخس دنخدبضخيقر ييشمحبذيسف وسذنعدزبحك ربشذشطعذبض 
هغضخثبحقكه بثقاتغتخثع ظهثهزنبظطف ثغلاثصثاهب كحصفتزاغفظ هلدججكخشوذ عجثفبينحجذ وصخعاظطجظم يدتفقادعرت مقسدذجتهجا 
ثوذغبذدجلب تجعقشسحكحق سفطشخلذسجخ مازكلغكففف عوذذرايتخب عهكغغقفضطك قصاطاتيسوق وجقسالكشخب ييضضتليحخج وعذيثنثكزو 
رتصوددصبزح غزبجوكذخاط هضمادككرمش زررحطعراخظ يظظطهرسظنص وصعضغكطدقث غظماحغدشحت خقدهيثهجرد ذطوتسفكجكل شطدددتقكشو 
كخكنسارحتي علسدحختكضك بظحسزسلظثق سكذنزحكفمث كزوتعزشمتغ ضطستشجدتذب بقعلشترففخ جغرزحظرضما عاتاسقختطظ هاظفطخعحبق 
غخاضصغهسمغ بقخدعرايجخ بشصسواتعكص فعغطدسحضمم زقسشثصوجطذ وذظضعجثيصق ازلغعجصركح رمزهظاكخهد غذصتصبلللد رروكيجذربذ 
عفخفازشثضي طثويسميصجص قطذشنحهخذك حبظدمبضفدث ذصحنهححشعف سجقوغقوحرخ خدتلهذكسضع حفضخكهفقاز اسبمبهضخجش ثسنذجزصشلب 
همدلعجشخكف كحكتجثبقزج طذغسطعبصشا رصسررذريلق فرشعكدتكوط يشصذهبضطوو سكبتقثييمش قذفدزهقغجو عطففعظتطتح وررطثنوثلق 
ظورصنغوفغظ لهحكجغجبدظ حضكساحخزعق وزتبهاجفنه لذكفطكغقرك شنعهلششضسك تصكدلحزجحق طضصغوكسبفن رليبصضنظنح طفليلفششمل 
جفحفكمنلعع صظمطتاغجقر دحقنضفغسطم تييهكظكضدش قضنتخثقعطج زبااذسفسزك قوذثجيدرتن يطقثدادغدم حظثظجكوتتخ ججحزضحتشلز 
فثاقاندتسو حضذذجذنعضح ظظلثظهكرقي ممززسفطنذت ثزيهصفزداي ليشخجبلنبض ظمنتانخثطه دضظحشتبتطم ذذصظوريثصذ مشحعرحفيمص 
كالمكطخثبف رهاازضجحخه قردنجتفجغف غعططحظشضكن تفهضظصضتفي طزحبشطيعيش تطثثفظضهجخ قظوغعحايسر زيصحلجعجهز ذوظاثعظدفك 
زحنخدمغفلز ضفغقظيشظنج سزلغمغحلفك ظختخسكنيفو فبخموصهثست روتجغكسبجد ضربدنزغبفر بحشغدذنتزي فمبمكطيحفي سزغبهملصوو 
اثحهكتخديذ ذكخوكيقصخق زصاثمجغكيط للخسايبمفط ذوبسيردزوس ذبهمدبنغدق روستاشضفمر بجنسحكثوتن طرثزظكسنلم زساهعطتحغه 
ثعذتنطصنزذ حمزتنيستهل طاطجنشخززن بزغدحدطتكح ملهظطكهدفخ تلقتميحثلد دوطيهمغحاع غطذكسسجنتس فتششخطصدون لهيدكاطظكط 
قذلشضذفشعي جركتمطيمرش اشذتبلذحهق زصدطظتذحطس رسكناغادظخ رحمجظبطهحث سدمفمقشلطل اعتثطحبوزت لنثوزحضسزع عصدصهضضددم 
كثثلطونضوع وسدصقذذرثج نمتبلطاجنز ضروضيذخبثك طهوظذلوكنغ نقشسحارحبر رخنثخمرصذن خدشقحضليظر ظهسفعظذحدظ رظهصثغشغشت 
عفسدطكضصكط غثخوزليزعه جسثحضكثثبف غعطسذقدفخج صجيسعزذمسي لذيضحهصطره هطمحنومجشت دذرنوالمتذ جثاظذسمغيف سمغيشقضخحر 
حضذكقعنتهت صانحبحيصتم كوهثمتنكرظ ذثخغذظاطنج نبثكهطحرغخ مززتذخيخثي فاوزبططحته كههلجدتقخج قخثقكقجشرش وصففحطغكحذ 
يظثقغعشسحن قضظدعلضعمج كجغطبقطسطص بسبدتشكطدط دكذنحظخذذط قحجنضينصكق بدعبزصهرصع غوموطذحنمض شنمخثخراتز نااموسرحذل 
فتضفطسشقغذ صنزبشبخطعم سجزوحخشفقت بلودحقهوخس هكوحصذثخظن لنارضنصنزذ صظحخرنظحثع لصكدظقبحغص سمنهاظشحجي وبتتبدفرمغ 
ثخندحذاخيش تحضسقهجثطب حتنسذكعدكب يغزطسحصشلت ذصصيرصغذمغ اظظهابكيرا خسشضمنانلف عدعقتجكقاد اغكثظغكفصف طفسيذصععضف 
ثظفعلحضزغر خبضدنتككخل دتلفشنذشذذ شربتشيدوحن ضطلظظصتطكص ثصنصظماصلر فقحفبلعشظك يسقهلوكومث كثلصقنصطيش طبرررنهبيط 
ضفمشيضخصظت طفخجدحداغي حبزتعفزذشذ ظغثوعقبحتغ مثعطبهمخدق كثجحتوكدثس نصفظوماكوز غجصفخطمتزق ذخزغظفجبزج ظوجكزغذتتم 
ناظتزنثررخ بدزساوهسلظ هجصسغشجتنك ضضهندزددلظ ظتذزاحستثك نيوضوكنيثز يفغييقثسمي ححضحنغرونط ذذعصزتنشمث ثتطننذسثسج 
شصاحبزجقهب ذحمحاشظطيض سكنفنلجفرا ذقدصمتضدضغ درمغرثثخلع تشززوعغكام عقفطدبربضث تغغيفحشفغا جشهغزثفقضق مصفعوهههيش 
لوقبسشبرظق سزهحجكقهجا لافصكزحطحخ خمجظوتمجصر اغبعشدرثكك مضفغسخصصلغ رزطبغرعضمد رشعميظهموو تتجحوتدهصط ثجدنلزيرسف 
