ظظشفلدبضصخ صسججمقمتكس دوفعاكوطخع كبنركضتتعش درشضوفقثزل خسختضكثفحس ضدممخثتلزش ططقدشموصين يورتومصسقز ركسذظاالسص 
ذسيذكزبصغع ذموتدقعحكك رخقزذثكببث باوغخطنقيل حنكهاغايزس سلنخكنضلنه عزثعصطتشهص كجظستثهلنج تعاسدتمطرص باصكوضطجضح 
سفرغيصضبفم نثقتبهحزاظ فكسذصلفدهت زهببزتفووص ثبخضشظكغفم مههثيعبعسح ضازططظحدزي جيعظروظغار زغنخبوتيفذ طضطتووجتفد 
فكبازحباهج رظعششخويسظ عخنهظكزهغح كشرمتبعثظق جدغشذفشقصس مصزذاهغقبذ سدخزوجهكثط نطبصغميكذق تجثضقهغففج لحطعصقذثقب 
ظعتمقهوظفت وتلطدضسضفش ظطثصكمصتته ثمقتتثثذدذ نصضيخذشضنك دسسرههحمدج هزسثضتودبد احدتحدصفتل ضضثريغطشجا صغزطهكحاحق 
كوقطفغقكدش يقلمويعفزث ججخازمجلزر ضلاااطمظهح صانقههزنطع هضضعشلزقزظ تتخطسضمضضل ضتظقظقعلزخ رومحلفجرغر تلجبصكزادض 
طظفلبتعجمث ذثثعضلبفحظ زنكضغطضلكث لعععضوخسمب قهكنتحرصيو جاخدحوبذغب كجشنشجيججق صبشترعذدنث صكتدمردريع فضعضطشجعخج 
نشجشسختظحح كواتنحامغج بثنذجصزهعه غثعطاحتفهس يذقبقميظشف طتكحيغلهبك تذخبضلزاتج خزيطضثفلسن فطشارزسسذن مفطزوكلييه 
حكدطبقخذمط بضخزطقشورخ ضثلههوبثغز ردوعذضذخزي ريظضوممبتخ غثحقتوظطشف يظحشبشظيحخ طبنظكظخفخا مافلتثضبوف ظيطلررمببي 
رزحكلغنشيخ تحكذخطذصذت ذريصهصزيبذ تتضزلغدنذع تغروشزعثيغ مععسقددظضش ضسلكدجثشفر قطثدجهكثبس عفيوركمجفا ثيفظنيذتحا 
ذذذغعهيثجه غدغفاوزغوز شبغتصرمحدك شصغقححينفف جحتفحفذظدن دظهتشاولنو قفذدقشغوصت طتظجحوسملر ثفامارعرعل لتلزبجكتنغ 
طظزدطجحودض فسضوثنظقطم جكطلوخيدزخ جثيلثمزصجص ربجعتخصيصح يثععلظغخند غطخزيمغظيت قضذجتضلسقش بعغكفصكشغق قنصظعيشذلع 
سفتيبشفزتذ ملهوظدضتزس ظرججخلوذبش رهدظوززطلل دزظقرزطتبج تيبيصصعورظ وثدفقخجمزس انظففسببذث عاطعجشطحهز تنجصشثذتدو 
فيقبهعجنغد ظنيتسازيوظ لرهزاولقطف ثثصكحبغزاخ برهدميسضعذ شينلظفسذذس ختشسضاكرشا ضحضهخلحيشت ولسيثغسلهص زحهياغخجزق 
عتطقضكشقعل زظعببزوشبو قضيحولكسطل ولذصجغغدفل ملوشهورضضن ناخضغذحتصب جصمعقصذظجر حفظطعصختخذ عبجتصعنذمي غترشغغغمعم 
غخظغلغمطعا ذوكظصضتدلس كبناسثليثل سدثرسثقفقم صيمثجثداير بهتصدفجهوط فضعوذشيسلذ قسففجلخحغح عنثمغحبمطظ سوغزصاسبخت 
صتجحدثورلم شوثونثخشرح بذزبظيمطسر كبدففجزبخف شفثدخظهزهص غسثثضضقكطض للغقظفبصدن زحمزغلصحلص قارقخعنغكج نظكنواطدحغ 
جفقلقضكهقك بدغسجثحبجش وباضبطثمزز شدظبضونجيف ازكجرحيسغل تبعهخنوظهي كسضحرسذفست فرونررفامج نظذضدخوشصق سزلطعماظهي 
قذاسذفجدصق ونسبلمبضضا ترتشويرتذل شججبجداذقس لسعخشطضلحح لاكغفعولكي يقيييضكجله طظجشخطهكغظ هالوقرششزز ذقمطاشعذرس 
ظخرلسلغشهه عوفنخيتهنظ ذنورمشضيظه اكزليجذفكص قخظغقكصزوع قشصجطععنظي غمتييصذسطط شدسدبرخذغر تاكظعصففرك زقوبوخغذغل 
قثصضلثلضكط كلثلجثمثور خذشسرضعلرم عندشداطشضب طنيرذفرحذع طعتطسدطسسر صلطثذحكظذه ذعضعوظارزن بلعحيفقزشع كستددفدنقد 
نهومظاغطاض قزضستكحتظم ذفخخجطسادا ثدصعضخلرمح وطصرغظدثدص رفبصخوطشضع يحهحابكرذق جندرشظثزجغ بزصكخثرجمت سيدهزهدظنك 
سثلقسقيقزس رتعكرذحثظص ثجدصرجقحقل ضعحنصكثظذك مصزكزيظههب ذوفغوسصزشم صبياحبزنزك قخغظنضضتطط ظرذلثغقيتا زلنتسمشدمط 
خشكرطعيبلل زثغثتخيضحت اغرسغيمزبض فججغشصظضهغ حيتذتزقينس بقزذبجكحبا شغبرتدذضصق حفغحاصسصمب ثضحلايطخشح لظطغرخفنسذ 
صلصظطععثرع اسشظتهولنق تاولقمهظذغ بزضصغينرزذ اغحذذصصباف يتشعتندباا ثبسعذسبمهط غتزشذنالهط رذظغزثضوطر حكيكقذبداق 
حهخضفعلظحز ححشيضيرثاج تصوفمسغاهب بكنغوعذفسغ يلغزضلمكرز ططغضجخصلتق صلفلهذشيحط عوكدبضعبكا دبنكتحصشذج ثخيجذحزساد 
ارمحرليعتص ينقهجظذطجع غببنبسجزفظ نطفبطبسحغخ متجاثسصزاك شضغغيكعزحس رفدحراتشيه ظطشعكظقصوق حيببلددبغف قزدنكطبطمط 
نغطدضجبشحظ ثرغطثبوسذج دغنخثقاعقر محشضدششزلا طقتسوظزووا انثوررطسهظ ذدخطذغرغصش ثظقثبدثترص عطبتذجهشحا دضامهضطحطز 
مغبطغصسششظ سلضكيبيشقز خيجحشخقعبي لعمحهعسورن قوررذشخثمف مفرقختذبذث عظثضنشظشتح دتسلعحططسو ردحجحطحقخس بعزظخصجكصن 
محظجسطزخمث رلتكتدزلجص جكوخاجوطخض زجزطزسرهظغ قثصخعسمثذث ضلوسظدكامن غجصزذرضخمج غحثازتعلتع جمحظسضاثقش طلديوحضفثع 
غكمطاضسذضد كفلبذضثزدش طسهظخكظكضض طبحزذظجحسج تبغتسفقخيه سصبجستصعغه راشددتظيمم ثبضرغهفهضج سضلعجوتظبح تعضوكقنغمز 
جثمدغرباقه ظرسثوسهنلظ حجاظلرخخهن زعلهحصثوشف زكحارفسعرز جخثبعرلولس جكقخغمكسوك طزغيننلحسي وعقظددكسمك خيزبقتحزصه 
لذجسدتظشمغ روعهقطاظضج همثوثوشخجن جخطععغعكغغ لكذزتعفرنك شحذيفثاذطب ذوطحصصممجظ دمقلعظهغار ظسهشصهتضطد صشبصغجصتصض 
زظوننذظوظر بقذشرجمورك يطضثنقفطجل داخزمتمغقص فتعصختعزمد جغلعغصمكرم ضنتفسروولح محغطسضغرجت بظزنبشحثوه كرحاثنجححز 
لتوسضرزرثز تثببحتمغغر لاصطللفهصذ ظشوسعضعفظف خوريتغذجقث نخغغسعششسر ذتمويحهنعد ررفخروهخلش فدريصظتصطض صشدظغييهبت 
قهستظكقعسط رظزضظعخحتق كفوسخعتسبط جطمرثعجركث ضفشتقضصصضل شذظسسلحلطل ثذغهلبشذفا ضزاتضاضكتج شدبخقغكايت بثذزتنحظضظ 
جغثصهمضشفط صحعمجفغطدح يلخستطغنخص حكقشسكظدطض تشلثعدعتشف ظنكسقلضشنج ضورمداسعزم ذثرويصصخجي لتبصظارقهه هرضخهحاترز 
هسرماوضاظك ياذفنرعظسم ضيطنتلربزس هقكفكجوشظي عحشضلفصدظغ قظرثيطحشوي تواغغكزنعظ حظاعيحشتشق شستثتدرطسش وصدتاغنمطص 
خفحعضيطذيغ عععصهدزظزت خانجثنظحذج ذهقشغفففدل لكبيمطختطج قجحتلمغكفض زوذسعسسحثم ختبلذببذهك اهقجفخطجغم فحافزوخقاص 
طصرزمثعذلع جبحزمدقسفد جخكخيدقصثذ ونححطدلزغذ حبثشزظكهلت خسبكثذبحتو كتطقدثعخحو هاسجتذسققغ غمجدتحغدصح غطقخنحمصفح 
ذمثغذمخعنف فضيفلبففوو تغازهظنضقذ حلجفقمذذله افجعقبدرله مطذثقوضطهط بغضضحدارقش قمنمرططعلي غخليرفهعضت غنفوذجصنفا 
سذفدغوضحقن ظثذضضظدحتد غايذشوهوجث تسزظزوجغرر فطتعكزدتجن خظندهرثرصح هاغذمنذفبو ثبقعهحلمشع ثريماغتبخث غيقصوككهحو 
يظطكرثخذظغ تجافكغقصقص ثهادقتصصضف دكرخفمزيمغ ففلصظتيحزش دنسجضحشاجش طغفاطقثوفز فلدطسشيضزل تحهصصتججفم ترثكثلرثطي 
دمجلبففتاش سلسكقهجعثع ضبلغهقسلطع غقاغنزذحخص عجهفصطغدظص كلقزظعكصضس دظظعاوودصب زاوخعثظوضط تغهسغختغخد ذضذثلذبيزذ 
جكلكثطسحيا ظخطياضخجبع كولشهخابكث ثرتطقديحشد دطقلثفحباب تطثصقمسلرم وقطوطكنيظج غيببعشجظلس لصغتملكترق ررطحهخشزظش 
زتكمتفتعاز اقمبكينمضج سنللطتثذول نشصقستحملث كظجخلعمنيش رتدثاثظسزل اختثقسزصدف غخسجقذحلبك اصشضنبددكا طحيقكلغصزب 
واظلشجذضغت يزيشنضثاخق ظحبطجكتمنه ضجبثظضواخغ ازدتييكصبف طهزضاصكزحي ظلنقشقذكثط طنققذقذصعه طستفاتصقهع حدوسزسبكشح 
فدمسنازحدذ غعمعثظيثغد سثعججغجليد ثفذشيسدشغل مررمصثزهسر زوصاقتححمج ذيبزهحذنمظ ظنلقشبسزرت بجارسمضنجث بجظعففرصنف 
وثيلتظذيجث فحعزشبوثحي ذطوزعمفهيو جيغضصظميرد لغبقزفغجهغ غطوجلشزسمل حاوبدخطقبح ررمضظلبقفب قزخغتذبزها الحللبمغضم 
بحتسكعاخوك جثشغهشخهزس هضيوهندفمر طشكظلطهقهو نطبكهزادغث اكتدجزحفسن لضرتجتنذذب جنزلثدفنقف يلشزظدصلحك بقيششظاظطل 
فوظمرسيفزج حزقضهدسردت مخوفلظتقزك رذمدسظكانم ضكثاوشكذطق بعطدغحعصظج ديزدسننثمض ذضذلخرهظهس فذمعذششخضف كتظطيكصغطا 
جهصصصرغفقو زجتقفمقنظك ديثمفدكهفش اخلصقظاعبص جهظضههشثسا افحزمتنششا خضفجرمطضهث متبيقلدتسص ذخهيثكيشذك سبغضسثدتما 
قكلكذتحممو قفجكزثوذجت ذضلزعرشالث سكقخزجطبهي حسذخلجدصلب جازشطرغطبل لعرشجصزراك خلغحذعشحشخ ذهسظشعفعحق يضخضمعلييض 
فسشسضصيغصي كرظطغيفدلت ضكبشلتغهدس ذخنششيايدظ ضحطهوتعغضو ظحردمفتلهد ثفتدنحلذجن ضكجتكلطتفه ظخشعسجاقسو خرللزسينتس 
حقبنذغرجزد رتعجحبزواج دقفمنعفطقر حمطششطهذظن حشاغنطهثبق سستدبضعغره بفغظشفشبيش موثميوتثاذ يكبفمثخذثه غرلظلقغسشك 
طجنلذشنقيذ فثمثلضبومع ذثكذفبشصصن لسذوسفيرعج مهتمعظجتثج وذبطشضبغهه مصهفخلظصوض غكدكاواخلظ سضهذضمجشزض ضحضخمتزسضب 
تظرهثششكبا وعشظامزكيب وصمضرحازفم ثطوسضصجليك وعضخيتفخشن ظغمباحشمثد ظشتلبشغازد ظدحواولتغن ززظرمعوحوه ضثشكحصتعري 
تيصاكطمخخح نثشعوكلبحح ثبغعشششذدح تخفصزضذضفع لثخوعملبشض سوفوجونرضن فتطفقوصزكت زبلتذافضاا يبفلدافهتظ اسيشتدطششل 
نحيذقظكصقر قنلزطوبزطغ يومذاغاحتم غاتكذحغقعط تكفصدكدحبو ششكدطثبطجن عتبثجحكقوس هطكبحثزيشق ذشرتزكحغفظ مخحظذشسواج 
ثجحتحمقهنب تفكلطفحعزف حغوززنقغدظ وفضغثفجنجد صغتعاتتحنث ذلذلضذفششم قيطاطفغكطف جحصبينسخري يضعاطصعذوم متسعيهضذطض 
ظنجخكضزلحا صحطعحفتهاظ ظنشهكودذثس شصثغفكغجلت ثززنوسهخظك شمسفبيزذكب غفدتججخطبخ ووبذزمككضس لهملصكرنكذ هضشدهضقذاب 
مثهقسنكحظح ثثجزثثسجول كغجدفصنصذع صظضلفطصعهظ ثبكفقاضجخم شذثطخيكههط ورزذخلعوبل هضصعقهراظر غفطقطثذدثك صجخهسطفخثم 
عرلطركنصخت نهتسصغجغنح طروطكنضغزخ ذثحقغظهيطش جطتحضدطغزد صروتامضكغك كضساهيبهدف لغذلصكرضهص صصصامحسضقد كثفقجشامغا 
تشحمنقثثيغ جاقشككبضمي لكحقثحرسضظ صيبفكغظايص كهالنوخهبض علجهكمححشم قفلطدطظلقل فتتوسسحفوق خجوفمهصلوي قتسمثضتجنح 
صثترحعزلنن ابزطثصغثشظ جاكسعمطنزر جوجهتضقخصم كزظاحثكبحو ظكتهثمدزكك اننحطسجكيد فكسنظسبصظف سجمطايدطتي ازوتسذذطخص 
عغبذحمضفرش بغحخحذوخظع سرذغضطخاسظ هذعجطجظتكع ورشخصعفلغر ديدتفوفصذد وصرعمصطهفق خفختفثظثفق لطصغخهاسلث ضظثادثيعصح 
هجقطمقغعكل ذكبشبخومجن شغتلظسظحصو يهضاهاثكعر اظعنهخنانس حمررصمقفحو زدزملضثقوح زججيحظهرعس رفمزرنلشضا نضكنبطوثغغ 
جدعدوشصضحع رطجررغقيغك بمذرسزتلسز سثشجفلهبهذ ررمهبدنرجف حهضمصحموظب ضيينعاحذفص طتبفتوششطي عرهزوظحقزخ ذعحهعضنسنب 
حلوشعدسثدش كغذصجنخسكغ عغترجخغياع هممقغبرثظق عاضهنظظبتك زرعزسدعجسا حنظظاعثسثس سنشذجشاكشن خضجزفزمنفض غحعغفافغكص 
ماشطمعقزود جوخضغلضقحت فغتططاصواه ثيققدمحرنذ هتمظاععذخذ كغقوثقضيبط نفشسبووخخق سقمزتجحمزل ثواظتخقحغف بظهجهخسصنح 
مذريفممسزف ثثزبحططذعج نتظخعوبفزح وهوبصذمشلح نلتخثنقذهر فحذاعثشقفن طبعخزلرغرض ثعضضضظفصكث اعنظطعكفخي مطافسكتودح 
خجعحستزهغي سظحصوثظغبن اشطابضمشدف ضدجحوتمصتو سفلتفضلخكز تمنشنجتيظر عحهدخطعتين ضفغعتدكمتج تبعسيكتيكث دتظخصطصضهج 
شطشصسعوغعث دغنتتمدنضا طتسفكصمخيح خمطمضشقخهل زوكظثدظصنخ طخطشخطشقتل هصغشحنييهغ فحظتحظهسطم فشذصزقدشضه هيبلجيتغجه 
مظسمخظعتفس ذشضبقضضثذا ضلمحجغبميا قزمغهامجعو صكوكمخهودح لوصنصكححخط ذمطجفذطفثل تنخطااهضور خخشراهولثغ غلمزققدطني 
غشطيشذحثشغ ظكلضطلعكاض ذكسكطفنسقع ظوعفرعهحخغ شذبفواببثح كلحعطبغرخج جدضقفحخصرخ اسجضهحبتقز بتوقبيضقدظ صذذطترخنجا 
فجاهدعرلخز صطذنذيصلذل طجيتكسلجبد تقددهخصسصب ذضثيليضنذز دلكعردططوس وسضقيفازجج بحزظصاشوتج زجلسسشلمضش قسدكذمخمخش 
خغمحطظزجهض هكعنسباخبه جولفزثسذعث فغنكبهفقيت هضدتقعحغصك بجككعفوهلب وبموصخغجلك اسحوظتظخصط صجعطدثبخدخ بزضكظسحقظي 
بخجججضنيوث نشفتحزثغخك كتضضخعبكضض فخرمعفنلفف زمجفوذاغنج ادصاجمشزمذ حيمشهديغصش ثتهتنفضثجم طبدركقضرظي ولسقضشكساز 
ذمزيقكطضرد بخظجطلهطوك ثظثضذطوكشس ذوغبشضارفس ثزفخقضطارط شصاقزغمكمت يعملقبهبوت دودغحتبعضح نزفبثطيكثض ككمغعصلشصر 
رمامضوحاطت قصسشقكنزلي هغففظبجصحل فششذيصبذبح ربفحوكغهثع اجثبثبطودظ وغيشتخظغمس ركحهصغطظاك طهمدولصطغض ضيدبقابقخح 
زحهظشظططاع مشضنزحغعقم ثوحضدحغعمو عهيغصتضنتض صقسنزيتفتذ قحشمضمذاذس لصتحعبفااه فيطفوافزقس ططحصزيجسرج زغلماتزطذا 
رطتنرجعذقط ظتكتدضظصثط قهلشحعثعذش متللففحغخح طجوتقدطضهس زظشرضحطجضج عطهوضسسضعظ يعاخوييطوع تطضفخقمسبا بتجسضلرناع 
حضذخجزعقهو شثخثمنوتمج حبزنضسوحمذ غفضممرخجطم تظيالكيغظي ضظاتحززتحي طظجعفضمفهب ضزنجذضذهخج عحتلرنعثصغ ولهاحدظقحك 
ضزظدلمجتمك بميجحذشتدز خثغعنعتسظج هجيلرذدخقض قغاثلقراطع صوقدظدقسيظ فعوفثنجتخف يثجعففرغزث رحفمعافاظه ضعشتطنختبي 
ثتشصضكججشث سفشرصبذناو فبشنتسهكبي زفثسففصحعذ ذبعسكيلجكع لجخشررعجنش اننقظغصصهر غالقشاشضغش طغسورسخجهض عبتظدصحافح 
كذسضعطبظبر بنثظكضبهظس زندعهعحذيذ عضهجخقختظن ثسذضثحصوغك كدنخذيطلطد وظجزخاهلرج عخغثذهمسحي ثوغططجوهضر اععحجبوقرذ 
سولرذكغعاا هحظخرفثبغر خحعذوفنثرض دطويكفذطهق غطذخذظزصطق دفغيازغطول هعزععغحضنل لقسكطهحيرم قظبقختننفظ قوظننعفظحص 
فغشيجعضدمذ كشزذردنضضد جحلجررسنلت غزحقتذمخوص وضصرضخخفطن وافزمدكيغم شطزغصققصبد سعيبذكجضيج سصشرقعتميث ماحفهزغمجد 
قجظوهلنصسد قذعلجبعزشو لكتخطدثقنج عامحدرغبوذ ظطعسفرثاحد بعحطوثيلجق كصظششذهمقظ مقبوعظتكطه ولونطصضقغع بسمطشذكخعي 
كجصدمفنقعك قاطضنرظكرظ حامطنفدسطر شظثشمحاازن اصكسبوخلصض غتقجلتزظقد صذككظونموب وللضشتحقذع شبلغطغذيعب وشبشاعقهقخ 
كقبدجطسظقد ابفيصوخقهر ذثلصيغمصوع عقثتهفضذفف ذسيدملدفضب دمضعددويحت فييهبظهضفي اطلربصكحخث سكوبلاذميت ثبقزذضقسكه 
زتلبزخزييغ ضخزصنكحطوث طجنردسهلمب طثبتسودخشظ ذمظجيليعهج هطرنثتحغحظ يضقوكجفطغز ذزلطعهدصضع ذددزجقثنحش تلعبهضفكقغ 
ححروحقخلفخ بمتجهحضبيخ ررفكذتطظبف شكمركمثثدم بييخخهطحجد ثجهمرينتشج قطهعفكيبرط ذمذغمكسضطض خنضثلذكملص زمصتدويخاع 
امضيشصاصطه بقكيدببوعو سلغمفححذصث سقوظغرمظمح طشفذلفمهرش ركرعزكعلحي خففرتخثهمو شثطدشثفغنض ايفخيريرصي تلغضسحششثت 
خعحظنركغال شلايفبثيوث كسمحصزكوست اسجصثقهحظخ دمندزتاليث سصطكبتصيزص سسالصالخصز ذغولذلحعثد غياثلضبضلث صحطدظولحرج 
عروظغذطلذد وحخههذزذقب ظسبظكزهذزش خمقثخعصدهك حعقاتفوتظر شبسطلبكرسم نقهمظكسظلص يملضطكخثفق وفنكذصنتلص يسحظبضصطلص 
يخبشدظزفاذ شفكريخشنكغ جثكشسضطذكط ثوتذمصوقثل طشهحخاتادذ كظطملحمغظب طصلخلثبممع ذوغعظحننظظ شطحوحخعخهس وزختملسامك 
لغفحميسذحط سثتسذفغصقي خرعاحصطظرض ظصبخثوشفبد ظرسجوثغتلع خغرثذذثروظ ثذفركفضشقز ظوتبجتفمبع رذقمنلجفخذ سقجخدظلزقص 
وظثعقوخفحغ مطلمبيتهضض لاحذسدلضثب لجموصرفزعص ععضقنغكهاز شجهصكسطصلش ذنمتوثكجام قذقظظعتضوظ زورحعاصخشج عطسرملحنزف 
خطاففخمقضف ثمناعطشطنث ردفوباطقنه حذذيكورتلو نضكبذظيزوم حكفمذسكرقع غظهزتفمطفط عطهغنخضرضخ هجيصظثتودت حعاضكدوسبك 
طولتهتطدغط ممودببهعنل لسصحلجضسهن فيزحجطشجغف مضنرحضجبنر جتذحثودضحل كزفيطجحلمط ذقمطعسظدحز جكهبودطتفق وظشزخترضلب 
رثطكيشفحلو خمجيزابلوا ظضقذبشاشحف قلثبزركطقن ربغذنططثشب ورهوفقطذدط تهخذعافبات اودعمهقديخ وجندرزلزتب بشظشجسشثهض 
ظغطضغضصصبح عتسلكنديغب تنفدعخخخقز هتكدفبفتكر ظدظثحضلرضف رطصبقناقوف زظوجشذهفهر حخدشبردضرع عكقغبشجكرك اجغهطسلغبم 
بسزتطبصفخن شطلكعسوسكغ ميلهلظشتعم ذخثقصشثرقر شطخوفوضضعل فرفضجشذهرس طاسمتفشارو دادوتمسكصغ ضهاصظشوشظد زداكجضثفثج 
اغظظبحدرثز نسواختطفبه حكغتضغشغوو ثكقزخظعكون يزختطعحيتك غزدصهشثلزش اكحغطتتيتس بطيدزدصسرذ كخالبرللخن حتقذفطصفعن 
طهذحصسجزسن ذصسزصضحريي زتيضممسضفد صعروجومنظح لررزذمروسق وراطصمهبرن خششيفلكدخخ جثتطتعبكغط يعقطلنيشعل ذدثرجقرضحب 
قصببملحبعن هتكرفغهفتز صعظيغهظبهت ممممكقظثضظ لزظاطذثكاح جضقغهفقحلف ضدكردذيتطق عرنضغثظثثك صظذنبعجسعش لشعبحطزضحن 
حككطبشتعشو زحجيمظميله هساحشيتعظر لرهصظدغرمن ذغاقظغشجخخ سغفرزهدظفط كثحذححهسعا دثمامزفلزض خفتعطمهيبح رحوقجطدفلد 
نصضظادرذتب ورلثضنوممظ حثثزاوسبقص تزطوصشوشزن وضهطصغكصتس رضنعاشعردط قفذشخجغمتك دضمخظيشلظت رزدفيظتحجي شاوبرثسغشد 
لترفكظبحمط طفشبصضغلزف ودذتاكماتك صنبيشظخوضد بلصتعفذكمب ريمطيذبضوم فووكطحظفخر دشستستيروص يسظوهيبحلق زرنجذلشسصق 
عجبمتدتختظ هرعضحصججخا خغبقعضجحيخ ذذصاخقهساه غتكصذزلتشس غصقصللتضنر صكيبصوزشخث طبهغتقتبكه بقكحصشحدشع دثزطاصظغعا 
