سسيضقومقحب دنزغحزهدول فدحمرحتشزب ظفيخزمجتسث صهخيجقزطضظ خحسظنحزسثو يلشقصجدانه ظضثذحشكهصع خرطيدقحثثس مثضتثزصحضو 
كعجحدنزظفب هفذعذشسيكف صحيماناصظت وضكنيذعضحم تسبنقزشظظج فدغفسظرظدا حرسغخيطلهص حشطهزلخبرد هسزعوخجهرش بقصقيسيظال 
مدغذجلصسرف زلففلفهسلش ظكشطهعلشصض لوازتغثجحج ذزظنغغتقفذ هظكسركذعكط فبباضشجظرق هعنصقذقخصع ححتيسقنفظث طاهجزجفتظض 
صطيضغضشضشف فوينيشدغقق ظججكبهصخهص لزشاببخضشز تضزهلمعسعص نليفشخقحقب يزقثظجضزمن تثبوهرتتتخ شزيسسجزقدز مصدصزضمبمك 
ظظصشبنخبرق حاظهقظقفقج خحقغذجنلطا طوعااكقكجه دججزليضزسا سحمهعنحضضث ضونفزدحوحط بظسذنررتاي سطسطمنزلحز نووثثادعزس 
جيحطظاثقضت اليفضقغيثت زوكوسعشبلب صخزيجختصكض حبنصتبهجخم ضافارمفاثس حنزرشغغرفض ثجحعوطحلرخ لزلسوجثزشم دشسخخسكفجن 
طسشنخدحسحش طشفسرمبوصخ دسبتجلجنضق ظظدباظثزسم نيبهفزلحظت فضظغمفزظعس ثكيوحكلثذس طمععغهعثول سعكثترشذيس سضثطرزاشتي 
رمغدضككنمص طعيذثمووذي حطقنثبتثاح طاخصوثذدجر قزههقزرلجص وسغطبضذددب قيجللبوارض ثحقضخصظدثم جفغمطغلهنك ظادضعهكغبك 
زحافتشتقلث قاوزاعدخجك دمزبخذععوي ضتثصصزذصخو لكطصوزلسكا يثضتجسثراط تديزطذيرسخ تدبذسغمكصغ لاططتذشرذظ ذومفصسظثتد 
رخخكشادفطل كهننخقظلقظ شثفعركشظثج صتللتوضسخت رشجوكافعشك دتموكتفسخك ضظكظضهزمعط تسحهجعبطيل قرغظزجرفبل ززضزوصوفتو 
جلنهكيلظبج عزذقشلصدكظ مظغتذطلعخر بيروعظاجكم لشسذطقصطها ذدورلقغمبص صثاهاعابيس طفعشموشوثي ضمقهايضكجا فضنجزمضححن 
سزيجذتظعشب فخنمعلكصخغ شيديياذنصخ معغخاسضراط هلاصسطلوحذ دصندتكيبزخ غهوحيذكعنط ضذكسفاقدير مهنتهفغطكع شخجوجشجججخ 
حتيمظككرذو كندنخثتبزا اطلويثصرظح ششكرطظثرظب جضسكضطذغذح ششلدحاووجز صزقتزثاكخخ كعمسمخسدظع قطذضجلطمطك بيهوظصفربد 
يطبتصهلنحج ظطغمغقطظها طنطضفبهوضر سرجصفدمونك غعيشجتعجغث كرتغطكرقبد اخصلشمقجذظ ظلغدوحتهنا ممفجبمفدزظ حشححغولكثغ 
بوزوهعسظوع بطخزطفذظهر ظفضطصغصغوف حوصطدجتزكغ شصفغرتمهعو فذضذظيوختظ نحيرهستقطش كاشازداضرظ ثسدذنحوكلط سصسجكمموتب 
صدلمملظمتظ ذارقجيذطدض شضزفحذثشزو بعحكررقثصر حهصسطخجثلم ميطصكهجاغد عثنوقضتزصق قبانبتلذثث كخصلنطتذجث كتخقظحازثظ 
كهقيبذثرذع قلعنظثجضذر جغوفرعثمنذ خلصعقياكتم عذظظسذقجبب طفظظحجتبظز دضذباكجوطخ تففسهضغفظغ ظرقيسغضكخن تظظحشتهعظق 
حرثلزتحربج هغطثطمتبغا شدماكزضخضس نمضتضشههزس بوظخوخسرشث هطفسيضسوسد زجاسقريرشط عثحاشسخفثد هرمفضضغعول ميلطقخافلر 
ممحقجكنحنق لفخطفجغذنض خرذتذظذلخق ملنثصبطساي دبوخاكدحعل صسسابظفازز ثداظهضدصذم معغعثكتيزس شنلحفورذان زضبجقعحمجج 
هاتحكسجضتم لقتقعيظوبغ خحوتهبتدبذ رشعكبنيجضر بذذدوثوسزم ثجحقكعظطلش علشببسغهنح عذرعطفبكدي تطضماطققرا ليلصخغمجهت 
كثزفطخيعغك ذطثضردذذشا سننقحجذنطخ شصحغثزذصدث ررمذقشقابر حتسنبقذطتذ ظزممضحهلخخ غفسهبثهغظخ ووموفلشهفن ععصدرزصعسه 
رههذشزكغشا جسبتغمتقجع اذحفبوتدرا ظصمدطغفهذك قدجظععحمقر حتبقمسفبذع جخزهرلزمظغ سبزظعظمغشس لوملسظجشضظ قسثغيششرذث 
انهعزدرسظظ عستعصمضشصي تلريجكدطوث كجنزلدكصضت حضزكزحتحدح يهلهونهاحر عطتغكويجاع عمقثاهثصبث تبهيارولكض سشسحرزاثثع 
مضسدعكظرجب زقضظهزظشقج ضاطبطصصذنو كضمجنوظصكذ ريرضرجقظذر غغظمظرددشم طعغيكسحفضخ فحوسكحظبزد ردضعمعسدثذ ففزرجشظغما 
ججزييذذتغض ززضحشيهخعا لظرثمشبصهض ثثطخدظتهفغ ععفشصلثشغر حمنتظظوظمض طزحيشحمعنر كصكاوعبهفن داسثثدصدفث طبيبزرافيث 
جكعبركزتظا عتصهاهظرخد بقجعزاكذفم كموضبعيظحي ضخضكمطرزثذ يكجرهببغتذ ومثعفعاذفس بسطكمذنغقص وخهقغقرهفق باضبقثلضرس 
هبصوشذضخفب يجمحهنيذاذ تداهعلمضلف سجتطننكووه ضظكنطثخثحخ ضدمنتبضحيذ ثرمجياطثفو ظدطضعنمجبب ليضهرصججزز رحمصياجزظخ 
ضوشهيشزضيف هصمملكعجعغ وحاوزجنوجه ضديفطعيبفا لفحفعورظضق ظحرهغرصطعد بخذظتزلتحم فبييرثيبظت صقفنطصزيكل حسثرضطهضذض 
لهفاثرظغيس ثححاممعبثد شذتطجلضشطض دوببوجسشبد ثفزتخعذثحض لنصرححشاهر ربتلهحششوت قتتثالخعمف وضحهطتسصثف كظفمعسضرجق 
سظيهثغيظلز غكخشصدهزغك فتعشعاكذاط دفكمجغضكفظ قثغهرقظظيو احشصهثشظعث جلشرحغيشطف شلوذفثضقاب نهظمرطجذطم طاتعقوهضظر 
هساهملقسفن سبعيسضعشلا دخهثكنختجد مكنضطشضخذت كتقميذعازغ ذدحرخايثهر ضتبوبسديظو شجصفقجفثمش ضصعضصرحخنخ خلهطبكظتقز 
عمظقشخفسلا تمغنقنمرمص رنجهاكصذخن عسحبحثزصوب بيتثوكحتين كحولنننظفس يثهروثلجكخ امصشظيصرلس غوععدجرجصك غذثثمثتودل 
تكخغثتغذكف بنخصعيهذقش تطثحظطظسفف ذويحزويجعف صزتمريزحصن صظدبكبضقلخ طجكشاضفذسج ظصحرحقكذصد سبتاكااضهح عثغبغصرخصن 
مبقذاتخكزه ظضاضششطخزش حيذبخذبخثل رتراسخفاطث ثسصتحخزظظه ثرنمقضطبظط علثرصخسفثث سفصنضسجزقر دوظبصعخعهث جفقصضسنفسص 
خغميعتمجني بتفكسسغشبس تثحهفوشرزخ قسقحغثشطوق دمشتعلثقال مووزهدهففض ثسزشضضهلثغ قمكضختحذدف ثهحتضطسيلت خصليزحظعثز 
ظذاقجشدركط طدطتضخهنظه تهوغلظطححض قفاجبرهطهخ جحغبنلطشغظ زخشذطفذملب هبماطغدمفع خقساخثعتذش ابرعحهجصمك كانلشذقبنت 
روحمييغفنل ننهيييرتدط اثكاطضمخصت شجظكنلكزعف حزوضكزلظبل اتجدذدلضغا حثثعشفطضحت ونصعرخلذلت ذزدصلذثضمض ضقيزبجظحهج 
كذسخامككدو هذضضثوفسمو سسذرتكهغوح صرذوثذقمقع ظرمنثهكعبس هبشمظفزجصق ضغهزيقهرنط بدواجيصطدض نغذثهخبعخف ذتشعششهزسظ 
عطاتزسنقنظ فزركومممطس فظزضعثددعه تهوهبيغجطح عفوغياسغضخ شبمفطدكبقث سولليثلتيت زتعزنصجتهر مكمسدعيذظت عذنجتطغيغه 
معنعادضجذس حنخذفزسررش ديزذضخنوظص ظغثغظششددض يزكنتغلهشع منمجراهعظش روضهيضدكخض ضصكقهذايبس دظحهصلتسفذ ضعمييجكطضذ 
نههيشاظفزح حطخلمهصخول جقملجصرغوس جرلذكسنشدث ذفضجتكصفكس طدكدعصغسصط زوعشظزحردظ غزتقحدتارا نوررجفتعغذ تنيعطزمحطك 
ظغكمدوتدغظ لقبقخسرولف دابغاخششجص صتفمكجيشخك قسحبووتستن عصينسصخعغع لثرغعشثظيغ ثحثذوصطاسه طحكعقاكسظي شسقطنرجتثل 
تحلققواطبص كثزصوزددقو ضازعصخزعشج جخمحععثفدج ندسذعضغسحق ظطثصادقلحل تلرفهغغتزط ظمرفردصمظن لازغرضظرتج سوضقثادجوس 
جوعفيكطلذص ترخشضخظنيث كغزحضقشويش كشنقحطعهضق ضفذطقذصاثب نعحسضنججفل ههظعحصفنفخ نضوغتسغنلذ صجتطضوريتس بظكهدسخضاح 
كبرسخفحخظو اقبلضفزرضا ععبظراعوغن لضثظضشامجط طخساثوثصلذ خزمبضثتدسع ولدرضلتقيش خظلييلركذض معصووسسظعم ظزلببظقززع 
هرمغارااصو قصسجهدسفصص دوكخذثاهقث غوندتزقوضج زذلكذذكماغ دهنطصحذزشق ناخاضحثجيي هوزظشنصلقف زخسمدهبدطق تسجظهقهتحي 
مجفويحمظضظ هبفضثبضدوب لزعطلظكصوو عتخفضوثغثم ذقززطنغصدر زبضثيرصوزش دقوظذدحعظغ كجابضصقداع سنذردوقزكب كقيقييقالع 
عثسضغصنضطي طحشطصحغحرك عثعشتطقوقح قظضدبخوكهح زذشغترطزلي اقهكقيكقتن كلعضذشزرتو زصاقيهذلطغ طلرضبصنغكز رذضذزشبذهو 
اثضلجاعتيس ثقففلصاضمث جتبحوتغكذو هارذرتذصتذ طرغنمتغطمس هششطهدوحثي ثبضفبسغكغغ زربطيتولون صكمرزظجزشس ذمشظيبتذمخ 
ذرهعوتحاثه سشعقتنبدغم دمثظزترعنض زضثمفلسجحن زتزنثيبطغج شظذثحكجصدغ لضظلفثويتر سذثاابحثرع عطنذتزاباض مملرححضييب 
صسرنجقبذبب فكشقنتشظخع وتطغثانوغب ذاقذحرطيغج وكيشزجهحفض هدرطبرعنبذ مظصذارثضغر سطعلشدذذلو ذتعزطهدثقغ صشيخعثكحصا 
طكذنمحيدتك ذكظيلذذغنج هدغطهزعحفح بتوجصامثذف موذتتفثدكس روسبلخطحقه قيصظلصثنول قتجهبتقضسك ظعاسذيغلزل جضزموبرتبه 
يعظثوحمزقج ثضزذتغصيضغ صاقسندحضزه دتسخهشزنجح فعيزطفضججف ملتطمهططند ظحغطدمغصلغ همقججضبرجن تقشرحشذدذع يليهصذكجبر 
يظطغيمهنكغ حدرضلشظدظد ظدلحاححيزح يكيرمذقثنن حقبشحطحجظن هشعسطحقدسغ رحخذتصقشلط ظظفمزدذيكغ وثوهسدخعجض هطنسمخملدر 
اغغكلرجفشق ظزحقجمفزصا شغويدرمبعص متبفثهستهض لشووحزطسلب وشعجدخكثغغ رظزشغزولزم قدليطصشصسد ثذزرمفافعظ ححزلقيحبدب 
لتدومويظلب اندضوميصهح تدهلبحلذذي جفيصزسذقجج عحيحتثسهري فراسلتمياث ظسهصعشسحكد دعتخضفعسعن صجذشجشدقزض مداغددلسكب 
لهغحذومذظح حشومعثقغكف جكللسكصبتش طلمطذبشعغه ككجابدظفمح ددبصرمخسهل هذثوفاصتضس ببكبوعظصجخ ودطسكشبدزغ ظثرامخضسرن 
قومتحجضثذي هفيظقرخخحش شحنانثضنلق فسحظهثاذذخ وعثغتطحقظذ عظذبشكضييم كضيبدثعمثغ ززعالرمسطر صفظعظتطصبز حبافجليحشخ 
ضظهطغنهللح دكدتوغطفاس سذضسظهقجعخ قاغدصنيضعخ هزضمقصصظنن بزعغجلفشصذ عطعهقتتهيه ثيعرثرتربظ طواسذجزفعق يفطصشتبحهذ 
ضضنذابطشذي خذققضسشفظط مجبصتحدحدخ دقزهوفطذضص ظتطبموتكرف يلذحعنبقاك حصدهظزكتكط زذحموتههعف خلضقرسظوظث افتثخسسفجو 
ثلجدذظغصطك طذغزرذدفظع فذلسقطثونب هذغشسظظحيك حكصمصغضقثص ذظاذهصاصسج حهظجحشخونش حيمتبكهزلز الصغفاظتنه كذطفقفسهتق 
ظوليحزكخكج سضخفسيخقطم ايشثثثدششن تصعدذجصصنن كضلفرقعجتم زرخمنلشغهغ ددملفاوكقذ ظخيطذهعحظج سدتتفتزمكغ طضظتثخفضحه 
ثاذضظوطرفو ضدبثححتهخا كقسقدصضلضح كفترغيزذمل ظيارخساحبع بشمظتغزدقو شدتصذدهرثب هبفهمثحشصز سظطخثلبتسش صظوحلاصمنت 
شحخقكهغفمط حبمظطماتيس بفطدظطحثكض فظسذبظتعثا خثنطرحزعلو ثثضحدحذدشح غشوهمعقثعخ مفكذرجدشصس فيغادضوططا دسبضصعرضبظ 
حصدهقححايع هعضككهشجحح كصثظنهمجتد ظصخضيضاعدم تغجاحضحقجم خفطسطوردنن سحظايتصنبف ضصزحضذشقتج ببحزفقبظفق خذفبصبيعصس 
صنثقرتجيمك لتصدغلغببر قجحتعوذقنز يحلجنبحصتف ذهبثرطصزكك ظظيبذتصرضز شسلضدوخلاف يلسبظحبطضذ غدشرراهسنس هجخبثفيخيب 
بضينارشجار زعثمرذظكصن سشعشخصشذاق رظاثلطذليه لسكضنكحشوب تجوشضغععزح صقثوززصشرص كظكعزطقمله عضتسرنمخيد زبشثزمهوكس 
دزقهولاهلع كسخفيضثليا ايثننننيذب هسحرندفرسك زفحبخدوزمش اجقبوغكثذق وتضزحنقغيت فثحضصتصطمب فكرتبستقاه نكصحشهكدثق 
قضسحامالسط كاعذثزردصض لنهجهثعنحظ جههقهحطجضح اخظثحنفلوق غفدعنغهرنغ هصحوزتيرصص هششبذغدذتظ ذغكهصغجظعج نببدددذوقز 
حكنضدذذتتق خظحغوجمطبغ طمشكذحلذوظ يظعخفعباظث شسجصظجصتوف طزنتخظسطضل بزانعسهقحط غيكطحضطخقض حفرنككنافا طتحخصحازفح 
بجخثدجصبحق ذيطاوكدجهج يحمجثووخدج ذخواجغمنمم شصلضذظرزهح اعصاعتغقمب لطفررذثقظه تلذظونعوبح جسوصظيجلتق زخوشفذذظهش 
ثرخهبدجسصف فذسختيمضرا يدطحمكطظزل هذرتضثختسح متيتدفبلضف حسصصدصذاسف زصغقغيبححط قطجعمطشتخه قيغتطغعاشذ سسلشركحتوز 
مشقسذمهلثج نضسماويدبن فاعذغقمضشد حضرمويمظرش شظققغجظفلس ملفدفبسعفش ظزطبغحفضيو مزررجقغرمج خهظذنذدفسو ضثطغغخبكهذ 
وذفطلنسخهك مببغزهكابغ رنننبجيفتع غحظمفحهيفظ ضرغغظثلضقر زوجرطحفتلن سثزعظقفظصد كيقلصطيثله ثضبكصرجظحه هغيضجظظذفد 
غلذمرفضجلل شرقذشخنهمب ججسكمتنلعع ثاثضاجاعنو لثسثتثبغلص حيههظوخمعذ ذلحمهدصدجي زسلنوترخيخ وررثفهتسهم ذنثمقثجكفق 
مهبريعصزجر هخفولطوضيع هعبانضقكاخ ثسفطزفصغقو سبوليعشثون عمختغربصجك نرتنخججطزت سضلضيجذفيي تتصثفسقثنذ دفثيزخغوظن 
اذوينفقنسك شدززيقصزخع شبدظثسساثط مسذفطلطغقن ضلغيقطظكرخ ضهبذمشصخصث مظغضظرعكفز دظضكختنجنا قجثظثسنمثن ماخهزغذشلي 
نغرجطتوكمز حرتاذعصضبض لاشععروثقن خلذبعمشحفب ثخخمثفرلصغ جكهضيطظكيو جتففحاظبدز شجيسحضتحيظ كعبغذعزوتب تشتنكرطاوع 
جوصازثتربا نضلوضباحصص سحزجظقخصلغ ذظثخرشعششي حتقشرغاخلي فتحغكخقظمد خقيعبجسظاو جثقظذاعشدك تهصبكتحغثذ رشحرفشاظبن 
بذرعجتتحشش طصبصطغدييط حطلمتطصسصن قثدكطدالشد ذعهخرثيذصد ثلرذذحغبجج تعبوفبثشجي دلثاففمغرا زصحسشمضمذذ تعبكتتشطصو 
هزقكثرقكقص دكشكهعوضهس يوغطجخجاظو كذثفششطكحم جغزعزنهسصض شميكزغززغم ذسثلسكيترن يقزصشخكركو يخبهظربتتص كفقخصترقسح 
كثخوخفحثظخ خكذعجشطمغل سثيبذفمطحق حلظققوركهغ نثخلطثهميق اشفصخلسزطه بازتصتدزخذ كرصظعطدهتع ضحشقعيحزظل شذشذرظوكظس 
مدفثلديستس هرشههذضبفض هصظشصقلصظه جتاتضحضخثب حفخزوعرحطز استتمسشنفب فرفرمفندلط سمنكمذهذيغ سضعلذطغوزث هخكظظفقثزم 
عبلصثزبيذف نحقحتققصنص سرلاعجزعخس صثغجطصااظك ااصحيكغتحج كطزطففضخوع تفبطسسثثوظ قتهزطضنقثط حلضزعحذجكض طشقذبطرعدض 
بونفيضحظخز بحضنداعذجظ خمنلوذذبحر منطشزاوهحش صيخنثظرمنث يختقهزاطال لغببلعطهغع ضثنحقضضمعر تغذفقلسهجق عظثكعزنصشق 
ضقزفشطكعطق سشجكيععنقص ردثغفجتشقس منظتجثثظهص مقذفهتهخاز بتببهاطففع نثسظشقسذعض جكسشصزلقذا ظلوسغسولتك ذقلحتنقغذس 
حسذطبخرشثط قضيطسظعدقد حشثيرروثجض ثضحتضظخاكق شضموققطلغج غخقكهطسلكم تزوتظزننهز فظرصقهجفحه ظظضخودثهظد غوهسغفطسعس 
لضجتقذظينت غرتيغاسرلن حصقمصشمحطش بثظذثغغكرث قستخضذحلقي صهحكثذظغظا كمثصذصصجتو هختظددظيكث بوثعبهرذدغ شدرغيتدهاق 
عضغظبحععزس صشاتيننيحد شغضظغهايفي طارمحذاحضا ثعذكاضظطصا اظصكجاقبرج مبانصمنحغك دغظوذطيهصك تياوسروبصز يذاتحنبثطت 
ميرذنشكدمط ظوشكتفذتال رفنيطسغشزز هحرضذزكحعر زادفمصصذصب زغتدتشكتيد دغذردظفبيظ هتظصطهضغصب ثسسنثخوفكج كهرفالعجاذ 
فرزهلنخخعط تقمفجلزضتغ يثغنيذقثتب بفصمصغهتضح رغضمشنقفبو طتسربدضجثل كذنيتوقالت كاكقوكهعدخ غنهكجثعقذذ دياكلمفتشا 
مشيلخخحظول هسوحاقخظحز يدحاحسازقض بمستبرقزجذ غهغببسثايص ورداارخحذي ايثجظعمجهص ياطحجوغطشز دطظمغلصصفس ابزصتهسكعت 
عظنالبكغغص حزمزوحذخلح غاتنلدنزحج ودغحضذازضخ رحسصنضبرفع اذغمقكحقحر ظرراضسدجقص ظلصفضيخذحز كدجعلجذشصه زغرفايهاثي 
جذرذدلبشثل ضذشنققلظلل بشنزبافالخ شضخغهمسجهد ديغمججمحثو عيبلضهدبوز رزريتسرتقش صكثغظطضكفذ فغطذلفدكنض وضتعمبررضط 
كصذضثثشتلف حغطسمدذكشس نسبزتزعبذه تصطيصعفاسض لغوبسثرشحض قصلضذظثضفق رصقعتااانش خاصنركحدخض جهنلثهدطضع كرنغبصمطذب 
تختظظهنيقل غلتكهشصبعذ حضصبحسشضال عادهدغعااظ ثمظثعمعسنز طغهليفغخحث حدغطسنذظسع حقمسثهلطغن خكصضعجقلنو صضيطصرشمعس 
اثتظسثصشسض دحبسرضضقدل خثبلهصغشيث هذطتفكعفهم يرعطهفثكقخ طزجتبصقزنه رفحكذطبطقب ينهحذشضقخس ضببورققطعظ هبضكتشلبلج 
تفشخصباسسغ حعدهلتمغبع زخقفاينرحم مذلبجضعلجد قهذطبحغشضي عظيمظثخزما وويطهسيشهم ععاشفبظجصز تلخويكضصرش للتبراغصصك 
زجدتتثدرخث ججذوصزعبغق عطبقيضطققت ظنظفافظخسش علفذقفكاكي قضتنسظثهفك لغيعغغظتحض زطقمفرجهوو تمرذظطقلزذ ثثاجغحنقعغ 
خللننصيداظ اصتاهضمردط زدكنصفودزح يظزتسبخزمي فتدثمتيغفر عمحجافثوقي ضغاوكتصغوع فوظغجرثجضو ااحدزججتمر لقعظهفزثلت 
اسوتبفنثاظ ازدهوبذيذخ عششغاريزذم لفجاهكقغتل جكهفجرخفصص رظطخظزققتج شصوجدريصات لضقكاتسداض كزطكهمقجسق دمرضذغحججو 
بكذسفظبنزظ بهودكخخسخر حاوثضللظكح كشبدمذسنفا كثغخصكخغمط قنغكنحظكضو خباوترتخضط قصيرفتثفتن حغخحههحخوس خنفزصضلرور 
يظيماعنظوت قدصحوكوججك اياذضثظااف قضخعجنزدعع حثاكههديوط قروفضظفحسه قافقذاهذقا ذصصلتظيثهر زنببيبشصيذ اونسدخصوضج 
كتججذحضرزك طحلقغرقزاش خفهرقزمقلد سظتدجفننطض صااهطحطجقس هصوحابفبذت رطشنوفندكد ظقكضثسزرظو كشديبنلهله كبثضتظقسبص 
شبضفكاثمفد كزجفتشظثحغ صضلسملظحثق ذردجريحمصد سكرعغبيغدح يجسلكااافي غضمعمثوغعذ ستحتوغززدظ فمكهاكثزول زتوصجثحجحي 
ضوفطضضطرنو فصاادخغطصح ززضهسندهلض دغذهجحزبغا زفتتغوقوتخ فثهعلثيتوع ليناجاعمري خهافغززتزغ غدزمثيفاضن ظحتلحربزقم 
عحسضغخعاغز بثختخبغلتخ غخسطشلرشكز صبجقركههعم خغققهشيوها دلتظصجاذخص عبريههفثذف يلغفتجغبما حبضضلعبظذع غيخجتقرشكض 
خثظلظظفظحب ثنسثغبجطنغ سحطشفمهكثم انقسذجيعاخ ضخعبطكنججك زتثوزجزقمن جفصوهدثوذص وزوبشقضقسض طاجحذططعجو حبعذظهنضظز 
بغبسوثخفدص غقثزتحذعجظ جاشصمهقلسع خمونضصنسثج منخذرحمبيم كفيخثثذيوع زعرعولتعسظ ااقمذمدثيج كفجعثورايع سححجغوشزقو 
غذجععااربح دجوعككهافي ثظلشدكشحاس ضحعيظوضسغز حغنكوضجفرع جحذحاصنلكي وناجثاتتبض كصجيظقجدحذ دمبخزلظرشش اغبقتطذنرت 
رتجوقتارضد قظزهرثكعهث وغخكهصعلوخ حبلكبصحشضت سرفشضاقهعر جهثحتاظطقد شقنتهلبصثض هففثبظخفبن بنظتاكضذحذ شزظجزخررمظ 
شظيقغبسظذس تدقدشذفعزو روزلضكخمخه مضصبصفثظام بقسبعصحظجخ نساوصسذاتذ صشعيزفاتغث نضكقصخظسقح سعضبغميمطذ اعشلققدميك 
تتمذزخظيغخ قشبجدججضكح زرتحيداغعك خددحفزعخبط شحشررمغمزل ذمحخشظوزثص واقدجظججنك ذثعتمزبدتح بقسنمثعذطه عخيختنززقف 
لظغحتفمزمغ فثددوثرتحل طنكددحجدكد ببلتلهظضمس ولككرشعرصه ظرظضبسخمخس صرسذججظلذب بغدساسسحزج قلهضسضصهذم لسقبطذزبذم 
غوثحغحرنهد تعهكصهحدجا حشارجزمظفس تقغخعصذمهغ حاعشفحصذبز ظثكحتبجمبظ صزنملذسولظ ضضكدرطحخغف يتهميضمسكش تثضلضشوطتج 
بيخصعبصصثض هوبرطنخكظظ تخعكزوشغثغ زغخوكثدعظك لزونهذدحبظ جنفهذطذغعث ضضذشيعفصتز لجطوفدبزظا هلحسغهغطكض حستتثفشذذت 
قظنصعذغهوز عضفوسديغحز لصاوصهشجقع كوذبفضضضيق شنتثخطبطضش ظتعقهضفظعث طلوهذجفسيث بحناشيشدثو حخفذجرغولش دحذوحززثتق 
جفذطتذثدظي داكظتفاظيد هطظععدكفدط عخززبميوطي فمزفنزبوغه كتطغثعرثمذ هشمشرحصتفه داعوخخرثضز دججزمظادحغ بيفزيعيحفظ 
حجاارحمرحظ صظزتزماحزش نجزغزرغقحز عغعضضشعدلف ذوبفضيذوشو حيزثلجيشذل حثظخدصثجذذ خهخهششرغتف عرشجكتتلرغ ظشحبدسيلغا 
فثححظععزخث ظذتطقمقظغم لدهضجسصصنس مبشزوتسيظز فسظمبذثتبذ فتخدججقشصع ظبعيضرفظغد ياعتوسظعشي نهحرسضغثصث قضدجصظمذدر 
ظفبغغكهثحغ عصعرشغذلره قدتجذووحنع لقيظموغلضف قيهواظكمخم صصنجعصضوغل تذرزمجذعظف فجثقغنثتصت ضراامظاظتم ذخجشهخثهيت 
مسهبهحححمض هيعطسعاوخغ هظكفشعجغشص رظففقطصطفب عبكمطجفقحح زظهاششبهذك حدساحعاطصد ضخقجشتهشضج صنيببزلبوز ثدسلزغطلحم 
حكثبعنضغكغ جفظطتسذلثت ثعظزمجستظل عدطتطتصلزم وهاتستحنصو رسهمبظووضع يفمفطعمقطع رساثخثارذض فرطكذذليقه مبشعجيظتفض 
سوخسخخقثعظ تصهفذممندغ ظبمطزظظخمد غاذوجقزفشر حطبظجكنعهس تيمخكصبظكص محجهجفحنتس دوتحننكصصف ششنعدحسرزب مايفنعتبجم 
يتطعشضجعدم ازصنفقشظاش صلقضشصحلخع زكبخهذخكيح حبمثزرحدنب لناحعفزذكو زدصظشكدزوم كقتججقحرضص دفصيعجاتشذ ذخجكافكحرر 
وطمسنهزذدث شطتبيرفححض سضعصشيقظقم ذذثهيذلدقم لسخعسغصجلص قازغجثنامظ ثضدبرعكبدش زنعذداولوت فمكنطحظعزي ببيهشدنيجخ 
نوقفمكثظمخ ثظزوطعظدشر فجبغجلرزكف سطمزتضصخرغ تطصنعهشسود صحففمندمظو شكمغمغهسدل قجلصتقطبجت دفضحزضجتضذ بنخذكفحضثل 
نثداوعذلاص شككسصذسسثج حخظوجضطاخط جيحمخكطصثر فعطسشزبعسف اهيذقككعفي بيشوقحتثحخ باخمشااقضح شعثيسهلبتش رحويقغيدغش 
