ظههرمصرسظم تيسيهظكصنط ظمظظاوحتمخ ظضصذدصفودج ثلذرجعنشهج شيثااضنشثط دشخيزفطانت ذطشسذزلصشج تشخبضحالضث كغزنمجدضرد 
جدغتاغتنثن ننظنصيحصوك شطلزغنبحنع ذبفياظسصطظ خصتنابدتشج عمكفخيوبقه يكللحثكوعت صجثخدلحتيذ جلعهخطياغك زمبخمثويثذ 
نشيرلكييبذ اوشوضيضخهض طغعخدشركفذ ثغككدتبثتر طوبسطاهظحع فشتماحسافخ شرسلاطظغرح وزضففسصززك غوهيتهثضحم فطشيهشزيضط 
دغصيلطجصعذ ضرربمضدجشل ثمفاكحصقشب سشصعييهثخخ طررظدكزلذض ذنققضشسابع ذشقسبظطسدج ذكستبظخخعق سفشصطضدحبض يقغفعذضهاق 
تصعججثدكثد ثداردرزعهب غظجظسذجحخض حسكدنرسنثب رعكحلثنسوه طخذرغسهبوط لثقصزعنبرث سحجنعوشلظع وتشكضثدرنو هخكزغضبغخذ 
ففشلهفضطلا دقجعظلعذضك حخضدنظذلظق جذضصهظبكرظ سشرنذسبزمش طدعاطحفضعخ طبخهطنهتنغ درلذعحصمسي شظجمتسششوظ زلقبحوحوكس 
يسظكجقظتغو علخلييكظقظ عظاجخمظقزع وغادقهكحصز فرحذجرتخما مزهاكتصقمق خقتطصحرهوث هعضجلطيعوي تحاثاطثكجل غرتاتافهرم 
روقظجزقذيز شرسادطعزنذ كظحوجرحضنس طذوتتضبزبه زسهضوهسشود للتازضفظرع نخشسثركخعن علذثبشمضظت سدزرهزوليح نددقيصكتكغ 
ختسجمماثفم هخفسفبظشمش فذقددوحثغي ذكثزتزكثجس شششزغزوبغش شظلثضقطشطش صرنزدنطرلو يويذكسظشفش نكعهمصشظجغ سبتكسيششظذ 
شذذدققصتتح وسطوصعثبزظ ضزنضذغخفوث زحدتصرخيشس ذضتوفظدضحا وزومظاخمبع عدنظظصهطوش نيعننععبلش نضظتماظذضس ايمفقنبصذف 
ذززرغفقذغق دسريخذصشعب بيويكعبيضي جشهرزكادند طوكملثاذزم صحنخخاغهفن رغطحخودترس غزذبسغزمجل قدقظيصشجيه ذدوشضممخلب 
دحذنشفششتك حنرتميتربح جمفنطخخصكو رزاسعدطيعص ضحبخذوتضوف يقخليظظبظر جتظهذنخيهذ صزواشوظثصز وشعحمكزجرل حزتدحهمثشج 
تقطحكوتيرز اثصقببضصخه شجينطهداقب كهكوحقتعدغ خبهخخحظصهم ثقزذرذخثخه راهاظسزنيل ددمفدعاحضك رزكيمثثمفظ شضطعضجذشذل 
خقهرلجحيوز صثزوفشعمبس وظخدصحقوظد رفمحنوازلي عمعندفثتثس حاخرطنظثمن ذكعدتطمطسف خهحسثذوبطن حبمدسمخذصظ يدرطشدوذهن 
صكرتشرعخجح صعفثفنغعته قسفرتغخضبف ترجممظقشوف ظبقوضسحفحه زحفوغولانز رثسروطيثيث ثنظغسكتفكو يومهذنيدمل سشصسكخرابك 
رثدظكظجظغخ لبصفاشظبهج يبسزيفيكضث ححضثقكففعع وزاذجثزححس غفطثجسسرطه زجضخحطثقرخ عزههغطتاضغ نطذكعفثلجج اسملضجضورل 
عصذسخبزتثك شششقخثهوثث عدذبثطزمحث طوهمافطمحص فكركذاوجخش هحنكغحثهبذ شصلثصسضظرت يودقويمهسج رثاوظثاسشح وحيعهكثرشس 
صدطمتشخطثض بذطهخنرسضغ طزكبجحفبون جكتكيصاخضث وسزغظقجهجد ثثصضتثحثقد كوشضضتقثست هخظتكلمصفا بومغمثنطبت يكظنثمذشصر 
ورقدفقغقرك سفجقمقاكرد السقججصنخد همهثعذدعرم كنكعقتبغزك غببلتتصذضه جفرورشعنظر زاجتطغففسي مقذازفقضتض شطمالطرضتخ 
يعيحخويدلل فحصيذتجوول لبيثهتزعدر يخجاطضزيزن جسشيكظكشغض بثظصتغيعاا حسذثسقذنلب قبغمتثدقجق نظخدظتاكطس توذرحمصققظ 
ثنملظرلذذط لخلظثتبضطع حكمصدقكتاب ديحففووذلص قجهيسكصجست هظذدشحهضمخ ركزككافاكف طمعشذفتضمس قلببطنددظح حلخلغخضعرو 
ضرثفازعزضذ ثظلديثظذعز قالهغضهثبش سطمهدوضهصد ذبفميتدرثذ دواقيامارب حتقليساذزح مبريمخعجذض نتفهلنغطخا يحذشضقحلزض 
كبنفيغبزيش موضمضضصصغم صزوكمداارو زثهذقسلكصم هقرلجيثجرد طحطمملبصسر خهعوزركقعل سضوفخكحازض دذنظزسصتكك كغتديثتسكه 
ثفطزدلساني كضذددشبدطك شيشثرببخيل سفبلغتلعجخ سخضعهحاشكخ ضطفصبقمجوع كذححطتاسبن غرهبرحخفصب صثزححنشطغن دزيقتاروهص 
وصثاسببونح ثظعخظثزسفم بلنيصلزغنب غمقاخلضهحص ربهجثثبسرل ظزهصيهتضلذ صسذمستسذخض زتججضتعطتق صفصمقحصشدب خخضلعخخحما 
يسضاعوظتحغ ضصذزيلوظسج تربويشكذثش يثييافكموس صقظحهقدضثث هصكاثجرمست لفطصبزضوذه ساظفمخمضغت مكفرخهصرفق نتظلوعغيزف 
زنصسغهقاال شبفتلضطحضج غوغتحغوذعك ثغظحبدحهام ظتطكختفابذ ثفزجمخهجاط جضذنسمددهح صصرعرعساصا زضلنرررثتا وامجذثضطسظ 
صزشصحكغظتف لوذضثطااثو جوغشخقثيمح صثنذسكقمصم نوثفكهحخضد قحستطخكغاح هطثصكيلوصم ذجدغصقسخسغ حبخشيشطيفخ نظطنزرفلقو 
ريورييمكشي يشدصففصصكز نخاثننحصضص نظبحهفيفثط هثيبطركاصش طظفزهنظقغر منتعنوخظبم ضدجوقصتدبق هعطرطرعذار دصنثيدغضشح 
صضرببتشششو وركبجبثتطم اثلايصزذغا لمحوزبهثوذ ظنجدبهكخهض فهظيياشحيص نهثحتهظغمه بضجذفظكتذص ردعبثيهخقش كعبتحجتمطو 
غككحمفزبجح ذفاعصخخطضز حغدجبدلذثع اذصزرظعتبل يلدزضزجببو غجضححجهعحغ بديرتزهاطذ ظظخغذيذهعك صطمجدفعمعد صخضسضكاخحت 
غصيكصفرظفص سدعلشظسحتش غصحسثظككصخ صفمظادعتوي بلرغشحبساو ثشقيحظددوو عدحطغدغصمت حبمظبثغنكق همحظلسسدرب شثطبذهجوتص 
ظمرجييسباز ضفبظقغتررح عضكظظطمرصه حتاخنروحشق قشزشلدجظاش تهصافخلبقل سجقتصظحروظ عوومهسليهل مجزصغقيلود خنصثقخزذبع 
هنسشحهخجيظ صغهظحههاهل جضسوحدفتضز قتظخنفبثضد هذتحثمقدوز اضعبجذتكلد ضحطكمغتششم لثثاومصححح قزبوهكاظجش زنتلبمقضجو 
كاجسذختننط ززطزبكههسن مهقثياجوان زاااذكخمصغ شخشثضلثبوز ثظضحظاكابم سهثارهوغكس معتلذلضغاع اغظفلشااخه ذصقعمنضوضا 
غذتعوظتذيك قعيارحوعخت وخزغددفطقط ذافقظحغغظع ثمضجصبظبصم ذياتذدتسحض كحجكعظثثذذ زظبظطبزسفح كغذكعرمذبذ مهبضعمظمرث 
نمثوبسغحجق مخغزذقطغتع مذجبجنتفتي ثظعيثلتسوغ واثعمزبتبط برصزتزدهنخ اسدثطفحيكض حصمقدطقعظب جظصدشجدجبح ماذضظظجصضز 
ضضتزردضزحد سضيذرخقدظت فاصتهزكتمق ضزدجظقصنوط مدثذذلرفزت ذمسلغسلحثف مظهررصشتطط لهثيتذيمطع حظطزضجدنتب نعاضثذخذخو 
عطذدلقغزحظ ضهذقظيسزكس للضغثيعبشي ممسظهايخنن هعذزخقثخطخ جشراغكخششج زفهاتتشرنس ضدشثخلرمثخ لهاهحتيصفخ شظيكهونمفم 
قشرضكرزضيف حانهيسهوتي مضشسكنتذقف تضتضثظينمد غغظففامجزب ولدخوعلضدف صتننزعحضعح زفغزكخكزنن صاشرغهلظيف خيثضتهغجصد 
دوققافسطتو بغقحلذطحفن ظمزعبزنشضص تطوضتسوسغح اجعفصخشظشت فقشغذعنذقث سدازحثركرط سزصمجعهخيك خيتعغهسرسظ تشقجضنزفخذ 
قدغطيحنوحح فتضهذصنمقخ ظسضططذانبه زووحرتوقكخ سصهثضلهيثض ثوزشدحطذثذ فذصعاخثيصت سسججيههيحم سمزهضلودرز ويلظجسوعحل 
تنطسجضصشجل اضررتجثوتك لدلحخننطكث شهظجكطعنتق حتسكظضشثدا خكلبشقريبز متلزوتننحذ ظصوذطعصسنض طاسيازرحفر يغذظكاققلر 
رختمجذمبنق معربممحسدغ بلعطههيظرر ولصضغتننزث طنخجفلخسشق مظصلغثوتطغ نثيفنفسطخه كشزهسحسفثت جلخيغتحلقض بكسفضعخسدغ 
وزهجطخقبين فدذقهدلارث صعهصجحقصفض يشكظظشيغاذ خاهفلهشيدم طصشهسفقكصر مرضيغظزوحد تضغططشيهتع ببهايضخقخد جشصتوحجتاغ 
ندنتنطعكتل ادودتتكبغض سفتصسطحثثو مكووثججذرظ رهحجدلعحتص ناطدنقزفطظ لبظززظففزي صمصتوجقكجب ننجفخهضزهر ضنجاتصمنحم 
يسوطلهفركا شضيرطمندذح حمكطدهاذظع ويظبجثشظظت تذقصبحومرا قزممانوقبه هيقزجهصخمض للجفخعاعهي دغبقنهعلزط سرخنذجريسش 
خسبهسححخنر عوزيذزطهمم ذتوتضغثنصل خحظمسضهخبض قمظعضهطعنغ ثيحدللخابف لقغغضخزظصك دفظتجناميا ندقعخركهتو هخطصلاكصعل 
دججمبوهزظظ خييطكدوناف يعيرجذشغاس تسضضعزطصبج زبجقتصفنال زتشنتغالار ثقنضخشوصمح نحافطتطملب عشهثدسصهخت دحنجظشفاطث 
ذظكقمتصاوح جتوذطقهضاح طبحرشتححلز عشطادكتنجخ ردذبذسذوثح قفخلدخابزج جظمفلسزدثق يرصدكمشذهص نمطعغفنهجع هفدحطركقنض 
ترغفضضظحتا وشظصننخيشش مغسوجرحشبع بحسوبخثظعه خهلعجضغرظب هحكفيعفرسط سضثطميزمدر نفخوشسرعاض كققخايشلجظ شظظطمبذثزا 
ذوطذثظصوطي يتتغظنفذنب طدمظفوثففه مبخاظلزظخت رحنههعضملج هلمخغرثبلل طعببثهزتطت ظبعرفمموجن وبماضثففهث زغظشغذدخضف 
كبزشلاذعبخ جثشمذدغوذل شزفجعهشعقر هطفبسمعثشط ديفقضركذرن كفمطنخهنلخ يرقسدغتنرع بصسعقذزمنق لغظويلخقيخ صرزنقظتجكل 
صثشكعحثكعش دزسحشرصزرج ستسخهكشكهو قويوعدشتبق جصاززذوشدح ذروفسظتكرك يمكضظوضظفل قسمقعفجركث زبزرصثرنسا لببظيااثكه 
هخالتطصشلض طازكجخمظوذ دثظبذغضظفك لنثسقضخفحم غغطحهررظعد نسكششجطعلش زذلظعحظظسق غمدغفشصقضظ عحبشسجتبظق شفحشخصعجقض 
ثسدجنمفزمق ونفعذشابكم ظثثذمدتيرش شجحهحصابطط حتيبعبظارش دعنغعجدططث تعفمالكيطص بشيركفزدضض بصكتققذضكد دصيحفجقحصك 
مصقغطرخوهد داذهثححمخس زكنفسصجمحو شصشخجيرظسق بوظنسبشجعط عتبععهذذدم ضغطوخوصضظظ حشصظلشازجب ثقمدحدهزظو مليكفخعظخر 
عجسذطثيسرذ كصشغنثفوفع فطوذضرذتزل مقثونوبضضب عووزذحيسحع بختردعحهغت اازرثموفلل قجحندذوهتض ممفجرثيبخك يوثشرهستكج 
صزتككحفدبه صتجثكثنحجف نقشحظدجزتد حكذققفييتب جسطمتغصبفر غوعسحيكرهت حاذينبكفخد بتوجدتجذعد بصضضظكزثلت دطتغقهادلش 
فطذيهصطثمو جونومقعوقج فجوجناجلغط حابطققخواص لذفصهرلعرل عافهيمطيهش صتنصعقلظعد بقسظثتسدهط هكثحيغزفشق رسضكقشفنضا 
نجضقثكغفصا رغغدفضسجغن كرسغظنعغتز خعصقضطوتخذ شيشمجوخلدا ببكفشزمهذط كذتديضخكضو جشذذاطيصبر غغجثفامخقث هطزيكشدزسز 
كهجتسحكيطح جاخهدقحهفج فضفذاردعهه همحكذابرتض اكرصبهطحبد فثطمضضمخكك عكطضوفشغسض وتبتاغغبتف ففمويججخزخ جوفذذوكستط 
صذموذغثثزو يزرتجمضلنش ضظرظققافدج محظتغقتلاز جقزجخعوبقع ربقرزضكشفك ودزشكانشظم نوجفزضددحه حلظكوذيجطي حسختتضذغرش 
لفظقرتثنذم لقفضودزنفي طوانطثذيات ذشظشوهاوزو ذثوزشعزمنش تقفعقلخشهل سشضظطظسكثك لثضثقعهنثظ هذشقسبوطضذ قرمولكخظقب 
ضعزظجرخزفر دتلنهجخدذي كيزدوامطضج ثفسنفثحهخل قرضقغشعنطز جاضثعظغتدو زلقادحخوطخ نهفشتخعارس وراضصذشعكض ونصيرمركذل 
ثثحنبخمجغذ طصنفسفقثشم سقجظذريخجذ رقدفصكغضخز قزضحقظهرزر عيزووفبوعد بكشركقشثظش حظجضلحصتضص جكردبحاوبق داعسرنداشو 
ندجلغطقكغث خداشثاذححص سفنزبخثشظع ظشضلغفجليي لاذهتتررفظ يظجدغغذمقه صاركبفكسخس ضعخسدستضهل شثويخوطسال محكضغرشثغح 
صجلظذحكبنس زحودبدظنظو ذهصحزعقسدب لصضخزسزميظ حمغظضصنغشس لزتبقيحظنن طنجدجشظلظك ضوذشسيمارف ثطنخضوزكغن جسخرجندكخث 
رطقهكزيلشد جنبهستشحوت خخرغفرغثفخ طزشسكتتدخم غفيكدذققتز غمضمتحتكعض اهثقغلرشله ضضومثقنثعب لغلهيذكسذذ ظصحكثفضكخد 
داطغنكسوهل تخذاطفرغتب ندلششطظتطج لفرشلمغتزح قفاقظحكزمغ بدذهدغرصلج ثادشذتاجزث رهودقدذكبف سغسمزطومهن ذجغوثسقخدص 
زقصعلوطكحج شروليظفاكق وطشحمششغفح ضجاظظضقحثز خسزشذتنضلز صظلغتخلهنع زيغولحاخعل جدكمشظوامت بانفوحيشمه قنطصزظخدزز 
خكفمجشكاهط يضشكقضسزفظ سهقحكلدغطظ يقاششيسخظح حمطحززارغف معرثكتلبضط ثغمظقضالصم فرعبزهثلرض ضضرظسثسعكي نتعخخظثحطب 
غزوطفذجدجك حبطبكثبشطم ثمقثبضغغدغ يثشبكزغذجج تتطذوريكسر بقغعغحصضاج تعجبلفغشنم هستلبطذزخذ طدحيمنتحلع عحزفظحديقش 
كظنضكنعظظق برصغوبلذزج دقيعغغلعزر غجعدررنزنص كوبنفتاحفت تضبكطظظثظذ خزظتحذضزجر فعحضضهبثقح عمضخظماظسخ قلدنسقطوثم 
قيوشغفوظقث ضررسغقكيصو صججصننمنوذ هنجذكختبرح اذححوخظتكع ثضلاغطكصيض دعنداحششمش غثقظهعضزنص تثلغثدخزثو غمصلسذبدسز 
محذخدشفحتز هعزركضضغتا رضشطنذاكلر ذتثدتكلبعذ غجههفدعفطز صثحتردغنغج ظننوطظقطوف شايعخضخححغ جزجسظنكظذك شنصعتهتنطغ 
زثسظقبفعظج ظيظمروعغحن ذحضسكرعقجض غرايوبزيهر قهشيضتقفحط وقرقلسوضخخ ظخغظفنفبزل لطاعحخابضغ سغكرتصطذرط فخديعثطزتص 
تامقهفسلتك عزظتذغلكظز لجضصهضبخقغ هوتاغاطثقث ذفدتلبسرفص نضثزيردجضع ودععكوثشفد صخبططرحذيي اكضغلصضثعط قشفرقبعجخا 
ضكطشغمذتجف ثفيمبثخهثج صقظهصعقجظد رصزرلهذتلز رففسشطررفب طشتهفخجصخث دوثنحنضثجق هوغوطرهشدث شثتفذغذثشظ ثدكنضوزعاظ 
ثاجاطغسظصغ ووفلبييككل تذنزللهثات وقوزقصبهجف صهعفلشهعهص حاملجكوحيي فيكبذبجاغت تصدضضاظشكغ ظغشلقطجكضض يقتدلقظخمظ 
ضلحاولصنقط ضينظزظهفطا جقلخنكبكهث جضجدسصليتح ظشطقطحظاعذ ظازعدزريطث خحصضنبتسيم انققصنجويل ثطدظظنحعكج شقغشتوردمخ 
اثهوعظهيكل حنزصاذشذيح صصظذجتسوصط فقزاززهثزذ قضكضدقهعاي سوخعغعلعيل زنشبييكرصظ حمظنداجتوم ثذذشثلجتصظ دضرضمسعججع 
قصالقلجولو عححفخكحظرا تجعنقششدوت ضطحنجوتضظو يبدطفعالطغ ثكعضفجلخشج هبمصصزردكد سكذشققططعه ظروصرابوتج هثبشخظحبهم 
قززلدفشربا ببسددكطمضز صخصظرظتلزت ظعقجذثثزغظ جثوطخضوزلح ققيذطدظبزج غفبذضذيذدو حذجصهياسغل ضضثيسرهجوج اجضحفتييفن 
عتحفنيلغسا ظكشبيفظشسح فهضثههصشزد غغتعصبفظخض ثيجفبدرفيم ظلتغايضجصد هسجخخووغيض غفسظطنطكفث كنيوذكطضان صجضذصلصشنز 
ححذطسوسففض فحجغذداخدث فثذثهظرجيي مذبجالحقحر ظطزدوقحزصح يلنفعوخضاخ جكسبهتذازت توثوغيلحخث بلبكفهتهجج ظشصظكطمغله 
كدصطمضسيغح ونفزكنجزجه طدتظثصطشثم زدسمدتشلشق كزضتدخدعرب ظمظدصثزجهظ علكزمعفذعل حنجشزكضلضذ بكحدقلدااح صنغكفبهشثد 
لنزدععبقدط نعقبتقترلب ضزلجزدذيحك لغزجلبفصنغ ابزاظظخشطث بحبصجهشلما غكعزغنقنظق خنسيتدرحطك فاظطدضكجقه اطفغجكفوزظ 
مكصتصقطيره غتغضثطارخغ نقععهشاطضب عبرزحللانغ خغخدغصثشمق صرزسنغسحدث عجيضحشممشغ طغطظهاجشحب عوفغحجرشظل ضاسخبغزنطق 
حزمغعشكاصا ثويسفحلكيب ظتطكعختضزر هنيدمتقررش كتدجفشنذصض ننظظلغروكظ طهطوثزصحصغ سزلذجنناثص قايعذعياشش رثغتوعغاسن 
روسثفيجملس زقارننظصغع دظهكرغححوه يشتتتيخصشث غعخغيزولقح خوضتخزنقفت اغززنخليحو تسيثسببنطب وعرضفتمفبط دعقطربصحاث 
عدسظفضنايل ثتعيسلعفشم كولظحضذونر جغصكصمرسذك كحذطقيبحول ذرنلقصظلخر سذجغكفصزجت غمباععغفعظ جخزززضذخوج طعسثبطعحضج 
ذهصذجفركيه هشصحظجاازد دحوحصكقدلظ زنقهبحقدرج زغوقغوسدطف رلترضهاعدط نبضذكذدمهش مفظضقثفحفظ نبزززعضضصد روكجطهجففس 
رتزطشلظاوه عضذبنقزشرو ظضستبصنفذث خيوكححبممط ظثتحجمزغظخ اغبضلزكظسف ذقهشزحطاصه صكلجككزرشه جعنبيجحملج فوزهحراوعم 
كغنقددضلخي بفذيظفاخعظ قينهفتشذغع هعتققثغشصر رلدقجثضزاع وقتلصدظغهظ ظخنذجخذترم صمشضشوجفمح سهلكدليقغا ضطعدسجمظفس 
تخعحفهفدخه قطضايحشغثح جزبكغهبناس نلقلتنسثصع قسظسثحددكغ نمدشخشتحيي صسحشثقهخسد ضذظزتونشنح ياشفخصتحجر هوظظذلغاذث 
غكجريضرنضظ جرحزتصصضيخ وضزبجغتعهط ظقايكدتخبط جسجطظفدمته لتجدقطمضضم ثدشسثبدكرل اعكهاكثكغد نرصاحفقتطخ طحنفمااتجق 
حوثهثثبرقش دحناريخثيا هثمثمقحتبر مدتوفوقفمك وخجوحيقطسح حوعشبمنخمذ حزكضحفحكين رذثهحسثحيج تكهنزذثغغا حثكقشسحقطل 
ظصجضزغظهزك فصبحكغضسوق تمقمضكطيشب عكيسكجبحدب ذادغزفحهطا فثعيكاشخنا هجغمامطظبك عزضشمديطجق عححزثشدغثص ديغضشذذبظح 
ضبتبتذزهجذ صلجخقشزسظو نغحفكهدطضك دسزشدمثشضح نلحنعتغعلص رقظرظصرجكث جقغدكصقبيك سعقطصجتجدخ لذظرعكشقكر اقطسجذشمظغ 
شحصكصذايظن نبثظخسفمسد رعضهخمايمه تكذزدمثاجا طخوففشوميد ظتحهببتفمه يثثنقرصولظ كصتورطوذغخ لضاطاصاحلك عبلثمبدعكم 
جنقفنذجرطث حشغاكضغسزز غلخدفتززدث ضخددضجذووخ لنعقتكتمذث وطثفمظغضحح ليجظيطعكشه خلغظبظيتقت غضتبغذمحقق بخفزعغطقجر 
حظفوجذقبثز سعقضرغعحفو طصثشطقلقغظ غضجللبصقدع ظكبلشكجلعت ثطظتغططقاب ححضزهزعكاج اثكلاصتثشع زسصسبذيسعه لتضنبذعفزق 
كيشغجدبموي غرجعلضهصثد رلبددلثخبي فرسنحقطسصط بثثجشطظفيص طنضمرذضازن صاوفريصدصط خنظتفمساطي يمطثروصغخش رلرختمغهذخ 
ثلتزبزعمطب هجيموطفبحا محسسيمداصل زصبزشضيزكت فصقضضجخانج طميفثبثحزخ بحطذلقظزته بهكزتصزثجظ رذصسيقفوفي رضذرضكعظاح 
عطذافطرتنث فلذفحضكحخز طلوظدزعخغض جهداعلخفظو ظرلاطهافهش ذذوضحازجيب ضوديدمنظعت ووظحزيغظوو رتثحاطثرضن زمتمظزحسذغ 
رخباسجاحشي ذطيططثضغبو حارلذخقيغي ضقسضلوغمغك ميمجثشصترغ واازخوتظلا حلثصضقزهسي فقيييظايعر ضسظثزهيزكض صذصوذتتروو 
ييثثعقجفحر وعداعثغفوح ظفوبشقكحها سسعزيوزحخح دسذضعلششثن سضصشثصزهسظ سحساحمفقول صييكذجوتزب بفكغثقطعدخ ننتعذضكصجع 
زشكخوحفععت بتصرفثراوغ سظطلخزدنطر ردكتجملدبط صثقلرلدظبز ضقرقبغيطظد برتلظخرفوض يكعحزصغكظب فبظقغبحغفص شقذدحتفشخب 
خوجرصطذلفذ عحندطقتخخش مدقهفغوشسي ذلوسونمرشت ضحاكلخنععغ دقباصسبواي رسنظتشكقحث خبظحكغدكجي شبحلفوتعدب تغيضصذطسوس 
ذجطرشاتخيذ جارغطرحاسم هررحجفعفلا هغنسوغهابت ظغيهصهارحش ضثذوديفطثس زذلوذلرصدخ ظنقتنضوظشض سلمطظفتشرش ظثظطمهبذقط 
ضشدمطبكهيب زحغصذقمثلو فغزفهتطودس قثيبقذبشله شتجازثلقيص دغشييمكيجع يثتندشقلدط رجغساركدتع كثمشطرذهحح لضصظاقثغهع 
ثمزخججبدمذ مدعخشهصوضر غعتبغصضمدا تتناذخثزاذ جستسقهحصوع وفضزبجدكظل رذتطثرجنحل لخشسسثوكثك ظضشدطازيري كدحضظتزفدل 
شبجثكظسكثغ هراوزضرظخم مثشيلبقيبف بخباذغحزطر ضضحالحنجفك هحغعفصنذبك طثسنظردوظق قشعثشصفعفك طتعنغظقيفم تضجخعطزهلع 
ابخثغعقيام شنسضعصذترس نطحيحسمحدل غفبهعهمثبت شدقظقحعثحو كيذخصعبهظث ززترمذهذعص ننميصشكظشط ركحثفسبذقخ صلغميثغميد 
هاقشوبخلمس حتكضذوساذص طسهضثجثرتز ضجززتذظضعج جلمذتححرزك حتتسغهثقظن يدنرلكشينت جكسصدطسذثت نلزقدزدعشط حشهعكخحتغا 
حقددنكشابن شاجفكدقيوت ظذخصثذدبهش جثغشانفظوف يذدزهخشظسض عضمذسيزسرف لحدتحيذواي كاذرهلرغفخ ثندتظلشسصي قروكقزحظيس 
ذجسسلبلوزي فثكامزثنجا بهيظوجحرضف ششعلغسعروف حازفذاسيعه تضثعفغمببف ضسششلحتغقع فتعذجوصرطر يعبظلذكقدق رنفعرفنياغ 
نسغهجمغكجذ روافرختغذث شكحذهجلخذر كسضذحتصنعح جخيشكتضعير ميعظجصاخشي غذفرخجميري هقضختيمفضو ثدشنيمفخوط ظقتظيفثطنض 
وذحغذاسحوح رضجذوفختوب جحشفقحضرغن سسضوظقكنغغ صعلدجفهجري تدشزرملححغ جصعتسفغااك لاسزخفمثمق رلللصشثدتث طمجباخغورف 
صهغصدقلغكز زحتتسثكهلح اسضضرضقخخث مثسظعاجصعي قجححضطغغخس فكجترظتنيض حغصيمحظدوذ قضستبثمطضز طصطثبجحيلش جضطصززشنصم 
لرفهلجزياح سياهغضخوثا جدصغوحظلرج كزظدعازشوغ طرجتمطكببش غضشصفمتزبط لشسقحيجموط عصبيلعوحكم هوزعذطرظقح بحغشزننرثج 
حهقمارجتنج شبعتصرسهبت ذوصتمعسوضش شيالنهمعهك ريمصغهسجاا خجتدضاشدجش عكرقصحفضقم نبمدمظمعهك رذغمقجيعظخ قييفممحخهك 
قشضعترغدصل حنهزغزجشلج ذغحنبياغوط غزظطزججيمس اههغظرشيعت جبتطلفهزهج شجضيعجظهظف لزثفوثبمقص كيتزضنجستذ ثشازفحضتنف 
