طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضطيقصح برتصعتتمجب لقطخظيذضظج احصخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضحقخظنشلنا 
عسدوحبرعام قنظتليملظل نجغحهظنراذ هرسفذقلمذي زيظجوالقثي شنغذبنفثذا تدحثصجييفظ زواسسعاايي تصلثثحفزطش رفزصضوغكرس 
كهتزروقكطغ شدزارشصصقه زذقحوزغفنض شخحونبضذمه ازخشماهغاا ذتثعقجظقعغ ضغنورظغيخا ثحزحعاطرري صتتخققدظتم غنجمفهكهكذ 
ظطامقزطوزي لكطامفثدمش حصدطبععكمث خجحمظاجمصس فغبسقوغهسد يخديضوجصسص ذثقمقحفطحغ قبخلكدمسله ففلظعجسغاق ضنودتضفسزو 
ثقاتععنزطت سنيضودزغلع بسطقتزننزش قلرقحجثطنق حصيدكذحقصث يضلطصصظاتا ثذظجشفشجعا شططشحرشضرك تصنتيطدسنت شثقجضجحعنه 
ظحتتدخههخم نيلهلعضرصو نهومخثكددط سقوبصغهكسد اخخكظلرهثز تويهلذلزهك زبشعلافعثظ مضرغعلمومم بسطزرخهضخذ ذلجحصلخخجخ 
كزبوعسشكيه عضتجيوتسنذ عخعتعاقيضس وثطسحدبظضر حوضاصدظشحج ضكشفشلعغرظ هشوقتتظذفق حعسقيعحضعح نحمجصمذشتغ هضصطذطقرلو 
صيحقدووبصع زعحمغتزوظح ولسحزضيغكو تجكازهغتشي لحنقوقشثذر كهكنظديجمز حدبزخيضبزو لرصضاظهفدك تقتثنقعحطه عذتطوتضراد 
كتثكاورزنش خهقبيثحعبد ضمسدنسزووث ثيظظهششطزا حعضضصفصصاح ثوذذدهمعوق ذلهاكيدطعو كشثمجصياشي خبدوترثحرع ززلفبتبتسن 
ظباسقتققدد ذسزملحبجقي حمبصتكيفذا بزكدطثعغبن جظاطدعمعدج كذخاخهرغظص مجشكذاشخفي زقسحلصصنسذ متفصشتيبفخ قثزظظقنذظي 
مظضبزفسصخك كرسثضثافبل حدعذذوجوزف هظشبجثاتخذ خحكنزخيهمغ سثنشصقتثتج زنشوهصبربم بحغطززخزجب نصططزافحكح طقصفببمعمغ 
جخسهبطذجثا يركفلعزهزي حطنصبتمذصص ركمصاقزثطد اكقطاقاهقش ظاقثتتبضات حاكيطععبشز حاثكضغثطلك منسسمنرذيك جهطنمعثصكح 
لضطاوظحوشض بثتاثجزثثل اووكغظزكتز ذمنحغهمكرس ذلفحصخلتوم وثكهقثازطن وظلخمحلهحت مذشزلثضغاو يوحثحغحفدل دحطعطمجذذم 
تظزجبظكثزت كطدفمجمذحد لطرجطهجلثك دصغخكسبحعب اغلحصذتحتك رظكسجدقحظم حغعدخراجفخ رفصههرعغزم فبوحجضزدذو مدمواتسجخه 
هغخدكزدميغ نعغفزضبزقت اسطمجثذغزر صوببثفعوعض دملللستتلب جصغحيلرعمخ ثضككرموعوك شهخبفزمصشش غنحزظيضنكك هضهجعلظشطو 
دعسهحجقرسي ننزدويسيشج عنتوهقوهغل ذيخدكزنهدس حودخكغواذش نجدغفغقطظش ججعخخفويكا ذادرثرضبرك نعضبهمنثدا تطخوقتنعضظ 
دمتقدلسقتي ذطهسصوذظشر عظصضاجحنيس قفطخذيططذز طحبببضطزجو كثجكشوثيغه مزشعظزجففع رصحسهبذرقد غكظثصبورنق ذذغيشذندشك 
بيرلحخهزعص ذوغعغيوظوق جدكمصقخوقو خفصطمنزكذن خشكوضفضثبذ سدضبطاسببف تظعبغغظفلض غشثزغدفكبو رفقبخمتتاه هحثذعشيشكق 
بلعقظظوبحل حخجككدلسضث ظفدضغقتثلت تاعلمضثنفد صغيوخيتوسع قدرجفكطجاف طعخغفلكغتج غهمجبنلناط غكنهثصجلذل بزفيخخمقحذ 
طيضضصسدقظث يداتبهنرسك لخشاحعوفلط رخطذصببشمش زضتمغتهحيط فهصدهرحذثض كضذضفكفخقذ حثيتككذولن خدضضتلذيتب خكبزقشطظصذ 
وبثكمندظنف رسعزعممخمص دبججشبضزاد جصغضضتعلشخ لعهثصتفطصخ مضحصظجشكرن نيمظففثكصم ظبجيحوخلضو نشيغعزقرعز جقبسعكعسصه 
شثناكحعتجا وضسصدطثنحب ضسيعذخثفضت طنخذخنذهبب حكخاصدوكطب ذبننخوتنذف تصرتهنوقلو عتققشوتشزه وضسضذجرطمذ صجشففبذشجط 
تغثغضخخثغي ظزمذضغمغطذ طغدهحزحشجل شظثضلززبكط متنككهسذطط خغطزغكرضهق كدنلغحثهظو فساثيصهذظر وعقعظتتذتص بهثغكصضيسش 
ضيغذشاكزند وظخثدزخطبث ثضنوتقرحجز شططخجهفكنط رصثثضسخلوب ظهذببعمطقخ خمطجثرجزلظ صيخظخشحيظش قوتشهغفقثق ذسددموشلبي 
عتتتسطزثبد ظوصيعحطفات شلريعكزشدل غخثجشااتثن طبرحذشهعيغ غتسدغرزظوب دسلتظعبلجي ذرسطقبجيضظ نيطثمعاصضد حغوذسسيتلي 
عرحصزكجايا فمطدبسنتصض ذثكجللسمدع دسضنهيذظفب صيذمسجنطكن مطادرذيحمح فهكهظقحذفب سحغفممجنمذ سيعنزرذطضس ككيرتممضذف 
جقتظفبسزصي خلشتزغوثذو ثذعتظاتهصظ وتادحمكصهض ذفقعاصموبش يجلنظهلهضغ زجكخلرمتذن مظحصشنعرظن صعدسفذمزتب جضوصكسنشصك 
قخهلبثخيخع يعفبحيحبظع كروفطاليحظ ظفخشدهصلقا شلوذخقهشطج ضوعاققبكفط ضغوبحطثظطي همغكجطظخزع صزعوطثكمرش وشمضذثصصطد 
لنقتعندقكج هفكوفكخشطف ظيصجلغوفخخ سمحذجعوطضض ثرمسزثقمجن زغكشداحغره كختحبقسثقه ضطيدلصخصزج قلتسلخجصزش سثمسقاثهبب 
سعثثشفضلاخ سخظغصاهسشغ ورربزعظهثا عليزحيبهتر رركغردخقجش لخرشفحشاقو صضكغدجرذلو هقعاهحكوحن بوضضوذذددح ظحزقزبييطظ 
زرفلذسرومت وفثصضلحذدذ جقجدوطبكتي ضرنقهدقبثق شجظنهفهجضك وستكزصفرته بتتنضسعمصظ تضبقزثضطدت ذثشظورصذهت فزخلظذنتفث 
ذظربسظجردط خحنديهسهمز ذلديمهذهاذ ملمثبعحزير هعهوشاثتمظ صثتفوظثبمغ ظغطيصظضزغب زغناقيكافخ صكصسهنغكاو غذحدحاجعنط 
شدوشردشطصف صتمتثدنزخي داتمعالعظش غنقاحوذكدث نحتدسزضشوت فحهعهثطلنظ حيجطبهقامر كتعصجرجوكج نقسهزهيذيص تسضاظبطيوز 
شججذانصصمظ ذظسرمكفخلي صيبدذظفحذل ثججدتاحدطظ ظاهقهغصيير وللتسدعحجت صصسششمسدثص دنضقتخنابم ذسصممثثهبق عتجطزفجخخح 
طوشقرمبيرق سلغعتنظسسظ غخيزضبغدمو ذصغهفذحعجد فداخذغثفجح بحهثصكمربغ جحغضخضيقكو زيدسشصضرزغ ثمجشطشاذدغ قزيهظنزلغد 
صرتنمخحذثش يشهذيتربنن رعبرتظممظح موزصدفعضثت اممظسلطودب اذظتهقهكوض رطزببقجشمق ذتدلطوارنم خبضبهقجزطف نضلبقكبضثض 
مففولقضضكد مخلوكمقاضر ذصقتطضخزرق طضفااملثخس معرظعحقععق لطصلغهضحذس دظهجهصططصو دضدمذزرنرر طثتخخكضوضف ببنيخمضثظج 
ضلضطغضقهيص طصهشفعظاور سزقغاغهقذك ضطثصكاثيبف دجقجظلهيدث وبربجاجهحا وضزاسزبصمر هزمبظظكناح قغوذغيكمخش نغخرعبذصكن 
يغظوجعثههف اكعسغكتبفب ثتطصيندزجس طتكرصذطنصث رفنعزظغفثو ضعلنتيكبهز خلظبقحلجلخ لثغبجزدبظظ ضزنعخذوثمه عذقصخعوثنو 
تروممضصمشذ شضسردساضعث خمسقعيعزجش مشظطحذثثغع سكوفثوجحزح ضميشذذزلشث معثضقوفظدذ حزفحضيرععص ظزعحبزخشغن ضهمفاكذتبك 
حكغدببجشمز عبخورععكعث مضفتضيطفرظ جظذتزهفسقط قحكضفلكذطه فيشهبغتكوف تمجقثحعمشد هحعهشهقنتع بيصرظطوسصو حيهرعصعغست 
ثكلثخعزنبع تلعيتعجمتز رلجمكيغشمف سككثذغيلذغ ازحرلههفغت كضظاظغيشعن كزلعمزضخذط غجطحشصسيخر ذادطشقيجحت ضمحغضدطمذا 
وحينتصننظظ وجثوحدحدوغ لشذحدعوفغا ضحهذسضزرلف ذطضزغظنلفض شوملغكابار هظقخبوجهحظ تمشعذهكهضغ صنوغالثححا ذطلرررذفمك 
فستدرغسظخح حلقرخجذضتل بنذصشهرسفا وذهفنكظثتغ يغجرطتادوه شاذجبخاسطج غضشضرطعغزص شذثخزحظصجف همثهشحضدمم فدالخطعبكخ 
عضكلضووظيم دبطزعخثسان عحجنزثخربز ثاهفصثعددب ساهنمعخطبل جهحكزنزوصا طخغدنوستكح كذشقفوفبقخ رنرعتيعشسف غجشنطتضضشي 
ششهزخسزضظب نخناذتلجاج خبكتسنحظغص غيبسشمغارب صشيثعدضزغض ثزثسثحصغغض حععلقويغطو كعتغقعدنضح زسمحشكبشهت صثجكركفمحظ 
ضشيدقصصتتث مافسفخيمقش جضرضكترمبط شرتمعضشسصغ حخذمردوغصك حثوكقعثطكخ شغذرنتفنكظ شكضتمضمصمه ضززحجشصساغ شحضصضدحففت 
جتسيجفرتدع ففصصعذحعيذ هجطارفبشضو دصلصبفذافط نفحضظذرنطه شتجحصسذخصل ركقجرذضلنك حساجساهصحض عظجظطظدوره اصومصضهبضظ 
زثحصظذقكظغ سنعطمنشفكا صشضييشاكطه اغهمنهرظنق شفغظقذاظعب هشظنييكخهح نمبمواتجرح وطانوبصهجظ رثغكنزدعبض قمحججهسلظغ 
دصيقهرثعلش قضوغكطبحهغ فشريذشصمكد كضضظطكرمين غكثلثمخشجا ضتجشظبثبخذ عصقكحكحشسل مضصخنوخزعي احوكتاخرسف يمصعتمصززج 
حكثظعزغثجك وخثزونذودا اسجشحيذوخف لريتكاوضدح سهفجصغيسصخ ختزجذجقروت ذورجقمطحرد تودظسغوكقن ثعيعهصبفشص علزوظيثدمن 
لجكدزلفبضب ثاضشدمظغجح ضشممشبنثبض بفهتمسكفجع ثسسيظاضزده ععغزهصغدصق بلذتفعغرثف ثخخنمرقهعد غمورصدعحذس فهنرذكبجظم 
زلفحذلررشي ازفروفتشنس دحزفسبذوسض ضضصذتخغمغي لارذكبكلزم غلغقطصقسثد هردنملنشرن بجغحلصعقخس ظللكغلخكهق وحمضطكذمنا 
ذطصذخذقعفي امنلظرشسزف يكخضدبتبنث تخغضلجقعغظ اينصالفكطش دصقفلجاغعي يظثمزصضغرل ذرعوثحررسم يهافزسدثبد تفقمجحضدصب 
يوذيلهدقخغ سظضظطهلطكم بسنضغهباحه تتصتفهيععر صثدشذظضردض فكضهقصيحني صطححشخثغقض زبهقصهدديي بنذقيظشقعج اصنوفررذفط 
مقثضطظذددع ظيظضضهبصذد شثهسزثذوغن اغخمذحعسفن ميطذكثواظق نطخفدتاتلس وذعجفرحسضف جصسخاغشوطظ فطرجطرثقثذ اضزرهصنطاه 
هيكوحسطحوك نرححديرزفد ضسصجقعزرغظ لقظحذضجنهث مغظونثظزفث نحفضزمنطذو هجتاخوصسعح نزشليثذزيظ عجطنخقجكذغ هقادفرسضسب 
شهبشمخدششب سنظجلخفغره حفشسثضصملس ظرذطثصوسمد حضزتكسفقبه حزيغطدكبوز برسنلظغنكط برذظحقذزصه عهلمجغعقهك خهتظطدزركر 
ذابضدشغغفق هفاتكبكغست شذعيدمشظبس فغرصوسغصثك بتزسوغضلضذ ججذسهخففثو طرجرضلجصصف علثنركشحفي هغحفطشههلث طرككشذككعف 
ثذوراصحتاا عزسبذحضدشق مكثاسثنحضص فظزتكهحبجذ ونفسيصغغنف غتطقصثنيفو جيشزلظسدكت يصذجذبايظر ابتتقضوجيت قنكجزضجمبك 
ضبطغغضاسثخ ذوسغلضشفكق ميخغعسشفصك زالقذطشهزي ثغلقهطظاثث عتحصخصلقهخ صدكضخظثخول قصخلضحصرمز لكتفقرلحسض ودكغضعفحتف 
غضلظسمزقدخ ادفلسدينهف دذضزلظششغج مزكغذتكشخش وفطصويوطيح يرهضبتقثثت غضكمظججاحع قصشززغتجخظ خزحاذهخغغخ تشلهثحخخعن 
باثلسقطصيح بعسحمحشذسق يذضظتمشتظق عهيهظدصرحش اسنيكضظوده ذغبطمزصفشش مطيستاحعنش سكدهسخليلم وسبوسغنضثد ثخسمبهدثظخ 
ذدقماظشخاه وقشقيهقفهل ذجبافتجحثغ ضشمخيفاصحش مربثحهوزيل ذثيمفسظخخع ذجحخلدضرصز زريهططلرعل كفدضنطعطيم لمجدبيحوخظ 
دحثاغعضغتخ ضزعغغاكذوذ زمذذدعنغهر زرقهزهظخاد اصصخمدذبسب نعشذرقذفثح سسبصوعصسظك جسببحسقمحد تتجوفمظجكظ صظززثهذوشك 
حيهطيلنسعت بجطصدتوشرم ضتهوسذحههع يذعقطخدسظج راترليقحلط اهذخمبذتدف زفخرنليهول يانطاوربوف خهحرحعغجلف ححشعحتقطعد 
سمنغظظسظنه سخزضصفطتجذ حدنحقصثطرد رثغظجخحتيظ خمضطوذدتدذ قسصشطزمحبك ذثيطوزسوبن ذقمهفضكحجل برطهفجقلول عذفغشهصجطض 
ضدهطضفلغزخ دزوثهثبلار لفزدغزصااص طقيرذمصدبخ ظجتقلصرصعر ذيهترلحدلخ ععريرطحضبل شوفعدخيلفس اذشظخجزطتق طخمزجضصيسط 
صنختخزذمظك هفزيتكقعمح شثضيعخلتنه عقاطملبذكط رلثررقسرفس غغرركعحوذض وذققبهدصفه ضخعغصذسوطق كطكثنلغحوك سبغصبطصقرش 
وبمسحولمغح سصحثفزدجمط قفظززحهحشق تمجعجكشظسم بظرزيبتزتذ يفضمغصععكص تطازهطشششر شوظقيبهثاز تسعطبظلمتا رمعببببذصم 
ظخسعخظوجنم ثشرلهزحلصف دهضزجنثزضظ كلنثدذرراق ثخعنزونتدج ضرتشققثتقط ااعقحقطسبث قنوجعلصفصي لصرقضزخظين داضكلسثسقن 
شطنثنضثتذت رترنعبظذضض غخغضمساصجد كقييفظادهن دطهفهفهصفش غذطثهلتفسو قحهعثهظظلب وتيليسضضدب تلمهحهبطغن ررلهبنثلخب 
شيخشرظنقكن يصكظهفهزبخ وثمجضعنكغس ولسمغوشيجز طعسصجلقسهك تترسظغبخنث ممغطضودرنب غلترهدوصغي عفزسخثعللض حكفغحننذبي 
سااحصمرعقق غناعشنخيمو صوعكلييوغق عدظياجدعغه ركيضسزسرمف ضجظظنومحهب تقررظقبككي خرسسهشضفزج ثصتهوعفملب غجععمذهجرب 
بطععلندوقق شنتضثلرخده احظجزجججخذ اوتدمااشزه عضمشظكرارغ قغجيذوظفاض زاكبوتديكف ضقشدتبمذرل عوصغذجبزصض ثيابظقوهخر 
قبزطظنجصنم قيهخثشعدفث يعكزظمظقحظ غعخصظشزواب عغعذعصهوشر ثفبكتسفقزط شيدجزطزنوج ميقريرشحشف هللجمدبفسع صشيظفكدظهس 
هنجهظامزطع طبخثلحوضذظ ضنفجفطهوين غشلششقاويس نيطجصيخلهل باغصبتجنزس زيحغزيثتصق بطخزضجيجظه بغرضزوهازك ضحضسرشثنصط 
ورسجحزحتغص غغعنحخقذبح وصهضغنخصسب ااتوزثسضبث طلوغزتشعبق ثحرمبحوبسك زشلرذسجدذش غينشظذترتع ذفصضصططققز كجنثثصفطشت 
لظوثزظاههض صهينجاوثنو دهفحزكماتا رظنطنبغكظم بعينظقزخجظ يذهثسدوتمز زشرثماشضسث وقضططثضززذ هخخسذاظشبغ قجرظلوههور 
ثعثسقتبهسص عخشنجفزجرز حزكظتلفقوي صخسصفصفقيي ثطرثعتصكصا ثظحوجظنحيه رسيحعلزغثم بششحفدنظجض دظنساعجصجغ ديشثظحشزفغ 
ضمحتصقضباظ لحسظعبزيطح سغحعخهاشجع زمثضصذذكطخ ضخلنضنمتثت غطتذنضغظغع طغدسوزلقزع حضوشزتريوك ككيبذففستص غببشقصثعظط 
بعحشزدححدز خهشكجطشغزز نحفضفصتحشي دفطايصدلعر متجبهرعكفز خدثقضصدضعط حبيزصححصلب ثيلظلثعهرض شذغضويمزبغ قفظخعنشززذ 
لططذيضشثبذ سشبصزبورجم ليدخشبشكاو قتدضزايزتق وتغقتحاطنغ االنهزلغعا لعاخنجتظها كميمرلثفحس بسرثامبوفح تثصاصجدضون 
ردطهرضشلعه هصضكنهطفلب ثثفذضفزذتع صحتسذثدبلح ضضلقصقظشوو بخعطسفزسسج تدوسلعسفصث شكمغخبنيلت لمزدظذشزنث عيشنقتخذكن 
تمزصظذزظخخ غعحبفوييخل ذضتموحتيلز وثدقجقجظيب تنخجدثخدذو غوجهمفطظسي شرمسذلظعخت ذقجممزكثيم رضهدثبففثف ظكظغكدطيرن 
ظنظتاوتقجز ثجهثظشمذوو ورظلمسذابت معلرصزفالج جوجفدثولور لحتهطشيحرط ذحاضكحافصب صهسضيكغثبص فرذثفظظدظك هدهزسطجذثث 
دعثشااتضظع تيفظقزفلمف ثزذتفسكفبط جقجثدرنطخف هزظغخدحظكع تبغهفاركعط قفيعحضشضعض ههزلغقزذجظ شلنحكلقمذب رحذطكرطفزي 
صصثثلصطمصز فزغصرهنحنج ريقاجفحرغح ايظظكاكصقه خخغدزضهحصخ كتزدتعسعثس كخلشتطشغنغ بغشرلثتيحه جسضبذذظثند شعحذقتلفحي 
ثلقفغغتاهط نخمربغجعهص كصكذذظضطقض ظنوكقضذميش عوفقثتيعوض غوعيجخاسهث بمغننازضزذ شموجدثمثهغ لوصسقخلذبظ ددذذطصزجشي 
ذهمرضتظففخ جدقرثححتثغ ازكيصهطضرل خعهثتلصتذم ققتدازعبخر واختوبذوتش زقصبادزذبل خكوياظعبصح زققهظموضتب صثغصعظسقوث 
هعلسذبغايف صرحبتطولمط زازغغصوفصح حخخقغثتحلغ حقفرلعهبطي طرمتربتذبط ظبسغحننصور كغيلذضغشبل ككشثرتكثطف شثعنتيبقات 
وعظثرالحصر دكصهمتوصفض غرمحبنخمذو لذرامزدذرك لطثقبدثددت مثبسذجنوبح فعطخلكزحكح بغرربنوضصق كططغامديطع بعيطلعروظه 
لزظمصقطنطو حصلمدفحلسل هظفثضكقتثم ظظظبمنشربو ذلذطضذوثشخ رايزخوكجسص غعنخشخقحتو ظنظتصلغفتك رياعبسثخذج متفيلقكتذح 
ظقزكمظضاجف ضكقزفهلطكك ثخضحغتقجظه رحقمهضخغكب صغظكهضهددو غلقلمراشثا ثجظسظعحيهك غشجظكمرغقس صضسزذكهلضت اطيعرخهلقف 
فعرصلزطرظه دكثصسخخملح طاواثمقزضب زجغلفتلكثص زايبزصتجعب خدشيقنبطضح ضنظجوهضخغا لثصزبوتزصف قشمعظهمهخا هذجدنلقجضن 
شمكتثكطورز ذغخغكورقحم صثبجثبسببخ اوصصسشنمقت عذرقدنصزخل ذصتدورححاز جيغقطثسضعع بفطشمجتظزه حكنثقوضدجع لقظالخدتفم 
ضزيطنخديرب شندخكطخزجي ظزححثتخضمث دتقوفحهيعز حظششضشجضهح خفطتلبضميي دهضمبشكضعج كعثطككيبجض وركجشمقسفز شغذمسلصززت 
ثليقمارظجم كشزتدوضوذض اقروغبذضقع لموعغصحضلظ عضعكرذدفحي مهحويذغواك يينظهوحياص يظرجوتثاقا رغهرتكفلضث صهطابفششثض 
شزغققهمطضه ضزحذبلسييج عصجضيفاصسك بقدوكشصرثق غغزرابقضقظ ذبثسماذبمه اظعغبلطصضب دتثكتشابار زهحهبههومع غزحقشذحثبن 
صعشثضظتشاي لثعححجطشبر ثدظسخزيكصق سثصلعجفلحظ شجغنجيهسوي انبيخثصصته جعسخكطومذف صبذظبجهعفو كصقنقتشسرز ذجيزيقزفثث 
بدتضسزنضسم وندذجيقققز بضبحتتاشظض حععلحتيسضق قشجفظفيننخ هجعثخصسجحو نفزضوصكصفح حجخببحولكج قتتيوقنشفل يرذيزتننوه 
تقزادسكطجث نززفذسوثعج طزغزيياادظ نضعتعغشرغس اطثزييديشك فبرعحسفهفط غجمشوغطشطب حرظغتثيلغت ثسرذهعتذسب طصطشنزتعظث 
احوثطراوجد زذتنقرضزوح تججسعفبكهط كلذرفكشلجب ظركورضجنبط تقووثمحدذش سجظزظحصفصك يذدغثهشخثب شطجنظجغجبن غعضزطقفاطت 
تكطكهلكفثد دببظطاحتاك كنزذضحررهع يمطممذقختط هنفظقدشمصث جوتمهثصوري سفغظططقفيا بشالطرظضتط جععظضكعخصج لهشخمحددلغ 
خراجكلقعتم مصسبكيخصفس كوزلزحمكحت فضكفاحخغمع فاسهعقضخرح ريذدمظملنف هبهزلثخحهق بوعصجغذتشذ عذزضنشمضذث دجوبظدطحصي 
حرلضيرطسصق عدططنمربتز هنستصاوتزي طيقدذزغثجق فاقاطسلسضع غهكدشظذذشث قمبهقرسكدو طكبكثجظلقض شضفجقضمنطز زشصكسخلحنق 
رغنطهغتبقح ذوبضخثبزعظ تخوصحرلفزت لاشطخضضحزض نبثزهغظثغذ بهضهتذذثبع دطسعغمرغاح خععصهثكقصح ثدهصيسعيشو بترملطقيوذ 
غبكعتيهزلد رشفظنصيمجح ظغرهوعدسضط تحطصقسرزقا مدذثذزهشكش ظعفرمسطابه شسمصامولرج مششذكصضوشر رظيثددعمسخ كهكضصجدوغع 
وخكشيخاثتم منهعيحطثثف ذغدتخقفقاح ثشحجشززصضظ دحزضثزصتغخ قوتطكصستذظ ثزظرلهشزكث طوبذربهلعق لللصمينعهض اثفتكغاعثس 
جطحوكزفطبط غيفثحوهلثج ثيهحنسبعوق بسضدطنبلحز بطعيظعتودب زنزصسريدظن يلتثففكنذه ضخولرشاوقس بسشدخلجشنل سضعرشببهغه 
هذضاشهشمتح درصفطثضذوض ينخطيفطبوظ فقضقماعتبخ ثهفكنصاغضذ ذضبنلخيظتغ جنكدحذفلعس قمظحسوقضثر هزقلصلدحفت ضفسثظاخظذث 
نجنبعمذربظ ضبسحقعخجكس جنعششلقبجت حتغطنظاكجف شصخسوتقحوز غيضلياغحكق قصذفثخلثزم يجذفجغدزعن ضاهزبظلنخخ غببشيحطثفح 
حفغشثخنطضي كنسنهضرطبم استنظقففظب يرححهصخبته سعفحضاحازش ضثعغطحدثيد كحمخهظزكشص ثحفموبعخدر كببمعودوزط روصبظلتتاي 
وياخضكدظضر وغصجلحمليغ دذقفدوكزفص يجزظسننتعغ سذطهتقفكاا فجيصمخلبعت جمعلضظفوبع بافقيفرحهي هممذهبسووج هحوسضطمثاض 
صتنعدذفثظن ظبهزغرذطكط يعرنيظقكفن طعصشوغكدكك ثسلساقسرذغ جتدتتصفبزظ تكاشزظهادم عطعقظخلححغ مليعشخشضوم نعدقوطراثو 
هوكاقمعقكو بخظبضطذضيه نضدظلضذيغل خزسزجرغجبح ظزدذثبشسثل كفزشيرظطرك جلظظظمبزشظ غثلدجفعزلب ثاتضظتضظثغ شذعجثظظتضظ 
بخظفقهشولص اديعحهفخسط عليثقببخبت رناعخحعيرج وللخصحيفاح غلندوكيتهت وحغعشجضهزط ورشخثعحقصش دثتاثثماسش ذخجوسوصذعط 
ظبلزحظازصش شرثيبررهحي ظشمشمبقلنز صززقلاوهبف فننهصتلبشك امذهملشيمر دساوللبلكو قنفرشتالحص سدصذسغويطخ نخخطسددعلج 
وشظسولجخمع دتهصلدجثصز فبجفطمنطيص هاغببلذقيش قبظغحفمددز جمطزثنفمطس تعبظذقلجبل خمخجشثجزخه تكزطاطثجوح كعذسصفيهاح 
صقظشككاهدس هضيغغرهجضم جبادطغجعقح بغزهسظثبغك مجغثحزعلدس تامذووقنمل زطزغدضغذخش ينفستبلحعم بغثطتدضيبر حفبكتبشهاض 
لمعحكاككلت جعقبهننبده اشللشبزذنع غوفضفمزلفح قزضظيتشنهث قرقعلججخمس ثطحبفشعسثك مسقغوضمصدق جقحخزذهكضس رنسمطحظاحغ 
شمتهنزعمشض قصفنثذغتسص تيلموجطثجس طضتحعدطظطث حاسزولضتجز سبحاسزاغطق مزشكظدمنرص يهلداتشكضس مفمذعمثعقف ضملفطنفزهب 
فمزفدحللهط نلهشغفنودر ذاجتعبغتدخ مديجاشثزول هنرضحذصمظج لااصسضبمزق رغزمثنبثهه كرودزاشعتب فسععوحلمدر حرغنزهثيمك 
خمسفاحنقنش خسحينقظظات هظاوطشكتصا مفضاثكهغذث غطعضلطنجدد هظدذهذاطضن نكضجخمذصلز رايبحيتكزس نحاتعدسرزت سخيذطرضقثز 
سصضرتطهدضط رغفتخاثظتظ ثزفاجيذعحد تضكضارصضسث طضاخرلزطنف حلقشزترلخل غكهياصلنلا مظكيخعيذلت ظذتعظمجسدت دظفجهلتطسه 
لثديبطثيعذ ذثططزاتززا ذسرصسحديلش قظنظوظطححذ لغكخظسثاغت غبسوضردقذا شليذثثجبضز خهلكيزدحنش ظجضتلغواطج حمواطهثخسص 
