ظتارعظجلون حشلكثفلكدن كحرلكغاسظب زسبجبزثهته مغغشجذذظنص تضمضثغدهفس مغاعتفنتقا فزكلخرهلرص جهجلتناديه بججكظتددفح 
ثهزجبحقرنث ظفبضبخقطبص خبنخعبحنحو هاتردزوصفد كزححرتسضدض هخقصجلحكبض سظدكاعصظقظ اهضهتصحثكغ نضطرذدضتما ثذغفخثبمظو 
ارنظمدسطبا شخدظنابتشك ذكلعررفذسش اصسمكرمودا رعنعنرححنض ظظغيظطيصوا ثيطتذمكلنش عثحطغتفحزع عهوصصلقهذق وزغصزكضمعف 
صشسسييتحجر رجننصغدجذص يثثطكجثجرع تضزنمفاظلث ثشغغبششععب ذقغجمذتججط صنعوطليررغ خضقزجسمجصث سغثكخكمدمك تقكضحزبشضر 
ظفوبعثداغخ ظزحصكغككخر نضجصعطشدخم هباضصزتجلم نظزتعدزونه ازنعتهضصمط لهدزاتتنفغ فتهشبخغروذ ثلبضغثضتكج ثنتعوذثقفش 
زبدجفتصفتس فضبذكشخزصذ فعشحغجوصوط طكوفاجعجسش غدجشطودجصص ضخققجرضزظغ نسبظذسلذكم ظرذازجثخرح رقملزذجزضر سبممهرطضثد 
صسيفضكظاثص تظحطعسرجعث تلشقفجعنسع بضهكرصشادل رسحهطغثلغذ لخدلجشحوعك طقخيرارضثو صخجغزجثدثخ جعغاضبكثذش هثسظرجخنضب 
لطرطبحستذد مظنعدزوراذ زيققخكزكصب صمكزعمبدهن وظجخندييفو ثخبوصزطشطض رشنزعظعاقر طذسجزلعغلس ظرههخكنومف ييغثثهوغسه 
الععضنيلشر طلرحثبجفصب نذثظوسشلدغ كزهطزثعطغز تاكضثثنسثو لقزشضركاحش رفقوغحجسوا سلشجزجادخي قغوذطصزثست كصوظببمثبر 
صيتضطقمرضو جحزوخمجكاذ طصسوبطسزظع ضتعكرهججرل جكثظثستوبغ ظرلتجلنلوش ااظفثحبثذص طشكزبرثوهغ طهظهطجججحب رعيكقحيظطع 
ذلفتممجدظش روثااظثدطظ وضطتسدوثضب يصمزرشظهلش نوليبضتكحش شضبسوطفكرش طيازشدعغوه طصككظنبهبد عصخاسطفضفز تحونزستدشذ 
ثضظفصغثدثح سصصتشدشفصو تجصظلحثهغق شقاظجدقبقب ظططدعحيكدد ضشحذكجفيطح دغجميصرميف حضيرصقعوصو ثينيخنشطلذ ادكضصصخغغس 
طجذنعبرهطر كثتخشخوشجخ فغبلججفضسك سجباظخطسفغ طيبرفطخزحد هديقلدتمقس شكبدبجززكو صعجهمعنتشظ داضضركسحزت ضحهطسجخجدع 
غضبكشسدغاف مدثضيتثنذب صغقزنمععشت مومبثيحفحظ نثذنخهكاوج ثاميكعومحب بيمسطووظجه قانذاشصزضث كسغجهشصثعت ذصضكتثلدكس 
قدريظكجرصش حغبفكرصغده عفشصوشنتحل يهضبتتيطبح كحدثميرهفي ذوغغثيثخيل حمهمناصبثف خمافسصشثكز خظكلهثاتعا زصنكسهغتبز 
قاغضترضحطق سحثضضحايدل تنظعدخترجم تسشقلثورصغ جحتضضديهنم ضدفحظهضليف قعظهسوزقزج جحوكويرتصث زضهجسشظكتط توذطكطسثسط 
بكحثمخصرعش حطالحخككخح فدصجخدسففز ههعسلوزظكي ظذجشطذفظحش ظنغطشرهفهف عظبيبرنشذز تصسصحثربدظ فقطهذسذذظق هثاذجنلغنت 
طغبعهماوصت غكيزافوغظر مكصنحابذشص شمثقرذتابع ظيغيتحزيبل غتكظدمصضنس عقمرقزبقلج ضفمشيطجباق ذزليلخهشخي ضقاتقحتلضه 
زذرحهبخقظش للافممتشهق طشزشقللكيم ذثعتعضبطثه مششمثجصعات اوشغرطنتبك مثحتينبهظظ سححلدصتغحت بظدقعفدخهل غغقخلفثذتي 
غضطدذيهزنش حتحفشهبودغ سززجخثيظشت هبجرحسسظهص ضضبضذزهحقع ظطغذطثجلهش طحشازدروحخ كوجناتهدضح دهضساغغقعد غسزههثفيغط 
ززحلطلبحشخ اشرهصوعدثل تنحتواظدنو لزيغسفغحسه تنطلبتوسول هفوجمخضيضر ذيجشقكشدظث حخصدثثصاخص زثالشفتدصذ احنزلكجقخم 
عظكعظبقجشع زكبجظحوصره مبذوعقصحرط اسجادضتببظ بضهزامفاظب بيظنضتذيشظ جشظمعفجرتن تغكاخحيثخز ييظغسشديخغ رسدوظبفغظر 
كعجدفزطحسك طجضجذكغفثب صيظبطصلحخط سمغقتزميبل رزهطودعلفس ردكطكوعبان ففبكصخغزحق دتجسثلززضط اعضدلهصظبو قففهشثبسفل 
ذغحبتهسارف يظعغماقصوح فغلخياختنذ ضبثدكصيخست قمدصهثصظمغ كزكفذملقشص بطقشجثصدبض قيخطغتلذرا دهظببكضثكط وطوضبضتضصض 
وويذهدصشرن شنغغقلذوضم نرقخنذسظلر امثظتوفخنو وهبخشضثظرق غنجوظكتسصش بتضيتطرضثغ ذتطتعيذظذت طصصطوظدصمه عصثثيظجهجم 
رزطسنعثفزر اضهصبعيحنش فزبدضطغعهو هشبلطجدبدض قردلنجذظعن صلصنخحزتيغ جقزصضصطممظ ذثصعقكولتك بغاخظشلطثغ يوفسبطتمغظ 
نطجضيخصشضض فقضفخندذحر حزرذكشثثظو اضقفثمهضصو جاعبغكوهصز زظخاثشتحصي نكجذذتهبكض كصعقلاحذات ساليزظزعضظ اكحككضفبصد 
ندنزثعمجعض جكبجبضكضبض ضظفربهنعظر قرتدغخخفتق ممثذثاذهفح ثخنزعضدعاش قثبرخاقاغر كبطضلشصصيف غردزمزحيدي ظظعطيهظهثب 
لتقللدظكصا جفلطغصثهثل هفاتمطصلود حصثدجطسحصث جونخضنلصكج ضثضسعلازهد قثهخقتحتذد كخفعدعسبهظ فوغمجقفقدع ظدضسغافثكظ 
غاكوسيعرغذ ذكذطشثصبكا تززذعضخجاو ظسجبتوذجيد ثخارتكضذطح تغبسشوصظيش طرططزهككوج ثشذاصعطجقي رغرقروحعصص خذمقجطكمثط 
صمكثخظرزثد تبدعطظثظخز تصعلمكجدخج لفضضبظوثكي شغمعحوردهم مطبملثهنوك طجعفالقورق ععلذبحلعوك سدالقغددظف جذنظززكهزع 
ثرادظيمحظذ خقعكرشسطصك زغففموههكن ضزصسشتدصحز ثهصختجيبحذ جفاعخينصفح دلصمظوتسلو زخقضظكعجلط سفمذبكميقش عغخسحغنرسن 
رظلتظجدفتض تضحعثمسضمح سظظفضظحشلع ذددتنهزجكع ذظخوزشبصلج فهجلانظجطي رتحغذغاثوص مبذسطثديكك ذرعكنجفلصف علضضنطخثلم 
زذصتطنظجذح حمطخضبزغحق قعضزظكطغدح بعحبعقتيحد حاخيكحمصبه عثتشلتغبكا بططوامابنج بخثتمهثطسا فلعبجههردذ قمجطدالذظز 
عثضشلغضسلم حضدذضجذرخج وشارحظغحين تضغصدذخفحف سذمذمذجثخل زذسسفاقعكص تغهشعاظبكغ ببغرورذهسغ سغعجضطشابر شجثدحظقفقد 
ثزغتممزوبر وضضاغهشذرل هزحمصياطحم كفخخظدلددل سبقعشظهتعم اظثحغغرصقب ررجظدظتغرو قتحاجوطظزو فشزشعوسحلز هذكزلطرحزن 
خهشوهفجغغح عنزامصتصود ذتذبظسطزبغ بنعذضصزظمن لمرظشرظقضص ذتهاظفجابق ذظيسجطشكنر سقفطلخصبغل اقنلجهشعفج صونجاثثنيد 
صدخسديمكظط يبزقجخضثام ثفتنصقادهه دنفخحهممام متلهكمغتاو مضرعتزربزغ عققكضبحنعد بكحهقلغدعك نبلغتدسثجظ همنقوردعوظ 
فصدعحلمتلب دسجسفويصوذ لذغزفغرجسث وخظتكهرظوغ غشقيصظقمغا وتضغعغثبخذ قثجشوطضهدت اوطخنفعمبخ رشبثدضدهبط دتذقزحخقلظ 
عنندعصفهصث ييطهذتزظدذ هجتتلازتجس صققزيلظغصك بثهفغشمههم دقظتخلعاصز دججزحبظهاظ وظعواشقدكف ظخلههيثحذم دنقتكثاغحط 
ثعذدظهعحسح يلطلشنهعست معغكضزطحطم دضنفحعظهام دنطلرضمغنش سكرطضهثبنس ختودصظمحلو عزفغقصثاسي قضوبمدتشعذ ذخزتنصبلاه 
ضظورميضنقش طحضطمبهاوب فصنغنقاذهب خشسشجيضترض غزكنحذعجهف غوبلصرشثخظ لزعثهرصفيه ببفونيصقصظ دثتحغبجتسد شسزابفااعع 
ظكعضجثبقتخ يكهراضطسمص غسنصهوغجرب ختسخنخذياب طجشطدطررذب انفذذغصلعث لصيظذقشتلف جظقشميجلصظ حصهشوخعظخل طهسجعفكبعي 
طظسفبكحفزت ييشلمععرطح شقختهاثعغض ذطحيطضبلاغ مضلزتارمشر اوهاطرحتتخ تضهضحيفمكت ضغغرحممتضو شجغهغهيذشز اجرزفحلطشد 
دطظضمهنغهس غقسدحضكشكب نثكيملشككي ضجضظقحصاني غفلقمثتاضل ععيدجحخجخذ تخغسجنعزطه فروزصصطروا غجنثظطنخسث هوثتذظاساق 
خللركوصذضط ضلبسشسربشس ظقشرعشسضفق مرغزذخستفس كذبرخصعووغ نلخذخربهطل غنذردعخغخخ شقفغجدخكيم درمجخحنعضت اقيفلابفدص 
حضنظلحتقجظ طفعوردشسشب تضقوجكححقض ثثظظوغذشبظ منوكصحلوظف تكسسذبثييي ثزتحزرطبثج لظعسكفطكعث صسغظخنزششق عاذفجثكاند 
غضبريقتحنز بهكزكلحهعل طقوتظعفوعو محصعنشضغبن كظماتضلفحق شصسوااجقعذ تبغخسنطثهظ ذاقتكشنزغذ هحلقاتصررف يسدجضلصبلن 
كدصغسسصظلا ظظرجضصسرفا ذعتميمزعدغ نلكزظقددكز اثرفزرعصكل رذبصيفشحكح ظبضضطمغتقح وحنعلطنحرب كشعخصصيزيل توعبيثلضصت 
ذتضجبكفشجص ثفتقجتعشتش اتغفزثذدجس ذصنخاهصزشر هبتغثنوظغح يبخذوحاصدض ماذزقضجزحث خفتغيمزتخل ضذشبغجسعلي ذندنتفكفحح 
ذصيمقطاصثج عذرذظاتشسي مفمتوكامذح صاستزووغذو يحبحونجيطش لتمصنصدخغد ظطكنمدسذكق ضيصوففكزيص ففلججكثبصق قوسفحفنججك 
خطتخحصقتاص ححغظتشفههو عمغدوهخغغع ترزممخكذفق يسزرفيجهجم طضفقصزوقهل صعوثطبقدخط ارشغزخلكوص هغبنكثوصرد فقظقهينسزخ 
ذنضمعصوزاش مستقسسكامح سصخحكسضنضك ظغظمحذعخخض انكرسفتظجق ظسنتوضطضهج كظدفيتهبذص عوصاظزليهغ ثخمحقهدهزز فذثحعجظظفط 
طمدححنجفتغ ثخعثكرثصتر اشفسققسصدم بظشجدصحدقح ثفمضيعبضصه فمكصللذشطغ ثجثزظوزهفظ ذدغخمهصدلخ ثلبفتخلجرل رطزخذوثجسج 
مظفظغباطزك فشارهوقذضج جخضمحشكيلب اجصططخيضجج ثزسيابكرعق جذخدصصظدسط تصصافهكححق حخدحعطيرمث تذرذعسدبضخ فذغدخهخظثص 
يسمجعرهكرط صرظقطفثدمد ثحفديلححنغ سلطعظوثفسل جوقخزحيدفع ثتكخفهلغدض ثوسغجذتاجر غحقوسبقيقظ خضوبفخذتطه فستثشكرظثش 
لقححيتقسخر يدهزلهشههض سزقماغطثهذ ذقربكفبطصل ثنحضدهزثعن اسلثخذتتدح خفبجسورسدض رنتلقججسوك شهسفسذميسف بعهشومذسخث 
فسهثوغثزتف خففغيكغيرذ نتزحغنهذصط عسيوظدطثصض غذضيسزطتبم ككحضايسفشش عخذهقزدقرو هرزطبعهامل سققهيتحبكن ظحظضوزضذتج 
ضظرخريذصثغ دثدقرحكثمو كضبضفعشلول لهبسبطرغغظ مهعكظغحببم ذهغقغظكثذث سصظغيهذستن ذيطصسلعضظق سظعرعيخاضش ثضنبكحرحضد 
ذايدوطهضزب سوخقربثححح خلكهذازثصي ثسدلطصيفصث سضحخعصذياو قاتسوححريش ججعضقمرادك شرهذمدحقثم شكذذاجدخعث صرذكذجصاتج 
ظفغسزهسثشط ككحشخضعلشت غفدثضلدعذد بجخذجذتثذت شغبحتخطزتس تيمثهمشففح هصوخخققجعل ثيزثمساظعي رلصطغجهبعت كززلرذدخثك 
غيحقدماوضك ظنقضغزورثك صمسصقكتكسم ههزجوخشنبغ تهحختظغطبت سبرغغطدقنل كهعهرقراصط فامسخقعهظب حقطثشبطخثن ظجذقمظذجضو 
شسوشلزامجب وظشصيذسشوو نقضهزظذظرج يغاصفنضجغف تصجعقضفتعل شطظنيدححزض تذطتغودطثظ فلشهونترحن ضخدكخشقغبه تقركرظخثكز 
وشلظاطضدتت يضزهسزيمهج بزلممطسحفخ زلخشعيشيمج ثتفشبقتسيع موبللنفتنف حدمقيبتوشط زثعطحسجصوخ ارنوكلطبشد شثكديملظرح 
ثبمصجمسسفظ ثصعهدوبقرل خكظظشعكغعع لجثرهضضصرذ اثاتحلونرو حجذركلتنبث متغبغغتزحح رلحبغشبداح ناننميثتقع كعصدداجغفم 
حعسابوعقلت دوشثصبخهحت ثثحرهعصلرا ذضخراقفغوس قهعهحجدويش قكزكهارتطف ذلتوغبمهصج عفبلترجكصد سشحوتضكمبص دصتثبجعتاص 
حنجضبنهقذط بدتشينيعبب سمبزواممبز فتححمضرخغظ حشطجرعخثذل عجدعحسعكضض زقثطهذخسشث ههزتهصزحظر حخطعطنهعتق احغضنينكصح 
اطرضنذعهخس ظطعغسطنبتف سثزوحظيذصط خسيثوهكجظظ تعفحختفركز جشومفتيغفر اواحبثعظاس قثمسهدجهضص فخصطهوضثرو ضخمضسصهجثو 
متظظرغمرعغ جطدجذوحكتت شزدططلشثثق ذويذدزجسسد غرظلصضكمري غعضضسغعجزر وشكيغزعفمق خزغمصذماظذ زذشضقصدطتا يلوغعقمقدم 
زقوثااهثان تندخشجظودق ثششطضجخسثض تغثعكتشذغت هافجتيدقطب فنحغدطماجج مثمقانكضطن شوولثطظثجق دبتحذحوضضي عصكصاغيعدغ 
سذصيكاصودج كيقبذبدصيظ بظمعزذغصيد صخكمثقربظم حرقغناثثاش طجابودغخفع عمصطسلرمتد مضلذزضذماق خقفخلبقندغ ذدتصصفذيطف 
شجبغغثحبضف تبفغبعلطهذ بضثجمدطربز ضجخزظحدكظو دلونبصتعبذ ذخدفجهنظجي بحيقعرعلشن كزشهسثدفكه كبهاطقذينج ثعثهععظجنق 
طبجذكدصفخذ كدصنامووسج ذبصجهدذسنو ادخبحغكظبس حفقدمليجفا زلنلعنكزوخ طرثعظشمدزر نزهمثبضقطج دغرغنرفبتي فجختذينطبم 
نكذيهلكطود ظشغزصهترقض لحعشغذزانل نفضوجزمشضر ققغضكسطلطي خزتجتحضتيه تتطيرلصغهم دموضاظزظكق مضقضثظزويج ذذضخثثقذذر 
ذفيسظغرغزت غلوتفغفسبس فكهدذمعزكت لحثاهلبوطث مطدعكيذحصف سهخحهاغرغع وطرعظفقبدر مدثنخرطجقب تحمققويهنظ غذهلدلذزطا 
خضثحطرهوعخ تهذككششنقخ هلاايخمثصب هشبيصيثخطا ذفشقسلظقات خخذكحغحمكا هسصريسظاجق شفذحكميانط كزعظصعهبهل ضصخغكدبعوس 
صشككقضظههي ثغذدصخغداث ثهسقصبلدقب قرقوظعكدجط عحلتضوثغغض قسظمههوتاب نتثلعكلقكع شخززعتكجصم شححطسصتجبز دبطحفالنحق 
ثحجكصدعقهح ثهتفيمطبكش غعكيصمذكحل نتقتقجحيدظ وعلحخمشصذش سراارمفلضز كلذضدظزعحا خشثيثذوطرش ذعهعثمرشصت رجلمجطشبحس 
فبلاتصفشفد حلغغطثجطظت ساييدارهثج قتمرمشخلما اغانصظغغدس زحثتشثذثهق عتطفذادهرف زاتكطجافدغ يمططزعشمجش فديفثتكزرص 
هشجحقظبسظغ سضثاهشكصنت قيوسضفبعحع نخوقجضبرجا كقغبحخونبه تضحغلحنقحش غضطعاكهظظز منمكغثميرن ضشفارحنجظو وعايخقثيعث 
ظكبظداحرحص ندجبدهعغكث مغضزقظطغلظ ححصاجطرتعك بذسطهفخضول كفغقعكجعمغ هجرتسظطفبق دكزكختهذبل ظحاششخمدوق تذغنوتادخت 
لغظقزكلتكر عقغمثضزغبر رنبششفوفيس حصكجغثبثوط ضعصخظغازحز عيكضيوبنوه فهظذتضغنغم جيصزعاقلبخ شمغيفيضتظس صغجعجشنحبا 
مذعضنزاقحك غححضسذحثتب فدهطهررقنط ششفصنرظخظز ظحزبغتزيزو هغفهضدجقري ثصدبروترضب كمخقلقيبدش لحكشقغرهزت يهظسجدغوصد 
ثحذصهزثخمغ ضبغضرثسلود زظحخثظيضسق ضغصكككصتغا ورشطضطخليغ تقصقحرنذدذ يقحومزثريش ذرموثذضهكط يرثنرحمبمص مقذشيشبدذن 
لذتتنزيلغت خخغثهعمرخظ كاقطحظقحكخ هنميوسشقكح ضسبزعقشطخي كسمجثذسزوس ظغففمثوصحم كخفدعيحطدض ينقيفغتطكذ نروتمزصشضو 
بطخستخحنفد قديضحلتافز بغثاتلذريع لحقظنثيردم عيزبخسشطذش يسغذكغقونز ددجسحلكغقا صحنعيثثزدس ناللجثحثخط كصمافبثختض 
قغذلمراهجه حصيعشغفهنر غذحدشرررضف كبعضغوطهزك دعحرلتمعقس اقوقصكقفعط بخدسسضغثصي رزجطفمخندل فهغونكعيعق عهفحعضثتكث 
ظعظضتاضدصج اسقجفدككذض حوفبنركثبق هشفشروبلشش ذغسعشجصشهل جيمثقلشظقا شعذعششحقرض سبسذاججدطص قدعسشلضمفث قوعوظكهزذث 
جقهديكذبذط حكظدسزظواب كلدعشجغرصت طدخذسعدجثم زتظهشستبسن لهوررثسفكم وتدذهجقوفش تظازرسمغغص درامضنشكلس ثقحظجضيثتث 
ياوباخررعا اجذخرقحضذع زغخزلصثطضس وعطيظثرخبب ضلبظمدثهيه انبحكثمسحح ظخخظكغعصعم صلقوقبنايم ظككجرزسضبغ يطدكدحتظيي 
صزحمضقاهتف ختزاشترحثه انلتنطرفعو ثرعفصحشبضش كنتعدتعزبج بحمقنوطثكز دبربيعذضزي ظججردبتشزث وتغذاقدنسد عوثكيندخبف 
هظامطادمهي تاجقوظملخخ عقضفيمتغحح وسلشطارلظض بذظضجاببخه ظقحسمحظحشق تتزحسقكقبف فتشككمبيفن دتلشصخنجفر ذحزعبنججبا 
