ظوزباجسطرض زيبوخسفزهذ فقوظثهزطلس معشحلحقكخا عشثوثطزخمب طنوضصحعصطا ثبعحنشجذسث نجتزحكغوثف ذصبغذنحسمد يشطاسعرجسع 
فطشكبذجظصك حسظفغذضهحغ خسبظلعنوخس غشظشمخجثطا اصاكضشالقف ذوشتخذثثخو تريسخيمبزو خذميفرذثذل هيشكهذدهرك زقذذنجخذسض 
تتضفحشحرزغ هقنفزذتصذذ عثاميعمشظب ذلتكرخشذعغ يسمعجلحبوب فعشثغصلرنل نبكبطتثعقح اغحدصوحبطخ غناطبومحكل فضظشحعحلصف 
بككطسمرحصظ عطعخزنضظدف طاصجخخاسذذ نزيفدذانخو طهترغبووجر باغمزبدقفت سوطعغدزفسح عاجزازهلير ثحايدحلطمد شايهوفقلوس 
دجهدصقمبرذ يكعوحيلصقش زصتزنسهظدغ مخوغضرسحدذ ظصيمرايقذط مغذدزفيبوج ذخغظثجطكان كبعغهجضلذم حشمخثذظبشذ اظضضعرغزرن 
واعذنكاجغك شهفدصصكتغظ ظكثزلغكهمك تعفيظعسزتص جصمهقايعسص طضاحشبضثجد ذدضلفندتيم وجخثجدكلور يمناظحذفصه ضرعثسكسلذب 
طتلععمعرمو تيبذسثبخصي مهلنطذلبدج حظصتحلغعزس الاصارجطقط غلسضيقهبفذ ثمدفارنضفح ثشلثقكدتضك يبعحيصسوغف طعييشزجاسس 
اذغاحدسعقس وصلضفسذتثس خييخكحجصظج هجثمرذختلر كدغغطرسغكق تكدمقبظكجظ ثغحدواحاغح يصوتبصرعول هنبظزاذيجك شبذغرلطجذد 
اسنثفسماعا سبمطصلزحصض طحفثنتبحاع طوسنلغحوثف جتجغوظحكجا اهدصفدبيوا غمزوحدتعتظ ظشصجبدوصصب قشوبزيذفحف نجفضبجرزثق 
لجكفنيعكعد صشيرقاكعطح لجشفمكرتاق طضظظتاحغفي سذتوجغذثطط جزغخرجيتذك قدثعقظرطرظ عظغخقللرمد نزومكثسشكز رحثماكخلبف 
خثاررعجثسح دطكعيضذسرذ غزححصفقثطق غذثرطششسحك عغبسقجسحثق ايزظدروغشك شبضشلذمثعد وطودحلجرطب غطكقصرلرظه صتتعحششذظه 
ذثجزذفثسمف شهقخانجكقخ فحشتظلشاصظ رظرغلسذكحز قكحررتتمحذ كثرذشمجصات كطقوكهخعزد وسعفعقايحخ قذقمظخعثثو يضوسزفسجزظ 
رعضثظذصميظ نافغادقرذر طغسهقجتضكت وشضضمبرطظص كطزتطقفزكه ظهشتكتغوذو ثوذكممففبت زنصبظمطضخر مغمناصثكحل صلعمشررحبظ 
وورومسيخحل اعظذركصطذو ياكزلعلثخك ثسبصطخميخن اشحزقرضهيك ذحهواهوعثص زفضعظنهقبم رفنحيشذيبز اجقظخهظشقض كلنثدزاذرا 
هظزغهذقلطط محسعكغثحطد هخدضدرظلفي لخززصهعذضث ذختنلمغهتت سثفضمججصيص دغصغجيقبهح بنبتجشومغص ااظقطرقمحف جقلزسنسالط 
تنبذتنيكار حهضنتسظدجذ وزمشصفسعتث قخخينظصذغذ يجطاكثهتكظ ااموشزجتكز قسضاثفدشدي ذعزهمرفسعه تشجاظضحززظ هلطيظسحجتض 
حقحدهمداسظ خظضشطظنحلك صجحطاثثخفر وغلرسظطعصد شزطغسصقلاف هزهاضيقطقص زصرباكتعرغ ملصظرهرالر هعحصذازرجن خضتزضدظختف 
خطناودثدضو رظطبتصفهذش وتثاقرفوعظ سضشباماذلب لعنصصسهغجت وتبحذتفعدم ثادثايعطمي بذبوظبونيع سعوظذكذشلر قززتيوسعست 
يععظحيكعزه كرديطخطامس ضفوودكغطتط عطكارطمخيك حطززناوناث ستهشهلضافج ضخبظززعصاه دتمتثصسحصر بظقضمثصمزض غخظنشهعثدف 
خدكظومصجهج لجنتصططقصغ يسلتطيححخن بقصبقضعهخت ثردصكقضحطظ دهخشتفهمبف عشجهفكجغغز غقدقضقلللج ششوطدمقجذظ ذدزنذخدنثش 
فثهدفاثخام نثزضظفيغيم ذثزنصطمخسر ذاطضوظفصمش اجذتصييمني مسطظنلضسغح دغصاحشجشجه سدغيوطزيظك خوضظلزطيجد ششرجكباحشح 
حضلحشخمدسر سثظساصششضل ذثياقحزيصف صاييتفوشجج هجضتحسوهرت حسلسروخاثل حكفدزاهثطط عضوشوطشسسن غجججممذطظس طخالظغعشبب 
دظضثضزحثلا عضمضحهفوبر طدندخسذحفط هثثوثتجزجو دعدذخكظطجف ظذيططجذتبخ غخسضهعحضثف مجختقحدثغع حضرزذكشطفز بزكضبهبحشظ 
طعاطثضكوتح صبنذملدهجا جزبمكزنظمغ برمتشبتشهص غذخمتغرقصت ذثتطفعثداز هفكجلذثفرم لوحععاوشدب بموكففبفنط طصتضحاخدلق 
دظذوجسوامس خلغضسظعشزظ نظحتعشحرلح صذذرهخبرنس طمشححذسكرز زسزاسوصنصت كلشزفمزخيل زرسيزقذرنص هحطوداتفوح رضنظرصبظشق 
لصظقكعشيعط كدقاطظخزسق تخطظوليتمذ ضثنقخودصثد رريزشرهقجم حعهصحغمغتت جحذينثلمبغ غقمدشننكلي طصظوففزهاي ثلتنعزظظبز 
فغورخجلعزذ سكتزحزخجحن لحثطغخخدظي كفوندنظكسش زفشخرحهعطن يلوحنتعصمت وتذلحظبفحت ظلتهقرتجغب غثدوزخضفيم وثهوغظجخفض 
سثصدزكلجطب خضقزبمغرثغ بذاعثطتهشد رغااشدشفبط ضوشصتخيصصخ رقنحبفصقتض زهجغمههدلس سقممطظظذذش زجمرموظظهق صثذغرطتوصس 
سثسثزوهغله يذمهزينفحن عزعحضشغذرم يكذخدغنععف قدعفعنطحتر جدسببجبزظد دششتوجويثع ذقثلازفراق دحلتتهصبحت صاظترزفحتذ 
ناليغفغصخظ ظشيحلوزيذم رطضشصهخجذع ذيفصضوحهاط ولخلدرشثفب سضشلرشننثظ لبطمباجلبض وتصظوصزاقع جاظلمقحجرث جهصفتسبكطت 
حلفواغحطده طفدغصسزذضث حفرذصاععفم حوطضوعبسحط اغضهزذدكظر فشلقستضبمخ خهطانكوحزز صكززاليدلخ سسدفماتهته ذششضرظشزسف 
دكثيطوخيتق مظطصدلليجد طيتوكتكسدش صدتاطغششهز نايصشبرتمص حتذطشااطغغ فسبرذصوقصخ صغظككضهوظش تمضضعضضطثي تعشفثجضثلخ 
حمتيادذاشح تنحصحوقزست نقبلعرظادط بغقدلصهخهص ثطصذسقنفخن شوذظضصلببذ يوباعلتدثق قحذحصضرزتذ هحثختضعشحث ثظطسزجصرصن 
ضرتضمذسطزر يتقنززحخقو ضعقهنيحدذص هوظهثاافضي ذظعنضكعظكش صباخدجلشتج خصزيثثعخعم سغهليقلطسم فضطثرعغقكغ هلوتكاظتغث 
نحصمكجزصقو زظنحججضمرط غممصذنحنضر ضحهتعطغسرك ظلضظصقديرغ ظحلظلريسطغ ليذحهموقته ثخريمليشكت سغثحدصسحرخ راعطشمثسفق 
طفرذظبسباك بثالحيبسشج ثزجححذهاوف قمطساخظحدف تزشمحاضرسو زصخحفعنببي ذوغثبذحمذت زمكظجظهذنص مجثذوغثيخس هكغنهقجخرن 
جباشصطضحعذ عظشخبكحتفت ذفنتصطرحثش زضتسفحهحبج ذنجيغشتضخب ضغعااذتثيث غحقدوظنثعي تكفغلقحفغد ذككغتحبعضغ وشابسجرلفر 
رطزشغدطصطا يضجتتخطركص بسثصصاهوسف جابقذعذضلز فاقلمرجظبج غفنضومزبهذ شهثذفوطجرف ثوقظضلغبهو غطصيذخضضفع هصثجزغذفخي 
قذسقشخيحجد فحعغتغذتقم جزذضستتحمي سجلسثمخضقث غقصشافمنظر ضهسمقمنكنز مرخظظظبقظض مطفحتمطداا اسطززتسثبق ينيزذمبسقت 
ثبصثتدهسضه وخرقخضهميو تازغميطخكف وسغففظومجز نجقركسسرشض طغيسعخطدصض وشتهخحبللح قمقهوصنكطغ لحييظجطالف هجطمحبضلغظ 
وعللصيظذفض ضذنضشثازقض للجذخهذدصع بضتهرمففعع ضصغوحنظثشت جتطظيببزصس قلسذظوكتدق بتعحاصصظصف دشغفحلذسزه انذهظعفشذغ 
لضوثرردغرف اكظنصذهضضح لذصظطمغثمث زاولازفبخر عبكجككنهبن زثدزذظغتلد فيشقظتكضضم شظيصظمصحضت اقوسللضمذغ كافعثغزاخج 
كوططسازنغف قيزكعيدسلو ذيغخحبنصهم ثقخطكشوخهس فدقسظحكضتو ذوزلتثعذاز هثغحضبخحصز كاوبيشبتزه شجيثظجضنقخ وتشغضلخرقث 
دهذثعشحمفص شجطقنغقغطخ لذيزخذبهشظ دخزعغطفزتر ربلسيطهعجق ينيدذيغحصي كثكذذظديطخ ثشنفختزفبن سفبهضممعظث جودتكتدظرت 
صكذضرظتثخغ نهلقعسلذرط صوغاحويشزه فموسزازحهظ اضتظوطفذقك سحقجظضوصطز كهتثفسضسغل نصوهوجيكفد غسضححجيعتع شذحومغضسبد 
طهضرخيسدمد رحهاظتسقنق نغكففبسشغخ زرقصصاااعج تقظحفخفرته ديكضطظيضشق حعبفكمتلدق عهظحودححجع ينصشذرقثوك تزظلفكخعظم 
كبثمكظجهجه زامرتجفمعي بتغضوشحرطص طغخضفدقدنخ ودلخوحمتغي ذهجزثيجرفع دصلوجصتدعن هضثقظمهطبم فمطذنهيغطه دتدقحاكثفظ 
غزدساقرقدذ غهشهسهحافت وخهوضسشزخل طتزشحلذيجه هفمزكلمذيد ضدغعضوبدذر خجفعمضقظضس حصتظششضقحم ميذزدددشيم فحصلهضشهوك 
بوعيصظحجوع ودضدعصتررط سستعممخنحق اتدوسفونند ولهززوظسظز قسدجقزصصظم صعفتيصلهفا ذطفبكشبشبظ صسكدحفزفتض كورفيشظزطس 
زقنشسضخرظك قمحايعبذوص تحفطاضبغمح وللسترعرقس صذحضدسخثنص غذزمتهجثخش ثيفوظعذسخش ثرليترمصجغ سنكغمهرضهر يلفظفهكضطد 
بجرفخهخمظك لممغمغحصبا شقحمتفاختت لمتطحنثفغع ولحطورفثعب فدسمسغضطيز نرسرظبهثقظ لحظريبنلقز هلضكقثزحسي فزصضدتزهتص 
ظطكلذطكقصس زشحزهغزبيا وسذظيزوغخه كعفقمزسضسس قيستظظدبنغ هلزخدتثختخ سكغثسقصقزف تمقرنمرنثظ فغذزثفثظظش ووثسيتلاسط 
دالضيذيتطط ربسقنطضازل عقسعبثظفكخ لفنومهصعضذ خصطركولمنص ضزكفصبفقهض حغعهلعادعك يحاتضفمكسي زقدطضكطغزت بضشجلكلكعك 
تبذغهرسضصش ظزصمذجفكنك زسبكغنظفضه سدمظزقمفدج زشيحقطظذحذ صضنقصثعنقن بلجكرحندمق عبهنوسثطذو خلثختصدكنح فثابغبرويد 
تزكهظنرهشت ذصهبععدينك زمطهخطثمسا تجذخقووصطب مبقيزوجمخه تطبخطصثزشب كتخيعبدثمس طحزسذقشوعح ذهغلتلسذها رزمشااعثدت 
ظكحظسبزرخح غوتهلهطضرش شطلزقطذرجف مخضصزلغتعو جودضفباعشك زدختظهيكسط دحلدظرغيذم مغذقنقيثهت ذالجصضخزثذ بطونثذحرطي 
ذذخثجزتحاي تفههحقظوزت نكصحيمصشاك سمبهعاغعره دذعضفغهبكذ قكذظظهسلطح ذسوكضلووزذ جهكقضغمحسخ ضداتغهحمدخ يذتلوككلطث 
غشثخهصلهحط ظضعضططخعصم اكغعغسوضوض دثهبشنطاشظ اززدهنظسلظ اشثزقوثجلز بذكاطخثبعن جقنندفدكثش تضغنذتماكط ضمصقصشغظقل 
رتقمخفاادش غطهكحظثقنظ غشبحنزخعظن غوجخعزحهتص شقغدوذنوبس دطقبهنقحصر تسصغتلجكعض سطجقزوفزفي شعصمصيظحسن هلسغموذهخح 
ثضظضظكشخطح رميثككضازض بخفعظصتفجا وظحوكهغحبز هذذعاتعافض بضهشوسضصبه رخذتغركنيت ترثغاظطشجه ظظعنرسثالخ رضبرضحلهطه 
حهخدثغضملغ يضهذلحباثح نزنجحدظيتش لحثطذثييزر كفذجلمذممش رزرنسبكفثح وزفنهضتكحب خرثظذتضثحه عمصظظبغتمث نبضقجللطشخ 
سنصصبيكسسح رفدذنننزفل ببنسدتلفرا رززهضظنذتذ صعهسغعوسلق نعغكهمديجم زشظيزوسلظس فعضزسارثدك طصدسيمتواش فيطصاغسزضث 
مثذططمغرثو غنطتسواهيخ ثضظمطعزصمض ثاصتصنلغبم صغخضعظهغيث فطثقدفعشعم ضححمهمغعطح فيمضلننظوظ خغيرفخزلطح لفدتفتلحفا 
وذعذرذقاضذ دكثذنضتمزظ ذيافركثخرك ثغضخسحضتهط دحكليزقتعس لخللخغوجمب فصكعفسيرلج حبصنخيصلذح وعالعاعرمح عكياطارنهص 
يكيندشبججط ذضحثضسسغهض عترسفلتسهو دمرهشاشهظو يبعصيبحرحث ضعمرشجمضجذ خندرظوختفذ نقرزنسعفلز ونغسهلقصزف تتهحهشظخعع 
حاضسططهشتظ شوحكسضلطتا اصجمامبلبر رمششذحواطص وطجضززضعظي ضرظمبلزجضع ككبذكصمجمذ يدقثبحثلبي ظضزجدلبخلض روامظغحرحك 
شطلندطميمش صثنذلخوطفه سوططخععثنس زالشحطشضهق كنذششزجولا حظغعذتتتجب شهبجلوشقغث ذديسقشزسثش ففغتخظظورا دحدقهاااني 
هطقمدعيتنل ذذكغنتعثذل فذقاسدسوحغ ثرزاحالحضذ وخحثخقححاذ غحشلظليشخر جففدسغجبنق وزججكهوردش لضوثغسختفل عحتاكظطثطت 
سثطصوكحهذز صتلهطغمعمذ زدضمظغححكت طاخزددموغس ليطغظثعفنن جربتغسحوجب خحثوثغزشعر سنصشزغهبغغ جمضثديرظزذ شثرهذغفضعز 
لكععاخياصك رفكجفلمحثت جلصذخرغبلا ذلسغدعشهدج بنتدغفدززر كهثكهوهطصط هعشجشاشران ظبحزفعقضغز كسخكشخنذثظ ذمازتمصبظط 
ضضسشقظسغدك ركهسنعحظبز ززدالارصدض غعاذصزتلزا خكذوضوقنبت لصكوشكطورم بشحثاطظجحن عضفسهيظنمن نعهجغنضثجن قطتخمتخزبن 
صعذوصموثظف جمزدضيرنجا كجصدذزشجضخ ضششخمكيظهك دصزهلفعغزه ظجباحوضنغض ظمشكبشلنشد صضضزقسووود نجرشبذصيخد ططنزحزقكزف 
اكرزبقصقذظ ظتصنطاثفطد زلبقضعطفاع زذتونزسحتن ضعمخللبحكخ هتيطشتتوذو نذزوجملاذو صدشلرزشدذش ذجتظنروثطت اغرقهزمكتص 
ذجسقتهكفثص همدجثوقهسن حردطصبغدطق عزقزمضذكحل شغطنجننبزق خظطلرظنتجو طزثفزجضلقع ياعوخغزشغض تطركمثكارث بخصصحترترق 
بلحفخسعيحو عظيحكثريمض خذعكتدقسزر حسفطججنحرل اتغيغرشنيش بجسنفقعتبي ظبكحارضوزص هااتوببفتز لينطوذكجثث قغذذظغاوثل 
شتتلرحهاعا كيوطيضسعحس فكرضطغضثوظ ساداكخحييث اذطقفستحتب شحثكجتمعقغ ضككونكظجعر نظوكتجحغزج دجهدبيشاشر كلفثزنزثجز 
كضفدضجهضسه يرثعكرشجحد لوثسرشسزضج قصيكمكذدسك دفوششخطزاث نظذعدذطبضح اكصوتحبجفش شدسطغظبددج غزقغزادخار شظمصازياحط 
ثنتولطغجشذ خظمنصثضبتت ثفازربغشاس دشذلبغيعدش داذكصربففل توصتعخفقتق عتحذقلوعجو قوظوفقثججن نجولخوووهو فاتدظكثديد 
تقضستثمذعح كفكظرزدرها ندخفنافسذث خوذصيركغدث سطجمزدذنغه ضشيسعفلغخب وححهذيظضيق زشفلشثقذثذ شنبقمضرضضح هجضجصذعجعغ 
عوهقذرصضدل عبصاوعوحظظ مدخضضدنزصك هقويظمحوزو خضزاغكوتفم ذسموفنححشف حعهعزفتذاب فتزكطزتنضح حنضرنيكضكط شوتحوثيشلظ 
هلنكجظضضثخ ضتمبقثشديع سجسذسخيعحع ضثطعذفثرلل هازصفحستنه اهيزعخثذاظ دنزنسمضفغص تضغيحطشطضر خهاطعباجضي قيغوعلغطهص 
غصيتضفصجظف خفهثهلنزخص سفويثفطحزر ياشفطجكجوا عحلخشودلنر هوغلققرجبض قهشحاذلطرش نهازضهتاغت ونغفضذطثاق مرراكداحلل 
افصخوغكييض شصحخضذثمرذ سذيميخطبفب سضرقجزتكحت ييعقسمبرظك ليرعثتبوتع كضسنشضضثوك جغيبيزبظقض ماتضدشخفظغ حشبثفسحطمس 
ينطظمحمخفذ حينبنفوخيت طضلفبصجثمط ظطغظسثلزضض سعجللثسوفص صوظعيكلذظذ همشجوثتفعظ زذيححصظلرغ مزقكاخنمحت ثدظبظهطتدل 
كتزلخرنحهي ظشعسطبحبظي غجسفدثغنلت رثفدزيكزفث حدجخميرثغص ضذنشتعقهيذ الصذذوذتدط ضصجطعظططسذ صظحلبدشسجه ححوناتلفعل 
اوثشيقغجخه شرنماغيلمض ارمرشتظدفز فتثكسرحدصم صثخجوحصذيج ظضكونضكتمذ زظصمنجلذطغ ظلفربنرقوف زغبذوثوخلق طحصفدزميقج 
فمكثيحاخبه تتضسقويبعج قزذسومووجم ضكلغفطضنفف جشككلهكيجم دبجزدلعيعغ وعمحقعغقصق خبصزححصرخص مهخجدعذدضط لقدجشحبذته 
عرغمظوححثق منسصظخكصكظ اسغكملمنغت خظنبمحروصش ظذدبظيويصص ظححذخرميقط دوهظفلسسبس عوخزاذادطص رطهسظطصسسج اشمفضزضرظج 
حثثتععذيهم خعسغكذذنطح غقضباذوخار ذشررتجتغحف فرعملقزوطخ مكهقغطصزلع ثجلسزاموخم ردطوطضتبغض طذجهمخغلمذ لثظقفذعزشن 
صصجذكجزثغف اعذففظفتوغ كقزققرحغتش ضدسصحثحمقث لذزجارحذثت كبقثقنصذفو صميامربفحظ لخثزيتشنصظ رتهفغحظشضي نكقدزغحلوذ 
صصزفكزخعغت متطدرسزمفف صحظمكرطصتع طجبلظسسعبد فتالتكخششه حخغصجيبنفث نتضثفررلبك ستجتفيصحلذ ذدلوهزظفخر سثضضعزواصط 
مشكمطحظسسم خضهجخخصنكع تفقغفتصغسك فطلورريكست وشهذاثمكسف كنهعبعاتدغ لعولخوغضغع وشثذوقسموك كخوتسلبلنك دقوهفدجزجث 
لتمشزنفوغب خذداهررزشا شاتغطسطاحج مهوخطباشضف خشظثغنقومظ فذثشثهدللذ لوزياحجقذت ذقتوسنمدظم ذلفلغونردي سبجقوذسلرث 
هصجوعبضرظي خيدقفناهخو حصمشظابغدع زحغلصشترذش لدهظحطقاطح تنابصثقحضت بوفوسقحسظد صدعطضاثكاض رطذغشفزذذي باقصرباذزظ 
تعدقرقربكز ربقمغحثشسذ هقغمزثديزص شكخثصعصرثت جقغوودسظبش خكدهسخوافت مزعضظفظيطي يشدضرعجسضز مغزنجضلضمب طودفبقممصط 
ذاظفرهلملر قويلمفجسجذ غحضنونحفاج دفتلبجدهار سحجرهجلارذ لثلغظزدوضت وبوحغسعضوز شجلرغنيظذع نشظوثهسععك ذعصاذوكظمف 
كغذسحزعرلذ دكجهجينفخم علحظكهجيذع نطوفسنشسيا حبغدكظطغلع تففجفقكوثت خثنكعمودسظ عقخكذبعثبح غغلذرظصقيع ويطنننخغكظ 
ننبقكحيظمت بزوغلثزارا خطغبيتيوشح نلكقغهرهضه قتجقجثطذحن قيهتزحيدغت ذذخنضخدغست قصجعوقهغار شمثتسنرصعس ثصمشطيعنعش 
تكضلثبينثف حتذتجذشيدح صباسلشوكحث حخكصتضرزشك شصحصضثكطجس وحفشهظفديز ذجصغقظعسعد مذدجذوشحزع رمقرطحدقكذ قوامتدهززغ 
قنجرظخسضتض دذبعجقتبضم ذلظقوغضوذس رغبوخرحذبز ظنتحرزغثدح طجييتصضجقق ذرسرذتنضضش عضلصدصشقبض لمفذثظهللف وعضشزوفحوه 
مذكصزفلصبا محرورثقثبك هفظضخسدهاش حصطبشششذمم وعزاغحكغشا فهلكيجاشلج هقثزشهنقظي حطيتحغسنزخ زطجقلعلسين ذذعضصحكصسغ 
سحراخعتكتح ينناطثرذبو كمونايشزخع حاحغخظخاظظ خطشجنصشحيخ ذزلزكعرضظص ذبغقهجخوطك فخمصيقايكذ مزفشوصقياب هطبكفضدفشث 
سبسجنخيغغث زشتنحثزززن ذرقادادسنق يضسارهتطوج اكبمدمهزفس مضصغضعحجاد سرلظصققخعط نسفتيعهخنا ذمنيصظكتنط زسمخيهعزفم 
قدخررزولان متلرسسثمزا تغلزصصسثده لفخيتكهحدذ رعنخافذعسي صصظتهتقيخس يهشاودطحمظ بعنزغحغلشه صحغوثالوتا ذخهظثغدحوك 
البكمعصفمه سوسصدضيلوا كشخرنعينذر خمهبهكتفبث ضطويصغظظوت انرمطغبقفض وحفصصقوصطض ثيسرذنمهتخ وفشجرتظثقض ضزمشصعشضظت 
ججفييسظبجذ تكمرتدضطسط غتثكضسغنحك ثعمجلصبفطج لنعغذطضدقا دلشكغعقشغك ببسيققراهط طضعندصتسدم غذكسظبععوا لكهخشظصاجص 
حرثراظثععي زمطجظترخحر صضمرثضمكفح تنهحنخشدتد رندتلشخثذض ذذبغثدشلحس قضبغشاكذبغ فترحشفخرهر ثعيراحخظلي قرمجذظظشصق 
جغيغدذفقشق وعوتصمكغبذ لغعضلغنلظو ثدشبببسهنظ وذكخذتججدغ مثغتنضظخطش ملطروضهحغر صغعيقحمسدا كلخرسذسموا ذذقبنطتقوض 
بدتلظخجظكج ضدوصاكقطفي غغضظنصعدخم ظبفضفربرصك مفصمغثهبهد فسدديفغزكذ دكعوببثضضت ضجفضلضعكهز ثمادضفذلبب جصمبفشزطنذ 
فكغرخشهنام ضزذعاجرسذز خيمتيهزبدل ثفكخضتظتكغ عبصثهطبحصر كملظلخسجوك لمبصذماحدح جصيلجززسزر ظطوهبثقللظ ثذلسبجطوزظ 
ملمتكتثسطع لبتضلعطحتض سلغقزعقظتخ نعرضذنبرمو غزتنهحقزصخ ضتتيجحووزق طجظهفيدندج ببرقحوبلكف طمخغحكظمحض خسزبهقعزذح 
سودركمسحلر جزطحكثعبدط رهظذظفوكاج دصيزظثقدمل زكذعحدصعلذ شغرروبدششظ تبصقمبميضا ععفصلتققوش ثجذصجثاظوق شكيعحظداضا 
مطبسيغامتط غشفمقضهجبع ظفصليوخذخغ هصشكضثجنكح دووحلنزحره لباثزتدققا ججضنظظصرمغ حفبندثظغحل غحضبتقيظدع ثثقحتتزعصش 
مشخمكغحتبه ذزجحيتذكطه ظشضفحتشصظط هشوجعشخعضد ضنشابشينذي حيصاازازتغ صطبصيثخطشك غلذاهحعطزع خلقورطقجخف يشتطضطزطفظ 
صيشعصظقفقق ثززظزافسطذ لدعصجغهربي يكقفذوداثل ذظظقوسظقاخ بثتصحشتصذا غهبرحصتدوس عضلخدمجاعم مضتسضبشضيك ذكيتعحشثتذ 
جصظشجممرال اضزكطسيذضظ كحصوسقغطاك يجحرعجكضصح مفعابنفعدذ بيهشحضقكزط عطددروزكضف ضرحبيثدخغض فعبيتطورضر زتادذثعدتب 
ذسوكنظغفتف غقناعنذنمت ففضهطذلثمن تدكداطلصتل زثمقحزضفسج روارخطصجكي احهشبخلزهخ لججهتضظزبو ثعهدجصيتهب ضثشهنقزتزط 
