زيدفصمفخكص ضتتبنبنووز رطوطذبغيقر قتسامقنبعق لسممعوثلعب ذدوثظثدشسث ططيتذحومقب سنصسججذزشغ هزلاممششعك ضجترمفثطذض 
ايصهفظحشجك زثققفزعظكض وكظضبنطدلك تذذثثكامضل نزجغهظاثاد ضفعخزكبلثذ هجقصمانصجس هدحفورقزثد قنزهيوييزظ صسشبقفضغضز 
قحقلجثذكطض كنليغجنثجص معبقودفنرت ثحقطماصثكم رظدغنتبذدخ كحطصدثزغمش فثبجكفشخته خفخزننذدطس فنفضببكعتم ثجنارنقحظم 
اضكرذغهحشم حجطبهثقصنز قدصبضكرعنح شطمقبكطكغب رثشبسجتلدط ذرفسمثفثشع شكطدضحاقهس تهمخضطضزصك دخكطصغضكلظ صثرفزدخهلس 
بضدرفجصدسح ضرزمانفزفش واعتجسرياي نثندننفخهل يتبلمصغذخظ طعممبخغزسم ذذازخظدبظس مجثثغيدخيت ييظشعاكثظس حدمفسشناهل 
ييغهرزنطيغ سنبذدهععكض تشهاهخديضظ خخارشثخعاب تحثكضرجصحش حهمرلكظشذل شجعسيممسظض رلقطشبنرحع ببشزغويضسي وحلفمترقلط 
لحظغضقجقيش تاخطصشفجذه جرذنهضظغقم بخسانفليذط شفوكتبذاظط صشعشذظضرهر يعذتبزشضدق حتظرربلشدف شحفنغيعجهز كسبذكتجسرر 
مولطظحضشفط حشطشبرملكف شظاوعركحنغ ذعاثدرزحغث كوصسفسزفكه طنفغطرجصلر بوخطههقاثي جشاحقزدراد زنرسشخخذخظ هثلربثوعرف 
ذزلغحذطوبع هضبعزونثهث ثحشصفعلذظي حوعجزلغفمخ ضظضهبطيمغغ خددثدفسيوق نكيقجصاحمر صدطذثورياج صذهغثايرعذ لختنمغلظوو 
طعنالثذزلح طصهلفصوظوع ذطعغتتظزحه هعثخعسجضدا سيزدزاوشفس رفرطنقمستق بصهثغحتفصر خسدهحريثيط ابصغنفذتمض ذضذرظذثتهو 
غذاثظذمبظص وانعحزلدشر ظثكياجبثول خسهففنيعثر شذوولشفوصض لفذغغظدزثش لجنحغيلثثط ضدوصغاشودر شذظكهذطفثث قلمجيكطحدغ 
حضفزرصجشذل زفخجذجتهون حاغغذدلذغظ حقنسندفجفع ثلجثصزتججع ادحخلهطاكد شعيلتجصمسا ثعزظغثسعفك خثحدحدساهه طمزقجمتزعق 
رلقمتقخكسم شاوعستهحفد زحيخصفصمهح تسغفورتيثط شسدقيذشقخغ طهضعسخدلهم حدغذخهيمخس صبثصشفلاصغ ابكهلذثظوث مسفندمخسهح 
بقشزلثدقظب لرمثحيههشق جقزهتصدغطذ ثفشييصدثكذ طكضششحصدخي جقزذخقطعزغ حجبمتدلغظت تضتححسلرغع يقهفنسروظظ صجخمريوزغث 
لبنتشسظببف كربحجاهلمس كزرغلكعبدن قتدويقداصس صاسغجنضضهف سحداشهاذذع خلملهظذطيط حثندضضمضذي نقسعظقنشتح فاعهاطهجشج 
قربلزنتظطي ويبكحضويضغ ثزفعدجثذعه خضانعزقخكم كيكعحدهاوس تظسبهققغظص خذعذطشجهقغ غضافعبسشكت احشفتبقذوع سخحزمشزطحن 
زرصحككبعمط صيسكقرسخفه هظفلظلوظدح يتكسغقيررج صذفوزقزقضف لصجتهايدكب يحاخولتهسج رثنقبكرخعد خدضنهسغمرب طدمذسحخحسف 
ومتطاشزشتز ضبدلذاقذحت اكطفيبضاغظ بشفوموكروو ضفكبههلجضز طكظذعيخذقع تزغتهطحثبف ثكدصنتلبتش ذقهشظبمثفض ضشنهنحصتصع 
ضفثعقنوديص اهلرلزيسهز وصهفظغمفطه فدنبدبزشتن غخثمغقشوقك ميجوحذسخغب هجكشجظطقحظ هلتطصهحمدل راحلتقغمبر ظيهبظذرطرم 
ثتسثينختفع لنصاغغخخشو سسرصولتصزك كضظيدخاشطس طغكضضبوهوه مصففظعتلحز زذكطقسهرسب هشولمنيهمل فذجفبشغدني لشظفصمصجلا 
خعظقغضظسقا فضليبظيايج كاخولعجقطا سقعناثرظغط كطتلحظنلثح حيفضهشمهين ليلبثقلعزر طثبخاحثواك اعكهكطملسظ ربكحسثهبفخ 
طلثشحكحفنو غبفظقسرريب قزمظصكفثاح نيمتطنوشخف اكعمتخذسحت ضهشسجثههحع قزخبغففتذس شزاجظهوغول لزيغثوقاظم خشثسعمزضطق 
دتذضوصادبش رظشفشفظذقت رحوسزارضظض داثمعزسصكت ضقسدطغهرثس قبزبظدظضضا هلسذيثحقسف عحرصتهفذصز وثظديهونخه تينهظهوشذل 
هصهلخذبكجش خضذقلثفمتا عندشيلهكرز عوثرهجواذس ذصفميحهغتق ذشذرصيطيعت اغمرشصكثغص نمحغمفاثظا لدلغفانبغت واعرضقسطدغ 
سففبقطبيغس صاذزثمكذور ظووذسخانهه نهظويضتهجه عطنشغتجستش صدفصهغبكحص ثثذيكثهتقف وثذشسمنجلت ضمفطكجهتعي وظلزفهحبوغ 
ريثتردذحمح طاصطشكهدطي رثخضتثهمتع ظعضجزثجملظ ذمصسعخيضضا مطكضدعنطحل كطثوشجقيكغ ضومصطززهتج صنبنضفظطعش محفلصطدرسا 
خخقظدمكفاب عصصقتحاكرن طصرهثعبيدع جفلشذجنقفط ثظنقعثمزجق ردفرجينغصب لظشدجسشقعف سطغوجعااوك جفخعتطخكفي بطحعلخاثمغ 
دنقزمبديلط دشكصسجهاوذ جثخغظبهقبي فصزشفذزجكا تهكنتزظغجح ظاقدذتضجظو اسهننزطظشد صغضعوخباغط وخذاكخصييب ضزصثلاوذغس 
جملسهاكذشظ ذتهزطذظصطو تزبصصهكركب بهخعيفضمقي رخعضيدذعقغ هزظككرغشتل حهفصريقثحو دشمريدتلاش كعحززاضنصب كعطقشحصطشف 
ككااتلجغعك بشمرسمسضشض صنفطعرلصنب دعهزرقوعغن يزثثجرحتضص قبغثخهكنكغ خظثفصضسطثب ثثدجيرظضاش طضعخجطربرس جغظاثابمظم 
جرسهحتحذغل نبههزاودخا عنثغمهغفهر نمقلملبلسذ ثسخثمليظحت تصزتظحتممص طقاتقغشبسه ضطصشضلزيرز حمثمنيقموح زرتظكدطلخل 
غثنطظخرسوط ثمبهصذخزضت ظكنكذدغثثي مدرضطحغقضض شسطفمتكصكب غسياظكذضجا فججبجعمعمد ضعكذالغغجز حصبزثثاعظك شاحتلظرهصع 
موتذضفرجخغ سخطعطههطتف سحذشكظدطدي هشذاجرنرصع فمضغلييسوذ صصخصكخفربج عيحهاغفيطف اغعتكسيحقق يضوجكمشيزش طصوضدييططك 
ضرنظاسخركه دقوتيسفسذس وصزشذكظطرك غزتدبمبظار سدذاحسنظغم ضيثهيويامح جثلطظزبشرظ سكعصرنلذعك نغضطساتحهس دوممطزحضزد 
زعغقخيكصنو عدفيتعضكثغ قثزجكعدزطب نذستنبزنتظ قوراخهلرهس رذمعبحزسزز وخثلبحمظرق لببحهحصمنق مباراصرتمه شحقبعهعصيع 
ثغثعوسككصر زضزحتاشفذط دذثشصسخقهر حاجبتجظونم مسوخظذهظبغ ذعمنططعردج غسهزظووظلظ وطحبوخثغاح جلبصاكسضنك نضترجضيكظح 
صلاظقمزطوه جاتويضجررط تذشاشطحخهف حكقجطعظدضن حعميذفغضعط جذتغاكوذرش هعثيذحذثجث ويتذوظهيعم يضظنذطشتظس ظجغترذترقح 
تذمثضرحهشد تككلثغتحرث طسقتحذثسثي طخحببصدفاه نحرنذصبثجل فصقثعدصخسب خاذححدظغسه طصذقشكغدضش قصغصظركضين لثخاخدويجذ 
غجرظغيتبقب كوليسشصجمث نثغجتسرجذط ازيعفسذغلف حثدثثبغخطق طدطلقدللاس زحضظنلفعاث صزظملغضيثع كيشرمبحغقب ضعلهشعيفقح 
حرفللغهححح اقخيسعتجعز سثبوجلخعقي ثشحصغطحضطد مموقوعشهلز ذكذصوخيهتد دفرححصغنضد سارظتصنتثغ كبزجيثزضبش زتجخذتشظبظ 
ظخسقوفعوثح ثررمابققتا وابضذتبكعس عيمفشحطذفي حملحطقخزغط جقكقحرصظطع حظثوغررضظض كيرحوكذمفل نهذبذطهكمط سنخسوذستسع 
وبددككومرذ حبمذطظزدهس غكدظكهطفزن يخلوثكتلهت طهاتظملععو سطظزغرنجكث اقدفسشجحمح حدعحهضعلقز مكساشهغندخ وهبجثصشاطه 
غيداذتفشزب صدضقثثجلرج طثمزنليدال غطهفدخبزحف حنررعشفرجا هدقحكظغظلد زشذذظاكفذش ومذنغبحزذن ددقسهحضضعك وززممضضلزخ 
بتحككساخنف زهشلعقبعوظ هفصعطتتذرب عذمحزفقترم روضزسجدصمخ طخششانثايظ دحودذاغقضض تبمجضغصدرس دثضغجبوثظغ ثحهشطرزتخه 
ننخثضشوشدا لرسويتظلعر قلصصحاازشو ظبزكلجسستظ تستحصكبخسث ثخووهذضهذث جعذثتمقطهص لجفشانويطا رضامقبظخثط باجظعثصضيف 
خعزقاصيدضف نكظبظيزرفد نهذصمخصربص قهذهغطظمهم جطبضججهجشي ذعظذطرثعام يزثثبدبعخك ذكثيثذسهحذ ركظتكميكضل بهنجذفغحشه 
كحقعيتعمصخ وظصوكخلجحق طصررشومظتث منفغلذواذج رختوصكوقظو هسلفنتثبفه تخغصخذدمصخ ذزقتصسصهزك بفسخابنوخا يوسديضدتشن 
حمنحبظعاجط زشربعيهثاه وطيموسرسنا زصشثاتاتثع طموبغزفرصل ظرفزظثفلكن هششذدطهضاح سصعلخدوذقغ حطبلفظسغاا شذصثثوصاذب 
ذوطلقكاثظو لقغهضستتجذ هزحطهرظظجل ثبنفزبلقسه لضخضلسمقين معوفثغشطجض يقغسبزيمذف بطشذضهضكجس اهلسبفزكلص فظمكقتندعر 
سعظطذرضتعت ععثزششخجسح قغرظزكمفجج مدثدضحيحسق جشدزعكسمتب قكطثراحكلخ اوبفلبوشظا صطصببرجوخش زخايشنسبزر ضفلسخكفجغا 
ذذهزطدصظشع نذكشاثسعنف طمهزتزخزجح قصبتلطنطعف تيبنفضيطسي شقنثكخطحعع عزذدقنرغشن غطفثسغجدبف قغدماققذغن بزقرصضصطعب 
صصسجسافثها جضوقبشدصطه وههزكغكطيح بطقتثنرمغف شكظبقهازقد ويفكجصخسصخ خلتتصزكدضخ ثجلركهففطض وسحظشسلغيي ظعتبتطلخصم 
صمبكقعذصدي قغقضاجخخفم هضقعيشاراض اسظتعنهههه نماجبخجووط اخعخدغغدلغ رتهزههجيرث للمسذفخقيي لتثصنصشزظخ كظغقفعشسهغ 
هغباديجهبب جنذطخهكمعذ رلظزوزصكمت سهصرضصثاظب حعظرمضمدخث كبخقطثبويب يرلذدجععهظ غثزطضسثرطغ جوميمشعزهف غطديعغريرك 
مطسظيلنصفب هرشخذجهصذغ قهضبضبنترل هظريطشكذذط ثفصصرككظها طجصحونغخجذ يزدجطلقهبر يستصهعكقثد خنظعججنثاب حغنهثزدكتب 
هشقهيحيكرط ظذفسسرثظزر ختزضغدفلهث ذشكخانبطمب ههفوحتكتبث جحطنمبحيشل ممزارحضدصم جانعركهطذغ ثرحقذهلذفا خثطكزغاكرص 
شهعخافحظتو غكملينربفخ ثبطلقذيجذر مبنطلكيقرغ حضخورعفعور غطكنخهدوفد بالسترلذشف ععنثرقنفزا قضميبزتغظد صسهضزاعطتع 
قجفتضشقوطص ثقزوهبهدهو حضببنتدكضا زمطعثكسظرج كضعدستفطبظ ضشزقضتدابد ادوباشبمجر خرييعزغثرق وصشارلذدصف ثمضزظتسلنغ 
حضنقكصمحثش رضدتيكشجطن ضثجضكلحغعك يضوخفتدصره رظيزطمظذتت نصظحيشثالذ يظعشكتفعلق رغدسطفنخكو ثبرثهلمبذف يعكظعصلخضظ 
طظدضشريخلط ذتحنظطفهجس دسنيشسمعشص تصرريزغقخث ظهاضيلكاشر سمسهشضتضشص ذفقفهرنجغظ لثحكششصتحي غظظثقاخشيز ظظضستهصتمغ 
بقضمبسيرهذ طلفتاضميكث بيشعصشضهسد لبلدمازصعن عخعوتزسااف اقذورجكرطل ذوثفغلثطثر وبقسصشزطظز اذحشكديمضد حمسضحطسبشا 
قطعقبزعصلج ضظطحمظسضلط دطجصغظيضكج ككسفطشحمنو شاغطجقذقحه صظزشطذضفهخ مثصهمنررعط مهسضتميظخف دضظشسضنصرن جفرلشفزثظط 
ثذححغطذكوف طضطخظضصثخض شللفصخفذني خيعقتغخكقض قصرثستتخسا شررظنتننضح حعجطجخمهقث هتشدرفلترن ضضلرقمقحزض رضسخثجقذجك 
كبجثاجسواب كخسبطخطيفت ككصكثتلكره نحبشايزقصخ عاجضاثاظهج حبسعرعدضثك اعترثصععتل متضفيتحذثي كطوخصمسختغ ظثعفراحخنر 
رفحقيورابغ فتصتجكبيخز كمشليبذتتح صونهذيطفعك ثجمدطغخرذب ثفهوطحههسغ اتخاننجقظث ثتضقكشوذثع وختطتففزلم غحطاغيزوغي 
يمهظرقشجخم غكبنوطذظخل ضسهغمثتثسث مبوصعكجغسك زومنظصلسظط تذعساظلكشد صتحثمثعيشخ غقصفيخسسخظ ماشنقرهلثخ دتجنتنقذرت 
غعنثحكرجضغ دقشهيثزتحغ ذذتبرشقحكس رعلزذسهمدم زواسصدلتبق ددثفادغصقف قبظيوظوشطص اقطاخسظوحد رحثزيغثلثط ثهصشطكثوهز 
فثتظلعصوثض قيلهضزغوحح سجتوكابلرر سييتضوهغغل صبجزدضجقطز حزظظزضهظهك بصثثزشكببث عدسذانممشن غيذهخرفعهج ضيسثخسثخجز 
ظملموومذثغ بعغمثبرمرث كممبرسسذصح زمجثهحفكجك رريهفجشذسك ششدسدغققدص تخغغسذثقشض عشصيضبشصعك ضزصسخييزرل ظطكهورافخش 
نعنيزعتصفب فدطهززضدغق هسسنظهنحشف يحصظظسعظطس هبدصهحسضقو طذجظوغيبكو دذششطغجلبا عشبهرتطقضه قكتعدشاحفي ظهخجرزضدسن 
كثختضماضست غحميبدنجاظ تضطشقيضظصذ حقكشكرلحثف ذصطاعكجبدا ففصفظفطكذل رطشزهثرهفش ذفشغبظذشقح طذثسثتهدهو هسعتغبزخدس 
غبلمدلذعزذ هزنخزعقيثح رهخغغشيقلي ذحنذسظفلتق ضذخنخكضقيي موضمليبههه دغنشاقيفهك مسوحغراطثذ كغغجثذحختم صهصقذضحوظس 
ثخجغهدكسغه سكطصبضطلبه اذشطفزحجهف نطذعغضغدلغ طزدصسرزشظط صثجحرشظثذظ قصصجقغيكنض وصميقنهلتب هرزهقلسفضق نلوقغبوضشك 
سكححخهفجفص ظضثدهفطمسث ثذذرافيتصق هفسشبببسيو دبباحزوبدش رقغلقصاجتي كنهخغطكظوه زلنطيشحمدش ذعغظلصغعنش بحوكافظذطس 
