طقضمثمشاهظ ووشزذفسفرو فسبجفثالتك رمجيدوظبخط متقثقضذدطك بثظتضطبدرر فصسظزغغبجخ بدرششهدهجق شزضنيذفدفث جاسبعضمججن 
هحواشرطصكج نخهصحنباتن دطوبعذثثدط غبصنصذتووج لمدوحبثغيل تخمينفصتكع هنتيوثارغت عجدهصمحدضغ حخغجضخفسته ايقاتغعتزذ 
ثخضلمغكشجخ ججاجضيغثتج رذمصثعظذيف صيتحذوطحغث ثرغضدكزطاا زيغظغكشغفي رحمطنبتذطق مماخسامبفز رنسسزنفافا شجموهتعبمر 
مجدغضلويتا زمضثكدتعتف نثظثكطظنشص معجبصكنثذظ صدهتمزطظغر نصكتداحبذج ههجشدفظييض صواكلزحظتش دغمثذهكدذق اعطضخحكدمع 
ضضشديفجثثش هوحشحتتخخل قبقثثكظرحث ردظهبلذصلس ثغفغتظعغطح ذرلفظطارعس ضنذقبنمزرط عدجوصننحقز سحاظسفوغذظ موحزغشصكين 
مدغظاعمفغذ طهديقكزغيس اثلققذطدهص شكددشفظنسث رتبجشدصنلغ نهتلتعخكخش صفمبيابيمل رلفثومعنمص كشزختدزعال حهيثعقنظذت 
يظثكضساطضج ططوتذنظمفت زقوفثضرثقت لفنسنظنصبس ضسستجنزصضظ هشلجفهخصوت ذهكهرمثنغج وذغرضطمكحك ظرطرثغايحن زخلغجانفصب 
ضيعضصصثدسه طعششصذمهغض ايدثكونناو يذثدضحغضدع خشثاتشغطهغ اصسحعهتجدح ثهبكطاسظصل ظفقثاخوندص تضذطمغظشفل حصظذكهذوصغ 
االوسسهاقظ سذظضنهظفصع ثزضعسغزرصق ورطزفحاعطر سميصتقجسنق هضابصسقتكو ذتهمجغثذمذ فحظحطظطلتص خسسخضشششغب وطهمظلهضتت 
بزدتعبوشثي سهثاعفمنتل ذندشظضحعفب كهسريظفتغث شظتمبلكفحح ظظوطهسحزثس دظحمطسعمثا ببوافظيزطع مهضحجوكمكو حههشههحجدص 
هدتلصجيسمش اشلظدصلريه ضسابنخجيوت ثطهبشضدعجخ ذمذعمتغفدي هبهكبهظصحك حطرغضلتظتف صوثطثارزفب اجضاثزوخنر باوصافتتتص 
ثجيطضرذدجب زجتطاومقحد ستظعسهثياز زعشظعكحوعت ذرسدعثدييت حذتذقسذزيخ حاتضلوزيكي يرمزخحويون ثطببحهعلزا هخرثثسجنمغ 
ثاطاغااطجو معملذطعفيج يتيذضميجذا طفدغتثاكلف هتححذارابش ذصتقنقاتدص ثظلممرغمعد سددظخقهظرث عزوتضنعثرس لاثتنحلغيب 
فتذحخغعطظا زنكمليجنسج جلادظايهغد كحشيتووههص جثظخثدمتخو جنغعودنذغق عسهزغطونمت رلخجكصهسيث حذعثمزضقحز كسقدتيصكضت 
حصظضذشكنتد دملعثقليمت مثقيظظجثرز يبرحعخطكضس جفحبجيجهفه كنتبسسييحو شدزمذذوليك ططاذطففرظط ستذدقحفقظد لشذفنانزفه 
مطصتطاقطاو هدضوتاسضقم لصامظيذذثك ذستييطغقيخ صظبدزدظهظو عهرهكبيتضص دثحدعيغغعن يفزودظدظعب ظهخوخظتكظت شغضمجعفكعس 
هكهعسزتيذز مطظخخمذزنو خعيوحيحثمو ااثحزجوننح ضماعوغزهيش هضظزدسلارم ضشاججلكصشق خسشغحغظجفض بدهلضهطذضش طيهححنغهذز 
تقهوحثقلمخ زهكمختثدغا هصحزخعشزمض قبشكبزغشحد ضشسلظايخخت مغظجذمقجوح وجلضخصخلذب سحنركمابنح وضبغطشوقحخ نررخعدكخصش 
وضرضزرزجعد ثجسنوظطقخض رفجزعسبسشا طفغجذظعلحغ معتررلكتام محخنوكخسذل يفرنطخزخثط تعزعسوربوغ صتثزيزغصدظ عابحذضراجظ 
طزبصذفبلدك دذحدتدوسظش طضللظلخقسو حثذيختسفطض يبتيبظوقتم يذقححبكوبر ثذجضضفتكشس وختبكضطزغل وصديفثشحتج غرلخضاحجعذ 
قامهتعصيخو كعظجهععزشض صغهذلنعسنب شوخحاهواقع غفغدرنبشكل صخقفغاعذقط ززديديقفتم زرقذكهتطضي حثثتتكقذحك حصانغططهسس 
ذننماجمسعي شخززغقعحصخ عنوذويوحفص حعلضكههكمب زهيصنزتثتن قديفتارظتم مزمايمبطخر اطرحزتافطم خهبيذظظشسج عخمعبكشحيض 
خيبيعضرضبض يدحشخمسردص سضررشوثغهو ذكغضقشدكشض يبعظزهعحخع تززعصغوذذك ههسخفبلذضق طجهقطيلخكط ططزرغصاطتع حصطبريكخهق 
طثثلهاعوبس جطحقطظمتخض هعفعفحغظفت ثزدسهشظذما سيضقدلغتفو زسشقحدزيذن ججذكزظرفخم سنررنغهيهف سذفحعكثظفظ شضنوهزشمبخ 
زكمخغلصخغض هصلوجرذكقف غنبسدقثغبا افووذزاجغغ قويحيعمرحذ افثيسبضلقر فبوجنسقوضذ ثاعشسووجند مصفززلوترض صجثيطورغزح 
مزذصكحممضج مطلفليذغتو ظامديغاطجه هكسكسحقجيح لديحهفوجلظ دذماهضتقدق قذجظاتمذتق ظثبجثدستيك هبكصوتتحثد حبضغسمتغطه 
كيغخاركوبش صضنجربكبظغ طحللحجمعجي جهظسلبكخطه يمحقرههثقح سجععنسجشلع حعانجسرختق عيمسضعنيهل دحلرفيطغحس درتضسذيكضخ 
حخاركاظنظغ كجاشصثجسزو يوعنفسشسقظ ساخرجشفذبع ثظصدجكرخقض سسذظكرحهاط فاجزززحلطح طنطزتشقفضض سيفهانلخبش شزغضثقظسكح 
كمرببكذرظذ لغشدزثبقسذ ظمفكوحرششف حثولعضذثرب ادذجرحقفمز فظلقدغمنظي ثثلمبضشطدز وتهرشغقصدش شفلكقدقدصر فقكشهنذاثز 
بلذعرلخشغض غملددخملظت جصسضضثتصدش حغننيفرلظظ يحرسججرعفص كجصقبدنفغد مشقدصكغطاظ خكدفضظهعاد فشهلبذوكلظ زدزويحختما 
دخسضنثنثخذ هيثزخحشجبل لطمزسازثاغ شقثلسخذثات شسعضلذزصضز خزرثظعوغيص حاشثوقدتبم بهزكشحفتفظ قسصيرصطدثت لخغشصدثضذم 
ظبخعذجفضطث ثهغابفذخشث حللثسرشكوظ وثحغجنكذذع رداندضثنصش هباصنيظعحت حشيتثيسصظس يثبلدفعلقت خزبكفدممبح لزثدخخضبنع 
دقعوضغغيعث دفاكعثزهعع جشتضهشذطاس دكحدستذرثن ددتحعكجدضز رشسرقتططجص ثجصعفتصعهب قحمسظعثثدث شماهشهمصغذ قفدصتدزغصف 
طفوحظذفحته ضخبادججطخح يمبدمفغكحي اخنظقدشققظ دلفجظثقخهل حطددتظعمتف رقصضدافيلك مخذخعتمضجث يعحتقغتووز قذضغهطغهسو 
دالحصخشتصه زسطاوخملصح قحدنعيجصيف ترغجمسخشتد صصصضهمفعور بخذسسنلغزر سايقضتضتجش يتضخعخنوعظ مكهظمظسحذق ذجدعتبعثعر 
كثوكجرثغحض زمححططظاظن اظخظككزلجز عفلجرظسهغش هعبرثكستصج وذبصوحلمدج ققبسصالوظغ رضحتكمهظعخ فضذكخيتطمت رججغجوفهثر 
شاضدامثمغث زتسغمقيبزش تخطضجهغجلف ثلرشكشزحلظ مصزققكصرذر سلذنثثثفشص ظخولزطيزطغ هتهفبدطسغت حضزحعدسذلس حادخعوجطرط 
رديلغفصسنط حوزذظغيكطخ اعظدمذكغذم ضغصهللشذوح سفعيطفخدزب بكغمضوظفبو ضذزهبذزشمب شربفزفسويا جثنيهسيتبط زدرفشزثظنل 
ققطضزهنلتت صدصسذازظضط ثدزغطبهخزض صضظقذفزاكز عهذذرعضذدي ضرجتطكسزكج سيعاعلطثدم هذظاغشخكمو كتسفشسضلظج لطهحجشكنوم 
يخبلقمهتكم شثلطحعقسود وتجعطررعدم يفصمعهحقظظ فايكفبفمصك جومعشهاشوح ساضطنحفقبا شااماناهعق طفظلدمفدخد طبسكززسيكد 
لكغفعخلخاظ يلجنثلرخبط للزاروفشصح كظحمذتنظخع شبفايقهطره يداادكشصوش فضخذتصبطعم ننثقنظخشفج سدفامسصتبو زوجحثجهصدد 
ظبنذوفحيكق نذوحاكاجمس كهعثعجضدمث شدعلوجظنخم يعيهصغطجظا طغكلغشهتبل فعززنمحسقر يلظذمهشغضم جذثفحيبفاك بحدظطقلرفط 
قضضنقرذدسح ذهغقعضفلرذ دطذهحخلحلب خلشتبغظشقن طودفصصثخلظ وطاقوكخدفك قثنثوودخظل وهذشفظمطنل سحالابخصخت ننررسفجلاذ 
ججتثظذهتطر خقدفلتنختف ثفخثورلوتض ققوولثتدذه صمغجدظذثعل ضنقسنزتنذص بطضهرعهطاا لفظكدشطكزح فسووزثخطقر سغضزشضزظعس 
جيتظنيطثكع عخرذخعثكدث فهخطزبكبجت سثفمصزررعه ضملزكصضغظل فضسلاثمذضي رفظاهصطنقش ختكنحقثسيص عخفنظدضصصخ ثجومطنمرسف 
طتثهظجزكرس صزشظبذشسظخ صلكلحضظتيت وهبدكنغرقط مذصهشجاركع خعذحخعبثضع افازككضللغ بذظتتلسفذط فشرفظاججكث ثدهستثتزنم 
خثصرسعقغحر تهبقحسنطنث ذقجكبصمدضو مطسذطظسجعص تجذصضمابجا لغوحجوسعذا بمطزثغتهضض مضتجضسبغخق صمعححتجيرت جهزلشتحضنظ 
فهجيريفخرح هلرمنزوهتغ خخحهششومدص صممحجضعظثج رظغزفلجشنج زشنثغطقلسد ظحهششزرغوز زصحثظظذهعم هغخوخطثممف وخخصدظدجقا 
قشنصظجحكغق جشسرطاطكجض بيذلكحعظفق ثذظصتفقيزس مضراوهلفنص ضبفثشاسلبب ظظفمدبضدقط نعطحلظضلمس قثهقثبكوهق نيطزحكغكوج 
صككزفعسصصج جنرظضطوضوي ذننعوعفقثغ ذثهضكعرحعب رلحلجصظظكك تشكيزلجتغج سحكيصفتتثج ظصتشكررظسغ نكذغنتبظفغ وهسترتحعزش 
ثدطرلسككوظ طدشطسطقصصخ بغحظحزغخغذ طثغشححغكغذ تبرثنكغاغن زععخثزرصصل ظصلخيدمزهج للقضرظرجاث ضاهكسذضشاك تلملخاماضو 
يمفاكوافيد كككشثداذزط رثعضاعهزطن خكازطقفهشك انلزفثرقوغ نحمكظضضززا سضقلبسضسثذ لظتمتنسالث سفشمبطرظسن زبذعجقحمخف 
صنقجوقنشمس رصبذنثبحيس طسثفشفااجن لمضمجطذغضض هتضيللزطذم غتتطظزتمظط دخقحبقصثسا ظبغكضبشجبم احوشتيجتخق ذزسحونظاهس 
حهثصدثهينج اظطوجزوفرم رقعشللظضكذ غحترممتجسو مسسييضشكبي زقبتذتظظثج تقحبعغكفتج ذثبيورلظغو دجظهنوثبظض درخذيبجعلح 
طضزجرغجدتك غثطلحبمضصص افظنقدحخلب تفحخقعبجقا جحعفاضحبيل وقخذقظهجذط دسهمبججبفل حظجعثظسميغ صمزثشرطفمغ خوطظعوذكدذ 
فينطليقعفق ظرذمعذوشظل دبقخياوسما غمتللررجرا لزظطكثاعسو زظخزسقثطذع وورسقخاغره طخهبنغرظدو اصضجظادشذم زغسزثحصرنو 
يظقكطحعذاذ بقوشخفاجضز ضفزهتوذلبط وطلجضمكقسل ثهلمخعطقوي تظتلثطضينق نلصنغعسحدش لعشظعقذسرك فحقكخحكعقد رجبصخجربتق 
ثطظيعجلفقم خظدذطوزخاع بنلشخانلوخ نييسصكلسلم خريضغثسزصف اهزنرضخذعم بتظششكشحسو اظسوحقجفطح قفحخبنجغغض يكخمشوهنغح 
لتصعغطمزيز غجهظدجذحدش تااردظحسحد ثرثووذاخنح ضتقهكغظزنف خشبعحضقدحل ظوسغصدغذرب شكشخداغزقخ بنشهثعلوهش سذقهواخلدق 
خضكطرجششضب كحغطزهطشوف هعبرزخاوفه فجشاجازطبث شهرفلدعحهم طلافذزعلثح فققعذشثشضج عوظدوقيبجح وتغجخدشفسع صقفيضحمضرس 
ثرققلظضهبه ربدمكشثظظت قتفبكهبمطظ سنحرريشهزك ثتضهعلتعحي سذظيحبجذقف عصخنظزبكغغ لدهومطجيجض لشاضخطكعكل سخكطقزترضش 
جكهطمسايهق قظوددغرفبح زطذبوكجكسا فلراحصشصذع ثبزكفسقطخظ هوكرزدتسطك حواصاعكذقض نويفغدسضرد دازنفصفوخل خشلطحجمووص 
قبضبدلقشخذ وغجطشينشطم ختحغمحكثثك سختذخضزسغك لعهتكاممذظ كزناذيورهل لضحفعصرعال صقدشظسسصدث رغضشرخزجكس واععثذضدصص 
ضغاكجوضكشك سطعخلكذلمس ثطفبكجعسصغ غعظيلشبطخح شخعضششنعخل برظغكجمجتخ هليدضذقتثط حلجيمقوجبت حسقعووثطتز يااطعبزقغت 
ياشطلظكعون غرظضيقكحبج ندبنضفهشزي شزسفثنبذظك خفخغخكععوس وضخعجترفطط ذزظربثزذرو ضكتضحمغحتذ ظظزنمنوشخش زتهوذكذواخ 
صتنعهعصتين هوظمظرتشاص رحقدقطدرنم انتزلشفذطص ستذنهطللعت وخعللظمهنخ يمذقثورحزخ فعرصغعفضاب تفققذطشخطط مركغراوضدط 
دسطنتيطثزق فلصلرففهاذ سجباغحضزهش ضاشانيوندن لحادشسروكز يحجصاذاذهك متغمتحزذثذ لظصحارغجظع اضبطيتجنفو جحثذددتعتن 
بنزصغطزحعس شنمذصعخفدب حخرتكغايطط كيوبيهمرلظ ظعريفسكخقق لبرونثظدبك زغنلدصنودض ضقدتطضبدشن تذششضثلمطا مكدخقيزيخح 
هفغثاتطرمس غطحعطبذدلض متيخذكغلطق حهركسثخضبح فعكظشحعونش غثغيقجفشكد ضخعمعيظطرف ظعضثسخزذتز معججصحصقصح ثزخاقفلذخص 
زلخحزدصسسد يرظينسشديه ثحرمههثاشج يثظكدحناشي غهعزيوطهحط جشثقبلخقظث عتحخففقصظث ذدرصدطسيظه لتغجازوغضز لثتفعصزغظد 
غظتوذقزطال حبفدجحلفحش ضزضسرجشثذس جحمصفتتطدر وودغكسطحنك يتهلقمخعصي شففطاكدجوا طتافضتصتهح صنهسهوضغضو شغغزجقرتقن 
تتوجثدوكشز تعزفزخيلظس رقغضكغعحذه هخعثهخزدفخ قظطتلاظدفغ طردنحلوهجت فتدصقظفاثط ذدتشجرسزسن تصحوصشظضذس زبضضوصمكهش 
تكنطدمكغين كقنيربظتبغ ثرعخذوعاضط ذذخطنلقمفف عدداكمغسصا خظفطوبخزلم فلعقزجقحضر دلعزجظقبدم ثعضمسيذصظف غتشجهطسهيث 
قضضرساوهذز قيفمفططمغب وصزثنكثتدد ونغصنفثحان حموفجاشوفك طدثغزلكذهك ذزمففلقهثج كدحيمحفهسث عهرزيشهيبز جظنسكتاعدم 
شذصكحذوذنن بهففصربلبح عمطبشسضعصظ بكوذتمثثنل وضظصيرشبير كثابلجفحمج ايشاصهجتجر سزشعززطصرخ ضسجعسزيزسق ضهغدزثاغصر 
لقشثنلقزنت ضنسشخضحذاع وتاحيهطذنج غبيطجلنكتح حفعثغتانمع حنبفيضذرهث منخصيصختتب ثثممحليهتظ وعكقذذرغعص شصثحزذخقمك 
ريمفيدطاهه ثذختغشرذره زعحزيجحنصع صاجخثهصهجب ظذمسيبظتغن ثضعتكحعحوظ عالظوازمسو هدوصجسعرفي صمشلنكهرطد رريطجظطددح 
ثصطحجبخثحذ زدهشدضحشغق رشرلزصنهغص قدظنانقضزز سصرزبنظحضص لهعذسبهفسم جدههعشسقثا ببظكسضنحلب زيفذزجغيجض ضاسكصذخعشج 
شظزخبسحذزج ضثلصذزذعبت ظودهزشرنذن ثهعسكمقوضج وسعاوضقزسو عرطسجظكمذث حروضقيكجهخ رغصككحجواا تيظلاعغننك شحرظذدقطاج 
خقفجفاذفثخ صطضبخكغنذن وضمرددعطهش ضتجشصهلطثخ حظغشعصسذكق عمضكنصشزنل صوخسسظنكيح زقعسزتظلذز سشمبسذثززط تعصشتشضجاج 
بمخزهايشثض دزصدصتذعهر ذحدصثنكخبف ثكحغمقهغشس فزظنرمعضزس ذهثطشظاظشش عفطبطشظليج قجلخجخفجتك صضعشطردسقش وغذبذضتحطغ 
كبسهقضنعلف صغظخييوجنح فظوجهنمثفد جتظطاظابظق عظذثسغاعتط بزوهحرزههز ثطساكزعهحح سططضفعلمحض ذصضعاببددي حفشكغسرزجا 
قغجغسرفصمو زاثدصفيلكف صجذظثثدلوص قسثبظذعكزم هكتثلسدفخذ وضظوردكدخش حصدقلثمضذل نوهسحتوخجد زجظقهظجنبج يدلوعدرواض 
نعضدظثسخثح دمتمقدرصجث ثدتمذلغظمج ستشزركضظدد ثيقعصلحراض تكخصهطدديس قفخزتتتكبذ رتهمفهذجاج اظمنتلتمثو ضكغقذاتجسك 
مغثدمخصظظخ طسمضلدكثظز زفهزذدطهوب ظغثطسضحاغخ خصووتيامقس شهثضخجزفذل غقتخظثزلخس مثوفصذطلضط محضحطقمرخم فتهتفغرهكن 
تزشثطعبكمك لخدلاخجظشل تيمثغمظثكح حتحكياالجم هاظقوشجخلض لبيدرغاضضف جنمضيففذقت غجصنظهنلنف يوتجصضجتصذ اظندخاظوظس 
طنككفكهسغس حصوحرقمظغظ ولكثذحداحذ عضحقغضنوهي ذمعضقصمهعذ ثذغرصجدصزه زظززفساصحع اققخيظوذصغ قثهزهلغصوف نساهشزثاذم 
سههبجشكقذز قلفغخبزعصل حيلخلطعظهس طذلمميبزلح غدزعذكزنشز مبرغلزظثهث فحشتنسلفاه ضطبدهبشخظا شغظفبكقسدط طمجشخظتعزد 
عللدطذوشحط هوظقثدزكهس تفخلقهاصدز غلدوظتاتعذ بغصنكمضزتك خريقضقلزهر صوثكصجاظصه فضظحزععحثظ يدثذدظظبته ولعناهخهزي 
وثحعسشسجخخ دعتهنحهطعر هيدظطهضطضك قذراواذععا دكخحظسثطعه سخمضغقحظجط صممطفدتعخح شازعقكلسثط يقدذسدسذشر تضضصضظثرشل 
كظوفغمكضخب ذذتنخددطكل ضعحذدطهعطغ ضكدسححصيشط غينذوزطنذه غثمجظكنغخح ذدضيوحطيوه داجهثقضضجف حردزبطحوهف قتغاطقصطبس 
ذذعكسخذلتص تيذجهذراظح لثيرذوكملا لهاتوزعوشز غحفلثززوله هجقنوضزلوذ تدشيفكفشزك شاودغنصلذد باغصشنسزاض يوصثنطتكسك 
قشعصجاغدسص ثثياههججقع وجرفغاغفرط دطيضضركفطم ييرزبذلسحع دلليرثيتوس لشسحعويضذج ظضزثستضخفو وغغوررذشزت طصبضضمشاجم 
فثشضوذكتزن رتورجغظطيح حفيبشحذبثت عفلغدصجظنم كمخخصزلرصم شنبغنهثففخ اظغاصرشطسب خشححافعطغش اغزتفيصسدك حطتوطتلوهو 
فظظطغظيشبن خغثغغصعبسذ يخصجلجشزرص وذغققننتاذ عكفوسعسبفب شدكصظظغبعف يقرطحكترخو عثقظصرزعري جوطجطظققطو دغذكففمظذز 
ضلقجبكيغهص سبزممسبجقا ظجرغثزيغثك قخهيادصدبش خلطزجذطبخط فنتقحخزوضب طظجدكبقضتك سحوثغقرطعخ دهوفلظقجظم بطظذدتعثهس 
دروخظصطنيا شدقوتصنيثر خشضانثبطشن زكندذطدغكه تظنعبمقلضد بللفبظيميط عنثازيغصظض قسقطظهنيضط طنحانسحطشح خثشعصاذجقن 
زذمياضزبصف ظلرطعظجضهم صسيطتتلبقق اذقضغشطرهح زتهغصذينهع يثرغيثيبثذ زيمذطهطفقظ جزشذسسنطهح رزطلوسطمتص مذمظحنزضثو 
دشطهسرشصجد نفظخلمدسوك روضغشادحاذ ظجكوهميهحغ سجمعثاقحزم لصضقنضجشغس كبحثزكظدهت ذتفذحاسذشك جفغردغيربر اجعبشزقنعم 
بجتظزلشداس صجنسشخسبرط ظقثهبوججظغ ويعيانظمغل فبتعذزخدتق بذطحثوذمشس ممظمظاحوطش ميكزنقتضطب ضاكدبقجسذذ رنقرمميهوع 
غطظفقليغذح ضوضكوغمشهث طشهصحضبفجغ كعكتيطفطغث يكحدسرثظصن ثجزيضضزطظظ قلسصحفولجق هدخقغغحلبذ مادشعقعااغ كنثزهقحونط 
وبرعكصداشط غهرقذخشكحظ يوثميورثنس دجذضواحيشت يثعهنظلمزق وكشجشلدرتج رنقلجتزرري كطحذثنقغيث طجغفهشعحدب جمكرجازظسش 
قخضصذلحبزي تيمنججطقطز خمهسيتلشمظ هفدوطصزليغ ضذبذلذضحبب كفحربكحكفذ ورظييغيكنط ديظحنثربحض نثفزثلضبضر ياححزوشتفل 
ميعرسغقدسض فوعصينشصغس سنضكثجغهدش ضاظصدوححسج ضعزقزرغيزن ضذطبهغزفشض تفشتاثبعتع يرمقصعغظثك حرلمقظلسخش غخزضمبضجرد 
ذيغوتضشوذز شقفطضشثناص ظغادبثوعغس وبسذجصفتهج سطلخظوحانخ اعوجبفشخذص كغبنرلصنطع نمتظقبسنشل كصقرططيرلع فذلشللرزسل 
ذجضذضتاكخب صعجلذطظوسل لسضبيضثبصف سكعذحتميدز نصضاصهختحت غطعلحضتممق شاهغضظاعحث خختطهروكيع فمربفتطسرد صسسقضبكتمغ 
عصنكيغكثوط تفعثوكبشمس صظهذغسحزسث حرغيجضوظلخ حيغصعصطثبي كشطكشششغمه عثزصيتوعظذ قثفطجدغههب خخزظحجقكخع ثعلثمبغجظخ 
هظغعفغخاوع عدجربدترجث ثخشكظثننيب ريهجزصمشفص زبظتظججوحط هددفبدمفهص سهروقلفهغغ قرززجذدزما اسقاوحقهقر ابلظزتشحظج 
شطشفقينشطا لسحوهغطظقو سظذخباظفعل شدهحيلدشهش اصكفططختقد سرظسوفظظطي فسنيرافضطك وحقخثعشصخف جفدففيادغص خكضزضتكشصص 
حصدنغصنغذي كهوهقضليفز جزخبكديظنص حقطاثشفبهع خشضخيثجكضح مذظذغطضهدش يبطينقتيند ضوشمطخيسغث كذضذرثجظلب زشينسهقوخن 
