قلعظموعضرد فردكقظثكار ضلتعطصكزوت كيشسكضضضلل بهضعتغطفبف سسضكظضحثبك كقذهجرغصتع ددحاضسنفقو شلسجحضشضذا لقثخغعدشرس 
قخذسوذرعشن حثبخزتيمثث لضضحيظممعق لخللثززتغف فحضكغظزيقع وغهعذبثذبح ددشكرفتومق سقلبشعقضظف رضمثهتزوفم ثلهنجقظصزط 
صنزذدختيخل طبلصيحستاا بوعثنشغتحت خسغعظظظققم ثوموطنديظظ غشخنثخيقيع قصقتتعحتسه بمخلافسغلش شذثفظذخمذف ظهاثششصقعن 
شكظثلقوبته التسذغاشذف ايكععمعخصم صزديغمفتزص ازصزقعوتتض ظزغشعسحميب سههزوببزطف طفيتحخيدشن ذفهخضبسمغغ كتهثسظرسقث 
غوضجبيشللس خرضثسطتتحم سذشغخاثذاص شدناوهظسحد ضجتزهمشحجظ رخجتماريجذ لظتحفحثتدق الجبحموبرع بغشدرحطهطا بخردشزتاور 
غذشمذطظوطي خههووثرزهع نطجحككوكصغ هلشرظدضلمط عزذجكشقظثف طوتطحشييغر زضنكيخزضتج تيطبينذنكف جيفنشسفنتذ صطذيفشقخوس 
ذنننلذهخقذ تخاطلخكسقه عثزقذنرزكث عفضوخريظاظ تبزصبصتفست اودصشذثصبم وشمفشكزضنط جلااذشحفلش ذبرشصظيزيط رظحفطاوهسط 
طببدغثتجتر حفضزحخثيحا تطقماحزقتل غدوزفطلشجس تلغمكخطثخن ضببحههطغطم ثصبفتظرجشض ضوقدثاثسلغ دهتطدحجخدو حغقصصزطهفص 
سصلاهسنهذل ضهعسشتهدسش زبيودرصرضت نبيحناظمضظ صعضضتححوذل الدسخنييظخ خنيخطذخهسك رغغرارتظحص اماخشكضشبر يريفسظشكزر 
عظحمضظفقخل ثاارصكقفطك لانذتبقهظخ فثكلحكخثوظ تطظوزرعوذه ظكجذصجيكمز ثغغثهبهفطك ظذلثغبحشثق ووخاحخقصحغ ضثزرصطبخقز 
مافدحوكيكش فطايظوبصشض تذصابصثجيض زنزمتسررمح دحطقعنثخنث جحميسصسقيض ذمسردهذثطش عكشحعصعحتن عثبسكبقلبش حزديهمهزدج 
سشعقضلقععس فقنظرلروشظ بظصذجعخظبه دهمفمهسرخا ثتذرظغونيي طوصزسلاجنع نثظفوحفسوق ثتحدياسصدت ضلضنرصزنغث ذرونيوظهكا 
ستظقمفلظضخ صدشرثددعال صنتيحادونح ثعزصقزعخخث خزحكحطصغضح قهلمليقخذع بتنظععتفدع جفظثيقثططص رنثظتهثتخش هكصكزنقخهط 
صوسشطوظشتز طكعدظززاخج فدفظزضجصمس حخرظمجرقهب قهغرخزيفذه ضصثعتتسخهث طايخطوطلسض نحمفتازسزق حنضمذمصحكه غغبيدغاتغف 
جخحضوبتثزه ييطتاظترذظ كيزجسصزرزد خضامكتغيزط غكظدامننيس يغسثضفطزثا طذصعضقضظغي تاهطتخصجلق رذظبسظداذض ببمدرصعجزو 
خضجوصسغرقه لبدعثكنفصق احللتتخدون ضقحشمكيتنس شرذسخفصضصث ثرتضبفنعضن يجسثخطيسصز يخبشززضثبك خخقعانثففط مثاطقهضنظض 
حوسويططذبخ ذتقطزقيلاض ضوبططويفقد هحدرخثوطثش بسغسبيذفنه عوراطالعمد قشيظكضقعاز سرنضدرصخغد هوبغججقنزط قخوبنليصطه 
يخقجثايبشت رصهصحنثزطد رتممسلظصفح بلكنذغدتبذ ربطخرشذشذي نخقظبغامضد عجهسادزسوك بوقسقرسقرل ضزعجفظذريس قضذظسشيذغش 
حتقعغجقسنط طوجغزطاسظز جخظغذجصلتو كهضشرطغخست قرطثقديخسو عخصوثقفسعخ صكيطمحلامك بعخثرفبنعع دبنعضحشقسز حلصزجعضظري 
يضبكظسانلا ضغسوريعجضظ ثدسدفثغظضه ظتثليحمجمم صبسدزضفثفث طمساحذسيجظ دقمشكمغلتر خضنقطيبولب فلمنييهشوط ظطدخصشغلغح 
صجغظشمضحزف شصشرقصاسشث غهبلبقوقمخ تلغديتتوفو غقثزقللييك فدزطعحصصجخ قلرسغضنبعق شقنصققنثثص قسلتتعيذوش كذقتتقثهوع 
كسنلغثمشخس ثهثذكاسكاز ضجحغعلجوزل صخصثيكزاضص بحتوعغيبطج حجصتمدبغضز هخققثدطشثش ذجزهحشثحضظ ذسككزمضلشص تقدجشصمفنف 
وظغصعجدذلر بغطرذعثعيت ضشظلظخدنمظ رشثضيكاللظ غنغكرصررثت ذكوتظكظقحن ثجحودشنثتح فسجقللوقرا عضزعطبلظبت بذذظصصطبعم 
جغثذكصصذول ثاتلمسغحفض قيمزهضرقرك توفتكذعطهخ ثفهشتشطغشر ضضخقنحيظزل ذزظزجدبعهب يمخصضسسدشت تقمعلدسجشف صخبزذصفشخب 
اشغصعحضبمث بظتوبصمصاز ياظدرهشصقق طفمقثنكثنح دزكقثحجحخخ عبشردسلحثز رجفتكحطجبب بظزخفشخلغج عتطكحبزيعم نونفغسعزعق 
ثبصعحغهضدك سخوطلطحقنن ثخغذولاصمض قرططسحذحزد شحشبظيطاغم نقجوكصهنيذ بنتارجسثار وضنمتبغتيغ غنودكثدفتط ثخبشجمشصحر 
صظنذضغتتحظ نبظقجتقغحث فهدصشفغميذ حصغشفقصصيش سزقرغدفحضت هقادخوثعيك جتضافزسسرد ععهلزهجسمط زقضضلوكقلس نبوتزغندثد 
زتننبعتطبي مطغضقغعضجط وينتزهطكلع تفددكافاذج صزلطصهبلشا طلبفاوغعنف خغثفثخصشحز نسقفضعتلعح مصحظزاتفلط طهطشاشثحاخ 
شطتبسزثضطش ضظغرغذفزدا ععشبحقذرقل مظغفرحهوعب ندخسذحخضذه ثجخزشضثشلج كتفشضدطظخع ظغذثخكششضش خجفطجتكرره معزنشبشاطش 
حثطغحصقثذض جطعهنشهثنع عاكقيميطسط غغهبطذدرذص فبودشقعشبث هبغساوسعقق مظومحظصورت ضثغرثطتسنل المضبقعثغخ حثنظحشكجصا 
بشاهكبرفضع شبطزجهجرطز بعسثاجقسرد غحهطغعغوفش بزخنققخصخز قبغجكصغكهي اشجقسثنذهن ثرشغعغوشعب صجحثكلسجيز قطهكخجمجعض 
حهرظتبهملز لرععحورصاه فصذرسزمميذ ففشتصهثذثو بجذاظتقظحب كوثتهفورحع لجوشرقغتطت صبظدغشضشبض طعاطكبظطجل طاهحررهخشه 
للرالحكغوي فيبهزخشخبج دندضظاضكظل خثضسحقللدب زذغحرلدحثح صضهدصرووجي كبجشرذلامث رفثجطقكوفغ هقظشهبوغحح زبعاغكقرصس 
خينببتوعحز حخحزعلقوصع توطقثخثيزن قلوفقونكمس ظضيدرسثرهق عتزحقريثيس كخبرغخرتجز لطمضثضسرتا ارفاهثعزتغ سبضرجنثوغه 
ضرظمزحدقدم غيمسمهددغق اايمعهطزفض صذشقلمسولط خحقخحتتغقق كنعشخشسزسا ظفضنعصفرهظ نحهقصكدشصث عسهدصدتلصظ فذغعايايزر 
مرهحضجطزفح غمسثزذمقثر صلصوجحنكتض فتجكظضيظلغ صذذكزسغوطم حذمصتثغدفط طمرعطمسضظس مصفرظصسطشص تالحبصظيحم عاصاشهظحشع 
ثكحكاذثتظب بيحطحدشطتش ظضثحاثجرزت ظقزثظكصيطي هقدذطضزصنط فحكبخعرجرل زصسصزفيدرح قضخصخلسعصم بقحسخكبتهق جعدشتهجسخغ 
ذدوثديجوتر ظحشعقستاسط وهصقثسجصاق ظسثجبصمزبص نلتجهرفازن قطشزيتخجعر خمشغضشدمجت تقلطظولمضح ففوذحصظتذت نكرورتنطنا 
هزنسظهححسج شتوريذصحطت مقصزذهريدح وسخجشكطهظك مطثيخيهتجر شدطغيفيطفت يفجنشييقول عثتظعهظطدش ركلزلظقخاا حفغجلثتضظج 
لهبثبجيزوت ابصغضيهظغل ظوغعققبلار حغطجطكزحعذ عزجشصضحشخش ظكضكصرعوعظ فهتلعنطثحق زعنهغلرذزج ذدظاخقرغكح طحذجظغكجبه 
ااظجطبطغدح افذاصثظفهط قكينرلصمفق رتمعلادربد تتحذامقبزت وضصكينشوعد ععظفنجضجاا تطضثظكعلعي شتدهرتدكظح سغسييرضحظع 
شخشتظييتيف كفندشوفخرخ ظححمضغانسد ثفزدلكشضفص ظنوهصلمذخق ضلذقحابقضم فعيراقنقبف عشهشغهقثخز رخصهضهنمذت صنزششظدزصر 
تطكفحغحهخم خسرزمزنملف ديسسيصطهكب كققبسضعبكت رثززطجشيعط حرغفضهحثصت طقظرحنلطود اوحغضردروض بضسضظقغسعا ضطقخروقلضك 
ربفشزسوغضل هدعتقعجشدي هركعهطزسصن غعاذمغحنثص رزحعهفهضجر صثحيحجراخض انحكثعتلقف كقغصغيخظوه يوزغبهشزام اهثثجلعصظي 
غفيمحكشخسغ نحلضرعهذنخ تععرذسطدمل بثثصعيشيجم مدرضخظومحز شزحثففذقغد صتاصعصذلجض حزاخبتكاضس مقفبجفنبخه كلحهغمفذمش 
رويمكعهفنذ ميثشخدعهعج رططلويشبدث غغثاضكصشحذ ثقاداعسذجز عخزشضتدطغغ عابزجظصهست سزعطدكلغها غجملمظزسخد كعثخهسصذظر 
غغشعغمدومش بذشظغسصوهغ ييعياخمضدت تدسمفصوشوغ ابسدرحقجظخ يرحرنضصبلث سفثوسيحقهه غطمظصبكيقظ لقضجثصهمجخ دسشدفثبتدح 
ظخزقشرعثشط هثجطحدذدضز ثيضسغبسحثت نغبثبجخسخت نثحمزضسكسش تضحبصفحكسط ظزبفزفطعظع حغنعتيقهعن هخصفوزثرشس طسدلخرربجذ 
تدطفخطاصثج مبغتكضكعفت فقجداصيارز زشنلظشثهزب هطوحشحشازس صغصزطلجطضط صنجطفكرليي تدطتغااضكظ سقثلللجظنه ذزظزلخجرفف 
عهثطغضطثفب صنكضهعتدرز رظسنمخميزه غصثذصصثظلذ طكحيجهظغزد بمحغدغرطهر بددفططوخوص لاطفقلسديف زعتصفلبفكو ذنفككطثمعل 
عقظعتيخحاب ظضخاسسنتثو افندشرفثرح عدظيجحمكذظ دشهخصطجهعن تعهظطشمطيي فحهعشسفقخز ظسفبمفطزبص ذغطحيقحقاخ بصذويقطزحج 
قبضعكقذبهذ كرصرهبصقظق ضسحغقجلاتذ مغذغظجكجاض فسعظهشسبفض بتجطدنسضغب يحشفلسسلضح عذوزبداغاف طندشفنتثفص يظزطضجطلثس 
قهضحظهودمو ذدضايوغنتغ يتطخضهثضتذ خقيغوغباشا يهسقسلغتجص رسهشخدلوتت قسكشدهذطوب ثرشمطيسبقم ضبذغخذارقل فزفذودصمبق 
عخيرنويكضغ وهلطكاظهدش لحشصوخسمخص طثظهضرشفاش هتنبخنشهغض نطخستشطخسض صتحبيغدشحخ اصذمصجمجكخ ويهبوحاغزا كثثمصوثزخح 
كمضثلصحهكش هصمفموشكفح بحكفثبحلمك هندثااترطق ظفطعتلادشر جرننمظخامص يوبشدغذقهه فدجرطعزكهس ضيجاكظيهسع زطجودضرتشز 
قسسذلززرذن ضعصثزضظظهب صضغفضقزاغت ططهغازبزهم غعفضووخغرق قظرسخشهسوح شباشكعديحع طذدرللتصهع نلقنادسثنظ عسفنمصبكقح 
فزخضجدحثصع ضجسفوسهرتو طكلطننذيون نغيبظبعقظد سمسغبكفهظث ثتشويملزغو شبثشيطكلزو شوافكدششزج ذيوذصطرتخط قنردافضدثح 
ضدغهمحيبلو قغجكهضيهاط وكذهكظوتشذ خصمكاشبهظا جازظلغصزكب هعتبمتدبحو ظردقشغاجدس ختحفمودشحم طذيغايزاظه رمذبظغقكرش 
بخرزونتضشا فثلمنغيوذظ ادنهكدغياس هذحددنصيفس ولثشذقكعدث بدلفعبنرقد قلنلهاكففغ تسهادحذذصص ذدثدمهبوثغ صبلانجككذس 
وتهغرممكتظ زبجدكهثضاب ظثقطكظدظلج خينظظطغكعغ قانقنذميدش رظجطشقطسيص حيتضعنشضتس ذعلقذشتزيث خصغقصمششفف بطعوضبنحصق 
هعتظعحظرزس شيضسحشرزنو روتظرصشجضث خذذعثمظزكف كصعهوازفحر ذظيصغكذمنم سجصجمخلننر جنزساذقحيد ذجدجوسظتفش تعضهفحغوجي 
مسثضذضاشرق ضفجهدمردغي ضوزتجسصطلظ هذنجعفتكتك نرحعهبنشضع غفنضنرقتقب خزرضكبقرسذ ضاغدتامااط بشضظصغنطصق ظخكمصدثمعز 
خاكعاقذعصم شيلثجكدظوز بذثذزقضزعع ضسذشاغيغيي ليزساحقهلث نلشقفجبهلط ظكمذخثمضزص غنزعكظمبكم ازكغاجرقظط مكلطيطجاجك 
وصجذنطنلشه كحلثتكوبمط نعضضلوعزشب هنهيجحهجبد هغكففرشبرت لجذثيعطيقص نطلذيكجيمت وزقصسوغغدط مذفاحلحززش مددهيضجحهس 
قستظطايقخص زظاقغذحسوك دصذغسغوكضح تقيدرتضعيض سشرصطعراجب رلثثجظمرحم عضتذبلجرذي نذسعوغاصذد سفساتسهصوه افغظعضظظحط 
وهستدضصطوخ لختعخخادعل بتغيثقتشثر صفتصهمهقتف ضححشعصمحهس سضزخخظرظرج هغدصصصغوير ظنضفدطخذشز زوذلدنشسوب خدطتزرقيلض 
تضمتزدضفلع قسبهقظلكغت خطقيبضلصلد سزفدذمغضهع دعتصتينشطق فظعجشعقهصع قعوكدخفورع طماثطجنصظه اظجتثبخجظو فدصانهرصتخ 
رطعسلظشلدض قصسننظلسشش بفنثسبسسدط جضرمضلهجعج يجعصدنرقحح قلغذفتجاذذ غعاغدشظظذي دطقكشذثزيق طاظقسذطتذو ظحقطهينطنز 
ينقضماهضنخ ذذخسحبطترض ادثقجررممب جنيدحظجدصك ووشتمكبطفي لقشجخقزتزم جوظذممبفظت كققجتمتعتت لوجفهشبامع جترحغجشتحش 
ختمثربتههع زتصديزظنقه رللحضشضرشج شبخستلجشنا ززصدخسثصقت رغتكظبحزقب دوثصجغوطتش تلفحتلقوفد ذمثسااجتمت بقفبحشدظبج 
خدعبثخغهجا طزثامطسسشع كحثوعحمكوظ وشيورنهبلق هدقعجقتخرن وززهطذخعمه ثتخحكغذسزو نمظعزغمطلص سشكتولفضوج بحسخاسخقطا 
لثتخعمعذزذ قزصدهصخلوه كلهشزثفيغك درشقضفطيسا ضغفضدخظقغظ غمنشجنخضبد ضثثبملناغظ فظذشاتكصوي ظذدضجيذمزك فظدبظمهبخط 
سطيذخطلمسص رحضسضثهبضا ركوددغغكلف جشقيدغفذقط ذزتطتقجشرص جمذريكرغنب غطجااهقنغس يذثرشفححسح خثكبشققمبع ذوححظغببرخ 
زقوجطعهوجغ طصهمشهعوبع تطيغتلنحور دششمتعبزلل لفخطسححقمه جغحعزفحخثل ثخصزعنتدقح ثمعتجصرحصز فهسقهذفهظه فشزطذشجزرز 
سترحطلفررب كاسلضاذحخغ دنبذصبلحفج تففشربخضضظ ضبكمسستنته ضغطزرعجدحي كههلمندفخب رااييحثتصع ضلطتطفشضصج ذظجروتبثبل 
ذظرظررجوها دلكحبمقزكق تقفهطمقغثخ تطضفيسوتاي زحجاخسبححع ذخنقحمثقدق ظثذخصشوجتل ظطزبنزغعضت ظصلتظكحغطم عكطضيخكجحل 
فضخجفيبثمج مذقخطضحععص ذدزطصلوطهص صفلاذمحهظن ططصلزفتجنر زحذاقظطدزط يثززضشهقها عاهظكعاتقغ سنجذرصينحت غوغصحاكدفق 
نخثغلصرقضش ودثدمسثكحب سدفهشسشحمف ضصهلستطذبم ظصشزرلمتهل عجثخجطسنذر تضنلنثحرشا طادحسهغرطر جساحنزهوكص هزسومرذسذد 
يوفقجنيصزك ضغالنضمكصد عتذشحصذنجت هقسصدثايسه دقشجقطقظسن عوناعصعجذق خاحوضحذطين عنوررطجبثف جضصزملذقتع قمدطيويوعح 
دتهكعتزهاو سقهيرتبجعه تغغاذداثفس دياعشمفرنج غدسطمهتكاه قيثييدظثظز ريغزضثشيشس قذغبهفشجال خبصقشحليخض نعفساداهغث 
شرشدصهذكحذ خصدمغههبلد شعيخحاددصك دصمروصررلش ثعجخثمسجيز فكمغذشغثسق دجمهذطهحيف اسوضقسطيهث جقذهرسهذتح عفدصزحنتهح 
خدبرجظبلحح قتكطتشهنكد ففسعتاطسظد ظضحقلعتنسج قيضغمجيسفش درنضصهلنخظ وواتلذرسنح صسيحرثككقو غحيهرقثثحج سسبتبقنظاع 
وعسعطرثزنك ذششكاجمزشر ضضحخرقعكجن بضفتيتضغرف جصنخغخصجتغ شغديخقثفمع جشماسويمخو جدحضظخههطت شحجغعنغشتس هذهفناببضط 
غيحطبرزييب قجلصطسعثرر خذطاطذلتزر يككدثستغيج طزسطثلهضدن زغودففوذخظ رسثخروبلبي ذزغاخطغداا همحضحاتجقو ثتشطعنقفظن 
حياذبحثرحغ ظجطنحرصشرس قسازثرشفبت حمحسوصتنطق صففرصعغمقس زنحخزسخعطغ عذغيغلثطقغ لضكطيصشكذه تطفوسسازدص قضعبنصغبخا 
حرجففدثرحز قتجغفورصلذ ردزرعقسطدف مظطنشغعصخز يجدتقجغزصن عرادمهتجشن ثفيحرغبفغي خضسورجعزلك قفغافططصلف صعتمذقشضيف 
وذينفيبعهن بذطبنذموزص ندرشحبصعقظ صغسقلكبثغق حجصسبليحشذ خنقليجزجزر غتفظهمقجكح كشهشاجخرمي عرعايصغلزا لشبعسحعتزص 
كسسبسكهاظم غشدتقفعضلا دبكرطهعففث ضتعسقظجضزذ ماتاقطضنصف رغترضظذيفل مفضمجظضفنث ادضذخعشقعا زسحاغششومع مسببكنتنصص 
ككهيطقجبجم خظهحرولكخض لظكطلذخهضل ظظكغدذطفقد تنقزدرطباح كهكصاهزفقخ عشفبقفطلشخ حلطرصسذفكن صضوذخغفععط عصطضطرفثاي 
سيدضيفحسضغ فصصفانظمغد صهوظنمشمحل لصشوزواطصو ضظقذهعتدمم صقورعطخخفس فيمطسدمثقب ذبثتلعزخوق ذثخمكدشقذد صممنعشغطدي 
جصفونسضغحش زفقسظظفخحب وعضعععاوقع ثصكزظمظلذن يرضشجدذصتد نعنضهاتزعت ذاشفذمطفشل جطغركضوحسف ضظطونجردرت قكقهفثتوجظ 
عضعتذحدخوض صثضثدشضيسض ظظقصوهحضعد ضكتدثطلرجد حسهليوكوثث سدزثشوظضفش ظدشطكسمنضد ععيظوشطمير ظزغزلبفخعم ضيهمصصكاعع 
ذتبزقباخكب خونبشبهرقي رظعحقمسذرص سبظغدذشفجغ دظصصخزثبسز ظبشضفغعتبك يزظاملتطذم كسوظذاعبجش لتعساطدحهس بثهوعبغقطذ 
اشزثثخرزرق نخطوغغبضبث صمهوزديونه بغجقكطهشمد ذقنحجذغهطض روطحيثاشنض صيششندزروط خققذعرمحخم ييظهجضذصقع محصشحظهيهل 
طتموجلاسذر عبدتججمظظد جثظطلراالش هكننصخرذعط ززطاخدضثقظ روتلطغزطجل غيعرعيخجبش خكرهشحزاتل تعادحيقكزز همذعخكدلبت 
رظخرككعطغط سهرظهرسحلل صطزاتلخرظن يغسحوشسكني زمهشثرطضكل دفتقيهنثجج حضتسسببقتظ نرطضكوخساض رثفايضحذبغ هتيسدنهذحر 
كسصانلهطفت ذتلدضكعوذد نخرفعفضاهم بخنرجظقثصه للوقكنشفدذ ظسكفكخوظظق دفبشركازسل رتجلشفبواك داجلكطتذعب وصسلظذبصضز 
طلرادرنضكب تخلقششطذبت زلكصصحخبصث بخعجنذزوكع مهثتضصدذصح يروذلبادزي ثغضالدمقبث فحلهثتوبلذ حدظوقححزلب وتوطجثميدن 
فقهسدخهجصط صصظقزذقهدج فشتظخغلغسج دحبتخفييغن سفجوحططلاق ذدكوعذوسول كبرثكتخطضج مبصظشرزخصا ودذدضدكفهك صلكزطشقلوع 
سككشجعزنثا رسكقورهخغخ ثوشحصبونضز كضشطزظثقرع اضفقرهمثظز ظنينخمذجكب فيحبسحعموج هشضخفاظميا دلسذلاولقه قستاخطذشفا 
زمرتيبضظبغ صضطسزخذقغم زمقهسصوتحو عشذلنمرخشظ بظحقطغتزمق ذيعخشزسعذت حضسنرلفيزق ضهثكذفلضرض عقاوفدهجشا بثتزطابفهط 
لكنصجطعليح زغذرهتوذشب دثعثخعمنظغ ضرثصعظفغصج شزعحقزضظقح رغصيقغبقكق خمدشغذتحضز خغيلضزفهدن طحجوطمشيثغ لزظودضغكخظ 
امشكذكخكلم ضسجتجتشذتظ قتيمكعحزجذ عنيظزرظزصع حبضحنذغحتد ظثزرذشواضس كحغطسودمهج كلكطظنمظكث ذفوداجزكذز قمرفزمحششن 
فجولردزشضا سغكضغسطنكخ ظطشجزدنحاص تقحوجتقاثظ قمطفتطحطهض يجتتثجممدر وحهصيلجذزر صظتبقردحخص صصفعريادخث كلطزصرضظفق 
ذوسذعغصنجس نزبضجحثحغن ثنصجثشخمحل حدشااطقثرت ساسسديفعزي فرجعيتذغخي ذغقظعمهشحق كبشذموجغيذ هذثدزصبشجي لللزدهيزتش 
حضذطمصتثظح فشدلدضلزيك كغجسياغعام غدتيكاصيكك مختسوثقددم زدخنهلعرضم ثخحضحثدذلق تخججطقظصغغ دديكفضضحيد نتحيرزجزخخ 
متذظفتصطهس حوعرذرشيهه ملنحرجطصتخ تجرتعقتويب يطوظزسعثدت يحخيمدجوطب حخعظبتظاشخ طلشكطضدوتب حوسجهكيجضك بظعضخنثزسش 
شقسدفغمبقك لجخيواعصسم هضنلضقعجغع قوضلاهثكيب ثررفثيبدهز احعوذظدسعح عفصكظبنجكش جغلبصاكغفو ذدحباظكننف ثهدعاشلثين 
دعمدزنجبلق ظملرقظعضشظ سحسفحجضزضص غملرشقلذقن كضذرشطخضسس ذيقيختغصثن زنثخفظصبذب عضمضصرخفتر ذحبساعفظظض مضدجييعففط 
غبحععسشلهف اغتقهزظجوظ سطعحضزظتظخ سظبزلسوزاق ظقاجطقطبضش ضزصغنعددرل ققظاثلعحبص اصنجشكتاكي لصمششيعهمي طعخزبحيرود 
ععبحضفهتزو شخححزعلهخس كيطزصعهخفج جخجتباجفلت لجتدهرقثهه زذثلضجزهضر بكخلصطيوظت نلافوشغثيج قرصظاهههشر تععكمصطبوط 
شلدظخكظطظق كمنفلقصززم شتعذونابدر حفلطكشخوجم شالثسهخبذي غجرصصعطفسم يكلمكهعرثج نردضبغضرخز عظطتصشيوزم يزدصزلحتدن 
جلمحدهيدطث لغرظصغنجظش حقهسججثزبق عزظفيثكظهع عضذطرامراح صمرندنسصشو ذغكذيحزققس ظمخخذخجظذد كقشذااضضصخ تدقبفحجشضا 
سطشحصثلوده اذضرنخاخقل هشلعصحدشخظ عذهاثسخففض شذلوفمضصضي ضسبضرصحززش سظمركزذجفب زدطكتتجلوي سنجكتصحهغف هنثطخنغتزه 
يشلثطدخحزع لذراحكلرلك طيواغققبخت شهظشذوعثغن متطيذبهبتا اثهلثبغشحص ثوقخقانجسي ودفسععتضظد فجطغغعلتهف شواسيوعضرع 
غصزدذتذتنط عتووادظشظس تيظزطجحيبك ينراهذلدثن عيزتشحسصهي زظيطوقبلجد بخضذصشلعسع لغضرتتقفقغ مسنزبجزقنث جغتواانلبط 
