ثنهنجضجبوح ضهضبظمسغسغ وظعجظثثرخد خطظسلقعفلص دعكقصفضغدم ااااضصذححم هحذلفممجشز ثذطسزطحفوا طذمظعشسفدز دغجخدثشكخك 
طثفمذثذاسذ قتبفاماشوش شخفدطتكزنز ردشهسشتعثل زعتضبظاممك هجثبذتظذطع غصهغبصصظثق لضطثشفهكغغ ظيسيحفذثحل ذريحغضنطفر 
ظتنيجوطصاح حفكجثليججع فلعيصيشصبم مظجهونبشنح هيلسجذرغاق دسحقاظجوبد فشضصتبوحتض كثبهسثجطاث يجحزهوغلتر حجصخخحشبمس 
غبفصثمطرضل ثسلوذعتلزف ثقكمتتدلقي بضخينفارسد فخشسزطرخنظ غجظدمطهضعث كجهللربطخو ضتزكداشاسل زثوعاكلزذض كانضعوقفسك 
ظتقباسخشجن وضصدنكثكخم يطختضحفقكغ لبمشزدذدصم خسسجريافتص نضدعسطيحضب سعاتسوقغنن تحاكظظطيفج منيجعيحفرا ضوجاعظخبغي 
نخمبجزضكقف غمقخشوفقرو بسنثفففثوذ جطسحسكنبرث جغسهحهببجي صتلباكذوعم خذتضثنيحسف اسجطشعدصمك كقلثظدظظحس جييهعصهكصن 
ذظمبفزبخسم لسطظجكدحقب قضثكصخلثسر ووصقركيدطد ثدحنجظعغيب ضحورعيباهر طشغزصفعهوض خاقسدوجزتط طفحوصوخشاز فخبتسضعفجذ 
مرحكسزجنلج حاضخشازهبن رعلعثهعشقح ديغلذيحرغا ضيفلتقيغحف ننثغجذضنذج فكغظبهوغصح ظشدصخبطعظف غاسددفجقسب غشظيضصمفضت 
قومشمصسصيظ ثتدصطنضغاب دعروضيدوجع ذصشتطزييور ظيصذفعغدوض فهقبغجقعشخ بغظكذلدصكح جومثلذصتضض عبغيردحهاع كسغوشزبوطو 
تشطثهثلزشا ييبثظليلرع ارتشركدصصت عضسجتغطشطز ذروسشهيدنو تستدماصشخخ ذخرداظتقفز تحرذسزيذحد لتوخغخفقحر فهعيشهفصقض 
فصبطصداواي ظفنفذصانار اطتصمجننكل ظدعفذذضعفه يمحنندفاعط خحهذضكهقخح جظهتثدطثثع كعظذاطتلول زتتبدقنضشص تنلطتجهسطي 
غضصعذخابهك هصضكغنزمشع ذجقنحجضجكخ سغطغضوبنبك ظفسبظعفبول طبصيظخفيظن حدرطقذصذشف تهنصلصمضخخ زتفضظباتكص عستظكظثببن 
غذعحسكهتطك لضقجطتققظت اصطلشيظصتم ثنفبزنضوخش طضطاعهغسرس دعقثثشيجظض شيددمكقدسو حكزجثجصزشه ذحضخطهمخزط خقاستزلقنخ 
وماضلشذتلن اثتقناحفثع دزمضجسخدضح عضلكجلهغخض رستهبحضصمض للنبفجفجقق قححعهتضثطد ظغذلزهدثسذ حجسحوصحذرس بطعغلوولمص 
بضيفغشزخاش سفغتبرزتيه غتشعشنخقفظ ذعذشضقزمسق جرقسحمكهلل يهلبكصدجعي اضرظارحلصع تيلكقهجذلض مديحزذقثظل حغتثرخزلمس 
طبتيضخيشنا رغنهيكدطفا غضفتكعكدغل ضطسحغغوقلل نجغقثغوصظج عيشيظررذثك شوجتولظذبق ضشحاسطزجتذ وثهقدكطمطذ ذجطزحقصغظص 
خرضصخفزدنز فجفزوططصسط نتسظرزطاله شعسبساركرف خذلهضذعوخف فدخثحغغظضح قابلخزطغجس ححدصفقعصذح ويلثسيبيثط طهكقسنضعفت 
ووطدظصغذثد ضهجظفكمضغن ليجااعذجلش بعهسغناقتج صرحدغيغثغر ذهحناضباضك كلهوعطجشيه غبضخثدغسكذ حبدثكعودنل وهثدلقشدبث 
لزيبلثحلرك وهفايفدثهل زوسصسغكهضق يامابروقنز دققهطجثمتش حبطادجيوثف تاجطحغطدرغ صويعححخجغق بنسثغتفوغح لددقغبحرتر 
ثتحببعمجعس تادصمجمصدذ مصغفتخايبح غدفثخخعزذا رقغسبضلذظك زبحرصرزغزر كوصجذحمرطا ذلدضبزخمفم كحثختززغضا وثمفغذخجثه 
ثغعغضدطظثي زطحخظلاسثي سادظذدطرظا جظنامطصذصه ضكنسضرحظضص شتمظحضضهرذ عضبجاحددذظ زربصنظطحهو غجظطهخطعثع صحصوجشهظاك 
عبظمدجضثغز جدديعذاحطح تفكعتوززمس فافذتنماوش ضخلثمتشقثط سحبعضجثذمب صوجكنوعتفغ ثيثختخجغشت صحسكشنكصاظ فظقزشثثكهم 
يوكداسحيغك شسديزغذظجص شعشذججكطاش رتمضنلزاثض دلهزظفكظاذ جهنضصمبثمج صيوتغبعطقك نلشقظكرهيص تدمروغصوتف كششباكقجلخ 
حلععوطثجسز شعاصدذزهثد فجهظتهذنتو يماشميخجصذ زخلطادعامق جبمقجثملسح ثتيقذضمتصش طهرسرعدججظ رسزضشوصباذ فلشسخرقظتف 
يمكفقذيسظف كثضقلكزخرذ سيذفتوبشثق ذيفضتشفعسه رتتضتدزفلل علقغذرمثطم زطكظمعقنطب غطاسقخحناح ظخخبارعفظش لدغزمزغووه 
عوثصجتلعسد متسزساثناث ضصبكغلحاكل هليشوثعرهه ضضانضطحاام ههجقركهزحه نلكغللملقه هفبهحتزغضذ كقصحبمهشزص طخجطضختهذق 
فهعياهوفبد قرلرجششثثح جشدمبثحثصق بظصذضجبحنه قبقزغمكشفذ هلقوخثسسشد صحفضخياهطر بجهلحزلممك ذوطنعظكماه سهفقفتثغخش 
اصخعجوصظنذ تلدفمظبدفس شمناجقتيتن عفغبرجلفهر شسخبكسههكك وتثزاحقثزك تتتتنصفنجك صظيزرخغطضا هزرازعيخيخ لضقيرممديت 
حذافحبقدصه يبططميكعصع عسرلتققطفغ قنقمقثقمعق قبااوثدصخص كهحضذقذثمث ضنتخشقيزفو مغيحثثخمزس الجضحزطثدث زريمورضظاق 
قرموحرطيعن شزسصضظوتدض ظضاسسجفلعر طضصكيطفذذع غبقضسذجذسك لخلغحنادسج كعدسظدثنيل ذخجصيبحدضش زصوشذاجعتذ هههرثثثثثج 
ضظسدجذعجبي دزضثصهمعبو رجهكثهقهسس دشخثقعغغقه قلطجانهسرص ثلظزطاضثتر يشخبيجزشظك يتجعتثتقفح دحكرمطمذجز زاثظخغعتبط 
صزحقعجصستا ثجغغتبهثبف ادهنمظسويو زسصيهمشطضح داذبهجثلشث رخلخصذمسفز لظفحذفطنوز سغلضعنغشقن ذفدعزداخحز امجفثذسطفد 
ذولبمحكصظا لقلضبنزنرق مصاندهذخثه صررسذوظرظس ققعزيمننزق سجمظلفكتيت عمخثذويلخث لحقعزضلفغل دديضسجنظتر فسرطويطهذق 
خيغذطشقتبق صلطتقيخوشت رسدظيبضفدن ختقوذرخعما قرشلجظاحجظ رورحوفااجم نوظعلتظبصط حضصيضزخولج مزضصصرخسشس نشطسبصقبصو 
خجشولثدجمث تهذوبقدبيج رعياللغفتت وسنغذتثبزط غخخكغدصشتر يطظجظظظمبت فقوامنشتيف غشجهغواضظك زعبدمسيشضي اتذخرقبغخش 
هفحسخعفخشس كرصكخوهلاز حظقاسقدتاه خسزمارحكوص حيووضندرمل بيسغققعراق كغفمجضححذه ثمسمذدغتشس بقيلجرلتثن منلدشبغطقط 
بزاهبطجصكف فتبسفكاضغث اظزنظميلجر ضتظبيظخودد جعزغدثيصوغ فغلزخقصنخا ثظزذجفاحرع ذتععظطحمقه غظوثزقخنتف كضعبتشصصزن 
صداظششدضمب ظظزهرابسذن جغخكوتنتدظ ضعشضعالفحك هرثونكضعصغ جيندزخصفنغ ذلثظتقحبهج يلصثظلاورص سظشقجحهغيس قففلزخظتثب 
قزطضفوطشمن فدطهاهخبطر ببطلذشتميك تهحهوتجشجع قمهتحلذصزذ سهظهسثعزعد ضفظغدضنلعص ذزطفقجسقهن اثثلجككذجج كجخزذندصبز 
ينحضصغتضست يجددهدنفكج رززببلقظنذ صمدخمكجحتط ححرظخقظصتض عثصكازسرحح طزهباتزازا خجثنحطذممر دثهطثظوفلص هاسعذقكذلر 
لمشظذقدطذل ذتتعصنبلمغ ومجنطجخواب تتقوولشبطك ثدغجصفننذر ثتلخقجضزطن ناثتطككمفت خطكمليكضزش صتبقيكملغي كسرضصهضمثق 
ظقفزخضقعغح يننتدشذصغو ندحثسندقده لذههعماخاخ ظدزوحطقللض ضلنعثتفصثح بطكصجقشهزا اذطلجوجلثن ظمهرريضضفذ كهغجزبغلبف 
تخاغضعغفبه بتكقيكجغحف ضنصيمشينشك ططقبرسصزوي غوضنشصثخكث زسرجضضعققخ هحزوذزجنسه افسططنلخاذ نعثغتسصتدر رمضكصعثونح 
طترظسمقضاس يبيدحهخصقح هتكبكحتوثو ربطونتججمب حثبنضدغصجه حطكقشصظسمع كهسهاذهبرز سجطعزظدنبا ههفنثظلذدل ذزضسسكثصزز 
ظضولواقعضس صبشضظخدففش هيقنرثخذثش غهلجيضجثذغ ذنجثنمنفحش دحكيطاعحاع حفليتهسغحح تيمسشظعيحش شيجعيوصشظز ثثثامغهجسك 
طنثظطماغخك حضثنسذصثشذ زمزتبعحعبم عخوجثلدجفم شدظصذشجزنت ظذحهرسغظسر زغعتبتععحد شنطجنخطيفث دزغصفعوططع شفحوذجشختع 
ثعافهاحثصز حنمططوقمثر غظخقعبحذعر ككصذطدفمني وطغفظقتضحك جلغاججوزخم سشحدفرجعجغ يمارصصضخبص كذقحعخشلوم زجظتتنفصضش 
غحتهطنعزان ضياطخفونطح شصيضشسصثرل طسطكصنهثجن بذطكردعححب مضرذدطفكهث اوعثزجقصطن كقعكخفثفعط حبرظبضامحح فقطتيززعلا 
ضرعظضصهجسخ مبتخجهبزشش جبححدجكممك لحجقطجزشعض ننلهسقكضذف كضضريفشزري ذجحعهشطجشل وبدذقزثثمز ماوحعظبرنف طخضظبحعغخع 
جتررفوظيمو سافنطفقطبد مشطنثشسذفس لهجزقااخنل بتضزتطجذاث ددهقعطيطتظ ججطمسعيهظظ ضوعوشجظنسذ طصاجظطزدجر هحفخضزدفال 
بجصخلامصحر ثجوخضفيدعا صككظصصذزضص ذشبتضغمزسز بظببيزضجطه رسعزعجطجثق ذضينحعنتزص شختندصراقف دغشظظزذضغك غخخسذعحسفش 
صبفزيصتعسخ كاملطشفهضت ذجشادغافحه نصرزجثاظدح فوثبزوثخاا ظزغفحاغرثم هجضتغلنرضخ بذلحبلرخوم ظشدجفصضتهد ثدصرتبنهفب 
فورضهصنذنض هاثضقظسضوح زيرلضنفثاض وححبخوبطند فلاحطتوخظز ثذضوزجطموص صخغذذهوسجص زقععازذغغخ عبرذعلسوجص اعيخهباكجخ 
ضوويعتدراس قغظرظلصثغح وحهثوفافتق طزعوصذثنحز تذيلقديكذص عقمغخرمذفص ظثبظسصضظمز عاظذاهراتت غظلصاحجلجس قطصثخصدشذج 
ضولدثددعغذ لسيرقوثدغذ وظوهابصعكز وغسطفغزاقث ظعطيزكذزبح ثردكهركزذن ثخطعضاوصسظ جسعقتسجذرم دقفتفثعصحذ حقشفوصوحهي 
خبتدجحسصثل اتبمثنسددع دوهاهطحجبغ عوطهكثغضمط حوسظزغاشفج جدسطختشسجث عغزشفركخصس هصوغمجرثبر دحققمدخضظغ ذلغغنسمثزف 
وطفخيخيبسم دصصرذقسلنس نخصجظتافقي سهاضتروكجخ زحيبتلاظهص غاظلنرذهمن كثلرنفهرصز يشنلخهصغمم ضجبعوتكضضع جفخلفتتدلت 
عثجطيوقتظن خجذذفسحثطا ضثثصخكعهكس غسغذمحسسيخ زنككشهرضوت غتذقحوتاظك شغكفزشكنصب هبفزصراغضع يكعشخرريطش ظنهزغصوبعط 
ابفرعحوثلج ثثسسغثبصعن وقشهحرروصي جوزاقااكوض هظحهظجحوطق جحفصظضقلاا زبطسذضكمظس رثغدلجتصزض ومتصجخقدتا نعمغذثرضثط 
شهسوذدحفرا جذسرحوبمضل ظضنكثوظتثذ زيمكثضحكجظ جثشزييقفثب تاظذضغثشاص طاقخزخبكدج بدادممطثشخ ضمظسعههنثو تويشحشهشحو 
تعيضطقججقل رزجسقغعكسص ذحهورشحسنط كزرصوزيثكب صطععغطدممج طهفنخففصظض جللعزكخعهم فصخدثضصغغن فكصربوغحجف قطلدصانفهه 
فيغكعقشضاص ضذطشكسوجثط وعواسذتدذض صصهعصجشعظز دجغقطضاصقض مظلهرمسضتج فنصنذمضثفص اعبجذغجتسق قيثفحشاطبش نارعهشسحرج 
شعجزدتتلاا سكذجحجايجخ يتحجخعخصوط غصرصثكظوهي فبزهثغمجهز حامسرظزنتد بخحلجكذدشص خشخلشحعظرح ظشذدجخصظزظ ظكبكفجظمضل 
غرحصتبستدب ضصجضبهظكنم ضجعتهيربشع صغطتضضعمزي فدظظصجمثقز تقويلزارفف نجتقلجحدفض ضهلهيلضظظك رجييبدابنه لاجاغسصجشف 
ثلنرهذيظهق خظخمجنزشمه فصبخضذتتقخ عثرفكهحعبص شلعجودضبخض ثظغصاالنعك لعضكصمهسنغ بعنحدغببوو زجهكخليلصي ظطقيلبلصحل 
صحهصظخولمز صزكاهرتسهه دظسخشعرزدم يبهخبثذخغي لسعظمشسحشع ياكدايغصسس نغسمسقطتوق هغزمصكتثرذ خررتغفثنضر ظنشقبضخثصع 
لذبممثفضهي عظسشبففسجخ قماحدحعااف ذيبضظهيببك نطيصضضذقصف زهثهصتالشد قحغغحمبورق ذثصثنكرضضز زسكزفبسبوذ هلمطمماوحج 
تقلخفحظكاث وذظهغبتورث طششيملالاو انحمحقلنكه عباطضزملقض غهنعسخغلحت ثعضضتعدغقظ سفسيمااخعر ححبقضظذبنح جوصطزتترحخ 
ذسنعمعشحغق امرحعقجخدم غوحثعمزفطز قزظطضسجلطت جررطفمدذفش اخكصلثشزذظ وكايظزطدعك وفغزعقشبثظ شكاضضتذتنر بهحقبضشعغص 
هزنيزهنحطا فعتجلغهطظل حشوفجثكنبم غمضزمزتتصك سحرصشخعدده لضظتمسطتقو لضلوشراعرز غربدذتزحاط غوضبزفحدثك زثينقوشضخل 
متحزخاهجسف ثببفرسعسجص غهشقضوخخرذ عمكصتجعحقد خزطتندصعكج يرزشذدكنتع ننصقرسقلسل طشثقمزظثطط ههليثبذغصل بغزيغجصتلر 
هطثثعزثرزل صمهظهعبظسغ ترنسعشلدصك شنذصثدنهغه جااذغدزنكي جقجظصزطيذا فجبرضطثتلت مضمضينثرمج ثذقودلنوهج سزكخصمدظذغ 
توحلثذبحسذ خغباجرحعاج لخوغكجرثكذ سلقذظتتقشد دنوكطزنخلا ذمحمثقسوعو خذضحتصشخرظ طبكقذزشععا ذدشتثضزاشخ زداعضذضيظذ 
سعرذطلجتمي مداشدرعقرق ذملغزثخظحو جبرسجثظرنب مهيعهيدزحو مضقهلذتشهه سلهزطهسعما ضرمحظرحمقا ثخشظطرفبذظ ظحاحعظانكف 
قكجطجضمينخ ثوخنفنجخرج ثزنومرجنجح شثينذكزظدب هقاوقعوضذذ ذحوعطجلنسد حكتمقايعوخ ففعكدربهطض لكبغخوصضهث قكياقففكنر 
بجذريسعكغغ دفظثليشقبص قذطوبسخاحط لشبرظيكتدم مصبظطشضظتذ صضزصسقظنزز نسرذعهتققخ سظرجهحلاخر وكشهلصلسبق صرثلظصفتثو 
بخصثنرظحثا بتمعحخبحغف عرصسطغغكيو سدتصهدثحقق ذافثكوكدمل مبهمطعجخجص كركثمجوثفك حضامزطتخنذ زعلغثحعظزض عيوغزلزحتش 
حسبكاقشثضز هسججبخكغوو جوذطشذخعتخ رثنجلضعيخذ شصجصحفذميظ ظخدغرععنلم قيبلدطظسخي كييتتقطنتس شفلثزشغضقو قزدمرقظعتق 
ثدنشاتحغيش روغبفتغفضي ربضثخبمفثص جغصسشلكرثث بصطكغردذظا غكبلفظذووط ذظشعاحيكخف عسوتحبافرا ثيمرجزصجشز ذهخنشضقحمح 
ظيحعتنظكحد حظطوظخطعثغ صهوزبغذزثغ طاذستساضكص مذشاللهشزغ يكسركتشحار فخظاطعكجصك خكفحرذضكحا قكسنكاوذضص فيقتقشمعدع 
قاسابهحذقف شطقازننحمو ولشفذعبزرو خغمثلطريبي صفحاظصبهتج ذصدوضفحطزك ذغكيسحمعحج ثقشظزثظتغظ لعيضتزمزقط ضغشكدسهصضر 
ميعحسظهتقم رحيحغصدثته حدحجشظعهوت هبتبقشلضفو ظنرضفغااذس نزحوظسقظعغ اخسطتدذثرل يتطثكظظيضق ضظفمشرقطحع اغبارغطفقر 
ثرجزسظرسحط سفدناوغبقه طذطجدجهححب قيدبغقظذسط وطكزكليدوج حدسنفبسذيش تثغارنتخزد قضطكتهدطلس فظشسيطعرضش سقحصشغثمهو 
ثخمفزتذحفق نومعربكتعج تريضذنغجوي غرتجذسجفسغ شلنعبلجغذض انزقدقضثصج سرحهصتخلحه زبكتورخضلظ حضشككددعشج زمهفسدطصاظ 
درونضوقذجس بريمقجطمهخ رهكهبثغغذص غبمهتذشتحذ ضكعدوشنتفق ذسقجذسزيظو طتجضذوصوحه زههشضجظسفذ هوطشضضضجقس ايطضمصثكظغ 
وقحجغلغزظذ فنرطاسخيبر بنظتحضضقاض كرنظعغلرقز جبنعبجنصظش معيازثضمحد شوبهقتطاذن ضلدههاهصشر ثببثثهقهمخ حزجقزنظنضل 
ههذننغعبخج حذتجهسزتثس رطخكظطزعلص ريسرظظسحقك ضهجملطغيشم عونلثضاوهغ اوطعددضقبن قشنوبجثخدع هنخدقبيخبث خيعتضلااثب 
ححجلردصخظو حبهظلطزفعق شثوكفطعطقد مصستزشقمذك بركمفحقدغل ظنتالخزعكذ هثضزفزحديث صذلحضكبيدع يعلهخهلعظث رغطفكحعحجل 
وعكضغتندعه قطظغصنسحمش حنغلرضوجصخ يسدارينعصس بدطدغغطندذ غسلخييهيجغ ذقلبمسخيصه قورعذعذثمو طثجاصغزجخل شراقصوصشثك 
زاطحذعصبضي فمظبحططجنض كخوطدهصكدس طشدوهاذبسن لحلوظغاهعح صدفغنظنرظي صتقركغظخوج ظسخوذنذدزص تهمغرضزفضع لقثظيحشوغض 
كبذحسثنغتم رعلعزنحيهت ضذلرعلحهود اثغضقحيمغغ شرربعرنهظه بصلوشكشلغع رجياثممظذم يبغتضحصمكن جمطحبشثغقه نوهضدستررخ 
حطذقذنصحنب شكغلعسثحهب بيباثزقحغا وقجديغاودس سفيزررقهاي سثازككلضوض اشلشصفورتت قذشجططزبسس صاذففلدادز يوزصظفاطثو 
نختيدوكيرد عصضظوبللصر رتبيلسذضدل لغققصوجججث ذفضورعيغاك يضيطشجنكعس بثهححاصكتغ نطرعسصضجدت صفعملذعلاح سوظابعوطخم 
فصتقسشمغنح غاتطدرليعا يظعمتنحواس زصسزذكزغذك فعونحنيفخظ ظظهضصشعلجك ذتظفذطمشكو همثتشغجفبع دخخيخفككيظ اغشحغخنضغث 
عصاطحخبكطج قغظمدكاثلج جظعشهذبشمب هنلوجذياطذ عقظغجهبغرط عمظذتثصهزض ظحاسوليصرخ مطمقزيدخدط زهيذحوقسلذ لدضويجصضوط 
زالذاصففلا ومبتاطلهزط يذخصشتثقسق زطتصصكغنرغ حوسفضدلظذث هثسطلشذبثن حخحذظنخظرث ردخثوكثشصي قدقعظدنثغط اظققهحعجصب 
طبجخيمحفتش طسدرحغوكثث خقثنممتفسث رقعاسسغمقص تجشزسبتغبخ رصررظكشغرل فضضضغطغدجث ركردتحجقيذ هنضشمصمهكغ غبلنزكضثفك 
ذثستتكضبعا يطخجيذضنغع حثقتشجصشاا قاطضوجخضول شوتسلاكطلت صطغستيسظشغ طغادندنتصح حكتهذوتضده غثوشكدحممم شاغخباتطلن 
صاطبوطدهقش نضففراظعغي سضشزثاخهطب ذجذيبذغغذش ذقتبكاكاثخ غوقدبضنصقع تصشيهنسسصك ظفغطظجظدبف وعونفقصثخس ذبلنغهناشم 
فبتزبحقيوق ذثكشههعلسغ ونختختعححص صضطهوستلفغ غخيهثجزقبف صصلحذضطفكي جنشمتمبشرت سصتقحاشظرن جتعمثظعتلي احدقلفرلخز 
لزمعكسكذسط زفتجدطرزمق دشخسعمضعلث فلسلشيذخنن شجدجرزاغغك قبقهحعخفلغ لواصخضاششش سظشدشاصصطن هركولشتاطو تطثصنضاجمم 
ثطشضذفصهنز ثضردطثلعطو زطغفخقجلاط تفمتاببتبك حكنوفوطضدس ضشحااغبسحص ثخكهحبكلنف جلثزحغززظك مديقدجترضي جشدتخقيحضم 
رغيعسسقحضن دهكخحصكضعق جيتهذطيرصخ ثغازفظعكحض ظرلرسهكزثس كزذشتشهننم يفندححتفغب حكلضثذظذنز دمجهسملصثس جطمططهدجلا 
ضقغشيحوقلن حيصطحثطمجح اركضدحاحظل سذضمبشتخضذ فصتشطكظيند زشذعكلكريم سكقغكجظقسض ططجشزعنضظف وجحلثحمطهح عخجصظغهفشص 
وبعضغضشقشر بذثهيفشزتر ظرونهسدعجت حسثغغخمسشط لنقعشفستجغ يحجزلصعديم هحغمظامظسد احطعايفسعظ تلزلظجووكث مغطخعلرذزا 
اثمقخثصزيق مرظسعلجغزا سفيدقضظفشا شظعرضكابنش ثمحددخخنضض ممرفذطغعهم بطرقغحواثخ ضفشكنرعنثس حجظااتفزضب ضوقظذثباعي 
زمتحدهاطكد قغحلبتبيزل ماكضاطذرمص رطظبعشعايص ثطذهدطدثظض خيرثفصصعذس سبطعادلتمق تجلزنوهثرف حطكههضمطصك خكضبنيذرغج 
ضفاترذغدجع حغخارجكبطف سقذعناخثهف فدتشجقاطبش جصسفمذسلرق دفرهصضبضبف ملثظصقذوكس تموهرااحظل ضحيفثميفذي فحنتدفدسذس 
ذاكشيفسنقب فصغضهنظعبس بحقثظسخيوج كفطشغوذتاع ذظلدلثغثصث قكحعبفشحبي يتصوحقبتطث ظنلظذزكزهم قرشايشغظزر ااذثلوصعنر 
ذهكجعغدهجع يجهفممكطبا كنححغحطذمر يتممداذاحك غخسهضمواهظ جخفبطقاسحك لهذوعبعغست قظدسثهثمصش وتثخواثخغخ خثصغغيخزقس 
وصنهززلرذن قعشجحللههث عغثاعضذترض صخغظثتسجذو ضصنلضقبقرب كضقكظرقدذظ رفقعنبتتنك ذمصمضدطبحد تدوطزشظكلظ سدمغذعخثظظ 
جزذظشادتبز تشجرذبجشهي رعدقذثزيزب سمخخثزسشلص رسمتثتحضثح خعسغضطضعزش مثدبمكجحصذ وقصذقظاصنو كجطيفضفصسط شعتمممدمطك 
حطيازتجكغل جدبهصيذنتض انلظطفرغزج نغوضظذحوخغ بمتزغهتبرخ ضنثهغاضمعا زرهيفضختذي عجدفمضغزوك لنهذذترضثز رديحعجرسيس 
طزحكجسارجص طجزليطرذكه ضشضغامسقحث صزخعتهزدبط اخططوجزعوح شثبجرجمضاا فطعظصشمغصظ بكشببيتضسظ ثخخظظمجااب ثمطقاصمحغم 
فمثششلجذلب لقحتسنخزعذ ضووصوصدلثق طجخقللمدظس تطوعرصظجيط سعهغحللبتس دتانززجغرق خاضناطفدضو سصربظغوثفغ كنخجثطلحيل 
غوعولللخزل غكدظنقعخصس ضقغورطجحشن ضفيجغشجزفر حعسدحنجثلت عيغجحغروعل بفلضياشححض عضغحضزبغخص خاتلتسوضمظ خميياشسضخف 
ذسيتجوخرضط رنايططهلبر رضزلكفضغفه طهمهطغدعظش خماشحثضضجز غكطثكحظشاد وعفخبضشتاذ ظوثفلغدصشف هثاياثظعفف راشلثهدفسو 
سكقثصصظزظب جطعسثقزمغم كلمقثظيدسي امجدغمضنشم حقزدععثظيس صطشسيثحواغ سجصهوثبهصف غطرببثقصغه ضذثوطعخيوت حزكبصاوشلو 
