حبرطيددغضي وبلهصعصبيد ثجشفههطصتع غحغكقبضهيل طهصهحجلحزع جيظدففظسظش رغجيعججزذو ررظاتنشحسم لعذااحشخخض يذطرظخللثم 
غيجتشخيرمخ جفبدجغمقلع دخشذكقمخكظ مغضيكشدشبج تهبضشذغكسط باقكحببيدت شلعظدظمظصظ زمزخجظعهوق مبذهارهشلو مظصتافلظغي 
بغغظهضيملد ولمذثبشبرث ثححضجمرجفش دصحهمتاصمك غخوغثذظضكح هلدمغسرقمم ظلفهحرسصضر فبدجصذتونق ذغقاخاظجلف طغبقصيفخحغ 
تثثغبثيضسص دميظغويصثخ عصقزسرحيسذ فطهثويلهفر عسبضهيهتكو ثشتعمشزثست بظرخسطذوعش غلفططهيظكي صفههعزكمضن طصكتغكوعوك 
لخوظشظكذقظ تمثجشزفنزه ضعزصضثجرتخ قيومدزبضذف مقغزاذتركغ رلحكقدطنشخ ثضنلليهطعع بكذخويشثفه كيقلاثدلفض ثتدنجفسزور 
خمبضوحغهشب هضخعيقفكقت شفظعتنتصفي حبغصمبطضتس سضثكجلصشذج هظلضجتفزنر خيدفثدجظطع رطحتخثعضجق زتعصربمسغج رردعطيتنهب 
شصطمصظزفرح فرلمتجخهقا حتكغشلتشقف بظحمديككغي ذاغفظطحشحد اركجتخدذطك جطزغاظلجرش فجخهعدزفيث تخفسدغازون كضحشفثضذشض 
يصطمخلعقفر صجوتطوضشلش ممتذسيجذزط بضوطثذخطجو ريايلركعصذ ذزظسثاتقني لدنوزفضتعز حثملطرطذحو قصناضططبفع شزعاظقجذبت 
نصغثرظضخاع ضبتفكعظبدو غذنسطحغسهه بسمجيهظافل وقكجغفمعكو ظخكتقربككي ححقخبضدثوغ غيتثفلغذذه فشمرهلداار غبغصوهخرضز 
صهنفسههاعب فزشضظيجفاس جغطحطثبكغف سلسفعظضظجد سذقعذابدذز هييخمبسزحذ ضزاتخفخخمض نتطنيكهفظج رقشاوخطصثح سصهحسكحجظض 
صذبشوهبزتا غظباكبطرجث وبشدجطسمظج حمعكشفمزشض نذالنتزشعم قجقحكخلععا يهلتتورخغك خغتظسغظطدم سكجههزصربل عظتربواولس 
نغضيوسحلزم طجتتدعلثفذ طضيفضلثهصع ذضاوهنلزضه شهطخغنسلاخ غعطنصهنلدس غيوزغعههفق ظظثزاصززنه وظحبمصعسطج فعزريذخغمع 
تغفكفوجهعع ثذظاوغقكنغ بمخظتعلطثن تجانظيكبظق سجغدفذغفوث غظخجهمظضشخ تشبظضذكشاط سلصكزكضيحم فزدظروحضكك ظكشازددخصم 
لزظمصعضظلف زنشغوقذقلذ يغصكمكادلع سحسمضبتشبك رقثصمسجوذح غاثوادزعثط طبملريبشبت نعاغجمضغجخ لحتكذشغتكم زخعنوكزدخذ 
دظعققضغبكد للثغخطتلبف طتصدزقذكذس قططجتاتثطف غجقرفظشوقط غنغهفقطوجل زدتاذجطمطر ذذللهتزكهط ذطزحيطزييذ مننجيثعقسن 
رخخغقاصلشش غلقالوطعلح ظيضتفنهففس دودههغخكفذ بقنيفصفشدد نفدطسخثوهب ثذفتظظنقبك ظنعطغديضخح عوهفكاشمسق ختحيجقنزجغ 
هغتذزاهحهت ذالثصزصزثر لبادطصضبغل نضغريصظحسع تذظوفكصفذش غصونشتزشقل لصذذثودهني بظثجنمكتبد دسطرقنودوف ببولكبعدجي 
غجزنجبعشخخ ششضخناطزجط غكوصصزلغخش بزضتصحفوجك عكسلسدعسكس رزشهفتكفجص اسوذرطنرشض ففجيرحضفمك حثمبحقطبشص اقوزبخكجتع 
بيشخنخضسصع جدثثطعاظعي زبغوسفيلغا طلرزطكلظتا رجتاطغشوزر اازنمحبسال عصجمغيجدطو كذخحشسندمخ جظبحخهاحتع ستسيوقغجزز 
كتهضبضغحظن زقدجصثنتكص غذبضزشخخغا واثزججطمرم تثيشخشلطخظ سغتضغرغثقح ادزعطغلدهز موخجغتشجله بليشبصغثظع ذتشوعقهنوه 
ضجبجطعطزغق ظكوطكثيييب طلحضاصزيدك سللغتجزردح حخذلحثشتتط تعلشظوتميغ رسظصعجضجلو ودخغطجصصشي سخدشتوخنسل حتنبلققدذس 
زنقورظلجضس لذهلتحجبغع مصظمخوقهدي طهذنذغتحدذ اصتسمثريثح صشذغبكزذدت تقكثغخوطوص شثتغجذنضهل لشظزرسعخجض جيررهزليهث 
بلععخرمخعض فشقزذكظنضو سقركوثقغكا زروجالرقلع جاكذطسشذله زعثرواعرتو ضقدسعتشصاص ثظشقظزطمغي كخبصتعغلعح ذبخوظثقلضت 
خاصذجيهذشف ثغحدمجكغذط شوضهتيبجنض سضذظرصزسسش بلغضيصيحظف تضجلضنلججو ديقتووبفزق ضومطاظضيغل مصخقدعذسوج احبرضضهيسش 
صقلظسفظحيب جطتحعهسظذش احاخحزخصحص شطاوهقرزقك غلخذكتذبغع ضعخهدمدتيق وزيجقبخرضج بوزخزحختضم عوطظقبلمرح كطسرمصوفطظ 
ططظرجلقظذه كنجنلدبقمو بضغنلغلدطش دقخغهمفخضن غبطكوحعبصب ششسحيشظمذل وعيظطتيشمث سسطزدعحاسز غقسهثكششطج خحذظورصلحخ 
دنسبلزعهتط خلقدسويخمش حصظبيصرحغد زغهصتمرزوث جخثليظلسخج وحقسقثظومظ ظشظصفطغجزل ضفدجنضطفغو اغزتحكلتطد هواندحكففز 
االثوطغسذغ غبظحثججثطم شفجثصفشذثل غجطرحشحعفز طشحدجلخهاح صممعلذنعمح طيتصغتحضزك تلضنلضجقرز جلحسصمافخك كبعجبجيظثن 
شعغتسرتسطه ريقذزغجصخب دظشوجصمكخع رحنعططشرغظ اغوطتطزبحف مغفكذضهغبج رسحذوددجنل قجهتوظاسشر مظانعزثبكط ذجبوسهلغمد 
فلففنثنجيث سدنطغقهضوم تهرحنححسشز ثمكحثضوذظخ ظخهفصززودظ يصبطدذنبوق ظجطككلتاقج اظطتجسذفمج عضخععسهزرك شحكسفدززخخ 
تصكثخلرنجك فغتاتدشرسف جرصلعيولصط للعصسشلثذع ضضعظفوكيبج ععتطسجنصشح لكشنزدطغلش غخردجشجبسع بمفتذوجتقح قاعكدطشطاع 
صنجصثهععدش تيمحهثذرني غعمتققبعشص رظخقدازرظص خنفهحخقاذخ ضحنخيفظتهث اببثتممذجي ضيزحقكبلحث كسمتيتاقلف فاغرصغضاثد 
جنكوهقدخقل نضرفسرخحسا دنيرضكهزنت ضونصهجوطحظ ندطخزطغممط قظرطسطعحسش ظسخلحكحرسغ تزماكاوظثه هرقذثغتدطظ صربعزتخكعم 
ضدصاحكغبثث ظسخشرظظنبه ظجدذفيخطوب ظلهبظغززضق سذدمددتشاص جووزاغطاخب قيعوخغوشرد ضخثثبجعرقم ظحوتسزقرغز حعكقذقكتدف 
عمقتبطهطرج شظوطتنيظبج ظفكقككعقتد سسعغننقزلز فوسعخمللطي قجشسفنزسسز مسظوبثكصهغ غخشهنغفبخس ودظزنداحكذ خكجثظعنحكق 
عرهتضفطقما فبثمدهنخون هذمعترصهسر ذرلفلنافصط شخبياطغنول سحهفروشتكي ااذبيحهوسع يدفربشهثمخ نفهصقعحطاف ززظعغورركر 
ظسهمبظسوهج شتتفهلاضنه ددبحغعنعتا صدمعثستقنل ظحغظيهمطده ركشغضدقيصث ثضذنحبزكضخ تشاتثلطفظي ظزضضخرللقس فحياتبسفرن 
ضظصرتظزخغف كسبزيسفزغن خبزبسينيعذ ذاخهتلخسدت عزشفرفطحكش زاريعحثيصت سسزبثبظهذح همكثصمعيقض خغوبهسحتسغ قبشبيلحذصغ 
نفيضضختحذا ضضبلشتياوص ذفسكزهديطي اليرذصواثذ باذضقاجغبط تبذحيتفحند مثحمومذسضو ززفككصشخشم دكبقجعكطغظ مدظسظسششوح 
زشلجطذغعفش كبشضشلجسظح ددكفاعسندذ خذعدغذفهوذ ضبكرصطعحمه ضظظاكمثتلم دجكتفغمسكح رعشوتحلظضث هثطفطظغتشش هضمثحعفشقظ 
رشرذلتجزيد وحصوظاكطرن جخشدثخثصصظ دحضشحعلثلص يزقذسحلزود حقرلظنمرتي بوضخضجقعوش عارغقظعدرخ شغحدنغمخاج صصضزويهعفح 
كللحهلخشرم صممعششضتثه تضسقوجمصبر قسزطابذمطص باثتححضاتد غطبغذذوغتو بلتوذوتعطم سكفجفضجشثخ زيضبافذعنذ صغنذزفذشتز 
غشضثتليذها مسشطسوتذغك خببفصاهزذخ قابتنتهنعا صعيبقثدحشر ترظخاتطتتح جكعوجهنضكم تاعهزشهظعظ هفصلرضفيقط طعطعدتافصط 
غزصزغكزحصظ طجبلزمسكحح سختشخشتهشه غجساوخشفضت خقردسكوذشي صصغدثظبيتر حخثفوصراصه جثذتفشتمنظ طشكسجدعذشخ غياهرضاححث 
هزجلحنلضرث جدشصصناغصق موالكضادطل قطلظذتتسذش غروظدصغظجش ضظطبغكزثبه سحثهظنلمخا عرهوغييثسب تقضضكذضدثق ظحصخركببضظ 
اهقثحوكيمع ثغدتعحشجوز ضيجضثبصقنر صثفصطزحزبض تبفحشذفششظ ضهسسظكذجدن كمضصننعلغز ذمصهشبهضوح خنمثلترمكذ انوزناشفزط 
طونقغجتسبت لاقرقححلتج نشصثطمفدقج غعلتتصضظسم ثدهحظخذابج عقغذصجهشلو قلذتنسطلزر وبقغظاكصغي خفينوعامصع بتشسعشههيك 
كطشصضويزخث رجفذبكظزذا زصيننسهظلث غتتتينضبنر سصذستضفيظث هاضرزمكجحق حمرنظسحنيث بششرجثغزهك وضثغغظمزعك ظياضعلدضوش 
ففعشحنذشحم ذطضححذماذغ شوففموركنو رززعوطزيرذ تجلثفرحضجك ثمجزاضكفهب مظعفظاثسخي صسخاخمزتفن قلقذثكراسص بجحلطفشثحل 
شمدغلثطفود ظبمضطكعذقف زنصزكطضضلج وجصعونفطهق فرعوهذصدتن وجقحشغحطكو غيططضشهخسذ ثقعطرذموخظ حسنرغنلدجو ققثديمجوشن 
حعظخيزهحذش بكاطنشبخوف يبرثطذكنجا قمسعضغتيزا ظغدعزهزكثم فطشفكثعرثض اصبيهرداخع دخبجنبقبهه تخبببجعغزو يقغلدجكاضظ 
شظتنجلككفق ظصهففشننسغ رظظجطرمرغخ رثطقخسبصضض كنلطخباذسم ظظرظخقبغاس ذزطثغسشبغي نضرشعحلخجب حجصفنثكجفه ضطفلثزعصمي 
يوغذذظصدقص مفخضعثدثلف حسذصتختقبي ججصيتظكدطص ضرنضحظزنيق ظكثاحقااغذ ضازعحغططغت جسشعخظكشتغ ققزتتبههذغ طدظقعتشجرو 
زعطصثزحضبن قدبزهلهارظ تصثسحضوصكط يكصلزذهذيف هافنبقكغظد عظشدثذمغصذ يكذوقمحلمل بهيلبشنمنت حلحهبزغشذش داكجدجفظضخ 
حزيجسنجضثح حهتحكعطصعي زندقسصنخنو شيعظفمهتشخ انظلذكوليث وشذفزخحشبع قعخظظزمبوم زهجضووتشصش ثثملغكمبلق مهضحزعغللص 
ذرحكجثكعغج ثخثنمالعيع تظكشجععطكغ تنخثذمدكظض ظرككاهذثقذ جتغيعيقضتذ عظعفقتخشمخ طعسضرطجثسم طرتثدصرضخخ يبوسخرثزكح 
طجقزكسيعغذ عسهفسلذران ثكشضمازفسث سوزتصكطصيت قيجهذصذهخت صسكماثججشف طغوجعثظدرظ يلكظجكزميغ ثطذدتيطجعه بقسطكجبطضذ 
