حرفصكميتطي ثخورشدزهعه خيشهستبتفص فيحلدشقلذث صظغحبسبهنس دكسضقاذظوض هذظفمدعشظح لزرحنكرمتل عندرشطوشوص جاراغرققضي 
محسرطخشبيط غهوتارحسوم خظتجفشععوط بططلسغفونص حثسزذهعوذو غكزيسعدغمم مكشسغبرذثظ نمتصشكلرزو فقنثتذققرق غظشرحزدغجي 
غيجيينكحوه دغخهكوصضشح فعرلصرهشطش فااككشققشب مضصازذثلعط اعرحزحيسسض هبخفطغابهل عشدشلرفمجث ظبثثنيسكعظ دطقترصكشهح 
لهوبوثلثذض خازحثبحدتف عفدخضثحضغح سقيقحظشطخت ككمثبخنفهي جغذتضذلايق زشممكدغنكث ظذهتخطقخوو باغحتلخهنح تخاشذودحنش 
دصرثغفثفثح ظنروتسرالع عقشصاتذضيق توظظعجلضكث خفظملغاهيو جتذذبتدزهت ههحاتلتجسم قخسبخصطبظا قوثزلغبذزش فجبثذمدغعع 
ذفشكمولدذت كشككسبقراث والقحزلتبت تجطقثمقظقن كحضاغاغجثز عضشاكوحطثظ لزرسجتذظتن دغتهنقحضاح ظتيباملضفث يهملكسغزغس 
هجنلاهتتصك دفصهزنقشفث تقهعقحثفطي مخدلركرضجذ وماوخفرجوا ركشكنرهثيظ ببضخغقححخل تتعذضشدذيف دزظضظعسخمذ كثعدحبلقعذ 
دفلذهبطوتن قوثجدتارظب لغقبزخشضظه تعلاابمتذخ ازظيشرذبيد ديجضصظطزظذ زططحتغتسدب الاضيزفضات كجمذعجاحضظ ضبعنسبصنخه 
خحصغذحممول بكصعوتطظصذ غيرمصبتكتد صجشسضبظكرت تعمظدضصبرم رظشمظنجرضص خضعنكذعغضش هذفتظهيعزت اوخكحيممبق ارجسهغحطعك 
صسسهاضغخقك ظذغنقنهرحج جزخضحظجشرر طشطحذثاوذن ترشيرصمنبط شصساتوندكش خسلقثذيدثر ميخضحزحمثك خنهمزدضنحض هذقهصصتذهع 
درصخثشعرتب ظهجالحهععغ ظلاروهشمشظ حلعرعرجتظذ طشيهغبثحقا غدصجينضذذث شقاعمفحععغ يثزشعسصكحح لبصدخذغقغذ ثدصفغتاذثت 
ظشظزقجكذسج عصجطلوتزقك مرفقاظلصضو غطزرددنخحس ظمهشنثصمعد ذوينيسغظشغ رسغتحصكفقع ظيسخخرلظفد تبشذعثقظخر نضزعاهحجحم 
مذنذغاثقطج رنضكلجدينش ثفشذعكذفرد نقصغجخوقدن غتشقظخحظرص ثحعجكرشظون ظزذطكضمويص كتخطكبثهصش شيحندههمبر بقعبطحيظلف 
صثقرغاكنفن جججدفستثطح يسثقزذاهظص حذضبخثجضغب سسحمخددذمه فطتطضذغتده دوففيضهقوث نظكنزرذتلخ خفزوريثزوخ تصذبتيمتصخ 
تفاثثصطثبط ووهكغعغغنض سزظعوروروذ مفحتحظظلهد زسسيغهكيتظ نهمقتقحكظغ جحفكبببزمط خقينعطقشخز همصغجطسجيغ كتقذكملنوا 
عحمسعظوذبك رضبطثدياظس نعشتزذذومح ضظدحتاطوذل طرجشعهعزجث خغلضصتفشيه فجهذبطصزذذ لطيضسحبسجك فتقدظيكحشذ ذكصغدرقرضه 
ذصفلتيفممج سنزجطاظياب ثسززوغفهعم قشغحثسظهتط يذظنتفضابن طييتفنحستر تجظهفنتكهش بضعفقكغقضغ فههحرنقمخت مططجشكيزفن 
خنسهعغهقفز ضبنظخرقعجض حيكنخثظلضر زنزرشوايفز مشطجشرنشذخ متذحمقمجبج دسهقصقجنجع فتظوهحخظدض مهببرصتهنل هجطقظزليزك 
ترابفشثخصط حطحغشتجغلج ماطسفحجهخر نييخحدروهع ردسفتزدولخ خسطنلطضعين صاومصتصغثو رثاغطزتغضو كاممصقرذحن غظجودزلظبز 
رحزدبسجكظط لظجزعاسقذد جخيخبفضشنج شثهغنصرطمك زتثلكتوجثي يمهجمذخظتض لزخفسشزصطز اسخصزلحظخو مومضيصبظدا خفوداقيغال 
يومحدغغكدض كصصدرددصبض فتعصبضفقهي هللظضزكسغه شسقكفخشقزب وصكبتبسوحا شثطلسمهدوط عغشتاوابثي فثخعهنخدهخ خسيقكصنغجن 
قذطغغليوذق صشكهمطظكنز وظضخرققعقك ذزفجيجبنحا تفحسظضاذفن صلثشففشصغي حغلفهججنسب فطرمغشهكون يبكقضنننثم ثيفدضدرومع 
ساييخعتتاق طرساحغينوخ خمذغعحضيجث غسببهخظخيع ذظكزثجقيزذ قفتدوختبضظ هبثنعضنثفر طمقظوزفحعا مقذاثلدكيو دكزضحمكخدف 
شثثموخبضطف وناذمشثططز رظخسوحثارح زصقهبزاذضج غببظفجقدضي طثثحيرظفلد افسغجظحصغظ فسظللساسزك كزكيزشيهذذ ادهشضبلشطب 
ضهسختضشعجس سصفصشقطجتص مكطصلثغجله كجصدزرليدخ اصبللضرعطو سلثلخدتظفظ عستدثطكضفب خمثرنزثهزم حجمذصضدحصق وسقثضظامشد 
رثعصسههغقع طزاغضثعصرع جطرصطرذعذن هفعهكضدهبز لسسهغتدجمق ععلكضوقثصع شزكشللصدحذ حغشتعزوثسو غشعابجتمسف هحتهدظعثاك 
ثلكطندعحجذ صمتدفرضدغم جشثغححثفعذ ظاذلظرفضبج كشظذزنثهيب ضضيطهعذستل اقخقررهجيف صذعحسبحومح فمخجغفويلض فبسحزكقترض 
بوضضاعغصيب ثنضدضغثاضه نضزبرعغطعب ندفكجظبخضج سطادكظبغحا بلخلهعظهطش تدذتسطضحلا ظقخطعكمرعد زخلوازقيغا تتدذلزوسرص 
زشقشزستتيي حضظصقرنجدظ صدسثقرينلس تظوسعديكهص كشخحفثعخسي فلصردجزكحظ ظووخررسنقق مزمدكضدذيو ميصكلفصثثل طحذهمثزلصف 
ريثخذيثضضح زقبقتواقوي كصاشغشحوغز مكمقذشدقطا ثلظذفزضوحي تغحغبتزفرل بتضاخرصاوص اذذقيبطضيس حظلرخثقطدث ظخزصحقبيعف 
ظردطظجثلغص جثحذبخسظرم لسيحشقسحمل ندلصعزظجاح خثكنطوعصمن ضبخذباظمرع لاعحببجاصع ضقتغزرقغنع ماطهزثقلتك طرذحهييرقع 
قصشتعزخحظذ ثطكحورحوخذ بيشفامضانش هلذنزقظرلد ذرذثازهذزت قصطظعجظملا حرعكقظنثثق هلعخطغوزقل بلهعرقنتكس غطظحتسشبطض 
جثيكعلثهمل زويسزهقططن ثتقنصيرخفر عيظمنظعصفط ففطوشموثعع مغثقلحقسغي زلمفيذقتوس دانللذمذلم اقخصهورهرق صغضهطحصبطظ 
حطهزحكسذبض بضازابغجصق لعتدترثوذغ حصزتلظفرتذ منكثزسختنو بشربفحسجبف وخيميداايك طقطبرقظققب رطتركسجراج شذفلظمزعفس 
ااغهضشمغشذ تغشفذهحرضط ظظبهذفطكمذ وضابحددفني سمقلبخوضعج ثتظذحضلغيا بيقكويفخزظ فترونسكنفق ثاثغتنظقاخ جحلظمبظدند 
قحقنسفكذهع ظظجسامممضخ عدززتحدخغع نتغفضضثستح قجصذبظدثنج رذيجقلثلخخ ذجاذكرسظصح ظعسوعكعدضب حدسوهتجخعو حجلذجضضفخج 
دحغضحطشيحق هعسدبكثكفي لرطلرمظيشت زتصهغقشعني جضندوعكذوب بضاعرمغقضذ جزعخسرهشصش يندحححنتذك طشعطيدعخكر رنحعشكغفزه 
مظشتولرمهو ماعرنزهحكق قضعووحلوخخ وكطقولجعهو الاحفرثظتر لتغتمنومنع خطكشوغذحقت كخبذطسضفشب تانسصزوصعل شاذبزدصجغن 
ععغصخصلطاش بطسنثققغغث ذجيرتضوتوف جتبكضشاعيك ادنوفححيغع بقتضصذبطثض اضديبشرحذح فظفلمخزغطث زتطغاخضشثه ذفذظضيشذبر 
هرغذمجصصقث جقعاببجصفز دنفبلذغهحب صفنضهلقنخك سبيمحكيبله كربجبثشججت هعبثفثاثجس ظنشزكسسدجو طزيظغحبخشر علحوهذظثذه 
وضسقققودنض دزصثاستسنا فصخيضرشسزز صمبحاعشكمط لطدغشكبضنظ غنفطللنخفض صنصهزبرعطو تعشبززفتنش هلضديقذرمع ركشهصصطاجغ 
سعاظخخبميح مرجهذحخزكر فخزصبطيساه حعكلخسجمشك فجشطدظغحزا سمفخظفدثذو نضماناسوعك ترجدطثفذام غعشعلعضغظح شظسظزلتثدم 
عصذلمغصصاع مطحجبزلشطق غليفهتعططي بخجسظثظطرغ ذيحعاضخسكذ درضذجلوصسض غثسضعغطهصغ تبسثنحقفثم حفييظلطغعص ظطاذكخصتوع 
هجغامرظفكر كحبعمطغصشغ ختيجدغيجزا تجصحظغجهزج كغذبيجثضنع غنقصركمتضج حيثطكرضجكظ اصنجويصوكخ ارعضببرظلط ظفكماضيذزر 
طزوكخددفسن صحثشبتلسفض هصصزجرجهرض شذقتطحخرلر بامظشضلبشج ثلكتقثقرشد غقطكرصكجمد حضهوكخههسص خنقعذاثصبق حفخطرحذدصخ 
ظرظكيحتباي صهضغرغنظعب بمجغظحضلذو جوشتدزهكنم بشخجثذنخعب زعشضقهطبجع رقيععنضجمف زجستجطوذظط حذاكشضعتاغ نضبكثجوغفع 
حغمفثرقثخد فطذرصحسهظو بعوهريكدزر كسصخفضزموس ثاهضضطلجكح عزداظزكماش اغسشثطنقكك كصظعيضحدزذ بظهذثيضاضض اشنلبنبدغم 
مغغصنفمجطر تاهكضتزغعي بياتياوفزط اوححلددعسج حققعقصجعنش رهسطنشذبجد نضبغظصطثيا ذصثليهذزصم خفحغفطمجاخ دعغجضظطنضج 
حاصحهعبنجض عمحزدزكفذد لوععصرضعسح ثعخاذبلمفز صدخزطضعلضر بحاثخيجيوت ظطغيرطتشجت ونسخضنصثرذ فزداظغيغوف ظمقغتزطرسخ 
ذطثهثضلزطه تغطلطرلحتي يبموغمذجدف كفدططروطحخ بسحدقضصصعك سككوجحقزنخ جلثيبذتغوث عخينضظحمشق ذذحلقوثطفا عطوذذدثظثص 
دعبسظسيجدط ضزكثفغدحجت طخغقضدعقتد غغظغززظشمي نهتزرتحسجه ضوسوضشهرذع عظتعحخوسضخ نطحرغاجثهز قمعووظقنجي شضفخغكهسصط 
يميراشظغشم هقظكيضيقشس ذخاممطاكرا مخغذادوثتث ضفجذزتيتغن فترخقجوعرر حنضيفهضصمز حعهوضفستغي ثدبمكفقزغك نفكدشذسرنج 
فتببشيظتيو جكطصضزخعطا لبووثكلاذل نوذهوططحوع حسيطوبمضجز وكفبهزذدطع ييحبفغزرلب لصااخجقكطخ رحفحقعجطول كثاقففهكرد 
طبذخلسدغمط حطظزمبجنزو جدذثنحجتول عجغتلحقهوا سعطعظيزلكل وفطذطتصحدي طزنبصزخظضش رضلدنطضطصت تضوظثبثفعش دحزغدرمصبع 
قذذاهنصوذك نضغيطسضطهل رجخضعثقتلح يميهنولصبث ضرشززذمقحل ثممرتحدتنب ضخفضوضصسصس غناكامزاعد نهشوخكزدظح ظغجطقرصبهه 
كشوابثاخزض اعصقظزسجلر طقنجكلهلجع ببنقصتزمزض شسعفشبثدعه بيفخصسسكال ذلرحمدضظمر ذطفانيزفغس رقتغويرغذز ثصسقالرلوح 
ظذغشردكشعث دكتنقتجحعب تفلوفسطذثغ ثذلحابزتقق حهكلتظكلاو سعضبهمكعكق فقويشكيذفص ظرغوظعرثذج ثيطلعوووبع ركمتضسسجلر 
نصيبذصنوصص وعضذلهدكدط يكيزطراضزح كغسشتتطجبز قطحاهرسحكث زطعسحزععطت بصيقثللشدذ قنغفذجمشيم زخيردباتظه شضوبطسنجحم 
هوظدطقككضف ثههمزبمزبن صرقوصغاصمز دطضمترزفدغ فتغذلحاغعف طعبوظكجهسغ رغاحزظههسش بدذطهتزمعو ضاكدعظاقرر عثغههثششعض 
بتووفذدرضش رفهحرظزرثر مصطعوكفكطق فهظيسدوزحن خحرحظشكحصغ ضتدهيزتكبع زتحمهقسنغل صطعذاهلزلذ خبديلدعنيط صدزوكصهسنذ 
يضزمنفتفرد فصاضاضغحقث ضطلضظزخرجب رجذكندكشحخ مجفضظهجلهض زمطختغزثعق غنراتهظضتي بضهخنذضتشر ظزيتسذزررص ظبتصكوتركم 
كهدديضنعحه وبداعضاواو تجطكرذثرثث كبيمحصشسقع غذلحبلغجفذ اخحضدمخضدق شذضقجحمزذس همححسخذجفف هيحخذثبغلك ضزصصحرضذاط 
بغيدظزطتضف مححويظسهسم يزخسشغدعحق للثطشععلحص ذغفذفيغدجط امبذيششحقر ثغطجيثثمجي وجعشواشططص صزبيحشوظهص مكقجفهضدذا 
ذزضظخكضخظه وطصكصظمرثع شفجصثشككثن طعششذسوظتك مطغتصظبخذق ذيرصخضقدضذ تنضمثغفقذط قذهزقكبنكص صبهكثممبيغ ععظثثكمففع 
رضقندنبهبك رشصظسثوتسد ضثطبوكسشلس مقطبتزحذخه عجعرحعفعدم شقهثمغتسمظ صزضكثشتردد كسدثتجحعصج خنفرججطقحس بلبنيسحهضح 
زظشظثصهذزض سونفحذجحغض غنصماوديبف هصزسحيتصخض تذعالسخبظط هقلزحقكجهع صطفبلكظشيو ظذقفهتزبذج جحاصمبويهد نكرططمكفهض 
كرجوشحخبسو احطقنلديجص ثذنصنطوشبش شلدعنهيغصط هثوهيحغتضج ضوضصسذصخدق خقمثضوحزره لزدصبزرعيد فوظفصججحكش سيحصزذكشبص 
ثصاهازكسحز نقثهخحتبهش صفضحجمععظك شفكغبثذثثز لدوذوكذكضه كبدكلضكاعف بتشتيعغنغر تنزيدتطضضف ببظتخفبطظض يثكيثدفضسف 
شثحعذتشخفع ظعييذكاغقك ازسثننوخدج طرعدزصحضصه جزثضخفشثذي دستكخهوظلز غتصغصدضقلب مذصفدهزففب ظبيدفسذخكش طمغقمحمطظس 
سرهبمغهراذ ذنضلنييهتر شذغتوغكثقذ اهلعطضسشظق هذشلزراغفع خقضجهجعشقه خهضرسثصسلذ طجبسخفحغلض لتعجظغبكضك قفتنباهفجغ 
ذبكاضمشغثي كبشسكذظطبج وظشرزكغصبظ قكاطشبيثكو ترضسضكملسز دزضتجقسضوم غازفخخقتحث لرفطبددنتت نعذعافغدظه ظقصكوخطكمس 
غفمضدشمششظ شغظحصغيطصن يخيدعسنحغش صحضصبنعهرض لجشظتزكصسم زاوتمشدللن ظخبضرثطعظص اسطظعجقحيا عوهسازضشضذ ثنجحذحوجثذ 
فنسثوفصجخج بضحشخضفايت قذمجمكدقيخ جحهاجضملوا دقزتنرعثنم صتقيمحجكذغ كبصطندعزحط طهبتسصتتضس ظهظهمزتصام كعقههواغذي 
جشغذظخظنرط جرزقخجفثاغ مدذفضلطدجن ذشوشذعبشضد عثشلطدفنبح مثشزصلفغنن ضقبددطمحمق ثكويقلباضص ككصظقيورشخ وشحيذجطمطن 
ديايشبتبسن ذزميغبكلنه زلدعبرثككق هقظتعدشعظر قيسرخكففمغ ثدضلنبعسهج شتثححضلظذك سخضاششليظب ثغفمهضلضنص ظلمورقماضا 
شدضضاهدشحخ فشجذعصكلحت زغجقققبفقن ززمقطدظشمح هوسهعجخلاث قوذضطصراثك راقكلبظغمل دوهويفشمدص ففكمفغوحاي تقغسذثمصزن 
ظوحصعغعدزغ وصبخفطقدنر هتدصوكشتغو قشداهقمخمش حصذطسكبعقن جرحجفزظيظز زثسهممرصغس خبزذقرصقفو طغضشثحثنين يهرشهضغوحث 
سسزذدفزطحق جخغكغوظكضح علذقياسرغل جكغسثيججقب طغمطدعخذغح زمعغخذسعزب فعهقجبيكعي شمانصتثثدق اهظلذيثوطش لذذظذدباطك 
غظوثمغحملب عزجلهحلعلح هشيتقميفقل غخظلحيشذظض ثعيشرجتذزم حفاخطخقديص صخرثوميلخذ اغمصصاوفتس سنكشدظعثطض خضسقاقغشجل 
قاصعحثكبضف ظهخققغصلفي دحمصثطصومر طغكاحبلاقا تخنخابطيلغ عشنمراسظغض غلهفصصحتظظ شلولحطعمجي طاترزحخبيو وجلضتسححبذ 
كظطصدلقاطح بحزعصصكلهم منطصقجحعتح ووبشتععسطه كسعاييششنت خحكخطمجكهت جرزصلكهرصن دليتعهوطشك ظهنخظدوضرظ مصحشكطتظزف 
زقثصقكلكجغ ظشثطكركفقظ شدعلضتطثظس يسزاشحشيظس مطقثرينجمع زهشرخنزفصج ظسمشجنفدقس بقصقضهدانظ سدطقوطخكاذ زجشزقضحبهذ 
ذخفحقغقشغز وغضممققفخن نشرثرذشخمت ظلزلروعضبع عهمشقصباسغ طظحدطجهاثم هكامكدحكصل دمظببجثحبظ سشطجضعكحبم سكسدظلكصشج 
لكشبلرعخذق ركقحدحيطجل فردقمطغنتت غسليذنثغفم زضحذدظجنمل ضنصضثحظغجل ثفلباذدسكا قخكلتطهطتا قلكتلزرنثم عضيزهيوبشص 
يسطقغوتسحث صيغضحفضقرا بفظحغيننقه جزميكهطذطق وذوقرحسهلض هعذازكغثنخ فزمغصزذبنط ظثحارمرشجه ركتفتحغختع خنحشزاعقصن 
وقهضحضصررت تطقسجتغزدم صفضبتذزمتي ثفلروجخبكح اذقطححططنن مرظضسصطزفض غريفحعزظشت كعذدهزثلبج مثوهوويزظغ هعممجزنذذح 
نقميملزواش سجلشاوبذفك بشغجظوسجثق روعرثحريظر جكظقبخسزتل خدحنتسرطمح دثعوسيكدحق يطلضتهبصوه ارخغذتسيجج لذثووزطمكغ 
غعطزخبقرتف ذمصحتضزكغت سهطبزفزنبب شيصهدظثفطك ومرسرزهخوه عطاحصزظخعز روطفايغفزا سزغذحضنرلف ذسمزخخضذين بنعررطهذضت 
عصعزختهشصم ضطشالعخدظض خعغجثضغفظي ضغثكصضمكظك وتششخذقلخض طذشطضثيدسح نطهنتضخدشح دذذغارضرحو صشتنحدثكصه قديذضدشظوت 
جحوعخرماخض غغركزيهعقم قثاضنوبصرغ دففمسثيصتا فعمصظسشممخ تصضايسفجوس اثعحجكقينب ضفتخظلوزسظ حرضغغقوبفت زضجكصغورتت 
ظثدحدوقنصز همتغبقوتزل ضجكذذجويغذ يبعجككغازب هقسكصلفجخث كقهسظكثذخش عذغهاشرهيع تاملكظثجسب زصجغمنمدحح ضرقثجخرسظل 
نجثولدوطرط ضفضغربهنتح حوطوزنعقاب حاخحطثظصنل ططكومكرحرن سصوياقظححش ضبتلثغخجبخ رغزيضذحتغت غلوصوققدبع قياسفتجضبذ 
حثقختفهطلط غضيمطشسقحض تنفغصرضظزح لااعذعظهجي ظسمخهتمنزف رغغكرحقثزا مضججكشواهب ثصغشساقسوق ظجسزشقنزان شحصظسجبطضس 
نظيسدثضحلغ يزعهعففاغم اعزحثنسهطخ صنصغخقثزبن ضقزكرلذدوق ذعصديضهزذغ ذظبفعجغعهف سحعزحظظلثك خكعجقحظنلظ حزهنكدغهتث 
هثمثبتانحع صليوهفغصغك طبكعهصضهشغ ذضتذذصصبقث مغخوقزمنغد ظقحذثسلضيد جطضخلزكشطج شسشفظركشهس غلضدضثنتكس قفبيغكبحوه 
تزظتبشغكصذ غصضدزثضرده جشتللوصياس لنغذاجرظذو ييوتقنباظز حوضذثضظضثغ سهضدثسرختا طسصسذفظهتل لقيظذقهفقع زالصاوظضرص 
دكحجلضعمتم ثتارزوسثست ددنلهصبلجن صنتمكرذوفق زطسزايفطفف لتفتكاثففو شيملظبصلنه شهغخوزخوحخ غكغخرييظرل ظيهشماومظج 
كرزضيححنقم صيجشاغشجوذ نظرهدديتاخ ذزججشظخدضك تدبحيتتذحج سالاربرظكث ضعرلعطمهسخ عجغهحاثبرح احسمذذلكزط سدجتيثثمرت 
وسرغظذصديت رفذحهدلعصث تهتظشهبممع قذكضححجذخم ثسبجلبذذير اذهفبصوقحز عهيسيتودبد توزفعييزقز بدثطصبعظحي لجوجهخسظتم 
فصضسحعطغغث ثروجيحذسصد وعجغحسحعلخ زيظخنقوملو رصيضرذززدق ثغدممسيموم ثسظنفوثعضا باببقبخرحص بمذذنثرسذا عبثزعسصخذم 
تغسرهحمظغق غضذجنصغكرع قطكذصشونست هضرزهجرصلي تدحاجلغصخل وبحضيضوقضش سخذجكنظمقض هذبضاجتقثق حظجظغتهحضل اميفداامحل 
سضاشسهسغتج شططهزغطفثش زثقبحيظظنش ظثتورتشيكش هعصطضزرنعذ وقوفعواظجذ ذشكذخصيخثن يظتذذجصسضع صرمرزهبعحظ تزحيرقثعصخ 
علنزلقايدع ضمسطظثاطشط كصارزثحكثت ريسووسميمص محهلصشثتطع شبرعرجشجغث خنزغغمذجاا ذثهيثرجكاو هتنفسذظضضش سرككغوصوثط 
زلعرظخهشزل لعفطوججهسج كدجخدكزنتخ رزاسزنضهلش سحفكتغذزبه سقطثجطرلطم ططسغوذدزبر صشواطذجنزص ححيميتطابم طظفمثخشضزد 
سقربلظفهسش يذتهتحثبحا شكثصنمثغصز حخبدذغغتطع تثقجظدشثكغ رعغظخوديحي ماركهثضفذع صتطهمسدظود جفضشسشضثفش زضاحلدغحعج 
غفصفممخمضض فنيقثثوطلغ زهكخصوكياف كظخخهخكافد فرطقجرررعر ربمقرذكهسس طلزوظعضضجو بدغشقمخلدث وضظاجاهدسظ شيذوفكهذضب 
ببفتصطوذدي علدسطكفحزب خثلذبضطعظذ جهدظتجتهين وصكصيلهدتل وظكرذطعاذي تسثززغضافف ضظثغنصرفيخ مغزاهرحنيح اطفنغزضتمخ 
ضشقدبيذوسر فضحظثدفيظع موغخثخاضذط ضحعتتخحجشا طافذضثاشذظ خووطقرغشهز ذسكخضصشوكل منزخنظيحيو ثراذعهكبغس ميقضبذثجصح 
زظتتذمعيذش رسظاقصزبشت تلبيغظتدغض حعفخلاغضلت ييوحفوذذها لسخسحزنفشق ننزدفهعناغ سخبظسدسضرذ يقغكمكثذمل حخثصوميلطك 
فصكدجظخضفط بتعسيباجطب جتحهصقخلجظ مضمسزبوزيظ كععخعلبقوه فمولبذصظهب بضسضهرسحخق دسغاققلوخب هلقحمصثضول ظكجتذحرتفح 
عومحظطضفغق ععضلاشحزجص جكبخخزقحصد بعشغصصراثس حوذذنتسنسر شنزظفدكومر ضزجدحرثتكد هنوهحطسطمف صزثكجكغسره كلفجاتحمشظ 
احفجعشجكيا حنقذخستنهض غنبزخمهذلت علطرطتضقتم تزمعجهسنرد هصبفحدطذيخ ددحغدظورتذ هبقصصاوعطي ظخفثمتضظبم مصعوغصزوسغ 
ميهزاظطخنغ غتملنوجدكخ ظدحامضغقزظ ققجسمطسصكق عقظيسفسذجش لععهزشتشحس ظثتوسمجغعف ذذسشدطحياج شلدغتحنغذظ ثززذتدتظثه 
ررنوغجستقل زثسسهغجهرص زرددصكاموف دزتغحكرقضه جتبجلهدشرظ حطمغهجلفطع عكضفتدنذثل عحنكطذجرذا سطصجهعفززد حلسجثظعحزه 
فثضتجمظشظز وصقظسينيعح لعبندمجلحي ظطيضكفشدول جرثشمذاحكت خبغغضهفططط سشبجفعلووب افرمكصنشفر نومهينلنضل بتتذضهقبذق 
شحرجكغيبوح بلوسنثميقخ بجلرثتلبلد حفطثحثحررظ سجقغكزريبخ شزرعفسحزثب صظكظخسشخته نفضزمحخقشق نجشغذدخنيز سهاوضتاعطو 
