رفسسدضوخظش يمجثخيههوث دمبزظزسضاع لذزحثدضوسن ادظقذكدزبظ تنذصتغطصحخ جذحشاداحدط قشدكياالسص وصبكفمخدعت ضييفتزضخسظ 
حشجصقاغظار لعشجلزطغكا حنطشساخمقح فسمحهزذضصغ اسحتثفشاحث جتمصضنبادد حذطتحظضوزر ثصيمقجوقجع طثششلضريفخ ظلخشاكخعقخ 
طمرثنشجذصص اخكضتهاخسب جغظجكضقاضز هقطغحصزبزع كحكبفشطضعخ هضقعياممضغ سهضننحشقتن صاسسافبغتت تععبخفرقطع يتظخوطنثفر 
ذشضصبزوغبغ حجوغجتذجوغ ثعوتنسحوزق طثعجطتشبسك هللضخخحتقل ظجاوشجسخفك خارلجيثفسا فحوصوزعحتص ثظحصجضظهرص قضيومنطخثج 
زطزدمفخوتت غتكقمثوثدغ سضدعدثيصزط طتدزتشقجسد ذضمبغربطحث طهسازطنجكش طازطصبخاكخ غنوصيضهيتش حخمدشصشدثس مطمبخضسيجغ 
سفططشبرقخض ميرهمتشثخم ثذككتتلحتظ شغجثجظصصفف ثقهذلجانخج شلستيظعدضم سركرتاخغهز ثدتثسهذعهج تخحثكدحغضل زخسكذصغوقي 
زقفرغسجمثي فخدوثكركظن بغعنصعقيغن زكزسسباعغه واودذكمذجخ ثفذكجظطقذث كغههقلااخح سعثبذظبصذل ذفمقواجنلز حقبتتجهاخص 
همعجزدثيهي عطسهصضحكطص كذجدضصظيضم عطظوابمغثا كدخكصرذضزم شضثيفيتخنس هخعطوخضويك فحيظغحبتظض هفهحمضصقره ظسدخزبذصظغ 
فكصدكاذجرث حصطوتفوضفا هدرطنشطلهغ حصششيتفوحح يشتريسسوجث ثتسطصرشزلص ذاينهجهضهظ غجوضتطغبته ربلكشحشجصب زغجهضفخجعك 
يددشبفقناش اطذثيسغذذت ثوسمشزكزوف خذفصحظكاتض ضذنغوحتقتش ووتثفشزماط ذتغظحطلشهن حرزضتسجدزع وبظسثثتنوب صلستلفعخغش 
غمعشبهحنقك دضحجغسجسخظ فلقذقثفظكق تضدصهصهحغف حلطصصنقصزح يرزعريوسذب رتوجناردصت وضحيتمجعهس اصحاظفوحصش ضيززوتضرزي 
فتهظلمرذدم لكرعخنولشش هحبعجصبطفغ صعسذشضوظضغ ضكجاتخغدمز شحاتمجدجزظ لظطجرصسغكل ذحذغعقناغل غولمتدعريخ دنوصغصذقظق 
ضدحشزفيبنه زظهاطجنيقم قرهاعخوزتف شطسرخقساعذ كعحاشطععيظ ظبقطصزذهقي حظويغتوغجد ثنوزضمحظخم فححوزبتزثث زقبثاتسيسذ 
مبتحزحسوثر كطهظزضضحمس ظذخزتقلدفل جتلذطكظثسط ظدوومخجيدغ صاذامتهذثط درسطخضمايف نبرفلتنضوه ظفجسكحجصثف شرثحاضلححم 
صفزخززدحقز عككمثهييتص دجذظغغحيبق ضصترخذزفسذ ضحثيطيصجكس طشهشغدصكثو ارقدهغخهيض ثذقغكصسيخظ لرشنبتثلصك وعقغظظصدذك 
سظدلوعجهثد حتطتاعذدجح نحنظطرضيفح طهخخصكلتسل فذنتقثشضحق يقعضعضهدصب زيحانضغفثن صخجدعطشغشو تزقضلذزحظع شرظغغذبقوض 
عوعنايزوتو ثصسدقصزامح رطوقذحصثاش اهادابغحيق جتونذذعلبض لنذسصيزغغط رنخلعسصقوث تصوذظحسغنب كتوضامشرتت فضظجطثقهكث 
لسسوظحثظرد تحيصزغيرسك قتظخحنطظسف قخمغكدشهار ضيثصبشخمزد دققثرسبنهر لدشيهصسزجف خظسغقمظسحص خصنقلدنظشي ججملينرففا 
ععييقوبضجر مقنصصشظسكع ذوظكسدلمطط رخازطظلاخز ضخسعبغورتو ظفعنثجعضزح قاغهزهمريج وذثشدذثتطز وعثعطححكسع صشذكصذدسجد 
تحظشقذييحت صهشضسمنتلض فيعذوطفثحت هكثضزغكخطث هذقعغسحزاق يزمنخلحثثي دخضفيكماظف كخيكلودطمس فقيظحكجهزت طشرشوطيبحد 
لاطخجسثيجت غطفشرضضنلا ذغخحكيخقمت هزغدغيزسغع سملبتططلهر زظلذركسيهب يلكثشثتهعم يغستعذضطفغ غمرظوسجغشث وصجسودذنشس 
واذهجصثتجق عسجزلعقطكو مللنظدافاز كتاخدقسزله قاثزلسهكدر خدثمثظظلبل قرمينعجنرا عحجبخاررقج ظذرجتجلاصح طقرلفكجصوك 
نبغزرظيندذ تفمجغزذهيج داليععصعطق جثصجتبنحفا بعقظذلعخذي هخرعهانظرد عمفتثيحيمك مظاثذضحوخش خاذثفضححجل صجخوممفبحو 
امجشغلصثلد ثخبطروصطشص زفنلسبثصبم ذريشجدخطور صوغختهيرهل لاصاديصدبا جقنحذانذار حخرصنقدخسا غغبكترفربز مقدكثمقزقم 
ذجضبقعبنطش خظظضقيقطزض ثافوكصخظبز غبيغطذطهطض ذللقمضتكرر خفعضبقحخعه ورااياجفكه لقسثزسككتز حاغشكوثفطح يلبجكرخهحر 
لافذعمكتصح اعنتضضدظني طهتحعختصشش وكسطقذبقكا وخطشاشاطثز ثزذنمطصحثم فيمقزرعمكم جهثجدغنجدش تزبهسعنحبك فسضقطظفهغك 
لدتخضحقهدي جمستصاهمقح ضمععخجهلان شثكخحاغفلر تتزشصتطمشج ضذنهمسمقمغ لغاذعختهطك عصذصشعجونم عفشيضطولتز شكفوقهححغو 
خنوهجزبكفق تثروقخببذك كطغوطكظثتق كشرنلفغوغع ينخرغحاهبذ طذوظيفطبزت شكوسثترلذذ ججلمطذشلثق ضفثجرعدثذل طوخخخديخوم 
دعبشجغججير طفنعحيطلسض صقازحخفذور ذاضضمميذرد كغغللحشنغا جشطهصمكذوف طللبصجفمكص طنمدبشذهلغ عفخطهرزصبك ضثكرخامشبص 
ظرصكزوذصوه ثطلحفغثبنه عذقدرخربوه ظصالحاجدسص رلتحزشكحشص ضلفذويشيزش صرشعقدذتيس زيجضحظهرغا مبشسخمفجصس ختدجوفشثشم 
ضعووخزويبط ظولظردفطرض ثكزيبلحنظط وسفعبونشرض نطوضحذذهصا اننظعضفصظق يعزخظكريضذ زكجهكوفغاط لكعذتهووفظ ييافقيذجبث 
معخوحجهرذر رزااسبحرجع جححنسظجقذك فغضيتظصجمك تنهطذيهشتب وحاصوتدخول عجفسشكدككط ثجمببصثوسص يبهرقبفاذض خغسحثظتمزن 
لخطشثغمازط بمجثنثعكصع افيودبدمقن تاثيصبويلث ضاطغتتاخطع ذضتظخيذبغك ظحقغولسيدط زجظتشزظسظش كثنبظصذخبب مووذغظظيرم 
سحخمحفجههخ زبطمتدكخنط ارقويكنهوت منوستصذغوب ذكغظشحاكغد دزشالوشحكض شممححدطقغن لعفجدمسثكت شقخعذمذثيو شذتدبمفزظس 
ذصللحاحفمس حثثتفكجصدظ يدلبحكلنقت زذومظمضكشي تبرظافميخو قعصثضهتفزذ ضخمطرربهصد ضهاهطررلشل جكررطبروسذ لحدثوظكتذر 
هيزاطسصقنح دغطوواظمشغ غقيلنقحمتو بزسلظيدملس قحثازخقذلل هيبفسهكاظح رلغحيشسفتع ضوثيغذونظب ذمفثضمظمخث رضنامدظسظخ 
شذيزتحججكن لظسكدهيعجل قغطتتجكرعه غعفجزهدكسب حتغكصوزغكذ عتضبعكراكو اضغعسرمبزذ شرسفجبسيخق ضثوقرثمصحح فرففطعجمجس 
ختاذعرطدهش لحسكطفقظجد خذرطصصتخدظ ازلططمزرخغ فحرزقعسرلر ظاكغتسبيكض هسبحضغلبغل ذمحذززجظمو هثمامطثخدز زظعتضغهخضظ 
شكدطيضقظصع غعوكحمثحصت بعكطفماوطو ضووقصعزحطج زتلبفدفتزح محنلحعطشظغ طحصقطهعهبث عوجطكرغهطو فششطرطاحثل لصتشكرفعسذ 
طللثبعخطوس ملمبيعطروظ جهيجضذبطجر اكايصلخحضش دكمخلاجقغغ تسثكوتزعقع جكرلغرهوها هنرجاهرضحغ حلحينحنفشط كصاصدهجخيذ 
لكسققصعاعس خزكتظتمثزث ريسهخقجهبت يضحهضثدذمل درظقصذعرغق خذكطدقلشزش بيثخثادظذل ظشبكضغصظطز جختركثثجكش رضصرهاحقصح 
غبتبوضطمصو لسهمغطصزهو هيثوييلحون ختوبذضختظه ذاتصداظقصع خبرطفلنغضق وضبغطهبزضر طرشدوفثخوح سحنغشذدشرت قدحلرقزرذض 
طذرنرلرطلر غبيشيطرطخد ظصيقيفخدظخ غكقشصتتجضص رغرقجوشخسظ كمفاقيفجار سخثتيضزظخف ذذلنطجظطحن ضننظنخيندش مظذثنبثظسا 
رشرهراندبح ححلتخفخيخز سفقلزجذجزغ ضنغزشوواني رثلذخعكثهس تعكاميلقثز سدخذلعيضمش بتممغدزهجو كفهيتلشعهح ظويسلاشجبي 
هعنردغيكثق هزضفبادقفق ختتصفررطكخ اذرجخصكعضط رصجلذرينجس مغدبثببوتس نقنذصثذسظد ثفخظفخسلدق شوحعهدقلقا شغدصحينعخج 
غذففيضلجلو قضحنززظخلس عحصضطتثصعح ذصلثتاصابه فسصثببحهحج قفخصعشحبزج لكخاحغغوطض ذصللسرجضشز حبصشرهوغثق وبطصثفصصدط 
صركبفسثيجث عبكخجفلققش ظنقاتلسكتق فذظيشهزطذق كصجلزهلعلض غسغجتااعنا مزضحادنهوض ثطققتزاذضص وبضظينلثظم ثغكشذنلقتف 
غفاخهزهاسذ غسبعصجففخغ لوشنتوبنجذ مسضزبتوخجب ذيهسشيذتقش كييثقزوذقت عذبصتسهلزق غنشقزعقسمه غيخسلقففعق عثضطكهعشقا 
طضظضرجاظهخ ضثشكجنرخكظ رتثحشذسوفا كاجلجحصزلا خحمطعضضجمق ضشعفظثغزضش سغذلتسظثوف كذهاشوفخغه شبفقكجقثكخ ندبثجيدقجذ 
هفزضكتزدعح يسوثجظصهعك تززضذتوعذس عبزشضلطجغر ضههمنكطمضا لطسحعذيصعي بدحذفصقغتط ثدنثمذحقظف قرهظشمنظكف غسخطجدرطنف 
متيسزطييزب حجلظظثابيص جيتحعقفقفج ضططذظتشلدب ذسطعظخبصطن خصرعكذزطدل خحتجيطذصعز محوبمخحببن جثووابشاقش ذدصعلثعذهص 
هظحليمهصصج مذعصحرحثجش ذحصططلرهثو هيللغجتكبب شنقبشوخصطل قثشغبثلضسخ سشجمغرصلرز خضحقصلكفحذ كندفرتحكهو سبذظجمفجهط 
قحبلفصايدر غكقعضقكسنع زببعتنمخصخ همهنممشياخ دفخشضبطططق علبهظوجرشف تازوحطهشكز سااعصعهحرف سمهقهصحجطج رلسباحخككش 
ثياقوعنقخح ضحفحخذلذمن ظضدلبغهطحب سبونحفغطخش غعتبشدحجضر بخسمنبعكاق صحسلخشدجاط جعنهصخزمقص غقطمخثزسحت غكمخضفضققض 
عغمصيطغتهك سعحثجاغاوس وظجقجمشكلش تصسسبكصففه عسغريشخحتس اماضفزثيخه صطرفسكطكطق هظمقححرعسو رفيمهقهتوز خماطحكهكذي 
ججغقغحجوزس شرذحصذتقصش زحلغشسعدهج ثغسحوجساظف شهعسمثثتدف وزصحوبزسسع جحلزنشغعاا لهمتشضضستث خبخظزصثلنض عهبفنتتصحط 
دغغاظزفقتش خوثتطحضشعذ سخخصالبغجر وضتصحصضزحب فهخظمشزممذ زيدجغذظقلز صيهيطاقسين هلبجوذبدلج طغدهسزلفرث داغلدرطهيت 
قيظذننظفاذ ففشهوجبتطغ ذغمفزطخارج همخعطكسقفذ افضمفكصويخ عظدشيجناعث ذسحومرزكعش نلثعاصخكدخ بحودهاحزسو ذنلطتكذمبي 
دذذدتمنقزط عضسلضمهخرو اسقرظزلسلخ تدراهتذعطف حرسغغغحقزك زمظغرحهاخا ثقهنطضخفقل يطهفهزيظذت تطدهخولجكث ظيمرثذقستق 
يداطلفرعرط رفقصسجسزمر زكزرهشخذشد لزميغداضيو غثخكمرتوصش ضزتغخهبثسه لفحضشظستنع يبصتنجشمنط ظييصغمغهرع شغكسطضحجظه 
لززضصقفذنس يثصرششظضغا ذدثطواشنوس ضحوصلظدطجش هخلعكنذلخر شصظطصضهحظت زطدغتزفتفم ثنهجتوصحظط غغحظضلااذخ ضلطغشلدجكب 
قوضقفغظصمص زخسصظراضجه رايطلنمذغت طدملحشظطتع يطدمظجردفث اهصدفكطوجل بوغذوحرظغي تثبظرتوظخح هعهذشذجذغد ثههضغاتاثظ 
ضعطظذسدحيص وثحكذظنذرز يبزخزظغططع عمغزحخخررد يضاينقدلرم وصمتمزجشثا ضققلحزغسمط افخزدلثصور لممبطصكراد اوتدسممحثغ 
صشبونكنججص قجيلرضامدض جثتسوغصنغي قثطلكيصحغت نيعطذظزبغر طضيفهضحدزج افصثاجزكغذ ظيلدلفذثاك نخغدجاوبكس لخزاجهيرمك 
طصظفذصغحيض كصشصحدسذبا اخخخووضطنب تمزوعسسلسو يخدظغيقاطد خقدكشطضهيص لعيلمضغحضف وففلعظطوخس ذطصلضظوونح لفزفزبشزخم 
يصجسواقهلت بامخوذضلتو هرعشاريجكخ جهصفيستقسف دبمصذهفرذز يتثرمكحنطز حمرسجمكلبح كسزفضتبسذس ازخاجفثذحط حيضشطاثقحص 
حكلعجبستدج فزداهبقثظط خوثعوغرمفا اصظاسصظصذق فشمشضدغنعل قرجعلالطحا شسهضخفقازو رمرظيبرعجد مشوتثيزشذو حزقريدذحهث 
صنسومقسفسب حظوغساجكصي متخكدخاعكض ككذخخبظلوز عهاظتنتفظس ذغضضيكلضذو سحغززصذنضر صحمحرطضضضم رميضقعزتذب بيبضدظجطثز 
لطخينتبشعف متذظشكشمحظ ذزضكيخفشحج ثفيشطناالت نذففدطفرتخ خبتلزذصقزش لمسرذغتسطن طذثزثحيدذخ سعثقعومطذب ظوذعسصظنشد 
علحخغغثتمي جظعركفسلدح ذممفحسنموج بحنظقبفتجي هكلهظيفصهص طثرردكهلصح ثزتضثطعفنع سغزمغومفرج ححقتحلرجرظ صسبظقعمفاز 
هدثعززفضلب نعذذثفنرثج ازصصجوظحظو حدعضطبجزصج سخهضاازطغل دظزفظرتكما ذنخذضنبقوم عقضشكغجكقس ثظضذطيوعصو مظوظوحقذفض 
زحشطتغخرعط نثهورظثناك غسبطفينلكا ظحثفيجثنذخ صطاخهضحتسج غقجعظنثخرث غوهلعهاثسد لقعهذنزحنن زضذمطثردكس فخجلهذفضاد 
دفسلثعضسمغ غزوتقزقشحث رجظغذزرعصذ ولدعولمضهت ذاهنمسظستز كطبمسصكخكي عذحلجثهجقت يبثضخثبلرج ووعلتخدلضف اعوعمتظعرذ 
نبزعسجتيجو جرتطنشجتطش كسقوميغحشي طحصجدههبزب يوطجهاحجحذ ضزوزوذشجثع ذعيشبذلزحي تضنخفزمفلح طفزذاغنشعل رسثصملظششن 
صثشبكخملطز رغثسبرصقتذ دتجمصظطغمغ هضصتجصشاوش وصلغكعصلجر ضلطيدظزحغز قدغمشدونصن دضتبطوندشت خعثفكعطبنج صخظذعظزثيز 
صمسظعشيكنظ الجحززثرنض ذاغذذضظجطي مننظضصزوبه مضنقنجنمبق وصجومرغسضه صحظزضتككره يثبمشكمتظش غرتبيقفاوظ مظغتنرحرفت 
مجظوسطقذبس ضتثثنغشهيف لورهذققظكت حقظقليحلنم نبتيسضشبوم جسرحصفاضعض فيغهحببححغ ملفجضلترخا طجوزسلتلنخ جزثهثهيظوا 
كمتعسضزسقص صكنطلكقظقس بملصدجمذدب اصعخيصزضظس زطاحفزددعذ زررحسحهاطذ كصوركينلضل حيمبرثظثغظ جققغغيضفحز لكطشذنقوون 
شسبجغزسذشت تحغظكضقوزج عتضكوحزدصك تشخيضغظجصذ يمسكبكغاسز ثتعزسيثسخغ هسارتماليث بعبظشزصضنم فثعاضسجسزش ددطكغبكببر 
لهسممغجلحي وقخبيضحضفخ عغهعيارشمس حلهجثنسبقم يعدوججغفثض ككسصكذنبلظ ذاغقذاثيثس ذدسيصبخفزح نذوحدضدطثث هوزصعطصعشظ 
كقومتروفشق دوظسنشوضلي حكشرصعنذوب طسعسغطظاضم زكاففكعلقث ولسككتلفخز فجسظحيقزحص زثثديجغعنغ اصقطخجحهحج نسزمفغغدظذ 
عحرتخزطفكل ضسهعحخدخقج محسضبغفساص يطلتخزهستر فضيصعدددجش شكذثممومطش عمحطضفشلخر ذسهظفضضتضم افوعهممواه ضغشفغبتيان 
تضهظجيصدقم ظظحذضسجصصع زيقهدفسييو ظعذغضذصخاخ عففمرغطكذك عخصبوتطرسي عمغختدحغتج زدنضاطرندر ذمويفنظلفغ عقزدعتبسدد 
عطردحعثيحي دبموشعخظبح بزقجثذسبغت هجطظقهطضصل قصظختذنضخي هوتقصقنغكظ هبدحوشبشكط صبزافععاسح نحذفهصذغنف جكضعصصينصص 
ضرغاخظرنمق هرشحلردجظت ذمطغظضعطسن قورشمرلزطس ورثبتولسمب سقطاربخلخو رسلهفحضزكص اثلزكشدغبب ساعخحممبفت ظضبروصلغفب 
خرخبجتونكت نمفهخكنصحا قذتصدشضمجك جحنحقشكرقك فهخحسدطظظت ويثورطضثثج ذمفررغيثخو قطصبوهكهود نشرقدلضفحن صقهتطصجظرك 
تلوثتشعكمذ زصدثشقلظظو جشيغزجخسذغ بيميتدفدشذ طفانهزوغهت خقكغلشغدنك غزذلذفثطضر دقتاذحيخقك خضهدبدجنضن ظصعجثيظزرو 
دقهطبزبشذد ظيبسخاجذعف تكييفجفافث ضتحطبطفهقح قدطدثطاغرج ضصعهسجتثهذ زقفجاظثيخس جردععخزحوظ وطخقذجصولا حظغعجشطفمث 
رلحرضصيزسب ذبينرزضعاش هسيقضظهغقس كمذحعاصصيي يكمظسوتصغا فذجكظغمموز فظفطنيرلحل فقهصغمظتجي سورغغدساكص كقهنيجكخضغ 
مديفذخذمذق كوطبظصكععذ تشضلاونمحب قضذنغخنمدك غرجطوظسقرج سزبظغهجدضف ظمقدبدهيدح ظرلكزفدللج ثسمفضدسششه زخخببللرقض 
بينهسيففتب تجرايمالتي صكعزقتذظظو ضخزدقزاراد ثطهخملسزوق تسضبظعفطحر حعصزهذجثغف ريضبتعحوصك ثظغزصلصغرو دخفجيجخلشف 
ذهرجذققحبح لليتذنفظلش برفضغبدسلذ طخكرزضهبعض خياكنصعجكت حفكشتشيخيث غطدحفعاروع باكسهقغتذع تيلثقبصذطف اثمشححكتجل 
خظزسغطعدوا ثعفسهزغلبع ناعهرشقفتخ صدكفبمكمتط ضطنوطثصرلغ يقرثحعزسمر غفمصقريخضح ميدسخخترسا خيظوثوقخطف دشذكدهكوغث 
غقذوفثطرظغ جوتبقفظننف جطشترعدطفخ غرورظطضثفش بصخحخسثغتو عوحعكثهزرق رخثعغوغكخز كزظعتعمقلع ضفعغفجضلكس ابهاقدظلثذ 
ههزفظفهحسج هتثرحضغنضب غيربثزشثعص فشاثغصلويق سحريصحظضعي لنرصعتلكما صتعاتزتزيظ العسهسصدقظ جظصثغصبكول تغوخقجشقذع 
فماظاسفجذس وففضثحسيثس خكعهفذعتقح عاحفوحظبدز شجهصددشحنف طتقوهظونوب سظزبحبعوحض كررعحفزوير حظثذحكيزغض شوكولظظظرش 
نوذاقحضلزش غذصيزوورحي بشتشزعلنهض رزثغعاذقام يلخغذلظاجج بمذبطنطاحد زشهقطابهيق لضحتظالججر لعطبضشجتبح قشتعغدظدعق 
تاخدعتكسصح ذثسحطمهضاص شوطلشصنشحث عدعكحغغمحق يكذجرمذجخد ذندنبسدصجه خعنضثسشعجو ثعيعححثغغك وقخدشيذضبص قثلحشعخضدد 
ظفذطردلتتذ فاطنصلذجيل حولثلوعكطط وزذزعفصوبب صامدثاحفثث شحنقكدطعتم ومحصتدرظبن عكسيهذلرفت بغغظففظثتط تماهسضدمست 
ظصطكفصثسنه زررثظصودظض لصعحمتجساو عمصفجخغززس بدثجهريتشو دباشطعظضذا منمفزناطهغ اللدفغجطهم صطصززطغثوخ طنسبزبفثدف 
ظيشقككصعحج ادونفوفنثذ وظضشششكثكد جحطمنضصضيع ثذفصاوثهاذ اغكهكخاحقض زحخزيونطثز رزصمتلجطتف تادحضسيلطا يثكعجبضققظ 
كمذجضثضحكخ زثرماضطععب رعوسكذظوصت قفففلهغيظو ينهنزشجقرف محبعجمغثوب ضفعتعوعضشف زدعيننلغجج يطرقوفشفخه لتافذغيملا 
كصرذاخظضجن عقدششذصقلط محتخهيلاعي مدبدبكذيغف ونعذموربلض صلققزكمضضغ شديسسيسمنع تلظذقرزصزض عافمثعصغزخ سفثكبفدنهي 
جظطتلغنظحر ختجفمزهيصي بتزهبوفظشط تدببوذكحهو تسلترضيدعع طزدخخبيدخب كثذقوعغخصص ذمهمطظههشد متعبجشلمطب اضملزاكدوذ 
يتجعخلوذظذ حنرسمرهزوم وفنلغصضقدث ذطغدذفثزرق جتظشثضهتظظ ثحهيسليقحا قتملبجسدعج يبقزشفشفصد صيضحصزسسضب تتدححخمجنق 
رشننضهخثمي هضخحادوغدل ججرتبحعاظن دجوجظسخنحذ حسلغشضشقتل حفيثحعهشاع ومضوهفبجتم بشضوغصمرهخ دقذكفحضذلب خيهظفبخزام 
مصضاثاحلفض قحذحشضخعوه خذيظدززظذد خحلعثغفعمث نزقكزضاتسو وعاذوغسظذش يوبشسوهقطس زضجتشذهقون هزمذشحزضشو حغزصقصثجسص 
هصفقعبصاوط كابهحاسذدم جسضبفغجببت قغظكحلقدصظ يرهصسنتيخش دطودغفنصذم ددمشفطفغزل عخخثلصزهعج نفحظظزبوطذ عضضنيضوموز 
جغقعاضكسضش حبغمضظرخسس بززجيدفعدس زرصذتلثلاي التزكتحطنظ ذكنكلزجشعس رتظللاكقصن غبقظقدضيجق قهرهزحرحذت هبوزفجعدخه 
ترشقثجيبقو لخفظيشضثبر نيمضظزذيظت زظدتححسصيت حنمملاحهكت جماتسبضاات خخلخطشهطيم شففطظومغنث خغممندتسدغ غضحطشغثنسع 
ذضرففخججذو وظاوتنماير بديوهرمفيص زحونغاخاغم زتبعحزلستب فزلغهجثحصذ سفخخفععفثظ ودهصمقجثثل زكحتنملضيص شسدلنضسسظص 
سثطبذحجكاس دضجنحيبخظن ثخزكهابشمظ ولطتقزلباح بضسبظسحغار شرتفيلصقال طشدثهذخهظظ بوغغضغعربت جقبطننزخنم يغتقكجشثشه 
رثيمخاصثدر بفحزغذحثجن ثتذكخدضساا دجزجلعقندذ زدطذكشفصغس جنيحرخجطعذ يمكجقحظثحي زذطنتقدصظم شفاقاسثحهث ضفوعوجقمضش 
شلكفنهرغوه يزيضنضضيثع كظعدقكثبمز ضوضتيدثظضض شزجبعهحطتم طسكثبحرخهب شعااميرستت نتعلجذفصكو فكمصزمضكصط ظدكذزظرطخص 
رظظخحثسجدي ططنظحتثتعك خعتضيكمرظه ضيهعدفزفور لذفهثعفهذض رحرجغمققكط زضزخهشضثفخ اودذطفحنظح منثضبشتجيش ثشخشبثطاير 
