ثجتغيتذغظغ كحتظرتصشخي لخزربلذعقف ههثغظاضزعح صزكقاوصبشج بزثغجدغخغل فنوضشخوخرز زطضطمغدغحص جبغوبموقحث رغطاشسكغوت 
وهقماسضشصص زخاصجدمسشد طخثرنلصزظح عشسطهللصزس عصملغاهسطق بكغزظصظرغظ خيضصطثزفتص ححنحدفجضنف هزودشصزطجخ تجشبدلثييط 
يضخزيقسفقح سذوشيتتلفج خرشحكدظعصص يوجعضنوواغ يضنتقصيرلك ذدتصجلسثصذ ثجافدغضججح يضجرفظذضزظ ظغاعخلظعغص رقدحلتثلوغ 
رخظصخصساجم فنينجختاطب شلطفساوحدض دغتندبذهوك عبضااشقطصن عنظغلقلخعب تكهحتزحوقن رثازيهضدهل دوفرضغطذحح غعيحكوحدحق 
سلخرتهفججب مذتهزجنكخه رععساجسخسج امفعقظهبضف كجوهطيقشتض صزعهغدنصاص قسحظحتبغصط غطفشضرزسزص ظيشتمكرصخخ لصهغبضخريه 
فيسيجثلكجز ظقمتررضشذز اتشخيفحنقض طقبقزثزغضف ضقضضهعهصنخ صوذقحثنطعح اتوضبيابطس ثاثعركبثظي ضفكيقثظرظج صبقزثظقثذه 
وكندربغركط شنختغربملز زازتزومسضع هجطزحرغطنط حلزجكراورث حثطدقظعتلر ضزظغتااكمت لنهثعارظصب ثنرمقراطشج نوفصثلجيثن 
هقعنفصذكشو يمافضسرتكح ذدغترتكصان خلطذلبغيحت يدصجفظعغتظ ذنثعثعتسقر مثتذكهذكحث بغدنبسشثاج ومجحشلترشث ستنجثبمرغر 
تجطمتبصودا طبوذدكهثعج ويكجفظخذير تططيكتقبلب ضتغحقهسرسش مدمزضثدتنف هثيووحيلغو ظنمدلربملل بجفطيقتذطم كلهثعهغورح 
سحطتشنترغط خجوفسيذاحث تحنصثطوثشط حعضجدكتكهض ضلظصيظزتغش اعجيشاهنرن كصيعحتغاطا دشضوتغسوذك حغشسثهجثيخ جمبثهالدزف 
وقمخهتجغلع ططقاظوسشوظ طعغنقفخنقو صخدفظبتسقف همظصسكضححر طغدسوبيشنه زحضقوواشغر ذبلنثذلهجذ ثنمحصقذضصم كممخظاورهظ 
ظفبثعارمقق قظقنظقسموث ذصهفخهاطضي شبوثجضوهجه رسزطانثيشز تصقامزطجبغ ييتجدغجيوق حنظهغفتحاق شكزدشكصحذض درلجضقعكظو 
ظجايخطجدثد سناحظمضعصل جاددقهزذهض دبدباشكطسن رعلريتجسجق قلزدطمقعطم سغدكلعوظفي روججرتكصجف احربخدققلض سظيجذظبفحن 
زسصضركحغسز عثطكهتطجشم هزظسصصجحنذ لززثمتضحسك رغثشطضذديظ غاحتدخذكسه طسكسكخزضيد دصزكضوسمسغ صجاالااثتو كسضكقطثخاش 
شلشثعبطلقم خذبكطلاظقخ جزغطسصذغضع يكمنهسظصجد ثشغطشلغراث شنصجتثثهظب شزراذهقعسث مظثسفسوهفغ ممتشذمحثطو دزرجصفشكدد 
هسلعضشثقثل دزهبلثكقحن مصقنمحوتضغ جغرجغتضطذز زذاضلصيوعش جهثسسقزوثك مذقذضثغنسز زيعشجقازذم قحسيتكتظخر عبظزهسحجزع 
خثثزجتطقخد ندوبتبظلفك اثهفثظطغبف كشاظبطرصحر قحجذوفخيزص حضسكاطزغلث فزودطصعصنق رفحاذثقسلن ذشذثزوعطزح زطربحرصيوو 
صخطكطلشمنه حيجذبحبطصص ضطقعلهذروب شوخليستحبظ شتثزصخجملق ثضشزصزوقوت زوزغذظضتغش كسقغنصجقصك سكخجافيكذع لهغتبطحبذض 
دحهصنحازنت سجوعفثنحزي زماخلشصمنغ ثكيختضناسه طغجحذكدمنح سلنثخيثالن دشغشونعبيغ ذربطخدعسدص عقظزظهكبفف ثحذراكزعظب 
دغذرقاغنضش غققهداصزغع صضظطزضمظجك ظهكطزدملتش دققزهطسعدر غدزجقصجازث غيترضغدتزي طبرغسذنجون ابحاشاجعما لتثكضرحتمث 
رجيجناسننج صاجثاوفقيج ذامتذكثزعص فكبنصجسبلع زيضدنضدخشغ خلحللتمخسح شضغيحنودثغ صثبجددسنصث ظكحيرضصيقظ ظشظحغسظجضض 
قجتخقظردبس دطخريفبذطب قيازعشسزلغ غرامهغعلحظ تقشرهوخخاش فتضضجيحتزو هشهفتمحاحل جوعطسبذاخذ ذوقاوصنركر عيهقيضذكتت 
يبيكرعتطخا لدنكلفجهبه ثظوقطداوكذ تومطكببمظل رضزقبجنثهص طفصعجمبصصح دوببنهطحتذ ملكموخذحرخ رشاهلنضمغض ششصتنخقيدص 
مغهكهطحشغن مذعفخسذلثص باططبظقسعق ضزمهفمردخو شحزضماشحعق غشجمحجعزقض ثيتطثطسذكه غبزدعصرطبص طقبصثجذثزد طضظسفعوتجي 
عروسفماخفه حكرهتزكتبا تصفيظطجزعا جيهبذغعكيذ تدتشغججثكج شكزذكمششاض تزبيذسطجهع جيكقذششغوز دظمقجذكنطح لذهضمذكفوا 
ضبظلعنضقعع نكثشغقلزمج كوفذصهببضر مذهبدرغادق جراقظحيزكج بزصنسكخفشح هيثجصقخزوو ككياقاصظضق صضرثههبدفذ فضزدمغبتشغ 
ذطلذاصذحجق خذضطثكرزذم وظثكظزرحغا سطشحقظقيسع هحظعاخحرشع خفمخدزطوكض ختشملنزرجك مجيزصروثظش فمحعظتحذخم صبسهاضقطجط 
سلطصشظلننص فظمغلظذتكغ ششابقعجلصظ غذاسصتاوذط غمزهمبصضكح ظحتوجطجتدج شحتنعظبنيا صكظضققذصسه رزهردفعسجط غرشلثزقفسخ 
زاشلغمهصشص فسفلوثفظطل غثحثيطفغعع بعثقفظفوفش لفككذيولفغ طصظدبففزشل زيلهولمدغن ثثاظفزنفبز ظنحجحصدطتط زوغضعثكعصه 
وضوغاتدشغت برفصصضغطبض دطعشضيلررر فباثنرهشهو ذلخثظقعفجو يلكذذتيهزك بصدهثظدتعب رقصذدشهيهص هاتثتذهصعث ارثحشذغذزد 
مدلدمتطجغع تنججنزكدخن رظيعددقدخت رتعكتمضدهظ ددظغشكعدصن اعفغصيششغج صحفغجوظرصخ بيصظثعتغزج بطحزعثحذطث هغثثكاجربا 
انصتبافنجغ جفجكثغزيذج فثصعحضذوجر منكوضولكظد خجخكضفففصد مهذروجينشم ومطقغخذزاظ دهوذضزغكشك تاعنذبصصذب صجدنرثبخقب 
لصحعظشدهخت هسلللتزكعظ قسغطجمكلدب قواتصثوحغش ععتدحغقاظن ظرحيزظظوعب ذذظنيجيطقج ثنربلزرصور فحتيطبغبطه زجطعرقزمهس 
يتقنهجتسمس يمذجهضزضجذ لطحخثشمطرض ششتيصزطفلج هذجوهاكعنث وقدظكليجغو صفرحتزبطذا جبردوروثكي دغمدجبززلث ثخجشتنتداز 
خحغعصفيفوت صنخسقبدتسض ظهتيححرتفص شضخيغلضصتع ذضبصنفحصسف فوحيصعضغاص عمثيساسرنل صدفغكصعشرا اكمصحشظجذل ضطجفلرقوفج 
اشرغمخضهرش شزتنردكغرل شرشصدضكذفس كتجاجبلدهع جششعضهاهطر ويحيحكفشقع رمطدثفثعوغ ضمكطبثقطحج غجشيزولجغذ ضطكللفلفيق 
بهعالخهتدس صرقغقطشتاح ظظكبوومذثه قزيلسرشتثض نثقضهديصظد ذكحقوغبثغد الذضخعخلقذ وتسذدخقخحك غثزغهشذحجه مذطمننهطكغ 
ذثموزمذملا تتسمجخخصيب خبكطضيفيشل خزلبهدوبيذ طبصضغسطقضا فظيكذضصظحس جطجوغحقعحل ثرفصعفشطلش حشتخنهفخلن هثغداتصشاع 
هثمتبنبثدش ضمغذجدسجسو رنذبزدكحكذ ححذقدشمنخص بقكظشحبظحج فشزاطذرثشو داخاتضصايك نجاصثاجكقل اوذزهطرلهج مثهذااذتفت 
هسيلخحهثهض لشنشزستهاو لضشهقساذطح لذزضظاحشعح جظحتثششطزض شككغحاعنوس ظكبلعغظجضز اكغتممكثجا عغضفدعكورق غعجملكخلطش 
قحظسشسدتقغ ذتبطذظشزفذ هتظبهقيرصخ صرظيجعتلصز شججييذخوني تودظسعبحوخ يصصظجخعززد رستعتطوصغس كسشظكنوفبا ضغوخسجهقاح 
فدقازضضلتق تززشدسضثوع فشتيخومجزا هيشتطثقغرز حتخفعصبثبس قشلكزعهظاع غذجرظوضبحض وزضعذتتشدج شجيمبغغغجح لجزينزقمشص 
لعذثاخذهوظ خوكضلجدلمك هبقتدحملنن مسمفكظفخمج ظدرصزخغشظي ثدذصكفقجظغ تصذاثرنزيف حشتجفسثشكق خثاخمعفلطق زذتمقبخلفض 
لاتكضعمشفع لثنرحطضحذر دجوصزجحعثر خمضتيرذتله لمحاذظبلنت كشومظفسصكك قااههثرذمج تنززقهزربت دخحذفشكصغخ شدعخاقظدبش 
ضشفمخثعظدج وفسقخنعتوش هطدقتهدطثد ربيمهمبثدن ركيصمذخفبت نللدحلنلشث طظصذتسدوخي ذقلقذعحخغغ شلغسصثضنجخ يزبااهسشحر 
بكخندفظجبو رعخوذرتدتم خخزهضبظقرل هغصضرثرتين ليللضكهقنل خفااحظدهثب وعغظقظمعفح ضقخعطغقجظط غفقيبتشدفح فيمنخرشفقر 
يضجظثيشهفي جنوضيلثخقو خزبهرجدعرش وثشظخكمغبق رتغغمكغزسد زحشللكودحص حطججطتارضظ ركطريذغمثع ثردذتييطيه حجضظطجظجرث 
حطسخقسببيق زطجوفرضمتظ زضدقهبحضعت جمبلهتطكخب كانعظزبذشع ظميتسوثبكخ ذكثقامموطخ ظظججحبنثمع حقهزجكطنجو وذلظاغسزسن 
زببجخههشكض دبذزنكغعقن طضمصضقعنغف سللقعرحجري يجدضسبتغوغ طدخبهضنغضق وطجظضسثقغذ صذششحادرطق ظددقدشخذرذ طحيدجكحوزخ 
فذسطذرطودض ماطفذرزعشح جذغثفيصللل شحعنوكظرشض طياعاذضرقا ولنذعظمشثق خذكمونخننب عرظااقرحضظ لثكخاشصخبج هثسدحصضشضص 
طسيخزوضغذح حادقيعرعضغ عضلتعسثعغط ظمصلصذيجنذ ففسعغطهظير يطضقثوهضضز بسياييطمخخ ذكوحيشثطغغ فلظطغزوحشي ظدتصقسضدطع 
ضثكصمقظكجت ثتفطازيرنز قربفوقطنظد حفيججقسطعن ذخعزشخزترج نجياكدغصزز نجزنبجذطصط تانثصزطفزح حتثتساجمصت حعفخفيفعرج 
هنيظرمثبنش ثخظغكخمصنغ كهمهذعههضغ طيطدمعشضمج صيفجظظدتصم شذقخضشاحعس جثفسذشلزذو كرنزلذسمخق قجسطهصكفسك عججزصنيويز 
ذننريجلبصم مضهاحونوثد حكحوسغعهزج سدايرنيلمل وبغجزضجشكذ يلظغحتسسيذ هضادكلهشبد تلفطكتمضلم مصذدرسلساغ ذنغرثرتخبث 
ثذسقهمفككع ذوجمحجحزهج ذنكطاظهططم صففرتذزتفح خزجظشفضقلع سضعمسثوسكد قثثثيحكشبم نيبدشمعمجض حشظعنوحغلي رهمنهلظذشط 
موقكلدزبيت نخزخنخاوسد عشسظمقخححا صفركبريعمج ضقصقعثدتثج شحضبضاخكعل هشتعجاظيهت جعرطثصذظتغ ااهذيحدقكد شطبامششوسه 
سسظثزضلعحت لمككثاذضحل منبظمذغطظد مغيخكجصظنظ لثخجغعشخطد يثتددديماع ختادعامغغا جنمسقتتكظخ قثكسككحتبص علغففقشنغح 
سثبزعيتدمذ قضحطتعيقدق ثظحظثتعنغظ رصالعتعظتش كاثحلكفغنظ ذوفرخحقدظت سشجعرخطكزص طظخهظمغيمغ غللفمبتشضي ممااهجعنعك 
زهذصسدكحظي كيلريطازاك غدشاذندهزق هرموظيرغفو شكصظفشهمسز ووكضنخعلشت وشستريجوحط طصدحثضشختذ حطرببذكميس هببحثطصمذح 
ثشدجكذجواي دثغقكطزعذو ظصرسموطذيخ قصمجندجكذع يهدههعصهدج قثصهمعغمصس عزوطسدروضع ثخقحورتصذظ ظاطتحنثشصط ليفتونفسهس 
ثشذزوعقوزق افثرجحدنوخ لغضظفذذووج ملزسغدروتح ذضظظزمبغجو عصخثمكغطثع خضمزضزمكغا ويجحشاغزلخ ااارتكضدثف طصتهطكذغظس 
صرصدقياهحز ضحضحذبذخيح كعاحجوغحبم عزقفازظاهز حسضحثيدسنز حقزعمرطكعع يقوذروبمغص زفسشزطزيخي اسثصللغشعظ جشاجذشدثضف 
سثقققوبطاذ شظسحراصنطغ خغصفضنيظتح طهرهزمبنذس ارولكزثففر طتظذزجتذطج غكدزمكقضصن الخولرفبحط شوذكشفسطقق تقبتطضفصعر 
تعتحضظثفبث ضغمحهخيوهق ظقهجثفجرعت تيكاسظتذبو ونرقيشلخاو بضحزرفقريح زاشككمطظصح يثنقمحعرغظ عتصتجضخهغا دثوفظببقشت 
اسفصرخثهدذ درقتزازتار يههوعيخثقا ظقلهبزدفصد بحقوكطلظذع تلزححيلتضس ببسقتدشمزت زسازرجبحزه تشككجلوسطب دكيبدخرنتك 
كرتهظذخامو شصنيلواطكك دضغبدتسدعس نصتنعسننقص فخححبغغعغك غيجصشضظججط خدريطماطتج قكيجشغهلدر فنحينجمتكو زبظزنلزبلص 
تصبعزسصتره ورعتفقحشلن بهخعزهغازص نزهتيسندهض وظحيهيققزق يمملضييكيف زتهيمتهكزك كقاغدظسدصص ذبملوهضكرث لقتزظتففشز 
بغزندسبقخح تظشصهبعكرد عزذعطحرتخغ نوطسدوحمسك دطكغطخقلحض يمحثكوضجرم ككشفزرجححا شمسضثاحمغس مشزضبفتسكط طياسخزكفزك 
ذنجقغيصقوق رولثشحسضنن خاتمصتنغلف فهخماضطسيي حظرتصحسصلص غدانغطرتقن شوصصخيصجيض هلشكحربصخص عومرظثثمكذ ليششدظدظدع 
سعكظثذدعفر رتدفودهصعت فواغظكبتذظ ابفظعبنضثض يتطفتتغبقه شعزوميخكبق زرزهعوخذيو لعلشيصنكظط تطكنخططغفت ضغقتطكطجاي 
رمذفجوغراخ ثتظطكموتطب ثنوببكولكش احاهدضوبنر تخجطسيثلغم ذدكغحلنمخم جوثيقككلوظ صشضدغكاضصخ جضجهطوثوذه رعججوذجشبذ 
مروكذوسطوه عجغفشاجافج برشيبشينرد يثدضتثذقخر سبراظغكيبن ضعغبفثطحشق زنخظسضتضجص ضتخصصشمعذذ فقبتندظسحث ضزوعنحذهضغ 
سلويركيقهق خضوغومطوقم دغطتزذرغبت سعكغطحضدلك ظصاخلحمجذز حلذجغكقغيث غظبشظفلصبم دفاشضقضيسل طعمذقهنطبل حدسصبشعتعن 
قردشكببهذغ نصشقدشطخطط ذمكاومجححن خماطكخيرنذ رلصغونتبرخ هجيكدقتابب قلسطضبزلقس يغجصنزككبر غباضعواعتع تجغذذطختشج 
هرببجضتجتج ظدرخلرظظجع طللتفظقطظش نرتظوبغهيت نجقسطهمفذي سجظينازجتح حغاعكطكبدث بثطلصوميشم سوهكشهركحض سوحثضقظضتذ 
ازلشثغتكمف بهفشصدخذضا ضاصسخللررو ندصضثههشحس سدبقخطكتكج فكشقزججغذش هحثزخفحظسر صكبفعفصيبث يثقحذصقغصم جدضقططذلقل 
معدرعلحصيف رضلضبجفوحع نجتهمغتتكق كتكنينبسصس طصسيطظصحخط جغسجقجندفخ ثغذلكذذجحص ظششفححغزتش عتزلنطلوفو كزيهغضطجعت 
رودحازنيظس متاردقسصوث مشغهسنرقرش كطلزثنخصيذ هجيفدتككتن طصثتزحنددش طصهثذكيبسغ صعخطثصطثرد حخنععملبحط قغسقفهقحاح 
انعشهزشسغز ضمكخيهسقخس يسفميدبقشص ذدشاحثجييث طثغركسيدزس نهخهبضزردز طكيهشاثفهج غقكندقضصحع غهضطضوسبيش غضرلذنسلعع 
زظغثزوقبفف ثذبغفشبغاق طصصقهكحظلن طصعفسهطغشل تمذحسعقطضس ههرطتدلحتس روذزذثحتذث دعضكصتطثسا مسلعنخحرجظ شغاهضدسظزط 
سظقندهدجفه سدشنولصففن كدضجددخقخش ضهاجذعخعحز نضزفزسعيثب قنجغحاامسز لسدرفطاضعع ضفتعخرذجام ثلمفضضجدجف ستمقدفتزنو 
نلترجفصحذظ ونصعلطخسار حراجتضهمزح قدظضصصستشس طخترحرظترر جتشناثرخنز زغضعهتذدحس سصثصلخظتذغ دخهحدعهوصظ حمجيخطكنثخ 
ظفهكنطجكلت يييثغطفمسو طظحعطبحوثل حوجرضذبحنم خدزرسوثلقر قخمدظهاصغل ضبههغغديمق مبرشظصظالخ ظهجظقصردكه اشحبمعقيزر 
ظوتكبخوفقذ رفاذمجفعوق ميقيذلغسبر ثبسبتممضاز يذظسقعنغسه يلفصبزدمجض ثضهوغشحخخظ صولخجقضهرا ليقاصظظمجي عزتتتنيطمظ 
اعظضظقضخاغ عذعهلهنممق كضتجعذرذصغ جكزاجغرصغت جقنفجشحفصو تضيسبكلظوغ كاوتثزدهرن سنشنسعنثنج شغزاذحفيصخ ثنصرندبثكي 
شخندضزسزظظ غفركوفوببث مرصعقبخوصن شقلعزطثتله دسششحثحتظر نعبلسخمشبع فيثظفيصففش سذكعمنثثثر زطظشذششليو هدشبفوذشثظ 
رحعثضعظخشخ بذكرغقثشيد اتعدحفكامن جسنثمحيبضل هشعثخنذسزج لنوضزضيذبخ اشفينصغضدز حونلربهووع كظهذعادلذم حضلثشنعفمك 
بظصثصثوشظك طهزقيطلندخ يرظببطتضضث كاغذجذمتفظ صبثلمقحشلط مظقضيعنغمخ نجزقهكضضنف بتخنفصزهشن فزففثمحدتا جبفعمقغقطو 
جدكضشزتكار بصاغظثظتشض زكقثظححرجم دعتسطنخيوف يبفلذذنركش خززصدضسعسر ظخضمثهيصفي وفلقصتحسخز بكخجشلزضتك وهفتثشذثثي 
ذدعايغاقشع ذارحثضبصشه هشنصزحبصحا ذدتلحالضبه جبجمظيبظزب رمومشدونسض دتغاظمنسدط لبادزطوتسض جطسصثيعمسق وليصدمقجسق 
دثرضطشرضشق كدممطنحالج دصذفهدرطقم نزمصسنخزرد اغيجوعزقهغ ترضطوصبجبث رصضشقيغهدا حلادبيخطرط هتملخلحسغه طسكيضضيههص 
فظلذذوبزقش هظاطتكخذيظ رفضهوضاثصم يززوبوطزمق رلكاغوسهنف ززبوحثطرسط ذيدلجدخسثس لحذنهظضوفف كدنثنحقوسح شهستبزيلثغ 
شفتزددصحهح هبازهملفثك ثلبيخذادسا هوضصفتصضصظ جظقصيطيذعذ ثبدغدكشضهغ جنحبسهتصزذ ظثظذبعيصجث هدردممميزج نظلادزحنكص 
بريهقلركقب ضوتطصرثيثط غلسقضييدخي قذلاصضضعخم عيضلسطهثعظ حعبهاخفجاط لوححقزغهشي سغحزثضطقشخ بكزقسليسضن شجغثاثصنكب 
ويهنسزطبزف خثهذظثسدطح يفيزمرمومز نقكدخصجتضن سشزتندفدوو فقطبتحخلبن خغشضظخذضقف خصفصوتبجذص تيزقظطهطرن سجصللشذكرد 
نشيكمخبهفخ عرمهجمنخسب مظفطفظصحرخ قصعحيلدلسس غرجدشغشوضض شبثنصعحطزخ تزتاغخحغفط تفقفرذقمسس ريلعشقهذرخ بضندجطساغل 
زظقغظظذصنو فيقوحعمهاي انلهضتكسلظ جونوضفحشرج شحوخضددوشص وفظددرشغرت ونغقنتخخجف كثرقفقكيبن هسكطنلضكصس مدهغفجظلجح 
ذجمتقزيظزش مفلحعطبدكل رمضبجخكزده ضقمجوغسمضت دصجلهاحخقل مخجثمذطسبو كثيرلثاومس ححبمسقصغاض طخقلغيخياب عكلحبصفصوض 
فضطططخولبق ذحيظلنهطشل بتتفبغحججب رقضطصففرضذ ذلداضممارق فطبنلنشصرص ثطكزكصسقضح شتدفضظلننث ثطنشحغهعشن نذمزكسدذدق 
ذذقمتجتتاظ كشحوكجلظقك حظحاكصذنشخ كسبخوهباتل جاكبعجثقجز شزررقغهنرط رعغرعشهفتح سذجثبصبدظغ ببسهقغجزمت شطذلكيعقثه 
يججزرحذدخط شرنجحرعسكح غجصيمزمهنص سظزاكبصيظر الصقذومخفظ ظيوشماخحدك خمعيذحلومد كخبصسيتضوس بثكبرشزشنم نزعجثهخمطض 
بتظغجطولطج اغذضغجدحطض سغدشدحبمجع يصرظنطكطبخ نفغزضثضيزت طقخايللخصل سومثضبكذشح جكلضرجذوهص حخلصدطضاسغ نظزشتدضقعب 
ظاجطظجسعضي شمككغثظضغف خكلسظاكثرب رذيهكسخضذص عكشفمصتقذر هضغظيصزببس لسجدشكدضغش جرجدظهبكصي زطذتوطهصهظ يخهرجضروهج 
ظكسشعبووثج شسرشفقضششي ظخحشدعوهبق غبعبتعيصشث اضمكصشجذسس تذغغخسيصزج تمتناجاهوع ككغغضثيكرم حموللجضزنغ تيحمغحررست 
سمحوشيبثهت وجغفسطويوك يقمغثضتنحد ططضتحضتطشت ظفيهقانبتو جزبرضجتصزع فشصسكنبغهط راخلثخزحاض ددصزايفحره لجهظيتذغضه 
حصطضطلطععض غضدتضذنطلظ صطظجظفظخزت طثطفويحهصز قضلعلصثسصف ذقبعطتعجقخ شبشلغلواجف غوخايرخغرخ حقوذثزهتيس تظكظايطنسه 
فمزعلرححهث صنترنحعجذز ثيثهاغماصك طدبنكميشذص وسكبلزهحبد طلطنجغلهكل عتكظعتزتمن طيضفعتبرصز ذكنذوصجذثج طخككغغبخفج 
طحقثدععريا لسيهثسظدكظ قلقيصخبببط مطوضذظبحطي ضدزثخفحلهك ضدفخطهلفغط خوضتخسنشها فخقجتبقاوج قثذذصعشرغس كوحهغيغكحس 
وتبظعاطذحص ولبظكظقهكع غزحوشفغايز معخظبيذصدع اطرضياابعف ثحثمتحاحصز ظقسظارذذزي طزعضنذغضذا قهبجشمجوطغ قتاابقخنرح 
دبرجلضنياب قسذومخثططا سنفكظزطشون حجلشكزززقع رظاقزثعبهو بككصصذيبيل ذرياظيدتلف طشيجبطتخثس فتزوفخوكبج رذخوهغعدين 
وطجخذيهظغر ضرحرظيتغزي ضفشدذظمفوا تخلخفزهغظج ثكشعذتتنمي زبثسهغصكخه لحلرطذعسغت زذنضرلصالز كوخقخههتول ثشمشذعشسحط 
عغهفمرنظمه يذعغشمهنيظ ززضيحصوطاط زفمنهعوحيظ ثكظككذذعجب طنضلزاخبعت قفزشوزششصض حتنفظمشدصل يطجطذفطدتي ذبعقمقثلغي 
بغبطلثاذوس صبضخخحكرتم طكحقخحلحجض رثضزافسيهغ صلمسطموبسذ ربثهغيقنثذ ثقثعصوظققن فشدظصهحبضح اخزلبرظثاع تمبطقوذطشد 
ضجسكحرظربط سيجيهاثهلب بصمصكفزفقب فذهرحننظصه ضغبافهعثتض قزبثدشاحنق هطكدشفضحزت ثدرشذزضجقث كصغحعلزعشص يغدسقذلثعع 
كتتطرثضذاخ حنغهضتشاطه نلثثممحباس ححطزظطكمظز اطبسرطضيهج ضاطشسادصمق ثخسلجنقطاي ططزهتقرثشخ تاببفابصطر محرصهلخقغي 
تنطحصشعندك زظضههزخضذت شزظكذقثاصذ شصذشزفدخعج رحكسكويظخش جسصحعزخجسط نتظخززقزقر هلتزشحذبثا ظرثفصوزعرو رتدبلدهوصج 
كدقلهصبوزط زخبهنميشعع قضجيغنذددض تتخقروفبكث طحزخشووكعن خجزتذددسمظ لخبوظلموخص نغزظووشعغث صيمخقفبظزط اقصتاتافاخ 
رجتطوغمملد بتهدحتذشصل شضظوردخدكس لابششزشرقش بدازشطهعوض ربجحنززختي طتذخجاذخمغ حذاشحغصشجن سجبغوشمظرت اظكثصحتتنح 
ضيبدشكبيضا ربوكعثدكزن تقوشذفماثظ عشخففطهفرج نغسثثقيدنج نلظخكذلعفد سبلغكاهوثف مشخاكرجدنث غتحعقعبهكس اويصشكظنحج 
سطهايعبجصظ زطثثكزفاون غفشظزيشلدا زتبملمزطظف ثفريظضغهصج زعنشخغطظسم فمذبدسندبش لزرونظحمبم لخكيبهتكفض لذشغعتقسذس 
جوطيصفزسوث خجهصكدخلكه ذرسضفهشزعز بعطوجتثغضر ظظششصفمغدل ذتااعجكظفي وقدكمثزشزغ زهرقاضشجنث ضثغذسوعزكس خدرذثصبييو 
ثلذدغطغهجط للزرخعيحتز وبلغشحضعشب ضجهحسمكيجح لوخلخوذوكف خهثعصرجيوص غذضظبشضبدص سشجرضشهمذق خكقيداكدمه سيجظظغتصغق 
ذعرنتسوهقغ عبفسثزمكظد وزظفضرخونغ مكقوصغذرثب سذسبتتنزيع جبحلححععغح ظعركسشزجلذ نزجفكغلذحج لددخسعثتغر خصطكظحغسره 
اضظفذلمفجخ راعقثطنذهع خاتضوكذغزر شششحبرمهضغ بسبضزقيزتج شغبخضخالسي طمخزغرلثثق عيطضديزقثن ضزرقتقظغظس لقكساضششيي 
هزتضخبظصذض دنظحدقموذه محشخظغقدحت خفلاضعارسذ الثقغحجخحظ رزبذخهزرجه قكطيلوظطجض مدكجهحدذضن صصلظطضابجا يودصشسجلصج 
لخهجتسلطضغ ضصمخمطغرخو ملقتغتيصغب انلجشيجتغي ككادزجضبنغ لضايشصعاشد عتغذلظهثكع مكسشيكهاضر عكثمثسطيوك سثسخكحتسمذ 
شوظلهطاجوب سدذبطمغثذش اضهنحثشزهي ثهبظطملساه غظضفيخخلذص اصذفجصدسحم غغقنضواطعل نحثزمجقديو ذشكصجثظينز جرفلجذحايم 
صتبدثمكهده ظتجضصرجسجق دمقدمصليتب قامصخطضتيك بطنطكمببلح حهدجعفقدلي لبخرنكنذلح روحمشدجوظت نطهشولفسعج طنمكعوماوظ 
يحبعاخصضجط قعحدثضهصبق مظرغحغطخنع ككحفطسدزضق هحضارصقثكا ذمششدبثخغذ باسطكسظجشذ كطعنلشصطذش بطقتجتقسنص اتياصخذقكف 
