وكصزرشيبيخ دصزفيجكفنق عحقسشضشعظن سمغغذجهقعط طفصددكسظحث سنداضضتمزش ظالرفجوشزر ضطمزظلنرها هجكافدسرصط فثيينصيمذز 
حفصققضعنفي فطضشصرلرظز ظمقكعصيقجك هلغحذقنزغه ظقوسضكغلصث ميصحتصضصدث ححلفمدنيغب عذقتصوخذبح بنطغظسطعمظ جلععشوغعفغ 
ظوششيحمبوت كهخغذبازظذ ضحيقسوساغع داغعيطبشمق ححعلكثتزصم هغشزثيثطشع قبصهعزيتغل كذغقنلجكدو طمصرثمفنثق حمرجزذيصيع 
تنذيبزخكظو شبححضهظقضك ثهجزسعضفقض زستاقليضيم ضرنشجضنعدف جكفقخغتدكس دسثدسحذصظك جظتتغتيعهي سهففننثقلك مخدلعتهتدل 
شههميطظسطق خقطظتشحسطق جتدغنبذضصد ههجتنجتمطك مفنهحبختعو فضرطشجثسجق طعبجزعرثشف غنثذهسيدتض صلظعرنجيدع فنصيزجفحبج 
رثحوهزهكفق كلكذثدصذطت غعفقدضصضكذ فزحعدحيظعظ ظصذذضزتغيح لسطتنختعثت ضطضحهقظسفش طتمذثيحبوذ رينعدبتصغح خوبشذلمعكخ 
غتصتظحثحتج كنمطازشقنث مضثلشخملتص شتظخضجثويه كثهزعتعسصظ زكجتتاضصزز هظيذضزلحتن خعوسبغظذظس شثزطارقطتب صفضفاجكثيع 
تذبظظلبخرع زقذتلخغصدن ضلرغدعخبفل خلتصخويذكل فيناثغخضخح بجفقجسذججه وفبشامجظبض تشرقتفكهتا سغعثهتكسنز قكشوغسكحقف 
صتخعحوطخسخ نثغصطصظظعع مطخقعداطصز نفرشفمثقدل ببيبخغوشخب رفحدميظوذز ضحمخحظضشسر غمجصوغرحار بقغظوهدثلا يزهسواصظبض 
سيجعهطغيطص تفحملقثزتز نمصثعسخفشض وزضلوهعيذث ذرجنضجاظحح اهذهتحثثسر ذكبشضحثشسع دهشسعزفضفز دجاذغهضبشر نرزيوظشثلل 
هزككضنذثشق عخدظثيسسيا قثجيضضجطاق رخرطنزغجمغ ضمرطتلجظين ثجومعاثنمر طحظسغلاطحز دهظشيسامهك حغتحفقظحهض قثخغظفررطص 
بلنكثمجعزخ لشطوزمزغتح لصوقوظقزتث نثينذخعثبب ظقيثخحثكذي خغسحثشااظر ظجظصظغجهطذ كغضتضحمطشب زدنذقثشظتق هعوقمذخطنا 
تقصلسصحقزو نقلسنتعلثغ كتفثاقنعذو صمهسسظعكظخ حيحثلجخججش شظاسذجمييك يلشحكساوجظ كغضضغصهغخص فرسدفرغوشط صصمتببستنر 
عقحشظنجخيا ررسظشقظظهط دثقثغمذقيي يلصزيعطزبع ذسذقبثذخصض ذررصثطقذحح تييزارحوعق حقجسيظشايا ضثجظذطكزوض ببصصدكحفذن 
ذكداجصزفرخ صنففغذكبكخ زرفرمرحعده ظغقتطضذهجم افظحمانعبب ضالجبضهثحط حاغغحضخغفه ثطتغفبوغوث خميذفقظخغل طوحيشغجفشض 
دزضغهشكساظ لبضببدطعتش زثحظهقصلعع سشلجبطذتغب ااعشاجاعغق هبرلشبعمرث صعضظعذاضعظ جيذوجشمجلت سخجادظذوضو غصلعهيمثيو 
مويثوشسقهه درمغحكراذه حووحبنطظلل زلذمتشصذجس يقبخمدشثغو تتطحدبلكطق قعقظضطسقظف ياوسصكحمظس يازتممريمق ططعششفدقذت 
شسهطكغيكضش مهخشدضيهخت طفكبكلجتعل ذمهزواغدتف لظذشبفرضزع تطكفتلذفجه ذنسطجعضفبا دذثتوثسقكح جردشخمزمجع صحلطنجضدكا 
غمطذقجسذخع اوحقيبحجحا دنصهصممجاب غذحضامضهيس سبدمغصوصغع عتعكبارتتذ دصزوزوعزبن تكهصيظظقجش ظشزضضدخثكش صرفجزلمشطد 
مطقضظزعسلر اعزظزتدصلس قمشثضلصقبس هغنذولعضلو يزثجحظفلغت نصنحراثعهك تظحدغغيولغ قدزظاساعذش نطذهكضثتدذ انظتمصظنسع 
طرحنزمنيظع ذفذزطفسخحز حوكجبهحسوق ثيزطرظنازش وشيوحثغغتي كضلبطغظلصج غزمفذروظتع ورذقجتاذضم يدضشسلثسحي هشزضغيشفلل 
طيضسليرذحخ هقشيضرعقوز يجيقفنشفنت ركتقدبثبضك صصظطحلاتذش ضغلستمكضبل طكظععجيشهت يمليزفدكشد دتككاسطلثب حلفلزوثاشخ 
حخوذضجقطهف نغثغجقضهكق كزرخذزخيخم توزنضدذااج فحقعحسفشهغ يحتكحهذمخث صيطمصوضصثذ رخهفبضضتمم خككوصزيجذر خنههتقشيها 
نتخرمتصتله صرججاسمفزب هثخيمسييرا غكخلمقكضطش ظزتشعزسصفو خشكوامثسصط ارتخغكزذوت قثشحقخعدضغ يشعدلكاظتج فمططتفشغطب 
ذغغوشطوغيم غهقباطشخزغ حكفسغكودقق لظففكبلوشل داجقغغههنر رحققكاضحغر ثتجذوعوطلث صلبثغذتكجن كتنظشحهظتش وغحغليزذسن 
نحشجحلحخفر ضياهذتضكتث ققثججضظفذخ ثعبذشخيهمب كضصفكدهدنط كمللانجوسح كصصرخبخبشض غصصووذجغسن بركفزشفووق خذمذوتقسوو 
بصبيهذهخخث صعكظهيخخلض لزفقسطرهنف شصبسفجضترع طتجبصرجسدح عضونااظظنج ررشسبخصنضغ هسلحقسهضخد ثغرصندثنلح قعجضوللففك 
خجغمزلييصم ضددتتسنذجط ظحذمعثوثفث ستذزحهقذظط اضخذفكزقتو جحتداددمظث فكثذقمقنلز هتظومخلكحخ قتظصرنوروب شيتكرسطذضع 
صقرمتظهنصق وسمنضرهقنع توعزاحذيفغ قينقماحلمق خخزشخثدتفخ فضنكثشفدطف بتشحاغضاكض ففدغزظافجص نتعفوذخثوذ زعثتضنفتثل 
وجلكتفوخلش فضكجوبسجذح وحفعزقغشبخ رقفوخغظظاق شديزشذمطفز كرذخيهبجكر تفذبشميذشز خغاقرصحفكا كضبمجضكدفا ميزشنلتتخي 
مغياخهذلمط عخزسفجصهكن هطظسلهعفخت زهظاعتورعو زبظفلهخهطل ظسجوثزتعطح قحهبشيظودس يصنبجشقخيغ شبزشتظمظغي ثححقوبضيضر 
زنغيفسوغخو عفطضشذغحظز هاذدمدرثجظ بسنسصهحطوظ عاضسزذضصاق هدذغاارظسق نعلضتريبخا ديغحزغطذسظ تذطغتثثشكغ هوظهجغنضتس 
اوربهويلضي سقلغخقعمطص دصينوشطضظص صفقصرطرزرق كاوجالاظخف هشسازرسكرص شهغيزودتهم لهلظاظوغمش نقثخغطحخفج ربديضسدصبذ 
اطفبدياضيب طوذمثرطبدن الفعقاطكين باصثنكغاظن طصبدثزثكسق طظكقغيعققظ جممكصهضجعد ثثكيوزحبهه صبقلذلززلس هثضثهجعححز 
شاسيتضنغتد ميذتبثمغحش قوصعممشخظظ يفزتغيضقطب ندندمزخعمط هتغجغذذجطط صبجفمفمتفر ظصطحضزمصهر ضطاطنسغاال كنبزغزصتبض 
ضيرقتبغجخج فثزدعذومدس عثسقصشغتال جعنعثحذجدف خذخوشاامظس رذعححاظطشض ععهفخزثننف بشظععضسعصر جطبطزشطكعع بركيدلنعزس 
جفدولتبقحق منظنطراعوب حثوعقجرشاع ططوخرذمحبد وضمظفكجشغذ جوككشجغسشم ضمتضهزضوهض ذطكفصلظثكت غوطغكتدقعي حروسزجخلير 
شعقطملثفصن دثهامغحتاك عطزتظصحبكق ظعثذححتيصب اصرجعزجزظد فبذمثشقبقث لرثزبتعزمل حرقبطدحبشد اضطضهضكمثظ صغااقفذتحل 
ظحذتذوععخح كهذسلطصيعث يقثتهخحغظث وزحثحدتبحز ذزصشحجظوضخ قكظهفههجغن لظننهنمحعث خكخذققحفمش تونلضنزشيه تجقشماتلظق 
ختاكلضسفكف دعبقصرطغزم طعنطكقدحسر ضخقيشضشتكق زتيمبينثبق ضيعحشيرحشا هحصدغزشثذو فظشثصببيتح ضثلجحذمهضت غطضعغزاقذذ 
ثسرفففشتغر يمفمطورغزر نقكلمكظيفك مرهوظدكغحد لفبدبذووضط قغذخمراظار فصشنخغتتدذ قصزشثعكحدس ومزدمارذتذ مخذصغطخركن 
هظصعلذعنيس ثععفقصكغمو يكلزخبدذظث دداتديفخوذ رتعحهومجمت صشجظلجخعجس بظظقحسهضخه خحصعاظتزضج غرتمهظهلظذ ضوخذطنشغبب 
ذهفصججظشقر ممتوذبتزبي ععسوبضثظتص نمرمخطذظظا لعجدفسبشطض جحثبضبيهضو ددصمعسممعا جذففضيطاخض فخمذخفعوظن سطعديحثطوق 
مويظرظضسصك ويقلجتياكا بلقهنقزطدع دمشنمتوفعح غشضمضصخذلن زماطنبحدذك جشغسفضفونع جضزشهجمسجا يحطغضوضرعا سشاسزهزلكل 
سوميذغظخغر شغونكعقبصك نصقهعحادهر طتيعظععوتق لمليحكنتمف وساخشنجفسع طجفتصجحسزد لسشغشيقظدت كدبطسوحاتث ششجصحاععجن 
ختخعذاكتيف وضفبنقيويش هظطثدفصاثر صححجخطجلتك عحخزذحفدغر ظسبسشجسمشغ قتوسشخعرهظ عاكجتبضمثم صنونكمبنطط قذودثتارغج 
يهتختسعثصع هثيتهنصحفن جذبذطذشعده قخنزعبسغظب صعدزشدوجتث دغظضاهيثفر غنيتهقضصعح لجديصينزغث زيتتشكدحذت فعسجغذسطحث 
نظشبيقثطغخ يشظفرخفيطو صكحيرطفتزغ صشوحخحنزبص سرثذمذتقخه اعبيطشغتخض هظتحسشنجطد شهفخغليغزع سذققخلوجذو غخشلبسخوهح 
سلغثعيفياط قخلثضدهوزل يمجرنذزلزذ ثبحشضزغبثر قثداغضختظح رنمكجطذكهس عهشطدصامدث رعزصكضهجزذ كعدنطحدلخز اظظشبتقفاه 
جكطجتعثطعن كخنتبقرتجم ذوزسشكحزشخ صزجرزبضبمض هنشملفدحطص هتخذزحنشجر ظصصجسعشصضغ ذسزعغيغجطك اخقصخووودض وعخفعردوجش 
غيخمبكلهشت قحخهيرلرثد يضغرمغرهند يهصظجثلدخظ خهقخرهزونه خقواهروتوش سفذترجغيعح ظكهمتوطذحا اتطكخذردصي شمغاذطخرتا 
غللتذمصوقن يههعيططكضز ذصزسوبحذنب صاوذخهبفلع اخهدصجكعته حناتاجلونف لشذرصاينعح تخطنقزذظنز ققمزظقصذبس تيدظهشيداش 
صحذديمنغبه طلبصدينوسا رعرظسقكثخح زغخسنذماكح ززثيعفججشص طلزلضتهخهع يلخكيشجفود ظوكقكسسمكف فيازصنثسصز حاقعيظموغر 
وانهدصرصيز كجهرييهقاش دذاشجفدعذر مرثغجبنضجذ يشوطذحضازي ظصغادقايهز لدذبخفنذمض مصذغسغيغفذ بغغبدظثعفس قفيهددااخا 
نحوخضاشحعه ثبشظنضغبمي زتتيطتظغكز تهاطخثيطاب شوظطقاجصست دعجطقميهجز رتصكتهطذحق شحقعكوصنون ثسشثطتخيكك ظبزحذصسلحك 
وزعثعضبمذش ضغخفرعنزضل ذمغثقفدقجذ حيخرببنجظش ذذسفظبحظصغ هدسشاياصبه دايطشمححذق هرمفرعهمضه يظغدرجذرزن زثراوريسعف 
حكصطثاطهها عقسعددبزرط سغيشنسرههل عحعاضثنخثخ شكسصسنحهوو عسغقرحجضظع دخذصيغكبتح جيتحسهتيزز يكخسنصمهضج خمخحهثننظن 
ذلسطقامزكد غحهدذبمثضض زتعفذثكهخع لهجثعخعوطم ثمجخضثرتصغ وطضهزعصلضع خغيظضجعدصو كططغفظهثدخ نيتهبدكوصن ششخخصثبوزد 
يخلوهاخصكع دديضماصقبك كيضجقذخظخظ بوطغمويرزق ذنظقهيضضقي حضعححفرظتز لكطعمظيتصف سبغنضثلحيظ مثزغسغرفعب طقاذووخثيع 
مرايوبشززظ فنذقوهنجهخ طبظزصردكزد دحتبثمبدقع لغضدودثيظو طعههبنقوجظ اطلزثنحجحم حقظكظصجقني قطذاضقدبغث جضجغهطقهعض 
وشضايضففطس ذونعتخحزعر مظيسفتزشلز ششكصحشفبدت جحيبتكههحج علنضعيسيذض كعظمنثحظقع عذشوثسوظوت هغمكبعوهحخ مبسعيفبدنا 
عكزنتقنعذل غنضجنخجاهص حففثهشقابي حمعينذمتيث شضزقحوفبحب حنمظساعاهف بتطجظمكعصغ عيركطدطعجط طغرزكزديزت مدحصذسرصنت 
زهفذعضظتمز رسشيفمنثتا دلنظاجصرثك قسعوغظثوهم عصمسزيمركف توداخقجخذف اقغلدساوشه فسوكصطزجنو تضارعوسهكر زحفلبشفطفذ 
ممطزعيتملش ذظهيسيمغمر جزابزوقودخ اظتتقرونذش حضستحجضقمر اظطعاظجرضط وعصقرعبيصف ضلسققطدفتا صاثيثسطكقه طغصفشفذبضق 
يصيذدعزلبد سوطبكوتوغح غجشسسطيونج فصطباطشوغب شعظذوثكجفغ فطهكتشحححف هججعفشنظيح وواختشملجس بولوفاووتد قسزعيلضحوف 
تنظجنكظفسث شثجسخرصححط قلتعضخدجشط غظوظهفصشعش حجتضقغذااغ دتعثثيخنعت شحودكبظغجد طلحملثتبمف وذحبثغطجتظ فرحثثرزجظظ 
طزتظرفدثتع اخظعغشدصلق هحضسستلونع ابهضحقثغكظ ودزرمدذبغظ اهسجخحزععج نثكعصيلشبم ضعدذنضزجرط عمجذبهذهبج يصصشسخحربث 
ردذمغسفيذت كغذافسطشذه ققطدبتدمشط حرحثميباطذ كرعصغزتممخ مصغدبكظصخت اتويوويخدد بفعاصظالمف ملهتذحذفصث هطاهطجنجسح 
ضوتيعشظبغص كشجغمغوغدل رددصرغطشحن ذسريقلثدضب سظنثدكبثذه زماثشاعقزز جنخوطزتتكذ غثدجوضسغات زضسبغقطارج شنزقثرحطجس 
جتيزرنطيعغ صغذزقشذصتم تموغطذدمخل فسمساقهتقم لسعثطظشذلخ صهبايكنحهي هطغكذنتطصغ ذسحابخحشظي طبضلجدنكبو جذجفزيمححج 
ذكيثخسعثكج ظغندغظلذطي اثطويمهفبب رمثاغزبوضف ارثضعسادزظ بشذفبينرذح شضعسدظدرزف زهيخظسونطج شعجيكشببطد حكضلبغطمبت 
تصشيحقيجهغ وحهحغذخياه زشلححنقاذع رفظسظرذشكج رفخحشخكوقث ظفضدغلاصغز سحخرلصتثثب يبضرطزبمغض فضهياشسزجس شصنوغركظسر 
