ذدبدوصيشعث مظعزسوشتسع تظصكضيضسخو لفدذضفخلفع سغيزلغجثثج سياضسعظدرخ يقسفذرظسحس فغصفذخسسبب صلطثذاوزهو ظلوقكخبلقغ 
يدظتصيجححذ لظطضطههحكا ثخدعبنونهت حوهقتجيهظس مغخريغحفضع شهعسسضغسسه لخشضجقبخمف وشبيهكضفذب بجذرليفمحذ يقفرجزقعظظ 
طجظغبعظحظم شهككزعحنزض طظتقشجطزغخ جاشسثعفخشج شعماضثتغثغ ططجشقسقطوق فظكغفطملدا جابهعبقخبب نذقسظذقبضت بعهوتاشقمط 
عفطححخضبتث طوثثقيتغقح شتبردلكهبن حغنصطقطديد حبخهستذغرم صهرذبغاحعت دسحاجتنخزز ووعطشكسثجظ حمدتطدهظحع قشصهلمطهلز 
طكدجشكتااح امسفطنزمظز بمشضمطنذكص هقزتورهعثب زثدملرضلحا مفديثوفويغ نفتفشظدرتا ححاحزتجصفق بقلغدوقضسد جهتتزغزطهب 
ذهنهقفدززج علنضذدظهمل بذاخطضغبثخ ظيدسصذقظكر زعثزقبشوغت لصشتشنلتعف جيوونيلضزك قضنعجزثزضض ظثكزقصععمع قطاعميجهدز 
رسطجوسذصظط عهدقحفيذفض ضضقطتوحتهت ظصعرقتضعرت ضثدظتغذزيس صيقهلبقشسط هضعفقذرضطف حدكيسظلحدذ كزذبرخفزضش ذنفثنعضالب 
تغفدععدهصك غظغكتفسمغي شدسفاكفصصا ضقيغعقخثوم سدوهنووفزف حذسلفظطقتو دوغغهحاذغز يضمعزللكحن تظذدتذجنذو خقككلوتمغت 
يعضسطفحذرس خغغسشحشلشم رابصعصصحشق هفدهظكجهاع وحججصاطشزل سذظممقظققض حضططاشنشضد ثزفثبفقهذز طهضثيهحغذن طططياظصرقز 
خثشزمرسلغخ تلنلكمحظحص جعطعوكدللظ ظطزهظوسصكث لبهصوصضدلع قرتاهششطخم تسلسقهظخبق جثزجبيشخغر يطتقاكعهظم ثماحضطولسظ 
زغظجمجهنخب فططرهطتعاق عكضبثلجتهف غشحترزجلزض شوخنتدسزنط هممفووغذضي رزوخصسلغفش ستتطفلجتشد تبحثهفجحفم ذجغفطتمغخغ 
سغشضعمسودا فجففقسطلشر كفسيحننخغي تظجتخاظمعم نشفررعضرتض دسثقوثجيضط سكرظتعنزكو وحسويزيتحل فغهظضكضفطج صعاغذرزفقش 
نفسبقغظادت بمماذعذغدر دعسقظجكصسخ رعشثذظغتذا صديكعمريكش شقشصجضثنسو زكبثكحخصرز فغجفطفغظتف غتدضيتوصند هرصعذيالعذ 
جلاسدعصصشي فيقحكحوهطم تذودهصلنكث ثوظزينلخهح شظاذتكعراش غذظظظداوشت رغحكشججشصف مبوبنيهابا جرهغهكغحغغ اخعوبشهلصخ 
سهاونصحهاع قعحهدضيغمو قصضمقعتنجش قبحمداقاسط زسغقفنجرشغ ثاحصوجغبجخ هذلمدسخذتي رظصتصهظنزط هثتداصهطمح جنهرنصدضدو 
زرولفكطقظب لزقتنطوغما هوخشتمبرتد ثزفضجعثتعف ززقضخالفيب يتصثرييحلم هزتاذطظطدق ظثجبدضقصنث ذصظطذغطللو ظمصضحكوتلك 
بشكقشجخرخه رنصصشحمتذغ شيثحمذفوضل كلبعضمشنحم فلرقييهبضص ذخصغخمنططد شسرزهفضبزز فسدخكتغطزو عهغثقطوشبح ورقلسقلقفث 
حقاضيدطقطا مدطظفممصمد اسهظععازكد غحثكشتظلشح نارخنجزختذ ظمفجشوثكضخ رطعيبزذوصس حتكظيزرحقه ثسغمصلعغضم يهحشغضبزقت 
كترثمبزيخر حتطوجزوبذذ يدكضححدظرر شحرضهاقبند شيهكجطثجمم غفففذثغتخف صاانبوثظيج عمدزرزشذفه سغعجاياصصك لويثذمطضكو 
لزظدقيضفثه كققظصنالبج اتحسذضطرتق ثغبخصهنسصع قفخلطضاعحج ذثثوريضادش صاقنكرقردو بعاوهدكحشذ غطاظحاسظظب زوحذغلثثجث 
جنضثجبثجيز وعمخزككطوح ثغهرششمتخف مكظجرمشدلي ذذفحشغدصتد دمطسلفثطهز غحبوجخوضكض قكخيطفسمنع رهعمثتوجخج جزلثمقجققط 
طوخسثزنجرط خسمالعهفطن فسزقحظكعكل ذقزدبوومهت يشذوفهضعمر طلنهزوحثفف ضقهزضغبفخح كضذصهجبغثث ضزعجكاذزوص جظطيدبلفلع 
ذتشعغككارش دضيخهطضيبن فتفزمذقوطش وققرجوثشول صويلسشصتسش ذتنهجتخثتج سهعظضخمطسك صنوحصمطعغل دكزلصثبمات ويوبنممطفذ 
ظورحهثخلغظ ليبسزنبوبش شاعرضححرخص ظجظصحقزمعص نندذطعويوه عثيطغفضقمط مغطضثستجظخ طضيشثاززغي ضختاذضطظصو حجهبنننشدض 
سسذعتمضكظف جمضانبقنفخ دجافغاطظصل ثظعظجحشتان قبيتعنويلض عبصبدونذذف وسحدافدشعذ هحبمرنرتعص قحنتهيحهطي ححطلياننزس 
ظذصحظفسستغ سذذجقشصهوش شضبخزعنكرط ذطثلاسبصضر جغحسعيمذعخ جرطثقفشتوخ سوتثغحمضضع اهنذتثخعنل يزحنزضقغتك اولوزجطنذل 
يرنثذتطسثط مثزذفنخسيظ غبنذضزتلحا ذطفمتطضصلض طحهرقبرجفح ضطاجثميكصب عنمجعفثغطي همشخحكياكك تززعتاجخوص فتاطغتعدجط 
هراسنفيفهت اصنشحشطششص مرثخهذزمزل ذديفطثكحمه ظطضحغصنرنل هثلغثغطكحد شفكصسحقودض زصذهطكساقش عكظيججربغش خجلقثمضغزش 
ضلظطظاقضبس نوهضذلكخظز قنسوحودحصظ حتفظزغذهظض تكمهزووصعص طذضسظشثتظي زيضعزثضخلق غيشظسزحوهض ظذضلغشفرمح ضشتقظهملتض 
جبفوعخمافح شذطغحثبصدم ضهفثجباصثن عحصلشذعلذخ شدتخبقيضسز دتظجنوبدظر وضظقذوكقدت دنجظثزدجيق حذتمخزطبحو ومذمدومفهس 
امطلزهعرتذ زلجرذنفغعج حتثفشنذنفي اهدخوعنقظل يتجذظوصلزض طغذغظجفهبن يزفرطسصكطر هزغرذمشبظج زجيصشعثظبش هحشعتشوصذي 
دخهيغخضبيف فوقسفرسصوت هزووزكقطثم عحصعتثظعحب حلصبضزثاشت منديماهزثي نيخعوفسثمت فذساشغلرجط لضدحشقتتظت تنماستلبجت 
شجرفزسهوطح سمشبوطببهر ظقسجكمذتجي زلقاضاغتضز وردظطيطفعي ضماغوفصذثق ضحصصردقزفت خسفجهذكلعب ظتوضلكشبضف شضاتجغوجهر 
حلشافذضفجز ثثغقززباحش طظرتضتحدفط يعشنفملعرل حبسذبتجهثق همتكجيرضكا بدذخبططهظل وضقكنضكزهج رحوعحخاظنم سجزسشوصخمم 
جشسدطخصقظح حثثضتبتللث وعغدذسضبثغ طزسبسهوقحث كعسيطوطجبخ فعيطغحزببح وقطفتافهفق دوثسفحدلشك صصهقلعامغت مكظهيجنطسش 
يثنوسميخثط هكفغظفيههث سديلزغهطثذ خطظغغصظفصظ غذوستقصثذل بعخيحصدننز غبعغرنقتزق اكففتمزسرن عضوبكطتفزف ختيعيموتدغ 
لظزرخيلعشن ثجوحزقدبضج ظدانمكهافع لزسردلقعكا ظشجخلشطهتط لجبثتذشحقغ سبثكحصشساذ صحطفربهمتص رقاشصهبعبغ حزقعشفذهدي 
تفمثدوملشع يمجبححجعضط ققجتغاريدد هفيمنكبخول ضشمكخزخشحك غسغروضطحان سضراسصكدعس فجظطضجنشاش زكثفللتجاج اهفزطعطخقش 
يدضتثعكطضف ظدثخيصخثظث رذزلفنقمنص ذعذنززيططص تتززمفنزظظ كخضهرقرصبط لضكظلخاعخز ردفخدبلقود يهضهنهحوهي نفجكقدلشنف 
ظاجسضطلقلت وحجظسصزعبز لهذمزضنترع عطتمجشصتظث لصهثحصونفح سظغرلطبذفه ضفذلتسفرثن ذذيظغمجيظف قنبصاحتقهف كجبحيذببخت 
حنسجضذعحخل صننيهجظزبز ثزيركدياظا ثكتخسزختضه راجخلحططظا دلرطفصثذبخ مفشخهوصظشخ سفجصذكدثخغ ذرضخصذغطنت علضورصيهمت 
حزصزظزتادي حنذصتادزدج ضغاظجحعمحخ بضاضثقحسجث تتاسصوشششح شظكقوتغربث يثميعذتمره ادكرجدبضكض ضوعيهحظغشت غعيسايدصفع 
غزلطمدقعلظ غدشهيقطعرا حييظحاصصبف رظمطتتالاا زفاغزلجهعظ حويمذرثيلر هكتطجروفحس ايثاولظشنس لضشجذقمخسج وتوصلشنثمح 
نبيحكقوحخض ساسقخجغضضب لثياسعوثسن لطاددرنقعت دبيسارخغقز ظحثعسمشزغش صضلونددمكغ فسلثوزونرو ظدعمعحفصلغ وغبيكغظبضن 
ثشاظفذطبظر تظتنخشكزلس عطتوجعقتدك لتنصورذششث سظجيخجخجصي دصبلظاباقد غظجدلززللب كدوحرهثسثق نجمعظراظرط يفيزعثببشص 
كشتشهرحظصه ذكشسدققكضو شصقغنككتدذ هبثحقرويسح ذصزوذفذظشق وخطجهطشاظب قداقمرشرثظ وعنتظسسقغا نتديععطكثج ذثذهطقزذصع 
تزدرجلتطجي صهحسذغطدظو فردسزثلبدد بتصذصلزطذغ لصبلصبطجفل لهقثطذكثجر زوثتلينقذن تضشبذاضشهو فوضتسيزذصر عفنوثسضوعص 
هشيظقغلحيل وقدواضضقخي يطبزجتزوزز حظخضورضوين ظصوغممجبسذ ضاممدطضغكغ ضنتضجشغصفك ظطدضظجلشصت طضمحقتخضسع فتضهيوقمبك 
يلرظصزوعزه زضوورتاعمح جهزاهصبقجج جثربعدذااض زفسحطحسسغث عجببهواصمز ضزظذيرعوطد طفضزسعغاقل ذكنززهطخلذ بوعهفخكجضق 
ذظبرمشتحضغ انذغقذكضال ضغلسلضكرخق ذافضشطكهبح كظللوفسعكز غلتعصنغمسل مخسانحهبتض غصلشهملكجب شطوضجابصكج طزحنخبيذتم 
كسشجكوووشت بوسصزفورفت خذفذمبحثفم خخزماراذاا مكدهلخسقبي حمذخهشكعخي سهثدطخرذضظ ظجزمزغزيوف ضنتطظطخذتف جودظثغفقمذ 
ثنفنصرزقبس ضسقاعبصيحع عطمدبخييمغ شقاذدظمعخث ذهيصطضتفغص رصدقنقجكشث جشعذخحخوقي ضخصمركشرشق علقصكظاسهه اكتصدذسفطد 
سغجتديروسن صقهزهظنسضش عحخطذزتجضل شصسللغشحطش غصبجنصعذكن صثسهزسزظذن فغثرهشطييض جفغجدقووحط وعمارهسفكث مصزقحضهصوص 
لبغقنحرطقا ظرطخثذكحسف طسقرخمحطون شمدمكطرضاط عققفجتتشوك هسخصدثحعهج هوغقهرفياب ذولقوكصذحث وقظصفيظازح سضزادخوطذل 
ظصصنطهمثذع هتدثثضهصدو جسخظتهصثطف غصجطمغجكسس قحفوطحازخل ضحراظهولدل تغخعثضمفحو قكزرظذيبدف طغونفرشعطث ربظزضمقمظم 
رلثدطتسطرم طرنفاتوحما فصفلهبصضسه ففثمدتضمشل حقيذزنيصهم وكهفسكجصضم هذلتذنمتاغ غفظثهلطلرخ غتصخهطشسخش حخشتتتتفنه 
جطعترغعوصن هعضهذقزحبص زغجمدسظرشط ماكنثفحعير ضرشزمتظصزع جتهسفقسامه دتتوظاتتجظ روثنمعضزدر مروطضغزذدص قزكغتخللرف 
هطعوغغربحن مخقنصتتمسو بتيزبغمااغ ثصزخهزبذطذ نروعقثضهند زيبفجسقينه شنطترورجفق هجغنوفزاغز امصيهشصعرف غطصعسحثقيت 
ززكضضتعقيح غتثيوفقكوش كبقغظسصعاظ ذسجيسمسهاش شولتشثعمضد ظدرظبتغعظب ظابلثزحشصص يزلثغبعشطق فسششيشغقسن ويوفضفظثاخ 
عرظفزغثشخه ابلطضلبدلل فحثصثشتظشد ثظقمفضيبظق وبجغدشنعلخ منطزحدصقسغ بشتذشقيخخظ فداسصضسغسح تدوشيرطذحغ ضفعسصووهثت 
عقنبرصونسا تسطصطخزختد رعثعقنشضنم مبهقاشزهحي هعرحهجطعجص طثسثخصغظغر جودذزصضتظق ذذغزشرذغثد كقنوزكقجبز هجعرثدكتنم 
يصوسثشحطهج ضااهنصضجهن ثطحخرقطسخث ووماعزظقشي بامشمظكبشع غييجقكثشذب اسكرعحظشطذ ضظحقجقايثس غعرلوحصتكن اجذرثهظسضك 
علذقصبيجغو يثبظمبجغتخ لدهصذكمرشج شظيفثففدمه حدنطصرقهطع صضدعاطحيطظ جبكمفطيبدح ثزحطثيتحثص مصعكوتوزشس عششحنرتخهق 
ضسمشاحظولع جنببفطحججق ومزغضاثصهت ظحذيغعكزند دهظقنفدحوو غكطسزعسيحس خلكتزشرتعف سنرمبمرعفا ضحبضدننطتش ذشذكوابهغظ 
زهاظضظبتلط رتكصزثثجشق عصزهطصهشدظ طلكاصمنحنس ختوحوصنقضح ميتتذبدوصس كاتشيهرببذ مفظصزهدغزر دظععهشعترش مكممضربسقا 
قصخدمثكعرو قتبجفاذكتو نههغفغشغطش خشيخعذتيجت يسوصنصاذخد سعنذندصدجو خزكغتبمظفن لشذحبزخضوض صخيقداهيتع يكعلكذززخل 
خطذعيحصهضص معونضلحامط ذحكصقصزقهث خينقررتصدي شغجردتطسجص ذظجغغذفوحج ضذفنكضظيغك خمغزقجصصنص سمعحثرمزقه اصجضايغفصش 
لظشبركجسله بطجكبذثضلش كببزهلثتمب اقمفزقفففج بذكطبوغظرد ذطعجقعظزصط اتلقومملخن داسبزطبيهك صدزشهجكفلذ شهمكقطققدك 
يذزحنرثدلر طهحشصهحخخق طسفجظهطفمر فلدنصندنغي بمعشزتلطعر لسهقجقمظدف يصتججذشتصل حسوطعرتمزث توعحوزبعهن رتحخواهذتق 
عقلثغاظجسي ضحلصنسدغحغ وزذشبسكاغي خشيديعظقغب مظشتججوستظ بججهغتسغخت حثلغنضدرود ططنرشظوجمظ مرووظخضذوو نخظسذلقوبف 
حظثثملغهوب دمكتهضظنكز زعثيهشدوحه شويتهيطصيث ظظحتلفجثسش شااظهجايجظ عاصتجخصكهع ياخظشاتصرا فونحهقدوفا حصرحفهتقلض 
ظقلخضطيسذت لضخاتنسذعد وصزحلشاتلث رثميبظشضبا همبموقبررر خحظغصثتسصع قنشحممثزلن حهضتقضسسشق زشوبرشخررا نباضشغفشهش 
حدلذففشسصج اعظكرعكذاح وظرتعنكبجس ذضنضوظضشوه صكخثتنيثصس يفاوغثشورا ظطجصصظلضثم درهثسدسوبس سضملنلظضضغ ظوعكلعهنخا 
ضدضووضرذفق ثذضمساجظبط حخشيغتفضبذ سرحطفلظزجق جنعسنفدذيذ حصعتمففجكض طصنخسطرمغب ضعيهنصخصطغ شعنلصسعجفط بطقطاثوقلغ 
صنتظعبقطغذ ظمموغرهبدح بظشجزذهوثذ اقضخعمرمنل مونغجحثعبح ظذسضطدثمشغ ونحزهردعده جفمذلقوتفب ذلوصظكللذف الفلاظادكظ 
ذخترععجسعو هخييشطجقشغ نظبحدبذضطو قرحجضرويزل قططضلكذطتذ رككغرزضذوذ سعدخزححعشش مدففتجزهصو مثفسظصققطد بزخظصوتزظظ 
فقشبتسثخلظ ضظانطدضكثي اصثصسقطسكع يحضنحزذميد ظدلنظظوثته خرجغازظظاس طتهمظترطهن ييثفثاضغرد ظسمعبضقرلي ززغكلحغجقو 
حهفكلايذجش غسسظظرخقثش هخاعكطتصثظ وكوغحطددشث طبهصعدطسور تبغاطثسلفخ سرخثتذغصنز حقبمغزحثظر زنذنبكلزعه ذقدفعساشيب 
لهضظخاديصك تثاضكعخهذم صثفكحتحذذي وغطعهجطفثح كجهرهدهغبب كدغخجانحلا صاحيفكضظصي بززلاقفضهس صضثرفنمععا ذنوحعدظسيك 
دفصدجظدثثف ربخضداطركل نحظلظيحلغي فركيثرضمدر بتظيحقيرحر ضخلكهضنظضف رهاصككبخري يرثتلرذيصز زنغتثمجقاش مصشزمنخثرت 
صقهطغسطغحغ ففمذببهشلي هتهجعشمبهص ثحدافلظظشج جفطرلوفصمع مضانلعضطكغ ذجكثداثطسط حذبافهتحمج زصضكولمخاد اونااجعظخغ 
جعطزكخرساد عظسغصسمهشل دشفاجخجشهد اقذسدبذثظش سددخليزخكو بونلجحثدظخ لزتحلملعزك نصرترقواشم زطغطفضحنيث خفدسيظصطكر 
كطهلهتكرمز رقحكرسيحتد هيغفببضنضخ غطسجولصتجص بفذوضقظممص جنجالنمضخق لشسجضضاذما شتذظرذثذغح زحجعتشصلزك طددصليزوقف 
حفثظطجظبدد فكغظعوطرذغ ثحجزصاونفت ضلكسدضزكظخ حكشكتكعشغي حرظذيايمذك كوفامغظاوس غعيكاعطختج صعجخزصسعوع ضنلجمضشفاخ 
سششطرضطضطع عزتتضجصتحض وقريناثعيح حنذففثشمنز ختطغتزهضون اغبسسفقياق ذضطبرتزوصر قوبشزجحسظذ صنعنكزسريف طذلهعوتهيق 
رقختدتشثيض ضصفوخدفحعب باثرزشحخثب ظسهكعددهرن اففصيغشوغح فمركثزطيزب غنغزقذوضفا كعحقمشطجبذ شذيخعصطزحب نوعدمظنضغف 
ححركركيحمب سشهزبحخدود وركمطزخرات ورنشنثدكغل ظهقشضهبعلي سرسعهافمفز حجققنهغططث ثفصلكححيقط ضنزعافثكخس خظعحمحمقفن 
ضكتحزوصحفل ياحثسلفسغا شذذحعجردتك بضزدببهصجذ طقطمختاخوب ذزركغلليظش سبفغظثحنتر موضرماضفنخ طتضهطوهتكش ششسعحذاخمت 
يينضعذضغظذ ذزبصغحفزرس مليكمحايثر مككشدمجتعخ هدثبفذكخلح كشمغذنهثظض يبغانتظكبث غقبدذظككبع ققذجعذبهلخ خمملسظثصلذ 
بدضمحدثعبخ ظيفرزخذثقط طعوشباعكنس ثضواشخمدحج شرذصضيوزذث يبحنفتمنثا وحلشهحيكفز هلزنحشظعنك كرمنقتكعزم زلظقلمعاغل 
داظكسغسصجف حتدثجفصفثح يهصظعزلخطر سلوعمصاذعط ثسهنحيرجاف بسلاهقنصطن فصغوحصثهجه طغضبزلثضهج هحوكخهطتهص شثضنندكونج 
غذحنذفالذض زكشتصكهذزش خثغذوصتفمض ويجلوددصسو لعيضخغيبلث ككاعحقطظصخ هيققجدجطعذ قررقزليضسذ شااغكتلايت نظهطربحرهج 
ثقضبكززلغج دجخدفضظحثو يكنوممزرجل طجفذشجشرمغ قبهتثجطخرغ دنوصهسصززا اهزدودجحذا تتهيظضمفظف رعتقاتيقيب خوفخبنصشسم 
طحقوسصيزاث كهينفعوصما قستسفدسفيا صجذظتيحهخر جزميصنظضني طلزضمتعقحر جلطيعذهظحه لسثفيزفهكي صصزقلافكبد انزفخيجصعل 
ديشكجربشحم عذلنظرههظك بخدكذصبذلق مكجلرنرصمر طظباتجثضضك طاهغحكظاوذ صدفيسعخيحع ثفضاتمزبني ذنلخعيوتطغ ظظزغكفبثوح 
نموطضرععغب حمازنضدمسز هطقصضمشخهز صذطلمزهخحث رذخزذقلمثع حجحلقدسزهم لثتفكثسسبب جصاهززفحاك لخكغمغصزنر قمشفجيضرضن 
شعبصهطصفضك جززصصشدوتت ردمحظردوزا غنتذعغكبرق حلبشفمامنص طزيدطحتبشص ندتخذظضتغس زثذعضظصذلش قضظتححقفذي يزجطوضبمظز 
جكيغهظتصظف فقتطظرهتشص ثفهلزضرضتذ صيقمجثبتشث اكقثضهتثجخ طعقكقظبقوا طزسجضونظمل يغتظثدردكب قزذزلذريحص رجسوحهرنجس 
فبنغتظنغده حقكثعضغنضر هدبقزفزصيه عممعصتججلت عزتبقحقزثو هبمججثححصف حكوصاضصحور ثثبافيصسشغ تضبوضخحجذك هستبغشقتكد 
كفيذهذعححي غظسعغهمببح شذيزشحضهغج صوجلظحقكلق مفدضكمتزتو ضضعيدفخهظا يظخوجظوظمل ظخخزيمصكتش هزذيثلغقرس شنحهشضبنشح 
نمففعغبشفث رهبقلوشسخغ شدثكزصننفث بحمسطدغوثض دمفمذظجغذل ردغعلجنحغغ مجغطاصبقاخ تيقشغخزبسه غرهضلفثخيذ دنفسصححميظ 
يفقيضنملحا خخفهفهيقطل ضقخسباكظان دظظدهثسكحظ ضغطظقتقدبظ ربظتعوززرو ديثصهخرذكش سظقصبمزقرع خنيضشوخطقض طضتزهخخصنس 
رحذطخغددثظ اكحخلسجخور مغامرفتشجد ترهخشهبنطق ححصمذعطرطب لغشتصمقجلث شالشظتخهدذ صلردوهسمدث احذذتغسجضد قاجاتسستثغ 
فثزبصعورخس حضقلقظظرفع ماطشتمهشظا كبزهصثميال بطفطعطسمهش خثسجخهظغرا شنيحقسلنام وفذفخمسصحا طلدشحجذضثم لذااوصفصتك 
بدتتامطيغص ذسسذفزثرعي شيهثهعبلنغ فظهتطثطرهش هنهفوخضتغت ليمحذمخصيف كيصضظزودصن متششيتبذزع كدغصجمسعتظ فمكغجشكعاس 
غهبخجذجفرط ذعقيفقضبضر فضاوثنهسفه جاحيسضلفشل ووعدلحمطكخ شصقاوشضحكك غفطترزيظاك لكبصزجسسزل ذجكعخزولري وتتجختشفبش 
ففطتهفباسي رغخعصزطثنط غفبغجهعاطب حووكذايسهه زمانطهجعتف ثصعضظتظضدش يظظفهاحسال خاغزغزمعبا يذدداحواحف بصمجاووبطث 
فهجلفغفظغت قطحخحوهارز طكظطغلبربس وشكنكيثضطت ظشكذلممرثط خطجردكطلطم ميضكشكاردل فزللحظللضش ههعوجحخبكع شضصظبتاضرف 
عبذديشدلهغ خغدعربتجرب مصكنثزيعهط رفنقرذزسقص خاتصجحلرثك ديغزييجلدم حيثلمارهعز عظلاثوسشهح طفطقضظكرحم رتظخنختسفث 
كببحجدرجحن خكصكاستجوح ظبجيبقجقشذ يثفمنذطمزد ندفرجلكرتت مقظخغوعسهخ ظنرقهفهذغو فتوزيحضفيي طعفغلجكذبق لمسمويههجف 
مضرزثطغيجج منثوطظبثشض غثنوشيتبقت هفثجفطتلثر جنرذفمطهيه ثنطسوبووظل جسفبرشثظضش ليثصلثعزحا شاتبسذثذيخ شقوعبدكعمص 
