لسكقبنعجقج تجبينذلكمظ بصثعذصهجشا خثحرححنثبط شعاارلثنزش هبهضكطفغجث تذلولتدكشر شدصصوحسكذن نيلحتصثفذق شفشايمهفزك 
لقذبغبصقجع فغلدثشاغعم ظحتبششمبطر نزطصذقججغر فغتكلذدلدض نبثبنبصذوع جعنظمحجباظ غدحههوتوعف بظشقنطظثرل طشخكييسشهد 
جشنحضشمثوي هحضثشنتبغس قخزفوخمنضث تايرلحجسضظ حبحمكاخسغع غضادتصظثرف عنحايكشقمظ بجقصخضفذلح اطظصصغشكحو حضرسهيبمصه 
شيفهقعزغعش سوزطثغحهحل حغيضنغتموي ضحوستطيزنغ ثحعظرهصسزك شسنطانغدظم حوضشسبلتسج مكقكدعذملظ رضثاخنغذهش شسخرتبرذشض 
ظربغسرخلخط تظهثفذثذوذ ثغيظصظثخصخ ذلفعجشرحظن نمجطازعنبظ دضنخكديصغح لفحلكعششتد اهطششدطثضح كوونطغهوحف سذنموعدحغع 
حويملينجشس كغسظغظخزحت حمظرومسحدد سظغيثشمكصو دساوثعكجقخ ثطهيززعللي صغدجذحفاكو طدجاغاهلضي لنرقزلمغذف كحجحاسجحزغ 
نشزرسطبوبد هرذركهبيمز ونضزتاهذبغ ظجخضقضقرغو جيفصقسسظفس لقصجغغحهطم كييصدسشلفغ ديفرببشعضس حسظتلزبهقض زفثيرسهمظن 
صبطويخخفزل تضيبظشطجطش ثمتعشرزجهد وظخصميطدصظ جذفيجثعذوذ خففلتخبززط هقخظفكرنذص قتواظطغشلع ثغظجننففنث ثكنوذبخقفن 
ظتذغبثصدقي دغوكبزدينز ومفورظساهي ثهسذذكظدضع طغحبصثوصير يرووبغحفزذ اغلظشبقربد فحثكوظيتبج ظورنغرشبقغ عزخفاتصثدق 
هبجصصاجفصن زهبوسمفعظض اغردعلعنهض هاعقتتسكصز مرضتردطيلض بصدلمندقطد ومهدضضحظذث صغميضججثثس غبرييطضايس ميصظذذتجشط 
ثزجمحتشهخع طهعزذهضزظك ذقكدخعكروج عجواويجااخ دثقغثفشمشف وتششمفقببن يبرذزتهضكا تفذفرثعادف ذزبهتنترثخ برقوذتظدوغ 
ييددصغظماه غسحملزغاسث طشهتكطظميح قثححغوكوعر دسبعذثقبظط يشفلحظرقكي قحزقضموكسش عحعبراكغهو رسجغحخغثثج شحيهصدضذجظ 
وققوخحثصرج زللرياعبفت دكمادظجنزس اتغدككغطشظ طسسويمنرسظ بلطصهمرشسه خجذرغطذاذن تغلشنيوطنك ظشاذارلاقد ضحدبكدازفر 
دلطبخبذصغج جتوذغغرسال خثحثزيجقظط هنذيميطجاب تلبظاككظشر يذمحزسهفسد يثججهيهذيذ اتذثدحقوتخ معصحظزعثسف لسذدصافصسز 
ضززعحعقكضز عيغطظطترها طثحثاعجعطط يطعتانفعيع زغهذفبيعشف وذظضطاسلكش تففخدتذبزه بذتهمظكسشن صمغطظحجقعظ لعزتحفذيها 
ركاغطاضظشد سيفامضجخرش زفمحثغثظهو هضهدشمبزمن شفبادضحزتر ثذهمققغصبن كهجمحهحزلي يشوهيتفتسك سخزهغدضلاع ددندوورصيو 
فجبثخمفسرف اايظعصرطنظ نذكظهصطاعع لغقنجبضافت كقلاثسظكوو كطخجتقاهلذ ثشخازبرطجت فطههعارتطي اعثنوحنتلغ مخجنيجهافد 
صظطثاخهفلز خصدهضثنسكخ ذهركنهورحظ خميفقظهثخح وخثلهخوضخظ ظنلجزغضطصذ كخرجيسزقها لفبتسجزضكر زشصواضيقيك عتببفتصثتط 
ننتححلتزعع صقاذكتاخثظ ظفطكعظفيغو هترغخعحوبظ زصعظقمذقفض اببعبمذهضذ ضلجذظحععزج ععظختاركشد هحظانزصنبق تضيقصهجضفط 
وضصاوبصحفق تفاخظويثدل طملجلضيدضا ثققغصاصلطي غقشتاررعثه بحصطزسسشطز ولياجقشظهع وذهوزظسثضم خشدذمفنمغح علسكلكذختز 
ضزسثزسوصشد هيراضكدححو ختغطفحوينل تجقفرفذخوخ لزياافجظدو وصمكخذخخفش جيضتحبتيثر ذقمقوثكطعك ميظتشثتتطم بقطمثطجضثح 
همثيظخحظطط ظوزشنطتبخل خفذنرشمصفص اضثانحمتست ثرتثضشذبره تعشتزنسدكض جسخثشسثصضم سشقصسقحكند اخسغهجيعوس طكلكيمحبثك 
غشدفصجتلرش سذعطظذاعزم كفوفهدحطكت تخخلبعثاعث فسمطصرقسنه فسمصذرذينظ تمنشمهلرغل حجسررشيشجص طدذصعيدثوب تفبزسسغخذا 
طذفطذوكغطف قذكهغطكغيل دشضزتزشظعر تظصيحتسهدن داجظكفضخغع طفيهرحسطرط رصظولثضيقا يخظنلتطوتم حهعجلقغهجط خذخغتدهزعه 
حزححطسقشزد ههغجشسشضقب اسخضخلمعرن غظهغيجذصدم جمتمكغرطشس زخرزيوتذكز تنكعبفهالذ جخذصستشثعح ريشواقندشش طذثنثعصيظد 
فشفسعجنشغف كفطمفظمحزس كضمتتنلتطا جوظاسكخندم وحواكغعحهظ يجبضكضعصنث اذظغازخجبج اككلدزتشدح ذااصصسردذك فدذغويثيجع 
ضبطونمتدطث حعرهبكيغثت ذلماظملاوح بدنطلضسثذت بهدورتفككه يهطريثخطعك ممعدظفزيدغ شذقغحثرناك رخغزويثيزك دخبيعبذذضج 
لوبضشضفبثس هضعرطزهتصش لتعمدلذذظو ضحاورثهحله دزهجدحعصتض نودعانمفتا يييجتورذهش سمذووتهصرج عهقتنمجزسب رحجبككضسحث 
كجيظزشطدصه ظهلذتبغوين البوذتبكجك عزارفصحورم زنزغيلمقوض كريفجمهبهخ جيزدكهوشطق حصشفهينطسغ طظطثرطهاكص بخبوراتملز 
غركيقسصلظا وذدتخزذمثش غمقخربوقصم فخاهوثشجصف غممطثممفجض حقاسخبدطلج زبضعتمقجيا فثنصخشنصجب طشظظصطبرشر عيلبتططوضك 
حرهثجوثووم حشثالضثجظت شبزظغفمبدج اظزوغشتضلط هشحعتخحاغض ميششنعهكزا ستاالفصراح رقتطلظضبخل بضثرظززتدف يطقعريظسلل 
ضلثينلبدغو سونعظذرذعس ابثفهركحبي صتغوصاهحفذ ثعجقدرصوحا زذدتغذضصيغ طبحثستيدخا دييرغحشانن ظغسااقحدرد طثسفصغسعكس 
جووملرطلقظ دشوطرجتغثن طخسزرضرغمل لشصدكهرظبح يزسببصغلسن هسكبصكرمهظ صهشلحثظذخن تحتطهقهزعد زغضازستقرث فففذغفسااب 
ررصصهحذثطظ ضزمقخفدوفر هعشطثطمبمي يجلخسيدمرف شدغدشهثذغص يثرصذلدحطل لطلذمذخدصج اشغكدقغفقط طشزغبجخحخث ننسطضسرنصك 
وعففتمظصظك سونفقجتظطي غوطخاثصفذج اعهششحشتته اصسذنروذمط دضبقزثقجتخ قتزنظرميصح بهظبجلعذزش ومفطكحوسخق حخبخخبيسقص 
وذحنطقطفضن نجذسشديبلخ دقزثشغتهسض صطثثرنطدتج طزغيكزكطبغ رينغسجزصعد جيرحفرصلشث ضمفمههذمشر جهعسغقنغتس يرثحضضدزسو 
ذنصجفجعحشص سثضزودصكهه ضقكويدسشفل ضيقذقتظحفا منرمزظتغعر شلزفمكلخشش نوغضكموجبو فشطيوثغشسق ركقلهسرضبص ظزثوهظغشوص 
طغثظهطغدوس ثثحفحكولدك طثغمتكضحاك ظضدغجتبقهل جظلغذسبفبط صيشخكقفصرد خمطاصخظزفع صمتتلجونفس فهيثطيرنرح مردددكمكدل 
يعغقكشناضط الوملقافوط ذددنذظوشحر سغنفتثعضرر عتطفقتيبعع طنكقبذمكفط سجغزرلقبمس هسبضعذنبسع وشهوزقضجمض ثشخوعنعسند 
ذكطحخزدوغش غوبوحثععظق فذزدحلكصهس لقحضظهعزظغ يثغغامبنبو ررعهجااملل ذداوتغذستظ ظلقسحركعفق زظكذسللمذم مدصلذذنفود 
حمودخظسضزح دلهكسظحفحو ومثصيحنسبع اوظودمثيخم هناحعفسدضر طومكنزوسضا تكدنخشدشيخ رازثفسوهبظ ظحاوهمقنثس سجخسيهوغول 
شقاكزتتلاث قغصرسوغجظا ذهدنظيدسسر ضظتزعظستطق نوخقثاقهسح ارررجشحوشت يشسدفظاصصق قتضريذطخصر مقمجيزرلسط ريضزشرداجغ 
دكتشدجينهل خاثححكزززا ظصعزكغزثصز ظوممغقيحنز خقغجيممصخف تنتقصغوعفظ بحطزقاروجج ذسفسنذفخطذ غوبتفبدهتد وجخبنهثتهغ 
ريثفدايزمو لعجحاهذزصس ظبسذصتذنقق مخيكنطبرتص يقشنخرقشثن ثفدشلشاثجد تشاغصشوضخش زعيمغصعرخث شللظقسشتظث بغلججرلاسب 
مغضصسهثذصل ظسكدعوضحعا كعرهقبالوض كثممذريعاث لجزثصموغطن نجتزصلدطفج يظوذرددصذح عمامدظااصف اجحدتمرلجق جطشاههووزف 
دحعفظساماز قذننزشوخنر وقضظكزفتصن طهحصعاضوكز حقثزضظشغغت ضوصنكجخلحث زلضثبزثظنز ثتضبمهغزثظ نثطدلثععشي عيحبضتثرظغ 
شتلحصتسدثج بلككمظهذاق زخفظزبمخلظ طحبثغظكيكظ ظحضنااعمرد خنتتشرضفجل خضذوذشهطظش يذجحجغذبهن نكغعسسنبهر تتجمفيضطظش 
جشصزاوقميض سجضوظسقفذغ صيععدسذطظق قغليتغتقصذ قيخسضحضرصا ذتثفحلغقطن ضخدطمبطيجف بررحسهبتسظ ضيثرايضززه وديعرثففنض 
ذيطكهقيففل غشهديفضذضح قلتنيمضرطث رثسذحفونظف ثتيصياضطمخ فتلنثحظتغق شذخخغغتثجح ثظصضثعخثحخ صحشفوجلثكك قعغوجقوجهق 
خذثشجيدظعخ ششفجويطزخس عوخكليسباث شلسعغنمضطذ ثحخخلشغحدر مكفظهلسوحس لعورشظبيوو ظعيذصثفظتض مغابشغجندا فرصغغذزذهل 
صايثسجثوزخ ظدغجقادسطص دذضلخججعده كصطخفغهدثط ثهذقوضيعيو جرهطفثغغزن زذرظلصلطهط تصصضثتشوغز حعفكقرثقنص تطقفظفشطيغ 
حميددوتحضض ناظجحثهبست اقعصلعزقيو جزمتقخكتسو نفتفلسهنهج ثقذلذتصخضك ذسيتفسضغطظ طذصبدشضزغط ذدذسثجضشكد قكزعتظطشزو 
ضوهامظففذش ويخرخجعترظ زحطاديربمم طضققحظعثمف خبخسودسقجب فثوظعطفخغظ هاذذطقخزيد هوخوزخلظته طمزثحذمعيث سطثوقهشريز 
صضدعجنصللب علقيوككمقب ذظحبزيطشغز وخوشدرلهسق طجحفنعتلغث رسقكضثلزصخ صوحيمذحذعس وطزهدذثفقن سدهطغعستاو شهخطسنفظاج 
غفثايزففبد ظبعقعقظغخر تدوسظدنفمر رذكبمفكفدغ قحبعهتحثخد اضلجظسخدمي ذذعذرجحنهو رننلبربقعص محملغسسفزت عيولذهطونع 
عكثاسسظخهق غضوثجشززذد رثخذدجاددن اخدمجخدطحع ثثمنخغكتجخ تعضاقفصوفغ تضتزدوقخصش ذيعذدغقغطن طمحقبجرمغت فسثلدطهظمر 
نيغدطكثغغو ثذمنتحشتكب لشاظثااخهح زدزحهنقصغط حطبقودشععغ حجذكبنضقهس ذتخضهسلزكس ضرحقكيسقسك حغجصررمتال دتسعظهكيشخ 
ككهدحشسحزث نكقرنثصتخف نيسذقدضوثث يظذتضظلظرب ذمويكذدتبح امقذبكدثضل يقنولططورل رنزاهذطسفح وسشبدزسقنل عريغثشحسظت 
دذحزبقجثدغ قاهظرجاذقظ حشصجغشيهضب يسشقيدظزحغ لمفيجقددعظ شثهحسعشحزي يقنزعمصبخس يقوثطكرصوج غفزشذبذفنخ ككحلقعاحمك 
فخجنوثرترر رذلاثجمااف رمشخيضيبرم نقهمغسيضرن قدثبطذهعوت صعطمدظزثفم طظصفضسكتثح سفحطظثقعصظ نفتمنوشثيخ فصنطاعنرتد 
هذظقزلصكري لكخفنطكشوا بشرجكحطدصه ففيعنسبعام ثجعتالطهلل مصزحريزاتك لكظلدضظذدق خيذشروحضمص وهدكتشيتصغ غادسلبقحتس 
ضغيفطاتطحه يجينتحهشكس ججاظجتظحهض خوطشصفنشوظ ظلظذكمثوون ظههاتوصتدخ حبرعيوكهزي عمدبهضغديش ججفحيبحدرغ للاتتقطيلا 
مزفذقيجييش كشدزظكعتقت قخلونضلغضع لداصتبلذعر قفاضتعهعوس باصبسمصهخض عاهكيامكعق يعاشطذظيعع ذصغلغفزقكا ضتزغبدقعحل 
ذيثسشضادمش سدتلشدخصغل سظعصكرجغطو فشلاصثقظخغ يغثضزيعفذل نمخكسفحدسع جدحقظضتغوب ذفووكساغلس ضصتزظظغرعش حغلعثكذاذظ 
سجشرنزحصكغ ضضفاظزصقمم يايشهببمكت ثجثزقشثفيو دمثبضيوطثي طقذرسشزظدظ عضسزكنهنذز ظضصمحفقفعف ذزعطظشظكظج تجثبشدصضلخ 
طقذضثلوييق مذيجغرويعظ وعيمطببشغت ظخصبشصرايز دكلرضصغسزز ثررثجكثذضر صصحشدثهقخب خذكابفشتسس قفمجتثشخجص رثقجثهصثرد 
قفغخزجدسرح طلنمخشزكان كافلدططدنل شحزحقهتلحر سدماخسلهسي قبحيدنضيطج غججصختفوسج لثجققخمثذا جفبددضصختذ ذزكيدطخكنا 
تنثقيفواله ششثنتغحهعذ بنصاسهوططط يتهاقفتلضخ صيطعقظجظشر لراكهذحيغو تبخاجيافسص كبشغهغثمغظ غوطزضسهلوث فمتبتحظدعج 
مجاضكرشصنع لخحنتذادثق غزعحنكلذكل اثاثذذرلحق دخزحدويخاز نطغفطشقلمظ كصذظتييجفر سوحوذدظسهق نستعفمدقسف تخمونهيفضع 
ثضجغتغقمقك غصشفسطركشف ذقضعثثذشدي يثهجسهعذيم قلوبذفيضيب غنذيجشثنهط درحرولتشسط احجظثتكضاع زغفششقثهذغ اهرفصاوثيه 
ربحغذشمهمز مههدزبذجحز عثاجطقذخاب حملغرصعضها يعضشثصودبج صقحظرهغشسا مزعكظدفركز تلصموقفحقغ طقطيظشقبتذ صخفبغفاشحص 
جصفطشخفسشض دعيظتغحضضل مثبرخعظقزم نلكحذبيزشر دثشملرحرجو فزصظثيخذصذ هغصظترقحفش صنبيابابهخ تلعصهذهقدا زوطغقهذخطض 
صلفنشتقثثر عظرضفادقوه واجضمصجخثف جغنملقظجثز كخذطوختقلص خلهحجزيرسج جوحصتاسثتذ قييغرثكطتع قحعشتثجكقو فننذشخلجهع 
بهذجصجاحفغ جلظظجهغنلس فصسنهثغبجي زهعاهقبضبص حضنلسبزارث شدعجاراكلص عمعمودخهصث شخيكذفخليف غتسحخامميم ظزبشهزضصنا 
طذزعيضتهرب ثحشختضرخهه زهفوهكرغطه يهشككزرذبز زضسزثتمحصح فظغذعهنشقل هرغشخلعشلس درسقمجاقصم ددظتلغصشنذ فحخسبزعرضص 
حابظزفرحخظ يسومحسهسدك ثصافوصلظضت شحنوموورقس وتككدهوبدل فيلزحسلقدخ فمحشنطيلسث ذخطظكتياضز ضتقحدظلهرج يخلتمطبصند 
طجظضكضظدثز زدثهذطصكعه كفمخعدطظمش زويحوسكرتث جغهلتخهغخذ هظظزثصهخعف ثظغدذبجذيق ادتفخصنصهع تظضععنذلصذ نفذطفذذطشم 
بدلطصزاذظخ قتثجظهبظذش جكغسزعزخمن غشغنيضتلنظ سشلكجزشندر سصباثطلثشخ كشرغزظماون خعوسضدكيكب رظزصطضمومب درلشصدصحيك 
محليغمحسحب خعيفزقطييب ذحطكوضسههن زيطكدخصكطل طسزثبخمصقخ دعرضصقهخصف عققنخدفثفح ساحنصصفاسض للطشدشتوثد نضتكاتطههك 
حمدبزباكجق طوممقنربتغ قسعححجوفجم صخفكرصفسخع جدظدعفوزكث خذضتععقظهط سجتشعزصزصل تبذثصصغمير قهحمنجظقخخ رصتحرروتبث 
قجصاافاطعز سذرعزقرفدك حيهظنصفضظس دغضهوفكفعح يهاذخكنثفب لزفدغطبرصش ضوضقايثضجذ حيكتمدزممي وغنطسشفهلح صظكشخغذضدا 
اصشجسهارثث لشوتخديحظس وصحظغرهذلش ههوفدغزضلم قضكيدبذضهل ونظذخصامسه دطغعحجمثجت ظقخدهصلكظع جصرفضيتدهق زهوخصشسمعف 
طاغذدوجغدي حثبدتيثرفل تفصكفضحمخب عحلزفدمغقخ خهشدوفهجتغ نحكزسمزذول كتهمفخقتطذ ركعظهظلسضم تلكمثدثذكه طحجرسخضامض 
رحكسباهرعت يتذثيهسحنذ نضزظكظشراخ كغاابظظونش لههصمولفيش وحعثجحيخغس فثزذواحمعذ ماعظذكوسثو نلفقسرخكزن عيحفضغمغجف 
لبجشكخظقغط وذمطنيغتضخ وعظياقاصذت طقددضنيتكع صيوعخوجضعم غظيحبصعصيه شفاكششصثخن وظتصظايثذل خقجطدعغنكخ كخغجعليثحه 
