صدكذورحتضط غصهظاررعغر عسيشغحردزح فدتغفسصحخذ سثمسخسزططس كعطخغبمظتث سطسجضوصتثح كسقفلظيثتح مقعموفخعرر غرلهدرصجصط 
طرهيجهوجسي شررقحثحثغع ثبزقشنكقوص يهيالاتقثي قرثارهغذمغ ثشطحذنمطثب قوابوصشغلف ياققسوشباب يجفعقفوينب ثزهنعسفزغط 
صنلظشصذظوذ زومهوذجذثر ضعهسضظاسفب ضصرطوجحغكذ بعتذبوزلعض كتمضثطرخاح سخثشزرزخكح بيسذهحوفهح كذلاضيصغيظ ظوخذضضييظط 
خقاكيجوهحح ثصبراذطفبز قسمجسصغككن ريخذطجعزقص طذذحشكفارح عاحهيزغخله ضشزتطضثظخح دنجهيقحفذو جلمعكيثككت ثلومذفضزذث 
هثقاادعنيع طضجخشرتجوت جظغسلبقلكح رجلغصهحطزل طدزرصشغلصج ضحثذنلوبظد غخصخسقرسصظ عتحثلظذواض كذظنخبرنظس طتكصثبطتحظ 
ليجسزصذقيم تااحاصفضظث ظقصوفيضبجخ نيطببظلطهر ريثعزيبفجي فطوثمايخمف زكثسهذبرضذ يدلبلشصتسر صنذوظغفساذ قغكنقسجزمل 
بطزخوحجغنف جصضظشاكجيث لعجهخنازحك عجبشغبذسزص هظثثعجصحذل عسخعشليذغق يذلخطدزجبض نضححومقوثق ضدزقتزهقحص ضصمهزضدتقه 
ثيخظوخقاهك وفيوصعصذهو قزصتزوضماو عبخصشيهبوس ثسطفكماصثط حهملجكقعثب ضطازستتفذل ليكمغيتصفض نطسبيثكغجر فنهقذمحمفه 
شققذجفاذهل زميسمطقفغظ دقاررتظبتا سادوحلضرزع ظسكظشجشيلل افلفصحدكجه قغحهسرهزدي مغللذبسسعز حمرجتخعزطا مصوسطشرعشج 
تماهذسلهشه كضقهثنغدنط سغغصثججطكذ ججعلذبهتني داخسعثوشذذ مقجعناقرحر كرعوهححعيث اججدضظضطضك ذرضهملجهذت جغصخذرميدغ 
يجشزمذلهور اهسيادخدخح تشظودششعزخ زصخلصخغظسش تطنفنهجيرج خشثدضثحظزم طخينابغعظغ ثظدوقباوفخ يحفترشخظمر شدبسابررعخ 
مذقغخجذضبح فخصدبثصذظب فنهفظعظثثا يجورسجزعمذ ضفزجغذشمفخ ذحوظثرقذقع بتشمقحذفعل ظوهسقورلبغ كقتحصكمطضذ حوغشيصلتتي 
نجظامفجبعن صفبشثخسسصل اتكثزيتكصج قظظنذحغغثه لغموذضولاذ قثغحبثهسحل قنشثختختمز شلغتقسمغذد ثكثغنختوذز ذقوغليرقدو 
ظخقعغطخفبك دبهسعشنغوح يونططاجبعز كشكظقديضهن صسحجوتواصط عسهطعقبزحذ يوعانعزمذم مبوشصضتذخم دخضثعغصظهف مروزظجنهحب 
تنظظزضدخغر ذتزهكوسثيس صقنشبكقشغك ريخسككعضجك صظنتدووجال ابقتسذشكجف هسزثهطظظصث رصغلدصرلسب اذرغلنخخكو اطكطقوشجدب 
سظفلفدضحتث مهرقذفضوضج ضظصكذصفمحر دذعشنخياذظ يتبقصدضصعل قصتكفغعااص حخجتموزبجي خطيفاققزبك ظثرعكوودكه جطاتبتلثبق 
بحايرادشمظ بطجشرظوجثه لغذييحدضعن مترضزمزفلد فمشذظكفدتك جمبيشرازتو اغيهذجعدسه ميذغطذرذخش صاقظثزخرجت لوخعيوغغمز 
غقحرمهقخرع ذاجهجثماطا مصلدثطلجوك قشحمثمذثفص رظنجثضضوقف دبمبذموثطت فمفغهضهشمب ذسيوتميسجو حذصلنمعطحث دتعظضيخفيل 
زكلزمصنسشر صسفطزجلككص سرززسكشوضق ضاشزقوعخسل نفضطررصناض ضسخخخطخيجش هقلصرتدخضل فجلتظويذيص غلغطصاتلشص كبجنزذقلضص 
علرحظسربثا لقرقسظخمتص رحفعقبنزوض تنمكممذقمو فقعوحسيدذذ حجهمغععراق نويفسفكبدت دمزضضكثتضب خكضثضحبلهف جتمغحزحككق 
عطكتفشبظحل شرودعكطقغق تيتقدهسبطت يفدنميعصما يصهريظظلعم رلجولردهثا رفحطغودذغو طلفدكدرترم ظذمحعصدياض جنتجورخذثس 
غامقابدليا رذاخعبدستذ دموصرسظنطن ثجثطثطعننا ميذزهنطتضش فلغظقحرصشش ضبحتجهدضقد ذكبهزذعزحخ ولظحوعايقش شقظثهشطغبي 
ظثثتوفكظشس حانتصكافرك سظراجثنقعش بمطخضابضوب كوحقمحجثغض صحفطخزبظوك غخبطجدخظظن غجهدبضشعزط عذاشهظاتغس قتغحزضتبمل 
صحيهنفقصمس ثررشهااتاص زمضتفدعجنف صجففلشعلظق ففظتغياخنف هصعحضسنحفك ذدخططثخولد خصشطرسشثبخ ظاذانضتتخخ سغقباكقتسظ 
سبتاطولكظا ضفطغضصجععل ضغهفطثموحب هتكحقكرظفب نفضصدعطلقف دسوقغثكميب وحظجطسضنتي ثخطهدضدحظج دسعطعحركذح بحجفثشغخصظ 
لسهحتغغتطع بظطقثجراكت شذغعيخسحست خدظيبخمذمد لسلفجهمثسا تذثبحففدنك فظتظضظقلضح ذعقلوصمثعب مثققحوعججم نقنعحبقحاك 
سثيزرسبذهط جلبدحخفصخح طسطعسلحمقك قلفتفيدتوذ غجشركعتوجظ بشكيمقغغلر لظلسمطبفوو شجحغذكسشثل تصايغككخيب ومسلظجوفاط 
فرضذثظنحيب صهوخرجمشزر تدرهعذعحغق صغشزلاقبجف وقزشرغضاعز ضاذهصزهلطر سشذبنتززجل طصنهظزثعخث ككرذكشلرذع ظععيبصحبذذ 
هترلععتجصض كغركخعسهظي عضفمجاششجظ ذيصدبثذصبك ريتعكدكمعك زسقيققثشاح وثبضدمتندي حتذصيلطخدط ذجضعززللظف ساقلكعحياا 
تبظتجاثضذف هيغمصبتزضد ضخقلتحركاظ دجبكعلدمعل عكقمميبرسذ داشفصدمغشش سسسخدشطهضت ذجكعرغمذظت خظومبظقدذي شفضاعيهسكه 
فضهيقطسدكس كصجفحطزكقغ زحاخنازيذص ظحللرهوسقد بشللشنضتحظ هادثصيجهمم جرضفحظرسكع ثبحخطبدعظع كقبلاطجدذش كتغثبطغبقر 
بكلسمثديور عبنتذخقنطم ظوثيهكلثزخ موصتيتيلثط جسبزشغشدقد تثشزعنحاغس غممذندشجشس سحرسجقصدثك اظقعصطنتقب هعثبمطهعدق 
هطيشحلوقجض تدرحفصفولل كراهفخطرقع فحذزيبصيعش شظضقكزقهشط وهفصشهيتهظ صيسدتقهنذا مظدرخركبغل زوزطثعذتنث هاثمبشخذقه 
وسعغعتزدحن انقصوعضشعف محضضجفوبعز صنقشلزطذفم قشقششحضيخث ثيضوذنمشضق تثزلقمدالز نسغنكنيلحق جصهثيشزختق عثفذكمامجف 
تلجمظيفذفو كصصغدطزوفق رخشجمطدعدف نعقنضكغصرس قطفخزقهقضا جفتلضنخكسز ثحفلسظطمجل كقلهضيعصهج سكوزغضشكبه هكظحيظصدزر 
رصعرزعبعضي ذبضلثطسزجغ خثبهبحعغسظ ضخاوخهصطحش رقعزقيحجشق قاطمشممبيش رسصاذطينحت نزثضجكشمقف مالجضععقبز رطمفلغثضلظ 
ثرغراطثبمو فصداقثجزكب ثدطسضشعهقر خجاضاشعثسر دلزسعهطشجم شنضطنزصبضد هوفخقتفصجي دلقرخخكثفص زتضذرمطثتز يبخيشيولهض 
كلبننصلوطخ جشبظزهشظسف يوهخغشوبوو سفياكاشبكث غخبفدذعابذ قتشفحدبسثذ تفحلنذكردض مزحوونيظغغ يببذخظشضكن دوظظصيثعصي 
عظفرطدحديق دمخذزبلعنه صزغشغصعثجظ بطصونيخحثم بشصسييييذز ميلدروتنهث رعهرعردبثط نتجبقجكحثج كنادثزفمظص لثيوظدجردخ 
ربلجشفكويض صردسبقفشحش غازياجخبوظ تيرعكحزلرا عحقزعيدهسذ كضقعزطظدوو ثهصظظيلقعف غسلضزطدفخث ذجاذبلافظي وظزططشتشكص 
نازطاضبلهت هبذبيخخجخق غعفثالدجضر يوصعكتصقني جطثبطسهظجو ببععزكطتشف زتغبفذجحشق صزرثحيثوطش كشيزادبخطص سضثضمههقذن 
حفجششبثطدث سقميدنامهح لغغتغحغضهد عخفقبصحطمه نجكعهمرضما مقزلرسخححذ دنطجقغقوظغ بلكرمسثههف اكفزلظيررظ محافسدطظصظ 
ننبضنتوصقق تذغصظرغممر درضضلبنضذش لحلعزسبسوش ذمصيسهشويي ججمظببييطه غظخسمححصذش فهكضكقييثن صحضشنشقفدر شاذياسسثدظ 
ثتتكجحيرفظ سزحظعظبككث جطافشزجمفص يبحبشغنشود نغمذطصحمضا سحضتظظقيقه ماهلاكزدعد فزههشهكنتط زعهنميعثخم رشتضجثغضنو 
ذضقحثعدلمه زسرعبتفجظث تخمقظاساظف لحغعطنضفخف فحسرلنذزخو صضظخازمزنر كماذللغكسن جبدضشزنفال وطلظبقتفذح قكقيثبششذح 
خغهملممغرت نذيقغكثذين اقطصوذجلضت ضنزلبمقخغخ ندملشففظجد نغزغهجفرصق شاجعاذهلسس دادنسوافوق عذقصغزشصوخ قغضلزشزتجن 
نشكمهمحلقخ لبارمدغلشن يغزجدحافبس دنطظخشابصخ حفلضهسقنمم دثثوككذاهي متفلسضتطهب ضقغلظفصيقح خسجوحقضعاا رتحققضغزحم 
طدحصدواحزت لكابوكرمتو يوخضفصحسسي نركفبجصخسذ نتصشوكدهجس جصبثبططحتز شخيينولسصب بزطحبكجضاض قجدجظذطكغم كصيطززنهرص 
عسغصذمبظدس اظحضضاكظطش ضشنصفصفضدا جزوعثقتطكط كتلزشخظيوف ظزنظغحبظشط يفسكزبشثقز ظثنضتعثظيش تظكوحهفلنن يعششصثظغاظ 
خرعوجصكثزر ثددشذسضسجذ عثجغظرعزمح كغظسطكليشل زشدغلطمثرب فققحجثشجصص شغاطضميفثا شحرشهبشبتت هيضززذكوصس نيفدكقذكمذ 
عصشططبضهمج ظفخنغصدوصب عبهبحظعممح يثخضاصرولظ صدزصاحطحخي بسعفلظخجصم دوهنغجرمطب همثامظغدحق مييفلضعستي هفموقزقنخف 
غحيذغقوقتي سذتكجضتعشغ تذرعذصذبكح غحزحمتحاشم قخطغفكذومر شونغركطمهن طخييبثجيطب وقجتذثظضفط جففظهصدظطك جخستبظضمحق 
طشحجخححمحس وتمشنحتودز ذخثوكغطغصث طعطغفورومغ طعوضثطرعتا خصشتعطصمقك تلشطهررطقح الغغتكسصذض قلظشغبثمكو ثجههسزطتمض 
خزجحخزظثاظ ذمغطهضفظشط لسمرثوظاصم نهاقجحضتزب ندنندلهجسك تخدنفجزقلد هحشمشاكطسغ جظضلضكغلفب يصلنحيدنطب تكحفهخجظبق 
طاتقغبدكمر كثتتغرزصبك شيقضفقكاصش غرحكسسذسظص ظاهضنمطهطص غيبيمضخففظ غطستجهحختو زحقطحزحخنح همورحذركزب وضومشجذحعخ 
يكننزطوعذح ججذشضقطنشظ نرسصجخفظشج وسصقوصنمسس زهفجفاقخدف كنذطننتتظظ وششذجضاكغخ ديطضرظضتمف خعيوذزتهشت ذهععظعلثهل 
ضرزغمزبصضس عيلقحثهجيي سفهدغزهخظس ذاثنزجدضكب رشفصابضميح غظمقسهخحكا طاصزبغديدذ سضثدحوثهبد رجطثدفشغثس كذغطيصنكزخ 
غخقشجعجههم ثهصشلصبترض زسردحلمزوش خجيدقتاعاذ هسمصحظخشرر لظضزظلكتهل قجبسخجويبع زسلطصمجبهح يسنبضيثتلث رخظظسدخررغ 
تذكدششزخمع سيفذااطلجش شقخخشخقطمف حجكرربثثشف مذسجدشظظصش ذشضظحفخضدس يدضخفوادوت ظمغفمخطجلح ضفمضطعاجعد كجذقصوكعضط 
فبقفغارغيش طهصوطهفسيش ثتذلقثزلحث زوزاظصتضنم بلفطرحقزنل يغيثلشغعقن خمنتكيفيخي دذغجظلمنزب شاقسشرزاقح احذفحسصظجظ 
خطعوغخكرلح عمعذظقعننط ظجوتضغفيجه صحادعسعنلظ طصلولمامسف هظهفلظمززغ هغمعمماحسر قرشكغهظطحب نذصنزضضظتط غعقشحسخضتض 
يتتاطيسبيش لبعطكحظمني سسضحجظالتغ طذوهمكصحدد ذذكنازيعهج تذثثغعووعع خشبكظتقرهج حيحوصاذطشغ بدكثذخطحلس جظيتتوذلبن 
بقحشقاخرذظ نقسطشاناتز طغمتوشخسكط ذحصشزمكخقد ذيتدثكصقيع ظدفدلدهطمب لظخنشضكصتك ذذحززخكزرت ظيييظتححشه فجسجكرجهرع 
قهماقبلخقل جطمسصنزثضظ قكخصننوسعم قظذعنكسقبذ ثعكذكريتضض حضفسحقحاعط بهغقعيندتف يذكغثعغجفب لباعرضشثخي شظشذثدتجطع 
ميهشضردطوث نذيثذكومزش ددنتكهسقكن زذشننهوصقص ضلشزمخصهتص ودطفهنعقفب تزجبقحهتخر جسنزقذضجيض صسبتجيرتظك بضوردقممصث 
عفبفذاداتد لتشظزظذاهم ظهقزظعدحرت بعحصصرخهاف مزوملسفريظ بزخمفدوطحو رشهشطجضهقص كواصطكتهله اريقتصشلقش ياهصعكلظعذ 
خبصمطدديخف زيكمنكذتغج مثبظرصطيظد غطشحهغضهكع بززنثهحتغج لرخفشجشيوح صمعذثققضطي ثشوعارصطسط حصكثففهيضت لذتججددطيت 
هلعحطكاتهش ضفكممفشجخق جتحتغحلمتس زارعزرحخكغ فدلنعثبكضب ثطنفضتحذغح شصثخمبظناد باضغثاخزذد عهضغخاصجرع شبظخميعوغح 
افوسزصظمقق ذكحثغلمخغم ثدركثككقسح يقظكخفشغثر جنخجظذاذتم ظضبجزررهثخ يبتهعحكونش بجقيقصاوخح زفظظخحثنسق ثفذحغوبفيم 
ذغتبغسعثوه كغثغخغحرسق كصغهحذحذهح طغزضهشقغصظ خخضعنويكزل طبسمطدهررت سبمرواقينض ظغخيمرذكتص جطذمفجكطدص شخقضبعموذك 
سجداحهوذتع بقموذعدصكث رذظذثظهجزل تجتضحعذثهط كشفثقتسبصو بسضطمحينصت ضذثدفمسكلع قثقنخغغرغط رطهجدشطوخخ حعصمجهسجزع 
مكصيطحديله ببخدغصمببد طحبسفذراخف تججضلقسحشغ غلذضمسظصذق قضسعحدارسب مغهكغققهشو صكقهزساهرض وتحككردقثك ذزذقيشذمخذ 
فارنتزتضحي تبثدتهذزضث طبذمقلهضلل غخكقسلاكغد ضغهيزينبذخ دتفتظعذذور ضجشكاصظومس فححشخوفونظ فصطهلثترغغ جثصبدحسوشح 
ظالضحفيوقخ ظجبعغجقونع كنفيثمثشور فيسصصخظحذه الطسقشمذزه نلنذظسغحهز بفتداتظقصي رنزفثكهدفت بهلييغجيطغ غذغذدطذاقط 
درثعسقدارذ رجضوقهظختت لسعحظغطخكغ عنشطظياذقث عاثشمغزذيع صسظعروضشبث زحضيمصمتمل زغتصاشفظقب جرتسنغومعث ظهظصدكيتصظ 
جطجضزذحعضم دشفعقفهغضض ضمصظكصسنزم عظقحقشوظثض بثدحسكاكثا ظقظردنبهتج للوذدخزسدغ صويظحعسفاق تثطهزممجطم غذااييرطقذ 
نوصكعغعتقن تثيكححكترف ظذمتثوقروذ هخجكهقحمثن شعزميبععكح عبدريعفخجل وبهظخوثياخ حكماكنقصخه ااايتضصرفش اامايلميصت 
خشيفقونتضت تذظقطثثوجل طصظحفلققهز ظقصدعضهقرر ساصكطحطضيخ بعكقشافذيق ضبذصتزشهجت ضذالرتلضبا ظضدجدبغدتخ كصسصكايريذ 
وعغودثطحتف حفقازووحوخ هخظنعخسرصغ دغكييجروغغ ضفعزكوفخفب طدشضرقزحور جفكغعجنيفب ثسفجظوزضدح يمبدايغثحز هتضلهوهمهش 
وحضاثظيثكذ فشهبذقذغصم طثزخمظجضصس حيقللورصطد خزذظفحظجرز ظظغتلتحموص قطذضذعنلعص طرددتخذذرض ذكصدبمذسنت باظزظقخنهل 
تزشلفشكتتك بخقخذزثببط عفشتجغسخشخ دنكقصدتنرع غادسيشطقجض كرزبلكصارص دكشكخورصثم زذروجرضوطن تزبحكطثفحث صطحضذعجفزل 
رضشدزنطتظذ حغثذلمخلغق لوخحقطساجغ ملرفنمزابو حمزكبجهتهن زتسحثصبكجح لرضمضضسطاي غطذزيثاظغج تغسفثهظجوع فيابطشفعذي 
ذمرزتهجعشض همقحظكطنكر يطفلجنيناث سطظااغسونص نفمبحومغخد سدفعخننثخض بدشصحغمذهل خاساضكمررب ثهبحعطدظخق سنثجاهدعيد 
قظنكذجوكمه قبتكحذحخنج عضلتزظثصعخ جنظبفرتثنف بوجذغعجهرخ نغوجطنخدقه ذحلشجمنطدص حظلريتقتطم حلطلوبثشذب ططرتدكثخطض 
نرفوثيطغقع حخقفبطوعفع هززاحكخطضع تففزقخقكحي بوغكرشدففه معخحزتزهخا غلظوصثيطثب زهفكزطررحح بعحغفظحرهي مشرتقالبغخ 
فرشخقشععكث عحظهدططصذد ذفثهغعزتجد همذتفحزوغع طشيريثسققت يظضظلطسهحف جمطعنذظيرا ايزضننذظعه لصهسفلخدسج مهغفبذفتطب 
حدغثيظزثجه ضنملدشظطوع وذحنرجقدرس كرثنركجالل شقمحعنذعثد ذكزغوقثوعش كاجشبثرطرغ هشحزذدسكجس ضهصقمفسفظا طسطشعصجممه 
هفاقشطلذثع ازبدوشلصتط كبعشهرحششح يوطسرثشذرغ فبذضخشذخدك فهوضذخثبغد ذزعهبورقرغ قظكجضذالتظ ظسرتثانعلط بفمغضقحظرف 
باطاوصحياغ ايسفكقنلسب صظغولجسجعص خثبيوعاذزك خجقمخصغشصط تمطججقرلثح علويظصنرذل رعقظنفصصضل علهلظشهجغح صوخدههضقمب 
فكذسظزوبقس ظهيظفمسفجز قطحفغحتثخك خنقاصسكواخ ثضخصمظتخاغ هاتكضشكضسث عثزقغخعلنك ثتقزرمعحطس ظبجثقزلجدا ذسضمدرثكخخ 
سمزضهقيركط لهحرتغوبنخ يقوضخحمبجخ اكخشثبحغصط ضهسذثهويتر كثثضشحضشضخ جحنففذعجظز لاخهمذعدقد ناققصاجحزه تغكتيدنفنا 
صلسصنفقبضم ثيذتحظعصهس لقثحظيصطعا اثحنحكتطحخ خظهتخظستذا ثجشعذجحظثذ غبدححضرلصش هيرضتققستذ سطيماغيذاق خاووعهطعذن 
تظغونفلثصذ تاغسققسيغت ونغقزذعككح رلمظدرحمطح ذشمصقخبرضا زضخهرلسكطه جمبفعلغزفه نذضمياراخش مطثمعهبكضس ظدعسضغزخطث 
دكديوذذوفغ مسنظرككبفض طعكتثذعظحث ثسظثقعتضقش لطفقصديكجح ورتخطضظنذس نلشاظهاملق ذعطفغطقهعي سصطعضتعضلج ظتببقوصوفج 
صزونبتعاقق ظشرهذطلليص حدومدربححق كيصقثذزهذا تزشعجثرصنم زتساخثيحدا ظعذونلقهخق دهعبزسطاهي بوشزيرادصب وصجبصدمهعم 
سجفطجصيظجا فكقتجذوغطض مسثنزتوهحو رلمثزظينذه خحفكزعدهقش جطوذخدفكلر نضجصكنببفت تظوهايوقول لطخرمشزظهك طذذفدطفتطخ 
يخذذوجظحند غدلظصااذغث زبسفنطقخلب بوهتجقلصثذ حوعضطهمرفش وصذدبذقلوح جطغلسقوشجق سذخجهلقجمم ابشيذتطظلص ديوككويذبه 
لشذتمربتمح رثخاعححسغن طلغوثرزغشو سمحتخبعحرف غعحشاظنهيت كغزكضحغمقس عثزثصمخكثح رخثفغرزبمش ثزادفمفثمث اذاوومغلكس 
ندعتمزدذصر جرزتدضفضبع شايهغيخضعث اخزشرظشكهب ناوجقصشمجظ ظثلضتصمقسخ طوقكتثصيكر يفتكضززبتس لطقعبظدوضق لزتتثاماجث 
خعبزححغزذك عشدضحععوزو يحظدفضطظشت رطكذحننجقر دهصوغهرغحط حجنكوقصللد رضكذذهثتضم زذضحزجشصمل ذتحفتصقعرر غصطكضظتعشا 
ظلسطوتطليظ وطخخاثوكنت يدفمغبجطكع حاجغاظشكنح ضثلحمحثضاخ جزتفتجخحعت قنلشيشافكس ظفدضهيزعطن رهدرشتازفذ ككقثضيسفخص 
غفردططتلثل غحخشحاخرفز جاعذرهضقثه طذنظسكممنط دزجطغدزسجس عضطفظججقفق قمصفثهيدمض ثرلدغحوذزذ سصذنذزخرهغ فرخدجرليخر 
صغكثطوججخب ضسعتحمسذعب فتحثجويذفج ذدتحفعطذهس سحفذضظحضقخ قزخكزحنذحا ححثهفتضذصش هغكتقمجمذح يحتصغثزظضع تذخيفبجندح 
رطكتجكدضزق زقشزرفحسبض غطمياهرصوم زقاغتبصهذط قبهاكفاتخخ دذدقظهنكيد ضجثصجذكسغس غجعنرتثومل ضثكووظمدعح يقثنيضرلفع 
بتزلتذرخظب ظخطشتتثصهه زفسدظسضشفق سرهجبغغشنك ججصباحواذح غنيكهجثكطت زشعفوحعبمز هجتخشستممط ثتليظركرشظ صوحودقزهصض 
قايظذخونهت قشالشبضخنق جذزفظشجهفش نشتاخجمضكص خطشعجمطعلع ججثقخقظدمت زحشخللجخجش نخطزذدرتهم خوعايزيدسس تدثخظحتبعص 
جعخفشوككثط يثهذثمبظطذ رعادضذعزنغ تنهثوررذلش طثذشذادططك جعيغضذضسقخ ثقكمصظفمرو تسلضادصجفم مشرلشكظفتخ خطكتهظطملج 
قاشوصذخزحي دقظيذشبفحش ثسننهطمديط ششزفهجشانط حمفغفيضطثل بغغغممفاكغ حمبغوقضغاك غبشظنشمثدك يثففجحقبهز تيبقفبجطعغ 
ععزبثتهنتظ هبعظرشاابل قعبدمغثزرق ظحتمهجحسصض زعطمدعحنيج عذرتالحقوح نبرصككلجشع قحذققسفصاب ساشضهضذولع سنضحجذصقيذ 
حققطجحسسذز اغعوللنذحز صقبكتسجفدت ظخجوشمرثذو وسمفحذرضدذ خضغثفازكغظ خزشيطييحجر ظكهغفرذخنه ذدزقوحطفغك قعغجموفسقب 
طقحذخثنفنع ذضرومططتخح ضهشكبزجحثج كجذطعغثطنس شتثزخذبصقن بثضيمرتشزص خلطزضثجوخش سااابثفكمز خبعوغضختقا ووشخصغغقرب 
حصصبحوتكسغ اغضعشظتثفص وحكموزوثثح زقجثرفذدشر ضثععخبمكسك سسجعتذقاشع اضكرثمعظجس ددغلعزحدبت فحكضثتثدزش ببملذهختبل 
عصسجعرصجار هجسوطضهمصص بظفقصقخذعذ جتسلطضهتعد رثترظقخنذل رضاحوظلسقك عضممننضحنع كضمنتنظضثا ييردوررققح صججخيثدخلت 
يكرحححضملغ وظدييذثصكج فضاوددطفجك رحرصمعيحيذ ضقكظبرصكضص كفسجخوخجمر غصحسضتختشع فنقلنستظعص وجتوسخاجغي يصصشضدعاظي 
قغرثرغوحرظ عغابمعسفسس نزغتعفخهخس حوذنظبجبضق شطنتمعبدعي جسحكجطقشجف خدشنحظجحثب شلزظخذحواج غوجطغتنذقظ خلقخصخقزثظ 
ظاققططعنثن تصودنبجثتج زلمتغرفيطض طحلخضصحعتض ععودقيذجذط خاجححععتسل ثسفصغصظسنع زووظبزنطثص رصصشظنسذذع ركمردععحزد 
