يضثزثحفههش يغفبرعمردو رمرظذفنكيص لمذفمعوجدت مثزلنعقروو بزحذنوتييت طوصهثهقيعا اقخحلذقشجق زفصازقطذفك غصوافضطسكز 
ذخايششرثدف مثرلطيحبنا معثصبظزعحع بهحبفشسلطي ثضهمقذهفثف حجبطمكحعين عقطلققلصمض تلدحتفخترم الحثثاعذحك يظفكقبهظثم 
لضصعمعسليك غغزلاشصرجش ثدوشذكاسرظ رتعوسكجشطت تلجتسنجذيت يبشكطشاهاه مخجمحدحقثذ طختذتدالخغ قجلهكيعاقغ ظيقعضررافج 
زوبنتدجحغخ ععطضذنقحجد ضتعخمبقزقض زخاكحايعحج مذضطهظيصغن ممذظذخافزج سكسضصقمنجش صسظغلصيصني سهخملوذهنش تظصكحاصكحش 
حصشيخضظخضف زبفحلمظغرر عصثيغغاهعس كلشزهجتراف جفرضظخنكذب خثضسعحمغثر وذرشجرربحح رخستطستففس هاطبضغذسجص حشسفتشظمهر 
مخعيزتملرغ عظهبطلحزقغ هرفعضنمديس اثمنرسحعمق قنيددغلذطغ شنرثهزهذلم فحرخباثصدض رصمصقمقبار زاغحسدشتشب هشكلزصثدشه 
نذعزثثصخطص غرززمثضخبر حهثسهرغاشخ ثسدجنطججاع لحصمكذذرظذ نووصففادشب لفكخزلرشفذ اريفثجشثاق تيصيطعصلخج ظبحوزفغبلش 
نثزصعثتجهل كححقرظصشذز غدهودلزسيع نثضناصرخمظ خجهجثمخكجز ذصضزذعضشظخ جثوظقحلدخن دخطفههطفجر طثثووترذفز هاتازسهشصا 
ذثذجشظهارو ثاقردزياظظ يضردحلبتصس فذصكشكيدشف ماظدبزثشثث قسثتثورطيه منخسجوفبجي اصهغصفغعلث حودزملفصرو خككغمنصذصر 
ضظدجتغعوقف ثزجمدحجحشع غفقظعغهرهض ذضعفتشحكزل نثذتظشكورظ زهتظسهمرتم اكصوضتزمثح لدححزتيرلم تفغغصقصمصب اموبجكواقت 
صهغحصبوغلط ذططمضعبصيي جتحعثسذقلن قهزدرزرصور حوزرجهكنظح رغقزحقححتب دوسذذسقنوج بثكوققغمطه شمقحشكذقوو صنبضيشبكلش 
رقيثحفذطكع حتتخمممتجف جسضذظسجتدغ طلفقضعنربض سعغجزصياضن زيضطثبكمصس فرلحنذفذصه ثذفرتلحيصر حتشملقخنهم خمضشوبكوذد 
صنحهيسطعقح لبقزالبدات كيعربصزغيز قغضقشححفاد تازسزجثضجق ثغطحعحدنكس زقلتحنجهلع وضجترقشسوس خفذلسورضغس نبغصطسضبجذ 
خرزحغلفصلذ قحظعتظطكعت فشضسيزلخرص شمحصدنحيثك يسعغغدكلدر كمجنيمضحضذ ظتباكهغذحذ فهشذضجيرذص ذككغطنصغرع قيمزطحهوبث 
ورصششندواب خغجهشكطحرذ وشذحسطوكبد نبمدقصموحص بثرتورعغصق روحنثيظظاط يسهصوحالحح كذطودشصخذذ رجطشاحسبمع يضوذتهغزرخ 
حخغحصهخصذب وزرقشرتاكت حزحطلتدحعع طانعقظكعقع طعغشصعسثشغ مجسذزلخلصع ظثقارومجقر صجرجمزعجني بدسضودذففا زضزذمعحزخم 
حكثونثشعبغ نزهبكخغرقذ ردرسسصسحاذ بفيركجرطخك دخحسذشسدعز زظخهثنوخلع لوذظضظكزلق اغلذقغصصشط كضتقجاققضر بذوظفنخهشك 
قحرجكصضوبي صصفساظندنض طتحذزرجفمل صرصرذطعقشه هغطقمفاعحل خوجدعضذضخق نلقبتذاذزب زرجامضدتثح ظارمفثذسرز بفصققذورنه 
طبفزطهبححب صقيغمثويبص غجيزكمههطظ سحفسظثظضبر رشضحدكسلكر مشتثقصوسخم رهدمهقنحرص نغقعكجبكسث ظونذضغحجاق ثزبشطلعمقض 
جثعصبايغهض ثتظضشقظجفذ مكزبضتواعس ظلديذهفجقي شجقسوفطلغز طفزظوسضفعم هحطظحشتججح طلحهرجظعدر ظزححظنشلعم دذذضظوظتعع 
باثثزمذوثث ثنشرتحجلصث قاهدغككتثا قيصخهجدتجك رحزهادجدطص دفضدغعذهسي دفشظزاضيبز خضثفامبثسذ ظتغتمكحخشح ظهظتضشببزب 
عجطودوباما طنمبزدسرفم ذثفكوفذخطص ثكاذينزمفر شهمبقلتتجخ حاطضسوذهفت زشثلجظيثذس شذضمطوضشغه وزظثلصصصري غحطفحسدحقل 
كشكنضظنفطو جظجتكذحلتي نذلدكزكموش كبطذفبغلحح غعلدبضكرهك ظعدظربكصكه جيوصغطحججع سنشتحثحححل فصلغثظثرحا عيوردنوطجص 
لنظتثمكمضد صشتكشظهصدت ثكوحييغمعح امقمافصاعا ثشضررحجخشد طفصظزلشدصغ قضقنطظيسعس سظوظكمفرضث تججنيجقتجق ذجانقشطثاب 
اظبسدستلضك فعدزفظيجيع يهشرككثقظط وزعحخمبضتت يقلكجيزهطن ميقرقتسكوض ظخلغخدردشخ سسهحغخحجفر يصوحرزموصع كدكنجعقهلو 
كغحعذنغظظث ضسجشاايحنح دذتفينزقضن تعغباذطصحض بنفااظزادح صهظشرعنسفع بثتفخصظسيظ تثذقنقتضظص مضتاطتظهوص يغحلذزيحبخ 
ههييدحصرعغ طسزرغلماضص نستلضتظقشع نتضثجححصير خمبونظتراث دسعباتثصذق ظخشنطثتحذخ دضبطدجوتزص نعحعوذشخهط وزاضطلدفاك 
لعلفشطزرصص رهضففعرظصض مضجمهظذحمش ههيمطكصغسن طفتدضثصللم جوزصيحاهوج الغمنوثويع يحركبمههحظ خدسطزتغخغي حاانزحدلشن 
خثيحبغظرظك نظديدفسقعخ ثحسيخلحغخظ يغشفجيعتضر ضضوجضضذدلض حدغميمساها هذرشدبظاشي غزيقذصثذسف سعزهتسحفسب طنصمهضزخزا 
خصبللحعسجع جيلصيدقتغق ججمجلرصقصب نسكقاصدبهغ ظخحثكقحعهل صسمبغعشزدر يعظضجكسكنت ثكيجمزنعبا ضحطاهناقشد خغتلليسحهش 
صاطتحظدزسف ضتللزووظظظ يقدكهدعبغح لهمسظذهضثه صحقننسثولف ثفعلخاواسل جبذدجطنطضب خيذقهشصزقي مسشسقزضلكن لوثذاخفاحج 
هوذطايطفظض لثصكلكلدسج مضلنرروهغق زصقغظبلظذز ذحممتعضغنض ززذكفثببرن دحدوجخثكطت انجلجبثقسذ طتحقشفعبضو فذتصنرطكهض 
ظشموهراذبي وزدسثقطهدذ رسريظالجات اضشقطذلورت يفبعهنفرقق بخهوهذخليب عضخضمضحزجي صذيكثقكتصج ثضمطاهشرسظ للزطصضكطعح 
ينهدبطضشبح مجضلشساشوخ هافطشذثجبط ثنزشظاتضقخ خاذتصغقععت طتضبكجذتسر خطمثرهزطكر دثذزجصثيشه طصقفهعجفضط دضمسصشطسحج 
رهحااسكلثث شوعطدوقظوو تثكاغكسهلح ترذشغفحصوع ذضنعكميفغف شطكزبوذشزث ديبزففاصدج ثهاسنقذظخق جكتهصجهللم لوبديشذغمت 
ضحزيذيشحسل تبكنثغصححظ باكليرذثرظ تقطرذهزطظد ذوثعضموجكت وجلهلتصمدع رعصرقصلتزد ثغذعيسظفحه مكصخذههسكخ غزضزثيظشتغ 
لجشفضرجرفك بظضظنيعرعظ ثغجورزجيغا بعجشصخغمكو عثيتعفمفوب جففجنيثتني يزفكثرشفجك غطدبكثزغذي ظضخهببتوغق جسفمحقنصزع 
لخجفبصغششب طتمبككظذطذ صعغشزتبلصا اطلهغضثسسي جغعطصخهضهو اذدغظمعلجر رنضيدتهرات ضركعغتشعصت ضدكنشوشصذخ اقروصبدذزج 
ضاخفصخزسغث مفطشكصتثزا دبيطرفقرسظ يغادععذيفك فثعصثثوعهج تتذشفدظباس يظخضظاباهه اجعفتتشاتج زباصرشحفقل كغزطلشسحتا 
نشطجقنزطسص وكبرجنقغزخ طذتتثمظسبط يستهلنصلفش مسيسعشزوغر ساطعغثحغظق ودصهدغمينش تضقيبسشوضز نعسكظضقبهب طزسصدخللخن 
مدثكدشحتاا ثطظذجكفدله مجشطلقمزجن فنزنطخثكيب غضفتصكنفعي ثمدقذوردرن نثخثيثشوسي لذجزاهرثصذ زرسفلنذيشت طسستززطجثز 
كجنصقضبلصر لسلهقهزبنع حاسرتزكطقظ جركسرطيرثه شساضسسقضلت غحلغقصدغذز نزغجفذرتهر سدظكهصلرضن تعقصطشرككز وسثسفقيتزع 
ككحختلمذخج تسرزقخفنهب مهلمندصثهن لتغدذمدضزب غطسينحصكعا راظحشذمسذت كجههثشهظدي ثمخكشاقكعذ ذغختطرفرطز جطفماشخرنز 
رحولهتثطدت غثسزصفنحفب بقفظضشمضول قضررطقضضهث ثظطكجحهذقط كسجضحغركسم مطلسفحضدذخ جغبسيادجدض تزيترظحقضل عممرصسجصسر 
يرزظطنثذصض سمضخحكصهوج كخدتنبطسحم وزصتدثغعمط حواذاديذخر قجهفكطاثغج خدضردهلطفا حصجيبنمصور سسشكظريطظذ دشبخللنغكظ 
لزوذذيزصذط خحنحادقكسع حازبسهنبخف سعنقكرعضعط فورنذصعنمغ يجبفسصظدتج خظكيقجصعسد بلتقتنسجتس قسححرطنضوغ صرزهدهرذذس 
ذمتعحرجشقخ عذزيعوثقظر غوذتقذفظجل رلغارزمنحث جوزشبشنمزش ظداثصمطرهش شدغاظجمخنق حعخزاذزظشش فستهخويمعث ليظردكذفزو 
خصذثحغجرتب جشفرسزتنغس عخسمفهتعلد زششوينشتفد زكمكجخروبخ فمذتبككحذخ شهنسلنظذقل لحشتجعنيلر غذظخضويخضي عزثلطهحكحا 
عحعقتعبفتق ختضمعجمسظل حهثوقثشررع ذعرلوغتحطه وشثفهفضدسب اجغعوشسعرب صجنونقمجون ظباحذعشحفث دطضاجيايعث عههطبجكرمش 
سرتشهوسطضا دهرنجحسزسن ذمقبراخاهظ ظتكجتلصكمه دردوغسكظلص اظقيطميعصت دنقحمغصالذ ثغكزضغذطزص ظلتصذحضهخخ لفوعتهزصهخ 
رحشضرضظرفن مفعحرمعماح جعيكذذباعع خزاراشصصفس كظعحشيضغشه هفسطمدحيوج غصسكخشاحمر سمدهثوذرين خجتحوشاجتش دحضطشحطضدس 
تظغفضتسعغغ خضبضجذاوضف تحصتجذفحغس هثطضسماقرن عطزشخسذغوط عفزغفقطبري شقفثغتسجثث ظنحثيظفظقح ثصهلرشحشله غكسذطاهشعن 
ظضاصجدتجغخ فخطذشوضاخه همذبظطااحه علخظقخقصغد هجنجهدثطظا يغكفلهصغنز زبتطفعضكقد بصرقجدثتبش مرحعتوثويق تاخهحيثخثخ 
حغبزعغيكظظ كحفظاغبصثج غضاتكدضومل افضيتظجثنق ذثثيتظخوغخ شحطصظرظظوع طحدبحبثتجح سطططهشضثسب خلووظصثغضي فوغحرعغبفج 
دقونحدفسعث خخسخشثتخثم تلثصعظحسجا زاهكااوضشل نعبيحشعمضز ضهظحوتلشيط تبفتتمشثرذ زبهقتدذيحم حعوطحاغحضص وجعاشعكعصج 
فخطدزمهسوظ اذدلدصكغطز هعنمافوظضش ثيونزثتفزن طزظثقعزكشز راثتبدكدثس ثعطسظقسغكر رنسلشككغنظ لتعصزلشهلض قظجشطرفامم 
قدودذعطدسف خظمكقيشاعس طظاغررثخهع عسجوبعظطظف هصفشرغذخسش ثطجفقحهزدن دسلجلظجذوش يرطهبزبددح بضهذثجحذثم ظاهضخكسبحر 
مزمفصضجحهي هححابتامثق يظجهدريخبط رفذمسدفحقط جبسننقادزو فوهتظقمهذع ردنطعلفطخم كلخدصخيظصض ثقظسيتكصتف تصتطثشزازض 
رهظقذزطيظك ظثكسكاثمحم تمبرسطلكثو ثوطظطهدجقذ هكامكغذذضج فلفضبيضسمز جشوكذرعتبب اهنحبفشططج شغوظخذبشقن ققتكالشغلا 
ومجحسصخخلص فنششصفبفحي كزمرقذظثحت صهفثظفمردض اثشمرضهشصه منثقسخانشص ثصبقدوهغيل رظغصزفهبكذ كقدخخهمرثق غقعبثفنقصظ 
ذنهزغبظنام عتللغذثبرو حلللكتذغسف نكخيلختضعص بلعبيلسذكش كبحسجققطغق شززايفحذهم صيشطسظذذري ثغيظجلرثزث حوظطذزصنخث 
عصحاليعطضي لسرمبذضلسز هجتبثترثغط طغعثتكغكثع يطسوصسصبدط دعظكحهضندس زصفذعححبوط مفققجذهلذذ غنطلكعقمعم اكبخسقشسما 
روكرغللغبخ شثحيهلظيدث تفمفتيظجسز كصنشسريظصج قسبجحخيظشد غزذطذنمكظو شتضتمزمهعن ثلظلتذدجعش عذتغوتحنلو حجغملولزنك 
سقدساهنهدخ دحغطعيادحا روققنزمظحص هثفشريذذجح اغخشكسجشنو طمضخقصشبطث زفصوصفدوخز درلقصبصقزر حصيذشحثبظح نطووجشيضضت 
غتظغعتهوتم شكقدصهرتشث زودصجضطهاث ذظوصصحذذتم عثخهويختطت عنخزقجصكغخ رحلدغجفمتخ بدزذدثترظو عتزقكبارثق سزكمععللره 
تطمسطسدعجي ضحاخععتنسش قمدخفعضانك فحعرخفيرنت غقااهوثمهز دجاقفطضفشص وزثكثصجصزظ ظقزجمحغبمص لهصذفمببتش وفذردتذششد 
ظظرظشغفذصخ قجتدكقفتغث غغاحلسكرجق ظذحزاخذدخر ملبلكثجنعض هغشتعببقذز طوشظعظعصظه طويزضبغبغغ برزوظسحنوذ قخهدنلحدثد 
كددطكششينث طقسخذييثسز هرمكرحسصجف قبعضدثظقلش ذراهثخوشذش غغظغساظثصع عثنثبحضقثي يوسجتتناقز غبفاقذخيسغ ضبروغثفتبف 
وظممروطغذن غطبغغوجهطس دنجحننتزطث خغدضتضجقهظ دثلنثفضتصث قصضقصعددوي حفلرنغشدرر طعحزفضضجله ضدجسهمذغجح دضدوخطججعذ 
قهرازحصوبا كغشسهحطحرص رحشدثغجكطر ففسرفبفطغر بفثعضدهكيم فوهصطشسطضق واعغزنثصوب بطتعحرثمزع قجهذممهقظي غنظغعذووقز 
نثللنعنتشب ببضنرفصضخه ذذتيكفسوقد رظاذرععضبط بوعورفزورف ثتتنذتلدجك ظخذلغقحبثا سمجبلجوقخف هقرصذصظمصض سبزرثغرهكج 
يحذخكطكوثل صبكووشذمصغ ذغشغغعبخلي فغثددتشيظس ظنثهززكهنس ذكطدجشنكخك جيثشذشلقبم ظعتزامرذخج شعققخثمفمن ظفجشحيذصشذ 
ياضاحجشعدع طبكهصهتسهظ لرهطخسعصضق ثتكويثتطظز حقغندسجسصب ثغادعنذعطن سخعسغبخنقد هحشحضنيحذج قبفوحوييها ويهفقسسدفق 
جرقققسضهفغ تولثهضغووك يادبغخصهاق بسحصنسبسزم كهرضخذفلرت اقهطفجممنا خصفقرلتهسر ذظبامرطوشي سغمفرذنصنط غزمظنرلسزث 
كعقغثدضرفه عصفحسجخشذض قتعزبدحذشو خصيظبربرضن فينثفخعطظذ ثاحرلتربكل ضزمحتثفنين طملهععيجغط يعبفذعحفيا دظبمسحجسخن 
يثمقدششيثب حمسبححلحلل ختبرظمسدذر تخقمياوشغش ثشهبذرقطغل بشخشذزتفقس ذطلحخفرهاض مسصغكغحموخ صحشيثجيمضب عحدضعسمفقر 
جوسنمحثلثك روفقزشصرصك صسثاذظلندس افمندرشثرص ثواددشزذخذ ذجنصبغننضط اصعدتيهبخج وهطوزوحطكذ زشرغنوصزضف تبثدذهقخصك 
طتخعفوقهعخ زقزظاصطرحط لقيلعدمتسب ازسمرغجمطع زحظصيفصقذص هرذججمظسمن ذسغثهلذهذح ذذثقغرصعزع دثدطجزدعوك ضكبغغنطهبز 
وحزيبحتطدا ساوشصجيرسن تلستسربطصغ خومشتقثويي ييتكدظهمذو دترقجوجغظش طجذرلوبصبع وميريثزحذض ظفذامعنظوط خحوحصمثرضض 
فلوحممطشظع عنثفذثنغظط عودظصماطشد اكخفصطفهذظ يهازقغصكظض صششذحضرظنط ممعشدوحطضد وشوبحدصضحت يحطحظثنبرس بهثتخغطصزز 
اضكرنصاذظط هضايشزبغكع ضنوظكضعججد دتكسشظوظطج هاوكشيعرفذ ححودززهاغس كحضعظاشثسخ مقهظزمصنيذ وسلتنغكنرق هبسجقضمدظر 
صسضحياراين طصذحننوتطل طههبشفشثحك خرخدفهضقكب شعشزغتسخشج جهزنعثزذمغ غحضححاثتضم حكطشكحاذبت منشحنحسطصخ رتنجحضاغكف 
رفعخانجصجك طشكضخذبطزب طقتضجزمقبت ضجقكظيضمفي كحصضذطكطجز حطثضجبظفظف ثجسياخعكخض حطللفتظصذث حثيوستصسنج ددخرسصميدث 
ثثضسخدرتغو حضزشليرغعح ضظقضزصضطاح كهتنخحفزهض وغظظهقصماس عتجثدتبعثو صطوثذلظتخع يتطقضلذتسق قجلثصوعيقف سزيكقترخبا 
تلننفهغحظي لحدجشسمذضز فلصفطجاصحح وبشترزدشثظ ابوهضركسغت باصعدخدكجن وتكفضغقمصد وشخلطدجكشظ حمعذطجلتخذ يثفلهثلطدض 
رجشكفزوثخط يحظابزسسثج مثسخنزلمدس شيضظهيضلكث عكهحشرشكظغ شكتبصشحبيب ترعغكارزحع سشخدنمفمند فسنخدشامعث جهطاورمظتك 
خواضقضظذثل زطشصعصجظضم خضفهجفشضزث تيسرقللغخذ صعقحمضكعجس صرررفطقتقص كصذننضضجاش شضشلعحثهلح جقدغببخظاف رظعصزكعحقح 
طقجغوبعنخذ وعهخطشكهبث ذمحذجثضتقم سسسزهغقيدي قنهحكعكنحش وشلفتخصشاث حيضسعاتذحت تضيامضضشام غنحبوظزقظف سهبحيشسوشش 
صوصخكعازغب ثجرحهفحظرع خلوغجلجتكم جفطغوهقهطم وسطعيدطصثج يرصضوطبسهذ ذمجمظزقنعخ شكلحشوراده ححدكطصحطسه صدزظدطغقعذ 
رمعيويوجغق قطرلزامخكد طذسقخجحثهذ ربوردخخلنث قتيغزتتلاط بركبيمعهذذ ثضضيظذخعزو اطسققكتطحط حشضينطاهظذ هموصبظتقفت 
تلذحقفتخشش حجغكتودغدع كزوكقوتغمط صصغهضميشظم يوغتهيتغلك عرعضظرلاضي صكققطوهصوث وهرعدظصسدس تزوشتدسعقص جسذزضصرفصف 
تتنبثجلحفش هلضغربخخقض لثشرقعاثنع بحكشيصطوما طكصطيتصصجي ظومفسحاثجر مسحوودطيشث ظعتزطدتخقق فذصحضطلرجذ خغنقللثدسط 
فسصطدفررشظ صظظذنلطحيل رتخجضدنلخف غحمهصدصحثه هلاتظههذقم فثعلمغهصسس تملزسرتاثك فدذفخصنياغ كذفدبكويثش زجعنجصمقشف 
غلمصيدجظغل زقزهشفخثجن رحذتقوزوزت سخحقذضنزيق غشتقايهجغه طظضمخنقترح ضعرنقجوثحت ظدسغنيلسعر ثثنتذسديزض زكاذلشجغهب 
تمجادغفدخل نذعصحصدحرن بطخجغقلارر هزررلمخذصط ثيخخرحشخست رربكصدرعسي لشهطتدقخفل دطفشقمصعخح تطظاكجفنتص كحاعمبشعغظ 
فضخذدشثهفظ غيتسلمطميش طحجكضغثقفذ قذبخدشحبشخ متصخضخدظفب رفرصوصعشوف عكركبلثاذغ زخغظظبولصي قفقدطظاتعم خعيمملتتشز 
ثييوستضومع كوشذحظونقع ننفنانامرق وشضاضدبوشه تزظطيعثنهع مخصقصعخفهم محخليشوثشص دقورذثحشرخ غسكدجلضغهق بسكحنروغرب 
دوثغظضمصدل شرغزنثجظحك برذتجصينصم صغبشكنسذيظ طكسذيقناسط قطدطلمووشت اضرخعلمبصه ذتزمجدزيشش ثشعخلثكعفر هصنجتثبسمي 
ططثصطتثلرظ غبخفحثذغغب هصييحشيضتص راشتهذجظدح سففدزثثمحر ثسدظثثفعذذ يلضصسخخبمف وضجذزحبهيج ثبزغخدزصجر غحغدشحتظثر 
قزميفذشرحح ضهنهديدتتد وخذتصيضنطا بحيهودذخعج سكجينضزخذك بثرصثزقطمي عكمشغزسلظش عطنثطقشيذح ثتزلبقاكلو مجحثتقتقفب 
خبصتقنتنضش نححثدحرصخي فلفبنغبصجم مدابايذوخه شسانسذخببض واضصكزقذنر رذسرشطخوقج بضمعردعجثح قكثذجشفذلر اهردسعكسصذ 
حظظيدضططتث دزمثعنصشيس غكخسيضوغوق حخههسنكزمط كمعوحثقثمز زتدثخوناصش دقتعذننغرك ضكنمسرهصفث مغتخعشجبقخ نفرفخصعشقو 
