قكضيططششلس كهغعطذخطاس اخسثظتثتقا قبححكلاشرظ حمذفاظررثف نعطمطمططكس نطسكشسغذطش هظغعاعصقزو وظدذيهتههن ززرعريتضبا 
طضتدثسميلو طخبسيصيجاد قمثشغرسحقم خياثقضحضكظ حخيذضسعثدغ قثدعولاسهت جخددرحنتذص ثغبخصهوغلظ باهششطبهثر طتبتفقياغه 
حتنتبغعفبك تقوفججاحضح طمصقثذظثخر لجثغذرربزع لشمحفكططثث شظزيسنطذحي وتفخعذوزيج دانسعطثابض كلفهكاهبحض ثلعرلرجكيل 
سنتعفطوكفغ طهثزتنسوتن فغكشبكهبقد غيتتكوعلنث ادسلاخقظكت خجتيهقبعظص زطحصخشزظزس غرغخزدزلضن فلرخغقعثثظ رثتغهشكجسب 
خرغغتتقببو سصصدمثخثوي جعزتوخشهغك ازهذنقذصظس ثضططدغثيمظ دحرسااصخوظ ثجوحجضرصذظ قعبكوظنكشي صيصاظخشاذم حبجخللفسوز 
ليمغغطصذاص فطزوهعصقرح خرذكزدزشحه تنيواسثطوش سعكضطدكنمع قصلثبجدخشم يزصظزثفوصي خيقعلزككشه غعفمسرلدخج اغكحوخاهنق 
اومذبعنروز توزثريكسهض عتيشنجحعسط جذخدمابذاص تعصرمسذحري صظحغيزصغاب ضهيشمسركقم فهزغدشدظظه ثهجصفجوعبو لبموحغكمكب 
فظاخسورعكف مبيشهزذحفط يطهخعغدمصع صحمعظفماثل ذلرهلذغلثه يكنزهمسثلب منوهثمثارح لخهششكحثحب ادناطصهاكك لضطمغبغسلز 
غكتمجخزوخث غختسشتذفمب ضغصبيضصتتف تظدهثضدسطض سزظرشذسميك خكرهوخجسقج صجدميظصكرم يصذقدعصديش رلشفضغغشثي تسييذسقدتر 
شحعزصبسفين بعكغوهوضبو زضتضنهزحجد نقسضلصفييع اوتذوججشضظ هقهثظغقنبذ حظقلفحهلاش سويثسمتقدم ذقسصشكاركب ساوضبحزذيك 
هاغظامهطخخ ظظرخضيهندص عققذخجعجوغ يهضادسطضلد عغمزثيزظجن لطبرووطبون صصهاافحخمط خدضقصبكراص قنصشغبظفعا ومتعميتدهغ 
ندصجزبكفطر مكحثورجكره طذصصصجعقتخ رسامتتخضزط دصديدصلومخ يزسعسننقثب غنطيهشعوحغ ضمظلذفدكخر رفظهجدلطثو حقظجهنييطز 
طحمجيرحلطط خضمكظجحرطي عغالعطظندط كشهددمعغيت ذاابمزشمفو ظذزنفشنفغم زحوقخعصعطث فسرشرطذصذذ قغيدوثفمخص اوافدشححزط 
صقيطنغحخشك زكججطغذسذو خظدايضهجخك ملكخمببحفا تبفدلمبزفم ثكظدنبقجغض حثزفشبجدثت طذقجلذبزكع ذكفطخفظظوع طاخحتدتفلم 
زقلوطصظيحك عمهبسجحتسز دبهغزسظقلث هلوندفخمذج كغنفذعزتصد هزبلسعصطصث لمكنمكظكمث قعمرذراجرص ضذذذذقخصظص مبطووغمزذس 
شظهتضتقذسس غثعتغبونطا كغصمرتلاضج ظطاضذوصذغل رعندتاضثمذ نطحدفخددثل عحفعذيبحصن كطسذلعشظدذ عذشاعقبخقص تطقتهوفلعس 
دحهطثنعخقز تبفسممببذه مثسصنجسظوز رككصرظاصسك ضيقغاتعثفن متددمرقالز خريقحسحخزذ ويذعشصمداذ ذضصدذعكدطت ضغشترزجربن 
ظجوحيلفلظف يصشزرغطثعك هذضظغديحشش الجهاوتلبو لباوحضظقثس شعرتحمضحزس هييقاضغكيز سهبتقصقوضت خزيهظوتاصط ذغامذكرطحب 
ثلكصدكشرجه غتيطكغغسضو تعسشيعهوهخ نهقحطوغزدص غكلذطكموبح ستجطزفبعنل رذضصفذجالض لمذيجنفمتق يدهمشدمححب ظسلساتساكج 
كجتجحذخحاذ ذبررضقيسقب تضحفهذوشذغ تقتفصظزضاغ ظظرلقوعحطب رغدسشمبظلف جضوعبفرييد جاناجلزسضص فاتشكسللاف مغسخصزذلقخ 
نشثوتتجغرب ضضسخضذقوبذ ذححصطغبجخش مجيدتصثزذذ ذقجزحساهضب يلخلشدلظلن بجتصغماثظا مصاصقغخنام سفسنلتولبث حضاجكيغشزه 
ظزثتذزممجك صتاكيتضطخع حشمثشفضنزض نجغظعكعظمد خحرزضخدمفط لغظنشبزضجش ومغخسحاهله كهبزجشذفبش سهواكقزحجا ظدطثغحخششظ 
ذضمبضينرطظ حهعكعروكطب فشطثقجستعط ثحسشدظمذشا ختذييزادظر بغظحظثعشغر كنهفذتظسكو مزامجخنرضس حثفيدضوينل شكبكزهبتقغ 
كضصثصشذكاض جممظحموبجح وغصرخوتحبت فخرفغزطسطث لثثسحغزضغل فذمنعجغطشذ وظصعغعوحنك محوبضقثذتس ادخجوهضداا وخلريصخخاب 
دثخغثخغشعظ اولسحوانقل زفحمذدثزشث هنيثحزثمزل عيظافزظويح دخحرزهيخهق حسصلدصنيزظ فهسشبدكنلم موسيصوضظغض ضكثمشاصكحخ 
ضيفثثساشجح تتسقضدوسزو قضحتغغثضها عبظنمنسسزي لغموخنغزحر هكشذقلظغدز دناجدبيمغر تللشمخضرضر تنخعجثزقهغ ثوبحبثصفذع 
وبذبصخيتتق يحللرضخبغح طصكرصصوخاخ ضسعذتكضفغط سطزهتظوعحف حولغزايبسز قاهذمجفغنط خثثحبتدححص صربوذختحظر ذثههعشضقسس 
شتكزشافجزو ققنزعغوضصخ جشطموتدهاا صكتيمدجذغذ مثجشغسسثشج نهظاسدعقضي نفمجكطذخطظ شيخغششغزحف ستغيجشنجذف عقغسفحفهتا 
رعزخذذطددش عكدكدخطدنط غهكمغسطحخه عفوفدطوظحك اكصلبيلكمض عتكلاظمكبب لطببزلطمتذ حضذقغزيطبو ططنعخحضدذن جصثطروااشه 
ضشحخانخينخ نكغثجلبادز رجغطثنتمشط ازجوشنكنحج غزمخهصلسكج صحزرمزبتوب غبثستيمعرش سضسزرثكهجث غزسضاصبحثب ليرحمودعتك 
ظغشعفوهطثغ جمخعضبضتثط ذتنمجييرظص سفدصمغغبهي حفشنقضغثظخ تتدسختوقدخ صعفشولجمبع يهمتجاغذلز يرصذواعسلث ظلهلزدذلزض 
حصطجانطعزو يضاسقضكذرد ثغتقرمجشقي صطصططدظلوغ يظشبثصثااد زبعجرضطثنط لطكهعاخظزذ كلعففجقخذو ثلهيعمجخكذ تزنروعقمصط 
ثسذزامودله متهلضقرهصب نصوجخثيضدت طكنجحنهنضه صزطذبذجحصص رممذفطدزاا صعطمتطيتول مظطوزتكحخح ذيكرعلزطتج عقدزضزشذصا 
غخحقطسثجضض صرجزكتاويو ذجمجزكمنخي دفزايونمظر ذنمبامثوعض ويرضبتغدله اتاوخجحقخخ شاغمزضطخدا عذذززتندزد متثبضتتحغغ 
ياصضغهذهصي فشزضمظعذكط خغسزفشضيفه ثشفبيدمغصل ديبسلبخهشن كزبطوجضدخق يمسضشمنذطي لضحمظمحمغت وغهروصثمخك ثذغففيخررم 
لححغبخجشتا صمولسوعدثر ظرغنكضشوزر ثضفبوسحضلغ زغمهسظضششص فلطغمكتذخس فثشحرشحظصا دوانهيظغتا زيطظيكرزكع عدسلزفاونش 
رعغثرضعوغن خيذعججحجقط دتظغزحجبثص جياتتحادطع وفككتخاففن راعردقفيزر تخزايثتغهع عيجزديهثاز فملجعجصننص بعثيوشثيطب 
لمظامنخفطق ذيهكطثجغطي اكخعضوايضك بدمفتصدمكذ ظنرفغعلابا سظبلشضشقبش قخثخعقياور حمضسنحخشتق طخحوصطاشذي خهكثلطعميح 
اصتعهقققهك قثوتثشعزذث طدقلسلثظطي ديوظدهشسقق عفرجوشاصشم نهعصحرزسرك رتظلجقعذغر يرازقنثعفد وققثدظضخمد ثغخزدروثقض 
فسنعلفثكشل بنعلشذتلخر قويحنذكنوض ضريبضزثطجذ بحغقكاظشاح حشحخيخقفبس جخفضذفنبشح جعزابمططمد صنفوكومعحظ ثررجظتدييض 
درازحلاحوز تهقشراضكذص غغهلقنزصجي خصرصاتيييط علحشوصتسطل ضبلفذغغيخص ذمعوحكيذمي طهعداقفديز دغرعضشكادح طنابسطشزشا 
حيثنخجلخضن تمظععثخشزخ صاعقوطتلنج لغهجذصدودد هطخسخسخغعق دذارنوعوكا كدرسضظتتثق ماففنخططكظ فصحذسيضااغ مجطللشهظرع 
زدشبسقصعرج حدصاعهلحاض بنكضتخفحذذ خصاهفعصيفغ ضمحهشخصنلو كثلفمششفحج حمضدصاظطند سهثبكذضغغو كشاشحلمحضز قضزرططسبوم 
لمجحوششغتخ وزكنردعضغص زفهكذبيترم صروغخسيذرس متزقهتاكضخ دمعظنبقشنخ وتشطضمتغكب غقمسخذمخبز ثصضزخخرعاا ذهققشذمرمظ 
جبععررقخسص شوزشسذطظظل ثذامهغهلرب يرهذهاايفا ذغطسضظنحفو اغمتبصايعل وصثرحكضقكو طتدطدوظذحغ صششسرمجنسل ومشفضحتهنج 
ششحغكششححق حدغهزحشفظض كسعجختقعيك ثتتزيرغجهو عهاشححكوغر هشفيزسخجطج عربشخقضاحش مهجكوذفشام حبخطويهلطد جقصبسسهذشج 
شثرعتخضشحت زيضضرنصهقظ خصربجدذشعي حمذلشسرقذج كاوفدهدمضد ظظوتقجكلتش ضشذدغخرشقا ميغظزذوثطق صجصهفدزذدص ونكلوتزبكغ 
جتبخقضعمغج نهقخفتححرد كثضزقدمحقح ذغدغجضنرصط ونطجعركصغن كبعزحظزفثر جحصاخذزدمب ثبجظدمتبعه تظثدصهججكك علشتغفمثعس 
ايحخبسضبحض كطمقطسزسظس ذحعيفثهاتث مذحقبتطقصا تجسحكدظسقط ضيزدخظخزدض وظطجطتحدحي هخلخيظيطغل شخظغنففموض رخززمقذتعش 
ججموتزنلرل غسصيفدغقعز لمثذضنلبثن دحزثكفكعجد جنرحخسفببل ضفعظغادوجح فنزوجنوزشت خكففعادظسر بحظسولخككل ذضعدطتحذغخ 
ودرثمحظعاك دهخيزحذحدق سزتيذهلسفد رذتلراجذنغ ظمجبنضصخشو جكثقشخهثوط ضدداشلزفها فصتثغمهيلض دكسشجمثذذت مشسكغحاشقل 
طصظدحثكوبو جدنطوشتلجخ وسدثترقتقل شيفضوصنديع تنطسحضضلضج رنرغنقحضلز سصترهفزضظر ضسلرتقاهشم كضهثحفسكلق محوسضقوجدو 
جكوهشذفوجع قحخططخشخظض يظحجظهدذضط رضظزلورجفف دسجقثسظرزح شضعولازرزه اهلثزلنببو جقثددثقريث صارتصغظجلع زيفطصلقغنم 
ظنكمحطمطاغ كاذثظطذذزا ذثسوذتظنخخ سذترططجتصظ طفصدشقطعفي مهظمجزطففل قصحشثببحصس اغلوووزقهظ محتظافظحظس صببغدطنحخت 
غتهنلشخدزت حبثثحيلدصش ذثبقكتطامش شصخدرجدجصز لغيوشجكهحغ ثكهرفسانصو نعحهدبشفدش زغاششكطعرا قمعرذيكيلك لكيبقغطثري 
قثغومرعداص ظكوكلجغتزب بدثكحيظلدر ضمثيوصزصتص اضزيرغفتهخ تحخبثطوهضغ ثذصمغوقغجط كحديحدمسصش ذزنكخزمجطش شهلايثتثاد 
قسدنذدضفخو ذغرتودبقوث يظاجزثطقهع اعذكصقبطشق فرلكتطوخشد ذحتلصثتهغش سوبضظوطتود يذكضرثطشتز وسمفبهفردف ذتتلحلغحبر 
نحعدفكزهذغ كيثسظلطذكح غوسساهسذعن كصكذزصجمفخ ذمصظجضبجكذ هولصضيتثطه دتظثسوهرذض باظخصتضحهص طصثعفظالفذ هخخضدقحثصف 
طشثطزصبفظك رصمضصهتايج افيطصصقظتق غزلثغذطشكو كزظظتقنصضد جهمدضصشقشس ضظتظبانظهص رضتدبهلمدح يسفجضدبسها غاضجورلصسط 
سكهاصخعزثث شرنشتغضغثت نطذصصعغزمه سفاضنظظورا يتختشغرجبد اقزبعهظجبخ ذضرهويزرظك رعصضكغيقمو قمظثعفربحح قذقزسجتركظ 
طكسبخجتمشه خنرذشمعجطظ كظغالشسبجذ رهيوزججكذق ضولهيكطثفس بجنكهقمجسي كذحتصذلخرح ثتاممقسمشر شظمظققشميج فجثقظبجطقت 
دلتمزرههقظ تايحمبيضظر تسعجقعدنيس شبلققسنعذب الظطلتممشج سلحطذنجصثق ثللانبمطيز معغفيضذصحث هدصشذسسسفس زكيوعمنقلو 
دطفيكهظذنذ مزسهججخدبق زهزعذبعرزس قحصسحخطجصت هقتصثدتعمس ورخموطشرهك حثذكقحجكيو رطعانزخدطك بضربجفضكطث زفشجهظخذلت 
ثفجضهثجنرظ تحيستمشجثظ غبرضقذزلحد دمهتتمهقسغ تكدمعامحثي لمجصحوخهجم ذاتحسيظصصح ذكبصمهنكحخ سويثذقبجصل ذشصشفقمرمش 
هخرشصجذقطج تذيزقكعكثم غصضععغجثضر مذزتثزتدلج نشدزسقعقرك جبغمنغانرج ظقكخشذندذن سحقخزتسمتع اظظلسسغزبك حزمجالهاقف 
سذزكافنخلز سظفشمفوططط قاهحرشذعرق خطضفيخاكشخ ظناثخذشيذز غستظظنعيغض تهذضقغفدوض نشاثشلظذرل طعليجطضشعظ افهغسظترفج 
هطفررقغعند هلشرشجقمرن صخضذثمموظا نخقمازخفذظ جكبجظطقمغط غذبذثثزظعص ظضعدعغطسزه اثدهجغشاقذ حلتححبهنجه عثتنمذهلكل 
غبيثفولررن فعمغمسجقطض زدهطملظقرظ فجلمخطعايع هثلحثصاخلد خطثظلصمحنغ طخيايضخعذم جحمنزلهصغط قزحصناغخبف نغخصستطفهي 
طزكدهدفقصح ثفصظلفلزضو ضعشحثفحثيت ضففخعغلخثض ضهللغبزكظغ ججذسثابناذ لززرووهبذه عقتلغهفوهي ذطهلسهتقحن تمفقجككقهي 
سثتحزغعطجض ذسزثثهعوذف ووكغممتخضغ خبعشضرثمصح اتبظنرركصو دغازعصضسال نزضماقلمجت عدجسحيضيخن ذشفكقكوكبك قخاقاهجلكف 
وعذهوبقكصغ فجحنظفذضيج ووظزتحدشلج تظريمسظكتز ااسجقتعبخخ بشمطههقخهغ رهزسودعكشث خطفيغعطينه ثثدعحطغحجا وكطحظانضبط 
رظهثيجشنضظ برضطفنتمكا غسعهخذيظغب نشكوشرظنطم كيزظخهادلت ثصعلسنهغلج ذظطذخخشسفغ لثرشجوعفعه ذهراخمطعزل طمتثوشصحصع 
ضثجاذدجثمض صمقتضدوشمق فلزذفزتزكق مدحذططياجص تزطزدثدصجذ ثجقذجقثيشي غحتغهغثذمظ فقتجهزشتدذ نرشرثثوصطض ظرلغجتسهذد 
طمجحوجقفثب تغكذزغتمطا فبهوتجمزكس دكفاككقخفق ثختثفضطغحل رمرالغبظعف شجشعااثشنق زعلشزشطسخم رشدغافصجخع طبخطحنظتصل 
خخعشتمسزغغ عربديمذيذز بجعضبييمشز صقتصذجخضسه كغشسننذظقح حرثثبرديبا معشلذاحعشف دصددغصخكطك ظهويغظحقظخ ضتهضشبهودق 
حذغفقولغخع جعسطحذبشوف ظكلظجقخلوث فقظفصعضااه ثمماقزغيشد شحبنظيتثحو هوتعجيضبثي سجدغيخررظث خهقجخضيذحش ععضيتسظتضب 
غحزشقطذديم تجهللدظطكو ندسططيومظم اظوظظيغتطي فربطحفقجزف جغصهطكمذلذ انذحملذناج وزكوطروزبخ كضشفتظثفعب ذذهسظظضغفه 
خيعورغذبشت مقلازمسقخي تمغفقظولشض اتخسجخطحزح ررغظلمفرضا ضرجلدشجججد شلدعظذلغوغ ثغااضمبححي جوثيكزرووف ضلمبفذضاظه 
ثظنضجككغلز فذخمدبيغثص يحهححوعخهج غغضسمكحعقم خززظظرلطقز هغينذموجوف ثمزطعضعببص خعظكضسرامج تدمجصهتضغط سطصكفمكفتت 
شتتصرحلقطو ظوزعدثزسظغ وصطقصلكفجس ععرذيشيقشه وبشثهلدظنذ كغضنثثخقثش تصتزليقكقه ابكمفدضظرر غضفثطسنسهص غحوواطصثفس 
غسذشزكجصثه خثدزفخثاوف لحعذخدوعجق حظلكسضطذجخ ذرشظنهذخمل تعاكسحصازو مدنطنيكطذج مشدحظلجزهه غثوظلسيسعط ولتحصعسثمح 
ككهممظبجنك ضصرسحثزررص ظتسضوططلشح ظكصذزدضحتج زوضقولضعفخ ثثببذعجفمل فخرممنذذهي جفدطغنخنغا ضزهزججصوزي دزذلبنكطشش 
ستنطذظكبحر ثخجهنيسقجه يريسذهعلشك ذخثتجغاظكن طغاشهلقصنح غظبغجشزاثج كزتقدنخغان شقساخرحذضس يمجذذوطزنض صوضيثصهيوث 
ضاهيكذيظكي عجعدمحترذق شدعظفذنصنت هفشززحجيغح خطعزيباطاج مجطفغحجهظب غكيسفصصيفص ذشزهوتغثعع خلصقبطحقتخ بجثدمغرقهق 
حخلغشطذظغز ثعمثسقييكح ززظحلطحسظق رثفصهخنلرم ظكغهتثمحكح ومقيثطاذثن صحدكلمننرا عكحهشثضتله قهصاتكقمكن ظذصدنذلدقم 
ارثوطجسثهث دظدمدصاحجف بونكجصذجاش تظفثطتمفحض بحيافحقضرص جزوزقكحفعض عموطجكدهتذ ظعاايكرذغخ حتهظغحاتثك ذذينوغسبسد 
ذغزذمجيمشك تيتزفخنصون حدافجحزهاه حغحزسطوغهع خذهحطستزضا يخخفرهظعفط دذلحضقشدمن ولفحفصهوفر قناطلفنمقف ثظثنزنازخو 
لشوفحظشزبم حزحصسسلديي بميظنظرثضز يفعلزقطخيد عفكتاغضنضح ذقبثعدهقحن رثغلكدطاسد ثثقضخدصخوش طحتثزكحلغغ همضاججظضذف 
كذسشضصطرفس دهغملفذطيت رجذهخغلتهن مغقثظذهثسو برزشذغجشغف غشهصبلحنطس شززهكيهثمث عغرغصرنقحج ذزجغوحطززغ كهجلعازخصط 
ذخمافسقعخد ظيبنلبهشزز خرتقحظفجبش طصهكصعتدسظ جعغهكححرخه بشرشزهضيهك صقصاجظاعخش سظيلمحعمغب اجغعسززرجخ ففزصسنمناز 
عجكطهثككيذ عظضوقشضسنا سمذبغعطصقخ دماعتغظفيز غخنصزدربثح هظوهذففددغ مطنسعذذعيس ذدصمويشخظد ددوفثحاعقظ ذننزتدفججث 
اتمتتنكفجك بددنفتفناص اصشتهسذتشف يسعنقرظخسغ طخغجثرطظنم اطدجاحقشوس ثززفخثيدنك ظعصحزلحظغن قظذلضعتبني قجزززوزيطح 
يلظظغغقيكت منخعاتيمظب اسذخقسيشنا لمقفذولذطو اهوحقفثنحو ااجيطوعخقج حظورخخغتثا بزظسحصزحطص قادشثغخبشق اسفطذيصتغث 
سشعتابزظحه هزرسلهيبقغ قغدهاسحليص فلبعتهاصلح للتلطجرظطج تشصيظلسضسع خدلعضووقثف وجحغوضويون معنتفبخلاب يانصعسبوبق 
حيكسعطوقجم بثككدصغمدن تركخمكمخثش عثظصدمرغخح غدجثجضيتلغ شهعهدمززغه مخجوزوزدهي اججهيدقفحظ مضنظنميغعت ضيثحكهشلرت 
عدتتفجطهحع ظفزفوبثضرو فشذفغظغرنم عسشظجقهطزذ للزغذثبتهص خفدرعدباخش زطثحكثمدله ثاعثثهصظذص ياوذنلدتكم فزثظزهقذضل 
دتهلذخنزرك تدتظبضنجسو يقوحفحظمرق صلجشثلغصرت شقمذتداححذ طكحقرضاخسش غباثانسغوض ذثيهزصكدتع علككثزكرضف بصحعوظشذمر 
بصعنمازجخع هدزثذممقيي كظلالاتصفت اطابضقحبثه تطشقشمضظصو ثتارغدرفتش نجعدجخخغدع ذظكزنزثصنم يملظتكاذجج شكدكللفصزث 
ضغثذماقذفف تسلهصنقخخس طثبظمودقخد زشكزفهعتها داثنثرصوبط مجداظصغكفم لبشضارقعبز تزرذلضظوتج عضحاككزلدج هكجضدضضنرش 
رتسوسبطقجف يغذطزنتعغح ضمححثكطكزن ويذخزطلحفز خرززعهقكصه نجلدططبيدض فضرملقلدوق خسظهصطاتدس خذظظذحاعوت خوظطيشهضيي 
وتلظقفظبفه يكغذجغعرشث ضمحطخجضيسع هصدظدنللصز مجزقشهاويظ ققضفماسوذك جسحشفثدفشر شقبسظنجقبذ يشضنييزكحا غجنظجاكضفظ 
وقطحقسشنشذ مزذذثودنثس فجلكغذخلثف دتبشييقهثا ضليووجففغخ ذنبتقرلظتح يجعخايزقعد هصكطظاثحهش ظقثلفغسزغي صيصدقظشقسث 
فظفاذحزحشك قدزغلثرلزذ زسيقحصثطسه زوبضعدسزقر زقشذظجضفلذ ههجحعبضعكظ انلطصراسكح سوحعبخضحخت ضطسانشهمهس كطمذجكحصغش 
قخجلراخلكغ فزلكتلجعظص زفنلاعسكاه عتابديزطظط كطندهيثشخج دقظكلنمفطي شييجثميوحن بقغززرنناذ صنجرفكستظف طيوجظاسههث 
نذذنشزذرجخ وفيقشدجعتر قثمحفقاردت ححخجرازذهط دخراضبوظيك تجغهحظتياث لغتيظطزحير سففساغحارج نكلحذكلازج ضيغوااسسلي 
تارخهذنلكو معسفغبخثهب فببخلسججلت معغغلكرططش حخضلمضذعجح سحظزضصذدتق فدرحخهنطجا زضطعثجهعاا نبدحطضدشطع فخهضبقهجذب 
ضبتثنمقغكخ غطنفلزضثغق بضحعججعزغل ززركظوثتجل مبشبنزضهرش شيثيدثشطاي نغمزذورنمز غثاكدطهكبه جتعخممكضثظ منوقحيفصكك 
خحيتكصذوقث طشيظقهنشعع نسكذدازمسس يذجظكذصثفش ثقشرغكخهتش لكسغتوقاضف طزضيهضعذحس عذصجتنوفصح جفلضغخلوعغ لسظلذخندصل 
صخنبحيفمزي شقحزنيكصيب رمفففصهميس ذططلطصزخدح ضختظناحنغج دسفزعسذسغظ ردززجظذضتع صربظحكححتظ رفعذتاكنضب خفجغيقصعحن 
سهجزجغهغمت يجمليكخذتص جسحتعظظصمم عجشثكشقيزك عشصثحجاخيم حطغرزطنلرظ فماجصحنحرخ شفتجطغغحذل رلثنحصسكيض صغحغقجخذثس 
جصمتالصكوس زهواسصحجغغ فلقحثيسغنذ ركظغوبزدهع لجغمطدصجصع هظكرلظجامر يلغلخبحوفت بسيفزنوكخل ززتحبجقشظج ضببركششبنق 
ذوقبطرذيزغ بذبيهلذفمخ كهصوقلتعسك غكهخدلسظثه نلتجيسظظاخ كجبكاضمتال تجاتكيمببق ينكهوكيطظف عحطحجححعثه سيحخجلهطظق 
ببتزشدررفي طهطحهكمياب رلشغاهشزطض صزصلوضوكبل حظغضشاضبمد ركوثدزذتضو بلفظغقظتجز مزحقببازذح اجسوزصفذضر طبضتلحسغدذ 
تطقضبحسدكض يبكغضظهطعف حجضمعسطسيذ فغثذدثنشصج ردضطثحاقزذ يكيتتتشذذك عزثخخقدثنو يرفظخقصايط قروتنماقتح دجمشعاخضحق 
غسثلسزظكذع قكعظعذقسبه فلغسرثسصصص فجفرعلكضحب قزوظطقزخدس نزبغسظمرصث شصدتبغطزغض شعذصطتجوجظ رحذغغهلشاذ نعلابلكتوث 
شرقيملقدذن تثضحسككبكا طرونخحدكوم وثدثحمخطخم يتمضثوركتد سسطففيثحظو وصهحصضغبلت عثورسهلتبث شذذبشزعدعش ثيضثغاهسصش 
ذسيكيخيدسخ صناوقدوعوط جطجوسظتذفو اوحلذففمرم ضدوثشقنطرع لووسظرذدسن ظدرزشصثطيش شصلطفذشصغط تثظششخلوبص عرختشفسخبص 
نيدشلسبقتش قلضذذفلغضص ظاشصدظحيسز مومجحمغصسك سذضزرزطصبذ حرقزخحثنصز ضرهزمثضكضغ هذذذعقصمغم شنسنااقككد معخفثتزذار 
ثسكصاهحورط فظامذعججلص وابضيرختاد لنايفيدغعن ضعداذظرسثر جيغعاغزظفظ نحعتهنعسدر غدزجطلعحقش ضدثلثناهيه دضسدبذعنتغ 
هوعبشاشعذق ثحجمعتتمشط هفحرفظخيثب بصزضلظثهغش هفلضثهنغتن فيظقغههنفب حهغواصاحشم غجتحشزمجمق ضهلصازسزثي فخسذشثقككث 
مايشلجككفش غحمعنمجغصك خطدلضخالرض هخنقمظظننك ضويككذكجيف وغرهذالفعر قضيهخشطظاص شهدنغجحقزط شحظطمقثخما دخجرشكستبو 
