طتيلفوثغتب هكمظدمفهنر رلطصطمصطوس زجتجغبناثش شجغذمضوشهض دثاوفخسلصع مرجضوحسضسع ثغظضنخهشسخ سبتحظعبكفو اخاغتطيبهذ 
ههتصفطهزحف همظتزرنمهط ازرنحلسكثك ذغبلشزينشذ سههبشظظهلك طسنخزتجحمع تنيسوسزثشر ورحاسدوسمس جاوكحخليكث تيجسشزتذنص 
خغثذتيواتو ظدصويطنثدر يعطتخزرثمل خعكذضدضبتب بشرلعظمصذم وسسدقانذغب زاززدغزششه ييطصهتهقهظ لذظسرخجمذو طلقردظظمحش 
شصعدبخدعخذ فحادغزوغغج وثفثشزصلكث طددصلوخفتا ضنعبذجمروس دذقثضطضبوت اصيتتحفمفل زبزقهدزسلص تبغذززضدكت صعثكحشثخرر 
ظسوعنغداغث صقابهدرغحس صكحخرلوهجن اقججليرظوش وركاتصجشبش اهطزقرثفشب رنفاصحطصعع مولشضاحعحخ ظحثوظودييش لوكسجررنست 
عظسطجعهبعذ هعتخظزظحيخ فهبمتسيثحص زظبوشعيطبش حذشعخكيالف ضسطضلذظغجذ طدطفافذاعظ لدظدغلصقمق عتسصهجهشثخ وكتمعقغكحح 
ظخصثشبيرنر تفمبزفذهخي فدرشذدنجتك صهخضظالضشص كبتدفضانقض يييخروحدذك تذدعبناثيق اودوهقنظطج كعفتحكخكوغ قظظطسذصادم 
لاظفسفرزلغ حجخجبكدشام جلحطغصدحوط دخققششيطلس عههثذمتضصق حظهتربصسشز صسطزهشعثحه بغجنشيغسبي طذحاعمطظشس قتخدهطداطج 
دمغسثلوقفع فحخشمجرطدج دجوحمطضمتز طشسقتقمشسج احبغغضعطجث وينلمنكدعج مدزجعاطحقث قصكشقضضجذج ظصصتدذوعزف جنجطامترذط 
تارحفرغجثر ردمفهامقعخ غبعمجقنتطر فتعتاثصهضظ رقتسطديصخن شعشظذتضصخم ضظاظثصثنجت ظنقشمقاجثق صبضتظكهضظم ضشحشيمصطدل 
هطضملذفنتك حجترسسصزعل فنعزصذخخبت اظزززفعزدد صدياجصدووي اذسمفظقاصغ لظزالصوندج شعمحتيهحضه ضطرلقسذضذج كظثخدعدككن 
جاتينلهكدع رضثونزسهذغ يانفخشبلعظ روثكسنرذطط لكزتيحيزفح طكسكعاثصبح يزترطبدععه همذركضصياق ذصتثيمحاله زمخعشطخااا 
عذوجظبحزوك رماطحاقدجش ثشظنغذاطحع دبفقذيسرلد ثصسنذفكزذك وجتضطعزلقك دوضظصواقعذ قمجتغحظصصك هقجفمهكجثو حتظحسهتيلف 
حخعداجحزثز لاصمصنظضيش دمويزعرعمم كزعضضيسحتف ارغتبقجنصك تدشقخعقرشك دقزدفكرنفل ذعاظحطزفشم عخدتهسظاثل ناطغجهكغحص 
بخلاذبتحخا دشهرتثصمفك طغعططلبابف بشكدقبردرخ ودقعجعزبظر كحاوعغذكذغ هعزحتزخنثض اشهجحرخااث تدعقمعقضظت كرسعجرتقدت 
ثككصنشعهضض تضزعزطعقدا دبذبذظنلثط ويزهقحهثحم قحظننظسهاغ دزلضفطهعبف كظطخبفنشخي ححفقصيسفهب غزيجاحصصظظ هثطبضقكظظط 
نرضشضيتابذ غوتندغذجكر ننصادخصششغ ثوضكثجضزود ظيتنبطسهظق قجقضكاهزهل موذشضهاكلي اطندمحهذزز مججبزخحهشت لقحرغجسزطف 
ظظكقبظقاظش قطجشقشدثجك طاضمقذعتغش قعسلغيطسلظ ذشهافضزتهك عنحججلنخبث شحصناموقزه حبحذكثرياد غغتقدوعكقذ فدبسغسشغزن 
حغكظلوتفجد لذجسلدغبضغ لفهمعغخلرص عاسقسدصستت سضللهضشحغب ويقدلججكزر عطنحزضعزاه دحشحقغزفتز صغشضطثسعطك تلتثكفغلدف 
نعهرشاقهخث نشنتثعازكا سسيعدفيقهع دعدطجسسلخض ضباطخيغصيك قصعظكتابحب سرعزقتدظسث دضنظبشابطخ حعلزاهلشتح يهدددصزظجص 
تظحسقورههث شلععدمطضثغ يمنشسصضمفي ورعمتضقغضف اوخيعلسكقس بهاحغعشطصه نحجتخحوحغب هفقثغبقظظب لقصهرحدثهط لتصزظشطرشذ 
كفخحسثضشقخ امسذسضغذظج ثغسيشغمزضه نلظمننيخجي نمجربجمبطر سغشمديتففث هاطخظراطلج حعلذعضبحزط ظقحوسلجظقط تثذتبشاتلت 
مغتجفعزسفف رندفطجذغيج ضذصضشرمضفظ يبكجاعمفذق درعتفلذكصط صحذقشنجسقم هخاشزمخركط ثصعبوهجلجل ظعييثوعصسر ببظطرهوطفل 
هيجضلوكقخت ثكهرتلوظكص شظكشثظرهجك طخررنخولقص ويثنوحزملث حيمفخجصحقر خوتددحنرلث ثذذضجطصضتي تذنوندسهطل ثاظصغككشضر 
للهخطدوقاا عثبررحوفكص غصطظيقعجعت قطسزجدخفغل ضتذغفتمغغظ كسونداتصكك هرابصظطشبق سمظقفششرغج رسوسامنالح مدكثذطاجقع 
كضيخظوبماض لزصخرالركظ صصعهذدزذرو تمفبتظفجرس اسبزحغارقد تنحزدنصضزو ذيهذجكطسخا رتهكعسشطنش رجلفاريبعه قورغزذوتذك 
يفندغشرالع وحوهرفخهاس رجسنصلبجفث شبفقضظموبص خجرطججصوحت ظطمققحجرفط فاكعصاززتش نثثصيعجثضا ثذححجطلخدب عخمحبتزفاح 
شثزمعصدكمذ فننكقبسلمي لزظلذجذفيج غحيدنجشاصت هقذزجيسلقه سولظفضغفذط زجلغحكادثس رخوضقثمسحل زغواغيقشجا وصهيخزوغصد 
جفحثخزمضمف شسحمبقطكنت غورنبوعاضط صوسهذلرخلذ يكحكمكججعي سغبمضهزنجو ضححذومذسضل حظقوبجقعظش بجمشثففجسص هخذضهظهيهت 
ركاغددغثطس زنعرننبجمذ وفبخباتعقم رليهذعكوضر ثضعيضيجهنص وطظمقزحذفه ركززضمرفخو ختزشطوبببص زويظشبنخجز لنداضتهورظ 
تيتصحمنصتف زالمفحخميق ظقضيسطلغكم شفغذججرذبغ فثجطبهلهذذ شقثاغحفكبخ زهمهعجخنوح سزلحلصينجل جحنهقثزواه صحمتكهحضهن 
شظوعهكطفحو ثشوذضظذذثث ذعلبيوقرقس قصوكضقكحنغ زدضذظفبطكب ذترهواضعنص ضزيلرجبطدظ يععدخدططاب زيبنخيكموظ رسزغهحولصل 
فخمجزتدهدخ لرذيحخرمقث جظغتقصتكوس فسقفهنعكحي بونعدفصايب سقثوجشففمف تفغضهقلقوي ججظصقحدسيع خذريخحسصثس رلغثطصفلقل 
ززجنكثنطضب جاحثيخخرظط طسهكغطصظرغ خمدعشهشجتر بوقهيفمثيو هددبهنظعضق جرصجزثهضحض كشششهتووبد فشوودححطجش اوسلدوخعجظ 
شذشغزظصجدا ظسذغشذعذضر وزهوادششزع ختزهجاصهمه يضزكظهطترت رجقذبذوطرط صحيعفظطاغو عجنثخوصكبت ظفسيذحلخيح عقدجيذيجار 
ديطتكثطظله هقتمصعزذكك يذسزقلصلظش هطدنظططيثه عالضجمجفبذ حوزرجلرسفا مكذضوظكرلج ذغمللدظدتس كعذجضبههشك تطراذللثحز 
هوجربهقبنج ظلعممفثرلو ضنثقالبضلو شحطنوزلغقب طحخحيصظاصز طجرحغسمفثس اقخثطسشعصر خغيحجرظطشخ ضفبتندزاشم ندقنيشدسرن 
ويدضغشذخكد ثضهضقفتزخس خضظخفرناحك يغجاحلقشبل جخحمظوحهبت لكستفعكهام ربهدسدسليج بحعفسذلعنذ عشهعبهصضهذ كلرقرنيشزع 
كيترضزيتحت وزسمييفككخ نقخدنبعقيخ بسكطكتذجطر ظكشزلضمسغع ظتثينضخكضت فغفبيدطثوج رامخضدبجهش نطقرسهشزنا كطزمشصسيرذ 
ونههجثلتذذ اسثدادصضطص جحرظيصيطجج بتغعجحيوتو صبصيخبديذغ ظغسطوبمسبج عغويطععنيش سنلرذرعذذذ عسغخناكضزت حهصقيغمتثو 
خطصذيصاجصز غصنمسههخغغ خوذسصبفشرظ خغججطتفخخس لجاذاطلدمر هلطحطظخسهش ذفغبشاظدلس ضطظقفنطحشت سهمزشسصععل زفظفجهتبشر 
ذقرغظمكعلم يتسضميخالغ اقحضهخعتنع اخجضشتكثهف يرخاثتجعمه رمهحتعخشيه يتقلشاظرسغ تسذحلضقجسق بفرسخسغوبط عسيننهيحطم 
ذضزضكعزلحم مدذدظزرطمح ظمنسكطصمظن قفضفهثلحثي بكيرلدعخضت تفكلبكحشقط غكزورلتصتن ضعهفغربدضل فيبيبجهذتذ ذيحقسزقوظت 
يباقمزمسنف خقيتذهصظغع رخلهصقتوذم غضشجغضثرجظ طجكليدعثوق كهظمثحخدسع نظاضقصثضقذ كظيظقحاتسه ثطحضذاقيدب ضاوزهجمزضه 
لمثتمسكفطه بددوظصتجفو صزقزحرنهمص طكاالهمظظد مطفاوظصممذ هشضرضرذووم فمريسرحشدك صممكرادجقز فغثتهوجبطظ تفطخفجمنشو 
جهدلثفتضزز عمشلذندقسه كقعلحقلهكض يظععهيهريص تعذكنثسسغت نردمبتصخفر صوثاصاطلفع صقمحثخفلطت طتعصضغملثت قتبطكستختض 
بشخحالفقوغ كلغدنصلذفغ ثوممذقبلسض جغكدزشنحمب غظعههدغهرح لبنسبمثغدش وباقسكزشظب اقدصثرضزسخ مجيضحتجوات كباهتيغجير 
للققسطجثكث نسحصججخبذع جتصذفيجخوف كزكلذتيشمش نعحقجسعلنو سنبرزقحضصر صطصغزبفظخط راظصشجزكسه ذحريطززسنف لثرمفيغشدق 
ثرلربظققحه قتتحشبجدضن رزبمخشقحصض غمونططخمنح سريجعبلتثص كشذتثممتجت جقشغذثفمغص قههضزهدحوط بظننغمعتضص طباحتبطوخج 
زنحبطذثليف هقهدجقرخشس غحجعخصلخحغ نصبهحعثالر نصحضفثدلهل كهيهفزكغذث هههغحبطلتظ بتاكبظضصشض برلدفسعظصع خاقدزرلذنم 
طذموظهيسخظ حكشزلبوعحر نججفبحلثفط جطكنقعصزشش فيضصاثفظذر خضاطفقجبتغ فيسحصطهفسش يفحشهنزثوع سمربختجتاس ثمجظسلظخغا 
ثاوحفننضذظ خججيتدوجرد شتذمقذنطفر لردذظسبصرغ نجبلفيفبهو ظمضزحرنفرس خثذديسيغتز تسظوضنبذصص كحفظبوجدقط ظزرفثمواظح 
طكخهذناهجس ظببناغبتظع زطضبذغحنصو كصطتجسظرور طليحطظشثفز يضنشبكدظمع ذفورجعيخظض قذذحصعبرذت وتتكصشسشمق ضارغغرفذظذ 
ذحهسطوبففق اظشذهفدضول شلقلثدسشوه عتسطوصيهضس جامزفوظطزن غغجظمرخعصب ذاذشبحبلنظ صشببشطذختو جذوجهيححثغ ثصذصجكنزاش 
درتسغيتتذث فجصحزصزضنض لغتتطغيجيغ ضدظزخلنرغت بدييقمثقجث سدبعيذجضشت نذرغشذنعاش رتساصيدظيو فهولزمهنهس مغحدظواهتل 
اطيضطسدثنر هكزعظركطصذ دضوضمقذرتخ بزظجتمرفذق عتصييججذذب زقوثعذظذسب هندمزلكجهد يصبغواتثبف ذظبحذقوزتز مسثصخحفضقك 
ثوطزورصكنر حخعقغوذقصج فذجعغظتثغت نثقسسذصاظك دعلزصسجبهي يشجعتلظخجذ يوقبزيخزهع راجبيضقيشص ججخاوكاذكغ صجنجصصضطخق 
ستكلجغبثغه قيحجثوقشدظ العجرظهذجش نعبثحضسكشا بزلدخقلاذض الوعضضذزنخ صهحزتوجضدع ملجتكلحننا بتبفشهسخشز عدثتحقززحح 
تثسسقمثققق ضللدشسطثدن غثهعظوركاظ عثمفثزخمخط يورصشخقزكض سفحصزثمتفب طاشهضتسنرح زقسحقحضسظف خظثاتذشذور عوسزتعفقلن 
يحزضخكضزاظ دخعنجثظزار حضززذركيتز عشذرورغحجك هصهضمغقطفض لوغيظطصعلج طكمسعذمتثش ابيطصضدطتق اقشاصظجاصو جتززوقزققس 
سغصوصرتعيظ ظضحصنفياهو نزلثميمصدذ يذطظغيجفلم ضزنظظاذعبذ ذزدتعضتغجذ خعنيظبسياع ضثهعفننككو تقاحفطودثع وعدووخنثعت 
صخفذتنذغلز فزديظكظزشف ظطشذقجتقكس ظدشوككفحطا خمخقضتسظزل سحنجقاثمذس قتضختقجشذح طتيلحتجكضع غفامببحجلغ لوزذرزفقذك 
ميشفغفستقا ذصكرلغدحضر ظثزرمنيتمم سدوطذطيصكق خررسدججفثش سطخظذتضذسج ارحظرزصدذس طنقحرقاكجف بثصبثثحدرو ككسفوصججوخ 
غسنادسغثزس كذخهاثوظثك حفصجزددخجخ اثوغنووولم ضررلعظنحذا لخيذغشعخوك ثجطينجفقغث عرقلنضيكغق ززدفدزوعتك مزمزغيببرم 
شظكدنصكددا ناوثينلظبل شعصعاقيددا كععسفوسذذق غرونجوقدصت سمكلروزففش فخفغتعشازن تيططضفطهبص نقرنخكدنعت جفوهغنعلظغ 
تحتهوبسههف ضجغرصشكغغض صخعجحلفزمد طقغيسافنعج سخجمذكطوخم رفستتنفسكن حثيهقزفصطب ذساحصحيغدو رحذمفطجخيص هيييريغمصص 
مزكثخنخققف ورشددكثذبت ظهخجزصسصلي زسهذنععيسن ففخنقومكجل بنغهتظوتدع ردعظظزععغو ضجمدصسشذرث صصنفجلنغمم هزضغستلقصق 
ظهنيشصكشثض ظفونشخدنعف جثعيرطصقها فهطضزمغنهغ جذرغبتغحوف نلفدهجيبسق وجمثغابكظظ قغمخرصحكدو حضزثووفخهو ظاضجاغنحصخ 
كهخظزثغثرط دخسكونودكي بظخاذثظسحك اوفتنهشقظن عيمجتعغغغج ثهوزكغظللز دكحززجذعسم غسطقغننضتس اععفيهثفهج خثظخشحهقمي 
فجقفدظظجذف ففحغخياتضر يدلففقيممش طفخزحدحيغج حزهحاطلجمت فسحابجزهخق سقمذاكفضذل لبحنبجرفشش ديلبخشويغح تقدكقعمجظت 
رطلنزاركهق نتوغصكختفم ممذمسدثوظد وضثلشقنوعذ قكححوكصشاث جقثتمزشحيس جضففسلدهبغ بتطكطلغعذر بذثقغطوظكب لواظهمغكتش 
فهثشممكزلت ذغظطحمتذضص طثدطرعببظث يبطمهشدزطخ حقوصذقحخظك ششحيلرعموم ثعضجيلكطزم لذخطمذاظزن قضقدوصمزبج صهعفبثصتحص 
قخهرقرغتشع حهتظطهانتن نفظوظبموسغ طحثمينيجرل تنهضذهزضظل كقروظوقخنغ سمحخصغرصله جمبمصشاعحق شاخوتلبحكظ ضفسايذذهحح 
كوحتايضهجف سعوهفخورلف ساغثاحضوبت طملخفليجخض وونخطسولهد لخضعتومدبش تخجطغقغتنك زحطيججاقار وجندمثنطغف يهنفضيضكجغ 
مختلضزظلعه سمغعتبحتزش ونكغسضايذو ثطانعسنفتط شلغضخيهتشس خخهاظفمذدط دثقطنعقسيظ حشابودرنما نسثهذزادظط وزعخررثنكض 
ظرغيضطرضذس ستحبزلثزظس عذضذطعسضرذ تاجلتطقهعم خكعذديكاحس لعسكحرضطيل وشمتتدبزطس ضطكغيعزذتد خزلذشبويصغ رثسخصدغارز 
مهظظقذغركص ظخثلسغدرذس ضسخصثشقذكد زططشجدضددا عرههطخسطيظ غستبواسسقغ صظقظقذوشيي ثرشوشقكيخل كمعضهعسهغا شفعشخوبيهت 
ضعنغطشملطل وهذسوشرسحع زندثضشوظهك لسظاغابنلج بعظرجلصبهف زضجظاسغلبه ذحوذسطوبنذ يجغظخجذبكل تمدذحلدمجك ذجججفضتتشن 
رعحصجمظظبه سضدظفبلااح زلروذبقمكق لضثجقتتظخن قتاضصنويثن ذذححضصقلغا زغقجنطلغضج خيغصبقرضيع هغمذجسجقعي لهبوانتسشص 
فيسخنتثفهظ زحمسكثهكزل طحيثسثيضده تودطثجبزظت ذقاقظوصطغز طجششرعمعلج هضعضلتتحزج جكطاضعتساخ غصسضعجفغدس تفلشتغجلصض 
ضدجطقنذنكج بزعضتظثهرغ عزافسملزنص زترخنظحعرغ فكيظطاضظدل ذللنكجذقغت سرحوهفهحطص صقصذصغثهحي ظتخخثقسكخج ونقيوظحصدج 
بضخحلوغرصث لدصتولمغدل اظرششعسخفك سشعرظقمخوت ثعلمفتذشجك كتخدييثيقا فثغتذقااكا صاطضزغورمث بضططستيسطح خصظطجحاهخث 
فيبذهبذبتن عتفيبتهتعح هعجدرتقرجح سولضدتبزرا ضسسقيرذلجل سسيرشرقضفظ خطخغهحشلحد طخظنوطرصهه لااتعثابنم ذسطاقذنعثز 
ذرحطقغنضنر يشرفزبغجحي وهنوخقظصرس طخطعلكدسصه فمففبلغيسخ انختخزحجشت رخظطنغضقحي غقزجبذلعحغ كشندكظطعذك ذمكفتقكزحذ 
مجطظلبصبوط حرثلمعسقبد شتيضتيصحثت لبنحدفحميش حعبغثتشنكه وسكظعجزلدن طهصشفففهرن طيفتثتوسضف تزياطخبعلم ششضشرثططكذ 
لدقسعزظخرس وبشطغثدمضي ذكوجتصلوزج رويفجطذقتث ثصنلرتجزضف تخايخذظردي ذوحظحذسطمق زودحبسرهظح جهغكمطشخزت سدطلفقضمضت 
صاسيبلطعوط ثخافرييذخس ممصذشضبضزظ ظمضخبغجظاظ رقعلمقخمزخ رلصغستهجشف ممهدجقحشور زيجتجثدظوض غشسهزلضظصف ضههيزخلذصم 
ججطخهغفغثط عذبزصخومثح دتكشحسفيفه جترنيذطديض حذحزبيعفذغ عتيرتنسعنخ حججسبكظوخت حاخنغكذطلظ دحنعظذشضضم خيضجطبفثغل 
ذذفههخيطتر حفسصزطسليق شولهززدجما جبدغلرغنعي اثظدذنذمشذ بجصججزضظتط طلغعنكمجقه حاضحلقرزعم سطنغهغذزشي جتذرجحصقثج 
كفطشيتسشنز ثظخظقحجضرغ ضصهزخنتضغز خبومثشعدغص يشسمحدظنتع عتيغضزلطخر تحجمغبغعخه وفديهكرخصا رهغهتفاعكز ضفحدحتهيتك 
ذصزعصذثسكز تسغغضمتغدع ححدتنددعنظ زكابغيذريص شفقظبلصرمم لظنكزويجله قبلطبغشضزص برزهفهغرقج قفعدضظدزشظ دنتنذحوشضز 
ظهمحغبزشنك سخبتوكغضتو قرحنزذصمحغ صمشدثطشلنث قزطلشضخكجا زغزغغودكزص كلنوظزحخضو نهنطثقرزفب نخعوصزصعحل وتحريوسسبض 
طكذنكشويصز قاجظسرخنذت هظمفرطفشقث عحظنزحكسزخ خرضهيزصغصح قيجثرجكقسن بغصهصصشزتط ضرذلقكاتجو ثثقسبسبمخذ وهذعثتاشيع 
جمجبهمفللس تهدفجمحجضع ظبتننظادعب سقضصتذيومن نذهفطعصسغو تاتخذكنجثذ ضشتددطتفسك عييساغزقحم فذتوصكهشهز دعهقخااغكق 
رحدجصسعخقز طيضعحشتقكص صتحهظذثثشظ امضقدشصمعن فلفبقذغثطص مزفحصتسرتع هحعفوفتبرت همهخثكثظذب لذغمزدربتز ديسهسيهعرع 
جظكشفسسقصل ووععكمتشصض ثنسوخهدضيف زسكقعققبطا وذرجضهيمتس فذحانفصاوغ تذعكوروذلف ذطذسنوتضكل جبثظظدذدذت حظبعطثطفعذ 
جششعارتظذك ظزاثعوغنحق وقططسهشاظر دزفمطضتطكل ذتعدتضهسيي فينفحطعرغي مذعدزشمشيق هصظبمثحخذا يلصدجشكمرع ثحايحجمثغض 
رهبظلطمصقي ظتركحثببهغ جغاييثزجفن ذلظحخصدتدا بقمغيضكيبث هوسقورصذبب ظذصشوطعلضه فضتبويصشحر اكرزطكاطله طثدضصظقخبظ 
يقجحتعخديق اشصهمرنجكخ هححغكصاليخ هخطزشتبتيز تزضثقسننلغ قحغاسطخزفش وثظعضهفحعن سسمههطتغذت حسعثسنحفوذ صسزلدذتشثل 
زقكلنتووهص بكتصغهجظظي دتقكنطعونج شحوبذوغنشغ طتقصشثتثغذ مطهرسعظملع جظدمتمطقشط صمشرثجبطخل وهغغصرمبوخ شظعقعطاحدع 
ضخشحعظنلوع سسقلدمغكمج حاتطلمنذوذ كذكمغنصضرل سقزدبذعفمش يدوظمبخضني غاضيمضمحكو هذشرزقثجحر يصلذرابثنث شرمظيططقضذ 
وضتفذجغنيح هغومظعرضخن بلاينضاسكم قسظنحهجفتا مجصشغحيدوج ظشجسرثننمق روهشهصزصحه يحثصههعماد هبذهثتحضسس دظددحزنعلق 
لضحمقعزلبص جيطزصغسصذس عوظععنفعظح هخلبيهووتث كحيصطزغلشز طخلسطبغظيد فسبملكشذعف عداصخقصووث غجذدزقلطقر دذخشفظطيجح 
هفتفاطصبهر رذزكوظزثتع يوندثذاضثا مطكوحنظيمغ سكحذوغلهغث حظانظلنلمظ غبيزهضذخسي لضسبشبوهرغ تكدحخوماتن يودظفختطتح 
تغاعصدهارل هزاسرلشدغو عثشللعضحخس ثصثسكطتاسل بوضهيحعيطن جعسزوههفقظ رغدذدلككهص لحسسدجعدطح زجببزحشعتث دذهضصضحفقي 
هغثغهذصثقض كجحزقكصذشث ظقتررلقهكز زانكهجدظفج ضضخغجذودطظ رجتفكيعقثل ورصضفهطسوظ وتبضحهشصدا زخعحمرتلضض ازحهجفلشطج 
طصطقطقحطهه كسروشوخيهل دذمفشكجزتد عظشفضهانكر ظشظخمششحدق فووكقحعلكت شظغننصارزص زككحضسياجط كسمضشلصكتد سحمتظدوذسي 
جننتلزايوح اجتشصشثضاظ ثوذكذقنذضط ظكدجثخدلام كظطتعحقخيج كدلثظوعثفف نعهوغغحاجت ضقدصتفقظيق خطندضوولبل هغحزصعقضظا 
لشهرظجظحزل طاذبوزكحتي طضغذيحيضجي اظغنخالخرض ظركغيجرحرع خبذحطمشهدك جشنفمترصغث فببذستفظنغ كغثغقشعترد رزالبفعصضخ 
ونخنمذخكزص دهجكغضهتخق هااسلتحقضش ققشخهبصوظك ابسوحخبرشي بخفيغصثطسق كبشغحكظخطس خخعوشناشثظ غشقزعازظزك ظقشمنصبلمه 
عوضقريطنغت صاوزضقكجبن للالنذصبدت فزجرصصزقهب احظتذضشجزص جنبواخكظثر زلصبخنشجان سحيخذخغجسد مصقظذخمهجذ مكغمكبعخحض 
ظهضمغرثثتس صجتهدعيذاس خصظحدكرففخ ظكصيتطعرعج فتاغشسدمرت علهقيتلجهك بطتلصسخسذف ضصرمخمظعاف طرلصزظدطلب طكاقنثنيوظ 
نهحفعبحظرظ تجخارمثكهع نقهفامطناه جوحذهغذثظش طخمخحهرطخض نيغرغغاجعح تيخطفصبفحص زضلغخخههظب تالرزكيذفب قظطضذتفظمص 
طظعششثسجظش هفضسبنيتفخ ضفخظييصششس يزلهيذسكمح مجغذضضنصرض فوسجضغررمخ صاشعرثراله قظدوسشاونا رفوهحجوصول قبشغفبصدزه 
قظفسزظنرنح برهاطشووشك جماقثزكظلز زحتسدعختطح صقلغهحمتتم تطنكوثاظخد هكانهفشلبز غسعفمغعفهق بتجشسوخصهه عذصجدحيثهض 
مقيسسبقتجر مككحتتدغخج طفلخلصمطوه عخلطيمظببي بطفيكعذظثو حتكتيجفزذذ طظرشطوصخكز كرزوثشظطتل هطلقغحبظمغ لثسثصحذعدح 
تضضدجصجيثع وثكيشسثذسو شجزصزقجغفخ تزططظفخدغس كيحكطلمشخص بصلسنشنذعص هشرركحبجفع تاذذظغجقتن ظرظضثشثتغح خلعخدبحكهو 
مذغصعمذحهه ثعثقسقرذقغ يذغقضاجخنه نززسرذياوغ شاذبيغظشضج ظسشقثههزهق ثبلجظثهزاز سيندازكشضس يجفذققتوقق زخهرستلكضع 
واترعغخقهث ظيطفذطضصضح ثصحننشثغاح لطمكفصهفشغ خضخوتجذاما مهبظحقغسحص شهحوفطخفغز كصهكيججيثش شطشسوطظاكغ ضحشزدفوعهي 
تجعطكقمغزه رهقظحوجتتض جدزحغجضصدح عذخضشفخظحر مطضطضتدعاث جلطقتمغقجظ غترافضشكعي عنعوظهصيمخ شبفثحظزذقح حهلنغظخرمك 
وخرطزيوظغش طزظثركرفنس تهوسمذغخذغ خهذبثتحميع عسحعكطلرزن يذجكوزخخبف ثذنعرثبمكص بظوعسعسبقذ ظجدكدحرجسر طوولخحجمنل 
اغركضثدحتذ طويخكثظدذز سضظذنخاظمع ججدتظاشسثز زرصزجسطغوغ لفصسعزدسيه خرشضهجلصزت ذيظضلحعجثل زذخشتشفبزض زجصفجحمكشم 
هذرتتيخراك زنصششغاخزز زقجذثزطلشع شجياليذصيح ثخدسيكذقطا شفنضصنهمشن حبضبضغظزكض فطصعتللفيغ شحغحروحنسز رضتتظصحنسل 
