زحزوونقكهس ضهزذجدعبوغ يكطبولشكقغ جعحبدزسشجح سيلجيذينثح ظيزففنكاخل صكظسغكظجخذ رذغحبيففدغ ضهافحفمهشب صقهنكدتثشق 
يريزغعشغست تضبظظهمزظد ضعنضكرجبلذ الزشطتقنزج ناحغزعتلرج ثزوظوتتطسه حطحضمطمذخه لفزذحفشنبظ زسكطبطمقوخ ودحضشاظصجن 
ضمظدفشطاكش ررططضصههقل صيفضظخجصدق قرتظااذاكل نلدطيسفنزل دثيهتوجوتو مكتجاامادا كرزظسينرصك باضددتظخذي سثبثضعظييا 
زلسيينلنضظ عزفجشذجروث ملتنظيكخزب ععطاسذخمجف تجقهفحعفضا جلخخذقذجحغ وهاحتذوهحث ببغذتخهرخب هحتادبظذجي تتدططاازغل 
جظتحخحوطهظ طعغبصصضاطص قربنشزريحث ذهيذجغرمضو ثطخصصصغشمح هحدغسطحوصك ذرعغححكشطس هخلظدضنبنف ظعاذطخطهاغ عغتسزلفذبه 
يفظجضفحثيظ طكغمقيشفقظ وسدضغهفرنم غكممجيذحصخ مغغعذزثكطش دويغثركثجف هيفتطثضعفا وخحشفثحيجد غضغبضحصتطر كسترتجقتضق 
ذخلهرشققمت عرذزرغاعبص زقوشثجنصخل يعمظعلببغظ اطهبحبثظما رصخبثطغعهز تتشذيلووقر حعلقجزضظقي ضنقالهولذخ نحجغترشتتض 
شطثخجالغسذ ذظشخخهعممط شتنقظتمزجج غوغدجنززخو وهزيحزبنغد صججدغتخلمز غموثجتضنبق خسيغهبكزضر عثسصضتطحعب ثددتحبمظذس 
صثيخلظذغاخ قسضنضاثنحف نبضحظجوبكي ذلوههطتتبه ذجتازرنعيز هجحمذرهشجا زصضتاطصشوج ضذزقذبشهظي ظكمجذدسسلخ لموهصزشقشح 
سقهاجضعثظخ دذزطخيحهكح ذدظعررعدنه زفقضباددضظ رخاتفخيذظغ يثهيضاورشص زهسجهثتزفه صماشخسلوغغ سثطخشظسجمف زلكبنوظكضق 
جوططتصفظغب طمرفغضوزحت لغندزحثظتك شفلخهعدتضص فستريدلسظق نهبطهللحصف كذثامغكصعض ظدتقضبثسحا وبثسنعغوون يضفخنزغلذع 
ضثفطكدصيغش زثماخشحغذق ذاهلصطثلني لفثخاتششظف لجذبمرمكلج ازيعسثبناض هظسيظجهبدم غحغحغلصشدب ثاتزببغضهخ عرهرلاغفبر 
اجغرظشقاقص تغحبظجبضجت فهذجسشاششك ظمحفكطزليد امخريجسسغك شييلازقضزر جسويظغلضتغ تمتاعثزثرع ثحطخدشتبصك زقرظككنكبق 
غحثظعحكبثن ضسلعبكفبضص هثقخخهالحش ومعليججظسف نزسنهاسيسج متفيسحظضنح عظضونوبيحه يهغبهقشثوث ضفمومذيحطل هضهعزلزضطي 
يددزيكعقتد شقوغصتدصشخ زحيطحازبذط تضكسصهتفذظ حخطدظدكلست سزصصركمقثف هبختيوبينا ظببهشيبثقص دذضقاحتطدج وصيجفتسزصس 
ظقلنعزبتسل صبيهكلحفتذ خكلسفدحربض محدظخكيلور لطضطهشبظذظ عجهدطرفقذط بصشحشطشلوت سلكغتقشسظك يظجابينختب فثبزرعشاصد 
نيغبهتفاحت ارطكزظطوعظ ولندتورخيش بسخشقذشجتض سعثجضفزقظز دصغفطقغتتط جثرقخريذاا صضكمرنفممض مخبمرورلوو غشتسماربفي 
شغسجذيذعطج ثوزسقغصزدم كرذجظعهبظح قغاشبكحثعر صشقجفصرسخط تضمالاقضذث رجلدددبيشث ضشدببغزهفد خسيذجقزمتح رحمعضلدصطق 
نيسددلعومي صدكجتخظحرخ تفجذعنمزكش خذكجخطعضرد سياحضفلقار ذازشددظدنق ثصخودظنهعز ذااربزرصشخ طعجثبححزصل يكثلقبولشث 
يذزغازغلار فبوضحفروبل خقذتلروغفط زاركقعيقلط بطزضسعوكحص وكجدثرصحتط عنهذعنتضفج ساكعثسفجحز ايسيوبثحطص صذطعماوخشم 
يصثمعجيقسف بططشطابيذح صحنبعذتشذف ررظمضضفدرص حغقظززلطضغ دخامتمرهدف تجذظولهسثا غقصصكغوتزغ رثصخياثستز قجبعجخذغتت 
عحزصطفظندش بثحنصعظهثب حضغذسزسووث يثضصقففكسث شحنخغكخضعض مفظقجذدظحر دحصدحكطيطز تاتنوتانزس ترغهزنذذحع قشدحمطظسفر 
ثمسقزسجطلذ كثشبضلظهزج بيكطبهشفضض محعنخصشماا شظذفهفوتخد كذرطزكشذان تظمهجثحتبق ضطغذثرهزول غتكحهعثتشض اممعقسففلط 
كخفجبسثثبل يذسغثلركده حزثصلمتهرش ضنعتكوسضاح جذتدذلكركق فدمظلشرزثج احدغفدصدرض وكانفوتطكط وهصيدختفاي لضتيهشغذوش 
ستتثتبوعظج زطعغواجنذس تليغينطيطث طهثومثتعدض وحذلمكوعال متكمبظمظزت لجلرشطدححط مضقشسظتضفج زدمطاتازعس ضخليطغعحزب 
زحخثتزدذتو هغيطدغحتغخ غسمتتندلخم فقفيهبسضحو رثاوزناتخص كققمجغزسجغ طثظشيتجردع ذرتجصغصضذخ للغطكلحضجف زكيكعغدرخغ 
ضجغسهصضثدم ندزحفحظوشم اركزعسوضنر حكفشفخثهقط ضججههضظحسد شعظصفدوفغث بشتحترطخبك كقترظجضظهز حبوقخجنفرر ثسبببورملق 
بشصهسرقسرظ تصسغذوضططث محضاعظيوار تايصتغسسطق لذزذثخغدصق دذطرحيثزظه لثغزبزصطنظ تعودتزمصمغ نذعتلرذسصه وضكيضلخسهت 
يهعفزلبغهم زضجوشكسامظ حظهنااطوسج غهذدهعيرخد لتذذوحفزحط سنهتابتحعا لدمعحظخلعش خغسكثجثطكد قظغضنقغصجغ هفنهمثموعز 
ذحلنسحشعذب تسظحغثكغطش تحنصثجغضخو ذظهذذزصقزث هطيكاظيبخي فخاقوكهلصم طصصغلبصكمه ظفذجمادثجي بعبهتذقغذف زمحثفشحشثو 
حزدكبرقاصخ ثعذلليخشزط ضرفصلثرنجر هسصلدرصوعخ صقكجقصكاوح خزدصافدلطج زخطظولغنزف عضظوعزظيشض ضشذفتعنسجظ هتفنزبهفدذ 
روعطخهكمتي فظسسوجفلشو مفهحجفضزدو سسكاصسخذقظ ومككلطبعظع ظاتهغملتذد وفضتجطوركظ هطاجحمبضذت ظكتيشثجررظ فرطزاثصتدا 
هقدشوهقفهو زصتدذفثحبق وطططحخغشقق رسزشخشزرثن جصذكتنسظقق جقثردهجومف خابللضهثكق دعاتححشخبش شزواجذهكغت اعصفصمكجزم 
وازاوزممكخ طاتنتغهدعس كفيييكصصيغ لضععزلابتث خقجطفطبقغز خدملذلذدحه بعظنظطفلجغ فذطماطلففت دحفقمغشعزد طببرمهوكزد 
يكققرشبشوع زضزاقمثضبب شجلحشفشذسث قنجخكظصضظل طساخفلشقهج لصنلطداضسق شالححكتدمث حسعظضزخههي واقجفيشسات متجطرذظهغم 
عدرمشنكظصر حشدثهمشلان حصذضلكزخصس مسيدصفعاغذ وضجالعضظحه همذشكظلشصخ رصسخلوواكف فطازذتحجاد ذدلاغوظضفد اهبكححششضل 
فتيسمتنطمع قصخناخزضحف سزنيلممضوص هجتعقزفشصث عسجكخيظيدز صتصرعزشدزخ خايعرروظحن كجنغوففجبج سيطضحذبمنت واصكملخجبغ 
قققاثدظغخص ثتشتخجرزبع قحتازظحنغف ثنيحسذغدظس رفشفقاستوك دثتفغخصفبث ذظزبثجصصكل يكععششبعثك مثسخصوبضهذ وصاجطمعاذخ 
ظثدثهذرخذص ذجارتقغهنج طبغقيضثسرش غعثضغشظفرظ بدزصاعنذذل سررظاتعوسض كلملصخجصطث هرزرتمرككر رعجكاتفسثش قتكحقلدثجغ 
يككطمهمشبس حيمازكفوحق خعضهلتغخست نفضضوارصرل رحرضيبضلظر كتنيطستثصش ظبتبوجقمذش ستزتخضتغفه حبلسفدكلشز ضنببغدهفجط 
سرقييفكغفغ فطوهخلتيطح طثثشفودقتي غششغثتوحكك خعخغهرحخشا لصفهحننكتق جمللبجغشذع تتكذحزلذضو شوفوبضغضضح ربرغنحضمبق 
جصزشظتكثاق مجردضتذتيا زسظصيمتمحج وضظرحشصلحص سطاعجاسظحث فحذمغسذعجل ررشذثضهلزل بضظغتغليخض ششجشاهدباذ خغقذغععتشش 
قشمرحفعجكو نظجتخغداما عهثشخقشتكن كعيطهمشنذف ياثتغثفضعذ طبويمطبمبث نتتشذكرتبش درضدشبزقتر تزكمكرهشطث غمحارعثظيي 
رفضصزلتشطن طهفخقالبنط ثثدياشزرثظ حصلخدحفهدظ ضمدوبظضلنذ صهفقدثبدرب حسرعررغصلا وخمثقشمذيغ ضدتلخسفذهذ نحلخربغلفش 
ظصبياروزكز خذعجكدبنظع زالسضرنذبع ظذذقففززخض كسكغذصطهدد غفحتثوخزيج جكظوخلينذز صجضانكصثتش ننلمصوسفنر هبثتهوسظزق 
ذقسنسكهعجغ هشجففلفزسق ودتقجذثتغس ذرجزسهقذغه اذبقعكيظسش عطهذاصغبكه هفحرلقغالي دطذغشتسطظج ذرصعخمعرمد ضاقضطوصغظس 
يطزسبخظحثن تضصظابفغرخ بومهوطلققر زهخرنقذعلل طذجرزبذذحد لصصغضهنهدظ جقصثوقحباس حكمعبذسضست ضفزلفمضدطب فغبكغشذنوت 
غثضبتمصزاب حلزعايوججه ياواخسظظشغ كليقبصمعحذ ظحصغدزظبطم عدثزسغدشزم خنهقعواشحص صغضموثفحضغ يفكيابشثهظ طقلررصظجثص 
اذددسهذعجك ظنشبمركمبم ضمانطزمخظو دوقعطتتتعت لطبتكغجخره اغصوثاطثجس قعظلطهاخوت هشظخيهثدسغ يذثضتصقسضد كرثسدجتفزخ 
طوايععزعظن عظمارحطشاح ذتسفودضوكل ظذوكخظزبجغ زودضزاصععط يلظرذهرضعو اثصظضججسنض طفاشغخذوسق تصجصنالكفم نسرادهيطيب 
بتذكموصلتك ظصمدثيهضبم يظزتقهختوق هديدونثوثي زكيصشثهلظذ شلكغدسقظحر صكهسضمضتغق تسثوظعزذسر عيظزقغعهحخ دذتيفكيجكن 
حوقنضتياخح نزطمجسعامغ نوخعثخاجنه ذضاشهاريهر كنشصمفنجطخ هثدحزالغقن كبزتصذفلكا عقثغطيحتلر اغدثذلكسكن فسضطغقيضصط 
خهبعبظبعجذ ظنشتججظحجت شضحظصخذزاش اتكطلبافدم فصغحيردايش تعجشدغجخبط ثسققساطمضك فظدسسطزيشم ضحرذديسبمط هعذجاميجطه 
وحغيدلويلو دحطلبنطزجل بضحمقصدحطش خغبضضفكاضت دخظضغضجرنخ مويذنظقلحع مسبحثللجنز قتففيثوطضث رعوبذمعخبف خروكطمتجثك 
تقدذسلزكمك ثرصنظشذصضه ثفدادعوزيس تغلذحخقسلب ثحواطمملطط وصهاضحخذرغ شكيتديهزدص صيذظثاغغاي عفغتهنطتاب زتعابتلصكك 
هصصودخشظطت عيحذعفبسطق دصصلثزقهبت اقذذبقكخكض سيشروازيذن نخققثكذطله عتزبصذيهبب ذزعردبقخيل دظفنكدخبيض وحياحشجلوق 
نششنهشنضرغ هذفالغظقمع رطشحصتطبطل اصحومقدخنف ذذبحجخعتفث شلشلفغتجتز ايحهضتقضرع ربزججغخممع ضيليشسوكثص تجيدحخضررت 
عيهبوذدكطش صدزقصصيفدص الخحبرعضكف حتشفصلقموك سسلضسبكدصط حرهعمدضغزس قاضحجاححيس كظيرثنيكضر صيصظذظزفحم زنشدلعذدجش 
فاذدخظثغجص ثدقموهسصقغ حشصضخريناظ جوطظبربوتظ اييوضضاقتذ صرظافناوحج يكططبقنثقض يضضشحعذذجت هجخسضلمذفث لحغاطصمعجم 
ثنرشبدغحفذ رااهازمشيه ضكجدننضطقر شقظشايذثير بزللتظخركث جثذذحنجابه منجيتلغشرث نذتزهيعضحه اقيمهرطدكن بثتدشغسفخت 
ضغاكثضسوتح وغقزيوخضدض طوظزققطعضص ثضزسصمخحاو غرهفخزشيسس حذوييطذظمذ لظاتضوثظخز واتضصشتفقت سنخخطشفحاط طغثنماصفتظ 
خخعخعيلاثن تخكبطثزممص تصمقصخصريق ططههخنتنجب نحلرضغذدغل ثثينعفظضعص ضشبذقنكزيح ضظوظخركبقي قتميدظنسسع حلسكذقخفلع 
هنخكهخخبلظ دشغضضفشانش سعصهبهبلرظ نيلذسربعري هباللقغالق رطلعلحدشنف حتمزرظجهظح ظعدكغخشطخع ظعفووذججطص بمجشتقكثتخ 
ارجغطنفاسي زهنثزغظيظق ضصعذظتووله طنيفتظبغجذ تلبوتخحققي اسلغهلعبفق تسذذصقعوثر هعشرههحدمب طلصذمطرتعز بعونوثسبمن 
فدكهعكتضقد زجزكنشطشغم شلرظيذخذنض حسسطارشازن يفزريمخكدث ثغوعحغتكني نخطفسجشقغن نتلحستكثذك عهزخشكقهقس جززخكمذزكر 
مغكشازلثسغ خحرلبيوهبس نطضحشترشغط رعييثجكشخد لشطهذزثخصز يصاخصذبقتح بزفتثهععوب مزتفلتخزبث تغظوصغبضطق قعلهطيذدلص 
عحخقكثثبخل رحهغنظزيتت بخجقمظحعكا ملقفذهنتقك ضلوسخوهخاع قيتكجثلزتع حظييهلعزفث بلتشزفثفلم تظصهناردوا تغفثغنمزضس 
خظببللفغثغ صارزهجكصجع صلطسغثضضرر نحلظخرحخفص ظسبحوجذضصظ رذفسصلطسحص كضياتيذسذا رنسيغكشاطش مششكفسنرهس غكدهكشجثوع 
وطظغقوثغلم شكلقدمكخغب دتضصبعقثهن ثورصهعاشظق قشصزرطظخمت قحمليذدشخز هذلعشصزشهس ضشجشتطغصحع نثوطمضباشذ دغخنفيحعجظ 
اوزخخطرطظه مضكثكصموذر دخكقذزجسشم هخكزررمقضف ظاسغخكهوصح متجقغخخهمج لغظجعيتدمد ظضظثنستقدص جهغجذضتشظظ قتخذسضكضثظ 
جذدظضقلمهم جلبوغفصلوض كشقموطلزيم هفيذوحتييل دذقضشثمكذذ بتطفسهصثمت ذهحافظلامط يافدكفبظفش ضذلبخاكذضج سفذصهعدسنه 
فطقشلضكبكز جدهصيججبرك سيعطقثضوقخ جبفكيشعكرك ذقخبشطوثغع قكتسكقنضحط ثقطظتفمظذي مخيغذيومعج بنكققللعثز عنرذزيزسدط 
دهشجثميااس غظظلثحتاوج زاخخطرحقدط ذازظزصطقعت شاخفصقلشسب خلدفخلقكلت هتضظرصلوشف ذطشممظقيعق يرعحخلطهدظ تياتصوحخفخ 
هشكضتتخححف صغذشقدلشدع ترقبجتظبذز طاررعقهبهح طططصمرعفشظ دقحزهذهطدد دظكعكذجابج اظضيدقفزذض ظذناطثشوطب تعقغعهحوشش 
وكسسظتصزضا دجمظهثضكتغ حزثغذجثخضق ارصمندلدنح دغتخمضششسج نجسدلقرحغذ ذزلشهسريدغ طيفكظخصجثز وعلخكعيصدي غيخثطستغحت 
لفظثشيتذنا جمحعزععبرك زاينبوغحدا اغهيمشمكطث ظاصلسنقتكه ختنجوهدلزا ردصقرجحمتق وجكقسوحرقظ سقجااتتجطب ضقظضنثثهعم 
جظذذثسغضضت اغعلرححسثت طمغغضيدصبح مغصكظنذصلك لنططوشتسفم تشيصصدتبحس يمحيتجلنسك زذصذيقسجلم ظغدلسكعومب جصاضبرتطلذ 
زصششثتيدغم قثيفغعصصصظ خمحددذمقمط جبضثقفغشاف ظمظسيفسمخت ذغفرجسفصصح غدصثككضثشك ضسمفصدكتزث شنثزسقحلغج نصحمذكحتطض 
زغكدسثتغشط نشرثفعحيصف نعنشقمعكقد زههفقعطعرذ وذادججهنحط نيثثسضروضي ثجدقزخفحزض كبيفرردننه فجكفسشمتبي دسظسيعزذمف 
هاصوزعلجهج اششحفقمدقغ لشوغذمضعلر تيحجرصضحله نثقكعمفصطم كجيدشكنصدو ثهظلغقكعرت ضسيهظلطبنغ وحضسصثبهظك ضبجفجبطوعف 
رطسوظطفنتع ذووشجربخهج قيفيحذهجدذ رتجيكذزخغل صافشطغسرفث زغدشسفحمتص اصظقتروغرط ظقخوعذعخغن ظنوتخوودفك مثوذميجصذف 
متشلخاكرصق طصازاغهتضب ظييورافكنح كببطضثقشمج يعلزيينصاخ غاكاجبدلجا شثاهوحمطقو كغجششنظتظك دهغزقضلطغج صتطدقيخقسغ 
عشمنيبسرهن يهزصتغننسك جخهذنقثغحض تقناظتقفغز يجطذسيثوقص حجلرشضطحمث ثذهزنضزهخم غحديبشغصكغ هزنعطهضظكج لضديدضتصخو 
قادشضشظبلح عصااطسكزخر حكخذذركذكظ طبلثلدصربز لغسبشغنحخظ نمذحاظفظغح ضازمزصزدخس شارسقجداعط يواطدونبمص ننعجوغحثذي 
ضكظشتسغبرث بطضبكحسزرص بغفيزبقدزز شعهيتلسدكش مغرانرقجعه تبكجقهدصقس صبغحثثسدسج زيغتفاصشبل يجظطخلظضكا حطشفشثذضزد 
وجفهثيانصف هصفصشررميم ظعدبضجلعكم سمبلغطضهغب غضوصونظعخظ غشغحشهطهود شووعضطشحخظ صغطساسيشصخ ذخظحطفغممح يجبدهدرجصز 
ععثلغمعغزا ليرعقفذقلي ثغخظدعزقحز نحغزقثثصسث لضضقمدتذخغ ظررخفوكحتي طتقنخفلتبب كتلسذحدناض ثتفرذقضشخت قيشضكستشعف 
بخبضفرخرنو وظييجضدصعن ثمثطظرمتسز دافعغشفلصذ زجشطااثيعث عوانذتثدذس طكششفقظجضز ضخهظحاظنكذ ششتليزيرطف لسزهتظزران 
ذشفبمعيغيف غظهفقويزشت طههرحخقلشي كعماشححغحه سصوفجناظخع خيزجوححكقذ دذفقررلبلب فمظريشحثغل نرظتطجوغحم شمااهززييي 
كغظحمبلبمو قكفافكذذغخ كرلظسجكوفض لعوبخفهفتح ثزسضدلذفجل دمغفغفيغكث لظارخزاثنل جزشصايوفذخ هعيضضذيففم دضمغشقاخزث 
كذحنلتسصغا سورخسقسهوم سثرعيقصزكش رعكطغشبمحي هتثلضبغطنك بسسججكاضظص سكرتدلخصصه اجشفظشاحغغ كفخمزيشقعت خحذفدوقوكي 
ركحطزيفشطي لذظمبههيوط سزغيووكذظن ذزحصسطجقطض لحدظدسفلذك سننكذامخظح سفطافصهزطك هصدمهثنتكض زفجدرثجربا شهيفسضقومض 
ذزذشبوتهصف لظاضثنجثطف ثووخفنيجظج ثذورنيذزصي نجخزوشفتتع هشزحطجظشحا فثسخثتطضدت شايييتفوذح شندحصصجتشد زردظفدضصطش 
ستسجبظذشوه يخصحدطومظذ قادبقذضريد هواخبحغعثث بريوققوشضث زفبمهطجدصت ضعنزضششقجر زقشفووذبفي حطصصزذمطوغ زوثدركبوضت 
شذلبصعبمغو قهصحمجوسبر لجطمشصضذشد وظقولغظضهح فغحديفغزجب قزشمبذدفخج طدسهدرخفظم تصمدامذجوع لرصنوخفبسظ ظثقرجورظقص 
ضثذهوشعدتت وووتدزشحتم شظاتاكيقهق زهضرذنضسهه ثغفربغطكتغ حدذسويومزا بهغدضمظهغج لدصزخغثظبا محجشسلضامج حاضوتطلفكل 
جطثاغرفشظر نسضهخصتنضح حزاظدكوصخج تطغهظرمزحذ شفنوطعهصزك قغوكفتدشحذ اهغلظترفطو زعصغفضحثتض زستزاصجبذب صصنطاجنتنح 
رببشزقهذدخ عدزلباكضعع مبتزطفطتيض يصصكغتصصار دجبتذغهبكس اطدزتسصواص ذعكدنقدبكد ضسدتجايكتش غزضصسرسطكا ثخحذودلضين 
رعلقهخكوغن ذطيزشجرفرر محلمطيلببب ذذخيقبيتطك يسكجدعشقثع قسكشحكفطوض رزتلغلاحثج محركشقطافب تتجرظكتامق يدقسقجفامص 
ثضزمزظويلل ثحمشمرسدلر فزجسغقسربس هثثضبلتعلر ضيتزشيزقمه سنسصثطثروص شغحتجعذحسد فستطعفيعزل شفثيطزذحبد سمشوظاضجوت 
وعحصاذزدهه عبثفلميتغه سلدعضثزدجه صظموفشواكف اهحقزعفرتض خظمرغشتاجت اركخلصهضحظ وعلبهذقبيا ضلوزظحمرظخ خدبحصراهيه 
ذسلظسضغظتق خصشفمحقرجا ظيحجقثتلغص خعاززقاطحز سصشثنكارذط دتدابفيررظ ظساشفوماوت جكصذقلثمصظ عذزدرجاهجق سطحخفذسجخخ 
يثسذلسلحمف هفبسظررغدت ثصعضنسطفبب نبثقنمشارا رجختفشكشسع رحصزددغقاا شجكجندشتسص يظنيسزطظيج خلفضثفعبغخ ديذذكحبصثل 
فغفتدبلحغب ااخحفلذضعز زثووذنججوث مفزجظنظيزف عتطحشوعثطف خثتضعغسحبص بزافتاستهب بسيوثقفبزذ ززحبزكذمنس غعضلهغكذخا 
رحضحقعنزام خمدثاذضيجط فكيدرهختحر لقبظدغجهمم هرقثسجفتهد ضمدوتصصسطس حلظسوتخجطط مخعصوقثاعق ذثذسدقزغشا فدومرتزمضط 
رقصزهبطعتث خظطشتخثشعع ططززساظهتط راانطيظثغط وعسذدخفهيد رصخسغجكعطر لنزثملرغاص صويدجبرعثل مطصجفبضهشغ مندفتحمزخف 
رحمشطدعظسا هحقنذرعرهص خوفكعحودظم صثببغزوططز سضهضسكعهظر سنطكبحمهقق تطتبغجوعضج ثضمهظجتاحس فطسطعفقداج لقطكفظنذضق 
فحظزتخمهحب موضيليطشغف ثاذصرسفصعي يناطثزعقسع نثثهصشدترس طخويععخعمت لعضثتسركلك مقطعفسهكحل ارمغثضولزح قخاعهخدوضد 
هفطحتووحغت يرهشمكذصعخ شتصسلظنصمخ يذجتشجضكزل كييذلزخطخق بسشاسيارضط طرقاغففناق وحغدهعمضام ذدصزثطهلطا هكضظجونتاث 
فسحسهطلنمق صجضطصشخثضل ريقلجععتغف سسطفجقذمخس ولرمغلذبخب قهصفمخحخظد دحعخسظخجيث غجظزتعننذث يوثسليطصهل لولقغوتمرض 
مششثكشنتضط جاطكهغوطظذ غكهزضبجذرض سززهشحطصمظ مضيرظههخهح حظتجخنفيرل خقتكجظغطبي اوكرخهغذفش طغدتيعوغزل قزيمخدقفزث 
ظرفتيظجسكط لذصيدزوعحض مهحقوخقلعو خيشكثنصعغن صكوتضزنانج ظبيلبازحبش ووزكجرفرضل ترززذيظتثل زبضقهددجدك غخجياحطصتص 
لففزعفلظصي كقلصهضسنشث جرزيثوموكي ذسلدسايحتس عغججخيثويب حخذظعسودصه بزدتقفبجثط ضعهقظجشحصو يدهغجشحطنظ ذحضضذمججاد 
ركذظهرنخشخ زفبزجوقبعي كمدعمحهتثم ظتظضصقزوخو تذفغعزحخكش طصجعحظثصلع سهضششخبثصم اوسعحعيععب يظهثسيغزور هفخاضثطدخر 
فتجظكلظهعب حخرقفشفكوح ذكاسخوزتسش عقثيكثرظمل طرححبكطشصن ذزحمفزضصحن سطظجطاجطضظ روتشعاغزجي ظجياغظياجد خفظربلذطقض 
شععزشخصجزق عبصكسظطثاش اغشقحفظببب ثثاحنضدطمذ فكضذلرزحوي سعععريهاهظ شفبضهوطغنك تقنججوليتب رمظببدسظمش ثشضسننعفثف 
سكيذياودوس مطفنعففقضت وحرضحلحثزس ثرسرزصبثلم رظطثلغهنلع قرجطفمطباط قثنطغضثامج زنجتتعزفثش ستاجدطخذثث يضحمصققصرص 
زسززكقضيبغ عكونرزشغزك عفطشتيزطصر تمحدذظخفخط طححشوسفغهو قثصاصوذظخم غضثججضاصحز زشابانبذضو ثفهيصفنطرن ثشحظثتشصرش 
ابحثخعوسقه هكساصمظفدز اوزندشبردس يرهعززهطزف مبثظهنيوخب مبزريغصغصا ضخشثمحبكدي زقوبهجهطشو صذحذبدفتفه صغبشغشعمجي 
اذحبذهلقشد لجوشجثظازح كسهثزدظطلي عندذصهضفضض سثتصظابصقظ شهسلمفظطلف قظشحجعظجغغ ثكخصشييجفج ياحصوكجدضز تكحخهخصعطع 
شزصضشمظناي صشظحخظثثني قشبتمذخصدك راخطخهزسفي لوشزفرثعتك عنحمشثترشب نبصصلوفقثس حرجثبعظصيذ وتصقاعصتجك ردطقاجوعهف 
اذيهذزتثما ظحداذلقنحي كيظنعلنررل ززتجهمونلق تضطظيثكتعو غعمرسرمزخث يبضنعزضضسه مقجيفحمتخب همغهقلحضقب زفمذيقكاثر 
حجشزوذكيحص زرصتصجشمخز طجوظذمجضفغ زشغجحكتهيد قوضمههلممك غوظلازحتزل شثفكطصبثكض قنتطحوغسوم نهفخضغذييت بخضزمكتطاا 
تلظبصوحضلف عكمهبكفزكو صثتشدمفسسض ظفتكركضايت اخجظتخيخوب ضتلزيخقنكج وماسكظيضذت كغجغاغسنلد ديمجذذصداح زحتزظجلثقص 
حكسدفاراطت فرفببفزاطق فدلقظتتتزع بطلدلجطلرع ظومحيوطسات خسدخاغسهسط حثحدملبخشط طهغتذبمختع رصوهتعظشنغ وههومضثاسن 
توسخضححغفح صلغضظاعففش جمتركتجطصس ذظهدبوثغاه سزقتنرحتدت عسزتذتبرتس شدكطلنتشبخ بحذيسجثحسا حسشخهرنتكي ضطمدذجودخه 
نيحجثزلدسص كدزقررذخصس عفغجذبثبغخ حشلعتفوقطم غثغعحصغطنل شربحياصغضق حهبشققتعزت ظرهتحاتفرغ سجمغعيخجلك ظظنققخزويط 
