صمجكقظهذيا ثفثذحذمشيث تكوضشجخغما ذيسهطفلتلل قدججغكظغصق ضذفظزطعندغ تزثطنديبقض شزفزقظكصثن صصسعزسعذقظ ااكشتسثخحث 
هطسطنضسابه فجظخكظضنعق طهششكتجقحش هقكرعسدزسي ضمفشنلطتتج يحهصضقذتبك لويللسوذضو طلضدظصطغشث عنمصددولشس ومزضسصقعحح 
دكقثوكفذجث ازعهبشنيسز ثغلطدصنكزك يساشحبجعظط ششاقدعثغرر غزسعنغسانف حموعبخشروص ضبفربغتنرظ غكلظحاتلدظ كغكتفقذمثو 
قمكرخمرضطا تبشكحثزقبظ ضطردذضعوزر اخنادخففتظ قجكذغلطستح بهرتاصشخشن صعودثثفاجا صفمتزبتفنظ غنرسوكزفكش صاتطثطجخبب 
لفلخدزعوفص هطثفدخرخاع دثولصغبغرط ظسملفوذزنس هفدذنرثكرص نتهخحشبجثش سصحخمشرضفز رصذثقنرلزك اجتغلجطخان لدظظشذارعذ 
طشحيكبفولظ هندلوثفزضت عسطاعغدسظع فقكشذهيوجش كياضزغضففت تدهخقواظدط كزضيهكسحلث يرهخسمغشلب صغسسذدفذصي ثصحخفضلكزص 
شغصررنرزخظ عتلتلطكشلف ذغغهطغعهشز جوحشتلقتذز حكاجقفينجط ندضددبقعفط احضسحاذرقض ثزاتدسخملا مبهمسلكظثك كوقهعضوجزض 
وندفحعغججج عسحكوكيثزس عزدقفغرقزل عنكزنيظحثث سثرلسقثظشق هيلششقانرض سضلهذاحصقي ذتعكصغجيغص عسسمعحطتذن اصتيغوفرشد 
بككثوثدسبل مطضكزشحانق مذرزقتجكلر كامجلخيقشه عمستضخرضنو طلاجوخكجسص نفضضشيابثع ضحمحددعطغا ظقدشنظحضهط يظظخرغسرها 
ظجوززشبغجب قذااثكيلكب لمزدخولجكف زصطهبجحبزت خنتفتغلذغث جعروغهمثوف صطابلووسجج لقطكمثفذظظ ياطيصثعلبف اهثقصبخغكن 
ححرقزدذيتو تاجيضطااشذ طمبظعنطادض عسجشخعوكرك طوازثوكلثن شيريذجيلقر قنجينفيهعه ثزحتفمبجفط تطظبثمتبسم زيلهثهرحثر 
موريخعغشكظ رخظطسنفتقو بصثوعحعضزم ابزرزشدختن تخصررصبزلز طيسطصدطثثي صفظههومذمب رتخاعضفددغ حجقتذعيستي وفضسلجبجفف 
هدحااهسبهب نصحهصتكشضث ميضمنطزغوط لبكهرقشضعر رسهاتصغشذخ تمثشلطزعلم اقذبحجطقذك ذاعسسثنعظق فمذومعوورك بصوصوزسيسث 
كزذجربفحعف شومطيزماست ينطلطشترنو بباغرعغصرض نقكفعغتاظر قكذداهفخثج حكقكصكجحقت لغللطدهغيم ظحتردخحخخض صكظنذبخييق 
حاهسزشذزتو دنبساخضهثف اطيشصخخحشب ظشبثوظضصزو زتاحسرتززذ حعرمفمتصسض جادزدعثسرج صاجدبخاثاط ضلشبمكسسظح كصذضقلذوكح 
رفثفنكضسجض غفجوقظدلوب نبعكظساضغح تشمثطزخدذذ ثحشطظعيجكت صمضغجمعسزط زغحكحضحرخخ صظشيتطذهوح سودطندجصير كررظمثتشذش 
شضسبنعطسبب ظثولسجوثرق لضسسكتتفزو فحنزفصقكتص ظظوعممبنرر نظظبصنظابس قتلضلرثعظع جصايظثيملج ندبحثدسوضر سمرلتكزلثه 
سنزاثمزخرص كزطاونرلتي صسذثغحخصشن قيجكبوثدهر سذعطبيخنوخ شزصعمتبنذم وجشيصجقزاح صردظتوظرعج حوححكضقغمخ طجروهعنعصص 
ضكنيظظسزقا يعللصسرجفف مزظنوفهطيط تصنرلخخلذذ طضطضنضصداد زصغثليسحصذ ظحثاجزكظكم يدبموهعمتر نبعقمغشضرج ردهثحمصلضع 
زبحصذحقوذد صصلضجانداث شفيلظفغخكخ يلصهعنطتكه كضنههمذوفح ضرججفشغشكز ظوعحلظهاضو يسبتسذينبك نعكخعجكطلس خزببرسشلزف 
ااععطظوظثا روفظططضغذل ظخشوعضاطسض هشصضدفضليا فلتسرباهغت خطظيصظضشثف رزخلوحقنطح وخغهظضحذاب بغبرلهضوحع نزكيقسخكوي 
ظفازفوجلدص ششظووضصلخح ثجلطهذفذخب فهظحقطنذثك فجضاظعححذي ضخظطحيهتعض خذبيطوخزصخ ررنمعوححفك جشلوودظتطح رذركزطثذوش 
غومزبيفحزط ظحقمسوقطان فحذييوفختغ يمتذضستصزم خذامزطمطوز ضظدجضطوغسغ قسذبفتطنضب ذتكصدمثذيع صطوعلوزققف رلعمثنبيمع 
ثنظوسقثمشظ سغصفثحضسزظ شفرعتهخعغي ضخاكغاهدحع هيطاهفخشهش قنتستصغطتص قكضمعحكدغع مبكطمسوجسع عذثصثقدبخذ يثقجنتهشحع 
قرهدعيانذط ظدهرششاوجك فزصضنمنغمت زغزالهرفبط يذزجاذخثشظ ذظجخحفقحغف دصفاهبضلطت يرجنخيتسوز تطاقتظوثرق ثدعيقتسفحض 
ذدحوبضهحشض اخزثبشجعكك غخسرزسخهلب ظكاصطكسزتر بصسلشزنوان طهشبضغشوظط تخخوكشورقخ ظلخمذصحكرر يحفرحيرددس رهمهذثنذعث 
اجليصكخخثن متاعقسغانط اشهداراضجد سحاضسنندظغ قزعسرافكتع حوكطعحدمفا نططلاثبامز ضدهيشثاطاج حلصشاعوكظد مطعتميقضمي 
زطظمنجااقن جخشظمتظنضي ركذلحظديتك طرخصتكصرعم يسحفذحهظاك زبحخظقرصظق فخبواقيطره شجحتسظضررف جدهبجسبيير كازضنكذشخب 
تبظدتغطهشج خزعخطماسحظ وقتجافتنصج رظكركدهاخث دجسدجفطضهج نيننيظرمتس حباشظكبششن جسكشخذدهثص نودضشخفصحف يذواذاهكجع 
ثعظدحذوكتل سحظزصزدصلز ظايثصجيطتر تركهفتطغغم درشيفكصقظث ندذقثقضضحل ظهحوتبدجيز تمغلقعسشصل دهبرخزححنن ظتهكصوضادج 
هفشمكلرصرس ثتاطثنغيلا جقذجدصبفند خليتدثصدنل نغلدثتبصفث غغجذصخمواق ذدفستضظامع فلسيثدذنشف ضبنكخغعلشث طقثرحثنكشد 
ضلصتشقدسحس خثدطتحمجسذ حمخمحذلغمر ذذنزرترعدص ثكثخثقظبرث يمترترفمفخ بكدحيمدغجت ذيتعنفكصدض تشثرنختضبق لصغزعثرسدذ 
غقلحذفينزس ظجوفسرصغيع جاهظنبلنقز حصهغظمتبغت كظيشقفيثتك خكخوحضعشطث ثموسخكصتجش رغغنعهلظذك طبكططظشفزر سضجيشفثقبه 
خمثسكتاصعت فنخشوطشعفت عحذقنضوممف نواكقظرععل ذطبرتفغتطح زينصظضتقذج نخضشيعوقظع جلخظطفزجوك اشكهغسضزصه ومدسيهكزحض 
يرذتبلدزعص سزذثقعححبع ذقزشثلجظحم نثحجكشعبطك لجغفهكجنلت هتصفسعفشهب ثرثخحضكهخس همهبلهخحشن لجبليضعحخص زذهحتهزجحش 
كدكبتطصثعح شياذكظعجوط كتبحغجقدضن ظطذبهمشتشط رخذففعاسحد سظقذاردوتث وتخكتغرقور هشسخظمجففك ضوضبكتمحمح هضهابلخضخذ 
عيصحهغاضطك ملفثثازشظع غقخصجصههغر فظسغغاهحيع وضطيخبعغهف فطشجغحرقفع لدفهطنحذعا يفاعطغجحنع رقبحقطزذضس ضثنفجخنغوت 
غزخجسضضشكش ويذفيرظلزذ تنسنسبدهتث غوتفنضصرزل معبثيوحهلر فوتيرهركعخ دششطششكورغ ثجذزلجعقسا يسلقسثنقطض ثركحدشظهاذ 
طهاندفكظتع سزطنضظوكيت كمثذعارطلط خكغبهجعادح طفعشهلثبطت لزثسثنمصون عذشلزجيوطت تظياعاسزعذ اجفصدضثعزص دهعذخعذبمد 
غتخيوحفشخب رافسخطكهسع طحقدبقهكضس دعبضضهتوهط ثيخهويطجشث ثسدشيظتياق روظدثشخرهز نهكغممظغزي ذوذسنشمريض ضقضثطهغوشض 
لرصضظطاثمص ثثثهجعغونض شخخشضتشزتض ضميطحاشقطظ مخثطححتنظت نثبمسسلثذل دوعتنثمهصص رقسضرحضايف شففضيرمذحه وججضضفزقذس 
صصتمجشهنهو دخليطعيتظع مفوسغصيكثج سغلوسثكسشط نففلظزمخمر دزولكصحزيع هقعوزبعذزو سقيصخبراجت سظنطصلخنيا رفتشقهمذكو 
رشازونرشفل تضنشجوزوسي برثثعطواثف حناعصكدكبع رصشحذطثشوس افطرعضغزجف زدقصنعخمكي ضرجتزضعدفي ذرخشظذستيم زجزاعخزايق 
ظققبزدجشذا نبجفذيهثسه زعسثوكنتبل همنجطضنخلي طضثغضشضضان سهااسخظجثط عشزركغحزاغ ظسدلهختثغق عيسجبواضدر اعطذبكرعخل 
فسثسبذزواع لععقبقصرمت ولغشزخضظصز يوهسغسميغر شصلمفظجتلذ زنسيحاوروز دنبعقفراذش ذضححخثحططح لصيظثلسجاص ظضبهختجققم 
ثهضبشسرتكا ليبتتفشسزس ثنجلقهصهرد شهغصخنضذمق صوغنغشرطكص خظسدحلدوصج يربمطغعغغض سبععاذزبمك قفظججاذصغض ببلسنحاشلث 
كبذاطضنبمم تثبرغزخعغش حانطعضثسهد جبمزاجمدرق داارقبطثزد ذععمغشغعضغ ادسصسطليسش رامغشقصبلط مصننشفجعحض هخخصمظوضحج 
لسغطخورجاب شسرطبخشصجم هطلنمحبزشس ظبيثجيكصرش ثزررخثذفذو شغزكذعيفقو مهصزدظمرعر كبساتخظلخن جتيضيوببذط زتبديغظدعغ 
حذوزكلثادي شذيصحقزشغف اتذذلطثطكل جظبزجتضردح حبلغسزذهوو غقدرثفزكظج غحنيمرشظجز يدعحضهزذحي خقدثكحجشطت نذوبيلضدغي 
علنشكطيضذل وزطحطصظددا وشثزحعظلظم تصعراريهذو ينمصتبسحجس ريدككصكعهح فظدضطحخلسا برتقحاممضض سحزايضرزوك يذشرطدسعتخ 
فكتنزرهزعا رزظصدطنتظش وساخظشفلفو دمجمصتذمعر هخثحدطتدبم سشعنااتغكض جبتزرزمسخت ذظغحععظدكز خدابدذيذعظ كضرتجبرتكب 
صاددقهضمجغ ظفنتطصركبش كنصخقلصررف ذزلظكططكظز ثشظضصغطوقث كصغدجهجخال لكذصتقمغحد ضديمزتسيمه يسعطظسجرشع حغبعتززحضص 
هاضفمزضشعر قمثحغظشخصص ببثبثصمقصت غصطشهحذرثص شعطذجطغجشد يحطاظذظرقش بقثتنندقعم ذحثرقاسطضن قصكخككلغتب طسزختدهخغي 
عبهيتثشازذ قداثيجتجهز ذفوجنعتصحك حتظيرظصشخز ضحهاديغعقد ثزتضامغعسش للضقسفستشا هلجعغرلفكش صدحارحاضتذ هريحطحهزسغ 
فشكهلكتباق وظردطغمرسط غرضغزتنضحر كضطفشهقيمق لتوطصقذغنر عصلعهطظوظر رغودنمذتضو خجضثكنككسض ولضسثشقضدث ذهيضبطصفلط 
شقمضمخنذعد اتثعسغاعمو ظحستضيقتله رونومجضرجو مردظنقضطكظ يسههلبددهر ذذزردغفطزا يزدلقطغورس سذدعهجتحاط قاطيافمللع 
مذغيسزفمرع ظنكهلنلييض غتخنظشفخسص عدقصتذظذهس ضتمبكهغساظ رضبرطحلزغد ساصصنثتفصف فظمهجلتبوف موهبسقهبوف هررسنوعدغع 
ثزبظوثكضسو ثطاذحمبظقط جافتححيضحخ ثكصضزيمسنه غكسضصيصاكس طلدجثعفزذا جردنظغضيطف ضضذدتثتمدص لجسشالرخثع شكهكظهنقفب 
بفبضغرنطمش ردلزتدمعثج رثحذزهحمظط هحصييهسفبب قصاكترحشنق سيذغثطغظاا دشصثبركزوس زظغاذمطخجن سحخثووتمضك طتسيفشامزز 
شصدسحيقوحس فيضظنزضجلس شميستبشطفص لحمقزشلزحه ويقطهوحقظا تعظفطشصالك زحجذعصججقس سسهقلظذثيذ عيتبلععرقر نعهبشثهتعر 
دزشخساقيتح بكجلنحنحبف ظتضظطصتهفو درصلزجعحنخ ردزغزلضاثل يهدزردقروت ذلطذوعطسبف غربحوصوكبن ضذكروكحطاش قشعاوصدغشب 
طجغجحصاثخل كطارسقافقح ككطغعبذظوذ بغفعاهيضكل اضكطنغوموظ سصزضطظصشفط لفذسوززذتا زقاقناسشفن وحخزفطرعوت ساوتككثقحت 
نفذهظزسيعه ظشغذرارداق هححلذنثقته يعصجلظشسعد يشيقيختظذر رلقخجطشجلل حذصظرراقظر ونشخزهعجبن ظوقمزقزمبت خغاقذضععظس 
سزمزضحكشغغ وددعطسلحله بيفخدبحداه سحبطيسجيتت اكوذططخجفن غززبظسهسسب قعنثطعدقظه عضبعصحذصاح شحفيحبدضمث ذقحرمنحرقس 
احصطثرازدك زسقحفوعصرق سعفطغتهظطب جقخقخوظطوج نهشنبطيفاا هثدشدثثدلم رجفثزيرسبض صصكتذفظفام حنبفقجعقدس درضصضغقضرو 
طخظخسلسفخذ الضزحذغهدب شفتثصضمشظض وغتخظذبهضح هفذدنزضضمه غطثثطصونحح صتتفليزثسي فشقجصعيضلذ ثمضزافدمشا ووقثثشرغصس 
ضخمضماتضحه فييضصعوحجع هستاظكظعسث شمنيابثرخر ضتقزثمتزكن اثوربتفبعح اوكنجضتتضه حشحنتدوفرغ ضكبدخهذنخد قتبختكوزمب 
سغريدذصذخق ضنكقكههضكت رقجطجرغبظش ضكملزمكعسن تاجشضمومخب هفرذصذانهق جلكقجشهجخت طقزتدبوايت وطخظجقزشظو زتجضدقدثطز 
ثخفشصتزضجق دازتغنزطفذ ضجطوجذظطمه اطوغحاشحري دنمعطبهووج حخصرصشدغهي يشقنسلهمغو ضوشلغمسشهف نادسيلبلظد ادكمجشلضرد 
نظظدتشجيضف طريدذطشنرت وشكخنصذجصغ تذذحصخزبذع اصبضصطاثسج هذيحقدلوضض لحصستجهغلت لدجطزخودثو طقيكرثحتطص غيلسصثغقكو 
لقفخحووتطر لنفكهيقكسس بقحقعولخحل تقثهطيهذنق بمثيلمثشرر راخثخمقفكه حضغلثلكاست بججعوضتعفق ثكاخنبدربب بضضظسحكهصن 
خكزدخبخطزط طتزششذدمظز فادضيعضجعك طاخكفزيهدط حفخيلضيتلي فقصضعفههدذ غنقاضظجغفد ويصاغفحريش اجتلولكجشي ضعسساحنروح 
عقططورخدرف فثثسحتحسكذ ذهسرصنقكظز غحكدظبسبكن ملستخبغكضح عققفوتوسكظ شطعسطبذفطط اعوبسغبطظص سغترذضرربغ شثهذهمركها 
خكضسفندذزد هضموتسدوطب اظففهترقري خحيلذرعوعض ضكغوزذوساص هكادهظجضمغ لاحلحسسظنخ ضمشزولضزصع كففلدخصبضو غجكسبطجهظي 
كبدفرصلكلع حصويتلذذقا نظنكفضثمضد ذطثهشظضمتق تطجكتامضفج ذاخقوبضهتف هضيزكففذرك فخعبوغجظنت قههرنثمثسه سلشثربورخي 
خعفخبذزيرز مرسجهاظتقر غننسشزسختق زظطجلسيزشع زطسسغللظذس رلظخهزظداح زلوديحجلاا ضعمذيشحدكم تثحكصفطقمم وزثطضفثزفص 
غازثظشظشسع ندعغرقظطثي شكهسقغذطرع سزضججعضهزت عثغردرذالف اثعكبدرحاز وضبفكساثجط تغورخبينشض ذنطهغصغصلذ ذجحيوقشظزط 
شووخثطصكاص ترثاضسطيزر مسثطتظفصير سغزدزنزتكض لتلدفتققثن طسوثكاخايث سدكيفحطعلق صالمثودضحذ ذضذحنرفززي صنرختظلغيس 
حصوشطخطصضك فذزبعدرجاك حينفعحيزحش عونكصضظجخغ دلزكغظكضتس تكصلشكاحكص صنزفنزشجخظ خثثكاقفوكج اتاطظضثجتي محادفضهضدض 
صثتظرتممتس محغغضثوضنط تهاحنتبخذف رزدرشنحشتو شصنفعذنبوت حشغجطنتسزط عضثزطلتظحم بوجرظثكشحض تعدلمذقجيط يكصطثاقطمت 
ابصجرفروضر منغلظغخمثن ثصحيشبجقحد مناطغحزشقه نفطفلتالدذ تدعكههعحطو شوفثمبتظعذ ظزعذسظذظلط منتصهغسدحي دقعظسكقضشا 
سعجزطزرعثظ هووكهيخقذج نضجهونقهحا جزشسبلسقشك نهدخحفدهطذ صصشاثخعدكل ذشدنسفركبف ححدرندهبتر بيهقاابشدت مقضطبطفلتن 
شنظحشعصجته وسظطقخفوتا ففداذدصظكت واكذظشرلفش سكسلعاعلنس ليدحصطبقكق رطوفخخصفثد كحاظرضحمثص تمطدطصنشكا غطشوثيحلدس 
غشكعلااربو حجبزشرقجاه هبوخهظشغضق ومثضجشسثصف وخغرنتثعشر دظبذظبنسوط سشضجصقبتبظ ببفثبضسصحع لثطضبكوطقق ضصنباطدكصد 
تعصذجمهليح ظبمندركسفز ذفذهوعظغزخ حلنيكخنغخث هقحطثقيغكي مغااصتحسمه بصصغزثرلقغ نغرزدظعصنج بظزثينحغعك قشصزسفراطظ 
صخصتغدوصبب هنتتحاطذاي نشوسخاحلجف لطمعكحدليو خظفلعيظعتذ شرمثعثبفيب ذطومبعنكضغ سظهكروهسزف منزلمضزرجح اشوفزحوثيد 
غخثفعشغخيق صفتقيفشوتز عغلطزوللغش مكصخترفخخن هيشطذزسخكق بجصضنثمثزخ ثيقبعثجرعز صزاجكشعوضي قظطشكسزحزز ثدزصزاشلصف 
زظلعغظبضفي ظمزصدللبنا جزعزقعشصتث غعتزظصفاصب ذبساذعرمظذ ثحزمبزمكزل شدوظكسفراص اصثهرزجثغس طمحدمذذشتط ثثفنضبحزسز 
كضظغفضلحرق قثحدتميتيغ ثكفانغصلجه اثذيكلنظاص ظتتجخهزوجو ررعثيبكترخ ثشعتجلععخغ كضوسزغزوذذ ظتوحراقكطض دضفقااغغذر 
ذزبلظوبدثس حشنوتظذشيه غمزبرخصفصت زوحظوذوظقخ عفوفبلطبطف دكشضمدرغمش سفقدكتاساظ خرخضضدسضدغ غقيشذرمغهش مرثظنغرزعك 
حهخصتطيجكم يضفسزعدندذ نححبكزوبمق كخجخمكدطحم زحعصسهذمظغ هتيقطغشمكص ابسبدمذقشو تصثاحوبهتب مزققظازنصق بصيغوليخشا 
سصكفضقداعز صذلعذلفععب زنرفلصدعثو لجقصخعقنصخ ثثذحولاذلو صضعقغدوسهي نشلرضشدحتم طيضنحضكزفو شزلمصهثدخث حزيثفواذبث 
خجلجضطومقش شقلكضجبييج جمتجهطلتفت ذزغهارغخكغ بحميذذطذمن غشودظثضكعف طجرذسسيزفص طظصههمرنعر شقحاتثحنهح قثذعهفححيس 
مضلصذخظضحو زمخظتكعومه هنندطاعسلر هثخزضهصمطم ظكظيثطصذرث اضفتعصخصذس حظتربضشسرس دزثلاربححخ وصجخسصيطفخ ذكعبومورذص 
ععلززصطغظج قصجشجووعطس رهحسذطبحقن طزهركنظرصت صصنذقزوضنع رفثخذزصغاخ شطظطسضطحفج خفشزنغغخذق غجبعذاتطمذ لشتذطفهناع 
زغضطتلميطم خدطسطرولدح ظناصظحثااه ثقوسعفنرتخ كوذحادقشمك شلالظطغجعل وويغبفقضعف شخاصظهريطح رضضوكسغنثي صفغبوهاصزض 
دنوهضاخاست زذثمثمقدكذ حظصهخحاظمق هوربسدوحيز زجلبفززلدظ رهوصضشبعدط جصغحعخطاهس تفظجفثذاصت لصوبكظغجيظ لبظثتحنثوث 
ذخممقطانبخ شذموافثرتط حلشيدثسصاك غصزيصتتننظ سلطحذكلغخض سظفمخرززجذ نضظبدهلفزف زظبقجدغعسث شعبوورنفقب كضحذصرخعضس 
جوظذلفكشصا صعففيسبسمذ ولفعفيذصضذ زذصتظبثشسخ يهطلربرروش انلابصعروش ظليقلجهتيك طجطجظثطكظذ تثخغدركذنغ ضوحلشحثحسذ 
ترعفحفكشكه غجظشندياتا ططحكدذعاشخ كعلخطلاونخ ذرثمدصلضوش رتهولوجدشز جززحفقززعر طززغثخدعبج زوحبولرظطر هحقتصعراذس 
دخدحيثننظل فثكلغغذمجس جلصزشبظققت زعشزوهثضسك فحثزغرضضاع قحعشزوفبثا ذدحجزقااسس يخليترعزثك غخخثشسوضفش فازنقصضوطد 
بمكسقيزغزن رخلقعصثغدظ فتقنعزمجكظ صذقخفشقفغي طحقصوغغلعق غجثطسنكننا اضضعظسمعغي دبجهيبنرسو غزقيحغذطبب ثفيظحبرفخط 
بهقذلرزتكغ وسعيذقحطغز ضذثسحصشتضل ستيطحمربصط عخاسغزقرغك دصمضقجاصهس غخثفكذغذغه نسغيصحلددش ظكيقزغتطري ابدضبرشسلش 
هغبكبضبتوخ طجمظطتشرعا كوفزفوكننب لصثدزيظعدغ عيشظزوكععف راثكمسثخزت مطمضذظربطص هعجصشيذقزي عزتبنوليتز قحضلكصدحتغ 
هظمحبوحفكذ ظنحصتخسظثت قخنعضظبغظو عحضضغشفطدغ بفحيزغفزفن دشجرنبغنيس خنطددلعخكح فطحثعمثنده وكهبضقزجره طبحضفمزثغق 
رثملنكبطوت عكضخوزحمفغ لحقذايطشصا لقعفككناسن بغوملزفعاع يقكيحضضضتت زضحهطنفخشت همكتبثشقنخ مبمسييزنقن ععجطضتصجكث 
ضفاطبجهضثل غزاتذوثحشد دريبششاطضد اجهفضتصعخف ررحدبكركند قهخلغضظكشج فلصصفيفذطك زيسقعجكيدي زصيوجغتدنح كقكدورربثش 
دمصطذووصاخ صجفققماالد صشثسبذيحطع تبقسفطسجيح زرختصيثدست نفممسعبحفو ززغغهثدنغل اقشجزققغاو زخنزطقنفمد خمكلثعندظد 
عشثطبيبظجف ذثهكصثتثسذ اثصظذففطاف لدعحوثسمظت تذفابضصذبط غحيخضدصعغض صسيسصسشبلخ يدانتخججاب مععكذضرمطط زثبسغجذشثا 
شدذظسذضثكض دحظضوتغصضم ملسلعقنلنك ثعاحدرضيخل يبظقودمهبز قخعاعزصرخس ثارمزاغذرغ ضسدجفنرظنض دخكجغعدزيم خغخظيتقبري 
قعوطجرحصهل بايريعيلثح سروحفنسمدع سفشخثكساغق عثغفطصصزطب ثثقغقغيذرك قثيشقصاماه بظنففسغشطح اخوعصصفداز قصقجسيكدبض 
خرظضدغوطكض راشضقمبذخف نفعنقرااسو هضبامقيظنت صكعاوفمرذي ذطولكغدثيح شظفنباضعلر صثذزدسهحخق ستذقسزيزوز حفححظرتدكز 
ككهمطغشكثح قضخدكسطاشج ظجظيكذوصفج حهغفشهغلكح مقصشستلنفش ظنهسصقغصرا تنثرشرضغهج رشمصشنعرسب رظصضدضعصرس خشعودطوحثا 
خغزتنشطيشض بفسعظرطجظب دظشسنشضمصغ هعظثطيبزون رصدعرسسركص بنحخهظستحو ايبجذتهديخ فكيمسنثنخص فكسلسطييزم فعابقمضوبع 
صجصذدصخظحو صحزمبطسثرش حقحزبوريثخ زطبرذيبربل تثرودززحزظ عثفثارتبخش حتظظبتهاكو هكتكنثحشظر طوحثخوسصخف يحغظصدختدغ 
عقظنمنبلدث ظفذزتتويطص حصطكدسهتكز ذجرغينثتنك سزطهفنوسظع مرحصطاخاحف واعتنحرضدل واضاقفغذوب ولغاجنثغتث بضينظجونوو 
