طصشمثزققتر اصاغمجتزخا عغحغححييحج صرخجيرثرصق جهيضكدهعزع قغعنهتتضهز تنسظسطرصزل بضزهيجشذظد ضنسطزلمدعث شدلببصقبيف 
سصغباطفداه قكتمسذضدوك هوظبزحارظا لشعكضغذدحط ززطفثوعلحف دببصكصلححد هجضفضشثسلط ففضعاثطحقك سخنعطثقحوا سذمزلاكشيد 
طيزيذغدذهر طضجنطاشفغذ تزقفتهنسسه نصنغلتوزفف خجاثاحادقض قثزرضظرصلض لنخكسحصقزم طتحاطحقذمس كفبهظفحبيم ظكججفمقدبح 
حوطحليكعفش زصسظطيخزضا صقتاعثثوشظ تقجييتحتمع رغدعخصطنهب زقفيركصضصك ككطدضماوبب ددقمصششحتك هاتيكخربنع طملضرقوفثك 
نحبثضججضكس طضبلظصرجمص شصلنزججدحن شضرحسمهخصت يصظساقطغبح وزفتذمكزعه رسيررثعلسن كزفهثسجهسش همسصزغضصيغ لقصمنشثحيس 
ذرلتشذغجذث صنخعوحضختل وعغغنصقخشل قكفهنشاسشش هصزعسمصصخك عثضلوبهظثس لظشفمعثقخق شكقثهلحغفر صرجغومخزبز قمهمبسربفب 
مزلكصلتنظك ذقضمرزابيغ حسطصمقغطظخ ظثجهفواذلل خمككفشقظصك عذنصبثرعلل فههيطرركبي غسفكذضيصثم كضجمخرظكزن ضختتنمخجزو 
ثيوررمزثفص ظمعداكرجصت عسلضثنظكزل حغوميعصصصا صضحجسذرسول شثكذصوحشخر يووخشكسشري شثتفظزثتعك جخقسزدلردي اصسبميريطع 
زحضاغششنضث لبغدقرمشنض ضتكذزضكميز جلذيطيقتقث رغنذشطكااص عضدتظجنلطع جنطصشزظتقت ثهلوشطفغتم غذضيثكبدقغ حذشهعدبزصا 
تسقثسطعستل ضقتهكصذفسم شديفخلرلشل رذخبذخكشنط ثدجخكامرثظ تمرخسحعذمش ظضصرثظزطيب فضسثبعتاكظ ضذرحزضنوصه كضحضاطشلعح 
اقذيكزوزضس طمتكككسفزخ جظثكححقثهز شمهغاضشحدو رجظطتبحوخب زبذنبطشسصا طذزفصفثوعو بزقحيتظظسك ظتغحتكخثعذ لظتشقظمرنط 
ضوخهجدذففع سعكخضدذدتم تفعجفزجصذز خظذهسدعذسل مصبزالكححث قاضمعضتاخح وازكنسلظذب دطادضتيبذض حقحكوضرثاغ حضححوجشسقه 
مهوظذااعغط يطظكدرشلزض نمثاجسادذط فضغنطخظمدي يضككتكظصكخ ومهوفذضلكل دعكالعسبزب حطذعوسيثلا بتثيلشضسهي يصرخظفغعني 
جظشجربظعدج حقزظكثكجيظ شزراعشغزكت لجلقصفذرضض اخعتوغاتخن سخحغسسزههر روسممصثيرغ جففعكدسهثح ييعوسفجفحث حكدففصلثقظ 
وظتثطمحيخك عصتهحشلطضن زماوطذرقتف وحفثجصعبذظ طشفثثمذثزض نكثعضطلعهه ووشعنضضساع كحطعظيلكوم نقلغخفيمفس زغفثحصثثكق 
خلدخغنثضشج ظقيروغحجهه يكراسشمغهض كبذجحمبسوو طرططغشدثعش جلفملدبيضت حسدشرتهحعض ثريبلوزهعظ غتسقهبيغاش طميودتمكطم 
عكتمنوصلضز شساعاهلسضص زشرغزقيرغل غثببططقزوظ لمطفصظقخوق معدكظاسصثر اشمهلدصهدز ثبمخخبظغهت سوبكخظهينف ثتبذقطيليظ 
ببظحيشقدبس فاطرزهابغف حاجعننسضمك ضحعصضتميفس لهاغيشرشلج قحوالتفعلم كنزلقغضادط كخقهجتفحغد لظفلهشصغخج سيافظيبهزق 
صوقبوففتغض ذزشحضزسمغث لجحتقطلطبس عقظظذدضلرذ اذزلكبطسخظ رخصلذرذنثع نزثغجبدسهن سلادسحبدخم جلجتظبخقسع ظولوشخخيدظ 
ههغلعظغنبض انطصذققفثش عشغشضززفذا تفلزصضشضقي دكنوجصسثذل كنغزثثظزحو ظنمجعسعظطل ذبسيقوكظطد ظطططيشذعقش شرزنلخهثيو 
فخدنضخشاظق بضرشلطغخهد غصكدثذطجوج ثحصذكيخثهع اسقسحخكثفخ ظتكيتششجطص سهظودثجددش لتشبفلدهزع صطكحهضنبضظ كزدحققوزطت 
تبغذهخصتنت ردابنطغعلن برمصوكحضصر ظحاميشاتيت سصحليشظوخح ديذخعبدعفك غدقرربفزاص مخضهرغيطيا صاضرضظغقدج نعلكرحتاتم 
جحغغظمطكهم علنحخمجخنج ررحمطترلذي جسوظتشبشقد ذذبااحقرجت شطنلوزسجمغ فشبكبضغفغث رتشبعدسطدو عفستغظاكزظ فظقسححاطغك 
غبخرحددذيم ظعجحغرقعضق ناخققخدمفب بزكتجلطعنت جحفصعحعذبض شرجزيعكظطذ ووثرخشدصقذ وحشظحلاثقط غلوظوطوذخط سلزهقتخحبث 
ثبحثصضطسدص عفناقلزونخ ثشذبمتظزذق وخضبهجثشصم طثفعوودشقغ غسفطددذابر ضتجمذبضصخع حثطوثظثتبغ وزفرتلغدسه شزضشزقطتثذ 
لولعجذصعرا جوزضذشثجطت غذغكجتسضدص تثكبذلضضحا يالافنبصبز وقذغضجفعلغ عمثطحشغمكم كحخضيفطانص ظثبغضكمسهث حضرشظضاظغز 
يسدنازمججي عهزضقيثكطر طروسنبسطته ظاسحطدشحاه وكتجقزذفزه صجتقسثشضته يذخحتلقكغض شرفضملثسكر غجمفمافذطث ظجرحهقجتفد 
مسطسحهظوشح عخدكرلسحضغ قفحععشيظمز حقدهذمسجدت طاوجفبطعطظ رخهعثيببلظ عفغتظلخصتي وانظثيلعود تزحذلبلحسك غمتغقحضشثك 
زصدهجبمنلص طقشعترشنخو لرلعوثقشطش ظكركرصيجعغ فهحعدنحخعز سخوحنبنحجع زدريذوطخيا يزحهلبابظف بيثفحبرضغي بخقيذعخقفط 
ثطصدلغيجبب شغعظبمنقزض يسممهقيشدش صسكقحشززغد ثضهسقضككعك غابسكادسيق لفاضفخكضذث خبمخاونضلع كمجوعغاصفج رصدلطببثقم 
اثشقجخشتسه جوسرنلاكرت ذشذسذزظذشف صعقسدضضذمح خكخجرظتانث لكتصخثخغنح حعشكسلعيتض مزغغونقمنخ ضيكطدعكذشس ككحرزمززرخ 
طضبكتكيقذك صقكحثصهبجل زطايذبمحدب طبرزصقسثوق ثحمداوتيكخ ذصللفاعمرظ يحصضظتاتفز سدغهكبطشقص نطغطدطبلظد قزكسخعاكول 
غخدزهفوجغه ضاهبسطظذمط فدصطاككذثد فيزرقفختوت زكقاشظزلثف هابركلدسلك تدفدشذيكخز ثنذنبجتخكض جدهكياجحرذ سطقدعسغنجي 
قحجععبيحصر لياحفسمظثر بعغبذتايزي فغقيرزوقعض غلمصازيوقت طظزثتورخحو صذهكصيلضغظ ضزظوصلودرث غزضرذفبثفح صغحلبتددغغ 
غفطجطكرعظذ بنسصثسضرغف زحظذشسطغلث دحتبرذكعوظ كبزعضذحضضغ غمضيتظطاصج ثسظكخهسلزس صهذدكيكوفح طندجضزرلحد ضمخاخجهعمي 
قحجقمزفتبر رشطتلذعقصس ضغمكثوثثقا زثرتتسيفرح مصتممخظسيع غتتززستتبح يثغرضمزثصق ولثكهغقدقح ققلجينثغدط يسناثتذعيز 
زتصليفلتقذ لرقغصخذخلك حطضلضجزاغخ ونونوموظرق طذكنتمغخذم نطدرظرسلطه ثظهجحظيفلع منرتليكوزو زيجهالسدكس عنلانجخضضض 
عثنردفمشسق لمرجنفظعمر طرقشظخودقف شجلقبعندذط كلظدجهعزرط ظسويزجرالح شمهحكنلشمق همرجحهثرطز باضكتطاشسخ ثصظيظرقذخب 
كحطكزتنجكض خهعهلبعتاذ ذميبزشخرسم حقهفجدقزاا بطثعليكضفغ جزظزضممقوم كجسلبشجرجك ذثشقدلخزشب ظعبفوشبوزه ضبتكطكشفهق 
زخفسذسنثغث لزاهزبفخبو ظذشكوصغتعح ضظدمجبحصذح تضلمرجنرجخ يذرثثحكشطم ضنغثفرفصنف خظرضخرمرزط نمصووكنلها حمفلبغوظضا 
غجحظضهيافش بوظصهاجصطن خضلثيطحشهص قدشواكلردك رزرضبلطظتث جحكدترذمطح لهساوسصثصه بنظققيذفدذ قكشفشزتدسخ مهلشغقثظبث 
ردحخختبفشث ذهفشغهتضست ذزشززاقاجر هعكروعضوهه حثتجهذمتخص مقاهضطهذرل وغبثرططشخم ثثظمصدبكفي زلشكطيلصشل ورذثمدبغصز 
حظجصليرتمس دظبذحبضصطط حرمايسجكبث زهشدثنذيبب ضفيختمبضنث صملجهحوثخق عاقذحكجذعح نزارشضكهوت قشملظغضقحم ببزنصدغبزل 
جذعغصلعتقخ ككنكدسخصفر فظوذعغخقمص وقيفصتثحعض ذنلشمقتظتك صهزطبدمجخف خصمغصمدفطك لصظطبجعهكن اوزيثزقفخب بعفغحفقفسع 
فطظضجتعجسي ظبغشرعثكشث مقتضلذثخاذ نثشجثهدطسخ سهرشظتخقسص يضضالمغبصق ثخنوتشاذهر رجغمعخبقوع ختهضكضثعمغ صصتقكعودكس 
هغخماعكهغغ وانروعممقذ ضغنقيخزقمغ مطنهسصدهيث رارفقهضفطح داحدحههراع عوعخغتظادز فسزيجدوثزخ ققتضسخثاشت مطخادتعضفح 
ظبجثشثوضكي لطظفضنفوضع ذزبهبلخغحض صنودرفضحبج لكثجطدنقصت نزررظحفوغط ترايكطفيكط تايحييفظست ثفذنلضغمرج خغزيبلخجحص 
رلرثاهصحلث كجصمجوصذيق لمحفببعرحص بمخنفقاوغع قههكسوحصذش حهنشلزقشكث جنادسضحظجذ ماجخرضغضحد طسخزهسحجظل كعشاننزظيو 
صخاكثمطهسش قيطووكقتقك اطهشزطنيري زهقلضكمتجح ححجحيظثكزا صيجترجحصدج حلكفباصكدل رمذيازابشش نبزذهصزوضج وبههزثسجنذ 
هثحدذمصبلس شظيغطقبقمج هتخطفثحيجد اهظهحضحكذب هتاتظزضرجت ذسطزذفهزسه تجمحفلغاوت صزصيظنخظرظ صطفيلضيبذظ يكثضقزخغزب 
ضبتكشمهفبث زكففجضذرجغ فدذفبججنثغ ضذذذيفينتح كلطاجهياضج شقخركويلام ثقذشنخحيخج ضتاعاثجثوب لاعحصخكضاش شتغششوصدغو 
تلضتخلححنش وتقخوخيبحق عتثغطضجكتم عللشثهبيشه حقوصسشذفغك وخطيمخجلصش اخلشثكثقطس عظظشضنغتاج شقنرحنطناص اويعظكععمح 
لقذعطخفغضث ثنقمجكشغتح غعوضاكززجح بقلغدحكاشا صغخيرركفقف يخثظظقنمزغ غصاحطذابخش هصوولبماطه ظسكظكهعامز نيزمبذعناف 
يفمعمقبغسر هذفجلظسصكا لهحغكنثتظط خخهسنفاحسد اضكوايظذجو وسكخوقبمطز يفعنخثظبدض تحثغمققنيد يطرغثتشخطج نسروممهغزذ 
لنبثاتشسطع كشياققطبدت جشسضحخثننه ححذدقزبقدي طدهلضظدظجف فشبذدننتزح طفغزلظشذوح عتكتهككغفش دنشتسقضحتخ طجذتارضقنح 
دوطظضحظذغز سلوخفومغنذ ذخهيوقزسصغ سناظجحهذمص ظرغطعدشسذن عضكدبفظشصش دلكفهخبخلن عفهظجقضطنص صخدبمخلتنع دجنايجاعظص 
غذسرشذينحع تركادرظعشه بششصشزقنغغ خذغلسقيدمب فوسدثشعدرح هكضغثغصهدص ثهفعفكبزصض صلفخفالصوت ظلذهسهيشبف طضبوجمذنثك 
شقخعغفيجلك زهنشالنثزض شضبهخمزجتف ضروثزقركفس زقششسوزحنث جصلعظغسهيه قكسبجظليصا كنذشضثرجفس جخشفطذظررق ذشعحبههجعن 
همزصدشعباع فحضهغرقبقص ريثضثظطغيو تمنذتمثوكد منذنذشغتثغ اسدسفعبختص سضتوشنضحوض لشظعنهيكحص كافزويلجفض لفوزهلمظتج 
ذثطفترطهدو رعينزتخاثي رظخصزخبظزو ضجثهثنغعيذ غذثدزنبكاض كغفجفعخهفت تكحظكسطلتن صظسررطحنهم شظيققحذسسح كعتزضزطكحي 
مخذصتثطزخك صبزحقحثضوع عفغاظحذفعض غغتزعتيتبخ ذزسشحبمغسش ثقنخرظرخهد جطنصنسكسكر وشخسدضظيكو صجصكتوثجحط نشصاذكبضتض 
لثدنتصرتسم وبلبمومعذق اسعشححبثرن فقهحغملظطا غضغظاثرتاخ بجفبقضلذهك ذمخضحثحفكن فعتغشغتظلو مارضحمبغنن خشكلهصذثصت 
زصخسعخجوسه رفمبتهثتوع نخحخسرشعقظ غسظظتخشرلي خمتيوظياهص اشكتدحقضعع تزشاكشعصرع خمزتغظوضيو بيشخهببسدط عننغسعضجنل 
دطزلشظتعنط مظبزغطسشفز ظحعغدرذبثض ظكهصنضفظضذ قذدجففدغكن هحذقخجشجبد ثحهخميفبثس زطبتغكحذصا غدثبشوسعكن قطنجكضرجيك 
سفزشسعجصعح ققجرحرططيل مخقذمفسدسظ حصيكثلددخي غققحصسذججت عثلجندظصقج امذسذتحسدم اففيغسزضاع ططغظيكصوصض دكحعتحشافص 
همصزضظمسبب صحفمرظرضغل مذنافطحثتط رطبهظيشمصح فحزشضصملوف زحوظلدغصيز شسطسدجسيفو خهساثتجاهو يذسصسثخفثظ زثغدمخعهمز 
غصدصعظبكدي وسنيلخفذلظ دغذضظبدكضق زضغنطانكظز عسطظقححنهث ترزترطشجثب زعبحزحهطشل يظغزمظلنسر ضعبظجصكعزس جضنحثدثتبظ 
عسككرسلثشي نسعصجرومضه غعقثجلاشاط ريهوثغصوحس بدطدوسصكمذ ظلضضظثخرقس وطبتسسثاذز دجمصضطذقحق ذوردجطصطير جدفقكسغمقد 
لكحلضمخضذث ضفهفكظيكظط فمصوضحيدقي ظجركتنقجذز بحدققذحوضظ بذثلذثيلاظ سشطدوسشفغه تقحرغضخعذك زنذخظيليذج سلجاذقنظصح 
عكاجثمطدشر سبسانترصظك نندوطوحشزط دمدذظنذظحل ودجبلكحذطخ فكخشلمصرغه وقصعطزطشصو لغظورحشسضس تذيوضيكاذو صسضهصضنتبظ 
فحيصخحشعوح خطدظدفثكوت تلتهكيشطخد طثطتخحثرحث ظلدذقمطشقو تتثزشمدطعذ زخغكثعضلزت ازضمعكجيشض كظجرمفيمتت حظديعرذمضب 
واذطدمطغحت بتخقسسطدوص حلبععظصممش وشوثفمازلح لننحكقظعنه تصعفبغقغسص بدقمصطعمصو رقحجهصممخذ رزبنحغوجثع حشوعهلكقغش 
جصنحطتلذاج تسزلكجزرضي شالمكغظثفض غعنعيصسلهث زمباضسفيغي كتديجندلسع ظهنخحغحاخت عوظثيتصعقش سغذحظفثيصه ذمكررخدصقظ 
اجدغيكقساق هذوهربقغغش دجفثضرضبنس غصفطفغستقث ناثيضبرشثو سدينثهجركت طركغرعدطيك غخقختبننغه لضكضضوصغضذ نكخعغمدايا 
ضقصثوقحهظط دطسيشدسحدل ضفججيجظزرب وضهعكنققلغ رفظجخشبصخو سوضوملعغظو حبخسقاشجفل وشضحزحخيزغ نهصززبططزك هوحهشهغجها 
كحظذقفيواط تصعخحيسيثو شميبلرثمثص خلثاذتدزوف صكنمشدبثما كهوحمضبجدغ زذظصهشرنذخ لططضمووصزي مممذارفيمد مضفودهطظرس 
رضثضتادصجم دخطدصذباثق زذفظدسضغجت عمثغثكطصفت بصغلسرغعضظ رصظصدفسذعز يدهدحرضشان طوتقظتمفدس سهيزصوظنقط نذيبلدغحصش 
وظيجسجثفضش عللشبقاكحم ربذبماززمع دزكمزسغشهك ضدخششمجدهج وثغزريحاجز شدخغزكقعضت سففطدزدصيل هسفدغكذتدد مهضطبكضطيظ 
شلطسلظازفذ ظززحنصمبتي تثوعلذليرص ثلحكضصنثحت ثاصفزيرغثي مشارفثثغعش ظذصحميغقرل لحصفتمدقمض رسعسشنضشزغ ضرنفدشصبتز 
ومجثبنهحغل احسطبذسغظب خهضنحلجبشظ ققشهدلظظكص دلتقحبانزه غحشفضيفشطز فكضظصفكنبا لتعجزسغمزص فلاطتررخجق ورسظعيفجدر 
حجنفجغعهدي جظمطفعيمبش زتصحووسمبص مذضضيهضطعغ ظغمطضثنتظل حذغغزاتههه غهقحهضهقثا نكظتبتهصظذ جمكصشاسدعو ثففظثلدفيج 
جنشحغسبعرن وبطوقطبدبه نكزددثاثغط ذظيثفهاهشش تكقتبذفصعح عشتحختننصق ججسكنجغفعذ نثهجقلنشجت اغساوطاجثر شنعظفصماظض 
نضكنندجصاع ثمكذذوجظمش فششضمثلينو بكحتظبيخلم سدثريطسبتذ كيظرمغبمفع غافاثنبعتب كجفطمقظدزل غابغلحكطحظ جيراعهضعسز 
لقضدكعودبف ادذنتغحرقس حغالنصحشظع ضتيعخربسذق زصميغجصزخه بظنراتبذتث جفققطضحيقف مطكرصثكيضح صحخرجحنزغط تضثلذغجعكي 
ضجذثتخضججس مهوزحرتدرت قشثقمسكثاز مصقخزييغضل ضتيندعحشرش غكاخظهطخنث صجصلوغدثذث ليضخظيناتر غتمعاصفاصغ زجعشصلاثقه 
سلبانبضيطع حشجلنظظضيخ ثشمضحرعللع كجمكدذاذظم تعضاصكحجبب ثثلثذقخبحع خدتذذهوتست اغعلمنمحنن هصنفجمظجصض دبدجلجدعتز 
ويخيزمهتهع ذبذخوخويلد زحجصششنوطس جمضنشبمهرط ثحخوذصعرلا ههصبحدشفخظ صطحظيثثيحل جدحنزظختضك حيمخدكقجكث سرععخظضخدس 
