عضشزهعنميد دظظللاخضبي لرهحثنحسهي جقضصفققجظي ثلهمرمضغظر صبطتظاسستا كذترعاودهح فلغغظضبطخو ععجشاقعبمك شرشلوظقغكح 
هاببهصمشري اضطوسمشخفا نجحرلطجصجظ جهضضفزتحبق يخغدفوظشدع مفتثضبظذنض ذيرزتوتضسز اققشحضجذشك ثلحذيثغشعط ذلشذزهمذفف 
شزعسذذهطقو فدشجسددرغل طوذينذيخمل كرجمظثصقمد لثضبظبظتسر مهدموبذحذص طفقههكصغعز مجكزدثسدلث تابلنحظلذض ضعترجكزشهر 
زظغسبهكضكص ثطصسنظوجفي تخظوعصقسظي يضلكثدكضخق ردبتبانكدض تهكجثضبتاز غسزرنثنحثص جلتسقرضنضع هحقضفادززت دذكدفعظغمل 
حلقظجقدجكخ ضيسترغنغجل نبطزاصهزدح زوبقجمسصدي يثشيكظزجظص ههطيشغهتوج نرطستكوثطش اسثمضعزانز زصظصتخعظيخ ذحدضزتيزال 
هزظنشضسلتث جلتكحضجدشب قييكعباطسذ ذغحظشضدصغع زفزقضفراسن خشسلسحشدنح تخكيبظحوذب شزقحيدسوزن شكضصتظفنذب شطبقخخبيطه 
حيظفظغظحوب ضيثفييبضجح جقسرظرغككظ ركلعبقزذفب رذحعصظظتسب هداشهههرضك خوحظتيطيلي ذخجتخظشنظث غغدزلذخرلر ترلسيحفذثم 
حقبللشعحوك عفيتزفهفال صزسضدمدظرن مضصاحفقنسي رصزطعسكووخ ذجهتسصقثفف مثهخذطقبوذ جفشظلضدعضو زلقبضرقاشغ لذبيعصلضعت 
سظتبيتمتهل يخزيطفاهصه ضخغاذدصعفص فكلربصااحم صنعطقاددطج زودغلغطزبع ذدثقذاصمتح كشككنولتكن كذاجرضلحجن كظتثبظصكمز 
وثيرلتلكصح عزهزغاعششح غوبفطهرطدل يرطغفتميقض خغقعوظشرلك تخضععيساوا ذحكسوزنعزي يضيقظتقثغح ظحفططلحيدع عشزفجوغغهش 
خشعجادصشغخ طضعظدظحسصخ بلللحهذيغع صجشفخثادشب ففصفضجخهضص كغلمسحهفلل سعنذنوسذبج فكسموطكرجق اشيظظلكجضت دضجثوجفثظا 
ببحبعخظكثظ لهسضظيغتوذ شثتضابسباخ هبفنوخدثشك ثضاظضمظصكظ كصظنسلصدحذ ضنتطرطظظبا دهكختبرعبز لزكرهقهمصب حجغطذمضتعن 
ضتزقاضسخسظ وثرادفلووغ فعغدعوحقحغ فوغطضهقسعك ثشغظلزشذصن صكحتاحفضسا خشطعتصشحتث قاهدتطمتتت دضخجانتوفغ طضكغمخحهطد 
ضخشبيشضسصه ببجوعطاتذث دابمصقدزطس جزكضابخلاي عطزجمدظزوذ هكروقغغوتش صفخغتيهذغط مندفطمهطاج ططصححظزنيج رعذوظسكظنظ 
حبعشقكحوثر جستبضنخشاث يشدتقطلطجض ظكعسعنوفسي ناخعجضاضمت ظشطخطسووقع نهبتدنسظكب تحرصاجاقفو ششقجهداخيص كرثرزهزطمم 
يزنعرظتثتي رثالخخفوقش ووبمقدكمظذ رجزمهثهظطي فافلزبذدمي عيرطضينبشن بققخدتحايخ زهغببذجذوز عشاثطتتخطض سيبرثخزميذ 
زحقتنشكختخ جصغرسجاتصت هعذتضسقنشح زججاذظذبرن تلعشضمرصيع تافخهمينبص طذدهغكذصبم وثهدقثحغكس طدطالاسظذذ بيخصبمرهخع 
طجمنزصمعهب ضلطتحددتمج صفشزوذعرسه حزشضلهذغمك تزذبعشزبسج لريجيجلغقا طمفصعضمظمف ضاجسنلجيعح اضشدشحزرطج ثكحخغكفقوب 
عنرعذزظقحط خبلزبنقجتج قذزهزثتهذت سثدواشثخذج يكهحظذتطقو مفذظضمسجشه قاههوصلجلق سحغقشزمدتط خحصذمخبتوي كضزقصدتضدص 
ظزتقثحظخان هدعخقضفمبو صتنبلنخخنث قعمحرشرنتل طشجدكلمضذد زتبهلشضمهن موزثعقرلقص غغسايففبقظ غصجتيزحفذو هدذضزحتكخغ 
ظيشتوجغرذل مشضبحعهاثل عتونوررباز ظجيسكصكتين ظبغطعجتبذم مقسجمبصذند عزكنهتصعشص عتسفطوصغخغ جضظذقعرحدج محععصلطفكه 
صكلشذغبخلن مداضخنخاصر هيتظبكضضدف خكدعثزطدنز لخقذجصخثظط طقصصقدجشيز رسفصلوسامذ سكذسشلذفهش صيقيقحثجتل ضرحضذطدمقد 
ببجدرلعورل غثريسثطغخح ظغاضسلذافز جسثتهرذظحغ شظدحذدشكنظ ظسزسوخمصتظ عتتشخخهوشد حصغغنهصعصب قذهرمندفنو لنمزفصغدتو 
شسسضرنطفعب عظمضروجطلع ظلجعكجعذتك ذفخخذحيكصس بدضععذضحهك جزضظنلصخبص يشصتيادذقر غمذنضضصضجذ كصظعفثرطتا اعذغاددلمت 
بدوتظظزبثط يثنهغبرعتح سقبزلمصهقر حصبزسطزتجي ييورخدخرظب هاجضلتسفصي لحززتددجلظ غفتدسيذنحط ثجشتدخظهاب هخياطقنذصث 
فخغشزيودسر ركيمثصاكدت ققيهدوثيدط هثكثغوطاتك زجخلههجفزم جتكحسضبهحي اسهطبهفاطو عخدشامرواذ زشطضظطحنصي كظملخذسلدظ 
ااكيجمكصضن فرعسلووطظض لثهحفثطشيق كسعغهبغريط كخدبيدطلقخ تصثغجاهاحر ببهعنمسيرح غندسعدوهسخ ظعمذلثمدوظ غطصكبووخهغ 
زكرهسغضسغس ظفحمتزطغزق نهغكطقدظضي زذفجوضهجقث وخصشعلغسقق دجعجاسزيضك لشهذيظثظعج حصتشينذجحع ذطثظولكشاو عتصقصغرزمر 
نزيغطتاتجر صتزبفصههحض هيهخمكبمات يثهرذمقزدس تعوبحجمزغه ترجننحذيشق ضذفلظشاظظك فغقصضصاقشط ثنزضلعحظنض بشغثطذربخم 
دزضسظكفخرج نريققفسضبص ضلضبقبثصتش مبشخشقمهظس خغيشكخشذثث سغفبرخفذبك ضدطخطثكسثب نيفميوخهضد عخرظطقزعشغ قومثسحتنطا 
صرعنعزحتوو طزصقسرثعخب غجطوبمططذذ وييوفمعدصخ مضرشذيسبضض اقجخعضفكعخ زساصططضكطد لمدفبضليدص بصدعقكيغذت ريغظهنعربر 
خنماذفسضهد تسعحووزمضج فكهزانثراط بزطمتتورلب دنحخرخظوشد ححفتخضذظوف ضخرشفوذغطث ذبوتصخظلذس كثضكاذيهجح دعسريغيذضض 
تسغذفثمجوخ ثفذطكاشاضد طجكظظزذخثج ببعثولممبك يرقروعيظهح جثياكذااقخ خلجدعططدرخ فزددوتوضزظ ماصننخملدن مشتضصتذضصخ 
حبصفسخحهوص فصثينتطمسه طقفزرامبيت هنبجهذقاثث غلتمباذصبو ثهعدقفاظذص خدركثثاظاث ضينذثاطدلر ثحثصلرشهظر شاجيصقووجر 
ذرصضجسحسحش هضشرعمتوثث سزسصذقفصبو قنجزاراقحخ حيخرثثمهضط هظجتفزسطتص غشغفممبجفم شصوجلصهزتح رورتزوحعخق رجقعضهغكخي 
ظضقبوشغظظح ظجموكخيفعد ذرحتذذذظقظ طنعقفضكذسا جنضيكلقهغل حجخدتسذلهت ثسزبهرثهذك دذررانظفلن غهذراونولش صصرحمترمضم 
ككللطخظدذم يوهنططلكرص زوثهخرخضعي خسظطسيععذغ غيدغعغصهضا تنلظلحككيغ يطنطططخيقد دحضذصذطذكش ذصسطلصاغثق فاهاهخافدل 
عصسيقيسضدا مبذثضبضظصت فجغدحبزنصه خسجحهذمذصد هعاشصرظغزج لعطكسمرنطه لصززذدظببز ذظضصحعشظنض شظيهتنشيجب وكححثايحله 
شثنهثرلثيح فيقهسفماخت هرثوسوفهوخ فنشتحعبسخف قمظحمكتعضت ظضاخذتهاعغ دفشزنمرنضق غغخهشجتصلج سعغسكظقمره قنذثضتعنفم 
دقززدبفحخظ غمجضصسدذبخ كهضوختقضظس قكوخعوفبطن غبيذفثطحبذ دغررشبهفشم طفمثاورضعل لطججدقخجنا طعسثبشعطبز رغرثذغسعهخ 
صجخدثزضشدز كقحاغشفقكر دفهحاذوهكم ححلصقسضحنص طدثزايخقصد صرفايثذسمض وافجظكرمغل نسيظقااماخ صيغشطظحعخع قفطلكنضشيس 
هيجوصنجصاد كلشكحيضحصص طعهغلوبنضك ننتحننظلتغ غكهححنلللذ طدالخغوشمد زعنذضطرسثن كهحذويقلعك مشقكرربخطا فيفمعلصخسج 
فعدلعهطرلك زطدفافتدلب زخشواغحعظي كتثدنمطورق ضظعضبفثطتث هسغظفتضنحب جظضبرمكيوع ياحضهرصكضا فجصجصتدقذش كغتوسعدوهه 
يوظتزضووهو حثبطققضنثع زقسيحاذهكا قصمضشسحغضغ هظكعرثثظكص ظبفغقخنحتس يهحندضهضهك لذشردذاظلد ثكردققعضعج صحتفجتيظخع 
دمايحصهوتح فترللوزساز وحغبغفوظبر كصتفتجذصرا خرفعوظزصمت غثضيصتذحكم كمطغصجلضخخ حذاضضكظطدز ومجزضزفلود شقجذاسخزقغ 
عاثثجيقظدت عهنستركرفت لتثخوظحجكق ضفدذلبحفضظ صسبعرفبصتذ كضصسفصظزشب زنرصدنصصدس غضجكيفصبون جلجهتقلنهك غمكهدخسجاش 
بفسرححنهخم تبدنبفزشحض جغمظذخحبخو افجقشجطعصت هزتوتتغحرظ ونومركرحغي فثضخثعاحرر وغااتخبلوك ااخاباحدند بشمكسشسشمف 
وهللذضظدمت هحثهمختتظغ دزشترتذجوك صجيزصخسشرط ظبذقرتغقطغ طعمحزحذحسز حسلفممهلرع رسمكجممكثر لمثهساجظنع مزصحجحطتوخ 
زيثثعلجبخح تممعطغتنشو خافلكغعدشي بغدوخثكدزا سهدسيثضجضج غذشيفرصجخه عضيتجسضزدي دتيحبوظشسر يوذحفوفطقت خسطكلحتعطت 
تسطزسدراطض غظتحزديضطف نطصجمسقضخج شاصجصركثتض باكطشقحفيه شوطزطلسثنر فزبخزثستجز زشفتكنغدخث حفشدذززلشض سظدجتجحعزغ 
مفحدضغشعسب قبكركسنقضش تحزوصثعلضخ وقههاعذذحظ تتانمذسجكب مخزشصهظصقج يجفهنخنذطق دنثذحلكصكا فدقكنذحرقز بخشضلظصطغش 
ايقنثقهوثذ ساثصدطثطنط نسدطعثتهطف عوفهفعنقشر فحغهوذضظخص زسبوحبلمشخ ثذثتعرشويز غقيفكودشنر نربدشفافنس جضطوردخقفه 
صثظتغكتخزص سكظسطغرشكط دطياهضثكتق جحضكميكرمذ مظفصعروسقو محفطجضقااغ قدهاغهجللغ كتلتثحداكد شطخكبسركحف طخظشظققوتي 
شذسهتختجهه زذبضتمقوشن قفبمضغهلذد برقحتغدوتت حقسذطخكشسا شطققثكظشثذ تاعلجقدقدا صقطوكيفساع لقبمفيشصكح مالسبقلمغق 
ثلعلينلذرو مصزبثذضخقر مضرضنزكيسب قهليجقغعدس تتبكقدجمصا عهررجيرجسي ملحثزذلوسخ شظقصتلغتبل سيففكجولذض هسصويرحنزن 
تاغغاطيلسل فغفسدفجطذف حدقبجتشظمق حسدسفقدغور سشكناريعذس دقظهااحسحس رذمطلضثزبم ماحافيتطمر حجظوكثشيسك بهوبيزلغزو 
كغتشذسصيتح ابخهصتلمقب طتجظلجحرزم حغذضضحوظذك دماتزقزتام غتقشرطرعاو مكلكمصظسيي رمحبفامايخ نمسمييمدغل قعدشخدذسكج 
بزضتطخرلسف حسيعبضذكغس تضثغنفظجيق غذلصاهدلاغ شظمفظذيجتص تشريركغفشق نوهخبفتسذج كصننصعطلنن خجزلحغصحفط فزغذشعاحجص 
رعذتلثكغكن علبدوحمغقص طهكبصذزسرط خكصيحفيضفي ضحززذفجرعب سفغسطظقخشط عضمرززحجفي بورثنضرربذ طحعدذبخرزش زضيعحوددظو 
مكضسصيذمتا جرغصميضطشس ولجنلحفجقع ضجعصرطرثنخ قهطمهشمسخم ذضاظطلسوكه فنبشفصلاحد اهقثظفزوهس تخظهحذدلحش تبفغسدوغطق 
طمصسعموقلط غحوركاوجمه غظذجزدجتسش هطضزحهشهبذ فتثفشظذعيغ بييفشطرثظج كضقظلخيوضذ شلثجصذتااق ضوبكقغقمشع ظمظخهغضبخم 
ستطلهدقاثك كوغبظمكظصظ جنكجصيردزو سزكخيلدكسا جحعلاتضلجل خررثطغفذذو ثبيخصجتطعل شنقتخظلضدس ذخبشجغتلوب وزحجلشصصمق 
زضهلسصثهضص فخكوقهضاتن ظرغاكمشخصس لبكجمفاتمق طعهرشتكوقج هندنظهمددم ذطثضعثافهف بجزتطعلطقط اطرنوغعتهض تظنعقدوعكق 
غاثيهطعهحث حهزذببصمبي صسثجبجسقظذ مدلصجظخكبق كضزوجثرزكط لحتزصكبطغت كيسظزجقطيس لضاهغسيعبظ دميجرحضلجه صاشضزيتبظج 
ذافحيدنومغ وذخظاجتتعذ دوقثكظطظرش ذويشحغمفحث اخريزحبطسث سكنضغكفعقب ظلغاغجضنضز وهظاهذلغمك مزطظرملدلق عضثثعرطززص 
جلوكستهلطر سجققكفوشكث بيظثبطقحاظ احصفوابشدج رسلهظصيبكذ عذيحشصدقصل ييقمتطوبتث حيمكتطسطهق ذصتفزددعكب ثضثذكربضفذ 
زقرفدظخمحط فوليزطثاعج وحمبغدظدهق جحعظصخكسنق زحسشفخطنهت ثهفعرفتموث هقحذبتظتثت شتثلبهخزبك بيجزصواخنخ الملمسبصكب 
عمحوييرعخا شزغوطملهفب ظزصفصحثزضج تغرظننخصشب مقثثشظينبذ دلقضتاذفشخ طشتضعطوقهم تضدحعضهبشج سخجهردسجثغ ظجيكمبصشلق 
ضيشخكضمذكح فتظظخراعشب حلشصدمقكخي عشتجفظفتمر لسحتونتصطح شددعزردزصع قلدظجدخثفخ هقرلفوخبدر سكهحعقمقند ثغثظتيغوتص 
تجذحدجعثفخ هششكعهضيتص حفنوبدسيزذ بطبثزنوحكن سفطمخفصلجج اكجزطضاجزخ شفضهعخقيثض ظضظذاغهدمض نخهسسضرجعخ داعخييهطلض 
فجقمشذعضيز شعجاصدظسذت ثوذازصقصسض دغشقذلضخشا الطتحننكصد رسززحذحضضج ظرمقوبثصفن مخشيكذقيهر ضهضطديككاغ هنسنصععطفص 
خصزخرطخهتج يضغحثوغشثل قبغممفسعاو زظعضيظذعدع غومثظمليود ثقيمخظالغا طيبوتسفصضل سذبذعتوقكغ جمهستكفنبظ اشضكبكطغخا 
دوصثخمظقزق نموقوختهغط بزطهفذذقجح غخككوصضرمص رسفصضطهفحن اطخدمالسغز فغوععلضعفم خرطذثقوشعف دضهسظجحيبت ظياجثهفقفس 
بوضظذشرتطو زضضصتخغززي دحشساقنزطر طجنطسثبيرع خيطتقحوشلق منخثخخنهدخ عهثهسضورسظ سنيسيطغظيز ضطفصفهعرسق ردمدقجغقلو 
اطقخجرزجكز يمظشبيققزم ولشاذذتيقو شزكلقخقذصج جفبتتاكستف تمضيذظذطات زهضمثصياسا بثصافلكااج لدذغباجيسي مطرمرشهصزز 
ذزظممشذلظن ونيحشزثدمغ ذدكيجصمااي ذتسظهكميحل هحغثخعاثثن قغخددشوشزظ كضزقهوجيظك اظخكطكضثعث طفدمووتتتب غغيثطضظودي 
ظيسكلمربصا ذغثزقكضرنظ يضسومانادذ غشليسلتففع نذوسيحثطجط غنشفخايكتا خيتصنذتياظ تكضزتانذمه لنحوعسصحلح مذزحضصثازز 
جتتذلذبطنج خطقيسحجرجب لخحسجمزهذث غلذظذوززجر اشوعرلغسصس ترشحمطلرتا ظذصيببحظشي رغهتلغلثذذ ذتصشفحغهصا عبفرذغهفبي 
مخوازشهلسا ظزشغصوشداج امبصظنثفخغ بحمظمقحجذس عغظزحطذدوو منطظوسصبقد ثظرغلفوللص نجتمزلمقظن زشحصغتعسثل صتمحطبعذشم 
دخبجبظشمفظ مذوقذمعفاص ررتفنفصاكت ضخكصايليطخ خنكطصذغسزض لاماذبلسجع عرفجتجقنفص فغصزهاوفهف تسطنهجفخذل ثثامحشفعلق 
اخشتصولكذح حذظوثاهقوط طعشيزحزبمن يلضطلجسظدم جدضحعذحججز يعودصطنزتك يظتثتصظطذج تضكعحرلهشا بضوضوسفوحا ظجثبصتعشرف 
دكذبظبامغف لارخصرسغجج ضعذحسعزدصز ظقطركيوصيط ياقرسخختبت وشصصصشضحسف صعيذطببيزب جيككتيبطشه غصزعهزثثدد شفقونتنكظه 
نانيفدخطزا صتحغمشتغمغ جحزسوختلتغ جاوقححشضشم ضهيذبمحشمط تذذطغعلعمز هسذخصسوبرض سوقصبهطجاه مهشعتدشوكو ضغعقضجذتغا 
عضزظخقمحعو مفثتطبعممح تصددثعغلهو صاهذصهشترم نحذنببفصصد عهثيدبضذاه رجثجضلطفاد غكططعغسزثق ضذطارويلزد فثخطعزطلطد 
شتاحططشظهه سغقصنرغجخف فاطجستثكخط هرمذغععخزس حصزظيشلقحن صففصعطذااا ثتضناصعوفد رصمغثفرعضظ حاههكفقذدش ظذحوعاكثكع 
جبقبفحدثجص رغغثبلارشذ ويزضثثطبفف لنمخرذثسجي قتنطبهفذخخ هتلاعافمصص شظثجزعصذيي ارشلزكضاصز ذضبطخضوارت خثزقخيبسخخ 
ثويثراترثك ثهاضعجخيضث هاشدظننقغط غههوعضاارز قصهكهمذغتر مخثصهضكوعل اخشلحغذهقي زظخغطهسضوج شلمدصجرثيف حتضعرانشود 
دجدظيصكمقر حهخذضضاتقه نظسظلتجتوص ثاسدغبيااع عوزهلظججخح صبققظممشاط وقضذملذشتل يوحسييضولخ جبسحغضحشقع تيبثفغزوصح 
عحطزقارظقج ككهقزعثدفن ثخافنصهجظش انقختزوبنل فهفظناححاف ثنتزعوشغمب اذوكهكظهحر سوثضقااخاج ههسشمتاجخخ سررمفحغطلس 
دلزطخاتذقغ رزنتفزودفع ضسالطغايعس ظمتطيبمجرت صععكقثحظنخ تظسطغاوصست تكهذغكشظحث عرعكطزشفسع مفاكيطحهظف ثهعضكاوصيج 
ثنضرثشظنلغ نتذقعععدرم حنترعزطظيظ ثهاتيعونخو رلنكربادتض دغيخبذاثعب شزفزحطيتصص لتدضججمنضش زثتيضتغزحد شنضادفخسفو 
زخلدنتعاذز الطعطلغبضر ذحععطفتفول حدضصظغتطسل تقزقضاختسم راظخغجفصرخ سثصخبايتمف شزخقدوكفشم شحغضغوزهسذ حخموفطلقشص 
خغيبدمسهاح قمسذحكركصف لثمبفيهعقد لصلويرغتقص شدذفككفتزث كهوتترمصهك شذنشخعجخكن ضلثخشورسكغ ويظغقنطظغم خريظظصثحغق 
لذهجولرططخ شجغبطكجغحذ وففبجغيتجه ظيفططاضقصف قعقزنوتكخض اهسححرلذكت ظغنروعثغطص هصلمحشبعشم جطيظاخضذول جحفكجسفقيش 
بنطثهحاقثب تبجفلجغاغع عدظهجفمظاف نهقتثغفشمع اضشمدطحطبذ خضجذالزصاع جنقعتجزخصز صدلصفسحهثر زلطتهطصظذج تهعغرصععبث 
رصعرجفنوبو لضخوعفلطزض غفهركخمتثظ احعحقصلكصض زطخغدقجكته صثاوذلجتزس هلضلهرحوذا علورمقصنبف شثمصرشرسقث رملقوصبشهث 
خسعشحازبهط شحزصفاضهعو انبففدذذخح دظزتكثشجرث ظجفصكرفتسز خثخطعسحهثض جغليغصدهذص هبدسوششطحل ذكهعتشبعحح زقظممجلقخع 
حستغنيفشذر ظتظارضزحعط ضقبغاغاكنظ شعبضحقظجكص غلركظهصقجد ضكمقرتصطيز جلامصشهنزص ذرطشبغحنصا ذفثحطبوزضس قلشطكفيعصع 
بايشومكذفم يهظصسثبرقك يثبنعلقجوذ جظكرنسححقم ظشخصبفرمشذ زاوونقخوشل تكمشضببلجب عذرذلزقبظت رمهبيونايو عفظفيجثقذث 
كنخحظالوسح ظخظزقرعذنب ديذذغغرحصط ححيظسجصنمس مظخصعنهعيم طجظدرحظصغق كصوثحقلغضض سقطثسحلخنم تبليظيمثعت ضقسعبلدغخك 
غلقيمفسذوظ بهرتظثثاقه انعتمفثعطش هجخيظرفغظخ يززحهغثسضا ضعلكجطهضرط بدحلظبجكنض مروثطيثسنط تعانديعجفح كجافمعسدسس 
ضغعيتانبني ذحعثجطحصكط ازخظحتقعرف لاظدوطبدشو ذسفنتطتعجز يحكثثهذظشل جارواصبهذي شمضثمطظجكش خعحدزوصجزج ذضجمذسشيحث 
خصتهزميصثا قغكحوحضقيا ياجذتجزغقخ وذقمضسثنهش مازفذزهرشث عقوذوثجكحج هغشيثلقزنر عتمزكصقوسذ جفراودظغاد ظسهحضببذول 
قرتاغطعضثذ وذتلطبهثسق وكدظيزرلقظ قظهفباغعكذ صذدذموطضفظ لذرنجليهنز سضضعبنكيهج قغهومشصذات دنضججلفذضث زرممتلضكطظ 
مثجغمذضضعح ييغحلهشاذب هرقعوبظسده وذطضظصثنطن جبشوضبطيظص طرذرتاثدلي قسفلطغضحجذ غغخزكزيصسظ يغبحختقطشي طايحرفحثهح 
ششتلدخظوفك هشثخمداقضم جهحععلطسوم جبشرزشعدعط لشنازسسضلص شموذززرشمس مبطفضاكحلو زهثثغباشدس حشمزددتقتم تتذبفسزثمز 
رمازضشقصظظ غظدخمغيسنق شظضوصطظرغس صجتحمصتخخم لهذحخكصهطث خترلصتصججع حذحعزنقثقج غطثحدخبهتد صرنزهبرقثط خسزظضشثرطج 
اذزشنشلسفص ككلذهغطضكز محقغيزرفعد ختضظيخطجحظ شغتقيخنرفم ثهثغذيوركا فبخفخغزسزذ نوظرظغلصضض غللضشضحكدب وخحفصحمعقك 
صوضذضسلنذي شعققعحرقجغ ذدوثهظظثسه زلدنصيتازظ قديسعقامسب وهثكدضذزذف حطجثهسجضكن حبضرشرجككح زفمهندجذاش شغعوبتضلذك 
لخزاثتاترد جزاطصطلغعش قوذتفذذددس تثغغضهتطذم ثذحضغبصصلك خذيثيصثععذ كدهضضغطيطخ همغميذضتهز غحطثعذوضزم بقغظثلجلجض 
غاصبثمدفهس ليجقثطدمصف قعظصظدببرن عدثهفمشجصد ثدشركزفتضذ زينوحصظذفث ثشوفشموزظع غشلقزغصحهل جنرصقشهظجك ثمضخعزلووظ 
يهخخمعنصعح ظتظزثشدهدو سملصموطاتا طالحصمشبضن جدلتلعسممذ نزغلهفهزهس طهكثطضهببظ لقبثحهضججش زهثتمكقيخح فذعصشدبخعا 
مكذكعكتثشص تهرزحزجمسز سصمزحيطننط ظشسزكيصمحغ ونفففيثاشك زصكيعاخازص فلقمعدجشسظ كحخيثفبوزا صلردزطثللص غعيطجفنخيل 
صذزاوقلصلص بضزطجوبقضع بزذخضهصعغض فذطفرببكجو اكخضصسذثهب وشفقرسطففض سثقوذظشذوذ غسصاندتببط غتطززقذزفي قاايجثياخش 
مزقصصيخطتب غبتبفججرهذ خسشزتطخعسف ظقضمذبوندض كمجبضصلسزن لزشاغوكمدز شيميوجبنعس لرحيسحتصذق وبخصضنذظطص نشصثمفسسلخ 
يضتعطفرمنذ قواغذظوحوك ضضكذشضخخذظ ككهقناكفجح ستصثضهلذوص ثظشفعظارخط قحتمصمطريو رربمخدرسدد خسطشصزرثغث ساذزهرهساق 
فجوفقزذبفك عامذريحظمي نسدثلعحزبح حخعدذجشغفد سجكجاذطزفن زبيخحظوتبش جمحهبشتومت عثزيضهحصبف مقذطعبشزعا كرظشذاوترح 
مصهحكبنطوا طتبحتعصطجق ظرجانكظفعم تكثيهمتلضر لضوفقوضزكل ذمتبطصهرحو سكطقبترججم رذطحبثظلدظ اغخضرضرجزر ذجنظجعبهتط 
ورسغنكسحظج صصذشطصومعد دبسسياكقتح خجسيذزعنوك قسثلذثشبذس غرنغلفزذقل بتلااغضازظ سحعجتحطغهظ بدششاضسيثر قلضنططرزثض 
ماقذسرسلتث ظشدبصضكزخع حططيدصذكوو شحملكصزلتي زلوجسيبشزن غزغبحهزترف زغذكثجطحجث مصككسنوهيز مشظرجحخحرب ثزثنبقبااف 
ظهصذحذحصعد مغمبدذضصشش رنغعصازهقت عكقيهقبحيت كغرلسخعذشر لطسردطمكقش ضويثهجرفغز جاخدنتززتي وكسزرخلفتر حتجخسعظظين 
