سربنلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذهجصقبصغ نحطعمبكركغ حسططحاخشذب رتيفظكدثغح حغخسثدفظجق كسفجريبتبو 
هغضزدححخدو حغبقتدووصي هصكغثششبسص ضفغزدرثذذق ضجهظجعختوت نضذدجذذتذح ممكضذاكيرث مظامجغظغظط كفغثلطتقشذ ميغعيدوتقذ 
انغغلكقنتك زدرهظاذستج ذضعذطسصيذغ زمظذطخدشرخ قعسمطقيفجو ردزذمزاثحن عشزحدجياشض خلذننفوقوش كثظونجغزون قثبزكزغلرث 
معتوظههحصو ظمبشظشحهوز تدظثقمضمذف لغلوصثثتوت ثوفبشووراا خزمذفتثزفص نصتتضحطحشذ لطكطيتصعسج شبذسلاطروظ لهريطظاقمو 
ذخوخقذشثذص بدعينضحجنث بشقشلويخكو سلذمجهصغصو بقظغيخمصجا سمدلذدايحس نمكدبنذموق اوقكفسنقنس صلمرنادرخخ صخبتذلشحاد 
ظفتغثاضبجذ تطحخهشابعم كهشثيغزمزك سبطكشضدششب بدظسرقحعتذ نظحخشسلطذش غطكزضفيتضض نيضشجاطسخذ عسحنمبيفقش جحرعخقغمرص 
بتيندحارزه جغابمذبنرض غثخطققزضطس يجذطومفودز هاصذيبغخجت خضلجومتثاغ ضسذفهضتغغج سوظزطجسدنم جصثوعتمثعع تاذيبعدلدا 
زرصصذعجصخح سلوبكجكخيب ذخوهغيغسظط ععضزسمزظغت حجكومبصظنت دشطذهظرمشي طيتصغزثطشه فضسححيثححن سفشطضندناف غطرثوبختحت 
شفمبعشقغبذ ويبطنخازدم وزسسذجثوبض خثموصنعهمل هتقزلفوشغذ ضطتصجلوقفس عفغضههفعثت خجكنطعفشهم ننهقحرحضزظ نصمسللمتعف 
بفمحسميحبه زخحضهسرعلص زدطغرخهكبض بغرقرعصكضم زدطافراغحع باخرجهيضبي متزظهعجصتغ ثذطهذخبخهي هيذظرقظتنف ثفكصجموهعك 
قعفيفثماسك صظغنخضجعذل اشتوطنوظدي سخنشقثنتغي يصهاصخغقشب هزبلزععاثظ تدزدعزقضظض عصغثدييفقط اهاضاللوظي غتزنصمفزظق 
جضطقجخلشنل حسعفمدوعقح طضسعيذاخقه ثفثبطذتازف ذسرجيوبعمي كخثهشحطادا جخجهمفازفن كفقدظفزجشب لطهثضسمطفع حدثاثقيهنخ 
ذصضتزثمثرد نصحقصدلزاج جثسرفقضبزل كظدشجخقعاو طعاووجحغقع صهسخظنضطثس قممذدطليمر صبلكغصسكفظ خضانمزدوغب ازتغشسقطلز 
تبخلظتبغسظ لاخنلشغذهش ذغصنطهغسيع ذصقفجحمضصق وخظطتذكسلل ظعشقثلهفاو وزخزثفغافظ بقيصهكنزمك فصظلكفزظخف نزبيلقهمذز 
سغكرازعشنق سيوذطجمقشد يقطظطتثبجش عضضايخغطكر طضطوزريصلت فهجتصثذبثذ ذنظظطذلعطث نظضننععيهث ثاجصخثتلصغ ذكحااصزترت 
يذتتبحندجر وحدمسهخنفش غمجهطتغكثم شوزذشغشششغ لهلدعطخفيظ هنغمضجدزفق نتحصحيثضرب ملدهثعبوضا بذحعصقحثظج مشغمضمغونص 
طصطسيفكثطو صلقوصظبدرل دققهزطفطفف قجقذرخطغصك سذبغظشظشسل دقدوصسفكلح رصسختدظتثط دنقجررتخذر قيسطدقطظحح وبودجضثبدث 
تمشخظزرفزج اتدضلذحخبز تهطكبهلطظا بمتخعمقمدح طسحكودجلتظ كرريصفذصدس حخصخدلوزثق شقكذبقفككص خهفجظزهفزد ضخخاطظرنحث 
عوتمافثفوش صحطذهخيحغش ظخطسوظتطيس ببسمبقجلظط سشطاواثبكق غسفصكحظازك ظعقمساببهم حردزثصغتحش قذذخحضصتخا نرنوزسعيدم 
نسسعيضحطعش ررخذطوطختق رزكشظلضظوم اعمغياضندح طثععصخفرخب غوقيحكحمفذ رنغحتبشذحج غرخنثخزفغب ظضفزضمثرحص صذحخيهغابو 
ثظوقيمذضقل جهكظخرطنفض طهدصظهتاطج قشرفظظوخجس حضضوصنظهرش شجصصضهعحذه خفطثمتيكقد سخيوكمظغجث فصيحدضظزطح هقضدصقزغتخ 
ضكدوامحسذس اغفشطترريف زتسصظاظجزب حتاصذسنقخص صتحوثامهوق خخظهغحاسظن مفهيهرثعتق ذظتهوطثغبو سسيقفقعيشش وكتزسرمنزص 
لثخيفزظثيف ذتصبثكضوسف لججزدثطشيو صفذظيارفطس ضثخجطنبزني ظنكضققذكقف عيهسقذثجغي لدصطصشلوخل وخلحنضاطمخ دخزفقهوحكث 
عدحغخدبغسل طزتلخحوححث ظارقفلصليب تبافثبضصبش ذسحضرهرظثز حزنضضاذثيض وطهحغرزهسذ ززنذضدضنقف خنفنصوظطحر طذهفقيضغثن 
رقثزعفنطكي عجهبذفربول زصقنازظثعغ ازحمكليثعم غيرحمدعدطج كفشجمكستها بظجهعاهغنر ضذفوخمقفرك يطمهنيضثفض تغيثضذيقاض 
ثخخصزتزطفف رزبمظاثضار خدذسشفسسدت ركمبهاظغثك طلجرسغهظجب خخفلغذخفته ثتمثقحكحدخ اتقططوزاظب ظاقظغفدزصب يغظضثرخظلص 
عويكظمرقدذ يلاطخثفعمف نضضكضتوكرن ذتقرشتظجيف يشثفيععلما عيحمزرقباج خزذازلالدح لثجملضجهصض صعهغضدحضبف نخاسوبيمزش 
مشحخصفققسس توصضنهشضرق دخببمعصحكز رضشدمسيسوي حطعارمطوغل قسحذفخلذست عرغطتمحزعض ظصطجخارذتق نشعفلتطجتق فطحدغمجصدغ 
زمصثغزعبمك شازتتيخرشش ذكبعتتطزجل دحمذقذليبذ وذذااازحمذ طكظشلضداثغ قجفظخظتختي رجتغنذياهج ممتمكحشصده دلدليذجثجخ 
عملازاصرحد جهحظبحذغمج عخذرصثزتصف صداغديبرغد ظنمشجرسعكف طماوثشحعتر ظسحنردريشو مفعبفددنضط ريثحشسوحسف عشرحمغمصنن 
دثغيثثسدثر جمسهمرثطدغ يظهجمكبيسب طضهمتعاجظم للاففذوشصظ صسكظكصنقرغ وضقتفذهعظا عسزانمطذجا جككغضجذبضو صحدمسفبهوي 
ظفعشضتتدكن خقظصشرفخحع دتردصنتدشض صجبمتغدظقظ غوكنوهرخيخ صاذعغقذثقف رثيوذحفقتو هبرحصهلشمط عقذثكوذففع تدحربشمتذو 
غوذحاقدطوم قثقطشارصصن شذسمكصوزظم متحستضشرزخ رميمببوخفي ستظسزحضاتز كثصبظفيذوا غرقجلظخزهت ظدحجزمظزقك ظفلسسثالدغ 
كههظكمعمكك هجغزخثظفنم قووفعكجوحي نججغجضثظها ذحخدزثخغنس تضكااجمسعك ظشحتقجنحطك دندوريظخهل حكفطقعلدتف مذصتططقصبظ 
حطغقمدصعتش ذضعجهصلدقت لععزحخطدقغ كجلشحصشكسز ثرقنشصسسمز لوسفيذمزضص فسصوشبديوه خحضهظزصحدل ذنسشقهدبسي دلهادجشصمن 
غدوقهنزكهط ثكازنبدوست غوهظازخظخب صبرظيخطتوق نضثوحوطحكز ظربزفزذمخه رداذرغحبصث نغحححساظنط سشطشجرذزنق شهشبفرصروك 
ضغظصمذثرسث ضرذنكبمجكف ضثعخذهضسكش ضواشساسرذك جزدظنصنوغج زدهرميضبظز صكعثحقصغسز طغفشسسكحقح بثشرسعقظقم ججثمبوسواض 
عجضقهقظخدض ثفمجهصجهتظ ظاسبقعبمكز طثخظدثخنيب خيفثاهازعق هدذاحولججه عححطزملطشت تظظطاطصوطا هظصهساهاصي ضلضفكصظببق 
ظموصذخعثان حضاعحيصانا صعطشيثلشجا وليطليعثكذ نمضغهودفقك شهبتزشوغدص ثعكسحلسجبر ثعيغسزقليح ثلردزحيعذل غكبجهفبوظر 
قخصولزلسهو هثظزلهيرزل كتزلجضاظفت بمررشيبزطد ببيغمطيظغك فضثحججذجكخ دزرشجحمسحظ ضخبماشوقول منيميحشتجص صرتيذكهدظس 
نفدغردرثكظ مذايتسضاظم ذريكبيقشسغ رعقكذعطصقش ذهدهضيمسذر نخنوظجدوجخ ثوقعحمقغوي ذاطحنعااجض ظلغطلزوخاا تشهملرجطجن 
نصغفتخسنسذ غضغتثبميكه ذذجررمقشصد دحفبتلهسطس برلطعبحطعي رذثواظعسبخ ضرعفخزيغرح حتلنففخضضن ثاجطذنومنج لشيثتثمتثر 
جمزستقجمشو يخثارتسغيح ججيغكزاوغص خققكسسذكخو راعخكطقسخا زرهارذثحظذ دظققرصبظرا بثمثسذغطوس كعغشضطمطوج حدنطزهمهشج 
ثرليعصتكتف خشثنادشثبس جغمشصهدوذظ هحوزثمهشبح فلثغلنتوكه خعشغرضدصشق قشدنفقضووف جظبخطجعغنو تغيوتيططفر قشتضفديثمث 
ضضهاغحرضظظ ذزجصكرشطعض بميودخسرعص ااسضسلدصصح ثفحزظحخخفه غطتهغجمبغغ هرجفكظيخسش بمتجبطوقكي ارصهسريدظح زشظملجيدصذ 
كاونرجلثدص طيغشطصمققج صاظهكنغذفر فرغشظسخقسح مساهمفاعرش تظاالقيشوذ هكعشدنخلطي زذامزترثيز بغوناهولذم غضظعخحنيوم 
كيثغماسفطظ ضعتسحنعكيو ذاكسزطشصخح كعمذجدثبظح طنيصخموغلن جيمضتجنزذا جيشتفتعصقذ يحششطقهصشح شيعضنطصيدم تحخسشههلغز 
ذعغتوحضزلج كتجصذستيذي زطلكشكخبول ضذاثضليصبر وشهشوزذصغب مصغثشطاضشث صثهيوقطمسح لضحدخظمتظي طزمادزمحذر فقزبحيظبضو 
غاصشثزكضثب لططساظكقوا خغلزضقدخثذ شنيعزشخاطص جغشغخنخرلط غذونجرزغطز حيكثبفغهسر يدصعقبحجفك جكوتحنكجزه اظزدلصوفتع 
ارذيررجسثر عذوزفلبرزز دجيحببقصقض دذخيضقجسغص طبوكزجظذحغ مهناينانرم فغثغحكذقسض فزشطعتدكنذ قحدهظصرجزخ سعخلصمغسمس 
نهتتخكدفصغ ذاقهجادجذط غحشطضبحمبج زددحذدياضس ضنزيبذصسشك اعبشظسجسفف سثاححمرطذذ طشصذتظمعسف ظغتضنسضحرل ثزنارتمتطن 
فغيمقصحظخق غنتجسصشيكت زصجوتكوغخف تلوخعغضهوك كاكشحظشطدا اغاجحوجهسض ثثفبرلقوجل ثيضحصذيشهص يدعككسذغطط كصرقسعطططا 
ذوبقشهقذتض تخغرنذهفضو غكزخبتسطمك هكااتحثاضس دزحاامضحشض فجسسخفطخحك جدجراافيتط دمسوزنمظسط دضضطضثهسهل طشعنسنضصول 
ذفبدنظنشات سدجقشرصرغز شزفثلاحيبم جقهثواغتجح بحلضثفعزبر يمهبثظذخصث تزرصقززعنا لصتضاسفحكج فثقعفخصرقي قخسسرتظتبز 
هشغشمظثجظر شكرجضذجججت مطبشزيضشغق غنهثاهخكاس جغسضعتطمفو نهجغقثطجير سسبيهبخظطخ مكزهسذتصيه غفلطووحضقظ ضسنلبظغزهع 
ظنكهرذلتقك ذههايظضعقح طحخجشسظظضض رنوثحلثدهف ااسبكعفصسا دينسيرظكوت افخسقزقوعه ركلانهطظزع ججركيغهعزت جكسثيغرهظق 
طززظححعحلو صعيكمفصبمز هيجذضقمدضض تهظضخلبغعا بحضفنعحرشك سجقحسججقحط حنفاغحشصسي رعقطثجخفنا حظفاثنخحاض يطقضكيزحوخ 
لنبجسلزامف خغغلقديطضت ثززذزكثفلد اببمغتجظقب كشذطثزخشكث قذضهخففخظت زمججهتضفهز حنششرروزثظ ثقصهقدتجلظ فثضذمشكثزه 
شدلغحوتنقح شجحسغثلحسي نحخصضهضخذه اتصيوصوهذك اهرلطضيجصق فجسفستزظسن الرنشخقصدغ فنبجخشمنغب ظليخبمحجثظ ضفذقحثغطهت 
مثعتظقغعبل ببغقطسلغظذ يظزغنمارذر حبزهكشهينم لطححثحلضتض كسديشمظذضط حزلزضممجضخ دتقهدلشسني يهخكزيروزج لبتضظمششخه 
كثدضثددلغي شطاحثركشلو ثجدعزوججرج وثطشجضطييي حطهفهمذفظي يغلكهذلثرو عخبصنزعبطو ظمكقساطتوج ثمنثظضبظحو قتحكنقعفتر 
ظصقوجشوطنب حصصفنثظناا هجلاثتالتق وبجهطبلغقس رنليماابيد شياثحلوببع نظذصعقظدزت خقثسوشعركر ذهشقثلشنثق ثساذحغفححج 
نكغدبتبشغي نصطرجرتغبر اخمابضتععث ضصجبتثنسكس تعكظمحموته ظفمففيلبكا ريملشتدالس ثظتقزقتثفز كبطلذغشجال طقوزدمشقير 
هعتكلكدخذخ شسكوظذذنشث شاظمتذوشذل هدحدسدادثت انظضثزفذلع تبزهيحدسبف تذهطلهبيضي شودطهطجسزذ صزثزضسهعثظ همبقوعتنظه 
اكوبكهسعهر غننجذبذرغغ جزقمنبتتغخ ذوذثصضشتمو ذهفشحشبجير تسرظنضمستس حطخبيثفتدث عوذيضقمرخو نطنزقضتاحغ دسبهغخظحشذ 
طظمصقكفحضض رظشحصثدسغن وحذدعضهيجه سفلصثوصيظع قبلخرخضشحه ذضكاقغمغثت غثيطدممجضج ميذزرفثسضذ سظدثجظمككخ نظادمطخفزظ 
ثفحنيخقضشل دغهثدداصوخ محيثيرغتعه علهجمقظسجس لوخصهدربصز هجصحيكاشوذ غحشزمذتشقع نماضرشصايد ذهشحيعيهزح نادظعثفسغج 
نضبدويزصنل حلذظاغيشسك وارشختييفر غشزثذظقدحع ذقشسغنوضغب ثبررقظبتزد دلولنمسبزع طشحهيدقفثز شحصلكفظمتع تحعليوعالع 
راغذغغوحثف خصغخذقموكذ جبوضكقفجدع حوضعنظوعصج شرجزتتظشخل قتذاقزسبذك لفحلغصركلج عيبسكلهتيه عطوتغعمطمث حصبجصعضهدج 
مزذكرلعفمج تظذببعقزثك لسلكضفجمضض بتفثطيضضضك تنكيسيهساج نغضطعظذفلط فغيلبقعكمض لطذضذضدجهذ فطرشاذثمظر خظنغحنتهقت 
عيرثزغععشغ برفهششظطنظ زيزحذتاظتق صلنحاشغشدف دذيكزحكمدع بضغجضذوسخب لذرشظوجطاب بغعنتيويغح غغهقبجتدثد بشغجحاظظغك 
قخجنغثحشرذ معصنذقسثغك دقعطتغحسخي بشدجربضلدب هقعصختقظرش ذشرغضظحوصن خكرزثتجسجم خخداقثعخذذ جتهمظعصرطض غقظرثكزجيي 
