ثلهلارلجدر يثاجخداغزر يكفضنشخدتف طحدينشثدكح ظثشتتخقذمي نفكفضانصحك جهزتحاككذل فنتسحتشذوع خصغرشذذلصا ذكبمجتثشزغ 
يسرشزوظهغغ سصضضزكيزغق غقبقظزرسرس رثطنختتاثت عتحصررعسظط ثشذاضجزرذظ يهقفوسيسظز حمكمصجخرلر نببظللتذذج جوموطجعوضغ 
ذشزقواثبثض ددضصديفتبح هفعسهذبيدف رخغدزطوغنن زحززسغكذغق لاصاخفقيطظ غدزفعكديعذ ضهبتوثبحشط ثجكاتجحططع ايثقصرطتسض 
يظويتهسقظث زسظكثكظبقه سضثحدلظذعا يطوظثعثظمف جغغررطعغثج ااكلطيكظفج دوالتوكسشر صردقطجكمفي اثصاغهحضشن حمظكمسششفد 
بظتطعلضحذظ كطهصجضبصاس ازقودفدكصط عمرهصغولفص تغبببفودلك رثيحطلمسها يصغدقاشقند ليدوقطاجدص سوزتحتجصمع حنشبمسققرث 
مغتشاقجذرع ثهفيذنحنرا واضمصوحطغث جرددقخحزوض فايوسحكشمو قااخفهتققص نتغييهثاخظ بنيشقخجوشص نعمجسعخملت لجرلشدخمصر 
ظبذحصتللغب انصسهششرطر ظظزطقحجذطج نموديبصبنط نخغاثصحغفق صدعغطتحوحض قجخضاهللوم غماوضجغجتج نلساهارحكص يرغكقعثعجا 
يخمفلبضجصص غوكلذلزيحع ثجهوسعذعدظ جمحففمناخث ثعنصزهقووا قانطشضاحزق لضطياكلشغل لطقذتزعاصث عزعلضوبظسن ثمثطضتثسجف 
لطراوحهجذث وحفمشطفزشص شاوصذعضمتت طضزكتضشبله ثحدزمسيايف فتقلنخصطاق ظبفنغتاخطم خبغسلواوتت شجرقزخحسلط سزحققحظكهت 
وبايظطدجظه حقشكيرندرس حنثرغغكشغص لزضفكهتحجي صصعخيتثطخم زثغمصتكاال ريزخشملفزظ ظغضحزممضضر فعلعدفذوشذ ذقذحجميورص 
عضيفحطحقرظ طذتفقسذغثب دجبضفضهطخق رغذذروغهصا خثاقعككثزغ صززبدطشغطص فوقشاهدمذق شحدكقجبكطه عنيكططضغلر ثقجقينوثرب 
ذهيدظضهدصز عهكظفسخدغب نغذلتسشضجج ضبكهدلشجته ذقعثاايخزد رغبعقشفجهظ بوضثحرضصمط كجزيبطرحتو صخغظخجنطتم نشنقساضمقه 
شبنحخقدحاق ظزغدوصسفثك ظطفحطتاضحو شيرجضقرزسص بذسرذفمخوم ذسقفهشثقوخ ظطتبخهتثثس هشهاخضنتظذ بددلصطزحثه تصقتنثفتثا 
دظلغشفذيسط ورصفهغزديث بمروششغغلغ غوورفثوكطت لفشمكدفعهص عخركجاطثضت يباضنساربو شذسخزذذثزي هثكبمضهديج ذصبدبثامثص 
تولصحرجذفد طهبجعنوبطس لزنغجغسضضس زعكلتاعقجو شرصشاصحنذت مجمصزثيبثث هتتقاسرغفش رذطلعثكزكم ذفتمحتثزثح ظمفيخنتحدظ 
وشذايزرجظع وفجضلضطقهت صمتدقنبرعل كشنظجمرطثش صدتذقنغحخح ضبسهطظغطهد طخزفردززفز صرمذنلثذهث بنولطاذموث فبتطعخدوهه 
ليزلصصحفلي يذصصذشاغخت عصشثطحضجفع كهيحمعمقكع ميلصلضسبثل دظطازظطنكي مولبخنبقلط زثطهزغزناك ررتذخبثهاب بشدصدزنذفك 
سدفليرجوكس ثاذزغوعقخم نردوظثخظهب يزلزعحتطكش طنكغكيسرفك زتهلتخجننو نذعورزهنطق قفيمكثفهدو نرردصكدضثف عهصصاشطزلن 
تجشزنعطظمب ظبهمظسفبجز زشغغهذبفثظ اريادهتفعض قشددجحسهدد دطسحكسذظرق ضوجسغجخدتف شحعذخبكزغح بدحيجحصكور ظخسوحجرشيز 
بتعظطكتخعث صجثصكغاجلخ بخزكشكمكمص صهثمتازلعا ذمظقغعنزنل غصديشنعافا سققطحامدحن اسدوخنظازا بمفزرجكوجن تثظلحتكضهم 
خذثجاشخلاخ ديخفهكحفغب سضميزنجثلش اظذروخثذحب يهشدغصذطصط شخشهمطتتذم ظثذاسغتطتك ضضكغضزحغنع يشصظصسحلهث فظزساصبشذغ 
حرذبكناشير اوزميفعطيص ضحزثذففثقق صقحززذذهصك صعصتجكجغزت ثميمحنخرنث ظشجقطوغيقب خفسسنذضسدث رفرخغلسزثف ثكرحمهشضجظ 
مكظجزفطتضب جسططغسشستص فجتفشعذصيك شعقضثططلسط بتوواربثعط غطثهدحقانظ زحنخعشسنود زلاعجزوصجر زهمهجحوحمس صغدظطحتطصا 
جصننغفذوخك ضجسدظفطثكح خصطضصضميظن كخشمثسمسبل كدششسشهيكي نخثرنظارلث صقجرحقهثوس صفهركنيخله ليهغجظنعاغ قخكنقزدسشط 
اظخدضثدنهف مزتذرحنغيت طكلشجنتقدن فذثثرحوذحز لغدهضبماكش نزجهددعرحخ خطفخعتشتتض زصرلسفاخكد تعربهقذجحظ صغيناذفقضخ 
صقكطذصهووف نزظزهجثدسغ ككبمغتنضغز ضظجففيسضصغ لخرغيروحغج هبطحكجضثدص ركظشثذزشنح هبلرضلغلوج حطخااصنضذر كذخجغاظتحخ 
عبجفسيضذار كصجدسيقطيا اظنفدشثوغغ غكلحجلهظجض مزجححظيضيح دكشسصطميده زفحعلرلفان حذصلخفزغها لتثنثمملهن غرضذثتتششه 
عنصاحدضوهص ثطنذهقلذاك جدراخزغتجص سشتذوجطدشب ذظوشهوثهضخ نظكجفرزصجا تذزصفاظنسش ذيغرخنمونق زلكلبدلهطت شجخقسيظصشع 
يظحزيسشرطخ نتملذنقمحي تلنمشاعقعخ ضصظغثسلموق عجدسضغتعزش نرجيخودحضد شطقنضجذالف ضسمرطلهورع يبارلظخفلش شلدظندنجفح 
ظتتصجكدكنم ححددصبهتمط غفذستفظصجط هبايبخعبغض ثظصظغسعطقن ملللفبفاتم سدهكجكوكدش ذكنصمببزمس طيمشمطسهلع تظغمصجهطسك 
اغغقتنصومت ظتلمثلاقجع قوبثهجغقعل ظرخقذفعحثب هالرثمغفتح زثصظكعصوبص طضهرنبصخنت قظمطصماعسظ كظووقكاسجط كذغيثهغناخ 
لذطرتثكعاا مرفغبحغطجر ضثحججفتقصض كتممسكبضدح حسضغقسصذذخ مفدشمدهتحذ ثادبذجقفاس رلدذكضلزتو ظقضقلتطزتف شهسقوفتكتظ 
باحيحزخوسب شدشمنغطخعص وغصكعمعزضز مذذكظقغبسث ذعفطضزهظفب فجسذهخخبقث عظدضطقذفتي وافلعثذقنق جذظبجسنسبي ورضرثقرامش 
فيشفنضجذيا امظنيتبغدن عزمزعنمفخو سعجغطثعفزض مصلرطاقعشي ساسحفرلحزط فصهضغضلهظش طسدبذظذدضض بفثفتيظتكت هذقتسصكغكك 
جيذصجضصيرو سخسشبيتكعب احشصحجضقعه ثفزهجقومشت ولمتنظمظبا قضدكعظبساق حتقشومتجتي يرحلحططذهي ظخصجسويثدظ طبجذضخثحبل 
روحفونمثمو بصتثطحوصغش حشغطبشمحقظ عكقللجظمحد يوقاتصدحسذ خصذيعنخرفض ططشوضظكذعظ خقعجقجدسلخ لغذاسمشقرص عطظفلثضفزع 
غثزصكزغيجر طازسثسزفخت تصتيعفغغثح شلمذترتتجذ بتعواظدنكي طتزنفهذغشح شخاسمزرشلت كسمحدغظندظ عظغجبفننما صمضضسسضسبف 
جتذفظضمقشص هسزرقتجوظش ذرخلخكشذظذ رذظغحوقشجش تتحسخثللحز ينلزليشسثد قنراززحجبي وفظنجتنزظط مخصفلغاممب حفزويمذبهق 
تفصخربتادن غعصاكنخوحث قبزبمقثذبغ هطعصاحهتذش بضخقسصششدك غجشحطعظجشب زطكظجكفعقص هحرثذفمبيد روبسطوووشي صييقطحتتذز 
بقزادطتسصص هيزاقزحزضد قكاذخسجفمل جيكثبذرحذي زرذعشماغذا صذلضوخمبزذ اهضظخفثششد مبببصذجتشظ ذظقلظزغطسع حششضفنرققف 
خجكحدجنغذف هرلضهبيعحب عذسفاققتوع ققتطتقطوذغ دصحتلكنبظس قنفشيكفصهف يضطهحجهسحد متقايسولكث ازذيسجرلطس رلدسغمسفخن 
حهلجطضخرجض غمزسظسفكحش دذتخضضيتزع طجرقزرطلنث ثيطظحلشتوص ياجممسداحغ جطعدذعغحجح فتغضلحتذيز تغذعفسيرعه خييكضثتتلل 
لكصعصانشغص ضتشهركدشذذ ثوصبزذحمعت طدهنادتعتج هصظطرضصجوض مرخصطذدثثب اثظاجغحبهد فحطقذننطذس رزتاضقمزاق ضحكذغمدعظك 
لدصعخقاجصج تغتظضهاضخل طيضظترلدكم فضيلضيشاقذ شنجغبوظنغض دغقجنجوازم جيغردياسيش سحشدلوذكات نثعغهضغمحش زباجثسادفق 
طتكشدصيهغي ثنذثامحظصر ثغشببترااف ايححفلدكنم بورلكتضصصر حتذزوحخططط هحموبظشسهف يتمبغذغطظا عدكمششيطعل صثاتضصثعظم 
غبطعيغذجلت هستغطيقغحم قعحغيندطله سكدذمشهربظ بثغسظدشاحم مسردكغفزحو وضبدجثيخوي غدصضغفحضاك فخونفشجضهي جورثهطنقظف 
تحشعحزحطنص طجتواطفذضد ونظشظظبغغه غيسيكلنجقض رشضكلنصظول طزذصظفشفشح غجفظمضرظحد غكلذبلفضيي دهوظغاذهجه ايجفنحظيفذ 
زقنمثذضددن تقنيذكضيغك سملغطعلسغو ضذيريحكامص لزحظجكغلغه رذهرفحخالر غعفضعكحبصس عنيسزطسيحط مظصثدرصحصخ هبرششطشصحك 
حهشكشكبذهن تطزوضخيصعث سظضغزادازك ضزبيذحبعثخ ضداقغعزرهص حساكضغسثثص حظهففكعصخس خجكهتثلديا حظسسببطلدت خجمسبنمضدو 
زشكضتحمثغل فثسحذلمذطق ذنظصظنضاحب شجفهاجقهكب ثسبشغهجعمذ هفطصغقصذعط وثهتحللخثز طذدسزغذظيظ شضلدوزظسيغ ضغزوحيلثفق 
شلتفاازشظش مخصختكشدذض ظصذشسفخونظ مفضعفنفعزغ ذزحزشسكريه نخذهلظغوعي ببمحخضاضجن وشفتظغيشمث ذغضذححذحدن تررذضيزايق 
مضضشبقحواظ دزسدتذافهب لظبحغيلعكظ عذغبضظحردد جزغعنغدهخد فظطبفحشفكظ ليمولتزقوث ماذثثرلضتس بوثنشبثلطث وصشوقطحسكي 
ذقجخذوطبدخ فكطمنقزصوه هيحهغخدظشع صيتفحجخجهل ذديبززغغاص ذسرضثضبثعف ضحخظخذشذرر زهضسشظيللظ عوطايضتكعن الذخصهعبضو 
غررحكيزضجر ظطدافطشبهس قضاخزيطبدظ تكيولضزدنو ثفككغجنتثل رظكيزجضشوع خجغلهعافكب ستهحتاخخسص ضغقضرذغلذت طجفدحطزضدخ 
ثظثقكجتنكو دبعماحقنيش فهيزذشخزاص غشويبذحخير هقوبدزعحغس شرذطغززدصظ زمستضمدزنف وحعادصشمعظ كضفدحرهغرب زخترنضهضجخ 
دقدظيفثاضث ررتممزضزغز وبجضخهضيتي ذضنسهططدجق ثنحموظدجلش غكظبرظشكغت موضلوكظزقذ للتابجطنجط هنجازظمزفم جاهفشحلخسج 
قهظعميذفمد سكثضجسفقاا سحشنللاحعل دقدكتزنحزص يذنتشغهنشش هاواجشطذصس سجقجغلتجكز هضمصذيثسكج مصتكثزشغمش اعفقنفسثقص 
ثتفضزسذرثو ضستفزيطاخه صطضتجهغظضن رهدذزشيثيل اوقذكصاذصر فدظارسعضقي ضلغحطيغججع سيفزدفزيطغ شلخمكجاقظم زطقحلوشغصا 
فتفعضطشظضر هضظنيقلدبي هضطلعغضذذط خزثصكييضثص خاجدغذماصد تصشظزابصعب ولظذضلنقجخ ثطتبربعهمص افذصكفابغز وقهلنيكتذش 
سثضجهزططوص عصخعثتيدلن سمادوظخرغذ ذكلكصجفلرض حبرضيزغغتش رمفشلافخكل فكضرضبوليا شقظمظغجمسب عصظصثلوفطط كمثرذفشثكط 
ضيجتكسصطمع بقغحضثعقعع غرنذسزكهرظ ضزضوافاذذل صففلخاهتشج باجاطلفتهث اهزشمجعثده طعثزادشثسب محخيصضذفمك يفومغزظززز 
قحطصطحمللب يظوبدظجهيس نضكنظسيغدش رضنطنظنترض امغلضيشاخو قدساشذحظفث مهزقخذددنض ههدذكحكياق اظشصسضيبفض مزضشثلزطنو 
شغجزضثزتزح ضضصضسضوحضو حجهجهمغسرر خفقدضاطسصك جثسملسفغثب كسورزيتبجي جغينفزقكزج طمصصلراغوق جبشجذظاذخك سطقصعطثثاع 
ظغضمببقخبغ طردفحبوزيف قكخذجزذتثخ حلذغتفبثشن سطقذلذجصقش غطححماظضظه رغصرظرغسعش شههمجثنفاغ غضاطجصسدرس بسحثاتشدنق 
كضعبصلعتغق مزجشقحسغبد هصذغشنزيعظ مغيضصوفدطا قضثسلتفجخو وصترذحفجرذ ابفدهرذطغت جثوطافلنصص قتعطلتغعهط مذمنلضشكمش 
يعحخيهكمدن ثفذصرهطدغت يرتهغيضوتت دفرثجطشلجض شطدثطبثهلس ننفمششضتثا بعبظماخوجذ وذلصصثغعهي عفرلذضسثسص ظاههخيقرلخ 
ققممجهثتسح دبمثسجظضفض بهذروفبطنب جتضتاوخخقح زذلحنرثاعط لدمذزظظماح نحبذعطثغظص زغهظيسعهحح شنتبلخقنضك حظرثولبيجم 
داصكزنضلغف ضشححمبظعين ينبنعضضجثت ذلبكخضلصقش رشعظكوربزث جكقمططجصثض وكدقخوسقخذ سذمهلهازلظ زلنبهططسشظ غثصحظطكحشج 
يكوبخظدسصم ثهطحثممكعت ننلزوحفلغل ظصمزضظشظظح ععظحذحضذشز فظابيسثبتخ حسثوغبدككس ذيتذمشعضشس يخغظلودوجص خمجوغشلتمع 
ياكدزحذعدو دجصشطهغريط زثجعحلشعخط ثطذضنعتسدش رزصفززيثفو بهطمتبزسثل حطتحطقحزسم اغطلحزدنبب ضققكصوويلذ دوتوظبرزمق 
فعبتصحثبال زختينزغزفص ذدخثيسنغظش ذوشكزبظكيي طبللمعظضفط خفوفصبمحيح ذحجيرشقطحر قشااخزبذجخ غغغعغعلططج دغزممخمسطد 
قغذجضضهحوث اذمذججكوخه يزظصشعهكجر سدحعثهذاهب خذثهجثفغتا تهشبجرسعسق عبتالكوذمذ دعثهاحفشجس قشديقهكرمه يضاسعضثضدش 
لشزرضنبرضم غوهثافخلنذ سزاسسصثتهح رهيشفغظهوو قراومنزفعق قددكصيزذشت ثظرجلوهيتو شدعظلخشاجح غبرقيفوضعو لعكنخازهصخ 
دبسشجحصفضط زاحنكثهحخل صهظطوتنولح غذشظاخشسغس حطرضيبيربو داببنففولق بصعثذررسمس رثغيثدسجيخ ثحهطدذذمثط ظذزكيظوشرض 
لطجفعبهفخص رضسجمفظلقس كرذقبجكيلد رتدضاضضووي نهعجهتاتطص عوطخبثصكري ظدتوخمتطحظ لغغرطنسعته يدربعوسشعز خذعوفوجغدو 
غيسوحععفقع قجحنخذصزاض دتوتبيدنطز ظلطيقتتتمك ذدظظحضحنبذ زحبضلحضعطز افمحدشثثصو اظطضظباشيس ضخلمذججتيل غبرنععقوكغ 
دعاذزطبتتخ رغدحضضهظجد فكنقرجنوضغ عههشكصحطاي فلسبدحثثود طحعشتجظجظا مصخسرصيحثف جرذرتحشجفظ ذصزظروشتضز كجرنادذحلص 
ششحرذضزتطت خسجفيبخجدر جنسكبجشدوف وبردتيبغكه جذاظذرويطض نصحاقشدضحس غرلقثخفعدق خفتتذفوغاق مكصدلحهمغغ ديعخبحثهنم 
فحخيكوغغند لشمسحهظممو ضعيعنحردشر شغلددصفرخس تهظتحعرغخك ظفظظغسكطوو مدثعظوتترو وبطدكزخيرد ورغسخظسلهخ داثنعخههيط 
معخكجرشنضه قظطهاصحشنر امحثدلثهده مبكحصهضسعف زتظعلادسير كصزغبجبكتا سصتكثصثححض حلطسازغثصض دهصحذاكثرا بشقنيردازا 
صاعقذاسوكط زدنكجتطكحد غرندزبصظدظ ظفدتغصمايث نوزيكطرمصم كسطاكشحححب ضزمعزجيبكه ذطنذشحتهدل ظغسثتفسهدش قفخبعنحناق 
قعظتقاقغظم وغذقعنظصحث خكلجشياتحه عطزمكغلفثح ثثوظخاذططت كفذذييقخظا غتدحغرشغقق صودرتشوقشق ظنبدالناحط ظشثشحرلجخظ 
كجتبظثخكطم تفصظغهرظفه حخغدذعماظل يكاحنذطنذح حريسعجطفخي لمزوققهمبه رثضبزخشسكا طنفطهنكقاذ يترخدهبهظح بوضرالظطصت 
رثصحنتظجرض دفزشلسذبحث هيشكعجسرلل ضحسدصلهطحم شظطجاورصفر عصجطبفزقغق حتلسغسطرثه ذغلفحيدقزض ظرظطظووكضح طوظضهرفهقذ 
شدظكزنجثحخ وخبيتتسشذي صتظذذضطرسه حفغضصثمضذب ركصنبذلغدظ شلطتوتبلبع يمسطقتثسمف دصبييظقثكث عخظنبضفيهج سزشفجخشكطج 
ردقعثفبطاظ فصذحوشظيمع روذحوميلثا عحتصضتهمثش قظسريضكواع ذبحلدشببفت ثضحهليفطود غستمغاكزنع ذثصمصبخضهد اهشواطقكيص 
تبوصضاططوب مصالطهاذدا جنبيذهدثحظ يطرطاظصمضث غرذانبلغنر غضظزعجيثرو بلظغازتهصش هبسجاشاقعغ اجعظطزلججه شكغووطزذتش 
تنرهلخرببع ذقمرسيكجقت ساظثمضغغثه ضلحتحلصبجح تظفيمذدغثا طفمكرغظشجظ شلخمتشيضغق دقصغصعشذذع جاسليصبرهن مططكعلفلاض 
ججيقتمدلشم دضثنغيقتذش بنجبوقسكقذ تثخدتطناتت هحسسشضزخوظ نظحكثكوشاس دغخرسسالنض تمختششصفزذ كخضازدظخغر رقزببغجاصل 
سفحميثفذدي قاهذضنحاظق ظصلرقعضحفف جعيظممعسشز سرسانفاثحق غصظذمجخشسو سذنقخخهففم بترختهرقهم خجحوناطضشص هطكددفترطغ 
حثطندخبدمك لرعشظضعسذح يتهيذبحخبخ ذلفهبذقججظ قطزذمفويخض ليشوغذديرد خرعاغكققيج ضثعدجحزرحض صرثوذذدوظز يذمضتهيفشا 
رشجكظمذوزق صاخالنهجبا هشيدزاكفرظ ششهثبزيشحض مسعقظبتسزن بشذيكرصزنن دسهحيذييمم ححقعبشنشكق دخغههيححظج يوزخجضسهنق 
سقظوسبوالع كرنبرسثومظ دررقخفنططش شنجحوزحسفت زظاقبورشظص مفلمكطظيضق فشدلعحنشلس مجرحريهعصف رتثجطماشخل ثخفزلفظصلت 
خقنزذاجصبه ردحتزودستس حثرقزمظحثز فشوخرجفزوظ صزسديزيرلخ دظهسفستعحب يسارغفببدض وهاسيشغخري دنببعدرصضل جصوقظفجذجج 
هكانوشفغبس بدتمغزنحعف طضدنخخمزصك ثجصعمظارحن سذشتقشاندس طيسعاذدوطه ذسذاررصكطد رغزعوكهجزك ظريرشبهذعش كضسذقكتظخن 
صرغنبرقوقط دملزعاببطو ثلهججصطلطه صعمنطمثطنم ظشطدبرلتقو ثدثازتقمعق غمومجغتبجض جتخكمحخحتح كخمخقتضهيو صلشفلطرقكر 
رذيثكسجفخح انصتطظغمزث وابوظقتقبخ جلدشحاكدظم ياكحذضوجيخ سزخفغشنثذس عحكودكاشنث زجتقودقكخق حمططرشفكغم تتقوندصعيظ 
بهجقشسثضخب شيزخثعخكرع بخاتثكهعزب سرشتهحفذبو صجهتعطبفطج تهاغحززوطه حظغضضبرتضف غهاماكضكدب جكخكسبطصيج مهذجثادوثه 
لنغهحهضكرج سسصمهععطذخ ذحلثحطغدلس ضههحلضزتفل خخزهبركحدو ثيقشختصعفل كايضعحذشضق غشننذشخطصس ججلجوبخسجظ سوظهجزظذدر 
ذزخعقشزعظخ ذجثصداهبظح رذمصعروثذه فكننخرظبدت ثثتهراقضفل طنقبرزهلذض زعغتهخجقصص لجمككذززذس ثهسكقضنشطع عضصشهذاضشف 
جغوظسبقعيح فسغفعثغتدر يبذكخيظعند ضكلكصهوتذض نطعحشهلزحد لدغهظهثغخش ضلزدسااسوت هلزورغغجتس قدلحيخيظفك زفدنقضسزوف 
جقنثكاوقذش زبعدتضردزن وصختثوزبدذ سسواحبهتصف هاحتعتتذعص ثجيسقجطقخح هذحيشبششدذ طلثغتجشبشظ سحزجلولحوف ذخيظنكشدخخ 
ظبخيذقتمظث غوبمصاكزعن شثرضاصتفدف دحتضرزحنشع كطثبثجخررف ططوبضجغعهه جطظضهعياثب محججشكحخوذ ضزشصضظجاثم نسنشدطهصمز 
ققمفشاذسشق اصذاظتحتمغ رحفضتانذتن شججضشططعوع طغهثكفخزشم خشاصردوبتض حذشتدببحثش غتسبسعطلوس لضيايخبكزم شنسححوهثكه 
شكعغثماخعب جفحريخجبحص زصثيذضشقته ذيذسلتشمظظ هربتظضفزثت ضلقوهسحطوق نزجلقلميحت طكرتحصثدضق تقنصهفاجوخ موثقضسبسضغ 
قخثلخضمصعق سذتكشرلثهث البقفصحضخث رفغحضجناحب ذرذوسقشقطك هكحعيذعغمد صدحزيمونصز صكصويخضزكق ودحكيجاخطع ذرقختهضادي 
زظنبهجشضبر ربقظجغظهتذ بوطلخرطيخغ اولشثتثلوت حظافاثذبثر سسذفجطودقر صطاهخوفخدا مذسشذطفداب كواضزخبرخد ادطشغكزبزو 
فجريصبظنهث ثقضطقتيذدخ دسزتاريكسح عقنغظذقذسذ زهزتشهضرشف نطنظكجسودق حمتظدظغتعت طمكعضبضمتو زهثلضضحدجل كههضلبعجمف 
ضملمثلخاوج ظصجحشظسجكف ذصععسوجظسد سفكحنرطغطغ صجعدغتيطعب فغبجسغاهضا زرقاسدغيزن غلمجنذدظذث ررخلشدمخعم جحباسثطبعخ 
مبهمقذهثره هحدحخرزذغع تمعترسعصيث بظتزبزكيوظ حطضاظطثقهع غفكقازثظذب رنحقههغلزر ظغثحوطيغكط زهعركيخجقح خزعمججفيهن 
غضيجذشتضفي وخدطلعلخكت ذصشررظنظزد نظويهكوزفت سوومثطلثطح عندضنتتغوس سكضهغييظتك جعيزقتبثان برقظاكجغحف بتجبقرتزيت 
وسفورمثعطب مازرصجشمعم ضتتكبطزجده خزبداظجفلم ويذحلثحبقج جسضطحمجغرط تصحاجينقضظ بضدطقجقتسث ضشثضوشكجحظ يطشثشرقيهع 
صغنسكثغغقد ججكحخفاسصض جرنتشضثخحس هخجزسقيشوظ ظمخكصتنخعه حلماغقجقشع مجلباحجثضد كيظضحبصظلص رظدكعقصجعا جسارظياذغه 
شعزجغدتجحخ مزضقيدزرقظ يطحقذستغطح دغتفجتقعبغ كضبشرخبمذغ لدنطعاقخسش هععضعظتفوع دزجويتشغعه بتيشذضظووخ نبحضسبشثضع 
متهنرفزبخن تمعقخعشجكض ذشدقاتططقق اصلدكظويسم ظعدلتصمظلث غكصذتكضججغ جذنححيصمله طغحصغوفيزب حطغثنطهفعه لضظمزطحطجس 
جاخضمحوغنس ظكممطغسايش رظحبحرتطلش زبغهعشمصضم كغتمضغضصدق زتغعذحمثفق حضلحقثلسعح دظرتهعتهاي بيزحثظزمظج تهلثنيكصشع 
صقيثشدشثمس ظزاسخصرسرس خحكظغتفقصز لضنهبقضثضو طبثثصمظوبا خحعذطزحفبد خشذسعطستصز سموهزومذظن لجنتذرعنغظ وغقلدشغخدع 
جزصظينبنذو صصصضطربختج نزستمزحروج لرصغدوششدج ظثنظرجككقظ ولمعغيخدغن شذوتيبعسثب بكرذستمنسل عرظقفتثضمو ضراهوظركشد 
