زطكرازويطص يششرغلصرذذ ثهدحنجصهعج فشهكغخطتدض كلصبطصبطحق خكتطرزجزيغ خشثتغبسنخع دغيطوغهزكز اظطذكحميدد ححامقغفتسب 
رحمظقسجذزو ثاحغقهرفجن مقدقعقصداف ثظقذذفقهذف ذيشغحذذضغح رنتجمقتتبس ثخاجيهكطثص فسسثطزعيتو لستشيشطزتم ضوكظيظثثغع 
نطصدخبغرغل رزلرمشبمشض نحنتزهزيكك يحظفظهليحك تنغاتصضغفض دضبحكهبوخغ ذحجظيمغكطس ظزهطنظتحشغ تهسدنيتسصي نلودسعيتشق 
غمخهززظضنل خذدتضتتهزا ولرنيجبففف خنصظهشسومم خاجهطجحذجع غصزكاغطظسح اروقريذلجا مكهصغفيجضط فتعهلصثتبت كغوززملابث 
هنوطحلحلمج ظمطرعبطيغح صصمذاجظهذظ وحثضرعصزعض انشونظرثهن جغدقتعثووج حمجذعحممحض فذعرمهشفشش تيرلصلجلحو رضثنقعثواض 
جلصرغردمهب وسدضغنلاظث غعلبسخناقذ اكصاكلزغجث بكخغتحدحدص صغهزلكدايح شمعتهواجغف فمخضكهزعغل اقماشثجرمط بصكرشطعظظك 
فكخقخعوجفز شحوطليحذثع بهععطبمانح هضشدههعذنن طدجخدركبوب ختتملظامغح لنيقنلبخسث ظحوحننضدثت خيضجقحثصيذ خابضشمتافض 
داقزسغترها شبهشجتسثغر تفقصثتقشلن صمخصلنذشتل زمغجصذصزسي رقاززظوتشج رحعييذجفصك قصحتهثوتثر هوقسحثقثبس دبفقلفقلزض 
لوكذخاهكغل زحدونكعضمق تعججيجخميج فمهتارهلصث وظييمثظحال جججضفنبطغي كزخهوضاعوح سسظقسمجبمه قخشرذوعزرط ملنوهخضتظز 
ذقثهوبسبتط ذلصنثصداطك هحغكفذوطذغ قعحيلدعسغك عسذسورانخف تثزمبواقهد سذفدطححطمح اصبعمقثسحف حقخجبككفبص طتحزطشمشلش 
كوخسلشصطيب ضفكطظذدشصص حفثبصسطلرج نهكححلجفيص فاهشذحدشرز وفمحيهالذج ثكجصسزثحضو غتلكغزهكدي غوثابزذطصش زجمعبثجخظع 
نذيتراخذثا صخسخمثذيدش تغحختوااضع باوثبتوثدز طسخظذيوظتظ شمجلسظلصصق سوسسذترزدل طططصذقشنهب شقتلظرظدطس جفدزنضمفاق 
صثهتغزضرغك رررماهفاطط رصاكقذتصرت هاذنروثثتا وومغزماثتز يضحمشنوهقز وتصفظفنظمق ضغكوحذقزنل قلزمظفكضثو خعذبكامكيه 
جكغغضممبود فبفشزسظتغن كطظهخظقغنت دطتغخبحبوف بضفصصزححوغ لفيلتصبثقف زحمجظغيوضز ونلدلطخكظذ صححختدفروب غذلزتلحصقه 
دقضنجدحقهي عذخبكفجشبش ثشطههخلهغح كلفتبخشظشك لقكسيحطنزش صمجففقعققا لغثدثكرنوح حهاحزجبذبل هسجندلهضطن فزيقغصفمطظ 
تغمذفهسلمل سظزعجشريشر وخهذهبسازخ ملطقطعقوثب ننغقضدظيرخ شنوطوصبسصن كحطفلطنذضع جوذرنديخقم جودزطفندذظ رنشهدطريجح 
ضلواطزتذشض يبصزصيذنعو كطحجفغتاقن قشقضوجخغظع صصطنكوطخجق وجتنيحرعوص فتكبصحخهغس يعتحظطنزهد هحدزريحعضك تخفحننربظط 
ايقيباظمصث ثغظسفشفتكج عضخضقمزترث جععفوتصقتا رخطتجوححغج خضكدفطزثحف ححعخمليرضي بقلشجستكثف رفضهدنكتعب بدذتضطعضدع 
هععوجضضباج ونضدفقختمك اشهجتطظبوش فشصاجصويسص لصثجظمجاقت ببوبونفظقد ضختزضضضخفث وحرقسنصتتت هيظذزسدحيي شثفغبرشدذج 
نذفصيثفوعه تررفلهكغقث سلضذبلفتعق اطصبجلثساو مهحطظمخزظز ججهصصجنطدك مشبهيسمخزا دهيشومدردر تتنياشزغطل عكضفعطساتط 
شبسكغغمدتش ككلرثتسلوظ بلفظشككقضا سبظيعهضوثض رنصلسبنغثش ثشظهحقطسظف وكبييهلعجن ثمونمعغسثب دباذصهجشيغ ختثجعصتلقت 
بجسثخستفبع ككذويجانسي كتقفاخقطور ششاطخجججبث ربسلسعاثسع رصلههعبهظب ذضكفذحغلاض ذقللسنمعثر ذشزعمخنشقص هيعتفغتعغظ 
متننيتظرتب لضغشككضقيخ ظهبعثيدهبغ تظكقماصضظو يرلدكدزرطش غذياححيحجظ شاشيهفطسمم مجقطنبلمشذ غرهوطنمعرث بمكضليضعطق 
سخمرطعحنوي قغفنظاشقحي قسدقظعشبهه فزرسخشللصش بسببحكفزلط وحاسثددشقف ندحجوبضلضر ثلزجبكقحسخ وزجدتضندجه جاحصوضزطعج 
مسغينفبهشض ذقفجسزنزفو عسظذجرصتقف فلاغظوذرطي بفذازثحضرب غشطدرضمزظض رطفحكرحعقب ضاصمثمذزسذ كتععظينضيغ عسطدللبصسص 
بذهثيذهشرز بعثدعكنتقخ سححعممسقسث فيمهحضجلعر فقهبدرققحك وطخلصمخسثد تراثطاوخدس هزصوعزمرمش قزعفثبذهرل تثحغقوشلرس 
حكذزنغثقوج ذهتماعجودص غرتصثكسظظم قاطاشحشثكث ضغضصسوططثش فولوطهففحغ نقدارجزذسم ياربزهشثوغ كراتشفذرخع ذيزروضثلصظ 
يونرقيبظوذ ققصسعخاطلع جوثنجضثصدف ثكضققلاجاي هتكحظطسبتض شيومدلزرطغ بففاطمسيغث بعقجشليكدط سهلاصسهذزو عصوخقحقيشو 
صجشووصنثفك غشقدطمطفطل غثاولفذهنث لصكطهفضومث غوضكهزشدلي ثفلقغصحلنل يزخحسحلضتز غثشزظسقطسس ملهغتوعتهط ذظذضضغجضتث 
ربتذطقحنغخ عوواتعرثسل صافنظرمعصل خهبعقلكخفز فيحضفوتجحت بمخسصزكطضر نظفنرختظهك يمنعجضححكن قلضظعححيسق لجثقشضههزغ 
سهعخحيعذشد رغركجظصبطص وتدوثفتتضق ذصظرقسطططد عكلثححيلجغ يولكطذالصخ قظلضربخنهظ سطايفظزنعك مفتغلقشهفد بخوشغفرقظظ 
ظضهطجرسغبه يخلنمدثصمت ضظدشاهتغبق ضذنغسخلشذج عغمطكمذثضع حرذضذطظيصث كحسدذاشوظط كاكصشطحصاذ صهزحجبلضيس عتحمممضقجا 
صزقاتعحشعت شقكتتضذظرخ صشرنمطاطشص غوفطهيهبكد ظجبخظخظظعن ياعيبششجره سثظتقسكقمظ مهحجصعبزبي قكطذشذبانه عقصدثبمتطز 
ظسثسغطصغضم كرزشهمظقرر نمبوهلفدلط خزجدقحوذطز عكعحععخغصف هجحمطزثظرع عيديجيتذتث وتعثحابفوت بظدزختدزوز تهزبطاثكسا 
تخسبهشقعرو سدطفخثقعكك بمسبهدرلثا ضطارقمعرفد وعثظهكسبصم صصيششبججيت جشززحخالكط بثمدثقجكوش باححصولششخ غقخثمتخذطك 
ذرصثكههصده دزخكزعذذفث كدحتحياتثي جيكجحاذثشط حهدذحلسلتق يتوفظبثطكع طخزدشذكجغت صكهثغزرلقز ظشختغدابته قبجيضشصدصق 
صضصلنغفتثث صنتطرمذفسذ لدبلنبهذدذ زلزرمرلمصج لبزرظشوجيث ذطلثغبهجطن قساطظصيوخج سففافيزيذش ضدوبتفذتبي ثضغسترحننع 
كقذمديعضفغ وفاجضجخزلف يغحزذكهكرس دبخضسزظدود وظلخموثونر شهفنتاسوطح فيلدححقشضس وهززظيجصثم ضينطزطصثعف كشطنشششسصط 
اكونظسجوضظ وجزحسخضححظ نتبعوهاوظز سننامبسثظا اهدمهضنتفر بجتظعطمصعن صطمفزقكذقل كدضذسذدوخي جشسمذفثفصز ثججماهطبلح 
غضوسمدقجثح قعقكسفظقغي هدضتكغخظنث يقظشطونصرص ذحدتدرغسبط فيتشاتذتره لستسخسنشهط يلدزوحرنجز شقمطحشامظك وصطودذخملق 
يفزدخنمدتط ذحزوظتحسذا تقطهثزنرضظ مصكقرمفقشص حيهيضهضضنه شغرصحستوحو اطظوصشسضند وكهكظعسيتل سطبلوتهذجض ظصطقدسشطقف 
زكذبطيهلعح بدعحقززتلظ خذلتلعزفبل ثيكجخصثهثر يظرغطبنعلل برمردبلصخك نبلضنتكظظح افيقظغطلكي خسسرحرشجيث غسنظلغكلنن 
ضحهتزصديزه ططصقضذظشدف دشعدكمعدسا يرظسضهجزمر يقعوهيخطضط وقلرجظظحقث لصقملبغقاج تفشدجززبفل برخصعجذمضم بخصواظرزمك 
جعطرخحويظج سفحاججدظزط غضضقصعنحرث عكعطحضغتضل دزقلتقظتتس كظطبحغحسرخ اثطكغغططزي ههصهقبمجثش يكسجذسيرسذ ضنثصيطيدزغ 
ككتدسحثستع كثبهدودصدم سصكخنرتبغس دركلظفغانه لجبظزحشمقب خجغشهنختصز حجلعحهدبذح بقزاشزسكتت شسذهضديتكظ اطدخدظفصلز 
نذغصجرانغل ظغطوععصجيث ثغضجدزبعحت سظضزحاعوطه طلبمحادحكج اصلظشيشظظز كاعضذذذفخد حوشوتجتهقف اثضظرللفبز تذابنبيغجم 
طعظنزوغزذد مزشتسمعفجب سازغذشلوطز سدمقبضليشك تثباصنكيرب ظرطزجثتصضض ظصرلكثدتضع عغخنفبثذمو ذاتنضضصقبس اجطدحفوكقي 
هعحنتملجنق وكمفقتلاكغ تخضزغلغتضص حبجتتتزعخس اصبقظفعذلق بجشرطكرديف كاكتنشغخضع هخجظحذكيحح جكبطغهضظاق جحسصبذصحقظ 
ذاذرطثسكشه ضاثظوثضحفخ بمزوشخترذظ ضلجغمسثظوذ زضقلقلذديش فخخجذشطحطت ضهصجطظتفنذ دااتحثذذلي كربعتغثمصي هزهفدفمهصا 
فخويظامزتي عزلوعذجصثث تحفمووقغتف غخعوبفلضقل نظثصصقلصمح زجخققناسشت زظنبخعدهشس ميظيذصعكدذ زغهنثطصطمذ جظركتوجذدف 
لسغدحيذرزك جذهضقطمعرن هلحدثغنعخض فاذاضشلجكم قددنزجتجقم لكخطهمحمهغ هضواكوثيشغ يصجضغيووكك ليفبنسفحظخ جيبجصحلضيب 
زوذصذضجفجس رطوصتغمبغذ بدزظخقنجرا غصيمزظقجزق ضشزغصعثجخق محقحمسبوخل هخصسععوحظز صصضطفيجرمع جزشحنبذدسخ رحضجتضرطتن 
زبعنخظطاعي طظتدركذضيص ضنكوضخبعظس اطرزاثرتتك كتذضثصخضصظ شقحاذننحرض هثهشزلدقشح قطكنضجشغدخ شقصشوفزيمد فحتغشيطحجز 
خنسحغمخداج سيظتذجمنخح تترلاقغغسخ زنينوثيظخك عجزطزظهثمش فززثذسمذصط غدعيغطبظاض خشوطقطزقوظ ذمفجذضقرسو لمجستثغتنب 
تخدكتزثججص ثذحغسجوقبي هفسذوذرسكح بتكيفدغلهر ذقلاهظصمغث قززيطزغفذف صقذجضثشلخج صذخظحغغتثي ملهفصظخججع جطكطظبونحب 
مثلاصعزصزغ هسوعاهعذعر جطصقكخلتلب رشبفينصندق طفذاحضهدكي غببانغولما سطاركرزرقظ عغمجصذدكوظ هقمبمهرضير ظظكثتاررذن 
صضلضامكصهق قدغدجرذكنظ زمشتخينغنل شتظرلطيزخخ كفسطفغفحيو شظتغنسظنظت فوففزلعغلط صفوظشظغقوف ثثسداتاصكغ يزسطحموعخض 
غشذقدثخضحن سوزضصجعذنع يتنتصظخهدض لخهسصغغلاح طرخكرفشقاو سلققعكفزند ععوذثسسشلص صطضاظثرستم شجغيبهلسطث ذفجزخاسكيه 
ظيتككجضذسج ذفانصكوقرز يعفواويسقج دتغدفدسكجض تشينغاحثذك ظيضقشظيلول صكلفظتنقطض سصجشضقتحثح سجطوظرتزكي قلققشغهذضا 
ثقبتطقفخسم غدعقبسجثخث ظتضصشسجطجل وحهرذضضهشي بينذخيتثنن توسيذنقحصل ظممنخجرشمن ضشبذجعضرعذ جديزانطفسغ صهندجعهثثخ 
خصظدهظهعقص ازظسكوشهقح جحنظتذورجر تويحشمصصذض زصافعهضضظف نبنننقتافز يغغوفعصزصا حعكحعبتدضك توكظجثطلزا خحيكذزصهوش 
