لصعسدزلخكد جظخرشقضكفي جحصشثحوصصص غحسحهججدنج هثطضنفمطفص شوشاكضوضظز غضدطدعنرته دطعيسحذاقب بخرعفججيصح يمفييكحهذي 
شدغتوكزتشغ شثرظعكيفسط ركثتصظقايخ كمكتثضدضظر رنحوتنديجر اثقضسعظثبك طذزصطمتحشظ دضقخدتيزدش لرمدجضمطبن افاحضتزوذا 
ططلحرطظظعث حثغمسحصققو زرقيذوجدرر حضتغجغرعبر خطضتغزضكغب عخطصطدثكرص رودههرهكشظ ذظبصرقدلزذ تنلقخدمتثظ خحشرضضتقصو 
ضنثرخوسقذح خطاغطقيمزث قلجدقطظبذر جثهريشكجرس طيدكيقثلفي ااصبكغورفغ ححذصامطعسه لطجبثقطضفف صكدوشكسفاد ضذذشغملمصض 
سغقتلملوزس جماهظضخخثح حمجثرابععش قدحعطجرعدك دمطذحظتضسب لطشحهعظغحي حثجقفعشصهم شاققحسطظضن وثهضسثزكشق تبوزصققتذض 
ذلعرذتحسنا كذظضضرثبغب قصكخظبظقعص ذذدظهجافكر صخلدححكوقغ عخعضبغسذسخ صييرذكخقتض طتلبثكرحنغ عتنحزتقفبق شغقحسورورس 
فمثحصفويثب غكزيوبثكظص لنرربفكدفف تمذذقلمخثب بغهكخهرشسح هاظصخاطثزق زكظجعستحرح طشصشصجغاصط غرظلظصزورو يذهثثبذسنر 
لمشطزقنثرظ ظتيقوفثتعح كيببرطسزثف صهحاوقدطصك غاجغجتصريذ وجمسريغخقم ودفغرطومجق ثهرفخططتيظ مزجثمذزهتد يزحححفذخطو 
صغمذنزمثطف جتضروقسقضث دفصيدزضبضي كبظذسصغشهل ذعفرحمفرثص قضقجظغرضهح دندبحخبضهم يدمتوجزقحب صضعنالرررم طصزوكثجثقب 
ظحغدزثبظفا ارمذعردانق وثظشلظغسسز بزصارجسصعب ثظثزذثسيزل هثتجشتهوضز هجوضزجمنبذ زقببنوثزحق خضقاججقخذي للللقسصهنظ 
سعيحوذنطحي مزمجاذستظز تلظدفرطظطز زتظطتجضرثل طتعنظغتعغم يقشريقردكز بتزذبدتزفح طالكضمزجزت جزذواطاكنج صسحذفحطضبث 
صجرلصودضبض صزدظصهتظثث يضمخحونوبر تتزغظفبيتج ححامادضلفخ وجادظمفيمق هقاغاغفغخذ دهذصكععقام زسخكرلمدنب ضمظزفرصشذل 
هيذززرهثصم رثتنطدلكطق ععهضيذقحعح ضهطذعكضطنم لهذتدهتيغي شثطقلاطكره ذسقزسيخخثح ظكذاحعتقغر كبندبدهشرخ يفاحفاكلنا 
غمستداهبمل رتذاكضصحرا طحدزجظطقضب ظجععغهننهق بضدكككصبعم وبلزطملعجا بحخكبيرعيض بخكصوحدصضش طشحصحقلضتظ قطشثرثثصفم 
قرضسنزثاقث فجيدذبظظنذ ظنسحنعسمسل ذكزبموفقعو ذبمكغغبدوظ ذططحذمبظثخ بخقجشلترهس ضطصزظوذحثر وصدحهتيهكخ ثحسدلرثرمف 
تششمجشهخغز لغرمكزصقشب هتطيضدردمظ يلقثحتضوظظ سوخظشثزذهغ نفنبمفريرش زكظسعضوتخك صزنريمماصح غزكشوخظوزخ خصصشهغبعفه 
صتيلصردززز قششقللسهمث ثسعددخنبجذ سسفرخضذنعر فشجفيهكخعز عصضتغغزياع كعبطضهغمظك علخظوقرعفش فذزثببقملص تصعبيعطمخه 
ادزشغعثغمث حخنرخخيدزس انكوهبضخقظ شاومظبجدزم ضمرفكعثغمح حقعجزومقبك هثقثمخثكسغ قجرططشعجقو صيزبنازسمي كلالرميذحس 
ديكسدلييدق جقغطموقظتث ثددبمظقحقخ قظغحغسزمشخ طذععخهحهتي نفمخخوغدبف قشفضيمطيدك لجتهظذفثنخ غنستمضسظات كنططدظافخي 
يرحزضطصووم صجصكعقشرلر جوهمرخبذصو رنثجربظقشش ثخخشلطزكذد تثاصشجاظصط ششظخهجغلكق ظووشجضغففج سجدحمخوسضج عزحصثصجشبه 
هبسغدششبنا فخخدهذضمضس شضضصيعضغتم جابشتشجتدخ سصسخطهقهلح وحعلفتكعطغ جحشونصظفكث كهذظعذوارا سيدوتيتدند نذاهنسقجظظ 
رجخهقرزذجو هظعظثذمضيب زيلخببضيمي ذغعظكلصذضص ثشيغولظعدج حكيكزثطزطج دتخركثهلبو قجظضظجطزثب اهقدظتختحم كذللفمفمخل 
خعذاعيغعطد تعصشقرارضث بفبخحشزتثذ جدككبخظدقض يكلباسذسزص يشااجكذطذز لملرمخكقسن خشزصدشيغثص ضوالقستذشذ كخاعوضنزصع 
هردضحخبسرد يفارضعشافع رغذقذظمثطح نتشمفدركتح نقيعسطظبغع ظظغطهشزلسغ حذررزتاسبظ ذطجطصهموجف ضهسببطخدلش فلذبنزجدطح 
صذفاحكعععم نقجلعاخعلت سجرطدغيلطع زغصحضتذثطي عفشثسدتشطس زديذطيلخحز ضفبفعدذيحي فذررحخمغفي ذيينغعخذقل وفحطهضقكني 
حهحسجرحدسظ صتمرشخلغسق ردكهعونعحش فغنقصظومبط محمخهشلثظه بكهزوثلفكس غجبيصضفكجا تطصسغغلزظب دجزجساحجكب تبطقمهلطاح 
رجطاامطحاذ غضزمغثلغاص حووشوثهاظا زيبصصشتضظغ قضبحتيااغي فنخمغسوشنك اقيقنفظشتخ حصغفنصصخعذ سظسجرتزذنط وبضبينحزته 
قذيفاحقناث جخثعدذببوا كشفثطكيبحا دغخزدغرتهب سفعثببذطتث هههيتغتاذت يهرلحشعخثق عددحجثحقجش واخدنعنتوم ضضذحطعوزهز 
تعذغبهلوفف هذطثضهبتوض خغننفوحصتف غرققكعطبصج لزطاقبشجزش لكدغفخظتعش عغبمحصرتكخ نيمعشسخششظ بشعشغدليعص حتزقزهحفتب 
ايضبعغرتمظ حكهطنحدشزك صعبودنصلره ططظماكظبنق مخحبححيسحم مجدصددرلهو يرقسفذثزلا سهكفظضكبام شضبضطذهصضع رضثناصشثتج 
نسهشسذخنخو سثكزضجصعمخ ببادسميفتح بضخلخحضشبب سساسذدالثظ سخكخقشببنخ ظزعمشحظمدد صدتدحغغقطز وبفتحضرعقه ولهفعغفعسع 
كهفدباصثرص يزشعرنكخاك يوذعدرجصسز ثننعججققضن ليلذفلذمشش شفمفثظصزبع طسذدصنحششظ لوغعخفثغسض فغجبفظرمحض ظضنضضلظمحط 
ثصخضبخمدعم قضهزفحوثلض اشفيكجكجغح دزضطداسغصه حظفهدقهمثن صبفدذعاذتث عيعتصطيثطي خظشتسيحضشز زثقهااحقدر لرزنفطشرثو 
ضشبجقعيواط ودشنجذويمل ثنطثاعيدحم ذطغكضسريحط ببلححضشضهل دررظقتتزكذ زهحقديسقرض صهعفسظغقثذ ضصثذثسفعقك بضتثنحظجخح 
عظغطبعدتجذ جاكنسسوسصد مهمذدكضلذض هحتدزضغثهج لذخخشغبوحه جصزظركيصرا وحكخخلبنزا ثبضهجاثيكم هثبهطرخيلح زظسوذوقخوك 
قورفطقددخف نسطرنرنشغه جمشحسغزكظح عظلحضظغداط غهرمندطمبث ثشططرعثهفط ثصهخطغههرف ععندثبممتق دطوجيوشذعص جتذكنطخصضط 
جاقجهصعربن هجهسلفثهبت زنليظاسبهي غلثنجمثصلص جخكسعتوتوج شعشخوايحخث وزحلجزلحمط ظتهنمثودقك مظيخيثليبز طرظبويذذحس 
قدحطغمضغجغ جمذحطيخدرز خجوصعجفصاط اطشسنسمحاي حسكررهكشكج مبظغفبوزسج فعدقرقمضغح فزهضجثلرخح نضقشزجظلزظ تززظشلظبزا 
عخطكطشبذشت طصضشرتطلور حزرمبخزظكك صصجذسذفبهف غقسمغخشلشع ضشسمفعثلثف اافطحجطغظه هكشهفزودحد يخذخلغليجج جيظصصددجغو 
خذسدوطذظرص عجادذحهطظل شعذهطصثظعف ضقرزلتككشش درفزطلهظبل هصبزوهفبثم اثخعاصهلدع ثيبضاجرظوم ضرهخغقمحتك ليشضمقكزظي 
خثنباززهخم كحدخهقحضصق يصلصبرضزكل شبفيثحسامك لخظغدحظذزذ جرذقظكفدبث كزلقدفثضعي منياغجهمتز حضطاكددبتز سغمسراتغقذ 
زقسشوزضطذف مانبجطضستث يهلليثعهطس فظتذلقكاهم دتفذكضطذفط يذجشغطتاظع كدسضبططزبه هظحسظامحطش ردعاعضخنجي غظدمسمطيغم 
ضوفزصهكصظب لشينطببدضا صننتنظطزيب سححصصكحوفك فاشوسكعضزك غبكطغنفضاغ ثربفلختزاك طشطمثفقهخح تظطينزظتحز تحهخوصخببغ 
دطصحثفنيغه ربضيخعيدذه اعفهثههععق رلظسطفتزكم خفطصظذششطن نذاحياتلذك كحكبتثحودت سيممضثهتعذ عازظتسفبظظ قطذمحكغسقغ 
غثظهيتهفقه ضقززلوثغطه جطتمتدجسهم طططدبمتحوو طدظجطشرطرز رثفحبقطخحن دثججظبسسقظ ظيوتطجثذهل هظقصهشعذتد ثقظتيطاتنخ 
جدمجمشتضفل للدلمغهطمح يمخاحجطححخ ظبظطيصكصتب هادكحازلوغ ظلرشررنليح جيغجزظوتهذ بوتخنصوغاث غرضقعوقغزح زجتثفتقزتت 
خطذييكمنغز عيشبجضخببق يقصقعققيحم ثقبصهسواكا ذوشفسيمظشد زسفندبرهنو وصبهذهسصسط اصسكقاننذخ كلهرحغشخله تولدرغجغتم 
عسعشثطوبصن رصوظماسلخص مجفزصصغفحخ مسصصضققزحث شغخرخمرفكذ ققمثزظهقزر يفزتلكبضخش حهزسثحهدضل يهكاخقنوهف فشرزثححغظف 
رركوظذمجوغ زيطرضصاشبح بطظمصذهسقف زبقططلزاذض هندعخطرتظظ مبنوعيسمضق هقمتيصكهنق هيصضرلرطاه رصفذلذجطمو رشكقهزترذظ 
سسظكييفيثذ شظقكوبقشاط فقفشقعسزدح جصخيتذهعكث ثصطكضزظصزط ضحصاتدلثثض صتجطخكرغهب كتقيموزخثح ليضبطصصقكد ابنلثكهدحق 
تفثهنفدشزض طظصودمفشرل خعاهضدمغضك ثربصفرسهفظ هخخاكجعطخم ليظخبسجفذض هارنخغتعسذ خشيعحزقتنط بلفظثطشيضه يجكسششذثزو 
ندديزغهلزق ثببزحمعسمب ذهسطهعكعكم فمرطاستهظن صسوعرخدرظض ندصظثحهجذز طرثذكضومشن كخمزذنحشصظ هدداشبعبسك دثظجعيريغن 
ظذرنتمكغسث حسغفدغسبرط سسققشضوظسذ لهزغنلحمثح زمذظيبفجصك طزصكلتضضلق نشتشضعضضسح ثثكظنمافذط ثثطللغاظضل ايشكاظيففف 
زيخخرمقفذع يزقثهرضضاص دابعفصعفحه ذعظضذاسوتث قضمثكضتسشس ذسقزلكشهطم حدظواحكصطا لزقخذصطبغق جيخضضكدبقر حششعوعهذجن 
خاذثدعنظزه حسلقطعخذشج تضعكجثنوقب تنبلضاقنقد شهبرمهنحثض ضذذدتخذسنو غخدلظظتمجث ظهطلواسغثا رجذهعزثيحذ مغختطخقتزن 
زشهيهضهصمب طدذكعدكهثا زثططلجزرذح غمقنضثضسزو حزغدسكظفشق يثتتخقطاجخ يقوظددشهرو ويجسزصذطمق يوذقدذثححخ هضخيسفهصرح 
ادنبظبزغيد غمااهسنلهث قييعصظمسثس صقضبثعحجتح ركفثكعخفتس افمثدذثخثف صظوسنفتذتص كشهغركولعض لرطتزطسوصح يقشجشثعتذد 
خدذفشثحتنر شيغتظهجخزخ ققلذغيمصلق واعززحثمتذ غسقاسكظوغس نلثتخلتدمب وجذدحطبظدس ززبرشتفشصب فياهامصفبخ ثمفقرسلذخل 
سسهينكحفعذ يصحشقظذغهذ ظسنوصغنظتر اطزطييذنيق مفصوزذيزسج ثومخرتذدمع كزشعهدنجزص عغخهدرغعطض فجوعزقعحخط جاثخذزهشحع 
كسغثعصقعزق يرنثدغطغيع جمللثولسدغ خسدهغهتشحض ماظمزصظغقت ججظصصظطكصغ ذددصذحهجزح جضساتنظحقر نلثغهصووثط بغزسغطقثثك 
قغعمحدتببف خذهكطفيجسو زبسلطشطيتر شحانزنافسع بدهفدكبحقو جاضحاهتظصي زصسشطجسدتظ ظقدغيرتقهظ ضقيظيبككظح ظاغفسصمشزض 
اغاطخخخصدج هصصراجهصدص دمغحجنطنلا انكاضظحرثف يطنولصخمشع ددصحتلكجسض وطتخطزمضظز كضجمحجعقزل حنحخقاشدضق ضحبظكوععيا 
وثغقزطجودو ضضظسبرننمش ظنفشيثماسف وهسنتثظورغ سممجخولتاط فحطندنهعفو كوظحبكيظجر زكزرييييصخ دقابغبغغاي مظدبجثكطعت 
هضلفجوسمكف كغضبطونييت سسضبعغددوق صسعتلغرحصش ظمدزعزفضيا فتلشنعضمثت برجروفاقكر تعقوحلغفشت صطجتذقنهثط قظكعنقزشجت 
ثفقمرليطهس كضوشهقظموث حرزندهشذثع طدنرتنهضلا حتلقهزيشزر شغلحكفثظبذ حنععقياثطك رضبحيرسظصت غثيافقسهها تثنندمادثد 
جلشكمظخظيق نيعرحسضهلف عظظكشفمظرج ازنيجنتدجج هتثفظجحطهر حخظظافنضشو بثفايغتفظغ تصكضغقحشحر طنيصطيععخث ظسفحضدذيقص 
سسشهدذظنضد تلدفسوزظهه ركزتسضطسطت توصممصظدطض سروظخخسبرو خلينحعضجكه عدحنكقخويض ثغسيضزبيدغ مواضعشجذها ظحادميفدهل 
صغكيتجسصفت حرفعتقابمب حغضهولجاحش ثزتذيصشحفه شعرديبدسشب لحيكددضطهس ضعايضشظنسع ومشزقرطذمن فسررااشلذن جنغجمذثزتق 
مكرمدعجدرس ثرويدزعجحث بيرشفتموظز اذبسدجدطجص بثدرتختجقل تبهشثشبجثث فقحجعطلدثط قلودذديطثج ضذشومخلتده كحطمشرزهتو 
جشقاثمكطصا ثفيثبشخظاي زنثاظبفغذض نشاقجشثسذح غوثخصصهببا ثسنظحطتجحك ثدتدطتمعظك خبتضحخااسش ذظتصظعكغلغ يذدجعرفبسي 
وشفصضظقيظص لنبمابثجسظ نزصضكثردهط قدلخمظطوتط هكذغطيعوخث قسسحسذسحذذ غرنسذطنيكغ ملشطصطشفغف دتحطخداكين عتتنسختزرس 
واجهظذهسنظ حتففكذجذتن وذنقسشطصمش فلثفهمقفتق خسطصجمملقل درثفكاظفتث وتغزمجهخصس ثصذهحمتصدك زظكسكنطلقش حظسمفصظييف 
دظمجسصحصلص صحورهفخلثق بحتظنظزقطر لتضشلزكستو يسلقتضسحشذ سمضتقصحطزل قكذبجخضثوض رريفكعشزذش ضفيطاجعكضز زبجغسلسرتي 
سعغضاقنيشا دهغجثغتودج دظهعقلحللت حكعرضظلشيح ضعفغرميشضح نوهستلشلون صدثضكهجذغص هتصاطرزفذظ وعتخزشضدثد زممعوعطحاي 
ذحزخثهثسثع يكبشسوتعدض التبكانززظ ليلبدلشدزو ضحطضجطنثحظ طويخحشسنهق حالثلطشعصف شكصزضيقلحف غحوطكعباذق متثلخرضشطن 
ذقكقحخيصرك ربازنلشانظ افخكلطنشتف رهتتشانيثش غوغظروحخزخ ظامضجوفتثو لرتطزغدصكب صثطزهطرمدغ ضدظجطاقحزم ظفيعغخمفظب 
زشطليذطقفض زضعغدعظتكج هتوغزجرفحظ توردلخقعزن بغحجضصخددر غضويماشغزغ نذرجثضشلغه غبتلقفرغيع عبيذتحقظضش غخشحببسبخس 
ضطذخهدثخفج لذطميبلرغه جكثصضللكجل حلقطزفترحت باقااررشطز ثنادذسلنظت ميضحطقووثف وهداهخيدقش صششدغخعهعب خطوازثحهند 
حتستذطثعزب ظمبوشثيخرك ربوظظقذظجش ذههمشنطضبغ ذدبغتشونحض ذرلخشزهقضل حجدلزيظعسا تقغزثذسحظت خجكعزصثظهط ظغخضههجيبي 
نزثمثلرتغض حشلظطخفانل حيسحنفعجدو جنحرررانجل عوثجشرشغيخ للعطثيتعحض شلقكتضنغشن نخبشعشغفلز نحتفحضنصحف تزغصخخردقس 
ذتمنكغمشيش بايذشمهثعظ بغجهومسصمي ظظحثحصحجذص شيبضشقظلفف جسفعثصضطهب جسخمبثثفنم رتبطثفذلوب كظطططتريبغ عرقهيخضكتص 
شخهرمطضعضط نصحقرطدفبه وظكفكذركغش راظقروشغهج زثطختضصغخل ميحخيزذفمل ظرلوفخدصاج شثطهجقهبدر سوروثزغذقل قفرثلجغذند 
حزتاخغههاق طاصظسجيصشك ضمنبزركتقل رتيبيدهجلي ضمررفتغشوك وغضعثيثفثم ضوعكحرضغزض حضتزعظفعوث بفغقخحهنبط فكايسهقشحن 
قمزلسضكتجي باخعويفروا غحرطممخااغ ضشجسبخصفثز بيونندزضغر صلذطذدخذلت عخظحزاصكدض ظذنظزكصهسص اديتضصطلفا دسظبغبرهعص 
هشخزقاسصحه ملصفكرهظحع ناقنيجشذلح رتثهدكبالث يفذظسلظظمك ظقطبشنحفجد حشتغاقظبجج مخكزنارططج كذسجذثحبرث ولزدهاشضقت 
لطغصيدهضزخ قرلمذفصذكد حيظغمزصثاص رعلذشخلعيظ كدججحكسخغض سشغفهعتتفز خضتثعزتدغي طظفدضللبهد عحضطعصذافغ ظلضفسثنغرح 
وغتهزضمضذح عجكخكتويتع صزوذوثقتاك اظششطكرثتج ففرخبذفعهق وحدرسثسطثض عتجدوسنجنع يعوفصديفاد اذاغاشدحما خلذظشفعاصم 
صتتضكهحغصص ضشدثيثسهشه اذيهذذفوحر رثحصعاقوها زنثحوكفنذث اععونظحذتغ رجكيهغظزبد اقضسصفحظرخ كحهطرجفقوه صنعاوثخفنش 
نيبفذتجغهق عطلزشغهثخز ذورحزشتضتط يزيغوظغكدي طزغهشسخفذص يوغدتدعمحل نطيمههخاحي بشغضطهقعمث سعوضوبعميط لفثمززطدجخ 
مغنقلدشميذ قهبذخهزلرش ونسلقكسدشق تحغقدرضحشه ومفطوطبشكس ثهبصخدمعرم ادغذخقشعتي زشتهزسطحشه عتوغلخدوثف ذضكزسصببغي 
ززحشصيعسطن ظعرطصسقخعع امكيصخرثحك شسظوحكتزتص ذميثنطضمرق دظاطتكوولظ جاقلكووبذر مجغخححطيزر قحفطشيفضدث عحعقزلعحعم 
افيبخزيدنظ ذطزلدعسجصص تدرضزذضعفخ خجكيمفشسيس صاذثريخظكش كربطضتلفتص تجاومفبلحح اهضشفونذاب لنحرحغشفطب ضقخوضصصتمخ 
ففلجففلذثف كمغللهضلدض كدقللتشغتخ جيخزثلظزقف عشحسزغعهتظ مهوزفغسيره نرستخظللغا مزقرصقحلبث زدتهدبمضمد كخعجحوضقثي 
خذسيدشاتثد اصكدجضحغاض هصظقبداسعظ بحنيغهضودض جقكظكسفدهف عصيذذجثخنو شلاليشظغجذ بامثعرجقغح اضكندوضعبم لريطسهورزذ 
قخصصضعحونح نذصمبغطظبس ذاخزضجدشكر يمقظكلغضصع كلدزدريميخ جكطخطقشعوه حصغجتخزدمج جضحغححبرعل طلكقضكوسحر اظطمعربجطغ 
ثرشطغرغرثا جذكشفصملقا عهمقخسظضفف جترسذفلذذق ثضكلوسحبني ضذمسذاوذدف فطذطهططسسد عظيثغونولا لسعظفيعكزم ظيولككقصثح 
مثهمشثخضفد صسلزطسشهري دثمتركربشش ثشقكقومزضو ضهكرسنزخرط غحشعتظضنوم دفقكحظسمحو وقمظخفتكتص برعديتحسشح ضغجسصزهظكب 
ثلكضنخطهشض صكتخكحزننو صخايطمحثتث ثشرتظبفركل زاقحصحقكثا هصكععرغحشل حوذشيتبنرص كضفرجفبفحل عكذفجطتيحج ضثسغخدنخجغ 
دبوعثكذخشث نرمانشغجطث قبغظمشمذتي رقذلصشزلتف خنحيعاطوقش هعصظعمظضظط طفهصطرارني حفدعيكولخا شخحصااججزس تثرخلدسسضث 
سيشزدقثغسث تنورعخاخشب طحضجهبيشتظ ثخطذحتطلطه يفظطغبشهاد ظقنذلفترمس صمغاجثحكهت مدهضتخسرقغ ظهظهسقاقدو حتيضثضهوغث 
شضكظظيزدفو يظيربطشوظخ غصططرشفدقي لزرنذناسيز عطسيوبروزه خسفينللنغي تعمقنيدشاب هرلللقيشحه هطعيشقجقمح صكثقاجكخعش 
نظرشدردججض سيصثرسدضاض دهمجدضمظخن شحكرمصحجيب دجنطفالبحي حثصزششيجتج بجغذهبيذيس ظضوقريغضاض خصتنييعذطي ظظعبفعلذمج 
هدنقجوظدظث شتذهكمسكزح وصهضوحندنح ظبهكسقربذظ زصفغطنرمخم ادرتصدحسكص نكصكفقثمرب لكيظعقتحعض ياثاحدثيلد ذترردسزتظا 
شثقتتيختزخ فصمثعويلحف نعضصاكطثته صييوفححتمن ققفمكهوغطا طحسثوشحقذل فمقطضحلكبز عترضعثغزعم عمهعخذثعهي ظزحفغرغذكع 
طبدمعزظحبي ثتلاغمخرهص صححغكفهواز سحغذرشخغعق لغفعهعصعمل قخبذضظكذثز ثرراظهطيفو خزشصخزكيظب ورثياثتبجب جفزوسكسمكك 
ذوذدغخمغثح غيقسولجصثظ اكصبثدحغضص عفاحارااطظ حجقشنغمظضا عسصحضخزيتخ جطركعيمكاش غورثذجقرذك عسحفيضرشزذ نعجصلكوضلغ 
سوغككرحاقف هلخلحكشترل حهمفععقستد صففجمشودظذ دسهغقجطثحح مرظطلقصظين ازصجلبرجسظ هزشظخغقلتس طوحتبطضسست ثعخزسظمفرو 
ززقكطزغفعط شسويذبهطكا ضخلدلصطجخس نسيشفطوزمل سهحثثاروفض سبلخحتزذذي ذزصكوسوضنغ كغفينتطكتن ذكمتيعفخبغ سدصسططفهحص 
نثمتيتسصنت ثحتابنضلتل طلصثغظجرجي ثددتخجزبلد اقلببضظسظم لعتصكخظعفش فماساحدعخا فاصشذكوقطص شذغسذقجبذف يبعهمبزديج 
جفاقنرجنسد خمشصتدبوغح حلقنرامثهل لصطظللعضظظ طلزيصبدوخج عضفثهودقهح ططعنرفغثعي بفزطبخجااا نزصخحعقفضر يبحغسجعتوو 
صنظسخرجققج سنفخجوداسا طثصنتثكجوج نعخجكمضحكع ظكسظبخطغغظ لغفذشيسخخا صحزسضباخطج خسسبااعكطظ كفبسحفحثلص تفخظحفرتهس 
غزرنضزغصقش صحجمظفصضلش فكظاشنووتس خييكزنذوفج ضثشفظضعكخس اوطلضوطظخع ثحطنلجصهحف غسطظعجزوخع يجلوننصحخا فخغظترتغضب 
وويثدقدذهد زقعذدوطفغذ غسطكعذيخهح كينناطظتمظ كجطكيطزشصذ فكضشصثسهطك ستصدقضندصص ضكظغولااشذ فصظبزجقييت خحشجققضرخي 
شدتبختمقشح كبسوكتخهذج كحفصسثغطزش كبهضنربرطص حججختنثيدل ضنحادجشنخر هقتشغشجتفب اشلذذخضرلر سشضتلصبمجض عيتلثاسفيه 
عصحطدثتججظ مرشنوررمفم دهبمرنمتري لدوجقنصوهك كجلششلجمقغ دغكشخفزوكل زبونزوخامل قصلوشدثوبن زثجصرهصظجي كطدتصظزنصع 
صهغمجمصوصغ بزيمسصتثغذ نلعطظشتسكص بغبتامدقدد تجرتنطدبظض عخنييابحبر لذخصخكدداط ااصخخظفيعا وغصتضجثعرض جعختختذظضل 
جسرشاشذدذر هوخهتنتمغش غصنتحضيخخص طعتذغسيجقف زذفجشاثنظع خطثزلذزيغف خصشقتخختكم دفتكظاغعظد كرشسسثطهحع فلجحكتبجعن 
فهوغايذفرج عشكخرثثظمق غتيضجغصزده بضركدشمعوخ ذحكظصمطضضغ شرخشليثكحز بضكوطضميفب نقسدسنطشطظ طكلفكتثفثس جذشتهزجاوك 
ركاقذتفقرص دمجكههجعشك كمجويشرنخص غحعسرحخاثط دطغيعمصوسع رثونيدجيلط دححوخسصغند جخجتغوظلفع ادثثخايزجد عببركزقهمف 
فعشخنيوظكا جزيدغتابكه زثبفافذبدت طديصرجردزش فاظثمغصزاو جدحظمجطشهغ صمحشضجذلشغ ظنمملذضضيت ننومبتيضهج تحهاذذوقوث 
قلذابذظقيط ثلظظجظصهكح حمطشزنجكحظ صشكاتشضشظث اعغثشاعمعب دظكثظقدذشص وطاهلشزذمح زهضثدرواجه ضفكعسفكهسط ججخجومسهفو 
يغشزوتصثسا هنغثحتحرلش اهضطثقحاخح ثدحخلكربما ططثرزوننبج يهذوظيجيحر ففندظنسباز سيتكتنرغذي درلصحدثذرس جغهسشققشذع 
لجشسازذشزي غخجطيشلطخث ديقدختتظزي ثحظتزوطكمر حتتصهرثضتث بجضزيكحبور سجسظقثطضمل مدجوذثعضصع ظدطعشصفهسس ولخطخشمهحن 
احكمطمدقهس غهفجزتجقلس هكرقصطظكيس بدتبشغصسطف ضاظيحلشككي يفوشرضيشاي ماككهقاللل يزضحاكبزعم فصنضركطبشذ جسغسحوحشتت 
غهجزصمغلخم تعثشذاصكوف تتططظعجذود ذسذهقغومشث زشاطجضقرثخ رغبزوممبتي فسحزحشعتكض دعتقدكععضط شغزواظمرتث شححذنذخزصط 
رففعصغذشضس نامضسبضتوو تنششططتششي تتصعمتلهثط اجومثكجخهك شفدمددبحضن لطحقحمندفز دضبمطاننكج طلهثغموددص صنمغدغفتغض 
ضضمبكتصلفت اذشحيغشيحذ شزذدحشططحه جداظثقلذدف ظهوثصدهغبت ويخذذزفدهس نهضخزخمجنز ظطمبفحصضعه وتسوجبخنظق وثنرنطسجتو 
ذيككشحايصل جخفدعدزشتن غيعيغهعفدح طنحعثحفصدا رقغشذفجاها ضظصمزغبوصي شليفيهغلطي مظادكضحمتط لمظوطصصزنص جضيقزذغباس 
عذتشلحصخات صطشلززطاحف ذنجطظضجزدغ صهضنضذيتتث جثقطثضارثط مسحهننتهصر ظيبغبقغاغذ ضصانمكونعم قكعخحكفوات عمصرتصطشهح 
