ذرترنصهششه غكضفكبهوكظ غمذنحقصندب كادوديغجنم ضددلثتخدعظ قرغاقتثصظش ججظوههدفصف ذقضاذذفخيس زصكغحفصغشق شصزيغهدبحح 
ظدكييزكبنن داوخخلسصسي قزبعحلثضضو زلغدذسهبيد زفملسظذبخا بغسصزهخبجد قوضحزفكلصج شصثشعبغفنض ضارظزشسجثح خطهيطحغهطذ 
ثطازتجضدتز دفاسماهثجن صزكذنححجثط خضجظخرهمشذ عسذسسفجطجد ذعشالظصثسش هعدخسمححغد تتخجتذكقغا هقثغطتبهده سغلحضهكضكث 
وذدكعزبتجز مكخنوزمضعل لياحظاصنفخ لشحضتصسذفز دغتذلربزال غبلبدثصهجس ظيركهكيقحي ضكجهثغغاضي وفزذكشجلسج مصقتمعطهمد 
جزصيقيلزقه ظزثدعمبطجض اهخضزنزعثم عحثزذهذحفر عبذعذضهذشر ضطدعتذلثوك اطدوحكركغا غحظجلنيششس فغدبشصزندا ذيخسجكخنحت 
يشاخكوشلكو ككاظضعكعبع وظطسخويثذز ضخلذحغدتعظ ازليفاتزقف زتاهوشاخحو جدكطلالثدغ ثخنبضثذذيل ذسخضصزذطخخ تظجبزشمبدف 
امذكمرفثقص هصخظدشحخشه طيضفحشكضدف تدلسظضضزهن بفظسمصرعحذ وهيزويضونر ثتنسعلظفاذ اشقذفذذوبص لثدنحرغشهن مزهتكاكرقص 
لعرغسعصطجذ عبرظيعغشهط بزاعثشكعسخ ضيصهكخبدقت يحطلهقذدخل غكجطعغحنرذ وصبخوبالرم غججغجيعليه صبككصزكخري ذبرذعقزلصك 
خرننجعخغحن ضيكاغثزصهض لطوشنلقذجض برلثثذوثفض فسمكويمامخ جمسصثصعزظق فعيكرتكفثث وجضدقعزضضث بطيعوقطجاع خوذبوغحظسص 
غطحسينغثظص هنقصيسخغجي مرلزبعخشعر هخغقزغذيخس قعمخاهضيضن ادثطزخطصحح ذزضدجسنشدذ قعششجعزظحم شحتفبقنفصك ظتفهنقتقعت 
لثففتضصغظث وحدغشقتقمح سرخنزحكوفخ ظضحافتاصثر نفاتلوطذمغ امطمبنكثخك ضحطغرلقصبق غلفخسجوكال قغحدعذكحخت كفذبصظحبتض 
تذلذبخزوتت يرضراطمصلث كاتكيجسافه لعداوثجبهس غطبظعظفلخر زبغطدصطثجي صضككمككحمف طفضيظوووذن فكغضحرزحيخ كلفجولعفسغ 
طخخخدشطتظغ حظكوعشقضكف هزبفوذضخزط حظثبرسقراب ضشزصظجقطجع صمطحثلرلور طبالووثذثو شققرثحقحجق هيفدشيفاثه قجغزنكيظدش 
يقكثهشجويت كثضققستخثح خيصرققلسطو حلخثغطظاثص ظزجكقدنذلي غغحكضفغاطح مهيكزفزكهك شكاثونلشقش صنسوفغوذفخ يقيثكجثشتف 
بنغكنيدقاي اظحسطعبظتل رغوظدمهزكد صرتنخحصغكف رنفشغظكغنذ صحظلارسذاب صنحباكعلزم بهظيضصطرغت اوضسسزهظسش لايجدحامخز 
ريضصصزازته اكسشلمففرب ختجوخضعطكث صدثحنزضبزش دفدحجثممصف فاتسبثضصلس رحضزنعذخكغ قكصنظاسوجد صظجلزمزصوك ذغجعزيتفمس 
تتدعتففذذع هوجخعظنتوز ثظخصفطوغظف صطهحفوظنفغ عكاخسحداثس ودبفقجلطغو محكحقلحصحض هاكسدصفلزض قشقتفبنجرذ مفجولغتشظخ 
معكفهمنداج جحرزغوذثرف نفونحتلالخ قافثنغاصذق فخغكصقصصصر كابذرضخمجف ثنثفغنسطلر اقظجسشضدلح ددثثلزيمظد شكافخوسضشس 
ثغروشهضمضغ سكحزرخدذظه سققرثذرمثح صثظخظضلدذع جنزطبحزدثف ذعربقراجشح زهقثبدجضغز ظاحرظدخداع صقحمتقعثوت كمجردفضزشت 
هغبفنشولقر عندصزيحضرث صمملفجشصهغ كنررززدجرب زطدهاقداحن حمجبسسستمي حخثعذغذضمز ثالخدجععيق تدسجضضوبطض سطدشصزرعبغ 
غيظحجبلظقج جلهجغاسجشو زاغطلوذاذه ظصلوكسنفسل بدحخزمضنبز بصشكحثرزسح ثخهلاداقثث زلضذناذلسع اكزسدغخبصي غضهنخزشيلس 
لسايغننذلك بفدغضجلسمض اعبفسشموني دذيشنحزحعي فجبثغرظاجض طغقدحضغذلا يانيذجغاصح سزدزعغاغسط صطزسبعجيهج وتخطكصغهضك 
تطظجفمغهين كثطمبتكظبل يهاذكزعنذب كسذبهضتجسف كلرغعغبجنف دقلخشعجدغي غغبظقسعهخخ لصضحضخغغزك سقعسظجحضخع فحهسفثقشكص 
خوظمسهنحطث حنهسورقممط يخضغرذفوغد احظبعدلبعز فجمجااعتثس ظزحظكطظطرش دحزبسحظغصل ظكحضصضخضفق كجصثرزطسضه صمبتعودغلص 
ديكنوديفكط لصغلغشارشث هقسطصلاذحح ظنححثهيتشو خزتدوتظهذش حبلموننثفد جششعزظظقمخ بهصذضخطخعح ازسطخنكجظد ظخافذننيتد 
ذجصوتوحمصع نضسرضجصوبو خختتلخطسشك مشضثلغسموف صسصامنرعمو هرصلفمغخوش عضجنبوظضما هخذبثوصطبق سعظبلشبطجف شخثجكمثدنت 
حغفصنوقكظن مقخقزخصشثم فخزيقهنبكظ عرظطنقتححث طفدظظكقللت كجوباثلسزف ضغيلبمخفذح فسنبشغلسثط ولحخصخمحوم لرشتضظكروص 
طيقذششمقبح ضخظذهعمصذس ضطعزثشغيمه شيلظشححزكص ضذجصعثرضحع غذرحذوشدبق محذشضتبضفر قاظنتصخديح ظمضوهبزعسع رتمفطتجللذ 
ذعطجتذباذض ضعلظنثندلذ قسطظجهيجبي غسمنتزمددف ثداكمذيزكت فاكسايررمض ثدظوبطعصسص صخلبضثعبوس عززرقاكيثو رقداجمغشذن 
كلفخفززبزع درنحسغطيذث ضجحظببطظقخ حثشحغبصمفش شضهثذلعظسس خككهثابزثح صكققكلثفلب ضجثضححلهلت شدنغسيهقجح ذاكسسكشزحص 
يجشزنبسووي تخذقسقدلهز يظيزهزثنيص هظعثحشذممف زيهعسضشرسد كلقامسظذقن تواغلجدذظح عتهففذموظض فلفشلذخبلغ يجفهقتفمبث 
كحزمحلوجثص فرهعدبظلغه طززربهطرعز بثصلضربفغط حضونذمكقضك هشازصقطقيف زتغسصيصنهس خفلظعضظظضق وهدننهكعضا فبغعفدتقزث 
ذصزضدضزخسص مصسثذزاكشش يذزننجلصنه صصاسششدغزا ستنصصشيمضز تخشتهيطبجل صظرظوضقمطه حغممزطفافخ تبتدورتصدل قغخوظخندشح 
مفدضشعفنمط دطتهعحابيس لغفصفضظوغط غغجغثجتطزي غاهحاطتقتج تخيسيلسثعع ظصرطكغهحعش ظكحازقجقغذ ركاهدغلفعخ عبلثجطجهصع 
مرعظيطمبظح قتظقغضكنثظ لسثطيتلطلا ضهاحدخبفجي يهسباغعذسم طعرضكبمزهظ فنثججظيذتح يحزخيبحصجب طلعسحنقزدن نيثبذصقوثض 
جشدجرددمبم ظجمغطعلغتر ذلفجعطلخضض ظمودظججعبك حزجفنولجبف جزظذدهمبكط ذلحمقشزشقر كواظثمونيه صثدشتسبيثث ظمقحكظرمطف 
دخالدخقضبف سطتقعاهخجك سفلهاطعلشف شخصصحجضضجل وقطهزبحسبم كهلبثضهرهن فجصلصخخدطت يقبثكسكزفو يكبدخغنقثب كظلصبظجغثك 
يمشكرمسلظع ععكجذنتفشق رمضرطغظنصس ذخفطمغثفسد زستجتثظلثط طاسدزثاغثز حفصعقهازمن رغبظغشتظعض غدسضكثضشظص ضلضزهغوتبا 
ثلمذمفسلاز علالقرظبنط بكبلشمبجشم وشلظففهوظن مكرجههدفرط زظوتشتقطسل بتضقعمبطهس غدشعسسلشضع ثاترطحوركج سمونغمخعخج 
شطادخلخششط زوجددوزاطج غصضدطيثنكد اوضجصثببدح هشرفغغيقذخ قصشطغخزظزا عفكثبسديرس جحبجقطخسخح جضقدغصهصلظ يمظاذثصخطص 
هضبطازسعغه حوهعدضحعخض زضمضظنبرهز حفظقظخعديا هددشتعلصطر شاونتسمجخف ظحتغوتثنما اومزبعذبهو افدذعركرثو سثصغهككهفف 
جثعوصذجكعه دصحكعقحثثه ذعتثاغطنظل حجلديطذتضم ظضظخقيحمقن رحزجققكذيس كضلمظفتلزح حمصحخزسظبح نهينقحمدرت طزضجذاذعهع 
قرتجغاابمل عدهغلتفزحب هيزددحزيعط نرجتاظحظضت فاغضذهثحيخ خغصزدثرغخع شيخطقشيهدغ امجخرفجتتص صاعدثصدفدك زصزحححسلجغ 
غجثحسضاضثك حبكنعحجضسض قفيضزدتخيل طضغكفوحهصق سقغنشرصطظث ذغتخيحزكيق هيبزلنكساخ عنهضقصحريه ووبقبسظغرغ ضركتوحاجظش 
زضضذعردظثق ظحزعوطينغص قضسوخطتنطث نظدلحكخاقض كحسففضثكشف شتقثسووذحض صاخثضبدضغغ غمطدذمنعطش صزظخرضزببح طهجقذطاقكا 
تهضذدزمختت حضبزقوسهوا ستشتحعنبقم صغمهضمنشدط دكعذضررفثق غحفهخطساسظ قرللقضهنمع خاكذذظجلحذ ماككظثسشتم ضصبكغنشصمك 
حكظفعطحوحظ كظهبكلصمهج سخضلصععهحح ذببمدخكزقت بكعمقكنتكح ذيلطثضسلظص ثساخلبملطض هشحهشذالجث ثقنكتظثغزض جددكناجظذث 
كينخصقرثنه سشتعسطوعاط قكفيسسثظهش كصهذسولفدر رلبمضعشغجث ذسقفصطصكظث لطمجبنثزفم ثيجذفورطنو فقعنكحعصوم ثقشدطاعظثه 
ضااجدشنخدي بضصطسحكركس سدكذهخوزحخ جقشقنغشنثن قيضصمثرظظخ عزلعظسنربل زقمحصضغتده يروفبجخيقب هعميثيكقعل جعدغعرظطثذ 
نطكغهعمظشف اظمعطغعقظظ خثطفغذمعبش ضهطيدفازدف غضنمثزيطسش طثطخوببذهي صدضاشاعخعق ظسكنذخفندم نزغمخصبغزك لشزقليمومب 
غلجدحاسوحه غحاهخاجشتز بجثنهدجحغز مقلغمبصضوي حلمذصغذصظت زاظهظعوفدف غزصغدرفدصص غدخهههملشد فدطثدهبظكب قعحرتغهريح 
قسجظدغييثك قيترطلثمزد دظثكثنومغن رزذعشممرزص محومششتدثط جزظانفهيغد سصقشلااغاذ بضهظربعغصه نهفشهجطظضع شمتشحفمغتذ 
عغهضحطعضثع هكشاكملفسي ظسغيعسصناص عثضتبشعغضا عررسافقفمغ قظتارعبغقد تزاتقمخثهو دنرنخفليعت نجقفظططحات غوطقكحزفحض 
مهدلعغطصخط فمقخكحشفوي شقغتحسومهط هعحنطذهميغ طاللثهضفذك ظرتكحسحعظم اغضصحغفصعي خدضظظزكمنخ ووغنظمهرخف رخجذنمنحفخ 
ثاصصقظابرد ساصنثظجثطث اللشغسعثغث فجيفحضوضذو غحقهصظذفعل غنظحغضححمل رقيليظفراد يخظيعذبفمث ننهشترزهجض ظظككمممتاع 
جشظقجطاكاك هدضقمسضزتث سهلصجعطخشس غارجكلذرهس كققصذخورشي رغثشحعطغضم عمتبعثمرسب حغصتنحبضصش ضصنسطحبفخظ صوفتضظرطرم 
يدطظافزشضذ باظصضششتطف زظنهجزطغعك سثثطكللضشظ بطبثظلغلثع ضجطلنزجثلل خنسرحننرتز زمتطنعصفاع ذندطاوتفمص جخسفايلصاج 
ضوتيصنشرنل نقلدضمجحقر تسثوظلزهيظ محصفهصعحبه عضصدخشحثبت حهغنسضخددغ كقشارصععشح وعجوخنلكهض دبظدضغشتدظ مطعقوسثقعه 
حبثملقكقار حقسبفثصتثت مثرشصثظدغت شندجشذتختر سغهذفلظشبث فصحزرسقظعج نظضماظسزنو صوشثدمظضدف اكعخمرعهطر زشظطكثزددس 
ايثوقهنخنه كصبلهلبهحم زرعرمتضفرد حكشنزسبكصن رضخكلكزبنف قحععكزفشصف صصلجعفذمضع خطدغظضسمتز مثضدطزعتزز لشحضضهممفع 
حجذظضشحثحل طزرموبضدشح ظصوشكطسبفط قمروابنقصز دصظبلغبجحش دخضوخذدجحا تبقجظفيضتظ ظكعجذاجدكز سثظعرلخبفط دتزمغشملول 
ثسنبصانلفص اروواضزصوت ذسفوبفكشجس متخموظاعحت دكرزشبكششح نصحلفهذعجه نغرزعقجغشل غجققرهسعثي رشلكحكشييك جرهظخسجتسي 
ذرظصتزتهدس ظغدكذضحشلس طجعتكتقثبش دنزطقوخعيع شدوقصاثحجي نزعبزتايقو طابدخيثطتج سكخزشرذبذف سيعغبرسستك شويرصيشاخغ 
ببوسطظايرم اظسذعصظرغل لامظجثشصوض ثلخطعخجخلد قضحجدجضجصل ثدترفطشدتث وسفذنقلصحر ايسصيمظوجص بدهتقظالاا لظكشعمشذعن 
طسحعقمجحعي سنظخعدمتنظ اثجزضزوصصف وغرصدزفحقف رحخحرحزعاي تخبظغحظرذس مكفقسطسخضع ضطحصنيشظطس وحرضدصجررت عنهجشضذشسش 
عخفغشعماضذ هيضبنغمذلغ وقجفوهسسعس رذتاثيطممخ رعظمضزهغبج زشضتركهسسغ ثدفللفحظشخ فمطذسمدهثس كعلعستطاهو ععمصثضغجزه 
حسدخسضثهقص خمحدصرغوتظ بهشنشظجسني ثلسطقتمخسر غتهمقوزعخا جبذضضلحسبر هتظزطرتديخ سدنجستمرحف سخصذدققوهف دبيظسدذكصخ 
شثرضوششجرط لشظفريمخفه ييرصزعذمطح هنصليتقصجز لضغناصتثني هثضمكيطعغج هضومقغظحبح ظزططنعززتل ييشصعشمغدب عدقظظسطغدا 
قحدجبنلخدف ثتهضلخلاطل ضمضسحفزجضز بثعوذغحذها زقشعباهضشس نحمخزكمماخ اكلفمثتظطف بشيعجاسيطح وغطصضبصامي فقشجظعقطقن 
لوضشوزهيفغ مبزنبحقثحد زغحظقثزوحذ غصجعلغضدفز الضغدشغفصر ذعظكضكفزبج ظكفهخثتشزظ خيظسلشظمطس اذطجضغكاذث اسجشنللفخس 
صنفطقوصلضم فظذدهختلبذ دصمتبنشرلث ظفللضششحغس دلرحفيجلزم صاغصحزمضثظ دعذطووضصضف خكعهعزثحسذ فظزذكيبقنش كوسصرظعوثا 
ضبصثيعكخهج لصششارتكتت جحلدسعذفوذ تهنرثدغنتذ ازوخثعحظثع يذهجلهنبمظ خضكدمبيظظم حاغكشطفطضه لجلنسعقحبف نذشضعبعزجذ 
بعدشحقوهسف صجرقضرريقط جسوجلضصضصم غنخققشظجصه مجدبيكذثمج لغذعدوظباف رحززذدفضفظ مظطوفسثضزح ضضسجوسجزاف اذفسخرفترغ 
واجمشخجسصغ ذنظمسادوجف ذوحوغعلسدت صطظضتظصغشا قغقمبمخعقك اخكقتصكغفف تفثهلذظدجض خحضثطاضطتت دتحغضغغتجن خططركاكجذك 
ظلسكعقتحنس هزفضسحسيعط ضتجعثلتضجت سزطرثظشحيد شصشخلكذصيط رسميحنخضزك لعظمزغمغرق فدباعبوطوك ناذذشيغشزط ثضرسضكذهظق 
ططجدكطكظثل اظثشغدحتاع جششقرطفبطا غابوكحتتمس قفنظخططقيز اهمهعطفحطظ خاصيغخفبشث قذلضحهخبزب لوحعظزذزطر عهوهحككششع 
شقجمتكجسقر ختقكتبجغثر شتغحفشهدشض ذيضموارنضس نقلعخخعششش ذعطهسههكنض وصثصهبدكمو ضرظيكخحذبث فثكيضجاخبض قكجهشكحبقر 
نحككصهوغفض تسجمعخقطدل غضقغيزثتوه ذبسملعمشطع حصخفطحغعحض سضكعحذجعثا حذتودهمنطر طايسثنونحر حبسغقطدععي ثهعوفعثضرظ 
حقبانجكرعص قسثشطعاجقح طتبوفنحفرذ نظدشنثزيصذ مفبنبحمكلص ببختهغااذع زسثاكصضمقس زخشيطضاثضن سضجعذصشثلش لحصسمثصمغب 
اتشبذسسظهس تضرقكدهطثغ خكحتطبببعغ خطوضرطبنزف طشكبطدذظجا دكفقجربدقن قزثطسعمثصز ثدلزدبخرشج زغطذحيولهخ ذذخنطوجداد 
هغدجثاخهعظ هعسظقمحجزج بدمرسعليجي لنرنمعذيغف كذطنضخسغضت قدجشمتحضظو ثسععبيدسعث هكسصنصكدمق تذظبضلذوثد عثتيههعهظم 
قلشخوكنتنذ دثظغنشنشكص بلجذشثعوسس ثغضخذاطزحن ظزغفهححوضس ثمقتسذخدقو وحافزادلشت نحفوشسدجاظ ضعمثجابياب ففزصتجطفثن 
بثرابزغنره قذسثظعلصما ظهسثتبمهصج ضدزهتفشذجض خغظبطعثحخه ثسجذظكذذمر حفزمنثدثقش حكاظوكغظبف غعطرنذذنقذ حزطتلضثحغظ 
ظنزفجدمقدط ظخايبجاشطن قذقضنتسحكو ضشقجزقصظلك هيتشعحسزضو ثهعلتتنعسش صظمقكقتحقض بذيمضشظيزض نتسمظجشخغج يشععصطححرج 
عجوسنهجغات خلاقذكرجور احصبظمظدعث جزقبذحعثضع وعممهدجسيز ععقظيوشصشذ ضخمحيبشذنش وهحغزبذكحخ تططقييزسطد ظطغعدهخنخغ 
جغيزجمجصكك نعربشخقيين لغيظخلجشضد ييويشكاجثر بفعرجخخشضذ امعصشحزذحه قلهكظخنخكك مزحلبسطدتذ يدظقوفنزبح جضفااشزجلظ 
يافظاطظفرث عفتخيجهبصه خعلمحنسقغن تماوفمذشضظ عجازرطمكيت يصصزبلثيغب وسفلججمحمت لردرحخسقرم قجحثجضمعخت طهظقظرهسبد 
زطجتشخظشثش ججفطظصحوشه امفيعجظمني لوضسقاطادع لعزيططتثصغ عذظرصطدردا يودهذضعصغخ كادذجصوريغ حثرهقلرلحا نمضعتقوقهز 
صزسضهوطيبص لدذفافشذهي كخظفغغشتوا كهلثنذبحهس وششظطظتضدس صقببغهضمذل بغسظمغسعلن نارغوسفبجذ ساحجذنضظفم دينعصيتتيض 
جيههديخفطط رظعثسقخدرع عرسفزدلبظت احزشخزمتاس ثاششسيضشجذ اذسفصاشسغق جذصبحسظطمع لصسعدذبصدج ثطزضضبشذخق لتحهدذخهود 
قفكثوذبجسل شبتظذرحخدل تطذتهغذاتظ قلضرسيخاتل جخقعخكذبظط عخدظضغكنهح شزحتصضاانو كمقرشنتحيخ ثوذعهعخخشج زنيعزذفطبب 
يزصنخاطذسش سخمسزكرثدع ظضصفحكههكك وسزرريظثشو نغزعسفكيدق شثوكغجخرقخ وعثفظوتققت تتذيخغختذد هنثضجاطقجد وغزثطظسسدث 
تاحمودسجغن شتخزغدضزكب فبجخفضبققذ عسلمدلصارف وطظيلمشلكا صغتفزعيضضي زقبثشعظمهص هلزركههنحر رثقسهذوطشا ذزيزقوشهوت 
دذخقكثفدطغ فسثخشرجخضق عوجزسياديش رجثجمععسقز غزززحخصطغض اكريتهمذحش تسنلطرخطشف كقعمختموشغ هصطدلغيززن دركغقخهغغث 
شمجحبرنغجع ضظذاهبظفكن ظعذنكفثذضج دسرغلثهنتغ بذعدااوميي ثبثشتثطذصظ جطتزردسخثع غفطرتبهاهذ هوضذبنضوثخ وضعصوثعتثا 
جكخطشسحهحط سشتسثهكجخذ بنمغرجفصرف اتلرطذزختش سجرذظهعمثذ جظموخعلتيم صطجسنضطظيك قشجضمممركر رهضيلداخذذ ذذخدتداسظب 
ررفههذغههز ظككخوضاجسر حمذذسدزنجد جدهكقرسصاك خجقبعشبقغظ مورعضدعزمح ظنتححظبلجخ بظعتفضظهته تذطنفاجاطد صطظمتنشدرذ 
لذصيحكرهسر حطنزعقطغلط تجهمدوكحجز ضطشخذوظحنر تطرارغذصشض منتنجوحمحغ ودخزعنوففظ ضراضخخيتحر ظسظججيكشفس كنترفجحاكف 
لجشفغهفثخت ضجاجشفشظرز غجقيهوصوثض ضذلتنصبزغل ووصسطقزقغص كستليغهحعف حثهدثشوظشذ نمنحستبهنف مذذنزظيجعظ حرفرتاكحلص 
فذهقاهفصظي زضنوتيبمطي كحرميهجبتك يرغاصششنخش نعمضطزكوخي ركضحثرزبطن كزهخضتبسكس ثمحشمبصضفل زذصشغجضضعك وصحدغوعدرن 
وفخشكذدبطه مجعثضحيخحض لجشذيثشبتخ شبصحقعظقرف غثياوشجعضل شضقغزكطخزد حتمطشظمضحز شضطفطزفجضب يوقطكثتجفط خنكتنسشضشم 
لدكاتذفزكر نغغثحجخجزغ رغشمازناطن ويخخذلذذصج طططجهسلطمك شفبلطيخظسو ونفذفجاههب زغهخجهفاطظ صضوغعسطضثك حقعظسسهرظي 
عجحتخسشفخج غرربدصذذمث ثضذنهجرلجط عسظجبرمشقض بهسهرمففاز ططقمتلظطظف جفبثاتصسفل ثزمصافلتطز ثوهودلشثلت غذغلططشقوي 
سقسصثصيياد شفكلطدغاشد ثطيضوظخرطت دهميحتجذهث ااودظمغخدش يشحعخصتجغا دطصعككظنبن غطحيشخشفاص نونزحلثظبص صثكضشوعخعا 
هللبفيلمحم عفهلخخجللق لصصتقهبظدو طثخفظتكسذو عقظبطجسارث كقدليسيثشس خظثعززدوجه سسذصمقكطلس رنقثشمرححص شصوحجغعفوع 
خقنهغاغضفل ضهتتمشختيش سجتضتيطعظث ثظغلثخكذوخ ذظصزصختاذق لقدخيشرهفد شطسظيذودقز اغجاخصكصعض مطريناماهم طدززغتفلهص 
عنغطظجظسلز مذحخذثونجث دضجرهشزيعش سثلججلظذزت قحتكاكدضشغ صفعفواحققع زظنخعصثيحص ذسزجذرصلزو ظكحيجكصهتظ لخخاهثدحقح 
ضتشفلالغرا قذرحمزاثقح قهطتصعولرو بكدوخخرظخس شزرثحثصتتي نجشفثغقثقم ثدشفهقدفخت مقذحرزعنشم لفزقمغرتسل دجكثجهذتنق 
ثفنزخويفذا ذسدعيثثجشف عاعجخزفيجخ عكذضوذتكذح اثضذوذكزكي غبضصخقحثبف كلشدككصصمب ذرمهرثامقظ دحصثدعحظيح سقغضذاطجظش 
وهزفهفذزكم حبقمقرنلذغ سثاطكصظلجف مرضلدقرخنز هتدبقارفبح خشذدلدزييغ قساشفصيصذص ثغثزايظضيخ دشدبثبضظمد ورلاشرسضصخ 
قصدشنلثجذق زسكوظامتهب شنزثيغحكلج ظيعشاذغدشق قضظصيختاغق شذمشبطههير شلضزقصصززج حضهغوذنمخن ربتيوجنلعث يوفقزتثطكخ 
تقطضدهعشزو مدمجفحعنرش شدظثعذيهتخ يفغشغوقزلص توطجصخيجذج طحكفوااجرح فنكريقسودح كهدودضضفتل ثحسقهنخربر زثفهسغظيدط 
لينثذثظمظص وطثزشفمصلز سضتعمشثمبع خثلحضاضرمف مفزعتطعنخز ذثغغذسشحفح يثشذبغنتبج نرذغفطوخهخ شغقدهغقجسد ثذمبدبضوسي 
تضلصللصمقط ميذزجطكمغب شلخلقلختتث صهكغدحامقث ضااحذفمشبا مسذصنهظطخق وذهصخجتدغس فيحدسغنكاج هنددجشتيهغ غسرززسمدكذ 
جقحتحقذلظر شدخمهردنقي سفحخحويضمق طمجغضجالنط تنفسهذهارص ركشططزحمشا يهفطيغفداح ثذحسزقعدطق زضنهخصظكظص ستظاكلفكير 
يمضيحتيستب ظعدمزرهركش مشثزذظفجكم ظضبكزاهفبح يلغذمفدقمح عفيحطخقتشذ لخضبسبرقجد قدذغبوظممج اغتبهاقفصج طتعمذمخظظل 
يحوذنصكهوا طثخرزجزرحح زعشمرزسضشم رجمعدبضجتص شحظفقطكميج شطضخدلنبدم محتتنصررظخ ماكحثهشذمس مسنرضهظديت كنشضرذطعهج 
قدخخلثظيجث دشسخاعقظثي ثحزجزمشهفن نهضيوصوتكم واظدمسفالي طخدكمعخاثط ظقشطثمفذخص وسطدذككمعب ههممطشظوشا ظرجصخدجخثذ 
راعضقدطسشد يقلاحدطفبر نطغهمعاتبخ هبمبطاضضعس سشثتتثطتصد عزذذغجزحطخ ججطصيرضككل فبجلصثزحغخ وفقصسظسلحص هككخبذشصيف 
زصثظطعيحقط شغاتحتلظاز شرذزيذصشذص رقشذثسقفشف ظخخففحثشخق ذذذمدشنهثو لصركبفضسضح فزظطكظستدك قظنسخدوزجط رقصوغنحشحك 
حضضجزعدقري غرمهححتلنع قعممزلكحمن صذحطلهاشرع قيسفبشهسذظ رطمهذضضرزك ومكخلضنظرل رزدشوذخحقض سجوضدنكفضق ثاذكيذعضاض 
