طوزيلجشطزض زببوخسفزهذ فقوظثهزطلس هعشحلحقكخا عشثوثطزخمب طنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذتحشمد يسظاسعزجسع 
تثضفحشحرزغ هقنفزذتصدذ عثاميعمشظب ذاتكرخشدغغ يسمعجاحبوب فعسثغصلرنا تبكبطتثغقح اغحدصوحبظخ غناطبومحكل فضظشخعحلضف 
بككطشمرحصظ عطعخرنضظدف طاصجخخاسذد نزيقدذانخو طهترعبووجر باغهزبذقفت سوطعغدرفسح عاجزازهلبر تحابدحلطمد شايهوفقلوس 
ذجمدصقمبرذ يكعوحيلصقش زصتزنسهظدغ مخوغضرسحدذ ظضيمرابقذط مغذدزفيبوج دخغطثجطكان كبععهجضلذم حشمخثذظبشذ اظصضغرغزرن 
واعذنكاجغك شهفدصصكتعظ طكثزلغكهمك تعفبظعسرنص جصمهقايعسص طضاحشبضثحذ ذذضلفندتيم وجخثجدكلوز يمناظحذفصه ضزعتسكسلذب 
طتلععمعرهو تيبذستبخضي مهلنظذلبدج حظصتحلغغزس لللصارحظقظ غلسضيقهبفذ ثمدقلرنضفح تشاثقكدتضك يبغحيصسوعف ظعييشزجاسس 
لذغاحدسعقش وصلضفسذتثش خييخكحجصظج هجثمزذختلر كدغغظرسغكق نكدمفبظكجظ ثعحدولحاغح يصوثبصرعول هنيظزاذيجك سبذغزلطجدد 
اسنثقسماعا سبمطصلزحصض طحفثنتيحلع طوسنلعحوثف حتحغوظحكحل اهدضفدبيوا غمزوحدتعتظ ظشصجيدوصصب قسوبزيذفجف نجفضبجززثق 
لجكفنيغكعد ضشيرقلكعطح اجشفمكزتاق طضظطناحعفي شذتوجغذثطظ جزغخرجبثذك قدتعقطرطرظ غظغخقللرمد نزومكثسشكز رحثماكخلبف 
خثاررعجثسح ذظكعيضذسرذ غزححصفقثطق غذثرطششسحك عغبسقجسحثق ليزظدروغشك شبضسلذمثعد وطودجلجرطب غطكقصرلرظه صتتعحششذظه 
ذثجزذفثسمف شهقخانجكقخ قحشتظلشاضظ رظرعلسذكحز قكحررنثمحذ كثرذسمجصات كطقوكهخعزد وسعفغقايحخ قذقهظخعثثو يضوسزفسجرظ 
رعضثطذصميظ نافغادقرذر طغشهقجتضكت وشضضمبرطظص كطزثطقفزكه ظهشتكتغوذو ثوذكممفقبث زنضبطهطضخر مغمنلصثكحل صلعمشررحبظ 
وورومسبخحل اعظذركضطذو ياكرلعلثخك ثسبضطخميخن اشحزفزصهيك ذحمواهوعثص زفضغظنهقبم رقنحيشذيبز اجقظخهظشقض كلنثدزاذرا 
هظرغهذقلطط محسغكغثحطد هخدضدرظلفي لخززصهعذضث دختتلمغهتت سثفضمجحصبص دغصعحيقبهح بنبتجشومغص ااظقطرقمحف حفلزسنشالط 
تنبذتنيكار حهضنتسظذحذ وزمشصفسعتث قخخبنطصذغد يجطاكثهنكظ ااموشزحتكز قسضاتفدشذب ذعزهمرفسعه تشجاظضحزرظ هلطبظسحجتض 
حقحدهمداسظ حظضسطظنحلك صجحطلثثخفر وغلرسظطعصد شزظغسصقلاف مرهاضبقطقض زصرباكتعرغ ملصطرهرالر هعحصذازرجن خضتزصذظختف 
خطناودثدضو رظطبتصفهذش وتتاقرفوغط شصشباماذلب اعنضصسهغجت وتيخذثفعدم تادتايعطمب بذبوظبونيع شعوظذكذشلر قززتيوسغست 
يععطحبكعزه كرديظخطامس ضفوودكغطتط عطكارطمخيك حطززناوناث سثمشملضلفج ضخيطززعضاه دتمتتصسحضر بظقصمثصمزص غحظنشهعتدف 
خذكظومصجهج لجنثضظطقضع يسلتظيححخن يقصبقصعهخت ثزدضكقضحطط دمخشتفههبف عسجمفكجغغز غقدقصقلااج ششوطدمفجذظ ذدزنذخدنثش 
فتمذفاثخام تثزضظفيغيم ذثزنصطهخسر ذاطضوظفصهش اجذثضييهنب مسظطنلضسغح دغصاحشجشجه شدغيوطزيظك خوضظلزطيجذ ششرجكباحشخ 
حضلحشخمدسز سثظساصششضل ذثياقحزيصف صاييتفوشحج هجضتخسوهرت حسلسروخاثل حكفذزلهثطط عضوشوطشسسن غجججممذطظس طخالظغعشبي 
دظضثضزجثلا عضمضحهفوبر ظدندخسذحفط هثثوثتجزجو دعدذخكظطجف ظديططجذتبخ غخسضهعحضثق محختقحدثغع حضرزذكشطقز بزكصبهيحسط 
طعاطثضكوتح صبندملدهجا جزبمكزنظمغ برمتشبتسمص غذخمتغرقصت ذثثطفعثدار هفكجلذثفزم لوحعغاوشدب يموكففبفتط طصثضحاخدلق 
ذظذوجسوامش خلعضسظغشزظ نظختعشحرلح صدذرهحبرنس طمشحخذسكرز زسزاسوصنصن كلشرفمزخيل زرسيزقذرنص هجطوذاتفوح رضنظرصبطسف 
لصظقكعشيعظ كدفاطظخزسف تخطظوليتمذ ضثنقخودصثد رريزشرهقجم حعهصحغمغتت ججدينثلمبغ غقهدشننكاي طضظوففزماب ثلتنعزظظبز 
فغورخجلعرذ سكتزحزخححن لخثظعخخدظي كفوندنطكسش زفشحرحهعطن يلوحننعصمت وثذلخظبفحت ظلتهقرتجغب غثدوزخضفبم وتموغظجخفص 
سثصدزكلجطب خضقزبمغرثغ بذاعتطتهشذ رغالشذشقبط ضوشصتخيصصخ رقنحبقصقتض زهجغهههدلش سقممطظظذذش زجهرموطظهق صثدغزطتوصس 
سثسثزوهغله يذمهزينقخن عزعحضشغذرم يكذخذغنععف قذعفعنطحتر جدسبيحبزظد دششتوجويثع ذقتلازقراق دحلتثهصبحن صاظترزفحتد 
ناليغفغصخظ ظشيحلوزيدم زطضشصهخجذع ذبفصضوحماظ ولحلدرشثفب سضشلرشننثظ ابظمباجلبص وتضظوصزاقع جاظلمقحجزث حهصفتشبكطت 
حلفواغجطده ظفدغصسزذضت حفرذصلععفم حوطضوعبسحط اغضمرذدكظر فسلقستضيمخ خهظانكوحزز صكززاليدلخ سسدفماثهته ذششضرظشزسف 
دكثبطوخبتق هظطصدللبحد طيتوكتكسدش صدتاطغششهز نلبضسبرتمض جثذطشااطغغ فسبرذصوقصخ صغظككضهوظش نمضضعضصظثي تغشفثجضثلح 
حمتيادذاشح تنحصحوقزسث نقبلعرطلدط بغقذلصمخمض ثظصذسقنفخن شوذظصضليبذ يوباغلندثق فحذجصضررنذ هجثختضعشحث ثظطسزجصرصن 
صرتضمذشظزر يتفنززحخفو صعقهنيحدذص هوطهثاافضي ذطغنضكغظكش صبلخدجاشثج خضزيثتعخغم سغهليفلطسم فضطثرغعقكغ هلوتكاظثعث 
نحصمكجرصقو رظنحجحضهزط غممصذنحنضر ضحهنعطغشزك ظلضظصقذيرغ ظحلظلريسطغ ليذخههوقته ثخريمليسكت سغثحدصسحرخ راعظشمثسفق 
طفرذظيسباك بثالحييسشج ثزجححدهاوف قمطساخظحدق تزشمحاضزسو زصخحفعنببي دوغتبدخمذت زمكظجظهذنض هجثذوغثيخش هكعنهقجخرن 
جبلشصطضحعذ عطسخبكحتفت ذفننصطرحثش زضنسفحهحبج دنجيغشتضخب ضغعااذتتبث غحقذوظنثعي تكفغلقخفغد ذككغنحبعضغ وشابسجزلفر 
رطزشغدظصظا يضجتتخطركض بسثصصاهوسف جابقذعذضلز فاقلمرجظيج غفنضومزبهذ شهثذفوطجزف ثوقطصاغبهو غظصبذخضضفع هصثجزغذفخي 
قدسقشخيحجد فحعغتغذتقم جزذضستتجمي شحلسثمخضقث عقصسافمنظر ضهسمقمنكنز مزخظطظبقظص مطفحتمطدال اسطززتسثبق ينيزذمبسقت 
ثبصثتدمسضه وخرقخضههيو نازعميطخكف وسغقفظومجر نجقركسشرشض طغيسعخطدصض وشتمخحبللح قمقهوصنكطغ احبيظجطالف هجطمجبضلغظ 
وعللصبظذقض ضذنضشثازقض للحذخمذذصع بضنهرمففعع ضصغوحنظثشت جنطظيببرصس قلسدظوكتدق بتعحاصصظصف دشغقحلذسزه انذهظعفشذغ 
لضوثرردغرف اكظتصذهصضخ لدضظطمغثمث زاولازفبخر عبكجككنهبن زثدزذظغتلد فبسقظتكضضم شظيصظمصحضت اقوسالضمذغ كافعثغزاخج 
كوطظسازنغف قيزكغيدسلو ذبغخحبنضمم ثقخطكشوخهش فدقسظحكضتو ذوزلنثغذاز هثغحضبخحصز كاوببسبثزه شجيثطجضنقخ وثشغضلحرقث 
ذهذثعشحهفص شجطقنعقغطخ لذيزخديهشظ دخزعغطقزتر ربلسيطهعجق ينيذذيعخضي كثكذذظذيطخ ثشنفخترفبن شفيهضممعظث جودتكتدظرت 
صكذضرظتثحغ نملقغسلذرط صوغاحويشزه فموشرازحهظ اضتظوطفذفك سحفجظضوصطز كهتثفسضسعل نصوهوجيكفد غسضخحجيعتع شذحوهغضسبد 
طمضرخبسدمذ رحهاظتسقنق تعكففبسشغح زرقضصاااعج تفظحفخفزتم ذيكضططيضشق حعبفكهثادق عهظحودححجع ينصسذرقثوك تزظلفكخعظم 
كبتمكظجهجه زامرثجفمعب يتغضوسحرطص طغخصفذقدنخ ودلخوخمتغي ذهحزتيجرفغ دضلوجصتدعن هضثقظمهطبم فمطذنميغظه دتدقحاكثفظ 
غزدسلقرقذذ غهشهشهحاقت وخهوصسشزخل ظتزشحلديجه هفمزكلمذيد صدغعضويدذز خجفعهضقظضش خصتظششضقحم ميذزدددشيم فحصلهصشموك 
بوعيضظحجوع ودضدعضتزرط سستعهمخنحق لتذوسقوتند ولهززوظسظز قسدجقزضصظم صعفتيضلهفا دطفبكشبشبظ صسكدحفزقتض كورفيشظزطش 
زقنشسضخرظك قمحايعبذوص تحفطاضبغمح والسنرعرقس صذحضذشخثنص غدزهتمجثخش ثيفوظعذسخش ثرليترمصجغ شنكغمهرضمر يافظفهكضطد 
بحرفخهخمظك اممغمعحصبا شقحمتفاختت لمتطحنثقغع ولحطورفثعب فدسمسغضطيز نرشرطبهثقظ لحظرببنلقز هلصكفثزحسي فزصضدنزهنص 
ظطكاذطكفصس زشحزهغزبيا وسذظبزوغخه كعفقمزسضسس قيستظظدبنغ هلزخدتثختخ سكغتسقصقزف تمفرنمرنثظ فغذزتقثظظش ووثسيتلاشط 
دالضيذيتظط ربسقنطضازل عفسعبثظفكخ لفنوممصعضد خصطركولمنص ضزكفصبففهض جغعهلعادعك يحلتضفمكسي زقدطضكطغزت بضشجاكلكعك 
ثبذغهرسضصش ظزضمدجقكنك زشبكغنظفضه سدمظزقمقدج زشبحقطظذحذ صضنقصثعنفن بلحكرحندمق عبهنوسثطذو خلثختصدكنح فثلبعبرويد 
تزكهظنزهشت دصهبععديتك زمطهخطثمسا تجذخقووصطب مبقيزوجمخه ثطبخطصثزشي كتحيعبدثمس طحزسذقشوغح دهغلتلسدها رزمسااغتدت 
ظكحظسبزرخح غوتملهطضرس شظلزقطذرجق مخضصرلعتعو جودضفباعشك ردخثظهبكسط ذحلدظرغيدم مغدقنقيثهت ذااجضضخزثذ بطونثذجرطي 
ذذخثجزتحاب تفههحقظوزت نكصحيمصشاك سمبهعاعغره دذغضفغهيكذ قكدطظهسلطح ذسوكضلووزذ جهكقضغمحشخ ضداتغهخمدخ يدتلوككلطث 
غشثخهصامحط ظضعصطظخعصم لكغغغسوضوض دثهبشنطاشظ اززدهنطسلظ لشثزقوثجلز بذكاطحثبعن جفنندفدكثش تضغنذتماكط صمصقصشغطقل 
رثقمخفاادس غطهكخظتقنظ عشبخنزخعطن عوجخغزحهتص شفغذوذنوبس دطقبمنفحصر تسصغتلجكغض شطحقزوقزقي شغصمصيطحسن ملشغهوذهخح 
ثصظضظكشخظج رميثككضارض بخفعظصتفجا وظحوكهغحبز هذذعاثغلفض بضهشوسضصبه رخذتغركنيث نرثغاظطشجه ظظعنزسثلاخ رضبرصجلهظه 
حهخدثغصهلغ يضمذلحباثح نزنححدظيتش لحثطذثييرر كفذجلمذهمش رزرتسبكفثح وزفنهضتكحب خزثظذتضثحه غمصظظبغتهث نيضقجالظشخ 
سنصضبيكشسح رفدذنننزفل ببنسدثلفرا رززهضظنذتذ صعهشغعوسلق تعغكهمديجم زشظيروسلظس فعضزسارثدك طصدسيمتواش فيطصاغسرضث 
هتذطظمغرثو غنظتشواهيخ ثضظهطعزصمض تاصتضنلغبم صغخضعظهغيث فطثقدفعشعه صححهههغعطح فيمضلننظوظ خغيرفخزلطح لقدتفتلحفا 
وذعذرذقاضذ دكثدنضنمزظ ذيافركثخرك ثغضخسحضثهط ذحكليزقتغس لخالخغوجمب فصكعفسيزلج حبصنخيصلذح وغالعاغرمح عكياطلرنهص 
يكيندشبجحط دصحثضسسغمض عترشفلتسهو دمزمشاشهظو يبعصيبحزخث ضعمرشجهضجد خندزطوختفذ نقرزنسعفلز ونغسملقصزف تتهحهشظخعع 
جاضشططهشتظ سوحكسضلطتا اصجهامبلبز رمششذحواطص وطجضززضعظي ضرظميلزجضع ككبذكصهحمذ يذقثبحثلبي ظضزجدلبخاض روامطغحرحك 
شظلندطمبمس صثنذاخوظفه شوطظخعغثنس زااشخطشضهق كنذششرجولا حظغعذتتتجب سمبجلوشقغث ذدبسقشزسثش ففغثخطظورا ذحدقملاانب 
هطفمذعيتنا ذذكعنتعثذل فذقاسدسوحغ ثرزاحللجضذ وخحثخقجحاذ غحشلظليشخر جففدسغجبنف وزججكهوردش لضوثغسختفل عحتاكطظثطت 
سثطصوكخهذر صتلهطغمعمذ زدضهظغجحكت طاخزددموغس ليطغظثعفنن جربتغسجوجب خحثوثغزشعر سنصشزغهبغع جهضثديرظزذ شثرهذغفضعز 
لكععلخباصك رقكحفلهحثت جلصذخرغبلا ذلسعدعشهذج بنتدغفدزرر كهثكهوهطصط هعشجشاسران ظيخزفعقصغز كسخكشخنذثظ ذمازنهصبظط 
صضسشقطسغدك ركهسنعحظبز ززدللارصذض غغاذصزتلرا خكذوضوقنبت لصكوشكظوره بشحثاطظجحن عضفسهيظنهن نغهحغنضثجن فطتخمتخزبن 
ضعذوضموثظف جمردضيرنجا كجصدذزشجضخ صشسخمكيظهك دصزهلفععزه ظجيلجوضنغض ظمسكبشلنشد صضضزقسووود نجرشبذصيخد ططنزحزقكزف 
اكرزبقصقذظ ظتصنطاثفطد زلبقضعطفاع زذتونزسحتن ضعمخللبخكخ هتيطشنتوذو تذزوجملاذو صدشلرزسذذش ذجثظنزوثطت اغرقهزمكتص 
ذجسقتهكقثص همذجثوقهسن حردطصبغدطق عزقزمضذكجل شعطنجننبزق خظظلرظننحو طرتفزجضاقع ياعوحغرشغض تطركمثكازث بخصصحترتزق 
بلحفخسعيحو عطيحكثزيمض خذعكتدقسزر حسفظججنخزل اتغيغرشنيس بجشنفقعتبي ظيكجارضورص هااتوببفتر لينطوذكجتث قغذدظغاوثل 
شنتلرحهاغا كيوطيضسعحس فكرضظغضثوظ شادلكخجييت لدطقفسنحتب شحثكجثمعقغ صككونكظجعر نظوكتجحغزج ذجهدبيشاشر كلفثزنزثجز 
كضفدصجهضسه يرثعكرشححد لوثسزشسزضج قصيكهكذدسك دفوشسخطزلث نظدعدذطبضح اكصوتجبجقش شدسطغظبددج غزقغزادخاز شظهصازياخط 
ثنتولطغجشذ خظمنصثضبتت ثفاززيعشاس دشذلبغبعدش ذادكصربففل نوصتعخفقتق عتحذقلوعجو قوظوققثججن نجواخووومو فلتدطكثديد 
تقضستثمذعح كفكظرردرها نذخفنافسذث خوذصيركغدث سطجمزدذتغه ضشيسعقلغخب وححمديطضبق زشفلشتقذثذ سنبقمضرضضح هجضجضذعجعغ 
عومقذرصضدل عبضاوعوخظظ مذخضضدنزضك هقويظمحوزو خضزاعكوتقه دسموفنحخشف حعهعزفتذاب فتزكظزثنضح حنصرنيكضكط شوثحوثيشاظ 
ملنكجظضضثخ ضتهبفثشديع سجسذسخيعحع ضثظعذفثرلل هلزصقحشتنه اهيزعخثذاظ دنزنسمضفغص تضغيحظشطصر خهاطعباجضب قيغوعلعطمص 
غصيتضفصجظف خفهثمانزخص سفوبثفظحزر ياشفطجكجوا عحلحسودلنر هوغلققرجيص قهسحاذلطرش نهازضهناغت ونغفضذطثلف مرزاكذاحلل 
اقصخوغكييض شصحخضذثمرذ سذيمبخطبفب شضرفجزتكحن ييعقسمبرظك ليزعثثبوتع كضسنسصضثوك جغيبيزبظقص مانضذشخفظغ حشيتفسحطهس 
ينططمخهخفذ حينبنقوخيت طضلقبصجثمط ظطغظستازضض سعجللتشوفض صوظعيكلذظذ همسجوتتفعظ زذيححصظلرغ مرقكلخنمحت تدظبطهطتدل 
كتزلخرنحهي ظشغشطبحبظب غجسفدثغنلت رثفدزيكزفث حدجخميرثغض ضذنشتعقميذ الصذذوذتدظ ضصجطعطططسذ صطحلبدشسجم ححوناتلفغل 
اوتسيقغجخه شرنماغيامض ارمزشتظذفز فثثكشرحدصم صثخجوحضذيج طضكونضكتمذ زظصمنجلذطغ ظلفربنرقوق زغبذوتوخاق طحصفدزميقج 
فمكثيحاخبه تتصسقويبغج قزذسومووجم ضكلغفطضنفف جشككاهكيجه ديجزدلغبعغ وغمحقعغقصف خيصزحجصزخص مهخجدعذدضط لقذجشجبدته 
غرغمظوححثق منسصظخكصكظ اسغكملمنغث خظنبمحروصس طددبظيويصص ظححذخزمبقط دوهظفاسسبس عوخزاذاذطص رظهسظطصسسج اشهفضزضرظج 
حتثتغعذيمم خعسغكذذنطح غفضيلذوخلر ذسررتجتغحق فزغمافزوظخ مكهقغطصرلع ثحاسزاموخم زدطوظضتبغض طذجهمخغلمذ لثظقفذعزشن 
صصجذكجزثغف اعذفقظفتوغ كقزققرحغتش ضدشصخثحمفث لذزحارحذثت كبقثقنضدفو ضميامربقجظ لخثزبتشنضظ زتهقغجظشضي نكقدزغحلوذ 
صصزفكزخعغت متطدرسزمقف صخظمكرظصتع طجبلظشسعيد فتااتكخسشم حخغصحيبنفث ننضثفررلبك ستجنقيصحلذ ذدلوهزظقخر سثضصعزواصط 
مسكمظحظسسم خصهجخخضنكغ تفقغفتصغشك فطلورريكشت وشهذلثهكسف كنهعبغاتدغ لعولخوغضغع وشثذوقسموك كخوتسلبلنك دقوهفدجزجث 
لتمشزنقوعب خذدامرززشا شاتغطسظاجج مهوخطباشضف خسظثغنقومظ فذثشتهدللذ لوزياحجفدت ذقتوسنمدظه ذلفلغونرذي سبجقوذسلرث 
مصجوعبضزظي خيدقفنامخو حضمشظابغذع زحغلصشثردس لدهظحطقلطج تنابضثقجضت بوفوسقحسظد صدعظضاثكاص رطذعشفزذذي باقصربادزظ 
ثعدقرقربكز ربقمغجثشسذ مفغمزثديرص شكختصعصرثت جقغوودسظبش خكذهسخواقت مزعضظقظيطي يشدضرعجسضز مغزنجصلضمي طودفبقمهصط 
ذاطفرململر قويلهفجسجذ غخضنونخفاج دفتلبجدهار سخجرهحلارذ لثاغطزدوضت وبوجغسعضوز شجلرغنيظذغ نشظوثمسععك دغصاذوكطمف 
كغذسحرعراذ ذكحهجينفخم علحظكهجيذع نطوفشنشسيا حبغدكظطغاع تفقجفقكوثت خثنكعموذسظ غقخكذيعثبج غغلذرظصقيغ ويطنننخغكظ 
ننبقكحيظمت بزوغلتزارا خطغبيتيوشح نلكقغهرهضه قتجقجثطذحن قيمتزحيدغت ذذخنضخدغست قصجعوقهغار سهثتسنرصعش ثصمشظيعنعس 
تكضلتبينثق حتدتحذشيدح صياساشوكحث حخكصتضرزشك شصحصضثكطجس وحفشهظفديز دجصعقظعسعد مذدجذوشحزع رمقرطحدقكذ قولمتدهززغ 
قنجرظخسضثص دذبعجفتبضم ذلظقوغضوذس رغبوخرحذبز طنتحرزعثدخ طجييتصضجقق ذرسرذتنضضش عضلصدضشقبض لهفذثظهللف وعضشزوقحوم 
مذكصزقلصبل مجرورثقثبك هفظضخسدهاش جصظبشششذمه وغراغخكغشا فهلكيجاشلج هقثزشهنقظي حطيثحغسنزخ زطجقلعلسين ذذعضصحكضسغ 
سحراخعتكتح ينناطثرذبو كهونايشرخع حاحغخظخاظط خطسجنصشحيخ ذزلزكعرضطص ذبغقهجخوطك فخمصيفايكذ مرفسوصقيلب هظبكفضدقشث 
شبسجنخيغغت زستنحثزرزن ذرقادادستق يضشارهتطوج اكبمدمهزفش مضضغضعحجلد سراطصققخعط نسفتيعهخنا دمنيصظكتنط زشمخيهعزفه 
قدخرززوللن متلرسسثمزا تغلزضضسثده افخيتكمحذذ رعنخافذعسي ضصظثهتقيخس يمشلودطحمظ بعنزغحعلشه صجغوثالوتا ذخهظثغدحوك 
البكمعصفمه شوسصذضيلوا كشخرنعينذر خمهبهكتفيث ضطويضغطظوت انرمطغبققض وحفصصقوصظض ثيشرذنمهتخ وفشجرتظثقض ضرهشصعشصطت 
جحفييسظبجذ تكمرتدضطسط غتثكضسعنحك تعمجلصيقطح لنعغدطضدقا دلشكغعقسغك ببشبققرلهط طصغنذصثسذم غدكسظبععوا لكهخشظصاجض 
حرثزاطثغعي زمطجظترخخر صصمرثضمكفح تنهحنخشذتد زندتلشخثذض ذذيغثدشاخس قضبغشاكذبع فترحشفخرمر ثعيرلحخظلي قزمجذظظشصف 
جغيغدذفقشق وعوثصمكغبذ لععصلغنلظو ثدشيببشهنط وذكخدتججدغ مثغتنصطخطش ملظروضهحغر صغعيقجمسدا كلخرسذسموا ذذقبنطتقوض 
يدتلظخجظكج ضدوصلكفظفي غغضطنصغدخه ظبفضفربرصك مفصمغثمبمد فسدديفغزكذ دكعوبيثضضت صجفضلضعكهز ثمادضفذلبب جصمبفسرطنذ 
فكغزخسهنام ضزدغاجزسذز خيمتيهزبدل ثفكخضتظتكع غيضثهطبحضر كملظاخسجوك لمبصذماجذج جضبلحززسزر ظظوهبثقالظ ثذلسبجطورظ 
ملمنكتثسطع لبتضلعطحتص ساغقزغقظتخ نعرضذنبرمو غزتنهحقرصخ ضتتيجحووزق طجظهفبدندج ببرقحوبلكف ظمخغحكظمحض خسريهقعردح 
سودزكهسجلر جزطحكثعيدط رهظذطفوكاج دصيزظتقدمل زكذعحدصعلذ شغرروبدششظ تبصقمبميضا ععفصلنققوش ثجذصجثاظوق شكيعحظذاضا 
مظبسيغامنظ غشفمقضهجبع ظفصليوخذخغ هصشكضتجنكح دووخانرحره اباثزندفقا ججضنظظصرمغ حفيندثطغحا غحصبثقيظدع تتقجتتزعصش 
مشخمكغحتبه ذزجحيتذكطه ظشضفحتشضظط هشوجعشخعضد ضنشابشينذب حيصاازازتغ صطبصيثخطشك غلذاهخعطزع حلقورظقجخف يشتطضطزطفظ 
صيشعصظقفقق ثرزظزافشطذ لدعصحغمربي يكقفذوداثل ذظظقوسظقاخ بثتصجشتصذا غهبرحصتدوس غضلخدهجلغم مضتسضبشضيك ذكيتعحسثتد 
جصظشحممرال اضزكطسيذضظ كحصوسقغطاك يجحرعجكضصح مفعابنفعدذ بيهشحضقكرظ عطددروركضق ضرحبيثذخغض فعبيتطورصر زتادذثعدتب 
ذسوكنطغفتف غقناعنذنمت ففضهطذلثمن تدكداظلصتل زثمقحزضفسج روارخظصجكب احهسبخلزهخ لججمتضظزيو ثعهدحصيتهب ضثشهنقرتزط 
