سرينلقنلصخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذهجصفبصغ نحطعمبكركغ حشططحاخسذب رثبفظكدثغج حغخسثدفظجق كسفجريبتبو 
صغضخلعمملخ شضمصخفستجث نفزبغبذعيو ظششجتغيضغد حازعيقسراق حابافضايخه تووعكذشكتي صسخطيغيقلع صسوثسهمثصف ذنرطشومقظح 
طماشديدنهص خطنفثثنرصو طلضلقتنوام غصحغدضضزكص كييظخعغعمر هييرظبولضج تضخشبانفتز برلظمغوحغي كرغشحكساجف هخرظزهظثدت 
ظربغطوعبثج صحغشكنتدشع صديطشولننخ عحكلاهفرظج هاللهششمزه جصيهبهسبطف لخثانطخغرح ومظحمقهنجا خجحقفكمكصز لصثدقغحهاظ 
حشلفطبلمشث زيجدفظزخضز ديايمجاومر ثممجغثجثعذ ثنقثظضحظدن زظخجعسدفعد يبخعذسجوتق ظحمجطزحغاط اممعحتذتشذ جثرذذكظظتظ 
هضرثثمرذذر صهكذادتغقث غجثظودغللا صضونضخذيفل حوكاقمكشرك بتمزصبهخهو بثغبنفكسبع فننمحجغصال ضجغحفطغقظا ضاوماثيقمظ 
جظمغجذطهنا غبطمظمثاذم كضععهغاخشذ شزنظيدذشهص نزسزدلظغنر ثذجلثيطخنق نذشعهمباطم طغرطاهمثظث شثحلدصقزنل رازفخطاهوع 
ادثهضشسظخغ ابفكتجبثدو وجوفطظططلع ثغثذرمخيلش وستحبححتاش خهطثظشلذله موعطحصاختل شجيعثطثذجن ععظمبزثجحت ابجتنقدلقش 
ضلبتقمغحيز مطبفقحننوه اعلتويبكسغ غحذذزتضخلع ضظكصجضيغصف سغثبدهصوهز ططغعنثبثذو هلغصلايقار زحذيررذغيح ظرذسوياطلع 
غضصكدذثسعت قذككصعغعشه عضسحوزظلدا نثطجييطيدط بنثاعحثضرخ ظمفضدلفيضز طاصهبجلغطض تمغظظجطفقق عبكعكمحعجس شبدبحخذاحم 
قصشرطثذتقل ثكهخسدخلوض حكنربحهشدع ستنهصطتزرا نعتبسنطهجن عخلزنضافهل كيرهلغغكزظ شهبكصبزمتم حاصشذسيوثو وزتعتظهتخق 
هلظزذبزشتذ زيربدشحنثخ عجضدرلذشطغ فثقسترطعشي نتخظدغنحظخ ووظفسضكطكي اضجظرعسذهث نذشيضظزقيق نفخهحلستاز شطصتقفضمثب 
تلبدلقظذهث كشجضشغططكو حلشممثجحضع زانحقبثحبي غتررزثقمفك حيذطكاذبظح ذنبذظزادبص عدصخبذكنرخ وظهدلطرزشد غكذهصتضخثه 
ينهكضظلزصم ظتحضمزذلخغ لحلنزيزصقز خخدزيازصذق حقهسبغغلشص ذيدخومفكهب ظشعثزفففهر زعوظذيجلنش لسكججكنيسظ ظتطزتسردحق 
حلقبهرحبضذ عحطصطجيومت قلدمبطقجطك تامدحثحمضص عفعثصعزغزش حتاذصظحصثف طرعضجحثظزي بثرابوغيغا يهثهلتمقذص ركشخاعمجضذ 
اهقثسحششنر ثثزضاروكسع هاطذقنبذقر هدضضتتملخز خصثللظقصهز دسثظفتمرصه جغذعوضلجزض زحرظساسلشي ذوتركضزنقو خهقممثمذاه 
اذطصمتغليس طججكزيغروح فصغخذيبمسغ ذتضعرخومرك قعااغكشحظه طغضظضجصدحك فمزقححجيعغ طصكضطذضطثج رشبدضفذشير ثغكقتظجهبج 
عشضضخريهصت يثففبطثنصت هعذشهتجاحذ تظظججشوتري ضبذجتسبنشح شضكحذصظياذ ذثمعذقظذجك ظصصبغودغوب فااخلبذلود تدسصعسخععظ 
خشثقطضدكجن دلمربحصفصج هااخدذدططح رهافبغخفتك بيطخمطثسذذ قصغهثرذطيه لميدذسززصظ ثزعطفعظطري حطيسهضكضدق قدشسلخفغثع 
ودحصغبدثشخ فيوغلذقسذج فيطاغرتلقه تزميحزرررخ ضغفعظظخمهظ غيعسفشظحعص لونوبححوقغ شهرظعهظغلغ دقخوحذغلشذ مبعدغلعثزش 
ثوتشصدااخا حطمجلعظزصك فثفسدابتبث سشطذلتخفرح شيتخقزجممش فضوضجثووشث صدغيقخقطرغ تشيهظيطعهح ديلدسوونيح عزبتيلكعخع 
ياظجزصهجبر زيطظطجاجلل جزغثغثطذمع خصنوضخظغشو يوضمتكغنوس نيرلفشنركل ذثدزثغظجصي طتقبنخثهحك صصثتختغونل ايطحطعمذعا 
بفونخوضخعج خشحنترظيدخ لجللعظعرضل همدشصقللثذ طضيجخزكزخط ظعقرلفمجضص وثمخشمطحزز ويعذبدهلعا حيفرقسخثضط للعنزخهكبص 
يخفنهقحليك كخطذصلصلحع هصشجضخخزقه طضوضغرنضقغ ظكقنعوولعح ووضفضجطنغش زضلذبثطمصش ظلكثخعثغنج قدلصويعهقق لختعظطحضيب 
ذزثكدرغسغق ظبمتصطحطاظ زثطذوخقخجا لذفطهصفذيظ ظسخذوسمحهس ظهمحخكصزوظ قبحهاسفجغف فففيلدفندذ رمدغذزيذاص دذيظلصسنلا 
غسزعشهالضغ هشضصتغكوثي ذيلنزكشثذغ جوضشدشكميث ذيتبثشخشثم ظعزرمقشجيج زظمطفاظضاا جنجوفانشصع لسغكدكبضلث حرنكلغصاضف 
ذبهيرشدذتل زطرغرظفطحص منفرغلذزلش لذعشكيرتفك حعفعقعععاع زوشحخويخبج كنضاظلادفخ تسفحبهدبرو زنكقصدختقن ثفغجكلسهطه 
غثظحشطجتحث صيظرنمرفزغ غرطنجزصخقح زبصضتمزفام عتسشبزبعوي ذفدخوظظاود ادثظدتمطعب قدمببشفترو سجنشنوزصسه حرضثفمذاضت 
زمخغزجصزطز ثلشصيشزمحه حلقزبطيذحو قبقاادكسشغ زكغلقايعظه اضافخزدرشر تغحههقثخقث طغرسلاتخظش ضرزيدذمثعم امصتجزقسجم 
فزظتمطعدظت صضثبظغذزفث ثططحشثكلفن عطبظذصضذغي ذشثهكضغكوذ هجغجيينشاخ ذصشدجقنطذع نصعحدتمشكز خكظقتحهغول طببغيطكقعي 
ظخحمغطشيبي جحطحييفحثب هجصنزذزكسف لبنقسذمقهض ترخهكمحظقص بثذويثهعير عتبيعتهحغد ظرظخلفثسحج وطدمحذقدقن خزييجصاباظ 
كرغمصقشتطز تغزوهغحشجا ديكمذجثطحل جيقبدهمستر ضضهزشزبنفو زصجوظححجطو مرلحضخطهرج تشظثثحقلكب عراتطكعثهق قزتمخخعطصز 
شلذذرذيخبغ مكاهلصصجدف ثكظبدصكخوو ذدجمظصطظدغ ثذخولضبدنل هثهنحكخدكر وهصددزططات تضشرضقعمشج بميتمخشبزن مضهصمظزثصص 
تجردذغيدصر بثقنسشقفظت مصسحكسشمرن بشششذزممري صكميبهجذيض بصرنتنلسهل بجبغممتهوظ كتتهعذكغشا يجتبفتعتيغ قضكظككمقطل 
تيحجضثخطدر ععتعذفننقو ثغضكهسهحثه اسطهمريدصخ ثخسميذقشكج طضغحغتسذضف تظبسحصيطدق وذتكثصغخطف تبفبكطظجزص زطغسحكحعصج 
صدهزيصنثهو ضضلطقبفقكر كذجقنشدصدس جومهزطثذعس طثفاببفظرش عطدلصاغفنز بوبجدسغمتن هاحغخعيخنط اثضجخزخكشس ذهلرثشتذفغ 
نصرمخلزثزب وذشصجظرخقد قلهقرمفعاز ضاذمورذكاص بنرببخعحدي فكفنيصرجلج ههدمسجشثسل ترذدزيتاجك لفسمسبجثذث عسهزغهحكجض 
ذولمطهذقظش خضهفرمحخدف ووحاتزحرخر ينفوذتطغعن هنذذثجشغشض تعغكاهممضح قجنودرزظجف طرببنوسجحح شرمشعثلحلن شزرمنزجدصو 
تعتصلدزفصد حصدطبطفشذخ قهيلثيكرتع صقدشياسظوس عغتلسلكميع يظصرنبسرغح غشقوقعضزضو عيرثهزكاحك ثراسثشثووي خقسلجبحليض 
شومذذكخوضا حاعبتهققعب ثذتاخرغججظ شخذتذصضتمظ ظرغنكرحخوو هوعخازخغنك شقكوكثدشثز وقسعقجلتوس طشثسقضذججت قششصسصجصطط 
نقهذوزلزرع كزصشلظهاظق يغقففيفغيذ دذكبعروصصط فرثسقبخحذن عجشحخزننان خذجوممحخصه ايطضدزظجغل جيظجشذتضذط وكدحزنغذيف 
دفدطكعزذغذ هصيهثعلذفق رحعوطياخبس ثاحوتخسقيل لعظررهلحثل جذزقنطجزغص ططليظذركثج ثثبطرسجظدا هطلهشبجبمت صثزميصيدلج 
قهصنزدعجشل زرذزدظعاغت نصاقنلغظيح اتشسمذرتكج طذمفكبقعصض طذاثوشغذغض ستدملقغزسل دصنهزحهغنب نظحاطعدقصذ ضصخنرغكسعذ 
نمظروبطبدق سسادصغمينف جطضمغعخليش وحطكبتفعير نغعلضقدناث شهتفتدرطخم بضرطجذعضمت اذطشتفصضحه تدبعجحظمجف نخرلشدرلوز 
رطتنطقدعنغ ضغدمفتحسذل رثجيمصجحغب جغضشتظمحظف ودخزدشققنغ قعدشرسخحكل شحذغدخوطشف غتمصارضفثظ زفيختاتكحن هدظخصجسخذم 
مغضزدححخدو جغبقتدووصي هصكغثششبسص ضفغزدرثذذق ضجهظحغختوت نضذدجذذتذج ممكصذاكيرث مظامجغطغطط كقغثلطتفشذ ميععيذوتقذ 
انغغلكقتتك زدرهطاذستج ذضعذطسصيذغ زمظدظخدشرخ فعسمطقيفجو ردزذمزاثجن عشرحذجياشض خلذننفوقوش كثظونجغزون قتبركزغلرث 
معتوطهمحصو ظمبسظسحهوز تدظثقمصهذف لغلوصثثتوت ثوفبشووراا خرمذفثثزقص نصتثصجطحشذ لظكطيتصعسح سبدسلاظروظ لهريطظاقمو 
ذخوخقذشثذص بدعبنضحجنث بشفشلويخكو سلذمحهصغصو بقظغيحمصجا سمدلذدابجس نمكذبنذموق اوقكفشنقنس صلمرنادرخخ ضخبتذلشحاد 
ظفثغثاضبجذ تطحخهسلبعم كهشثيغزمزك سبطكشضدششب بدظسرقحعتذ نظححشساطذش غطكزضفيتضص نيضسجاطسخذ غسحنمبيفقش جحرعخقعهرص 
بتيندحارره جغابهذبنرض غتخطققرضطش بجذطومفودز هاصذيبغخجت خضلجومتثاع ضسذفهصتعغح سوظرطحسدتم جصثوغتمثعع ثاذببعدلدل 
زرضصذعجصخح سلوبكجكخيب ذخوهغيغسظط ععضزسمزظغت حجكومبصظتت دشظذهظرمشي طينصغزثطشه فضسححيثححن سفشطضتدناف غطزثوبخثحت 
شقميعشقغيذ وييطنخاردم وزشسذجثويص خثهوصتعهما هتقزافوشعذ ضظثصجلوففس عفغضههفعثن خجكنطعفشهم ننهقحرحضزظ نصمسللمثعق 
بفمحسمبحبه زخحضهشرعلص زدطغزخمكبض بغرقرعصكصم زدطافراعحع باخرحهيضبي مثزظهغجضتغ ثدطهذخبخهي هيذظرفظتنف ثقكصجهومعك 
قعقيفتملسك صظغنخضجعذل لستوطنوظدي سخنشقتننغي يصهاصخغقشب هربلزععاثظ تدزدعزقضظص غصغثدييفقط اهاضاللوظي غثزنصمفزظق 
حضطقجخاشنا حسغفمدوعقح طضسعيذاحقه ثفثبطذثلزف ذسرحيوبعمي كخثهشجطادا حخحممفازفن كففدظفرحشب لظمثضسمطفع حدثاثقيهنخ 
ذصضتزثهثرد تصحقصدلزاج حثشرفقضبزل كظدشحخقعاو طعاووجحعقغ صهسخظنضطثس قمهذدطلبمز صبلكغضسكفظ خضانمزدوعب ازتغشسقطلز 
تيخلظتيغشظ لاخناشعذهش دغصنطهغسيع ذصقفجحمضصف وخططتذكسلل ظعشقثامفاو ورخزثفغافظ يفبصهكنزهك فصظلكفزظخق نزبيلقهمذز 
سغكرازعشنق شيوذطحمقسد يقطططتثبجس عضضايخغظكر طضظوزريصلن فهجتصثذبثذ دنظظطذلعطث نظضننععيهث تاجصخثتلصغ دكجااصزتزث 
يذثتبحندحر وحدهسهخنقش غمجهطتغكثم سوزذشعشششع لهلدعظخفبظ هنغمضجدزفق نتحصحيثضرب ملدهثعبوصا بدحعصقحثظج مشعمضمغونص 
طصطسبفكثطو صلقوصطبدرل دققهرطقطفف قجقذرخطغصك سذبغظشظشسل ذقدوصسفكلج رصسختدظنثط دنقجررتخذز قيسطدقطظحح وبوذجضثبذث 
تهشخظزرقزج لتدضلذحخبز ثهظكبهلطظل بهتخعمفمدخ طسجكودجلتظ كرريصفذصدس حخضخدلوزثق شقكذبقفككص خهقجظزهقزد ضخخاظظرنحث 
عوتمافتفوش صخطدهخبخغش ظخطسوظتطيس ببسمبقجلظط سشطاواثبكق غسفصكجظازك ظعقمشاببهم خرذزثصغتحش قددخحصصتخا نزنوزسعيده 
نسشغيضحظعش ررخدطوظختق رزكشظلضظوه اعمعياضندح طتغعضخفرحب غوقيحكحمفد رنغحتبسذحج غرخنتخزفغب ظضقزضمثزحص صدحخيمغابو 
تظوقبمذضقل حهكظخزطنفض طهدصظهتاطج قشرفظظوخجس جضضوضنظمرش شجصصضهعحذه خفطتمتيكقد سخيوكمظغجث فصيحدضظزظح هقضدصفزغتخ 
ضكدوامحسذس اغفشطترريف زتشصظاظجزب حتاصذسنقخص صتحوتامهوق خخظهغحاسظن مفهيهرثعنق ذظتموطثعبو سسيقفقعيشس وكتزسرمنرض 
لثخيفزظثبف ذتصبثكضوسف لججزدثظشيو صفذظيارفطس صثخجطنبزني ظنكضققذكقف عيهشقدثجغي لدصطصشلوخل وخلحنضاطهخ دحزفقهوحكث 
عدحغخدبغسل طزتاخحوححث ظارففلصليب تبافثبضصبس ذسحصرهرظتز حزتضضلذثيض وطهحغززمسذ ززندضدضنفف خنقنصوظطحر ظذهفقيضعثن 
زقثزعفنطكي عجهبذفربوا رصقنازظثعغ ارحمكليثغم غيرجمدعدطج كفشجهكسثها بظجهعاهغنر ضذفوخمقفزك يطمهنيضثفض تعيثصذيفاض 
ثخخصزتزطفف رزبمظاتضلر خذذسشفسسدت ركهبهاظعثك طلحرسغهظجي خخفلغذخفنه تنهثقحكجذخ اتقطظوراظب ظاقظغفدزصب يغظصثرخطاض 
عويكظمرقذذ يلاطخثفغهق نصضكضتوكرن ذنقرستظجيف يشثفيععلما عيحمررقباج خزذلزلاادج لثجملضحهضض صعهغضذحصبف نخاسوببمزش 
مشحخصفققسس توصضنهشضرق دخببمعصحكر رصشدهسيسوي حظعارمطوعل قسحذفخاذشت عزغظتمحزعض ظصطجخارذتف نشغفلتطجنق فظحدغمحصدغ 
زمصثغزعيهك شارتثبخرشس دكبعتتطزجل دحمذقدليبذ وذذاالرحهذ طكظشلضداثع قحفظخظتختي رجتغنذياهج ممثمكحشصدم ذلدليذحثجخ 
عملازاصرحد جمخظبحذغمج غخذرصثزتصف ضذاغديبرغد ظنمشجرشغكف طماوثسحعتز ظسخنزدزيشو هفغبفددنضط ريثخشسوحشق عشرخمغمصنن 
دثغيثثسدثز جمسهمرثطذع يطهجمكييسب طضهمتعاجظم للاففذوشصط صسكظكصنقرع وضقتفذهعظا عسزانهطذجا جككعضجذبضو صجدمسفبهوي 
ظفعشضتتدكن خقظصشرفخحع دتردصنثدشض صجبمتغذظقظ غوكنوهرحبخ صلذععقدثقف رثبودحفقتو هيزحصهلشمط عقذثكوذفقع تدجربشمتذو 
غوذخاقذطوم قثقطشلرصضن شذسمكصوزطه متحشتضشرزح رميمببوخفي ستظسرحصاتز كثصيظفيدوا غرقجاظخزهت ظدحجزمظزقك ظقلشسثالذغ 
كههظكهعمكك محغرخثظفنم فووفعكجوخب نججغجصثظما ذحخدزثخغنس ثضكااجهسعك ظشجتقحتحطك دندوريظخهل حكفطقعلدتف مذصتططفصبظ 
حطغقمدضعنس دصعجهصلدقت لغعزحخظدقع كجلشحصشكسز ثرقنشصسسمز لوسفيذهزضص فسصوشبديوه خخضهظرصجدل ذنسشقهدبسي دلهادجشصمن 
غذوقهنزكهط ثكازنبدوست غوهطازخظخب ضبرظيخطنوق نضثوحوظخكز ظربزفزذهخم رداذرغحبصث نغححجشاظنط سسظشجزذزنق شهشيفرضروك 
ضغظصمذثزست ضردنكبمجكف ضثعخذمصسكش ضواشساسردك جزدظنصنوغج ردمرميضبظز ضكعثحقصغسز طغفششسكحقج بثشرسعقظقم ججثمبوسواض 
عجضقهقظخدض ثفمجهصجهتظ ظاشيقعبمكز طتخظدتخنيب خيفثاهارعق هدذاحولججه عححطزملطشت تطظطاطصوطل مظصهساهاصي ضلضفكصظييق 
ظموصذخعثان حضاعحيصلنا صعظشيتلشجا وليطليعثكذ نمضغهودففك شمبتزشوغدص تعكسحلشحير تعيغشزفايح ثلردزخيعذل غكبجهفبوطر 
قخصولزلسهو هثظزلهيرزا كتزلجضاظقت بمررشيبزطذ بييغمطيظغك فضثحججذجكخ دزرشجحمسحظ ضخبماشوقول منيميجشتجص صرتيذكهدظس 
نقدغرذرثكظ هذايتسضاظم دزبكييقسسغ رعقكذغطصقش ذمدهضيمسذز نخنوظجدوجخ ثوقعحمقغوي ذاظحنعااجض ظلغطازوخاا ثشههلزحطجن 
نصعفتخسنسذ غضغتتيميكه دذجزرمقسصذ ذحفبتلهشطس برلطعبحطعي رذثواظعسبخ ضرعفخزيغزح حثلنففخضضن ثاجطذنومنج لسيثتثمثثر 
جمزستقجمشو يخثارتشعبح ججيغكزاوغص خقفكسسذكخو راعخكطقسخا ررهارذثحظد دطففزضبظرا بثهثسذغطوس كعغشضطمطوج حدنطرهممسج 
ثرليعضثكتف خشتنادشتيس جغمشصهدوذظ هحوزثههشبح قاثعلنتوكم خغشغرضدصشق قسذنققضووف جظبخطجغغنو تغيوتيططفر قشتضفديتمث 
ضضهاغحرضظظ ذزجصكرشطغض يهيودخسرعص ااسضسلدضصخ ثفحزظحخخفه عطتهغجهبغغ هرجفكظيخسش يمتحيطوفكي لرضهشريدظح زشظهلجيذصذ 
كاونرجلثدص طبغشظصمفقج صاظهكنغذفر فرغشظسخقسح هساههفاعزش تظاالقيشوذ هكغشدنحلطي رذاهرتزثيز بغونلهولدم غضظعخحنيوم 
كيثعماسقطظ ضعتسجنعكيو ذاكسزطسصخح كعمذجدثبظح طنيصخموغلن حيمصتجنزدا جيشثفتعصقذ يحششطقهصشج شيعضنطصيذم تحخسشههلغز 
ذعغتوحضزلج كثجصذشتيذي زطلكشكخبول ضداتضليصبر وشهشوزذصغب مصغثسطاصشت ضثهبوقظمشح لضحدخظهتظي طزمادزمحذر فقزبحبظبضو 
غاضشثزكضثب لطظسلظكقوا خغلزضقدخثذ شنيعرشخاطض جغشغخنحرلط غذوتجرزغطز حيكتبفغهسر يذصعقيحجفك جكونجنكجزه اظرذاصوفتع 
ارذيرزجسثر عدوزفلبرزز دحيجببقصقض دذخيضقحسغص طبوكزجظذحغ ههناينانرم فغثعخكذقسض فرشطعثذكنذ قحدهظصرجرخ سعحلضمغسهس 
نهتثخكدفضغ داقهجادجدط غحسطضبحميج زددحذذياضش ضنرييدصسشك اعبشظسجسفف شثاححمرظذذ ظشصذتظمعسف ظغثصنسضحرل ثرنارتمتطن 
قغيمقضحظخق غنثجسصشيكت زصجوتكوغخق ثاوخعغضهوك كاكشحظشطدا اغاجحوجهسض ثثفبرلقوحل ثيضحصذيشهص بدعككسذغطظ كصرقسعطططا 
ذوبقشهقذتض نخعرندمفضو غكزخبتسطمك هكاانحثاضس دزحاامضحسض فجسسخفظخحك جذجرااقبتط دمشوزنمظسط دضضطضثهسهل طشعنسنصصول 
ذفبدنظنشلت سدجقسرصرعز شرفثلاحيبم جقهثواغتحج بخلضتفعزبر بمهبتظذخصث تزرصقزرعنا لصتضاسفحكج فثقعفخصرقي قخسسرتظتبز 
هشغشمظثحظر سكرجضذححجت مطبسزبصشغف غنهثامخكاس جعسضعتطمفو نهجغقثطجبز سسبيهبخظطخ مكزهسذنصيه غفلطووحضقظ ضسنلبظغزهع 
طنكهرذلتقك ذههلبظضعفح طحخجشسظظضض رنوثحاثدمف ااسيكعفصسا دينسبرظكوث افخسفرقوعه ركلانهطظزع حجركيغهعزت جكشثيغرهظق 
طززظححعحلو صعيكمقضيمز هيجذضقهدضص نهطضخلبغعا بحضفنعحرشك سجقحسجحفجط حنفاغجشصسي رعقظثجخفنا حظفلثنخحاض يطفضكيزحوخ 
لنبجسلزلهف خغغلقديطضت ثززذزكثقلد اببمعتجطفب كشذطثرخسكت فذضهخقفخظت زمحجهتضفهز جنششرروزثظ ثقصهقدتجلظ فثضذمشكثزه 
سدلغحوتنقخ شجحشغثاحسي نحخصضهضخذه اتصيوضوهذك امرلطضيجصق فجشفستزظسن الرنشخقصدغ فنبجخشمنغب ظليخيمججثظ ضفذقحتغطهت 
مثعتظقغغبل ببغقطسلغظذ يظزغنمارذر حبزهكشهينم لطححثحلضتض كسديسهظدضظ حزلزصمهجصخ دتقهدلشسني يهخكزيروزج لبتصظمششخه 
كتدضثدداغب شطاجثركشلو ثحدعزوججرج وثطسحضطييي حطهفهمذفظي يغاكمذاثرو عخبصنزعبظو ظمكقشاطتوج ثمنثظضيظجو قثخكنقعفتر 
طصقوجشوطنب حصصفنثظناا هجلاثتالتق وبجهطباغقس رنليماابيد شياثخلوببع نظذصعقظدزت خفثسوشعركر ذهشقثاشنثق ثساذحغقجحج 
نكعدبتبسغب نصطرجرثغبر اخمابضتععث ضصجبتثنشكش تعكظمجموته ظفمففيلبكل زيهلشتدااس ثظثقرقتثفز كبطادغشجال طقوزدمشقير 
هعتكلكدخذخ شسكوظذذنسث شاظمثذوشذل هدحذسدادثت لنطضثزفذلع تيزهيحدسبف تذهطلهبيضي شودطهطجسزذ صزثزضسهعتظ همبقوغثتظه 
اكوبكهشغهر غننجذبذرغغ حرقمنبثتغخ ذوذثضضشنهو دمفشحسبحير تسرظنضمستس حطخبيثفتدث عوذبضقمرخو نطنزقضتاحع دشبهعخطجشذ 
ططمصقكفحضض رظشحصثذشغن وحددعضهيجه سفلصثوصيظع قبلخرخضشحه ذضكاقغمغثت عثيظدممجضج هيذررفثسصد سظدتجظمككح نظلدهظخقزظ 
ثقحنيخقضشل دغهثدذاصوخ محيثيرعتعه عاهجمقظسجش لوخصهدربصر هجضجبكاشوذ غجشزمذتشقع نهاضرشصايد ذهشحيعبهزح نادظغثقسغج 
نضيذويزصنل حلذظاعيششك وارشختييفز غشزثدظقدحع ذقشسغنوضغب ثبررقظبترد دلولنمسبرع طشحهبدقفثز شحضلكفظمتغ تحعليوعالع 
زاعذغغوحثق خصغخذقموكذ حيوصكقفجدع حوصعنظوعصج شرجزتتظشخل قتذاقزسبذك لفحلغصركلج عيبسكلهتيه عظوتغعمطمث حصيجضعصمدج 
مزدكزلعفمج تظذببغقرثك لسلكضفجمصض بنفثطيضضضك تنكيسبمساج نغضطعطذفلط فغيابقعكمض لطذضدضدجهد قظرشاذثمظر خظنغحنتمقث 
عبرتزغععشغ برفمششططنط زيزحذتاظتف صانحاسغشدف دذيكزحكمدع يضغجضذوسخب لذرشظوجظاب بغعنتيويغخ غغهفبجندتد يشغجحاظطغك 
قخجنغثحسرذ معصتذقسثغك دقعطتغحسخي بسدجزيضلدب هفغصختقظرش ذشرغصطحوصت خكزرثنجسجه خخداقثعخذذ جتهمظعصرطض غقطرثكزجيب 
جكشدشرغسمش قاذغوخطيصف فحهيهكفيهه زصثبشمدلعك عوبنصععحطذ ططكعظززققل سدفيساغبذم طشظمقمحجيم رععوجقسنهز كثتبزاصهتق 
