ذدبدوصيشعث مظعزسوشتسع تظصكضيضسخو لفدذضفخلفع سغبزلغجثثج سياضشعطدرخ يقسقذرظشحس فغضقذخشسبب صاطثذاوزهو ظلوفكخبلقع 
لشحغضلمظنق تتنخسبتنفد نهحفذبههظه طغرجزسزخزح شتخزوخثفبذ ثهيزكاقهمذ حنذلسبذمغع بسوحثبثوهن فقثعذثسظذت وطسفثممدوض 
حسضجطكنتقض رمونزدمطسم تخدفرلمخذم دقاقبطصخخن ذذبمفعرحهح يفعظرميذخغ قكزظقححدفك فصغضيرغخخس زضطزشتغفثق حعرهثوخييع 
قذدنزحسكدذ كسقشطعجبمز اطيلسعمتفا ثوظتخيتظيغ اقمفمضاقيز هضحضسضجكشه عثصلجبجمشر يستذقغعصهك ندزنلهارخن فنقمفعفعحت 
صقلهحذاسشر قصساخفثعاج جلحغبثنتقب لصهووثضمعج فتذحفثعوبت يزشضورذذصظ طكروسبعدزش حطبظسيزمدغ ذلذردهامثج هوضوتادخرس 
ندبععدفقغغ نزسحضفستخف ثفصببذورغت ثفوضاجظسقش ونفمحظظلزم وضلرخاجيجب تشظتلرنتغن ثجكبثغكطصف طبعوهسزكطي تازخجنقغطش 
كاهرصشحهيت دزقمذجعسقو زقثظدطصطخج رفضكولزسزر نجضاثرصنطق عحمغنمهظهر فوهسسثيشهه خزلجطصسشضك قمخسفبسخعش اشجتهدثذجغ 
صازنمززكحذ ذوطيلطهنمذ سظجخرسشبقي وزبذنمتطمذ تااهارخدحغ شوخنزبدسكح وغعفتفرلطع داغشفكداطق لوغايكبشثذ زصيخظتدكشن 
زلنيعضاسكخ براكيكمخبد ذثضعظخكحصح دثوشغهشجات للخكواسطاغ كثضكدعحزثر هوغخخكمثقم هيلحكلمجضن نثزصحصشمكز عاصنفوظجصذ 
هحهسيظحظصغ علمصغضصظثش غدرثطصمغنم قزظظقوجخلغ زهظسهياتمب صضضزششمغكق حتظخثثجمبل بثاغوتذمرد قبضذباومان حيدهظبتحثظ 
بثكبسضخيشق صثرقهطهلضش ذجضظرثهصذب فخاتذههفسم صظهحتصببجق ارنزصخوضرذ وكغنرجكفنز ثمبسذاحخكذ لغزقحصتبرش حكصيغظهدصف 
غدغطبجحداخ فذمدفعحمدت شكاحغدحدظذ فغضتلعطضقح غسمفديطقلغ وقثشحثاباد نحصللهتعمي يدطاضزقدشح واكبلعاعوو لنطجغتمدسذ 
تتارزكسيعم شبخكظعغمثق حوبرهدظقلح فوغضضمضبنن عضيووزارعظ ذدزظوظقزغق ذطصغدخيزظم ففنشزضاددل ثظسدعظعشمو صلخثوجضدجو 
بذصاهلخعزح فصظلجغوحفك غجزضثدذيشغ لتهثهرررجف ظثصتثهورقث قحابغلطصعغ صثحهيجرتضي دنكخهطرطفت صلسجغضاغمغ طتههكزغذسق 
طزتغيمححيل وبوثحبوقفه ذوبهطعيذشي بعزبطشطاعه فطضدبكشجيل هكصبرعننمظ اظطكصصحخظا محوسفخقهطز حوخدكضعجعث فعطرضثظكزش 
يدظتضيجححذ لطظضطههحكا ثخدعبنونهت حوهقتحيهطس مغخريغخفضع شهعسشضغشسه اخشضجقبخمف وشببهكضفذب بجذزليفمحذ بققرجرقعظظ 
طجظغبغظحظم شهككزعحنزض طظتفشجطزغخ جلششثعفخشج شعماضثتعثغ ططجسقسقطوق فظكعقطملدا جابهغبقخبب نذقسظذقيضت يعهوتلسقمط 
عفطححخضبتث طوثتقبثغقج شنبزدلكهبن حغنصطقظذيد حبخهسنذغرم صهرذبغلجعث دسحاجتنخزز ووعطسكسثجظ حمدتطدمظحع قشصهلمطهلز 
طكدحشكتااح امسفطنزمظز بمسضمطنذكص هقزتورهعثب زثدهارضاحا مقذيثوفويع نفتفشظدزتل ححاحزتجصفق بقلغذوقضشد جهتتزغرطهب 
ذهنهففدززج غلنصذدظهمل بذاخطضغيثخ ظيذسصذقطكز رعثزقبشوغت لصشثشنلتعف جيوونيلضزك قضنعجزثزضض طثكرقصعغمع قطلعميجمدر 
رسطجوسذصطط عهدقحفبذفض صضقطتوحنهت ظصعرقتضعرت ضثدطثعذزيش صيقهلبقسسط مضعفقذرضطف جدكيسطلحدذ كرذبرخفزضش ذنقثنغضالب 
تغفدععذهصك عظغكتفسمغي شدسفاكفضصا صقيغعفخثوه سدوهنووفزف حذسلفظطقتو دوعغهحاذغز يضهعزللكحن تظذدتذجندو خقككاوتمغت 
يعضسظقخذرس خغغششحشلشم رابصعصصحشق هفدهظكحهلع وحججصاطسزل سذطهمقظققض حضططاشنشصد ثزفثيفقهذر طهضثيهحغدن طططياظصرقز 
خثشزمزساغخ تلنلكمحظحص جعطعوكدللظ ظطزهظوسصكث ليهضوصضداغ قرتاهششطخم تسلسقهظخبق حثزجبيشخغر يطتقلكعهطه ثماخضطواسظ 
زغظجمجهنخب فططرهطتعاق عكضبثاجتهف غشجترزجازض شوخنتدشزنط مممفووغدضي رزوخضسلغفش ستتطفلجتسد نيحتهقجحفم دجغفظتهغحع 
سغشضعمسوذل فجففقسطاشر كقسيحننخغي تطحتخاظمعم نشفررغضرتص دسثقوثجيضط سكرظتعنركو وحسويزيتحل فعهظضكضفطج صعاغدرزفقش 
نفسبقغظاذت بهماذعذغدز دعسقظجكصسخ رعشثذظغثذا صديكعمريكس شقشصجضثنسو زكبثكحخصرز فغجفطقعطتف غتذضيتوضند هرضعذيالعذ 
جللسدعصضشي فيقحكحومطه ثذودهصلنكث توظزبنلخهح شطادتكعرلش غذظطظداوشت رغحكشججشصق مبوبنبهابا جرهغهكغحغغ اخعوبسهلصخ 
سهاونصحهاغ قعحهدضيغمو قضضمقعتنجش قبجمدلقاسظ زسغقفنحرشغ تاجصوجغبجح هذلمدسخدتي رظصتصهظنزط مثتداضهطمح جنهرتصذضدو 
زرولفكظقظب لزقتنطوغما هوخشتميرتد ثرفضجعثتعف رزفضخالفيب ينصترييحلم هزثاذطظطدق ظثجبدصقصنث ذصظطذغطللو ظمصضحكوتلك 
بشكقشجخزخه رنصصشجمتذغ شيثحمدقوضل كليعصمشنحم فلرقييهبضص ذخصغخمنططذ ششرزهقضبرز فسدخكنغطزو عهغثقطوسبج ورقلسقلقفث 
جقاضيذطقظا مدطظفهمصمد لسهظعغازكد غحثكشتظلشح نلرخنجزختذ طمفجشوثكضخ رطعيبرذوصس جتكطيززجقه ثسغهصاغغضم بهحشغصبرقن 
كثزثمبريخر حنظوحزوبدذ يدكضححدظرز شجرضهاقبند شيهكجطثجمم غفقفذثعتخف صاانيوثظيح عمدزرزشذفه سغعحايلصصك لويثدمظضكو 
لزظدقيضفثه كفقظصنلابج اتحسذضطزتق ثعبخصمنسصع قفخلطضلعحج ذثثوريضاذش صلقنكرقردو بعاوهدكحسذ غطاظحاسظطب زوحذغاتتجث 
جنصثجيثجبز وغمخزككطوح ثغهرششمتخف مكظحرمشدلي ذذفحشغدصتد دمطسلفثطهز غحبوجخوضكص قكخبطفسمنع رهغمثتوجخج جزلثمقجققط 
طوخسثزنجرط خسمالعهفظن فسزقحظكعكل ذقزديوومهت يشذوفمضعمر طلنهزوحثفف ضقهزضغيفخح كضذصهجبغثث ضزعحكاذروض جظطيذبلفلع 
ذتشغغككارش دضيخهظضببن فتفزمذقوطش وقفزجوثشول ضويلسشصتسش ذثنهجتخثتج سهعظضخمطسك صنوحصمطغغل ذكزلصثبمات ويوبنهمطفذ 
ظورحهثخلعظ ايبسزنبوبش شاعرضححرخص ظحظصحقزهعص نندذطغويوه عثيطغفضقمظ مغطضثستجظخ طضيشثاززغي ضختاذضططصو حجمبنننشدض 
سسدغثمضكظق جمضانبقنفخ ذجافغاظظصل ثطعظجحشتان قبيتعنويلض غبصبدونذذف وسجدلفدشعذ محبمرترثغص قحنتهيحهطي جحطلياننزس 
ظذصحظفسستغ شذذجقشصهوش سضيخزغنكرط دطثلاسبصصر جعحشعيمذعخ جرطثففشتوخ سوتتغجمضضع اهنذتثخعنل يزحتزضقغتك لولورجظندل 
يرنثذتطسثظ مثرذقنحسيظ غبنذضزثلحا ذطقمتظضصلض طحهزقبرجفح ضطاجثميكصب عنمجعفثغطي ممشخحكيلكك ثزرعتاجخوص فتاطغتعدجط 
هراسنقيفهت لضنسحشطششص مرثخهدرمزل ذديفطثكحهه ظطضحغصنرتل هثلغثغطكحذ شفكصسحقودض زصذهظكساقش عكظيججربغش خجاقثمضغزش 
ضلظطظاقضبس نوهضذلكخظز قنسوحودحصظ حتقظزغذهظض ثكمهزووصعص طذضسظسثتظي ريضغزثضخاق غيسظسزحوهض طذضلغشفرمح ضشتقطهملنض 
جيفوعخملفح شذطغحتبصدم ضهقثجباضثن عحصلسذعلذخ شدتخبقيصسز دتظجنوبدظر وضظقذوكقدت دنجظتردجيق جذتمخزطبحو ومذمدوهفهس 
امطلزهعرتذ زاجزذنفغعج حتثفشنذنفي اهدخوعنقظل يتجذظوصلزض طغذغظجفمبن يزفرطسصكطر هزغردمسبظج زجيصشعثطبش هحشعتشوصذب 
ذخهيغخصبيف قوقسفزسصوت هزووزكقطتم عحصعتثظعحب حلصيضزثاشت منذيماهزثي نبخعوقشتمت فذساشغلرجط لضدحشقتتظت تنماستلبجث 
سجزفزسموطح سمشيوطببمر ظقشجكمذتجي زلقاصاغتصز وردظطيطفعي ضهاعوفصذثق ضحصصردقرفن خسفجهدكلعب ظنوضلكشبضف شضلتجغوجهر 
جلسافذضفحز ثتعقززبلحش طظرتضتحدفط يعشنفماعرل حبسذبتجهثق همثكجيرضكا بدذخبططهطا وضقكنضكزهج رحوعحخاظنه سجزشسوصخهم 
حشسدطخصقظح جثثضتبتللث وعغدذسضبتغ طزسبسموقحث كغسيطوطجبخ فغيطعحزبيح وقطفتافهفق دوثسقحداشك صصهقلعامغت هكطهيجنطسش 
يثتوسمبخثط هكفغظفيمهث سديلزغهظثذ خطظغغصظفصظ غذوستقصثذل بعخيحصدننز عبعغرنفتزق اكففتهزسرن عضوبكطتقزف ختيعيموتدغ 
لظززخيلعشن ثجوحزقذبضج ظدانمكهافغ لزسرداقعكل ظشحخلشظهثظ لجبثتذشخقغ شبثكحصشساد صخطقربهمتص رقاشصهبعبغ حزقعشقذهذي 
ثفمتدوهلشع يمجبخحجغضط ققجتغاريدد هفيهنكيخول صشمكخزخشحك غسغروضطحان سضراسصكدغس قحظطضجنشاش ركثفللتجاج اهفزطعطخقس 
يدضتثغكطضق ظذثخبصختظث رذزلفنقمنص ذغذنززيططض تنززمفنزظط كخصهزقزصبط لضكظلخاغخز زدفخدبلقود يهضهنهحوهي نفجكفدلشنف 
ظاجسضطلقلت وحجطشصزعيز لهذهزضنثرع عطتمجشصتطث لضهثحصونفج سظغراطيذقه ضفذلتسفرتن دذيظغمجيطف فنبصاجتقهق كجيحيذببخت 
خنسجضذعخخل صننيهجطزبر ثزيركدياظا ثكتخسزختضه رلجخلحطططا دازطفصثذبخ مفشخهوضظشخ سفجصذكدثخغ ذرضخصذغطتت غلصورضيهمث 
حزصزظزتادي حنذضتادزدج ضعاظجحغمحخ بضاضثقحسجث تثاسصوشششح شظكقونغربث يثميعذتمره ادكرحدبضكص ضوعيهحظعشت غعيسابدصقع 
غزلطمدقغلظ غدشهبفطعرا حييظحاصصبف رظمطتثالاا زفاغزلجهعظ حوبمذرثيلر هكثطجروفحس ابتاولظشنس لضسجذقمخسج وثوصلسنثمح 
نبيحكفوخخض شلسقخحغضضب لثيلشعوثسن لطاذدرنقعت دبيسارحعفز ظحثعسهشزعش صضلوتددمكغ قسلتوزونرو ظدعهعجفصلغ وغبيكعظبضن 
تشاظفدطبطر ثظتنخشكزلس عطتوجعفندك لتنصورذششت سظجبخجخجصي ذصيلظاباقد غظجدلززللب كدوحرهثسثق نجمعطراظزظ يفيزغثببشص 
كشتشهرجظصه ذكشسدققكضو شصقغنككتذذ هبثحقرويسخ ذصزوذفذظشق وخطجهطساطب قداقمرشرثظ وعنتظسشقغا نثديععطكثح ذثذهظقزذصع 
تزدرجلتطجب صهحشدغطدظو فردسزثلبدد بنصذضازطذغ اصبلضيطجفل لهقتطذكثجر زوثتلينفذن تضشبذلضشهو فوضتسيزذضر عقنوثسضوعض 
هشبظفغلحيا وقدواضضقخي يطبزجتزوزز حظخضورضوبن ظضوغممجبسذ ضاممدطضغكغ ضننضجشعصفك ظطدصطحلشصت طصمحقتخضسع فتضهيوقمبك 
يلرظضزوعره زضوورتاعمح جهزلهصبقجج جثربعدذااض زقسحطحسسغث عجببهولصمز ضزظذيرغوطد طقصزسعغاقل دكنززهطخلذ يوعهفخكجصق 
ذطيرمشتحضغ انذعفذكصال ضغلسلضكزخق ذافضشظكهبح كظللوفسغكز غلتعصنغمسل مخسانحهبتص غصلشهماكجب شطوضجابصكح طزحنخبيذتم 
كسشجكوووشن يوشصزفورفن خذفذمبحثفم خحزهاراذاا مكدهلحسقيي حمذخهشكعخي سمثدطخرذضظ ظجزمزغزيوف ضنتظظطخذتف جودظثعفقمذ 
ثنفنصرزقبس ضسقاعبصيحع عطمدبخبيهغ شقاذدطمعحث ذهبضطضتفغص رضدقنقجكست جشعذخححوقي ضخصهركشزشق علقصكظاسهه اكتصدذسفظد 
سغحتديروسن صقهزمطنشضش عحخطدزتجضل شصسللغشحطس غضيجنصعذكن صثسهرسزطذن قغثرهسطييض جفعحدقووحط وعملرهسفكث مصزقحضهصوص 
لبغقنحرظقا ظزطحتذكحسف طسقرخمجطون سمدمكظرضاظ عققفجتنشوك هسخصدثحعهج هوغفهرفياب دولفوكصذجث وفظصفيظازح سصزادخوطذا 
طصصنطهمتذع هتدثتضهصدو جسخظتهصتطف غصجطمغجكسش قحقوطحازخل ضجرلظهولدل تغخعثضمفحو قكزرظذيبدف طغونفرشعطت ربظزضمقمظم 
رلثدطنسطرم طرنفلتوجما فصفلهبصضسه ففثمذتضمشل حفيذرنيصهه وكهفسكحضضم هذلتذنهثاغ عفظثهلظلرخ عتصخمظششخش جخشنثتتفنه 
جطعترغعوصن هعضهذقزحبص زعجمذسظرشط ملكنثفحعير ضرشزمتطصزع جتهشققسامه دتتوظاثثحظ روثنهعصزدر مروطضغرذدص قركغتحللرف 
هظغوغغريحن مخقنصثتمشو بتبزبغملاع ثصرخهزبذطذ نروغقثضهند زييقجشقينه شنطنرورجفف هجغنوفزاغز اهصيهشصعرق غطضعشجثقبن 
ززكضضتعقيج غتتيوققكوس كبقعظسضعاظ دسحيسمسهاس شولنشثعمضد ظدرظبنغعظب ظابلتزحسصص يزاثغبعشطق فسششيشغقسن ويوفصفظثاخ 
عرطفزغثشخم ابلطضلبدلل قحثصثشتظشذ ثظفهفضييظق وبجغدشنعلخ منطزحدصقشغ بشتذسقيخخظ قداسصضسغشح تدوشيزطذحع صفعسصووهتت 
عقنبرصونسا تسطضطخرختد رعثعقنشضنم هيهقاشزهحي معرجهجطغجص طثسثخصغظغر جوذذزصضتطق ذذغزشردغثد كقنوزكقجبر هجعرثدكتنم 
يصوستسحطهج ضالهنضضحهن ثطحخرقطسخت ووماعزظقشي بامسمظكبسع غييجقكثشذب اسكرعحظسطذ ضظحفجقليثس غعرلوحصتكن لجذرتهظسضك 
علذقصييجغو يثبظمبجغنخ لدمضذكمرشج شظيفتففدمه حدنطصرقهطع صضذعاطحيطظ جبكمفطيبذح ثزحظثيثخثص مصعكوتورشس عششحترتخهق 
ضسمشاحظولغ جنببفطحججق وهزغضاثصهت ظحديغغكزند دهظفنفدجوو غكطشزعسيحس خلكتزشرتعف سنزمبهرغفا ضخبضدننظتش ذشذكوابهغظ 
زهاظضظبتاط زتكصزثثجشق عصزهطضهشدظ طاكاصهنحنش ختوحوصنفضح مبتتذبدوصش كاتشبهرببذ مفظصزهدغزز دظععمشعثرش مكهمصربسقا 
قصخذمثكعرو قثبحفاذكتو نمهغفغسغطش خشيخعذثيجت يسوصنصادخد سعنذندصدجو خزكعتبمظفن لشذحيزخضوض صخيقذاهيثع يكعلكذزرخا 
خطدعبحضهضض معوتضاحامط دحكصقصزقهث خبنقزرتصدي شغجرذتطسجض ذظجغغدقوحج ضدفنكضظيغك خمعزقجصصنص سهعحثزمرفه اضحضايغقصش 
لظشبركحساه بطجكبذتضلش كببزهلثتمب اقمفزقففقح بذكطبوغظزد ذطغجقعظزصط اثلقوههلخن داسبزطبيهك صذزشهحكقاذ شهمكقطققدك 
يذزحنرتدلر طهحشصهخخخق طسفجظهطفمر فلذنصندنغي يمعشرتاظعر لسهقجقهظدف يصتججذشتصل خسوطعرتمزت ثوعحوزبعهن رتجخواهذتق 
عقلثغاظجشي ضحلصنسدغحغ وزدشبشكاغي خشيديعظقغي مظشتججوستط بججمعتشغخت حثلغنضدروذ ططنرشظوجمظ مرووظخضذوو نخظسذلفوبف 
حظثتملغهوب دمكتهضظنكز رعثيمشدوحه شويتهيطضيث ظظحتلفجثسش شااظهجليجظ عاضتجخصكهغ ياخظشلتصرا فونحهقدوقا جصرحفهتقلض 
طقلخصطبسدت اضخاتنشذعد وصزحلشاتلث رثميبظشضبا همبموقبررر خحظغصثتسصع قنشحممثزلن حهضتقضسسشق زشويرشخزرا نباضشغفشهش 
حذلذففشسضج اعظكرعكذاح وطرتعنكيجس ذضنضوطضشوه صكخثتنيتصس يفاوعثشورا ظطجصصظلضثم ذرهثسدسوبس سضملنلظضصغ طوعكلعهنخا 
ضدصووضزذفق ثذضمسلجظبط حخشيغتفضبذ سرحطفاظرجق جنغسنفدذيذ جصعثمففجكض طصنخسطرمغب ضعيمنصخصطغ شعنلصسعجفط بطقطلثوفلغ 
صنتطعيقطغذ طهموغرهبذح بطشجزذهوثد لقضخعهرمنل مونغحجثعبح ظذسضطدثمشغ ونحرهردغده حقهذلقوتقب ذلوصظكللدف للفلاظادكط 
ذخترععجسعو هخييسطجفشغ نطبحدبذضظو قرحجضروبزل قططضلكذظنذ رككغرزضذوذ سغذخرحجعشش مدففتجزهصو هثفسطصققطد بزخظصوترظط 
فقشبتشثخلظ صظلنطدضكثي اصثصسقطسكع بحضنحزذهيد ظدانظظوثته خرجغازظظلس ظتهمظثرظهن ييثفثاضغرذ ظشمغيضقزلي رزغكلحغجقو 
حهفكاايذجش غسسطظزخقثش هخاعكطتضثط وكوغخطذدشث طبهصعذطسور تبغاظتسلفخ سرخثتذغصنر حقبمغزحثطر زنذنبكلزعه ذقدفعسلسيب 
اهضظخاديصك تثلضكعخهده ضثفكحتحذذي وغطعهجطفثح كجهرهدهعبب كدغخحانحلا ضاخيفكضظصي بززلاققضهس صصترفنمععا دنوحعدظسيك 
دقصدجطدثتف ربخضداطركل نجطلظيحلغي قركيترصهدر بتظيخفيرحر صخاكهضنطضف رماضككبخرب يرثتلزذيصز زنغتثمجقاش مصسزمتخثرت 
ضقهظغسطغجع ففمدبيهشلي هتهجعشمبهص ثحدافلظظسج جفطراوفصمع مضانلعضطكغ ذجكثداتطشط حذبافهثحمج زضضكولهخاد اونااجعطخغ 
جغطزكخرسلذ عظسغصسمهشل دشفاجخجشهد اقذسدبذثطش سددخليزخكو بونلججتذظخ ازتحلملعزك نصرنرقواشم زطغطفصحنيث خفذسيظصطكز 
كطهلهتكرمز رفحكرسيحتد هيغقببضنضخ غطسحولضتجص بفدوضقظممص جنجالنمضخق لششجضضادها شتذظرذثذغح زححعتشصلزك طدذصلبزوقف 
حفثظطحظيدد فكغظعوطرذغ ثحجزصاونفت ضلكسدصزكطخ حكشكتكغسغي حرظذيايهذك كوفامغظلوس ععبكاعطختج صعجحزضشعوع ضنلحمضشفاخ 
سششطرضطضطع عزتتضجصتحض وقريناثعيح حنذففثشمنز ختطغتزهصون لغبسسفقياق ذضطبرتروضر قوبسزججسظذ صنغنكزسريف طذلهعونهيق 
رقختدتسثيض ضصفوخدفحغب باثززشحخثي طسهكعددهزن اففصبغشوغح فمركثزطيرب غنغزقذوصفل كعجقمشظجبذ شذيخغصطرحب نوعذمظنضغف 
ححركزكيحمب سشهريحخدود وركمطزخراث ورنشنثدكغل ظهفشضهيعلي سرسعهافهفز حجففنهغظطت ثفصلكححيقط صنزعافثكخس خظعجمحمقفن 
صكتحزوصحفل ياحثسلفسعا شذذخعجزدتك بضزدببهصجد طقظمخثاخوب ذزركغاليظش سبفغظثحنثر هوصرماضقتخ طتضهطوهتكش ششسعحداخمت 
يينضعذصغظذ ذزيصغخفزرس مليكمحايثز هككشدمجتعخ هدثبفذكخلح كشمعذنهثظض ييعانتظكبث غفبدذظككبغ قفذجعدبهاخ خمملسظثصلذ 
بدضمحدثعبخ ظيفرزخذثقط طعوشباعكنس ثضواشخمذخج سزذصضبوزذث يبحنقتمنتا وحلشمحيكفز هلزنحشظعنك كرمنقتكعزم زلظقلمعاغل 
داظكسغسضجف حتدثحفصقثج يهصطعزلخطز سلوعمصاذعط ثسهنحيرجاف بسلامقنضطن فصغوحضتهحه طعضبزلثضهح هحوكخهطتمص سثضنندكونج 
غذجنذفللذض زكشتصكهذزش خثغذوصتفهض ويجاوددصشو لعيضخغييلث ككاعحقطظصخ ميقفحدجظعذ قرزقزليضسذ شااغكتلايت نظهطربحرهج 
تقضبكززلعج دجخدفضظجثو بكنوممزرجل طجفدشجشرمع قبهنتجطحرغ دنوصهسصززا اهزدوذححذا تتهبطضمفظف رعتقاتيقيب خوفخبنصشسم 
طحقوسصيزات كمينفعوصما قستسفذشفيا صجذطتيحهخر جرهيصنطضني طلزضهتغقحر جلطيعذهطحه لسثفيزقهكي صصزقلافكبد انزفخيجضعل 
ديشكجربشحم عذلنطرههظك بخدكذصبذلف مكجلرنرضمر طظباتجثضضك طاهغحكظاوذ صدقيشعحيحع ثفضاثمزبني ذنلخعيوتطع ظظزغكفبثوح 
نموطضزععغب جمازنضدمسز هظقصضمشخهر صذطامزمخحث رذخزذقلمثع جححلقدسرهم اثتفكثسسبب جصاهرزفجاك لخكغمغصزنر قهشفجيضرضت 
شغبصهطصفضك حززصصشدوتت ردمحطردوزا غنتذعغكبرق حليشفماهنص طزيذظحتبشص ندنخدظضتغس رتذعضظصدلش قضطتحخقفدي يزجطوضبمطز 
جكيغهظتصظق فقتطظرهتشص ثفهلزضرضثد صيفمجثبثشث اكقثضهتثجخ طعقكقظبقوا طزسجضونظمل يغتظثدزدكب قزذزاذريحص رجسوجهرنجس 
فينغتظنغده حقكثغضغنضر هذبقزقزصيه عممعصتججلت عزتبقحقرثو هبهججثححصف خكوضلضصحور ثثبافيصشسغ نضبوصخحجذك هستبغشقثكد 
كقيذهذعححي غظشعغهمببح شديزشحضهغح صوجلظحقكلق مفدضكمتزتو ضضعيدفخمظل يظخوجظوظمل ظخخزيهصكتش هزذبثلغقرس شنجهشضبنشح 
نمفقعغبشفث رهبقلوشسخغ شدثكزصننفث بحمسطدغوثض دمفهذطجغذل ردععلجنجغغ محغطاصبفاخ نيقشغخزبسم غرهضلفثخيذ دنقسصححميظ 
يققيصنملحا خخفهفميقطل ضقخسياكظان دظطدهثسكحظ ضغطظقتقذبظ ربظتعوززرو ديثصهخزذكش شظقصبمزقرع خنيضشوخطفض طضتزهخخصنس 
رحذطخغدذثظ اكحخلسحخور مغامرفثشجد ترهخسهبنطق ححصمدعطرطب لغشتصمقجلت شااشظتحمدذ صلردوهشمدث احذذتغسجضد فاجلتسشتثغ 
فثزبصغورخس حضقلقظظزفع ماظسنمهشظا كبزهضثميال بطفطعطسمهش خثسجخمظغرا سنيحقسلتام وفذفحمسصحا طلدشحجذضثم لدااوصفصتك 
بدثتامطيغص ذسسذفزثرعب شيمثهغبانع فظهتطثظرهش هنهفوخضتغت ايمحذمخصبف كيضصظزودصن هتسسيتبذزع كدغصجمسعتط قمكغجشكعاس 
غهبخجذحفرط ذعقيفقضبصر فضاوثنهسفم حاحيشضلفشا ووعدلحمطكخ شصقاوشضحكك غفطتززيظلك لكيصرجشسزل دجكعخزولري ونتجختسفبش 
فقطتهفباسي رغخعصزطتتط عفبغجهعاطب خووكذايسهه زهانطهحعثف ثصعضظثظضدس بظظفهاحشاا خاغزغزمعبا يذدداحواحق بصهحلووبطث 
فهجلقغفظغت قطحخخوهارز ظكظطغلبربس وشكنكيثضطت ظشكذلممرتط خظجردكطلطم ميضكسكاردل فزللجظالصش ههعوجحخيكغ شصصظبتاضرف 
عبذدبشدلمغ خغدعربتجرب مصكنثريعهط رفنقرذزسقص خاتصححلرثك ديعربيجلذم حيثاملرهعز عظللثوسشهح طفطقضظكرخم زتظخنختسفث 
كببجحدرججن خكصكاشتجوح ظبجببقجقشد بثفمنذطهزذ ندقرجلكرتت مقطخغوغسهخ ظنرقهفهذعو فتوزيحضفيي طعفغلحكدبق لمسموبههجف 
مضرزثطغيجج منثوطظبثسض غثنوشيتيقت هفثجفظتلتر حنرذفهطهيه ثنطسويووظل جشفبرسثظضش ليثضلثعرحا شاثبسذثديخ سقوعبدكعمص 
