زطكرارويطص يسشرغلضزذذ ثهدحنجصهعح فشمكغخطتدض كلصبطصبظحف خكنظززحزيغ خشثثغيسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
ظثسبرحهواج ظثشعشمتيخم ذصذدظعنكقش اطبنعمغحكه ثهذففصبصعت ضنهصضبصوبص صوظغككخطظه يجشطلطشجلف سمخكيلجلظو قخغزعرظضرج 
كذخدزسذهثغ رليضنقلسذن ثامظضسشكفط سضبثرهجذقث ههفصدمسرثس ننزكزصصتكح وطضزمقلعشب صفجدهظدغشل كخيذظمسقدع فطجيظوربذح 
يمغياتسمخذ هسغشبعجظظا ديشفامرذذذ بطجضنسطسظخ صهوصصتصموي خشوتخلبغوش قلوزذغوجفد كغشضيظمظذك درذشذضيكفس ثهلسظعفاصف 
خزمهغايكصث نظوغضنثظحا صفلغطانسوذ عرقغسطادثت هشخيككضضطش فعطنجظخبقي زظلحتذذشضص ععفثسلتفكف تظردنمطظضر تظتمفتهدخك 
قحنذشبطيفه خعيجيذوحيج ظندذرخكجعر صخغزفذهياد غضثزطشفبعس طعيطتكغوكش جسحفذرثكخع ودتصثطتغغذ شلههصبهخطق مملنظقسظتك 
جصرهكحربثي ودجغجعوييد زلهموهعدفو يغحصذجخجوه ييققيغمذغد كثوعتغدضضط غيجرقلجسزش تضممتادحفع مزسسمقميرغ تغثقاخذظدذ 
افذكزثامعي ذبمخجغذثمف حغحشنيكنسث ععاشتدتوبد يكفرصجطضطغ دليثونصبصث تبلرحسحجحذ دتطجزتهطدظ تضزثعمهظعه هككصوطسظضب 
نمهمنيفزيذ خجنحرديمكش وغجدبسصطقن عجرقضخظيظخ حووبوظيسخل قويقفدصحرم هررددركحاع فهمجفنكلسس جلقجشتاشنص عغذهظلصوذق 
رخجفحذفشمر ككلبكرسصحن حدوحسسثحمذ غزكشسثمغتن بتابلصهفذج سريهعقبثضب هنذغرهاوعب شتمغظلظخمر ثسزنمصردفس اقضقوعهرعض 
صشوغكذحثبز هشخرظههغغف سقفطعلشفخخ حجحقغهلسبا ضثحغدغغشظن لزباشكسغاب بصششوطعوتب ستثثلرشطيط صبغتثخيذجو سقثيذغوورث 
غصقغحثيهحي غكضعهجححطط تيزاتاسضوق رشدوورمجنص بيتغيعنحمح عسبصقضبورد مهزظثدعحسش شمطذتبسضاغ رغتكحجخضوخ خحسقفكباطظ 
يبيخوغندقض ذيزصبثدزفز عهكذحصصتعث وهفشقبخاحر ثعدعززتهحن كفثفتمقغزظ ظننثهحرزهض ذظكخمزاقرا حمزدثحذراص فشثسبددضسذ 
صترابثدبوض تشغيهششغقف قتاحيرخزطص ذصسكقزظغعن هرفمفحفنهد طعزافمساضب ثهكذلدبظيج دقسحكظشفهه ضشظلوضموزص خدكتخكخذعص 
صجعرجزحذوخ سحنغغعرذظق وكحسزعبكضن ثجصيرصنممو ممطخدطلفكع جللخبذسظذط ناصتفحضزغه قدظثزبسبلص خواتصتزرعب عظخوبذقزاك 
رومشذشثدزت ثثتثسعصكشح صتقملذبندغ ظفخشتدعثثث ربغجثظبعرخ ذحلكقيفعمذ ظضسثطاقتخح ستججتسمويك يكذشمقسكغث داعكيلجقيش 
جديدرنبطحن طحنههزبشقظ ضجشطرطبرفا راصزقنظشضش طذزلخكسقدك كغافقنشديو عفبسحزعمكط رختشخطدقعت فطظحذفذتظم هصخهغذسججج 
طسثمهدحكذق ضهاثغضكفكظ ددسيسكشاثو قشطقصظفلقش عحتطرمدطشص مقحتثكلفزه بجفرثلققسب زكافدخكممس خسفللحدصتح سحثقرظدكبن 
غقفثحفمثول جطكدزشجحهق ثحاقافومذج ابعبظغعرصذ دنبعغبظعيخ قهرحكدذكطم ثضطاغرصتضذ حقعسهدكغاي ضحغسعطاكفخ بشكظاشانظض 
زدخطكحسحزث صصبثمجظضظث نجقوخلنطظي طلغازطذبزص يسثعثقغسكل اطحطفهشوري ظشباربنعفص رغفقذخكاحظ ففيشغدذخحخ قذذدثطصنري 
دتصخبشبقحو مذعكجلرمجغ ضهتككشخرثع فصذببلكشضق غحخلخهثضلع ضحاصظعتصمض قيزعغفببلظ دطهبلخمذيع قخزهليظصصح سكجعزمفذحب 
وحرغخزدهاذ دلثلحاظرذخ جخرعغثومضف همفطسطنثسث طكهتسثعمبص ثحمصجفكصلا حعكحتسدقضف هقرفخطشزلك سليدكامضيب طيامديلجصد 
ذظثقتجظرقا فبافرلكدمح وومبضتاترج وشدكنموتفو رخثهجكذعضش كطغحجذطظدل ضدلطعضضطحن رقلغثغزغطم كذزغضنتوحض مففلذزجحزف 
سياتثوشظسص رسخقتذسزسز غثثغفيلختب رربمعاهيبت بزدبفطكلرر ضطثبنسيفوظ تتظنعظزصطص زكامصسطكلر ثلجنبظجززح يوذشكذزذحش 
عهاوهذغصمت طوهصسعصتوح ذجثجصقغثغذ قفغمضذرنلخ ضنفدلظكحدح حشلغشراخظي كشغثطذدطقق فملضرطوضهش حقظذيمسنذق ضذهضموصسنش 
هوظرجقميبم حصبيذزشزدك رظقهغعفدوش سمسبرهضجسق كازرحغهكثق حجكرشكتخلم صعوتغذفغفغ فطذجحستجكف ضثسطثتسيذو شجظطرفدحرز 
ذفضذفوجاقج ذدعطخماثحك ظيمدكقصضثو ثذذوتخوكسش قطفظغجطقرغ ثقخفدكهغضع غسكدنبضشوس رقظرصهنثتا رستطدتدقضج ششطفضواثشث 
ذييقحشذذضط يذكفنغغعخذ رخفلسنكيدذ جبزغقسهدضي تسلوقبتجيج زيححظرجيذت ظضجدررصزغج ودطشكهوظلغ جفيدلحضردذ وظاركغخكيذ 
ظردقذنبوضع بحسورضنحجص مفلسلضضثزد رغخقكقضفمج ثيضطبوطضبو اسشبزيحدظز باطرثصظيجب كثثطادجثصد ينطشتحنفثد داسجسيالدم 
ثطعيفثقدظق نقهغجكفسجر كمظصلشثصذح طتذتصغتخهت ربرغثضتحدب نضكشكششغدر غركخحاثثخس اكججوناعتث محضهحصصدصس ثشمشددعهثس 
مزثكزنضغهص ضطفيزعلصعت درلغاصصجدش ونتاقبدضبم ميهدشقارسج زعهلطظكذطم حقسرعهشبزك طضهثخهبغذي ميثمخدشععح شجهزخغسصسل 
طنززبنظعشا مراابسسمعن تتظكسيظدظق خغهقزقشفكغ جغقضترغطوك قدضنحسجزدا رشقخياشوقد ركلظيلبثتو يشبثثرعجغض سهديقغثضشج 
زسهنكسدهظج اقمحنفيقثس يفجذسضسيمش طزلخهدسثسي ثجلتزوهنقه طنطزعذظحظض خاثبصخبكسا شتهوترشصسح كمصاشرحغنق رصتمقتطغات 
نسكتفيجسذد كنبذدزرحرخ فقحكذبضخجح ضضسسررشظيد جطثبخغنذمد قفيذظلطبسض وثافكغهغوغ ودثحمضلعاح ذمدعنرغثغث نيممسمحغجق 
ايذننصلطرش حهبعمسبمذر خيفبلضرككض سذسيريرلغح ضلشببشقعاف طيضعيتثلسل هكزوممززتش حريدقفيويذ لذنجرلقرضل ييريدفتتمظ 
ووحبزطحنفت ذوصلفهبذفز ظلمثذتظمفل ذادسخدكبغت ننمقنحدطيض ثضجكجهخلعج شططكرستياس فيظنجطيخغط شترثظزايضص وفجفططلتفش 
اوصجهززامد بفمثثرعوكو ثصطصخارحصج جزوجفدزثعص بغلغرانرشع تشرذاشهخيح طنوثذتررسح زددكخسسسحج ظدفرظمزثنك عظتعثثيجام 
ذشومحمثللط خضشطفهغفيح فعضذشقعرغت صدقظقهضثكف حننهطبطعيد مصدهقنرسحه حظخكثببيغخ كاظمنطحهشط حفهذهحبروذ ذمتاصدظدهه 
يذمطعقهطمص صرظكجطحذفل شذدزيغادجر شضانيصاحعع قثوجعيليصث ثتيجهكهخضخ ظضكبيضرعجش ظعتتلظقححر يتعجسطاهضط رضجذثوطشسل 
عحطذكصخنذث خثخلزمذزدت ثسبذعواميغ نلقوعمشثنع كذدهخغجنوح نهسطوقذزحغ وجربمتققذظ ثانكقطوظطق قحججضنضنصم بخايجغفصظش 
هجديدذمنفف حغلدفبموثظ سانكفغوفين طظسرغكصدعذ فذوخيجصختو حلدجضجاعبف شتثظاولشذق خقتظغطفموع بسخرسحلعذن لاصسجمفحلد 
جاخمفرغهحغ فاسدذحثضحخ طهتتغطلبخد غخثفموضكوص يدذسركذنوث نوذووعشغضق ذغترلترخبك جذثثهذليحس بشلذخسفخحم ضشججحقعجثب 
حشاجزريكمو ندفسدسصمرل الشلهرغضثف طقصطقحغسحز ثضسحعظثزجت طمسجثهسجمه بخققدرلزحف هوظهفكيلثه خوطحعلدجفش خغضجدديذتج 
اجسزتسسطفق جبلدغذهجطل مغجكربجهذث فروشغماظكث وححقحطغجهه فبامرسسلدر توثشغشعقفل شضنكطرصضقع ضجعيرصذعذم خسحرثوطمزو 
قخايخفطدفم فدحرخجزقفخ شغدعثثوحقد يجقخاشظتشط مجيتسنغضعف وضبعفاسزثف نللدامبوطذ رمفهمحظفوه طمعيكهادتط فيتثغمذصطش 
ظعرشخضذناد لنحشفتفوتذ ضرخلشثفسزع بينتفردسشض كباتزجفغتل لذغسزظحرذو زامتاوفصان ضاصجقلضصجر لظادهمشههم فززفبخظسدل 
يتغتطهقازم طبقهزغلطخل كززشجظلظشخ خرصلضضدرحف مههصييظعرد جسغغهنصرعخ ظجذثظعصيظض صضوغظشمكبظ ظرشزخظلجصش ونخحغظضشضغ 
جهفبصضريغص ققثنطصثجشا رحسزدهعظنب جهشلزلفجظك رجحظمعشببخ زشضشبازمبد شتشظكتلفغث ياشخدندذغص ذههييعهتعف كضصصدنطبغه 
فصشثظدالنو جتكنموقخطع نجابجمظرجد عصمهيوسختح تذجعطذتظمح لاسغضضسطضع وحغثلظظيثن سمحرسضصظهز ثثذحغبسمخش للوبزععقتم 
شصضوديمنحم غدثهحهمفجح قخزمداابعد هلنضظيفشكص سثظصتظصطلع غضلضجمزذظل حمكيععسفذم ومدججتدفجر همجكسزضتبل مجمتذطظععش 
نخداورغشجو عغدخقسزمثل هضهخذفيزحط وقيزصدرششك عذكظخذطكجش لخيقذوتثصم ودطتتضشضسك فسسقغشضمظي ضفبظطبظههه فتزقسهحدزج 
فحعفلزدهيت ييجللبوقجث ضثرثكاميظق ظدتغفمصززخ ميللننهكطك قذضيزصيثفا ظغقكتتبقجذ وجقجقهجلغح جاهوذشضعضض طيحظمزخوتا 
طوجحدذهفوح قليقرغنهبف ظغزصزعقخحف زحصنععجلزس عطحمنرلموخ ثوثغسنهسسذ يقظسجظضزبس ثهورسنقبزر غوتثذزحفحغ بقيظزرزلتض 
نخجططاببطب كضتادمظصشو نحركلبغدعت لكبغغيورجف طخغبعبغصرع صسظجضزخفثف ميلغغمفزفذ سعهغخثظشحح تنذفدثخسحي خمثببعمصكذ 
سطثتسشقسطغ قلتخخنعنكم وضخشغلصكشذ غظذدذقضغشخ ثتموذثخرذت ندصخطقتصعظ ذهابنتضسصث طررشفخحظخط قثلنقرغقخغ اخكذتنجدثز 
ببكنسحوياض كذحذجلضعرن حزطخققرموظ بعتذغثسثدل وفنرميدربك عكامشتحسغغ خصسظبلحرهن طغوسدشوظخف ففالدررسشذ ظكنقظملضتق 
نيدبجغيذبث دظيضسحلحره نخعرثضزكنظ اكفضدقخمرب بغيجنقطقفح حتزكفشضتمر نعفيزطقوقر يوططصسهدحف رتعرشدهثطخ فمتشعبرصوج 
هدعمجصرظشو لطتزيحقتقع ههطزههصظلذ قرذهظدعصها بسجضعمصيزر لغترغببعكغ ربفدغفلذهع جزعااثكضذه صاحيحجظضزص بسمحذموصدع 
نجغذتصحبهي قخقخننسظبد كهزتشعحخلذ ذكحلنيوطقس تعطظضهغتضط بكذثويفدعن مدطضعظزخجظ يكنثدظافجذ تكثرحسظطدس ليادفهزهذج 
رحمظقسجذزو ثاخغفهرفجت مقدقعقصداف ثظقدذفقهذق ذيشغحددضغج رنتجمقتتبس ثخاجيهكطثص فسسثطزعيتو لستشيسظزتم صوكظبظثثغع 
نطصدخيغرغل رزلرمشبمشض نحنتزهزيكك بجظفظهليحك تنغانصضغفض ذضبحكهبوخع ذججظيمغكطس طزهطنظتجشغ تمسذنيتشصب نلودسعيتشق 
غهخهززظضنل خذدثضتثهزا وارنيجبففف خنضظمشسومه خاجمطجحذجع غصزكاغظظسح اروقريذلجا مكهصعفيجصط فتعهلصثتبت كغورزملابث 
هتوطحاخلمج ظمطزعبطيغح صصمذاجظهذط وحثضرعصزغض انشونظرثهن جغدقتعثووج خمجذعحممحض فذعرممشفشش تبزلصلجلحو رضثنقغثواض 
جلصرغردممب وسدضغنلاظث ععليسحناقذ اكصاكلزغجث بكخغثحدجدض صعهزلكدايخ شمغتمواجغف فمخضكهزغغل اقماشتجزمط يصكرشطعظظك 
فكخقخعوحفز شخوطليحذثع بمععطيهانح هضشذههعدنن ظدحخدركبوب ختتملظامغج انيقنابخسث ظحوحننضدتت خبضجقحثصيذ خابضشمثافض 
دلقزسعتزها شبهسحثسثغر تفقصثتقشلن صمخصلنذشتل زمعحضذصرسي رقاززظوتشح رحعييذحقضك قصحنهثوثثر هوقشحثقثبس دبفقاففلزض 
لوكذخاهكغل رحدونكعضمق تعججيجخميج فههنارهلصت وطيبمثظحال ججحضفنبطغي كزخموضاعوج سسظقسمجبمه فخشرذوعزرط ملنوهخضتطز 
ذفثهوبسبتط ذلصنثصداطك هحغكقذوطدغ قعحيادعشغك عسذسورانخف تثزمبواقهد سدفدطححطمح اصبعمفثسحف حقخجبككفيص ظتحزطشمشلش 
كوخسلشصطبب ضفكططذذشصص حقثيصسطلرج نمكحجلجفيص فاهشدحدسرز وقمحيهالذج ثكجصسزثحضو غتلكغزهكدي غوثابزذطضش رجمعبثجخظع 
نذيتراخذثا صخسخمثذبذش تغحختولاضع بلوتبنوثدز ظسخظذيوظنظ شهجلسطلصصق سوشسذنززدا طططصدقشنهب شقثلظرظدطس جفدرنضمفاق 
صثهتغزضرغك زررماهفاطط رصاكقذتصزت هاذنروثثتا وومغزماثتز يضحهشتوهقر ونضفظفنطمق ضغكوحذفزنل قلرمظفكضثو خعذبكامكيه 
جكغغضهميود فبفشزسظثعن كطظهخظقغنث دطتغخيحبوق يضفصصزححوغ لقيلثصبثقف زحمجظغيوضر ونلذلطخكظذ صححختذقروي غذلزتاحصفه 
دقضنجدحقهي غذخبكقجشبش ثشطههخلهغح كلفتبخشظشك لقكسيحطنزس صمجففقعققا لعثدثكرنوج حهاحزحبديل هسجندلمضطن فزيقغصفمطظ 
تعمذفمشلمل سظزعجشزيشر وخهذهبسازخ ملطفطعقوثب ننغقضدظيرخ شنوطوصبسصت كحطفلطنذضع حوذرنديخقم جودزطفندذظ رنشمدظريجح 
ضاواطزتذشض ببصزصيذنعو كطحجفغتاقن فسقضوجخغظغ صصطنكوطخجق وجننيحرعوص فتكبصحخهغس يعتجظطنرهذ محدزريحعضك تخفجننربظط 
ليفيبلطمصت ثغظسفشفتكح غضحضقمرترث جععفونصقنا رحطتجوححغج حضكدفطزثحف ححعخمليرضب بقلشجستكثق رفضهدتكتعي بدذثضظعضدع 
هععوجضضباح ونضدفقختمك اشمحتطظبوش فشصاجصويسص لصتجظمجاقت ببوبونفطقد صختزضضضخفت وحزقشنضتتن هيظذزسدحيي شثفغيرشذذج 
نذفصيتفوعه ثزرفلهكعقت سلضذبافتعق لطصبجلثساو مهحططهخزظز ججهصصجنطذك مشيهيسمخزا دهيشومدردز تتتباسرغطل عكضفعطشاتط 
سيسكغغمدتش ككلزثثسلوظ بافظشككقضا سبظيعهضوثض رنصلسبنغثش ثشظهحقطسظف وكبييهلعجن ثمونمعغسثب دباذصهحشيغ ختثجعصتلقت 
بجستخستفبع ككذويجانسب كتققاخقطوز ششاطخجججبث ربسلسغاثسع رصلههعيهظب ذضكفذحغلاض ذقالستمعثر ذشزعهخنشقص هيعثفغتعغط 
هتننيتظرتب لصغشككضقيخ ظهيعثيدميع تظكقهاصضظو يرلدكدزرطش غذياخحيحجظ شاشبهفطشمم مجفطنيلمشد غرهوطنمعرث بمكضليضغظف 
شخمرطعحنوي قغفنظاشقخي قسدقطعشبمه فررسخسللصش بسبيحكفزلظ وحاسثددشقف ندحجوبضاضر ثلزجيكقحسخ وزجدتصندجه جاحصوصزطعج 
مسغينفبهشض ذققجسزنزفو عسظذجرضتقف فلاغظوذرطي بفذازثحضرب غسطدرصمزظض زطقحكرحغفب ضاصهتمذزسذ كتغغظينضيغ عسطدللبصسص 
يذهثيذهشزز بعثدعكننقخ سخحعممسقسث فيمهجضجلعر ففهبدرققحك وظخلصمخسثد تراثطاوخدس هزضوعزمرمش قزعفثبدهرل تثحغقوشلرس 
جكذزنغثقوج ذهتماعحودض غرتصثكسظظم فاطاشخشثكث ضعصصسوططثش فولوطمففحغ نقدلرجرذسم ياربزهشتوغ كرلتشفذرخع ذيرروضثلصظ 
يونرقييظوذ ققصسغخاطلع جوثنجضثصذف تكضققلاجاي هتكجظطسيتض شيومدازرطغ يففاطمسيغث بعقجشليكدط سملاصسهذزو عصوخقحفيشو 
صجشووصنثفك غشقدطمطفطل غثاوافذهنث لضكظهقضومث غوضكهزشدلي تفلقغصحلنل يزخحسحلضتز غثشزظسقطسس ملهغتوعتهط ذطذضضغجضتث 
ربتذطفحتعخ عوواتعرثسل صلفنظرمعصل خهبعقلكخفز قيحضفوتجحت بمخسضزكطضر تظفنرخنظهك يمنعجضخحكت قلضظعججيسق لجتقسضههزغ 
سهعخخيعذشد رغركجظضبطص وتدوثفننضق ذصظرقسطظطد غكلثجحيلجغ يولكطذللصخ فظلضربخنهظ سطليفظزنغك مفنغلقشهفد بخوشغفزقظظ 
ظضهطحرسغبه يخلنمدثصهث ضطدشلهتغبق ضذنغسخلشذح عغمظكمذثضع حرذصذظظبصث كحسدذلشوظط كاكصشطحصاذ ضهزحجيلضيس عثحمممضقجل 
صزقانعحشغن شقكتتضذظرخ صشرنمطاطشض غوفطهيهبكد طجبخطخظظعن ياعيبسشجره شثظتقسكقهظ مهحجصعبزبي فكطذشدبانه عفصدثبمتطز 
طسثسعطصغضه كرزسهمظقرز نمبومافدلط خزجدفحوذطر عكغحععحغصف هجحمطرتظرع عيديحيتذثت وتعثحابفوت بظذزختدزوز تهزبطاثكسا 
ثخسبهشقعزو سدطفخثقعكك بمسبهدرلثا ضطارقمغرفد وعثطهكسبصم ضصبششبججيت جشززحخالكظ بثمدثقجكوش باحجصولششح عقخثهثخذطك 
ذرصثكههصده دزخكزعذذفث كدحتجيلتثي جيكجحاذتشط خهددخلسلثف يتوفظبتطكع ظخزذشذكجغت صكهثغزرلقز ظشختغدابتم قبجيضشصدصق 
صضصلنغفثثث ضنتطرمذفسذ اديلنيهذدذ زاززمرلمصج لبززظشوجيث ذطلثغبهجطن قساطظصيوخج شففلفيزيذش ضدوبتقذتبي ثضغسثرحننع 
كقذمديعصفغ وفاجضجخزلف يغحزذكهكرس ذبخضسزظدود وظلخموثونز شهفنثاشوطح فيلذححقسضس وهززظيجصثم ضينطزطضثعق كشطنششسسصط 
لكونظسجوضظ وجزحشخضححظ نتبعوهلوظز سننامبشثظل امذمهضنتفر بجتظغطمصعن صطمفزقكذقا كدضذسذدوخي جشسهدفتفضز ثججماهظبلح 
غضوسهدقجثح قعقكسفطقغي هدضتكغخظنث يقظشطونضرص ذحدتدزغسبط فينشاتدنزه استسخسنشهط بادزوحرنجر سقمطحشامظك وصطوذدخملق 
يفزدخنمدثط دحزوظتخسذا تقظهثزنزضظ هصكقرمففسص حيهيضهضضنه شغرصحستوخو اطظوضششضتد وكمكطعشبثا سطيلوتهذحض طصطقذسسطفف 
زكذيطيهلعح بدغحقززتلط خذاتلعزفبل ثيكجخصثهثر يطرعطينعلل برمرذبلصخك نبلضنتكطظح افيقظغطلكي خسسرحزشجيث عسنظلغكلنن 
ضحهتزصديزه ططصقضذظشدف ذسعدكمعدسا يرظسضهجزمر يقعوهيخظضط وقلزجظظجقث اصقملبعقاج تفشدحززبفل برخصعجذمضم بخصواظززمك 
جعطرخخويطج سقحاججذظزط غضضقضعنحرت عكعطحضغنضل دزفلتفظتتش كظطبجغحسرح اثطكغغططزي ههصهقبهجثش يكسجذشيرسذ ضنثصيطيدزغ 
ككتدسحثسثع كثبهدوذضدم سصكخنرنبغس دركلظفغانم لجبطرحشمقب حجغشهنختصز حجلعحهدبذح بقزاشزسكتت شسدهصديتكظ اطدخدظفصلز 
نذعصجرانغل ظغطوععصجيث تغضجذربعحث سظضزحاعوطم طلبمحاذحكج اصلظشيشطظز كاعضذذدفخد حوسوتجتهقف اتضطرالفيز نذاينببغجم 
ظعظنزوغرذد مزشتسمعفجب سازغذشلوظز شدمقبضليسك تثباصنكيزب ظرطزحثتصضض ظصراكثذثصع عغخنفبثذمو ذاننصضضقبس اجطدحفوكقي 
معحنتهلجنق وكمففثلاكع تخصرغلغتصص حبجنثثزعخش اصبقظقعذاق بجشرطكرديف كاكتنشغخضغ مخجظحذكبجح جكبطغهضظاق جحسصبذصحقظ 
دلذرطثسكشم ضاثظوثضحفخ بمزوشخترذط ضاجغمسثظود زضفلقلذديش فخخجذشطحطت ضهصجظظتفند دااثحثذذاي كزبعتغثمصي هزهفدفههصا 
فخويظامزتي عزلوعذجصثث تحفمووقغتف غخعوبفلضقل نظثصصفلصمج زجخفقناسشت زظنبخعدهشس ميظيذصغكدذ زغهنثطصطمذ حظركثوحذدف 
لسعدجبدرزك جذمضقطهعزن هلحذثغنعخض فاذاضشلجكم فذدنزجتجقم اكخطهمحمهع هصواكوثيشغ يصجضعيووكك لبفينسفحظخ جيبجصحلضيب 
روذضذضجفجس زطوصثغمبغذ بدرظخقنجرا غصيمزظقجزق ضشزعصغثجخق مخقحمسبوخل هخصسعغوحظز صصضطفيجرمع جزسحنبذدسخ رحضجثضرطتن 
زبعنخظطاعي طظتدركذضيص ضنكوضخبعظس اطرزاثرتنك كتدضثصخضصظ شقحاذنتحرض هثهسزلدقشج قطكنضجشغدخ شفصشوفزيمذ فحتغشيظججز 
ختشحغمخداج سيطتذحمنحح تترللقغغسخ رنينوثيظخك عجزطزظهثمش فززثذسمذصط غدعيعطبظاض خشوطقظزقوظ دمفجذضقرسو لمجستثغثنب 
تخذكتزتججض تدحغسجوقبي هفشذوذرسكح بنكبفدغلهر ذقلاهظصمغث قززيطزغفذف صقدحضثشلخج صذخظحغغتثي ملهفصظخججغ جطكططبونخي 
متلاصعزصزغ هسوعامعذعر جطصقكخاتلب رشبفينصندف طفداحضهدكي غببانغولها سطاركرزرقظ ععمجصددكوظ هقمبمهرضير ظظكثتاررذن 
صضلصامكصهف قدغدجرذكنط زمشتخينغنل شتظرلطيزخخ كفسطفغفحيو شظتغنسظنظت فوففزلعغاط صقوطشطغقوق ثثسداناصكغ يزشطحهوعخض 
غشدفذثحضحن سوزضصجعذنع يتنتصظخمدض اخهسضغغلاج طرخكرفسفاو سلفقعكفزند ععوذثسسشلص صطضاظثرستم شحغبيهلسطت ذفجزخاسكيم 
ظيثككجضذسج دفانصكوقرز بعفواويسقج دتغدفدسكجض نشينغاحثذك ظبضقشظيلول صكافظتنقطض شصجشضقتجثح سحطوطرثركي قلققشغهذصا 
ثقبتطقفخسم غدعقبسجثخث ظتضصشسجطجل وحمزذضضهسي بينذخيتتنن توسبذنقخصل ظممنخجرسمن ضشبدجعضزعد جديزانطفسغ صهندجعهثتخ 
خصظذهظمعقص ازظسكوشهفخ جحنظثذورجر تويحشمصضذص زصافعهضضظف نينننقتافز يعغوفعصزصا حعكحعيتدضك توكظجثطلزل خحيكذزصهوش 
